,index,name,names,gender,total_agent,total_object,perc_agent
749,1380,Acrota,['Acrota'],he/him/his,2,0,1
750,8913,"brave Aventinus , who lies buried on the very hill where he reigned , and has given his name to it , the Aventine hill","['brave Aventinus , who lies buried on the very hill where he reigned , and has given his name to it , the Aventine hill']",he/him/his,1,0,1
752,1391,old Numitor,['old Numitor'],he/him/his,1,0,1
758,502,virgin Astraea,['virgin Astraea'],he/him/his,2,0,1
765,82,Delphi,['Delphi'],he/him/his,0,1,0
768,541,Shame,['Shame'],he/him/his,3,0,1
770,558,Aegaeon,['Aegaeon'],he/him/his,2,0,1
772,5985,the lord of mighty Olympus,['the lord of mighty Olympus'],he/him/his,1,0,1
773,578,the Muses,['the Muses'],he/him/his,1,0,1
775,585,golden Lycormas,"['golden Lycormas', 'Lycormas']",he/him/his,1,0,1
776,591,Caÿster,['Caÿster'],he/him/his,1,0,1
777,1912,the king of the underworld,['the king of the underworld'],he/him/his,0,1,0
782,2046,that bird of Phoebus,['that bird of Phoebus'],he/him/his,2,0,1
784,2057,a baby boy with a snake stretched out next to him,['a baby boy with a snake stretched out next to him'],he/him/his,0,1,0
786,2196,Europa ’s father,['Europa ’s father'],he/him/his,2,0,1
789,2231,the conqueror,['the conqueror'],he/him/his,1,0,1
792,663,Spartan,['Spartan'],he/him/his,3,0,1
794,2362,the river - god Cephisus,['the river - god Cephisus'],he/him/his,1,0,1
797,701,Melanthus,['Melanthus'],he/him/his,1,0,1
800,2581,one of the gods,['one of the gods'],he/him/his,1,1,0.5
801,750,the Curetes,"['the Curetes', 'the Aetolian Curetes']",he/him/his,0,1,0
804,760,Tityos,['Tityos'],he/him/his,2,0,1
805,764,the Furies,['the Furies'],he/him/his,0,1,0
806,2665,this son of Aeolus,['this son of Aeolus'],he/him/his,1,0,1
808,6432,the god Palaemon,['the god Palaemon'],he/him/his,0,1,0
810,6532,their son - in - law,['their son - in - law'],he/him/his,0,2,0
811,798,Libyan Amphimedon,"['Libyan Amphimedon', 'Amphimedon']",he/him/his,1,0,1
812,807,Hodites,['Hodites'],he/him/his,1,1,0.5
813,813,Chromis,['Chromis'],he/him/his,2,0,1
815,821,Clytius,['Clytius'],he/him/his,0,1,0
816,823,Mendesian Celadon,"['Mendesian Celadon', 'Celadon']",he/him/his,0,1,0
817,830,The Chaonian,"['The Chaonian', 'Chaonian']",he/him/his,1,0,1
818,832,Ethemon,['Ethemon'],he/him/his,2,0,1
820,2752,this youth,['this youth'],he/him/his,0,1,0
825,6695,the lord of the silent kingdom,['the lord of the silent kingdom'],he/him/his,0,1,0
827,6712,The ravisher,['The ravisher'],he/him/his,2,0,1
835,889,Erigone,['Erigone'],he/him/his,0,1,0
840,915,Mount Rhodope,"['Mount Rhodope', 'Rhodope']",he/him/his,1,0,1
842,920,Erectheus,['Erectheus'],he/him/his,1,0,1
844,7027,the victorious man,['the victorious man'],he/him/his,0,2,0
848,7144,the Cephisus,['the Cephisus'],he/him/his,0,1,0
851,982,Oedipus,['Oedipus'],he/him/his,2,0,1
858,1007,Castor,['Castor'],he/him/his,2,0,1
859,1026,Hippasus,"['Hippasus', 'mighty Hippasus']",he/him/his,0,1,0
874,1127,Attis,['Attis'],he/him/his,1,0,1
880,4508,Lucifer ’s son,['Lucifer ’s son'],he/him/his,1,0,1
886,4635,No waking cockerel,['No waking cockerel'],he/him/his,1,0,1
887,8058,A second son,['A second son'],he/him/his,1,1,0.5
888,1175,Phantasos,['Phantasos'],he/him/his,1,0,1
892,1193,The Phrygians,"['The Phrygians', 'the Phrygians']",he/him/his,1,0,1
893,1195,Telephus,"['Telephus', 'warring Telephus']",he/him/his,1,1,0.5
898,1203,Amycus,['Amycus'],he/him/his,0,2,0
899,1223,Helops,['Helops'],he/him/his,1,1,0.5
900,1231,Demoleon,['Demoleon'],he/him/his,1,0,1
901,1248,Pelethronian Erigdupus,['Pelethronian Erigdupus'],he/him/his,0,1,0
902,8221,the Tirynthian,['the Tirynthian'],he/him/his,2,0,1
903,1268,Atreus,['Atreus'],he/him/his,1,0,1
905,8304,the retriever,['the retriever'],he/him/his,1,1,0.5
907,5024,an only child,['an only child'],he/him/his,0,1,0
912,1332,Telemus,['Telemus'],he/him/his,2,0,1
913,8630,a poor man,['a poor man'],he/him/his,1,0,1
917,1375,Latinus,['Latinus'],he/him/his,0,1,0
918,1383,Pomona,['Pomona'],he/him/his,1,0,1
919,1388,noble Anaxarete,"['noble Anaxarete', 'Anaxarete']",he/him/his,0,1,0
923,1408,Milon,['Milon'],he/him/his,1,0,1
930,5711,the serpent - child of Phoebus,['the serpent - child of Phoebus'],he/him/his,1,0,1
931,5777,the deified Julius,['the deified Julius'],he/him/his,1,0,1
0,5864,the goddess,"['the goddess', 'The goddess']",she/her,98,25,0.7967479675
7,1792,the girl,"['the girl', 'The girl']",she/her,61,30,0.6703296703
12,955,Alcyone,"['Alcyone', 'Queen Alcyone', 'faithful Alcyone']",she/her,49,8,0.8596491228
13,913,Philomela,['Philomela'],she/her,33,11,0.75
15,2342,the mother,"['the mother', 'The mother', 'the Mother']",she/her,45,10,0.8181818182
17,525,Juno,"['Juno', 'Hymen', 'Neither Juno , who attends on brides , nor Hymen , nor the three Graces', 'great Juno']",she/her,40,11,0.7843137255
18,527,Diana,"['Diana', 'Oresteian Diana']",she/her,36,8,0.8181818182
20,5953,his mother,"['his mother', 'His mother']",she/her,18,9,0.6666666667
27,1327,Galatea,['Galatea'],she/her,34,9,0.7906976744
30,988,Scylla,"['Scylla', 'virgin Scylla']",she/her,34,7,0.8292682927
31,1139,Myrrha,['Myrrha'],she/her,28,5,0.8484848485
32,927,Medea,"['Medea', 'Phasian Medea']",she/her,32,13,0.7111111111
33,537,Io,['Io'],she/her,33,7,0.825
35,686,Echo,"['Echo', 'the nymph Echo']",she/her,36,5,0.8780487805
36,523,Venus,"['Venus', 'Cytherean Venus', 'Kindly Venus', 'Cytherean', 'gentle Venus']",she/her,33,3,0.9166666667
45,1783,the nymph,"['the nymph', 'The nymph']",she/her,19,11,0.6333333333
46,732,Thisbe,"['Thisbe', 'Babylonian Thisbe']",she/her,20,8,0.7142857143
56,531,Peneïs,['Peneïs'],she/her,10,6,0.625
57,569,Aurora,"['Aurora', 'Titan', 'golden Aurora', 'sons of Astraeus the Titan by Aurora']",she/her,20,3,0.8695652174
58,1337,Circe,['Circe'],she/her,18,3,0.8571428571
59,540,Saturnia,['Saturnia'],she/her,27,3,0.9
61,1106,Byblis,['Byblis'],she/her,15,3,0.8333333333
62,8525,the unhappy mother,['the unhappy mother'],she/her,16,1,0.9411764706
65,1633,his wife,"['his wife', 'His wife']",she/her,13,6,0.6842105263
70,1421,Egeria,['Egeria'],she/her,10,9,0.5263157895
71,5944,one,"['one', 'One']",she/her,14,4,0.7777777778
73,1060,Famine,['Famine'],she/her,16,6,0.7272727273
74,6745,The old woman,"['The old woman', 'the old woman']",she/her,24,4,0.8571428571
75,910,Procne,['Procne'],she/her,19,2,0.9047619048
76,4296,The injured goddess,['The injured goddess'],she/her,20,7,0.7407407407
79,610,Minerva,"['Minerva', 'Pallas', 'Pallas Minerva', 'Neither Pallas']",she/her,15,1,0.9375
84,677,Semele,['Semele'],she/her,8,3,0.7272727273
85,917,Procris,['Procris'],she/her,11,5,0.6875
88,689,Ceres,"['Ceres', 'Gentle Ceres']",she/her,9,4,0.6923076923
94,6055,my wife,"['my wife', 'My wife']",she/her,8,4,0.6666666667
95,895,Latona,['Latona'],she/her,13,2,0.8666666667
97,3484,Erechtheus ’s daughter,['Erechtheus ’s daughter'],she/her,13,4,0.7647058824
98,3761,The honourable child,['The honourable child'],she/her,8,6,0.5714285714
101,512,Iris,['Iris'],she/her,21,4,0.84
104,765,Tisiphone,['Tisiphone'],she/her,17,1,0.9444444444
108,6310,a nymph,"['a nymph', 'A nymph']",she/her,15,1,0.9375
109,7744,the nurse,"['the nurse', 'The nurse']",she/her,13,2,0.8666666667
112,4332,Schoeneus ’s daughter,['Schoeneus ’s daughter'],she/her,13,6,0.6842105263
113,740,Clytie,['Clytie'],she/her,10,3,0.7692307692
122,1084,Galanthis,['Galanthis'],she/her,11,3,0.7857142857
124,604,Callisto,['Callisto'],she/her,8,1,0.8888888889
125,737,Cytherea,['Cytherea'],she/her,9,1,0.9
126,2965,my mother,"['my mother', 'My mother']",she/her,12,1,0.9230769231
127,7703,Miletus ’s daughter,['Miletus ’s daughter'],she/her,9,3,0.75
130,1992,The virgin girl,"['The virgin girl', 'the virgin girl']",she/her,12,1,0.9230769231
131,624,Aglauros,['Aglauros'],she/her,9,1,0.9
132,859,Cyane,['Cyane'],she/her,7,2,0.7777777778
133,892,Niobe,['Niobe'],she/her,6,4,0.6
138,3915,her mother ’s only child,['her mother ’s only child'],she/her,8,3,0.7272727273
140,1353,Venilia,['Venilia'],she/her,17,2,0.8947368421
141,1687,Peneus ’s daughter,['Peneus ’s daughter'],she/her,7,4,0.6363636364
143,2098,his daughter,['his daughter'],she/her,5,7,0.4166666667
144,6129,her sister,['her sister'],she/her,2,7,0.2222222222
146,1183,Hecuba,['Hecuba'],she/her,14,1,0.9333333333
148,1109,Iphis,"['Iphis', 'IPHIS']",she/her,9,1,0.9
149,1120,Eurydice,['Eurydice'],she/her,5,5,0.5
151,1994,a woman,['a woman'],she/her,0,2,0
158,1111,Telethusa,['Telethusa'],she/her,8,0,1
161,1387,Venus,"['Venus', 'Idalian Venus']",she/her,10,2,0.8333333333
162,513,Juno,"['Juno', 'Saturnian Juno']",she/her,12,2,0.8571428571
163,1928,their mother,['their mother'],she/her,7,1,0.875
166,680,Ino,['Ino'],she/her,3,2,0.6
170,857,Proserpine,['Proserpine'],she/her,8,3,0.7272727273
175,1237,Hylonome,['Hylonome'],she/her,12,1,0.9230769231
178,1807,your mother,"['your mother', 'Your mother']",she/her,7,2,0.7777777778
181,2325,Only Jupiter ’s wife,['Only Jupiter ’s wife'],she/her,9,2,0.8181818182
182,2598,the daughter,['the daughter'],she/her,4,4,0.5
189,2330,an old woman,['an old woman'],she/her,5,3,0.625
193,841,Tritonian Minerva,['Tritonian Minerva'],she/her,13,1,0.9285714286
194,850,Lucina,"['Lucina', 'powerful Lucina', 'Gentle Lucina']",she/her,13,1,0.9285714286
195,874,Arachne,"['Arachne', 'Idmonian Arachne']",she/her,6,2,0.75
197,6068,a goddess,['a goddess'],she/her,0,2,0
199,6159,sister,['sister'],she/her,1,2,0.3333333333
200,2361,the naiad,"['the naiad', 'the Naiad']",she/her,4,2,0.6666666667
205,979,Nereid,"['Nereid', 'the Nereid']",she/her,7,3,0.7
209,1314,Polyxena,['Polyxena'],she/her,5,1,0.8333333333
214,1986,a girl from Nonacris,['a girl from Nonacris'],she/her,2,1,0.6666666667
216,781,Medusa,['Medusa'],she/her,1,1,0.5
217,877,Juno,"['Juno', 'Queen Juno']",she/her,7,3,0.7
222,4024,the one who confesses her love,['the one who confesses her love'],she/her,6,2,0.75
224,1198,Caenis,['Caenis'],she/her,7,2,0.7777777778
228,517,Pyrrha,['Pyrrha'],she/her,4,3,0.5714285714
231,2287,their mistress,['their mistress'],she/her,11,0,1
240,4204,Cinyras ’s daughter,['Cinyras ’s daughter'],she/her,6,0,1
244,1688,the one,['the one'],she/her,4,1,0.8
245,5923,my bride,['my bride'],she/her,2,5,0.2857142857
246,555,Clymene,['Clymene'],she/her,10,1,0.9090909091
250,744,Leucothoë,['Leucothoë'],she/her,1,4,0.2
251,777,Danaë,"['Danaë', 'Asopus', 'Alcmena', 'who , as Amphitryon , was charmed by you , Alcmena , of Tiryns ; by Danaë , as a golden shower ; by Aegina , daughter of Asopus', 'Aegina', 'noble Alcmena', 'Tiryns']",she/her,2,1,0.6666666667
257,1032,Atalanta,['Atalanta'],she/her,1,3,0.25
262,4646,My poor wife,['My poor wife'],she/her,6,0,1
266,1704,the virgin,['the virgin'],she/her,5,4,0.5555555556
271,728,Arsippe,['Arsippe'],she/her,7,2,0.7777777778
274,2685,the queen,['the queen'],she/her,2,2,0.5
275,793,Pallas,"['Pallas', 'Warlike Pallas']",she/her,11,0,1
279,3554,his companion,['his companion'],she/her,2,1,0.6666666667
283,1112,Isis,['Isis'],she/her,0,3,0
288,8501,the pitiless ghost,['the pitiless ghost'],she/her,6,2,0.75
289,1331,Venus,"['Venus', 'Gentle Venus']",she/her,5,2,0.7142857143
299,6440,the one who had been most faithful,['the one who had been most faithful'],she/her,3,0,1
300,6898,that Niobe,['that Niobe'],she/her,6,1,0.8571428571
302,7104,the Colchian witch,['the Colchian witch'],she/her,10,0,1
305,1187,Paris,['Paris'],she/her,4,2,0.6666666667
309,1355,Canens,['Canens'],she/her,1,1,0.5
313,5934,my daughter,['my daughter'],she/her,8,0,1
314,2184,Agenor ’s daughter,['Agenor ’s daughter'],she/her,3,1,0.75
321,6708,The frightened goddess,"['The frightened goddess', 'the frightened goddess']",she/her,3,1,0.75
322,2933,The Maeonian girl,['The Maeonian girl'],she/her,8,1,0.8888888889
324,6929,my sister,"['my sister', 'My sister']",she/her,3,1,0.75
329,1126,Cybele,['Cybele'],she/her,8,0,1
334,5843,wife,"['wife', 'Wife']",she/her,2,2,0.5
337,562,Tethys,['Tethys'],she/her,4,1,0.8
347,2858,your Proserpine,['your Proserpine'],she/her,3,1,0.75
349,1079,Alcmena,"['Alcmena', 'Argive Alcmena']",she/her,6,2,0.75
351,4064,No guardian,['No guardian'],she/her,5,1,0.8333333333
355,1398,Hersilia,['Hersilia'],she/her,0,2,0
361,614,Nyctimene,['Nyctimene'],she/her,2,0,1
364,6285,your daughter,['your daughter'],she/her,3,1,0.75
367,3142,her nurse,['her nurse'],she/her,1,1,0.5
370,7094,the witch,['the witch'],she/her,2,0,1
374,3578,"Another girl , fired with as great a passion","['Another girl , fired with as great a passion']",she/her,4,0,1
376,1116,Ianthe,['Ianthe'],she/her,3,0,1
378,4471,the bride you desire,['the bride you desire'],she/her,2,4,0.3333333333
387,1727,his lost daughter,['his lost daughter'],she/her,1,3,0.25
394,613,Herse,['Herse'],she/her,2,0,1
395,626,Envy,['Envy'],she/her,3,1,0.75
396,693,Thebes,"['Thebes', 'Therses of Thebes', 'Therses']",she/her,5,1,0.8333333333
400,6511,the innocent Andromeda,['the innocent Andromeda'],she/her,1,1,0.5
401,2727,Jupiter ’s daughter,['Jupiter ’s daughter'],she/her,6,0,1
409,936,Glaucus,['Glaucus'],she/her,9,0,1
413,3855,adulteress,['adulteress'],she/her,5,0,1
414,7608,the servant,"['the servant', 'The servant']",she/her,5,1,0.8333333333
416,7737,the Cretan woman,['the Cretan woman'],she/her,5,0,1
417,1137,Venus,"['Venus', 'Golden Venus']",she/her,0,3,0
418,1168,Psamathe,['Psamathe'],she/her,1,1,0.5
419,4544,the daughter of Aeolus,['the daughter of Aeolus'],she/her,1,1,0.5
425,1338,Sidonian Queen Dido,['Sidonian Queen Dido'],she/her,2,3,0.4
430,5871,the Titan ’s daughter,"['the Titan ’s daughter', 'The Titan ’s daughter']",she/her,2,1,0.6666666667
431,1689,the other,"['the other', 'The other']",she/her,5,0,1
434,1951,the eldest sister,['the eldest sister'],she/her,1,1,0.5
437,627,Tritonia,['Tritonia'],she/her,3,1,0.75
439,632,Europa,['Europa'],she/her,0,1,0
447,780,Themis,"['Themis', 'righteous Themis']",she/her,5,0,1
450,6679,The Muse,['The Muse'],she/her,3,0,1
452,897,Delos,['Delos'],she/her,0,3,0
453,3005,This daughter of Tantalus,['This daughter of Tantalus'],she/her,4,0,1
458,7600,"loquacious Rumour , who loves to add lies to fact","['loquacious Rumour , who loves to add lies to fact']",she/her,5,0,1
459,1066,Iole,['Iole'],she/her,0,2,0
471,349,Pergama,"['Pergama', 'high Pergama']",she/her,2,3,0.4
477,5878,the woman,['the woman'],she/her,6,0,1
479,524,Phoebe,"['Phoebe', 'virgin Phoebe', 'golden Phoebe']",she/her,3,1,0.75
480,1747,Inachus ’s daughter,['Inachus ’s daughter'],she/her,0,3,0
483,559,Doris,['Doris'],she/her,1,1,0.5
485,2011,The Arcadian girl,['The Arcadian girl'],she/her,2,1,0.6666666667
486,609,Coronis of Larissa,"['Coronis of Larissa', 'Coronis']",she/her,2,0,1
487,2084,the fallen girl,['the fallen girl'],she/her,1,1,0.5
491,714,Alcithoë,['Alcithoë'],she/her,1,1,0.5
494,741,Eurynome,['Eurynome'],she/her,1,0,1
501,6654,his bride,['his bride'],she/her,0,1,0
503,862,Persephone,['Persephone'],she/her,0,1,0
505,6796,The goddess of all that is fertile,['The goddess of all that is fertile'],she/her,5,0,1
507,2952,The golden - haired warrior goddess,['The golden - haired warrior goddess'],she/her,4,1,0.8
508,6860,The unfortunate girl,['The unfortunate girl'],she/her,3,2,0.6
510,934,Luna,['Luna'],she/her,2,0,1
513,981,Cynthia,['Cynthia'],she/her,7,0,1
514,3581,daughter of King Nisus,['daughter of King Nisus'],she/her,2,0,1
516,1028,Penelope,['Penelope'],she/her,3,2,0.6
522,1095,Callirhoë,['Callirhoë'],she/her,3,0,1
524,4054,Sol ’s daughter,['Sol ’s daughter'],she/her,2,1,0.6666666667
525,7861,his girl,['his girl'],she/her,1,1,0.5
527,4222,the weeping girl,['the weeping girl'],she/her,0,3,0
528,4249,The unhappy girl,['The unhappy girl'],she/her,2,0,1
536,1287,Helen,['Helen'],she/her,4,1,0.8
540,1344,the Sibyl,['the Sibyl'],she/her,5,0,1
554,577,Ida,"['Ida', 'Mount Ida']",she/her,3,0,1
558,2072,the virgin goddess,['the virgin goddess'],she/her,3,1,0.75
559,620,the Lernean Hydra,"['the Lernean Hydra', 'Hydra', 'the Hydra']",she/her,2,0,1
563,2144,the warrior goddess,['the warrior goddess'],she/her,2,0,1
564,2157,the feared war goddess,['the feared war goddess'],she/her,4,0,1
571,2554,the fierce lioness,['the fierce lioness'],she/her,1,0,1
572,6294,the wife,"['the wife', 'The wife']",she/her,4,0,1
573,2590,one virgin girl,['one virgin girl'],she/her,0,1,0
577,762,Sisyphus,['Sisyphus'],she/her,1,0,1
588,852,Calliope,['Calliope'],she/her,1,0,1
597,914,Night,['Night'],she/her,4,1,0.8
598,916,Mother,['Mother'],she/her,0,2,0
601,3303,the Triple Goddess,['the Triple Goddess'],she/her,2,0,1
609,3636,Girl from Nonacria,['Girl from Nonacria'],she/her,1,0,1
616,1104,Miletus,['Miletus'],she/her,2,1,0.6666666667
617,1105,Cyanee,['Cyanee'],she/her,1,1,0.5
622,4312,a girl who beat the fastest men at running,['a girl who beat the fastest men at running'],she/her,1,0,1
623,1165,Chione,['Chione'],she/her,3,0,1
624,1190,Iphigenia,['Iphigenia'],she/her,1,0,1
628,1310,Cassandra,"['Cassandra', 'virgin Cassandra']",she/her,2,0,1
640,5761,a Roman general ’s Egyptian consort,['a Roman general ’s Egyptian consort'],she/her,1,0,1
643,589,Alpheus,['Alpheus'],she/her,3,0,1
644,602,Maenalus,['Maenalus'],she/her,0,1,0
646,611,Erichthonius,['Erichthonius'],she/her,0,1,0
647,2055,the third Aglauros,['the third Aglauros'],she/her,3,0,1
648,619,the Fates,"['the Fates', 'The Fates']",she/her,3,0,1
649,2145,this girl,['this girl'],she/her,1,0,1
652,639,Theban Crocale,['Theban Crocale'],she/her,1,0,1
662,734,Leuconoë,['Leuconoë'],she/her,2,0,1
665,2674,a lioness,['a lioness'],she/her,0,1,0
666,773,Nature,['Nature'],she/her,4,0,1
672,6628,his new bride,['his new bride'],she/her,1,0,1
681,3059,the daughter of Coeus,['the daughter of Coeus'],she/her,3,0,1
682,3120,Pandion ’s daughter,['Pandion ’s daughter'],she/her,1,0,1
683,3195,a servant,['a servant'],she/her,0,1,0
691,969,Arne,['Arne'],she/her,1,0,1
698,3634,Latona ’s daughter,['Latona ’s daughter'],she/her,1,0,1
702,1056,Mestra,['Mestra'],she/her,1,0,1
708,3906,The goddess with power over the womb,['The goddess with power over the womb'],she/her,1,0,1
710,1087,Lotis,['Lotis'],she/her,1,0,1
712,4014,your lover,['your lover'],she/her,0,2,0
721,1159,Hesione,['Hesione'],she/her,0,3,0
745,1366,Minerva,"['Minerva', 'Warrior Minerva']",she/her,0,1,0
754,1393,Tatius,['Tatius'],she/her,3,0,1
755,1394,Tarpeia,['Tarpeia'],she/her,1,0,1
759,504,Mount Pelion,"['Mount Pelion', 'Pelion']",she/her,1,1,0.5
763,1680,our great mother,['our great mother'],she/her,1,0,1
766,532,Paean,['Paean'],she/her,1,0,1
767,1737,the fleeing girl,['the fleeing girl'],she/her,0,2,0
769,547,Syrinx,['Syrinx'],she/her,0,1,0
779,1952,A third sister,['A third sister'],she/her,1,0,1
781,2017,The great Thunderer ’s wife,['The great Thunderer ’s wife'],she/her,2,0,1
783,612,Pandrosus,['Pandrosus'],she/her,1,0,1
785,2187,The royal virgin,['The royal virgin'],she/her,2,0,1
787,2198,the stolen girl,['the stolen girl'],she/her,0,1,0
791,645,Titania,['Titania'],she/her,1,0,1
799,6286,"a Naiad , with incantations , and all too powerful herbs","['a Naiad , with incantations , and all too powerful herbs']",she/her,1,0,1
807,772,Euhoe,['Euhoe'],she/her,0,1,0
809,774,India,"['India', 'Vanquished India']",she/her,3,0,1
814,814,Broteas,['Broteas'],she/her,0,1,0
823,6680,The daughter of Jupiter,['The daughter of Jupiter'],she/her,4,0,1
824,855,Etna,['Etna'],she/her,1,0,1
829,6771,the queen of Erebus,['the queen of Erebus'],she/her,4,0,1
830,2903,The Delian goddess,['The Delian goddess'],she/her,2,1,0.6666666667
834,881,Leda,['Leda'],she/her,1,0,1
838,3197,The wife of the savage king,['The wife of the savage king'],she/her,3,0,1
841,3260,your beloved,['your beloved'],she/her,0,2,0
847,946,Combe,['Combe'],she/her,1,0,1
852,3503,"the Sphinx , dark prophetess","['the Sphinx , dark prophetess']",she/her,1,0,1
854,3510,That swift creature,['That swift creature'],she/her,4,0,1
856,7369,the daughter of Latona ’s altar,['the daughter of Latona ’s altar'],she/her,2,1,0.6666666667
867,3759,a girl whom the father was not worthy of,['a girl whom the father was not worthy of'],she/her,0,1,0
868,7588,the Calydonian girl,['the Calydonian girl'],she/her,0,1,0
869,7605,the poor girl,['the poor girl'],she/her,1,0,1
870,7609,the unfortunate woman,['the unfortunate woman'],she/her,1,0,1
878,4224,The frenzied girl,['The frenzied girl'],she/her,2,0,1
889,4660,the unfortunate one,['the unfortunate one'],she/her,1,0,1
891,4746,the author,['the author'],she/her,2,0,1
915,5250,the dread goddess,['the dread goddess'],she/her,1,0,1
926,9138,his accursed stepmother,['his accursed stepmother'],she/her,1,0,1
4,1538,the gods,"['the gods', 'The gods']",they/them/their,56,25,0.6913580247
43,5836,others,"['others', 'Others']",they/them/their,26,5,0.8387096774
47,5788,men,"['men', 'Men']",they/them/their,7,13,0.35
51,1489,human beings,"['human beings', 'Human beings']",they/them/their,21,6,0.7777777778
66,682,Bacchus,"['Bacchus', 'Liber', 'Bacchus - Liber', 'Bacchus Liber']",they/them/their,15,2,0.8823529412
83,5945,the nymphs,"['the nymphs', 'The nymphs']",they/them/their,13,7,0.65
102,1967,the sisters,"['the sisters', 'the Sisters']",they/them/their,15,1,0.9375
119,3410,The nearer people,['The nearer people'],they/them/their,12,3,0.8
137,3722,the old couple,['the old couple'],they/them/their,13,0,1
155,6346,someone,"['someone', 'Someone']",they/them/their,13,1,0.9285714286
157,7415,The warriors,"['The warriors', 'the warriors']",they/them/their,8,5,0.6153846154
171,3113,the Furies,['the Furies'],they/them/their,4,2,0.6666666667
177,5829,the people,"['the people', 'The people']",they/them/their,12,5,0.7058823529
184,4119,"those men , whose foreheads were once marred by two horns","['those men , whose foreheads were once marred by two horns']",they/them/their,5,3,0.625
185,4754,the Trojans,"['the Trojans', 'The Trojans']",they/them/their,14,3,0.8235294118
215,2244,The army,['The army'],they/them/their,11,2,0.8461538462
223,7899,the frenzied Ciconian women,['the frenzied Ciconian women'],they/them/their,5,2,0.7142857143
230,2224,the men,"['the men', 'The men']",they/them/their,4,2,0.6666666667
235,6372,the enemy,['the enemy'],they/them/their,4,2,0.6666666667
256,923,the Argonauts,"['the Argonauts', 'Argonauts']",they/them/their,9,1,0.9
258,3681,his poor sisters,['his poor sisters'],they/them/their,7,3,0.7
259,1073,Diomede,"['Diomede', 'Thracian Diomede']",they/them/their,6,0,1
263,5350,Naiads of the waters,['Naiads of the waters'],they/them/their,13,1,0.9285714286
265,1558,all the gods,"['all the gods', 'All the gods']",they/them/their,5,4,0.5555555556
267,2277,his companions,['his companions'],they/them/their,8,1,0.8888888889
268,2312,The pack of them,['The pack of them'],they/them/their,8,0,1
277,873,The Emathides,['The Emathides'],they/them/their,9,0,1
286,4756,the Greeks,['the Greeks'],they/them/their,4,2,0.6666666667
294,2213,his attendants,['his attendants'],they/them/their,5,2,0.7142857143
297,2580,the two,"['the two', 'The two']",they/them/their,2,4,0.3333333333
301,3273,twin brothers,['twin brothers'],they/them/their,4,1,0.8
307,8718,that treacherous people,['that treacherous people'],they/them/their,1,4,0.2
312,1756,the others,"['the others', 'The others']",they/them/their,5,1,0.8333333333
325,918,Cephalus,['Cephalus'],they/them/their,6,3,0.6666666667
332,1519,people,"['people', 'People']",they/them/their,4,0,1
335,5884,farmers,['farmers'],they/them/their,5,1,0.8333333333
340,2264,daughters,"['daughters', 'Daughters']",they/them/their,5,0,1
341,2389,everyone,['everyone'],they/them/their,1,3,0.25
342,690,the Naiads,"['the Naiads', 'The Ausonian Naiads']",they/them/their,5,1,0.8333333333
343,6253,all female servants,['all female servants'],they/them/their,2,0,1
354,8901,the Romans,"['the Romans', 'The Romans']",they/them/their,5,0,1
360,2037,The gods of the sea,"['The gods of the sea', 'the gods of the sea']",they/them/their,5,1,0.8333333333
371,975,Phocus,['Phocus'],they/them/their,4,0,1
373,3440,Some,"['Some', 'some']",they/them/their,7,0,1
375,3879,O divine beings,['O divine beings'],they/them/their,1,0,1
381,8114,both sides,['both sides'],they/them/their,6,1,0.8571428571
382,8120,The leaders,"['The leaders', 'the leaders']",they/them/their,4,1,0.8
385,5571,those beings,['those beings'],they/them/their,6,1,0.8571428571
391,595,The Heliads,['The Heliads'],they/them/their,4,0,1
392,2012,all of them,['all of them'],they/them/their,1,0,1
404,2750,my people,['my people'],they/them/their,2,2,0.5
407,909,Pandion,['Pandion'],they/them/their,0,1,0
408,6962,my brothers,"['my brothers', 'My brothers']",they/them/their,1,2,0.3333333333
410,3451,such men as I had seen in sleep ’s imagining,['such men as I had seen in sleep ’s imagining'],they/them/their,5,2,0.7142857143
415,7717,The Lelegeian nymphs,['The Lelegeian nymphs'],they/them/their,7,0,1
420,8119,the gods love,['the gods love'],they/them/their,4,0,1
423,8478,The Trojan women,['The Trojan women'],they/them/their,4,0,1
427,5784,all,"['all', 'All']",they/them/their,5,0,1
428,5799,sons,['sons'],they/them/their,1,0,1
433,1850,"the team , sated with ambrosial food and breathing fire","['the team , sated with ambrosial food and breathing fire']",they/them/their,1,2,0.3333333333
441,2223,his friends,['his friends'],they/them/their,2,1,0.6666666667
442,2253,his brothers,['his brothers'],they/them/their,1,1,0.5
443,2485,The treacherous men,['The treacherous men'],they/them/their,3,0,1
446,6435,Ino ’s Sidonian attendants,['Ino ’s Sidonian attendants'],they/them/their,3,0,1
451,2957,Women of Thebes,['Women of Thebes'],they/them/their,4,1,0.8
455,7258,his two sons,['his two sons'],they/them/their,2,1,0.6666666667
456,1052,Baucis,"['Baucis', 'godly Baucis']",they/them/their,6,1,0.8571428571
464,4518,his men,['his men'],they/them/their,1,2,0.3333333333
465,1188,Greeks,"['Greeks', 'the Greeks']",they/them/their,1,3,0.25
466,4758,a thousand men,['a thousand men'],they/them/their,1,2,0.3333333333
468,4928,the captains,['the captains'],they/them/their,1,2,0.3333333333
470,1280,Helenus,['Helenus'],they/them/their,2,1,0.6666666667
