English Word	Valence	Arousal	Dominance	Azerbaijani Word
crest	0.458	0.333	0.333	təpə
crestfallen	0.235	0.346	0.175	çökmüş
cretin	0.265	0.583	0.312	kretin
cretins	0.094	0.741	0.328	kretinlər
crevice	0.361	0.471	0.275	yarıq
crew	0.604	0.598	0.735	ekipaj
crewman	0.602	0.580	0.548	ekipaj işçisi
crib	0.653	0.240	0.407	beşik
cricket	0.423	0.539	0.370	kriket
cried	0.167	0.612	0.254	ağladı
crime	0.071	0.943	0.630	cinayət
criminal	0.021	0.830	0.529	cinayətkar
criminality	0.122	0.863	0.580	cinayətkarlıq
crimp	0.260	0.557	0.396	qıvrım
crimson	0.667	0.385	0.370	al qırmızı
cringe	0.245	0.840	0.377	büzülmək
cripple	0.094	0.392	0.161	şikəst
crippled	0.035	0.358	0.236	şikəst
crippling	0.156	0.598	0.391	şikəst
crisis	0.208	0.811	0.431	böhran
crisp	0.776	0.692	0.508	xırtıldayan
crispy	0.656	0.550	0.509	xırtıldayan
criterion	0.396	0.410	0.736	meyar
critic	0.264	0.604	0.686	tənqidçi
critical	0.312	0.802	0.545	tənqidi
criticise	0.073	0.700	0.452	tənqid etmək
criticism	0.115	0.563	0.505	tənqid
criticize	0.143	0.708	0.473	tənqid etmək
criticized	0.240	0.600	0.311	tənqid etdi
critique	0.302	0.760	0.537	tənqid
critter	0.542	0.539	0.482	məxluq
croak	0.337	0.346	0.298	cırmaq
croc	0.327	0.452	0.451	timsah
crock	0.385	0.412	0.421	qarmaqarışıq
crockery	0.552	0.216	0.327	qab-qacaq
crocodile	0.344	0.708	0.610	timsah
croft	0.531	0.429	0.421	croft
croissant	0.745	0.330	0.430	kruasan
crook	0.171	0.765	0.550	əyri
crooked	0.146	0.594	0.305	əyri
crop	0.615	0.260	0.500	məhsul
croquet	0.551	0.519	0.407	kroket
cross	0.448	0.321	0.569	xaç
cross country	0.531	0.441	0.529	ölkələrarası
crossbow	0.344	0.598	0.560	arbalet
crossed	0.431	0.490	0.508	keçdi
crossfire	0.316	0.896	0.722	çarpaz atəş
crossing	0.549	0.349	0.451	keçid
crossover	0.559	0.550	0.500	krossover
crosswalk	0.557	0.441	0.380	piyada keçidi
crossword	0.611	0.423	0.455	krossvord
crotch	0.521	0.637	0.447	paça
crouch	0.281	0.606	0.312	çömelmək
crouched	0.333	0.363	0.279	çömeldi
crouching	0.261	0.429	0.345	çömelir
croupier	0.531	0.519	0.404	krupier
crow	0.224	0.439	0.363	qarğa
crowbar	0.406	0.531	0.386	lom
crowd	0.350	0.827	0.731	izdiham
crowded	0.694	0.286	0.585	izdihamlı
crowds	0.469	0.723	0.806	izdiham
crown	0.708	0.572	0.737	tac
crowning	0.773	0.594	0.831	tac qoyma
crucial	0.541	0.657	0.777	həlledici
cruciate	0.429	0.435	0.585	çarmıxa çəkmək
crucifix	0.469	0.480	0.510	çarmıxa
crucifixion	0.135	0.857	0.541	çarmıxa çəkilmə
crucify	0.146	0.878	0.573	çarmıxa çəkmək
crud	0.312	0.330	0.444	xırda
crude	0.198	0.402	0.357	xam
cruel	0.122	0.866	0.391	qəddar
cruelly	0.146	0.790	0.471	qəddarcasına
cruelty	0.092	0.836	0.536	qəddarlıq
cruise	0.740	0.442	0.683	kruiz
cruise ship	0.878	0.650	0.500	kruiz gəmisi
cruiser	0.737	0.490	0.608	kreyser
cruising	0.886	0.580	0.560	kruiz
crumb	0.417	0.255	0.216	qırıntı
crumble	0.333	0.480	0.423	parçalamaq
crumbling	0.167	0.696	0.308	dağılan
crummy	0.125	0.531	0.224	xırtıldayan
crunch	0.292	0.630	0.406	xırıltı
crunchy	0.625	0.560	0.539	xırtıldayan
crusade	0.592	0.720	0.709	səlib yürüşü
crusader	0.439	0.588	0.548	səlibçi
crush	0.271	0.676	0.582	əzmək
crushed	0.167	0.647	0.300	əzik
crusher	0.271	0.709	0.598	qırıcı
crushing	0.219	0.755	0.411	sarsıdıcı
crust	0.542	0.337	0.456	qabığı
crusty	0.625	0.531	0.473	qabıqlı
crutch	0.302	0.294	0.302	qoltuqağacı
crux	0.469	0.558	0.519	əsas
cry	0.133	0.627	0.255	ağlamaq
crybaby	0.375	0.702	0.311	ağlayan körpə
crying	0.153	0.704	0.208	ağlamaq
crypt	0.156	0.431	0.386	kript
cryptic	0.296	0.516	0.474	sirli
cryptography	0.490	0.415	0.650	kriptoqrafiya
crystal	0.618	0.270	0.508	kristal
crystalline	0.765	0.235	0.534	kristal
crystallization	0.600	0.449	0.565	kristallaşma
cub	0.646	0.382	0.284	balası
cubby	0.354	0.385	0.360	bala
cube	0.469	0.226	0.274	kub
cubic	0.458	0.306	0.407	kub
cubicle	0.479	0.343	0.417	kabinə
cuckold	0.210	0.573	0.230	boynuzlu
cuckoo	0.420	0.459	0.284	kuku
cucumber	0.490	0.235	0.237	xiyar
cuddle	0.885	0.559	0.475	qucaqlamaq
cuddled	0.906	0.547	0.567	qucaqlanıb
cuddles	0.847	0.382	0.500	qucaqlayır
cuddling	0.917	0.562	0.433	qucaqlamaq
cue	0.521	0.433	0.484	replika
cuff	0.469	0.453	0.387	manjet
cuisine	0.714	0.365	0.390	Mətbəx
culinary	0.654	0.443	0.519	kulinariya
cull	0.365	0.702	0.464	kəsmək
culminate	0.667	0.550	0.602	kulminasiyaya çatmaq
culmination	0.656	0.586	0.695	kulminasiya nöqtəsi
culpability	0.112	0.745	0.368	günahkarlıq
culpable	0.140	0.700	0.319	günahkar
culprit	0.062	0.676	0.333	günahkar
cult	0.448	0.535	0.648	kult
cultivate	0.708	0.410	0.598	becərmək
cultivated	0.837	0.343	0.564	becərilir
cultivation	0.625	0.324	0.462	becərmə
cultural	0.802	0.390	0.623	mədəni
culture	0.753	0.304	0.675	mədəniyyət
cultured	0.635	0.429	0.625	mədəni
culvert	0.337	0.324	0.343	suötürücü
cumbersome	0.259	0.623	0.292	çətin
cumulus	0.570	0.433	0.432	cumulus
cunning	0.604	0.685	0.683	hiyləgər
cunt	0.135	0.673	0.377	amcık
cup	0.615	0.167	0.231	fincan
cupboard	0.553	0.200	0.304	şkaf
cupcake	0.656	0.333	0.344	keks
cupping	0.490	0.610	0.402	kubok
cur	0.440	0.519	0.460	cur
curable	0.823	0.292	0.574	müalicə edilə bilən
curate	0.726	0.418	0.526	kurator
curative	0.667	0.318	0.613	müalicəvi
curator	0.688	0.389	0.688	kurator
curb	0.472	0.371	0.402	cilovlamaq
curd	0.542	0.442	0.278	kəsmik
cure	0.719	0.377	0.623	müalicə
curfew	0.219	0.618	0.623	komendant saatı
curiosity	0.750	0.755	0.463	maraq
curious	0.635	0.600	0.483	maraqli
curl	0.385	0.452	0.351	qıvrım
curling	0.583	0.592	0.400	qıvrım
currency	0.583	0.418	0.592	Valyuta
current	0.625	0.312	0.612	cari
curriculum	0.708	0.306	0.620	kurikulum
curry	0.633	0.345	0.302	köri
curse	0.033	0.720	0.375	lənət
cursed	0.083	0.783	0.393	lənət
cursing	0.112	0.860	0.446	qarğış
cursory	0.423	0.451	0.431	kursor
curt	0.245	0.610	0.452	qısaltmaq
curtail	0.306	0.439	0.497	ixtisar
curtailment	0.230	0.578	0.431	ixtisar
curtain	0.698	0.278	0.304	pərdə
curtains	0.615	0.123	0.342	pərdələr
curtsy	0.635	0.412	0.598	qısqanc
curvature	0.417	0.367	0.447	əyrilik
curve	0.480	0.375	0.307	əyri
curved	0.542	0.407	0.337	əyri
curvilinear	0.480	0.575	0.411	əyrixətli
cushion	0.653	0.221	0.292	yastıq
cushy	0.823	0.283	0.395	yumşaq
cusp	0.667	0.710	0.700	zirvə
cuss	0.354	0.538	0.443	söyüş
cussed	0.156	0.625	0.454	söyüş söydü
custard	0.618	0.260	0.293	qaymaq
custodial	0.418	0.462	0.718	qəyyumluq
custodian	0.594	0.625	0.528	qəyyum
custody	0.494	0.472	0.675	qəyyumluq
custom	0.552	0.382	0.688	adət
customary	0.700	0.253	0.561	adət
customer	0.562	0.430	0.673	müştəri
customized	0.625	0.504	0.590	xüsusiləşdirilmiş
cut	0.490	0.490	0.393	kəsmək
cutaneous	0.365	0.370	0.328	dəri
cute	0.920	0.528	0.579	şirin
cuticle	0.340	0.320	0.377	cuticle
cutie	0.638	0.528	0.464	şirin
cutlass	0.173	0.648	0.528	kəsik
cutlery	0.552	0.300	0.345	bıçaq
cutoff	0.432	0.510	0.518	kəsmək
cutter	0.427	0.731	0.583	kəsici
cutters	0.197	0.653	0.491	kəsicilər
cutthroat	0.110	0.823	0.663	boğaz
cutting	0.448	0.375	0.536	kəsmə
cutting board	0.337	0.540	0.342	Doğrama taxtası
cuttings	0.479	0.392	0.433	şlamlar
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	siyanür
cyberspace	0.677	0.594	0.611	kiberməkan
cycle	0.635	0.400	0.533	dövrü
cyclical	0.380	0.450	0.554	tsiklik
cyclist	0.684	0.582	0.576	velosipedçi
cyclone	0.416	0.796	0.673	siklon
cylinder	0.459	0.324	0.447	silindr
cylindrical	0.458	0.294	0.414	silindrik
cymbal	0.542	0.363	0.362	sinbal
cynic	0.135	0.632	0.473	kinik
cynical	0.156	0.760	0.474	kinli
cynicism	0.104	0.780	0.454	sinizm
cyst	0.173	0.578	0.312	kist
cystic	0.314	0.481	0.400	kistik
cytomegalovirus	0.186	0.657	0.443	sitomeqalovirus
cytoplasm	0.378	0.442	0.474	sitoplazma
czar	0.480	0.348	0.643	çar
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	çalmaq
dabbling	0.562	0.726	0.676	dabbing
dad	0.857	0.412	0.786	ata
daddy	0.795	0.400	0.736	ata
dado	0.510	0.240	0.364	dado
daemon	0.333	0.490	0.500	demon
daft	0.255	0.436	0.157	axmaq
dagger	0.224	0.797	0.613	xəncər
daily	0.653	0.347	0.473	gündəlik
dainty	0.604	0.284	0.424	zərif
daiquiri	0.670	0.519	0.400	daiquiri
dairy	0.633	0.255	0.462	süd
daisy	0.562	0.367	0.333	papatya
dak	0.510	0.417	0.424	dak
dale	0.622	0.270	0.365	dale
dam	0.250	0.553	0.394	bənd
damage	0.059	0.726	0.403	zərər
damaged	0.104	0.635	0.182	zədələnmiş
damages	0.082	0.760	0.310	zərərlər
dame	0.694	0.480	0.500	xanim
damn	0.073	0.784	0.431	lənət
damnation	0.135	0.750	0.416	lənət
damned	0.100	0.760	0.465	lənətə gəlmiş
damp	0.360	0.279	0.210	nəm
dampened	0.271	0.422	0.336	nəmlənmiş
damper	0.459	0.378	0.473	damper
damsel	0.719	0.475	0.400	qız
dance	0.894	0.840	0.551	rəqs
dancer	0.740	0.768	0.545	rəqqasə
dancing	0.885	0.868	0.444	rəqs
dandruff	0.398	0.298	0.293	kəpək
dandy	0.673	0.520	0.630	zərif
danger	0.115	0.923	0.673	təhlükə
dangerous	0.020	0.941	0.658	təhlükəli
dangerously	0.082	0.930	0.564	təhlükəli şəkildə
dangit	0.396	0.606	0.358	dangit
dangle	0.362	0.469	0.375	sallanmaq
dank	0.390	0.381	0.383	rütubətli
dapper	0.770	0.560	0.698	dapper
dare	0.677	0.788	0.684	cəsarət et
daredevil	0.429	0.714	0.653	cəsarətli
daresay	0.540	0.451	0.490	cəsarət et
daring	0.583	0.840	0.711	cəsarətli
dark	0.198	0.398	0.426	qaranlıq
darken	0.250	0.471	0.382	qaralmaq
darkened	0.135	0.440	0.452	qaraldı
darkly	0.219	0.548	0.443	qaranlıq
darkness	0.102	0.602	0.418	qaranlıq
darkroom	0.188	0.627	0.423	qaranlıq otaq
darkside	0.102	0.690	0.365	qaranlıq tərəf
darling	0.885	0.370	0.608	sevgilim
darn	0.115	0.765	0.418	lənət
dart	0.417	0.608	0.500	dart
dash	0.574	0.312	0.324	tire
dashboard	0.510	0.371	0.595	idarə paneli
dashed	0.276	0.393	0.338	tire
dashing	0.612	0.627	0.799	cəsarətli
dastardly	0.208	0.688	0.270	qorxaqcasına
data	0.500	0.250	0.426	data
database	0.604	0.286	0.644	verilənlər bazası
date	0.604	0.231	0.400	Tarix
datenight	0.708	0.637	0.518	tarix gecəsi
daughter	0.908	0.415	0.455	qızı
dawdle	0.479	0.464	0.357	əyilmək
dawn	0.827	0.235	0.519	sübh
dawned	0.694	0.471	0.473	şəfəq açdı
day	0.719	0.269	0.389	gün
daybreak	0.802	0.358	0.474	səhər
daycare	0.776	0.481	0.360	uşaq baxçası
daydream	0.750	0.337	0.456	xəyal
daydreaming	0.776	0.360	0.479	xəyal qurmaq
daylight	0.865	0.420	0.545	gün işığı
daymade	0.646	0.450	0.417	gündüzlü
dayoff	0.760	0.368	0.377	istirahət günü
daytime	0.750	0.324	0.454	gündüz
daze	0.245	0.735	0.329	çaşdırmaq
dazed	0.300	0.697	0.277	çaşmış
dazzle	0.730	0.782	0.683	göz qamaşdırmaq
dazzling	0.854	0.880	0.767	gözqamaşdırıcı
deacon	0.531	0.430	0.736	diakon
deactivate	0.235	0.447	0.392	deaktiv edin
dead	0.052	0.454	0.194	ölü
deadbeat	0.229	0.453	0.368	ölü vuruş
deadline	0.214	0.615	0.460	son tarix
deadlines	0.406	0.769	0.411	son tarixlər
deadlock	0.170	0.418	0.323	çıxılmaz vəziyyət
deadly	0.143	0.849	0.554	ölümcül
deafening	0.281	0.835	0.482	qulaqbatırıcı
deafness	0.125	0.413	0.219	karlıq
deal	0.719	0.599	0.543	sövdələşmə
dealer	0.799	0.615	0.683	diler
dealership	0.541	0.430	0.629	dilerlik
dealing	0.724	0.415	0.598	məşğul
dealings	0.600	0.491	0.480	sövdələşmələr
dean	0.612	0.469	0.723	dekan
dear	0.880	0.434	0.629	Əziz
dearest	0.902	0.427	0.508	ən əziz
dearth	0.156	0.539	0.255	qıtlıq
death	0.031	0.720	0.472	ölüm
deathbed	0.051	0.652	0.311	ölüm yatağı
deathly	0.073	0.771	0.682	ölümcül
debacle	0.156	0.606	0.266	fəlakət
debased	0.219	0.529	0.170	alçaldılmış
debatable	0.181	0.610	0.474	mübahisəlidir
debate	0.408	0.691	0.683	mübahisə
debauchery	0.354	0.901	0.500	pozğunluq
debenture	0.417	0.500	0.466	istiqraz
debilitating	0.125	0.490	0.308	zəiflədici
debit	0.333	0.400	0.474	debet
debrief	0.247	0.343	0.549	məlumat
debriefing	0.427	0.580	0.456	brifinq
debris	0.135	0.396	0.327	dağıntı
debt	0.204	0.598	0.336	borc
debtor	0.219	0.546	0.160	borclu
debut	0.806	0.606	0.629	debüt
debutante	0.771	0.627	0.454	debütant
decade	0.531	0.402	0.665	onillik
decadence	0.237	0.455	0.291	dekadansiya
decadent	0.290	0.559	0.324	dekadent
decaf	0.480	0.324	0.353	kafeinsiz
decanter	0.438	0.567	0.510	qrafin
decathlon	0.573	0.753	0.620	dekatlon
decay	0.143	0.312	0.170	çürümə
decayed	0.017	0.375	0.169	çürümüş
decaying	0.073	0.510	0.214	çürümə
deceased	0.021	0.538	0.188	mərhum
decedent	0.423	0.481	0.415	mərhum
deceit	0.020	0.696	0.343	hiylə
deceitful	0.071	0.788	0.371	aldadıcı
deceive	0.094	0.775	0.414	aldatmaq
deceived	0.059	0.673	0.302	aldandı
deceiving	0.099	0.636	0.426	aldadan
december	0.740	0.540	0.464	dekabr
decency	0.750	0.235	0.634	ədəb
decent	0.823	0.296	0.653	layiqli
deception	0.090	0.745	0.370	aldatma
deceptive	0.027	0.605	0.294	aldadıcı
decide	0.656	0.540	0.855	qərar ver
decidedly	0.750	0.480	0.843	qətiyyətlə
deciduous	0.385	0.353	0.282	yarpaqlı
decimal	0.507	0.259	0.305	onluq
decimeter	0.520	0.292	0.377	desimetr
decipher	0.417	0.630	0.652	deşifrə etmək
decision	0.646	0.510	0.839	qərar
decisive	0.740	0.509	0.935	həlledici
deck	0.420	0.333	0.394	göyərtə
declaration	0.551	0.590	0.714	bəyannamə
declaratory	0.635	0.582	0.673	bəyanedici
declare	0.677	0.623	0.668	bildirmək
declination	0.250	0.549	0.311	meyl
decline	0.173	0.491	0.240	eniş
declining	0.328	0.400	0.264	azalan
deco	0.625	0.274	0.356	deko
decode	0.551	0.510	0.640	deşifrə etmək
decoder	0.562	0.340	0.686	dekoder
decompose	0.194	0.596	0.241	parçalamaq
decomposed	0.073	0.442	0.231	parçalanmış
decomposition	0.133	0.600	0.263	parçalanma
decompress	0.438	0.430	0.509	dekompressiya etmək
decompression	0.208	0.520	0.311	dekompressiya
decontamination	0.611	0.538	0.573	zərərsizləşdirmə
decor	0.734	0.311	0.573	dekorasiya
decorate	0.954	0.370	0.404	bəzəmək
decorating	0.863	0.548	0.462	bəzək
decoration	0.878	0.553	0.526	bəzək
decorative	0.908	0.460	0.381	dekorativ
decorator	0.840	0.471	0.455	dekorator
decorum	0.802	0.327	0.462	dekorasiya
decoy	0.149	0.460	0.330	hiylə
decrease	0.125	0.360	0.267	azalma
decreased	0.224	0.271	0.170	azalıb
decreasing	0.320	0.346	0.224	azalan
decree	0.552	0.478	0.746	fərman
decrement	0.255	0.427	0.373	azalma
decrepit	0.156	0.490	0.225	köhnəlmiş
decry	0.400	0.814	0.548	danlamaq
decryption	0.459	0.445	0.600	deşifrə
dedicate	0.823	0.431	0.588	həsr etmək
dedication	0.867	0.471	0.682	fədakarlıq
deduce	0.490	0.510	0.466	anlamak
deduct	0.355	0.330	0.412	çıxmaq
deductible	0.375	0.286	0.455	çıxılan
deduction	0.438	0.462	0.527	çıxılma
deed	0.520	0.320	0.592	əməl
deejay	0.551	0.630	0.473	deejay
deem	0.594	0.529	0.690	hesab
deep	0.490	0.473	0.657	dərin
deepen	0.625	0.530	0.776	dərinləşdirmək
deer	0.583	0.375	0.292	maral
defamation	0.110	0.670	0.481	böhtan
defamatory	0.143	0.688	0.402	böhtan xarakterli
default	0.459	0.343	0.712	default
defeat	0.092	0.500	0.224	məğlub etmək
defeated	0.104	0.582	0.145	məğlub oldu
defeatist	0.163	0.567	0.315	məğlubiyyətçi
defect	0.135	0.561	0.185	qüsur
defection	0.146	0.594	0.330	defekasiya
defective	0.122	0.580	0.274	qüsurlu
defector	0.163	0.696	0.286	defektor
defend	0.698	0.722	0.670	müdafiə
defendant	0.250	0.710	0.491	müttəhim
defended	0.663	0.451	0.582	müdafiə etdi
defender	0.639	0.708	0.750	müdafiəçi
defending	0.604	0.871	0.812	müdafiə edir
defense	0.652	0.698	0.802	müdafiə
defenseless	0.143	0.357	0.105	müdafiəsiz
defensible	0.740	0.509	0.593	müdafiə oluna bilən
defensive	0.542	0.640	0.678	müdafiə
defer	0.245	0.459	0.317	təxirə salmaq
deference	0.510	0.396	0.447	hörmət
deferral	0.765	0.542	0.327	təxirə salma
deferring	0.343	0.500	0.413	təxirə salmaq
defiance	0.333	0.780	0.760	itaətsizlik
defiant	0.250	0.792	0.769	müxalif
defibrillator	0.398	0.663	0.431	defibrilator
deficiency	0.073	0.373	0.179	çatışmazlığı
deficient	0.240	0.464	0.132	əskik
deficit	0.358	0.500	0.269	kəsir
define	0.688	0.415	0.632	müəyyənləşdirmək
defined	0.670	0.214	0.646	müəyyən edilmişdir
definite	0.708	0.292	0.741	müəyyən
definition	0.573	0.375	0.579	tərifi
definitive	0.583	0.479	0.787	qəti
deflate	0.148	0.404	0.237	söndürmək
deflation	0.287	0.536	0.407	deflyasiya
deflect	0.133	0.491	0.482	əymək
deflection	0.188	0.500	0.382	əyilmə
defloration	0.188	0.690	0.434	deflorasiya
deform	0.112	0.654	0.284	deformasiya etmək
deformed	0.198	0.435	0.308	deformasiyaya uğramışdır
deformity	0.160	0.569	0.241	deformasiya
defraud	0.175	0.635	0.314	aldatmaq
defray	0.375	0.598	0.653	qarşılamaq
defrost	0.427	0.317	0.389	defrost
deft	0.719	0.575	0.849	mahir
defunct	0.112	0.491	0.272	ləğv edilmiş
defuse	0.167	0.480	0.430	zərərsizləşdirmək
defy	0.353	0.884	0.657	meydan oxumaq
degeneracy	0.143	0.720	0.298	degenerasiya
degenerate	0.069	0.724	0.264	degenerasiya etmək
degeneration	0.245	0.578	0.371	degenerasiya
degradation	0.160	0.608	0.315	deqradasiya
degrade	0.083	0.500	0.184	alçaltmaq
degraded	0.167	0.433	0.205	deqradasiyaya uğramışdır
degrading	0.031	0.583	0.232	alçaldıcı
degree	0.724	0.365	0.663	dərəcə
dehydrated	0.310	0.685	0.212	susuz
dehydration	0.188	0.472	0.259	susuzlaşdırma
dejected	0.104	0.654	0.347	ruhdan düşmüş
delay	0.204	0.510	0.162	gecikmə
delayed	0.188	0.490	0.216	gecikdirildi
delectable	0.781	0.642	0.718	ləzzətli
delegate	0.612	0.491	0.658	nümayəndə
delegation	0.562	0.431	0.609	nümayəndə heyəti
delete	0.292	0.298	0.409	silin
deleterious	0.297	0.725	0.440	zərərli
deletion	0.062	0.506	0.462	silinmə
deli	0.561	0.448	0.447	deli
deliberate	0.551	0.654	0.682	qəsdən
deliberation	0.561	0.678	0.596	müşavirə
deliberative	0.392	0.552	0.573	məsləhətçi
delicacy	0.812	0.279	0.336	zəriflik
delicate	0.583	0.294	0.366	zərif
delicatessen	0.656	0.474	0.400	delikates
delicious	0.927	0.650	0.589	dadlı
delight	0.949	0.666	0.647	ləzzət
delighted	0.938	0.664	0.685	sevindi
delightful	0.918	0.735	0.644	ləzzətli
delineate	0.448	0.430	0.445	təsvir etmək
delineation	0.521	0.402	0.314	təsvir
delinquency	0.135	0.860	0.508	qanun pozuntusu
delinquent	0.051	0.904	0.500	cinayətkar
delirious	0.219	0.774	0.538	delirious
delirium	0.233	0.694	0.484	delirium
deliver	0.583	0.370	0.582	çatdırmaq
deliverance	0.750	0.520	0.658	qurtuluş
delivery	0.704	0.461	0.786	çatdırılma
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	delta
delude	0.143	0.627	0.353	aldatmaq
deluge	0.245	0.714	0.612	daşqın
delusion	0.344	0.647	0.400	aldanma
delusional	0.219	0.745	0.327	xəyalpərəst
deluxe	0.792	0.612	0.755	lüks
delve	0.469	0.529	0.684	araşdırmaq
demand	0.292	0.673	0.500	tələb
demanding	0.396	0.750	0.828	tələb
demeaned	0.271	0.520	0.212	alçaltdı
demeaning	0.104	0.645	0.308	alçaldıcı
demeanor	0.633	0.433	0.657	davranış
demented	0.088	0.787	0.309	deli
dementia	0.092	0.779	0.337	demans
demise	0.104	0.596	0.456	ölüm
demo	0.510	0.314	0.423	demo
democracy	0.680	0.500	0.840	demokratiya
democrat	0.582	0.400	0.755	demokrat
democratic	0.802	0.519	0.798	demokratik
demographic	0.459	0.356	0.594	demoqrafik
demolish	0.125	0.632	0.700	sökmək
demolished	0.271	0.647	0.353	söküldü
demolition	0.133	0.827	0.541	söküntü
demon	0.037	0.908	0.509	Şeytan
demonic	0.146	0.875	0.600	şeytan
demonstrable	0.735	0.471	0.749	nümayiş etdirilə bilən
demonstrate	0.771	0.552	0.839	nümayiş etdirmək
demonstrated	0.617	0.500	0.649	nümayiş etdirdi
demonstrating	0.698	0.571	0.693	nümayiş etdirir
demonstration	0.551	0.676	0.679	nümayiş
demonstrative	0.656	0.528	0.736	nümayişkaranə
demonstrator	0.520	0.598	0.733	nümayişçi
demoralized	0.082	0.590	0.149	ruhdan düşmüş
demos	0.418	0.370	0.368	demolar
demure	0.690	0.315	0.417	təvazökar
den	0.510	0.347	0.398	den
deniability	0.230	0.509	0.417	inkarçılıq
denial	0.194	0.435	0.318	inkar
denied	0.188	0.604	0.333	inkar etdi
denim	0.520	0.382	0.327	denim
denomination	0.490	0.363	0.429	denominasiya
denominational	0.458	0.375	0.679	konfessional
denominator	0.450	0.410	0.613	məxrəc
denote	0.448	0.471	0.534	işarələmək
denounce	0.083	0.780	0.426	qınamaq
dense	0.354	0.343	0.536	sıx
density	0.602	0.471	0.561	sıxlıq
dent	0.306	0.606	0.325	diş
dental	0.573	0.404	0.463	diş
dentist	0.479	0.620	0.642	Diş həkimi
dentistry	0.429	0.570	0.569	stomatologiya
dentists	0.364	0.600	0.582	diş həkimləri
denunciation	0.146	0.830	0.561	danonsasiya
deny	0.316	0.667	0.321	inkar etmək
denying	0.080	0.542	0.272	inkar
deodorant	0.480	0.265	0.269	dezodorant
depart	0.398	0.480	0.444	yola düşmək
departed	0.245	0.536	0.391	yola düşdü
department	0.708	0.358	0.642	şöbəsi
departmental	0.612	0.422	0.446	şöbə
departure	0.573	0.500	0.426	gediş
depend	0.388	0.429	0.358	asılı
dependable	0.880	0.357	0.741	etibarlı
dependant	0.357	0.404	0.451	asılı
dependence	0.250	0.451	0.433	asılılıq
dependency	0.429	0.365	0.356	asılılıq
dependent	0.354	0.455	0.404	asılı
depict	0.663	0.529	0.723	təsvir etmək
depicting	0.490	0.566	0.602	təsvir edən
depletion	0.153	0.370	0.236	tükənmə
deplorable	0.135	0.657	0.230	acınacaqlı
deplore	0.135	0.575	0.373	təəssüflənmək
deploy	0.500	0.520	0.585	yerləşdirmək
deployment	0.510	0.520	0.612	yerləşdirmə
deport	0.167	0.667	0.546	deportasiya etmək
deportation	0.104	0.786	0.450	deportasiya
depose	0.286	0.420	0.451	salmaq
deposit	0.540	0.379	0.483	depozit
depositary	0.604	0.431	0.500	depozitari
deposition	0.394	0.510	0.471	çökmə
depository	0.551	0.373	0.481	depozitari
depot	0.635	0.255	0.471	Anbar
depraved	0.031	0.837	0.395	pozğun
depravity	0.115	0.854	0.453	pozğunluq
depreciate	0.270	0.623	0.445	amortizasiya etmək
depreciated	0.135	0.672	0.250	amortizasiya olunub
depreciation	0.143	0.571	0.386	amortizasiya
depress	0.219	0.635	0.528	depressiya etmək
depressed	0.024	0.445	0.136	depressiyada
depressing	0.146	0.559	0.216	depressiv
depression	0.031	0.520	0.232	depressiya
depressive	0.143	0.434	0.202	depressiv
depresson	0.135	0.400	0.308	depressiya
deprivation	0.194	0.610	0.413	məhrumiyyət
deprive	0.271	0.591	0.340	məhrum etmək
deprived	0.354	0.506	0.536	məhrum
depth	0.708	0.561	0.759	dərinlik
deputy	0.429	0.530	0.787	müavini
derail	0.108	0.802	0.375	relsdən çıxarmaq
deranged	0.376	0.868	0.357	pozulmuş
derelict	0.208	0.470	0.237	sahibsiz
derision	0.265	0.670	0.292	istehza
derivation	0.521	0.519	0.644	törəmə
derivative	0.541	0.491	0.508	törəmə
derive	0.396	0.324	0.360	əldə etmək
dermal	0.385	0.406	0.443	dermal
dermatologist	0.531	0.358	0.528	dermatoloq
dermatology	0.422	0.500	0.556	dermatologiya
derogation	0.208	0.460	0.327	istisna
derogatory	0.122	0.580	0.404	alçaldıcı
descend	0.385	0.535	0.231	enmək
descendant	0.684	0.420	0.625	nəsli
descendent	0.391	0.480	0.565	nəsli
descending	0.219	0.493	0.250	enən
descent	0.300	0.402	0.158	eniş
describe	0.542	0.472	0.555	təsvir etmək
description	0.582	0.425	0.596	təsviri
descriptive	0.667	0.352	0.570	təsviri
desecrate	0.255	0.806	0.509	ləkələmək
desecration	0.125	0.833	0.564	təhqir
desert	0.469	0.279	0.389	səhra
deserted	0.156	0.480	0.214	kimsəsiz
deserter	0.122	0.710	0.366	fərari
desertion	0.122	0.630	0.289	fərarilik
deserve	0.802	0.436	0.613	layiq olmaq
deserved	0.781	0.582	0.689	layiqdir
deserving	0.802	0.596	0.858	layiqdir
design	0.796	0.327	0.632	dizayn
designate	0.531	0.538	0.683	təyin
designated	0.500	0.412	0.616	təyin edilmişdir
designation	0.612	0.571	0.675	təyinat
designed	0.745	0.380	0.595	nəzərdə tutulmuşdur
designer	0.875	0.519	0.670	dizayner
designing	0.792	0.355	0.552	dizayn
desirability	0.684	0.550	0.675	arzuolunanlıq
desirable	0.740	0.735	0.750	arzu olunan
desire	0.896	0.692	0.647	arzu
desiring	0.814	0.821	0.632	arzulayan
desirous	0.719	0.824	0.562	arzulu
