English Word	Valence	Arousal	Dominance	Icelandic Word
crusade	0.592	0.720	0.709	krossferð
crusader	0.439	0.588	0.548	krossfari
crush	0.271	0.676	0.582	mylja
crushed	0.167	0.647	0.300	mulið
crusher	0.271	0.709	0.598	mulningsvél
crushing	0.219	0.755	0.411	myljandi
crust	0.542	0.337	0.456	skorpu
crusty	0.625	0.531	0.473	skorpu
crutch	0.302	0.294	0.302	hækju
crux	0.469	0.558	0.519	kjarni
cry	0.133	0.627	0.255	gráta
crybaby	0.375	0.702	0.311	vælukjói
crying	0.153	0.704	0.208	grátandi
crypt	0.156	0.431	0.386	crypt
cryptic	0.296	0.516	0.474	dulrænt
cryptography	0.490	0.415	0.650	dulmál
crystal	0.618	0.270	0.508	kristal
crystalline	0.765	0.235	0.534	kristallað
crystallization	0.600	0.449	0.565	kristöllun
cub	0.646	0.382	0.284	ungi
cubby	0.354	0.385	0.360	kúbbi
cube	0.469	0.226	0.274	teningur
cubic	0.458	0.306	0.407	rúmmetra
cubicle	0.479	0.343	0.417	klefa
cuckold	0.210	0.573	0.230	hökull
cuckoo	0.420	0.459	0.284	kúkur
cucumber	0.490	0.235	0.237	agúrka
cuddle	0.885	0.559	0.475	kúra
cuddled	0.906	0.547	0.567	kúrði
cuddles	0.847	0.382	0.500	kúra
cuddling	0.917	0.562	0.433	kúra
cue	0.521	0.433	0.484	röð
cuff	0.469	0.453	0.387	belg
cuisine	0.714	0.365	0.390	matargerð
culinary	0.654	0.443	0.519	matreiðslu
cull	0.365	0.702	0.464	aflát
culminate	0.667	0.550	0.602	ná hámarki
culmination	0.656	0.586	0.695	hámarki
culpability	0.112	0.745	0.368	sakhæfi
culpable	0.140	0.700	0.319	saknæm
culprit	0.062	0.676	0.333	sökudólgur
cult	0.448	0.535	0.648	sértrúarsöfnuður
cultivate	0.708	0.410	0.598	rækta
cultivated	0.837	0.343	0.564	ræktað
cultivation	0.625	0.324	0.462	ræktun
cultural	0.802	0.390	0.623	menningarlegt
culture	0.753	0.304	0.675	menningu
cultured	0.635	0.429	0.625	ræktað
culvert	0.337	0.324	0.343	ræsi
cumbersome	0.259	0.623	0.292	fyrirferðarmikill
cumulus	0.570	0.433	0.432	uppsöfnun
cunning	0.604	0.685	0.683	slægur
cunt	0.135	0.673	0.377	kút
cup	0.615	0.167	0.231	bolli
cupboard	0.553	0.200	0.304	skáp
cupcake	0.656	0.333	0.344	bollaköku
cupping	0.490	0.610	0.402	bollun
cur	0.440	0.519	0.460	cur
curable	0.823	0.292	0.574	læknanlegur
curate	0.726	0.418	0.526	yfirstjórn
curative	0.667	0.318	0.613	læknandi
curator	0.688	0.389	0.688	sýningarstjóri
curb	0.472	0.371	0.402	hamla
curd	0.542	0.442	0.278	osti
cure	0.719	0.377	0.623	lækna
curfew	0.219	0.618	0.623	útgöngubann
curiosity	0.750	0.755	0.463	forvitni
curious	0.635	0.600	0.483	forvitinn
curl	0.385	0.452	0.351	krulla
curling	0.583	0.592	0.400	krulla
currency	0.583	0.418	0.592	gjaldmiðil
current	0.625	0.312	0.612	núverandi
curriculum	0.708	0.306	0.620	námskrá
curry	0.633	0.345	0.302	karrí
curse	0.033	0.720	0.375	bölvun
cursed	0.083	0.783	0.393	bölvaður
cursing	0.112	0.860	0.446	bölvun
cursory	0.423	0.451	0.431	lauslega
curt	0.245	0.610	0.452	stutt
curtail	0.306	0.439	0.497	skerða
curtailment	0.230	0.578	0.431	skerðingu
curtain	0.698	0.278	0.304	fortjald
curtains	0.615	0.123	0.342	gardínur
curtsy	0.635	0.412	0.598	krúttlegt
curvature	0.417	0.367	0.447	sveigju
curve	0.480	0.375	0.307	ferill
curved	0.542	0.407	0.337	boginn
curvilinear	0.480	0.575	0.411	króklínulaga
cushion	0.653	0.221	0.292	púði
cushy	0.823	0.283	0.395	ljúfur
cusp	0.667	0.710	0.700	kúsp
cuss	0.354	0.538	0.443	kjaftæði
cussed	0.156	0.625	0.454	bölvaður
custard	0.618	0.260	0.293	vanilósa
custodial	0.418	0.462	0.718	gæsluvarðhald
custodian	0.594	0.625	0.528	forsjáraðili
custody	0.494	0.472	0.675	forsjá
custom	0.552	0.382	0.688	sérsniðin
customary	0.700	0.253	0.561	venjulegur
customer	0.562	0.430	0.673	viðskiptavinur
customized	0.625	0.504	0.590	sérsniðin
cut	0.490	0.490	0.393	skera
cutaneous	0.365	0.370	0.328	húð
cute	0.920	0.528	0.579	sætt
cuticle	0.340	0.320	0.377	naglabönd
cutie	0.638	0.528	0.464	sæta
cutlass	0.173	0.648	0.528	cutlass
cutlery	0.552	0.300	0.345	hnífapör
cutoff	0.432	0.510	0.518	skera af
cutter	0.427	0.731	0.583	skeri
cutters	0.197	0.653	0.491	skeri
cutthroat	0.110	0.823	0.663	hnífur
cutting	0.448	0.375	0.536	klippa
cutting board	0.337	0.540	0.342	skurðarbretti
cuttings	0.479	0.392	0.433	græðlingar
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	sýaníð
cyberspace	0.677	0.594	0.611	netheima
cycle	0.635	0.400	0.533	hringrás
cyclical	0.380	0.450	0.554	hringlaga
cyclist	0.684	0.582	0.576	hjólreiðamaður
cyclone	0.416	0.796	0.673	fellibylur
cylinder	0.459	0.324	0.447	strokka
cylindrical	0.458	0.294	0.414	sívalur
cymbal	0.542	0.363	0.362	bjalla
cynic	0.135	0.632	0.473	tortrygginn
cynical	0.156	0.760	0.474	tortrygginn
cynicism	0.104	0.780	0.454	tortryggni
cyst	0.173	0.578	0.312	blöðru
cystic	0.314	0.481	0.400	blöðruhálskirtli
cytomegalovirus	0.186	0.657	0.443	cýtómegalóveiru
cytoplasm	0.378	0.442	0.474	umfrymi
czar	0.480	0.348	0.643	hæstv
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	pæla
dabbling	0.562	0.726	0.676	pæling
dad	0.857	0.412	0.786	pabbi
daddy	0.795	0.400	0.736	pabbi
dado	0.510	0.240	0.364	dado
daemon	0.333	0.490	0.500	púkinn
daft	0.255	0.436	0.157	fífl
dagger	0.224	0.797	0.613	rýtingur
daily	0.653	0.347	0.473	daglega
dainty	0.604	0.284	0.424	ljúffengur
daiquiri	0.670	0.519	0.400	daiquiri
dairy	0.633	0.255	0.462	mjólkurvörur
daisy	0.562	0.367	0.333	Daisy
dak	0.510	0.417	0.424	dak
dale	0.622	0.270	0.365	dal
dam	0.250	0.553	0.394	stífla
damage	0.059	0.726	0.403	skemmdir
damaged	0.104	0.635	0.182	skemmd
damages	0.082	0.760	0.310	skaðabætur
dame	0.694	0.480	0.500	dama
damn	0.073	0.784	0.431	fjandinn
damnation	0.135	0.750	0.416	fordæming
damned	0.100	0.760	0.465	fjandinn
damp	0.360	0.279	0.210	rakt
dampened	0.271	0.422	0.336	vætt
damper	0.459	0.378	0.473	dempara
damsel	0.719	0.475	0.400	frú
dance	0.894	0.840	0.551	dansa
dancer	0.740	0.768	0.545	dansari
dancing	0.885	0.868	0.444	dansandi
dandruff	0.398	0.298	0.293	flasa
dandy	0.673	0.520	0.630	spæni
danger	0.115	0.923	0.673	hættu
dangerous	0.020	0.941	0.658	hættulegt
dangerously	0.082	0.930	0.564	hættulega
dangit	0.396	0.606	0.358	fjárinn
dangle	0.362	0.469	0.375	dangla
dank	0.390	0.381	0.383	þakklátur
dapper	0.770	0.560	0.698	flottur
dare	0.677	0.788	0.684	þora
daredevil	0.429	0.714	0.653	áhættuleikari
daresay	0.540	0.451	0.490	þora að segja
daring	0.583	0.840	0.711	áræði
dark	0.198	0.398	0.426	Myrkur
darken	0.250	0.471	0.382	myrkva
darkened	0.135	0.440	0.452	myrkvað
darkly	0.219	0.548	0.443	myrkur
darkness	0.102	0.602	0.418	myrkur
darkroom	0.188	0.627	0.423	Dimmt herbergi
darkside	0.102	0.690	0.365	dökk hlið
darling	0.885	0.370	0.608	elskan
darn	0.115	0.765	0.418	fjandinn
dart	0.417	0.608	0.500	píla
dash	0.574	0.312	0.324	strik
dashboard	0.510	0.371	0.595	mælaborð
dashed	0.276	0.393	0.338	strikað
dashing	0.612	0.627	0.799	hrífandi
dastardly	0.208	0.688	0.270	ömurlegt
data	0.500	0.250	0.426	gögn
database	0.604	0.286	0.644	gagnasafn
date	0.604	0.231	0.400	dagsetningu
datenight	0.708	0.637	0.518	stefnumótakvöld
daughter	0.908	0.415	0.455	dóttur
dawdle	0.479	0.464	0.357	djöfla
dawn	0.827	0.235	0.519	dögun
dawned	0.694	0.471	0.473	rann upp
day	0.719	0.269	0.389	dagur
daybreak	0.802	0.358	0.474	dögun
daycare	0.776	0.481	0.360	dagvistun
daydream	0.750	0.337	0.456	dagdraumur
daydreaming	0.776	0.360	0.479	dagdraumar
daylight	0.865	0.420	0.545	dagsbirtu
daymade	0.646	0.450	0.417	daggert
dayoff	0.760	0.368	0.377	frídag
daytime	0.750	0.324	0.454	dags
daze	0.245	0.735	0.329	svima
dazed	0.300	0.697	0.277	dased
dazzle	0.730	0.782	0.683	töfra
dazzling	0.854	0.880	0.767	töfrandi
deacon	0.531	0.430	0.736	djákni
deactivate	0.235	0.447	0.392	óvirkja
dead	0.052	0.454	0.194	dauður
deadbeat	0.229	0.453	0.368	dauður
deadline	0.214	0.615	0.460	frestur
deadlines	0.406	0.769	0.411	fresti
deadlock	0.170	0.418	0.323	dauðafæri
deadly	0.143	0.849	0.554	banvænn
deafening	0.281	0.835	0.482	heyrnarlaus
deafness	0.125	0.413	0.219	heyrnarleysi
deal	0.719	0.599	0.543	samningur
dealer	0.799	0.615	0.683	söluaðila
dealership	0.541	0.430	0.629	umboð
dealing	0.724	0.415	0.598	viðskiptum
dealings	0.600	0.491	0.480	viðskiptum
dean	0.612	0.469	0.723	deildarforseti
dear	0.880	0.434	0.629	kæri
dearest	0.902	0.427	0.508	kærustu
dearth	0.156	0.539	0.255	skortur
death	0.031	0.720	0.472	dauða
deathbed	0.051	0.652	0.311	dánarbeð
deathly	0.073	0.771	0.682	dauðans
debacle	0.156	0.606	0.266	ógöngur
debased	0.219	0.529	0.170	niðurlægjandi
debatable	0.181	0.610	0.474	umdeilanlegt
debate	0.408	0.691	0.683	umræðu
debauchery	0.354	0.901	0.500	lauslæti
debenture	0.417	0.500	0.466	skuldabréf
debilitating	0.125	0.490	0.308	lamandi
debit	0.333	0.400	0.474	debet
debrief	0.247	0.343	0.549	greinargerð
debriefing	0.427	0.580	0.456	skýrslugjöf
debris	0.135	0.396	0.327	rusl
debt	0.204	0.598	0.336	skuld
debtor	0.219	0.546	0.160	skuldara
debut	0.806	0.606	0.629	frumraun
debutante	0.771	0.627	0.454	frumraun
decade	0.531	0.402	0.665	Áratugur
decadence	0.237	0.455	0.291	decadence
decadent	0.290	0.559	0.324	decadent
decaf	0.480	0.324	0.353	koffeinlaust
decanter	0.438	0.567	0.510	karaffi
decathlon	0.573	0.753	0.620	tugþraut
decay	0.143	0.312	0.170	rotnun
decayed	0.017	0.375	0.169	rotnaði
decaying	0.073	0.510	0.214	rotnandi
deceased	0.021	0.538	0.188	látinn
decedent	0.423	0.481	0.415	dæmdur
deceit	0.020	0.696	0.343	svik
deceitful	0.071	0.788	0.371	svikul
deceive	0.094	0.775	0.414	blekkja
deceived	0.059	0.673	0.302	blekkt
deceiving	0.099	0.636	0.426	blekkjandi
december	0.740	0.540	0.464	desember
decency	0.750	0.235	0.634	velsæmi
decent	0.823	0.296	0.653	ágætis
deception	0.090	0.745	0.370	blekkingar
deceptive	0.027	0.605	0.294	villandi
decide	0.656	0.540	0.855	ákveða
decidedly	0.750	0.480	0.843	ákveðið
deciduous	0.385	0.353	0.282	laufgræn
decimal	0.507	0.259	0.305	aukastaf
decimeter	0.520	0.292	0.377	desimeter
decipher	0.417	0.630	0.652	ráða
decision	0.646	0.510	0.839	ákvörðun
decisive	0.740	0.509	0.935	afgerandi
deck	0.420	0.333	0.394	þilfari
declaration	0.551	0.590	0.714	yfirlýsingu
declaratory	0.635	0.582	0.673	yfirlýsandi
declare	0.677	0.623	0.668	lýsa
declination	0.250	0.549	0.311	höfnun
decline	0.173	0.491	0.240	hnignun
declining	0.328	0.400	0.264	minnkandi
deco	0.625	0.274	0.356	deco
decode	0.551	0.510	0.640	afkóða
decoder	0.562	0.340	0.686	afkóðara
decompose	0.194	0.596	0.241	brotna niður
decomposed	0.073	0.442	0.231	niðurbrotið
decomposition	0.133	0.600	0.263	niðurbrot
decompress	0.438	0.430	0.509	þjappað niður
decompression	0.208	0.520	0.311	þjöppun
decontamination	0.611	0.538	0.573	afmengun
decor	0.734	0.311	0.573	skraut
decorate	0.954	0.370	0.404	skreyta
decorating	0.863	0.548	0.462	skreyta
decoration	0.878	0.553	0.526	skraut
decorative	0.908	0.460	0.381	skrautlegur
decorator	0.840	0.471	0.455	skreytingamaður
decorum	0.802	0.327	0.462	skraut
decoy	0.149	0.460	0.330	tálbeiting
decrease	0.125	0.360	0.267	minnka
decreased	0.224	0.271	0.170	minnkaði
decreasing	0.320	0.346	0.224	minnkandi
decree	0.552	0.478	0.746	skipun
decrement	0.255	0.427	0.373	lækka
decrepit	0.156	0.490	0.225	afleitur
decry	0.400	0.814	0.548	hafna
decryption	0.459	0.445	0.600	afkóðun
dedicate	0.823	0.431	0.588	vígja
dedication	0.867	0.471	0.682	vígslu
deduce	0.490	0.510	0.466	álykta
deduct	0.355	0.330	0.412	draga frá
deductible	0.375	0.286	0.455	sjálfsábyrgð
deduction	0.438	0.462	0.527	frádráttur
deed	0.520	0.320	0.592	verk
deejay	0.551	0.630	0.473	deejay
deem	0.594	0.529	0.690	þykja
deep	0.490	0.473	0.657	djúpt
deepen	0.625	0.530	0.776	dýpka
deer	0.583	0.375	0.292	dádýr
defamation	0.110	0.670	0.481	ærumeiðingar
defamatory	0.143	0.688	0.402	ærumeiðandi
default	0.459	0.343	0.712	sjálfgefið
defeat	0.092	0.500	0.224	ósigur
defeated	0.104	0.582	0.145	sigraður
defeatist	0.163	0.567	0.315	ósigrandi
defect	0.135	0.561	0.185	galla
defection	0.146	0.594	0.330	brotthvarf
defective	0.122	0.580	0.274	gölluð
defector	0.163	0.696	0.286	liðhlaupari
defend	0.698	0.722	0.670	verja
defendant	0.250	0.710	0.491	stefnda
defended	0.663	0.451	0.582	varði
defender	0.639	0.708	0.750	varnarmaður
defending	0.604	0.871	0.812	verja
defense	0.652	0.698	0.802	vörn
defenseless	0.143	0.357	0.105	varnarlaus
defensible	0.740	0.509	0.593	verjanlegt
defensive	0.542	0.640	0.678	í vörn
defer	0.245	0.459	0.317	fresta
deference	0.510	0.396	0.447	virðingu
deferral	0.765	0.542	0.327	frestun
deferring	0.343	0.500	0.413	fresta
defiance	0.333	0.780	0.760	ögrun
defiant	0.250	0.792	0.769	ögrandi
defibrillator	0.398	0.663	0.431	hjartastuðtæki
deficiency	0.073	0.373	0.179	skortur
deficient	0.240	0.464	0.132	ábótavant
deficit	0.358	0.500	0.269	halla
define	0.688	0.415	0.632	skilgreina
defined	0.670	0.214	0.646	skilgreint
definite	0.708	0.292	0.741	ákveðið
definition	0.573	0.375	0.579	skilgreiningu
definitive	0.583	0.479	0.787	endanlegt
deflate	0.148	0.404	0.237	tæma loftið
deflation	0.287	0.536	0.407	verðhjöðnun
deflect	0.133	0.491	0.482	sveigja
deflection	0.188	0.500	0.382	beyging
defloration	0.188	0.690	0.434	hrörnun
deform	0.112	0.654	0.284	aflaga
deformed	0.198	0.435	0.308	vansköpuð
deformity	0.160	0.569	0.241	vansköpun
defraud	0.175	0.635	0.314	svíkja
defray	0.375	0.598	0.653	standast
defrost	0.427	0.317	0.389	afþíða
deft	0.719	0.575	0.849	flinkur
defunct	0.112	0.491	0.272	hætt
defuse	0.167	0.480	0.430	óvirkja
defy	0.353	0.884	0.657	ögra
degeneracy	0.143	0.720	0.298	hrörnun
degenerate	0.069	0.724	0.264	úrkynjast
degeneration	0.245	0.578	0.371	hrörnun
degradation	0.160	0.608	0.315	niðurbrot
degrade	0.083	0.500	0.184	niðurbrot
degraded	0.167	0.433	0.205	rýrnað
degrading	0.031	0.583	0.232	niðrandi
degree	0.724	0.365	0.663	gráðu
dehydrated	0.310	0.685	0.212	þurrkað
dehydration	0.188	0.472	0.259	ofþornun
dejected	0.104	0.654	0.347	niðurdreginn
delay	0.204	0.510	0.162	seinkun
delayed	0.188	0.490	0.216	seinkað
delectable	0.781	0.642	0.718	ljúffengur
delegate	0.612	0.491	0.658	fulltrúa
delegation	0.562	0.431	0.609	sendinefnd
delete	0.292	0.298	0.409	eyða
deleterious	0.297	0.725	0.440	skaðlegt
deletion	0.062	0.506	0.462	eyðingu
deli	0.561	0.448	0.447	sælkeraverslun
deliberate	0.551	0.654	0.682	vísvitandi
deliberation	0.561	0.678	0.596	umhugsun
deliberative	0.392	0.552	0.573	íhugandi
delicacy	0.812	0.279	0.336	lostæti
delicate	0.583	0.294	0.366	viðkvæmt
delicatessen	0.656	0.474	0.400	sælkeraverslun
delicious	0.927	0.650	0.589	ljúffengur
delight	0.949	0.666	0.647	gleði
delighted	0.938	0.664	0.685	ánægður
delightful	0.918	0.735	0.644	yndisleg
delineate	0.448	0.430	0.445	afmarka
delineation	0.521	0.402	0.314	afmörkun
delinquency	0.135	0.860	0.508	afbrot
delinquent	0.051	0.904	0.500	afbrotamaður
delirious	0.219	0.774	0.538	óráð
delirium	0.233	0.694	0.484	óráð
deliver	0.583	0.370	0.582	afhenda
deliverance	0.750	0.520	0.658	frelsun
delivery	0.704	0.461	0.786	afhendingu
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	delta
delude	0.143	0.627	0.353	blekking
deluge	0.245	0.714	0.612	flóð
delusion	0.344	0.647	0.400	blekking
delusional	0.219	0.745	0.327	blekkingar
deluxe	0.792	0.612	0.755	lúxus
delve	0.469	0.529	0.684	kafa
demand	0.292	0.673	0.500	heimta
demanding	0.396	0.750	0.828	krefjandi
demeaned	0.271	0.520	0.212	niðurlægður
demeaning	0.104	0.645	0.308	niðrandi
demeanor	0.633	0.433	0.657	framkomu
demented	0.088	0.787	0.309	heilabiluð
dementia	0.092	0.779	0.337	heilabilun
demise	0.104	0.596	0.456	fráfall
demo	0.510	0.314	0.423	kynningu
democracy	0.680	0.500	0.840	lýðræði
democrat	0.582	0.400	0.755	lýðræðis
democratic	0.802	0.519	0.798	lýðræðislegt
demographic	0.459	0.356	0.594	lýðfræðileg
demolish	0.125	0.632	0.700	rífa niður
demolished	0.271	0.647	0.353	rifin niður
demolition	0.133	0.827	0.541	niðurrif
demon	0.037	0.908	0.509	púki
demonic	0.146	0.875	0.600	djöfullegur
demonstrable	0.735	0.471	0.749	sannanlega
demonstrate	0.771	0.552	0.839	sýna fram á
demonstrated	0.617	0.500	0.649	sýnt fram á
demonstrating	0.698	0.571	0.693	sýna fram á
demonstration	0.551	0.676	0.679	sýnikennsla
demonstrative	0.656	0.528	0.736	sýnandi
demonstrator	0.520	0.598	0.733	sýnikennari
demoralized	0.082	0.590	0.149	siðblindur
demos	0.418	0.370	0.368	kynningar
demure	0.690	0.315	0.417	hógvær
den	0.510	0.347	0.398	den
deniability	0.230	0.509	0.417	afneitun
denial	0.194	0.435	0.318	afneitun
denied	0.188	0.604	0.333	hafnað
denim	0.520	0.382	0.327	denim
denomination	0.490	0.363	0.429	kirkjudeild
denominational	0.458	0.375	0.679	kirkjudeild
denominator	0.450	0.410	0.613	nefnara
denote	0.448	0.471	0.534	gefa til kynna
denounce	0.083	0.780	0.426	fordæma
dense	0.354	0.343	0.536	þétt
density	0.602	0.471	0.561	þéttleika
dent	0.306	0.606	0.325	beygla
dental	0.573	0.404	0.463	tannlækna
dentist	0.479	0.620	0.642	tannlæknir
dentistry	0.429	0.570	0.569	tannlækningar
dentists	0.364	0.600	0.582	tannlækna
denunciation	0.146	0.830	0.561	uppsögn
deny	0.316	0.667	0.321	afneita
denying	0.080	0.542	0.272	afneita
deodorant	0.480	0.265	0.269	svitalyktareyði
depart	0.398	0.480	0.444	fara
departed	0.245	0.536	0.391	fór
department	0.708	0.358	0.642	deild
departmental	0.612	0.422	0.446	deildar
departure	0.573	0.500	0.426	brottför
depend	0.388	0.429	0.358	háð
dependable	0.880	0.357	0.741	áreiðanlegur
dependant	0.357	0.404	0.451	háð
dependence	0.250	0.451	0.433	ósjálfstæði
dependency	0.429	0.365	0.356	ósjálfstæði
dependent	0.354	0.455	0.404	háð
depict	0.663	0.529	0.723	sýna
depicting	0.490	0.566	0.602	sýna
depletion	0.153	0.370	0.236	rýrnun
deplorable	0.135	0.657	0.230	ömurlegt
deplore	0.135	0.575	0.373	harma
deploy	0.500	0.520	0.585	dreifa
deployment	0.510	0.520	0.612	dreifing
deport	0.167	0.667	0.546	brottvísun
deportation	0.104	0.786	0.450	brottvísun
depose	0.286	0.420	0.451	leggja niður
deposit	0.540	0.379	0.483	innborgun
depositary	0.604	0.431	0.500	vörsluaðili
deposition	0.394	0.510	0.471	útfelling
depository	0.551	0.373	0.481	geymslu
depot	0.635	0.255	0.471	geymsla
depraved	0.031	0.837	0.395	siðspilltur
depravity	0.115	0.854	0.453	hrörnun
depreciate	0.270	0.623	0.445	lækka
depreciated	0.135	0.672	0.250	afskrifað
depreciation	0.143	0.571	0.386	gengislækkun
depress	0.219	0.635	0.528	þunglyndi
depressed	0.024	0.445	0.136	þunglyndur
depressing	0.146	0.559	0.216	niðurdrepandi
depression	0.031	0.520	0.232	þunglyndi
depressive	0.143	0.434	0.202	þunglyndi
depresson	0.135	0.400	0.308	þunglyndi
deprivation	0.194	0.610	0.413	sviptingu
deprive	0.271	0.591	0.340	svipta
deprived	0.354	0.506	0.536	sviptur
depth	0.708	0.561	0.759	dýpt
deputy	0.429	0.530	0.787	staðgengill
derail	0.108	0.802	0.375	fara af sporinu
deranged	0.376	0.868	0.357	brjálaður
derelict	0.208	0.470	0.237	eyðilagður
derision	0.265	0.670	0.292	háði
derivation	0.521	0.519	0.644	afleiðslu
derivative	0.541	0.491	0.508	afleiða
derive	0.396	0.324	0.360	leiða til
dermal	0.385	0.406	0.443	húð
dermatologist	0.531	0.358	0.528	húðsjúkdómalæknir
dermatology	0.422	0.500	0.556	húðsjúkdómafræði
derogation	0.208	0.460	0.327	undanþágu
derogatory	0.122	0.580	0.404	niðrandi
descend	0.385	0.535	0.231	fara niður
descendant	0.684	0.420	0.625	afkomandi
descendent	0.391	0.480	0.565	afkomandi
descending	0.219	0.493	0.250	lækkandi
descent	0.300	0.402	0.158	niðurkoma
describe	0.542	0.472	0.555	lýsa
description	0.582	0.425	0.596	lýsingu
descriptive	0.667	0.352	0.570	lýsandi
desecrate	0.255	0.806	0.509	afhelga
desecration	0.125	0.833	0.564	afhelgun
desert	0.469	0.279	0.389	eyðimörk
deserted	0.156	0.480	0.214	í eyði
deserter	0.122	0.710	0.366	liðhlaupi
desertion	0.122	0.630	0.289	liðhlaup
deserve	0.802	0.436	0.613	eiga skilið
deserved	0.781	0.582	0.689	verðskuldað
deserving	0.802	0.596	0.858	verðskuldað
design	0.796	0.327	0.632	hönnun
designate	0.531	0.538	0.683	tilnefna
designated	0.500	0.412	0.616	tilnefnd
designation	0.612	0.571	0.675	tilnefningu
designed	0.745	0.380	0.595	hannað
designer	0.875	0.519	0.670	hönnuður
designing	0.792	0.355	0.552	hönnun
desirability	0.684	0.550	0.675	æskilegt
desirable	0.740	0.735	0.750	æskilegt
desire	0.896	0.692	0.647	löngun
desiring	0.814	0.821	0.632	óskandi
desirous	0.719	0.824	0.562	óskandi
desist	0.220	0.358	0.291	hætta
desk	0.510	0.135	0.422	skrifborð
desolate	0.104	0.320	0.228	auðn
desolation	0.073	0.481	0.273	auðn
despair	0.115	0.794	0.245	örvæntingu
despairing	0.073	0.735	0.286	örvæntingarfullur
despatch	0.448	0.400	0.613	sendingu
desperado	0.260	0.745	0.361	desperado
desperate	0.083	0.842	0.337	örvæntingarfullur
desperation	0.125	0.904	0.419	örvænting
despicable	0.146	0.710	0.255	fyrirlitlegur
despise	0.167	0.745	0.296	fyrirlíta
despondent	0.133	0.378	0.221	niðurdreginn
despotic	0.141	0.824	0.592	despotic
despotism	0.255	0.696	0.620	despotism
dessert	0.755	0.491	0.404	eftirrétt
destination	0.708	0.471	0.637	áfangastað
destined	0.698	0.462	0.617	örlög
destiny	0.781	0.413	0.611	örlög
destitute	0.130	0.451	0.222	snauður
destroy	0.046	0.935	0.635	eyðileggja
destroyed	0.031	0.696	0.288	eytt
destroyer	0.083	0.830	0.543	eyðileggjandi
destroying	0.041	0.828	0.660	eyðileggjandi
destruct	0.071	0.868	0.525	eyðileggja
destruction	0.102	0.929	0.613	eyðileggingu
destructive	0.177	0.870	0.713	eyðileggjandi
detach	0.357	0.625	0.450	losa sig
detached	0.280	0.396	0.216	aðskilinn
detachment	0.243	0.700	0.443	aðskilnaður
detail	0.514	0.406	0.528	smáatriði
detailed	0.603	0.314	0.472	ítarleg
details	0.583	0.367	0.481	smáatriði
detain	0.351	0.345	0.430	kyrrsetja
detainee	0.306	0.510	0.321	fangi
detect	0.531	0.520	0.565	greina
detectable	0.479	0.539	0.649	greinanlegt
detection	0.708	0.567	0.538	uppgötvun
detective	0.500	0.764	0.901	einkaspæjara
detector	0.459	0.630	0.724	skynjari
detention	0.265	0.698	0.562	Eftirseta
deter	0.344	0.537	0.567	hindra
detergent	0.458	0.304	0.426	þvottaefni
deteriorate	0.083	0.471	0.202	versna
deteriorated	0.053	0.549	0.237	versnað
deteriorating	0.104	0.459	0.112	versnandi
deterioration	0.130	0.512	0.283	hnignun
determinable	0.625	0.565	0.723	ákvarðanlegur
determinate	0.630	0.314	0.772	ákveðinn
determination	0.776	0.725	0.795	ákveðni
determine	0.612	0.368	0.776	ákveða
determined	0.760	0.528	0.673	ákveðin
deterrent	0.292	0.461	0.385	fælingarmáttur
detest	0.083	0.800	0.492	hata
detestation	0.177	0.637	0.412	andstyggð
detonate	0.375	0.850	0.696	sprengja
detonation	0.167	0.931	0.741	sprenging
detonator	0.207	0.875	0.750	hvellhettur
detour	0.398	0.539	0.309	hjáleið
detract	0.344	0.438	0.368	draga úr
detriment	0.281	0.538	0.263	skaðsemi
detrimental	0.203	0.679	0.387	skaðleg
detritus	0.276	0.353	0.363	afgangur
deuce	0.479	0.338	0.425	tvisvar
deutschmark	0.439	0.431	0.509	þýska merki
devalued	0.321	0.462	0.212	gengisfellt
devastate	0.021	0.796	0.509	hrikalegt
devastated	0.120	0.544	0.264	eyðilagður
devastating	0.104	0.856	0.419	hrikalegt
devastation	0.090	0.904	0.472	eyðileggingu
develop	0.771	0.670	0.821	þróast
developer	0.844	0.653	0.864	verktaki
developing	0.833	0.587	0.714	þróast
development	0.827	0.500	0.796	þróun
deviant	0.094	0.589	0.398	frávik
deviate	0.173	0.562	0.269	víkja
deviating	0.354	0.634	0.536	frávikandi
deviation	0.105	0.513	0.336	frávik
device	0.562	0.404	0.627	tæki
devil	0.161	0.900	0.611	djöfull
deviled	0.347	0.559	0.358	djöfull
devilish	0.073	0.865	0.490	djöfullegt
devious	0.250	0.519	0.259	dónalegur
devise	0.551	0.557	0.670	hugleiða
devoid	0.219	0.436	0.300	skortur
devolution	0.345	0.434	0.425	valddreifing
devolve	0.367	0.427	0.596	dreifa
devote	0.802	0.490	0.642	helga
devoted	0.867	0.320	0.698	hollur
devotee	0.816	0.461	0.577	fylgjandi
devotion	0.802	0.561	0.673	hollustu
devotional	0.740	0.394	0.655	guðrækni
devour	0.344	0.888	0.574	éta
devout	0.620	0.357	0.464	trúrækinn
dew	0.604	0.225	0.464	dögg
dexter	0.458	0.473	0.444	handlaginn
dexterity	0.771	0.673	0.864	handlagni
dextrose	0.333	0.402	0.323	dextrose
diabetes	0.051	0.472	0.279	sykursýki
