English Word	Valence	Arousal	Dominance	Luxembourgish Word
candlestick	0.448	0.531	0.534	Käerzenhirstellung
candor	0.740	0.389	0.607	candor
candy	0.930	0.425	0.384	Séissegkeeten
cane	0.459	0.298	0.398	cane
canine	0.573	0.569	0.425	canine
canister	0.553	0.271	0.403	canister
canker	0.262	0.469	0.427	Kriibs
cannabis	0.271	0.500	0.564	Cannabis
canned	0.398	0.357	0.298	Konserven
cannibal	0.122	0.824	0.480	Kannibal
cannibalism	0.094	0.890	0.583	Kannibalismus
canning	0.490	0.392	0.259	Konserven
cannon	0.529	0.676	0.811	Kanoun
cannonball	0.344	0.840	0.759	Cannonball
canoe	0.542	0.300	0.418	Kanu
canon	0.385	0.519	0.541	kanon
canonical	0.542	0.410	0.620	kanonesch
canons	0.385	0.588	0.593	Canons
canopy	0.615	0.264	0.398	Canopy
cantaloupe	0.592	0.212	0.276	cantaloupe
cantbreathe	0.284	0.667	0.375	kann net otmen
canteen	0.688	0.600	0.514	Kantine
canterbury	0.582	0.438	0.510	canterbury
canthandleit	0.354	0.613	0.354	kann handhaben
cantilever	0.357	0.618	0.421	cantilever
cantina	0.646	0.612	0.380	cantina
canto	0.776	0.461	0.554	canto
canton	0.542	0.472	0.536	Kanton
cantstandit	0.418	0.546	0.343	kann net stoen
cantwin	0.260	0.509	0.298	cantwin
canvas	0.719	0.090	0.364	Leinwand
canvass	0.675	0.356	0.397	canvass
canyon	0.468	0.731	0.634	Canyon
cap	0.612	0.240	0.375	kap
capability	0.833	0.571	0.730	Fäegkeet
capable	0.765	0.587	0.547	kapabel
capacity	0.719	0.411	0.806	Kapazitéit
cape	0.531	0.235	0.357	kap
caper	0.510	0.370	0.326	kaper
capillary	0.469	0.365	0.395	kapillär
capital	0.520	0.500	0.798	Haaptstad
capitalism	0.448	0.686	0.848	Kapitalismus
capitalist	0.352	0.577	0.821	kapitalistesch
capitalize	0.771	0.601	0.885	kapitaliséieren
capitals	0.755	0.500	0.655	Haaptstied
capitation	0.479	0.529	0.589	capitation
capitol	0.535	0.375	0.705	capitol
capitulation	0.375	0.546	0.615	kapitulatioun
cappuccino	0.792	0.279	0.384	cappuccino
caprice	0.333	0.640	0.430	caprice
capricious	0.221	0.650	0.500	kapricious
caps	0.510	0.221	0.368	Kappen
capslock	0.330	0.394	0.398	capslock
capsule	0.583	0.290	0.570	Kapsel
captain	0.552	0.653	0.966	Kapitän
caption	0.814	0.292	0.379	caption
captivate	0.698	0.604	0.723	begeeschteren
captivating	0.895	0.594	0.816	faszinéierend
captive	0.235	0.558	0.411	gefaangen
captivity	0.225	0.493	0.387	Gefangenschaft
captor	0.347	0.625	0.612	captor
capture	0.357	0.650	0.537	erfaassen
car	0.776	0.540	0.500	auto
caramel	0.901	0.363	0.400	karamell
carat	0.823	0.604	0.676	karat
caravan	0.635	0.559	0.455	caravan
carbon	0.604	0.360	0.350	Kuelestoff
carburetor	0.469	0.612	0.555	Vergaser
carcass	0.115	0.529	0.309	Kadaver
carcinoma	0.153	0.692	0.440	Karzinom
card	0.531	0.269	0.436	Kaart
cardboard	0.500	0.173	0.309	Kartong
cardiac	0.344	0.765	0.615	Häerz
cardigan	0.599	0.324	0.264	cardigan
cardinal	0.583	0.358	0.712	Kardinal
cardiologist	0.458	0.630	0.814	Kardiolog
cardiology	0.203	0.545	0.605	kardiologie
cardiomyopathy	0.177	0.645	0.537	Kardiomyopathie
cards	0.568	0.317	0.320	Kaarten
care	0.729	0.370	0.500	këmmeren
career	0.740	0.712	0.606	Carrière
carefree	0.755	0.220	0.500	suergfälteg
careful	0.625	0.538	0.530	virsiichteg
carefully	0.698	0.330	0.544	virsiichteg
careless	0.255	0.431	0.125	onsécher
carelessness	0.245	0.482	0.330	Suerglosegkeet
caress	0.833	0.418	0.509	strecken
caret	0.656	0.402	0.527	caret
caretaker	0.714	0.531	0.759	Betreier
cargo	0.408	0.444	0.455	cargo
caribou	0.562	0.452	0.342	karibou
caricature	0.604	0.373	0.383	Karikatur
caries	0.115	0.569	0.283	karies
caring	0.635	0.469	0.500	këmmeren
carjack	0.438	0.682	0.439	carjack
carnage	0.406	0.600	0.558	bluddeg
carnal	0.417	0.679	0.421	fleesch
carnation	0.653	0.357	0.431	Nellik
carnival	0.927	0.888	0.555	Fuesent
carnivorous	0.224	0.613	0.651	fleischeg
carol	0.673	0.412	0.436	carol
carols	0.847	0.420	0.491	carols
carousel	0.704	0.500	0.412	Karussell
carp	0.531	0.324	0.375	karp
carpal	0.449	0.327	0.420	karpal
carpenter	0.521	0.550	0.519	Schräiner
carpentry	0.561	0.459	0.518	Schräinerei
carpet	0.520	0.170	0.339	Teppech
carpeting	0.542	0.312	0.444	Teppech
carpool	0.625	0.509	0.500	carpool
carriage	0.650	0.538	0.491	Wagon
carried	0.490	0.382	0.534	gedroen
carrier	0.533	0.588	0.638	carrier
carrot	0.500	0.235	0.279	Muert
carry	0.635	0.380	0.500	droen
carrying	0.656	0.557	0.443	droen
carsick	0.224	0.574	0.255	autokrank
cart	0.520	0.344	0.388	Weenchen
carte	0.592	0.320	0.274	carte
cartel	0.438	0.394	0.602	Kartell
carter	0.312	0.480	0.431	carter
cartilage	0.438	0.370	0.407	Knorpel
cartographic	0.490	0.348	0.424	kartographesch
cartography	0.520	0.300	0.579	Kartographie
carton	0.286	0.186	0.241	Kartong
cartoon	0.867	0.471	0.387	Cartoon
cartouche	0.427	0.458	0.450	cartouche
cartridge	0.458	0.500	0.407	Cartouche
carve	0.469	0.443	0.598	schneiden
carver	0.418	0.500	0.500	carver
carving	0.541	0.444	0.368	Schnëtt
cascade	0.735	0.509	0.395	Kaskade
case	0.427	0.275	0.441	Fall
casein	0.470	0.436	0.415	kasein
cash	0.867	0.552	0.714	boer
cashier	0.615	0.413	0.484	Keesseberäich
cashmere	0.653	0.452	0.439	kaschmir
casing	0.458	0.327	0.328	casing
casino	0.542	0.684	0.568	Casino
cask	0.490	0.398	0.444	faass
casket	0.125	0.490	0.346	këscht
casserole	0.570	0.360	0.328	Kasserol
cassette	0.490	0.334	0.355	Kassett
cast	0.558	0.620	0.517	Besetzung
castaway	0.208	0.646	0.422	castaway
caste	0.510	0.333	0.374	Kaste
caster	0.604	0.670	0.647	caster
castle	0.680	0.396	0.718	Schlass
castor	0.583	0.337	0.368	Castor
castrate	0.177	0.485	0.519	kastréieren
castration	0.198	0.735	0.381	kastratioun
casual	0.643	0.224	0.385	geleeëntleche
casually	0.658	0.290	0.333	zoufälleg
casualty	0.235	0.274	0.132	Affer
cat	0.667	0.260	0.370	katz
catabolism	0.265	0.573	0.605	Katabolismus
catalog	0.561	0.221	0.573	Katalog
catalogue	0.647	0.327	0.533	Katalog
catalysis	0.385	0.559	0.531	Katalyse
catalyst	0.604	0.509	0.585	Katalysator
catalytic	0.562	0.519	0.563	katalytesch
catamaran	0.571	0.566	0.526	Katamaran
catapult	0.480	0.830	0.649	katapult
cataract	0.406	0.545	0.549	Katarakt
catastrophe	0.146	0.952	0.670	Katastroph
catastrophic	0.071	0.934	0.598	katastrofal
catatonic	0.255	0.500	0.509	katatonesch
catch	0.531	0.437	0.552	fangen
catcher	0.653	0.413	0.540	Fanger
catching	0.490	0.788	0.644	opfänken
catchphrase	0.698	0.423	0.433	Schlagzeil
catchy	0.677	0.441	0.462	opfälleg
catechism	0.656	0.236	0.613	Katechismus
categorical	0.615	0.442	0.760	kategoresch
category	0.571	0.264	0.521	Kategorie
cater	0.802	0.500	0.509	këmmeren
caterer	0.550	0.557	0.644	Traiteur
caterpillar	0.461	0.286	0.330	Raupen
cates	0.370	0.394	0.407	cates
catfish	0.458	0.337	0.296	Kascht
cathartic	0.450	0.510	0.604	kathartesch
cathedral	0.598	0.330	0.643	Kathedral
catheter	0.336	0.491	0.373	katheter
cathouse	0.327	0.375	0.363	cathouse
catnip	0.439	0.381	0.296	Katzennipp
cattle	0.622	0.340	0.445	Ranner
catwalk	0.698	0.436	0.464	catwalk
caucus	0.418	0.311	0.491	caucus
caudal	0.500	0.425	0.583	caudal
cauldron	0.510	0.486	0.418	Kessel
cauliflower	0.448	0.255	0.231	Choufleur
caulk	0.367	0.500	0.418	kack
causal	0.562	0.367	0.491	kausal
causality	0.500	0.378	0.336	kausalitéit
causation	0.562	0.480	0.567	Ursaachen
cause	0.469	0.373	0.486	Ursaach
caused	0.344	0.520	0.382	verursaacht
causeway	0.453	0.382	0.422	Causeway
caution	0.552	0.712	0.547	virsiichteg
cautionary	0.510	0.541	0.519	virsiichteg
cautious	0.470	0.445	0.517	virsiichteg
cautiously	0.510	0.388	0.525	virsiichteg
cavalier	0.735	0.462	0.713	cavalier
cavalry	0.667	0.727	0.794	Kavallerie
cave	0.459	0.333	0.380	Höhl
caveat	0.344	0.629	0.484	Opgepasst
caveman	0.235	0.644	0.482	Höhlmann
cavern	0.323	0.360	0.365	cavern
cavernous	0.354	0.548	0.462	cavernous
caviar	0.906	0.394	0.481	kaviar
caving	0.378	0.491	0.551	caving
cavity	0.466	0.385	0.379	Kavitéit
cayenne	0.615	0.306	0.355	cayenne
cease	0.388	0.250	0.420	ophalen
ceasefire	0.542	0.594	0.567	Waffestëllstand
ceaseless	0.378	0.704	0.658	onendlech
cedar	0.560	0.267	0.577	Zeder
cede	0.275	0.327	0.402	ofginn
ceiling	0.520	0.224	0.366	Plafong
celebrant	0.865	0.656	0.643	feieren
celebrate	0.917	0.857	0.859	feieren
celebrated	0.875	0.690	0.763	gefeiert
celebrating	0.927	0.860	0.773	feieren
celebration	0.939	0.824	0.880	Feier
celebrations	0.958	0.794	0.714	Feierdeeg
celebratory	0.857	0.653	0.845	feierlech
celebrity	0.760	0.619	0.855	Promi
celery	0.396	0.147	0.223	Sellerie
celestial	0.817	0.360	0.731	Himmelskierper
celibacy	0.302	0.276	0.509	Zölibat
celibate	0.419	0.387	0.391	celibat
cell	0.541	0.375	0.465	Zell
cellar	0.510	0.277	0.406	Keller
cellblock	0.186	0.570	0.500	cellblock
cellist	0.667	0.500	0.486	cellist
cellmate	0.167	0.684	0.349	cellmate
cello	0.635	0.324	0.528	cello
cellophane	0.648	0.282	0.289	cellofan
cellular	0.643	0.398	0.517	cellulär
cellulite	0.200	0.384	0.256	cellulite
celluloid	0.469	0.440	0.425	celluloid
cement	0.544	0.265	0.527	Zement
cemented	0.429	0.382	0.537	zementéiert
cemetery	0.051	0.630	0.417	Kierfecht
censor	0.344	0.276	0.538	Zensur
censorship	0.219	0.698	0.421	Zensur
censure	0.219	0.653	0.417	Zensur
census	0.449	0.289	0.553	Vollekszielung
cent	0.439	0.367	0.402	Cent
centenary	0.604	0.440	0.642	Joerhonnert
centennial	0.583	0.394	0.700	Joerhonnert
center	0.643	0.231	0.431	Zentrum
centerfold	0.571	0.407	0.485	zentraalt Ziel
centerpiece	0.594	0.208	0.520	Mëttelpunkt
centimeter	0.427	0.280	0.380	Zentimeter
centipede	0.296	0.399	0.361	Joerhonnert
central	0.640	0.356	0.621	zentral
centrality	0.571	0.312	0.709	Zentralitéit
centralization	0.521	0.440	0.702	Zentraliséierung
centralize	0.684	0.427	0.802	zentraliséieren
centrally	0.729	0.280	0.700	zentral
centrifugal	0.306	0.651	0.480	centrifugal
centrifuge	0.495	0.622	0.527	Zentrifuge
centurion	0.590	0.447	0.696	Centurion
century	0.407	0.347	0.735	Joerhonnert
ceramic	0.521	0.255	0.371	Keramik
ceramics	0.573	0.250	0.373	Keramik
cereal	0.612	0.206	0.316	Getreide
cereals	0.719	0.224	0.311	Getreide
cerebral	0.408	0.509	0.627	zerebrale
ceremonial	0.771	0.540	0.691	Zeremoniell
ceremony	0.760	0.559	0.761	Zeremonie
certain	0.760	0.358	0.673	bestëmmt
certainty	0.781	0.400	0.769	Sécherheet
certifiable	0.714	0.427	0.662	zertifizéiert
certificate	0.786	0.377	0.746	Zertifikat
certified	0.781	0.422	0.806	zertifizéiert
certify	0.866	0.400	0.746	zertifiéieren
cervical	0.375	0.413	0.445	cervical
cervix	0.429	0.360	0.340	cervix
cess	0.427	0.375	0.406	cess
cessation	0.414	0.385	0.358	Cessatioun
cesspool	0.167	0.460	0.409	cesspool
cha cha	0.714	0.546	0.324	cha cha
chaff	0.333	0.327	0.188	kaf
chafing	0.430	0.415	0.368	schaaft
chagrin	0.104	0.704	0.472	traureg
chagrined	0.112	0.745	0.361	gekrasch
chai	0.500	0.375	0.363	chai
chain	0.378	0.500	0.547	Kette
chainsaw	0.367	0.804	0.636	chainsaw
chair	0.562	0.082	0.276	Stull
chairman	0.656	0.567	0.933	President
chairperson	0.730	0.657	0.966	President
chairwoman	0.719	0.664	0.953	Presidentin
chaise	0.406	0.349	0.327	chaise
chalet	0.653	0.349	0.278	Chalet
chalice	0.633	0.286	0.529	kegel
chalk	0.385	0.185	0.121	kritt
challenge	0.469	0.922	0.713	erauszefuerderen
challenger	0.417	0.755	0.652	Challenger
chamber	0.583	0.373	0.455	Chamber
chambermaid	0.594	0.375	0.336	Kammermeier
chambers	0.542	0.442	0.388	Chambers
chameleon	0.490	0.580	0.345	chamäleon
champ	0.854	0.754	0.896	Champion
champagne	0.760	0.600	0.454	Schampes
champion	0.890	0.880	0.945	Champion
championship	0.833	0.800	0.880	Championnat
chance	0.833	0.551	0.525	Chance
chancellor	0.646	0.500	0.887	Kanzlerin
chandelier	0.615	0.542	0.366	Lüster
chandler	0.510	0.452	0.454	chandler
change	0.625	0.575	0.606	änneren
changeable	0.490	0.480	0.528	verännerbar
changed	0.594	0.375	0.491	geännert
changer	0.583	0.519	0.567	changer
changing	0.571	0.569	0.461	änneren
channel	0.490	0.287	0.405	Kanal
chant	0.771	0.698	0.650	gesongen
chaos	0.016	0.923	0.373	chaos
chaotic	0.115	0.847	0.442	chaotesch
chap	0.550	0.410	0.345	Kap
chapel	0.573	0.240	0.440	kapell
chaperon	0.500	0.520	0.404	chaperon
chaplain	0.582	0.370	0.577	Kaploun
chapman	0.562	0.529	0.465	chapman
chaps	0.350	0.462	0.350	chaps
chapter	0.580	0.308	0.461	Kapitel
char	0.554	0.361	0.404	char
character	0.667	0.373	0.686	Charakter
characteristic	0.583	0.328	0.538	charakteristesch
characterize	0.729	0.471	0.735	charakteriséieren
charade	0.458	0.550	0.346	charade
charcoal	0.302	0.186	0.342	Holzkuel
chardonnay	0.677	0.567	0.492	chardonnay
charge	0.510	0.633	0.785	charge
chargeable	0.551	0.550	0.453	chargeable
charger	0.531	0.418	0.545	Chargeur
chariot	0.684	0.550	0.491	Gefier
charisma	0.938	0.591	0.759	charisma
charismatic	0.938	0.684	0.849	charismatesch
charitable	0.865	0.380	0.593	karitativ
charity	0.920	0.284	0.551	karitativ
charlatan	0.200	0.640	0.352	charlatan
charm	0.833	0.363	0.649	charme
charmed	0.938	0.570	0.769	charméiert
charmer	0.882	0.683	0.782	charmeur
charming	0.917	0.660	0.764	charmante
charred	0.208	0.676	0.373	verkoolt
chart	0.469	0.317	0.330	diagramm
charter	0.677	0.382	0.518	Charta
chartered	0.569	0.460	0.490	charakteriséiert
chase	0.396	0.878	0.623	verfollegen
chased	0.188	0.830	0.287	gejot
chaser	0.375	0.830	0.645	chaser
chasm	0.265	0.579	0.500	kromme
chassis	0.406	0.342	0.444	Chassis
chaste	0.408	0.248	0.453	chaste
chastened	0.156	0.580	0.345	gestrach
chastisement	0.156	0.852	0.462	Chastement
chastity	0.469	0.392	0.509	Kënschtlechkeet
chat	0.729	0.400	0.346	chatten
chateau	0.615	0.464	0.702	Schlass
chatter	0.560	0.450	0.347	geschwat
chatterbox	0.459	0.548	0.482	chatterbox
chattering	0.460	0.663	0.304	geschwat
chatty	0.594	0.548	0.345	chatty
chauffeur	0.500	0.353	0.471	chauffeur
chauvinist	0.310	0.539	0.527	chauvinistesch
cheap	0.612	0.471	0.272	bëlleg
cheapened	0.471	0.611	0.282	bëlleg
cheapskate	0.148	0.482	0.327	bëlleg Skate
cheat	0.125	0.776	0.400	fuddelen
cheater	0.104	0.920	0.333	fuddelen
check	0.523	0.552	0.602	kontrolléieren
checkbook	0.552	0.284	0.364	Scheckbuch
checker	0.330	0.417	0.553	checker
checkered	0.459	0.316	0.336	gekackt
checkers	0.676	0.451	0.437	checkers
checklist	0.561	0.521	0.552	checklist
checkmate	0.667	0.708	0.750	Schachmatt
checkout	0.597	0.510	0.670	ofmellen
checkpoint	0.571	0.323	0.812	Kontrollpunkt
checkup	0.500	0.435	0.491	iwwerpréift
cheek	0.670	0.314	0.421	kack
cheeks	0.708	0.324	0.282	déck
cheeky	0.434	0.679	0.410	frech
cheep	0.367	0.380	0.373	cheep
cheer	0.938	0.784	0.845	jubelen
cheered	0.875	0.648	0.790	gejot
cheerful	0.990	0.720	0.696	lëschteg
cheerfulness	0.969	0.802	0.675	Freedlechkeet
cheering	0.815	0.824	0.642	jubelen
cheerleader	0.923	0.746	0.657	cheerleader
cheerleading	0.698	0.769	0.404	cheerleading
cheerless	0.204	0.373	0.167	cheerless
cheers	0.948	0.770	0.702	Prost
cheery	0.949	0.657	0.486	frëndlech
cheese	0.740	0.280	0.281	Kéis
cheeseburger	0.802	0.529	0.336	cheeseburger
cheesecake	0.860	0.276	0.238	Kéisekuch
cheesy	0.470	0.471	0.179	cheesy
cheetah	0.469	0.770	0.667	Gepard
chef	0.854	0.411	0.570	Chef
chemical	0.337	0.560	0.508	chemesch
chemise	0.530	0.275	0.364	chemise
chemist	0.408	0.575	0.610	Chemiker
chemistry	0.625	0.520	0.694	Chimie
chemo	0.214	0.686	0.444	chemo
chemotherapy	0.163	0.689	0.517	Chemotherapie
cheque	0.698	0.529	0.660	kontrolléieren
cherish	0.896	0.491	0.652	schätzen
cherishing	0.836	0.380	0.625	schätzen
cherry	0.688	0.186	0.250	Kiischt
cherub	0.663	0.340	0.455	cherub
chess	0.656	0.363	0.518	Schach
chest	0.520	0.429	0.481	Këscht
chestnut	0.714	0.210	0.294	Käscht
chevron	0.469	0.469	0.598	chevron
chew	0.520	0.490	0.404	kauen
chewy	0.625	0.418	0.390	knaschteg
chic	0.870	0.624	0.380	schick
chicane	0.357	0.460	0.481	chicane
chick	0.771	0.602	0.387	chick
chicken	0.594	0.306	0.394	Poulet
chicken pox	0.194	0.510	0.415	Waasserpouken
chickenpox	0.173	0.562	0.357	Waasserpouken
chief	0.520	0.544	0.869	Chef
chiefly	0.600	0.587	0.764	haaptsächlech
chieftain	0.343	0.529	0.860	Chef
chiffon	0.406	0.230	0.250	chiffon
child	0.912	0.460	0.413	Kand
childbirth	0.604	0.861	0.673	accouchement
childhood	0.865	0.413	0.307	Kandheet
childish	0.573	0.442	0.230	kannerech
childless	0.310	0.400	0.396	kannerlos
childlike	0.656	0.372	0.293	kannerlech
childloss	0.240	0.571	0.421	Kand Verloscht
children	0.857	0.538	0.435	Kanner
chili	0.592	0.566	0.433	chili
chill	0.837	0.206	0.482	chill
chilled	0.521	0.340	0.482	gekillt
chilling	0.208	0.850	0.358	killen
chilly	0.329	0.459	0.408	kal
chime	0.573	0.541	0.464	këmmeren
chimera	0.292	0.582	0.372	chimera
chimes	0.625	0.490	0.402	chimes
chimney	0.583	0.286	0.225	Kamäin
chimp	0.394	0.588	0.345	Schimpans
chimpanzee	0.500	0.633	0.387	Schimpans
chin	0.571	0.310	0.269	Kënn
china	0.561	0.443	0.556	China
chinchilla	0.480	0.450	0.286	chinchilla
chine	0.561	0.360	0.352	chine
chinook	0.408	0.497	0.491	chinook
chip	0.479	0.382	0.452	chip
chipmunk	0.573	0.562	0.409	chipmunk
chipper	0.418	0.588	0.500	chipper
chipping	0.354	0.452	0.353	chippen
chiropractor	0.420	0.549	0.651	kiropraktor
chirp	0.469	0.602	0.365	chipp
chirping	0.500	0.463	0.360	kierperen
chisel	0.469	0.404	0.452	Meissel
chiseler	0.429	0.606	0.464	chiseler
chit	0.490	0.352	0.321	chitt
chitchat	0.673	0.455	0.403	schwatzen
chivalry	0.857	0.380	0.848	Ridderlechkeet
chloride	0.265	0.387	0.474	chlorid
chlorine	0.306	0.327	0.332	chlor
chloroform	0.281	0.370	0.393	chloroform
chocolate	0.885	0.480	0.418	Schockela
choice	0.745	0.520	0.664	Choix
choir	0.704	0.298	0.473	chouer
choke	0.167	0.788	0.676	erstécken
cholera	0.020	0.867	0.507	cholera
cholesterol	0.198	0.583	0.398	Cholesterin
choose	0.615	0.542	0.648	wielt
choosing	0.719	0.529	0.689	auswielen
choosy	0.280	0.760	0.712	ausgesicht
chop	0.250	0.655	0.467	chop
chopper	0.594	0.560	0.509	chopper
choppers	0.469	0.745	0.691	choppers
chopping	0.560	0.625	0.362	schneiden
chops	0.612	0.420	0.269	koteletten
choral	0.852	0.290	0.421	choral
chord	0.729	0.394	0.539	akkord
chords	0.639	0.406	0.388	Akkorde
chore	0.406	0.462	0.500	chore
choreographer	0.646	0.639	0.625	choreograph
choreography	0.812	0.750	0.547	Choreographie
chorus	0.620	0.417	0.500	chouer
chosen	0.865	0.449	0.833	gewielt
chow	0.573	0.490	0.390	chow
chowder	0.510	0.324	0.241	chowder
christ	0.781	0.510	0.750	Chrëschtdag
christen	0.673	0.356	0.588	christen
christening	0.725	0.382	0.650	Daf
christmas	0.959	0.520	0.741	Chrëschtdag
christmasbreak	0.842	0.640	0.548	Chrëschtdag
christmaseve	0.812	0.491	0.463	Hellegowend
christmasspirit	0.867	0.602	0.575	Chrëschtgeescht
christmassy	0.875	0.698	0.602	Chrëschtdag
christmastime	0.837	0.588	0.515	Chrëschtdag
chromatic	0.407	0.413	0.435	chromatesch
chromatography	0.480	0.537	0.535	chromatographie
chrome	0.582	0.373	0.421	chrome
chromium	0.458	0.404	0.447	chrom
chromosome	0.500	0.296	0.548	chromosom
chronic	0.255	0.615	0.464	chronesch
chronicle	0.427	0.571	0.586	Chronik
chronograph	0.500	0.392	0.529	chronograph
chronological	0.594	0.445	0.600	chronologesch
chubby	0.531	0.427	0.304	mëll
chuck	0.542	0.509	0.413	kuck
chuckle	0.844	0.736	0.481	lachen
chug	0.401	0.413	0.358	kuck
chum	0.911	0.347	0.518	chum
chummy	0.760	0.420	0.610	léif
chump	0.375	0.451	0.304	kupp
chunk	0.365	0.287	0.214	Stéck
chunky	0.520	0.517	0.509	knackeg
church	0.708	0.198	0.610	Kierch
churchyard	0.296	0.444	0.347	Kierchenhaff
churn	0.316	0.491	0.407	knacken
chute	0.580	0.745	0.455	chute
chutney	0.459	0.370	0.400	chutney
ciao	0.542	0.426	0.409	ciao
cider	0.530	0.346	0.398	Cider
cigar	0.306	0.463	0.346	zigar
cigarette	0.219	0.528	0.304	Zigarett
cilantro	0.469	0.260	0.208	Cilantro
cinch	0.450	0.490	0.387	cinch
cinder	0.350	0.260	0.157	cinder
cinema	0.698	0.538	0.500	Kino
cinematic	0.663	0.490	0.600	filmesch
cinematographer	0.792	0.455	0.711	Kameramann
cinematography	0.781	0.571	0.625	Kinematographie
cinnamon	0.600	0.250	0.292	Kanéil
cipher	0.490	0.414	0.500	Chiffer
circle	0.480	0.290	0.343	Krees
circling	0.510	0.654	0.336	ëmkreest
circuit	0.586	0.461	0.707	Circuit
circuitry	0.596	0.615	0.536	Circuit
circular	0.562	0.342	0.417	kreesfërmeg
circulate	0.612	0.388	0.320	zirkuléieren
circulation	0.735	0.520	0.657	Circulatioun
circulatory	0.592	0.575	0.545	circulatory
circumcision	0.327	0.657	0.528	Beschneidung
circumference	0.458	0.255	0.488	Ëmfang
circumferential	0.551	0.422	0.509	circumferential
circumscribed	0.365	0.539	0.569	ëmgeschriwwen
circumstance	0.520	0.565	0.596	Ëmstänn
circumstances	0.562	0.527	0.464	Ëmstänn
circumstantial	0.500	0.538	0.519	Ëmstänn
circumvent	0.316	0.642	0.383	ëmgoen
circumvention	0.531	0.571	0.473	Ëmgank
circus	0.724	0.637	0.432	Zirkus
cirque	0.604	0.647	0.467	cirque
cirrhosis	0.079	0.602	0.370	cirrhosis
cirrus	0.470	0.451	0.348	cirrus
cistern	0.541	0.413	0.432	cistern
citadel	0.585	0.464	0.602	Zitadell
citation	0.570	0.549	0.508	Zitat
cite	0.625	0.454	0.532	zitéieren
citizen	0.631	0.250	0.586	Bierger
citizenship	0.786	0.404	0.723	Nationalitéit
citrine	0.375	0.400	0.420	Zitroun
citrus	0.469	0.368	0.375	Zitrus
city	0.847	0.531	0.508	Stad
citywide	0.592	0.509	0.707	citywide
civic	0.653	0.240	0.573	biergerlech
civics	0.700	0.279	0.720	Biergerkrich
civil	0.521	0.281	0.517	zivil
civilian	0.700	0.229	0.598	zivil
civilians	0.490	0.448	0.525	Zivilisten
civility	0.760	0.306	0.679	Zivilitéit
civilization	0.823	0.452	0.839	Zivilisatioun
civilized	0.792	0.231	0.796	ziviliséiert
clad	0.583	0.373	0.481	gekleet
claim	0.255	0.760	0.473	Fuerderung
claimant	0.271	0.690	0.779	behaapt
clairvoyant	0.765	0.531	0.897	clairvoyant
clam	0.442	0.302	0.272	klamm
clambake	0.542	0.540	0.429	klamm
clammy	0.354	0.440	0.236	klamme
clamor	0.438	0.643	0.360	klamm
clamp	0.541	0.388	0.454	klemm
clan	0.562	0.491	0.686	clan
clandestine	0.425	0.677	0.469	clandestine
clang	0.459	0.520	0.510	kléngt
clap	0.779	0.731	0.529	klapp
clapper	0.500	0.229	0.420	klappt
clapping	0.823	0.894	0.686	klappen
clarification	0.802	0.461	0.613	Opklärung
clarify	0.652	0.535	0.625	klären
clarinet	0.592	0.453	0.411	Klarinett
clarion	0.500	0.443	0.422	clarion
clarity	0.796	0.310	0.631	Kloerheet
clash	0.293	0.918	0.453	clash
clashing	0.177	0.764	0.575	botzen
clasp	0.448	0.375	0.241	klappt
class	0.656	0.314	0.522	klass
classic	0.690	0.260	0.611	klassesch
classic rock	0.729	0.571	0.588	klassesch Rock
classical	0.643	0.198	0.536	klassesch
classics	0.750	0.333	0.510	Klassiker
classification	0.583	0.423	0.613	Klassifikatioun
classified	0.571	0.460	0.663	klasséiert
classify	0.646	0.411	0.720	klasséieren
classmate	0.781	0.400	0.593	Klassekomeroden
classroom	0.539	0.292	0.363	Klassesall
classy	0.917	0.410	0.649	klassesch
clatter	0.418	0.820	0.387	klappt
clause	0.480	0.409	0.528	Klausel
clauses	0.449	0.429	0.545	Klauselen
claustrophobia	0.125	0.840	0.333	klaustrophobie
claustrophobic	0.092	0.755	0.400	klaustrofobesch
clavicle	0.398	0.400	0.452	clavicle
claw	0.260	0.600	0.598	klauen
claws	0.281	0.698	0.562	Klauen
clay	0.542	0.250	0.267	Lehm
clean	0.827	0.170	0.500	propper
cleaner	0.604	0.556	0.375	propper
cleaning	0.595	0.396	0.427	Botzen
cleanliness	0.816	0.363	0.609	Propretéit
cleanly	0.823	0.352	0.583	propper
cleanse	0.625	0.310	0.660	botzen
cleanser	0.604	0.353	0.433	Botzmëttel
cleansing	0.729	0.298	0.472	Botzen
cleanup	0.729	0.314	0.451	botzen
clear	0.857	0.327	0.573	kloer
clearance	0.542	0.459	0.473	Erlaabnis
clearing	0.680	0.333	0.509	läschen
clearness	0.875	0.316	0.689	Kloerheet
cleat	0.486	0.260	0.361	klëmmt
cleavage	0.542	0.602	0.454	Spaltung
cleave	0.296	0.545	0.389	kloen
cleaver	0.240	0.627	0.434	clever
clef	0.615	0.360	0.595	clef
cleft	0.306	0.442	0.360	gekleet
clemency	0.594	0.417	0.397	Këndegkeet
clench	0.438	0.618	0.580	knacken
clergy	0.531	0.312	0.575	Klerus
clergyman	0.594	0.330	0.556	Klerus
cleric	0.521	0.324	0.589	klerik
clerical	0.520	0.396	0.491	klerikal
clerk	0.500	0.579	0.509	klerk
clerkship	0.582	0.380	0.596	Clerkship
clever	0.896	0.353	0.729	clever
cleverness	0.878	0.509	0.921	cleverness
click	0.536	0.365	0.268	klickt
