English Word	Valence	Arousal	Dominance	Romanian Word
counseling	0.667	0.480	0.704	consiliere
counsellor	0.823	0.327	0.740	consilier
counselor	0.873	0.365	0.706	consilier
count	0.594	0.389	0.492	numara
countdown	0.438	0.692	0.490	numărătoarea inversă
countenance	0.635	0.440	0.690	firea
counter	0.439	0.478	0.750	tejghea
counteract	0.378	0.542	0.688	contracara
counterattack	0.281	0.951	0.764	contra-atac
counterbalance	0.520	0.480	0.627	contrabalansa
counterclaim	0.398	0.760	0.651	cerere reconvențională
counterfeit	0.094	0.694	0.451	contrafăcut
counterpart	0.448	0.608	0.577	echivalent
counterpoint	0.438	0.509	0.538	contrapunct
countess	0.562	0.440	0.670	contesă
countless	0.520	0.566	0.534	nenumărat
country	0.698	0.394	0.693	țară
countryman	0.673	0.441	0.789	compatrion
countrymusic	0.795	0.451	0.438	muzica country
countryside	0.732	0.288	0.327	mediu rural
counts	0.343	0.373	0.500	conteaza
county	0.479	0.368	0.545	judetul
coup	0.275	0.815	0.607	lovitură
coupe	0.479	0.460	0.482	coupe
couple	0.806	0.605	0.607	cuplu
coupled	0.612	0.286	0.650	cuplate
coupling	0.594	0.479	0.555	cuplare
coupon	0.704	0.300	0.421	cupon
courage	0.830	0.728	0.849	curaj
courageous	0.918	0.587	0.879	curajos
courier	0.551	0.383	0.441	curier
courses	0.735	0.412	0.534	cursuri
coursing	0.542	0.472	0.546	cursing
court	0.479	0.769	0.827	tribunal
courteous	0.937	0.396	0.529	politicos
courtesy	0.927	0.287	0.431	curtoazie
courthouse	0.571	0.503	0.818	tribunal
courtroom	0.385	0.670	0.887	sala de judecată
courts	0.367	0.710	0.816	tribunale
courtship	0.667	0.490	0.654	curte
courtside	0.592	0.391	0.434	lângă curte
courtyard	0.503	0.365	0.355	curte
cousin	0.675	0.394	0.427	văr
cousins	0.760	0.409	0.464	veri
cove	0.500	0.304	0.370	golfuleţ
coven	0.458	0.578	0.591	coven
covenant	0.594	0.462	0.667	legământ
cover	0.365	0.240	0.471	acoperi
coverage	0.767	0.413	0.629	acoperire
covered	0.562	0.340	0.644	acoperit
covering	0.615	0.382	0.583	acoperire
covert	0.500	0.570	0.508	ascuns
covet	0.302	0.779	0.524	poftesc
coveted	0.661	0.730	0.625	râvnit
cow	0.449	0.230	0.300	vacă
coward	0.102	0.490	0.149	laş
cowardice	0.133	0.621	0.167	laşitate
cowardly	0.102	0.385	0.127	fricos
cowboy	0.594	0.625	0.695	cowboy
cowgirl	0.541	0.566	0.554	cowgirl
cowhand	0.438	0.480	0.596	vacă
cowhide	0.458	0.324	0.333	piele de vacă
cowl	0.427	0.450	0.232	glugă
coworker	0.667	0.490	0.625	coleg de munca
coy	0.347	0.330	0.213	timid
coyote	0.459	0.471	0.387	coiot
cozy	0.910	0.356	0.545	confortabil
crab	0.421	0.396	0.330	crab
crabby	0.198	0.812	0.370	ursuz
crack	0.302	0.625	0.400	sparge
cracked	0.224	0.520	0.228	crăpat
cracker	0.604	0.343	0.346	biscuit
crackerjack	0.567	0.509	0.426	crackerjack
cracking	0.327	0.557	0.286	cracare
crackle	0.327	0.643	0.481	trosnet
crackpot	0.260	0.602	0.245	crackpot
cradle	0.776	0.194	0.333	leagăn
craft	0.760	0.321	0.539	meșteșug
crafts	0.667	0.380	0.391	meşteşuguri
craftsman	0.719	0.310	0.583	artizan
craftsmanship	0.823	0.373	0.571	măiestrie
crafty	0.589	0.679	0.783	viclean
craig	0.448	0.449	0.490	craig
cram	0.354	0.730	0.598	ghiftui
crammed	0.406	0.740	0.466	înghesuit
cramp	0.194	0.796	0.340	crampe
cramped	0.240	0.567	0.360	înghesuit
cranberry	0.793	0.330	0.363	merisor
cranberry juice	0.622	0.321	0.281	suc de merișoare
crane	0.396	0.417	0.589	macara
cranial	0.354	0.510	0.583	cranian
cranium	0.439	0.491	0.725	craniu
crank	0.448	0.275	0.417	manivelă
cranky	0.194	0.776	0.396	capricios
cranny	0.194	0.471	0.250	crăpătură
crap	0.083	0.644	0.167	rahat
crappy	0.039	0.582	0.208	nasol
craps	0.375	0.420	0.273	craps
crash	0.194	0.906	0.355	prăbușire
crass	0.223	0.490	0.466	cras
crate	0.427	0.173	0.274	ladă
crater	0.450	0.647	0.529	crater
crave	0.625	0.510	0.731	implora
craving	0.510	0.755	0.636	pofta
crawfish	0.510	0.427	0.342	languste
crawl	0.479	0.519	0.467	târâi
crayon	0.604	0.260	0.185	pastel
crayons	0.684	0.366	0.405	creioane
craze	0.255	0.657	0.435	manie
crazed	0.153	0.877	0.417	înnebunit
craziness	0.238	0.908	0.255	nebunie
crazy	0.156	0.843	0.321	nebun
creak	0.344	0.670	0.411	scârţâit
creaking	0.302	0.743	0.415	scârțâind
cream	0.688	0.259	0.220	cremă
creamed	0.723	0.273	0.288	smântână
creamer	0.594	0.192	0.269	smântână
creamy	0.823	0.337	0.345	cremos
crease	0.440	0.286	0.300	pliu
create	0.786	0.588	0.789	crea
creation	0.927	0.575	0.868	creare
creative	0.917	0.518	0.788	creativ
creativity	0.938	0.684	0.815	creativitate
creator	0.865	0.592	0.856	creator
creature	0.669	0.625	0.620	creatură
credence	0.760	0.460	0.737	crezare
credential	0.735	0.337	0.597	acreditare
credentials	0.708	0.373	0.675	acreditările
credibility	0.875	0.427	0.809	credibilitate
credible	0.917	0.441	0.750	credibil
credit	0.673	0.549	0.648	credit
credit card	0.670	0.550	0.640	card de credit
creditable	0.802	0.510	0.742	creditabil
credited	0.781	0.390	0.691	creditat
crediting	0.673	0.550	0.741	creditarea
creditor	0.479	0.594	0.689	creditor
creed	0.573	0.245	0.544	crez
creek	0.552	0.392	0.330	pârâu
creep	0.354	0.647	0.361	târî
creeper	0.429	0.558	0.366	târâtoare
creeping	0.292	0.613	0.282	târâtor
creepy	0.125	0.861	0.373	înfiorător
cremation	0.084	0.620	0.420	incinerare
creole	0.667	0.357	0.523	creol
crepe	0.562	0.224	0.349	crep
crescendo	0.760	0.575	0.594	crescendo
crescent	0.698	0.382	0.407	semilună
crest	0.458	0.333	0.333	creasta
crestfallen	0.235	0.346	0.175	deprimat
cretin	0.265	0.583	0.312	cretin
cretins	0.094	0.741	0.328	cretini
crevice	0.361	0.471	0.275	crăpătură
crew	0.604	0.598	0.735	echipajul
crewman	0.602	0.580	0.548	membru al echipajului
crib	0.653	0.240	0.407	pat de copil
cricket	0.423	0.539	0.370	greier
cried	0.167	0.612	0.254	strigă
crime	0.071	0.943	0.630	crima
criminal	0.021	0.830	0.529	penal
criminality	0.122	0.863	0.580	criminalitatea
crimp	0.260	0.557	0.396	creț
crimson	0.667	0.385	0.370	purpuriu
cringe	0.245	0.840	0.377	înfiorare
cripple	0.094	0.392	0.161	infirm
crippled	0.035	0.358	0.236	schilodit
crippling	0.156	0.598	0.391	schilod
crisis	0.208	0.811	0.431	criză
crisp	0.776	0.692	0.508	crocant
crispy	0.656	0.550	0.509	crocant
criterion	0.396	0.410	0.736	criteriu
critic	0.264	0.604	0.686	critic
critical	0.312	0.802	0.545	critic
criticise	0.073	0.700	0.452	a critica
criticism	0.115	0.563	0.505	critică
criticize	0.143	0.708	0.473	a critica
criticized	0.240	0.600	0.311	criticat
critique	0.302	0.760	0.537	critică
critter	0.542	0.539	0.482	creatura
croak	0.337	0.346	0.298	cârâit
croc	0.327	0.452	0.451	croc
crock	0.385	0.412	0.421	ciob
crockery	0.552	0.216	0.327	vesela
crocodile	0.344	0.708	0.610	crocodil
croft	0.531	0.429	0.421	croft
croissant	0.745	0.330	0.430	croissant
crook	0.171	0.765	0.550	escroc
crooked	0.146	0.594	0.305	strâmb
crop	0.615	0.260	0.500	a decupa
croquet	0.551	0.519	0.407	crochet
cross	0.448	0.321	0.569	cruce
cross country	0.531	0.441	0.529	cross country
crossbow	0.344	0.598	0.560	arbaletă
crossed	0.431	0.490	0.508	traversat
crossfire	0.316	0.896	0.722	foc încrucișat
crossing	0.549	0.349	0.451	trecere
crossover	0.559	0.550	0.500	crossover
crosswalk	0.557	0.441	0.380	trecere de pietoni
crossword	0.611	0.423	0.455	cuvinte încrucișate
crotch	0.521	0.637	0.447	bifurcare
crouch	0.281	0.606	0.312	se ghemuiesc
crouched	0.333	0.363	0.279	ghemuit
crouching	0.261	0.429	0.345	chircit
croupier	0.531	0.519	0.404	crupier
crow	0.224	0.439	0.363	cioară
crowbar	0.406	0.531	0.386	rangă
crowd	0.350	0.827	0.731	mulțime
crowded	0.694	0.286	0.585	aglomerat
crowds	0.469	0.723	0.806	mulţimile
crown	0.708	0.572	0.737	coroană
crowning	0.773	0.594	0.831	încoronarea
crucial	0.541	0.657	0.777	crucial
cruciate	0.429	0.435	0.585	cruciat
crucifix	0.469	0.480	0.510	crucifix
crucifixion	0.135	0.857	0.541	răstignire
crucify	0.146	0.878	0.573	răstigni
crud	0.312	0.330	0.444	crud
crude	0.198	0.402	0.357	brut
cruel	0.122	0.866	0.391	crud
cruelly	0.146	0.790	0.471	cu cruzime
cruelty	0.092	0.836	0.536	cruzime
cruise	0.740	0.442	0.683	croazieră
cruise ship	0.878	0.650	0.500	navă de croazieră
cruiser	0.737	0.490	0.608	crucişător
cruising	0.886	0.580	0.560	de croazieră
crumb	0.417	0.255	0.216	firimitură
crumble	0.333	0.480	0.423	se sfărâmă
crumbling	0.167	0.696	0.308	prăbușindu-se
crummy	0.125	0.531	0.224	nasol
crunch	0.292	0.630	0.406	crunch
crunchy	0.625	0.560	0.539	crocant
crusade	0.592	0.720	0.709	cruciadă
crusader	0.439	0.588	0.548	cruciat
crush	0.271	0.676	0.582	zdrobi
crushed	0.167	0.647	0.300	zdrobit
crusher	0.271	0.709	0.598	concasor
crushing	0.219	0.755	0.411	strivire
crust	0.542	0.337	0.456	crustă
crusty	0.625	0.531	0.473	crustă
crutch	0.302	0.294	0.302	cârjă
crux	0.469	0.558	0.519	crux
cry	0.133	0.627	0.255	strigăt
crybaby	0.375	0.702	0.311	bebelus plangacios
crying	0.153	0.704	0.208	plângând
crypt	0.156	0.431	0.386	criptă
cryptic	0.296	0.516	0.474	criptic
cryptography	0.490	0.415	0.650	criptografie
crystal	0.618	0.270	0.508	cristal
crystalline	0.765	0.235	0.534	cristalin
crystallization	0.600	0.449	0.565	cristalizare
cub	0.646	0.382	0.284	pui
cubby	0.354	0.385	0.360	cubby
cube	0.469	0.226	0.274	cub
cubic	0.458	0.306	0.407	cub
cubicle	0.479	0.343	0.417	cabină
cuckold	0.210	0.573	0.230	încornorat
cuckoo	0.420	0.459	0.284	cuc
cucumber	0.490	0.235	0.237	castravete
cuddle	0.885	0.559	0.475	îmbrățișa
cuddled	0.906	0.547	0.567	îmbrățișat
cuddles	0.847	0.382	0.500	îmbrățișări
cuddling	0.917	0.562	0.433	giugiuleală
cue	0.521	0.433	0.484	tac
cuff	0.469	0.453	0.387	manșetă
cuisine	0.714	0.365	0.390	bucatarie
culinary	0.654	0.443	0.519	culinar
cull	0.365	0.702	0.464	cull
culminate	0.667	0.550	0.602	culmina
culmination	0.656	0.586	0.695	culminare
culpability	0.112	0.745	0.368	culpabilitate
culpable	0.140	0.700	0.319	culpabil
culprit	0.062	0.676	0.333	inculpat
cult	0.448	0.535	0.648	cult
cultivate	0.708	0.410	0.598	cultiva
cultivated	0.837	0.343	0.564	cultivat
cultivation	0.625	0.324	0.462	cultivare
cultural	0.802	0.390	0.623	cultural
culture	0.753	0.304	0.675	cultură
cultured	0.635	0.429	0.625	cultivat
culvert	0.337	0.324	0.343	canal de scurgere
cumbersome	0.259	0.623	0.292	greoaie
cumulus	0.570	0.433	0.432	cumulus
cunning	0.604	0.685	0.683	viclean
cunt	0.135	0.673	0.377	ticălos
cup	0.615	0.167	0.231	ceașcă
cupboard	0.553	0.200	0.304	dulap
cupcake	0.656	0.333	0.344	briose
cupping	0.490	0.610	0.402	cupând
cur	0.440	0.519	0.460	cur
curable	0.823	0.292	0.574	vindecabile
curate	0.726	0.418	0.526	preot
curative	0.667	0.318	0.613	curativ
curator	0.688	0.389	0.688	curator
curb	0.472	0.371	0.402	bordură
curd	0.542	0.442	0.278	caș
cure	0.719	0.377	0.623	vindeca
curfew	0.219	0.618	0.623	stare de asediu
curiosity	0.750	0.755	0.463	curiozitate
curious	0.635	0.600	0.483	curios
curl	0.385	0.452	0.351	răsuci
curling	0.583	0.592	0.400	curling
currency	0.583	0.418	0.592	valută
current	0.625	0.312	0.612	actual
curriculum	0.708	0.306	0.620	curriculum
curry	0.633	0.345	0.302	curry
curse	0.033	0.720	0.375	blestem
cursed	0.083	0.783	0.393	blestemat
cursing	0.112	0.860	0.446	blestemând
cursory	0.423	0.451	0.431	superficială
curt	0.245	0.610	0.452	scurt
curtail	0.306	0.439	0.497	reduce
curtailment	0.230	0.578	0.431	reducere
curtain	0.698	0.278	0.304	perdea
curtains	0.615	0.123	0.342	perdele
curtsy	0.635	0.412	0.598	reverenţă
curvature	0.417	0.367	0.447	curbură
curve	0.480	0.375	0.307	curba
curved	0.542	0.407	0.337	curbat
curvilinear	0.480	0.575	0.411	curbilinii
cushion	0.653	0.221	0.292	amortiza
cushy	0.823	0.283	0.395	moale
cusp	0.667	0.710	0.700	vârf
cuss	0.354	0.538	0.443	înjurătură
cussed	0.156	0.625	0.454	înjurat
custard	0.618	0.260	0.293	cremă
custodial	0.418	0.462	0.718	custodie
custodian	0.594	0.625	0.528	custode
custody	0.494	0.472	0.675	custodie
custom	0.552	0.382	0.688	personalizat
customary	0.700	0.253	0.561	cutumiar
customer	0.562	0.430	0.673	client
customized	0.625	0.504	0.590	personalizat
cut	0.490	0.490	0.393	a tăia
cutaneous	0.365	0.370	0.328	cutanat
cute	0.920	0.528	0.579	drăguţ
cuticle	0.340	0.320	0.377	cuticulă
cutie	0.638	0.528	0.464	drăguță
cutlass	0.173	0.648	0.528	sticlă
cutlery	0.552	0.300	0.345	tacâmuri
cutoff	0.432	0.510	0.518	a tăia calea
cutter	0.427	0.731	0.583	tăietor
cutters	0.197	0.653	0.491	freze
cutthroat	0.110	0.823	0.663	taiat
cutting	0.448	0.375	0.536	tăiere
cutting board	0.337	0.540	0.342	tabla de taiere
cuttings	0.479	0.392	0.433	butași
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	cianura
cyberspace	0.677	0.594	0.611	spatiul cibernetic
cycle	0.635	0.400	0.533	ciclu
cyclical	0.380	0.450	0.554	ciclic
cyclist	0.684	0.582	0.576	ciclist
cyclone	0.416	0.796	0.673	ciclon
cylinder	0.459	0.324	0.447	cilindru
cylindrical	0.458	0.294	0.414	cilindric
cymbal	0.542	0.363	0.362	cinel
cynic	0.135	0.632	0.473	cinic
cynical	0.156	0.760	0.474	cinic
cynicism	0.104	0.780	0.454	cinism
cyst	0.173	0.578	0.312	chist
cystic	0.314	0.481	0.400	chistice
cytomegalovirus	0.186	0.657	0.443	citomegalovirus
cytoplasm	0.378	0.442	0.474	citoplasmă
czar	0.480	0.348	0.643	ţar
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	se ocupa
dabbling	0.562	0.726	0.676	barbând
dad	0.857	0.412	0.786	tata
daddy	0.795	0.400	0.736	tati
dado	0.510	0.240	0.364	soclu
daemon	0.333	0.490	0.500	demonul
daft	0.255	0.436	0.157	nebun
dagger	0.224	0.797	0.613	pumnal
daily	0.653	0.347	0.473	zilnic
dainty	0.604	0.284	0.424	plin de graţie
daiquiri	0.670	0.519	0.400	daiquiri
dairy	0.633	0.255	0.462	lactat
daisy	0.562	0.367	0.333	margaretă
dak	0.510	0.417	0.424	dak
dale	0.622	0.270	0.365	dale
dam	0.250	0.553	0.394	baraj
damage	0.059	0.726	0.403	deteriora
damaged	0.104	0.635	0.182	deteriorat
damages	0.082	0.760	0.310	daune
dame	0.694	0.480	0.500	doamnă
damn	0.073	0.784	0.431	La naiba
damnation	0.135	0.750	0.416	damnare
damned	0.100	0.760	0.465	blestemat
damp	0.360	0.279	0.210	umed
dampened	0.271	0.422	0.336	umezit
damper	0.459	0.378	0.473	amortizor
damsel	0.719	0.475	0.400	fată
dance	0.894	0.840	0.551	dans
dancer	0.740	0.768	0.545	dansator
dancing	0.885	0.868	0.444	dans
dandruff	0.398	0.298	0.293	mătreaţă
dandy	0.673	0.520	0.630	dandy
danger	0.115	0.923	0.673	Pericol
dangerous	0.020	0.941	0.658	periculos
dangerously	0.082	0.930	0.564	periculos
dangit	0.396	0.606	0.358	la naiba
dangle	0.362	0.469	0.375	legăna
dank	0.390	0.381	0.383	umed
dapper	0.770	0.560	0.698	elegant
dare	0.677	0.788	0.684	a indrazni
daredevil	0.429	0.714	0.653	temeroasa
daresay	0.540	0.451	0.490	indrazneste sa spui
daring	0.583	0.840	0.711	îndrăzneț
dark	0.198	0.398	0.426	întuneric
darken	0.250	0.471	0.382	întuneca
darkened	0.135	0.440	0.452	întunecat
darkly	0.219	0.548	0.443	întunecat
darkness	0.102	0.602	0.418	întuneric
darkroom	0.188	0.627	0.423	camera intunecata
darkside	0.102	0.690	0.365	partea întunecată
darling	0.885	0.370	0.608	dragă
darn	0.115	0.765	0.418	la naiba
dart	0.417	0.608	0.500	lance
dash	0.574	0.312	0.324	liniuță
dashboard	0.510	0.371	0.595	bord
dashed	0.276	0.393	0.338	întreruptă
dashing	0.612	0.627	0.799	elegant
dastardly	0.208	0.688	0.270	mişelesc
data	0.500	0.250	0.426	date
database	0.604	0.286	0.644	Bază de date
date	0.604	0.231	0.400	Data
datenight	0.708	0.637	0.518	data noaptea
daughter	0.908	0.415	0.455	fiica
dawdle	0.479	0.464	0.357	moşi
dawn	0.827	0.235	0.519	zori
dawned	0.694	0.471	0.473	răsărit
day	0.719	0.269	0.389	zi
daybreak	0.802	0.358	0.474	zori
daycare	0.776	0.481	0.360	creșă
daydream	0.750	0.337	0.456	visarea cu ochii deschiși
daydreaming	0.776	0.360	0.479	visând cu ochii deschiși
daylight	0.865	0.420	0.545	lumina zilei
daymade	0.646	0.450	0.417	făcut de zi
dayoff	0.760	0.368	0.377	zi libera
daytime	0.750	0.324	0.454	în timpul zilei
daze	0.245	0.735	0.329	uluire
dazed	0.300	0.697	0.277	năucit
dazzle	0.730	0.782	0.683	uimi
dazzling	0.854	0.880	0.767	orbitoare
deacon	0.531	0.430	0.736	diacon
deactivate	0.235	0.447	0.392	dezactivați
dead	0.052	0.454	0.194	mort
deadbeat	0.229	0.453	0.368	frânt de oboseală
deadline	0.214	0.615	0.460	termen limita
deadlines	0.406	0.769	0.411	termenele limită
deadlock	0.170	0.418	0.323	impas
deadly	0.143	0.849	0.554	mortal
deafening	0.281	0.835	0.482	asurzitor
deafness	0.125	0.413	0.219	surditate
deal	0.719	0.599	0.543	afacere
dealer	0.799	0.615	0.683	dealer
dealership	0.541	0.430	0.629	dealer
dealing	0.724	0.415	0.598	tratarea
dealings	0.600	0.491	0.480	afaceri
dean	0.612	0.469	0.723	decan
dear	0.880	0.434	0.629	dragă
dearest	0.902	0.427	0.508	cea mai dragă
dearth	0.156	0.539	0.255	foamete
death	0.031	0.720	0.472	moarte
deathbed	0.051	0.652	0.311	patul de moarte
deathly	0.073	0.771	0.682	de moarte
debacle	0.156	0.606	0.266	dezastru
debased	0.219	0.529	0.170	degradat
debatable	0.181	0.610	0.474	discutabil
debate	0.408	0.691	0.683	dezbate
debauchery	0.354	0.901	0.500	depravare
debenture	0.417	0.500	0.466	obligație
debilitating	0.125	0.490	0.308	debilitante
debit	0.333	0.400	0.474	debit
debrief	0.247	0.343	0.549	debrief
debriefing	0.427	0.580	0.456	debriefing
debris	0.135	0.396	0.327	resturi
debt	0.204	0.598	0.336	creanţă
debtor	0.219	0.546	0.160	debitor
debut	0.806	0.606	0.629	debut
debutante	0.771	0.627	0.454	debutantă
decade	0.531	0.402	0.665	deceniu
decadence	0.237	0.455	0.291	decadenţă
decadent	0.290	0.559	0.324	decadent
decaf	0.480	0.324	0.353	decofeină
decanter	0.438	0.567	0.510	decantor
decathlon	0.573	0.753	0.620	decatlon
decay	0.143	0.312	0.170	descompunere
decayed	0.017	0.375	0.169	decăzut
decaying	0.073	0.510	0.214	putrezind
deceased	0.021	0.538	0.188	decedat
decedent	0.423	0.481	0.415	răposat
deceit	0.020	0.696	0.343	înşelăciune
deceitful	0.071	0.788	0.371	înşelător
deceive	0.094	0.775	0.414	înşela
deceived	0.059	0.673	0.302	înşelat
deceiving	0.099	0.636	0.426	înşelător
december	0.740	0.540	0.464	decembrie
decency	0.750	0.235	0.634	decenţă
decent	0.823	0.296	0.653	decent
deception	0.090	0.745	0.370	înşelăciune
deceptive	0.027	0.605	0.294	înșelător
decide	0.656	0.540	0.855	decide
decidedly	0.750	0.480	0.843	hotărât
deciduous	0.385	0.353	0.282	foioase
decimal	0.507	0.259	0.305	zecimal
decimeter	0.520	0.292	0.377	decimetru
decipher	0.417	0.630	0.652	descifra
decision	0.646	0.510	0.839	decizie
decisive	0.740	0.509	0.935	decisiv
deck	0.420	0.333	0.394	punte
declaration	0.551	0.590	0.714	declaraţie
declaratory	0.635	0.582	0.673	declarativ
declare	0.677	0.623	0.668	declara
declination	0.250	0.549	0.311	declinaţie
decline	0.173	0.491	0.240	declin
declining	0.328	0.400	0.264	în declin
deco	0.625	0.274	0.356	deco
decode	0.551	0.510	0.640	decodifica
decoder	0.562	0.340	0.686	decodor
decompose	0.194	0.596	0.241	descompune
decomposed	0.073	0.442	0.231	descompus
decomposition	0.133	0.600	0.263	descompunere
decompress	0.438	0.430	0.509	decomprima
decompression	0.208	0.520	0.311	decompresie
decontamination	0.611	0.538	0.573	decontaminare
decor	0.734	0.311	0.573	decor
decorate	0.954	0.370	0.404	decora
decorating	0.863	0.548	0.462	decorarea
decoration	0.878	0.553	0.526	decor
decorative	0.908	0.460	0.381	decorativ
decorator	0.840	0.471	0.455	decorator
decorum	0.802	0.327	0.462	decorul
decoy	0.149	0.460	0.330	momeală
decrease	0.125	0.360	0.267	scădea
decreased	0.224	0.271	0.170	scăzut
decreasing	0.320	0.346	0.224	in scadere
decree	0.552	0.478	0.746	decret
decrement	0.255	0.427	0.373	scăderea
decrepit	0.156	0.490	0.225	ramolit
decry	0.400	0.814	0.548	detesta
decryption	0.459	0.445	0.600	decriptare
dedicate	0.823	0.431	0.588	dedica
dedication	0.867	0.471	0.682	dedicare
deduce	0.490	0.510	0.466	deduce
deduct	0.355	0.330	0.412	deduce
deductible	0.375	0.286	0.455	deductibil
deduction	0.438	0.462	0.527	deducere
deed	0.520	0.320	0.592	faptă
deejay	0.551	0.630	0.473	deejay
deem	0.594	0.529	0.690	considera
deep	0.490	0.473	0.657	adânc
deepen	0.625	0.530	0.776	aprofunda
deer	0.583	0.375	0.292	cerb
defamation	0.110	0.670	0.481	defăimare
defamatory	0.143	0.688	0.402	defăimător
default	0.459	0.343	0.712	Mod implicit
defeat	0.092	0.500	0.224	înfrângere
defeated	0.104	0.582	0.145	învins
defeatist	0.163	0.567	0.315	defetist
defect	0.135	0.561	0.185	defect
defection	0.146	0.594	0.330	dezertare
defective	0.122	0.580	0.274	defect
defector	0.163	0.696	0.286	dezertor
defend	0.698	0.722	0.670	apăra
defendant	0.250	0.710	0.491	pârât
defended	0.663	0.451	0.582	apărat
defender	0.639	0.708	0.750	apărător
defending	0.604	0.871	0.812	apărând
defense	0.652	0.698	0.802	apărare
defenseless	0.143	0.357	0.105	fără apărare
defensible	0.740	0.509	0.593	apărăbil
defensive	0.542	0.640	0.678	defensivă
defer	0.245	0.459	0.317	amâna
deference	0.510	0.396	0.447	deferenţă
deferral	0.765	0.542	0.327	amânare
deferring	0.343	0.500	0.413	amânând
defiance	0.333	0.780	0.760	sfidare
defiant	0.250	0.792	0.769	sfidător
defibrillator	0.398	0.663	0.431	defibrilator
deficiency	0.073	0.373	0.179	deficienta
deficient	0.240	0.464	0.132	deficient
deficit	0.358	0.500	0.269	deficit
define	0.688	0.415	0.632	defini
defined	0.670	0.214	0.646	definit
definite	0.708	0.292	0.741	hotărât
definition	0.573	0.375	0.579	definiție
definitive	0.583	0.479	0.787	definitiv
deflate	0.148	0.404	0.237	dezumfla
deflation	0.287	0.536	0.407	deflaţie
deflect	0.133	0.491	0.482	devia
deflection	0.188	0.500	0.382	abatere
defloration	0.188	0.690	0.434	deflorare
deform	0.112	0.654	0.284	deforma
deformed	0.198	0.435	0.308	deformat
deformity	0.160	0.569	0.241	deformare
defraud	0.175	0.635	0.314	frauda
defray	0.375	0.598	0.653	acoperi
defrost	0.427	0.317	0.389	dezgheta
deft	0.719	0.575	0.849	abil
defunct	0.112	0.491	0.272	defunct
defuse	0.167	0.480	0.430	dezamorsează
defy	0.353	0.884	0.657	sfidează
degeneracy	0.143	0.720	0.298	degenerare
degenerate	0.069	0.724	0.264	degenerat
degeneration	0.245	0.578	0.371	degenerare
degradation	0.160	0.608	0.315	degradare
degrade	0.083	0.500	0.184	degrada
degraded	0.167	0.433	0.205	degradat
degrading	0.031	0.583	0.232	degradant
degree	0.724	0.365	0.663	grad
dehydrated	0.310	0.685	0.212	deshidratat
dehydration	0.188	0.472	0.259	deshidratare
dejected	0.104	0.654	0.347	abătut
delay	0.204	0.510	0.162	întârziere
delayed	0.188	0.490	0.216	întârziat
delectable	0.781	0.642	0.718	delicios
delegate	0.612	0.491	0.658	delega
delegation	0.562	0.431	0.609	delegație
delete	0.292	0.298	0.409	șterge
deleterious	0.297	0.725	0.440	dăunătoare
deletion	0.062	0.506	0.462	ştergere
deli	0.561	0.448	0.447	delicatese
deliberate	0.551	0.654	0.682	delibera
deliberation	0.561	0.678	0.596	deliberare
deliberative	0.392	0.552	0.573	deliberativ
delicacy	0.812	0.279	0.336	delicateţe
delicate	0.583	0.294	0.366	delicat
delicatessen	0.656	0.474	0.400	delicatese
delicious	0.927	0.650	0.589	delicios
delight	0.949	0.666	0.647	încântare
delighted	0.938	0.664	0.685	Încântat
delightful	0.918	0.735	0.644	încântător
delineate	0.448	0.430	0.445	delimitează
delineation	0.521	0.402	0.314	delimitare
delinquency	0.135	0.860	0.508	delincvenţă
delinquent	0.051	0.904	0.500	delincvent
delirious	0.219	0.774	0.538	delirând
delirium	0.233	0.694	0.484	delir
deliver	0.583	0.370	0.582	livra
deliverance	0.750	0.520	0.658	eliberare
delivery	0.704	0.461	0.786	livrare
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	delta
delude	0.143	0.627	0.353	iluzii
deluge	0.245	0.714	0.612	potop
delusion	0.344	0.647	0.400	iluzie
delusional	0.219	0.745	0.327	delirante
deluxe	0.792	0.612	0.755	de lux
delve	0.469	0.529	0.684	adânci
demand	0.292	0.673	0.500	cerere
demanding	0.396	0.750	0.828	exigentă
demeaned	0.271	0.520	0.212	înjosit
demeaning	0.104	0.645	0.308	înjositoare
demeanor	0.633	0.433	0.657	purtare
demented	0.088	0.787	0.309	dement
dementia	0.092	0.779	0.337	demenţă
demise	0.104	0.596	0.456	deces
demo	0.510	0.314	0.423	demonstrație
democracy	0.680	0.500	0.840	democraţie
democrat	0.582	0.400	0.755	democrat
democratic	0.802	0.519	0.798	democratic
demographic	0.459	0.356	0.594	demografic
demolish	0.125	0.632	0.700	demola
demolished	0.271	0.647	0.353	demolat
demolition	0.133	0.827	0.541	demolare
demon	0.037	0.908	0.509	demon
demonic	0.146	0.875	0.600	demonic
demonstrable	0.735	0.471	0.749	demonstrabil
demonstrate	0.771	0.552	0.839	demonstra
demonstrated	0.617	0.500	0.649	demonstrat
demonstrating	0.698	0.571	0.693	demonstrând
demonstration	0.551	0.676	0.679	demonstrație
demonstrative	0.656	0.528	0.736	demonstrativ
demonstrator	0.520	0.598	0.733	demonstrant
demoralized	0.082	0.590	0.149	demoralizat
demos	0.418	0.370	0.368	demonstrații
demure	0.690	0.315	0.417	modest
