English Word	Valence	Arousal	Dominance	Maltese Word
discreet	0.552	0.216	0.532	diskreta
discrepancy	0.260	0.643	0.417	diskrepanza
discrete	0.585	0.231	0.429	diskreti
discretion	0.552	0.320	0.685	diskrezzjoni
discretionary	0.520	0.365	0.446	diskrezzjonali
discriminate	0.125	0.761	0.366	jiddiskriminaw
discriminating	0.160	0.783	0.462	li jiddiskriminaw
discrimination	0.051	0.724	0.379	diskriminazzjoni
discus	0.542	0.423	0.343	diskussjoni
discuss	0.396	0.769	0.509	jiddiskutu
discussion	0.333	0.842	0.536	diskussjoni
disdain	0.153	0.446	0.441	disprezz
disdainful	0.097	0.480	0.263	disprezzanti
disease	0.041	0.539	0.333	mard
diseased	0.123	0.510	0.134	morda
disembodied	0.167	0.620	0.412	diżkorporat
disengage	0.406	0.529	0.304	disengage
disengagement	0.327	0.373	0.395	diżimpenn
disfigured	0.153	0.613	0.336	sfigurat
disgrace	0.061	0.531	0.331	għajb
disgraced	0.071	0.661	0.250	disgraced
disgraceful	0.082	0.702	0.240	għajb
disgruntled	0.104	0.658	0.442	disgruntled
disguise	0.573	0.694	0.431	jaħbi
disguised	0.500	0.615	0.326	moħbija
disgust	0.052	0.775	0.317	stmerrija
disgusted	0.051	0.773	0.274	disgustat
disgusting	0.031	0.796	0.245	diżgustanti
dish	0.552	0.255	0.264	dixx
disheartened	0.153	0.343	0.238	skoraġġut
disheartening	0.010	0.353	0.224	skoraġġanti
dishonest	0.191	0.491	0.163	diżonest
dishonesty	0.094	0.592	0.348	diżonestà
dishonor	0.104	0.620	0.185	diżunur
dishonorable	0.112	0.641	0.280	diżonorabbli
dishwasher	0.480	0.296	0.324	magna tal-ħasil tal-platti
disillusionment	0.051	0.519	0.190	diżillużjoni
disinclination	0.125	0.491	0.330	diżinklinazzjoni
disincline	0.458	0.454	0.278	discline
disinclined	0.385	0.442	0.364	disclined
disinfect	0.448	0.388	0.648	iddiżinfetta
disinfectant	0.531	0.429	0.460	diżinfettant
disinfection	0.517	0.556	0.473	diżinfezzjoni
disinformation	0.230	0.577	0.260	diżinformazzjoni
disingenuous	0.194	0.509	0.204	diżingenu
disintegrate	0.143	0.660	0.364	jiddiżintegraw
disintegration	0.094	0.551	0.381	diżintegrazzjoni
disinterested	0.398	0.284	0.392	diżinteressat
disjoint	0.351	0.385	0.322	disjoint
disjointed	0.323	0.518	0.365	magħqud
disjunctive	0.286	0.481	0.400	disjunctive
disk	0.573	0.423	0.412	disk
diskette	0.531	0.255	0.391	diskette
dislike	0.156	0.406	0.321	dislike
disliked	0.062	0.510	0.221	ma għoġbitx
disliking	0.163	0.637	0.366	ma togħġobx
dislocated	0.125	0.625	0.200	żlokat
dislocation	0.229	0.565	0.373	dislokazzjoni
dislodge	0.214	0.769	0.356	tkeċċi
disloyal	0.062	0.582	0.245	żleali
disloyalty	0.187	0.716	0.267	żlealtà
dismal	0.194	0.450	0.192	diżastruż
dismantle	0.347	0.644	0.462	żarma
dismay	0.314	0.681	0.459	dispjaċir
dismayed	0.165	0.735	0.389	skantat
dismemberment	0.104	0.860	0.470	smembrament
dismiss	0.167	0.541	0.509	tkeċċi
dismissal	0.153	0.723	0.271	tkeċċija
dismissive	0.188	0.541	0.430	tiċħad
dismount	0.361	0.423	0.391	żmonta
disobedience	0.051	0.868	0.369	diżubbidjenza
disobedient	0.276	0.706	0.353	diżubbidjenti
disobey	0.143	0.556	0.491	ma jobdix
disorder	0.115	0.816	0.218	diżordni
disordered	0.210	0.714	0.288	diżordinat
disorderly	0.188	0.748	0.385	diżordinat
disorganized	0.052	0.507	0.184	diżorganizzat
disorientation	0.163	0.472	0.212	diżorjentazzjoni
disoriented	0.227	0.643	0.227	diżorjentat
disown	0.153	0.637	0.368	ċaħda
disparage	0.092	0.663	0.336	jiddisprezza
disparaging	0.102	0.626	0.411	disprezzanti
disparate	0.438	0.500	0.368	differenti
disparity	0.208	0.482	0.361	disparità
dispassionate	0.199	0.217	0.218	dispassionate
dispatch	0.317	0.417	0.555	dispaċċ
dispatcher	0.365	0.704	0.652	dispaċċ
dispel	0.388	0.402	0.411	tkeċċi
dispensary	0.406	0.380	0.606	dispensarju
dispensation	0.388	0.462	0.490	dispensa
dispense	0.561	0.520	0.518	jiddispensa
dispenser	0.583	0.392	0.470	dispenser
dispersal	0.388	0.507	0.421	tixrid
disperse	0.375	0.569	0.434	xerred
dispersed	0.344	0.490	0.274	imxerrda
dispersion	0.270	0.604	0.350	dispersjoni
dispirited	0.204	0.280	0.142	dispirited
displace	0.424	0.541	0.454	isposta
displaced	0.281	0.472	0.291	spostati
displacement	0.276	0.531	0.481	spostament
displacency	0.500	0.528	0.642	spostament
display	0.677	0.325	0.400	wiri
displease	0.021	0.702	0.286	ma togħġobx
displeased	0.135	0.690	0.400	dispjaċir
displeasure	0.115	0.559	0.250	dispjaċir
disposable	0.271	0.439	0.250	li jintremew
disposal	0.135	0.608	0.396	rimi
dispose	0.548	0.538	0.559	jiddisponi
disposed	0.688	0.441	0.625	mormi
disposition	0.663	0.542	0.734	dispożizzjoni
dispossessed	0.354	0.577	0.331	imneħħija
disprove	0.375	0.625	0.613	tiċħad
dispute	0.219	0.750	0.585	tilwima
disqualification	0.066	0.677	0.330	skwalifika
disqualified	0.129	0.464	0.232	skwalifikat
disqualify	0.208	0.595	0.267	jiskwalifika
disquieted	0.229	0.850	0.290	inkwiet
disregard	0.177	0.647	0.308	injorat
disregarded	0.260	0.458	0.283	injorat
disrelish	0.375	0.471	0.304	disrelish
disreputable	0.104	0.688	0.353	bla reputazzjoni
disrepute	0.208	0.630	0.292	nuqqas ta' reputazzjoni
disrespect	0.062	0.637	0.302	nuqqas ta' rispett
disrespectful	0.031	0.694	0.273	bla rispett
disrupt	0.265	0.640	0.349	tfixkel
disrupting	0.186	0.557	0.339	tfixkel
disruption	0.235	0.735	0.436	tfixkil
disruptive	0.255	0.755	0.575	tfixkel
dissatisfaction	0.115	0.663	0.202	nuqqas ta' sodisfazzjon
dissatisfied	0.042	0.561	0.291	mhux sodisfatt
dissect	0.367	0.750	0.595	jiddissezzjona
dissection	0.276	0.632	0.462	dissezzjoni
disseminate	0.562	0.608	0.750	ixerred
dissemination	0.476	0.551	0.583	tixrid
dissension	0.250	0.618	0.414	id-dissensjoni
dissent	0.300	0.655	0.407	dissens
dissenting	0.208	0.552	0.366	li ma jaqblux
dissertation	0.312	0.575	0.575	dissertazzjoni
disservice	0.250	0.794	0.480	diżservizz
dissident	0.350	0.582	0.413	dissidenti
dissimilar	0.276	0.461	0.472	differenti
dissipate	0.385	0.368	0.355	tinħela
dissipated	0.281	0.421	0.231	imxerred
dissociation	0.135	0.555	0.471	dissoċjazzjoni
dissociative	0.281	0.615	0.397	dissoċjattiv
dissolution	0.204	0.464	0.349	xoljiment
dissolve	0.271	0.490	0.410	ħoll
dissonance	0.173	0.471	0.336	dissonanza
dissuade	0.482	0.500	0.350	jiddisswadi
distal	0.410	0.401	0.438	distali
distance	0.233	0.317	0.418	distanza
distant	0.229	0.324	0.269	bogħod
distaste	0.184	0.625	0.370	disgust
distasteful	0.264	0.676	0.222	disgustat
distillate	0.500	0.347	0.382	distillat
distillation	0.396	0.436	0.575	distillazzjoni
distilled	0.427	0.573	0.500	distillat
distinct	0.542	0.578	0.509	distinti
distinction	0.584	0.571	0.750	distinzjoni
distinctive	0.885	0.520	0.604	distintiv
distinguish	0.675	0.471	0.600	jiddistingwi
distinguishable	0.635	0.530	0.727	distingwibbli
distinguished	0.823	0.593	0.759	distinti
distinguishing	0.622	0.363	0.640	jiddistingwu
distort	0.100	0.740	0.366	tgħawweġ
distorted	0.250	0.521	0.280	mgħawġa
distortion	0.299	0.570	0.380	distorsjoni
distract	0.241	0.609	0.336	tfixkel
distracted	0.194	0.392	0.213	distratt
distracting	0.445	0.583	0.400	jfixkluh
distraction	0.402	0.557	0.390	distrazzjoni
distraught	0.115	0.903	0.264	imnikkta
distress	0.073	0.840	0.396	dwejjaq
distressed	0.143	0.771	0.324	imnikket
distressing	0.075	0.750	0.375	dwejjaq
distribute	0.643	0.596	0.709	iqassam
distribution	0.635	0.548	0.788	distribuzzjoni
distributor	0.702	0.447	0.718	distributur
district	0.438	0.327	0.660	distrett
distrust	0.060	0.670	0.276	nuqqas ta’ fiduċja
disturb	0.175	0.760	0.481	jiddisturbaw
disturbance	0.146	0.907	0.404	disturb
disturbed	0.125	0.870	0.305	disturbat
disturbing	0.146	0.792	0.439	inkwetanti
disuse	0.229	0.229	0.202	ma jintużax
disused	0.250	0.302	0.186	mhux użat
ditch	0.357	0.364	0.322	foss
ditto	0.449	0.418	0.411	l-istess
ditty	0.470	0.433	0.334	ditty
diurnal	0.714	0.296	0.443	ta’ kuljum
diva	0.660	0.657	0.596	diva
divan	0.750	0.202	0.262	divan
dive	0.583	0.531	0.500	adsa
diver	0.594	0.520	0.564	għaddas
diverge	0.375	0.657	0.520	jiddiverġu
divergence	0.429	0.615	0.687	diverġenza
divergent	0.449	0.660	0.587	diverġenti
diverging	0.417	0.613	0.573	diverġenti
divers	0.583	0.580	0.602	għaddasa
diverse	0.562	0.519	0.604	diversa
diversified	0.602	0.538	0.549	diversifikata
diversify	0.656	0.588	0.464	jiddiversifikaw
diversion	0.740	0.821	0.714	devjazzjoni
diversionary	0.551	0.587	0.300	devjazzjoni
diversity	0.806	0.472	0.711	diversità
divert	0.344	0.622	0.407	jiddevja
diverting	0.396	0.571	0.537	devjazzjoni
divest	0.365	0.547	0.424	divest
divested	0.333	0.449	0.311	divestiti
divestment	0.302	0.509	0.382	divestiment
divide	0.333	0.520	0.417	jaqsam
divided	0.271	0.623	0.391	maqsuma
dividend	0.583	0.491	0.566	dividend
divination	0.500	0.650	0.545	divinazzjoni
divine	0.918	0.571	0.885	divina
divinity	0.896	0.559	0.774	divinità
divisible	0.323	0.462	0.411	diviżibbli
division	0.370	0.481	0.472	diviżjoni
divisor	0.344	0.517	0.455	diviżur
divorce	0.042	0.700	0.385	divorzju
divorcee	0.153	0.610	0.481	divorzjat
divulge	0.531	0.718	0.467	jiżvela
divvy	0.351	0.462	0.429	divvy
dizziness	0.229	0.555	0.254	sturdament
dizzy	0.199	0.582	0.193	sturdut
do	0.670	0.548	0.536	tagħmel
doable	0.760	0.404	0.675	fattibbli
doc	0.458	0.317	0.392	dok
docile	0.604	0.259	0.264	doċili
dock	0.490	0.409	0.481	baċir
docked	0.281	0.754	0.398	docked
docket	0.505	0.509	0.607	dokument
docking	0.354	0.596	0.587	docking
doctor	0.700	0.531	0.861	tabib
doctorate	0.776	0.479	0.841	dottorat
doctrinal	0.510	0.373	0.673	duttrinali
doctrine	0.500	0.394	0.769	duttrina
document	0.594	0.240	0.667	dokument
documentary	0.622	0.213	0.596	dokumentarju
documentation	0.719	0.290	0.667	dokumentazzjoni
documents	0.530	0.250	0.587	dokumenti
dodge	0.333	0.760	0.509	dodge
dodger	0.427	0.454	0.490	dodger
dodging	0.396	0.654	0.382	dodging
dodgy	0.281	0.510	0.254	dodgy
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	doe
doer	0.724	0.550	0.728	jagħmel
dog	0.704	0.500	0.407	kelb
dogface	0.219	0.470	0.264	dogface
dogged	0.255	0.750	0.594	dogged
doggy	0.646	0.491	0.404	doggy
doghouse	0.438	0.417	0.340	doghouse
dogma	0.530	0.460	0.719	dogma
dogmatic	0.448	0.520	0.654	dommatika
dogsick	0.571	0.490	0.377	klieb
doings	0.604	0.491	0.705	doings
doit	0.500	0.519	0.392	għamilha
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	doldrums
dole	0.448	0.402	0.348	dole
doll	0.729	0.321	0.330	pupa
dollar	0.755	0.632	0.694	dollaru
dollhouse	0.643	0.245	0.363	dar tal-pupi
dolor	0.167	0.635	0.375	dolor
dolphin	0.776	0.350	0.414	delfini
domain	0.573	0.549	0.828	dominju
dome	0.620	0.398	0.509	koppla
domestic	0.729	0.327	0.500	domestiku
domesticated	0.635	0.360	0.294	domestikati
domestication	0.594	0.390	0.435	domestikazzjoni
domicile	0.604	0.292	0.529	domiċilju
domiciled	0.542	0.340	0.516	domiċiljat
dominance	0.542	0.775	0.839	dominanza
dominant	0.406	0.854	0.893	dominanti
dominate	0.439	0.814	0.953	jiddominaw
dominating	0.427	0.769	0.902	jiddomina
domination	0.505	0.786	0.959	dominazzjoni
dominatrix	0.390	0.727	0.709	dominatrix
dominion	0.542	0.704	0.890	dominju
domino	0.594	0.510	0.473	domino
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	jagħtu donazzjoni
donation	0.792	0.398	0.602	donazzjoni
donkey	0.406	0.367	0.245	ħmar
donor	0.714	0.490	0.653	donatur
dontlikeyou	0.055	0.500	0.282	dont like you
dontmess	0.396	0.482	0.440	m'għandekx mess
dontmesswithme	0.312	0.635	0.440	miegħi
dontpanic	0.469	0.465	0.425	dontpanic
dontunderstand	0.219	0.357	0.271	ma tifhimx
doodle	0.604	0.402	0.376	doodle
doom	0.073	0.750	0.442	doom
doomed	0.041	0.755	0.301	ddestinat
doomsday	0.125	0.861	0.670	doomsday
door	0.549	0.189	0.421	bieb
doorbell	0.564	0.500	0.307	qanpiena
doorknob	0.406	0.553	0.462	pum tal-bieb
doorman	0.570	0.371	0.491	bieb
doormat	0.458	0.269	0.267	tapit tal-bieb
doornail	0.459	0.370	0.423	doornal
doorstep	0.531	0.274	0.391	l-għatba
doorway	0.573	0.304	0.496	bieb
dopamine	0.548	0.469	0.426	dopamina
dope	0.295	0.855	0.425	dope
dopey	0.320	0.380	0.365	dopey
dork	0.272	0.519	0.361	dork
dorky	0.302	0.480	0.390	dorky
dorm	0.719	0.194	0.327	dorm
dormant	0.385	0.245	0.245	rieqda
dormitory	0.633	0.204	0.382	dormitorju
dorsal	0.449	0.360	0.445	dorsali
dosage	0.344	0.450	0.490	dożaġġ
dose	0.458	0.490	0.427	doża
dossier	0.357	0.380	0.544	dossier
dot	0.434	0.290	0.391	tikka
doting	0.888	0.415	0.426	doting
dotted	0.480	0.347	0.426	bit-tikek
dotty	0.375	0.402	0.393	dotty
double	0.677	0.378	0.569	doppju
doubled	0.427	0.536	0.560	irduppjat
doublet	0.420	0.431	0.500	doublet
doubling	0.459	0.452	0.464	irduppjar
doubt	0.395	0.351	0.231	dubju
doubtful	0.250	0.465	0.241	dubjuż
doubting	0.224	0.560	0.189	tiddubita
doubtless	0.688	0.415	0.689	bla dubju
doubts	0.306	0.448	0.305	dubji
douche	0.490	0.413	0.397	douche
douchebags	0.327	0.587	0.366	douchebags
dough	0.588	0.229	0.391	għaġina
doughboy	0.365	0.443	0.396	doughboy
doughnut	0.663	0.380	0.279	donut
dour	0.360	0.404	0.325	dour
douse	0.365	0.453	0.412	due
dove	0.729	0.235	0.437	ħamiema
down	0.208	0.330	0.264	isfel
downcast	0.071	0.500	0.222	downcast
downer	0.120	0.594	0.226	downer
downfall	0.200	0.717	0.182	waqgħa
downfield	0.521	0.330	0.380	downfield
downhearted	0.119	0.461	0.255	qalbhom
downhill	0.292	0.573	0.279	għan-niżla
download	0.602	0.490	0.503	niżżel
downpour	0.328	0.602	0.481	xita tax-xita
downright	0.625	0.454	0.679	detta
downriver	0.542	0.469	0.279	’l isfel
downside	0.190	0.400	0.246	żvantaġġ
downtime	0.240	0.226	0.324	waqfien
downward	0.188	0.347	0.255	'l isfel
downy	0.630	0.170	0.255	bajda
dowry	0.604	0.453	0.544	dota
doze	0.592	0.200	0.405	doze
dozen	0.583	0.343	0.425	tużżana
drab	0.327	0.300	0.242	drab
draft	0.438	0.360	0.351	abbozz
drafty	0.458	0.500	0.518	drafty
drag	0.388	0.606	0.348	drag
dragon	0.541	0.821	0.712	dragun
dragonfly	0.571	0.373	0.357	libellula
drain	0.277	0.470	0.222	drain
drainage	0.219	0.354	0.307	drenaġġ
drained	0.310	0.441	0.352	ixxotta
draining	0.337	0.396	0.304	drenaġġ
drainpipe	0.417	0.413	0.277	drainpipe
drake	0.467	0.411	0.452	drake
drama	0.430	0.755	0.481	drama
dramaqueen	0.337	0.682	0.482	dramaqueen
dramatic	0.367	0.780	0.443	drammatiku
drape	0.417	0.439	0.404	drapp
drapery	0.479	0.220	0.223	drappijiet
drastic	0.194	0.839	0.657	drastiku
drat	0.302	0.516	0.409	drat
draught	0.465	0.245	0.316	abbozz
draw	0.704	0.449	0.481	tiġbed
drawback	0.302	0.422	0.148	żvantaġġ
drawbridge	0.551	0.557	0.438	pont levabbli
drawer	0.429	0.196	0.292	kexxun
drawers	0.539	0.260	0.236	kxaxen
drawing	0.698	0.216	0.333	tpinġija
dread	0.153	0.792	0.368	biża’
dreaded	0.122	0.706	0.460	jibżgħu
dreadful	0.092	0.786	0.348	koroh
dreadfully	0.246	0.806	0.306	tal-biża’
dreading	0.125	0.760	0.377	jibżgħu
dream	0.844	0.157	0.328	ħolma
dreamboat	0.776	0.491	0.458	dreamboat
dreamer	0.820	0.394	0.455	joħlom
dreaming	0.854	0.320	0.336	ħolm
dreamland	0.844	0.471	0.566	art tal-ħolm
dreams	0.865	0.415	0.530	ħolm
dreamt	0.812	0.380	0.518	ħolmu
dreamy	0.837	0.350	0.500	ħolma
dreary	0.260	0.490	0.324	dwejra
dredge	0.427	0.445	0.444	tħammil
drenched	0.302	0.361	0.388	mxarrba
dress	0.760	0.300	0.345	libsa
dresser	0.604	0.398	0.473	dresser
dressmaker	0.698	0.460	0.483	dressmaker
dressy	0.800	0.570	0.696	dressy
dribble	0.417	0.551	0.465	dribble
dried	0.427	0.260	0.385	imnixxef
drier	0.306	0.347	0.392	dryer
drift	0.316	0.520	0.375	drift
drifted	0.312	0.542	0.310	drifted
drifter	0.449	0.512	0.391	drifter
driftwood	0.321	0.283	0.439	driftwood
drill	0.250	0.602	0.573	drill
drink	0.650	0.552	0.474	tixrob
drinker	0.365	0.735	0.441	jixrob
drinking	0.562	0.459	0.317	xorb
drinks	0.729	0.656	0.412	xorb
drip	0.392	0.193	0.175	taqtir
dripping	0.302	0.257	0.267	taqtir
drive	0.625	0.689	0.713	issuq
drivel	0.398	0.469	0.463	xprun
driver	0.553	0.538	0.637	sewwieq
driveway	0.612	0.392	0.689	awtostrada
drizzle	0.521	0.353	0.319	drizzle
droll	0.459	0.573	0.422	droll
drone	0.429	0.686	0.596	drone
drones	0.398	0.577	0.588	drones
drool	0.385	0.398	0.204	drool
drooping	0.245	0.558	0.353	imdendel
droopy	0.438	0.350	0.297	imdendel
drop	0.479	0.321	0.291	qatra
droplet	0.625	0.208	0.194	qtar
dropout	0.253	0.550	0.481	jitilqu
dropper	0.333	0.216	0.236	dropper
drought	0.133	0.353	0.267	nixfa
drove	0.541	0.528	0.623	saq
drown	0.071	0.860	0.270	għerqu
drowsiness	0.260	0.194	0.303	ngħas
drowsy	0.375	0.180	0.240	bi ngħas
drudgery	0.094	0.522	0.241	ħniena
drug	0.214	0.790	0.453	droga
drug dealing	0.042	0.843	0.500	kummerċ tad-droga
drugged	0.102	0.750	0.321	drogati
druggist	0.240	0.561	0.417	farmaċewtiku
drugs	0.167	0.750	0.368	drogi
drugstore	0.490	0.343	0.518	drugstore
druid	0.517	0.445	0.481	druid
drum	0.615	0.679	0.339	tanbur
drummer	0.646	0.700	0.564	drummer
drumming	0.594	0.750	0.426	drumming
drunk	0.194	0.800	0.250	fis-sakra
drunk driving	0.073	0.900	0.306	sewqan fis-sakra
drunkard	0.240	0.873	0.250	sakra
drunken	0.155	0.849	0.250	fis-sakra
drunkenness	0.214	0.774	0.336	sokor
dry	0.363	0.169	0.311	nixxef
dryer	0.479	0.343	0.277	dryer
dryness	0.292	0.296	0.263	nixfa
dual	0.573	0.330	0.384	doppju
dualism	0.490	0.406	0.536	dualiżmu
duality	0.438	0.520	0.503	duwalità
dub	0.510	0.480	0.387	dub
dubious	0.414	0.480	0.198	dubjuż
duchess	0.656	0.548	0.711	dukessa
duck	0.594	0.337	0.236	papra
ducking	0.344	0.573	0.294	ducking
duckling	0.602	0.353	0.263	papra
ducky	0.520	0.430	0.368	papra
duct	0.449	0.435	0.430	katusa
ductile	0.508	0.420	0.433	duttili
dud	0.167	0.455	0.246	dud
dude	0.809	0.356	0.615	raġel
duds	0.347	0.311	0.339	duds
due	0.562	0.340	0.467	dovut
duel	0.271	0.696	0.589	dwell
dues	0.367	0.461	0.288	drittijiet
duet	0.694	0.693	0.527	duett
duffel	0.500	0.400	0.384	duffel
dugout	0.490	0.370	0.463	dugout
duh	0.357	0.461	0.364	duh
duke	0.667	0.440	0.669	duka
dull	0.194	0.120	0.185	matt
dullard	0.450	0.480	0.365	dullard
dumb	0.188	0.330	0.151	mutu
dumbasses	0.316	0.590	0.363	dumbasses
dumbbell	0.302	0.469	0.364	dumbbell
dumbbitch	0.281	0.636	0.393	dumbbitch
dumfound	0.271	0.551	0.295	mistħoqq
dumfounder	0.406	0.481	0.400	dumfounder
dummy	0.440	0.144	0.250	manikin
dump	0.345	0.500	0.370	miżbla
dumpling	0.580	0.321	0.360	għaġina
dumps	0.302	0.583	0.365	miżbliet
dumpster	0.229	0.418	0.101	dumpster
dun	0.458	0.431	0.339	dun
dunce	0.188	0.327	0.146	dunce
dune	0.459	0.173	0.414	duna
dung	0.104	0.549	0.149	demel
dungeon	0.276	0.608	0.440	Dungeon
dunk	0.406	0.333	0.475	dunk
duo	0.510	0.500	0.447	duo
dupe	0.184	0.760	0.327	dupe
duplex	0.592	0.452	0.467	duplex
duplicate	0.521	0.490	0.338	duplikat
duplication	0.480	0.564	0.577	duplikazzjoni
duplicity	0.406	0.500	0.578	dupliċità
durability	0.750	0.398	0.813	durabilità
durable	0.740	0.294	0.688	durabbli
duration	0.656	0.370	0.536	tul ta' żmien
duress	0.302	0.569	0.612	tensjoni
dusk	0.532	0.276	0.519	dusk
dusky	0.229	0.528	0.324	skur
dust	0.344	0.246	0.241	trab
duster	0.408	0.265	0.296	duster
dustpan	0.609	0.466	0.371	dustpan
dusty	0.406	0.294	0.255	trab
dutiful	0.724	0.245	0.585	dobbli
duty	0.583	0.579	0.651	dmir
dwarf	0.370	0.340	0.288	nanu
dwarfed	0.365	0.265	0.293	nanu
dweeb	0.354	0.446	0.327	dweeb
dwell	0.698	0.245	0.611	jgħammar
dweller	0.615	0.304	0.500	abitanti
dwelling	0.765	0.330	0.481	abitazzjoni
dye	0.479	0.314	0.371	żebgħa
dying	0.040	0.664	0.422	imutu
dyke	0.438	0.396	0.566	digi
dynamic	0.724	0.750	0.836	dinamiku
dynamical	0.786	0.730	0.827	dinamiku
dynamics	0.745	0.682	0.774	dinamika
dynamite	0.344	0.860	0.783	dinamita
dynamo	0.531	0.650	0.593	dinamo
dynasty	0.725	0.588	0.936	dinastija
dysentery	0.260	0.528	0.345	diżinterija
dysfunction	0.156	0.410	0.386	disfunzjoni
dysfunctional	0.125	0.558	0.307	ma jiffunzjonax
dyspepsia	0.212	0.470	0.460	dispepsja
eager	0.521	0.812	0.306	ħerqana
eagerness	0.406	0.621	0.443	ħeġġa
eagle	0.604	0.594	0.679	ajkla
ear	0.469	0.216	0.231	widna
earful	0.533	0.462	0.443	widnejn
earl	0.582	0.461	0.794	konte
earlier	0.562	0.352	0.339	qabel
early	0.633	0.373	0.426	kmieni
earn	0.865	0.769	0.817	jaqilgħu
earnest	0.653	0.380	0.670	bis-serjetà
earnestly	0.847	0.490	0.717	bis-serjetà
earnestness	0.812	0.373	0.615	ħeġġa
earnings	0.938	0.650	0.875	qligħ
earpiece	0.583	0.286	0.452	widna
earring	0.583	0.520	0.500	widnejn
earrings	0.676	0.346	0.517	imsielet
earshot	0.552	0.332	0.408	għajn
earth	0.750	0.225	0.614	art
earthenware	0.552	0.210	0.320	fuħħar
earthling	0.531	0.412	0.570	earthling
earthly	0.625	0.318	0.518	terrestri
earthquake	0.073	0.930	0.812	terremot
earthy	0.375	0.413	0.404	earthy
ease	0.796	0.385	0.491	faċilità
easel	0.694	0.340	0.527	kavalletta
easement	0.479	0.345	0.302	servitù
easily	0.885	0.279	0.453	faċilment
east	0.510	0.250	0.317	lvant
eastbound	0.541	0.408	0.402	lejn il-lvant
eastern	0.521	0.420	0.480	tal-Lvant
easy	0.865	0.194	0.373	faċli
easygoing	0.823	0.276	0.538	faċli
eat	0.731	0.500	0.464	tiekol
eater	0.459	0.337	0.510	eater
eating	0.847	0.491	0.615	tiekol
eatingdisorders	0.365	0.608	0.508	eating disorders
eavesdrop	0.375	0.710	0.368	eavesdrop
eavesdropping	0.490	0.380	0.441	smigħ
ebb	0.354	0.451	0.404	ebb
ebony	0.490	0.317	0.400	ebonu
ebullient	0.659	0.856	0.746	ebulljenti
eccentric	0.531	0.806	0.721	eċċentrika
eccentricity	0.408	0.735	0.745	eċċentriċità
ecclesiastical	0.673	0.270	0.660	ekkleżjastiku
echelon	0.490	0.404	0.425	echelon
echinacea	0.592	0.418	0.454	echinacea
echo	0.573	0.373	0.345	eku
eclectic	0.646	0.542	0.508	eklettiku
eclipse	0.541	0.469	0.616	eklissi
ecliptic	0.531	0.520	0.556	eklittika
ecological	0.885	0.290	0.607	ekoloġiku
economic	0.561	0.408	0.639	ekonomiku
economical	0.667	0.564	0.673	ekonomiku
economics	0.625	0.481	0.632	ekonomija
economy	0.583	0.434	0.771	ekonomija
ecosystem	0.729	0.259	0.633	ekosistema
ecstasy	0.796	0.922	0.655	ecstasy
ecstatic	0.875	0.769	0.742	ecstatic
ecumenical	0.561	0.450	0.547	ekumeniku
eddy	0.500	0.394	0.350	eddy
edema	0.250	0.519	0.318	edema
edge	0.439	0.470	0.468	tarf
edging	0.479	0.394	0.370	borduri
edgy	0.281	0.895	0.306	edgy
edible	0.750	0.425	0.497	jittiekel
edict	0.316	0.547	0.560	editt
edification	0.625	0.481	0.697	edifikazzjoni
edifice	0.551	0.403	0.610	bini
edit	0.510	0.410	0.544	editja
editing	0.604	0.404	0.493	editjar
edition	0.542	0.455	0.564	edizzjoni
editor	0.772	0.431	0.673	editur
editorial	0.583	0.330	0.570	editorjali
educate	0.760	0.380	0.728	teduka
educated	0.816	0.297	0.625	edukati
education	0.896	0.275	0.840	edukazzjoni
educational	0.745	0.457	0.764	edukattivi
educator	0.827	0.317	0.845	edukatur
eeeek	0.367	0.540	0.349	eeeek
eeek	0.333	0.490	0.302	eeek
eek	0.292	0.529	0.343	eek
eel	0.292	0.564	0.487	sallura
eerie	0.265	0.771	0.442	eerie
effect	0.570	0.518	0.608	effett
effective	0.844	0.632	0.891	effettivi
effectiveness	0.640	0.654	0.812	effettività
effects	0.470	0.578	0.379	effetti
effectual	0.776	0.559	0.820	effettivi
effectually	0.724	0.500	0.594	b'mod effettiv
effectuate	0.510	0.602	0.679	effettivament
effeminate	0.337	0.619	0.291	effeminat
efficacious	0.823	0.698	0.845	effikaċi
efficacy	0.802	0.490	0.906	effikaċja
efficiency	0.802	0.509	0.892	effiċjenza
efficient	0.959	0.604	0.830	effiċjenti
effigy	0.510	0.440	0.401	effiġja
effort	0.698	0.778	0.858	sforz
effortless	0.626	0.090	0.352	bla sforz
effusion	0.344	0.730	0.472	effużjoni
effyou	0.354	0.529	0.490	effyou
egg	0.684	0.241	0.293	bajda
egghead	0.316	0.492	0.284	ras tal-bajd
eggnog	0.635	0.360	0.259	żarbun tal-bajd
eggplant	0.592	0.152	0.323	brunġiela
eggshell	0.408	0.269	0.212	qoxra tal-bajd
ego	0.328	0.576	0.593	ego
egomaniac	0.133	0.708	0.596	egomaniac
egotistical	0.156	0.667	0.363	egotista
egregious	0.150	0.716	0.442	egreġjuż
egress	0.490	0.429	0.287	ħruġ
eight	0.540	0.199	0.315	tmienja
eighteen	0.523	0.340	0.404	tmintax
eighth	0.531	0.226	0.380	it-tmien
