English Word	Valence	Arousal	Dominance	Igbo Word
ceaseless	0.378	0.704	0.658	akwụsị akwụsị
cedar	0.560	0.267	0.577	cedar
cede	0.275	0.327	0.402	cede
ceiling	0.520	0.224	0.366	n'uko
celebrant	0.865	0.656	0.643	eme ememe
celebrate	0.917	0.857	0.859	eme ememe
celebrated	0.875	0.690	0.763	eme ememe
celebrating	0.927	0.860	0.773	na-eme ememe
celebration	0.939	0.824	0.880	ememe
celebrations	0.958	0.794	0.714	ememe
celebratory	0.857	0.653	0.845	emume
celebrity	0.760	0.619	0.855	onye ama ama
celery	0.396	0.147	0.223	celery
celestial	0.817	0.360	0.731	eluigwe
celibacy	0.302	0.276	0.509	alụghị nwanyị
celibate	0.419	0.387	0.391	alụghị nwanyị
cell	0.541	0.375	0.465	cell
cellar	0.510	0.277	0.406	okpuru ulo
cellblock	0.186	0.570	0.500	mgbochi cell
cellist	0.667	0.500	0.486	cellist
cellmate	0.167	0.684	0.349	cellmate
cello	0.635	0.324	0.528	cello
cellophane	0.648	0.282	0.289	cellophane
cellular	0.643	0.398	0.517	cellular
cellulite	0.200	0.384	0.256	cellulite
celluloid	0.469	0.440	0.425	celluloid
cement	0.544	0.265	0.527	simenti
cemented	0.429	0.382	0.537	simenti
cemetery	0.051	0.630	0.417	ebe a na-eli ozu
censor	0.344	0.276	0.538	nyocha
censorship	0.219	0.698	0.421	nnyocha
censure	0.219	0.653	0.417	ịkatọ
census	0.449	0.289	0.553	onuogugu
cent	0.439	0.367	0.402	cent
centenary	0.604	0.440	0.642	narị afọ
centennial	0.583	0.394	0.700	narị afọ
center	0.643	0.231	0.431	etiti
centerfold	0.571	0.407	0.485	etiti etiti
centerpiece	0.594	0.208	0.520	centerpiece
centimeter	0.427	0.280	0.380	centimita
centipede	0.296	0.399	0.361	centipede
central	0.640	0.356	0.621	etiti
centrality	0.571	0.312	0.709	Centrality
centralization	0.521	0.440	0.702	Centralization
centralize	0.684	0.427	0.802	centralize
centrally	0.729	0.280	0.700	etiti
centrifugal	0.306	0.651	0.480	centrifugal
centrifuge	0.495	0.622	0.527	centrifuge
centurion	0.590	0.447	0.696	onyeisi ndị agha
century	0.407	0.347	0.735	narị afọ
ceramic	0.521	0.255	0.371	seramiiki
ceramics	0.573	0.250	0.373	ceramik
cereal	0.612	0.206	0.316	ọka ọka
cereals	0.719	0.224	0.311	ọka ọka
cerebral	0.408	0.509	0.627	ụbụrụ ụbụrụ
ceremonial	0.771	0.540	0.691	emume
ceremony	0.760	0.559	0.761	emume
certain	0.760	0.358	0.673	ụfọdụ
certainty	0.781	0.400	0.769	n'aka
certifiable	0.714	0.427	0.662	nwere ike ịgba akaebe
certificate	0.786	0.377	0.746	akwụkwọ
certified	0.781	0.422	0.806	kwadoro
certify	0.866	0.400	0.746	gosi
cervical	0.375	0.413	0.445	cervical
cervix	0.429	0.360	0.340	cervix
cess	0.427	0.375	0.406	cess
cessation	0.414	0.385	0.358	nkwụsị
cesspool	0.167	0.460	0.409	cesspool
cha cha	0.714	0.546	0.324	cha cha
chaff	0.333	0.327	0.188	igbogbo ọka
chafing	0.430	0.415	0.368	ịhịa aka n'ahụ
chagrin	0.104	0.704	0.472	iwe
chagrined	0.112	0.745	0.361	iwe were iwe
chai	0.500	0.375	0.363	chai
chain	0.378	0.500	0.547	yinye
chainsaw	0.367	0.804	0.636	chainsaw
chair	0.562	0.082	0.276	oche
chairman	0.656	0.567	0.933	onyeisi oche
chairperson	0.730	0.657	0.966	onyeisi oche
chairwoman	0.719	0.664	0.953	onye isi oche
chaise	0.406	0.349	0.327	chaise
chalet	0.653	0.349	0.278	chalet
chalice	0.633	0.286	0.529	chalice
chalk	0.385	0.185	0.121	nzu
challenge	0.469	0.922	0.713	ịma aka
challenger	0.417	0.755	0.652	onye na-ama aka
chamber	0.583	0.373	0.455	ụlọ
chambermaid	0.594	0.375	0.336	chambermaid
chambers	0.542	0.442	0.388	ụlọ
chameleon	0.490	0.580	0.345	chameleon
champ	0.854	0.754	0.896	onye mmeri
champagne	0.760	0.600	0.454	Champagne
champion	0.890	0.880	0.945	onye mmeri
championship	0.833	0.800	0.880	asọmpi
chance	0.833	0.551	0.525	ohere
chancellor	0.646	0.500	0.887	onye isi ala
chandelier	0.615	0.542	0.366	chandelier
chandler	0.510	0.452	0.454	chandler
change	0.625	0.575	0.606	gbanwee
changeable	0.490	0.480	0.528	mgbanwe
changed	0.594	0.375	0.491	gbanwere
changer	0.583	0.519	0.567	onye ngbanwe
changing	0.571	0.569	0.461	na-agbanwe
channel	0.490	0.287	0.405	ọwa
chant	0.771	0.698	0.650	gwuo egwu
chaos	0.016	0.923	0.373	ọgbaghara
chaotic	0.115	0.847	0.442	chaotic
chap	0.550	0.410	0.345	isi
chapel	0.573	0.240	0.440	ụlọ ụka
chaperon	0.500	0.520	0.404	onye isi
chaplain	0.582	0.370	0.577	ụkọchukwu
chapman	0.562	0.529	0.465	onye isi
chaps	0.350	0.462	0.350	isi
chapter	0.580	0.308	0.461	isi
char	0.554	0.361	0.404	char
character	0.667	0.373	0.686	agwa
characteristic	0.583	0.328	0.538	njirimara
characterize	0.729	0.471	0.735	mara
charade	0.458	0.550	0.346	charade
charcoal	0.302	0.186	0.342	unyi
chardonnay	0.677	0.567	0.492	chardonnay
charge	0.510	0.633	0.785	ebubo
chargeable	0.551	0.550	0.453	chajị
charger	0.531	0.418	0.545	chaja
chariot	0.684	0.550	0.491	ụgbọ ịnyịnya
charisma	0.938	0.591	0.759	amara
charismatic	0.938	0.684	0.849	adọrọ adọrọ
charitable	0.865	0.380	0.593	ọrụ ebere
charity	0.920	0.284	0.551	ọrụ ebere
charlatan	0.200	0.640	0.352	charlatan
charm	0.833	0.363	0.649	amara
charmed	0.938	0.570	0.769	Ịmekwasị anwansị
charmer	0.882	0.683	0.782	amara
charming	0.917	0.660	0.764	mara mma
charred	0.208	0.676	0.373	gbara ọkụ
chart	0.469	0.317	0.330	eserese
charter	0.677	0.382	0.518	akwụkwọ ikike
chartered	0.569	0.460	0.490	kwadoro
chase	0.396	0.878	0.623	chụrụ
chased	0.188	0.830	0.287	chụrụ
chaser	0.375	0.830	0.645	onye na-achụ
chasm	0.265	0.579	0.500	chasm
chassis	0.406	0.342	0.444	chassis
chaste	0.408	0.248	0.453	dị ọcha
chastened	0.156	0.580	0.345	tara ahụhụ
chastisement	0.156	0.852	0.462	ntaramahụhụ
chastity	0.469	0.392	0.509	ịdị ọcha n'anya
chat	0.729	0.400	0.346	nkata
chateau	0.615	0.464	0.702	chateau
chatter	0.560	0.450	0.347	nkata
chatterbox	0.459	0.548	0.482	igbe nkata
chattering	0.460	0.663	0.304	na-akpa nkata
chatty	0.594	0.548	0.345	nkata
chauffeur	0.500	0.353	0.471	onye ọkwọ ụgbọ ala
chauvinist	0.310	0.539	0.527	onye chauvinist
cheap	0.612	0.471	0.272	ọnụ ala
cheapened	0.471	0.611	0.282	dị ọnụ ala
cheapskate	0.148	0.482	0.327	ọnụ ala ala
cheat	0.125	0.776	0.400	aghụghọ
cheater	0.104	0.920	0.333	onye aghụghọ
check	0.523	0.552	0.602	lelee
checkbook	0.552	0.284	0.364	akwụkwọ ndenye ego
checker	0.330	0.417	0.553	onye nyocha
checkered	0.459	0.316	0.336	checkered
checkers	0.676	0.451	0.437	checkers
checklist	0.561	0.521	0.552	ndetu
checkmate	0.667	0.708	0.750	onye nyocha
checkout	0.597	0.510	0.670	lelee
checkpoint	0.571	0.323	0.812	ebe nlele
checkup	0.500	0.435	0.491	nlele
cheek	0.670	0.314	0.421	agba
cheeks	0.708	0.324	0.282	ntì
cheeky	0.434	0.679	0.410	nghota
cheep	0.367	0.380	0.373	cheep
cheer	0.938	0.784	0.845	nwee obi ụtọ
cheered	0.875	0.648	0.790	aṅụrị
cheerful	0.990	0.720	0.696	obi ụtọ
cheerfulness	0.969	0.802	0.675	obi ụtọ
cheering	0.815	0.824	0.642	na-eti mkpu
cheerleader	0.923	0.746	0.657	onye obi ụtọ
cheerleading	0.698	0.769	0.404	na-enwe obi ụtọ
cheerless	0.204	0.373	0.167	enweghị obi ụtọ
cheers	0.948	0.770	0.702	chesie ike
cheery	0.949	0.657	0.486	obi ụtọ
cheese	0.740	0.280	0.281	chiiz
cheeseburger	0.802	0.529	0.336	cheeseburger
cheesecake	0.860	0.276	0.238	cheesecake
cheesy	0.470	0.471	0.179	cheesi
cheetah	0.469	0.770	0.667	mgbada
chef	0.854	0.411	0.570	onye isi nri
chemical	0.337	0.560	0.508	kemịkalụ
chemise	0.530	0.275	0.364	chemise
chemist	0.408	0.575	0.610	onye kemist
chemistry	0.625	0.520	0.694	kemistri
chemo	0.214	0.686	0.444	chemo
chemotherapy	0.163	0.689	0.517	chemotherapy
cheque	0.698	0.529	0.660	lelee
cherish	0.896	0.491	0.652	hụrụ n'anya
cherishing	0.836	0.380	0.625	na-akpachapụ anya
cherry	0.688	0.186	0.250	cherị
cherub	0.663	0.340	0.455	cherub
chess	0.656	0.363	0.518	chess
chest	0.520	0.429	0.481	obi
chestnut	0.714	0.210	0.294	chestnut
chevron	0.469	0.469	0.598	chevron
chew	0.520	0.490	0.404	ita
chewy	0.625	0.418	0.390	ata ata
chic	0.870	0.624	0.380	na na
chicane	0.357	0.460	0.481	chicane
chick	0.771	0.602	0.387	ọkụkọ
chicken	0.594	0.306	0.394	ọkụkọ
chicken pox	0.194	0.510	0.415	kịtịkpa
chickenpox	0.173	0.562	0.357	kịtịkpa
chief	0.520	0.544	0.869	onye isi
chiefly	0.600	0.587	0.764	isi
chieftain	0.343	0.529	0.860	onye isi
chiffon	0.406	0.230	0.250	chiffon
child	0.912	0.460	0.413	nwa
childbirth	0.604	0.861	0.673	ịmụ nwa
childhood	0.865	0.413	0.307	nwata
childish	0.573	0.442	0.230	nwata
childless	0.310	0.400	0.396	n'amụghị nwa
childlike	0.656	0.372	0.293	dị ka nwata
childloss	0.240	0.571	0.421	ịmụ nwa
children	0.857	0.538	0.435	umuaka
chili	0.592	0.566	0.433	chili
chill	0.837	0.206	0.482	oyi
chilled	0.521	0.340	0.482	jụrụ oyi
chilling	0.208	0.850	0.358	oyi
chilly	0.329	0.459	0.408	oyi
chime	0.573	0.541	0.464	chime
chimera	0.292	0.582	0.372	chimera
chimes	0.625	0.490	0.402	chimes
chimney	0.583	0.286	0.225	chimni
chimp	0.394	0.588	0.345	chimp
chimpanzee	0.500	0.633	0.387	chimpanzee
chin	0.571	0.310	0.269	agba
china	0.561	0.443	0.556	china
chinchilla	0.480	0.450	0.286	chinchilla
chine	0.561	0.360	0.352	chine
chinook	0.408	0.497	0.491	chinook
chip	0.479	0.382	0.452	mgbawa
chipmunk	0.573	0.562	0.409	chipmunk
chipper	0.418	0.588	0.500	chipper
chipping	0.354	0.452	0.353	chipping
chiropractor	0.420	0.549	0.651	chiropractor
chirp	0.469	0.602	0.365	mgbaka
chirping	0.500	0.463	0.360	na-eti mkpu
chisel	0.469	0.404	0.452	chisel
chiseler	0.429	0.606	0.464	chiseler
chit	0.490	0.352	0.321	chit
chitchat	0.673	0.455	0.403	chitchat
chivalry	0.857	0.380	0.848	chivalry
chloride	0.265	0.387	0.474	chloride
chlorine	0.306	0.327	0.332	chlorine
chloroform	0.281	0.370	0.393	chloroform
chocolate	0.885	0.480	0.418	chocolate
choice	0.745	0.520	0.664	nhọrọ
choir	0.704	0.298	0.473	ukwe
choke	0.167	0.788	0.676	kpagbuo
cholera	0.020	0.867	0.507	ọgbụgbọ ọgbụgbọ
cholesterol	0.198	0.583	0.398	cholesterol
choose	0.615	0.542	0.648	họrọ
choosing	0.719	0.529	0.689	ịhọrọ
choosy	0.280	0.760	0.712	oke
chop	0.250	0.655	0.467	iri
chopper	0.594	0.560	0.509	chopper
choppers	0.469	0.745	0.691	choppers
chopping	0.560	0.625	0.362	igburi
chops	0.612	0.420	0.269	iberi
choral	0.852	0.290	0.421	choral
chord	0.729	0.394	0.539	eriri
chords	0.639	0.406	0.388	ụdọ
chore	0.406	0.462	0.500	arụ ọrụ
choreographer	0.646	0.639	0.625	onye choreographer
choreography	0.812	0.750	0.547	choreography
chorus	0.620	0.417	0.500	ukwe
chosen	0.865	0.449	0.833	họọrọ
chow	0.573	0.490	0.390	kwoo
chowder	0.510	0.324	0.241	chowder
christ	0.781	0.510	0.750	Kraist
christen	0.673	0.356	0.588	Kraist
christening	0.725	0.382	0.650	baptizim
christmas	0.959	0.520	0.741	ekeresimesi
christmasbreak	0.842	0.640	0.548	ezumike ekeresimesi
christmaseve	0.812	0.491	0.463	abalị fotere ekeresimesi
christmasspirit	0.867	0.602	0.575	ekeresimesi
christmassy	0.875	0.698	0.602	ekeresimesi
christmastime	0.837	0.588	0.515	oge ekeresimesi
chromatic	0.407	0.413	0.435	chromatic
chromatography	0.480	0.537	0.535	chromatography
chrome	0.582	0.373	0.421	chrome
chromium	0.458	0.404	0.447	chromium
chromosome	0.500	0.296	0.548	chromosome
chronic	0.255	0.615	0.464	adịghị ala ala
chronicle	0.427	0.571	0.586	akụkọ ihe mere eme
chronograph	0.500	0.392	0.529	chronograf
chronological	0.594	0.445	0.600	usoro oge
chubby	0.531	0.427	0.304	chubby
chuck	0.542	0.509	0.413	chuck
chuckle	0.844	0.736	0.481	chịrị ọchị
chug	0.401	0.413	0.358	mmakwa
chum	0.911	0.347	0.518	chum
chummy	0.760	0.420	0.610	chummy
chump	0.375	0.451	0.304	chump
chunk	0.365	0.287	0.214	nchikota
chunky	0.520	0.517	0.509	chunky
church	0.708	0.198	0.610	ụka
churchyard	0.296	0.444	0.347	ogige ụlọ ụka
churn	0.316	0.491	0.407	chun
chute	0.580	0.745	0.455	chutu
chutney	0.459	0.370	0.400	chutney
ciao	0.542	0.426	0.409	ciao
cider	0.530	0.346	0.398	cider
cigar	0.306	0.463	0.346	sịga
cigarette	0.219	0.528	0.304	sịga
cilantro	0.469	0.260	0.208	cilantro
cinch	0.450	0.490	0.387	cinch
cinder	0.350	0.260	0.157	cinder
cinema	0.698	0.538	0.500	sinima
cinematic	0.663	0.490	0.600	sinima
cinematographer	0.792	0.455	0.711	onye na-ese sinima
cinematography	0.781	0.571	0.625	ihe nkiri sinima
cinnamon	0.600	0.250	0.292	cinnamon
cipher	0.490	0.414	0.500	ntụsara ahụ
circle	0.480	0.290	0.343	okirikiri
circling	0.510	0.654	0.336	okirikiri
circuit	0.586	0.461	0.707	sekit
circuitry	0.596	0.615	0.536	sekit
circular	0.562	0.342	0.417	okirikiri
circulate	0.612	0.388	0.320	kesaa
circulation	0.735	0.520	0.657	mgbasa ozi
circulatory	0.592	0.575	0.545	ọbara
circumcision	0.327	0.657	0.528	ibi úgwù
circumference	0.458	0.255	0.488	gburugburu
circumferential	0.551	0.422	0.509	gburugburu
circumscribed	0.365	0.539	0.569	úgwù
circumstance	0.520	0.565	0.596	ọnọdụ
circumstances	0.562	0.527	0.464	ọnọdụ
circumstantial	0.500	0.538	0.519	ihe merenụ
circumvent	0.316	0.642	0.383	gburugburu
circumvention	0.531	0.571	0.473	sekpụ ntị
circus	0.724	0.637	0.432	ihe nkiri
cirque	0.604	0.647	0.467	okirikiri
cirrhosis	0.079	0.602	0.370	cirrhosis
cirrus	0.470	0.451	0.348	cirrus
cistern	0.541	0.413	0.432	olulu mmiri
citadel	0.585	0.464	0.602	ulo eze
citation	0.570	0.549	0.508	ndetu
cite	0.625	0.454	0.532	kwuo
citizen	0.631	0.250	0.586	nwa amaala
citizenship	0.786	0.404	0.723	ịbụ nwa amaala
citrine	0.375	0.400	0.420	citrine
citrus	0.469	0.368	0.375	citrus
city	0.847	0.531	0.508	obodo
citywide	0.592	0.509	0.707	obodo dum
civic	0.653	0.240	0.573	obodo
civics	0.700	0.279	0.720	obodo
civil	0.521	0.281	0.517	obodo
civilian	0.700	0.229	0.598	onye nkịtị
civilians	0.490	0.448	0.525	ndị nkịtị
civility	0.760	0.306	0.679	mmepeanya
civilization	0.823	0.452	0.839	mmepeanya
civilized	0.792	0.231	0.796	mepere anya
clad	0.583	0.373	0.481	uwe
claim	0.255	0.760	0.473	Mgbarakwa
claimant	0.271	0.690	0.779	onye na-ekwu
clairvoyant	0.765	0.531	0.897	clairvoyant
clam	0.442	0.302	0.272	njide
clambake	0.542	0.540	0.429	clambake
clammy	0.354	0.440	0.236	clammy
clamor	0.438	0.643	0.360	mkpu
clamp	0.541	0.388	0.454	njigide
clan	0.562	0.491	0.686	ezinụlọ
clandestine	0.425	0.677	0.469	nzuzo
clang	0.459	0.520	0.510	mkpoko
clap	0.779	0.731	0.529	kụọ aka
clapper	0.500	0.229	0.420	ịkụ aka
clapping	0.823	0.894	0.686	ịkụ aka
clarification	0.802	0.461	0.613	nkọwa
clarify	0.652	0.535	0.625	dokwuo anya
clarinet	0.592	0.453	0.411	clarinet
clarion	0.500	0.443	0.422	clariion
clarity	0.796	0.310	0.631	idoanya
clash	0.293	0.918	0.453	esemokwu
clashing	0.177	0.764	0.575	na-ese okwu
clasp	0.448	0.375	0.241	njigide
class	0.656	0.314	0.522	klas
classic	0.690	0.260	0.611	kpochapụwo
classic rock	0.729	0.571	0.588	kpochapụwo nkume
classical	0.643	0.198	0.536	oge gboo
classics	0.750	0.333	0.510	oge gboo
classification	0.583	0.423	0.613	nhazi ọkwa
classified	0.571	0.460	0.663	nkewa
classify	0.646	0.411	0.720	hazie
classmate	0.781	0.400	0.593	nwa klas
classroom	0.539	0.292	0.363	klas
classy	0.917	0.410	0.649	mara mma
clatter	0.418	0.820	0.387	nkwuwa okwu
clause	0.480	0.409	0.528	nkebiokwu
clauses	0.449	0.429	0.545	nkebiokwu
claustrophobia	0.125	0.840	0.333	claustrophobia
claustrophobic	0.092	0.755	0.400	claustrophobic
clavicle	0.398	0.400	0.452	clavicle
claw	0.260	0.600	0.598	nkàrà
claws	0.281	0.698	0.562	mkpịsị aka
clay	0.542	0.250	0.267	ụrọ
clean	0.827	0.170	0.500	dị ọcha
cleaner	0.604	0.556	0.375	dị ọcha
cleaning	0.595	0.396	0.427	nhicha
cleanliness	0.816	0.363	0.609	ịdị ọcha
cleanly	0.823	0.352	0.583	dị ọcha
cleanse	0.625	0.310	0.660	sachaa
cleanser	0.604	0.353	0.433	ihe nchacha
cleansing	0.729	0.298	0.472	na-asachapụ
cleanup	0.729	0.314	0.451	hichapụ
clear	0.857	0.327	0.573	doro anya
clearance	0.542	0.459	0.473	mkpochapụ
clearing	0.680	0.333	0.509	ikpochapụ
clearness	0.875	0.316	0.689	idoanya
cleat	0.486	0.260	0.361	cleat
cleavage	0.542	0.602	0.454	ikpochapu
cleave	0.296	0.545	0.389	mgbawa
cleaver	0.240	0.627	0.434	ihe mgbawa
clef	0.615	0.360	0.595	mgbawa
cleft	0.306	0.442	0.360	mgbawa
clemency	0.594	0.417	0.397	udo
clench	0.438	0.618	0.580	njigide
clergy	0.531	0.312	0.575	ndị ụkọchukwu
clergyman	0.594	0.330	0.556	onye ụkọchukwu
cleric	0.521	0.324	0.589	onye ụkọchukwu
clerical	0.520	0.396	0.491	onye ụkọchukwu
clerk	0.500	0.579	0.509	onye ode akwukwo
clerkship	0.582	0.380	0.596	akwukwọ
clever	0.896	0.353	0.729	amamihe
cleverness	0.878	0.509	0.921	amamihe
click	0.536	0.365	0.268	pịa
clicker	0.418	0.490	0.463	ọpịpị
client	0.583	0.450	0.618	onye ahịa
clientele	0.625	0.577	0.508	ndị ahịa
cliff	0.361	0.620	0.509	okwute
climate	0.635	0.240	0.483	ihu igwe
climatology	0.531	0.367	0.541	climatology
climax	0.735	0.853	0.667	njedebe
climb	0.615	0.660	0.604	ịrị elu
climber	0.573	0.716	0.735	onye nrịgo
clinch	0.469	0.538	0.430	clinch
cling	0.417	0.620	0.588	jidesie ike
clingy	0.224	0.460	0.370	jidesie ike
clinic	0.469	0.439	0.600	ụlọ ọgwụ
clinical	0.337	0.412	0.640	ụlọ ọgwụ
clink	0.458	0.462	0.319	clink
clip	0.438	0.310	0.381	clip
clipboard	0.594	0.255	0.423	klipbọọdụ
clipper	0.293	0.422	0.383	clipper
clipping	0.460	0.500	0.405	clipping
clique	0.427	0.430	0.391	clique
clitoris	0.625	0.844	0.464	clitoris
cloak	0.469	0.188	0.333	uwe mwụda
cloaking	0.521	0.595	0.389	mkpuchi
cloakroom	0.690	0.254	0.397	ime akwa
clobber	0.396	0.578	0.464	kloba
clock	0.677	0.173	0.407	elekere
clockwork	0.490	0.373	0.528	ọrụ elekere
clod	0.375	0.404	0.365	mkpuchi
clog	0.104	0.618	0.454	kpochie
cloister	0.438	0.413	0.475	kloster
clone	0.406	0.471	0.524	oyiri
cloning	0.216	0.696	0.679	cloning
close	0.292	0.260	0.263	nso
closed	0.240	0.164	0.318	mechiri emechi
closeness	0.796	0.237	0.450	nso
closet	0.531	0.204	0.330	kaboodu
closure	0.229	0.220	0.412	mmechi
clot	0.150	0.558	0.275	mkpụkọ
cloth	0.510	0.190	0.287	akwa
clothe	0.797	0.330	0.481	uwe
clothes	0.833	0.270	0.414	uwe
clothesline	0.582	0.324	0.366	akwa akwa
clothing	0.750	0.343	0.407	uwe
cloud	0.740	0.133	0.342	igwe ojii
clouded	0.240	0.213	0.302	ígwé ojii
cloudiness	0.469	0.250	0.343	urukpuru
clouds	0.735	0.195	0.324	igwe ojii
cloudy	0.281	0.280	0.202	urukpuru
clout	0.584	0.636	0.704	mpụta
clove	0.439	0.296	0.315	kloovu
clover	0.605	0.340	0.364	klova
cloves	0.427	0.218	0.396	cloves
clown	0.650	0.598	0.300	ome ochi
clowns	0.600	0.673	0.391	clowns
club	0.646	0.618	0.393	klọb
clubhouse	0.694	0.571	0.493	ụlọ klọb
clubs	0.723	0.530	0.591	klọb
cluck	0.390	0.490	0.353	mgbako
clue	0.653	0.380	0.412	akara
clueless	0.350	0.333	0.161	enweghị isi
clump	0.551	0.480	0.582	mkpọkọ
clumsy	0.125	0.420	0.144	ntugheri anya
clunk	0.448	0.472	0.407	ntuko
cluster	0.490	0.458	0.446	ụyọkọ
clutch	0.383	0.500	0.491	njigide
clutches	0.542	0.373	0.528	njide
clutter	0.135	0.598	0.400	ntukota
coach	0.633	0.823	0.735	onye nchịkwa
coachman	0.479	0.394	0.509	onye nkuzi
coagulation	0.381	0.558	0.436	coagulation
coal	0.360	0.241	0.340	kol
coalesce	0.479	0.434	0.529	jikọrọ ọnụ
coalition	0.490	0.730	0.673	mmekorita
coarse	0.333	0.481	0.481	keadighi rarii
coast	0.719	0.396	0.458	osimiri
coastal	0.604	0.370	0.510	osimiri
coaster	0.612	0.788	0.627	ọnụ ụzọ
coastline	0.745	0.282	0.441	oke osimiri
coat	0.677	0.256	0.464	uwe
coating	0.620	0.440	0.596	mkpuchi
coax	0.367	0.400	0.447	coax
cobalt	0.408	0.325	0.441	cobalt
cobble	0.448	0.385	0.368	ihe mkpuchi
cobbler	0.510	0.415	0.318	onye nkuchi
cobra	0.312	0.712	0.600	uba
cocaine	0.156	0.840	0.373	cocaine
cock	0.418	0.562	0.392	ọkpa
cockamamie	0.450	0.500	0.382	okamamie
cockeyed	0.459	0.460	0.423	kokedi
cockpit	0.520	0.424	0.343	kokpiiti
cockroach	0.188	0.667	0.196	Ọkụkụ
cocksucker	0.083	0.764	0.339	ọkpa ọkpa
cocktail	0.740	0.480	0.381	mmanya mmanya
cocky	0.260	0.784	0.519	oke egwu
cocoa	0.776	0.255	0.322	koko
coconut	0.622	0.265	0.227	akụ oyibo
cocoon	0.470	0.280	0.290	koko
cod	0.510	0.321	0.304	cod
code	0.583	0.308	0.491	koodu
codeine	0.375	0.582	0.436	codeine
codex	0.531	0.488	0.524	codex
codfish	0.490	0.245	0.300	azụ̀ azụ̀
codification	0.448	0.400	0.698	codification
codify	0.448	0.410	0.679	codify
coding	0.442	0.344	0.667	ntinye koodu
coed	0.469	0.531	0.481	koodu
coefficient	0.677	0.415	0.702	ọnụọgụgụ
coerce	0.260	0.741	0.517	mmanye
coercion	0.330	0.708	0.577	mmanye
coercive	0.479	0.670	0.506	mmanye
coexist	0.708	0.460	0.536	ibikọ ọnụ
coexistence	0.588	0.472	0.638	ibikọ ọnụ
coexisting	0.551	0.349	0.648	ibikọ ọnụ
coffee	0.823	0.418	0.309	kọfị
coffee table	0.720	0.339	0.295	tebụl kọfị
coffeehouse	0.694	0.357	0.307	ụlọ kọfị
coffeepot	0.760	0.333	0.312	ite kọfị
coffin	0.073	0.432	0.343	igbe ozu
cog	0.427	0.343	0.363	cog
cogent	0.765	0.479	0.836	cogent
cognac	0.615	0.510	0.430	cognac
cognate	0.615	0.350	0.398	cognate
cognition	0.635	0.344	0.706	ọgụgụ isi
cognitive	0.513	0.401	0.634	ọgụgụ isi
cohabitation	0.646	0.526	0.598	ibikọ ọnụ
coherence	0.720	0.406	0.788	nkwekọ
coherent	0.698	0.281	0.500	kwekọrịtara
cohesion	0.604	0.536	0.555	njikọta
cohesive	0.531	0.470	0.603	na-ejikọta ọnụ
cohort	0.459	0.551	0.566	otu
coil	0.448	0.343	0.298	igwe igwe
coiled	0.378	0.518	0.389	kpokọtara
coin	0.677	0.574	0.445	mkpụrụ ego
coinage	0.500	0.400	0.545	mkpụrụ ego
coincide	0.635	0.490	0.593	dakota
coincidence	0.612	0.450	0.518	ndakọrịta
coincident	0.562	0.385	0.602	dakọtara
coincidental	0.646	0.481	0.337	dakọtara
coinciding	0.673	0.373	0.623	na-adaba
coke	0.404	0.461	0.397	koke
cola	0.469	0.325	0.240	kola
cold	0.398	0.538	0.348	oyi
coldly	0.365	0.358	0.407	oyi
coldness	0.093	0.470	0.427	oyi
coldsweat	0.427	0.491	0.327	oyi oyi
coleslaw	0.707	0.312	0.336	koleslaw
colic	0.135	0.736	0.361	colic
coliseum	0.612	0.663	0.704	coliseum
collaborate	0.816	0.449	0.559	imekota
collaboration	0.885	0.628	0.741	mmekorita
collaborator	0.729	0.320	0.769	onye mmekota
collage	0.680	0.321	0.375	mkpokọta
collagen	0.541	0.245	0.450	collagen
collapse	0.208	0.689	0.342	daa
collar	0.656	0.442	0.446	olu akwa
collarbone	0.420	0.427	0.306	ọkpụkpụ olu
collate	0.438	0.448	0.580	igbakota
collateral	0.531	0.422	0.717	nkwado
collation	0.520	0.333	0.508	nchịkọta
colleague	0.740	0.413	0.600	onye otu
collect	0.635	0.481	0.491	kpokọta
collected	0.570	0.402	0.588	anakọtara
collection	0.725	0.311	0.588	nchịkọta
collective	0.583	0.458	0.698	mkpokọta
collectively	0.817	0.573	0.533	mkpokọta
collector	0.552	0.481	0.648	onye nchikota
college	0.700	0.467	0.746	kọleji
collegiate	0.592	0.461	0.678	kọleji
collide	0.271	0.892	0.557	nkukota
collie	0.562	0.308	0.328	collie
collision	0.245	0.848	0.585	nkukota
collocation	0.637	0.360	0.594	nchịkọta
colloquial	0.604	0.363	0.368	okwu ọnụ
collusion	0.365	0.510	0.400	njikọ aka
cologne	0.677	0.413	0.552	cologne
colon	0.449	0.394	0.384	eriri afọ
colonel	0.459	0.592	0.890	colonel
colonial	0.553	0.327	0.613	colonial
colonic	0.333	0.420	0.430	colonic
colonoscopy	0.208	0.524	0.466	colonoscopy
colony	0.716	0.353	0.593	ógbè
colophon	0.500	0.408	0.385	colophon
color	0.786	0.280	0.402	agba
coloration	0.541	0.520	0.443	agba agba
colored	0.806	0.317	0.275	agba
colorful	0.850	0.520	0.519	yi
coloring	0.781	0.469	0.353	agba
colorless	0.354	0.340	0.250	enweghị agba
colors	0.875	0.349	0.340	agba
colossal	0.698	0.692	0.900	nnukwu
colt	0.561	0.587	0.543	nwa ịnyịnya ibu
columbine	0.520	0.521	0.407	kọlụm
column	0.480	0.250	0.670	kọlụm
columnar	0.448	0.340	0.491	kọlụm
