English Word	Valence	Arousal	Dominance	Swedish Word
birthmark	0.630	0.461	0.500	födelsemärke
birthplace	0.781	0.290	0.491	födelseort
birthright	0.684	0.417	0.714	födslorätt
bis	0.440	0.420	0.345	bis
biscuit	0.888	0.260	0.231	kex
bishop	0.594	0.184	0.725	biskop
bison	0.573	0.433	0.557	bison
bisque	0.693	0.443	0.312	bisque
bistro	0.594	0.472	0.396	bistro
bit	0.427	0.310	0.225	bit
bitch	0.276	0.740	0.343	tik
bitchy	0.188	0.700	0.373	bitchy
bite	0.219	0.796	0.510	bita
biter	0.260	0.598	0.500	biter
bitsy	0.510	0.388	0.382	bitsy
bitter	0.218	0.627	0.411	bitter
bitterly	0.194	0.685	0.362	bittert
bitterness	0.115	0.633	0.270	bitterhet
bittersweet	0.469	0.569	0.474	bittersöt
bitty	0.469	0.271	0.257	bitty
bitumen	0.375	0.235	0.307	bitumen
biweekly	0.581	0.337	0.455	som utkommer varannan vecka
biz	0.500	0.473	0.473	biz
bizarre	0.379	0.620	0.392	bisarr
blab	0.438	0.425	0.353	skvallra
blabbermouth	0.323	0.640	0.422	blabbermouth
blackberry	0.667	0.413	0.453	björnbär
blackbird	0.520	0.340	0.405	koltrast
blackboard	0.469	0.255	0.287	svarta tavlan
blacken	0.208	0.500	0.228	svärta
blackface	0.302	0.490	0.441	svart ansikte
blackjack	0.419	0.679	0.452	blackjack
blacklist	0.133	0.750	0.396	svartlista
blackmail	0.094	0.802	0.482	utpressning
blackmailer	0.092	0.780	0.472	utpressare
blackness	0.260	0.480	0.406	svärta
blackout	0.126	0.530	0.349	mörkläggning
blacksmith	0.480	0.531	0.702	smed
bladder	0.406	0.412	0.330	blåsa
blade	0.378	0.602	0.594	blad
blame	0.115	0.640	0.309	skylla
blameless	0.759	0.196	0.343	oskyldig
bland	0.300	0.226	0.157	mild
blank	0.531	0.229	0.250	tom
blanket	0.740	0.132	0.391	filt
blare	0.439	0.561	0.519	skrälla
blase	0.420	0.310	0.412	blase
blasphemous	0.210	0.755	0.491	hädisk
blasphemy	0.146	0.794	0.406	hädelse
blast	0.167	0.929	0.777	kul
blaster	0.459	0.538	0.554	sprängare
blastoff	0.357	0.865	0.736	spränga bort
blatant	0.327	0.677	0.675	flagrant
blather	0.344	0.481	0.382	pladder
blaze	0.698	0.467	0.658	bläs
blazer	0.635	0.385	0.417	blazer
blazing	0.594	0.896	0.735	flammande
bleach	0.336	0.282	0.337	bleka
bleak	0.204	0.427	0.272	dyster
bleed	0.041	0.843	0.346	blöda
bleeder	0.260	0.852	0.356	blödare
bleeding	0.135	0.817	0.408	blödning
bleep	0.479	0.667	0.345	pip
blemish	0.219	0.558	0.272	fläck
blemished	0.173	0.469	0.370	fläckad
blend	0.469	0.452	0.463	blandning
blender	0.602	0.534	0.351	blandare
blending	0.560	0.418	0.637	blandning
bless	0.929	0.269	0.588	välsigna
blessed	0.910	0.279	0.696	välsignad
blessing	0.929	0.264	0.800	välsignelse
blessings	0.929	0.361	0.623	välsignelser
bleu	0.460	0.354	0.379	bleu
blight	0.271	0.771	0.429	fördärv
blighted	0.146	0.615	0.296	fördärvad
blimp	0.600	0.410	0.532	blimp
blinded	0.245	0.471	0.231	förblindad
blindfold	0.448	0.684	0.337	ögonbindel
blindfolded	0.208	0.564	0.209	ögonbindel
blinding	0.304	0.596	0.406	bländande
blindly	0.439	0.598	0.278	blint
blindness	0.245	0.480	0.196	blindhet
blink	0.552	0.316	0.324	blinka
blip	0.529	0.461	0.418	blip
bliss	0.816	0.500	0.782	salighet
blissful	0.885	0.639	0.676	lycksalig
blister	0.407	0.538	0.402	blåsa
blistering	0.344	0.569	0.390	svidande
blitz	0.417	0.722	0.789	blixt
blizzard	0.375	0.726	0.417	snöstorm
bloat	0.229	0.694	0.298	svälla
bloated	0.167	0.593	0.424	uppsvälld
blob	0.500	0.376	0.298	klick
block	0.286	0.350	0.402	blockera
blockade	0.380	0.519	0.510	blockad
blockage	0.250	0.608	0.444	blockering
blockbuster	0.730	0.676	0.883	storsäljande
blockhead	0.163	0.333	0.148	dumskalle
blog	0.639	0.390	0.432	blogg
bloke	0.450	0.479	0.545	snubbe
blond	0.590	0.490	0.490	blond
blonde	0.698	0.545	0.412	blond
blood	0.219	0.684	0.585	blod
bloodbath	0.060	0.971	0.475	blodbad
bloodhound	0.327	0.462	0.538	blodhund
bloodless	0.292	0.390	0.212	oblodig
bloodline	0.510	0.657	0.604	blodlinje
bloodshed	0.048	0.942	0.525	blodsutgjutelse
bloodshot	0.188	0.810	0.482	blodsprängda
bloodstream	0.552	0.530	0.528	blodomlopp
bloodthirsty	0.052	0.804	0.644	blodtörstig
bloody	0.031	0.910	0.518	blodig
bloom	0.816	0.453	0.587	blomma
bloomers	0.521	0.587	0.395	blommor
blooming	0.860	0.452	0.593	blomning
blossom	0.792	0.275	0.309	blomma
blot	0.365	0.304	0.223	utplåna
blotched	0.133	0.562	0.264	fläckig
blotter	0.360	0.298	0.280	blotter
blouse	0.580	0.190	0.302	blus
blow	0.316	0.750	0.570	blåsa
blower	0.564	0.550	0.536	blåsare
blowfish	0.344	0.420	0.389	blåsfisk
blowing	0.521	0.472	0.434	blåser
blowjob	0.460	0.784	0.387	avsugning
blown	0.333	0.548	0.412	blåst
blowout	0.398	0.792	0.616	blås ut
blowtorch	0.520	0.730	0.510	blåslampa
blubber	0.388	0.260	0.360	späck
bluddy	0.312	0.528	0.442	knäpp
blue	0.646	0.137	0.291	blå
blue spruce	0.559	0.335	0.364	blå gran
blueberry	0.656	0.185	0.365	blåbär
bluebird	0.573	0.350	0.450	blåfågel
bluegrass	0.573	0.441	0.395	blågräs
bluejay	0.635	0.520	0.310	Blåskrika
blueprint	0.490	0.173	0.425	plan
blues	0.469	0.220	0.287	blues
bluff	0.418	0.286	0.377	bluffa
bluish	0.604	0.245	0.382	blåaktig
blunder	0.135	0.635	0.145	blunder
blunt	0.551	0.680	0.925	trubbig
blur	0.268	0.471	0.205	fläck
blurred	0.320	0.367	0.231	suddig
blurry	0.059	0.385	0.218	suddigt
blurt	0.408	0.439	0.441	blurt
blush	0.698	0.610	0.445	rodna
blushing	0.510	0.789	0.288	rodnande
boa	0.255	0.569	0.542	boa
boa constrictor	0.198	0.784	0.609	boaorm
boar	0.406	0.500	0.351	vildsvin
board	0.592	0.255	0.385	styrelse
board game	0.711	0.490	0.349	Brädspel
boarder	0.604	0.440	0.475	inackordering
boarding	0.531	0.402	0.534	ombordstigning
boardroom	0.555	0.566	0.661	styrelserummet
boards	0.469	0.270	0.524	brädor
boardwalk	0.643	0.481	0.549	strandpromenaden
boast	0.520	0.586	0.569	skryta
boastful	0.490	0.806	0.695	skrytsam
boasting	0.417	0.620	0.602	skryt
boat	0.516	0.420	0.554	båt
boathouse	0.592	0.380	0.404	sjöbod
boating	0.638	0.613	0.557	båtliv
boatload	0.365	0.415	0.485	båtlast
boatman	0.592	0.573	0.562	båtkarl
bobbin	0.429	0.472	0.353	spole
bobcat	0.562	0.490	0.529	bobcat
bobsled	0.667	0.613	0.325	bob
bode	0.344	0.406	0.411	bådar
bodega	0.573	0.307	0.398	bodega
bodice	0.390	0.471	0.386	blusliv
bodily	0.594	0.481	0.557	kroppsligt
body	0.694	0.461	0.571	kropp
bodyguard	0.510	0.710	0.754	livvakt
bog	0.302	0.361	0.365	mosse
bogey	0.380	0.519	0.368	spöke
bogeyman	0.388	0.708	0.517	buse
bogus	0.219	0.353	0.144	falsk
bohemian	0.622	0.500	0.407	bohemisk
boil	0.417	0.684	0.433	koka upp
boiler	0.561	0.590	0.509	panna
boilerplate	0.398	0.519	0.387	Kokplatta
boiling	0.302	0.690	0.526	kokande
boisterous	0.385	0.806	0.565	stormig
bold	0.490	0.271	0.483	djärv
boldness	0.806	0.684	0.814	djärvhet
bollocks	0.448	0.471	0.327	bullocks
bolster	0.708	0.471	0.569	stödja
bolt	0.354	0.363	0.426	bult
bolus	0.426	0.491	0.352	bolus
bomb	0.167	0.912	0.750	bomba
bombard	0.156	0.961	0.777	bombardera
bombardier	0.240	0.863	0.787	bombardier
bombardment	0.146	0.959	0.742	bombardemang
bombed	0.051	0.851	0.627	bombade
bomber	0.125	0.837	0.810	bombplan
bombers	0.173	0.920	0.787	bombplan
bombing	0.167	0.963	0.732	bombning
bombshell	0.327	0.868	0.693	bomb
bonanza	0.875	0.410	0.683	bonanza
bonbon	0.865	0.551	0.446	bonbon
bond	0.667	0.519	0.630	obligation
bondage	0.146	0.705	0.355	träldom
bonding	0.594	0.442	0.509	bindning
bonds	0.740	0.472	0.583	obligationer
bondsman	0.469	0.497	0.675	träl
bone	0.337	0.370	0.413	ben
bonehead	0.337	0.521	0.518	tjockskalle
boner	0.344	0.612	0.393	tabbe
bones	0.281	0.343	0.358	ben
bonfire	0.480	0.719	0.473	bål
bong	0.333	0.566	0.375	bong
bonkers	0.306	0.847	0.278	töntar
bonne	0.448	0.395	0.362	bonne
bonnet	0.406	0.509	0.473	hätta
bonny	0.561	0.404	0.444	bonny
bonsai	0.714	0.235	0.375	bonsai
bonus	0.857	0.620	0.682	bonus
bony	0.445	0.462	0.330	benig
boo	0.153	0.676	0.309	bua
boob	0.694	0.600	0.392	bröst
booby	0.396	0.423	0.185	drummel
booger	0.399	0.537	0.427	snorkråka
boogeyman	0.292	0.559	0.567	boogeyman
boogie	0.590	0.543	0.400	boogie
book	0.802	0.210	0.606	bok
bookcase	0.553	0.221	0.490	bokhylla
bookie	0.344	0.633	0.618	vadhållare
booking	0.708	0.503	0.583	bokning
bookish	0.604	0.236	0.430	bokälskande
bookkeeper	0.480	0.363	0.468	bokhållare
bookkeeping	0.520	0.214	0.592	bokföring
booklet	0.510	0.270	0.351	häfte
bookmaker	0.583	0.804	0.633	bookmaker
bookmark	0.543	0.441	0.415	bokmärke
books	0.729	0.115	0.430	böcker
bookseller	0.583	0.317	0.456	bokhandlare
bookshop	0.688	0.291	0.389	bokhandel
bookstore	0.771	0.180	0.503	bokhandel
bookworm	0.563	0.337	0.316	bokmal
boom	0.604	0.655	0.731	bom
boomer	0.480	0.539	0.441	boomer
boomerang	0.531	0.625	0.500	bumerang
booming	0.688	0.554	0.661	blomstrar
boon	0.878	0.294	0.642	välsignelse
boooo	0.271	0.549	0.255	boooo
boost	0.865	0.730	0.750	lyft
booster	0.755	0.600	0.800	booster
boot	0.438	0.650	0.625	känga
booth	0.531	0.400	0.310	bås
bootleg	0.357	0.519	0.466	bootleg
bootlegger	0.354	0.649	0.541	bootlegger
boots	0.602	0.255	0.350	stövlar
booty	0.663	0.587	0.784	byte
booze	0.265	0.745	0.431	sprit
bop	0.429	0.490	0.426	bop
bopper	0.398	0.530	0.385	bopper
border	0.406	0.382	0.424	gräns
bordering	0.643	0.382	0.438	gränsar
borderline	0.449	0.520	0.490	borderline
bore	0.417	0.440	0.455	borra
boreal	0.582	0.348	0.400	boreala
bored	0.153	0.167	0.196	uttråkad
boredom	0.167	0.139	0.255	leda
borer	0.302	0.549	0.578	borr
boring	0.194	0.217	0.125	tråkig
born	0.865	0.509	0.591	född
boron	0.441	0.370	0.375	bor
borough	0.429	0.343	0.380	stad
borrow	0.398	0.573	0.282	låna
borrower	0.439	0.423	0.763	låntagare
bosom	0.612	0.588	0.404	bröst
boss	0.310	0.627	0.954	chef
bossy	0.240	0.824	0.750	bossig
boston	0.643	0.380	0.580	boston
botanical	0.660	0.259	0.491	botanisk
botanist	0.651	0.240	0.456	botaniker
botany	0.604	0.201	0.500	botanik
bother	0.208	0.780	0.370	besvära sig
bothering	0.208	0.764	0.449	stör
bottle	0.469	0.236	0.336	flaska
bottleneck	0.284	0.471	0.287	flaskhals
bottling	0.365	0.333	0.370	tappning
bottom	0.417	0.370	0.291	botten
bottomless	0.310	0.470	0.368	bottenlös
botulism	0.292	0.575	0.386	botulism
boulder	0.461	0.309	0.531	flyttblock
bounce	0.375	0.633	0.386	studsa
bouncer	0.490	0.653	0.655	baddare
bouncy	0.562	0.565	0.429	studsig
bound	0.417	0.667	0.310	bunden
boundary	0.561	0.427	0.518	gräns
boundless	0.684	0.642	0.652	gränslös
bounds	0.378	0.426	0.604	gräns
bountiful	0.854	0.596	0.759	riklig
bounty	0.760	0.755	0.833	frikostighet
bouquet	0.724	0.352	0.306	bukett
bourbon	0.602	0.490	0.517	bourbon
bourgeois	0.439	0.593	0.682	borgerlig
bourgeoisie	0.357	0.417	0.767	bourgeoisin
bourse	0.530	0.230	0.336	börsen
bout	0.208	0.808	0.679	anfall
boutique	0.745	0.490	0.441	boutique
bouttime	0.588	0.373	0.410	på tiden
bovine	0.449	0.255	0.353	nötkreatur
bow	0.530	0.306	0.408	rosett
bowed	0.410	0.418	0.368	böjd
bowel	0.306	0.417	0.391	skål
bowels	0.194	0.448	0.362	tarmar
bowl	0.625	0.377	0.358	skål
bowler	0.552	0.633	0.481	kastare
bowling	0.656	0.431	0.309	bowling
bowls	0.551	0.280	0.277	skålar
box	0.500	0.179	0.312	låda
boxcar	0.420	0.469	0.421	lådbil
boxer	0.490	0.810	0.802	boxare
boxers	0.375	0.880	0.654	boxare
boxing	0.427	0.854	0.645	boxning
boycott	0.112	0.690	0.505	bojkotta
boyfriend	0.781	0.604	0.547	pojkvän
boyhood	0.729	0.745	0.500	barndom
boyish	0.698	0.562	0.462	pojkaktigt
boysenberry	0.646	0.409	0.475	boysenberry
bozo	0.388	0.364	0.298	bozo
bra	0.672	0.529	0.509	behå
brace	0.610	0.385	0.364	spänna
bracelet	0.776	0.340	0.322	armband
braces	0.500	0.337	0.568	tandställning
brachial	0.388	0.363	0.464	brachial
bracket	0.490	0.350	0.682	konsol
brackets	0.573	0.281	0.435	parenteser
brackish	0.469	0.368	0.421	bräckt
brad	0.490	0.385	0.402	brad
brag	0.347	0.545	0.578	skryta
braid	0.427	0.222	0.216	fläta
brain	0.667	0.441	0.823	hjärna
brainless	0.138	0.310	0.224	korkad
brains	0.663	0.557	0.722	hjärnor
brainstorm	0.794	0.784	0.636	spåna
brainwash	0.198	0.647	0.481	hjärntvätt
brainy	0.708	0.520	0.648	begåvad
brake	0.312	0.481	0.310	broms
bran	0.688	0.433	0.483	kli
branch	0.538	0.206	0.250	gren
branching	0.520	0.422	0.472	förgrening
brand	0.562	0.284	0.547	varumärke
brandy	0.600	0.590	0.487	brandy
brash	0.360	0.814	0.552	fräck
brass	0.500	0.320	0.490	mässing
brass knuckle	0.406	0.449	0.518	mässingsknoge
brassiere	0.510	0.469	0.336	bysthållare
brat	0.312	0.440	0.231	brat
bratwurst	0.510	0.490	0.464	bratwurst
bravado	0.479	0.510	0.527	övermod
brave	0.837	0.750	0.917	modig
bravery	0.898	0.745	0.868	mod
brawl	0.104	0.938	0.603	bråk
brawn	0.438	0.402	0.544	sylta
brazen	0.292	0.640	0.518	fräck
breach	0.177	0.745	0.423	brott
bread	0.660	0.314	0.342	bröd
breadth	0.667	0.490	0.644	bredd
break	0.610	0.265	0.370	ha sönder
breakable	0.194	0.667	0.408	bräcklig
breakaway	0.479	0.802	0.519	bryta sig loss
breakdown	0.365	0.423	0.361	bryta ner
breaker	0.323	0.527	0.520	brytare
breakers	0.469	0.588	0.439	brytare
breakfast	0.885	0.330	0.429	frukost
breaking and entering	0.418	0.729	0.500	inbrott
breakingnews	0.500	0.552	0.607	breakingnews
breakneck	0.254	0.833	0.604	halsbrytande
breakthrough	0.680	0.525	0.718	genombrott
breakup	0.250	0.720	0.357	upplösning
breast	0.753	0.429	0.500	bröst
breath	0.684	0.392	0.451	andetag
breathe	0.833	0.373	0.518	andas
breather	0.624	0.471	0.388	paus
breathless	0.323	0.490	0.222	andfådd
breathtaking	0.936	0.792	0.921	hisnande
breech	0.500	0.637	0.422	säte
breeches	0.365	0.457	0.333	knäbyxor
breed	0.490	0.441	0.578	ras
breeder	0.645	0.481	0.605	uppfödare
breeding	0.667	0.481	0.610	föder upp
breeze	0.837	0.284	0.370	bris
breezy	0.531	0.472	0.482	blåsig
brethren	0.917	0.380	0.641	bröder
breve	0.535	0.365	0.191	breve
brevity	0.459	0.434	0.375	korthet
brew	0.740	0.538	0.758	brygga
brewery	0.710	0.622	0.510	bryggeri
brewing	0.740	0.593	0.609	bryggning
briar	0.493	0.375	0.407	briar
bribe	0.112	0.690	0.472	muta
bribery	0.135	0.775	0.585	bestickning
brick	0.217	0.418	0.368	tegel
bridal	0.823	0.655	0.596	brud-
bride	0.840	0.708	0.579	brud
bridegroom	0.809	0.736	0.527	brudgum
bridesmaid	0.748	0.519	0.618	brudtärna
bridge	0.625	0.324	0.519	bro
bridle	0.427	0.367	0.386	tygla
brief	0.469	0.300	0.279	kort
briefcase	0.542	0.206	0.442	portfölj
briefing	0.612	0.333	0.702	genomgång
briefly	0.686	0.314	0.330	i korthet
brig	0.573	0.539	0.500	brigg
brigade	0.604	0.710	0.828	brigad
bright	0.890	0.527	0.812	ljus
brighten	0.760	0.547	0.649	ljusna
brightens	0.771	0.611	0.613	ljusnar
brighter	0.918	0.698	0.833	ljusare
brightness	0.938	0.623	0.660	ljusstyrka
brilliance	0.990	0.673	0.830	briljans
brilliant	0.939	0.575	0.923	lysande
brim	0.469	0.333	0.330	brätte
brimming	0.656	0.690	0.758	fylld
brimstone	0.357	0.520	0.440	svavel
brine	0.333	0.481	0.361	saltvatten
bring	0.635	0.460	0.462	föra
brink	0.375	0.413	0.356	rand
brisk	0.719	0.745	0.742	rask
brisket	0.552	0.378	0.222	bringa
bristle	0.375	0.375	0.326	borst
brittle	0.276	0.490	0.272	spröd
bro	0.794	0.349	0.684	bror
broach	0.438	0.439	0.675	föra på tal
broad	0.762	0.365	0.637	bred
broadcast	0.615	0.587	0.355	utsända
broadcasting	0.542	0.700	0.706	sändning
broaden	0.678	0.602	0.610	bredda
broadside	0.459	0.316	0.462	bredsida
broadsword	0.469	0.573	0.615	bredsvärd
brocade	0.500	0.327	0.464	brokad
broccoli	0.469	0.200	0.283	broccoli
brochure	0.552	0.226	0.391	broschyr
broil	0.510	0.404	0.330	halstra
broke	0.245	0.590	0.370	pank
broken	0.062	0.500	0.293	bruten
brokenheart	0.115	0.577	0.343	brustet hjärta
brokenhearted	0.130	0.598	0.227	hjärtekrossad
broker	0.582	0.462	0.600	mäklare
brokerage	0.479	0.500	0.500	mäkleri
bromide	0.347	0.425	0.411	bromid
bronco	0.500	0.510	0.473	bronco
bronze	0.622	0.333	0.526	brons
brooch	0.531	0.260	0.380	brosch
brood	0.633	0.519	0.434	grubbla
brooding	0.327	0.367	0.333	grubblande
brook	0.594	0.347	0.412	bäck
broom	0.385	0.154	0.302	kvast
broomstick	0.410	0.265	0.227	kvastskaft
broth	0.500	0.245	0.168	buljong
brothel	0.255	0.886	0.418	bordell
brother	0.823	0.361	0.546	bror
brotherhood	0.990	0.471	0.760	broderskap
brotherly	0.865	0.306	0.596	broderlig
brow	0.562	0.311	0.481	panna
brown	0.396	0.202	0.293	brun
brownstone	0.559	0.423	0.439	brunsten
browse	0.635	0.750	0.592	bläddra
brrr	0.373	0.540	0.282	brrr
bruise	0.133	0.640	0.474	blåmärke
bruising	0.084	0.520	0.422	blåmärken
brunch	0.406	0.363	0.343	brunch
brunette	0.802	0.528	0.529	brunett
brunt	0.204	0.750	0.349	brunt
brush	0.490	0.265	0.186	borsta
brutal	0.122	0.882	0.643	Brutal
brutality	0.122	0.832	0.571	brutalitet
brute	0.115	0.547	0.379	djurisk
brutish	0.270	0.837	0.588	brutalt
bubble	0.774	0.213	0.364	bubbla
bubbling	0.500	0.438	0.384	bubblande
bubbly	0.698	0.608	0.462	bubblig
bubonic	0.280	0.530	0.394	böld
buck	0.677	0.577	0.720	bock
buckaroo	0.448	0.469	0.479	buckaroo
bucket	0.408	0.167	0.336	hink
buckle	0.416	0.373	0.361	spänne
buckled	0.427	0.358	0.439	spännade
bucko	0.439	0.455	0.465	bucko
buckshot	0.255	0.740	0.322	buckshot
buckwheat	0.490	0.471	0.434	bovete
bud	0.460	0.402	0.333	knopp
buddha	0.690	0.198	0.604	buddha
buddhism	0.510	0.115	0.673	buddhism
budding	0.490	0.500	0.355	gryende
buddy	0.884	0.585	0.655	kompis
budge	0.719	0.755	0.543	röra sig ur fläcken
budget	0.643	0.396	0.731	budget
buff	0.561	0.425	0.361	vältränad
buffalo	0.469	0.528	0.527	buffel
buffer	0.520	0.474	0.350	buffert
buffering	0.479	0.468	0.381	buffring
buffet	0.656	0.546	0.519	buffé
buffoon	0.344	0.651	0.290	pajas
bug	0.286	0.500	0.246	insekt
bugaboo	0.439	0.491	0.441	bugaboo
bugged	0.561	0.439	0.500	buggade
bugger	0.312	0.627	0.474	sodomit
buggy	0.500	0.509	0.327	buggy
bugle	0.479	0.588	0.391	bugla
bugler	0.542	0.540	0.393	trumpetare
build	0.771	0.546	0.806	bygga
builder	0.660	0.642	0.701	byggare
building	0.705	0.288	0.673	byggnad
buildings	0.582	0.380	0.552	byggnader
buildup	0.490	0.509	0.623	Bygg upp
bulb	0.562	0.208	0.300	Glödlampa
bulbous	0.390	0.442	0.430	lökliknande
bulge	0.260	0.487	0.400	utbuktning
bulimic	0.092	0.570	0.373	bulimisk
bulk	0.469	0.413	0.509	bulk
bulkhead	0.312	0.425	0.402	skott
bulky	0.427	0.591	0.750	stor och tung
bull	0.521	0.640	0.644	tjur
bulldog	0.494	0.650	0.530	bulldogg
bulldozer	0.459	0.549	0.643	bulldozer
bullet	0.408	0.794	0.634	kula
bulletin	0.573	0.294	0.361	bulletin
bulletproof	0.750	0.721	0.779	skottsäker
bullfighter	0.448	0.794	0.664	tjurfäktare
bullfrog	0.344	0.481	0.422	bullgroda
bullheaded	0.229	0.740	0.516	tjurskallig
bullhorn	0.510	0.653	0.736	bullhorn
bullion	0.693	0.558	0.729	ädelmetaller
bullock	0.281	0.402	0.375	oxe
bullpen	0.480	0.549	0.500	bullpen
bullshit	0.042	0.676	0.183	skitsnack
bully	0.257	0.755	0.564	översittare
bulwark	0.551	0.552	0.675	bålverk
bum	0.281	0.451	0.155	luffare
bumblebee	0.469	0.493	0.321	humla
bummed	0.296	0.430	0.227	förbannad
bummer	0.163	0.500	0.267	besvikelse
bump	0.286	0.458	0.368	stöta
bumper	0.385	0.573	0.518	stötfångare
bumpy	0.306	0.683	0.419	ojämn
bun	0.424	0.306	0.268	bulle
bunch	0.552	0.358	0.473	knippa
bundle	0.510	0.343	0.434	bunt
bungalow	0.562	0.352	0.406	bungalow
bungee	0.637	0.545	0.327	bungee
bunghole	0.286	0.426	0.396	bunghole
bunion	0.276	0.340	0.290	bunion
bunk	0.438	0.332	0.339	våningssäng
bunker	0.375	0.673	0.773	bunkra
bunkhouse	0.470	0.414	0.407	våningshus
bunny	0.740	0.325	0.194	kanin
bunt	0.417	0.422	0.349	bunt
buoy	0.562	0.280	0.284	boj
buoyancy	0.625	0.373	0.538	bärighet
buoyant	0.625	0.441	0.497	flytande
bur	0.385	0.353	0.314	bur
burden	0.367	0.583	0.697	börda
burdened	0.429	0.519	0.565	belastad
burdensome	0.229	0.696	0.419	betungande
bureau	0.562	0.373	0.618	byrå
bureaucracy	0.380	0.578	0.740	byråkrati
bureaucrat	0.208	0.519	0.598	byråkrat
bureaucratic	0.280	0.630	0.573	byråkratisk
burger	0.688	0.568	0.398	hamburgare
burglar	0.050	0.769	0.404	rånare
burglary	0.146	0.918	0.543	inbrott
burial	0.203	0.577	0.333	begravning
buried	0.133	0.530	0.370	begravd
burke	0.466	0.441	0.451	burke
burlap	0.429	0.462	0.411	säckväv
burlesque	0.327	0.615	0.343	burlesk
burly	0.562	0.650	0.750	bastant
burn	0.219	0.783	0.509	bränna
burned	0.163	0.603	0.347	bränt
burner	0.296	0.816	0.446	brännare
burning	0.229	0.760	0.412	brinnande
burnished	0.520	0.580	0.464	polerad
burnout	0.219	0.445	0.240	utbrändhet
burnt	0.082	0.713	0.356	bränt
burp	0.219	0.594	0.432	rapa
burr	0.390	0.426	0.308	skorra
burrito	0.688	0.294	0.166	burrito
burro	0.400	0.356	0.318	burro
burrow	0.438	0.280	0.355	håla
bursary	0.729	0.462	0.571	stipendium
burst	0.156	0.894	0.845	brista
bury	0.077	0.571	0.346	begrava
bus	0.407	0.411	0.400	buss
busboy	0.510	0.453	0.441	busboy
bush	0.413	0.220	0.315	buske
bushel	0.417	0.387	0.368	bushel
bushy	0.562	0.321	0.427	buskig
business	0.688	0.569	0.755	företag
business man	0.530	0.598	0.933	affärsman
businessman	0.653	0.510	0.802	affärsman
businesswoman	0.719	0.500	0.764	affärskvinna
busload	0.561	0.481	0.492	busslast
buss	0.469	0.500	0.391	buss
bust	0.520	0.500	0.420	sätta dit
busted	0.204	0.676	0.345	avslöjad
buster	0.469	0.491	0.483	buster
bustle	0.347	0.814	0.445	brådska
bustling	0.490	0.850	0.528	livligt
busy	0.402	0.500	0.474	upptagen
busybody	0.255	0.634	0.472	beskäftig person
butane	0.442	0.483	0.380	butan
butcher	0.500	0.575	0.608	slaktare
butler	0.469	0.225	0.438	butler
butt	0.347	0.725	0.336	stånga
butter	0.650	0.292	0.202	Smör
buttercup	0.562	0.482	0.422	smörblomma
butterfly	0.892	0.327	0.314	fjäril
buttermilk	0.633	0.311	0.304	kärnmjölk
butterscotch	0.708	0.510	0.356	knäck
buttery	0.625	0.318	0.303	smörig
buttock	0.429	0.600	0.288	skinka
buttocks	0.458	0.677	0.365	rumpa
button	0.520	0.220	0.343	knapp
buttress	0.438	0.684	0.721	strävpelare
buxom	0.562	0.719	0.547	buxom
buy	0.771	0.769	0.612	köpa
buyer	0.613	0.519	0.649	köpare
buying	0.665	0.784	0.589	uppköp
buzz	0.333	0.686	0.375	surr
buzzard	0.350	0.500	0.225	vråk
buzzed	0.583	0.549	0.448	surrade
buzzer	0.549	0.716	0.480	summer
buzzing	0.430	0.588	0.370	surrande
bye	0.375	0.398	0.321	Hejdå
bygone	0.229	0.310	0.315	förgången
bylaw	0.469	0.373	0.725	förordning
byline	0.469	0.450	0.435	byline
bypass	0.429	0.418	0.353	gå förbi
bystander	0.480	0.462	0.491	åskådare
byte	0.490	0.380	0.407	byte
byzantine	0.546	0.443	0.492	bysantinsk
cab	0.438	0.490	0.421	cab
cabal	0.500	0.406	0.573	kabal
cabana	0.698	0.296	0.407	cabana
cabaret	0.677	0.656	0.482	kabare
cabbage	0.398	0.225	0.264	kål
cabbie	0.521	0.417	0.429	cabbie
cabernet	0.543	0.420	0.480	cabernet
cabin	0.643	0.292	0.430	stuga
cabinet	0.552	0.306	0.465	skåp
cable	0.583	0.245	0.434	kabel-
caboodle	0.529	0.521	0.325	caboodle
caboose	0.440	0.453	0.438	kabyss
cabriolet	0.667	0.525	0.472	cabriolet
cache	0.552	0.348	0.389	cache
cacophony	0.408	0.562	0.440	kakofoni
cactus	0.439	0.412	0.284	kaktus
cad	0.447	0.406	0.404	cad
cadaver	0.030	0.690	0.260	kadaver
caddie	0.521	0.435	0.259	caddie
caddy	0.580	0.470	0.380	caddie
cadence	0.427	0.473	0.355	kadens
cadet	0.504	0.393	0.664	kadett
cafe	0.781	0.392	0.358	Kafé
cafeteria	0.757	0.400	0.382	cafeteria
caffeine	0.562	0.759	0.500	koffein
cage	0.316	0.333	0.352	bur
cagey	0.542	0.363	0.582	slug
cahoots	0.312	0.696	0.474	maskopi
cairn	0.260	0.435	0.254	röse
cake	0.810	0.375	0.287	kaka
cakewalk	0.719	0.510	0.447	lätt gjort
calamari	0.521	0.312	0.406	bläckfisk
calamitous	0.219	0.685	0.500	katastrofal
calamity	0.122	0.795	0.343	katastrof
calcareous	0.490	0.368	0.462	kalkhaltig
calcium	0.600	0.346	0.479	kalcium
calculate	0.490	0.452	0.440	Beräkna
calculated	0.633	0.425	0.683	beräknad
