English Word	Valence	Arousal	Dominance	Serbian Word
charitable	0.865	0.380	0.593	добротворна
charity	0.920	0.284	0.551	доброчинство
charlatan	0.200	0.640	0.352	шарлатан
charm	0.833	0.363	0.649	шарм
charmed	0.938	0.570	0.769	очарани
charmer	0.882	0.683	0.782	шармер
charming	0.917	0.660	0.764	шармантан
charred	0.208	0.676	0.373	угљенисана
chart	0.469	0.317	0.330	графикон
charter	0.677	0.382	0.518	повеља
chartered	0.569	0.460	0.490	изнајмљен
chase	0.396	0.878	0.623	потера
chased	0.188	0.830	0.287	гоњен
chaser	0.375	0.830	0.645	цхасер
chasm	0.265	0.579	0.500	понор
chassis	0.406	0.342	0.444	шасије
chaste	0.408	0.248	0.453	чедан
chastened	0.156	0.580	0.345	каран
chastisement	0.156	0.852	0.462	кажњавање
chastity	0.469	0.392	0.509	чедност
chat	0.729	0.400	0.346	Ћаскање
chateau	0.615	0.464	0.702	замак
chatter	0.560	0.450	0.347	брбљање
chatterbox	0.459	0.548	0.482	брбљивац
chattering	0.460	0.663	0.304	брбљање
chatty	0.594	0.548	0.345	брбљив
chauffeur	0.500	0.353	0.471	шофер
chauvinist	0.310	0.539	0.527	шовинистички
cheap	0.612	0.471	0.272	јефтино
cheapened	0.471	0.611	0.282	појефтинио
cheapskate	0.148	0.482	0.327	цхеапскате
cheat	0.125	0.776	0.400	варати
cheater	0.104	0.920	0.333	варалица
check	0.523	0.552	0.602	проверавати
checkbook	0.552	0.284	0.364	чековна књижица
checker	0.330	0.417	0.553	цекер
checkered	0.459	0.316	0.336	карирано
checkers	0.676	0.451	0.437	даме
checklist	0.561	0.521	0.552	Контролна листа
checkmate	0.667	0.708	0.750	мат
checkout	0.597	0.510	0.670	проверити
checkpoint	0.571	0.323	0.812	контролни пункт
checkup	0.500	0.435	0.491	ићи на преглед
cheek	0.670	0.314	0.421	образ
cheeks	0.708	0.324	0.282	образи
cheeky	0.434	0.679	0.410	дрзак
cheep	0.367	0.380	0.373	цхееп
cheer	0.938	0.784	0.845	навијати
cheered	0.875	0.648	0.790	навијао
cheerful	0.990	0.720	0.696	весела
cheerfulness	0.969	0.802	0.675	ведрина
cheering	0.815	0.824	0.642	навијајући
cheerleader	0.923	0.746	0.657	навијачица
cheerleading	0.698	0.769	0.404	цхеерлеадинг
cheerless	0.204	0.373	0.167	невесело
cheers	0.948	0.770	0.702	Живели
cheery	0.949	0.657	0.486	весело
cheese	0.740	0.280	0.281	сира
cheeseburger	0.802	0.529	0.336	цхеесебургер
cheesecake	0.860	0.276	0.238	чизкејк
cheesy	0.470	0.471	0.179	цхееси
cheetah	0.469	0.770	0.667	гепард
chef	0.854	0.411	0.570	Главни кувар
chemical	0.337	0.560	0.508	хемијски
chemise	0.530	0.275	0.364	цхемисе
chemist	0.408	0.575	0.610	хемичар
chemistry	0.625	0.520	0.694	хемија
chemo	0.214	0.686	0.444	хемо
chemotherapy	0.163	0.689	0.517	хемотерапије
cheque	0.698	0.529	0.660	проверавати
cherish	0.896	0.491	0.652	неговати
cherishing	0.836	0.380	0.625	неговање
cherry	0.688	0.186	0.250	трешња
cherub	0.663	0.340	0.455	херувим
chess	0.656	0.363	0.518	шах
chest	0.520	0.429	0.481	груди
chestnut	0.714	0.210	0.294	кестен
chevron	0.469	0.469	0.598	цхеврон
chew	0.520	0.490	0.404	жвакати
chewy	0.625	0.418	0.390	цхеви
chic	0.870	0.624	0.380	шик
chicane	0.357	0.460	0.481	шикана
chick	0.771	0.602	0.387	пиле
chicken	0.594	0.306	0.394	пилетина
chicken pox	0.194	0.510	0.415	мале богиње
chickenpox	0.173	0.562	0.357	мале богиње
chief	0.520	0.544	0.869	Шеф
chiefly	0.600	0.587	0.764	углавном
chieftain	0.343	0.529	0.860	поглавица
chiffon	0.406	0.230	0.250	шифон
child	0.912	0.460	0.413	дете
childbirth	0.604	0.861	0.673	рођење детета
childhood	0.865	0.413	0.307	детињство
childish	0.573	0.442	0.230	детињасти
childless	0.310	0.400	0.396	без деце
childlike	0.656	0.372	0.293	дечји
childloss	0.240	0.571	0.421	губитак деце
children	0.857	0.538	0.435	деца
chili	0.592	0.566	0.433	чили
chill	0.837	0.206	0.482	цхилл
chilled	0.521	0.340	0.482	расхлађени
chilling	0.208	0.850	0.358	хлађење
chilly	0.329	0.459	0.408	цхилли
chime	0.573	0.541	0.464	цхиме
chimera	0.292	0.582	0.372	химера
chimes	0.625	0.490	0.402	звона
chimney	0.583	0.286	0.225	димњак
chimp	0.394	0.588	0.345	шимпанза
chimpanzee	0.500	0.633	0.387	шимпанза
chin	0.571	0.310	0.269	брада
china	0.561	0.443	0.556	цхина
chinchilla	0.480	0.450	0.286	чинчила
chine	0.561	0.360	0.352	цхине
chinook	0.408	0.497	0.491	цхиноок
chip	0.479	0.382	0.452	чип
chipmunk	0.573	0.562	0.409	веверица
chipper	0.418	0.588	0.500	цхиппер
chipping	0.354	0.452	0.353	цхиппинг
chiropractor	0.420	0.549	0.651	киропрактичар
chirp	0.469	0.602	0.365	цвркутати
chirping	0.500	0.463	0.360	цвркутање
chisel	0.469	0.404	0.452	длијето
chiseler	0.429	0.606	0.464	длетач
chit	0.490	0.352	0.321	цхит
chitchat	0.673	0.455	0.403	Ћаскање
chivalry	0.857	0.380	0.848	витештво
chloride	0.265	0.387	0.474	хлорид
chlorine	0.306	0.327	0.332	хлор
chloroform	0.281	0.370	0.393	хлороформ
chocolate	0.885	0.480	0.418	чоколада
choice	0.745	0.520	0.664	избор
choir	0.704	0.298	0.473	хор
choke	0.167	0.788	0.676	гушити
cholera	0.020	0.867	0.507	колера
cholesterol	0.198	0.583	0.398	холестерола
choose	0.615	0.542	0.648	изабрати
choosing	0.719	0.529	0.689	избор
choosy	0.280	0.760	0.712	избирљив
chop	0.250	0.655	0.467	сецкати
chopper	0.594	0.560	0.509	хеликоптер
choppers	0.469	0.745	0.691	хеликоптери
chopping	0.560	0.625	0.362	сецкање
chops	0.612	0.420	0.269	котлети
choral	0.852	0.290	0.421	хорски
chord	0.729	0.394	0.539	акорд
chords	0.639	0.406	0.388	акорди
chore	0.406	0.462	0.500	цхоре
choreographer	0.646	0.639	0.625	кореограф
choreography	0.812	0.750	0.547	кореографија
chorus	0.620	0.417	0.500	припев
chosen	0.865	0.449	0.833	изабрани
chow	0.573	0.490	0.390	цхов
chowder	0.510	0.324	0.241	чорба
christ	0.781	0.510	0.750	Христос
christen	0.673	0.356	0.588	крстити
christening	0.725	0.382	0.650	крштење
christmas	0.959	0.520	0.741	Божић
christmasbreak	0.842	0.640	0.548	Божићни распуст
christmaseve	0.812	0.491	0.463	Бадње вече
christmasspirit	0.867	0.602	0.575	Божићно расположење
christmassy	0.875	0.698	0.602	Божић
christmastime	0.837	0.588	0.515	Божични празници
chromatic	0.407	0.413	0.435	хроматске
chromatography	0.480	0.537	0.535	хроматографија
chrome	0.582	0.373	0.421	хром
chromium	0.458	0.404	0.447	хром
chromosome	0.500	0.296	0.548	хромозома
chronic	0.255	0.615	0.464	хронична
chronicle	0.427	0.571	0.586	хроника
chronograph	0.500	0.392	0.529	хронограф
chronological	0.594	0.445	0.600	хронолошки
chubby	0.531	0.427	0.304	буцмаст
chuck	0.542	0.509	0.413	цхуцк
chuckle	0.844	0.736	0.481	смејати се
chug	0.401	0.413	0.358	цхуг
chum	0.911	0.347	0.518	цхум
chummy	0.760	0.420	0.610	цхумми
chump	0.375	0.451	0.304	цхумп
chunk	0.365	0.287	0.214	цхунк
chunky	0.520	0.517	0.509	цхунки
church	0.708	0.198	0.610	црква
churchyard	0.296	0.444	0.347	црквено двориште
churn	0.316	0.491	0.407	цхурн
chute	0.580	0.745	0.455	цхуте
chutney	0.459	0.370	0.400	цхутнеи
ciao	0.542	0.426	0.409	Ћао
cider	0.530	0.346	0.398	јабуковача
cigar	0.306	0.463	0.346	цигару
cigarette	0.219	0.528	0.304	цигарета
cilantro	0.469	0.260	0.208	першун
cinch	0.450	0.490	0.387	цинцх
cinder	0.350	0.260	0.157	циндер
cinema	0.698	0.538	0.500	биоскоп
cinematic	0.663	0.490	0.600	биоскопски
cinematographer	0.792	0.455	0.711	кинематограф
cinematography	0.781	0.571	0.625	кинематографија
cinnamon	0.600	0.250	0.292	цимет
cipher	0.490	0.414	0.500	шифра
circle	0.480	0.290	0.343	круг
circling	0.510	0.654	0.336	кружећи
circuit	0.586	0.461	0.707	струјно коло
circuitry	0.596	0.615	0.536	кола
circular	0.562	0.342	0.417	кружни
circulate	0.612	0.388	0.320	циркулисати
circulation	0.735	0.520	0.657	циркулацију
circulatory	0.592	0.575	0.545	циркулаторни
circumcision	0.327	0.657	0.528	обрезивање
circumference	0.458	0.255	0.488	обим
circumferential	0.551	0.422	0.509	ободним
circumscribed	0.365	0.539	0.569	ограничено
circumstance	0.520	0.565	0.596	околност
circumstances	0.562	0.527	0.464	околности
circumstantial	0.500	0.538	0.519	стицај околности
circumvent	0.316	0.642	0.383	заобићи
circumvention	0.531	0.571	0.473	заобилажење
circus	0.724	0.637	0.432	Циркус
cirque	0.604	0.647	0.467	цирк
cirrhosis	0.079	0.602	0.370	цироза
cirrus	0.470	0.451	0.348	цирус
cistern	0.541	0.413	0.432	цистерна
citadel	0.585	0.464	0.602	цитадела
citation	0.570	0.549	0.508	цитат
cite	0.625	0.454	0.532	цитирати
citizen	0.631	0.250	0.586	грађанин
citizenship	0.786	0.404	0.723	држављанство
citrine	0.375	0.400	0.420	цитрин
citrus	0.469	0.368	0.375	цитруса
city	0.847	0.531	0.508	град
citywide	0.592	0.509	0.707	широм града
civic	0.653	0.240	0.573	грађански
civics	0.700	0.279	0.720	цивицс
civil	0.521	0.281	0.517	грађански
civilian	0.700	0.229	0.598	цивилна
civilians	0.490	0.448	0.525	цивили
civility	0.760	0.306	0.679	уљуђеност
civilization	0.823	0.452	0.839	цивилизација
civilized	0.792	0.231	0.796	цивилизовано
clad	0.583	0.373	0.481	одевен
claim	0.255	0.760	0.473	потраживање
claimant	0.271	0.690	0.779	подносилац захтева
clairvoyant	0.765	0.531	0.897	видовити
clam	0.442	0.302	0.272	шкољка
clambake	0.542	0.540	0.429	цламбаке
clammy	0.354	0.440	0.236	лепљив
clamor	0.438	0.643	0.360	галама
clamp	0.541	0.388	0.454	стезаљка
clan	0.562	0.491	0.686	клан
clandestine	0.425	0.677	0.469	тајно
clang	0.459	0.520	0.510	звекет
clap	0.779	0.731	0.529	пљесак
clapper	0.500	0.229	0.420	цлаппер
clapping	0.823	0.894	0.686	пљескање
clarification	0.802	0.461	0.613	појашњење
clarify	0.652	0.535	0.625	разјаснити
clarinet	0.592	0.453	0.411	кларинет
clarion	0.500	0.443	0.422	цларион
clarity	0.796	0.310	0.631	јасноћа
clash	0.293	0.918	0.453	сукоб
clashing	0.177	0.764	0.575	сукобљавајући се
clasp	0.448	0.375	0.241	копча
class	0.656	0.314	0.522	класа
classic	0.690	0.260	0.611	класична
classic rock	0.729	0.571	0.588	класични рок
classical	0.643	0.198	0.536	класична
classics	0.750	0.333	0.510	класика
classification	0.583	0.423	0.613	класификација
classified	0.571	0.460	0.663	класификовани
classify	0.646	0.411	0.720	класификовати
classmate	0.781	0.400	0.593	друг из разреда
classroom	0.539	0.292	0.363	учионица
classy	0.917	0.410	0.649	отмено
clatter	0.418	0.820	0.387	звекет
clause	0.480	0.409	0.528	клаузула
clauses	0.449	0.429	0.545	клаузуле
claustrophobia	0.125	0.840	0.333	клаустрофобија
claustrophobic	0.092	0.755	0.400	клаустрофобичан
clavicle	0.398	0.400	0.452	кључна кост
claw	0.260	0.600	0.598	канџа
claws	0.281	0.698	0.562	канџе
clay	0.542	0.250	0.267	глине
clean	0.827	0.170	0.500	чист
cleaner	0.604	0.556	0.375	чистач
cleaning	0.595	0.396	0.427	чишћење
cleanliness	0.816	0.363	0.609	чистоћа
cleanly	0.823	0.352	0.583	чисто
cleanse	0.625	0.310	0.660	очистити
cleanser	0.604	0.353	0.433	средство за чишћење
cleansing	0.729	0.298	0.472	чишћење
cleanup	0.729	0.314	0.451	поспремити
clear	0.857	0.327	0.573	јасно
clearance	0.542	0.459	0.473	клиренс
clearing	0.680	0.333	0.509	клиринг
clearness	0.875	0.316	0.689	јасноћа
cleat	0.486	0.260	0.361	цлеат
cleavage	0.542	0.602	0.454	деколтеа
cleave	0.296	0.545	0.389	цепати
cleaver	0.240	0.627	0.434	секач
clef	0.615	0.360	0.595	цлеф
cleft	0.306	0.442	0.360	расцеп
clemency	0.594	0.417	0.397	помиловање
clench	0.438	0.618	0.580	стиснути
clergy	0.531	0.312	0.575	свештенство
clergyman	0.594	0.330	0.556	духовник
cleric	0.521	0.324	0.589	свештенослужитељ
clerical	0.520	0.396	0.491	чиновнички
clerk	0.500	0.579	0.509	службеник
clerkship	0.582	0.380	0.596	чиновништво
clever	0.896	0.353	0.729	паметан
cleverness	0.878	0.509	0.921	памет
click	0.536	0.365	0.268	кликните
clicker	0.418	0.490	0.463	кликер
client	0.583	0.450	0.618	клијент
clientele	0.625	0.577	0.508	клијентела
cliff	0.361	0.620	0.509	литица
climate	0.635	0.240	0.483	клима
climatology	0.531	0.367	0.541	климатологија
climax	0.735	0.853	0.667	врхунац
climb	0.615	0.660	0.604	попети се
climber	0.573	0.716	0.735	пењач
clinch	0.469	0.538	0.430	клинч
cling	0.417	0.620	0.588	прилепити се
clingy	0.224	0.460	0.370	лепљив
clinic	0.469	0.439	0.600	клиника
clinical	0.337	0.412	0.640	клинички
clink	0.458	0.462	0.319	цлинк
clip	0.438	0.310	0.381	цлип
clipboard	0.594	0.255	0.423	цлипбоард
clipper	0.293	0.422	0.383	клипер
clipping	0.460	0.500	0.405	изрезивање
clique	0.427	0.430	0.391	клика
clitoris	0.625	0.844	0.464	клиторис
cloak	0.469	0.188	0.333	огртач
cloaking	0.521	0.595	0.389	прикривање
cloakroom	0.690	0.254	0.397	гардероба
clobber	0.396	0.578	0.464	цоббер
clock	0.677	0.173	0.407	сат
clockwork	0.490	0.373	0.528	цлоцкворк
clod	0.375	0.404	0.365	грудва
clog	0.104	0.618	0.454	зачепити се
cloister	0.438	0.413	0.475	клаустар
clone	0.406	0.471	0.524	клон
cloning	0.216	0.696	0.679	клонирање
close	0.292	0.260	0.263	Близу
closed	0.240	0.164	0.318	затворено
closeness	0.796	0.237	0.450	блискост
closet	0.531	0.204	0.330	ормар
closure	0.229	0.220	0.412	затварање
clot	0.150	0.558	0.275	угрушак
cloth	0.510	0.190	0.287	тканина
clothe	0.797	0.330	0.481	одевати
clothes	0.833	0.270	0.414	Одећа
clothesline	0.582	0.324	0.366	коноп за веш
clothing	0.750	0.343	0.407	одећу
cloud	0.740	0.133	0.342	облак
clouded	0.240	0.213	0.302	замагљено
cloudiness	0.469	0.250	0.343	облачност
clouds	0.735	0.195	0.324	облаци
cloudy	0.281	0.280	0.202	облачно
clout	0.584	0.636	0.704	утицај
clove	0.439	0.296	0.315	каранфилић
clover	0.605	0.340	0.364	детелина
cloves	0.427	0.218	0.396	каранфилић
clown	0.650	0.598	0.300	кловн
clowns	0.600	0.673	0.391	кловнови
club	0.646	0.618	0.393	клуб
clubhouse	0.694	0.571	0.493	цлубхоусе
clubs	0.723	0.530	0.591	клубовима
cluck	0.390	0.490	0.353	цлуцк
clue	0.653	0.380	0.412	траг
clueless	0.350	0.333	0.161	неупућени
clump	0.551	0.480	0.582	грудвица
clumsy	0.125	0.420	0.144	неспретан
clunk	0.448	0.472	0.407	цлунк
cluster	0.490	0.458	0.446	кластер
clutch	0.383	0.500	0.491	квачило
clutches	0.542	0.373	0.528	квачила
clutter	0.135	0.598	0.400	неред
coach	0.633	0.823	0.735	тренер
coachman	0.479	0.394	0.509	кочијаш
coagulation	0.381	0.558	0.436	коагулација
coal	0.360	0.241	0.340	угља
coalesce	0.479	0.434	0.529	спојити се
coalition	0.490	0.730	0.673	коалиција
coarse	0.333	0.481	0.481	грубо
coast	0.719	0.396	0.458	обала
coastal	0.604	0.370	0.510	приобални
coaster	0.612	0.788	0.627	подметач
coastline	0.745	0.282	0.441	обала
coat	0.677	0.256	0.464	капут
coating	0.620	0.440	0.596	премазивање
coax	0.367	0.400	0.447	цоак
cobalt	0.408	0.325	0.441	кобалт
cobble	0.448	0.385	0.368	калдрма
cobbler	0.510	0.415	0.318	постолар
cobra	0.312	0.712	0.600	кобра
cocaine	0.156	0.840	0.373	кокаин
cock	0.418	0.562	0.392	цоцк
cockamamie	0.450	0.500	0.382	цоцкамие
cockeyed	0.459	0.460	0.423	дрско
cockpit	0.520	0.424	0.343	кокпит
cockroach	0.188	0.667	0.196	бубашваба
cocksucker	0.083	0.764	0.339	цоцксуцкер
cocktail	0.740	0.480	0.381	коктел
cocky	0.260	0.784	0.519	дрско
cocoa	0.776	0.255	0.322	какао
coconut	0.622	0.265	0.227	кокос
cocoon	0.470	0.280	0.290	чахура
cod	0.510	0.321	0.304	цод
code	0.583	0.308	0.491	код
codeine	0.375	0.582	0.436	кодеин
codex	0.531	0.488	0.524	кодекс
codfish	0.490	0.245	0.300	бакалар
codification	0.448	0.400	0.698	кодификација
codify	0.448	0.410	0.679	кодификовати
coding	0.442	0.344	0.667	кодирање
coed	0.469	0.531	0.481	студент
coefficient	0.677	0.415	0.702	коефицијент
coerce	0.260	0.741	0.517	присиљавати
coercion	0.330	0.708	0.577	принуда
coercive	0.479	0.670	0.506	принудни
coexist	0.708	0.460	0.536	коегзистирати
coexistence	0.588	0.472	0.638	суживот
coexisting	0.551	0.349	0.648	коегзистирајући
coffee	0.823	0.418	0.309	кафа
coffee table	0.720	0.339	0.295	сто за кафу
coffeehouse	0.694	0.357	0.307	кафић
coffeepot	0.760	0.333	0.312	ибрик за кафу
coffin	0.073	0.432	0.343	Мртвачки сандук
cog	0.427	0.343	0.363	цог
cogent	0.765	0.479	0.836	очигледан
cognac	0.615	0.510	0.430	коњак
cognate	0.615	0.350	0.398	сродни
cognition	0.635	0.344	0.706	сазнање
cognitive	0.513	0.401	0.634	когнитивни
cohabitation	0.646	0.526	0.598	заједнички живот
coherence	0.720	0.406	0.788	повезаност
coherent	0.698	0.281	0.500	кохерентан
cohesion	0.604	0.536	0.555	кохезија
cohesive	0.531	0.470	0.603	кохезиван
cohort	0.459	0.551	0.566	кохорта
coil	0.448	0.343	0.298	калем
coiled	0.378	0.518	0.389	намотана
coin	0.677	0.574	0.445	новчић
coinage	0.500	0.400	0.545	кованог новца
coincide	0.635	0.490	0.593	подударати
coincidence	0.612	0.450	0.518	случајност
coincident	0.562	0.385	0.602	коинциденција
coincidental	0.646	0.481	0.337	случајно
coinciding	0.673	0.373	0.623	поклапајући се
coke	0.404	0.461	0.397	кока кола
cola	0.469	0.325	0.240	цола
cold	0.398	0.538	0.348	хладно
coldly	0.365	0.358	0.407	хладно
coldness	0.093	0.470	0.427	хладноћа
coldsweat	0.427	0.491	0.327	хладан зној
coleslaw	0.707	0.312	0.336	салата од купуса
colic	0.135	0.736	0.361	колике
coliseum	0.612	0.663	0.704	цолисеум
collaborate	0.816	0.449	0.559	сарађивати
collaboration	0.885	0.628	0.741	сарадњу
collaborator	0.729	0.320	0.769	сарадник
collage	0.680	0.321	0.375	колаж
collagen	0.541	0.245	0.450	колаген
collapse	0.208	0.689	0.342	колапс
collar	0.656	0.442	0.446	оковратник
collarbone	0.420	0.427	0.306	кључна кост
collate	0.438	0.448	0.580	упоредити
collateral	0.531	0.422	0.717	колатерална
collation	0.520	0.333	0.508	упоређивање
colleague	0.740	0.413	0.600	колега
collect	0.635	0.481	0.491	сакупљати
collected	0.570	0.402	0.588	прикупљени
collection	0.725	0.311	0.588	збирка
collective	0.583	0.458	0.698	колективне
collectively	0.817	0.573	0.533	колективно
collector	0.552	0.481	0.648	колекционар
college	0.700	0.467	0.746	колеџ
collegiate	0.592	0.461	0.678	колегијални
collide	0.271	0.892	0.557	сударати
collie	0.562	0.308	0.328	коли
collision	0.245	0.848	0.585	судара
collocation	0.637	0.360	0.594	колокација
colloquial	0.604	0.363	0.368	колоквијални
collusion	0.365	0.510	0.400	дослух
cologne	0.677	0.413	0.552	колоњска вода
colon	0.449	0.394	0.384	дебело црево
colonel	0.459	0.592	0.890	пуковник
colonial	0.553	0.327	0.613	колонијални
colonic	0.333	0.420	0.430	дебелог црева
colonoscopy	0.208	0.524	0.466	колоноскопија
colony	0.716	0.353	0.593	колонија
colophon	0.500	0.408	0.385	колофон
color	0.786	0.280	0.402	боја
coloration	0.541	0.520	0.443	обојеност
colored	0.806	0.317	0.275	обојена
colorful	0.850	0.520	0.519	разнобојан
coloring	0.781	0.469	0.353	бојење
colorless	0.354	0.340	0.250	безбојна
colors	0.875	0.349	0.340	боје
colossal	0.698	0.692	0.900	колосалан
colt	0.561	0.587	0.543	цолт
columbine	0.520	0.521	0.407	цолумбине
column	0.480	0.250	0.670	колона
columnar	0.448	0.340	0.491	стубасти
columnist	0.646	0.365	0.648	колумниста
com	0.396	0.382	0.382	цом
coma	0.219	0.255	0.302	кома
comatose	0.143	0.438	0.433	кома
comb	0.490	0.123	0.268	чешаљ
combat	0.302	0.846	0.833	борба
combatant	0.531	0.853	0.780	борац
combative	0.381	0.690	0.816	борбени
combination	0.708	0.480	0.726	комбинација
combinatorial	0.561	0.436	0.428	комбинаторски
combine	0.663	0.442	0.533	комбиновати
combined	0.622	0.370	0.500	комбиновано
combo	0.698	0.439	0.453	цомбо
combustible	0.386	0.650	0.750	запаљив
combustion	0.457	0.807	0.591	сагоревање
come	0.529	0.269	0.558	доћи
comeback	0.580	0.409	0.555	врати се
comedian	0.812	0.735	0.598	комичар
comedy	0.918	0.555	0.490	комедија
comet	0.704	0.679	0.471	комета
comfort	0.863	0.231	0.670	удобности
comfortable	0.927	0.163	0.473	удобан
comforter	0.618	0.275	0.302	утешитељ
comforting	0.906	0.337	0.620	утешне
comfy	0.930	0.241	0.625	удобно
comic	0.917	0.459	0.387	цомиц
comical	0.844	0.737	0.327	комично
comics	0.690	0.556	0.384	стрипови
coming	0.653	0.417	0.500	долази
comma	0.344	0.269	0.242	зарез
command	0.427	0.790	0.849	команда
commandant	0.622	0.700	0.943	командант
commandeer	0.552	0.639	0.931	командант
commander	0.531	0.615	0.906	командант
commanding	0.562	0.664	0.925	командујући
commandment	0.656	0.490	0.876	заповест
commando	0.323	0.710	0.817	командос
commemorate	0.812	0.602	0.636	одати поцаст
commemoration	0.719	0.615	0.754	комеморација
commemorative	0.750	0.438	0.754	комеморативни
commence	0.760	0.585	0.741	започети
commend	0.906	0.694	0.711	похвалити
commendable	0.786	0.570	0.555	похвално
commendation	0.911	0.500	0.639	похвала
commensurate	0.610	0.304	0.550	сразмерно
comment	0.667	0.417	0.379	коментар
commentary	0.602	0.402	0.446	коментарисање
commentator	0.492	0.510	0.607	коментатор
commerce	0.646	0.500	0.788	трговина
commercial	0.806	0.490	0.528	комерцијални
commie	0.385	0.519	0.454	цоммие
commissary	0.385	0.500	0.788	комесар
commission	0.677	0.480	0.571	провизија
commissioner	0.602	0.449	0.949	комесар
commit	0.365	0.529	0.491	урадити
commitment	0.714	0.710	0.843	приврженост
committal	0.472	0.519	0.582	приврженост
committed	0.710	0.542	0.712	починио
committee	0.592	0.392	0.721	комитет
commodity	0.615	0.394	0.537	роба
commodore	0.427	0.530	0.636	цоммодоре
common	0.600	0.127	0.318	заједнички
commoner	0.448	0.365	0.327	обичан
commonly	0.604	0.170	0.574	уобичајено
commonplace	0.520	0.337	0.442	уобичајено
commons	0.633	0.396	0.623	цоммонс
commonwealth	0.630	0.406	0.702	Цоммонвеалтх
commotion	0.490	0.700	0.646	комешање
communal	0.592	0.321	0.556	комунални
commune	0.500	0.488	0.655	комуна
communicable	0.796	0.491	0.623	преносив
communicate	0.823	0.410	0.696	комуницирати
communication	0.837	0.400	0.649	комуникација
communicative	0.847	0.560	0.637	комуникативна
communicator	0.573	0.509	0.796	комуникатор
communion	0.765	0.357	0.607	причешће
communism	0.264	0.570	0.623	комунизам
communist	0.265	0.702	0.632	комунистички
community	0.750	0.350	0.659	заједница
commutation	0.469	0.431	0.652	комутација
commutative	0.667	0.442	0.569	комутативни
commute	0.622	0.582	0.565	цоммуте
commuter	0.646	0.520	0.512	цоммутер
comp	0.573	0.450	0.371	комп
compact	0.458	0.417	0.673	компактан
compaction	0.531	0.471	0.582	збијање
compactness	0.582	0.352	0.454	компактност
companion	0.770	0.377	0.618	пратилац
companionless	0.271	0.259	0.200	без сапутника
companionship	0.833	0.438	0.792	дружења
company	0.906	0.425	0.798	компанија
comparable	0.562	0.443	0.458	упоредиви
comparative	0.470	0.273	0.562	упоредни
comparatively	0.604	0.391	0.538	компаративно
compare	0.552	0.408	0.524	упоредити
comparison	0.583	0.456	0.492	поређење
compartment	0.500	0.389	0.607	купе
compass	0.541	0.307	0.529	компас
compassion	0.735	0.258	0.509	саосећање
compassionate	0.857	0.404	0.411	саосећајни
compatibility	0.816	0.450	0.673	компатибилност
compatible	0.892	0.387	0.638	компатибилан
compel	0.200	0.847	0.625	присилити
compelled	0.333	0.654	0.347	принуђен
compelling	0.698	0.570	0.870	неодољив
compendium	0.610	0.461	0.537	компендијум
compensate	0.612	0.429	0.762	надокнадити
compensation	0.775	0.469	0.598	компензација
compensatory	0.589	0.490	0.700	компензациони
compete	0.573	0.745	0.786	такмичити се
competence	0.615	0.802	0.823	компетенције
competency	0.768	0.775	0.764	компетенције
competent	0.865	0.560	0.904	компетентан
competition	0.580	0.790	0.798	конкуренција
competitive	0.447	0.718	0.908	такмичарски
competitor	0.612	0.959	0.861	такмичар
compilation	0.530	0.512	0.606	компилација
compile	0.600	0.413	0.519	саставити
complacency	0.604	0.503	0.519	самозадовољство
complacent	0.625	0.452	0.518	самозадовољни
complain	0.143	0.682	0.360	жалити се
complaint	0.143	0.606	0.281	жалба
complement	0.760	0.277	0.600	допуњују
complementary	0.714	0.320	0.586	комплементарне
complete	0.750	0.414	0.809	комплетан
completed	0.823	0.357	0.777	завршено
completely	0.730	0.370	0.690	у потпуности
completeness	0.823	0.433	0.769	потпуност
completing	0.614	0.500	0.769	довршавајући
completion	0.656	0.470	0.525	завршетак
complex	0.388	0.608	0.550	комплекс
complexed	0.312	0.577	0.612	искомплексирано
complexion	0.521	0.520	0.380	тен
complexity	0.479	0.620	0.595	сложеност
compliance	0.750	0.462	0.750	сагласност
compliant	0.677	0.310	0.519	сагласан
complicate	0.210	0.657	0.404	компликује
complicated	0.211	0.660	0.455	компликован
complication	0.365	0.726	0.330	компликација
complicity	0.323	0.684	0.670	саучесништво
compliment	0.820	0.490	0.651	комплимент
complimentary	0.823	0.413	0.435	ласкав
comply	0.806	0.370	0.638	придржавати се
complying	0.729	0.423	0.590	придржавајући се
compo	0.500	0.346	0.390	цомпо
component	0.531	0.382	0.525	саставни део
compose	0.639	0.432	0.694	саставити
composed	0.684	0.385	0.682	састављена
composer	0.822	0.588	0.691	композитор
composite	0.591	0.459	0.620	композитни
composition	0.765	0.408	0.652	састав
compost	0.480	0.404	0.441	компост
composure	0.802	0.354	0.717	прибраност
compound	0.635	0.385	0.735	сложени
comprehend	0.875	0.365	0.689	схватити
comprehension	0.908	0.387	0.688	разумевање
comprehensive	0.796	0.385	0.644	обиман
compress	0.406	0.412	0.460	стиснути
compressed	0.323	0.396	0.388	компримовани
compressible	0.622	0.392	0.585	стишљив
compression	0.646	0.521	0.579	компресија
compressor	0.418	0.481	0.630	компресор
comprise	0.839	0.373	0.669	обухватају
compromise	0.677	0.520	0.805	компромис
comptroller	0.402	0.481	0.866	контролор
compulsion	0.118	0.760	0.604	принуда
compulsive	0.347	0.871	0.573	компулзивна
compulsory	0.343	0.541	0.791	обавезна
computable	0.570	0.402	0.545	израчунљив
computation	0.583	0.429	0.697	рачунање
