English Word	Valence	Arousal	Dominance	Uyghur Word
burnt	0.082	0.713	0.356	كۆيگەن
burp	0.219	0.594	0.432	burp
burr	0.390	0.426	0.308	burr
burrito	0.688	0.294	0.166	burrito
burro	0.400	0.356	0.318	burro
burrow	0.438	0.280	0.355	burrow
bursary	0.729	0.462	0.571	bursary
burst	0.156	0.894	0.845	پارتىلىدى
bury	0.077	0.571	0.346	دەپنە قىلىش
bus	0.407	0.411	0.400	ئاپتوبۇس
busboy	0.510	0.453	0.441	busboy
bush	0.413	0.220	0.315	bush
bushel	0.417	0.387	0.368	bushel
bushy	0.562	0.321	0.427	دەل-دەرەخ
business	0.688	0.569	0.755	سودا
business man	0.530	0.598	0.933	سودىگەر
businessman	0.653	0.510	0.802	سودىگەر
businesswoman	0.719	0.500	0.764	سودىگەر
busload	0.561	0.481	0.492	busload
buss	0.469	0.500	0.391	ئاپتوبۇس
bust	0.520	0.500	0.420	bust
busted	0.204	0.676	0.345	busted
buster	0.469	0.491	0.483	buster
bustle	0.347	0.814	0.445	ئالدىراش
bustling	0.490	0.850	0.528	ئالدىراش
busy	0.402	0.500	0.474	ئالدىراش
busybody	0.255	0.634	0.472	ئالدىراش
butane	0.442	0.483	0.380	butane
butcher	0.500	0.575	0.608	قاسساپ
butler	0.469	0.225	0.438	butler
butt	0.347	0.725	0.336	butt
butter	0.650	0.292	0.202	ماي
buttercup	0.562	0.482	0.422	buttercup
butterfly	0.892	0.327	0.314	كېپىنەك
buttermilk	0.633	0.311	0.304	buttermilk
butterscotch	0.708	0.510	0.356	butterscotch
buttery	0.625	0.318	0.303	buttery
buttock	0.429	0.600	0.288	buttock
buttocks	0.458	0.677	0.365	يوتا
button	0.520	0.220	0.343	كۇنۇپكا
buttress	0.438	0.684	0.721	buttress
buxom	0.562	0.719	0.547	buxom
buy	0.771	0.769	0.612	سېتىۋېلىش
buyer	0.613	0.519	0.649	سېتىۋالغۇچى
buying	0.665	0.784	0.589	سېتىۋېلىش
buzz	0.333	0.686	0.375	buzz
buzzard	0.350	0.500	0.225	buzzard
buzzed	0.583	0.549	0.448	buzzed
buzzer	0.549	0.716	0.480	buzzer
buzzing	0.430	0.588	0.370	buzzing
bye	0.375	0.398	0.321	bye bye
bygone	0.229	0.310	0.315	bygone
bylaw	0.469	0.373	0.725	bylaw
byline	0.469	0.450	0.435	byline
bypass	0.429	0.418	0.353	bypass
bystander	0.480	0.462	0.491	bystander
byte	0.490	0.380	0.407	byte
byzantine	0.546	0.443	0.492	byzantine
cab	0.438	0.490	0.421	cab
cabal	0.500	0.406	0.573	cabal
cabana	0.698	0.296	0.407	cabana
cabaret	0.677	0.656	0.482	cabaret
cabbage	0.398	0.225	0.264	يېسىۋىلەك
cabbie	0.521	0.417	0.429	cabbie
cabernet	0.543	0.420	0.480	cabernet
cabin	0.643	0.292	0.430	كابىنكا
cabinet	0.552	0.306	0.465	ئىشكاپ
cable	0.583	0.245	0.434	سىم
caboodle	0.529	0.521	0.325	caboodle
caboose	0.440	0.453	0.438	caboose
cabriolet	0.667	0.525	0.472	cabriolet
cache	0.552	0.348	0.389	cache
cacophony	0.408	0.562	0.440	cacophony
cactus	0.439	0.412	0.284	cactus
cad	0.447	0.406	0.404	cad
cadaver	0.030	0.690	0.260	cadaver
caddie	0.521	0.435	0.259	caddy
caddy	0.580	0.470	0.380	caddy
cadence	0.427	0.473	0.355	cadence
cadet	0.504	0.393	0.664	كۇرسانت
cafe	0.781	0.392	0.358	قەھۋەخانا
cafeteria	0.757	0.400	0.382	قەھۋەخانا
caffeine	0.562	0.759	0.500	كوففېئىن
cage	0.316	0.333	0.352	cage
cagey	0.542	0.363	0.582	cagey
cahoots	0.312	0.696	0.474	cahoots
cairn	0.260	0.435	0.254	cairn
cake	0.810	0.375	0.287	تورت
cakewalk	0.719	0.510	0.447	cakewalk
calamari	0.521	0.312	0.406	كالامارى
calamitous	0.219	0.685	0.500	ئاپەت
calamity	0.122	0.795	0.343	بالايىئاپەت
calcareous	0.490	0.368	0.462	calcareous
calcium	0.600	0.346	0.479	كالتسىي
calculate	0.490	0.452	0.440	ھېسابلاپ بېقىڭ
calculated	0.633	0.425	0.683	ھېسابلىنىدۇ
calculating	0.458	0.430	0.625	ھېسابلاش
calculation	0.646	0.453	0.606	ھېسابلاش
calculator	0.513	0.283	0.588	ھېسابلىغۇچ
calculus	0.360	0.360	0.562	ھېسابلاش
calendar	0.480	0.212	0.473	كالېندار
calender	0.531	0.275	0.451	calender
calf	0.531	0.366	0.336	موزاي
caliber	0.429	0.551	0.606	كالىبور
calibrate	0.552	0.460	0.623	تەڭشەش
calico	0.406	0.338	0.491	calico
calipers	0.480	0.510	0.481	calipers
calisthenics	0.562	0.663	0.545	calisthenics
call	0.594	0.627	0.558	call
callback	0.524	0.529	0.434	callback
caller	0.646	0.615	0.472	چاقىرغۇچى
calligraphy	0.620	0.216	0.500	ھۆسنخەت
calling	0.646	0.590	0.483	تېلېفون قىلىش
callous	0.245	0.500	0.386	چاقىرىق
calls	0.608	0.431	0.551	تېلېفون قىلىدۇ
calm	0.875	0.100	0.282	خاتىرجەم
calming	0.885	0.105	0.360	تىنىچلاندۇرۇش
calmness	0.934	0.105	0.394	خاتىرجەملىك
caloric	0.327	0.483	0.448	ئىسسىقلىق ئېنېرگىيىسى
calorie	0.333	0.540	0.427	كالورىيە
calorimeter	0.406	0.560	0.414	calorimeter
cam	0.448	0.363	0.355	cam
camaraderie	0.833	0.510	0.648	camaraderie
camber	0.430	0.382	0.439	camber
camcorder	0.556	0.422	0.454	كامېرا
camel	0.540	0.282	0.314	تۆگە
cameo	0.573	0.457	0.509	cameo
camera	0.640	0.288	0.379	كامېرا
cameraman	0.542	0.452	0.542	كامېرا
camisole	0.497	0.250	0.375	camisole
camouflage	0.438	0.585	0.450	camouflage
camouflaged	0.350	0.422	0.562	camouflaged
camp	0.622	0.617	0.594	لاگېر
campaign	0.602	0.730	0.823	سەپەرۋەرلىك
campaigner	0.592	0.698	0.821	تەشۋىقاتچى
campaigning	0.531	0.663	0.741	تەشۋىقات
camper	0.573	0.529	0.482	camper
campfire	0.677	0.509	0.436	campfire
camping	0.653	0.529	0.480	لاگېر
campsite	0.680	0.490	0.547	لاگېر
campus	0.604	0.388	0.519	مەكتەپ رايونى
can	0.662	0.360	0.454	قىلالايدۇ
can opener	0.444	0.491	0.308	ئاچالايدۇ
canal	0.673	0.259	0.321	كانال
canary	0.582	0.276	0.265	كانارى
cancel	0.214	0.306	0.368	ئەمەلدىن قالدۇرۇڭ
canceling	0.229	0.470	0.349	ئەمەلدىن قالدۇرۇلدى
cancellation	0.224	0.431	0.389	ئەمەلدىن قالدۇرۇش
cancer	0.052	0.694	0.529	راك
candid	0.667	0.349	0.458	كاندىدات
candidacy	0.490	0.657	0.696	كاندىدات
candidate	0.596	0.490	0.804	كاندىدات
candied	0.713	0.330	0.360	كەمپۈت
candle	0.602	0.221	0.344	شام
candlelight	0.789	0.294	0.417	شام
candles	0.615	0.206	0.268	شام
candlestick	0.448	0.531	0.534	شامدان
candor	0.740	0.389	0.607	كەمپۈت
candy	0.930	0.425	0.384	كەمپۈت
cane	0.459	0.298	0.398	ھاسا
canine	0.573	0.569	0.425	كاناي
canister	0.553	0.271	0.403	canister
canker	0.262	0.469	0.427	راك
cannabis	0.271	0.500	0.564	نەشە
canned	0.398	0.357	0.298	كونسېرۋا
cannibal	0.122	0.824	0.480	كاناي
cannibalism	0.094	0.890	0.583	ئادەم يېيىش
canning	0.490	0.392	0.259	كونسېرۋا
cannon	0.529	0.676	0.811	زەمبىرەك
cannonball	0.344	0.840	0.759	زەمبىرەك
canoe	0.542	0.300	0.418	قولۋاق
canon	0.385	0.519	0.541	canon
canonical	0.542	0.410	0.620	Canonical
canons	0.385	0.588	0.593	كانون
canopy	0.615	0.264	0.398	كاناي
cantaloupe	0.592	0.212	0.276	cantaloupe
cantbreathe	0.284	0.667	0.375	cantbreathe
canteen	0.688	0.600	0.514	ئاشخانا
canterbury	0.582	0.438	0.510	canterbury
canthandleit	0.354	0.613	0.354	canthandleit
cantilever	0.357	0.618	0.421	cantilever
cantina	0.646	0.612	0.380	كانتىنا
canto	0.776	0.461	0.554	canto
canton	0.542	0.472	0.536	كانتون
cantstandit	0.418	0.546	0.343	cantstandit
cantwin	0.260	0.509	0.298	cantwin
canvas	0.719	0.090	0.364	canvas
canvass	0.675	0.356	0.397	canvass
canyon	0.468	0.731	0.634	كاناي
cap	0.612	0.240	0.375	cap
capability	0.833	0.571	0.730	ئىقتىدارى
capable	0.765	0.587	0.547	ئىقتىدارلىق
capacity	0.719	0.411	0.806	سىغىمى
cape	0.531	0.235	0.357	cape
caper	0.510	0.370	0.326	caper
capillary	0.469	0.365	0.395	capillary
capital	0.520	0.500	0.798	كاپىتال
capitalism	0.448	0.686	0.848	كاپىتالىزم
capitalist	0.352	0.577	0.821	كاپىتالىست
capitalize	0.771	0.601	0.885	كاپىتال
capitals	0.755	0.500	0.655	پايتەخت
capitation	0.479	0.529	0.589	capitation
capitol	0.535	0.375	0.705	capitol
capitulation	0.375	0.546	0.615	capitulation
cappuccino	0.792	0.279	0.384	cappuccino
caprice	0.333	0.640	0.430	caprice
capricious	0.221	0.650	0.500	capricious
caps	0.510	0.221	0.368	caps
capslock	0.330	0.394	0.398	capslock
capsule	0.583	0.290	0.570	capsule
captain	0.552	0.653	0.966	كاپىتان
caption	0.814	0.292	0.379	caption
captivate	0.698	0.604	0.723	ئەسىر
captivating	0.895	0.594	0.816	كىشىنى مەپتۇن قىلىدۇ
captive	0.235	0.558	0.411	ئەسىر
captivity	0.225	0.493	0.387	ئەسىر
captor	0.347	0.625	0.612	captor
capture	0.357	0.650	0.537	تۇتۇش
car	0.776	0.540	0.500	ماشىنا
caramel	0.901	0.363	0.400	كارامېل
carat	0.823	0.604	0.676	carat
caravan	0.635	0.559	0.455	كارۋان
carbon	0.604	0.360	0.350	كاربون
carburetor	0.469	0.612	0.555	carburetor
carcass	0.115	0.529	0.309	carcass
carcinoma	0.153	0.692	0.440	راك
card	0.531	0.269	0.436	كارتا
cardboard	0.500	0.173	0.309	كارتا
cardiac	0.344	0.765	0.615	يۈرەك
cardigan	0.599	0.324	0.264	cardigan
cardinal	0.583	0.358	0.712	cardinal
cardiologist	0.458	0.630	0.814	يۈرەك كېسەللىكلىرى دوختۇرى
cardiology	0.203	0.545	0.605	يۈرەك كېسەللىكلىرى
cardiomyopathy	0.177	0.645	0.537	يۈرەك قان تومۇر كېسەللىكى
cards	0.568	0.317	0.320	كارتا
care	0.729	0.370	0.500	پەرۋىش
career	0.740	0.712	0.606	كەسپى
carefree	0.755	0.220	0.500	غەمسىز
careful	0.625	0.538	0.530	ئېھتىيات قىلىڭ
carefully	0.698	0.330	0.544	ئەستايىدىللىق بىلەن
careless	0.255	0.431	0.125	پەرۋاسىز
carelessness	0.245	0.482	0.330	پەرۋاسىزلىق
caress	0.833	0.418	0.509	caress
caret	0.656	0.402	0.527	caret
caretaker	0.714	0.531	0.759	پەرۋىش قىلغۇچى
cargo	0.408	0.444	0.455	يۈك
caribou	0.562	0.452	0.342	caribou
caricature	0.604	0.373	0.383	caricature
caries	0.115	0.569	0.283	caries
caring	0.635	0.469	0.500	كۆڭۈل بۆلۈش
carjack	0.438	0.682	0.439	carjack
carnage	0.406	0.600	0.558	قىرغىنچىلىق
carnal	0.417	0.679	0.421	carnal
carnation	0.653	0.357	0.431	carnation
carnival	0.927	0.888	0.555	carnival
carnivorous	0.224	0.613	0.651	گۆشخور ھايۋان
carol	0.673	0.412	0.436	كارول
carols	0.847	0.420	0.491	كارول
carousel	0.704	0.500	0.412	carousel
carp	0.531	0.324	0.375	carp
carpal	0.449	0.327	0.420	carpal
carpenter	0.521	0.550	0.519	ياغاچچى
carpentry	0.561	0.459	0.518	ياغاچچىلىق
carpet	0.520	0.170	0.339	گىلەم
carpeting	0.542	0.312	0.444	گىلەمچىلىك
carpool	0.625	0.509	0.500	carpool
carriage	0.650	0.538	0.491	ھارۋا
carried	0.490	0.382	0.534	ئېلىپ بېرىلدى
carrier	0.533	0.588	0.638	توشۇغۇچى
carrot	0.500	0.235	0.279	سەۋزە
carry	0.635	0.380	0.500	ئېلىپ يۈرۈش
carrying	0.656	0.557	0.443	ئېلىپ يۈرۈش
carsick	0.224	0.574	0.255	carick
cart	0.520	0.344	0.388	ھارۋا
carte	0.592	0.320	0.274	carte
cartel	0.438	0.394	0.602	cartel
carter	0.312	0.480	0.431	carter
cartilage	0.438	0.370	0.407	سەۋزە
cartographic	0.490	0.348	0.424	كارتون
cartography	0.520	0.300	0.579	cartography
carton	0.286	0.186	0.241	carton
cartoon	0.867	0.471	0.387	كارتون
cartouche	0.427	0.458	0.450	cartouche
cartridge	0.458	0.500	0.407	cartridge
carve	0.469	0.443	0.598	carve
carver	0.418	0.500	0.500	carver
carving	0.541	0.444	0.368	ئويمىچىلىق
cascade	0.735	0.509	0.395	cascade
case	0.427	0.275	0.441	دېلو
casein	0.470	0.436	0.415	casein
cash	0.867	0.552	0.714	نەق پۇل
cashier	0.615	0.413	0.484	كاسسىر
cashmere	0.653	0.452	0.439	cashmere
casing	0.458	0.327	0.328	قېپى
casino	0.542	0.684	0.568	قىمارخانا
cask	0.490	0.398	0.444	cask
casket	0.125	0.490	0.346	جەسەت ساندۇقى
casserole	0.570	0.360	0.328	casserole
cassette	0.490	0.334	0.355	cassette
cast	0.558	0.620	0.517	cast
castaway	0.208	0.646	0.422	castaway
caste	0.510	0.333	0.374	تەبىقە
caster	0.604	0.670	0.647	caster
castle	0.680	0.396	0.718	قەلئە
castor	0.583	0.337	0.368	castor
castrate	0.177	0.485	0.519	castrate
castration	0.198	0.735	0.381	castration
casual	0.643	0.224	0.385	تاسادىپىي
casually	0.658	0.290	0.333	تاسادىپىي
casualty	0.235	0.274	0.132	تالاپەتكە ئۇچرىغان
cat	0.667	0.260	0.370	مۈشۈك
catabolism	0.265	0.573	0.605	catabolism
catalog	0.561	0.221	0.573	مۇندەرىجە
catalogue	0.647	0.327	0.533	مۇندەرىجە
catalysis	0.385	0.559	0.531	كاتالىزاتورلۇق
catalyst	0.604	0.509	0.585	كاتالىزاتور
catalytic	0.562	0.519	0.563	كاتالىزاتورلۇق
catamaran	0.571	0.566	0.526	catamaran
catapult	0.480	0.830	0.649	catapult
cataract	0.406	0.545	0.549	كۆزگە ئاق چۈشۈش
catastrophe	0.146	0.952	0.670	ئاپەت
catastrophic	0.071	0.934	0.598	ئاپەت
catatonic	0.255	0.500	0.509	catatonic
catch	0.531	0.437	0.552	تۇتۇش
catcher	0.653	0.413	0.540	تۇتقۇچى
catching	0.490	0.788	0.644	تۇتۇش
catchphrase	0.698	0.423	0.433	catchphrase
catchy	0.677	0.441	0.462	تۇتۇق
catechism	0.656	0.236	0.613	كاتېزىم
categorical	0.615	0.442	0.760	تۈرگە ئايرىلىدۇ
category	0.571	0.264	0.521	تۈرى
cater	0.802	0.500	0.509	cater
caterer	0.550	0.557	0.644	يېمەك-ئىچمەك
caterpillar	0.461	0.286	0.330	مۈشۈكئېيىق
cates	0.370	0.394	0.407	cates
catfish	0.458	0.337	0.296	مۈشۈك
cathartic	0.450	0.510	0.604	cathartic
cathedral	0.598	0.330	0.643	cathedral
catheter	0.336	0.491	0.373	catheter
cathouse	0.327	0.375	0.363	cathouse
catnip	0.439	0.381	0.296	catnip
cattle	0.622	0.340	0.445	چارۋا
catwalk	0.698	0.436	0.464	catwalk
caucus	0.418	0.311	0.491	كاۋاك
caudal	0.500	0.425	0.583	caudal
cauldron	0.510	0.486	0.418	قازان
cauliflower	0.448	0.255	0.231	يېسىۋىلەك
caulk	0.367	0.500	0.418	كاككۇك
causal	0.562	0.367	0.491	سەۋەب
causality	0.500	0.378	0.336	سەۋەب
causation	0.562	0.480	0.567	سەۋەب
cause	0.469	0.373	0.486	سەۋەبى
caused	0.344	0.520	0.382	كەلتۈرۈپ چىقارغان
causeway	0.453	0.382	0.422	سەۋەب
caution	0.552	0.712	0.547	ئېھتىيات قىلىڭ
cautionary	0.510	0.541	0.519	ئېھتىياتچان
cautious	0.470	0.445	0.517	ئېھتىياتچان
cautiously	0.510	0.388	0.525	ئېھتىيات بىلەن
cavalier	0.735	0.462	0.713	cavalier
cavalry	0.667	0.727	0.794	ئاتلىق ئەسكەرلەر
cave	0.459	0.333	0.380	ئۆڭكۈر
caveat	0.344	0.629	0.484	caveat
caveman	0.235	0.644	0.482	caveman
cavern	0.323	0.360	0.365	ئۆڭكۈر
cavernous	0.354	0.548	0.462	ئۆڭكۈر
caviar	0.906	0.394	0.481	caviar
caving	0.378	0.491	0.551	ئۆڭكۈر
cavity	0.466	0.385	0.379	كاۋاك
cayenne	0.615	0.306	0.355	cayenne
cease	0.388	0.250	0.420	توختاڭ
ceasefire	0.542	0.594	0.567	ئۇرۇش توختىتىش
ceaseless	0.378	0.704	0.658	توختاۋسىز
cedar	0.560	0.267	0.577	كېدىر
cede	0.275	0.327	0.402	cede
ceiling	0.520	0.224	0.366	تورۇس
celebrant	0.865	0.656	0.643	تەبرىكلىگۈچى
celebrate	0.917	0.857	0.859	تەبرىكلەڭ
celebrated	0.875	0.690	0.763	تەبرىكلەندى
celebrating	0.927	0.860	0.773	تەبرىكلەش
celebration	0.939	0.824	0.880	تەبرىكلەش
celebrations	0.958	0.794	0.714	تەبرىكلەش
celebratory	0.857	0.653	0.845	تەبرىكلەش
celebrity	0.760	0.619	0.855	داڭلىق شەخس
celery	0.396	0.147	0.223	كەرەپشە
celestial	0.817	0.360	0.731	ئاسمان
celibacy	0.302	0.276	0.509	بويتاقلىق
celibate	0.419	0.387	0.391	celibate
cell	0.541	0.375	0.465	cell
cellar	0.510	0.277	0.406	cellar
cellblock	0.186	0.570	0.500	cellblock
cellist	0.667	0.500	0.486	cellist
cellmate	0.167	0.684	0.349	cellmate
cello	0.635	0.324	0.528	cello
cellophane	0.648	0.282	0.289	cellophane
cellular	0.643	0.398	0.517	cell
cellulite	0.200	0.384	0.256	cellulite
celluloid	0.469	0.440	0.425	celluloid
cement	0.544	0.265	0.527	سېمونت
cemented	0.429	0.382	0.537	سېمونت قىلىندى
cemetery	0.051	0.630	0.417	قەبرىستانلىق
censor	0.344	0.276	0.538	سېنزور
censorship	0.219	0.698	0.421	تەكشۈرۈش
censure	0.219	0.653	0.417	censure
census	0.449	0.289	0.553	نوپۇس تەكشۈرۈش
cent	0.439	0.367	0.402	cent
centenary	0.604	0.440	0.642	يۈز يىل
centennial	0.583	0.394	0.700	يۈز يىل
center	0.643	0.231	0.431	center
centerfold	0.571	0.407	0.485	centerfold
centerpiece	0.594	0.208	0.520	centerpiece
centimeter	0.427	0.280	0.380	سانتىمېتىر
centipede	0.296	0.399	0.361	centipede
central	0.640	0.356	0.621	central
centrality	0.571	0.312	0.709	مەركەزلىك
centralization	0.521	0.440	0.702	مەركەزلەشتۈرۈش
centralize	0.684	0.427	0.802	مەركەزلەشتۈرۈش
centrally	0.729	0.280	0.700	مەركەزلىك
centrifugal	0.306	0.651	0.480	centrifugal
centrifuge	0.495	0.622	0.527	centrifuge
centurion	0.590	0.447	0.696	يۈزبېشى
century	0.407	0.347	0.735	ئەسىر
ceramic	0.521	0.255	0.371	فارفۇر بۇيۇملار
ceramics	0.573	0.250	0.373	ساپال بۇيۇملار
cereal	0.612	0.206	0.316	دانلىق زىرائەت
cereals	0.719	0.224	0.311	دانلىق زىرائەتلەر
cerebral	0.408	0.509	0.627	چوڭ مېڭە
ceremonial	0.771	0.540	0.691	مۇراسىم
ceremony	0.760	0.559	0.761	مۇراسىم
certain	0.760	0.358	0.673	مەلۇم
certainty	0.781	0.400	0.769	ئېنىق
certifiable	0.714	0.427	0.662	گۇۋاھنامە
certificate	0.786	0.377	0.746	گۇۋاھنامە
certified	0.781	0.422	0.806	گۇۋاھنامىسى
certify	0.866	0.400	0.746	گۇۋاھنامە
cervical	0.375	0.413	0.445	بالىياتقۇ بوينى
cervix	0.429	0.360	0.340	بالىياتقۇ بوينى
cess	0.427	0.375	0.406	cess
cessation	0.414	0.385	0.358	توختىتىش
cesspool	0.167	0.460	0.409	cesspool
cha cha	0.714	0.546	0.324	cha cha
chaff	0.333	0.327	0.188	chaff
chafing	0.430	0.415	0.368	chafing
chagrin	0.104	0.704	0.472	chagrin
chagrined	0.112	0.745	0.361	chagrined
chai	0.500	0.375	0.363	chai
chain	0.378	0.500	0.547	زەنجىر
chainsaw	0.367	0.804	0.636	زەنجىر
chair	0.562	0.082	0.276	ئورۇندۇق
chairman	0.656	0.567	0.933	رەئىس
chairperson	0.730	0.657	0.966	رەئىس
chairwoman	0.719	0.664	0.953	رەئىس
chaise	0.406	0.349	0.327	chaise
chalet	0.653	0.349	0.278	chalet
chalice	0.633	0.286	0.529	chalice
chalk	0.385	0.185	0.121	chalk
challenge	0.469	0.922	0.713	خىرىس
challenger	0.417	0.755	0.652	رىقابەتچى
chamber	0.583	0.373	0.455	كامېر
chambermaid	0.594	0.375	0.336	كامېرا
chambers	0.542	0.442	0.388	chambers
chameleon	0.490	0.580	0.345	chameleon
champ	0.854	0.754	0.896	champ
champagne	0.760	0.600	0.454	شامپان
champion	0.890	0.880	0.945	چېمپىيون
championship	0.833	0.800	0.880	چېمپىيونلۇق
chance	0.833	0.551	0.525	پۇرسەت
chancellor	0.646	0.500	0.887	chancellor
chandelier	0.615	0.542	0.366	chandelier
chandler	0.510	0.452	0.454	chandler
change	0.625	0.575	0.606	ئۆزگەرتىش
changeable	0.490	0.480	0.528	ئۆزگىرىشچان
changed	0.594	0.375	0.491	ئۆزگەرتىلدى
changer	0.583	0.519	0.567	changer
changing	0.571	0.569	0.461	ئۆزگىرىش
channel	0.490	0.287	0.405	channel
chant	0.771	0.698	0.650	chant
chaos	0.016	0.923	0.373	قالايمىقانچىلىق
chaotic	0.115	0.847	0.442	قالايمىقان
chap	0.550	0.410	0.345	باپ
chapel	0.573	0.240	0.440	chapel
chaperon	0.500	0.520	0.404	chaperon
chaplain	0.582	0.370	0.577	چاپان
chapman	0.562	0.529	0.465	chapman
chaps	0.350	0.462	0.350	chaps
chapter	0.580	0.308	0.461	باب
char	0.554	0.361	0.404	char
character	0.667	0.373	0.686	خاراكتېر
characteristic	0.583	0.328	0.538	ئالاھىدىلىكى
characterize	0.729	0.471	0.735	خاراكتېر
charade	0.458	0.550	0.346	charade
charcoal	0.302	0.186	0.342	كۆمۈر
chardonnay	0.677	0.567	0.492	chardonnay
charge	0.510	0.633	0.785	charge
chargeable	0.551	0.550	0.453	ھەقلىق
charger	0.531	0.418	0.545	توك قاچىلىغۇچ
chariot	0.684	0.550	0.491	ھارۋا
charisma	0.938	0.591	0.759	charisma
charismatic	0.938	0.684	0.849	جەزبىدار
charitable	0.865	0.380	0.593	خەير-ساخاۋەت
charity	0.920	0.284	0.551	خەير-ساخاۋەت
charlatan	0.200	0.640	0.352	charlatan
charm	0.833	0.363	0.649	جەزبىدار
charmed	0.938	0.570	0.769	جەزبىدار
charmer	0.882	0.683	0.782	جەزبىدار
charming	0.917	0.660	0.764	جەزبىدار
charred	0.208	0.676	0.373	charred
chart	0.469	0.317	0.330	دىئاگرامما
charter	0.677	0.382	0.518	نىزامنامە
chartered	0.569	0.460	0.490	chartered
chase	0.396	0.878	0.623	قوغلاش
chased	0.188	0.830	0.287	قوغلىدى
chaser	0.375	0.830	0.645	قوغلىغۇچى
chasm	0.265	0.579	0.500	chasm
chassis	0.406	0.342	0.444	تەگلىك
chaste	0.408	0.248	0.453	پاك
chastened	0.156	0.580	0.345	جازالاندى
chastisement	0.156	0.852	0.462	جازا
chastity	0.469	0.392	0.509	پاكلىق
chat	0.729	0.400	0.346	پاراڭ
chateau	0.615	0.464	0.702	chateau
chatter	0.560	0.450	0.347	پاراڭ
chatterbox	0.459	0.548	0.482	پاراڭلىشىش ساندۇقى
chattering	0.460	0.663	0.304	پاراڭلىشىش
chatty	0.594	0.548	0.345	پاراڭ
chauffeur	0.500	0.353	0.471	شوپۇر
chauvinist	0.310	0.539	0.527	شوۋىنىست
cheap	0.612	0.471	0.272	ئەرزان
cheapened	0.471	0.611	0.282	ئەرزان
cheapskate	0.148	0.482	0.327	cheapskate
cheat	0.125	0.776	0.400	ئالدامچى
cheater	0.104	0.920	0.333	ئالدامچى
check	0.523	0.552	0.602	تەكشۈرۈش
checkbook	0.552	0.284	0.364	تەكشۈرۈش دەپتىرى
checker	0.330	0.417	0.553	تەكشۈرگۈچى
checkered	0.459	0.316	0.336	تەكشۈرۈلگەن
checkers	0.676	0.451	0.437	تەكشۈرگۈچىلەر
checklist	0.561	0.521	0.552	تەكشۈرۈش تىزىملىكى
checkmate	0.667	0.708	0.750	checkmate
checkout	0.597	0.510	0.670	چىقىمدان
checkpoint	0.571	0.323	0.812	تەكشۈرۈش پونكىتى
checkup	0.500	0.435	0.491	تەكشۈرۈش
cheek	0.670	0.314	0.421	مەڭزى
cheeks	0.708	0.324	0.282	مەڭزى
cheeky	0.434	0.679	0.410	cheeky
cheep	0.367	0.380	0.373	cheep
cheer	0.938	0.784	0.845	خۇشال بولۇڭ
cheered	0.875	0.648	0.790	خۇشال بولدى
cheerful	0.990	0.720	0.696	خۇشخۇي
cheerfulness	0.969	0.802	0.675	خۇشخۇي
cheering	0.815	0.824	0.642	خۇشال
cheerleader	0.923	0.746	0.657	خۇشخۇي
cheerleading	0.698	0.769	0.404	خۇشخۇي
cheerless	0.204	0.373	0.167	خۇشخۇي
cheers	0.948	0.770	0.702	خۇشاللىق
cheery	0.949	0.657	0.486	خۇشخۇي
cheese	0.740	0.280	0.281	پىشلاق
cheeseburger	0.802	0.529	0.336	cheeseburger
cheesecake	0.860	0.276	0.238	پىشلاق
cheesy	0.470	0.471	0.179	پىشلاق
cheetah	0.469	0.770	0.667	يىلپىز
chef	0.854	0.411	0.570	ئاشپەز
chemical	0.337	0.560	0.508	خىمىيىلىك
chemise	0.530	0.275	0.364	chemise
chemist	0.408	0.575	0.610	خىمىك
chemistry	0.625	0.520	0.694	خىمىيە
chemo	0.214	0.686	0.444	chemo
chemotherapy	0.163	0.689	0.517	خىمىيىلىك داۋالاش
cheque	0.698	0.529	0.660	تەكشۈرۈش
cherish	0.896	0.491	0.652	قەدىرلەڭ
cherishing	0.836	0.380	0.625	قەدىرلەش
cherry	0.688	0.186	0.250	cherry
cherub	0.663	0.340	0.455	كېرۇب
chess	0.656	0.363	0.518	شاھمات
chest	0.520	0.429	0.481	كۆكرەك
chestnut	0.714	0.210	0.294	كاشتان
chevron	0.469	0.469	0.598	chevron
chew	0.520	0.490	0.404	چايناش
chewy	0.625	0.418	0.390	چايناش
chic	0.870	0.624	0.380	chic
chicane	0.357	0.460	0.481	chicane
chick	0.771	0.602	0.387	توخۇ
chicken	0.594	0.306	0.394	توخۇ
chicken pox	0.194	0.510	0.415	توخۇ پوكى
chickenpox	0.173	0.562	0.357	توخۇ
chief	0.520	0.544	0.869	باشلىق
chiefly	0.600	0.587	0.764	ئاساسلىقى
chieftain	0.343	0.529	0.860	باشلىق
chiffon	0.406	0.230	0.250	chiffon
child	0.912	0.460	0.413	بالا
childbirth	0.604	0.861	0.673	بالا تۇغۇش
childhood	0.865	0.413	0.307	بالىلىق
childish	0.573	0.442	0.230	بالا
childless	0.310	0.400	0.396	بالىسىز
childlike	0.656	0.372	0.293	بالىلارغا ئوخشاش
childloss	0.240	0.571	0.421	childloss
children	0.857	0.538	0.435	بالىلار
chili	0.592	0.566	0.433	چىلى
chill	0.837	0.206	0.482	chill
chilled	0.521	0.340	0.482	سوۋۇتۇلغان
chilling	0.208	0.850	0.358	سوۋۇتۇش
chilly	0.329	0.459	0.408	chilly
