English Word	Valence	Arousal	Dominance	Scots-Gaelic Word
ego	0.328	0.576	0.593	ego
egomaniac	0.133	0.708	0.596	egomaniac
egotistical	0.156	0.667	0.363	egotisticeach
egregious	0.150	0.716	0.442	uamhasach
egress	0.490	0.429	0.287	a-mach
eight	0.540	0.199	0.315	ochd
eighteen	0.523	0.340	0.404	ochd-deug
eighth	0.531	0.226	0.380	an t-ochdamh
eighty	0.500	0.300	0.453	ochdad
ejaculate	0.604	0.896	0.604	ejaculate
ejaculation	0.615	0.893	0.547	ejaculation
eject	0.434	0.656	0.559	cuir a-mach
ejection	0.188	0.836	0.554	cur-a-mach
elaborate	0.561	0.367	0.680	mion-mhìnichte
elaboration	0.708	0.500	0.598	mionnachadh
elan	0.562	0.367	0.500	ealan
elapse	0.514	0.440	0.455	seachainn
elapsed	0.583	0.451	0.493	chaidh seachad
elastic	0.656	0.518	0.385	elasta
elasticity	0.635	0.452	0.582	elasticity
elated	0.792	0.960	0.725	togarrach
elation	0.740	0.853	0.623	aoibhneas
elbow	0.448	0.133	0.254	uilinn
eld	0.471	0.292	0.451	eld
elder	0.448	0.153	0.462	èildear
elders	0.602	0.260	0.441	seanairean
eldest	0.625	0.471	0.741	bu shine
elect	0.667	0.554	0.661	taghta
election	0.625	0.519	0.651	taghadh
elective	0.612	0.380	0.623	taghta
elector	0.479	0.520	0.766	neach-taghaidh
electoral	0.490	0.631	0.602	taghaidh
electorate	0.560	0.380	0.696	luchd-taghaidh
electric	0.458	0.708	0.512	dealain
electric slide	0.542	0.660	0.536	sleamhnag dealain
electrical	0.531	0.620	0.688	dealain
electrician	0.449	0.590	0.620	dealanach
electricity	0.698	0.810	0.733	dealan
electrify	0.520	0.769	0.737	dealanaich
electrocute	0.271	0.731	0.555	dealanach
electrocution	0.177	0.844	0.692	dealan
electromagnetic	0.531	0.632	0.683	electromagnetic
electron	0.520	0.455	0.560	dealanach
electronic	0.571	0.490	0.704	eileagtronaigeach
electronics	0.708	0.545	0.574	eileagtronaigeach
elegance	0.918	0.396	0.824	eireachdas
elegant	0.865	0.500	0.685	eireachdail
element	0.531	0.259	0.481	eileamaid
elemental	0.627	0.306	0.711	eileamaideach
elementary	0.594	0.286	0.686	bunasach
elements	0.510	0.312	0.462	eileamaidean
elephant	0.531	0.510	0.615	ailbhean
elevate	0.812	0.500	0.804	àrdaich
elevated	0.704	0.594	0.620	àrdaichte
elevation	0.760	0.759	0.711	àirde
elevator	0.562	0.604	0.676	àrdaichear
eleven	0.449	0.250	0.430	aon-deug
eleventh	0.594	0.329	0.357	an aon-deugamh
elf	0.460	0.457	0.315	elf
elicit	0.406	0.594	0.658	faghail
eligible	0.750	0.400	0.518	ion-roghnach
eliminate	0.265	0.670	0.324	cuir às
elimination	0.052	0.667	0.431	cur às
elite	0.688	0.704	0.737	mionlach
elitist	0.500	0.606	0.656	elitist
elixir	0.708	0.587	0.604	elixir
elk	0.439	0.337	0.340	eilc
ell	0.469	0.418	0.373	uill
ellipse	0.531	0.410	0.479	ellipse
ellipsis	0.653	0.358	0.314	ellipsis
ellipsoid	0.500	0.440	0.419	ellipsoid
elliptic	0.500	0.431	0.528	elliptic
elliptical	0.338	0.385	0.490	elliptical
elm	0.510	0.345	0.321	leamhan
elongate	0.583	0.385	0.540	fada
elongation	0.561	0.500	0.500	leudachadh
elope	0.396	0.694	0.528	elope
eloquence	0.729	0.490	0.804	deasboireachd
eloquent	0.870	0.680	0.741	deas-chainnteach
elucidate	0.583	0.509	0.518	soillsich
elucidation	0.650	0.574	0.586	soillseachadh
elude	0.438	0.521	0.464	seachain
elusive	0.229	0.615	0.466	do-ruigsinneach
emaciated	0.103	0.541	0.151	maothachadh
email	0.698	0.230	0.456	post-d
emanate	0.653	0.464	0.554	eiridh
emancipation	0.704	0.684	0.763	saoradh
embankment	0.677	0.438	0.436	uchdan
embargo	0.229	0.564	0.443	embargo
embark	0.541	0.550	0.619	tòiseachadh
embarrass	0.082	0.667	0.364	nàire
embarrassed	0.184	0.560	0.246	nàire
embarrassing	0.226	0.809	0.225	nàire
embarrassment	0.143	0.685	0.226	nàire
embassy	0.622	0.333	0.758	ambasaid
embattled	0.235	0.724	0.421	strìochdadh
embed	0.417	0.554	0.670	steach
embellish	0.842	0.500	0.769	sgeadaich
embellishment	0.673	0.449	0.405	sgeadachadh
embers	0.490	0.481	0.508	easan
embezzlement	0.143	0.827	0.435	èisdeachd
embezzler	0.146	0.823	0.491	ebezzler
emblem	0.640	0.330	0.754	suaicheantas
emblematic	0.771	0.459	0.798	suaicheanta
embodiment	0.562	0.690	0.663	eireachdas
embolism	0.104	0.660	0.302	embolism
embossed	0.531	0.481	0.500	boglach
embrace	0.949	0.490	0.452	gabhail ris
embroidered	0.677	0.279	0.407	grèisichte
embroidery	0.781	0.358	0.280	eideadh
embroiled	0.337	0.721	0.420	embroiled
embryo	0.673	0.469	0.453	embryo
embryonic	0.573	0.453	0.598	subhach
emcee	0.694	0.577	0.691	eisdeachd
emerald	0.740	0.363	0.726	emerald
emerge	0.602	0.594	0.731	nochd
emergence	0.276	0.857	0.676	nochdadh
emergency	0.200	0.900	0.571	èiginn
emeritus	0.633	0.402	0.735	emeritus
emery	0.469	0.583	0.472	emery
emetophobia	0.243	0.620	0.403	emetophobia
emigrate	0.356	0.812	0.508	eilthireachd
emigration	0.564	0.664	0.432	eilthireachd
eminence	0.816	0.644	0.837	uaisleachd
eminent	0.740	0.620	0.830	ainmeil
eminently	0.694	0.607	0.773	gu h-àraidh
emir	0.510	0.396	0.621	emir
emissary	0.562	0.462	0.636	emissary
emission	0.510	0.453	0.591	sgaoilidh
emit	0.638	0.445	0.510	leigeil a-mach
emo	0.354	0.314	0.226	Ioma
emotion	0.693	0.873	0.696	faireachdainn
emotional	0.779	0.714	0.526	faireachail
emotive	0.917	0.741	0.525	faireachdail
empathic	0.760	0.570	0.558	co-fhaireachdainn
empathize	0.802	0.591	0.660	co-fhaireachdainn
empathy	0.729	0.349	0.545	co-fhaireachdainn
emperor	0.651	0.704	0.962	ìmpire
emphasis	0.653	0.745	0.816	cudrom
emphasize	0.510	0.605	0.769	cuideam
emphatic	0.615	0.707	0.732	emphatic
emphysema	0.156	0.556	0.336	emphysema
empire	0.688	0.730	0.944	ìmpireachd
empirical	0.500	0.510	0.574	empirigeach
empiricism	0.583	0.460	0.547	empiricachd
employ	0.729	0.481	0.702	fastadh
employee	0.582	0.361	0.481	neach-obrach
employer	0.663	0.518	0.767	fastaiche
employment	0.750	0.594	0.611	cosnadh
emporium	0.622	0.556	0.724	emporium
empower	0.694	0.779	0.891	cumhachd
empress	0.716	0.669	0.855	ìmpire
emptiness	0.177	0.173	0.184	falamhachd
emption	0.570	0.406	0.458	falamh
empty	0.188	0.183	0.081	falamh
emu	0.420	0.358	0.330	emu
emulate	0.438	0.340	0.549	aithris
emulsion	0.562	0.431	0.453	emulsion
enable	0.760	0.491	0.782	comas a thoirt
enablement	0.600	0.451	0.750	comasachadh
enact	0.680	0.564	0.598	achd
enactment	0.667	0.612	0.769	achd
enamel	0.594	0.280	0.306	cruan
encampment	0.677	0.573	0.605	campa
enchant	0.873	0.650	0.643	draoidheil
enchanted	0.917	0.633	0.687	draoidheil
enchanting	0.917	0.681	0.708	draoidheil
enchantment	0.816	0.775	0.647	draoidheachd
enchantress	0.398	0.663	0.479	draoidheachd
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	cuairteachadh
encircling	0.510	0.368	0.557	a' cuairteachadh
enclave	0.531	0.333	0.580	cuartachadh
enclose	0.531	0.477	0.473	cuartachadh
enclosure	0.417	0.375	0.490	cuairteachadh
encode	0.490	0.500	0.734	còdachadh
encomiastic	0.541	0.500	0.670	eu-comasach
encomium	0.541	0.451	0.519	comuinn
encompass	0.520	0.298	0.661	gabhail a-steach
encore	0.510	0.423	0.500	encore
encounter	0.865	0.702	0.689	coinneamh
encourage	0.896	0.580	0.704	brosnachadh
encouraged	0.953	0.702	0.657	air a bhrosnachadh
encouragement	0.865	0.700	0.759	brosnachadh
encouraging	0.823	0.583	0.755	brosnachadh
encroach	0.302	0.742	0.702	buaireadh
encroachment	0.255	0.736	0.620	buaireadh
encrypt	0.500	0.387	0.500	crioptachadh
encryption	0.547	0.415	0.474	crioptachadh
encumbrance	0.300	0.521	0.480	eirich
encyclopedia	0.679	0.320	0.645	leabhar mòr-eòlais
end	0.198	0.349	0.298	crioch
end table	0.541	0.480	0.482	clàr crìochnachaidh
endanger	0.115	0.885	0.404	cunnart
endangered	0.083	0.885	0.430	ann an cunnart
endangerment	0.167	0.873	0.519	cunnart
endearing	0.663	0.434	0.604	criochnach
endeavor	0.677	0.755	0.765	dìchioll
ended	0.302	0.500	0.500	criochnaich
endemic	0.406	0.480	0.483	endemic
endgame	0.449	0.538	0.526	deireadh-chluiche
ending	0.344	0.365	0.492	a' criochnachadh
endless	0.347	0.462	0.472	gun chrìoch
endocarditis	0.235	0.587	0.412	endocarditis
endorse	0.592	0.392	0.472	daingneachadh
endorsement	0.834	0.360	0.611	dearbhadh
endow	0.684	0.398	0.609	bhuilich
endowed	0.755	0.510	0.769	bhuilich
endowment	0.685	0.578	0.647	buileachadh
endpapers	0.542	0.400	0.339	pàipearan deireannach
endpoint	0.311	0.410	0.448	crìoch-phuing
endurance	0.592	0.745	0.760	seasmhachd
endure	0.320	0.610	0.574	fulaing
enduring	0.633	0.459	0.768	maireannach
enema	0.281	0.673	0.268	nàmhaid
enemy	0.135	0.794	0.591	nàmhaid
energetic	0.847	0.868	0.902	shunndach
energize	0.792	0.810	0.875	spionnadh
energy	0.944	0.725	0.868	lùth
enforce	0.583	0.644	0.836	cur an gnìomh
enforcement	0.594	0.571	0.736	cur an gnìomh
enforcer	0.398	0.612	0.639	fear-èigneachaidh
engage	0.771	0.796	0.713	an sàs
engaged	0.837	0.596	0.849	an sàs
engagement	0.906	0.587	0.807	sàs
engaging	0.948	0.612	0.862	an sàs
engender	0.561	0.741	0.688	gineadh
engine	0.615	0.644	0.676	einnsean
engineer	0.719	0.500	0.875	innleadair
engineering	0.735	0.471	0.836	innleadaireachd
engrave	0.486	0.442	0.517	gràbhaladh
engraved	0.542	0.375	0.473	gràbhaladh
engraver	0.552	0.417	0.500	gràbhalaiche
engraving	0.604	0.430	0.442	gràbhaladh
engrossed	0.541	0.471	0.304	an sàs
engrossing	0.698	0.702	0.750	inntinneach
engulf	0.398	0.573	0.500	engulf
enhance	0.802	0.578	0.814	àrdachadh
enhancement	0.877	0.490	0.741	àrdachadh
enigma	0.513	0.700	0.500	enigma
enigmatic	0.469	0.589	0.679	enigmatic
enjoin	0.594	0.454	0.732	innis
enjoy	0.959	0.725	0.750	tlachd
enjoyable	1.000	0.481	0.605	tlachdmhor
enjoying	0.908	0.759	0.759	a' gabhail tlachd
enjoyment	0.930	0.612	0.716	tlachd
enlarge	0.735	0.606	0.688	meudaich
enlarged	0.673	0.490	0.518	meudaichte
enlargement	0.677	0.577	0.616	meudachadh
enlighten	0.729	0.549	0.667	soillsich
enlightened	0.956	0.566	0.700	soillsichte
enlightening	0.825	0.729	0.727	soillseachadh
enlightenment	0.837	0.549	0.619	soillseachadh
enlist	0.510	0.370	0.483	liostaich
enliven	0.833	0.683	0.702	beothachadh
enmity	0.094	0.706	0.382	naimhdeas
ennui	0.406	0.461	0.316	rainn
enormity	0.594	0.648	0.848	uamhas
enormous	0.677	0.665	0.886	uabhasach
enormously	0.760	0.694	0.872	gu mòr
enraged	0.083	0.962	0.636	feargach
enrich	0.896	0.731	0.705	saidhbhreas
enroll	0.696	0.530	0.611	clàraich
enrollment	0.667	0.391	0.698	clàradh
ensemble	0.697	0.418	0.586	ensemble
ensign	0.663	0.270	0.545	suaicheantas
enslave	0.073	0.800	0.481	tràilleachd
enslaved	0.104	0.720	0.321	tràilleil
enslavement	0.086	0.635	0.302	tràilleachd
ensue	0.698	0.363	0.332	leantuinn
ensure	0.737	0.406	0.759	dèanamh cinnteach
entail	0.484	0.630	0.645	a-steach
entangled	0.319	0.578	0.357	an sàs
entanglement	0.302	0.765	0.248	dol an sàs
enter	0.708	0.470	0.500	steach
enterprise	0.760	0.392	0.754	iomairt
enterprising	0.865	0.784	0.875	iomairteach
entertain	0.918	0.684	0.598	dibhearsain
entertained	0.902	0.644	0.712	aoigheachd
entertainer	0.888	0.709	0.759	aoigheachd
entertaining	0.833	0.658	0.660	aoigheachd
entertainment	0.847	0.750	0.569	cur-seachad
enthralled	0.745	0.602	0.615	air a mhealladh
enthusiasm	0.938	0.816	0.798	dealas
enthusiast	0.867	0.810	0.875	dealasach
enthusiastic	0.885	0.868	0.848	dealasach
entice	0.521	0.887	0.518	mhealladh
entire	0.689	0.462	0.698	slàn
entirety	0.854	0.460	0.804	gu h-iomlan
entitle	0.729	0.333	0.827	còir
entity	0.542	0.402	0.670	eintiteas
entomology	0.438	0.396	0.545	entomology
entourage	0.491	0.567	0.467	entourage
entrails	0.365	0.538	0.387	steach
entrance	0.698	0.393	0.526	slighe a-steach
entrapment	0.177	0.604	0.441	mealladh
entreat	0.304	0.560	0.462	impidh
entree	0.615	0.477	0.624	steach
entrepreneur	0.885	0.704	0.920	neach-tionnsgain
entrust	0.693	0.310	0.630	earbsa
entry	0.552	0.353	0.602	inntrig
enumerate	0.521	0.390	0.491	àireamh
enumeration	0.548	0.327	0.534	àireamhachd
envelope	0.604	0.275	0.377	cèis
envious	0.110	0.754	0.341	farmad
environ	0.724	0.221	0.433	àrainneachd
environment	0.646	0.194	0.528	àrainneachd
environmental	0.633	0.313	0.664	àrainneachdail
environs	0.561	0.288	0.345	mun cuairt
envision	0.625	0.449	0.483	sealladh
envoy	0.531	0.375	0.586	teachdaire
envy	0.240	0.704	0.427	farmad
enzyme	0.562	0.277	0.481	einnsein
ephemeral	0.500	0.312	0.377	sealach
ephemeris	0.640	0.380	0.528	ephemeris
epic	0.857	0.713	0.830	epic
epidemic	0.092	0.830	0.611	galar-sgaoilte
epidermis	0.418	0.490	0.426	epidermis
epidural	0.347	0.452	0.525	epidural
epilepsy	0.061	0.854	0.250	tinneas tuiteamach
epileptic	0.146	0.794	0.340	epileptic
epilogue	0.582	0.353	0.466	epilogue
epiphany	0.625	0.596	0.526	epiphany
episcopal	0.542	0.314	0.750	easbuig
episode	0.719	0.367	0.509	sgireachd
episodic	0.531	0.542	0.462	episodic
epistle	0.604	0.417	0.535	litir
epitaph	0.276	0.323	0.442	epitaph
epithet	0.530	0.394	0.524	epithet
epitome	0.510	0.500	0.667	epitome
epoch	0.553	0.343	0.797	epoch
equal	0.781	0.178	0.407	co-ionnan
equality	0.898	0.305	0.716	co-ionannachd
equalization	0.625	0.422	0.423	co-ionannachd
equalize	0.738	0.281	0.574	chothromaich
equalizer	0.604	0.451	0.586	cothromaiche
equally	0.625	0.264	0.436	co-ionann
equate	0.724	0.382	0.624	co-ionann
equation	0.479	0.384	0.608	co-aontar
equator	0.550	0.302	0.462	crios-meadhain
equatorial	0.550	0.271	0.593	crios-meadhain
equestrian	0.633	0.519	0.417	marcachd
equidistant	0.375	0.406	0.509	co-ionann
equilibration	0.724	0.317	0.593	cothromachaidh
equilibrium	0.676	0.235	0.620	co-chothromachd
equip	0.650	0.519	0.713	uidheamachadh
equipment	0.745	0.495	0.700	uidheam
equitable	0.714	0.286	0.750	cothromach
equity	0.792	0.304	0.614	cothromachd
equivalence	0.663	0.250	0.582	co-ionnanachd
equivalent	0.646	0.347	0.500	co-ionann
equivocal	0.327	0.482	0.257	aon-fhillte
era	0.615	0.407	0.449	linn
eradicate	0.260	0.690	0.686	cur às
eradication	0.208	0.788	0.685	cur às
erase	0.240	0.260	0.321	sguab
eraser	0.458	0.209	0.311	sgriosadair
erasure	0.281	0.360	0.265	sgrios
ere	0.479	0.312	0.377	eadh
erect	0.643	0.885	0.627	a thogail
erectile	0.542	0.796	0.625	erectile
erection	0.640	0.856	0.695	togail
ergo	0.385	0.400	0.385	ergo
erode	0.208	0.643	0.580	bleith
erosion	0.312	0.770	0.465	bleith
erotic	0.625	0.946	0.683	eirmseach
erotica	0.781	0.870	0.579	erotica
err	0.146	0.660	0.236	mearachd
errand	0.385	0.519	0.482	mearachd
errant	0.205	0.602	0.375	mearachd
erratic	0.271	0.503	0.217	mearachdach
erratum	0.327	0.528	0.436	mearachd
erroneous	0.057	0.561	0.245	mearachdach
error	0.094	0.559	0.198	mearachd
erst	0.277	0.422	0.357	roimhe
erudite	0.719	0.434	0.774	amaideach
erupt	0.188	0.820	0.818	sprèadhadh
eruption	0.156	0.913	0.733	sprèadhadh
escalade	0.480	0.724	0.442	escalade
escalate	0.653	0.714	0.728	àrdachadh
escalating	0.646	0.724	0.518	a' sìor fhàs
escalation	0.571	0.807	0.582	àrdachadh
escalator	0.500	0.530	0.518	sreapadan
escape	0.367	0.765	0.448	teich
escaped	0.365	0.755	0.518	theich
escarpment	0.406	0.553	0.470	sgarlaid
eschew	0.184	0.438	0.370	seachain
escort	0.729	0.480	0.608	coimhdeachd
escrow	0.449	0.520	0.613	sgread
esophagus	0.429	0.454	0.464	esophagus
esoteric	0.500	0.676	0.545	esoteric
especial	0.827	0.419	0.794	sònraichte
espionage	0.312	0.750	0.620	spionadh
espouse	0.802	0.529	0.598	cèile
espresso	0.677	0.620	0.508	espresso
esprit	0.552	0.431	0.407	esprit
esquire	0.604	0.542	0.518	eistear
essay	0.559	0.411	0.530	aiste
essayist	0.656	0.460	0.462	neach-aiste
essence	0.663	0.369	0.575	brìgh
essential	0.812	0.405	0.759	riatanach
essentially	0.750	0.373	0.802	gu bunaiteach
establish	0.708	0.500	0.688	stèidheachadh
established	0.796	0.394	0.694	stèidhichte
establishment	0.690	0.398	0.631	stèidheachadh
estate	0.653	0.385	0.647	oighreachd
esteem	0.745	0.380	0.679	meas
esteemed	0.694	0.418	0.531	meas
esthetic	0.635	0.360	0.558	maiseach
estimable	0.796	0.408	0.630	measarra
estimate	0.719	0.469	0.517	tuairmse
estimation	0.740	0.480	0.589	tuairmse
estoppel	0.354	0.459	0.482	uchd
estranged	0.156	0.382	0.377	coimheach
estrogen	0.580	0.500	0.425	estrogen
estuary	0.469	0.278	0.482	inbhir
etch	0.510	0.367	0.598	etch
etching	0.567	0.491	0.575	eisdeachd
eternal	0.854	0.409	0.843	shiorruidh
eternity	0.765	0.520	0.911	sìorraidheachd
ethanol	0.333	0.410	0.534	ethanol
ether	0.490	0.306	0.412	eitear
ethereal	0.520	0.419	0.518	ethereal
ethic	0.786	0.260	0.791	beusachd
ethical	0.854	0.324	0.634	beusach
ethics	0.658	0.296	0.731	beusachd
ethnic	0.583	0.373	0.555	cinneachail
ethnography	0.571	0.373	0.549	eitneòlas
etiology	0.500	0.385	0.639	etiology
etiquette	0.604	0.350	0.421	etiquette
etymology	0.531	0.370	0.529	beul-aithris
eucalyptus	0.602	0.308	0.418	eucalyptus
euchre	0.470	0.459	0.442	euchre
eugenics	0.448	0.530	0.518	eugenics
eulogistic	0.740	0.623	0.694	molach
eulogium	0.542	0.482	0.655	eulogium
eulogize	0.850	0.518	0.679	molaidh
eulogy	0.625	0.443	0.667	molaidh
euphemism	0.418	0.453	0.491	euphemism
euphoria	0.769	0.955	0.648	euphoria
euphoric	0.745	0.904	0.588	euphoric
euro	0.680	0.441	0.521	euro
euthanasia	0.229	0.716	0.325	euthanasia
evacuate	0.354	0.792	0.314	tha mi a' falamhachadh
evacuation	0.160	0.755	0.582	falmhachadh
evade	0.304	0.490	0.342	seachain
evaluate	0.663	0.640	0.649	measadh
evaluation	0.542	0.667	0.764	measadh
evanescence	0.527	0.519	0.458	evanescence
evangelical	0.602	0.389	0.602	soisgeulach
evangelist	0.582	0.464	0.702	soisgeulaiche
evangelistic	0.660	0.375	0.612	soisgeulach
evaporate	0.357	0.469	0.402	falmhachadh
evaporation	0.556	0.346	0.388	falmhachadh
evasion	0.229	0.510	0.418	seachain
evasive	0.117	0.596	0.425	seachantach
eve	0.612	0.378	0.440	feasgar
evening	0.458	0.185	0.318	feasgar
evens	0.592	0.430	0.457	eadhon
event	0.745	0.673	0.664	tachartas
eventful	0.543	0.837	0.510	tachasach
eventual	0.633	0.459	0.413	mu dheireadh
eventuality	0.469	0.627	0.527	mu dheireadh thall
evergreen	0.729	0.471	0.546	sìor-uaine
everlasting	0.740	0.413	0.809	sìorruidh
evermore	0.677	0.450	0.403	gu bràth
everyday	0.740	0.392	0.472	gach latha
everyman	0.522	0.333	0.535	a h-uile duine
evict	0.042	0.632	0.377	fuadach
eviction	0.185	0.731	0.455	fuadach
evidence	0.500	0.500	0.778	fianais
evident	0.633	0.444	0.664	follaiseach
evidentiary	0.448	0.541	0.717	fianais
evil	0.040	0.827	0.545	olc
evoke	0.438	0.341	0.500	dhùisg
evolution	0.781	0.657	0.854	mean-fhàs
evolutionary	0.796	0.673	0.825	mean-fhàs
evolve	0.655	0.692	0.896	mean-fhàs
ewe	0.429	0.216	0.277	caora
ex	0.250	0.520	0.306	ex
exacerbate	0.323	0.776	0.580	fàs nas miosa
exacerbation	0.344	0.810	0.480	fàsachadh
exact	0.719	0.354	0.685	cruinn
exacting	0.448	0.673	0.767	mionaideach
exaggerate	0.193	0.760	0.529	àibheiseachd
exaggerated	0.224	0.885	0.732	àibheiseachadh
exaggeration	0.312	0.775	0.582	àibheiseachd
exalt	0.656	0.750	0.745	àrdaich
exaltation	0.594	0.892	0.673	ardachadh
exalted	0.676	0.845	0.696	àrdaichte
exam	0.479	0.663	0.577	deuchainn
examination	0.378	0.657	0.679	sgrùdadh
examine	0.615	0.623	0.786	sgrùdadh
examiner	0.406	0.575	0.812	sgrùdaire
example	0.542	0.337	0.510	eisimpleir
exasperated	0.229	0.816	0.377	air an sàrachadh
exasperation	0.214	0.833	0.483	exasperation
excavate	0.583	0.613	0.635	cladhaich
excavation	0.540	0.644	0.527	cladhadh
excavator	0.427	0.673	0.649	cladhadair
exceed	0.500	0.827	0.586	thairis
exceeding	0.500	0.802	0.668	a' dol thairis air
excel	0.561	0.363	0.466	excel
excellence	0.958	0.620	0.907	sàr-mhathais
excellent	0.970	0.587	0.870	sàr-mhath
excelsior	0.700	0.625	0.611	excelsior
excepting	0.408	0.413	0.526	ach a-mhàin
exception	0.469	0.600	0.544	eisgeachd
exceptional	0.806	0.740	0.933	air leth
excerpt	0.437	0.367	0.543	earrann
excess	0.385	0.889	0.712	cus
excessive	0.417	0.731	0.601	cus
excessively	0.449	0.882	0.716	cus
exchange	0.740	0.569	0.491	iomlaid
excise	0.448	0.561	0.577	gàidhlig
excision	0.260	0.480	0.519	excision
excitability	0.906	0.910	0.724	excitability
excitable	0.803	0.939	0.629	togarrach
excitation	0.792	0.958	0.750	excitation
excite	0.823	0.950	0.668	togarrach
excited	0.908	0.931	0.709	air bhioran
excitement	0.896	0.684	0.731	othail
exciting	0.950	0.792	0.789	brosnachail
exclaim	0.635	0.711	0.639	eirich
exclamation	0.612	0.745	0.598	clisgeadh
exclude	0.292	0.500	0.530	toirmeasg
excluded	0.061	0.540	0.134	air an dùnadh a-mach
excluding	0.271	0.550	0.324	às aonais
exclusion	0.240	0.530	0.389	toirmeasg
exclusive	0.792	0.630	0.653	toirmeasgach
excrement	0.041	0.558	0.221	slugadh
excretion	0.285	0.650	0.457	excretion
excruciating	0.083	0.837	0.345	togarrach
excursion	0.625	0.714	0.627	cuairt
excuse	0.240	0.696	0.318	leisgeul
exec	0.640	0.352	0.769	exec
execute	0.327	0.708	0.769	cur gu bàs
execution	0.160	0.811	0.713	cur gu bàs
executioner	0.235	0.816	0.676	fear gu bàs
executive	0.704	0.449	0.894	oifigear
executor	0.365	0.755	0.759	neach-tiomnaidh
exegesis	0.458	0.472	0.491	exegesis
exemplar	0.844	0.537	0.625	eisimpleireach
exemplary	0.833	0.343	0.729	eisimpleireach
exemplify	0.735	0.506	0.783	eisimpleir
exempt	0.588	0.455	0.664	saoradh
exemption	0.531	0.578	0.627	saoradh
exercise	0.750	0.789	0.625	eacarsaich
exert	0.694	0.735	0.806	eirich
exertion	0.663	0.755	0.717	oidhirp
exhale	0.542	0.490	0.411	exhale
exhaust	0.546	0.710	0.337	eirich
exhausted	0.123	0.423	0.202	sgìth
exhaustion	0.366	0.633	0.269	sgìths
exhaustive	0.388	0.635	0.604	iomlan
exhibit	0.688	0.633	0.708	taisbeanadh
exhibition	0.698	0.590	0.531	taisbeanadh
exhilarated	0.890	0.963	0.759	air fògradh
exhilarating	0.917	0.823	0.810	togarrach
exhilaration	0.792	0.868	0.783	fògradh
exhort	0.378	0.660	0.745	earalachadh
exhortation	0.531	0.624	0.580	earalachadh
exhumation	0.177	0.586	0.473	exhumation
exhume	0.184	0.627	0.452	cuir às
exigent	0.385	0.611	0.792	eibhinn
exile	0.184	0.630	0.483	fògarrach
exist	0.857	0.421	0.788	ann
existence	0.760	0.513	0.771	bith ann
existent	0.635	0.490	0.635	ann
existential	0.583	0.510	0.638	bith-bhuan
existing	0.802	0.344	0.750	gnàthaichte
exit	0.370	0.353	0.399	mach
exodus	0.286	0.663	0.567	eisdeachd
exonerate	0.592	0.500	0.538	saoradh
exorbitant	0.398	0.865	0.825	anabarrach
exorcism	0.163	0.980	0.557	exorcism
exorcist	0.219	0.906	0.716	exorcist
exotic	0.840	0.711	0.727	coimheach
expand	0.792	0.559	0.686	leudachadh
expanded	0.760	0.406	0.689	leudachadh
expanse	0.594	0.529	0.689	leud
expansion	0.776	0.618	0.787	leudachadh
expansive	0.708	0.650	0.778	farsaing
expatriate	0.265	0.764	0.391	expatriate
expect	0.469	0.327	0.377	dùil
expectance	0.552	0.724	0.660	dùil
expectancy	0.581	0.622	0.558	dùil
expectant	0.708	0.650	0.474	dùileach
expectation	0.771	0.690	0.707	dùil
expected	0.729	0.412	0.545	dùil
expecting	0.561	0.450	0.302	an dùil
expediency	0.604	0.443	0.703	goireasachd
expedient	0.885	0.461	0.454	iomchaidh
expedite	0.571	0.858	0.798	luaths
expedition	0.735	0.802	0.620	turas
expeditious	0.602	0.645	0.773	luath
expel	0.281	0.725	0.452	cur as
expendable	0.479	0.490	0.423	caitheamh
expenditure	0.250	0.608	0.603	caiteachas
expense	0.317	0.451	0.377	cosgais
expenses	0.240	0.633	0.396	cosgaisean
expensive	0.323	0.540	0.530	daor
experience	0.827	0.618	0.905	eòlas
experienced	0.771	0.613	0.914	eòlach
experiences	0.793	0.647	0.795	eòlasan
experiment	0.479	0.720	0.675	deuchainn
experimental	0.417	0.764	0.396	deuchainneach
experimentation	0.637	0.769	0.767	deuchainneachd
experimenter	0.708	0.710	0.700	neach-deuchainn
expert	0.776	0.646	0.911	eòlaiche
expertise	0.792	0.589	0.925	eòlais
expiration	0.265	0.539	0.463	crìonadh
expire	0.573	0.745	0.702	dol a-mach
expired	0.198	0.394	0.200	dh'fhalbh
expiry	0.194	0.434	0.382	criochnachadh
explain	0.719	0.517	0.736	mìnich
explanation	0.615	0.610	0.825	mìneachadh
explanatory	0.573	0.433	0.688	mìneachail
expletive	0.357	0.567	0.536	farsaing
explication	0.510	0.445	0.602	mìneachadh
explicit	0.562	0.694	0.734	follaiseach
explode	0.277	0.885	0.773	spreadhadh
exploit	0.312	0.878	0.660	brath
exploitation	0.156	0.920	0.718	brath
exploration	0.594	0.650	0.773	rannsachadh
exploratory	0.653	0.690	0.698	rannsachail
explore	0.776	0.660	0.727	rannsaich
explorer	0.729	0.663	0.714	rannsachair
explosion	0.167	0.960	0.767	spreadhadh
explosions	0.123	0.860	0.594	spreadhaidhean
explosive	0.156	0.943	0.663	spreadhach
expo	0.610	0.562	0.500	expo
exponent	0.529	0.510	0.845	neach-aithris
exponential	0.704	0.588	0.763	eas-chruthach
export	0.567	0.661	0.755	às-mhalairt
