English Word	Valence	Arousal	Dominance	Javanese Word
exciting	0.950	0.792	0.789	narik kawigaten
exclaim	0.635	0.711	0.639	nguwuh
exclamation	0.612	0.745	0.598	panguwuh
exclude	0.292	0.500	0.530	ora kalebu
excluded	0.061	0.540	0.134	dipun tilar
excluding	0.271	0.550	0.324	ora kalebu
exclusion	0.240	0.530	0.389	pangecualian
exclusive	0.792	0.630	0.653	eksklusif
excrement	0.041	0.558	0.221	kotoran
excretion	0.285	0.650	0.457	ekskresi
excruciating	0.083	0.837	0.345	nggegirisi
excursion	0.625	0.714	0.627	dolan
excuse	0.240	0.696	0.318	ngapura
exec	0.640	0.352	0.769	eksekusi
execute	0.327	0.708	0.769	nglakokaké
execution	0.160	0.811	0.713	eksekusi
executioner	0.235	0.816	0.676	algojo
executive	0.704	0.449	0.894	eksekutif
executor	0.365	0.755	0.759	pelaksana
exegesis	0.458	0.472	0.491	eksegesis
exemplar	0.844	0.537	0.625	teladan
exemplary	0.833	0.343	0.729	teladan
exemplify	0.735	0.506	0.783	tuladha
exempt	0.588	0.455	0.664	dibebasake
exemption	0.531	0.578	0.627	bebasan
exercise	0.750	0.789	0.625	olahraga
exert	0.694	0.735	0.806	ngupayakake
exertion	0.663	0.755	0.717	gaweyan
exhale	0.542	0.490	0.411	ambegan
exhaust	0.546	0.710	0.337	kesel
exhausted	0.123	0.423	0.202	kesel
exhaustion	0.366	0.633	0.269	kekeselen
exhaustive	0.388	0.635	0.604	jangkep
exhibit	0.688	0.633	0.708	pameran
exhibition	0.698	0.590	0.531	pameran
exhilarated	0.890	0.963	0.759	bungah-bungah
exhilarating	0.917	0.823	0.810	nyenengke
exhilaration	0.792	0.868	0.783	kasenengan
exhort	0.378	0.660	0.745	pitutur
exhortation	0.531	0.624	0.580	pitutur
exhumation	0.177	0.586	0.473	exhumation
exhume	0.184	0.627	0.452	ngubur
exigent	0.385	0.611	0.792	eksigent
exile	0.184	0.630	0.483	pambuwangan
exist	0.857	0.421	0.788	ana
existence	0.760	0.513	0.771	orane
existent	0.635	0.490	0.635	ana
existential	0.583	0.510	0.638	eksistensial
existing	0.802	0.344	0.750	ana
exit	0.370	0.353	0.399	metu
exodus	0.286	0.663	0.567	eksodus
exonerate	0.592	0.500	0.538	exonerate
exorbitant	0.398	0.865	0.825	exorbitant
exorcism	0.163	0.980	0.557	eksorsisme
exorcist	0.219	0.906	0.716	pengusir setan
exotic	0.840	0.711	0.727	eksotik
expand	0.792	0.559	0.686	ngambakne
expanded	0.760	0.406	0.689	ditambahi
expanse	0.594	0.529	0.689	jembar
expansion	0.776	0.618	0.787	ekspansi
expansive	0.708	0.650	0.778	jembar
expatriate	0.265	0.764	0.391	wong asing
expect	0.469	0.327	0.377	nyana
expectance	0.552	0.724	0.660	pangarep-arep
expectancy	0.581	0.622	0.558	pangarep-arep
expectant	0.708	0.650	0.474	ngarep-arep
expectation	0.771	0.690	0.707	pangarep-arep
expected	0.729	0.412	0.545	samesthine
expecting	0.561	0.450	0.302	ngarep-arep
expediency	0.604	0.443	0.703	kaprigelan
expedient	0.885	0.461	0.454	prayoga
expedite	0.571	0.858	0.798	nyepetake
expedition	0.735	0.802	0.620	ekspedisi
expeditious	0.602	0.645	0.773	cepet
expel	0.281	0.725	0.452	ngusir
expendable	0.479	0.490	0.423	bisa dibuwang
expenditure	0.250	0.608	0.603	pangeluaran
expense	0.317	0.451	0.377	ragad
expenses	0.240	0.633	0.396	biaya
expensive	0.323	0.540	0.530	larang
experience	0.827	0.618	0.905	pengalaman
experienced	0.771	0.613	0.914	nduwe pengalaman
experiences	0.793	0.647	0.795	pengalaman
experiment	0.479	0.720	0.675	eksperimen
experimental	0.417	0.764	0.396	eksperimen
experimentation	0.637	0.769	0.767	eksperimen
experimenter	0.708	0.710	0.700	eksperimen
expert	0.776	0.646	0.911	pakar
expertise	0.792	0.589	0.925	keahlian
expiration	0.265	0.539	0.463	kadaluwarsa
expire	0.573	0.745	0.702	kadaluwarsa
expired	0.198	0.394	0.200	kadaluwarsa
expiry	0.194	0.434	0.382	kadaluwarsa
explain	0.719	0.517	0.736	Nerangke
explanation	0.615	0.610	0.825	panjelasan
explanatory	0.573	0.433	0.688	panjelasan
expletive	0.357	0.567	0.536	expletive
explication	0.510	0.445	0.602	panjelasan
explicit	0.562	0.694	0.734	eksplisit
explode	0.277	0.885	0.773	njeblug
exploit	0.312	0.878	0.660	ngeksploitasi
exploitation	0.156	0.920	0.718	eksploitasi
exploration	0.594	0.650	0.773	eksplorasi
exploratory	0.653	0.690	0.698	eksplorasi
explore	0.776	0.660	0.727	njelajah
explorer	0.729	0.663	0.714	panjelajah
explosion	0.167	0.960	0.767	bledosan
explosions	0.123	0.860	0.594	bledosan
explosive	0.156	0.943	0.663	mbledhos
expo	0.610	0.562	0.500	ekspo
exponent	0.529	0.510	0.845	eksponen
exponential	0.704	0.588	0.763	eksponensial
export	0.567	0.661	0.755	ngekspor
exportation	0.760	0.633	0.673	ekspor
expose	0.344	0.643	0.537	mbabarake
exposed	0.471	0.661	0.509	kapapar
exposition	0.521	0.627	0.655	eksposisi
expository	0.706	0.653	0.636	ekspositori
exposure	0.570	0.830	0.630	paparan
expound	0.438	0.575	0.740	mbabarake
express	0.760	0.623	0.691	ekspres
expression	0.790	0.650	0.721	ekspresi
expressive	0.755	0.724	0.685	ekspresif
expressway	0.633	0.635	0.587	jalan tol
expropriation	0.188	0.735	0.788	ekspropriasi
expulsion	0.190	0.790	0.529	ngusir
exquisite	0.892	0.644	0.604	kepileh
exquisitely	0.849	0.728	0.723	kanthi endah
extant	0.646	0.390	0.523	isih ana
extend	0.646	0.570	0.689	ngluwihi
extendable	0.660	0.592	0.722	bisa diperpanjang
extended	0.570	0.304	0.649	ditambahi
extension	0.490	0.510	0.529	ekstensi
extensive	0.635	0.520	0.760	ekstensif
extent	0.646	0.451	0.602	ambane
exterior	0.542	0.400	0.627	njaba
exterminate	0.177	0.857	0.736	nyirnakake
extermination	0.190	0.860	0.616	pemusnahan
exterminator	0.344	0.804	0.887	pembasmi
external	0.479	0.341	0.509	njaba
externally	0.643	0.521	0.568	njaba
extinct	0.112	0.491	0.412	punah
extinction	0.104	0.750	0.611	punah
extinguish	0.240	0.576	0.482	mateni
extinguisher	0.707	0.379	0.543	pemadam
extol	0.582	0.667	0.456	ngluhurake
extort	0.052	0.827	0.570	ngrampas
extortion	0.112	0.868	0.630	pemerasan
extra	0.656	0.551	0.745	ekstra
extract	0.565	0.402	0.519	ekstrak
extracting	0.521	0.709	0.689	ngekstrak
extraction	0.418	0.740	0.526	extraction
extractor	0.302	0.536	0.519	extractor
extracurricular	0.457	0.471	0.743	ekstrakurikuler
extradition	0.229	0.627	0.554	ekstradisi
extrajudicial	0.365	0.686	0.667	extrajudicial
extramural	0.336	0.559	0.537	extramural
extraneous	0.276	0.625	0.478	extraneous
extraordinaire	0.847	0.864	0.898	luar biasa
extraordinary	0.969	0.728	0.860	mirunggan
extraterrestrial	0.510	0.833	0.792	extraterrestrial
extravagance	0.531	0.802	0.700	boros
extravagant	0.720	0.763	0.812	luwih luwih
extravaganza	0.646	0.786	0.906	ekstravaganza
extreme	0.318	0.800	0.721	nemen
extreme anticipation	0.551	0.740	0.704	antisipasi nemen
extreme disgust	0.052	0.873	0.456	jijik nemen
extreme surprise	0.833	0.935	0.676	kaget nemen
extreme trust	0.826	0.713	0.922	dateng nemen
extremely	0.635	0.827	0.886	banget
extremely negative	0.030	0.786	0.311	negatip banget
extremely positive	0.993	0.730	0.839	banget positif
extremity	0.408	0.588	0.583	ekstremitas
extricate	0.542	0.510	0.543	ngilangake
extrinsic	0.510	0.479	0.636	ekstrinsik
extrusion	0.229	0.660	0.545	ekstrusi
exuberance	0.698	0.816	0.787	exuberance
exude	0.375	0.519	0.411	ucul
eye	0.531	0.265	0.425	mripat
eyeball	0.526	0.422	0.420	mripat
eyebrow	0.510	0.198	0.222	alis
eyeful	0.802	0.500	0.676	mripat
eyeglass	0.531	0.236	0.286	kaca mata
eyeglasses	0.561	0.269	0.306	kaca mata
eyelash	0.480	0.250	0.278	bulu mata
eyelet	0.632	0.298	0.346	eyelet
eyeliner	0.688	0.349	0.347	eyeliner
eyepiece	0.418	0.347	0.480	mripat
eyes	0.760	0.279	0.432	mripat
eyesight	0.750	0.226	0.343	paningal
eyewitness	0.541	0.686	0.698	saksi mata
fab	0.490	0.380	0.406	fab
fable	0.663	0.387	0.389	fabel
fabled	0.625	0.538	0.545	dongeng
fabric	0.635	0.190	0.345	kain
fabricate	0.636	0.491	0.779	gawe
fabricated	0.418	0.427	0.555	digawe
fabrication	0.573	0.587	0.705	gawean
fabulous	0.979	0.660	0.797	apik tenan
facade	0.520	0.333	0.518	fasad
face	0.571	0.173	0.453	pasuryan
faceless	0.230	0.406	0.173	tanpa pasuryan
facet	0.667	0.324	0.382	facet
facial	0.594	0.429	0.433	rai
facile	0.740	0.264	0.307	gampang
facilitate	0.812	0.333	0.509	nggampangake
facility	0.625	0.500	0.654	fasilitas
facing	0.604	0.406	0.550	madhep
facsimile	0.490	0.500	0.543	faksimili
fact	0.683	0.333	0.618	kasunyatan
faction	0.469	0.430	0.448	fraksi
factor	0.635	0.365	0.678	faktor
factory	0.500	0.500	0.683	pabrik
facts	0.688	0.471	0.693	kanyatan
factual	0.656	0.440	0.545	faktual
faculties	0.643	0.431	0.760	fakultas
faculty	0.615	0.412	0.732	Fakultas
fad	0.663	0.520	0.570	fad
fade	0.354	0.333	0.245	luntur
faded	0.302	0.275	0.194	luntur
faeces	0.184	0.476	0.175	najis
fag	0.122	0.653	0.331	fag
faggot	0.219	0.643	0.292	bajingan
fail	0.177	0.578	0.154	gagal
failing	0.125	0.490	0.268	gagal
failure	0.167	0.575	0.139	gagal
fain	0.479	0.417	0.426	fain
faint	0.063	0.429	0.167	semaput
fainting	0.333	0.510	0.214	semaput
fair	0.812	0.557	0.643	adil
fairly	0.790	0.406	0.750	adil
fairness	0.740	0.317	0.552	keadilan
fairway	0.541	0.510	0.500	fairway
fairy	0.776	0.408	0.413	peri
faith	0.833	0.220	0.763	iman
faithful	0.888	0.333	0.627	setya
faithfulness	0.833	0.426	0.602	kasetyan
faithless	0.102	0.683	0.304	ora iman
fake	0.073	0.554	0.268	palsu
faker	0.245	0.630	0.480	tukang ngapusi
falafel	0.560	0.402	0.351	falafel
falcon	0.557	0.580	0.678	elang
fall	0.177	0.657	0.221	tiba
fallacious	0.271	0.587	0.390	fallacious
fallacy	0.112	0.561	0.430	fallacy
fallback	0.458	0.358	0.508	mundur
fallible	0.365	0.537	0.402	luput
falling	0.202	0.716	0.306	tiba
fallopian	0.297	0.390	0.464	falopi
fallout	0.428	0.356	0.373	dhawah
fallow	0.375	0.368	0.464	fallow
false	0.120	0.404	0.240	palsu
falsehood	0.031	0.625	0.384	goroh
falsely	0.083	0.480	0.265	goroh
falsification	0.173	0.720	0.490	pemalsuan
falsified	0.042	0.630	0.306	dipalsukan
falsify	0.115	0.657	0.409	ngapusi
falsity	0.120	0.689	0.186	goroh
falter	0.421	0.650	0.346	goyah
fame	0.896	0.755	0.852	kawentar
famed	0.878	0.750	0.819	misuwur
familiar	0.906	0.330	0.615	akrab
familiarity	0.854	0.346	0.616	akrab
familiarize	0.760	0.365	0.654	akrab
family	0.968	0.383	0.643	kulawarga
familytime	0.939	0.420	0.679	wektu kulawarga
famine	0.163	0.679	0.310	paceklik
famished	0.177	0.654	0.282	keluwen
famous	0.916	0.775	0.882	misuwur
famously	0.856	0.765	0.787	misuwur
fan	0.781	0.429	0.357	penggemar
fanatic	0.573	0.780	0.629	fanatik
fanatical	0.555	0.830	0.714	fanatik
fanaticism	0.292	0.896	0.566	fanatisme
fanciful	0.677	0.592	0.342	khayalan
fancy	0.854	0.673	0.534	apikan
fandango	0.490	0.591	0.429	fandango
fanfare	0.656	0.640	0.437	kesenengan
fang	0.175	0.491	0.455	fang
fangs	0.286	0.598	0.434	taring
fanning	0.615	0.330	0.236	ngipasi
fantasia	0.898	0.694	0.436	fantasia
fantasize	0.771	0.660	0.356	fantasize
fantastic	0.969	0.696	0.831	fantastis
fantasy	0.880	0.627	0.474	fantasi
faraway	0.365	0.356	0.285	adoh
farce	0.265	0.667	0.246	guyonan
farcical	0.406	0.481	0.259	ngakak
fare	0.490	0.425	0.645	beya
farewell	0.130	0.500	0.591	pamitan
farm	0.781	0.327	0.297	tegalan
farmer	0.677	0.432	0.464	wong tani
farmhouse	0.690	0.330	0.444	omah pertanian
farming	0.580	0.414	0.568	tani
farmland	0.729	0.363	0.509	sawah
faro	0.544	0.349	0.357	faro
fart	0.194	0.439	0.264	kentut
farther	0.418	0.500	0.430	luwih adoh
fascia	0.480	0.366	0.356	fascia
fascinate	0.854	0.683	0.802	narik kawigaten
fascinated	0.812	0.714	0.788	kesengsem
fascinating	0.979	0.817	0.784	nengsemake
fascination	0.885	0.773	0.835	daya tarik
fascism	0.104	0.740	0.695	fasisme
fascist	0.200	0.755	0.527	fasis
fashion	0.827	0.616	0.589	busana
fashionable	0.750	0.510	0.605	modis
fastball	0.688	0.679	0.575	bola cepet
fasten	0.458	0.585	0.529	nyepetake
fastener	0.577	0.377	0.491	pengikat
fastening	0.594	0.473	0.554	pengikat
fasting	0.388	0.370	0.394	pasa
fat	0.198	0.353	0.237	lemu
fatal	0.061	0.775	0.509	fatal
fatalism	0.208	0.694	0.631	fatalisme
fatality	0.062	0.798	0.595	fatality
fate	0.571	0.479	0.712	nasib
fated	0.582	0.472	0.692	takdir
fateful	0.290	0.583	0.402	nasibe
fathead	0.296	0.527	0.463	fathead
father	0.812	0.333	0.824	bapak
fatherhood	0.885	0.519	0.682	kebapakan
fatherland	0.729	0.469	0.778	tanah air
fatherly	0.865	0.363	0.712	bapake
fathom	0.520	0.410	0.523	ngerti
fatigue	0.173	0.378	0.265	kekeselen
fatigued	0.146	0.433	0.245	kesel
fatso	0.286	0.394	0.336	lemu
fatten	0.375	0.549	0.363	lemu
fatty	0.286	0.361	0.325	lemu
faucet	0.427	0.278	0.356	kran banyu
fault	0.188	0.558	0.184	luput
faultless	0.792	0.500	0.741	tanpa cacad
faulty	0.184	0.520	0.378	luput
faun	0.490	0.303	0.376	faun
fauna	0.646	0.346	0.404	fauna
faux	0.291	0.490	0.204	palsu
favor	0.812	0.308	0.519	sih
favorable	0.952	0.380	0.788	nguntungake
favorite	0.885	0.590	0.691	favorit
favoriteholiday	0.867	0.618	0.582	liburan favorit
favoritism	0.582	0.559	0.658	pilih kasih
fawn	0.626	0.360	0.284	kewan
fax	0.406	0.368	0.304	fax
faze	0.417	0.515	0.382	kesel
fear	0.073	0.840	0.293	wedi
feared	0.240	0.733	0.509	wedi
fearful	0.083	0.482	0.278	wedi
fearfully	0.112	0.567	0.271	kanthi wedi
fearing	0.125	0.566	0.256	wedi
fearless	0.810	0.806	0.760	ora wedi
fears	0.061	0.821	0.306	wedi
fearsome	0.115	0.900	0.586	medeni
feasibility	0.653	0.490	0.741	kelayakan
feasible	0.694	0.388	0.611	layak
feast	0.979	0.724	0.680	riyaya
feat	0.750	0.706	0.849	feat
feather	0.677	0.208	0.144	wulu
feathered	0.438	0.288	0.214	wulu
feature	0.667	0.314	0.679	fitur
features	0.667	0.433	0.509	fitur
febrile	0.429	0.578	0.414	mriyang
fecal	0.255	0.528	0.213	fekal
feces	0.240	0.407	0.307	najis
fecundity	0.688	0.591	0.683	fecundity
fed	0.602	0.370	0.482	dipakani
federal	0.530	0.459	0.859	federal
federation	0.633	0.354	0.763	federasi
fedup	0.327	0.500	0.352	fedup
fee	0.354	0.386	0.556	ragad
feeble	0.157	0.280	0.109	ringkih
feed	0.812	0.429	0.739	pakan
feedback	0.622	0.557	0.645	Tanggepan
feeder	0.604	0.452	0.713	pakan
feel	0.802	0.602	0.596	ngrasa
feelgood	0.990	0.441	0.621	krasa penak
feeling	0.806	0.329	0.531	pangrasa
feelingdown	0.490	0.457	0.567	roso kangen
feelinggood	0.940	0.449	0.655	rasane apik
feet	0.510	0.240	0.292	sikil
feign	0.340	0.394	0.356	ngapusi
feigned	0.173	0.602	0.333	pura-pura
feisty	0.592	0.853	0.789	greget
felicity	0.913	0.704	0.793	kesenengan
feline	0.615	0.745	0.509	kucing
fell	0.255	0.462	0.250	tiba
feller	0.406	0.622	0.617	penebang
fellow	0.745	0.298	0.570	sedulur
fellowship	0.900	0.429	0.778	paseduluran
felon	0.111	0.898	0.455	durjana
felony	0.206	0.808	0.472	kejahatan
felt	0.643	0.417	0.566	dirasakake
feminine	0.802	0.520	0.394	wadon
femininity	0.750	0.479	0.451	feminitas
feminism	0.541	0.570	0.636	feminisme
femme	0.551	0.529	0.398	femme
femoral	0.417	0.324	0.566	femoral
femur	0.408	0.289	0.413	femur
fen	0.490	0.276	0.379	fen
fence	0.500	0.198	0.398	pager
fenced	0.323	0.430	0.429	dipageri
fencing	0.542	0.654	0.539	pager
fend	0.646	0.731	0.537	nglawan
fender	0.369	0.459	0.476	fender
fennel	0.573	0.277	0.389	adas
ferment	0.375	0.531	0.418	fermentasi
fermentation	0.420	0.567	0.473	fermentasi
fern	0.602	0.240	0.290	pakis
ferocious	0.167	0.915	0.776	galak
ferocity	0.235	0.906	0.746	keganasan
ferret	0.385	0.391	0.398	musang
ferry	0.604	0.509	0.389	ferry
ferryboat	0.594	0.452	0.553	kapal ferry
fertile	0.888	0.408	0.704	subur
fertility	0.885	0.529	0.726	kesuburan
fertilize	0.708	0.443	0.542	pupuk
fertilizer	0.438	0.463	0.565	pupuk
fervent	0.646	0.632	0.773	sregep
fervor	0.573	0.769	0.651	semangat
fess	0.395	0.420	0.370	fess
fest	0.704	0.574	0.402	fest
festival	0.870	0.706	0.714	festival
festive	0.854	0.740	0.764	riyaya
fetal	0.388	0.308	0.364	jabang bayi
fetch	0.479	0.363	0.491	njupuk
fete	0.580	0.551	0.465	pesta
fetish	0.307	0.706	0.500	jimat
fetus	0.479	0.519	0.395	jabang bayi
feud	0.146	0.796	0.312	pasulayan
feudal	0.367	0.370	0.610	feodal
feudalism	0.229	0.465	0.607	feodalisme
fever	0.194	0.674	0.364	mriyang
feverish	0.385	0.696	0.436	mriyang
fiancee	0.959	0.626	0.556	tunangan
fiasco	0.167	0.600	0.200	kegagalan
fiat	0.520	0.418	0.446	fiat
fib	0.438	0.510	0.361	fib
fiber	0.719	0.284	0.390	serat
fiberglass	0.451	0.451	0.443	serat kaca
fibrosis	0.160	0.469	0.546	fibrosis
fibrous	0.480	0.441	0.464	serabut
fickle	0.406	0.481	0.346	owah-owahan
fiction	0.438	0.657	0.441	fiksi
fictional	0.430	0.490	0.340	fiksi
fictitious	0.224	0.444	0.293	fiktif
fiddle	0.571	0.449	0.391	rebab
fiddler	0.615	0.580	0.500	tukang rebab
fidelity	0.765	0.580	0.709	kasetyan
fidgety	0.229	0.786	0.351	gelisah
fiduciary	0.375	0.400	0.509	fiduciary
field	0.640	0.380	0.336	lapangan
field hockey	0.602	0.786	0.518	hoki lapangan
fielder	0.583	0.378	0.415	tukang sawah
fiend	0.146	0.903	0.608	setan
fiendish	0.167	0.846	0.591	nakal
fierce	0.281	0.877	0.759	galak
fiery	0.418	0.850	0.721	murub
fiesta	0.927	0.779	0.655	fiesta
fiesty	0.571	0.663	0.472	kesel
fifteen	0.490	0.290	0.443	limalas
fifty	0.571	0.368	0.439	seket
fig	0.573	0.390	0.339	anjir
fight	0.531	0.868	0.809	perang
fighter	0.637	0.760	0.898	pejuang
fighting	0.292	0.885	0.783	gelut
fights	0.070	0.920	0.712	gelut
figment	0.552	0.316	0.533	figment
figurative	0.479	0.450	0.634	kiasan
figure	0.688	0.328	0.509	tokoh
figurine	0.760	0.283	0.258	patung
filament	0.510	0.452	0.377	filamen
filamentous	0.531	0.480	0.516	filamen
file	0.480	0.316	0.463	berkas
filet	0.615	0.392	0.291	filet
filibuster	0.271	0.714	0.508	filibuster
filigree	0.576	0.408	0.514	kerawang
filing	0.620	0.420	0.700	ngajokake
filings	0.323	0.412	0.340	filings
fill	0.729	0.449	0.637	isi
filler	0.531	0.347	0.529	pangisi
fillet	0.745	0.415	0.378	fillet
filling	0.510	0.382	0.525	ngisi
filly	0.479	0.564	0.519	isine
film	0.823	0.491	0.566	wayang
filmmaker	0.704	0.510	0.635	tukang film
filmy	0.583	0.510	0.425	filmy
filter	0.440	0.296	0.260	nyaring
filth	0.194	0.592	0.319	reged
filthy	0.115	0.714	0.321	reged
filtration	0.407	0.520	0.255	filtrasi
fin	0.333	0.340	0.377	sirip
final	0.276	0.575	0.508	pungkasan
finale	0.406	0.330	0.468	pungkasan
finalist	0.833	0.686	0.736	finalis
finality	0.615	0.368	0.627	finalitas
finalize	0.556	0.550	0.578	ngrampungake
finalized	0.245	0.210	0.608	rampung
finally	0.583	0.433	0.465	pungkasane
finance	0.753	0.431	0.843	keuangan
financial	0.667	0.500	0.722	finansial
financier	0.602	0.500	0.778	financier
finch	0.438	0.444	0.358	finch
find	0.774	0.555	0.580	golek
finder	0.360	0.550	0.630	panemu
finding	0.796	0.469	0.664	nggoleki
fine	0.823	0.240	0.647	nggoleki
finery	0.562	0.479	0.636	busana
finesse	0.740	0.387	0.412	kepinteran
finger	0.321	0.264	0.291	driji
fingernail	0.418	0.415	0.153	kuku
fingerprint	0.583	0.404	0.570	bekas driji
fingerscrossed	0.573	0.540	0.356	driji nyilang
finish	0.471	0.429	0.545	rampung
finished	0.510	0.387	0.570	rampung
finite	0.384	0.347	0.293	winates
fink	0.410	0.514	0.439	fink
fir	0.521	0.275	0.306	cemoro
fire	0.380	0.804	0.635	geni
firearm	0.086	0.943	0.864	senjata api
firearms	0.220	0.943	0.821	senjata api
fireball	0.302	0.777	0.664	bola geni
firecracker	0.474	0.741	0.434	mercon
firefight	0.153	0.920	0.664	pemadam kebakaran
firefighter	0.637	0.770	0.773	petugas pemadam kebakaran
firefly	0.622	0.410	0.363	kunang-kunang
firehouse	0.594	0.689	0.627	omah geni
firelight	0.677	0.504	0.639	cahya geni
fireman	0.583	0.745	0.755	wong geni
fireplace	0.667	0.380	0.417	perapian
firepower	0.375	0.941	0.810	daya geni
fireproof	0.684	0.679	0.723	tahan geni
fireside	0.684	0.377	0.394	geni
firestorm	0.180	0.929	0.766	badai geni
firewall	0.485	0.602	0.629	firewall
firewood	0.520	0.348	0.263	kayu bakar
firework	0.786	0.904	0.593	kembang api
fireworks	0.735	0.863	0.579	mercon
firing	0.188	0.931	0.803	murub
firm	0.635	0.380	0.728	mantep
firmament	0.750	0.407	0.660	cakrawala
firmly	0.786	0.510	0.777	mantep
firmness	0.823	0.479	0.939	keteguhan
first	0.625	0.500	0.788	dhisik
firstborn	0.786	0.490	0.695	pambarep
firstworldprobs	0.458	0.612	0.483	firstworldprobs
fiscal	0.500	0.582	0.845	fiskal
fish	0.510	0.280	0.250	iwak
fisherman	0.656	0.461	0.546	nelayan
fishery	0.574	0.503	0.519	perikanan
fishing	0.677	0.283	0.405	mancing
fishing boat	0.521	0.403	0.627	prau nelayan
fishy	0.224	0.601	0.471	amis
fissile	0.333	0.490	0.380	fisil
fission	0.386	0.500	0.567	fisi
fissure	0.333	0.510	0.431	fisura
fist	0.333	0.686	0.481	ajiné
fistfight	0.208	0.902	0.543	adu tinju
fistful	0.500	0.509	0.500	tinju
fistula	0.312	0.481	0.330	fistula
fit	0.604	0.450	0.632	pas
fitness	0.875	0.529	0.810	fitness
fits	0.571	0.363	0.580	mathuk
fitted	0.507	0.404	0.673	dipasang
fitting	0.612	0.441	0.638	pas
fittings	0.531	0.404	0.409	kelengkapan
five	0.510	0.221	0.298	gangsal
fiver	0.458	0.469	0.517	gangsal
fix	0.760	0.538	0.519	ndandani
fixable	0.724	0.470	0.645	bisa didandani
fixation	0.562	0.459	0.655	fiksasi
fixed	0.684	0.167	0.509	tetep
fixer	0.633	0.375	0.606	tukang ndandani
fixture	0.663	0.216	0.409	piranti
fixtures	0.643	0.330	0.370	perlengkapan
fizz	0.459	0.708	0.349	fizz
fjord	0.510	0.404	0.463	fjord
flabbergast	0.480	0.679	0.547	gumun
flabbergasted	0.312	0.802	0.342	gumun
flabby	0.292	0.358	0.250	lembek
flaccid	0.156	0.400	0.151	lembek
flag	0.592	0.378	0.536	gendéra
flagging	0.521	0.519	0.509	flagging
flagpole	0.500	0.394	0.458	tiang gendera
flagrant	0.286	0.673	0.455	gamblang
flagship	0.592	0.587	0.703	kapal penggedhe
flagstaff	0.520	0.517	0.500	panji
flair	0.775	0.471	0.676	bakat
flak	0.390	0.600	0.600	flak
flake	0.385	0.388	0.289	serpihan
flaky	0.363	0.509	0.279	kepleset
flamboyant	0.615	0.794	0.705	flamboyan
flame	0.448	0.574	0.615	murub
flamethrower	0.160	0.882	0.683	tukang nyembur
flaming	0.406	0.645	0.558	murub
flamingo	0.667	0.451	0.482	flamingo
flammable	0.216	0.800	0.715	gampang kobong
flan	0.604	0.304	0.198	flan
flange	0.500	0.306	0.390	flange
flank	0.448	0.458	0.443	sisih
flanked	0.333	0.431	0.368	diapit
flanking	0.490	0.622	0.519	ngapit
flannel	0.490	0.250	0.327	flanel
flap	0.275	0.385	0.344	kepak
flapping	0.458	0.728	0.404	kepak-kepak
flare	0.558	0.823	0.508	suar
flares	0.580	0.642	0.556	suar-suar
flaring	0.625	0.771	0.509	murub
flash	0.571	0.590	0.657	lampu kilat
flashback	0.265	0.400	0.485	flashback
flashing	0.604	0.574	0.438	sumunar
flashlight	0.653	0.414	0.356	senter
flashy	0.704	0.600	0.827	sumunar
flask	0.418	0.412	0.454	labu
flat	0.408	0.236	0.303	warata
flatbed	0.490	0.250	0.380	flatbed
flatfoot	0.265	0.333	0.330	flatfoot
flatness	0.479	0.280	0.527	flatness
flatten	0.286	0.469	0.442	rata
flatter	0.521	0.418	0.302	luwih apik
flattered	0.865	0.608	0.708	disanjung
flattering	0.755	0.686	0.500	ngalem
flattery	0.470	0.575	0.404	sanjungan
flatulence	0.210	0.632	0.343	kembung
flaunt	0.438	0.611	0.525	pamer
flavor	0.885	0.479	0.392	roso
flaw	0.319	0.491	0.175	cacat
flawed	0.133	0.490	0.194	cacat
flawless	0.729	0.420	0.741	tanpa cacad
flea	0.286	0.353	0.218	kutu
fleabag	0.271	0.557	0.348	fleabag
fled	0.224	0.639	0.322	mlayu
flee	0.292	0.796	0.232	ngungsi
fleece	0.561	0.250	0.381	wulu
fleet	0.547	0.430	0.623	armada
fleeting	0.439	0.650	0.387	cepet-cepet
flesh	0.604	0.390	0.475	daging
fleshy	0.500	0.518	0.406	daginge
flex	0.604	0.378	0.330	lentur
flexibility	0.867	0.402	0.472	keluwesan
flexible	0.719	0.460	0.465	fleksibel
flexin	0.552	0.559	0.366	flexin
flexion	0.449	0.551	0.418	fleksi
flick	0.688	0.541	0.515	gulung cepet
flicker	0.635	0.321	0.333	kelip-kelip
flickering	0.490	0.444	0.289	kelip-kelip
flier	0.541	0.490	0.652	mabur
flight	0.646	0.630	0.587	pesawat
flighty	0.219	0.602	0.436	mabur
flimsy	0.302	0.396	0.189	tipis-tipis
flinch	0.350	0.804	0.555	nglirik
fling	0.439	0.696	0.534	fling
flint	0.521	0.439	0.536	watu
flip	0.281	0.529	0.435	flip
flip flop	0.417	0.519	0.321	flip flop
flipper	0.677	0.420	0.415	sirip
flipping	0.553	0.551	0.345	flipping
flirt	0.792	0.790	0.538	goroh
flirtation	0.653	0.719	0.482	flirting
flirting	0.590	0.773	0.491	mentel
flirty	0.714	0.721	0.491	genit
float	0.688	0.394	0.344	ngambang
floater	0.480	0.433	0.370	ngambang
flock	0.500	0.546	0.543	kumpul
flog	0.408	0.520	0.382	cemeng
flood	0.208	0.778	0.608	banjir
