English Word	Valence	Arousal	Dominance	Tatar Word
cylindrical	0.458	0.294	0.414	цилиндрик
cymbal	0.542	0.363	0.362	цымбал
cynic	0.135	0.632	0.473	киник
cynical	0.156	0.760	0.474	усал
cynicism	0.104	0.780	0.454	синицизм
cyst	0.173	0.578	0.312	кист
cystic	0.314	0.481	0.400	кистик
cytomegalovirus	0.186	0.657	0.443	цитомегаловирус
cytoplasm	0.378	0.442	0.474	цитоплазма
czar	0.480	0.348	0.643	патша
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	dәр сүзнең
dabbling	0.562	0.726	0.676	даблинг
dad	0.857	0.412	0.786	әти
daddy	0.795	0.400	0.736	әти
dado	0.510	0.240	0.364	dado
daemon	0.333	0.490	0.500	демон
daft	0.255	0.436	0.157	дафт
dagger	0.224	0.797	0.613	хәнҗәр
daily	0.653	0.347	0.473	көн саен
dainty	0.604	0.284	0.424	ашлык
daiquiri	0.670	0.519	0.400	daiquiri
dairy	0.633	0.255	0.462	сөт
daisy	0.562	0.367	0.333	ромашка
dak	0.510	0.417	0.424	dak
dale	0.622	0.270	0.365	dale
dam	0.250	0.553	0.394	дамба
damage	0.059	0.726	0.403	зыян
damaged	0.104	0.635	0.182	бозылган
damages	0.082	0.760	0.310	зыян
dame	0.694	0.480	0.500	dame
damn	0.073	0.784	0.431	Каһәр суккыры
damnation	0.135	0.750	0.416	ләгънәт
damned	0.100	0.760	0.465	ләгънәт
damp	0.360	0.279	0.210	дым
dampened	0.271	0.422	0.336	дымланган
damper	0.459	0.378	0.473	дампер
damsel	0.719	0.475	0.400	кыз
dance	0.894	0.840	0.551	бию
dancer	0.740	0.768	0.545	биюче
dancing	0.885	0.868	0.444	бию
dandruff	0.398	0.298	0.293	какырык
dandy	0.673	0.520	0.630	данди
danger	0.115	0.923	0.673	хәвеф-хәтәр
dangerous	0.020	0.941	0.658	куркыныч
dangerously	0.082	0.930	0.564	куркыныч
dangit	0.396	0.606	0.358	тангит
dangle	0.362	0.469	0.375	танг
dank	0.390	0.381	0.383	танк
dapper	0.770	0.560	0.698	dapper
dare	0.677	0.788	0.684	батырлык
daredevil	0.429	0.714	0.653	кыю
daresay	0.540	0.451	0.490	батырлык
daring	0.583	0.840	0.711	батырлык
dark	0.198	0.398	0.426	караңгы
darken	0.250	0.471	0.382	караңгылану
darkened	0.135	0.440	0.452	караңгы
darkly	0.219	0.548	0.443	караңгы
darkness	0.102	0.602	0.418	караңгылык
darkroom	0.188	0.627	0.423	караңгы бүлмә
darkside	0.102	0.690	0.365	караңгы як
darling	0.885	0.370	0.608	кадерле
darn	0.115	0.765	0.418	darn
dart	0.417	0.608	0.500	дарт
dash	0.574	0.312	0.324	тире
dashboard	0.510	0.371	0.595	ассортимент
dashed	0.276	0.393	0.338	сызылган
dashing	0.612	0.627	0.799	ташлау
dastardly	0.208	0.688	0.270	ямьсез
data	0.500	0.250	0.426	мәгълүматлар
database	0.604	0.286	0.644	мәгълүмат базасы
date	0.604	0.231	0.400	дата
datenight	0.708	0.637	0.518	datәр сүзнең
daughter	0.908	0.415	0.455	кызы
dawdle	0.479	0.464	0.357	таң
dawn	0.827	0.235	0.519	таң
dawned	0.694	0.471	0.473	таң атты
day	0.719	0.269	0.389	көн
daybreak	0.802	0.358	0.474	таң ату
daycare	0.776	0.481	0.360	көндезге хезмәт
daydream	0.750	0.337	0.456	төш
daydreaming	0.776	0.360	0.479	хыяллану
daylight	0.865	0.420	0.545	көндез
daymade	0.646	0.450	0.417	көндез
dayoff	0.760	0.368	0.377	ял көне
daytime	0.750	0.324	0.454	көндез
daze	0.245	0.735	0.329	гаҗәпләнү
dazed	0.300	0.697	0.277	гаҗәпләнде
dazzle	0.730	0.782	0.683	гаҗәпләнү
dazzling	0.854	0.880	0.767	якты
deacon	0.531	0.430	0.736	диакон
deactivate	0.235	0.447	0.392	туктату
dead	0.052	0.454	0.194	үлде
deadbeat	0.229	0.453	0.368	.әр сүзнең
deadline	0.214	0.615	0.460	ремонтка бирү
deadlines	0.406	0.769	0.411	сроклары
deadlock	0.170	0.418	0.323	караңгылык
deadly	0.143	0.849	0.554	үлемгә китерә
deafening	0.281	0.835	0.482	саңгырау
deafness	0.125	0.413	0.219	саңгырау
deal	0.719	0.599	0.543	килешү
dealer	0.799	0.615	0.683	дилер
dealership	0.541	0.430	0.629	дилерлык
dealing	0.724	0.415	0.598	эш итү
dealings	0.600	0.491	0.480	эш
dean	0.612	0.469	0.723	декан
dear	0.880	0.434	0.629	кадерлем
dearest	0.902	0.427	0.508	иң кадерле
dearth	0.156	0.539	0.255	ачлык
death	0.031	0.720	0.472	үлем
deathbed	0.051	0.652	0.311	үлем түшәге
deathly	0.073	0.771	0.682	үлем
debacle	0.156	0.606	0.266	дебак
debased	0.219	0.529	0.170	кимсетелгән
debatable	0.181	0.610	0.474	бәхәсле
debate	0.408	0.691	0.683	бәхәс
debauchery	0.354	0.901	0.500	бозыклык
debenture	0.417	0.500	0.466	дебентур
debilitating	0.125	0.490	0.308	хәлсезләнү
debit	0.333	0.400	0.474	дебет
debrief	0.247	0.343	0.549	дебриф
debriefing	0.427	0.580	0.456	дебрифинг
debris	0.135	0.396	0.327	калдыклар
debt	0.204	0.598	0.336	бурыч
debtor	0.219	0.546	0.160	бурычлы
debut	0.806	0.606	0.629	дебют
debutante	0.771	0.627	0.454	дебютанте
decade	0.531	0.402	0.665	унъеллык
decadence	0.237	0.455	0.291	декадация
decadent	0.290	0.559	0.324	декадент
decaf	0.480	0.324	0.353	декаф
decanter	0.438	0.567	0.510	декантер
decathlon	0.573	0.753	0.620	декатлон
decay	0.143	0.312	0.170	черү
decayed	0.017	0.375	0.169	черү
decaying	0.073	0.510	0.214	черү
deceased	0.021	0.538	0.188	үлгән
decedent	0.423	0.481	0.415	дедентент
deceit	0.020	0.696	0.343	алдау
deceitful	0.071	0.788	0.371	алдаучы
deceive	0.094	0.775	0.414	алдау
deceived	0.059	0.673	0.302	алданган
deceiving	0.099	0.636	0.426	алдау
december	0.740	0.540	0.464	декабрь
decency	0.750	0.235	0.634	әдәплелек
decent	0.823	0.296	0.653	лаеклы
deception	0.090	0.745	0.370	алдау
deceptive	0.027	0.605	0.294	алдаучы
decide	0.656	0.540	0.855	карар
decidedly	0.750	0.480	0.843	.әр сүзнең
deciduous	0.385	0.353	0.282	яфраклы
decimal	0.507	0.259	0.305	дистә
decimeter	0.520	0.292	0.377	декиметр
decipher	0.417	0.630	0.652	шифрлау
decision	0.646	0.510	0.839	карар
decisive	0.740	0.509	0.935	хәлиткеч
deck	0.420	0.333	0.394	палуба
declaration	0.551	0.590	0.714	декларация
declaratory	0.635	0.582	0.673	декларация
declare	0.677	0.623	0.668	игълан итү
declination	0.250	0.549	0.311	кимү
decline	0.173	0.491	0.240	кимү
declining	0.328	0.400	0.264	кимү
deco	0.625	0.274	0.356	деко
decode	0.551	0.510	0.640	декодлау
decoder	0.562	0.340	0.686	декодер
decompose	0.194	0.596	0.241	черү
decomposed	0.073	0.442	0.231	черегән
decomposition	0.133	0.600	0.263	черү
decompress	0.438	0.430	0.509	декомпресс
decompression	0.208	0.520	0.311	декомпрессия
decontamination	0.611	0.538	0.573	зарарсызландыру
decor	0.734	0.311	0.573	декор
decorate	0.954	0.370	0.404	бизәү
decorating	0.863	0.548	0.462	бизәү
decoration	0.878	0.553	0.526	бизәк
decorative	0.908	0.460	0.381	декоратив
decorator	0.840	0.471	0.455	декоратор
decorum	0.802	0.327	0.462	тәртип
decoy	0.149	0.460	0.330	алдау
decrease	0.125	0.360	0.267	кимү
decreased	0.224	0.271	0.170	кимеде
decreasing	0.320	0.346	0.224	кимү
decree	0.552	0.478	0.746	указ
decrement	0.255	0.427	0.373	кимү
decrepit	0.156	0.490	0.225	төшү
decry	0.400	0.814	0.548	.әр сүзнең
decryption	0.459	0.445	0.600	шифрлау
dedicate	0.823	0.431	0.588	багышлагыз
dedication	0.867	0.471	0.682	багышлау
deduce	0.490	0.510	0.466	чыгару
deduct	0.355	0.330	0.412	түләү
deductible	0.375	0.286	0.455	түләүле
deduction	0.438	0.462	0.527	ташлама
deed	0.520	0.320	0.592	эш
deejay	0.551	0.630	0.473	deejay
deem	0.594	0.529	0.690	дип саныйм
deep	0.490	0.473	0.657	тирән
deepen	0.625	0.530	0.776	тирәнәйтү
deer	0.583	0.375	0.292	болан
defamation	0.110	0.670	0.481	яла ягу
defamatory	0.143	0.688	0.402	яла ягу
default	0.459	0.343	0.712	Килешү
defeat	0.092	0.500	0.224	җиңелү
defeated	0.104	0.582	0.145	җиңелде
defeatist	0.163	0.567	0.315	җиңелүче
defect	0.135	0.561	0.185	җитешсезлек
defection	0.146	0.594	0.330	дефекция
defective	0.122	0.580	0.274	кимчелекле
defector	0.163	0.696	0.286	дефектор
defend	0.698	0.722	0.670	яклау
defendant	0.250	0.710	0.491	гаепләнүче
defended	0.663	0.451	0.582	яклады
defender	0.639	0.708	0.750	саклаучы
defending	0.604	0.871	0.812	яклау
defense	0.652	0.698	0.802	оборона
defenseless	0.143	0.357	0.105	саксыз
defensible	0.740	0.509	0.593	яклаучы
defensive	0.542	0.640	0.678	оборона
defer	0.245	0.459	0.317	кичектерү
deference	0.510	0.396	0.447	хөрмәт
deferral	0.765	0.542	0.327	кичектерү
deferring	0.343	0.500	0.413	кичектерү
defiance	0.333	0.780	0.760	буйсынмау
defiant	0.250	0.792	0.769	.әр сүзнең
defibrillator	0.398	0.663	0.431	дефибриллатор
deficiency	0.073	0.373	0.179	җитешсезлек
deficient	0.240	0.464	0.132	дефицит
deficit	0.358	0.500	0.269	дефицит
define	0.688	0.415	0.632	билгеләү
defined	0.670	0.214	0.646	билгеләнде
definite	0.708	0.292	0.741	билгеле
definition	0.573	0.375	0.579	билгеләмә
definitive	0.583	0.479	0.787	төгәл
deflate	0.148	0.404	0.237	deflate
deflation	0.287	0.536	0.407	дефляция
deflect	0.133	0.491	0.482	бозылу
deflection	0.188	0.500	0.382	читкә китү
defloration	0.188	0.690	0.434	дефлорация
deform	0.112	0.654	0.284	деформа
deformed	0.198	0.435	0.308	деформация
deformity	0.160	0.569	0.241	деформация
defraud	0.175	0.635	0.314	алдау
defray	0.375	0.598	0.653	хыянәт
defrost	0.427	0.317	0.389	эретү
deft	0.719	0.575	0.849	дефт
defunct	0.112	0.491	0.272	бозылган
defuse	0.167	0.480	0.430	.әр сүзнең
defy	0.353	0.884	0.657	.әр сүзнең
degeneracy	0.143	0.720	0.298	бозылу
degenerate	0.069	0.724	0.264	бозылу
degeneration	0.245	0.578	0.371	бозылу
degradation	0.160	0.608	0.315	деградация
degrade	0.083	0.500	0.184	деградация
degraded	0.167	0.433	0.205	кимсетелгән
degrading	0.031	0.583	0.232	кимсетүче
degree	0.724	0.365	0.663	дәрәҗәсе
dehydrated	0.310	0.685	0.212	сусызланган
dehydration	0.188	0.472	0.259	сусызлану
dejected	0.104	0.654	0.347	күңел төшенкелеге
delay	0.204	0.510	0.162	тоткарлау
delayed	0.188	0.490	0.216	тоткарланды
delectable	0.781	0.642	0.718	.әр сүзнең
delegate	0.612	0.491	0.658	делегат
delegation	0.562	0.431	0.609	делегация
delete	0.292	0.298	0.409	бетерү
deleterious	0.297	0.725	0.440	бетерү
deletion	0.062	0.506	0.462	бетерү
deli	0.561	0.448	0.447	гастроном
deliberate	0.551	0.654	0.682	белә торып
deliberation	0.561	0.678	0.596	фикер алышу
deliberative	0.392	0.552	0.573	белә торып
delicacy	0.812	0.279	0.336	нечкәлек
delicate	0.583	0.294	0.366	нечкә
delicatessen	0.656	0.474	0.400	деликатес
delicious	0.927	0.650	0.589	тәмле
delight	0.949	0.666	0.647	ләззәт
delighted	0.938	0.664	0.685	Шатланган
delightful	0.918	0.735	0.644	рәхәт
delineate	0.448	0.430	0.445	билгеләү
delineation	0.521	0.402	0.314	билгеләү
delinquency	0.135	0.860	0.508	хокук бозу
delinquent	0.051	0.904	0.500	хокук бозучы
delirious	0.219	0.774	0.538	шомлы
delirium	0.233	0.694	0.484	делириум
deliver	0.583	0.370	0.582	тапшыру
deliverance	0.750	0.520	0.658	коткару
delivery	0.704	0.461	0.786	тапшыру
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	дельта
delude	0.143	0.627	0.353	алдау
deluge	0.245	0.714	0.612	Туфан
delusion	0.344	0.647	0.400	алдау
delusional	0.219	0.745	0.327	алдану
deluxe	0.792	0.612	0.755	делюкс
delve	0.469	0.529	0.684	delve
demand	0.292	0.673	0.500	таләп
demanding	0.396	0.750	0.828	таләпчән
demeaned	0.271	0.520	0.212	кимсетелгән
demeaning	0.104	0.645	0.308	кимсетү
demeanor	0.633	0.433	0.657	тәртип
demented	0.088	0.787	0.309	дементацияләнгән
dementia	0.092	0.779	0.337	деменсия
demise	0.104	0.596	0.456	җимерелү
demo	0.510	0.314	0.423	демо
democracy	0.680	0.500	0.840	демократия
democrat	0.582	0.400	0.755	демократ
democratic	0.802	0.519	0.798	демократик
demographic	0.459	0.356	0.594	демографик
demolish	0.125	0.632	0.700	җимерү
demolished	0.271	0.647	0.353	җимерелгән
demolition	0.133	0.827	0.541	җимерү
demon	0.037	0.908	0.509	җен
demonic	0.146	0.875	0.600	җен
demonstrable	0.735	0.471	0.749	күрсәтелә
demonstrate	0.771	0.552	0.839	күрсәтү
demonstrated	0.617	0.500	0.649	күрсәтте
demonstrating	0.698	0.571	0.693	күрсәтү
demonstration	0.551	0.676	0.679	демонстрация
demonstrative	0.656	0.528	0.736	күрсәтү
demonstrator	0.520	0.598	0.733	демонстрант
demoralized	0.082	0.590	0.149	бозылган
demos	0.418	0.370	0.368	демос
demure	0.690	0.315	0.417	демур
den	0.510	0.347	0.398	оя
deniability	0.230	0.509	0.417	инкарь
denial	0.194	0.435	0.318	инкарь
denied	0.188	0.604	0.333	кире кагылды
denim	0.520	0.382	0.327	деним
denomination	0.490	0.363	0.429	конфессия
denominational	0.458	0.375	0.679	denominational
denominator	0.450	0.410	0.613	аерма
denote	0.448	0.471	0.534	белдерү
denounce	0.083	0.780	0.426	хөкем итү
dense	0.354	0.343	0.536	тыгыз
density	0.602	0.471	0.561	тыгызлыгы
dent	0.306	0.606	0.325	теш
dental	0.573	0.404	0.463	стоматология
dentist	0.479	0.620	0.642	теш табибы
dentistry	0.429	0.570	0.569	стоматология
dentists	0.364	0.600	0.582	стоматологлар
denunciation	0.146	0.830	0.561	хөкем итү
deny	0.316	0.667	0.321	инкарь
denying	0.080	0.542	0.272	инкарь итү
deodorant	0.480	0.265	0.269	дезодорант
depart	0.398	0.480	0.444	китү
departed	0.245	0.536	0.391	китте
department	0.708	0.358	0.642	бүлеге
departmental	0.612	0.422	0.446	ведомство
departure	0.573	0.500	0.426	китү
depend	0.388	0.429	0.358	бәйле
dependable	0.880	0.357	0.741	ышанычлы
dependant	0.357	0.404	0.451	бәйле
dependence	0.250	0.451	0.433	бәйлелек
dependency	0.429	0.365	0.356	бәйлелек
dependent	0.354	0.455	0.404	бәйле
depict	0.663	0.529	0.723	сурәтләү
depicting	0.490	0.566	0.602	сурәтләү
depletion	0.153	0.370	0.236	бетү
deplorable	0.135	0.657	0.230	аяныч
deplore	0.135	0.575	0.373	аяныч
deploy	0.500	0.520	0.585	урнаштыру
deployment	0.510	0.520	0.612	урнаштыру
deport	0.167	0.667	0.546	депортация
deportation	0.104	0.786	0.450	депортация
depose	0.286	0.420	0.451	ташлау
deposit	0.540	0.379	0.483	депозит
depositary	0.604	0.431	0.500	депозитар
deposition	0.394	0.510	0.471	чүпләү
depository	0.551	0.373	0.481	саклагыч
depot	0.635	0.255	0.471	депо
depraved	0.031	0.837	0.395	бозык
depravity	0.115	0.854	0.453	бозыклык
depreciate	0.270	0.623	0.445	амортизация
depreciated	0.135	0.672	0.250	амортизация
depreciation	0.143	0.571	0.386	амортизация
depress	0.219	0.635	0.528	депрессия
depressed	0.024	0.445	0.136	депрессия
depressing	0.146	0.559	0.216	боек
depression	0.031	0.520	0.232	депрессия
depressive	0.143	0.434	0.202	депрессия
depresson	0.135	0.400	0.308	депрессия
deprivation	0.194	0.610	0.413	мәхрүм итү
deprive	0.271	0.591	0.340	мәхрүм итү
deprived	0.354	0.506	0.536	мәхрүм
depth	0.708	0.561	0.759	тирәнлек
deputy	0.429	0.530	0.787	урынбасары
derail	0.108	0.802	0.375	бозылу
deranged	0.376	0.868	0.357	.әр сүзнең
derelict	0.208	0.470	0.237	мыскыллау
derision	0.265	0.670	0.292	көлү
derivation	0.521	0.519	0.644	тудыру
derivative	0.541	0.491	0.508	тудыру
derive	0.396	0.324	0.360	алу
dermal	0.385	0.406	0.443	дермаль
dermatologist	0.531	0.358	0.528	дерматолог
dermatology	0.422	0.500	0.556	дерматология
derogation	0.208	0.460	0.327	кимсетү
derogatory	0.122	0.580	0.404	кимсетү
descend	0.385	0.535	0.231	төшү
descendant	0.684	0.420	0.625	токым
descendent	0.391	0.480	0.565	токым
descending	0.219	0.493	0.250	төшү
descent	0.300	0.402	0.158	төшү
describe	0.542	0.472	0.555	тасвирла
description	0.582	0.425	0.596	тасвирлау
descriptive	0.667	0.352	0.570	тасвирлау
desecrate	0.255	0.806	0.509	хурлау
desecration	0.125	0.833	0.564	хурлау
desert	0.469	0.279	0.389	чүл
deserted	0.156	0.480	0.214	ташландык
deserter	0.122	0.710	0.366	чүл
desertion	0.122	0.630	0.289	ташлану
deserve	0.802	0.436	0.613	лаек
deserved	0.781	0.582	0.689	лаек
deserving	0.802	0.596	0.858	лаек
design	0.796	0.327	0.632	дизайн
designate	0.531	0.538	0.683	билгеләү
designated	0.500	0.412	0.616	билгеләнгән
designation	0.612	0.571	0.675	билгеләү
designed	0.745	0.380	0.595	эшләнгән
designer	0.875	0.519	0.670	дизайнер
designing	0.792	0.355	0.552	проектлау
desirability	0.684	0.550	0.675	теләк
desirable	0.740	0.735	0.750	кирәкле
desire	0.896	0.692	0.647	теләк
desiring	0.814	0.821	0.632	теләгән
desirous	0.719	0.824	0.562	теләкле
desist	0.220	0.358	0.291	тукта
desk	0.510	0.135	0.422	өстәл
desolate	0.104	0.320	0.228	ташландык
desolation	0.073	0.481	0.273	чүл
despair	0.115	0.794	0.245	өметсезлек
despairing	0.073	0.735	0.286	өметсезлек
despatch	0.448	0.400	0.613	җибәрү
desperado	0.260	0.745	0.361	десперадо
desperate	0.083	0.842	0.337	өметсез
desperation	0.125	0.904	0.419	өметсезлек
despicable	0.146	0.710	0.255	җирәнгеч
despise	0.167	0.745	0.296	кимсетү
despondent	0.133	0.378	0.221	өметсез
despotic	0.141	0.824	0.592	деспотик
despotism	0.255	0.696	0.620	деспотизм
dessert	0.755	0.491	0.404	десерт
destination	0.708	0.471	0.637	бара торган урын
destined	0.698	0.462	0.617	билгеләнгән
destiny	0.781	0.413	0.611	язмыш
destitute	0.130	0.451	0.222	ярлы
destroy	0.046	0.935	0.635	юк итү
destroyed	0.031	0.696	0.288	җимерелгән
destroyer	0.083	0.830	0.543	җимергеч
destroying	0.041	0.828	0.660	юк итү
destruct	0.071	0.868	0.525	җимерү
destruction	0.102	0.929	0.613	юк итү
destructive	0.177	0.870	0.713	җимергеч
detach	0.357	0.625	0.450	аеру
detached	0.280	0.396	0.216	аерым
detachment	0.243	0.700	0.443	отряд
detail	0.514	0.406	0.528	деталь
detailed	0.603	0.314	0.472	җентекле
details	0.583	0.367	0.481	детальләр
detain	0.351	0.345	0.430	тоткарлау
detainee	0.306	0.510	0.321	тоткарланган
detect	0.531	0.520	0.565	ачыклау
detectable	0.479	0.539	0.649	ачыклана
detection	0.708	0.567	0.538	ачыклау
detective	0.500	0.764	0.901	детектив
detector	0.459	0.630	0.724	детектор
detention	0.265	0.698	0.562	тоткарлау
deter	0.344	0.537	0.567	тоткарлау
detergent	0.458	0.304	0.426	юу
deteriorate	0.083	0.471	0.202	начарлана
deteriorated	0.053	0.549	0.237	начарланды
deteriorating	0.104	0.459	0.112	начарлана
deterioration	0.130	0.512	0.283	начарлану
determinable	0.625	0.565	0.723	билгеле
determinate	0.630	0.314	0.772	билгеләү
determination	0.776	0.725	0.795	тәвәккәллек
determine	0.612	0.368	0.776	билгеләү
determined	0.760	0.528	0.673	тәвәккәл
deterrent	0.292	0.461	0.385	комачаулау
detest	0.083	0.800	0.492	нәфрәт
detestation	0.177	0.637	0.412	җирәнү
detonate	0.375	0.850	0.696	шартлату
detonation	0.167	0.931	0.741	шартлау
detonator	0.207	0.875	0.750	детонатор
detour	0.398	0.539	0.309	әйләнү
detract	0.344	0.438	0.368	тарту
detriment	0.281	0.538	0.263	зарарлы
detrimental	0.203	0.679	0.387	зарарлы
detritus	0.276	0.353	0.363	детрит
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	deutschmark
devalued	0.321	0.462	0.212	кыйммәтләнде
devastate	0.021	0.796	0.509	җимергеч
devastated	0.120	0.544	0.264	җимерелгән
devastating	0.104	0.856	0.419	җимергеч
devastation	0.090	0.904	0.472	җимерү
develop	0.771	0.670	0.821	үсеш
developer	0.844	0.653	0.864	ясаучы
developing	0.833	0.587	0.714	үсеш
development	0.827	0.500	0.796	үсеш
deviant	0.094	0.589	0.398	deviant
deviate	0.173	0.562	0.269	тайпылу
deviating	0.354	0.634	0.536	тайпылу
deviation	0.105	0.513	0.336	тайпылыш
device	0.562	0.404	0.627	җайланма
devil	0.161	0.900	0.611	шайтан
deviled	0.347	0.559	0.358	Шайтан
devilish	0.073	0.865	0.490	шайтан
devious	0.250	0.519	0.259	хәйләкәр
devise	0.551	0.557	0.670	уйлап табу
devoid	0.219	0.436	0.300	юк
devolution	0.345	0.434	0.425	devolution
devolve	0.367	0.427	0.596	.әр сүзнең
devote	0.802	0.490	0.642	багышлагыз
devoted	0.867	0.320	0.698	багышланган
devotee	0.816	0.461	0.577	диндар
devotion	0.802	0.561	0.673	тугрылык
devotional	0.740	0.394	0.655	тугры
devour	0.344	0.888	0.574	йоту
devout	0.620	0.357	0.464	диндар
dew	0.604	0.225	0.464	чык
dexter	0.458	0.473	0.444	декстер
dexterity	0.771	0.673	0.864	декстерит
dextrose	0.333	0.402	0.323	декстроза
diabetes	0.051	0.472	0.279	диабет
diabetic	0.125	0.269	0.237	диабетик
diabolical	0.102	0.912	0.456	диаболик
diagnose	0.378	0.520	0.714	диагностикалау
diagnosis	0.571	0.500	0.819	диагноз
diagnostic	0.417	0.483	0.635	диагностика
diagnostics	0.540	0.440	0.750	диагностика
diagonal	0.500	0.343	0.410	диагональ
diagram	0.562	0.357	0.445	схема
dial	0.620	0.427	0.596	терегез
dialect	0.635	0.422	0.526	диалект
dialectic	0.510	0.540	0.638	диалектик
dialogue	0.599	0.441	0.625	диалог
dialysis	0.194	0.567	0.407	диализ
diameter	0.427	0.298	0.483	диаметры
diamond	0.910	0.606	0.769	бриллиант
diamonds	0.927	0.684	0.917	бриллиант
diaper	0.409	0.274	0.155	поддержка
diaphragm	0.459	0.337	0.517	диафрагма
diarrhea	0.092	0.684	0.143	эч китү
diarrhoea	0.038	0.692	0.250	эч китү
diary	0.698	0.292	0.464	көндәлек
diatribe	0.354	0.569	0.409	диатриб
dib	0.479	0.370	0.344	dib
dibs	0.510	0.410	0.391	dibs
dice	0.458	0.441	0.264	.әр сүзнең
dicey	0.290	0.833	0.727	.әр сүзнең
dichotomous	0.365	0.452	0.538	дикотом
dichotomy	0.323	0.482	0.483	дикотомия
dick	0.208	0.500	0.462	дик
dickhead	0.115	0.608	0.284	дикхед
dicks	0.310	0.694	0.358	дикс
dictate	0.480	0.423	0.668	диктант
dictation	0.255	0.378	0.627	диктант
dictator	0.073	0.760	0.862	диктатор
dictatorial	0.204	0.770	0.840	диктатор
dictatorship	0.082	0.806	0.784	диктатура
diction	0.439	0.373	0.679	дикция
dictionary	0.620	0.250	0.598	сүзлек
dictum	0.385	0.510	0.528	диктант
didactic	0.645	0.480	0.673	дидактик
diddle	0.429	0.566	0.393	дидл
die	0.031	0.765	0.259	үлә
died	0.021	0.650	0.327	үлде
diesel	0.490	0.327	0.448	дизель
diet	0.429	0.235	0.398	диета
dietary	0.551	0.220	0.261	диетик
differ	0.230	0.398	0.396	төрле
difference	0.474	0.560	0.483	аерма
differences	0.365	0.582	0.342	аермалар
different	0.612	0.394	0.473	төрле
differential	0.520	0.378	0.535	дифференциаль
differentiation	0.367	0.561	0.535	дифференциация
differently	0.480	0.431	0.506	төрлечә
differing	0.418	0.410	0.455	төрле
difficult	0.235	0.700	0.508	авыр
difficulties	0.082	0.784	0.357	кыенлыклар
difficulty	0.079	0.740	0.368	кыенлык
diffuse	0.430	0.431	0.321	таралу
diffusion	0.356	0.615	0.517	диффузия
dig	0.367	0.585	0.637	казу
digest	0.720	0.413	0.483	ашкайнату
digestion	0.531	0.410	0.455	ашкайнату
digestive	0.542	0.413	0.434	ашкайнату
digit	0.447	0.286	0.333	сан
digital	0.740	0.382	0.529	санлы
dignified	0.766	0.481	0.635	хөрмәтле
dignify	0.854	0.588	0.735	хөрмәт
dignity	0.844	0.391	0.873	хөрмәт
digress	0.271	0.625	0.411	дегресс
digs	0.448	0.670	0.635	казалар
dike	0.360	0.384	0.490	.әр сүзнең
dilapidated	0.229	0.618	0.286	тузган
dilatation	0.385	0.574	0.368	дилатация
dilation	0.347	0.490	0.578	дилация
dildo	0.536	0.587	0.491	дилдо
dilemma	0.153	0.590	0.430	дилемма
diligence	0.688	0.423	0.700	тырышлык
diligent	0.760	0.426	0.759	тырыш
dill	0.427	0.360	0.373	укроп
diluent	0.417	0.344	0.332	телле
dilute	0.275	0.192	0.349	эретү
diluted	0.469	0.310	0.229	эретелгән
dilution	0.445	0.337	0.352	эретү
dim	0.398	0.321	0.273	караңгы
dime	0.653	0.317	0.345	тиен
dimension	0.592	0.415	0.627	үлчәм
dimensional	0.561	0.484	0.596	үлчәмле
diminish	0.240	0.357	0.167	кими
diminished	0.156	0.269	0.196	кимеде
diminution	0.316	0.296	0.245	кимү
diminutive	0.323	0.200	0.109	азрак
dimwit	0.255	0.459	0.175	dimwit
din	0.440	0.417	0.398	дин
dine	0.821	0.519	0.478	ашау
diner	0.643	0.302	0.538	ашханә
dinghy	0.510	0.269	0.325	диңгез
dingo	0.608	0.472	0.346	динго
dingy	0.156	0.483	0.343	чүп
dining	0.724	0.350	0.459	ашау
dinky	0.357	0.451	0.358	dinky
dinner	0.823	0.392	0.379	кичке аш
dinnertime	0.796	0.406	0.341	кичке аш
dinosaur	0.448	0.630	0.596	динозавр
dint	0.378	0.480	0.492	dint
diocesan	0.520	0.283	0.518	епархия
diocese	0.510	0.288	0.575	епархия
diorama	0.592	0.441	0.462	диорама
dioxide	0.354	0.433	0.456	диоксид
dip	0.516	0.583	0.397	батыру
diploma	0.750	0.462	0.731	диплом
diplomacy	0.740	0.396	0.774	дипломатия
diplomat	0.563	0.262	0.868	дипломат
diplomatic	0.653	0.363	0.918	дипломатик
dipper	0.548	0.361	0.348	чүпрәк
dippy	0.430	0.402	0.340	диппи
dipstick	0.365	0.312	0.316	помада
dire	0.214	0.660	0.259	куркыныч
direct	0.793	0.403	0.650	туры
directed	0.542	0.490	0.541	.әр сүзнең
direction	0.719	0.330	0.684	юнәлеш
directive	0.604	0.530	0.918	күрсәтмә
directly	0.747	0.400	0.702	турыдан-туры
director	0.688	0.580	0.912	директоры
directory	0.439	0.413	0.538	каталог
dirt	0.112	0.500	0.236	пычрак
dirty	0.153	0.460	0.170	пычрак
disability	0.073	0.482	0.173	инвалидлык
disable	0.115	0.430	0.269	сүндер
disabled	0.308	0.443	0.235	инвалид
disadvantage	0.150	0.377	0.282	кимчелек
disaffected	0.176	0.410	0.291	.әр сүзнең
disagree	0.133	0.590	0.345	риза түгел
