English Word	Valence	Arousal	Dominance	Samoan Word
confident	0.765	0.324	0.723	mautinoa
confidential	0.643	0.471	0.761	fa'alilolilo
confidentiality	0.667	0.431	0.718	fa'alilolilo
confidentially	0.633	0.469	0.558	fa'alilolilo
configuration	0.540	0.443	0.591	faatulagaga
confine	0.327	0.551	0.538	taofia
confined	0.286	0.472	0.444	saisaitia
confinement	0.333	0.656	0.520	taofia
confines	0.396	0.386	0.542	tapula'a
confirm	0.802	0.439	0.806	fa'amaonia
confirmation	0.812	0.480	0.692	fa'amaoniga
confirmatory	0.656	0.500	0.683	fa'amaonia
confirmed	0.760	0.490	0.764	fa'amaonia
confiscate	0.250	0.625	0.482	faoa faamalosi
confiscation	0.208	0.706	0.586	faoa faamalosi
conflagration	0.344	0.721	0.594	afi afi
conflict	0.335	0.906	0.471	feteenaiga
conflicting	0.173	0.738	0.553	fete'ena'i
confluence	0.677	0.598	0.565	fa'atasiga
conform	0.479	0.380	0.375	fa'atatau
conformance	0.608	0.278	0.254	tausisia
conformation	0.622	0.435	0.711	fa'atusa
conformity	0.645	0.363	0.579	fa'amaoni
confound	0.347	0.529	0.333	fa'afememea'i
confounded	0.333	0.528	0.264	fa'afememea'i
confront	0.281	0.760	0.746	fa'asagatau
confrontation	0.177	0.870	0.658	fefinaua'iga
confuse	0.100	0.580	0.270	fenumiai
confused	0.220	0.650	0.179	le mautonu
confusing	0.229	0.690	0.222	fenumiai
confusion	0.255	0.667	0.277	fenumiai
conga	0.469	0.529	0.440	conga
congenial	0.820	0.412	0.620	malie
congenital	0.448	0.434	0.427	fanau mai
congestion	0.271	0.654	0.491	lolofi
conglomerate	0.500	0.500	0.838	fa'apotopotoga
conglomeration	0.541	0.720	0.670	fa'apotopotoga
congrats	0.930	0.726	0.775	faamalo
congratulate	0.927	0.724	0.784	faamalo
congratulation	0.948	0.780	0.717	faamalo
congratulations	0.960	0.755	0.719	faamalo
congratulatory	0.959	0.616	0.689	faamalo
congregate	0.653	0.530	0.733	potopoto
congregation	0.561	0.490	0.700	faapotopotoga
congress	0.449	0.444	0.857	fono
congressional	0.552	0.491	0.848	fono
congressman	0.438	0.471	0.877	faipule
congruence	0.656	0.472	0.577	fetaui lelei
conic	0.510	0.368	0.379	conic
conical	0.490	0.422	0.471	conical
conjecture	0.396	0.398	0.534	taumatematega
conjugal	0.698	0.510	0.688	fa'aipoipo
conjugate	0.583	0.420	0.467	fa'atasi
conjugation	0.479	0.429	0.582	fa'atasiga
conjunction	0.520	0.472	0.509	fa'atasi
conjunctive	0.487	0.444	0.639	fa'atasi
conjure	0.385	0.679	0.645	fa'apea
conjuring	0.224	0.653	0.694	fa'afoliga
conk	0.340	0.469	0.404	conk
connect	0.724	0.299	0.536	fa'afeso'ota'i
connected	0.816	0.550	0.612	fesootai
connection	0.729	0.560	0.655	sootaga
connective	0.719	0.491	0.764	fa'atasi
connoisseur	0.760	0.461	0.769	tagata poto
conquer	0.694	0.873	0.971	manumalo
conquering	0.760	0.873	0.936	fa'ato'ilaloina
conqueror	0.604	0.809	0.930	manumalo
conquest	0.710	0.702	0.833	fa'ato'ilaloina
conscience	0.663	0.375	0.721	lotofuatiaifo
conscientious	0.688	0.404	0.688	magafagafa
conscious	0.740	0.333	0.705	malamalama
consciousness	0.840	0.483	0.755	malamalama
conscription	0.396	0.775	0.642	fa'atonuga
consecrated	0.663	0.500	0.800	faapaiaina
consecration	0.771	0.418	0.804	faapaiaga
consecutive	0.663	0.418	0.643	sosoo
consensual	0.663	0.417	0.655	fa'atasi
consensus	0.627	0.358	0.625	maliliega
consent	0.750	0.500	0.620	malie
consenting	0.727	0.406	0.693	malie
consequence	0.240	0.721	0.593	taunuuga
consequent	0.663	0.471	0.625	i'uga
conservation	0.832	0.401	0.606	faasao
conservatism	0.406	0.369	0.633	conservatism
conservative	0.615	0.316	0.788	fa'asao
conservatory	0.635	0.240	0.729	fale fa'asao
conserve	0.690	0.347	0.573	faasao
consider	0.677	0.368	0.579	mafaufau
considerable	0.653	0.314	0.683	tele
considerate	0.781	0.380	0.633	magafagafa
consideration	0.589	0.380	0.687	manatu
consignee	0.635	0.385	0.602	tagata fa'atau
consignment	0.490	0.440	0.500	utaina
consist	0.823	0.386	0.580	aofia ai
consistency	0.714	0.500	0.887	tumau
consistent	0.786	0.431	0.726	tumau
consolation	0.408	0.250	0.304	fa'amafanafanaga
console	0.625	0.398	0.415	fa'amafanafanaga
consoled	0.700	0.343	0.452	fa'amafanafanaina
consolidate	0.880	0.440	0.870	fa'atasi
consolidated	0.700	0.366	0.784	fa'atasi
consolidation	0.604	0.445	0.776	fa'atasi
consonant	0.500	0.347	0.417	konesona
consort	0.632	0.509	0.630	fa'aipoipo
conspicuous	0.479	0.520	0.596	mata'utia
conspiracy	0.125	0.787	0.652	taupulepulega leaga
conspirator	0.271	0.786	0.707	taupulepule
conspire	0.206	0.740	0.520	taupulepule
constable	0.573	0.667	0.764	leoleo
constancy	0.786	0.443	0.763	tumau
constant	0.740	0.296	0.686	tumau
constantly	0.663	0.561	0.700	e le aunoa
constellation	0.719	0.533	0.775	fa'aputuga fetu
consternation	0.167	0.680	0.469	atuatuvale
constipation	0.079	0.612	0.231	susua
constituency	0.500	0.480	0.696	itumalo
constituent	0.573	0.500	0.827	fa'avae
constituents	0.573	0.414	0.833	vaega fa'avae
constitute	0.812	0.349	0.906	faia
constitution	0.590	0.380	0.889	faavae
constitutional	0.633	0.418	0.827	fa'avae
constitutionality	0.612	0.439	0.853	fa'avae
constrain	0.261	0.500	0.500	taofiofia
constrained	0.135	0.537	0.357	taofiofia
constraint	0.323	0.550	0.481	taofiofiga
construct	0.750	0.648	0.792	fausia
construction	0.848	0.612	0.759	fausiaina
constructive	0.860	0.570	0.812	fa'aleleia
construe	0.602	0.519	0.553	fa'amatala
consul	0.573	0.354	0.688	konesula
consulate	0.561	0.453	0.694	konesula
consult	0.755	0.370	0.441	feutagai
consultant	0.770	0.344	0.808	faufautua
consultation	0.660	0.463	0.625	feutagaiga
consume	0.427	0.620	0.509	'ai
consumer	0.507	0.551	0.677	tagata fa'atau
consuming	0.573	0.541	0.536	'ai
consummate	0.551	0.540	0.558	atoatoa
consummation	0.583	0.676	0.661	fa'ataunu'uga
consumption	0.390	0.531	0.538	taumafa
contact	0.719	0.424	0.526	fa'afeso'ota'i
contagion	0.208	0.630	0.535	fa'ama'i
contagious	0.184	0.725	0.400	pipisi
contain	0.542	0.490	0.658	aofia ai
container	0.551	0.396	0.561	pusa
containment	0.411	0.491	0.618	taofiofia
contaminate	0.140	0.611	0.426	fa'aleagaina
contaminated	0.040	0.500	0.368	fa'aleagaina
contamination	0.125	0.610	0.375	fa'aleagaina
contemplate	0.740	0.347	0.642	mafaufau loloto
contemplation	0.552	0.324	0.627	manatunatuga
contemplative	0.729	0.308	0.739	mafaufau loloto
contemporaneous	0.640	0.373	0.591	fa'atasi
contemporary	0.720	0.365	0.569	faaonaponei
contempt	0.206	0.635	0.396	inosia
contemptible	0.146	0.657	0.471	inosia
contemptuous	0.204	0.500	0.375	fa'atauva'a
contend	0.510	0.657	0.731	finau
contender	0.480	0.790	0.681	tauva
contending	0.490	0.698	0.716	finau
content	0.764	0.296	0.559	anotusi
contented	0.857	0.612	0.746	faamalieina
contention	0.375	0.510	0.738	finauga
contentious	0.422	0.573	0.637	misa
contentment	0.875	0.610	0.782	faamalieina
contents	0.656	0.375	0.550	anotusi
contest	0.667	0.698	0.717	tauvaga
contestant	0.760	0.530	0.602	tauva
context	0.531	0.300	0.553	talaaga
contiguous	0.375	0.450	0.500	soso'o
continence	0.450	0.396	0.469	taofiofi
continent	0.551	0.373	0.833	konetineta
continental	0.486	0.350	0.755	konetineta
contingency	0.396	0.500	0.670	fa'alavelave
contingent	0.470	0.531	0.659	fa'alavelave
continual	0.500	0.423	0.685	faifai pea
continually	0.646	0.438	0.698	faifai pea
continuance	0.729	0.510	0.652	fa'aauau
continuation	0.615	0.470	0.566	fa'aauau
continue	0.630	0.427	0.612	faaauau
continued	0.635	0.440	0.500	faaauau
continuing	0.667	0.500	0.520	fa'aauau
continuity	0.781	0.439	0.684	fa'aauau
continuous	0.625	0.509	0.580	faifai pea
continuously	0.719	0.417	0.702	faifai pea
continuum	0.677	0.390	0.491	fa'aauau
contour	0.589	0.265	0.414	ta'amilosaga
contraband	0.177	0.875	0.670	mea fa'atau
contraception	0.296	0.518	0.525	maitaga
contract	0.594	0.412	0.636	konekarate
contracted	0.344	0.557	0.449	konekarate
contractile	0.480	0.586	0.569	konekarate
contracting	0.594	0.490	0.769	konekarate
contraction	0.292	0.755	0.603	fa'aitiitiga
contractor	0.592	0.479	0.727	konekarate
contradict	0.160	0.598	0.482	fete'ena'i
contradiction	0.250	0.660	0.377	fete'ena'iga
contradictory	0.365	0.651	0.421	fete'ena'i
contraption	0.448	0.590	0.491	fa'atauga
contrary	0.327	0.449	0.338	fa'afeagai
contrast	0.480	0.406	0.520	fa'atusatusaga
contrasted	0.521	0.538	0.491	fa'afeagai
contravene	0.357	0.618	0.472	fete'ena'i
contravention	0.344	0.627	0.593	solia
contribute	0.806	0.350	0.795	saofaga
contribution	0.854	0.452	0.760	saofaga
contributor	0.844	0.510	0.760	tagata fai sao
contrite	0.347	0.363	0.473	salamo
contrition	0.347	0.583	0.463	salamo
contrived	0.408	0.530	0.458	faufau
control	0.729	0.352	0.808	pulea
controller	0.469	0.712	0.868	pule
controlling	0.490	0.441	0.885	pulea
controversial	0.271	0.858	0.538	fefinauai
controversy	0.250	0.819	0.600	finauga
contusion	0.167	0.565	0.509	pa'u
conundrum	0.354	0.524	0.408	fa'alavelave
convalescent	0.458	0.480	0.269	toe malosi
convection	0.521	0.494	0.526	fe'avea'i
convene	0.583	0.676	0.636	fono
convenience	0.781	0.448	0.613	faigofie
conveniences	0.802	0.412	0.693	mea faigofie
convenient	0.846	0.491	0.574	talafeagai
convent	0.480	0.217	0.594	taupulega
convention	0.622	0.622	0.704	tauaofiaga
conventional	0.594	0.292	0.634	masani
converge	0.635	0.471	0.539	fa'atasi
convergence	0.551	0.491	0.625	fa'atasiga
convergent	0.781	0.490	0.696	fa'atasi
conversant	0.724	0.360	0.542	tautalatala
conversation	0.750	0.510	0.609	talanoaga
conversational	0.719	0.431	0.596	talanoaga
conversationalist	0.719	0.467	0.667	tagata talanoa
converse	0.594	0.406	0.598	talatalanoa
conversing	0.755	0.409	0.442	talatalanoa
conversion	0.480	0.605	0.736	liua
convert	0.551	0.538	0.704	liliu mai
converted	0.663	0.418	0.686	liua
convertible	0.542	0.529	0.717	liua
convex	0.438	0.427	0.445	fa'asa'o
convexity	0.449	0.354	0.484	fefiloi
convey	0.719	0.633	0.708	momoli atu
conveyance	0.615	0.520	0.455	felauaiga
conveyancing	0.375	0.479	0.663	fe'avea'i
convict	0.177	0.840	0.477	nofosala
conviction	0.615	0.704	0.826	talitonuga maumaututu
convince	0.708	0.539	0.763	faatalitonu
convinced	0.750	0.500	0.630	talitonuina
convincing	0.760	0.527	0.900	faatalitonuina
convocation	0.538	0.611	0.663	fono
convoluted	0.323	0.614	0.433	fememea'i
convolution	0.417	0.559	0.527	fa'alavelave
convoy	0.500	0.671	0.639	fa'apotopotoga
coo	0.490	0.439	0.500	coo
cook	0.847	0.500	0.412	kuka
cookbook	0.602	0.346	0.398	tusi kuka
cooker	0.592	0.373	0.407	fai kuka
cookery	0.633	0.368	0.345	kuka
cookie	0.792	0.306	0.250	kuki
cookies	0.823	0.451	0.316	kuki
cooking	0.694	0.510	0.434	kuka
cookout	0.680	0.406	0.482	kuka
cool	0.885	0.540	0.781	sekia
coolant	0.720	0.412	0.456	fa'alili
cooler	0.664	0.375	0.460	mālūlū
cooling	0.469	0.324	0.392	mālūlū
coolness	0.490	0.307	0.548	mālūlū
coon	0.490	0.460	0.400	coon
coop	0.612	0.445	0.650	fale
cooperate	0.898	0.451	0.582	felagolagomai
cooperating	0.760	0.390	0.693	felagolagomai
cooperation	0.847	0.473	0.686	felagolagomai
cooperative	0.816	0.461	0.670	felagolagomai
coordinate	0.698	0.429	0.694	faamaopoopo
coordination	0.677	0.454	0.789	fa'amaopoopo
coordinator	0.750	0.510	0.850	faamaopoopo
cop	0.327	0.770	0.836	leoleo
copacetic	0.510	0.471	0.453	copacetic
cope	0.592	0.647	0.709	fa'afetaia'i
copier	0.459	0.345	0.390	fai kopi
copilot	0.640	0.538	0.573	kopilota
coping	0.562	0.630	0.613	taulimaina
copious	0.427	0.462	0.527	tele
copper	0.580	0.260	0.500	kopa
copter	0.571	0.704	0.569	copter
copy	0.460	0.240	0.263	kopi
copycat	0.449	0.580	0.443	kopi kopi
copying	0.448	0.315	0.404	kopi
copyright	0.458	0.402	0.663	puletaofia
coral	0.802	0.231	0.425	'amu
coral snake	0.276	0.712	0.607	gata amu
cord	0.388	0.378	0.358	uaea
cordial	0.823	0.312	0.482	agalelei
cordless	0.667	0.441	0.528	leai se uaea
cordon	0.469	0.317	0.380	puipui
corduroy	0.570	0.324	0.357	ufiuila
core	0.721	0.378	0.540	autu
cork	0.347	0.250	0.281	pupuni
corkscrew	0.427	0.443	0.445	fa'amau
corn	0.594	0.196	0.292	sana
cornball	0.479	0.378	0.325	polo sana
cornbread	0.643	0.304	0.302	falaoa sana
cornea	0.521	0.346	0.443	mata'u
corned	0.459	0.441	0.425	sana
corner	0.400	0.296	0.366	tulimanu
cornerstone	0.550	0.388	0.596	maatulimanu
cornet	0.507	0.520	0.415	koneti
cornfield	0.719	0.310	0.349	fanua sana
cornflakes	0.729	0.346	0.355	cornflakes
cornice	0.458	0.441	0.295	konisi
cornstarch	0.643	0.299	0.337	masoa
corny	0.448	0.370	0.221	matagā
corollary	0.458	0.469	0.366	i'uga
corona	0.818	0.439	0.745	korona
coronary	0.567	0.613	0.509	fatu fatu
coronation	0.792	0.592	0.836	faapaleina
coroner	0.323	0.558	0.526	coroner
corporal	0.582	0.490	0.596	tino
corporate	0.592	0.454	0.745	kamupani
corporation	0.429	0.332	0.873	fa'apotopotoga
corporeal	0.520	0.350	0.461	fa'aletino
corps	0.551	0.453	0.483	tino
corpse	0.094	0.657	0.232	tino oti
corpsman	0.439	0.469	0.651	tino oti
corpus	0.543	0.340	0.490	tino
corral	0.606	0.662	0.422	pā
correct	0.857	0.306	0.723	sa'o
correction	0.448	0.485	0.558	faasa'oga
correctional	0.292	0.713	0.602	faasa'oga
corrective	0.448	0.528	0.613	faasa'oga
correctness	0.796	0.450	0.649	sa'o
correlation	0.596	0.462	0.571	fa'atasi
correlative	0.510	0.402	0.571	fa'atasi
correspond	0.710	0.452	0.545	fetaui
correspondence	0.663	0.423	0.491	fetusiaiga
correspondent	0.573	0.565	0.712	tusitala
corresponding	0.740	0.423	0.618	fetaui
corridor	0.604	0.589	0.592	alalaupapa
corroborate	0.671	0.471	0.616	fa'amaonia
corroboration	0.625	0.431	0.733	fa'amaoniga
corrosion	0.156	0.610	0.348	pala
corrosive	0.140	0.618	0.570	pala
corrupt	0.020	0.806	0.500	pi'opi'o
corrupting	0.062	0.804	0.380	faiga pi'opi'o
corruption	0.052	0.830	0.549	faiga pi’opi’o
corsage	0.510	0.294	0.397	ufiu
corse	0.448	0.451	0.382	tino
corset	0.490	0.520	0.381	koseti
cortex	0.594	0.439	0.529	pito
cortical	0.380	0.423	0.536	fa'atosina
cortisone	0.427	0.395	0.456	cortisone
corvette	0.551	0.520	0.598	corvette
cosmetic	0.625	0.304	0.308	teuteuga
cosmetics	0.765	0.464	0.472	mea teuteu
cosmic	0.663	0.538	0.692	vanimonimo
cosmology	0.651	0.438	0.637	fa'alelagi
cosmopolitan	0.823	0.510	0.760	lalolagi
cosmos	0.860	0.478	0.664	vanimonimo
cost	0.365	0.420	0.439	tau
costly	0.316	0.650	0.642	taugata
costume	0.548	0.510	0.374	teuga
cosy	0.847	0.255	0.518	mafanafana
cot	0.625	0.230	0.278	moega
cote	0.439	0.344	0.324	fale
cottage	0.600	0.279	0.361	fale
cotton	0.639	0.071	0.240	cotton
couch	0.594	0.082	0.198	moega
cougar	0.438	0.588	0.538	cougar
cough	0.255	0.627	0.241	tale
council	0.875	0.279	0.635	fono
councilman	0.531	0.367	0.793	faipule
counsel	0.594	0.519	0.730	fautuaga
counseling	0.667	0.480	0.704	faufautua
counsellor	0.823	0.327	0.740	faufautua
counselor	0.873	0.365	0.706	faufautua
count	0.594	0.389	0.492	faitau
countdown	0.438	0.692	0.490	faitau i tua
countenance	0.635	0.440	0.690	foliga
counter	0.439	0.478	0.750	fata
counteract	0.378	0.542	0.688	tetee
counterattack	0.281	0.951	0.764	osofa'iga
counterbalance	0.520	0.480	0.627	faapaleni
counterclaim	0.398	0.760	0.651	tagi tetee
counterfeit	0.094	0.694	0.451	pepelo
counterpart	0.448	0.608	0.577	paaga
counterpoint	0.438	0.509	0.538	fa'asagatau
countess	0.562	0.440	0.670	countess
countless	0.520	0.566	0.534	le mafaitaulia
country	0.698	0.394	0.693	atunuu
countryman	0.673	0.441	0.789	tagata o le atunuu
countrymusic	0.795	0.451	0.438	musika a atunuu
countryside	0.732	0.288	0.327	nuu i tua
counts	0.343	0.373	0.500	taulia
county	0.479	0.368	0.545	itumalo
coup	0.275	0.815	0.607	osofa'iga
coupe	0.479	0.460	0.482	coupe
couple	0.806	0.605	0.607	ulugalii
coupled	0.612	0.286	0.650	fa'atasi
coupling	0.594	0.479	0.555	fa'atasi
coupon	0.704	0.300	0.421	coupon
courage	0.830	0.728	0.849	lototele
courageous	0.918	0.587	0.879	lototetele
courier	0.551	0.383	0.441	avefe'au
courses	0.735	0.412	0.534	vasega
coursing	0.542	0.472	0.546	kosi
court	0.479	0.769	0.827	faamasinoga
courteous	0.937	0.396	0.529	fa'aaloalo
courtesy	0.927	0.287	0.431	fa'aaloalo
courthouse	0.571	0.503	0.818	fale faamasino
courtroom	0.385	0.670	0.887	potu faamasino
courts	0.367	0.710	0.816	faamasinoga
courtship	0.667	0.490	0.654	faauoga
courtside	0.592	0.391	0.434	malae
courtyard	0.503	0.365	0.355	lotoa
cousin	0.675	0.394	0.427	kasegi
cousins	0.760	0.409	0.464	tausoga
cove	0.500	0.304	0.370	cove
coven	0.458	0.578	0.591	feagaiga
covenant	0.594	0.462	0.667	feagaiga
cover	0.365	0.240	0.471	ufiufi
coverage	0.767	0.413	0.629	inisiua
covered	0.562	0.340	0.644	ufiufi
covering	0.615	0.382	0.583	ufiufi
covert	0.500	0.570	0.508	lilo
covet	0.302	0.779	0.524	mana'o
coveted	0.661	0.730	0.625	mana'o tele
cow	0.449	0.230	0.300	povi
coward	0.102	0.490	0.149	pala'ai
cowardice	0.133	0.621	0.167	pala'ai
cowardly	0.102	0.385	0.127	pala'ai
cowboy	0.594	0.625	0.695	kaupoe
cowgirl	0.541	0.566	0.554	teine kaupoe
cowhand	0.438	0.480	0.596	lima povi
cowhide	0.458	0.324	0.333	pa'u povi
cowl	0.427	0.450	0.232	pulupulu
coworker	0.667	0.490	0.625	tagata faigaluega
coy	0.347	0.330	0.213	coy
coyote	0.459	0.471	0.387	coyote
cozy	0.910	0.356	0.545	mafanafana
crab	0.421	0.396	0.330	paa
crabby	0.198	0.812	0.370	paa'u
crack	0.302	0.625	0.400	ta'e
cracked	0.224	0.520	0.228	ta'e
cracker	0.604	0.343	0.346	masi
crackerjack	0.567	0.509	0.426	masi
cracking	0.327	0.557	0.286	ta'e
crackle	0.327	0.643	0.481	taalili
crackpot	0.260	0.602	0.245	u'amea
cradle	0.776	0.194	0.333	moega pepe
craft	0.760	0.321	0.539	faiva
crafts	0.667	0.380	0.391	galuega taulima
craftsman	0.719	0.310	0.583	tufuga
craftsmanship	0.823	0.373	0.571	tufuga
crafty	0.589	0.679	0.783	fa'a'ole'ole
craig	0.448	0.449	0.490	Craig
cram	0.354	0.730	0.598	gaogao
crammed	0.406	0.740	0.466	tumu
cramp	0.194	0.796	0.340	gaogao
cramped	0.240	0.567	0.360	vaapiapi
cranberry	0.793	0.330	0.363	kulini
cranberry juice	0.622	0.321	0.281	sua vine
crane	0.396	0.417	0.589	kesi
cranial	0.354	0.510	0.583	gaogao
cranium	0.439	0.491	0.725	ulu
crank	0.448	0.275	0.417	kivi
cranky	0.194	0.776	0.396	gugutu
cranny	0.194	0.471	0.250	pupuni
crap	0.083	0.644	0.167	leaga
crappy	0.039	0.582	0.208	leaga
craps	0.375	0.420	0.273	pa'u
crash	0.194	0.906	0.355	fa'alavelave
crass	0.223	0.490	0.466	leaga
crate	0.427	0.173	0.274	pusa
crater	0.450	0.647	0.529	lua
crave	0.625	0.510	0.731	tu'inanau
craving	0.510	0.755	0.636	tu'inanau
crawfish	0.510	0.427	0.342	figota
crawl	0.479	0.519	0.467	fetolofi
crayon	0.604	0.260	0.185	penivali
crayons	0.684	0.366	0.405	penivali
craze	0.255	0.657	0.435	vale
crazed	0.153	0.877	0.417	valea
craziness	0.238	0.908	0.255	valea
crazy	0.156	0.843	0.321	valea
creak	0.344	0.670	0.411	ga'o
creaking	0.302	0.743	0.415	fe'ei
cream	0.688	0.259	0.220	kulimi
creamed	0.723	0.273	0.288	kulimi
creamer	0.594	0.192	0.269	kulimi
creamy	0.823	0.337	0.345	kulimi
crease	0.440	0.286	0.300	pi'opi'o
create	0.786	0.588	0.789	faia
creation	0.927	0.575	0.868	foafoaga
creative	0.917	0.518	0.788	foafoa
creativity	0.938	0.684	0.815	fatufatuga
creator	0.865	0.592	0.856	foafoa
creature	0.669	0.625	0.620	meaola
credence	0.760	0.460	0.737	talitonuina
credential	0.735	0.337	0.597	fa'ailoga
credentials	0.708	0.373	0.675	fa'ailoga
credibility	0.875	0.427	0.809	fa'amaoni
credible	0.917	0.441	0.750	talitonuina
credit	0.673	0.549	0.648	aitalafu
credit card	0.670	0.550	0.640	numera tala tupe
creditable	0.802	0.510	0.742	aitalafu
credited	0.781	0.390	0.691	fa'atauaina
crediting	0.673	0.550	0.741	aitalafu
creditor	0.479	0.594	0.689	o lo o nofo aitalafu ai
creed	0.573	0.245	0.544	talitonuga
creek	0.552	0.392	0.330	ālia
creep	0.354	0.647	0.361	fetolofi
creeper	0.429	0.558	0.366	fetolofi
creeping	0.292	0.613	0.282	fetolofi
creepy	0.125	0.861	0.373	mata'utia
cremation	0.084	0.620	0.420	susunuina
creole	0.667	0.357	0.523	gagana kreole
crepe	0.562	0.224	0.349	crepe
crescendo	0.760	0.575	0.594	crescendo
crescent	0.698	0.382	0.407	masina
crest	0.458	0.333	0.333	tumutumu
crestfallen	0.235	0.346	0.175	fa'anoanoa
cretin	0.265	0.583	0.312	cretin
cretins	0.094	0.741	0.328	cretins
crevice	0.361	0.471	0.275	va'a
crew	0.604	0.598	0.735	auvaa
crewman	0.602	0.580	0.548	auvaa
crib	0.653	0.240	0.407	moega pepe
cricket	0.423	0.539	0.370	Kirikiti
cried	0.167	0.612	0.254	tagi
crime	0.071	0.943	0.630	solitulafono
criminal	0.021	0.830	0.529	solitulafono
criminality	0.122	0.863	0.580	solitulafono
crimp	0.260	0.557	0.396	crimp
crimson	0.667	0.385	0.370	mumu
cringe	0.245	0.840	0.377	fa'anoanoa
cripple	0.094	0.392	0.161	pipili
crippled	0.035	0.358	0.236	pipili
crippling	0.156	0.598	0.391	pipili
crisis	0.208	0.811	0.431	fa'alavelave
crisp	0.776	0.692	0.508	mālūlū
crispy	0.656	0.550	0.509	masi
criterion	0.396	0.410	0.736	fua fa'atatau
critic	0.264	0.604	0.686	faitio
critical	0.312	0.802	0.545	faitio
criticise	0.073	0.700	0.452	faitio
criticism	0.115	0.563	0.505	faitioga
criticize	0.143	0.708	0.473	faitio
criticized	0.240	0.600	0.311	faitioina
critique	0.302	0.760	0.537	faitio
critter	0.542	0.539	0.482	manu
croak	0.337	0.346	0.298	koroke
croc	0.327	0.452	0.451	croc
crock	0.385	0.412	0.421	tui
crockery	0.552	0.216	0.327	mea'ai
crocodile	0.344	0.708	0.610	korokotaila
croft	0.531	0.429	0.421	croft
croissant	0.745	0.330	0.430	croissant
crook	0.171	0.765	0.550	pi'opi'o
crooked	0.146	0.594	0.305	pi'opi'o
crop	0.615	0.260	0.500	fua
croquet	0.551	0.519	0.407	croquet
cross	0.448	0.321	0.569	satauro
cross country	0.531	0.441	0.529	kolosi atunuu
crossbow	0.344	0.598	0.560	aufana faalava
crossed	0.431	0.490	0.508	sopoia
crossfire	0.316	0.896	0.722	felavasa'i
crossing	0.549	0.349	0.451	sopoia
crossover	0.559	0.550	0.500	sopoia
crosswalk	0.557	0.441	0.380	savali savali
crossword	0.611	0.423	0.455	felavasai
crotch	0.521	0.637	0.447	gaogao
crouch	0.281	0.606	0.312	punou
crouched	0.333	0.363	0.279	punou
crouching	0.261	0.429	0.345	punou
croupier	0.531	0.519	0.404	croupier
crow	0.224	0.439	0.363	matuu
crowbar	0.406	0.531	0.386	fa'auu
crowd	0.350	0.827	0.731	motu o tagata
crowded	0.694	0.286	0.585	tumutumu
crowds	0.469	0.723	0.806	motu o tagata
crown	0.708	0.572	0.737	palealii
crowning	0.773	0.594	0.831	faapaleina
crucial	0.541	0.657	0.777	taua
cruciate	0.429	0.435	0.585	faasatauro
crucifix	0.469	0.480	0.510	faasatauro
crucifixion	0.135	0.857	0.541	faasatauroga
crucify	0.146	0.878	0.573	faasatauro
crud	0.312	0.330	0.444	gaogao
crude	0.198	0.402	0.357	fa'atauva'a
cruel	0.122	0.866	0.391	sauā
cruelly	0.146	0.790	0.471	sauā
cruelty	0.092	0.836	0.536	sauā
cruise	0.740	0.442	0.683	folauga
cruise ship	0.878	0.650	0.500	vaa folau
cruiser	0.737	0.490	0.608	vaa folau
cruising	0.886	0.580	0.560	folau
crumb	0.417	0.255	0.216	nu'u
crumble	0.333	0.480	0.423	malepelepe
crumbling	0.167	0.696	0.308	malepelepe
crummy	0.125	0.531	0.224	matagā
crunch	0.292	0.630	0.406	gaogao
crunchy	0.625	0.560	0.539	mānu'u
crusade	0.592	0.720	0.709	taupulepulega
crusader	0.439	0.588	0.548	taupulepule
crush	0.271	0.676	0.582	tu'imomomo
crushed	0.167	0.647	0.300	nutimomoia
crusher	0.271	0.709	0.598	tu'imomomo
crushing	0.219	0.755	0.411	nutimomoia
crust	0.542	0.337	0.456	pa'u
crusty	0.625	0.531	0.473	ga'o
crutch	0.302	0.294	0.302	tootoo
crux	0.469	0.558	0.519	crux
cry	0.133	0.627	0.255	tagi
crybaby	0.375	0.702	0.311	tagi
crying	0.153	0.704	0.208	tagi
crypt	0.156	0.431	0.386	crypt
cryptic	0.296	0.516	0.474	faalilolilo
cryptography	0.490	0.415	0.650	fa'amatalaga fa'amatalaga
crystal	0.618	0.270	0.508	tioata
crystalline	0.765	0.235	0.534	tioata tioata
crystallization	0.600	0.449	0.565	tioata
cub	0.646	0.382	0.284	tama
cubby	0.354	0.385	0.360	pu'upu'u
cube	0.469	0.226	0.274	pusa
cubic	0.458	0.306	0.407	kupita
cubicle	0.479	0.343	0.417	potu
cuckold	0.210	0.573	0.230	tautane
cuckoo	0.420	0.459	0.284	kuku
cucumber	0.490	0.235	0.237	kukama
cuddle	0.885	0.559	0.475	fusi
cuddled	0.906	0.547	0.567	fusifusia
cuddles	0.847	0.382	0.500	fusi
cuddling	0.917	0.562	0.433	fusi
cue	0.521	0.433	0.484	fa'ailoga
cuff	0.469	0.453	0.387	lima lima
cuisine	0.714	0.365	0.390	mea'ai
culinary	0.654	0.443	0.519	taumafa
cull	0.365	0.702	0.464	fa'atosina
culminate	0.667	0.550	0.602	taualuga
culmination	0.656	0.586	0.695	taualuga
culpability	0.112	0.745	0.368	tausala
culpable	0.140	0.700	0.319	tausalaina
culprit	0.062	0.676	0.333	tausala
cult	0.448	0.535	0.648	tapuaiga
