English Word	Valence	Arousal	Dominance	Maori Word
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	koha
donation	0.792	0.398	0.602	takoha
donkey	0.406	0.367	0.245	kaihe
donor	0.714	0.490	0.653	kaituku
dontlikeyou	0.055	0.500	0.282	kaua e pai ki a koe
dontmess	0.396	0.482	0.440	kaua e raruraru
dontmesswithme	0.312	0.635	0.440	kaua e raru ki ahau
dontpanic	0.469	0.465	0.425	kaua e mataku
dontunderstand	0.219	0.357	0.271	kare e marama
doodle	0.604	0.402	0.376	taratara
doom	0.073	0.750	0.442	mate
doomed	0.041	0.755	0.301	kua mate
doomsday	0.125	0.861	0.670	maminga
door	0.549	0.189	0.421	tatau
doorbell	0.564	0.500	0.307	pere tatau
doorknob	0.406	0.553	0.462	tatau tatau
doorman	0.570	0.371	0.491	kaitiaki tatau
doormat	0.458	0.269	0.267	whariki kuaha
doornail	0.459	0.370	0.423	whao kuaha
doorstep	0.531	0.274	0.391	kuaha
doorway	0.573	0.304	0.496	kuaha
dopamine	0.548	0.469	0.426	dopamine
dope	0.295	0.855	0.425	haupapa
dopey	0.320	0.380	0.365	topee
dork	0.272	0.519	0.361	ruru
dorky	0.302	0.480	0.390	koroke
dorm	0.719	0.194	0.327	moenga
dormant	0.385	0.245	0.245	whakamoe
dormitory	0.633	0.204	0.382	whare noho
dorsal	0.449	0.360	0.445	tuara
dosage	0.344	0.450	0.490	inenga
dose	0.458	0.490	0.427	horopeta
dossier	0.357	0.380	0.544	pukapuka pukapuka
dot	0.434	0.290	0.391	ira
doting	0.888	0.415	0.426	whakapouri
dotted	0.480	0.347	0.426	iraira
dotty	0.375	0.402	0.393	iraiti
double	0.677	0.378	0.569	rua
doubled	0.427	0.536	0.560	whakaruarua
doublet	0.420	0.431	0.500	takirua
doubling	0.459	0.452	0.464	whakaruarua
doubt	0.395	0.351	0.231	ruarua
doubtful	0.250	0.465	0.241	rangirua
doubting	0.224	0.560	0.189	e ruarua ana
doubtless	0.688	0.415	0.689	kore rawa
doubts	0.306	0.448	0.305	feaa
douche	0.490	0.413	0.397	karekau
douchebags	0.327	0.587	0.366	pukoro
dough	0.588	0.229	0.391	paraoa pokepoke
doughboy	0.365	0.443	0.396	pouaru
doughnut	0.663	0.380	0.279	donut
dour	0.360	0.404	0.325	haurua
douse	0.365	0.453	0.412	whakamaua
dove	0.729	0.235	0.437	kukupa
down	0.208	0.330	0.264	ki raro
downcast	0.071	0.500	0.222	whakaheke
downer	0.120	0.594	0.226	whakararo
downfall	0.200	0.717	0.182	hinganga
downfield	0.521	0.330	0.380	ki raro
downhearted	0.119	0.461	0.255	pouri
downhill	0.292	0.573	0.279	heke
download	0.602	0.490	0.503	tango
downpour	0.328	0.602	0.481	ua ua
downright	0.625	0.454	0.679	tika tonu
downriver	0.542	0.469	0.279	whakararo
downside	0.190	0.400	0.246	whakararo
downtime	0.240	0.226	0.324	wā whakatā
downward	0.188	0.347	0.255	whakararo
downy	0.630	0.170	0.255	heke
dowry	0.604	0.453	0.544	he tapaenga
doze	0.592	0.200	0.405	moe
dozen	0.583	0.343	0.425	tatini
drab	0.327	0.300	0.242	whakapouri
draft	0.438	0.360	0.351	tauira
drafty	0.458	0.500	0.518	whakataka
drag	0.388	0.606	0.348	toia
dragon	0.541	0.821	0.712	tarakona
dragonfly	0.571	0.373	0.357	namu
drain	0.277	0.470	0.222	wairere
drainage	0.219	0.354	0.307	whakaheke wai
drained	0.310	0.441	0.352	whakahekehia
draining	0.337	0.396	0.304	whakaheke wai
drainpipe	0.417	0.413	0.277	paipa wai
drake	0.467	0.411	0.452	tarake
drama	0.430	0.755	0.481	whakaari
dramaqueen	0.337	0.682	0.482	kuini whakaari
dramatic	0.367	0.780	0.443	whakaari
drape	0.417	0.439	0.404	takai
drapery	0.479	0.220	0.223	kakahu kakahu
drastic	0.194	0.839	0.657	taikaha
drat	0.302	0.516	0.409	drat
draught	0.465	0.245	0.316	tauira
draw	0.704	0.449	0.481	tuhi
drawback	0.302	0.422	0.148	drawback
drawbridge	0.551	0.557	0.438	piriti utu
drawer	0.429	0.196	0.292	pouaka
drawers	0.539	0.260	0.236	kaiutuutu
drawing	0.698	0.216	0.333	tuhi
dread	0.153	0.792	0.368	wehi
dreaded	0.122	0.706	0.460	whakamataku
dreadful	0.092	0.786	0.348	whakamataku
dreadfully	0.246	0.806	0.306	whakamataku
dreading	0.125	0.760	0.377	te wehi
dream	0.844	0.157	0.328	moemoea
dreamboat	0.776	0.491	0.458	poti moemoea
dreamer	0.820	0.394	0.455	moemoea
dreaming	0.854	0.320	0.336	moemoea
dreamland	0.844	0.471	0.566	whenua moemoea
dreams	0.865	0.415	0.530	moemoea
dreamt	0.812	0.380	0.518	moemoea
dreamy	0.837	0.350	0.500	moemoea
dreary	0.260	0.490	0.324	pouri
dredge	0.427	0.445	0.444	keri
drenched	0.302	0.361	0.388	whakamakuku
dress	0.760	0.300	0.345	kakahu
dresser	0.604	0.398	0.473	kakahu kakahu
dressmaker	0.698	0.460	0.483	kaihanga kakahu
dressy	0.800	0.570	0.696	kākahu
dribble	0.417	0.551	0.465	tarai
dried	0.427	0.260	0.385	maroke
drier	0.306	0.347	0.392	maroke
drift	0.316	0.520	0.375	paheke
drifted	0.312	0.542	0.310	paheke
drifter	0.449	0.512	0.391	kaihoroi
driftwood	0.321	0.283	0.439	ngaherehere
drill	0.250	0.602	0.573	whakawiri
drink	0.650	0.552	0.474	inu
drinker	0.365	0.735	0.441	kaiinu
drinking	0.562	0.459	0.317	inu
drinks	0.729	0.656	0.412	inu
drip	0.392	0.193	0.175	pupuhi
dripping	0.302	0.257	0.267	whakahekeheke
drive	0.625	0.689	0.713	taraiwa
drivel	0.398	0.469	0.463	taraiwa
driver	0.553	0.538	0.637	taraiwa
driveway	0.612	0.392	0.689	huarahi taraiwa
drizzle	0.521	0.353	0.319	tukituki
droll	0.459	0.573	0.422	taraka
drone	0.429	0.686	0.596	haruru
drones	0.398	0.577	0.588	drones
drool	0.385	0.398	0.204	wairere
drooping	0.245	0.558	0.353	whakahekeheke
droopy	0.438	0.350	0.297	whakapouri
drop	0.479	0.321	0.291	taka
droplet	0.625	0.208	0.194	patapata
dropout	0.253	0.550	0.481	whakahekenga
dropper	0.333	0.216	0.236	pupuhi
drought	0.133	0.353	0.267	tauraki
drove	0.541	0.528	0.623	peia
drown	0.071	0.860	0.270	toremi
drowsiness	0.260	0.194	0.303	te momoe
drowsy	0.375	0.180	0.240	whakamoe
drudgery	0.094	0.522	0.241	whakauaua
drug	0.214	0.790	0.453	tarukino
drug dealing	0.042	0.843	0.500	hokohoko tarukino
drugged	0.102	0.750	0.321	tarukino
druggist	0.240	0.561	0.417	kai tarukino
drugs	0.167	0.750	0.368	raau taero
drugstore	0.490	0.343	0.518	whare rongoa
druid	0.517	0.445	0.481	druid
drum	0.615	0.679	0.339	pahū
drummer	0.646	0.700	0.564	kaiwhakatangi puoro
drumming	0.594	0.750	0.426	pahū
drunk	0.194	0.800	0.250	haurangi
drunk driving	0.073	0.900	0.306	haurangi taraiwa
drunkard	0.240	0.873	0.250	haurangi
drunken	0.155	0.849	0.250	haurangi
drunkenness	0.214	0.774	0.336	haurangi
dry	0.363	0.169	0.311	maroke
dryer	0.479	0.343	0.277	whakamaroke
dryness	0.292	0.296	0.263	maroke
dual	0.573	0.330	0.384	takirua
dualism	0.490	0.406	0.536	te whakaaro rua
duality	0.438	0.520	0.503	takirua
dub	0.510	0.480	0.387	taparua
dubious	0.414	0.480	0.198	rangirua
duchess	0.656	0.548	0.711	kuihi
duck	0.594	0.337	0.236	pārera
ducking	0.344	0.573	0.294	whakaheke
duckling	0.602	0.353	0.263	parera
ducky	0.520	0.430	0.368	pārera
duct	0.449	0.435	0.430	ngongo
ductile	0.508	0.420	0.433	ngongo
dud	0.167	0.455	0.246	kore
dude	0.809	0.356	0.615	hoa
duds	0.347	0.311	0.339	pouaru
due	0.562	0.340	0.467	tika
duel	0.271	0.696	0.589	tohe
dues	0.367	0.461	0.288	utu
duet	0.694	0.693	0.527	duet
duffel	0.500	0.400	0.384	pukoro
dugout	0.490	0.370	0.463	kohanga
duh	0.357	0.461	0.364	duh
duke	0.667	0.440	0.669	Tiuka
dull	0.194	0.120	0.185	puhoi
dullard	0.450	0.480	0.365	pouri
dumb	0.188	0.330	0.151	wahangu
dumbasses	0.316	0.590	0.363	wahangu
dumbbell	0.302	0.469	0.364	pupirikana
dumbbitch	0.281	0.636	0.393	wahangu
dumfound	0.271	0.551	0.295	wahangu
dumfounder	0.406	0.481	0.400	dumfounder
dummy	0.440	0.144	0.250	hangarua
dump	0.345	0.500	0.370	putunga
dumpling	0.580	0.321	0.360	putunga
dumps	0.302	0.583	0.365	putunga
dumpster	0.229	0.418	0.101	paru paru
dun	0.458	0.431	0.339	dun
dunce	0.188	0.327	0.146	karekau
dune	0.459	0.173	0.414	uruwhenua
dung	0.104	0.549	0.149	paru
dungeon	0.276	0.608	0.440	whare herehere
dunk	0.406	0.333	0.475	tukituki
duo	0.510	0.500	0.447	takirua
dupe	0.184	0.760	0.327	tinihanga
duplex	0.592	0.452	0.467	matarua
duplicate	0.521	0.490	0.338	taarua
duplication	0.480	0.564	0.577	tāruarua
duplicity	0.406	0.500	0.578	taarua
durability	0.750	0.398	0.813	mauroa
durable	0.740	0.294	0.688	roa
duration	0.656	0.370	0.536	roanga
duress	0.302	0.569	0.612	tohe
dusk	0.532	0.276	0.519	pōuriuri
dusky	0.229	0.528	0.324	pōuriuri
dust	0.344	0.246	0.241	puehu
duster	0.408	0.265	0.296	paru
dustpan	0.609	0.466	0.371	ipupuehu
dusty	0.406	0.294	0.255	puehu
dutiful	0.724	0.245	0.585	mahi tika
duty	0.583	0.579	0.651	mahi
dwarf	0.370	0.340	0.288	papaka
dwarfed	0.365	0.265	0.293	papakarangi
dweeb	0.354	0.446	0.327	dweeb
dwell	0.698	0.245	0.611	noho
dweller	0.615	0.304	0.500	tangata noho
dwelling	0.765	0.330	0.481	nohonga
dye	0.479	0.314	0.371	waikano
dying	0.040	0.664	0.422	ka mate
dyke	0.438	0.396	0.566	dyke
dynamic	0.724	0.750	0.836	hihiri
dynamical	0.786	0.730	0.827	hihiri
dynamics	0.745	0.682	0.774	hihiri
dynamite	0.344	0.860	0.783	dynamite
dynamo	0.531	0.650	0.593	dynamo
dynasty	0.725	0.588	0.936	whare rangatira
dysentery	0.260	0.528	0.345	mate koriri
dysfunction	0.156	0.410	0.386	kore mahi
dysfunctional	0.125	0.558	0.307	kore mahi
dyspepsia	0.212	0.470	0.460	mate pukupuku
eager	0.521	0.812	0.306	hikaka
eagerness	0.406	0.621	0.443	hikaka
eagle	0.604	0.594	0.679	ekara
ear	0.469	0.216	0.231	taringa
earful	0.533	0.462	0.443	taringa
earl	0.582	0.461	0.794	mua
earlier	0.562	0.352	0.339	mua
early	0.633	0.373	0.426	moata
earn	0.865	0.769	0.817	whiwhi
earnest	0.653	0.380	0.670	whakapau kaha
earnestly	0.847	0.490	0.717	tino kaha
earnestness	0.812	0.373	0.615	kaha
earnings	0.938	0.650	0.875	moni whiwhi
earpiece	0.583	0.286	0.452	whakakororongo
earring	0.583	0.520	0.500	whakakai
earrings	0.676	0.346	0.517	whakakai
earshot	0.552	0.332	0.408	taringa
earth	0.750	0.225	0.614	whenua
earthenware	0.552	0.210	0.320	oko oneone
earthling	0.531	0.412	0.570	tangata whenua
earthly	0.625	0.318	0.518	whenua
earthquake	0.073	0.930	0.812	rū whenua
earthy	0.375	0.413	0.404	whenua
ease	0.796	0.385	0.491	ngawari
easel	0.694	0.340	0.527	kaihoroi
easement	0.479	0.345	0.302	whakangawari
easily	0.885	0.279	0.453	ngawari
east	0.510	0.250	0.317	rāwhiti
eastbound	0.541	0.408	0.402	whaka-te-rawhiti
eastern	0.521	0.420	0.480	rāwhiti
easy	0.865	0.194	0.373	ngawari
easygoing	0.823	0.276	0.538	ngawari
eat	0.731	0.500	0.464	kai
eater	0.459	0.337	0.510	kai kai
eating	0.847	0.491	0.615	kai
eatingdisorders	0.365	0.608	0.508	mate kai
eavesdrop	0.375	0.710	0.368	whakarongo
eavesdropping	0.490	0.380	0.441	whakarongo
ebb	0.354	0.451	0.404	epa
ebony	0.490	0.317	0.400	eponi
ebullient	0.659	0.856	0.746	whakahihiri
eccentric	0.531	0.806	0.721	kerekere
eccentricity	0.408	0.735	0.745	hikaka
ecclesiastical	0.673	0.270	0.660	karakia
echelon	0.490	0.404	0.425	echelon
echinacea	0.592	0.418	0.454	echinacea
echo	0.573	0.373	0.345	paorooro
eclectic	0.646	0.542	0.508	hikaka
eclipse	0.541	0.469	0.616	rourou
ecliptic	0.531	0.520	0.556	ecliptic
ecological	0.885	0.290	0.607	kaiao
economic	0.561	0.408	0.639	ōhanga
economical	0.667	0.564	0.673	ohaoha
economics	0.625	0.481	0.632	ohaoha
economy	0.583	0.434	0.771	ōhanga
ecosystem	0.729	0.259	0.633	rauwiringa kaiao
ecstasy	0.796	0.922	0.655	harikoa
ecstatic	0.875	0.769	0.742	harikoa
ecumenical	0.561	0.450	0.547	ekumene
eddy	0.500	0.394	0.350	eddy
edema	0.250	0.519	0.318	edema
edge	0.439	0.470	0.468	taha
edging	0.479	0.394	0.370	tahataha
edgy	0.281	0.895	0.306	pukuhohe
edible	0.750	0.425	0.497	kai
edict	0.316	0.547	0.560	ture
edification	0.625	0.481	0.697	whakapakari
edifice	0.551	0.403	0.610	whare
edit	0.510	0.410	0.544	whakatika
editing	0.604	0.404	0.493	whakatika
edition	0.542	0.455	0.564	putanga
editor	0.772	0.431	0.673	ētita
editorial	0.583	0.330	0.570	ētita
educate	0.760	0.380	0.728	whakaako
educated	0.816	0.297	0.625	whai matauranga
education	0.896	0.275	0.840	mātauranga
educational	0.745	0.457	0.764	mātauranga
educator	0.827	0.317	0.845	kaiwhakaako
eeeek	0.367	0.540	0.349	eeeek
eeek	0.333	0.490	0.302	eeek
eek	0.292	0.529	0.343	eek
eel	0.292	0.564	0.487	tuna
eerie	0.265	0.771	0.442	whakamataku
effect	0.570	0.518	0.608	pānga
effective	0.844	0.632	0.891	whai hua
effectiveness	0.640	0.654	0.812	whai huatanga
effects	0.470	0.578	0.379	pānga
effectual	0.776	0.559	0.820	whai hua
effectually	0.724	0.500	0.594	whai hua
effectuate	0.510	0.602	0.679	whakamana
effeminate	0.337	0.619	0.291	wahine wahine
efficacious	0.823	0.698	0.845	whai hua
efficacy	0.802	0.490	0.906	whaihuatanga
efficiency	0.802	0.509	0.892	whai huatanga
efficient	0.959	0.604	0.830	whai hua
effigy	0.510	0.440	0.401	whakairo
effort	0.698	0.778	0.858	kaha
effortless	0.626	0.090	0.352	kahakore
effusion	0.344	0.730	0.472	whakahekenga
effyou	0.354	0.529	0.490	koe
egg	0.684	0.241	0.293	hua manu
egghead	0.316	0.492	0.284	pane hua manu
eggnog	0.635	0.360	0.259	eggnog
eggplant	0.592	0.152	0.323	eggplant
eggshell	0.408	0.269	0.212	anga hua manu
ego	0.328	0.576	0.593	moni
egomaniac	0.133	0.708	0.596	mana'o
egotistical	0.156	0.667	0.363	whakaaro nui
egregious	0.150	0.716	0.442	kino
egress	0.490	0.429	0.287	putanga
eight	0.540	0.199	0.315	waru
eighteen	0.523	0.340	0.404	tekau ma waru
eighth	0.531	0.226	0.380	tuawaru
eighty	0.500	0.300	0.453	waru tekau
ejaculate	0.604	0.896	0.604	ejaculate
ejaculation	0.615	0.893	0.547	ejaculation
eject	0.434	0.656	0.559	pana
ejection	0.188	0.836	0.554	tukunga
elaborate	0.561	0.367	0.680	whakamaarama
elaboration	0.708	0.500	0.598	whakamaaramatanga
elan	0.562	0.367	0.500	erana
elapse	0.514	0.440	0.455	pahemo
elapsed	0.583	0.451	0.493	kua pahemo
elastic	0.656	0.518	0.385	rapa
elasticity	0.635	0.452	0.582	te elasticity
elated	0.792	0.960	0.725	koakoa
elation	0.740	0.853	0.623	harikoa
elbow	0.448	0.133	0.254	tuke
eld	0.471	0.292	0.451	tawhito
elder	0.448	0.153	0.462	kaumatua
elders	0.602	0.260	0.441	kaumatua
eldest	0.625	0.471	0.741	mātāmua
elect	0.667	0.554	0.661	pooti
election	0.625	0.519	0.651	pōtitanga
elective	0.612	0.380	0.623	whiriwhiri
elector	0.479	0.520	0.766	kaipōti
electoral	0.490	0.631	0.602	pōtitanga
electorate	0.560	0.380	0.696	rohe pōti
electric	0.458	0.708	0.512	hiko
electric slide	0.542	0.660	0.536	kiriata hiko
electrical	0.531	0.620	0.688	hiko
electrician	0.449	0.590	0.620	tohunga hiko
electricity	0.698	0.810	0.733	hiko
electrify	0.520	0.769	0.737	hiko
electrocute	0.271	0.731	0.555	hikohiko
electrocution	0.177	0.844	0.692	hikohiko
electromagnetic	0.531	0.632	0.683	hikohiko
electron	0.520	0.455	0.560	irahiko
electronic	0.571	0.490	0.704	hikohiko
electronics	0.708	0.545	0.574	hikohiko
elegance	0.918	0.396	0.824	huatau
elegant	0.865	0.500	0.685	huatau
element	0.531	0.259	0.481	huānga
elemental	0.627	0.306	0.711	huānga
elementary	0.594	0.286	0.686	tuatahi
elements	0.510	0.312	0.462	huānga
elephant	0.531	0.510	0.615	arewhana
elevate	0.812	0.500	0.804	hikitia
elevated	0.704	0.594	0.620	teitei
elevation	0.760	0.759	0.711	teiteitanga
elevator	0.562	0.604	0.676	ararewa
eleven	0.449	0.250	0.430	tekau ma tahi
eleventh	0.594	0.329	0.357	tekau ma tahi
elf	0.460	0.457	0.315	elf
elicit	0.406	0.594	0.658	whakaputa
eligible	0.750	0.400	0.518	e tika ana
eliminate	0.265	0.670	0.324	whakakore
elimination	0.052	0.667	0.431	whakakorenga
elite	0.688	0.704	0.737	rangatira
elitist	0.500	0.606	0.656	te hunga elitista
elixir	0.708	0.587	0.604	elixir
elk	0.439	0.337	0.340	elk
ell	0.469	0.418	0.373	ell
ellipse	0.531	0.410	0.479	pororapa
ellipsis	0.653	0.358	0.314	ellipsis
ellipsoid	0.500	0.440	0.419	ellipsoid
elliptic	0.500	0.431	0.528	elliptic
elliptical	0.338	0.385	0.490	porotītaha
elm	0.510	0.345	0.321	elm
elongate	0.583	0.385	0.540	whakaroa
elongation	0.561	0.500	0.500	whakaroa
elope	0.396	0.694	0.528	elope
eloquence	0.729	0.490	0.804	whaikōrero
eloquent	0.870	0.680	0.741	whaikōrero
elucidate	0.583	0.509	0.518	whakamarama
elucidation	0.650	0.574	0.586	whakamaramatanga
elude	0.438	0.521	0.464	mawhiti
elusive	0.229	0.615	0.466	taikaha
emaciated	0.103	0.541	0.151	kua pahekeheke
email	0.698	0.230	0.456	īmēra
emanate	0.653	0.464	0.554	puta mai
emancipation	0.704	0.684	0.763	whakawāteatanga
embankment	0.677	0.438	0.436	parepare
embargo	0.229	0.564	0.443	aukati
embark	0.541	0.550	0.619	eke ki runga
embarrass	0.082	0.667	0.364	whakama
embarrassed	0.184	0.560	0.246	whakama
embarrassing	0.226	0.809	0.225	whakama
embarrassment	0.143	0.685	0.226	whakama
embassy	0.622	0.333	0.758	karere
embattled	0.235	0.724	0.421	whawhaitia
embed	0.417	0.554	0.670	whakauru
embellish	0.842	0.500	0.769	whakanikoniko
embellishment	0.673	0.449	0.405	whakapaipai
embers	0.490	0.481	0.508	ngongo
embezzlement	0.143	0.827	0.435	tahae
embezzler	0.146	0.823	0.491	kaipahua
emblem	0.640	0.330	0.754	tohu
emblematic	0.771	0.459	0.798	tohu
embodiment	0.562	0.690	0.663	whakatinanatanga
embolism	0.104	0.660	0.302	mate pukupuku
embossed	0.531	0.481	0.500	kua whakairohia
embrace	0.949	0.490	0.452	awhi
embroidered	0.677	0.279	0.407	he mea whakairo
embroidery	0.781	0.358	0.280	mahi whakairo
embroiled	0.337	0.721	0.420	whakapouri
embryo	0.673	0.469	0.453	kukune
embryonic	0.573	0.453	0.598	embryonic
emcee	0.694	0.577	0.691	kaikawe
emerald	0.740	0.363	0.726	emerara
emerge	0.602	0.594	0.731	puta
emergence	0.276	0.857	0.676	putanga
emergency	0.200	0.900	0.571	ohorere
emeritus	0.633	0.402	0.735	emeritus
emery	0.469	0.583	0.472	emere
emetophobia	0.243	0.620	0.403	emetophobia
emigrate	0.356	0.812	0.508	heke
emigration	0.564	0.664	0.432	hekenga
eminence	0.816	0.644	0.837	hiranga
eminent	0.740	0.620	0.830	rongonui
eminently	0.694	0.607	0.773	tino nui
emir	0.510	0.396	0.621	emir
emissary	0.562	0.462	0.636	karere
emission	0.510	0.453	0.591	tukunga
emit	0.638	0.445	0.510	tuku
emo	0.354	0.314	0.226	emo
emotion	0.693	0.873	0.696	karekau
emotional	0.779	0.714	0.526	aronganui
emotive	0.917	0.741	0.525	karekau
empathic	0.760	0.570	0.558	arohaehae
empathize	0.802	0.591	0.660	arohaehae
empathy	0.729	0.349	0.545	aroha
emperor	0.651	0.704	0.962	emperor
emphasis	0.653	0.745	0.816	whakanui
emphasize	0.510	0.605	0.769	whakanui
emphatic	0.615	0.707	0.732	kaha
emphysema	0.156	0.556	0.336	emphysema
empire	0.688	0.730	0.944	rangatiratanga
empirical	0.500	0.510	0.574	whaiwhakaaro
empiricism	0.583	0.460	0.547	empiricism
employ	0.729	0.481	0.702	mahi
employee	0.582	0.361	0.481	kaimahi
employer	0.663	0.518	0.767	kaituku mahi
employment	0.750	0.594	0.611	mahi
emporium	0.622	0.556	0.724	whare wananga
empower	0.694	0.779	0.891	whakamana
empress	0.716	0.669	0.855	kuini
emptiness	0.177	0.173	0.184	takoto kau
emption	0.570	0.406	0.458	tukunga
empty	0.188	0.183	0.081	takoto kau
emu	0.420	0.358	0.330	emu
emulate	0.438	0.340	0.549	whaiwhai
emulsion	0.562	0.431	0.453	whakaehunga
enable	0.760	0.491	0.782	taea
enablement	0.600	0.451	0.750	whakakaha
enact	0.680	0.564	0.598	whakatau
enactment	0.667	0.612	0.769	hanga ture
enamel	0.594	0.280	0.306	tohu tohu
encampment	0.677	0.573	0.605	puni
enchant	0.873	0.650	0.643	makutu
enchanted	0.917	0.633	0.687	makutu
enchanting	0.917	0.681	0.708	whakamihi
enchantment	0.816	0.775	0.647	makutu
enchantress	0.398	0.663	0.479	whakamihi
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	karapotia
encircling	0.510	0.368	0.557	e karapoti ana
enclave	0.531	0.333	0.580	whakaurunga
enclose	0.531	0.477	0.473	whakapiri
enclosure	0.417	0.375	0.490	kupenga
encode	0.490	0.500	0.734	whakawaehere
encomiastic	0.541	0.500	0.670	encomiastic
encomium	0.541	0.451	0.519	encomium
encompass	0.520	0.298	0.661	whakawhāiti
encore	0.510	0.423	0.500	whakakorikori
encounter	0.865	0.702	0.689	tūtakitanga
encourage	0.896	0.580	0.704	whakatenatena
encouraged	0.953	0.702	0.657	whakatenatena
encouragement	0.865	0.700	0.759	whakatenatena
encouraging	0.823	0.583	0.755	whakatenatena
encroach	0.302	0.742	0.702	pokanoa
encroachment	0.255	0.736	0.620	pokanoa
encrypt	0.500	0.387	0.500	whakamuna
encryption	0.547	0.415	0.474	whakamunatanga
encumbrance	0.300	0.521	0.480	taumahatanga
encyclopedia	0.679	0.320	0.645	encyclopedia
end	0.198	0.349	0.298	mutunga
end table	0.541	0.480	0.482	tepu mutunga
endanger	0.115	0.885	0.404	whakararu
endangered	0.083	0.885	0.430	morearea
endangerment	0.167	0.873	0.519	mōrearea
endearing	0.663	0.434	0.604	whakamihi
endeavor	0.677	0.755	0.765	mahi
ended	0.302	0.500	0.500	mutu
endemic	0.406	0.480	0.483	puta noa
endgame	0.449	0.538	0.526	kemu mutunga
ending	0.344	0.365	0.492	mutu
endless	0.347	0.462	0.472	mutunga kore
endocarditis	0.235	0.587	0.412	endocarditis
endorse	0.592	0.392	0.472	tautoko
endorsement	0.834	0.360	0.611	whakamana
endow	0.684	0.398	0.609	whakawhiwhinga
endowed	0.755	0.510	0.769	whakawhiwhinga
endowment	0.685	0.578	0.647	whakawhiwhinga
endpapers	0.542	0.400	0.339	pepa mutunga
endpoint	0.311	0.410	0.448	pito mutunga
endurance	0.592	0.745	0.760	te manawanui
endure	0.320	0.610	0.574	manawanui
enduring	0.633	0.459	0.768	mau tonu
enema	0.281	0.673	0.268	enema
enemy	0.135	0.794	0.591	hoariri
energetic	0.847	0.868	0.902	hihiko
energize	0.792	0.810	0.875	whakakaha
energy	0.944	0.725	0.868	pūngao
enforce	0.583	0.644	0.836	whakamana
enforcement	0.594	0.571	0.736	whakakaha
enforcer	0.398	0.612	0.639	kaiwhakahau
engage	0.771	0.796	0.713	whakauru
engaged	0.837	0.596	0.849	taumau
engagement	0.906	0.587	0.807	whakaurunga
engaging	0.948	0.612	0.862	whakahihiri
engender	0.561	0.741	0.688	whakawhanaunga
engine	0.615	0.644	0.676	pūkaha
engineer	0.719	0.500	0.875	miihini
engineering	0.735	0.471	0.836	pūkaha
engrave	0.486	0.442	0.517	whakairo
engraved	0.542	0.375	0.473	whakairo
engraver	0.552	0.417	0.500	kai whakairo
engraving	0.604	0.430	0.442	whakairo
engrossed	0.541	0.471	0.304	whakahihiri
engrossing	0.698	0.702	0.750	whakahihiri
engulf	0.398	0.573	0.500	horomia
enhance	0.802	0.578	0.814	whakarei
enhancement	0.877	0.490	0.741	whakarei
enigma	0.513	0.700	0.500	enigma
enigmatic	0.469	0.589	0.679	pohehe
enjoin	0.594	0.454	0.732	whakahau
enjoy	0.959	0.725	0.750	pārekareka
enjoyable	1.000	0.481	0.605	ngahau
enjoying	0.908	0.759	0.759	pārekareka
enjoyment	0.930	0.612	0.716	ngahau
enlarge	0.735	0.606	0.688	whakanuia
enlarged	0.673	0.490	0.518	whakanuia
enlargement	0.677	0.577	0.616	whakanuinga
enlighten	0.729	0.549	0.667	whakamarama
enlightened	0.956	0.566	0.700	kua whakamaramatia
enlightening	0.825	0.729	0.727	whakamarama
enlightenment	0.837	0.549	0.619	whakamaramatanga
enlist	0.510	0.370	0.483	whakauru
enliven	0.833	0.683	0.702	whakaora
enmity	0.094	0.706	0.382	mauahara
ennui	0.406	0.461	0.316	ennui
enormity	0.594	0.648	0.848	nui
enormous	0.677	0.665	0.886	nui
enormously	0.760	0.694	0.872	tino nui
enraged	0.083	0.962	0.636	riri
enrich	0.896	0.731	0.705	whakarangatira
enroll	0.696	0.530	0.611	whakauru
enrollment	0.667	0.391	0.698	whakaurunga
ensemble	0.697	0.418	0.586	huinga
ensign	0.663	0.270	0.545	tohu
enslave	0.073	0.800	0.481	taurekareka
enslaved	0.104	0.720	0.321	taurekareka
enslavement	0.086	0.635	0.302	taurekareka
ensue	0.698	0.363	0.332	whai muri
ensure	0.737	0.406	0.759	whakarite
entail	0.484	0.630	0.645	whakauru
entangled	0.319	0.578	0.357	kua mau
entanglement	0.302	0.765	0.248	whakawhanaunga
enter	0.708	0.470	0.500	tomo
enterprise	0.760	0.392	0.754	hinonga
enterprising	0.865	0.784	0.875	pukumahi
entertain	0.918	0.684	0.598	whakangahau
entertained	0.902	0.644	0.712	whakangahau
entertainer	0.888	0.709	0.759	kaiwhakangahau
entertaining	0.833	0.658	0.660	whakangahau
entertainment	0.847	0.750	0.569	whakangahau
enthralled	0.745	0.602	0.615	whakahihiri
enthusiasm	0.938	0.816	0.798	hikaka
enthusiast	0.867	0.810	0.875	kaingākau
enthusiastic	0.885	0.868	0.848	hihiko
entice	0.521	0.887	0.518	whakawai
entire	0.689	0.462	0.698	katoa
entirety	0.854	0.460	0.804	katoa
entitle	0.729	0.333	0.827	whai mana
entity	0.542	0.402	0.670	hinonga
entomology	0.438	0.396	0.545	mātai whakapapa
entourage	0.491	0.567	0.467	tira haere
entrails	0.365	0.538	0.387	whekau
