English Word	Valence	Arousal	Dominance	Welsh Word
checklist	0.561	0.521	0.552	rhestr wirio
checkmate	0.667	0.708	0.750	checkmate
checkout	0.597	0.510	0.670	til
checkpoint	0.571	0.323	0.812	pwynt gwirio
checkup	0.500	0.435	0.491	siec
cheek	0.670	0.314	0.421	boch
cheeks	0.708	0.324	0.282	bochau
cheeky	0.434	0.679	0.410	ddigywilydd
cheep	0.367	0.380	0.373	chep
cheer	0.938	0.784	0.845	llon
cheered	0.875	0.648	0.790	llon
cheerful	0.990	0.720	0.696	siriol
cheerfulness	0.969	0.802	0.675	sirioldeb
cheering	0.815	0.824	0.642	bloeddio
cheerleader	0.923	0.746	0.657	cheerleader
cheerleading	0.698	0.769	0.404	hwylio
cheerless	0.204	0.373	0.167	dihafal
cheers	0.948	0.770	0.702	lloniannau
cheery	0.949	0.657	0.486	siriol
cheese	0.740	0.280	0.281	caws
cheeseburger	0.802	0.529	0.336	byrgyr caws
cheesecake	0.860	0.276	0.238	cacen gaws
cheesy	0.470	0.471	0.179	cawslyd
cheetah	0.469	0.770	0.667	cheetah
chef	0.854	0.411	0.570	cogydd
chemical	0.337	0.560	0.508	cemegol
chemise	0.530	0.275	0.364	gemise
chemist	0.408	0.575	0.610	fferyllydd
chemistry	0.625	0.520	0.694	cemeg
chemo	0.214	0.686	0.444	chemo
chemotherapy	0.163	0.689	0.517	cemotherapi
cheque	0.698	0.529	0.660	gwirio
cherish	0.896	0.491	0.652	coleddu
cherishing	0.836	0.380	0.625	coleddu
cherry	0.688	0.186	0.250	ceirios
cherub	0.663	0.340	0.455	ceriwb
chess	0.656	0.363	0.518	gwyddbwyll
chest	0.520	0.429	0.481	cist
chestnut	0.714	0.210	0.294	castan
chevron	0.469	0.469	0.598	chevron
chew	0.520	0.490	0.404	cnoi
chewy	0.625	0.418	0.390	cewy
chic	0.870	0.624	0.380	chic
chicane	0.357	0.460	0.481	chicane
chick	0.771	0.602	0.387	cyw
chicken	0.594	0.306	0.394	cyw iâr
chicken pox	0.194	0.510	0.415	brech yr ieir
chickenpox	0.173	0.562	0.357	brech yr ieir
chief	0.520	0.544	0.869	prif
chiefly	0.600	0.587	0.764	yn bennaf
chieftain	0.343	0.529	0.860	pennaeth
chiffon	0.406	0.230	0.250	siffon
child	0.912	0.460	0.413	plentyn
childbirth	0.604	0.861	0.673	genedigaeth
childhood	0.865	0.413	0.307	plentyndod
childish	0.573	0.442	0.230	plentynaidd
childless	0.310	0.400	0.396	di-blant
childlike	0.656	0.372	0.293	plentynaidd
childloss	0.240	0.571	0.421	colli plant
children	0.857	0.538	0.435	plant
chili	0.592	0.566	0.433	chili
chill	0.837	0.206	0.482	oerfel
chilled	0.521	0.340	0.482	oeraidd
chilling	0.208	0.850	0.358	iasoer
chilly	0.329	0.459	0.408	oer
chime	0.573	0.541	0.464	clychau
chimera	0.292	0.582	0.372	chimera
chimes	0.625	0.490	0.402	clychau
chimney	0.583	0.286	0.225	simnai
chimp	0.394	0.588	0.345	tsimpans
chimpanzee	0.500	0.633	0.387	tsimpansî
chin	0.571	0.310	0.269	ên
china	0.561	0.443	0.556	llestri
chinchilla	0.480	0.450	0.286	chinchilla
chine	0.561	0.360	0.352	chine
chinook	0.408	0.497	0.491	chinwg
chip	0.479	0.382	0.452	sglodion
chipmunk	0.573	0.562	0.409	chipmunk
chipper	0.418	0.588	0.500	naddwr
chipping	0.354	0.452	0.353	naddu
chiropractor	0.420	0.549	0.651	ceiropractydd
chirp	0.469	0.602	0.365	chirp
chirping	0.500	0.463	0.360	crychlyd
chisel	0.469	0.404	0.452	cŷn
chiseler	0.429	0.606	0.464	cynydd
chit	0.490	0.352	0.321	chit
chitchat	0.673	0.455	0.403	chitchat
chivalry	0.857	0.380	0.848	sifalri
chloride	0.265	0.387	0.474	clorid
chlorine	0.306	0.327	0.332	clorin
chloroform	0.281	0.370	0.393	clorofform
chocolate	0.885	0.480	0.418	siocled
choice	0.745	0.520	0.664	dewis
choir	0.704	0.298	0.473	côr
choke	0.167	0.788	0.676	tagu
cholera	0.020	0.867	0.507	colera
cholesterol	0.198	0.583	0.398	colesterol
choose	0.615	0.542	0.648	dewis
choosing	0.719	0.529	0.689	dewis
choosy	0.280	0.760	0.712	choosy
chop	0.250	0.655	0.467	torrwch
chopper	0.594	0.560	0.509	chopper
choppers	0.469	0.745	0.691	choppers
chopping	0.560	0.625	0.362	torri
chops	0.612	0.420	0.269	golwythion
choral	0.852	0.290	0.421	corawl
chord	0.729	0.394	0.539	cord
chords	0.639	0.406	0.388	cordiau
chore	0.406	0.462	0.500	gordd
choreographer	0.646	0.639	0.625	coreograffydd
choreography	0.812	0.750	0.547	coreograffi
chorus	0.620	0.417	0.500	cytgan
chosen	0.865	0.449	0.833	dewisedig
chow	0.573	0.490	0.390	chow
chowder	0.510	0.324	0.241	chowder
christ	0.781	0.510	0.750	crist
christen	0.673	0.356	0.588	bedyddio
christening	0.725	0.382	0.650	bedydd
christmas	0.959	0.520	0.741	nadolig
christmasbreak	0.842	0.640	0.548	doriad nadolig
christmaseve	0.812	0.491	0.463	noswyl Nadolig
christmasspirit	0.867	0.602	0.575	ysbryd nadolig
christmassy	0.875	0.698	0.602	nadolig
christmastime	0.837	0.588	0.515	nadolig
chromatic	0.407	0.413	0.435	cromatig
chromatography	0.480	0.537	0.535	cromatograffaeth
chrome	0.582	0.373	0.421	crôm
chromium	0.458	0.404	0.447	cromiwm
chromosome	0.500	0.296	0.548	cromosom
chronic	0.255	0.615	0.464	cronig
chronicle	0.427	0.571	0.586	cronicl
chronograph	0.500	0.392	0.529	cronograff
chronological	0.594	0.445	0.600	cronolegol
chubby	0.531	0.427	0.304	chubby
chuck	0.542	0.509	0.413	chuck
chuckle	0.844	0.736	0.481	chwerthin
chug	0.401	0.413	0.358	chug
chum	0.911	0.347	0.518	cyf
chummy	0.760	0.420	0.610	chummy
chump	0.375	0.451	0.304	chwp
chunk	0.365	0.287	0.214	talp
chunky	0.520	0.517	0.509	trwchus
church	0.708	0.198	0.610	eglwys
churchyard	0.296	0.444	0.347	fynwent
churn	0.316	0.491	0.407	corddi
chute	0.580	0.745	0.455	llithren
chutney	0.459	0.370	0.400	siytni
ciao	0.542	0.426	0.409	ciao
cider	0.530	0.346	0.398	seidr
cigar	0.306	0.463	0.346	sigâr
cigarette	0.219	0.528	0.304	sigarét
cilantro	0.469	0.260	0.208	cilantro
cinch	0.450	0.490	0.387	cinch
cinder	0.350	0.260	0.157	lludw
cinema	0.698	0.538	0.500	sinema
cinematic	0.663	0.490	0.600	sinematig
cinematographer	0.792	0.455	0.711	sinematograffydd
cinematography	0.781	0.571	0.625	sinematograffi
cinnamon	0.600	0.250	0.292	sinamon
cipher	0.490	0.414	0.500	seiffr
circle	0.480	0.290	0.343	cylch
circling	0.510	0.654	0.336	cylchu
circuit	0.586	0.461	0.707	cylched
circuitry	0.596	0.615	0.536	cylchedwaith
circular	0.562	0.342	0.417	cylchlythyr
circulate	0.612	0.388	0.320	cylchu
circulation	0.735	0.520	0.657	cylchrediad
circulatory	0.592	0.575	0.545	cylchredol
circumcision	0.327	0.657	0.528	enwaediad
circumference	0.458	0.255	0.488	cylchedd
circumferential	0.551	0.422	0.509	amgylchiadol
circumscribed	0.365	0.539	0.569	amgylchynedig
circumstance	0.520	0.565	0.596	amgylchiad
circumstances	0.562	0.527	0.464	amgylchiadau
circumstantial	0.500	0.538	0.519	amgylchiadol
circumvent	0.316	0.642	0.383	amgylchiad
circumvention	0.531	0.571	0.473	amgylchiad
circus	0.724	0.637	0.432	syrcas
cirque	0.604	0.647	0.467	peiran
cirrhosis	0.079	0.602	0.370	sirosis
cirrus	0.470	0.451	0.348	cirrus
cistern	0.541	0.413	0.432	seston
citadel	0.585	0.464	0.602	cadarnle
citation	0.570	0.549	0.508	dyfynnu
cite	0.625	0.454	0.532	dyfynnu
citizen	0.631	0.250	0.586	dinesydd
citizenship	0.786	0.404	0.723	dinasyddiaeth
citrine	0.375	0.400	0.420	citrin
citrus	0.469	0.368	0.375	sitrws
city	0.847	0.531	0.508	dinas
citywide	0.592	0.509	0.707	ledled y ddinas
civic	0.653	0.240	0.573	dinesig
civics	0.700	0.279	0.720	dinesig
civil	0.521	0.281	0.517	sifil
civilian	0.700	0.229	0.598	sifil
civilians	0.490	0.448	0.525	sifiliaid
civility	0.760	0.306	0.679	gwareiddiad
civilization	0.823	0.452	0.839	gwareiddiad
civilized	0.792	0.231	0.796	gwaraidd
clad	0.583	0.373	0.481	cladin
claim	0.255	0.760	0.473	hawlio
claimant	0.271	0.690	0.779	hawliwr
clairvoyant	0.765	0.531	0.897	clairweledydd
clam	0.442	0.302	0.272	cregyn bylchog
clambake	0.542	0.540	0.429	clambake
clammy	0.354	0.440	0.236	clammy
clamor	0.438	0.643	0.360	crochlefain
clamp	0.541	0.388	0.454	clamp
clan	0.562	0.491	0.686	clan
clandestine	0.425	0.677	0.469	dirgel
clang	0.459	0.520	0.510	clang
clap	0.779	0.731	0.529	clap
clapper	0.500	0.229	0.420	clapper
clapping	0.823	0.894	0.686	clapio
clarification	0.802	0.461	0.613	eglurhâd
clarify	0.652	0.535	0.625	egluro
clarinet	0.592	0.453	0.411	clarinet
clarion	0.500	0.443	0.422	clarion
clarity	0.796	0.310	0.631	eglurder
clash	0.293	0.918	0.453	gwrthdaro
clashing	0.177	0.764	0.575	gwrthdaro
clasp	0.448	0.375	0.241	clasp
class	0.656	0.314	0.522	dosbarth
classic	0.690	0.260	0.611	clasurol
classic rock	0.729	0.571	0.588	roc clasurol
classical	0.643	0.198	0.536	clasurol
classics	0.750	0.333	0.510	clasuron
classification	0.583	0.423	0.613	dosbarthiad
classified	0.571	0.460	0.663	dosbarthedig
classify	0.646	0.411	0.720	dosbarthu
classmate	0.781	0.400	0.593	cyd-ddisgybl
classroom	0.539	0.292	0.363	ystafell ddosbarth
classy	0.917	0.410	0.649	classy
clatter	0.418	0.820	0.387	clatter
clause	0.480	0.409	0.528	cymal
clauses	0.449	0.429	0.545	cymalau
claustrophobia	0.125	0.840	0.333	clawstroffobia
claustrophobic	0.092	0.755	0.400	clawstroffobig
clavicle	0.398	0.400	0.452	clavicle
claw	0.260	0.600	0.598	Crafanc
claws	0.281	0.698	0.562	crafangau
clay	0.542	0.250	0.267	clai
clean	0.827	0.170	0.500	glan
cleaner	0.604	0.556	0.375	Glanhawr
cleaning	0.595	0.396	0.427	glanhau
cleanliness	0.816	0.363	0.609	glendid
cleanly	0.823	0.352	0.583	yn lân
cleanse	0.625	0.310	0.660	glanhau
cleanser	0.604	0.353	0.433	glanhawr
cleansing	0.729	0.298	0.472	glanhau
cleanup	0.729	0.314	0.451	glanhau
clear	0.857	0.327	0.573	clir
clearance	0.542	0.459	0.473	clirio
clearing	0.680	0.333	0.509	clirio
clearness	0.875	0.316	0.689	eglurdeb
cleat	0.486	0.260	0.361	cleit
cleavage	0.542	0.602	0.454	holltiad
cleave	0.296	0.545	0.389	hollt
cleaver	0.240	0.627	0.434	cleaver
clef	0.615	0.360	0.595	cleff
cleft	0.306	0.442	0.360	hollt
clemency	0.594	0.417	0.397	trugaredd
clench	0.438	0.618	0.580	clench
clergy	0.531	0.312	0.575	clerigwyr
clergyman	0.594	0.330	0.556	clerigwr
cleric	0.521	0.324	0.589	clerig
clerical	0.520	0.396	0.491	clerigol
clerk	0.500	0.579	0.509	clerc
clerkship	0.582	0.380	0.596	clerciaeth
clever	0.896	0.353	0.729	glyfar
cleverness	0.878	0.509	0.921	clyfrwch
click	0.536	0.365	0.268	cliciwch
clicker	0.418	0.490	0.463	cliciwr
client	0.583	0.450	0.618	cleient
clientele	0.625	0.577	0.508	cwsmeriaid
cliff	0.361	0.620	0.509	clogwyn
climate	0.635	0.240	0.483	hinsawdd
climatology	0.531	0.367	0.541	hinsoddeg
climax	0.735	0.853	0.667	uchafbwynt
climb	0.615	0.660	0.604	dringo
climber	0.573	0.716	0.735	dringwr
clinch	0.469	0.538	0.430	clensio
cling	0.417	0.620	0.588	glynu
clingy	0.224	0.460	0.370	clingy
clinic	0.469	0.439	0.600	clinig
clinical	0.337	0.412	0.640	clinigol
clink	0.458	0.462	0.319	clinc
clip	0.438	0.310	0.381	clip
clipboard	0.594	0.255	0.423	clipfwrdd
clipper	0.293	0.422	0.383	clipiwr
clipping	0.460	0.500	0.405	clipio
clique	0.427	0.430	0.391	clic
clitoris	0.625	0.844	0.464	clitoris
cloak	0.469	0.188	0.333	clogyn
cloaking	0.521	0.595	0.389	clogyn
cloakroom	0.690	0.254	0.397	ystafell gotiau
clobber	0.396	0.578	0.464	clobiwr
clock	0.677	0.173	0.407	cloc
clockwork	0.490	0.373	0.528	gwaith cloc
clod	0.375	0.404	0.365	clod
clog	0.104	0.618	0.454	clocs
cloister	0.438	0.413	0.475	cloestr
clone	0.406	0.471	0.524	clôn
cloning	0.216	0.696	0.679	clonio
close	0.292	0.260	0.263	cau
closed	0.240	0.164	0.318	gau
closeness	0.796	0.237	0.450	agosatrwydd
closet	0.531	0.204	0.330	cwpwrdd
closure	0.229	0.220	0.412	gau
clot	0.150	0.558	0.275	ceulad
cloth	0.510	0.190	0.287	brethyn
clothe	0.797	0.330	0.481	dillad
clothes	0.833	0.270	0.414	dillad
clothesline	0.582	0.324	0.366	llinell ddillad
clothing	0.750	0.343	0.407	dillad
cloud	0.740	0.133	0.342	cwmwl
clouded	0.240	0.213	0.302	cymylog
cloudiness	0.469	0.250	0.343	cymylog
clouds	0.735	0.195	0.324	cymylau
cloudy	0.281	0.280	0.202	cymylog
clout	0.584	0.636	0.704	clowt
clove	0.439	0.296	0.315	ewin
clover	0.605	0.340	0.364	meillion
cloves	0.427	0.218	0.396	ewin
clown	0.650	0.598	0.300	clown
clowns	0.600	0.673	0.391	clowniau
club	0.646	0.618	0.393	clwb
clubhouse	0.694	0.571	0.493	clwb
clubs	0.723	0.530	0.591	clybiau
cluck	0.390	0.490	0.353	clwc
clue	0.653	0.380	0.412	cliw
clueless	0.350	0.333	0.161	di-glem
clump	0.551	0.480	0.582	clwmp
clumsy	0.125	0.420	0.144	trwsgl
clunk	0.448	0.472	0.407	clinc
cluster	0.490	0.458	0.446	clwstwr
clutch	0.383	0.500	0.491	cydiwr
clutches	0.542	0.373	0.528	grafangau
clutter	0.135	0.598	0.400	blerwch
coach	0.633	0.823	0.735	hyfforddwr
coachman	0.479	0.394	0.509	coetsmon
coagulation	0.381	0.558	0.436	ceulo
coal	0.360	0.241	0.340	glo
coalesce	0.479	0.434	0.529	cyfuno
coalition	0.490	0.730	0.673	clymblaid
coarse	0.333	0.481	0.481	bras
coast	0.719	0.396	0.458	arfordir
coastal	0.604	0.370	0.510	arfordirol
coaster	0.612	0.788	0.627	coaster
coastline	0.745	0.282	0.441	arfordir
coat	0.677	0.256	0.464	cot
coating	0.620	0.440	0.596	cotio
coax	0.367	0.400	0.447	coax
cobalt	0.408	0.325	0.441	cobalt
cobble	0.448	0.385	0.368	cobl
cobbler	0.510	0.415	0.318	crydd
cobra	0.312	0.712	0.600	cobra
cocaine	0.156	0.840	0.373	cocên
cock	0.418	0.562	0.392	ceiliog
cockamamie	0.450	0.500	0.382	cockamamie
cockeyed	0.459	0.460	0.423	cockeyed
cockpit	0.520	0.424	0.343	talwrn
cockroach	0.188	0.667	0.196	chwilod duon
cocksucker	0.083	0.764	0.339	cyfeiliog
cocktail	0.740	0.480	0.381	coctel
cocky	0.260	0.784	0.519	ceiliog
cocoa	0.776	0.255	0.322	coco
coconut	0.622	0.265	0.227	cnau coco
cocoon	0.470	0.280	0.290	cocwn
cod	0.510	0.321	0.304	penfras
code	0.583	0.308	0.491	côd
codeine	0.375	0.582	0.436	codin
codex	0.531	0.488	0.524	codecs
codfish	0.490	0.245	0.300	penfras
codification	0.448	0.400	0.698	codeiddio
codify	0.448	0.410	0.679	codeiddio
coding	0.442	0.344	0.667	codio
coed	0.469	0.531	0.481	coed
coefficient	0.677	0.415	0.702	cyfernod
coerce	0.260	0.741	0.517	gorfodaeth
coercion	0.330	0.708	0.577	gorfodaeth
coercive	0.479	0.670	0.506	gorfodaeth
coexist	0.708	0.460	0.536	cydfodoli
coexistence	0.588	0.472	0.638	cydfodolaeth
coexisting	0.551	0.349	0.648	cydfodoli
coffee	0.823	0.418	0.309	coffi
coffee table	0.720	0.339	0.295	bwrdd coffi
coffeehouse	0.694	0.357	0.307	ty coffi
coffeepot	0.760	0.333	0.312	pot coffi
coffin	0.073	0.432	0.343	arch
cog	0.427	0.343	0.363	cog
cogent	0.765	0.479	0.836	cogent
cognac	0.615	0.510	0.430	cognac
cognate	0.615	0.350	0.398	cytras
cognition	0.635	0.344	0.706	gwybyddiaeth
cognitive	0.513	0.401	0.634	gwybyddol
cohabitation	0.646	0.526	0.598	cyd-fyw
coherence	0.720	0.406	0.788	cydlyniad
coherent	0.698	0.281	0.500	cydlynol
cohesion	0.604	0.536	0.555	cydlyniad
cohesive	0.531	0.470	0.603	cydlynol
cohort	0.459	0.551	0.566	carfan
coil	0.448	0.343	0.298	coil
coiled	0.378	0.518	0.389	torchog
coin	0.677	0.574	0.445	darn arian
coinage	0.500	0.400	0.545	arian bath
coincide	0.635	0.490	0.593	cyd-daro
coincidence	0.612	0.450	0.518	cyd-ddigwyddiad
coincident	0.562	0.385	0.602	cyd-ddigwyddiad
coincidental	0.646	0.481	0.337	cyd-ddigwyddiadol
coinciding	0.673	0.373	0.623	cyd-daro
coke	0.404	0.461	0.397	golosg
cola	0.469	0.325	0.240	cola
cold	0.398	0.538	0.348	oerfel
coldly	0.365	0.358	0.407	yn oeraidd
coldness	0.093	0.470	0.427	oerni
coldsweat	0.427	0.491	0.327	chwys annwyd
coleslaw	0.707	0.312	0.336	coleslaw
colic	0.135	0.736	0.361	colig
coliseum	0.612	0.663	0.704	coliseum
collaborate	0.816	0.449	0.559	cydweithio
collaboration	0.885	0.628	0.741	cydweithio
collaborator	0.729	0.320	0.769	cydweithredwr
collage	0.680	0.321	0.375	collage
collagen	0.541	0.245	0.450	colagen
collapse	0.208	0.689	0.342	llewyg
collar	0.656	0.442	0.446	coler
collarbone	0.420	0.427	0.306	asgwrn coler
collate	0.438	0.448	0.580	coladu
collateral	0.531	0.422	0.717	cyfochrog
collation	0.520	0.333	0.508	coladu
colleague	0.740	0.413	0.600	cydweithiwr
collect	0.635	0.481	0.491	casglu
collected	0.570	0.402	0.588	casglu
collection	0.725	0.311	0.588	casgliad
collective	0.583	0.458	0.698	cyfunol
collectively	0.817	0.573	0.533	ar y cyd
collector	0.552	0.481	0.648	casglwr
college	0.700	0.467	0.746	coleg
collegiate	0.592	0.461	0.678	colegol
collide	0.271	0.892	0.557	gwrthdaro
collie	0.562	0.308	0.328	gloe
collision	0.245	0.848	0.585	gwrthdrawiad
collocation	0.637	0.360	0.594	cydleoli
colloquial	0.604	0.363	0.368	llafar
collusion	0.365	0.510	0.400	cydgynllwynio
cologne	0.677	0.413	0.552	cologne
colon	0.449	0.394	0.384	colon
colonel	0.459	0.592	0.890	cyrnol
colonial	0.553	0.327	0.613	trefedigaethol
colonic	0.333	0.420	0.430	trefedigaethol
colonoscopy	0.208	0.524	0.466	colonosgopi
colony	0.716	0.353	0.593	trefedigaeth
colophon	0.500	0.408	0.385	coloffon
color	0.786	0.280	0.402	lliw
coloration	0.541	0.520	0.443	lliwiad
colored	0.806	0.317	0.275	lliw
colorful	0.850	0.520	0.519	lliwgar
coloring	0.781	0.469	0.353	lliwio
colorless	0.354	0.340	0.250	di-liw
colors	0.875	0.349	0.340	lliwiau
colossal	0.698	0.692	0.900	anferthol
colt	0.561	0.587	0.543	ebol
columbine	0.520	0.521	0.407	columbine
column	0.480	0.250	0.670	colofn
columnar	0.448	0.340	0.491	colofnog
columnist	0.646	0.365	0.648	colofnydd
com	0.396	0.382	0.382	com
coma	0.219	0.255	0.302	coma
comatose	0.143	0.438	0.433	comatos
comb	0.490	0.123	0.268	crib
combat	0.302	0.846	0.833	ymladd
combatant	0.531	0.853	0.780	ymladdwr
combative	0.381	0.690	0.816	ymladdgar
combination	0.708	0.480	0.726	cyfuniad
combinatorial	0.561	0.436	0.428	cyfunol
combine	0.663	0.442	0.533	cyfuno
combined	0.622	0.370	0.500	cyfun
combo	0.698	0.439	0.453	combo
combustible	0.386	0.650	0.750	hylosg
combustion	0.457	0.807	0.591	hylosgi
come	0.529	0.269	0.558	dod
comeback	0.580	0.409	0.555	dod yn ôl
comedian	0.812	0.735	0.598	digrifwr
comedy	0.918	0.555	0.490	comedi
comet	0.704	0.679	0.471	gomed
comfort	0.863	0.231	0.670	cysur
comfortable	0.927	0.163	0.473	cyfforddus
comforter	0.618	0.275	0.302	cysurwr
comforting	0.906	0.337	0.620	cysurus
comfy	0.930	0.241	0.625	cyffyrddus
comic	0.917	0.459	0.387	comig
comical	0.844	0.737	0.327	doniol
comics	0.690	0.556	0.384	comics
coming	0.653	0.417	0.500	yn dyfod
comma	0.344	0.269	0.242	coma
command	0.427	0.790	0.849	gorchymyn
commandant	0.622	0.700	0.943	cadlywydd
commandeer	0.552	0.639	0.931	cadlywydd
commander	0.531	0.615	0.906	cadlywydd
commanding	0.562	0.664	0.925	gorchymyn
commandment	0.656	0.490	0.876	gorchymyn
commando	0.323	0.710	0.817	comando
commemorate	0.812	0.602	0.636	coffau
commemoration	0.719	0.615	0.754	coffadwriaeth
commemorative	0.750	0.438	0.754	coffadwriaethol
commence	0.760	0.585	0.741	cychwyn
commend	0.906	0.694	0.711	cymeradwyo
commendable	0.786	0.570	0.555	clodwiw
commendation	0.911	0.500	0.639	canmoliaeth
commensurate	0.610	0.304	0.550	cymesur
comment	0.667	0.417	0.379	sylw
commentary	0.602	0.402	0.446	sylwebaeth
commentator	0.492	0.510	0.607	sylwebydd
commerce	0.646	0.500	0.788	masnach
commercial	0.806	0.490	0.528	masnachol
commie	0.385	0.519	0.454	comie
commissary	0.385	0.500	0.788	comisiynydd
commission	0.677	0.480	0.571	comisiwn
commissioner	0.602	0.449	0.949	comisiynydd
commit	0.365	0.529	0.491	ymrwymo
commitment	0.714	0.710	0.843	ymrwymiad
committal	0.472	0.519	0.582	traddodi
committed	0.710	0.542	0.712	ymroddedig
committee	0.592	0.392	0.721	pwyllgor
commodity	0.615	0.394	0.537	nwydd
commodore	0.427	0.530	0.636	commodor
common	0.600	0.127	0.318	cyffredin
commoner	0.448	0.365	0.327	cyffredinach
commonly	0.604	0.170	0.574	yn gyffredin
commonplace	0.520	0.337	0.442	cyffredin
commons	0.633	0.396	0.623	comin
commonwealth	0.630	0.406	0.702	cymanwlad
commotion	0.490	0.700	0.646	cynnwrf
communal	0.592	0.321	0.556	cymunol
commune	0.500	0.488	0.655	commune
communicable	0.796	0.491	0.623	trosglwyddadwy
communicate	0.823	0.410	0.696	cyfathrebu
communication	0.837	0.400	0.649	cyfathrebu
communicative	0.847	0.560	0.637	cyfathrebol
communicator	0.573	0.509	0.796	cyfathrebwr
communion	0.765	0.357	0.607	cymun
communism	0.264	0.570	0.623	comiwnyddiaeth
communist	0.265	0.702	0.632	comiwnyddol
community	0.750	0.350	0.659	cymuned
commutation	0.469	0.431	0.652	cymudo
commutative	0.667	0.442	0.569	cymudol
commute	0.622	0.582	0.565	cymudo
commuter	0.646	0.520	0.512	cymudwr
comp	0.573	0.450	0.371	comp
compact	0.458	0.417	0.673	cryno
compaction	0.531	0.471	0.582	cywasgiad
compactness	0.582	0.352	0.454	crynoder
companion	0.770	0.377	0.618	cydymaith
companionless	0.271	0.259	0.200	digyfeillach
companionship	0.833	0.438	0.792	cwmnïaeth
company	0.906	0.425	0.798	cwmni
comparable	0.562	0.443	0.458	cymaradwy
comparative	0.470	0.273	0.562	cymharol
comparatively	0.604	0.391	0.538	yn gymharol
compare	0.552	0.408	0.524	cymharer
comparison	0.583	0.456	0.492	cymhariaeth
compartment	0.500	0.389	0.607	adran
compass	0.541	0.307	0.529	cwmpawd
compassion	0.735	0.258	0.509	tosturi
compassionate	0.857	0.404	0.411	trugarog
compatibility	0.816	0.450	0.673	cydweddoldeb
compatible	0.892	0.387	0.638	gydnaws
compel	0.200	0.847	0.625	gorfodi
compelled	0.333	0.654	0.347	gorfodi
compelling	0.698	0.570	0.870	cymhellol
compendium	0.610	0.461	0.537	compendiwm
compensate	0.612	0.429	0.762	digolledu
compensation	0.775	0.469	0.598	iawndal
compensatory	0.589	0.490	0.700	cydadferol
compete	0.573	0.745	0.786	cystadlu
competence	0.615	0.802	0.823	cymhwysedd
competency	0.768	0.775	0.764	cymhwysedd
competent	0.865	0.560	0.904	cymwys
competition	0.580	0.790	0.798	cystadleuaeth
competitive	0.447	0.718	0.908	cystadleuol
competitor	0.612	0.959	0.861	cystadleuydd
compilation	0.530	0.512	0.606	crynhoad
compile	0.600	0.413	0.519	llunio
complacency	0.604	0.503	0.519	hunanfodlon
complacent	0.625	0.452	0.518	hunanfodlon
complain	0.143	0.682	0.360	achwyn
complaint	0.143	0.606	0.281	cwyn
complement	0.760	0.277	0.600	ategu
complementary	0.714	0.320	0.586	cyflenwol
complete	0.750	0.414	0.809	cyflawn
completed	0.823	0.357	0.777	wedi ei gwblhau
completely	0.730	0.370	0.690	yn hollol
completeness	0.823	0.433	0.769	cyflawnder
completing	0.614	0.500	0.769	cwblhau
completion	0.656	0.470	0.525	cwblhau
complex	0.388	0.608	0.550	cymhleth
complexed	0.312	0.577	0.612	cymhlyg
complexion	0.521	0.520	0.380	gwedd
complexity	0.479	0.620	0.595	cymhlethdod
compliance	0.750	0.462	0.750	cydymffurfiad
compliant	0.677	0.310	0.519	cydymffurfio
complicate	0.210	0.657	0.404	cymhlethu
complicated	0.211	0.660	0.455	cymhleth
complication	0.365	0.726	0.330	cymhlethdod
complicity	0.323	0.684	0.670	cymhlethdod
compliment	0.820	0.490	0.651	canmoliaeth
complimentary	0.823	0.413	0.435	canmoliaethus
comply	0.806	0.370	0.638	cydymffurfio
complying	0.729	0.423	0.590	cydymffurfio
compo	0.500	0.346	0.390	compo
component	0.531	0.382	0.525	cydran
compose	0.639	0.432	0.694	cyfansoddi
composed	0.684	0.385	0.682	cyfansoddi
composer	0.822	0.588	0.691	cyfansoddwr
composite	0.591	0.459	0.620	cyfansawdd
composition	0.765	0.408	0.652	cyfansoddiad
compost	0.480	0.404	0.441	compost
composure	0.802	0.354	0.717	amgyffred
compound	0.635	0.385	0.735	cyfansawdd
comprehend	0.875	0.365	0.689	amgyffred
comprehension	0.908	0.387	0.688	amgyffred
comprehensive	0.796	0.385	0.644	cynhwysfawr
compress	0.406	0.412	0.460	cywasgu
compressed	0.323	0.396	0.388	cywasgedig
compressible	0.622	0.392	0.585	cywasgadwy
compression	0.646	0.521	0.579	cywasgu
compressor	0.418	0.481	0.630	cywasgwr
comprise	0.839	0.373	0.669	cynnwys
compromise	0.677	0.520	0.805	cyfaddawd
comptroller	0.402	0.481	0.866	rheolwr
compulsion	0.118	0.760	0.604	gorfodaeth
compulsive	0.347	0.871	0.573	gorfodaeth
compulsory	0.343	0.541	0.791	gorfodol
computable	0.570	0.402	0.545	cyfrifadwy
computation	0.583	0.429	0.697	cyfrifiant
compute	0.531	0.408	0.564	cyfrifiannu
computer	0.802	0.356	0.639	cyfrifiadur
computerized	0.677	0.450	0.657	cyfrifiadurol
computing	0.745	0.398	0.695	cyfrifiadura
comrade	0.781	0.412	0.804	cymrawd
con	0.255	0.736	0.427	con
concatenation	0.480	0.593	0.539	cydgadwyn
concave	0.441	0.349	0.349	ceugrwm
conceal	0.312	0.436	0.306	celu
concealed	0.344	0.363	0.352	cudd
concealment	0.302	0.570	0.390	celu
concede	0.670	0.324	0.473	cydoddef
conceit	0.354	0.625	0.309	conceit
conceited	0.194	0.667	0.473	conceited
