English Word	Valence	Arousal	Dominance	Latin Word
decorum	0.802	0.327	0.462	decoris
decoy	0.149	0.460	0.330	elicerent 
decrease	0.125	0.360	0.267	diminutio
decreased	0.224	0.271	0.170	decrevit
decreasing	0.320	0.346	0.224	decrescens
decree	0.552	0.478	0.746	decretum
decrement	0.255	0.427	0.373	decrementum
decrepit	0.156	0.490	0.225	decrepitus
decry	0.400	0.814	0.548	declamitare
decryption	0.459	0.445	0.600	decryption
dedicate	0.823	0.431	0.588	consecrare
dedication	0.867	0.471	0.682	dedication
deduce	0.490	0.510	0.466	deduce
deduct	0.355	0.330	0.412	deduct
deductible	0.375	0.286	0.455	eleifend
deduction	0.438	0.462	0.527	deductio
deed	0.520	0.320	0.592	factum
deejay	0.551	0.630	0.473	deejay
deem	0.594	0.529	0.690	deem
deep	0.490	0.473	0.657	profundus
deepen	0.625	0.530	0.776	profundius
deer	0.583	0.375	0.292	cervus
defamation	0.110	0.670	0.481	obtrectatio
defamatory	0.143	0.688	0.402	ad infamiam
default	0.459	0.343	0.712	defaltam
defeat	0.092	0.500	0.224	cladem
defeated	0.104	0.582	0.145	victus
defeatist	0.163	0.567	0.315	defeatist
defect	0.135	0.561	0.185	defectus
defection	0.146	0.594	0.330	defectio
defective	0.122	0.580	0.274	defectivum
defector	0.163	0.696	0.286	defector
defend	0.698	0.722	0.670	defendere
defendant	0.250	0.710	0.491	reus
defended	0.663	0.451	0.582	defendi
defender	0.639	0.708	0.750	defensor
defending	0.604	0.871	0.812	defendens
defense	0.652	0.698	0.802	defensio
defenseless	0.143	0.357	0.105	inermis
defensible	0.740	0.509	0.593	defensibilis
defensive	0.542	0.640	0.678	defensus
defer	0.245	0.459	0.317	differ
deference	0.510	0.396	0.447	reverentia
deferral	0.765	0.542	0.327	dilatione
deferring	0.343	0.500	0.413	differens
defiance	0.333	0.780	0.760	contumacia
defiant	0.250	0.792	0.769	contumaciter
defibrillator	0.398	0.663	0.431	defibrillator
deficiency	0.073	0.373	0.179	defectus
deficient	0.240	0.464	0.132	deficiens
deficit	0.358	0.500	0.269	defectus
define	0.688	0.415	0.632	definire
defined	0.670	0.214	0.646	defined
definite	0.708	0.292	0.741	certum
definition	0.573	0.375	0.579	definition
definitive	0.583	0.479	0.787	definitive
deflate	0.148	0.404	0.237	deflate
deflation	0.287	0.536	0.407	deflation
deflect	0.133	0.491	0.482	deflectere
deflection	0.188	0.500	0.382	claudicatio
defloration	0.188	0.690	0.434	defloratio
deform	0.112	0.654	0.284	deform
deformed	0.198	0.435	0.308	deformis
deformity	0.160	0.569	0.241	deformitas
defraud	0.175	0.635	0.314	defraudant
defray	0.375	0.598	0.653	defray
defrost	0.427	0.317	0.389	defrost
deft	0.719	0.575	0.849	deft
defunct	0.112	0.491	0.272	defuncti
defuse	0.167	0.480	0.430	defuse
defy	0.353	0.884	0.657	defy
degeneracy	0.143	0.720	0.298	degeneratum
degenerate	0.069	0.724	0.264	degener
degeneration	0.245	0.578	0.371	degeneratum
degradation	0.160	0.608	0.315	degradatio
degrade	0.083	0.500	0.184	degradare
degraded	0.167	0.433	0.205	degradatus
degrading	0.031	0.583	0.232	sordidum
degree	0.724	0.365	0.663	gradus
dehydrated	0.310	0.685	0.212	dehydrated
dehydration	0.188	0.472	0.259	siccitatibus
dejected	0.104	0.654	0.347	abiectis
delay	0.204	0.510	0.162	mora
delayed	0.188	0.490	0.216	moratus
delectable	0.781	0.642	0.718	delectabilis
delegate	0.612	0.491	0.658	delegatus
delegation	0.562	0.431	0.609	legatio
delete	0.292	0.298	0.409	delere
deleterious	0.297	0.725	0.440	multipliciter
deletion	0.062	0.506	0.462	deletionem
deli	0.561	0.448	0.447	taberna
deliberate	0.551	0.654	0.682	consulto
deliberation	0.561	0.678	0.596	deliberatione
deliberative	0.392	0.552	0.573	deliberative
delicacy	0.812	0.279	0.336	cuppedia
delicate	0.583	0.294	0.366	deliciarum
delicatessen	0.656	0.474	0.400	delicatessen
delicious	0.927	0.650	0.589	delectamentum
delight	0.949	0.666	0.647	delectatio
delighted	0.938	0.664	0.685	delectatus
delightful	0.918	0.735	0.644	jucundus
delineate	0.448	0.430	0.445	delineate
delineation	0.521	0.402	0.314	delineatio
delinquency	0.135	0.860	0.508	delictum
delinquent	0.051	0.904	0.500	delinquens
delirious	0.219	0.774	0.538	delirare
delirium	0.233	0.694	0.484	delirium
deliver	0.583	0.370	0.582	libera
deliverance	0.750	0.520	0.658	liberatio
delivery	0.704	0.461	0.786	traditio
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	delta
delude	0.143	0.627	0.353	deludere
deluge	0.245	0.714	0.612	inundatio
delusion	0.344	0.647	0.400	delusio
delusional	0.219	0.745	0.327	fallacia
deluxe	0.792	0.612	0.755	ludo
delve	0.469	0.529	0.684	delve
demand	0.292	0.673	0.500	postulatio
demanding	0.396	0.750	0.828	postulantes
demeaned	0.271	0.520	0.212	humiliatus
demeaning	0.104	0.645	0.308	perages
demeanor	0.633	0.433	0.657	moribus
demented	0.088	0.787	0.309	delirare
dementia	0.092	0.779	0.337	dementia
demise	0.104	0.596	0.456	exitium
demo	0.510	0.314	0.423	demo
democracy	0.680	0.500	0.840	democratia
democrat	0.582	0.400	0.755	popularis
democratic	0.802	0.519	0.798	popularis
demographic	0.459	0.356	0.594	demographicis
demolish	0.125	0.632	0.700	demoliri
demolished	0.271	0.647	0.353	demolitus est
demolition	0.133	0.827	0.541	demolitio
demon	0.037	0.908	0.509	daemonium
demonic	0.146	0.875	0.600	daemonium
demonstrable	0.735	0.471	0.749	demonstrabilis
demonstrate	0.771	0.552	0.839	demonstrare
demonstrated	0.617	0.500	0.649	demonstratum
demonstrating	0.698	0.571	0.693	demonstrans
demonstration	0.551	0.676	0.679	demonstrationem
demonstrative	0.656	0.528	0.736	demonstrativum
demonstrator	0.520	0.598	0.733	demonstrator
demoralized	0.082	0.590	0.149	perculsi
demos	0.418	0.370	0.368	demos
demure	0.690	0.315	0.417	decens
den	0.510	0.347	0.398	den
deniability	0.230	0.509	0.417	negatio
denial	0.194	0.435	0.318	negatio
denied	0.188	0.604	0.333	negavit
denim	0.520	0.382	0.327	denim
denomination	0.490	0.363	0.429	denominatio
denominational	0.458	0.375	0.679	denominational
denominator	0.450	0.410	0.613	denominator
denote	0.448	0.471	0.534	denotant
denounce	0.083	0.780	0.426	denuntiare
dense	0.354	0.343	0.536	densum
density	0.602	0.471	0.561	density
dent	0.306	0.606	0.325	dent
dental	0.573	0.404	0.463	dentalis
dentist	0.479	0.620	0.642	dentist
dentistry	0.429	0.570	0.569	dentist
dentists	0.364	0.600	0.582	dentists 
denunciation	0.146	0.830	0.561	denuntiatio
deny	0.316	0.667	0.321	negare
denying	0.080	0.542	0.272	negando
deodorant	0.480	0.265	0.269	deodorant
depart	0.398	0.480	0.444	discedere
departed	0.245	0.536	0.391	recessit
department	0.708	0.358	0.642	department
departmental	0.612	0.422	0.446	departmental
departure	0.573	0.500	0.426	discessum
depend	0.388	0.429	0.358	depend
dependable	0.880	0.357	0.741	fidum
dependant	0.357	0.404	0.451	dependens
dependence	0.250	0.451	0.433	dependentia
dependency	0.429	0.365	0.356	dependentia
dependent	0.354	0.455	0.404	dependens
depict	0.663	0.529	0.723	depingere
depicting	0.490	0.566	0.602	depingens
depletion	0.153	0.370	0.236	deperditionem
deplorable	0.135	0.657	0.230	miserabilis
deplore	0.135	0.575	0.373	deplorare
deploy	0.500	0.520	0.585	explicandam
deployment	0.510	0.520	0.612	deployment
deport	0.167	0.667	0.546	deporta
deportation	0.104	0.786	0.450	deportationem
depose	0.286	0.420	0.451	deponere
deposit	0.540	0.379	0.483	deposit
depositary	0.604	0.431	0.500	depositarius
deposition	0.394	0.510	0.471	depositio
depository	0.551	0.373	0.481	consignatio
depot	0.635	0.255	0.471	vectum
depraved	0.031	0.837	0.395	improbus
depravity	0.115	0.854	0.453	pravitas
depreciate	0.270	0.623	0.445	detrahens
depreciated	0.135	0.672	0.250	reddat
depreciation	0.143	0.571	0.386	imminutiones
depress	0.219	0.635	0.528	depress
depressed	0.024	0.445	0.136	depressum
depressing	0.146	0.559	0.216	triste
depression	0.031	0.520	0.232	exanimationes incidamus
depressive	0.143	0.434	0.202	depressive
depresson	0.135	0.400	0.308	depresson
deprivation	0.194	0.610	0.413	privatio
deprive	0.271	0.591	0.340	privare
deprived	0.354	0.506	0.536	privatus
depth	0.708	0.561	0.759	profundum
deputy	0.429	0.530	0.787	vicarius
derail	0.108	0.802	0.375	derail
deranged	0.376	0.868	0.357	vecordiae
derelict	0.208	0.470	0.237	derelicta
derision	0.265	0.670	0.292	derisio
derivation	0.521	0.519	0.644	derivatio
derivative	0.541	0.491	0.508	inde
derive	0.396	0.324	0.360	trahunt
dermal	0.385	0.406	0.443	dermal
dermatologist	0.531	0.358	0.528	dermatologist
dermatology	0.422	0.500	0.556	dermatology
derogation	0.208	0.460	0.327	derogatio
derogatory	0.122	0.580	0.404	derogare
descend	0.385	0.535	0.231	descendere
descendant	0.684	0.420	0.625	progenies
descendent	0.391	0.480	0.565	descendens
descending	0.219	0.493	0.250	descendens
descent	0.300	0.402	0.158	descensus
describe	0.542	0.472	0.555	describere
description	0.582	0.425	0.596	descriptio
descriptive	0.667	0.352	0.570	descriptio
desecrate	0.255	0.806	0.509	polluere
desecration	0.125	0.833	0.564	pollutio
desert	0.469	0.279	0.389	desert
deserted	0.156	0.480	0.214	desertus
deserter	0.122	0.710	0.366	transfuga
desertion	0.122	0.630	0.289	desertio
deserve	0.802	0.436	0.613	merentur
deserved	0.781	0.582	0.689	meruit
deserving	0.802	0.596	0.858	dignus
design	0.796	0.327	0.632	design
designate	0.531	0.538	0.683	designare
designated	0.500	0.412	0.616	designatus
designation	0.612	0.571	0.675	designatio
designed	0.745	0.380	0.595	disposito
designer	0.875	0.519	0.670	excogitatoris
designing	0.792	0.355	0.552	designing
desirability	0.684	0.550	0.675	appetibile
desirable	0.740	0.735	0.750	desiderabilis
desire	0.896	0.692	0.647	desiderium
desiring	0.814	0.821	0.632	petens
desirous	0.719	0.824	0.562	cupidus
desist	0.220	0.358	0.291	desine
desk	0.510	0.135	0.422	desk
desolate	0.104	0.320	0.228	desolatum
desolation	0.073	0.481	0.273	desolatione
despair	0.115	0.794	0.245	desperationis
despairing	0.073	0.735	0.286	desperans
despatch	0.448	0.400	0.613	litterae
desperado	0.260	0.745	0.361	desperado
desperate	0.083	0.842	0.337	desperatis
desperation	0.125	0.904	0.419	desperatio
despicable	0.146	0.710	0.255	despectus
despise	0.167	0.745	0.296	contemnere
despondent	0.133	0.378	0.221	despondeo
despotic	0.141	0.824	0.592	tyrannico
despotism	0.255	0.696	0.620	dominationi
dessert	0.755	0.491	0.404	secunda mensa
destination	0.708	0.471	0.637	destination
destined	0.698	0.462	0.617	destinatus
destiny	0.781	0.413	0.611	Fatum
destitute	0.130	0.451	0.222	inops
destroy	0.046	0.935	0.635	perdere
destroyed	0.031	0.696	0.288	destrui
destroyer	0.083	0.830	0.543	eversor
destroying	0.041	0.828	0.660	exitio
destruct	0.071	0.868	0.525	destruct
destruction	0.102	0.929	0.613	interitus
destructive	0.177	0.870	0.713	perniciosius
detach	0.357	0.625	0.450	abducere
detached	0.280	0.396	0.216	Caesar
detachment	0.243	0.700	0.443	praesidium
detail	0.514	0.406	0.528	detail
detailed	0.603	0.314	0.472	detailed
details	0.583	0.367	0.481	singula
detain	0.351	0.345	0.430	detineo
detainee	0.306	0.510	0.321	detainee
detect	0.531	0.520	0.565	deprehendere
detectable	0.479	0.539	0.649	detectable
detection	0.708	0.567	0.538	deprehensio
detective	0.500	0.764	0.901	INQUISITOR
detector	0.459	0.630	0.724	detector
detention	0.265	0.698	0.562	detentio
deter	0.344	0.537	0.567	deter
detergent	0.458	0.304	0.426	purgat
deteriorate	0.083	0.471	0.202	deteriorare
deteriorated	0.053	0.549	0.237	deterioratus
deteriorating	0.104	0.459	0.112	corrumpi
deterioration	0.130	0.512	0.283	depravatio
determinable	0.625	0.565	0.723	determinabilis
determinate	0.630	0.314	0.772	determinate
determination	0.776	0.725	0.795	determinatio
determine	0.612	0.368	0.776	determinare
determined	0.760	0.528	0.673	determinari
deterrent	0.292	0.461	0.385	deterrere
detest	0.083	0.800	0.492	detestor
detestation	0.177	0.637	0.412	detestatio
detonate	0.375	0.850	0.696	detonate
detonation	0.167	0.931	0.741	detonation
detonator	0.207	0.875	0.750	detonator
detour	0.398	0.539	0.309	circuitus
detract	0.344	0.438	0.368	detrahere
detriment	0.281	0.538	0.263	detrimentum
detrimental	0.203	0.679	0.387	detrimentum
detritus	0.276	0.353	0.363	detritus
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	deutschmark
devalued	0.321	0.462	0.212	minuatur
devastate	0.021	0.796	0.509	devastate
devastated	0.120	0.544	0.264	devastatum
devastating	0.104	0.856	0.419	vastare
devastation	0.090	0.904	0.472	vastitas
develop	0.771	0.670	0.821	develop
developer	0.844	0.653	0.864	elit
developing	0.833	0.587	0.714	developing
development	0.827	0.500	0.796	progressus
deviant	0.094	0.589	0.398	obliquatur
deviate	0.173	0.562	0.269	deflectere
deviating	0.354	0.634	0.536	deviare
deviation	0.105	0.513	0.336	declinatio
device	0.562	0.404	0.627	machinam
devil	0.161	0.900	0.611	diaboli
deviled	0.347	0.559	0.358	diaboli
devilish	0.073	0.865	0.490	diabolicus
devious	0.250	0.519	0.259	Pravum
devise	0.551	0.557	0.670	cogito
devoid	0.219	0.436	0.300	expers
devolution	0.345	0.434	0.425	devolution
devolve	0.367	0.427	0.596	devolvo
devote	0.802	0.490	0.642	inculto
devoted	0.867	0.320	0.698	devotus
devotee	0.816	0.461	0.577	devotus
devotion	0.802	0.561	0.673	devotionis
devotional	0.740	0.394	0.655	devotionis
devour	0.344	0.888	0.574	devorare
devout	0.620	0.357	0.464	devotus
dew	0.604	0.225	0.464	ros
dexter	0.458	0.473	0.444	dexter
dexterity	0.771	0.673	0.864	sollertia
dextrose	0.333	0.402	0.323	dextrose
diabetes	0.051	0.472	0.279	diabete
diabetic	0.125	0.269	0.237	diabetic
diabolical	0.102	0.912	0.456	diabolicus
diagnose	0.378	0.520	0.714	egritudo
diagnosis	0.571	0.500	0.819	diagnosis
diagnostic	0.417	0.483	0.635	diagnostic
diagnostics	0.540	0.440	0.750	diagnostica
diagonal	0.500	0.343	0.410	diametro
diagram	0.562	0.357	0.445	tabula
dial	0.620	0.427	0.596	horologio
dialect	0.635	0.422	0.526	dialecto
dialectic	0.510	0.540	0.638	dialectic
dialogue	0.599	0.441	0.625	dialogus
dialysis	0.194	0.567	0.407	dialysis
diameter	0.427	0.298	0.483	diametri
diamond	0.910	0.606	0.769	iaspis
diamonds	0.927	0.684	0.917	crystallini
diaper	0.409	0.274	0.155	diaper
diaphragm	0.459	0.337	0.517	diaphragma
diarrhea	0.092	0.684	0.143	fluxus ventris
diarrhoea	0.038	0.692	0.250	fluxus ventris
diary	0.698	0.292	0.464	commentarius
diatribe	0.354	0.569	0.409	diatribe
dib	0.479	0.370	0.344	dib *
dibs	0.510	0.410	0.391	dibs 
dice	0.458	0.441	0.264	talis
dicey	0.290	0.833	0.727	dicey
dichotomous	0.365	0.452	0.538	dichotomus
dichotomy	0.323	0.482	0.483	dichotomia
dick	0.208	0.500	0.462	dick
dickhead	0.115	0.608	0.284	dickhead
dicks	0.310	0.694	0.358	nequeunt
dictate	0.480	0.423	0.668	dictare
dictation	0.255	0.378	0.627	dictamen
dictator	0.073	0.760	0.862	dictator
dictatorial	0.204	0.770	0.840	dictatoris
dictatorship	0.082	0.806	0.784	dictatura
diction	0.439	0.373	0.679	dictio
dictionary	0.620	0.250	0.598	dictionary
dictum	0.385	0.510	0.528	dictum
didactic	0.645	0.480	0.673	didascalicum
diddle	0.429	0.566	0.393	diddle
die	0.031	0.765	0.259	mori
died	0.021	0.650	0.327	mortuus est
diesel	0.490	0.327	0.448	pellentesque
diet	0.429	0.235	0.398	victu
dietary	0.551	0.220	0.261	puritate alimentorum
differ	0.230	0.398	0.396	differ
difference	0.474	0.560	0.483	differentia
differences	0.365	0.582	0.342	differences
different	0.612	0.394	0.473	diversum
differential	0.520	0.378	0.535	differentiale
differentiation	0.367	0.561	0.535	differentia
differently	0.480	0.431	0.506	aliter
differing	0.418	0.410	0.455	dissimiles
difficult	0.235	0.700	0.508	difficilis
difficulties	0.082	0.784	0.357	difficultatibus
difficulty	0.079	0.740	0.368	difficultas
diffuse	0.430	0.431	0.321	diffuse
diffusion	0.356	0.615	0.517	diffusio
dig	0.367	0.585	0.637	fodere
digest	0.720	0.413	0.483	digestum
digestion	0.531	0.410	0.455	concoctionem
digestive	0.542	0.413	0.434	digestivorum
digit	0.447	0.286	0.333	digit
digital	0.740	0.382	0.529	digital
dignified	0.766	0.481	0.635	gravis
dignify	0.854	0.588	0.735	digni-
dignity	0.844	0.391	0.873	dignitas
digress	0.271	0.625	0.411	digredi
digs	0.448	0.670	0.635	fodit
dike	0.360	0.384	0.490	fossatum
dilapidated	0.229	0.618	0.286	dilapidated
dilatation	0.385	0.574	0.368	dilatatio
dilation	0.347	0.490	0.578	dilatatio
dildo	0.536	0.587	0.491	dildo
dilemma	0.153	0.590	0.430	dilemma
diligence	0.688	0.423	0.700	diligentia
diligent	0.760	0.426	0.759	sollicitus
dill	0.427	0.360	0.373	anetum
diluent	0.417	0.344	0.332	diluent
dilute	0.275	0.192	0.349	dilutum
diluted	0.469	0.310	0.229	dilutum
dilution	0.445	0.337	0.352	MIXTURA
dim	0.398	0.321	0.273	dim
dime	0.653	0.317	0.345	libellam dedisset
dimension	0.592	0.415	0.627	dimensio
dimensional	0.561	0.484	0.596	dimensional
diminish	0.240	0.357	0.167	diminuere
diminished	0.156	0.269	0.196	minui
diminution	0.316	0.296	0.245	diminutio
diminutive	0.323	0.200	0.109	diminutivum
dimwit	0.255	0.459	0.175	dimwit
din	0.440	0.417	0.398	din
dine	0.821	0.519	0.478	dine
diner	0.643	0.302	0.538	prandium
dinghy	0.510	0.269	0.325	cymba
dingo	0.608	0.472	0.346	dingo
dingy	0.156	0.483	0.343	telis
dining	0.724	0.350	0.459	triclinium
dinky	0.357	0.451	0.358	dinky
dinner	0.823	0.392	0.379	cena
dinnertime	0.796	0.406	0.341	tempus cenae
dinosaur	0.448	0.630	0.596	dinosaurum
dint	0.378	0.480	0.492	venire 
diocesan	0.520	0.283	0.518	dioecesan
diocese	0.510	0.288	0.575	diocesis
diorama	0.592	0.441	0.462	diorama
dioxide	0.354	0.433	0.456	dioxide
dip	0.516	0.583	0.397	intinge
diploma	0.750	0.462	0.731	diploma
diplomacy	0.740	0.396	0.774	legatio
diplomat	0.563	0.262	0.868	diplomat
diplomatic	0.653	0.363	0.918	diplomatic
dipper	0.548	0.361	0.348	dipper
dippy	0.430	0.402	0.340	dippy
dipstick	0.365	0.312	0.316	dipstick
dire	0.214	0.660	0.259	dire
direct	0.793	0.403	0.650	directum
directed	0.542	0.490	0.541	dirigi
direction	0.719	0.330	0.684	directionem
directive	0.604	0.530	0.918	directivum
directly	0.747	0.400	0.702	directe
director	0.688	0.580	0.912	director
directory	0.439	0.413	0.538	directorium
dirt	0.112	0.500	0.236	lutum
dirty	0.153	0.460	0.170	sordida
disability	0.073	0.482	0.173	vitium
disable	0.115	0.430	0.269	disable
disabled	0.308	0.443	0.235	debilitatum
disadvantage	0.150	0.377	0.282	incommodum
disaffected	0.176	0.410	0.291	infensus
disagree	0.133	0.590	0.345	dissentio
disagreeable	0.042	0.643	0.178	triste
disagreeing	0.255	0.643	0.350	obnitentes
disagreement	0.104	0.618	0.236	dissensio
disallow	0.156	0.519	0.424	disallow
disallowed	0.135	0.500	0.328	cluditur
disapointment	0.104	0.418	0.231	disapointment
disappear	0.143	0.441	0.350	evanescet
disappearance	0.214	0.698	0.367	ablatione
disappearing	0.167	0.427	0.379	evanidus
disappoint	0.150	0.633	0.288	confundas
disappointed	0.071	0.472	0.241	confundentur
disappointing	0.073	0.640	0.200	propediem
disappointment	0.115	0.490	0.336	destitutione
disapproval	0.085	0.551	0.367	reprobatio
disapprove	0.160	0.594	0.445	improbo
disapproved	0.104	0.550	0.114	reprobi
disapproving	0.245	0.625	0.452	improbans
disarm	0.292	0.528	0.613	exarmare
disarray	0.198	0.657	0.223	consternatus
disaster	0.082	0.892	0.433	cladis
disastrous	0.071	0.741	0.439	exitiabilis
disband	0.302	0.491	0.417	dimittere
disbelief	0.188	0.409	0.373	infidelitas
disbelieve	0.188	0.441	0.352	credere
disburse	0.418	0.473	0.353	erogare
disbursement	0.240	0.443	0.435	erogatio
disc	0.622	0.410	0.426	disc
discard	0.240	0.343	0.337	abiicias 
discarded	0.229	0.460	0.308	abiectis
discards	0.240	0.464	0.391	rejicit
discern	0.459	0.566	0.518	discernere
discernible	0.427	0.441	0.481	cernitur
discerning	0.542	0.584	0.780	discretio
discernment	0.408	0.471	0.694	discretionem
discharge	0.427	0.538	0.578	missionem
disciple	0.765	0.385	0.462	discipulus
disciplinary	0.562	0.593	0.796	disciplinae
discipline	0.615	0.471	0.806	disciplina
disciplined	0.728	0.450	0.750	disciplinatus
disclaim	0.235	0.509	0.321	disclaim
disclaimer	0.367	0.571	0.542	disclaimer
disclose	0.490	0.570	0.545	revelare
disclosed	0.271	0.575	0.546	detectum
disclosure	0.500	0.615	0.710	detectio
disco	0.710	0.806	0.575	disco
discoloration	0.224	0.373	0.414	color
discolored	0.204	0.340	0.269	decolor
discomfort	0.153	0.719	0.272	molestiae
disconcerted	0.100	0.612	0.288	turbatus
disconcerting	0.106	0.549	0.269	disconcerting
disconnect	0.438	0.292	0.191	disconnect
disconnected	0.292	0.276	0.173	disiungitur
disconnection	0.167	0.283	0.277	disiunctio
disconnects	0.256	0.357	0.241	disconnects
discontent	0.240	0.530	0.263	tristitia
discontinuance	0.123	0.741	0.337	discontinuatione
discontinue	0.354	0.396	0.349	omitto
discontinuity	0.303	0.439	0.250	discontinuitatem
discontinuous	0.233	0.409	0.316	discontinuus
discord	0.115	0.882	0.465	discordia
discount	0.724	0.530	0.302	infringo
discounted	0.677	0.471	0.430	discounted
discourage	0.184	0.443	0.267	subvertitis mentes
discouraged	0.220	0.304	0.090	pusillo animo
discouragement	0.112	0.319	0.206	animi
discouraging	0.167	0.469	0.281	cuiusquam
discourse	0.410	0.550	0.803	sermo
discover	0.771	0.793	0.673	invenire
discovery	0.823	0.627	0.814	inventio
discredit	0.075	0.529	0.355	infamia
discredited	0.112	0.491	0.182	inprobantur
discreet	0.552	0.216	0.532	prudens
discrepancy	0.260	0.643	0.417	discrepantia
discrete	0.585	0.231	0.429	discretus
discretion	0.552	0.320	0.685	discretione
discretionary	0.520	0.365	0.446	discretionis
discriminate	0.125	0.761	0.366	discernere
discriminating	0.160	0.783	0.462	discernentes
discrimination	0.051	0.724	0.379	discrimen
discus	0.542	0.423	0.343	discus
discuss	0.396	0.769	0.509	de 
discussion	0.333	0.842	0.536	discussion
disdain	0.153	0.446	0.441	fastidire
disdainful	0.097	0.480	0.263	fastidiosus
disease	0.041	0.539	0.333	morbus
diseased	0.123	0.510	0.134	morbidus
disembodied	0.167	0.620	0.412	exsolvitur
disengage	0.406	0.529	0.304	LIBERO
disengagement	0.327	0.373	0.395	liberatio
disfigured	0.153	0.613	0.336	deformis
disgrace	0.061	0.531	0.331	dedecus
disgraced	0.071	0.661	0.250	dedecus
disgraceful	0.082	0.702	0.240	turpe
disgruntled	0.104	0.658	0.442	turbatus
disguise	0.573	0.694	0.431	dissimulato
disguised	0.500	0.615	0.326	habitu
disgust	0.052	0.775	0.317	fastidium
disgusted	0.051	0.773	0.274	fastidium
disgusting	0.031	0.796	0.245	abominatio
dish	0.552	0.255	0.264	catino
disheartened	0.153	0.343	0.238	contristatus
disheartening	0.010	0.353	0.224	tristitia
dishonest	0.191	0.491	0.163	improbus
dishonesty	0.094	0.592	0.348	improbitas
dishonor	0.104	0.620	0.185	dedecus
dishonorable	0.112	0.641	0.280	dedecus
dishwasher	0.480	0.296	0.324	discilavator
disillusionment	0.051	0.519	0.190	inlusio
disinclination	0.125	0.491	0.330	taciturnitas
disincline	0.458	0.454	0.278	disinline
disinclined	0.385	0.442	0.364	minime
disinfect	0.448	0.388	0.648	disinfect
disinfectant	0.531	0.429	0.460	disinfectant
disinfection	0.517	0.556	0.473	disinfection
disinformation	0.230	0.577	0.260	disinformation
disingenuous	0.194	0.509	0.204	ingenuus
disintegrate	0.143	0.660	0.364	dissolvere
disintegration	0.094	0.551	0.381	dissolutio
disinterested	0.398	0.284	0.392	gratuita
disjoint	0.351	0.385	0.322	disiunctio
disjointed	0.323	0.518	0.365	disiuncta
disjunctive	0.286	0.481	0.400	disiunctivum
disk	0.573	0.423	0.412	orbis 
diskette	0.531	0.255	0.391	diskette
dislike	0.156	0.406	0.321	odium
disliked	0.062	0.510	0.221	invisus
disliking	0.163	0.637	0.366	odio
dislocated	0.125	0.625	0.200	extorsit
dislocation	0.229	0.565	0.373	peccetur
dislodge	0.214	0.769	0.356	deturbare
disloyal	0.062	0.582	0.245	improbus
disloyalty	0.187	0.716	0.267	infidelitas
dismal	0.194	0.450	0.192	tristior
dismantle	0.347	0.644	0.462	dismantle
dismay	0.314	0.681	0.459	angustia
dismayed	0.165	0.735	0.389	perculsus
dismemberment	0.104	0.860	0.470	discerptio
dismiss	0.167	0.541	0.509	dimitte
dismissal	0.153	0.723	0.271	dimissio
dismissive	0.188	0.541	0.430	Dimissionis
dismount	0.361	0.423	0.391	dismount
disobedience	0.051	0.868	0.369	inobedientia
disobedient	0.276	0.706	0.353	inobediens
disobey	0.143	0.556	0.491	dissimulare
disorder	0.115	0.816	0.218	inordinatio
disordered	0.210	0.714	0.288	inordinatus
disorderly	0.188	0.748	0.385	inordinate
disorganized	0.052	0.507	0.184	pertur
disorientation	0.163	0.472	0.212	disorientatio
disoriented	0.227	0.643	0.227	perturbatur
disown	0.153	0.637	0.368	negare
disparage	0.092	0.663	0.336	obtrectare
disparaging	0.102	0.626	0.411	detractare
disparate	0.438	0.500	0.368	dispar
disparity	0.208	0.482	0.361	inaequalitas
dispassionate	0.199	0.217	0.218	dispassionate
dispatch	0.317	0.417	0.555	litterae
dispatcher	0.365	0.704	0.652	dispatcher
dispel	0.388	0.402	0.411	dispellere
dispensary	0.406	0.380	0.606	prostant
dispensation	0.388	0.462	0.490	dispensatione
dispense	0.561	0.520	0.518	dispensare
dispenser	0.583	0.392	0.470	dispensator
dispersal	0.388	0.507	0.421	dissipatio
disperse	0.375	0.569	0.434	disperge
dispersed	0.344	0.490	0.274	dispersit
dispersion	0.270	0.604	0.350	dispersio
dispirited	0.204	0.280	0.142	animose
displace	0.424	0.541	0.454	TRANSFERO
displaced	0.281	0.472	0.291	emoti
displacement	0.276	0.531	0.481	obsessio
displacency	0.500	0.528	0.642	displacency
display	0.677	0.325	0.400	ostentus
displease	0.021	0.702	0.286	displicere
displeased	0.135	0.690	0.400	displicuit
displeasure	0.115	0.559	0.250	offensio
disposable	0.271	0.439	0.250	LIBER
disposal	0.135	0.608	0.396	arbitrio
dispose	0.548	0.538	0.559	dispono
disposed	0.688	0.441	0.625	dispositus
disposition	0.663	0.542	0.734	dispositio
dispossessed	0.354	0.577	0.331	obsessus
disprove	0.375	0.625	0.613	improbare
dispute	0.219	0.750	0.585	disceptatio
disqualification	0.066	0.677	0.330	IMPOTENTIA
disqualified	0.129	0.464	0.232	reprobi
disqualify	0.208	0.595	0.267	excludunt
disquieted	0.229	0.850	0.290	turbatus
disregard	0.177	0.647	0.308	neglectus
disregarded	0.260	0.458	0.283	neglectus
disrelish	0.375	0.471	0.304	displicet
disreputable	0.104	0.688	0.353	infamis
