English Word	Valence	Arousal	Dominance	Odia Word
criterion	0.396	0.410	0.736	ମାନଦଣ୍ଡ
critic	0.264	0.604	0.686	ସମାଲୋଚକ
critical	0.312	0.802	0.545	ଗୁରୁତର
criticise	0.073	0.700	0.452	ସମାଲୋଚନା କର |
criticism	0.115	0.563	0.505	ସମାଲୋଚନା
criticize	0.143	0.708	0.473	ସମାଲୋଚନା କର |
criticized	0.240	0.600	0.311	ସମାଲୋଚିତ
critique	0.302	0.760	0.537	ସମାଲୋଚନା
critter	0.542	0.539	0.482	କ୍ରିଟର୍ |
croak	0.337	0.346	0.298	କ୍ରୋକ୍
croc	0.327	0.452	0.451	croc
crock	0.385	0.412	0.421	କ୍ରକ୍
crockery	0.552	0.216	0.327	ପାତ୍ର
crocodile	0.344	0.708	0.610	କୁମ୍ଭୀର
croft	0.531	0.429	0.421	କ୍ରଫ୍ଟ
croissant	0.745	0.330	0.430	କ୍ରୋଏସାଣ୍ଟ |
crook	0.171	0.765	0.550	କ୍ରୋକ୍
crooked	0.146	0.594	0.305	ବଙ୍କା
crop	0.615	0.260	0.500	ଫସଲ
croquet	0.551	0.519	0.407	କ୍ରୁକେଟ୍ |
cross	0.448	0.321	0.569	କ୍ରସ୍
cross country	0.531	0.441	0.529	କ୍ରସ୍ ଦେଶ |
crossbow	0.344	0.598	0.560	କ୍ରସବୋ |
crossed	0.431	0.490	0.508	ଅତିକ୍ରମ କଲା |
crossfire	0.316	0.896	0.722	କ୍ରସ୍ ଫାୟାର୍ |
crossing	0.549	0.349	0.451	କ୍ରସିଂ
crossover	0.559	0.550	0.500	କ୍ରସଓଭର
crosswalk	0.557	0.441	0.380	କ୍ରସ୍ ୱାଲ୍
crossword	0.611	0.423	0.455	କ୍ରସ୍ ୱାର୍ଡ |
crotch	0.521	0.637	0.447	କ୍ରୋଚ୍
crouch	0.281	0.606	0.312	କ୍ରୁଚ୍
crouched	0.333	0.363	0.279	ଆଣ୍ଠୁଏ
crouching	0.261	0.429	0.345	କ୍ରୁଚିଙ୍ଗ୍ |
croupier	0.531	0.519	0.404	କ୍ରୁପିଅର୍ |
crow	0.224	0.439	0.363	କାଉ
crowbar	0.406	0.531	0.386	କ୍ରୋବାର୍ |
crowd	0.350	0.827	0.731	ଭିଡ଼
crowded	0.694	0.286	0.585	ଭିଡ଼
crowds	0.469	0.723	0.806	ଭିଡ଼
crown	0.708	0.572	0.737	ମୁକୁଟ
crowning	0.773	0.594	0.831	ମୁକୁଟ
crucial	0.541	0.657	0.777	ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ
cruciate	0.429	0.435	0.585	କ୍ରୁଶରେ ଚ .଼ାନ୍ତୁ |
crucifix	0.469	0.480	0.510	କ୍ରୁଶବିଦ୍ଧ
crucifixion	0.135	0.857	0.541	କ୍ରୁଶବିଦ୍ଧ
crucify	0.146	0.878	0.573	କ୍ରୁଶରେ ଚ .଼ାନ୍ତୁ
crud	0.312	0.330	0.444	କ୍ରୁଡ୍ |
crude	0.198	0.402	0.357	ଅଶୋଧିତ
cruel	0.122	0.866	0.391	ନିଷ୍ଠୁର
cruelly	0.146	0.790	0.471	ନିଷ୍ଠୁର
cruelty	0.092	0.836	0.536	ନିଷ୍ଠୁରତା
cruise	0.740	0.442	0.683	କ୍ରୁଜ୍
cruise ship	0.878	0.650	0.500	କ୍ରୁଜ୍ ଜାହାଜ
cruiser	0.737	0.490	0.608	କ୍ରୁଜର
cruising	0.886	0.580	0.560	କ୍ରୁଜିଂ
crumb	0.417	0.255	0.216	ଖଣ୍ଡ
crumble	0.333	0.480	0.423	ଭୁଶୁଡ଼ିବା |
crumbling	0.167	0.696	0.308	ଭୁଶୁଡ଼ିବା
crummy	0.125	0.531	0.224	କ୍ରୁମି
crunch	0.292	0.630	0.406	କ୍ରଞ୍ଚ |
crunchy	0.625	0.560	0.539	କ୍ରଞ୍ଚି |
crusade	0.592	0.720	0.709	କ୍ରୁସେଡ୍ |
crusader	0.439	0.588	0.548	କ୍ରୁସର
crush	0.271	0.676	0.582	ଚୂର୍ଣ୍ଣ
crushed	0.167	0.647	0.300	ଚୂର୍ଣ୍ଣ
crusher	0.271	0.709	0.598	କ୍ରସର୍ |
crushing	0.219	0.755	0.411	ଚୂର୍ଣ୍ଣ
crust	0.542	0.337	0.456	ଭୂତଳ
crusty	0.625	0.531	0.473	କଞ୍ଚା
crutch	0.302	0.294	0.302	କ୍ରଚ୍
crux	0.469	0.558	0.519	କ୍ରକ୍ସ
cry	0.133	0.627	0.255	କାନ୍ଦ
crybaby	0.375	0.702	0.311	crybaby
crying	0.153	0.704	0.208	କାନ୍ଦୁଛି
crypt	0.156	0.431	0.386	କ୍ରିପ୍ଟ
cryptic	0.296	0.516	0.474	କ୍ରିପ୍ଟିକ୍
cryptography	0.490	0.415	0.650	କ୍ରିପ୍ଟୋଗ୍ରାଫି
crystal	0.618	0.270	0.508	ସ୍ଫଟିକ୍
crystalline	0.765	0.235	0.534	ସ୍ଫଟିକ୍
crystallization	0.600	0.449	0.565	ସ୍ଫଟିକୀକରଣ
cub	0.646	0.382	0.284	ଘନ
cubby	0.354	0.385	0.360	cubby
cube	0.469	0.226	0.274	କ୍ୟୁବ୍
cubic	0.458	0.306	0.407	ଘନ
cubicle	0.479	0.343	0.417	କ୍ୟୁବିକଲ୍ |
cuckold	0.210	0.573	0.230	କୁକୁଡ଼ା
cuckoo	0.420	0.459	0.284	କୁକୁଡ଼ା
cucumber	0.490	0.235	0.237	କାକୁଡି
cuddle	0.885	0.559	0.475	କୁଡ଼ିଆ |
cuddled	0.906	0.547	0.567	କୁଡ଼ିଆ |
cuddles	0.847	0.382	0.500	କୁଡ଼ିଆ |
cuddling	0.917	0.562	0.433	କୁଡ଼ିଆ
cue	0.521	0.433	0.484	କ୍ୟୁ
cuff	0.469	0.453	0.387	କଫ
cuisine	0.714	0.365	0.390	ରୋଷେଇ ଘର |
culinary	0.654	0.443	0.519	ରୋଷେଇ ଘର |
cull	0.365	0.702	0.464	କୁଲ୍
culminate	0.667	0.550	0.602	ସମାପ୍ତ
culmination	0.656	0.586	0.695	ସମାପ୍ତି
culpability	0.112	0.745	0.368	ଦୋଷ
culpable	0.140	0.700	0.319	ଦୋଷୀ
culprit	0.062	0.676	0.333	ଦୋଷୀ
cult	0.448	0.535	0.648	ସଂସ୍କୃତି
cultivate	0.708	0.410	0.598	ଚାଷ
cultivated	0.837	0.343	0.564	ଚାଷ
cultivation	0.625	0.324	0.462	ଚାଷ
cultural	0.802	0.390	0.623	ସାଂସ୍କୃତିକ
culture	0.753	0.304	0.675	ସଂସ୍କୃତି
cultured	0.635	0.429	0.625	ସଂସ୍କୃତ
culvert	0.337	0.324	0.343	କୁଲଭର୍ଟ |
cumbersome	0.259	0.623	0.292	କଷ୍ଟଦାୟକ
cumulus	0.570	0.433	0.432	cumulus
cunning	0.604	0.685	0.683	ଚତୁର
cunt	0.135	0.673	0.377	କଣ୍ଟ
cup	0.615	0.167	0.231	କପ୍
cupboard	0.553	0.200	0.304	ଆଲମାରୀ |
cupcake	0.656	0.333	0.344	କପକେକ୍ |
cupping	0.490	0.610	0.402	କପିଙ୍ଗ୍ |
cur	0.440	0.519	0.460	କର୍
curable	0.823	0.292	0.574	ଆରୋଗ୍ୟ ଯୋଗ୍ୟ |
curate	0.726	0.418	0.526	କ୍ୟୁରେଟ୍
curative	0.667	0.318	0.613	ଆରୋଗ୍ୟକାରୀ |
curator	0.688	0.389	0.688	କ୍ୟୁରେଟର
curb	0.472	0.371	0.402	ବନ୍ଦ
curd	0.542	0.442	0.278	କଦଳୀ |
cure	0.719	0.377	0.623	ଉପଶମ
curfew	0.219	0.618	0.623	କର୍ଫ୍ୟୁ
curiosity	0.750	0.755	0.463	କ uri ତୁହଳ
curious	0.635	0.600	0.483	ଆଗ୍ରହୀ
curl	0.385	0.452	0.351	କର୍ଲ
curling	0.583	0.592	0.400	କର୍ଲିଙ୍ଗ୍ |
currency	0.583	0.418	0.592	ମୁଦ୍ରା
current	0.625	0.312	0.612	ସାମ୍ପ୍ରତିକ
curriculum	0.708	0.306	0.620	ପାଠ୍ୟକ୍ରମ
curry	0.633	0.345	0.302	ତରକାରୀ
curse	0.033	0.720	0.375	ଅଭିଶାପ
cursed	0.083	0.783	0.393	ଅଭିଶାପିତ
cursing	0.112	0.860	0.446	ଅଭିଶାପ
cursory	0.423	0.451	0.431	କର୍ସରି
curt	0.245	0.610	0.452	ପରଦା
curtail	0.306	0.439	0.497	ପରଦା
curtailment	0.230	0.578	0.431	ପ୍ରତିବନ୍ଧକ
curtain	0.698	0.278	0.304	ପରଦା
curtains	0.615	0.123	0.342	ପରଦା
curtsy	0.635	0.412	0.598	କର୍ଟସି |
curvature	0.417	0.367	0.447	ବକ୍ରତା
curve	0.480	0.375	0.307	ବକ୍ର
curved	0.542	0.407	0.337	ବକ୍ର
curvilinear	0.480	0.575	0.411	curvilinear
cushion	0.653	0.221	0.292	କୁଶ
cushy	0.823	0.283	0.395	କୁଶଳ
cusp	0.667	0.710	0.700	cusp
cuss	0.354	0.538	0.443	cuss
cussed	0.156	0.625	0.454	cussed
custard	0.618	0.260	0.293	ରାକ୍ଷୀ
custodial	0.418	0.462	0.718	ରକ୍ଷକ
custodian	0.594	0.625	0.528	ରକ୍ଷକ
custody	0.494	0.472	0.675	ହେପାଜତ
custom	0.552	0.382	0.688	କଷ୍ଟମ୍
customary	0.700	0.253	0.561	ପ୍ରଥା
customer	0.562	0.430	0.673	ଗ୍ରାହକ
customized	0.625	0.504	0.590	କଷ୍ଟୋମାଇଜ୍
cut	0.490	0.490	0.393	କାଟ |
cutaneous	0.365	0.370	0.328	କଟୁଆନ୍
cute	0.920	0.528	0.579	ସୁନ୍ଦର
cuticle	0.340	0.320	0.377	କଟିକଲ୍ |
cutie	0.638	0.528	0.464	କଟି
cutlass	0.173	0.648	0.528	କଟ୍ଲାସ୍ |
cutlery	0.552	0.300	0.345	କଟଲିରି |
cutoff	0.432	0.510	0.518	ବିଛିନ୍ନ ହେବା
cutter	0.427	0.731	0.583	କଟର
cutters	0.197	0.653	0.491	କଟର
cutthroat	0.110	0.823	0.663	କଟକ
cutting	0.448	0.375	0.536	କାଟିବା
cutting board	0.337	0.540	0.342	କାଟିବା ପଟା
cuttings	0.479	0.392	0.433	କଟା
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	ସିଆନାଇଡ୍ |
cyberspace	0.677	0.594	0.611	ସାଇବର ସ୍ପେସ୍
cycle	0.635	0.400	0.533	ଚକ୍ର
cyclical	0.380	0.450	0.554	ଚକ୍ରବର୍ତ୍ତୀ
cyclist	0.684	0.582	0.576	ସାଇକେଲ ଚାଳକ
cyclone	0.416	0.796	0.673	ଘୂର୍ଣ୍ଣିବଳୟ
cylinder	0.459	0.324	0.447	ସିଲିଣ୍ଡର
cylindrical	0.458	0.294	0.414	ସିଲିଣ୍ଡର
cymbal	0.542	0.363	0.362	ସିମ୍ବଲ୍ |
cynic	0.135	0.632	0.473	ସିନିକ୍
cynical	0.156	0.760	0.474	ନିନ୍ଦନୀୟ |
cynicism	0.104	0.780	0.454	ନିନ୍ଦନୀୟ |
cyst	0.173	0.578	0.312	cyst
cystic	0.314	0.481	0.400	ସିଷ୍ଟିକ୍ |
cytomegalovirus	0.186	0.657	0.443	ସାଇଟୋମେଗାଲୋଭାଇରସ୍ |
cytoplasm	0.378	0.442	0.474	ସାଇଟୋପ୍ଲାଜମ୍ |
czar	0.480	0.348	0.643	czar
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	ଡବଲ୍ |
dabbling	0.562	0.726	0.676	ଡାବଲିଂ |
dad	0.857	0.412	0.786	ବାପା
daddy	0.795	0.400	0.736	ବାପା
dado	0.510	0.240	0.364	dado
daemon	0.333	0.490	0.500	ଡେମନ୍ |
daft	0.255	0.436	0.157	daft
dagger	0.224	0.797	0.613	ଖଣ୍ଡା
daily	0.653	0.347	0.473	ପ୍ରତିଦିନ |
dainty	0.604	0.284	0.424	ଡେଣ୍ଟି
daiquiri	0.670	0.519	0.400	daiquiri
dairy	0.633	0.255	0.462	ଦୁଗ୍ଧ
daisy	0.562	0.367	0.333	ଡେଜି
dak	0.510	0.417	0.424	ଡାକ୍
dale	0.622	0.270	0.365	ଡାଲ୍
dam	0.250	0.553	0.394	ବନ୍ଧ
damage	0.059	0.726	0.403	କ୍ଷତି
damaged	0.104	0.635	0.182	କ୍ଷତିଗ୍ରସ୍ତ |
damages	0.082	0.760	0.310	କ୍ଷତି
dame	0.694	0.480	0.500	ଡେମ୍
damn	0.073	0.784	0.431	ଅଭିଶାପ
damnation	0.135	0.750	0.416	ଅଭିଶାପ
damned	0.100	0.760	0.465	ଦୋଷୀ
damp	0.360	0.279	0.210	ଓଦା
dampened	0.271	0.422	0.336	ଓଦା
damper	0.459	0.378	0.473	ଡ୍ୟାମ୍ପର୍ |
damsel	0.719	0.475	0.400	sel ିଅ
dance	0.894	0.840	0.551	ନୃତ୍ୟ
dancer	0.740	0.768	0.545	ନୃତ୍ୟଶିଳ୍ପୀ
dancing	0.885	0.868	0.444	ନାଚ
dandruff	0.398	0.298	0.293	ଚନ୍ଦନ
dandy	0.673	0.520	0.630	ଡାଣ୍ଡି |
danger	0.115	0.923	0.673	ବିପଦ
dangerous	0.020	0.941	0.658	ବିପଜ୍ଜନକ |
dangerously	0.082	0.930	0.564	ବିପଜ୍ଜନକ ଭାବରେ |
dangit	0.396	0.606	0.358	dangit
dangle	0.362	0.469	0.375	ଡଙ୍ଗଲ୍ |
dank	0.390	0.381	0.383	ଡଙ୍କ୍
dapper	0.770	0.560	0.698	ଡାପର୍ |
dare	0.677	0.788	0.684	ସାହସ
daredevil	0.429	0.714	0.653	ସାହସ
daresay	0.540	0.451	0.490	ସାହସ
daring	0.583	0.840	0.711	ସାହସ
dark	0.198	0.398	0.426	ଅନ୍ଧାର
darken	0.250	0.471	0.382	ଅନ୍ଧାର
darkened	0.135	0.440	0.452	ଅନ୍ଧାର
darkly	0.219	0.548	0.443	ଅନ୍ଧାରରେ
darkness	0.102	0.602	0.418	ଅନ୍ଧକାର
darkroom	0.188	0.627	0.423	ଡାର୍କରୁମ୍
darkside	0.102	0.690	0.365	ଅନ୍ଧାର
darling	0.885	0.370	0.608	ପ୍ରିୟ
darn	0.115	0.765	0.418	darn
dart	0.417	0.608	0.500	ଡାର୍ଟ |
dash	0.574	0.312	0.324	ଡ୍ୟାସ୍
dashboard	0.510	0.371	0.595	ଡ୍ୟାସବୋର୍ଡ |
dashed	0.276	0.393	0.338	ଡ୍ୟାଶ୍
dashing	0.612	0.627	0.799	ଦାଶ
dastardly	0.208	0.688	0.270	ଦୁ ast ଖଦାୟକ |
data	0.500	0.250	0.426	ତଥ୍ୟ
database	0.604	0.286	0.644	ଡାଟାବେସ୍
date	0.604	0.231	0.400	ତାରିଖ
datenight	0.708	0.637	0.518	ଡାଟେନାଇଟ୍ |
daughter	0.908	0.415	0.455	daughter ିଅ
dawdle	0.479	0.464	0.357	ପ୍ରଭାତ
dawn	0.827	0.235	0.519	ଭୋର
dawned	0.694	0.471	0.473	ପ୍ରଭାତ
day	0.719	0.269	0.389	ଦିନ
daybreak	0.802	0.358	0.474	ପ୍ରଭାତ
daycare	0.776	0.481	0.360	ଦିନର ଯତ୍ନ
daydream	0.750	0.337	0.456	ଦିନରାତି
daydreaming	0.776	0.360	0.479	ଦିନରାତି
daylight	0.865	0.420	0.545	ଦୀପାବଳି
daymade	0.646	0.450	0.417	ଦିନ ତିଆରି
dayoff	0.760	0.368	0.377	ଦିନ
daytime	0.750	0.324	0.454	ଦିନ ସମୟ
daze	0.245	0.735	0.329	daze
dazed	0.300	0.697	0.277	ବିସ୍ମିତ |
dazzle	0.730	0.782	0.683	ଚମକ
dazzling	0.854	0.880	0.767	ଚମତ୍କାର
deacon	0.531	0.430	0.736	ଡାକନ୍ |
deactivate	0.235	0.447	0.392	ନିଷ୍କ୍ରିୟ କରନ୍ତୁ |
dead	0.052	0.454	0.194	ମୃତ
deadbeat	0.229	0.453	0.368	ଡେଡବିଟ୍ |
deadline	0.214	0.615	0.460	ସମୟସୀମା
deadlines	0.406	0.769	0.411	ସମୟସୀମା |
deadlock	0.170	0.418	0.323	ଅବରୋଧ
deadly	0.143	0.849	0.554	ସାଂଘାତିକ
deafening	0.281	0.835	0.482	ବଧିର
deafness	0.125	0.413	0.219	ବଧିରତା
deal	0.719	0.599	0.543	କାରବାର
dealer	0.799	0.615	0.683	ଡିଲର
dealership	0.541	0.430	0.629	ଡିଲରସିପ୍ |
dealing	0.724	0.415	0.598	କାରବାର
dealings	0.600	0.491	0.480	କାରବାର
dean	0.612	0.469	0.723	ଡିନ୍
dear	0.880	0.434	0.629	ପ୍ରିୟ
dearest	0.902	0.427	0.508	ପ୍ରିୟତମ
dearth	0.156	0.539	0.255	ପ୍ରିୟ
death	0.031	0.720	0.472	ମୃତ୍ୟୁ
deathbed	0.051	0.652	0.311	ମୃତ୍ୟୁ ଶଯ୍ୟା
deathly	0.073	0.771	0.682	ସାଂଘାତିକ
debacle	0.156	0.606	0.266	ତ୍ରୁଟି
debased	0.219	0.529	0.170	ଖରାପ
debatable	0.181	0.610	0.474	ବିତର୍କଯୋଗ୍ୟ |
debate	0.408	0.691	0.683	ବିତର୍କ
debauchery	0.354	0.901	0.500	ଦୁଷ୍କର୍ମ
debenture	0.417	0.500	0.466	ent ଣ
debilitating	0.125	0.490	0.308	ଦୁର୍ବଳ
debit	0.333	0.400	0.474	ଡେବିଟ୍
debrief	0.247	0.343	0.549	ଆବର୍ଜନା
debriefing	0.427	0.580	0.456	ଅବନତି
debris	0.135	0.396	0.327	ଆବର୍ଜନା |
debt	0.204	0.598	0.336	ରୂଣ
debtor	0.219	0.546	0.160	tor ଣଦାତା
debut	0.806	0.606	0.629	ଡେବ୍ୟୁ
debutante	0.771	0.627	0.454	ଡେବ୍ୟୁ
decade	0.531	0.402	0.665	ଦଶନ୍ଧି
decadence	0.237	0.455	0.291	ଅବନତି |
decadent	0.290	0.559	0.324	decadent
decaf	0.480	0.324	0.353	decaf
decanter	0.438	0.567	0.510	decanter
decathlon	0.573	0.753	0.620	ଡେକାଥଲନ୍ |
decay	0.143	0.312	0.170	କ୍ଷୟ
decayed	0.017	0.375	0.169	କ୍ଷୟ
decaying	0.073	0.510	0.214	କ୍ଷୟ
deceased	0.021	0.538	0.188	ମୃତ
decedent	0.423	0.481	0.415	ସୁସଜ୍ଜିତ
deceit	0.020	0.696	0.343	ପ୍ରତାରଣା
deceitful	0.071	0.788	0.371	ପ୍ରତାରଣାକାରୀ
deceive	0.094	0.775	0.414	ପ୍ରତାରଣା କର |
deceived	0.059	0.673	0.302	ପ୍ରତାରିତ |
deceiving	0.099	0.636	0.426	ପ୍ରତାରଣା
december	0.740	0.540	0.464	ଡିସେମ୍ବର
decency	0.750	0.235	0.634	ଶାସନ
decent	0.823	0.296	0.653	ଭଦ୍ର
deception	0.090	0.745	0.370	ପ୍ରତାରଣା
deceptive	0.027	0.605	0.294	ପ୍ରତାରଣାକାରୀ |
decide	0.656	0.540	0.855	ନିଷ୍ପତ୍ତି ନିଅ
decidedly	0.750	0.480	0.843	ନିର୍ଦ୍ଦିଷ୍ଟ ଭାବରେ |
deciduous	0.385	0.353	0.282	ପତଳା
decimal	0.507	0.259	0.305	ଦଶମିକ
decimeter	0.520	0.292	0.377	ଡ଼ିସିମିଟର |
decipher	0.417	0.630	0.652	ଡିସିଫର୍
decision	0.646	0.510	0.839	ନିଷ୍ପତ୍ତି
decisive	0.740	0.509	0.935	ନିର୍ଣ୍ଣାୟକ
deck	0.420	0.333	0.394	ଡେକ୍
declaration	0.551	0.590	0.714	ଘୋଷଣା
declaratory	0.635	0.582	0.673	ଘୋଷଣାନାମା
declare	0.677	0.623	0.668	ଘୋଷଣା କର |
declination	0.250	0.549	0.311	ହ୍ରାସ
decline	0.173	0.491	0.240	ହ୍ରାସ
declining	0.328	0.400	0.264	ହ୍ରାସ
deco	0.625	0.274	0.356	ଡେକୋ |
decode	0.551	0.510	0.640	ଡିକୋଡ୍ କରନ୍ତୁ |
decoder	0.562	0.340	0.686	ଡିକୋଡର୍ |
decompose	0.194	0.596	0.241	କ୍ଷୟ କର |
decomposed	0.073	0.442	0.231	କ୍ଷୟ
decomposition	0.133	0.600	0.263	କ୍ଷୟ
decompress	0.438	0.430	0.509	decompress
decompression	0.208	0.520	0.311	ସଙ୍କୋଚନ |
decontamination	0.611	0.538	0.573	ପ୍ରଦୂଷଣ
decor	0.734	0.311	0.573	ସାଜସଜ୍ଜା |
decorate	0.954	0.370	0.404	ସଜାନ୍ତୁ |
decorating	0.863	0.548	0.462	ସଜାଇବା
decoration	0.878	0.553	0.526	ସାଜସଜ୍ଜା |
decorative	0.908	0.460	0.381	ସାଜସଜ୍ଜା |
decorator	0.840	0.471	0.455	ସାଜସଜ୍ଜା |
decorum	0.802	0.327	0.462	ସାଜସଜ୍ଜା |
decoy	0.149	0.460	0.330	ପ୍ରତାରଣା
decrease	0.125	0.360	0.267	କମିବା
decreased	0.224	0.271	0.170	ହ୍ରାସ ପାଇଛି |
decreasing	0.320	0.346	0.224	ହ୍ରାସ
decree	0.552	0.478	0.746	ଆଦେଶ
decrement	0.255	0.427	0.373	ହ୍ରାସ
decrepit	0.156	0.490	0.225	ହ୍ରାସ
decry	0.400	0.814	0.548	decry
decryption	0.459	0.445	0.600	ଡିକ୍ରିପ୍ସନ୍
dedicate	0.823	0.431	0.588	ଉତ୍ସର୍ଗ କରନ୍ତୁ |
dedication	0.867	0.471	0.682	ସମର୍ପଣ
deduce	0.490	0.510	0.466	ହ୍ରାସ କର |
deduct	0.355	0.330	0.412	ରିହାତି
deductible	0.375	0.286	0.455	ରିହାତି
deduction	0.438	0.462	0.527	ରିହାତି
deed	0.520	0.320	0.592	କାର୍ଯ୍ୟ
deejay	0.551	0.630	0.473	ଦେଜେ
deem	0.594	0.529	0.690	ବିବେଚନା କର |
deep	0.490	0.473	0.657	ଗଭୀର
deepen	0.625	0.530	0.776	ଗଭୀର କର
deer	0.583	0.375	0.292	ହରିଣ
defamation	0.110	0.670	0.481	ବଦନାମ
defamatory	0.143	0.688	0.402	ବଦନାମ
default	0.459	0.343	0.712	ଡିଫଲ୍ଟ |
defeat	0.092	0.500	0.224	ପରାଜୟ
defeated	0.104	0.582	0.145	ପରାଜିତ |
defeatist	0.163	0.567	0.315	ପରାଜୟବାଦୀ |
defect	0.135	0.561	0.185	ତ୍ରୁଟି
defection	0.146	0.594	0.330	ତ୍ରୁଟି
defective	0.122	0.580	0.274	ତ୍ରୁଟିଯୁକ୍ତ
defector	0.163	0.696	0.286	ତ୍ରୁଟି
defend	0.698	0.722	0.670	ରକ୍ଷା କର
defendant	0.250	0.710	0.491	ଅଭିଯୁକ୍ତ
defended	0.663	0.451	0.582	ରକ୍ଷା କରିଥିଲେ
defender	0.639	0.708	0.750	ଡିଫେଣ୍ଡର
defending	0.604	0.871	0.812	ରକ୍ଷା କରିବା
defense	0.652	0.698	0.802	ପ୍ରତିରକ୍ଷା
defenseless	0.143	0.357	0.105	ଅସୁରକ୍ଷିତ
defensible	0.740	0.509	0.593	ପ୍ରତିରକ୍ଷା ଯୋଗ୍ୟ |
defensive	0.542	0.640	0.678	ପ୍ରତିରକ୍ଷା
defer	0.245	0.459	0.317	ସ୍ଥଗିତ ରଖ |
deference	0.510	0.396	0.447	ସମ୍ମାନ
deferral	0.765	0.542	0.327	ସ୍ଥଗିତ
deferring	0.343	0.500	0.413	ସ୍ଥଗିତ
defiance	0.333	0.780	0.760	ଅବମାନନା
defiant	0.250	0.792	0.769	ନିନ୍ଦନୀୟ |
defibrillator	0.398	0.663	0.431	ଡିଫିବ୍ରିଲେଟର
deficiency	0.073	0.373	0.179	ଅଭାବ |
deficient	0.240	0.464	0.132	ଅଭାବ
deficit	0.358	0.500	0.269	ନିଅଣ୍ଟ
define	0.688	0.415	0.632	ପରିଭାଷିତ କରନ୍ତୁ
defined	0.670	0.214	0.646	ବ୍ୟାଖ୍ୟା କରାଯାଇଛି
definite	0.708	0.292	0.741	ନିଶ୍ଚିତ
definition	0.573	0.375	0.579	ସଂଜ୍ଞା
definitive	0.583	0.479	0.787	ନିର୍ଦ୍ଦିଷ୍ଟ
deflate	0.148	0.404	0.237	deflate
deflation	0.287	0.536	0.407	ଡିଫ୍ଲେସନ୍
deflect	0.133	0.491	0.482	deflect
deflection	0.188	0.500	0.382	ବିଘ୍ନ
defloration	0.188	0.690	0.434	ଅବନତି
deform	0.112	0.654	0.284	ବିକଳାଙ୍ଗ
deformed	0.198	0.435	0.308	ବିକଳାଙ୍ଗ
deformity	0.160	0.569	0.241	ବିକଳାଙ୍ଗତା |
defraud	0.175	0.635	0.314	ପ୍ରତାରଣା
defray	0.375	0.598	0.653	ଖରାପ
defrost	0.427	0.317	0.389	ଡିଫ୍ରୋଷ୍ଟ
deft	0.719	0.575	0.849	ବାମ
defunct	0.112	0.491	0.272	ତ୍ରୁଟି
defuse	0.167	0.480	0.430	ଡିଫ୍ୟୁଜ୍
defy	0.353	0.884	0.657	defy
degeneracy	0.143	0.720	0.298	ଅବନତି
degenerate	0.069	0.724	0.264	ଖରାପ
degeneration	0.245	0.578	0.371	ଅବନତି
degradation	0.160	0.608	0.315	ଅବନତି |
degrade	0.083	0.500	0.184	ଅବନତି
degraded	0.167	0.433	0.205	ଖରାପ
degrading	0.031	0.583	0.232	ଅପମାନଜନକ
degree	0.724	0.365	0.663	ଡିଗ୍ରୀ
dehydrated	0.310	0.685	0.212	ଡିହାଇଡ୍ରେଡ୍ |
dehydration	0.188	0.472	0.259	ଡିହାଇଡ୍ରେସନ୍
dejected	0.104	0.654	0.347	ନିରାଶ
delay	0.204	0.510	0.162	ବିଳମ୍ବ
delayed	0.188	0.490	0.216	ବିଳମ୍ବ
delectable	0.781	0.642	0.718	ଡିଲେକ୍ଟେବଲ୍
delegate	0.612	0.491	0.658	ପ୍ରତିନିଧୀ |
delegation	0.562	0.431	0.609	ପ୍ରତିନିଧୀ
delete	0.292	0.298	0.409	ଡିଲିଟ୍ କରନ୍ତୁ |
deleterious	0.297	0.725	0.440	ବିଲୋପକାରୀ
deletion	0.062	0.506	0.462	ବିଲୋପ
deli	0.561	0.448	0.447	ଡେଲି
deliberate	0.551	0.654	0.682	ସୁଚିନ୍ତିତ |
deliberation	0.561	0.678	0.596	ବିଚାର
deliberative	0.392	0.552	0.573	ସୁଚିନ୍ତିତ
delicacy	0.812	0.279	0.336	ସୁସ୍ୱାଦୁତା |
delicate	0.583	0.294	0.366	ସୂକ୍ଷ୍ମ |
delicatessen	0.656	0.474	0.400	delicatessen
delicious	0.927	0.650	0.589	ସ୍ୱାଦିଷ୍ଟ |
delight	0.949	0.666	0.647	ଆନନ୍ଦ
delighted	0.938	0.664	0.685	ଆନନ୍ଦିତ
delightful	0.918	0.735	0.644	ଆନନ୍ଦଦାୟକ
delineate	0.448	0.430	0.445	ବିସ୍ତୃତ
delineation	0.521	0.402	0.314	ପରିଭାଷା
delinquency	0.135	0.860	0.508	ଅପରାଧ
delinquent	0.051	0.904	0.500	ଅପରାଧୀ
delirious	0.219	0.774	0.538	ବିଭ୍ରାନ୍ତିକର |
delirium	0.233	0.694	0.484	delirium
deliver	0.583	0.370	0.582	ବିତରଣ କର |
deliverance	0.750	0.520	0.658	ଉଦ୍ଧାର
delivery	0.704	0.461	0.786	ବିତରଣ
dell	0.458	0.380	0.453	ଡେଲ
delta	0.551	0.343	0.509	ଡେଲଟା |
delude	0.143	0.627	0.353	ଭ୍ରାନ୍ତ
