English Word	Valence	Arousal	Dominance	Chichewa Word
axle	0.459	0.294	0.473	gwero
ay	0.500	0.557	0.255	ayi
aye	0.562	0.420	0.392	ayi
azimuth	0.385	0.461	0.421	azimuth
azure	0.620	0.256	0.339	azure
babble	0.552	0.441	0.204	kubwebweta
babbling	0.396	0.418	0.241	kubwebweta
babe	0.860	0.536	0.424	mwana
baboon	0.357	0.410	0.429	nyani
baby	0.837	0.365	0.455	mwana
babysit	0.719	0.587	0.398	kulera ana
babysitter	0.656	0.415	0.408	wolera ana
baccalaureate	0.729	0.510	0.480	baccalaureate
baccarat	0.583	0.497	0.436	baccarat
bachelor	0.667	0.406	0.600	mbeta
bachelorette	0.735	0.780	0.465	bachelorette
back	0.438	0.353	0.336	kumbuyo
backboard	0.480	0.259	0.436	bwalo lakumbuyo
backbone	0.538	0.464	0.620	msana
backdoor	0.344	0.410	0.333	khomo lakumbuyo
backdrop	0.320	0.309	0.444	kumbuyo
backer	0.646	0.375	0.537	kumbuyo
backfire	0.265	0.612	0.491	moto wakumbuyo
backgammon	0.580	0.410	0.390	backgammon
background	0.399	0.357	0.498	maziko
backhand	0.427	0.449	0.390	kumbuyo
backhoe	0.398	0.554	0.562	kumbuyo
backoff	0.104	0.396	0.240	kumbuyo
backpack	0.729	0.278	0.333	chikwama
backpacker	0.510	0.730	0.460	chikwama
backroom	0.406	0.500	0.387	chipinda chakumbuyo
backseat	0.388	0.330	0.237	chakumbuyo
backside	0.182	0.417	0.342	chakumbuyo
backtrack	0.312	0.525	0.278	kumbuyo
backup	0.520	0.510	0.553	zosunga zobwezeretsera
backward	0.309	0.367	0.250	chakumbuyo
backwardness	0.240	0.500	0.136	kubwerera mmbuyo
backwards	0.302	0.372	0.330	chakumbuyo
backwater	0.312	0.410	0.161	madzi akumbuyo
backwoods	0.541	0.350	0.482	matabwa akumbuyo
backyard	0.552	0.280	0.302	kuseri
bacon	0.698	0.406	0.295	Nyamba yankhumba
bacteria	0.177	0.553	0.570	mabakiteriya
bacterial	0.156	0.500	0.473	bakiteriya
bacterium	0.194	0.545	0.345	bakiteriya
bad	0.125	0.625	0.373	zoipa
badass	0.255	0.775	0.745	zoipa
badday	0.327	0.449	0.373	tsiku loipa
badfeeling	0.250	0.559	0.365	kukhumudwa
badge	0.567	0.488	0.691	baji
badger	0.344	0.429	0.357	mbira
badhabit	0.184	0.594	0.311	anthu
badly	0.073	0.509	0.286	moyipa
badness	0.094	0.823	0.463	kuipa
baffle	0.344	0.442	0.482	kusokoneza
baffled	0.151	0.600	0.339	wododometsedwa
bag	0.500	0.250	0.314	thumba
bagel	0.531	0.363	0.340	bagel
baggage	0.610	0.363	0.427	Katundu
baggie	0.367	0.427	0.366	baggie
baggy	0.521	0.278	0.452	thumba
bagman	0.506	0.500	0.394	bagman
bagpipes	0.541	0.556	0.412	zipope
bail	0.373	0.520	0.561	belo
bailiff	0.347	0.519	0.759	wapolisi
bait	0.276	0.327	0.296	nyambo
bake	0.867	0.418	0.519	kuphika
bakery	0.802	0.500	0.380	kuphika buledi
baking	0.549	0.455	0.451	kuphika
bal	0.490	0.412	0.432	bala
balance	0.684	0.265	0.735	bwino
balanced	0.806	0.255	0.745	moyenera
balcony	0.562	0.392	0.380	khonde
bald	0.306	0.184	0.268	wadazi
balding	0.302	0.363	0.368	dazi
baldy	0.398	0.385	0.396	wadazi
bale	0.437	0.363	0.412	bale
balk	0.229	0.451	0.415	balk
ball	0.740	0.427	0.317	mpira
ballad	0.792	0.284	0.424	baladi
ballast	0.354	0.423	0.287	mpira
ballerina	0.802	0.660	0.475	ballerina
ballet	0.656	0.480	0.358	ballet
ballgame	0.781	0.790	0.407	mpira
ballistic	0.260	0.806	0.685	mpira
ballistics	0.271	0.787	0.610	masewera a mpira
balloon	0.729	0.245	0.315	baluni
ballot	0.521	0.361	0.358	voti
ballpark	0.724	0.694	0.529	mpira
ballplayer	0.719	0.764	0.566	wosewera mpira
ballpoint	0.596	0.337	0.318	mpira
ballroom	0.847	0.635	0.448	chipinda champira
ballsy	0.531	0.491	0.414	wopenga
balm	0.625	0.275	0.414	mankhwala
balmy	0.684	0.327	0.545	wathanzi
balsam	0.663	0.250	0.385	basamu
balsamic	0.582	0.283	0.447	basamu
bam	0.427	0.472	0.390	bam
bamboo	0.646	0.222	0.356	bamboo
ban	0.146	0.689	0.587	kuletsa
banana	0.612	0.230	0.241	nthochi
band	0.648	0.552	0.525	gulu
bandage	0.220	0.327	0.286	bandeji
bandanna	0.562	0.276	0.277	banda
bandit	0.094	0.796	0.567	wachifwamba
bandstand	0.735	0.536	0.520	choyimira
bandwagon	0.625	0.651	0.509	bandwagon
bandwidth	0.714	0.337	0.548	bandwidth
bane	0.265	0.694	0.366	bane
bang	0.265	0.951	0.740	bang
banger	0.378	0.540	0.538	banger
banish	0.163	0.677	0.543	thamangitsa
banished	0.052	0.713	0.370	kuthamangitsidwa
banishment	0.160	0.775	0.298	kuthamangitsidwa
banister	0.418	0.410	0.332	wothamangitsa
banjo	0.469	0.400	0.370	banjo
bank	0.562	0.327	0.675	banki
banker	0.586	0.588	0.792	wakubanki
banking	0.510	0.327	0.500	kubanki
bankroll	0.469	0.570	0.509	bankroll
bankrupt	0.163	0.673	0.337	kusowa ndalama
bankruptcy	0.010	0.696	0.209	kusowa ndalama
banner	0.521	0.408	0.474	mbendera
banquet	0.765	0.571	0.600	phwando
banshee	0.408	0.565	0.481	bansi
banter	0.594	0.677	0.464	banter
banzai	0.550	0.510	0.443	banza
baptism	0.844	0.384	0.566	ubatizo
baptismal	0.646	0.343	0.625	ubatizo
baptize	0.739	0.426	0.594	kubatiza
bar	0.500	0.531	0.481	bala
barb	0.448	0.365	0.417	barb
barbarian	0.323	0.896	0.713	wakunja
barbaric	0.235	0.798	0.738	wankhanza
barbarism	0.190	0.815	0.614	nkhanza
barbecue	0.792	0.643	0.456	kanyenya
barbed	0.177	0.594	0.455	waminga
barber	0.543	0.459	0.356	wometa
barbershop	0.597	0.441	0.382	kometela
barbie doll	0.729	0.370	0.330	chidole cha barbie
bard	0.470	0.410	0.439	badi
bare	0.333	0.717	0.296	opanda
bareback	0.500	0.356	0.373	osabwerera
barefoot	0.445	0.373	0.241	opanda nsapato
barely	0.448	0.183	0.268	pang'ono
barf	0.340	0.491	0.394	bafi
bargain	0.653	0.533	0.670	malonda
bargaining	0.622	0.640	0.642	kukambirana
barge	0.469	0.388	0.465	bwato
baritone	0.592	0.529	0.500	baritone
barium	0.406	0.353	0.377	barium
bark	0.360	0.602	0.395	khungwa
barkeep	0.480	0.500	0.454	khwalala
barks	0.427	0.694	0.325	makungwa
barley	0.614	0.212	0.296	balere
barmaid	0.521	0.472	0.440	wakuba
barman	0.594	0.610	0.400	barman
barn	0.510	0.452	0.425	khola
barnacle	0.408	0.337	0.457	barnacle
barney	0.451	0.378	0.440	barney
barnyard	0.510	0.353	0.336	khola
barometer	0.388	0.273	0.545	barometer
baron	0.520	0.358	0.709	baroni
baroness	0.625	0.453	0.755	kupusa
baroque	0.490	0.357	0.418	baroque
barrack	0.378	0.500	0.455	bwalo
barracuda	0.333	0.713	0.510	barracuda
barrage	0.388	0.871	0.627	bwalo
barred	0.143	0.741	0.535	oletsedwa
barrel	0.429	0.298	0.474	mbiya
barren	0.173	0.373	0.221	wosabereka
barricade	0.323	0.667	0.673	chotchinga
barrier	0.333	0.480	0.562	chotchinga
barring	0.292	0.670	0.420	kuletsa
barrister	0.469	0.570	0.792	woyimira milandu
barroom	0.686	0.619	0.470	bala
barrow	0.479	0.363	0.362	bwalo
bartender	0.573	0.698	0.585	bartender
barter	0.465	0.559	0.596	wosinthanitsa
base	0.635	0.298	0.553	maziko
baseball	0.660	0.760	0.563	baseball
baseball bat	0.667	0.567	0.509	mpira wa baseball
baseboard	0.396	0.198	0.405	bolodi
baseless	0.292	0.382	0.375	opanda maziko
baseline	0.483	0.367	0.509	zoyambira
baseman	0.604	0.449	0.462	basiman
basement	0.388	0.500	0.268	chapansi
bases	0.569	0.236	0.591	maziko
bash	0.385	0.546	0.463	bash
bashful	0.400	0.406	0.217	zamanyazi
basic	0.643	0.102	0.395	maziko
basics	0.688	0.311	0.491	zofunikira
basil	0.534	0.274	0.309	basil
basilica	0.612	0.302	0.639	basilica
basin	0.552	0.231	0.398	beseni
basis	0.602	0.260	0.426	maziko
bask	0.760	0.330	0.381	basi
basket	0.458	0.227	0.336	basket
basketball	0.814	0.764	0.435	mpira wa basketball
bass	0.427	0.206	0.268	basi
bass guitar	0.738	0.370	0.294	bass gitala
basso	0.417	0.420	0.439	basi
bassoon	0.500	0.433	0.310	bassoon
bastard	0.094	0.692	0.289	Chitsiru
bastarding	0.104	0.608	0.269	wachiwerewere
bastards	0.082	0.680	0.422	apathengo
bastion	0.531	0.500	0.596	bastion
bat	0.324	0.409	0.480	mleme
batch	0.560	0.357	0.357	gulu
batching	0.484	0.420	0.518	kumenya
bate	0.429	0.525	0.464	bate
bath	0.725	0.260	0.263	kusamba
bathe	0.677	0.294	0.371	kusamba
bathhouse	0.602	0.380	0.459	nyumba yosambira
bathing	0.740	0.276	0.361	kusamba
bathrobe	0.531	0.442	0.394	bafa
bathroom	0.561	0.283	0.345	bafa
bathtub	0.625	0.240	0.318	bafa
bathymetry	0.432	0.480	0.509	bathymetry
baton	0.272	0.235	0.519	ndodo
battalion	0.333	0.818	0.795	batalioni
batter	0.561	0.245	0.373	menya
battered	0.080	0.790	0.306	kumenyedwa
battering	0.210	0.798	0.490	kumenya
battery	0.480	0.425	0.442	batire
battle	0.365	0.945	0.868	nkhondo
battled	0.292	0.794	0.575	nkhondo
battlefield	0.133	0.918	0.781	bwalo lankhondo
battleground	0.156	0.958	0.812	bwalo lankhondo
battlements	0.276	0.441	0.530	zida zankhondo
battleship	0.479	0.750	0.726	sitima yankhondo
batty	0.375	0.619	0.274	bati
bauble	0.698	0.429	0.255	bulu
bawdy	0.184	0.823	0.508	bwalo
bawl	0.385	0.880	0.561	bawl
bay	0.719	0.365	0.569	bay
bayonet	0.263	0.775	0.561	bayonet
bayou	0.469	0.431	0.324	bayo
bazaar	0.604	0.340	0.500	bazani
bazooka	0.302	0.824	0.634	bazooka
bday	0.729	0.600	0.415	tsiku
be	0.670	0.240	0.554	kukhala
beach	0.885	0.529	0.455	nyanja
beaches	0.865	0.500	0.538	magombe
beacon	0.580	0.407	0.537	chizindikiro
bead	0.592	0.388	0.381	mkanda
beading	0.542	0.320	0.398	kumeta mikanda
beads	0.673	0.388	0.552	mikanda
beady	0.448	0.417	0.443	mkanda
beagle	0.649	0.470	0.395	chimbalangondo
beak	0.375	0.363	0.411	mlomo
beaker	0.420	0.410	0.391	beaker
beam	0.584	0.349	0.382	mtengo
beaming	0.892	0.654	0.587	kuwala
bean	0.667	0.269	0.264	nyemba
beanbag	0.450	0.380	0.340	thumba
beanie	0.500	0.230	0.263	beani
bear	0.448	0.570	0.475	chimbalangondo
bearable	0.542	0.375	0.605	chopiririka
beard	0.490	0.261	0.371	ndevu
bearded	0.439	0.337	0.391	wandevu
bearer	0.571	0.547	0.676	wonyamula
bearing	0.571	0.367	0.474	kubereka
bearings	0.418	0.490	0.426	mayendedwe
bearish	0.521	0.549	0.324	bearish
bearskin	0.333	0.398	0.464	chimbalangondo
beast	0.214	0.780	0.732	chilombo
beastly	0.146	0.874	0.843	mwachilombo
beat	0.279	0.647	0.492	kumenya
beaten	0.083	0.846	0.265	kumenyedwa
beater	0.438	0.545	0.482	womenya
beating	0.153	0.833	0.481	kumenya
beatnik	0.429	0.510	0.382	beatnik
beau	0.612	0.440	0.432	wokongola
beautification	0.885	0.575	0.725	kukongoletsa
beautiful	0.875	0.614	0.648	wokongola
beautify	0.898	0.592	0.736	kukongoletsa
beauty	0.842	0.600	0.644	kukongola
beaver	0.490	0.344	0.393	chimbalangondo
bebop	0.482	0.490	0.358	bepa
beck	0.580	0.375	0.418	beck
beckon	0.663	0.455	0.452	pemphani
become	0.641	0.583	0.643	kukhala
bed	0.604	0.173	0.327	bedi
bedding	0.704	0.276	0.377	zofunda
bedpan	0.510	0.400	0.362	pabedi
bedrock	0.561	0.340	0.598	pansi
bedroom	0.744	0.296	0.491	chipinda chogona
bedside	0.604	0.167	0.375	pambali pa bedi
bedspread	0.551	0.139	0.292	pabedi
bedtime	0.673	0.314	0.373	nthawi yogona
bee	0.520	0.509	0.309	njuchi
beef	0.582	0.312	0.492	ng'ombe
beefsteak	0.594	0.391	0.455	nyama ya ng'ombe
beehive	0.541	0.700	0.422	mng'oma
beep	0.595	0.541	0.304	beep
beeper	0.438	0.720	0.441	beeper
beer	0.592	0.654	0.500	mowa
bees	0.562	0.635	0.412	njuchi
beeswax	0.583	0.402	0.375	phula
beetle	0.323	0.356	0.295	kachilomboka
befall	0.520	0.663	0.585	kuchitika
befitting	0.708	0.333	0.394	zoyenera
befriend	0.930	0.624	0.471	bwenzi
befuddled	0.156	0.714	0.269	kusokonezedwa
beg	0.292	0.608	0.328	pemphani
beggar	0.240	0.402	0.116	wopemphapempha
begging	0.292	0.461	0.202	kupempha
begin	0.677	0.569	0.763	yamba
beginner	0.490	0.480	0.387	woyamba
beginning	0.816	0.528	0.558	chiyambi
beginnings	0.837	0.527	0.600	zoyambira
begrudge	0.177	0.731	0.377	kudandaula
begun	0.677	0.500	0.404	anayamba
behappy	0.875	0.557	0.562	Sangalalani
behave	0.677	0.363	0.747	khalidwe
behavior	0.594	0.442	0.813	khalidwe
behavioral	0.612	0.440	0.708	khalidwe
behemoth	0.583	0.781	0.853	mbuzi
behest	0.602	0.350	0.720	zabwino
behold	0.610	0.284	0.449	tawonani
beholden	0.296	0.555	0.212	taonani
beholder	0.714	0.491	0.520	wopenya
beige	0.490	0.222	0.224	beige
belated	0.240	0.400	0.214	kuchedwa
belay	0.500	0.472	0.702	belay
belch	0.194	0.562	0.240	belech
belief	0.896	0.375	0.656	chikhulupiriro
believable	0.866	0.390	0.676	wokhulupirira
believe	0.781	0.370	0.682	khulupirirani
believed	0.500	0.562	0.547	anakhulupirira
believer	0.725	0.445	0.564	wokhulupirira
believing	0.870	0.418	0.833	kukhulupirira
belittle	0.122	0.417	0.250	chepetsa
belittled	0.177	0.392	0.226	kunyozedwa
bell	0.552	0.510	0.505	belu
bellboy	0.542	0.363	0.302	bellboy
bellhop	0.500	0.287	0.318	bellhop
belligerent	0.344	0.680	0.594	wankhondo
bellman	0.540	0.250	0.371	bellman
bellow	0.248	0.337	0.212	pansi
bellows	0.458	0.515	0.429	mvuvu
belly	0.510	0.388	0.387	mimba
bellybutton	0.531	0.283	0.360	mchombo
bellyful	0.347	0.806	0.519	wamimba
belong	0.643	0.405	0.569	za
belongings	0.592	0.380	0.750	katundu
beloved	0.969	0.613	0.708	wokondedwa
belt	0.541	0.322	0.445	lamba
beluga	0.510	0.333	0.482	beluga
bemused	0.281	0.490	0.278	kukhumudwa
bench	0.571	0.289	0.544	benchi
bend	0.571	0.324	0.368	pinda
bender	0.490	0.510	0.466	benda
bending	0.448	0.565	0.455	kupinda
beneath	0.354	0.173	0.233	pansi
benedictory	0.677	0.438	0.481	wodalitsika
benefactor	0.833	0.578	0.755	wothandiza
beneficial	0.820	0.579	0.703	zopindulitsa
beneficiary	0.776	0.399	0.616	wopindula
benefit	0.906	0.422	0.806	phindu
benevolence	0.786	0.340	0.717	chifundo
benevolent	0.786	0.407	0.651	wachifundo
benign	0.694	0.440	0.509	zabwino
bent	0.375	0.453	0.298	wopindika
benzene	0.439	0.459	0.403	benzene
bequeath	0.743	0.500	0.741	perekani
bequest	0.661	0.398	0.882	kupempha
bereaved	0.104	0.479	0.221	wofedwa
bereavement	0.265	0.677	0.500	imfa
bereft	0.229	0.490	0.336	wosowa
beret	0.542	0.240	0.327	bereti
bergamot	0.510	0.365	0.339	bergamot
berlin	0.592	0.423	0.571	berlin
berserk	0.398	0.556	0.480	berserk
berth	0.295	0.337	0.596	malo
beryllium	0.417	0.412	0.425	beryllium
beseech	0.330	0.441	0.600	pemphani
beset	0.385	0.717	0.317	bet
bestdayever	0.760	0.646	0.593	tsiku labwino kwambiri
bestfeeling	0.806	0.509	0.625	kumva bwino
bestfriends	0.934	0.662	0.647	abwenzi apamtima
bestial	0.260	0.761	0.674	wachinyama
besties	0.888	0.509	0.614	zabwino
bestow	0.656	0.560	0.642	pereka
bestseller	0.771	0.643	0.700	logulitsidwa kwambiri
bet	0.385	0.698	0.432	kubetcha
beta	0.710	0.370	0.439	beta
betray	0.042	0.870	0.536	pereka
betrayal	0.083	0.719	0.418	kuperekedwa
betrayed	0.122	0.769	0.308	kuperekedwa
betrothed	0.833	0.630	0.667	wokwatiwa
betterment	0.898	0.536	0.769	bwino
betting	0.237	0.804	0.411	kubetcha
betty	0.542	0.358	0.381	betty
bevel	0.757	0.406	0.454	bevel
beverage	0.635	0.490	0.389	chakumwa
bevy	0.429	0.460	0.541	bevy
beware	0.151	0.596	0.518	Chenjerani
bewilder	0.306	0.571	0.289	wodabwitsa
bewildered	0.230	0.630	0.300	kudodoma
bewilderment	0.312	0.716	0.216	kudodoma
bias	0.400	0.370	0.541	kukondera
biased	0.271	0.302	0.368	kukondera
bib	0.385	0.396	0.339	bib
bible	0.719	0.225	0.726	Baibulo
biblical	0.635	0.304	0.712	za m'Baibulo
bibliography	0.622	0.204	0.528	mabuku
bicarbonate	0.479	0.337	0.438	bicarbonate
bicentennial	0.541	0.423	0.507	zaka mazana awiri
biceps	0.592	0.588	0.602	biceps
bicker	0.143	0.643	0.552	wokangana
bickering	0.122	0.800	0.536	kukangana
bicolor	0.580	0.327	0.404	bicolor
bicycle	0.708	0.519	0.425	njinga
bid	0.760	0.530	0.655	bid
bidder	0.465	0.474	0.433	wotsatsa malonda
bidding	0.586	0.644	0.509	kuyitanitsa
bide	0.368	0.407	0.282	bide
biennial	0.531	0.309	0.353	zaka ziwiri
bier	0.497	0.448	0.407	mbewu
bifurcation	0.385	0.625	0.352	kusokoneza
big	0.802	0.588	0.812	chachikulu
bigamy	0.327	0.696	0.482	bidamy
bigday	0.796	0.689	0.596	tsiku lalikulu
biggestfear	0.062	0.730	0.480	mantha aakulu
biggie	0.531	0.481	0.500	biggie
bighorn	0.480	0.547	0.580	nyanga yaikulu
bigmouth	0.417	0.577	0.430	bigmouth
bigot	0.479	0.745	0.517	wamkulu
bigoted	0.153	0.760	0.462	wodzikweza
bigotry	0.356	0.737	0.481	tsankho
bike	0.708	0.500	0.333	njinga
biker	0.604	0.710	0.567	wanjinga
bikini	0.730	0.639	0.353	bikini
bilateral	0.633	0.343	0.491	mayiko awiri
bilayer	0.438	0.398	0.388	popanda
bile	0.157	0.461	0.324	bile
bilge	0.316	0.392	0.412	kulira
bilingual	0.735	0.490	0.606	zinenero ziwiri
bill	0.396	0.402	0.535	bilu
billboard	0.594	0.317	0.481	bolodi
billet	0.479	0.583	0.500	billet
billiard	0.719	0.616	0.543	mabiliyoni
billiards	0.643	0.559	0.387	mabiliyoni
billing	0.406	0.481	0.670	kulipira
billion	0.719	0.564	0.782	biliyoni
billionaire	0.806	0.667	0.923	bilionea
billy	0.490	0.397	0.375	billy
bimbo	0.396	0.370	0.300	bimbo
bimonthly	0.408	0.298	0.471	kawiri pamwezi
bin	0.422	0.304	0.327	bin
binary	0.490	0.356	0.420	binary
bind	0.398	0.462	0.448	kumanga
binder	0.438	0.250	0.308	binder
bindery	0.548	0.388	0.482	chomangira
binding	0.438	0.425	0.640	kumanga
bing	0.573	0.453	0.415	bing
binge	0.304	0.650	0.500	kudya
bingo	0.735	0.667	0.429	bingo
binocular	0.531	0.344	0.426	zowonera
binoculars	0.490	0.309	0.411	mabinoculars
binomial	0.600	0.406	0.426	binomial
bio	0.612	0.225	0.490	zamoyo
biochemical	0.367	0.481	0.618	biochemical
biochemist	0.471	0.449	0.717	katswiri wa sayansi ya zamankhwala
biochemistry	0.552	0.531	0.596	biochemistry
biogenesis	0.594	0.442	0.697	biogenesis
biographer	0.708	0.427	0.617	wolemba mbiri ya anthu
biography	0.698	0.229	0.718	mbiri ya moyo
biological	0.590	0.410	0.615	zamoyo
biologist	0.625	0.453	0.693	katswiri wa zamoyo
biology	0.479	0.274	0.546	biology
bionic	0.571	0.570	0.788	bionic
biopsy	0.323	0.657	0.481	biopsy
biosphere	0.684	0.351	0.579	biosphere
bipartite	0.365	0.480	0.464	awiri
bipolar	0.208	0.685	0.426	bipolar
birch	0.562	0.346	0.382	birch
bird	0.729	0.357	0.364	mbalame
birdcage	0.480	0.398	0.318	khola la mbalame
birdie	0.594	0.394	0.407	mbalame
birdman	0.490	0.567	0.604	mbalame
birth	0.896	0.655	0.536	kubadwa
birthday	0.969	0.844	0.575	tsiku lobadwa
birthing	0.796	0.877	0.519	kubereka
birthmark	0.630	0.461	0.500	chizindikiro chobadwa
birthplace	0.781	0.290	0.491	malo obadwira
birthright	0.684	0.417	0.714	ukulu
bis	0.440	0.420	0.345	bis
biscuit	0.888	0.260	0.231	biscuit
bishop	0.594	0.184	0.725	bishopu
bison	0.573	0.433	0.557	njati
bisque	0.693	0.443	0.312	bisque
bistro	0.594	0.472	0.396	bistro
bit	0.427	0.310	0.225	pang'ono
bitch	0.276	0.740	0.343	kuluma
bitchy	0.188	0.700	0.373	woluma
bite	0.219	0.796	0.510	kuluma
biter	0.260	0.598	0.500	zowawa
bitsy	0.510	0.388	0.382	bitsy
bitter	0.218	0.627	0.411	zowawa
bitterly	0.194	0.685	0.362	zowawa
bitterness	0.115	0.633	0.270	kuwawa
bittersweet	0.469	0.569	0.474	zowawa
bitty	0.469	0.271	0.257	pang'ono
bitumen	0.375	0.235	0.307	phula
biweekly	0.581	0.337	0.455	biweekly
biz	0.500	0.473	0.473	biz
bizarre	0.379	0.620	0.392	zodabwitsa
blab	0.438	0.425	0.353	blab
blabbermouth	0.323	0.640	0.422	blabbermouth
blackberry	0.667	0.413	0.453	mabulosi akutchire
blackbird	0.520	0.340	0.405	mbalame yakuda
blackboard	0.469	0.255	0.287	bolodi
blacken	0.208	0.500	0.228	kuda
blackface	0.302	0.490	0.441	nkhope yakuda
blackjack	0.419	0.679	0.452	blackjack
blacklist	0.133	0.750	0.396	mndandanda wakuda
blackmail	0.094	0.802	0.482	zakuda
blackmailer	0.092	0.780	0.472	wakuda
blackness	0.260	0.480	0.406	mdima
blackout	0.126	0.530	0.349	kuzimitsa
blacksmith	0.480	0.531	0.702	wosula zitsulo
bladder	0.406	0.412	0.330	chikhodzodzo
blade	0.378	0.602	0.594	tsamba
blame	0.115	0.640	0.309	mlandu
blameless	0.759	0.196	0.343	opanda cholakwa
bland	0.300	0.226	0.157	opanda
blank	0.531	0.229	0.250	opanda kanthu
blanket	0.740	0.132	0.391	bulangeti
blare	0.439	0.561	0.519	blare
blase	0.420	0.310	0.412	bla
blasphemous	0.210	0.755	0.491	mwano
blasphemy	0.146	0.794	0.406	mwano
blast	0.167	0.929	0.777	kuphulika
blaster	0.459	0.538	0.554	blaster
blastoff	0.357	0.865	0.736	kuphulika
blatant	0.327	0.677	0.675	mosabisa kanthu
blather	0.344	0.481	0.382	blather
blaze	0.698	0.467	0.658	moto
blazer	0.635	0.385	0.417	blazer
blazing	0.594	0.896	0.735	kuyaka moto
bleach	0.336	0.282	0.337	bulichi
bleak	0.204	0.427	0.272	wakuda
bleed	0.041	0.843	0.346	magazi
bleeder	0.260	0.852	0.356	wokhetsa magazi
bleeding	0.135	0.817	0.408	kutuluka magazi
bleep	0.479	0.667	0.345	bleep
blemish	0.219	0.558	0.272	chilema
blemished	0.173	0.469	0.370	cholema
blend	0.469	0.452	0.463	phatikiza
blender	0.602	0.534	0.351	blender
blending	0.560	0.418	0.637	kuphatikiza
bless	0.929	0.269	0.588	dalitsani
blessed	0.910	0.279	0.696	wodala
blessing	0.929	0.264	0.800	madalitso
blessings	0.929	0.361	0.623	madalitso
bleu	0.460	0.354	0.379	bulu
blight	0.271	0.771	0.429	kuwonongeka
blighted	0.146	0.615	0.296	choyipidwa
blimp	0.600	0.410	0.532	blimp
blinded	0.245	0.471	0.231	khungu
blindfold	0.448	0.684	0.337	chophimba m'maso
blindfolded	0.208	0.564	0.209	ophimbidwa m’maso
blinding	0.304	0.596	0.406	kuchititsa khungu
blindly	0.439	0.598	0.278	mwakhungu
blindness	0.245	0.480	0.196	khungu
blink	0.552	0.316	0.324	kuphethira
blip	0.529	0.461	0.418	kuphulika
bliss	0.816	0.500	0.782	chisangalalo
blissful	0.885	0.639	0.676	wosangalala
blister	0.407	0.538	0.402	chithuza
blistering	0.344	0.569	0.390	matuza
blitz	0.417	0.722	0.789	blitz
blizzard	0.375	0.726	0.417	mphepo yamkuntho
bloat	0.229	0.694	0.298	kutupa
bloated	0.167	0.593	0.424	chotupa
blob	0.500	0.376	0.298	blob
block	0.286	0.350	0.402	chipika
blockade	0.380	0.519	0.510	kutsekereza
blockage	0.250	0.608	0.444	kutsekereza
blockbuster	0.730	0.676	0.883	blockbuster
blockhead	0.163	0.333	0.148	blockhead
blog	0.639	0.390	0.432	blog
bloke	0.450	0.479	0.545	bloke
blond	0.590	0.490	0.490	blonde
blonde	0.698	0.545	0.412	blonde
blood	0.219	0.684	0.585	magazi
bloodbath	0.060	0.971	0.475	kukhetsa magazi
bloodhound	0.327	0.462	0.538	wamagazi
bloodless	0.292	0.390	0.212	opanda magazi
bloodline	0.510	0.657	0.604	magazi
bloodshed	0.048	0.942	0.525	kukhetsa mwazi
bloodshot	0.188	0.810	0.482	magazi
bloodstream	0.552	0.530	0.528	magazi
bloodthirsty	0.052	0.804	0.644	waludzu
bloody	0.031	0.910	0.518	wamagazi
bloom	0.816	0.453	0.587	pachimake
bloomers	0.521	0.587	0.395	maluwa
blooming	0.860	0.452	0.593	kuphuka
blossom	0.792	0.275	0.309	duwa
blot	0.365	0.304	0.223	bula
blotched	0.133	0.562	0.264	chodetsedwa
blotter	0.360	0.298	0.280	blotter
blouse	0.580	0.190	0.302	bulawuzi
blow	0.316	0.750	0.570	kuwomba
blower	0.564	0.550	0.536	wowuzirira
blowfish	0.344	0.420	0.389	nsomba zam'madzi
blowing	0.521	0.472	0.434	kuwomba
blowjob	0.460	0.784	0.387	kuphulika
blown	0.333	0.548	0.412	kuwombedwa
blowout	0.398	0.792	0.616	phulika
blowtorch	0.520	0.730	0.510	blowtorch
blubber	0.388	0.260	0.360	bulu
bluddy	0.312	0.528	0.442	buluu
blue	0.646	0.137	0.291	buluu
blue spruce	0.559	0.335	0.364	blue spruce
blueberry	0.656	0.185	0.365	mabulosi abulu
bluebird	0.573	0.350	0.450	bluebird
bluegrass	0.573	0.441	0.395	bluegrass
bluejay	0.635	0.520	0.310	bluejay
blueprint	0.490	0.173	0.425	mapulani
blues	0.469	0.220	0.287	blues
bluff	0.418	0.286	0.377	bluff
bluish	0.604	0.245	0.382	bluish
blunder	0.135	0.635	0.145	kulakwitsa
blunt	0.551	0.680	0.925	wosayankhula
blur	0.268	0.471	0.205	blur
blurred	0.320	0.367	0.231	zosawoneka bwino
blurry	0.059	0.385	0.218	zosamveka
blurt	0.408	0.439	0.441	kusamveka
blush	0.698	0.610	0.445	manyazi
blushing	0.510	0.789	0.288	kuchita manyazi
boa	0.255	0.569	0.542	bowa
boa constrictor	0.198	0.784	0.609	boa constrictor
boar	0.406	0.500	0.351	nkhumba
board	0.592	0.255	0.385	bolodi
board game	0.711	0.490	0.349	masewera a board
boarder	0.604	0.440	0.475	wokwera
boarding	0.531	0.402	0.534	kukwera
boardroom	0.555	0.566	0.661	boardroom
boards	0.469	0.270	0.524	matabwa
boardwalk	0.643	0.481	0.549	boardwalk
boast	0.520	0.586	0.569	kudzitama
boastful	0.490	0.806	0.695	wodzitamandira
