English Word	Valence	Arousal	Dominance	Punjabi Word
dissection	0.276	0.632	0.462	ਵਿਭਾਜਨ
disseminate	0.562	0.608	0.750	ਫੈਲਾਉਣਾ
dissemination	0.476	0.551	0.583	ਪ੍ਰਸਾਰ
dissension	0.250	0.618	0.414	ਮਤਭੇਦ
dissent	0.300	0.655	0.407	ਅਸਹਿਮਤੀ
dissenting	0.208	0.552	0.366	ਅਸਹਿਮਤੀ
dissertation	0.312	0.575	0.575	ਖੋਜ ਨਿਬੰਧ
disservice	0.250	0.794	0.480	ਸੇਵਾ
dissident	0.350	0.582	0.413	ਅਸਹਿਮਤੀ
dissimilar	0.276	0.461	0.472	ਭਿੰਨ
dissipate	0.385	0.368	0.355	ਖਤਮ ਕਰਨਾ
dissipated	0.281	0.421	0.231	dissipated
dissociation	0.135	0.555	0.471	ਵਿਛੋੜਾ
dissociative	0.281	0.615	0.397	ਵੱਖ ਕਰਨ ਵਾਲਾ
dissolution	0.204	0.464	0.349	ਭੰਗ
dissolve	0.271	0.490	0.410	ਭੰਗ
dissonance	0.173	0.471	0.336	ਅਸਹਿਮਤੀ
dissuade	0.482	0.500	0.350	ਰੋਕਣਾ
distal	0.410	0.401	0.438	ਦੂਰ
distance	0.233	0.317	0.418	ਦੂਰੀ
distant	0.229	0.324	0.269	ਦੂਰ
distaste	0.184	0.625	0.370	ਨਫ਼ਰਤ
distasteful	0.264	0.676	0.222	ਅਸੁਵਿਧਾਜਨਕ
distillate	0.500	0.347	0.382	ਡਿਸਟਿਲਟ
distillation	0.396	0.436	0.575	ਡਿਸਟਿਲੇਸ਼ਨ
distilled	0.427	0.573	0.500	ਡਿਸਟਿਲ
distinct	0.542	0.578	0.509	ਵੱਖਰਾ
distinction	0.584	0.571	0.750	ਅੰਤਰ
distinctive	0.885	0.520	0.604	ਵਿਲੱਖਣ
distinguish	0.675	0.471	0.600	ਵੱਖ ਕਰੋ
distinguishable	0.635	0.530	0.727	ਵੱਖ ਕਰਨ ਯੋਗ
distinguished	0.823	0.593	0.759	ਵੱਖਰਾ
distinguishing	0.622	0.363	0.640	ਵੱਖਰਾ
distort	0.100	0.740	0.366	ਵਿਗਾੜਨਾ
distorted	0.250	0.521	0.280	ਵਿਗੜਿਆ
distortion	0.299	0.570	0.380	ਵਿਗਾੜ
distract	0.241	0.609	0.336	ਧਿਆਨ ਭਟਕਾਉਣਾ
distracted	0.194	0.392	0.213	ਵਿਚਲਿਤ
distracting	0.445	0.583	0.400	ਧਿਆਨ ਭਟਕਾਉਣ ਵਾਲਾ
distraction	0.402	0.557	0.390	ਭਟਕਣਾ
distraught	0.115	0.903	0.264	ਪਰੇਸ਼ਾਨ
distress	0.073	0.840	0.396	ਤਕਲੀਫ਼
distressed	0.143	0.771	0.324	ਦੁਖੀ
distressing	0.075	0.750	0.375	ਦੁਖਦਾਈ
distribute	0.643	0.596	0.709	ਵੰਡਣਾ
distribution	0.635	0.548	0.788	ਵੰਡ
distributor	0.702	0.447	0.718	ਵਿਤਰਕ
district	0.438	0.327	0.660	ਜ਼ਿਲ੍ਹਾ
distrust	0.060	0.670	0.276	ਅਵਿਸ਼ਵਾਸ
disturb	0.175	0.760	0.481	ਪਰੇਸ਼ਾਨ
disturbance	0.146	0.907	0.404	ਗੜਬੜ
disturbed	0.125	0.870	0.305	ਪਰੇਸ਼ਾਨ
disturbing	0.146	0.792	0.439	ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
disuse	0.229	0.229	0.202	ਦੁਰਵਰਤੋਂ
disused	0.250	0.302	0.186	ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕੀਤੀ ਗਈ
ditch	0.357	0.364	0.322	ਖਾਈ
ditto	0.449	0.418	0.411	ਇਸੇ ਤਰ੍ਹਾਂ
ditty	0.470	0.433	0.334	ਗੰਦਾ
diurnal	0.714	0.296	0.443	ਰੋਜ਼ਾਨਾ
diva	0.660	0.657	0.596	ਦੀਵਾ
divan	0.750	0.202	0.262	ਦੀਵਾਨ
dive	0.583	0.531	0.500	ਡੁਬਕੀ
diver	0.594	0.520	0.564	ਗੋਤਾਖੋਰ
diverge	0.375	0.657	0.520	ਵੱਖ ਕਰਨਾ
divergence	0.429	0.615	0.687	ਭਿੰਨਤਾ
divergent	0.449	0.660	0.587	ਵੱਖਰੇ
diverging	0.417	0.613	0.573	ਵੱਖ ਕਰਨਾ
divers	0.583	0.580	0.602	ਗੋਤਾਖੋਰ
diverse	0.562	0.519	0.604	ਵਿਭਿੰਨ
diversified	0.602	0.538	0.549	ਵਿਭਿੰਨ
diversify	0.656	0.588	0.464	ਵਿਭਿੰਨਤਾ
diversion	0.740	0.821	0.714	ਡਾਇਵਰਸ਼ਨ
diversionary	0.551	0.587	0.300	ਡਾਇਵਰਸ਼ਨਰੀ
diversity	0.806	0.472	0.711	ਵਿਭਿੰਨਤਾ
divert	0.344	0.622	0.407	ਮੋੜੋ
diverting	0.396	0.571	0.537	ਮੋੜਨਾ
divest	0.365	0.547	0.424	ਵੰਡਣਾ
divested	0.333	0.449	0.311	ਵੰਡਿਆ
divestment	0.302	0.509	0.382	ਵਿਨਿਵੇਸ਼
divide	0.333	0.520	0.417	ਪਾੜਾ
divided	0.271	0.623	0.391	ਵੰਡਿਆ
dividend	0.583	0.491	0.566	ਲਾਭਅੰਸ਼
divination	0.500	0.650	0.545	ਭਵਿੱਖਬਾਣੀ
divine	0.918	0.571	0.885	ਬ੍ਰਹਮ
divinity	0.896	0.559	0.774	ਬ੍ਰਹਮਤਾ
divisible	0.323	0.462	0.411	ਵੰਡਣਯੋਗ
division	0.370	0.481	0.472	ਵੰਡ
divisor	0.344	0.517	0.455	ਭਾਜਕ
divorce	0.042	0.700	0.385	ਤਲਾਕ
divorcee	0.153	0.610	0.481	ਤਲਾਕਸ਼ੁਦਾ
divulge	0.531	0.718	0.467	ਦੱਸਣਾ
divvy	0.351	0.462	0.429	divvy
dizziness	0.229	0.555	0.254	ਚੱਕਰ ਆਉਣੇ
dizzy	0.199	0.582	0.193	ਚੱਕਰ ਆਉਣਾ
do	0.670	0.548	0.536	ਕਰਦੇ ਹਨ
doable	0.760	0.404	0.675	ਕਰਨ ਯੋਗ
doc	0.458	0.317	0.392	ਦਸਤਾਵੇਜ਼
docile	0.604	0.259	0.264	ਨਿਮਰ
dock	0.490	0.409	0.481	ਡੌਕ
docked	0.281	0.754	0.398	ਡੌਕ ਕੀਤਾ
docket	0.505	0.509	0.607	ਡਾਕੇਟ
docking	0.354	0.596	0.587	ਡੌਕਿੰਗ
doctor	0.700	0.531	0.861	ਡਾਕਟਰ
doctorate	0.776	0.479	0.841	ਡਾਕਟਰੇਟ
doctrinal	0.510	0.373	0.673	ਸਿਧਾਂਤਕ
doctrine	0.500	0.394	0.769	ਸਿਧਾਂਤ
document	0.594	0.240	0.667	ਦਸਤਾਵੇਜ਼
documentary	0.622	0.213	0.596	ਦਸਤਾਵੇਜ਼ੀ
documentation	0.719	0.290	0.667	ਦਸਤਾਵੇਜ਼
documents	0.530	0.250	0.587	ਦਸਤਾਵੇਜ਼
dodge	0.333	0.760	0.509	ਚਕਮਾ
dodger	0.427	0.454	0.490	ਡੋਜ਼ਰ
dodging	0.396	0.654	0.382	ਚਕਮਾ ਦੇਣਾ
dodgy	0.281	0.510	0.254	ਚਲਾਕ
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	doe
doer	0.724	0.550	0.728	ਕਰਨ ਵਾਲਾ
dog	0.704	0.500	0.407	ਕੁੱਤਾ
dogface	0.219	0.470	0.264	ਕੁੱਤੇ ਦਾ ਚਿਹਰਾ
dogged	0.255	0.750	0.594	ਕੁੱਤੇ
doggy	0.646	0.491	0.404	ਕੁੱਤਾ
doghouse	0.438	0.417	0.340	doghouse
dogma	0.530	0.460	0.719	ਹਠ
dogmatic	0.448	0.520	0.654	ਕੱਟੜਪੰਥੀ
dogsick	0.571	0.490	0.377	ਕੁੱਤੇ ਦਾ ਸ਼ਿਕਾਰ
doings	0.604	0.491	0.705	ਕੰਮ
doit	0.500	0.519	0.392	ਏਹਨੂ ਕਰ
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	ਉਦਾਸੀ
dole	0.448	0.402	0.348	ਡੋਲ
doll	0.729	0.321	0.330	ਗੁੱਡੀ
dollar	0.755	0.632	0.694	ਡਾਲਰ
dollhouse	0.643	0.245	0.363	ਗੁੱਡੀ ਘਰ
dolor	0.167	0.635	0.375	ਡੋਲਰ
dolphin	0.776	0.350	0.414	ਡਾਲਫਿਨ
domain	0.573	0.549	0.828	ਡੋਮੇਨ
dome	0.620	0.398	0.509	ਗੁੰਬਦ
domestic	0.729	0.327	0.500	ਘਰੇਲੂ
domesticated	0.635	0.360	0.294	ਪਾਲਤੂ
domestication	0.594	0.390	0.435	ਪਾਲਤੂਤਾ
domicile	0.604	0.292	0.529	ਨਿਵਾਸ
domiciled	0.542	0.340	0.516	ਨਿਵਾਸ
dominance	0.542	0.775	0.839	ਦਬਦਬਾ
dominant	0.406	0.854	0.893	ਪ੍ਰਭਾਵੀ
dominate	0.439	0.814	0.953	ਹਾਵੀ
dominating	0.427	0.769	0.902	ਹਾਵੀ
domination	0.505	0.786	0.959	ਦਬਦਬਾ
dominatrix	0.390	0.727	0.709	dominatrix
dominion	0.542	0.704	0.890	ਹਕੂਮਤ
domino	0.594	0.510	0.473	ਡੋਮੀਨੋ
don	0.646	0.454	0.702	ਡੌਨ
donate	0.774	0.462	0.577	ਦਾਨ
donation	0.792	0.398	0.602	ਦਾਨ
donkey	0.406	0.367	0.245	ਗਧਾ
donor	0.714	0.490	0.653	ਦਾਨੀ
dontlikeyou	0.055	0.500	0.282	ਤੁਹਾਨੂੰ ਪਸੰਦ ਨਹੀਂ
dontmess	0.396	0.482	0.440	ਗੜਬੜ
dontmesswithme	0.312	0.635	0.440	dontmesswithme
dontpanic	0.469	0.465	0.425	ਘਬਰਾਓ ਨਾ
dontunderstand	0.219	0.357	0.271	ਸਮਝ ਨਾ
doodle	0.604	0.402	0.376	ਡੂਡਲ
doom	0.073	0.750	0.442	ਤਬਾਹੀ
doomed	0.041	0.755	0.301	ਬਰਬਾਦ
doomsday	0.125	0.861	0.670	ਕਿਆਮਤ ਦਾ ਦਿਨ
door	0.549	0.189	0.421	ਦਰਵਾਜ਼ਾ
doorbell	0.564	0.500	0.307	ਦਰਵਾਜ਼ੇ ਦੀ ਘੰਟੀ
doorknob	0.406	0.553	0.462	ਦਰਵਾਜ਼ੇ ਦੀ ਖੰਭੇ
doorman	0.570	0.371	0.491	ਦਰਵਾਜ਼ਾ
doormat	0.458	0.269	0.267	ਦਰਵਾਜ਼ਾ
doornail	0.459	0.370	0.423	ਦਰਵਾਜ਼ਾ
doorstep	0.531	0.274	0.391	ਦਰਵਾਜ਼ੇ
doorway	0.573	0.304	0.496	ਦਰਵਾਜ਼ਾ
dopamine	0.548	0.469	0.426	ਡੋਪਾਮਾਈਨ
dope	0.295	0.855	0.425	ਡੋਪ
dopey	0.320	0.380	0.365	ਡੋਪਈ
dork	0.272	0.519	0.361	dork
dorky	0.302	0.480	0.390	ਡੋਰਕੀ
dorm	0.719	0.194	0.327	ਡੋਰਮ
dormant	0.385	0.245	0.245	ਸੁਸਤ
dormitory	0.633	0.204	0.382	ਹੋਸਟਲ
dorsal	0.449	0.360	0.445	ਡੋਰਸਲ
dosage	0.344	0.450	0.490	ਖੁਰਾਕ
dose	0.458	0.490	0.427	ਖੁਰਾਕ
dossier	0.357	0.380	0.544	ਡੋਜ਼ੀਅਰ
dot	0.434	0.290	0.391	ਬਿੰਦੀ
doting	0.888	0.415	0.426	doting
dotted	0.480	0.347	0.426	ਬਿੰਦੀਆਂ ਵਾਲਾ
dotty	0.375	0.402	0.393	ਡਾਟੀ
double	0.677	0.378	0.569	ਡਬਲ
doubled	0.427	0.536	0.560	ਦੁੱਗਣਾ
doublet	0.420	0.431	0.500	ਡਬਲਟ
doubling	0.459	0.452	0.464	ਦੁੱਗਣਾ
doubt	0.395	0.351	0.231	ਸ਼ੱਕ
doubtful	0.250	0.465	0.241	ਸ਼ੱਕੀ
doubting	0.224	0.560	0.189	ਸ਼ੱਕ ਕਰਨਾ
doubtless	0.688	0.415	0.689	ਬੇਸ਼ੱਕ
doubts	0.306	0.448	0.305	ਸ਼ੱਕ
douche	0.490	0.413	0.397	douche
douchebags	0.327	0.587	0.366	ਡੂਚਬੈਗ
dough	0.588	0.229	0.391	ਆਟਾ
doughboy	0.365	0.443	0.396	doughboy
doughnut	0.663	0.380	0.279	ਡੋਨਟ
dour	0.360	0.404	0.325	ਡੋਰ
douse	0.365	0.453	0.412	ਡੋਜ਼
dove	0.729	0.235	0.437	ਘੁੱਗੀ
down	0.208	0.330	0.264	ਥੱਲੇ, ਹੇਠਾਂ, ਨੀਂਵਾ
downcast	0.071	0.500	0.222	ਨਿਰਾਸ਼
downer	0.120	0.594	0.226	ਡਾਊਨਰ
downfall	0.200	0.717	0.182	ਪਤਨ
downfield	0.521	0.330	0.380	ਡਾਊਨਫੀਲਡ
downhearted	0.119	0.461	0.255	ਨਿਰਾਸ਼
downhill	0.292	0.573	0.279	ਢਲਾਣ
download	0.602	0.490	0.503	ਡਾਊਨਲੋਡ ਕਰੋ
downpour	0.328	0.602	0.481	ਮੀਂਹ
downright	0.625	0.454	0.679	ਸਿੱਧਾ
downriver	0.542	0.469	0.279	ਥੱਲੇ ਦਰਿਆ
downside	0.190	0.400	0.246	ਨਨੁਕਸਾਨ
downtime	0.240	0.226	0.324	ਡਾਊਨਟਾਈਮ
downward	0.188	0.347	0.255	ਹੇਠਾਂ ਵੱਲ
downy	0.630	0.170	0.255	ਘਟੀਆ
dowry	0.604	0.453	0.544	ਦਾਜ
doze	0.592	0.200	0.405	ਨੀਂਦ
dozen	0.583	0.343	0.425	ਦਰਜਨ
drab	0.327	0.300	0.242	ਡਰੈਬ
draft	0.438	0.360	0.351	ਡਰਾਫਟ
drafty	0.458	0.500	0.518	ਡਰਾਫਟੀ
drag	0.388	0.606	0.348	ਖਿੱਚੋ
dragon	0.541	0.821	0.712	ਅਜਗਰ
dragonfly	0.571	0.373	0.357	ਡਰੈਗਨਫਲਾਈ
drain	0.277	0.470	0.222	ਡਰੇਨ
drainage	0.219	0.354	0.307	ਡਰੇਨੇਜ
drained	0.310	0.441	0.352	ਨਿਕਾਸ
draining	0.337	0.396	0.304	ਡਰੇਨਿੰਗ
drainpipe	0.417	0.413	0.277	ਡਰੇਨ ਪਾਈਪ
drake	0.467	0.411	0.452	ਡਰੇਕ
drama	0.430	0.755	0.481	ਡਰਾਮਾ
dramaqueen	0.337	0.682	0.482	ਡਰਾਮਾਕੁਈਨ
dramatic	0.367	0.780	0.443	ਨਾਟਕੀ
drape	0.417	0.439	0.404	ਪਰਦਾ
drapery	0.479	0.220	0.223	ਡਰੈਪਰੀ
drastic	0.194	0.839	0.657	ਸਖ਼ਤ
drat	0.302	0.516	0.409	drat
draught	0.465	0.245	0.316	ਡਰਾਫਟ
draw	0.704	0.449	0.481	ਡਰਾਅ
drawback	0.302	0.422	0.148	ਕਮੀ
drawbridge	0.551	0.557	0.438	ਡਰਾਬ੍ਰਿਜ
drawer	0.429	0.196	0.292	ਦਰਾਜ਼
drawers	0.539	0.260	0.236	ਦਰਾਜ
drawing	0.698	0.216	0.333	ਡਰਾਇੰਗ
dread	0.153	0.792	0.368	ਡਰ
dreaded	0.122	0.706	0.460	ਡਰੇ ਹੋਏ
dreadful	0.092	0.786	0.348	ਭਿਆਨਕ
dreadfully	0.246	0.806	0.306	ਡਰਾਉਣਾ
dreading	0.125	0.760	0.377	ਡਰਾਉਣਾ
dream	0.844	0.157	0.328	ਸੁਪਨਾ
dreamboat	0.776	0.491	0.458	ਸੁਪਨੇ ਦੀ ਕਿਸ਼ਤੀ
dreamer	0.820	0.394	0.455	ਸੁਪਨੇ ਦੇਖਣ ਵਾਲਾ
dreaming	0.854	0.320	0.336	ਸੁਪਨਾ
dreamland	0.844	0.471	0.566	ਸੁਪਨਿਆਂ ਦੀ ਧਰਤੀ
dreams	0.865	0.415	0.530	ਸੁਪਨੇ
dreamt	0.812	0.380	0.518	ਸੁਪਨਾ ਦੇਖਿਆ
dreamy	0.837	0.350	0.500	ਸੁਪਨੇ ਵਾਲਾ
dreary	0.260	0.490	0.324	ਡਰਾਉਣਾ
dredge	0.427	0.445	0.444	ਡਰੇਜ
drenched	0.302	0.361	0.388	ਭਿੱਜ ਗਿਆ
dress	0.760	0.300	0.345	ਪਹਿਰਾਵਾ
dresser	0.604	0.398	0.473	ਡ੍ਰੈਸਰ
dressmaker	0.698	0.460	0.483	ਡਰੈਸਮੇਕਰ
dressy	0.800	0.570	0.696	ਕੱਪੜੇਦਾਰ
dribble	0.417	0.551	0.465	ਡ੍ਰਿਬਲ
dried	0.427	0.260	0.385	ਸੁੱਕਿਆ
drier	0.306	0.347	0.392	ਸੁੱਕਣ ਵਾਲਾ
drift	0.316	0.520	0.375	ਵਹਿਣਾ
drifted	0.312	0.542	0.310	ਵਹਿ ਗਿਆ
drifter	0.449	0.512	0.391	ਡਰਾਫਟ
driftwood	0.321	0.283	0.439	driftwood
drill	0.250	0.602	0.573	ਮਸ਼ਕ
drink	0.650	0.552	0.474	ਪੀਓ
drinker	0.365	0.735	0.441	ਪੀਣ ਵਾਲਾ
drinking	0.562	0.459	0.317	ਪੀਣ
drinks	0.729	0.656	0.412	ਡਰਿੰਕਸ
drip	0.392	0.193	0.175	ਤੁਪਕਾ
dripping	0.302	0.257	0.267	ਟਪਕਦਾ
drive	0.625	0.689	0.713	ਚਲਾਉਣਾ
drivel	0.398	0.469	0.463	ਡਰਾਈਲ
driver	0.553	0.538	0.637	ਡਰਾਈਵਰ
driveway	0.612	0.392	0.689	ਡਰਾਈਵਵੇਅ
drizzle	0.521	0.353	0.319	ਬੂੰਦਾਬਾਂਦੀ
droll	0.459	0.573	0.422	ਡਰੋਲ
drone	0.429	0.686	0.596	ਡਰੋਨ
drones	0.398	0.577	0.588	ਡਰੋਨ
drool	0.385	0.398	0.204	ਲਾਰ
drooping	0.245	0.558	0.353	ਝੁਕਣਾ
droopy	0.438	0.350	0.297	droopy
drop	0.479	0.321	0.291	ਸੁੱਟੋ
droplet	0.625	0.208	0.194	ਬੂੰਦ
dropout	0.253	0.550	0.481	ਛੱਡ ਦੇਣਾ
dropper	0.333	0.216	0.236	ਡਰਾਪਰ
drought	0.133	0.353	0.267	ਸੋਕਾ
drove	0.541	0.528	0.623	ਚਲਾਇਆ
drown	0.071	0.860	0.270	ਡੁੱਬਣਾ
drowsiness	0.260	0.194	0.303	ਸੁਸਤੀ
drowsy	0.375	0.180	0.240	ਸੁਸਤ
drudgery	0.094	0.522	0.241	ਔਕੜ
drug	0.214	0.790	0.453	ਡਰੱਗ
drug dealing	0.042	0.843	0.500	ਡਰੱਗ ਡੀਲਿੰਗ
drugged	0.102	0.750	0.321	ਨਸ਼ਾ
druggist	0.240	0.561	0.417	ਡਰੱਗਿਸਟ
drugs	0.167	0.750	0.368	ਨਸ਼ੇ
drugstore	0.490	0.343	0.518	ਦਵਾਈ ਦੀ ਦੁਕਾਨ
druid	0.517	0.445	0.481	ਡਰੂਡ
drum	0.615	0.679	0.339	ਢੋਲ
drummer	0.646	0.700	0.564	ਢੋਲਕੀ
drumming	0.594	0.750	0.426	ਢੋਲ ਵਜਾਉਣਾ
drunk	0.194	0.800	0.250	ਸ਼ਰਾਬੀ
drunk driving	0.073	0.900	0.306	ਸ਼ਰਾਬੀ ਡਰਾਈਵਿੰਗ
drunkard	0.240	0.873	0.250	ਸ਼ਰਾਬੀ
drunken	0.155	0.849	0.250	ਸ਼ਰਾਬੀ
drunkenness	0.214	0.774	0.336	ਸ਼ਰਾਬੀ
dry	0.363	0.169	0.311	ਸੁੱਕਾ
dryer	0.479	0.343	0.277	ਡਰਾਇਰ
dryness	0.292	0.296	0.263	ਖੁਸ਼ਕੀ
dual	0.573	0.330	0.384	ਦੋਹਰਾ
dualism	0.490	0.406	0.536	ਦਵੈਤਵਾਦ
duality	0.438	0.520	0.503	ਦਵੈਤ
dub	0.510	0.480	0.387	ਡੱਬ
dubious	0.414	0.480	0.198	ਸ਼ੱਕੀ
duchess	0.656	0.548	0.711	duchess
duck	0.594	0.337	0.236	ਬਤਖ਼
ducking	0.344	0.573	0.294	ਡਕਿੰਗ
duckling	0.602	0.353	0.263	ਡਕਲਿੰਗ
ducky	0.520	0.430	0.368	ਖਿਲਵਾੜ
duct	0.449	0.435	0.430	ਨਲੀ, ਨਲਕੀ
ductile	0.508	0.420	0.433	ਨਰਮ
dud	0.167	0.455	0.246	ਡਡ
dude	0.809	0.356	0.615	ਯਾਰ
duds	0.347	0.311	0.339	ਡੱਡ
due	0.562	0.340	0.467	ਬਕਾਇਆ
duel	0.271	0.696	0.589	ਲੜਾਈ
dues	0.367	0.461	0.288	ਬਕਾਇਆ
duet	0.694	0.693	0.527	ਦੋਗਾਣਾ
duffel	0.500	0.400	0.384	ਡਫੇਲ
dugout	0.490	0.370	0.463	ਡਗਆਊਟ
duh	0.357	0.461	0.364	duh
duke	0.667	0.440	0.669	ਡਿਊਕ
dull	0.194	0.120	0.185	ਸੰਜੀਵ
dullard	0.450	0.480	0.365	dullard
dumb	0.188	0.330	0.151	ਗੂੰਗਾ
dumbasses	0.316	0.590	0.363	dumbasses
dumbbell	0.302	0.469	0.364	ਡੰਬਲ
dumbbitch	0.281	0.636	0.393	ਡੰਬੀਚ
dumfound	0.271	0.551	0.295	ਗੁੰਝਲਦਾਰ
dumfounder	0.406	0.481	0.400	dumfounder
dummy	0.440	0.144	0.250	ਨਕਲੀ
dump	0.345	0.500	0.370	ਡੰਪ
dumpling	0.580	0.321	0.360	ਡੰਪਲਿੰਗ
dumps	0.302	0.583	0.365	ਡੰਪ
dumpster	0.229	0.418	0.101	ਡੰਪਸਟਰ
dun	0.458	0.431	0.339	ਡਨ
dunce	0.188	0.327	0.146	ਡੰਸ
dune	0.459	0.173	0.414	ਟਿੱਬਾ
dung	0.104	0.549	0.149	ਗੋਬਰ
dungeon	0.276	0.608	0.440	ਕਾਲ ਕੋਠੜੀ
dunk	0.406	0.333	0.475	ਡੰਕ
duo	0.510	0.500	0.447	ਜੋੜੀ
dupe	0.184	0.760	0.327	ਧੋਖਾ
duplex	0.592	0.452	0.467	ਡੁਪਲੈਕਸ
duplicate	0.521	0.490	0.338	ਡੁਪਲੀਕੇਟ
duplication	0.480	0.564	0.577	ਨਕਲ
duplicity	0.406	0.500	0.578	ਡੁਪਲੀਸੀਟੀ
durability	0.750	0.398	0.813	ਟਿਕਾਊਤਾ
durable	0.740	0.294	0.688	ਟਿਕਾਊ
duration	0.656	0.370	0.536	ਮਿਆਦ
duress	0.302	0.569	0.612	ਜ਼ੋਰ
dusk	0.532	0.276	0.519	ਸ਼ਾਮ
dusky	0.229	0.528	0.324	ਸੰਘਣਾ
dust	0.344	0.246	0.241	ਧੂੜ
duster	0.408	0.265	0.296	ਡਸਟਰ
dustpan	0.609	0.466	0.371	ਡਸਟਪੈਨ
dusty	0.406	0.294	0.255	ਧੂੜ ਭਰੀ
dutiful	0.724	0.245	0.585	ਕਰਤੱਵਪੂਰਨ
duty	0.583	0.579	0.651	ਡਿਊਟੀ
dwarf	0.370	0.340	0.288	ਬੌਣਾ
dwarfed	0.365	0.265	0.293	ਬੌਣਾ
dweeb	0.354	0.446	0.327	dweeb
dwell	0.698	0.245	0.611	ਨਿਵਾਸ
dweller	0.615	0.304	0.500	ਨਿਵਾਸੀ
dwelling	0.765	0.330	0.481	ਨਿਵਾਸ
dye	0.479	0.314	0.371	ਰੰਗ
dying	0.040	0.664	0.422	ਮਰਨਾ
dyke	0.438	0.396	0.566	ਡਾਈਕ
dynamic	0.724	0.750	0.836	ਗਤੀਸ਼ੀਲ
dynamical	0.786	0.730	0.827	ਗਤੀਸ਼ੀਲ
dynamics	0.745	0.682	0.774	ਗਤੀਸ਼ੀਲਤਾ
dynamite	0.344	0.860	0.783	ਡਾਇਨਾਮਾਈਟ
dynamo	0.531	0.650	0.593	ਡਾਇਨਾਮੋ
dynasty	0.725	0.588	0.936	ਰਾਜਵੰਸ਼
dysentery	0.260	0.528	0.345	ਪੇਚਸ਼
dysfunction	0.156	0.410	0.386	ਨਪੁੰਸਕਤਾ
dysfunctional	0.125	0.558	0.307	ਕਾਰਜਹੀਣ
dyspepsia	0.212	0.470	0.460	dyspepsia
eager	0.521	0.812	0.306	ਉਤਸੁਕ
eagerness	0.406	0.621	0.443	ਉਤਸੁਕਤਾ
eagle	0.604	0.594	0.679	ਇੱਲ
ear	0.469	0.216	0.231	ਕੰਨ
earful	0.533	0.462	0.443	ਕੰਨਦਾਰ
earl	0.582	0.461	0.794	ਅਰਲ
earlier	0.562	0.352	0.339	ਪਹਿਲਾਂ
early	0.633	0.373	0.426	ਛੇਤੀ
earn	0.865	0.769	0.817	ਕਮਾਓ
earnest	0.653	0.380	0.670	ਦਿਲੋਂ
earnestly	0.847	0.490	0.717	ਦਿਲੋਂ
earnestness	0.812	0.373	0.615	ਈਮਾਨਦਾਰੀ
earnings	0.938	0.650	0.875	ਕਮਾਈ
earpiece	0.583	0.286	0.452	ਈਅਰਪੀਸ
earring	0.583	0.520	0.500	ਮੁੰਦਰਾ
earrings	0.676	0.346	0.517	ਮੁੰਦਰਾ
earshot	0.552	0.332	0.408	ਕੰਨ ਦਾ ਸ਼ਾਟ
earth	0.750	0.225	0.614	ਧਰਤੀ
earthenware	0.552	0.210	0.320	ਮਿੱਟੀ ਦੇ ਭਾਂਡੇ
earthling	0.531	0.412	0.570	ਧਰਤੀ
earthly	0.625	0.318	0.518	ਧਰਤੀ ਦੇ
earthquake	0.073	0.930	0.812	ਭੂਚਾਲ
earthy	0.375	0.413	0.404	ਮਿੱਟੀ ਵਾਲਾ
ease	0.796	0.385	0.491	ਆਸਾਨੀ
easel	0.694	0.340	0.527	ਈਜ਼ਲ
easement	0.479	0.345	0.302	ਆਰਾਮ
easily	0.885	0.279	0.453	ਆਸਾਨੀ ਨਾਲ
east	0.510	0.250	0.317	ਪੂਰਬ
eastbound	0.541	0.408	0.402	ਪੂਰਬ ਵੱਲ
eastern	0.521	0.420	0.480	ਪੂਰਬੀ
easy	0.865	0.194	0.373	ਆਸਾਨ
easygoing	0.823	0.276	0.538	ਆਰਾਮ ਨਾਲ
eat	0.731	0.500	0.464	ਖਾਓ
eater	0.459	0.337	0.510	ਖਾਣ ਵਾਲਾ
eating	0.847	0.491	0.615	ਖਾਣਾ
eatingdisorders	0.365	0.608	0.508	ਖਾਣ ਦੇ ਵਿਕਾਰ
eavesdrop	0.375	0.710	0.368	ਸੁਣਨਾ
eavesdropping	0.490	0.380	0.441	ਸੁਣਨਾ
ebb	0.354	0.451	0.404	ebb
ebony	0.490	0.317	0.400	ਆਬਨੂਸ
ebullient	0.659	0.856	0.746	ਉਤਸ਼ਾਹੀ
eccentric	0.531	0.806	0.721	ਸਨਕੀ
eccentricity	0.408	0.735	0.745	ਸਨਕੀਤਾ
ecclesiastical	0.673	0.270	0.660	ਧਾਰਮਿਕ
echelon	0.490	0.404	0.425	Echelon
echinacea	0.592	0.418	0.454	echinacea
echo	0.573	0.373	0.345	echo
eclectic	0.646	0.542	0.508	ਚੋਣਵੇਂ
eclipse	0.541	0.469	0.616	ਗ੍ਰਹਿਣ
ecliptic	0.531	0.520	0.556	ਗ੍ਰਹਿਣ
ecological	0.885	0.290	0.607	ਵਾਤਾਵਰਣ ਸੰਬੰਧੀ
economic	0.561	0.408	0.639	ਆਰਥਿਕ
economical	0.667	0.564	0.673	ਆਰਥਿਕ
