English Word	Valence	Arousal	Dominance	Telugu Word
dropper	0.333	0.216	0.236	డ్రాపర్
drought	0.133	0.353	0.267	కరువు
drove	0.541	0.528	0.623	నడిపాడు
drown	0.071	0.860	0.270	మునుగు
drowsiness	0.260	0.194	0.303	మగత
drowsy	0.375	0.180	0.240	మగతగా
drudgery	0.094	0.522	0.241	దూకుడు
drug	0.214	0.790	0.453	మందు
drug dealing	0.042	0.843	0.500	మాదక ద్రవ్యాల వ్యాపారం
drugged	0.102	0.750	0.321	మందు తాగాడు
druggist	0.240	0.561	0.417	ఔషధ వ్యాపారి
drugs	0.167	0.750	0.368	మందులు
drugstore	0.490	0.343	0.518	మందుల దుకాణం
druid	0.517	0.445	0.481	డ్రూయిడ్
drum	0.615	0.679	0.339	డ్రమ్
drummer	0.646	0.700	0.564	డ్రమ్మర్
drumming	0.594	0.750	0.426	డ్రమ్మింగ్
drunk	0.194	0.800	0.250	తాగిన
drunk driving	0.073	0.900	0.306	తాగి డ్రైవింగ్
drunkard	0.240	0.873	0.250	తాగుబోతు
drunken	0.155	0.849	0.250	తాగుబోతు
drunkenness	0.214	0.774	0.336	తాగుబోతుతనం
dry	0.363	0.169	0.311	పొడి
dryer	0.479	0.343	0.277	ఆరబెట్టేది
dryness	0.292	0.296	0.263	పొడిబారడం
dual	0.573	0.330	0.384	ద్వంద్వ
dualism	0.490	0.406	0.536	ద్వంద్వవాదం
duality	0.438	0.520	0.503	ద్వంద్వత్వం
dub	0.510	0.480	0.387	డబ్
dubious	0.414	0.480	0.198	సందేహాస్పదమైన
duchess	0.656	0.548	0.711	దొరసాని
duck	0.594	0.337	0.236	బాతు
ducking	0.344	0.573	0.294	బాతు
duckling	0.602	0.353	0.263	బాతు పిల్ల
ducky	0.520	0.430	0.368	బాతు
duct	0.449	0.435	0.430	వాహిక
ductile	0.508	0.420	0.433	సాగే
dud	0.167	0.455	0.246	డడ్
dude	0.809	0.356	0.615	వాసి
duds	0.347	0.311	0.339	డడ్స్
due	0.562	0.340	0.467	రావాల్సి ఉంది
duel	0.271	0.696	0.589	బాకీలు
dues	0.367	0.461	0.288	బకాయిలు
duet	0.694	0.693	0.527	యుగళగీతం
duffel	0.500	0.400	0.384	డఫెల్
dugout	0.490	0.370	0.463	తవ్విన
duh	0.357	0.461	0.364	duh
duke	0.667	0.440	0.669	డ్యూక్
dull	0.194	0.120	0.185	నిస్తేజంగా
dullard	0.450	0.480	0.365	డల్లర్డ్
dumb	0.188	0.330	0.151	మూగ
dumbasses	0.316	0.590	0.363	మూగవాళ్ళు
dumbbell	0.302	0.469	0.364	డంబెల్
dumbbitch	0.281	0.636	0.393	మూగ
dumfound	0.271	0.551	0.295	డమ్ఫౌండ్
dumfounder	0.406	0.481	0.400	డంఫౌండర్
dummy	0.440	0.144	0.250	డమ్మీ
dump	0.345	0.500	0.370	డంప్
dumpling	0.580	0.321	0.360	కుడుములు
dumps	0.302	0.583	0.365	డంప్‌లు
dumpster	0.229	0.418	0.101	చెత్తబుట్ట
dun	0.458	0.431	0.339	డన్
dunce	0.188	0.327	0.146	డన్స్
dune	0.459	0.173	0.414	దిబ్బ
dung	0.104	0.549	0.149	పేడ
dungeon	0.276	0.608	0.440	చెరసాల
dunk	0.406	0.333	0.475	డంక్
duo	0.510	0.500	0.447	ద్వయం
dupe	0.184	0.760	0.327	మోసగాడు
duplex	0.592	0.452	0.467	ద్వంద్వ
duplicate	0.521	0.490	0.338	నకిలీ
duplication	0.480	0.564	0.577	నకిలీ
duplicity	0.406	0.500	0.578	ద్వంద్వత్వం
durability	0.750	0.398	0.813	మన్నిక
durable	0.740	0.294	0.688	మ న్ని కై న
duration	0.656	0.370	0.536	వ్యవధి
duress	0.302	0.569	0.612	ఒత్తిడి
dusk	0.532	0.276	0.519	సంధ్య
dusky	0.229	0.528	0.324	సంధ్యాకాలం
dust	0.344	0.246	0.241	దుమ్ము
duster	0.408	0.265	0.296	డస్టర్
dustpan	0.609	0.466	0.371	డస్ట్పాన్
dusty	0.406	0.294	0.255	మురికి
dutiful	0.724	0.245	0.585	విధిగా
duty	0.583	0.579	0.651	విధి
dwarf	0.370	0.340	0.288	మరగుజ్జు
dwarfed	0.365	0.265	0.293	మరుగుజ్జు
dweeb	0.354	0.446	0.327	ద్వీబ్
dwell	0.698	0.245	0.611	నివసించు
dweller	0.615	0.304	0.500	నివాసి
dwelling	0.765	0.330	0.481	నివాసం
dye	0.479	0.314	0.371	రంగు వేయు
dying	0.040	0.664	0.422	చనిపోతున్నది
dyke	0.438	0.396	0.566	వాగు
dynamic	0.724	0.750	0.836	డైనమిక్
dynamical	0.786	0.730	0.827	డైనమిక్
dynamics	0.745	0.682	0.774	డైనమిక్స్
dynamite	0.344	0.860	0.783	డైనమైట్
dynamo	0.531	0.650	0.593	డైనమో
dynasty	0.725	0.588	0.936	రాజవంశం
dysentery	0.260	0.528	0.345	విరేచనాలు
dysfunction	0.156	0.410	0.386	పనిచేయకపోవడం
dysfunctional	0.125	0.558	0.307	పనిచేయని
dyspepsia	0.212	0.470	0.460	అజీర్తి
eager	0.521	0.812	0.306	ఆత్రుత
eagerness	0.406	0.621	0.443	ఆత్రుత
eagle	0.604	0.594	0.679	డేగ
ear	0.469	0.216	0.231	చెవి
earful	0.533	0.462	0.443	చెవినిండు
earl	0.582	0.461	0.794	ఎర్ల్
earlier	0.562	0.352	0.339	ముందు
early	0.633	0.373	0.426	ప్రారంభ
earn	0.865	0.769	0.817	సంపాదిస్తారు
earnest	0.653	0.380	0.670	గంభీరమైన
earnestly	0.847	0.490	0.717	గంభీరంగా
earnestness	0.812	0.373	0.615	శ్రద్ధ
earnings	0.938	0.650	0.875	సంపాదన
earpiece	0.583	0.286	0.452	ఇయర్ పీస్
earring	0.583	0.520	0.500	చెవిపోగు
earrings	0.676	0.346	0.517	చెవిపోగులు
earshot	0.552	0.332	0.408	చెవిపోటు
earth	0.750	0.225	0.614	భూమి
earthenware	0.552	0.210	0.320	మట్టి పాత్రలు
earthling	0.531	0.412	0.570	భూలోకం
earthly	0.625	0.318	0.518	భూసంబంధమైన
earthquake	0.073	0.930	0.812	భూకంపం
earthy	0.375	0.413	0.404	మట్టితో కూడిన
ease	0.796	0.385	0.491	సులభం
easel	0.694	0.340	0.527	ఈజీల్
easement	0.479	0.345	0.302	సౌలభ్యం
easily	0.885	0.279	0.453	సులభంగా
east	0.510	0.250	0.317	తూర్పు
eastbound	0.541	0.408	0.402	తూర్పుదిశగా
eastern	0.521	0.420	0.480	తూర్పు
easy	0.865	0.194	0.373	సులభంగా
easygoing	0.823	0.276	0.538	సులభంగా అనుసరించు
eat	0.731	0.500	0.464	తినండి
eater	0.459	0.337	0.510	తినేవాడు
eating	0.847	0.491	0.615	ఆహారపు
eatingdisorders	0.365	0.608	0.508	తినే రుగ్మతలు
eavesdrop	0.375	0.710	0.368	వినడం
eavesdropping	0.490	0.380	0.441	వినడం
ebb	0.354	0.451	0.404	ఎబ్బ్
ebony	0.490	0.317	0.400	నల్లమబ్బు
ebullient	0.659	0.856	0.746	ఉప్పొంగిన
eccentric	0.531	0.806	0.721	అసాధారణమైన
eccentricity	0.408	0.735	0.745	అసాధారణత
ecclesiastical	0.673	0.270	0.660	మతపరమైన
echelon	0.490	0.404	0.425	ఎచలాన్
echinacea	0.592	0.418	0.454	ఎచినాసియా
echo	0.573	0.373	0.345	ప్రతిధ్వని
eclectic	0.646	0.542	0.508	పరిశీలనాత్మకమైన
eclipse	0.541	0.469	0.616	గ్రహణం
ecliptic	0.531	0.520	0.556	ఎక్లిప్టిక్
ecological	0.885	0.290	0.607	పర్యావరణ సంబంధమైన
economic	0.561	0.408	0.639	ఆర్థిక
economical	0.667	0.564	0.673	ఆర్థికపరమైన
economics	0.625	0.481	0.632	ఆర్థికశాస్త్రం
economy	0.583	0.434	0.771	ఆర్థిక వ్యవస్థ
ecosystem	0.729	0.259	0.633	పర్యావరణ వ్యవస్థ
ecstasy	0.796	0.922	0.655	పారవశ్యం
ecstatic	0.875	0.769	0.742	పారవశ్యం
ecumenical	0.561	0.450	0.547	ఎకుమెనికల్
eddy	0.500	0.394	0.350	ఎడ్డీ
edema	0.250	0.519	0.318	ఎడెమా
edge	0.439	0.470	0.468	అంచు
edging	0.479	0.394	0.370	అంచులు
edgy	0.281	0.895	0.306	పదునైన
edible	0.750	0.425	0.497	తినదగినది
edict	0.316	0.547	0.560	శాసనం
edification	0.625	0.481	0.697	సవరణ
edifice	0.551	0.403	0.610	భవనం
edit	0.510	0.410	0.544	సవరించు
editing	0.604	0.404	0.493	ఎడిటింగ్
edition	0.542	0.455	0.564	ఎడిషన్
editor	0.772	0.431	0.673	సంపాదకుడు
editorial	0.583	0.330	0.570	సంపాదకీయం
educate	0.760	0.380	0.728	చదువు
educated	0.816	0.297	0.625	విద్యావంతుడు
education	0.896	0.275	0.840	చదువు
educational	0.745	0.457	0.764	విద్యాసంబంధమైన
educator	0.827	0.317	0.845	విద్యావేత్త
eeeek	0.367	0.540	0.349	eeeeek
eeek	0.333	0.490	0.302	eeek
eek	0.292	0.529	0.343	ఈక్
eel	0.292	0.564	0.487	తిమ్మిరి చేప
eerie	0.265	0.771	0.442	వింతైన
effect	0.570	0.518	0.608	ప్రభావం
effective	0.844	0.632	0.891	సమర్థవంతమైన
effectiveness	0.640	0.654	0.812	సమర్థత
effects	0.470	0.578	0.379	ప్రభావాలు
effectual	0.776	0.559	0.820	ప్రభావవంతమైన
effectually	0.724	0.500	0.594	ప్రభావవంతంగా
effectuate	0.510	0.602	0.679	ప్రభావం చూపుతాయి
effeminate	0.337	0.619	0.291	స్త్రీపురుషుడు
efficacious	0.823	0.698	0.845	సమర్థవంతమైన
efficacy	0.802	0.490	0.906	సమర్థత
efficiency	0.802	0.509	0.892	సమర్థత
efficient	0.959	0.604	0.830	సమర్థవంతమైన
effigy	0.510	0.440	0.401	దిష్టిబొమ్మ
effort	0.698	0.778	0.858	కృషి
effortless	0.626	0.090	0.352	అప్రయత్నంగా
effusion	0.344	0.730	0.472	ప్రసరించుట
effyou	0.354	0.529	0.490	మీరు
egg	0.684	0.241	0.293	గుడ్డు
egghead	0.316	0.492	0.284	గుడ్డు తల
eggnog	0.635	0.360	0.259	కోడిగుడ్డు
eggplant	0.592	0.152	0.323	వంగ మొక్క
eggshell	0.408	0.269	0.212	గుడ్డు పెంకు
ego	0.328	0.576	0.593	అహంకారం
egomaniac	0.133	0.708	0.596	అహంభావి
egotistical	0.156	0.667	0.363	అహంభావి
egregious	0.150	0.716	0.442	విపరీతమైన
egress	0.490	0.429	0.287	బయటపడటం
eight	0.540	0.199	0.315	ఎనిమిది
eighteen	0.523	0.340	0.404	పద్దెనిమిది
eighth	0.531	0.226	0.380	ఎనిమిదవది
eighty	0.500	0.300	0.453	ఎనభై
ejaculate	0.604	0.896	0.604	స్కలనం
ejaculation	0.615	0.893	0.547	స్కలనం
eject	0.434	0.656	0.559	ఎజెక్ట్
ejection	0.188	0.836	0.554	ఎజెక్షన్
elaborate	0.561	0.367	0.680	విస్తృతమైన
elaboration	0.708	0.500	0.598	విశదీకరణ
elan	0.562	0.367	0.500	ఎలాన్
elapse	0.514	0.440	0.455	గడిచిపోతుంది
elapsed	0.583	0.451	0.493	గడిచిపోయింది
elastic	0.656	0.518	0.385	సాగే
elasticity	0.635	0.452	0.582	స్థితిస్థాపకత
elated	0.792	0.960	0.725	ఉప్పొంగింది
elation	0.740	0.853	0.623	ఉల్లాసం
elbow	0.448	0.133	0.254	మోచేయి
eld	0.471	0.292	0.451	పెద్దవాడు
elder	0.448	0.153	0.462	పెద్ద
elders	0.602	0.260	0.441	పెద్దలు
eldest	0.625	0.471	0.741	పెద్దవాడు
elect	0.667	0.554	0.661	ఎన్నుకోబడతారు
election	0.625	0.519	0.651	ఎన్నికల
elective	0.612	0.380	0.623	ఎన్నికైన
elector	0.479	0.520	0.766	ఎన్నికలదారుడు
electoral	0.490	0.631	0.602	ఎన్నికల
electorate	0.560	0.380	0.696	ఓటర్లు
electric	0.458	0.708	0.512	విద్యుత్
electric slide	0.542	0.660	0.536	విద్యుత్ స్లయిడ్
electrical	0.531	0.620	0.688	విద్యుత్
electrician	0.449	0.590	0.620	ఎలక్ట్రీషియన్
electricity	0.698	0.810	0.733	విద్యుత్
electrify	0.520	0.769	0.737	విద్యుద్దీకరణ
electrocute	0.271	0.731	0.555	విద్యుదాఘాతం
electrocution	0.177	0.844	0.692	విద్యుదాఘాతం
electromagnetic	0.531	0.632	0.683	విద్యుదయస్కాంత
electron	0.520	0.455	0.560	ఎలక్ట్రాన్
electronic	0.571	0.490	0.704	ఎలక్ట్రానిక్
electronics	0.708	0.545	0.574	ఎలక్ట్రానిక్స్
elegance	0.918	0.396	0.824	గాంభీర్యం
elegant	0.865	0.500	0.685	సొగసైన
element	0.531	0.259	0.481	మూలకం
elemental	0.627	0.306	0.711	మౌళిక
elementary	0.594	0.286	0.686	ప్రాథమిక
elements	0.510	0.312	0.462	అంశాలు
elephant	0.531	0.510	0.615	ఏనుగు
elevate	0.812	0.500	0.804	ఎలివేట్
elevated	0.704	0.594	0.620	ఉన్నతమైనది
elevation	0.760	0.759	0.711	ఎత్తు
elevator	0.562	0.604	0.676	ఎలివేటర్
eleven	0.449	0.250	0.430	పదకొండు
eleventh	0.594	0.329	0.357	పదకొండవ
elf	0.460	0.457	0.315	elf
elicit	0.406	0.594	0.658	వెలికితీయు
eligible	0.750	0.400	0.518	అర్హులు
eliminate	0.265	0.670	0.324	తొలగించు
elimination	0.052	0.667	0.431	నిర్మూలన
elite	0.688	0.704	0.737	ఉన్నతవర్గం
elitist	0.500	0.606	0.656	శ్రేష్ఠుడు
elixir	0.708	0.587	0.604	అమృతం
elk	0.439	0.337	0.340	ఎల్క్
ell	0.469	0.418	0.373	ell
ellipse	0.531	0.410	0.479	దీర్ఘవృత్తాకారం
ellipsis	0.653	0.358	0.314	దీర్ఘవృత్తాకారము
ellipsoid	0.500	0.440	0.419	దీర్ఘవృత్తాకార
elliptic	0.500	0.431	0.528	దీర్ఘవృత్తాకార
elliptical	0.338	0.385	0.490	దీర్ఘవృత్తాకార
elm	0.510	0.345	0.321	ఎల్మ్
elongate	0.583	0.385	0.540	పొడుగుచేసిన
elongation	0.561	0.500	0.500	పొడుగు
elope	0.396	0.694	0.528	పారిపోవుట
eloquence	0.729	0.490	0.804	వాక్చాతుర్యం
eloquent	0.870	0.680	0.741	అనర్గళంగా
elucidate	0.583	0.509	0.518	వివరించు
elucidation	0.650	0.574	0.586	విశదీకరణ
elude	0.438	0.521	0.464	తప్పించుకో
elusive	0.229	0.615	0.466	అంతుచిక్కని
emaciated	0.103	0.541	0.151	కృశించిన
email	0.698	0.230	0.456	ఇమెయిల్
emanate	0.653	0.464	0.554	ప్రసరించు
emancipation	0.704	0.684	0.763	విముక్తి
embankment	0.677	0.438	0.436	గట్టు
embargo	0.229	0.564	0.443	నిషేధం
embark	0.541	0.550	0.619	బయలుదేరుతుంది
embarrass	0.082	0.667	0.364	ఇబ్బంది
embarrassed	0.184	0.560	0.246	ఇబ్బందిపడ్డాడు
embarrassing	0.226	0.809	0.225	ఇబ్బందికరమైన
embarrassment	0.143	0.685	0.226	ఇబ్బంది
embassy	0.622	0.333	0.758	రాయబార కార్యాలయం
embattled	0.235	0.724	0.421	చిక్కుబడ్డ
embed	0.417	0.554	0.670	పొందుపరచండి
embellish	0.842	0.500	0.769	అలంకరించు
embellishment	0.673	0.449	0.405	అలంకారము
embers	0.490	0.481	0.508	నిప్పులు కురిపిస్తుంది
embezzlement	0.143	0.827	0.435	అపహరణ
embezzler	0.146	0.823	0.491	మోసగాడు
emblem	0.640	0.330	0.754	చిహ్నం
emblematic	0.771	0.459	0.798	ప్రతీక
embodiment	0.562	0.690	0.663	స్వరూపం
embolism	0.104	0.660	0.302	ఎంబోలిజం
embossed	0.531	0.481	0.500	చిత్రించబడిన
embrace	0.949	0.490	0.452	కౌగిలించుకుంటారు
embroidered	0.677	0.279	0.407	ఎంబ్రాయిడరీ
embroidery	0.781	0.358	0.280	ఎంబ్రాయిడరీ
embroiled	0.337	0.721	0.420	చిక్కుల్లో పడింది
embryo	0.673	0.469	0.453	పిండం
embryonic	0.573	0.453	0.598	పిండం
emcee	0.694	0.577	0.691	ఎమ్మెల్సీ
emerald	0.740	0.363	0.726	పచ్చ
emerge	0.602	0.594	0.731	ఉద్భవిస్తాయి
emergence	0.276	0.857	0.676	ఆవిర్భావం
emergency	0.200	0.900	0.571	అత్యవసర
emeritus	0.633	0.402	0.735	ఎమిరిటస్
emery	0.469	0.583	0.472	ఎమిరీ
emetophobia	0.243	0.620	0.403	ఎమెటోఫోబియా
emigrate	0.356	0.812	0.508	వలసపోతారు
emigration	0.564	0.664	0.432	వలసలు
eminence	0.816	0.644	0.837	శ్రేష్ఠత
eminent	0.740	0.620	0.830	ప్రముఖ
eminently	0.694	0.607	0.773	ప్రముఖంగా
emir	0.510	0.396	0.621	అమీర్
emissary	0.562	0.462	0.636	దూత
emission	0.510	0.453	0.591	ఉద్గారము
emit	0.638	0.445	0.510	విడుదల చేస్తాయి
emo	0.354	0.314	0.226	ఇమో
emotion	0.693	0.873	0.696	భావోద్వేగం
emotional	0.779	0.714	0.526	భావోద్వేగ
emotive	0.917	0.741	0.525	ఉద్వేగభరితమైన
empathic	0.760	0.570	0.558	తాదాత్మ్యత
empathize	0.802	0.591	0.660	తాదాత్మ్యం చెందుతాయి
empathy	0.729	0.349	0.545	సానుభూతిగల
emperor	0.651	0.704	0.962	చక్రవర్తి
emphasis	0.653	0.745	0.816	ఉద్ఘాటన
emphasize	0.510	0.605	0.769	నొక్కిచెప్పండి
emphatic	0.615	0.707	0.732	నొక్కిచెప్పిన
emphysema	0.156	0.556	0.336	ఎంఫిసెమా
empire	0.688	0.730	0.944	సామ్రాజ్యం
empirical	0.500	0.510	0.574	అనుభావిక
empiricism	0.583	0.460	0.547	అనుభవవాదం
employ	0.729	0.481	0.702	ఉపాధి కల్పిస్తాయి
employee	0.582	0.361	0.481	ఉద్యోగి
employer	0.663	0.518	0.767	యజమాని
employment	0.750	0.594	0.611	ఉపాధి
emporium	0.622	0.556	0.724	ఎంపోరియం
empower	0.694	0.779	0.891	అధికారం
empress	0.716	0.669	0.855	సామ్రాజ్ఞి
emptiness	0.177	0.173	0.184	శూన్యం
emption	0.570	0.406	0.458	ఖాళీ
empty	0.188	0.183	0.081	ఖాళీ
emu	0.420	0.358	0.330	ఈము
emulate	0.438	0.340	0.549	అనుకరించే
emulsion	0.562	0.431	0.453	ఎమల్షన్
enable	0.760	0.491	0.782	ప్రారంభించు
enablement	0.600	0.451	0.750	ఎనేబుల్మెంట్
enact	0.680	0.564	0.598	చట్టం
enactment	0.667	0.612	0.769	చట్టం
enamel	0.594	0.280	0.306	ఎనామిల్
encampment	0.677	0.573	0.605	శిబిరం
enchant	0.873	0.650	0.643	మంత్రముగ్ధులను చేయండి
enchanted	0.917	0.633	0.687	మంత్రముగ్ధులను చేసింది
enchanting	0.917	0.681	0.708	మంత్రముగ్ధులను చేసే
enchantment	0.816	0.775	0.647	వశీకరణం
enchantress	0.398	0.663	0.479	మంత్రగత్తె
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	చుట్టుముట్టండి
encircling	0.510	0.368	0.557	చుట్టుముట్టడం
enclave	0.531	0.333	0.580	ఎన్క్లేవ్
enclose	0.531	0.477	0.473	జతపరచు
enclosure	0.417	0.375	0.490	ఆవరణ
encode	0.490	0.500	0.734	ఎన్కోడ్
encomiastic	0.541	0.500	0.670	కలుషితమైన
encomium	0.541	0.451	0.519	ఎన్కోమియం
encompass	0.520	0.298	0.661	చుట్టుముట్టాయి
encore	0.510	0.423	0.500	ఎన్కోర్
encounter	0.865	0.702	0.689	ఎన్కౌంటర్
encourage	0.896	0.580	0.704	ప్రోత్సహిస్తాయి
encouraged	0.953	0.702	0.657	ప్రోత్సహించారు
encouragement	0.865	0.700	0.759	ప్రోత్సాహం
encouraging	0.823	0.583	0.755	ప్రోత్సహించడం
encroach	0.302	0.742	0.702	ఆక్రమించు
encroachment	0.255	0.736	0.620	ఆక్రమణ
encrypt	0.500	0.387	0.500	గుప్తీకరించు
encryption	0.547	0.415	0.474	ఎన్క్రిప్షన్
encumbrance	0.300	0.521	0.480	భారం
encyclopedia	0.679	0.320	0.645	ఎన్సైక్లోపీడియా
end	0.198	0.349	0.298	ముగింపు
end table	0.541	0.480	0.482	ముగింపు పట్టిక
endanger	0.115	0.885	0.404	ప్రమాదం
endangered	0.083	0.885	0.430	ప్రమాదంలో పడింది
endangerment	0.167	0.873	0.519	ప్రమాదం
endearing	0.663	0.434	0.604	మనోహరమైనది
endeavor	0.677	0.755	0.765	ప్రయత్నం
ended	0.302	0.500	0.500	ముగిసింది
endemic	0.406	0.480	0.483	స్థానికమైనది
endgame	0.449	0.538	0.526	ముగింపు గేమ్
ending	0.344	0.365	0.492	ముగింపు
endless	0.347	0.462	0.472	అంతులేని
endocarditis	0.235	0.587	0.412	ఎండోకార్డిటిస్
endorse	0.592	0.392	0.472	ఆమోదించు
endorsement	0.834	0.360	0.611	ఆమోదం
endow	0.684	0.398	0.609	దానం
endowed	0.755	0.510	0.769	దానం
endowment	0.685	0.578	0.647	దానం
endpapers	0.542	0.400	0.339	ముగింపు పేపర్లు
endpoint	0.311	0.410	0.448	ముగింపు బిందువు
endurance	0.592	0.745	0.760	ఓర్పు
endure	0.320	0.610	0.574	భరించు
enduring	0.633	0.459	0.768	సహించేది
enema	0.281	0.673	0.268	ఎనిమా
enemy	0.135	0.794	0.591	శత్రువు
energetic	0.847	0.868	0.902	శక్తివంతమైన
energize	0.792	0.810	0.875	శక్తినిస్తాయి
energy	0.944	0.725	0.868	శక్తి
enforce	0.583	0.644	0.836	అమలు
enforcement	0.594	0.571	0.736	అమలు
enforcer	0.398	0.612	0.639	అమలు చేసేవాడు
engage	0.771	0.796	0.713	నిమగ్నమై
engaged	0.837	0.596	0.849	నిశ్చితార్థం
engagement	0.906	0.587	0.807	నిశ్చితార్థం
engaging	0.948	0.612	0.862	మనసుకు
engender	0.561	0.741	0.688	పుట్టించు
engine	0.615	0.644	0.676	ఇంజిన్
engineer	0.719	0.500	0.875	ఇంజనీర్
engineering	0.735	0.471	0.836	ఇంజనీరింగ్
engrave	0.486	0.442	0.517	చెక్కు
engraved	0.542	0.375	0.473	చెక్కబడిన
engraver	0.552	0.417	0.500	చెక్కేవాడు
engraving	0.604	0.430	0.442	చెక్కడం
engrossed	0.541	0.471	0.304	నిమగ్నమయ్యాడు
engrossing	0.698	0.702	0.750	మునిగిపోయే
engulf	0.398	0.573	0.500	చుట్టుముట్టండి
enhance	0.802	0.578	0.814	మెరుగుపరుస్తాయి
enhancement	0.877	0.490	0.741	మెరుగుదల
enigma	0.513	0.700	0.500	చిక్కుముడి
enigmatic	0.469	0.589	0.679	నిగూఢమైన
enjoin	0.594	0.454	0.732	ఆజ్ఞాపించండి
enjoy	0.959	0.725	0.750	ఆనందించండి
enjoyable	1.000	0.481	0.605	ఆనందించే
enjoying	0.908	0.759	0.759	ఆనందించే
enjoyment	0.930	0.612	0.716	ఆనందం
enlarge	0.735	0.606	0.688	పెద్దది
enlarged	0.673	0.490	0.518	విస్తరించిన
enlargement	0.677	0.577	0.616	విస్తరణ
enlighten	0.729	0.549	0.667	జ్ఞానోదయం
enlightened	0.956	0.566	0.700	జ్ఞానోదయమైంది
enlightening	0.825	0.729	0.727	జ్ఞానోదయం
enlightenment	0.837	0.549	0.619	జ్ఞానోదయం
enlist	0.510	0.370	0.483	చేర్చుకో
enliven	0.833	0.683	0.702	జీవం పోస్తుంది
enmity	0.094	0.706	0.382	శత్రుత్వం
ennui	0.406	0.461	0.316	ఎన్నూయి
enormity	0.594	0.648	0.848	అపారత
enormous	0.677	0.665	0.886	అపారమైన
enormously	0.760	0.694	0.872	అపారంగా
enraged	0.083	0.962	0.636	కోపమొచ్చింది
enrich	0.896	0.731	0.705	సుసంపన్నం
enroll	0.696	0.530	0.611	నమోదు చేయండి
enrollment	0.667	0.391	0.698	నమోదు
ensemble	0.697	0.418	0.586	సమిష్టి
ensign	0.663	0.270	0.545	చిహ్నం
enslave	0.073	0.800	0.481	బానిసను
enslaved	0.104	0.720	0.321	బానిసలయ్యారు
enslavement	0.086	0.635	0.302	బానిసత్వం
ensue	0.698	0.363	0.332	ఏర్పడతాయి
ensure	0.737	0.406	0.759	నిర్ధారించడానికి
entail	0.484	0.630	0.645	వ్యూహంతో
entangled	0.319	0.578	0.357	చిక్కుబడ్డ
entanglement	0.302	0.765	0.248	చిక్కుముడి
enter	0.708	0.470	0.500	ఎంటర్
enterprise	0.760	0.392	0.754	సంస్థ
enterprising	0.865	0.784	0.875	ఔత్సాహిక
entertain	0.918	0.684	0.598	వినోదం
entertained	0.902	0.644	0.712	అలరించారు
entertainer	0.888	0.709	0.759	వినోదిని
entertaining	0.833	0.658	0.660	వినోదాత్మక
entertainment	0.847	0.750	0.569	వినోదం
enthralled	0.745	0.602	0.615	పరవశించిపోయింది
enthusiasm	0.938	0.816	0.798	అత్యుత్సాహం
enthusiast	0.867	0.810	0.875	ఉత్సాహవంతుడు
enthusiastic	0.885	0.868	0.848	ఉత్సాహభరితమైన
entice	0.521	0.887	0.518	ప్రలోభపెట్టు
entire	0.689	0.462	0.698	మొత్తం
entirety	0.854	0.460	0.804	పూర్తిగా
entitle	0.729	0.333	0.827	హక్కు
entity	0.542	0.402	0.670	అస్తిత్వం
entomology	0.438	0.396	0.545	కీటక శాస్త్రం
entourage	0.491	0.567	0.467	పరివారం
entrails	0.365	0.538	0.387	అంతరాలు
entrance	0.698	0.393	0.526	ప్రవేశ ద్వారం
entrapment	0.177	0.604	0.441	ఉచ్చులో పడుట
entreat	0.304	0.560	0.462	వేడుకొను
entree	0.615	0.477	0.624	ప్రవేశము
entrepreneur	0.885	0.704	0.920	వ్యవస్థాపకుడు
entrust	0.693	0.310	0.630	అప్పగిస్తారు
entry	0.552	0.353	0.602	ప్రవేశం
enumerate	0.521	0.390	0.491	లెక్కించు
enumeration	0.548	0.327	0.534	గణన
envelope	0.604	0.275	0.377	కవచ
envious	0.110	0.754	0.341	అసూయపడే
environ	0.724	0.221	0.433	పర్యావరణం
environment	0.646	0.194	0.528	పర్యావరణం
environmental	0.633	0.313	0.664	పర్యావరణ
environs	0.561	0.288	0.345	పరిసరాలు
envision	0.625	0.449	0.483	ఊహించు
envoy	0.531	0.375	0.586	రాయబారి
envy	0.240	0.704	0.427	అసూయ
enzyme	0.562	0.277	0.481	ఎంజైమ్
ephemeral	0.500	0.312	0.377	అశాశ్వతమైన
ephemeris	0.640	0.380	0.528	ఎఫెమెరిస్
epic	0.857	0.713	0.830	ఇతిహాసం
epidemic	0.092	0.830	0.611	అంటువ్యాధి
epidermis	0.418	0.490	0.426	బాహ్యచర్మం
epidural	0.347	0.452	0.525	ఎపిడ్యూరల్
epilepsy	0.061	0.854	0.250	మూర్ఛరోగము
epileptic	0.146	0.794	0.340	మూర్ఛరోగము
epilogue	0.582	0.353	0.466	ఉపసంహారము
epiphany	0.625	0.596	0.526	ఎపిఫనీ
episcopal	0.542	0.314	0.750	ఎపిస్కోపల్
episode	0.719	0.367	0.509	ఎపిసోడ్
episodic	0.531	0.542	0.462	ఎపిసోడిక్
epistle	0.604	0.417	0.535	లేఖనం
epitaph	0.276	0.323	0.442	శిలాశాసనం
epithet	0.530	0.394	0.524	నామవాచకం
epitome	0.510	0.500	0.667	సారాంశం
epoch	0.553	0.343	0.797	యుగం
equal	0.781	0.178	0.407	సమానం
equality	0.898	0.305	0.716	సమానత్వం
