English Word	Valence	Arousal	Dominance	German Word
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	Damhirschkuh
doer	0.724	0.550	0.728	Macher
dog	0.704	0.500	0.407	Hund
dogface	0.219	0.470	0.264	Hundegesicht
dogged	0.255	0.750	0.594	hartnäckig
doggy	0.646	0.491	0.404	Hündchen
doghouse	0.438	0.417	0.340	Hundehütte
dogma	0.530	0.460	0.719	Dogma
dogmatic	0.448	0.520	0.654	dogmatisch
dogsick	0.571	0.490	0.377	hundekrank
doings	0.604	0.491	0.705	Taten
doit	0.500	0.519	0.392	Tu es
dojo	0.500	0.435	0.455	Dojo
doldrums	0.229	0.425	0.266	Flaute
dole	0.448	0.402	0.348	Arbeitslosengeld
doll	0.729	0.321	0.330	Puppe
dollar	0.755	0.632	0.694	Dollar
dollhouse	0.643	0.245	0.363	Puppenhaus
dolor	0.167	0.635	0.375	dolor
dolphin	0.776	0.350	0.414	Delfin
domain	0.573	0.549	0.828	Domain
dome	0.620	0.398	0.509	Kuppel
domestic	0.729	0.327	0.500	inländisch
domesticated	0.635	0.360	0.294	häuslich
domestication	0.594	0.390	0.435	Domestizierung
domicile	0.604	0.292	0.529	Domizil
domiciled	0.542	0.340	0.516	ansässig
dominance	0.542	0.775	0.839	Dominanz
dominant	0.406	0.854	0.893	Dominant
dominate	0.439	0.814	0.953	dominieren
dominating	0.427	0.769	0.902	dominierend
domination	0.505	0.786	0.959	Herrschaft
dominatrix	0.390	0.727	0.709	Domina
dominion	0.542	0.704	0.890	Herrschaft
domino	0.594	0.510	0.473	Domino
don	0.646	0.454	0.702	anziehen
donate	0.774	0.462	0.577	spenden
donation	0.792	0.398	0.602	Spende
donkey	0.406	0.367	0.245	Esel
donor	0.714	0.490	0.653	Spender
dontlikeyou	0.055	0.500	0.282	mag dich nicht
dontmess	0.396	0.482	0.440	nicht verwirren
dontmesswithme	0.312	0.635	0.440	Leg dich nicht mit mir an
dontpanic	0.469	0.465	0.425	keine Panik
dontunderstand	0.219	0.357	0.271	nicht verstehen
doodle	0.604	0.402	0.376	Gekritzel
doom	0.073	0.750	0.442	Untergang
doomed	0.041	0.755	0.301	zum Scheitern verurteilt
doomsday	0.125	0.861	0.670	Weltuntergang
door	0.549	0.189	0.421	Tür
doorbell	0.564	0.500	0.307	Türklingel
doorknob	0.406	0.553	0.462	Türknauf
doorman	0.570	0.371	0.491	Türsteher
doormat	0.458	0.269	0.267	Fußabtreter
doornail	0.459	0.370	0.423	Türnagel
doorstep	0.531	0.274	0.391	Haustür
doorway	0.573	0.304	0.496	Tür
dopamine	0.548	0.469	0.426	Dopamin
dope	0.295	0.855	0.425	Dope
dopey	0.320	0.380	0.365	blöd
dork	0.272	0.519	0.361	Idiot
dorky	0.302	0.480	0.390	bekloppt
dorm	0.719	0.194	0.327	Wohnheim
dormant	0.385	0.245	0.245	ruhend
dormitory	0.633	0.204	0.382	Schlafsaal
dorsal	0.449	0.360	0.445	dorsal
dosage	0.344	0.450	0.490	Dosierung
dose	0.458	0.490	0.427	Dosis
dossier	0.357	0.380	0.544	Dossier
dot	0.434	0.290	0.391	Punkt
doting	0.888	0.415	0.426	Verliebt
dotted	0.480	0.347	0.426	gepunktet
dotty	0.375	0.402	0.393	dotty
double	0.677	0.378	0.569	doppelt
doubled	0.427	0.536	0.560	verdoppelt
doublet	0.420	0.431	0.500	Wams
doubling	0.459	0.452	0.464	Verdoppelung
doubt	0.395	0.351	0.231	Zweifel
doubtful	0.250	0.465	0.241	zweifelhaft
doubting	0.224	0.560	0.189	zweifeln
doubtless	0.688	0.415	0.689	zweifellos
doubts	0.306	0.448	0.305	Zweifel
douche	0.490	0.413	0.397	Dusche
douchebags	0.327	0.587	0.366	Dummköpfe
dough	0.588	0.229	0.391	Teig
doughboy	0.365	0.443	0.396	Teigjunge
doughnut	0.663	0.380	0.279	Krapfen
dour	0.360	0.404	0.325	mürrisch
douse	0.365	0.453	0.412	begießen
dove	0.729	0.235	0.437	Taube
down	0.208	0.330	0.264	Nieder
downcast	0.071	0.500	0.222	niedergeschlagen
downer	0.120	0.594	0.226	Wermutstropfen
downfall	0.200	0.717	0.182	Untergang
downfield	0.521	0.330	0.380	Unterfeld
downhearted	0.119	0.461	0.255	niedergeschlagen
downhill	0.292	0.573	0.279	bergab
download	0.602	0.490	0.503	Download
downpour	0.328	0.602	0.481	Platzregen
downright	0.625	0.454	0.679	regelrecht
downriver	0.542	0.469	0.279	flussabwärts
downside	0.190	0.400	0.246	Nachteil
downtime	0.240	0.226	0.324	Ausfallzeit
downward	0.188	0.347	0.255	nach unten
downy	0.630	0.170	0.255	flaumig
dowry	0.604	0.453	0.544	Mitgift
doze	0.592	0.200	0.405	dösen
dozen	0.583	0.343	0.425	Dutzend
drab	0.327	0.300	0.242	eintönig
draft	0.438	0.360	0.351	Entwurf
drafty	0.458	0.500	0.518	zugig
drag	0.388	0.606	0.348	ziehen
dragon	0.541	0.821	0.712	Drachen
dragonfly	0.571	0.373	0.357	Libelle
drain	0.277	0.470	0.222	Abfluss
drainage	0.219	0.354	0.307	Drainage
drained	0.310	0.441	0.352	entwässert
draining	0.337	0.396	0.304	entwässern
drainpipe	0.417	0.413	0.277	Abflussrohr
drake	0.467	0.411	0.452	Erpel
drama	0.430	0.755	0.481	Theater
dramaqueen	0.337	0.682	0.482	Dramakönigin
dramatic	0.367	0.780	0.443	dramatisch
drape	0.417	0.439	0.404	drapieren
drapery	0.479	0.220	0.223	Vorhang
drastic	0.194	0.839	0.657	drastisch
drat	0.302	0.516	0.409	drat
draught	0.465	0.245	0.316	Entwurf
draw	0.704	0.449	0.481	zeichnen
drawback	0.302	0.422	0.148	Nachteil
drawbridge	0.551	0.557	0.438	Zugbrücke
drawer	0.429	0.196	0.292	Schublade
drawers	0.539	0.260	0.236	Schubladen
drawing	0.698	0.216	0.333	Zeichnung
dread	0.153	0.792	0.368	Furcht
dreaded	0.122	0.706	0.460	gefürchtet
dreadful	0.092	0.786	0.348	furchtbar
dreadfully	0.246	0.806	0.306	schrecklich
dreading	0.125	0.760	0.377	fürchten
dream	0.844	0.157	0.328	Traum
dreamboat	0.776	0.491	0.458	Traumboot
dreamer	0.820	0.394	0.455	Träumer
dreaming	0.854	0.320	0.336	träumend
dreamland	0.844	0.471	0.566	Traumland
dreams	0.865	0.415	0.530	Träume
dreamt	0.812	0.380	0.518	geträumt
dreamy	0.837	0.350	0.500	verträumt
dreary	0.260	0.490	0.324	trist
dredge	0.427	0.445	0.444	baggern
drenched	0.302	0.361	0.388	durchnässt
dress	0.760	0.300	0.345	Kleid
dresser	0.604	0.398	0.473	Kommode
dressmaker	0.698	0.460	0.483	Schneider
dressy	0.800	0.570	0.696	elegant
dribble	0.417	0.551	0.465	dribbeln
dried	0.427	0.260	0.385	getrocknet
drier	0.306	0.347	0.392	Wäschetrockner
drift	0.316	0.520	0.375	Drift
drifted	0.312	0.542	0.310	trieb
drifter	0.449	0.512	0.391	Herumtreiber
driftwood	0.321	0.283	0.439	Treibholz
drill	0.250	0.602	0.573	bohren
drink	0.650	0.552	0.474	Getränk
drinker	0.365	0.735	0.441	Trinker
drinking	0.562	0.459	0.317	Trinken
drinks	0.729	0.656	0.412	Getränke
drip	0.392	0.193	0.175	tropfen
dripping	0.302	0.257	0.267	tropft
drive	0.625	0.689	0.713	Fahrt
drivel	0.398	0.469	0.463	Gefasel
driver	0.553	0.538	0.637	Treiber
driveway	0.612	0.392	0.689	Auffahrt
drizzle	0.521	0.353	0.319	Nieselregen
droll	0.459	0.573	0.422	drollig
drone	0.429	0.686	0.596	Drohne
drones	0.398	0.577	0.588	Drohnen
drool	0.385	0.398	0.204	sabbern
drooping	0.245	0.558	0.353	hängend
droopy	0.438	0.350	0.297	hängend
drop	0.479	0.321	0.291	fallen
droplet	0.625	0.208	0.194	Tröpfchen
dropout	0.253	0.550	0.481	aussteigen
dropper	0.333	0.216	0.236	Tropfer
drought	0.133	0.353	0.267	Dürre
drove	0.541	0.528	0.623	Gefahren
drown	0.071	0.860	0.270	ertrinken
drowsiness	0.260	0.194	0.303	Schläfrigkeit
drowsy	0.375	0.180	0.240	schläfrig
drudgery	0.094	0.522	0.241	Plackerei
drug	0.214	0.790	0.453	Arzneimittel
drug dealing	0.042	0.843	0.500	Drogenhandel
drugged	0.102	0.750	0.321	betäubt
druggist	0.240	0.561	0.417	Apotheker
drugs	0.167	0.750	0.368	Drogen
drugstore	0.490	0.343	0.518	Drogerie
druid	0.517	0.445	0.481	Druide
drum	0.615	0.679	0.339	Trommel
drummer	0.646	0.700	0.564	Schlagzeuger
drumming	0.594	0.750	0.426	Trommeln
drunk	0.194	0.800	0.250	betrunken
drunk driving	0.073	0.900	0.306	betrunken fahren
drunkard	0.240	0.873	0.250	Säufer
drunken	0.155	0.849	0.250	betrunken
drunkenness	0.214	0.774	0.336	Trunkenheit
dry	0.363	0.169	0.311	trocken
dryer	0.479	0.343	0.277	Trockner
dryness	0.292	0.296	0.263	Trockenheit
dual	0.573	0.330	0.384	Dual
dualism	0.490	0.406	0.536	Dualismus
duality	0.438	0.520	0.503	Dualität
dub	0.510	0.480	0.387	überspielen
dubious	0.414	0.480	0.198	zweifelhaft
duchess	0.656	0.548	0.711	Herzogin
duck	0.594	0.337	0.236	Ente
ducking	0.344	0.573	0.294	ducken
duckling	0.602	0.353	0.263	Entlein
ducky	0.520	0.430	0.368	Ente
duct	0.449	0.435	0.430	Leitung
ductile	0.508	0.420	0.433	dehnbar
dud	0.167	0.455	0.246	Blindgänger
dude	0.809	0.356	0.615	Alter
duds	0.347	0.311	0.339	Typen
due	0.562	0.340	0.467	fällig
duel	0.271	0.696	0.589	Duell
dues	0.367	0.461	0.288	Gebühren
duet	0.694	0.693	0.527	Duett
duffel	0.500	0.400	0.384	Duffel
dugout	0.490	0.370	0.463	Einbaum
duh	0.357	0.461	0.364	duh
duke	0.667	0.440	0.669	Herzog
dull	0.194	0.120	0.185	Stumpf
dullard	0.450	0.480	0.365	Dummkopf
dumb	0.188	0.330	0.151	Dumm
dumbasses	0.316	0.590	0.363	Dummköpfe
dumbbell	0.302	0.469	0.364	Hantel
dumbbitch	0.281	0.636	0.393	Dummkopf
dumfound	0.271	0.551	0.295	verblüffen
dumfounder	0.406	0.481	0.400	Dummgründer
dummy	0.440	0.144	0.250	Attrappe
dump	0.345	0.500	0.370	entsorgen
dumpling	0.580	0.321	0.360	Knödel
dumps	0.302	0.583	0.365	Deponien
dumpster	0.229	0.418	0.101	Müllcontainer
dun	0.458	0.431	0.339	Dun
dunce	0.188	0.327	0.146	Dunce
dune	0.459	0.173	0.414	Düne
dung	0.104	0.549	0.149	Dung
dungeon	0.276	0.608	0.440	Verlies
dunk	0.406	0.333	0.475	eintauchen
duo	0.510	0.500	0.447	Duo
dupe	0.184	0.760	0.327	betrügen
duplex	0.592	0.452	0.467	Duplex
duplicate	0.521	0.490	0.338	Duplikat
duplication	0.480	0.564	0.577	Vervielfältigung
duplicity	0.406	0.500	0.578	Duplizität
durability	0.750	0.398	0.813	Haltbarkeit
durable	0.740	0.294	0.688	dauerhaft
duration	0.656	0.370	0.536	Dauer
duress	0.302	0.569	0.612	Zwang
dusk	0.532	0.276	0.519	Dämmerung
dusky	0.229	0.528	0.324	düster
dust	0.344	0.246	0.241	Staub
duster	0.408	0.265	0.296	Staubtuch
dustpan	0.609	0.466	0.371	Schaufel
dusty	0.406	0.294	0.255	staubig
dutiful	0.724	0.245	0.585	pflichtbewusst
duty	0.583	0.579	0.651	Pflicht
dwarf	0.370	0.340	0.288	Zwerg
dwarfed	0.365	0.265	0.293	in den Schatten gestellt
dweeb	0.354	0.446	0.327	dweeb
dwell	0.698	0.245	0.611	verweilen
dweller	0.615	0.304	0.500	Bewohner
dwelling	0.765	0.330	0.481	Wohnung
dye	0.479	0.314	0.371	Farbstoff
dying	0.040	0.664	0.422	Absterben
dyke	0.438	0.396	0.566	Deich
dynamic	0.724	0.750	0.836	dynamisch
dynamical	0.786	0.730	0.827	dynamisch
dynamics	0.745	0.682	0.774	Dynamik
dynamite	0.344	0.860	0.783	Dynamit
dynamo	0.531	0.650	0.593	Dynamo
dynasty	0.725	0.588	0.936	Dynastie
dysentery	0.260	0.528	0.345	Ruhr
dysfunction	0.156	0.410	0.386	Funktionsstörung
dysfunctional	0.125	0.558	0.307	dysfunktional
dyspepsia	0.212	0.470	0.460	Dyspepsie
eager	0.521	0.812	0.306	erpicht
eagerness	0.406	0.621	0.443	Eifer
eagle	0.604	0.594	0.679	Adler
ear	0.469	0.216	0.231	Ohr
earful	0.533	0.462	0.443	ohrenbetäubend
earl	0.582	0.461	0.794	Graf
earlier	0.562	0.352	0.339	vorhin
early	0.633	0.373	0.426	frühzeitig
earn	0.865	0.769	0.817	verdiene
earnest	0.653	0.380	0.670	Ernst
earnestly	0.847	0.490	0.717	ernsthaft
earnestness	0.812	0.373	0.615	Ernst
earnings	0.938	0.650	0.875	Verdienste
earpiece	0.583	0.286	0.452	Hörmuschel
earring	0.583	0.520	0.500	Ohrring
earrings	0.676	0.346	0.517	Ohrringe
earshot	0.552	0.332	0.408	Hörweite
earth	0.750	0.225	0.614	Erde
earthenware	0.552	0.210	0.320	Steingut
earthling	0.531	0.412	0.570	Erdenbürger
earthly	0.625	0.318	0.518	irdisch
earthquake	0.073	0.930	0.812	Erdbeben
earthy	0.375	0.413	0.404	erdig
ease	0.796	0.385	0.491	Leichtigkeit
easel	0.694	0.340	0.527	Staffelei
easement	0.479	0.345	0.302	Erleichterung
easily	0.885	0.279	0.453	leicht
east	0.510	0.250	0.317	Ost
eastbound	0.541	0.408	0.402	ostwärts
eastern	0.521	0.420	0.480	östlich
easy	0.865	0.194	0.373	einfach
easygoing	0.823	0.276	0.538	unbeschwerte
eat	0.731	0.500	0.464	Essen
eater	0.459	0.337	0.510	Esser
eating	0.847	0.491	0.615	Essen
eatingdisorders	0.365	0.608	0.508	Essstörungen
eavesdrop	0.375	0.710	0.368	lauschen
eavesdropping	0.490	0.380	0.441	lauschen
ebb	0.354	0.451	0.404	Ebbe
ebony	0.490	0.317	0.400	Ebenholz
ebullient	0.659	0.856	0.746	überschwänglich
eccentric	0.531	0.806	0.721	Exzenter
eccentricity	0.408	0.735	0.745	Exzentrizität
ecclesiastical	0.673	0.270	0.660	kirchlich
echelon	0.490	0.404	0.425	Echelon
echinacea	0.592	0.418	0.454	Sonnenhut
echo	0.573	0.373	0.345	Echo
eclectic	0.646	0.542	0.508	eklektisch
eclipse	0.541	0.469	0.616	Finsternis
ecliptic	0.531	0.520	0.556	Ekliptik
ecological	0.885	0.290	0.607	ökologisch
economic	0.561	0.408	0.639	wirtschaftlich
economical	0.667	0.564	0.673	wirtschaftlich
economics	0.625	0.481	0.632	Wirtschaft
economy	0.583	0.434	0.771	Wirtschaft
ecosystem	0.729	0.259	0.633	Ökosystem
ecstasy	0.796	0.922	0.655	Ekstase
ecstatic	0.875	0.769	0.742	begeistert
ecumenical	0.561	0.450	0.547	ökumenisch
eddy	0.500	0.394	0.350	Wirbel
edema	0.250	0.519	0.318	Ödem
edge	0.439	0.470	0.468	Kante
edging	0.479	0.394	0.370	Kanten
edgy	0.281	0.895	0.306	nervös
edible	0.750	0.425	0.497	essbar
edict	0.316	0.547	0.560	Edikt
edification	0.625	0.481	0.697	Erbauung
edifice	0.551	0.403	0.610	Gebäude
edit	0.510	0.410	0.544	bearbeiten
editing	0.604	0.404	0.493	Bearbeitung
edition	0.542	0.455	0.564	Auflage
editor	0.772	0.431	0.673	Editor
editorial	0.583	0.330	0.570	redaktionell
educate	0.760	0.380	0.728	erziehen
educated	0.816	0.297	0.625	gebildet
education	0.896	0.275	0.840	Ausbildung
educational	0.745	0.457	0.764	lehrreich
educator	0.827	0.317	0.845	Erzieher
eeeek	0.367	0.540	0.349	eeeek
eeek	0.333	0.490	0.302	guck
eek	0.292	0.529	0.343	eh
eel	0.292	0.564	0.487	Aal
eerie	0.265	0.771	0.442	unheimlich
effect	0.570	0.518	0.608	Wirkung
effective	0.844	0.632	0.891	Wirksam
effectiveness	0.640	0.654	0.812	Wirksamkeit
effects	0.470	0.578	0.379	Auswirkungen
effectual	0.776	0.559	0.820	wirksam
effectually	0.724	0.500	0.594	wirksam
effectuate	0.510	0.602	0.679	bewirken
effeminate	0.337	0.619	0.291	weibisch
efficacious	0.823	0.698	0.845	wirksam
efficacy	0.802	0.490	0.906	Wirksamkeit
efficiency	0.802	0.509	0.892	Effizienz
efficient	0.959	0.604	0.830	effizient
effigy	0.510	0.440	0.401	Bildnis
effort	0.698	0.778	0.858	Anstrengung
effortless	0.626	0.090	0.352	mühelos
effusion	0.344	0.730	0.472	Erguss
effyou	0.354	0.529	0.490	effdu
egg	0.684	0.241	0.293	Ei
egghead	0.316	0.492	0.284	Egghead
eggnog	0.635	0.360	0.259	Eierlikör
eggplant	0.592	0.152	0.323	Aubergine
eggshell	0.408	0.269	0.212	Eierschale
ego	0.328	0.576	0.593	Ego
egomaniac	0.133	0.708	0.596	Egomane
egotistical	0.156	0.667	0.363	egoistisch
egregious	0.150	0.716	0.442	ungeheuerlich
egress	0.490	0.429	0.287	aussteigen
eight	0.540	0.199	0.315	acht
eighteen	0.523	0.340	0.404	achtzehn
eighth	0.531	0.226	0.380	achte
eighty	0.500	0.300	0.453	achtzig
ejaculate	0.604	0.896	0.604	ejakulieren
ejaculation	0.615	0.893	0.547	Ejakulation
eject	0.434	0.656	0.559	auswerfen
ejection	0.188	0.836	0.554	Auswurf
elaborate	0.561	0.367	0.680	erarbeiten
elaboration	0.708	0.500	0.598	Ausarbeitung
elan	0.562	0.367	0.500	Elan
elapse	0.514	0.440	0.455	verstreichen
elapsed	0.583	0.451	0.493	abgelaufen
elastic	0.656	0.518	0.385	elastisch
elasticity	0.635	0.452	0.582	Elastizität
elated	0.792	0.960	0.725	begeistert
elation	0.740	0.853	0.623	Begeisterung
elbow	0.448	0.133	0.254	Ellbogen
eld	0.471	0.292	0.451	Feld
elder	0.448	0.153	0.462	ältere
elders	0.602	0.260	0.441	Älteste
eldest	0.625	0.471	0.741	älteste
elect	0.667	0.554	0.661	wählen
election	0.625	0.519	0.651	Wahl
elective	0.612	0.380	0.623	wählbar
elector	0.479	0.520	0.766	Kurfürst
electoral	0.490	0.631	0.602	Wahl
electorate	0.560	0.380	0.696	Wählerschaft
electric	0.458	0.708	0.512	elektrisch
electric slide	0.542	0.660	0.536	elektrische Rutsche
electrical	0.531	0.620	0.688	elektrisch
electrician	0.449	0.590	0.620	Elektriker
electricity	0.698	0.810	0.733	Elektrizität
electrify	0.520	0.769	0.737	elektrifizieren
electrocute	0.271	0.731	0.555	Stromschlag
electrocution	0.177	0.844	0.692	Stromschlag
electromagnetic	0.531	0.632	0.683	elektromagnetisch
electron	0.520	0.455	0.560	Elektron
electronic	0.571	0.490	0.704	elektronisch
electronics	0.708	0.545	0.574	Elektronik
elegance	0.918	0.396	0.824	Eleganz
elegant	0.865	0.500	0.685	elegant
element	0.531	0.259	0.481	Element
elemental	0.627	0.306	0.711	elementar
elementary	0.594	0.286	0.686	elementar
elements	0.510	0.312	0.462	Elemente
elephant	0.531	0.510	0.615	Elefant
elevate	0.812	0.500	0.804	erheben
elevated	0.704	0.594	0.620	erhöht
elevation	0.760	0.759	0.711	Elevation
elevator	0.562	0.604	0.676	Aufzug
eleven	0.449	0.250	0.430	elf
eleventh	0.594	0.329	0.357	elfte
elf	0.460	0.457	0.315	Elf
elicit	0.406	0.594	0.658	entlocken
eligible	0.750	0.400	0.518	berechtigt
eliminate	0.265	0.670	0.324	beseitigen
elimination	0.052	0.667	0.431	Beseitigung
elite	0.688	0.704	0.737	Elite
elitist	0.500	0.606	0.656	elitär
elixir	0.708	0.587	0.604	Elixier
elk	0.439	0.337	0.340	Elch
ell	0.469	0.418	0.373	Ell
ellipse	0.531	0.410	0.479	Ellipse
ellipsis	0.653	0.358	0.314	Ellipse
ellipsoid	0.500	0.440	0.419	Ellipsoid
elliptic	0.500	0.431	0.528	elliptisch
elliptical	0.338	0.385	0.490	elliptisch
elm	0.510	0.345	0.321	Ulme
elongate	0.583	0.385	0.540	verlängern
elongation	0.561	0.500	0.500	Verlängerung
elope	0.396	0.694	0.528	durchbrennen
eloquence	0.729	0.490	0.804	Beredsamkeit
eloquent	0.870	0.680	0.741	beredt
elucidate	0.583	0.509	0.518	aufklären
elucidation	0.650	0.574	0.586	Aufklärung
elude	0.438	0.521	0.464	entgehen
elusive	0.229	0.615	0.466	schwer fassbar
emaciated	0.103	0.541	0.151	abgemagert
email	0.698	0.230	0.456	Email
emanate	0.653	0.464	0.554	ausgehen
emancipation	0.704	0.684	0.763	Emanzipation
embankment	0.677	0.438	0.436	Damm
embargo	0.229	0.564	0.443	Embargo
embark	0.541	0.550	0.619	einsteigen
embarrass	0.082	0.667	0.364	in Verlegenheit bringen
embarrassed	0.184	0.560	0.246	beschämt
embarrassing	0.226	0.809	0.225	peinlich
embarrassment	0.143	0.685	0.226	Verlegenheit
embassy	0.622	0.333	0.758	Botschaft
embattled	0.235	0.724	0.421	umkämpft
embed	0.417	0.554	0.670	einbetten
embellish	0.842	0.500	0.769	verschönern
embellishment	0.673	0.449	0.405	Verschönerung
embers	0.490	0.481	0.508	Glut
embezzlement	0.143	0.827	0.435	Unterschlagung
embezzler	0.146	0.823	0.491	Veruntreuer
emblem	0.640	0.330	0.754	Emblem
emblematic	0.771	0.459	0.798	emblematisch
embodiment	0.562	0.690	0.663	Verkörperung
embolism	0.104	0.660	0.302	Embolie
embossed	0.531	0.481	0.500	geprägt
embrace	0.949	0.490	0.452	Umarmung
embroidered	0.677	0.279	0.407	gestickt
embroidery	0.781	0.358	0.280	Stickerei
embroiled	0.337	0.721	0.420	verwickelt
embryo	0.673	0.469	0.453	Embryo
embryonic	0.573	0.453	0.598	embryonal
emcee	0.694	0.577	0.691	Moderator
emerald	0.740	0.363	0.726	Smaragd
emerge	0.602	0.594	0.731	auftauchen
emergence	0.276	0.857	0.676	Entstehung
emergency	0.200	0.900	0.571	Notfall
emeritus	0.633	0.402	0.735	Emeritus
emery	0.469	0.583	0.472	Schmirgel
emetophobia	0.243	0.620	0.403	Emetophobie
emigrate	0.356	0.812	0.508	auswandern
emigration	0.564	0.664	0.432	Auswanderung
eminence	0.816	0.644	0.837	Eminenz
eminent	0.740	0.620	0.830	herausragend
eminently	0.694	0.607	0.773	hervorragend
emir	0.510	0.396	0.621	Emir
emissary	0.562	0.462	0.636	Emissär
emission	0.510	0.453	0.591	Emission
emit	0.638	0.445	0.510	emittieren
emo	0.354	0.314	0.226	Emo
emotion	0.693	0.873	0.696	Emotion
emotional	0.779	0.714	0.526	emotional
emotive	0.917	0.741	0.525	emotional
empathic	0.760	0.570	0.558	empathisch
empathize	0.802	0.591	0.660	einfühlen
empathy	0.729	0.349	0.545	Empathie
emperor	0.651	0.704	0.962	Kaiser
emphasis	0.653	0.745	0.816	Hervorhebung
emphasize	0.510	0.605	0.769	betonen
emphatic	0.615	0.707	0.732	nachdrücklich
emphysema	0.156	0.556	0.336	Emphysem
empire	0.688	0.730	0.944	Reich
empirical	0.500	0.510	0.574	empirisch
empiricism	0.583	0.460	0.547	Empirismus
employ	0.729	0.481	0.702	beschäftigen
employee	0.582	0.361	0.481	Angestellter
employer	0.663	0.518	0.767	Arbeitgeber
employment	0.750	0.594	0.611	Beschäftigung
emporium	0.622	0.556	0.724	Emporium
empower	0.694	0.779	0.891	ermächtigen
empress	0.716	0.669	0.855	Kaiserin
emptiness	0.177	0.173	0.184	Leere
emption	0.570	0.406	0.458	Befreiung
empty	0.188	0.183	0.081	leer
emu	0.420	0.358	0.330	Emu
emulate	0.438	0.340	0.549	emulieren, nacheifern
emulsion	0.562	0.431	0.453	Emulsion
enable	0.760	0.491	0.782	ermöglichen
enablement	0.600	0.451	0.750	Befähigung
enact	0.680	0.564	0.598	erlassen
enactment	0.667	0.612	0.769	Erlass
enamel	0.594	0.280	0.306	Emaille
encampment	0.677	0.573	0.605	Lager
enchant	0.873	0.650	0.643	verzaubern
enchanted	0.917	0.633	0.687	verzaubert
enchanting	0.917	0.681	0.708	zauberhaft
enchantment	0.816	0.775	0.647	Verzauberung
enchantress	0.398	0.663	0.479	Zauberin
enchilada	0.542	0.553	0.371	Enchilada
encircle	0.460	0.500	0.519	umgeben
encircling	0.510	0.368	0.557	umkreisen
enclave	0.531	0.333	0.580	Enklave
enclose	0.531	0.477	0.473	beifügen
enclosure	0.417	0.375	0.490	Gehege
encode	0.490	0.500	0.734	kodieren
encomiastic	0.541	0.500	0.670	encomiastisch
encomium	0.541	0.451	0.519	Lobrede
encompass	0.520	0.298	0.661	umfassen
encore	0.510	0.423	0.500	Zugabe
encounter	0.865	0.702	0.689	begegnen
encourage	0.896	0.580	0.704	ermutigen
encouraged	0.953	0.702	0.657	ermutigte
encouragement	0.865	0.700	0.759	Ermutigung
encouraging	0.823	0.583	0.755	ermutigend
encroach	0.302	0.742	0.702	übergreifen
encroachment	0.255	0.736	0.620	Eingriff
encrypt	0.500	0.387	0.500	Verschlüsseln
encryption	0.547	0.415	0.474	Verschlüsselung
encumbrance	0.300	0.521	0.480	Belastung
encyclopedia	0.679	0.320	0.645	Enzyklopädie
end	0.198	0.349	0.298	Ende
end table	0.541	0.480	0.482	Beistelltisch
endanger	0.115	0.885	0.404	gefährden
endangered	0.083	0.885	0.430	gefährdet
endangerment	0.167	0.873	0.519	Gefährdung
endearing	0.663	0.434	0.604	liebenswert
endeavor	0.677	0.755	0.765	bemühen
ended	0.302	0.500	0.500	beendet
endemic	0.406	0.480	0.483	endemisch
endgame	0.449	0.538	0.526	Endspiel
ending	0.344	0.365	0.492	Ende
endless	0.347	0.462	0.472	endlos
endocarditis	0.235	0.587	0.412	Endokarditis
endorse	0.592	0.392	0.472	befürworten
endorsement	0.834	0.360	0.611	Billigung
endow	0.684	0.398	0.609	schenken
endowed	0.755	0.510	0.769	ausgestattet
endowment	0.685	0.578	0.647	Ausstattung
endpapers	0.542	0.400	0.339	Vorsatz
endpoint	0.311	0.410	0.448	Endpunkt
endurance	0.592	0.745	0.760	Ausdauer
endure	0.320	0.610	0.574	ertragen
enduring	0.633	0.459	0.768	dauerhaft
enema	0.281	0.673	0.268	Einlauf
enemy	0.135	0.794	0.591	Feind
energetic	0.847	0.868	0.902	energisch
energize	0.792	0.810	0.875	energetisieren
energy	0.944	0.725	0.868	Energie
enforce	0.583	0.644	0.836	erzwingen
enforcement	0.594	0.571	0.736	Durchsetzung
enforcer	0.398	0.612	0.639	Vollstrecker
engage	0.771	0.796	0.713	engagieren
engaged	0.837	0.596	0.849	verlobt
engagement	0.906	0.587	0.807	Engagement
engaging	0.948	0.612	0.862	einnehmend
engender	0.561	0.741	0.688	erzeugen
engine	0.615	0.644	0.676	Motor
engineer	0.719	0.500	0.875	Techniker
engineering	0.735	0.471	0.836	Ingenieurwesen
engrave	0.486	0.442	0.517	gravieren
engraved	0.542	0.375	0.473	graviert
engraver	0.552	0.417	0.500	Graveur
engraving	0.604	0.430	0.442	Gravur
engrossed	0.541	0.471	0.304	vertieft
engrossing	0.698	0.702	0.750	fesselnd
engulf	0.398	0.573	0.500	verschlingen
enhance	0.802	0.578	0.814	erweitern
enhancement	0.877	0.490	0.741	Erweiterung
enigma	0.513	0.700	0.500	Rätsel
enigmatic	0.469	0.589	0.679	rätselhaft
enjoin	0.594	0.454	0.732	befehlen
enjoy	0.959	0.725	0.750	Viel Spaß
enjoyable	1.000	0.481	0.605	angenehm
enjoying	0.908	0.759	0.759	genießen
enjoyment	0.930	0.612	0.716	Vergnügen
enlarge	0.735	0.606	0.688	vergrößern
enlarged	0.673	0.490	0.518	vergrößert
