English Word	Valence	Arousal	Dominance	Latvian Word
detainee	0.306	0.510	0.321	aizturētais
detect	0.531	0.520	0.565	atklāt
detectable	0.479	0.539	0.649	nosakāms
detection	0.708	0.567	0.538	atklāšana
detective	0.500	0.764	0.901	detektīvs
detector	0.459	0.630	0.724	detektors
detention	0.265	0.698	0.562	aizturēšana
deter	0.344	0.537	0.567	atturēt
detergent	0.458	0.304	0.426	mazgāšanas līdzeklis
deteriorate	0.083	0.471	0.202	pasliktināties
deteriorated	0.053	0.549	0.237	pasliktinājies
deteriorating	0.104	0.459	0.112	pasliktinās
deterioration	0.130	0.512	0.283	pasliktināšanās
determinable	0.625	0.565	0.723	nosakāms
determinate	0.630	0.314	0.772	apņēmīgs
determination	0.776	0.725	0.795	apņēmība
determine	0.612	0.368	0.776	noteikt
determined	0.760	0.528	0.673	noteikts
deterrent	0.292	0.461	0.385	atturošs līdzeklis
detest	0.083	0.800	0.492	ienīst
detestation	0.177	0.637	0.412	riebums
detonate	0.375	0.850	0.696	detonēt
detonation	0.167	0.931	0.741	detonācija
detonator	0.207	0.875	0.750	detonators
detour	0.398	0.539	0.309	apvedceļš
detract	0.344	0.438	0.368	mazināt
detriment	0.281	0.538	0.263	kaitējums
detrimental	0.203	0.679	0.387	kaitīgs
detritus	0.276	0.353	0.363	detrīts
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	Vācijas marka
devalued	0.321	0.462	0.212	devalvēts
devastate	0.021	0.796	0.509	izpostīt
devastated	0.120	0.544	0.264	izpostīta
devastating	0.104	0.856	0.419	postoši
devastation	0.090	0.904	0.472	postījumi
develop	0.771	0.670	0.821	attīstīties
developer	0.844	0.653	0.864	izstrādātājs
developing	0.833	0.587	0.714	attīstot
development	0.827	0.500	0.796	attīstību
deviant	0.094	0.589	0.398	novirzes
deviate	0.173	0.562	0.269	novirzīties
deviating	0.354	0.634	0.536	novirzoties
deviation	0.105	0.513	0.336	novirze
device	0.562	0.404	0.627	ierīci
devil	0.161	0.900	0.611	velns
deviled	0.347	0.559	0.358	velnišķīgs
devilish	0.073	0.865	0.490	velnišķīgs
devious	0.250	0.519	0.259	viltīgs
devise	0.551	0.557	0.670	izdomāt
devoid	0.219	0.436	0.300	trūkst
devolution	0.345	0.434	0.425	decentralizācija
devolve	0.367	0.427	0.596	nodot
devote	0.802	0.490	0.642	veltīt
devoted	0.867	0.320	0.698	veltīts
devotee	0.816	0.461	0.577	bhakta
devotion	0.802	0.561	0.673	nodošanās
devotional	0.740	0.394	0.655	garīgi
devour	0.344	0.888	0.574	aprīt
devout	0.620	0.357	0.464	dievbijīgs
dew	0.604	0.225	0.464	rasa
dexter	0.458	0.473	0.444	deksteris
dexterity	0.771	0.673	0.864	veiklība
dextrose	0.333	0.402	0.323	dekstroze
diabetes	0.051	0.472	0.279	cukura diabēts
diabetic	0.125	0.269	0.237	diabētiķis
diabolical	0.102	0.912	0.456	velnišķīgs
diagnose	0.378	0.520	0.714	diagnosticēt
diagnosis	0.571	0.500	0.819	diagnoze
diagnostic	0.417	0.483	0.635	diagnostika
diagnostics	0.540	0.440	0.750	diagnostika
diagonal	0.500	0.343	0.410	diagonāli
diagram	0.562	0.357	0.445	diagramma
dial	0.620	0.427	0.596	ciparnīca
dialect	0.635	0.422	0.526	dialekts
dialectic	0.510	0.540	0.638	dialektika
dialogue	0.599	0.441	0.625	dialogs
dialysis	0.194	0.567	0.407	dialīze
diameter	0.427	0.298	0.483	diametrs
diamond	0.910	0.606	0.769	dimants
diamonds	0.927	0.684	0.917	dimanti
diaper	0.409	0.274	0.155	autiņš
diaphragm	0.459	0.337	0.517	diafragma
diarrhea	0.092	0.684	0.143	caureja
diarrhoea	0.038	0.692	0.250	caureja
diary	0.698	0.292	0.464	dienasgrāmata
diatribe	0.354	0.569	0.409	diatribe
dib	0.479	0.370	0.344	dib
dibs	0.510	0.410	0.391	dibs
dice	0.458	0.441	0.264	kauliņi
dicey	0.290	0.833	0.727	dicey
dichotomous	0.365	0.452	0.538	divkosīgs
dichotomy	0.323	0.482	0.483	dihotomija
dick	0.208	0.500	0.462	penis
dickhead	0.115	0.608	0.284	dickhead
dicks	0.310	0.694	0.358	penis
dictate	0.480	0.423	0.668	diktēt
dictation	0.255	0.378	0.627	diktāts
dictator	0.073	0.760	0.862	diktators
dictatorial	0.204	0.770	0.840	diktatorisks
dictatorship	0.082	0.806	0.784	diktatūra
diction	0.439	0.373	0.679	dikcija
dictionary	0.620	0.250	0.598	vārdnīca
dictum	0.385	0.510	0.528	diktāts
didactic	0.645	0.480	0.673	didaktisks
diddle	0.429	0.566	0.393	izklaidēties
die	0.031	0.765	0.259	mirt
died	0.021	0.650	0.327	nomira
diesel	0.490	0.327	0.448	dīzeļdegviela
diet	0.429	0.235	0.398	diēta
dietary	0.551	0.220	0.261	diētisks
differ	0.230	0.398	0.396	atšķiras
difference	0.474	0.560	0.483	atšķirība
differences	0.365	0.582	0.342	atšķirības
different	0.612	0.394	0.473	savādāk
differential	0.520	0.378	0.535	diferenciālis
differentiation	0.367	0.561	0.535	diferenciācija
differently	0.480	0.431	0.506	savādāk
differing	0.418	0.410	0.455	atšķiras
difficult	0.235	0.700	0.508	grūti
difficulties	0.082	0.784	0.357	grūtības
difficulty	0.079	0.740	0.368	grūtības
diffuse	0.430	0.431	0.321	izkliedēts
diffusion	0.356	0.615	0.517	difūzija
dig	0.367	0.585	0.637	izrakt
digest	0.720	0.413	0.483	sagremot
digestion	0.531	0.410	0.455	gremošanu
digestive	0.542	0.413	0.434	gremošanas
digit	0.447	0.286	0.333	cipars
digital	0.740	0.382	0.529	digitāls
dignified	0.766	0.481	0.635	cienīgs
dignify	0.854	0.588	0.735	cienīt
dignity	0.844	0.391	0.873	cieņu
digress	0.271	0.625	0.411	novirzīties
digs	0.448	0.670	0.635	rok
dike	0.360	0.384	0.490	dambis
dilapidated	0.229	0.618	0.286	noplucis
dilatation	0.385	0.574	0.368	dilatācija
dilation	0.347	0.490	0.578	paplašināšanās
dildo	0.536	0.587	0.491	dildo
dilemma	0.153	0.590	0.430	dilemma
diligence	0.688	0.423	0.700	centība
diligent	0.760	0.426	0.759	centīgs
dill	0.427	0.360	0.373	dilles
diluent	0.417	0.344	0.332	šķīdinātājs
dilute	0.275	0.192	0.349	atšķaidīt
diluted	0.469	0.310	0.229	atšķaidīts
dilution	0.445	0.337	0.352	atšķaidīšana
dim	0.398	0.321	0.273	blāvs
dime	0.653	0.317	0.345	dimetānnaftalīns
dimension	0.592	0.415	0.627	dimensiju
dimensional	0.561	0.484	0.596	dimensiju
diminish	0.240	0.357	0.167	samazināties
diminished	0.156	0.269	0.196	samazināts
diminution	0.316	0.296	0.245	samazināšanās
diminutive	0.323	0.200	0.109	deminutīvs
dimwit	0.255	0.459	0.175	vājprātīgs
din	0.440	0.417	0.398	din
dine	0.821	0.519	0.478	pusdienot
diner	0.643	0.302	0.538	ēdnīca
dinghy	0.510	0.269	0.325	laiva
dingo	0.608	0.472	0.346	dingo
dingy	0.156	0.483	0.343	netīrs
dining	0.724	0.350	0.459	ēdināšana
dinky	0.357	0.451	0.358	duļķains
dinner	0.823	0.392	0.379	vakariņas
dinnertime	0.796	0.406	0.341	vakariņu laiks
dinosaur	0.448	0.630	0.596	dinozaurs
dint	0.378	0.480	0.492	dint
diocesan	0.520	0.283	0.518	diecēze
diocese	0.510	0.288	0.575	diecēze
diorama	0.592	0.441	0.462	diorāma
dioxide	0.354	0.433	0.456	dioksīds
dip	0.516	0.583	0.397	iemērkšana
diploma	0.750	0.462	0.731	diploms
diplomacy	0.740	0.396	0.774	diplomātiju
diplomat	0.563	0.262	0.868	diplomāts
diplomatic	0.653	0.363	0.918	diplomātisks
dipper	0.548	0.361	0.348	lācis
dippy	0.430	0.402	0.340	dippy
dipstick	0.365	0.312	0.316	mērstieni
dire	0.214	0.660	0.259	šausmīgi
direct	0.793	0.403	0.650	tiešā veidā
directed	0.542	0.490	0.541	režisēts
direction	0.719	0.330	0.684	virziens
directive	0.604	0.530	0.918	direktīva
directly	0.747	0.400	0.702	tieši
director	0.688	0.580	0.912	direktors
directory	0.439	0.413	0.538	direktoriju
dirt	0.112	0.500	0.236	netīrumi
dirty	0.153	0.460	0.170	netīrs
disability	0.073	0.482	0.173	invaliditāte
disable	0.115	0.430	0.269	atspējot
disabled	0.308	0.443	0.235	invalīds
disadvantage	0.150	0.377	0.282	trūkums
disaffected	0.176	0.410	0.291	neapmierināts
disagree	0.133	0.590	0.345	nepiekrītu
disagreeable	0.042	0.643	0.178	nepatīkams
disagreeing	0.255	0.643	0.350	nepiekrītot
disagreement	0.104	0.618	0.236	nesaskaņas
disallow	0.156	0.519	0.424	neatļaut
disallowed	0.135	0.500	0.328	nav atļauts
disapointment	0.104	0.418	0.231	vilšanās
disappear	0.143	0.441	0.350	pazust
disappearance	0.214	0.698	0.367	pazušana
disappearing	0.167	0.427	0.379	pazūd
disappoint	0.150	0.633	0.288	vilties
disappointed	0.071	0.472	0.241	vīlušies
disappointing	0.073	0.640	0.200	vilšanos
disappointment	0.115	0.490	0.336	vilšanās
disapproval	0.085	0.551	0.367	nepiekrišanu
disapprove	0.160	0.594	0.445	neapstiprināt
disapproved	0.104	0.550	0.114	noraidīts
disapproving	0.245	0.625	0.452	noraidoši
disarm	0.292	0.528	0.613	atbruņot
disarray	0.198	0.657	0.223	nesakārtotība
disaster	0.082	0.892	0.433	katastrofa
disastrous	0.071	0.741	0.439	postošs
disband	0.302	0.491	0.417	izformēt
disbelief	0.188	0.409	0.373	neticība
disbelieve	0.188	0.441	0.352	neticēt
disburse	0.418	0.473	0.353	izmaksāt
disbursement	0.240	0.443	0.435	izmaksu
disc	0.622	0.410	0.426	disku
discard	0.240	0.343	0.337	izmest
discarded	0.229	0.460	0.308	izmesti
discards	0.240	0.464	0.391	izmet
discern	0.459	0.566	0.518	saskatīt
discernible	0.427	0.441	0.481	saskatāms
discerning	0.542	0.584	0.780	zinošs
discernment	0.408	0.471	0.694	izšķirtspēja
discharge	0.427	0.538	0.578	izlāde
disciple	0.765	0.385	0.462	māceklis
disciplinary	0.562	0.593	0.796	disciplinārs
discipline	0.615	0.471	0.806	disciplīna
disciplined	0.728	0.450	0.750	disciplinēti
disclaim	0.235	0.509	0.321	atteikties
disclaimer	0.367	0.571	0.542	atruna
disclose	0.490	0.570	0.545	atklāt
disclosed	0.271	0.575	0.546	atklāts
disclosure	0.500	0.615	0.710	atklāšana
disco	0.710	0.806	0.575	diskotēka
discoloration	0.224	0.373	0.414	krāsas maiņa
discolored	0.204	0.340	0.269	mainījusi krāsu
discomfort	0.153	0.719	0.272	diskomfortu
disconcerted	0.100	0.612	0.288	neizpratnē
disconcerting	0.106	0.549	0.269	satraucošs
disconnect	0.438	0.292	0.191	atvienot
disconnected	0.292	0.276	0.173	atvienots
disconnection	0.167	0.283	0.277	atvienošana
disconnects	0.256	0.357	0.241	atvienojas
discontent	0.240	0.530	0.263	neapmierinātība
discontinuance	0.123	0.741	0.337	pārtraukšana
discontinue	0.354	0.396	0.349	pārtraukt
discontinuity	0.303	0.439	0.250	pārtraukums
discontinuous	0.233	0.409	0.316	pārtraukta
discord	0.115	0.882	0.465	nesaskaņas
discount	0.724	0.530	0.302	atlaide
discounted	0.677	0.471	0.430	atlaides
discourage	0.184	0.443	0.267	atturēt
discouraged	0.220	0.304	0.090	mazdūšīgi
discouragement	0.112	0.319	0.206	mazdūšība
discouraging	0.167	0.469	0.281	atturoši
discourse	0.410	0.550	0.803	diskurss
discover	0.771	0.793	0.673	atklāt
discovery	0.823	0.627	0.814	atklājums
discredit	0.075	0.529	0.355	diskreditēt
discredited	0.112	0.491	0.182	diskreditēts
discreet	0.552	0.216	0.532	diskrēts
discrepancy	0.260	0.643	0.417	neatbilstība
discrete	0.585	0.231	0.429	diskrēts
discretion	0.552	0.320	0.685	rīcības brīvība
discretionary	0.520	0.365	0.446	diskrecionārs
discriminate	0.125	0.761	0.366	diskriminēt
discriminating	0.160	0.783	0.462	diskriminējoša
discrimination	0.051	0.724	0.379	diskriminācija
discus	0.542	0.423	0.343	disks
discuss	0.396	0.769	0.509	apspriest
discussion	0.333	0.842	0.536	diskusija
disdain	0.153	0.446	0.441	nicinājums
disdainful	0.097	0.480	0.263	nievājošs
disease	0.041	0.539	0.333	slimība
diseased	0.123	0.510	0.134	slims
disembodied	0.167	0.620	0.412	bezķermeņa
disengage	0.406	0.529	0.304	atvienot
disengagement	0.327	0.373	0.395	atslēgšanās
disfigured	0.153	0.613	0.336	izkropļots
disgrace	0.061	0.531	0.331	negods
disgraced	0.071	0.661	0.250	apkaunots
disgraceful	0.082	0.702	0.240	apkaunojoši
disgruntled	0.104	0.658	0.442	neapmierināts
disguise	0.573	0.694	0.431	maskēties
disguised	0.500	0.615	0.326	maskējies
disgust	0.052	0.775	0.317	riebums
disgusted	0.051	0.773	0.274	riebjas
disgusting	0.031	0.796	0.245	pretīgi
dish	0.552	0.255	0.264	ēdiens
disheartened	0.153	0.343	0.238	izmisuši
disheartening	0.010	0.353	0.224	nomācoši
dishonest	0.191	0.491	0.163	negodīgi
dishonesty	0.094	0.592	0.348	negodīgums
dishonor	0.104	0.620	0.185	negods
dishonorable	0.112	0.641	0.280	negodīgi
dishwasher	0.480	0.296	0.324	trauku mazgājamā mašīna
disillusionment	0.051	0.519	0.190	vilšanās
disinclination	0.125	0.491	0.330	nevēlēšanās
disincline	0.458	0.454	0.278	nevēlēties
disinclined	0.385	0.442	0.364	neapmierināts
disinfect	0.448	0.388	0.648	dezinficēt
disinfectant	0.531	0.429	0.460	dezinfekcijas līdzeklis
disinfection	0.517	0.556	0.473	dezinfekcija
disinformation	0.230	0.577	0.260	dezinformācija
disingenuous	0.194	0.509	0.204	nekrietns
disintegrate	0.143	0.660	0.364	sadalīties
disintegration	0.094	0.551	0.381	sadalīšanās
disinterested	0.398	0.284	0.392	neieinteresēts
disjoint	0.351	0.385	0.322	nesavienots
disjointed	0.323	0.518	0.365	nesavienots
disjunctive	0.286	0.481	0.400	disjunktīvs
disk	0.573	0.423	0.412	disks
diskette	0.531	0.255	0.391	disketi
dislike	0.156	0.406	0.321	nepatika
disliked	0.062	0.510	0.221	nepatika
disliking	0.163	0.637	0.366	nepatika
dislocated	0.125	0.625	0.200	izmežģīju
dislocation	0.229	0.565	0.373	dislokācija
dislodge	0.214	0.769	0.356	izspiest
disloyal	0.062	0.582	0.245	nelojāli
disloyalty	0.187	0.716	0.267	nelojalitāte
dismal	0.194	0.450	0.192	drūms
dismantle	0.347	0.644	0.462	demontēt
dismay	0.314	0.681	0.459	izbailes
dismayed	0.165	0.735	0.389	satraukts
dismemberment	0.104	0.860	0.470	sadalīšana
dismiss	0.167	0.541	0.509	atlaist
dismissal	0.153	0.723	0.271	atlaišana
dismissive	0.188	0.541	0.430	noraidošs
dismount	0.361	0.423	0.391	nokāpt
disobedience	0.051	0.868	0.369	nepaklausība
disobedient	0.276	0.706	0.353	nepaklausīgs
disobey	0.143	0.556	0.491	nepaklausīt
disorder	0.115	0.816	0.218	traucējumi
disordered	0.210	0.714	0.288	nesakārtots
disorderly	0.188	0.748	0.385	nesakārtots
disorganized	0.052	0.507	0.184	neorganizēts
disorientation	0.163	0.472	0.212	dezorientācija
disoriented	0.227	0.643	0.227	dezorientēts
disown	0.153	0.637	0.368	atteikties
disparage	0.092	0.663	0.336	noniecināt
disparaging	0.102	0.626	0.411	nievājoši
disparate	0.438	0.500	0.368	atšķirīgi
disparity	0.208	0.482	0.361	nevienlīdzība
dispassionate	0.199	0.217	0.218	bezkaislīgs
dispatch	0.317	0.417	0.555	nosūtīšana
dispatcher	0.365	0.704	0.652	dispečers
dispel	0.388	0.402	0.411	kliedēt
dispensary	0.406	0.380	0.606	ambulance
dispensation	0.388	0.462	0.490	dispensācija
dispense	0.561	0.520	0.518	izdalīt
dispenser	0.583	0.392	0.470	dozators
dispersal	0.388	0.507	0.421	izkliedēšana
disperse	0.375	0.569	0.434	izklīst
dispersed	0.344	0.490	0.274	izkliedēts
dispersion	0.270	0.604	0.350	dispersija
dispirited	0.204	0.280	0.142	satracināts
displace	0.424	0.541	0.454	izspiest
displaced	0.281	0.472	0.291	pārvietoti
displacement	0.276	0.531	0.481	pārvietošanās
displacency	0.500	0.528	0.642	pārvietošanās
display	0.677	0.325	0.400	displejs
displease	0.021	0.702	0.286	nepatika
displeased	0.135	0.690	0.400	neapmierināts
displeasure	0.115	0.559	0.250	nepatiku
disposable	0.271	0.439	0.250	vienreizējās lietošanas
disposal	0.135	0.608	0.396	iznīcināšana
dispose	0.548	0.538	0.559	atbrīvoties
disposed	0.688	0.441	0.625	likvidēts
disposition	0.663	0.542	0.734	dispozīcija
dispossessed	0.354	0.577	0.331	atņemts
disprove	0.375	0.625	0.613	atspēkot
dispute	0.219	0.750	0.585	strīds
disqualification	0.066	0.677	0.330	diskvalifikācija
disqualified	0.129	0.464	0.232	diskvalificēts
disqualify	0.208	0.595	0.267	diskvalificēt
disquieted	0.229	0.850	0.290	satraukts
disregard	0.177	0.647	0.308	neievērošana
disregarded	0.260	0.458	0.283	neievērots
disrelish	0.375	0.471	0.304	nepatika
disreputable	0.104	0.688	0.353	neslavas cienīgs
disrepute	0.208	0.630	0.292	neslavu
disrespect	0.062	0.637	0.302	necieņa
disrespectful	0.031	0.694	0.273	necieņu
disrupt	0.265	0.640	0.349	pārtraukt
disrupting	0.186	0.557	0.339	traucējoši
disruption	0.235	0.735	0.436	traucējumus
disruptive	0.255	0.755	0.575	traucējošs
dissatisfaction	0.115	0.663	0.202	neapmierinātību
dissatisfied	0.042	0.561	0.291	neapmierināts
dissect	0.367	0.750	0.595	preparēt
dissection	0.276	0.632	0.462	preparēšana
disseminate	0.562	0.608	0.750	izplatīt
dissemination	0.476	0.551	0.583	izplatīšanu
dissension	0.250	0.618	0.414	nesaskaņas
dissent	0.300	0.655	0.407	domstarpības
dissenting	0.208	0.552	0.366	domstarpības
dissertation	0.312	0.575	0.575	disertācija
disservice	0.250	0.794	0.480	ļaundarība
dissident	0.350	0.582	0.413	disidents
dissimilar	0.276	0.461	0.472	nelīdzīgs
dissipate	0.385	0.368	0.355	izkliedēt
dissipated	0.281	0.421	0.231	izkliedēta
dissociation	0.135	0.555	0.471	disociācija
dissociative	0.281	0.615	0.397	disociatīvs
dissolution	0.204	0.464	0.349	izšķīšana
dissolve	0.271	0.490	0.410	izšķīst
dissonance	0.173	0.471	0.336	disonanse
dissuade	0.482	0.500	0.350	atturēt
distal	0.410	0.401	0.438	distālais
distance	0.233	0.317	0.418	attālums
distant	0.229	0.324	0.269	tālu
distaste	0.184	0.625	0.370	nepatika
distasteful	0.264	0.676	0.222	pretīgi
distillate	0.500	0.347	0.382	destilāts
distillation	0.396	0.436	0.575	destilācija
distilled	0.427	0.573	0.500	destilēts
distinct	0.542	0.578	0.509	atšķiras
distinction	0.584	0.571	0.750	atšķirība
distinctive	0.885	0.520	0.604	īpatnējs
distinguish	0.675	0.471	0.600	atšķirt
distinguishable	0.635	0.530	0.727	atšķirami
distinguished	0.823	0.593	0.759	izcili
distinguishing	0.622	0.363	0.640	atšķirt
distort	0.100	0.740	0.366	izkropļot
distorted	0.250	0.521	0.280	sagrozīts
distortion	0.299	0.570	0.380	izkropļojumu
distract	0.241	0.609	0.336	novērst uzmanību
distracted	0.194	0.392	0.213	apjucis
distracting	0.445	0.583	0.400	novērš uzmanību
distraction	0.402	0.557	0.390	novērst uzmanību
distraught	0.115	0.903	0.264	satraukts
distress	0.073	0.840	0.396	ciešanas
distressed	0.143	0.771	0.324	noskumuši
distressing	0.075	0.750	0.375	satraucoša
distribute	0.643	0.596	0.709	izplatīt
distribution	0.635	0.548	0.788	izplatīšana
distributor	0.702	0.447	0.718	izplatītājs
district	0.438	0.327	0.660	apgabals
distrust	0.060	0.670	0.276	neuzticēšanās
disturb	0.175	0.760	0.481	traucēt
disturbance	0.146	0.907	0.404	traucējums
disturbed	0.125	0.870	0.305	traucēta
disturbing	0.146	0.792	0.439	satraucoši
disuse	0.229	0.229	0.202	neizmantošana
disused	0.250	0.302	0.186	neizmantota
ditch	0.357	0.364	0.322	grāvis
ditto	0.449	0.418	0.411	tāpat
ditty	0.470	0.433	0.334	ditty
diurnal	0.714	0.296	0.443	diennakts
diva	0.660	0.657	0.596	dīva
divan	0.750	0.202	0.262	dīvāns
dive	0.583	0.531	0.500	nirt
diver	0.594	0.520	0.564	ūdenslīdējs
diverge	0.375	0.657	0.520	atšķirties
divergence	0.429	0.615	0.687	diverģence
divergent	0.449	0.660	0.587	atšķiras
diverging	0.417	0.613	0.573	atšķiras
divers	0.583	0.580	0.602	ūdenslīdēji
diverse	0.562	0.519	0.604	daudzveidīgs
diversified	0.602	0.538	0.549	dažādots
diversify	0.656	0.588	0.464	dažādot
diversion	0.740	0.821	0.714	novirzīšanās
diversionary	0.551	0.587	0.300	novirzošs
diversity	0.806	0.472	0.711	dažādība
divert	0.344	0.622	0.407	novirzīt
diverting	0.396	0.571	0.537	novirzīšana
divest	0.365	0.547	0.424	nodalīt
divested	0.333	0.449	0.311	atsavināts
divestment	0.302	0.509	0.382	atsavināšana
divide	0.333	0.520	0.417	sadalīt
divided	0.271	0.623	0.391	sadalīts
dividend	0.583	0.491	0.566	dalāmais
divination	0.500	0.650	0.545	zīlēšana
divine	0.918	0.571	0.885	dievišķs
divinity	0.896	0.559	0.774	dievišķums
divisible	0.323	0.462	0.411	dalāms
division	0.370	0.481	0.472	nodaļa
divisor	0.344	0.517	0.455	dalītājs
divorce	0.042	0.700	0.385	šķiršanās
divorcee	0.153	0.610	0.481	šķirtais
divulge	0.531	0.718	0.467	izpaust
divvy	0.351	0.462	0.429	divvy
dizziness	0.229	0.555	0.254	reibonis
dizzy	0.199	0.582	0.193	reibst galva
do	0.670	0.548	0.536	darīt
doable	0.760	0.404	0.675	izdarāms
doc	0.458	0.317	0.392	doc
docile	0.604	0.259	0.264	paklausīgs
dock	0.490	0.409	0.481	doks
docked	0.281	0.754	0.398	pieslēgts
docket	0.505	0.509	0.607	dokuments
docking	0.354	0.596	0.587	dokstacija
doctor	0.700	0.531	0.861	ārsts
doctorate	0.776	0.479	0.841	doktora grāds
doctrinal	0.510	0.373	0.673	doktrināls
doctrine	0.500	0.394	0.769	doktrīna
document	0.594	0.240	0.667	dokumentu
documentary	0.622	0.213	0.596	dokumentālā filma
documentation	0.719	0.290	0.667	dokumentācija
documents	0.530	0.250	0.587	dokumentus
dodge	0.333	0.760	0.509	izvairīties
dodger	0.427	0.454	0.490	krāpnieks
dodging	0.396	0.654	0.382	izvairoties
dodgy	0.281	0.510	0.254	asprātīgs
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	stirna
doer	0.724	0.550	0.728	darītājs
dog	0.704	0.500	0.407	suns
dogface	0.219	0.470	0.264	suņa seja
dogged	0.255	0.750	0.594	neatlaidīgs
doggy	0.646	0.491	0.404	sunītis
doghouse	0.438	0.417	0.340	suņu būda
dogma	0.530	0.460	0.719	dogma
dogmatic	0.448	0.520	0.654	dogmatisks
dogsick	0.571	0.490	0.377	suns slims
doings	0.604	0.491	0.705	darīšanas
doit	0.500	0.519	0.392	darīt
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	mazums
dole	0.448	0.402	0.348	dole
doll	0.729	0.321	0.330	lelle
dollar	0.755	0.632	0.694	dolāru
dollhouse	0.643	0.245	0.363	leļļu namiņš
dolor	0.167	0.635	0.375	smarža
dolphin	0.776	0.350	0.414	delfīns
domain	0.573	0.549	0.828	domēns
dome	0.620	0.398	0.509	kupols
domestic	0.729	0.327	0.500	iekšzemes
domesticated	0.635	0.360	0.294	pieradināts
domestication	0.594	0.390	0.435	pieradināšana
domicile	0.604	0.292	0.529	dzīvesvieta
domiciled	0.542	0.340	0.516	domicils
dominance	0.542	0.775	0.839	dominējošo stāvokli
dominant	0.406	0.854	0.893	dominējošs
dominate	0.439	0.814	0.953	dominēt
dominating	0.427	0.769	0.902	dominējošs
domination	0.505	0.786	0.959	dominēšana
dominatrix	0.390	0.727	0.709	dominatrix
dominion	0.542	0.704	0.890	valdīšana
domino	0.594	0.510	0.473	domino
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	ziedot
donation	0.792	0.398	0.602	ziedojums
donkey	0.406	0.367	0.245	ēzelis
donor	0.714	0.490	0.653	donors
dontlikeyou	0.055	0.500	0.282	tev nepatīk
dontmess	0.396	0.482	0.440	dontmess
dontmesswithme	0.312	0.635	0.440	nejauciet mani
dontpanic	0.469	0.465	0.425	neļauties panikai
dontunderstand	0.219	0.357	0.271	nesaprotu
doodle	0.604	0.402	0.376	doodle
doom	0.073	0.750	0.442	liktenis
doomed	0.041	0.755	0.301	nolemts
doomsday	0.125	0.861	0.670	pastardiena
door	0.549	0.189	0.421	durvis
doorbell	0.564	0.500	0.307	durvju zvans
doorknob	0.406	0.553	0.462	durvju rokturis
doorman	0.570	0.371	0.491	durvju sargs
doormat	0.458	0.269	0.267	kājslauķis
doornail	0.459	0.370	0.423	durvju nagla
doorstep	0.531	0.274	0.391	slieksnis
doorway	0.573	0.304	0.496	durvju aile
dopamine	0.548	0.469	0.426	dopamīns
dope	0.295	0.855	0.425	dopings
dopey	0.320	0.380	0.365	apdullināts
dork	0.272	0.519	0.361	muļķis
dorky	0.302	0.480	0.390	drūms
dorm	0.719	0.194	0.327	kopmītnes
dormant	0.385	0.245	0.245	snaudošs
dormitory	0.633	0.204	0.382	kopmītne
dorsal	0.449	0.360	0.445	muguras
dosage	0.344	0.450	0.490	devu
dose	0.458	0.490	0.427	devu
dossier	0.357	0.380	0.544	dosjē
dot	0.434	0.290	0.391	punkts
doting	0.888	0.415	0.426	doting
dotted	0.480	0.347	0.426	punktēts
dotty	0.375	0.402	0.393	punktveida
double	0.677	0.378	0.569	dubultā
doubled	0.427	0.536	0.560	dubultojies
doublet	0.420	0.431	0.500	dublets
doubling	0.459	0.452	0.464	dubultošana
doubt	0.395	0.351	0.231	šaubīties
doubtful	0.250	0.465	0.241	šaubīgi
doubting	0.224	0.560	0.189	šauboties
doubtless	0.688	0.415	0.689	bez šaubām
doubts	0.306	0.448	0.305	šaubas
douche	0.490	0.413	0.397	duša
douchebags	0.327	0.587	0.366	dusmas
dough	0.588	0.229	0.391	mīklu
doughboy	0.365	0.443	0.396	mīklas puika
doughnut	0.663	0.380	0.279	virtulis
dour	0.360	0.404	0.325	apvainojums
douse	0.365	0.453	0.412	douse
dove	0.729	0.235	0.437	balodis
down	0.208	0.330	0.264	uz leju
downcast	0.071	0.500	0.222	nomākts
downer	0.120	0.594	0.226	lejā
downfall	0.200	0.717	0.182	kritums
downfield	0.521	0.330	0.380	lejā laukā
downhearted	0.119	0.461	0.255	nomākts
downhill	0.292	0.573	0.279	lejup
download	0.602	0.490	0.503	lejupielādēt
downpour	0.328	0.602	0.481	lietusgāze
downright	0.625	0.454	0.679	taisni
downriver	0.542	0.469	0.279	lejup pa upi
downside	0.190	0.400	0.246	mīnuss
downtime	0.240	0.226	0.324	dīkstāves laiks
downward	0.188	0.347	0.255	uz leju
downy	0.630	0.170	0.255	pūkains
dowry	0.604	0.453	0.544	pūrs
doze	0.592	0.200	0.405	snaust
dozen	0.583	0.343	0.425	ducis
drab	0.327	0.300	0.242	vienmuļš
draft	0.438	0.360	0.351	melnraksts
drafty	0.458	0.500	0.518	melnraksts
drag	0.388	0.606	0.348	velciet
dragon	0.541	0.821	0.712	pūķis
dragonfly	0.571	0.373	0.357	spāre
drain	0.277	0.470	0.222	notecēt
drainage	0.219	0.354	0.307	drenāža
drained	0.310	0.441	0.352	nosusināta
draining	0.337	0.396	0.304	nosusināšana
