English Word	Valence	Arousal	Dominance	Turkmen Word
casein	0.470	0.436	0.415	kazein
cash	0.867	0.552	0.714	nagt
cashier	0.615	0.413	0.484	kassir
cashmere	0.653	0.452	0.439	kassir
casing	0.458	0.327	0.328	örtük
casino	0.542	0.684	0.568	kazino
cask	0.490	0.398	0.444	kaska
casket	0.125	0.490	0.346	tabyt
casserole	0.570	0.360	0.328	güle
cassette	0.490	0.334	0.355	kaseta
cast	0.558	0.620	0.517	rol
castaway	0.208	0.646	0.422	kastaway
caste	0.510	0.333	0.374	kasta
caster	0.604	0.670	0.647	kaster
castle	0.680	0.396	0.718	gala
castor	0.583	0.337	0.368	kastor
castrate	0.177	0.485	0.519	kastrat
castration	0.198	0.735	0.381	kastrasiýa
casual	0.643	0.224	0.385	tötänleýin
casually	0.658	0.290	0.333	tötänleýin
casualty	0.235	0.274	0.132	ýitgi
cat	0.667	0.260	0.370	pişik
catabolism	0.265	0.573	0.605	katabolizm
catalog	0.561	0.221	0.573	katalog
catalogue	0.647	0.327	0.533	katalog
catalysis	0.385	0.559	0.531	kataliz
catalyst	0.604	0.509	0.585	katalizator
catalytic	0.562	0.519	0.563	katalitik
catamaran	0.571	0.566	0.526	katamaran
catapult	0.480	0.830	0.649	katapult
cataract	0.406	0.545	0.549	katarakt
catastrophe	0.146	0.952	0.670	betbagtçylyk
catastrophic	0.071	0.934	0.598	katastrofiki
catatonic	0.255	0.500	0.509	katatonik
catch	0.531	0.437	0.552	tutmak
catcher	0.653	0.413	0.540	tutujy
catching	0.490	0.788	0.644	tutmak
catchphrase	0.698	0.423	0.433	söz düzümi
catchy	0.677	0.441	0.462	özüne çekiji
catechism	0.656	0.236	0.613	katekizm
categorical	0.615	0.442	0.760	kategoriki
category	0.571	0.264	0.521	kategoriýasy
cater	0.802	0.500	0.509	naharhana
caterer	0.550	0.557	0.644	naharhana
caterpillar	0.461	0.286	0.330	gurçuk
cates	0.370	0.394	0.407	cates
catfish	0.458	0.337	0.296	pişik
cathartic	0.450	0.510	0.604	katartik
cathedral	0.598	0.330	0.643	sobor
catheter	0.336	0.491	0.373	kateter
cathouse	0.327	0.375	0.363	katus
catnip	0.439	0.381	0.296	pişik
cattle	0.622	0.340	0.445	mallar
catwalk	0.698	0.436	0.464	catwalk
caucus	0.418	0.311	0.491	ýygnak
caudal	0.500	0.425	0.583	kaudal
cauldron	0.510	0.486	0.418	gazana
cauliflower	0.448	0.255	0.231	karam
caulk	0.367	0.500	0.418	çorba
causal	0.562	0.367	0.491	sebäp
causality	0.500	0.378	0.336	sebäpler
causation	0.562	0.480	0.567	sebäp
cause	0.469	0.373	0.486	sebäp
caused	0.344	0.520	0.382	sebäp boldy
causeway	0.453	0.382	0.422	ýol
caution	0.552	0.712	0.547	seresap boluň
cautionary	0.510	0.541	0.519	seresap boluň
cautious	0.470	0.445	0.517	seresap
cautiously	0.510	0.388	0.525	seresaplylyk bilen
cavalier	0.735	0.462	0.713	atly
cavalry	0.667	0.727	0.794	atly goşun
cave	0.459	0.333	0.380	gowak
caveat	0.344	0.629	0.484	duýduryş
caveman	0.235	0.644	0.482	gowak
cavern	0.323	0.360	0.365	gowak
cavernous	0.354	0.548	0.462	gowak
caviar	0.906	0.394	0.481	ikiýar
caving	0.378	0.491	0.551	gowak
cavity	0.466	0.385	0.379	boşluk
cayenne	0.615	0.306	0.355	cayenne
cease	0.388	0.250	0.420	bes et
ceasefire	0.542	0.594	0.567	ýaraşyk
ceaseless	0.378	0.704	0.658	üznüksiz
cedar	0.560	0.267	0.577	kedr
cede	0.275	0.327	0.402	cede
ceiling	0.520	0.224	0.366	potolok
celebrant	0.865	0.656	0.643	dabaraly
celebrate	0.917	0.857	0.859	bellemek
celebrated	0.875	0.690	0.763	bellendi
celebrating	0.927	0.860	0.773	bellemek
celebration	0.939	0.824	0.880	baýramçylyk
celebrations	0.958	0.794	0.714	dabaralar
celebratory	0.857	0.653	0.845	dabaraly
celebrity	0.760	0.619	0.855	meşhur
celery	0.396	0.147	0.223	selderýa
celestial	0.817	0.360	0.731	asman
celibacy	0.302	0.276	0.509	nikalaşmak
celibate	0.419	0.387	0.391	celibate
cell	0.541	0.375	0.465	öýjük
cellar	0.510	0.277	0.406	ýerzemin
cellblock	0.186	0.570	0.500	öýjükli blok
cellist	0.667	0.500	0.486	öýjükli
cellmate	0.167	0.684	0.349	öýjükli kärdeş
cello	0.635	0.324	0.528	cello
cellophane	0.648	0.282	0.289	selofan
cellular	0.643	0.398	0.517	öýjükli
cellulite	0.200	0.384	0.256	sellýulit
celluloid	0.469	0.440	0.425	sellýuloid
cement	0.544	0.265	0.527	sement
cemented	0.429	0.382	0.537	sementlenen
cemetery	0.051	0.630	0.417	gonamçylyk
censor	0.344	0.276	0.538	senzura
censorship	0.219	0.698	0.421	senzura
censure	0.219	0.653	0.417	käýinç
census	0.449	0.289	0.553	ilat ýazuwy
cent	0.439	0.367	0.402	sent
centenary	0.604	0.440	0.642	ýüz ýyllygy
centennial	0.583	0.394	0.700	ýüz ýyllyk
center	0.643	0.231	0.431	merkezi
centerfold	0.571	0.407	0.485	merkezi
centerpiece	0.594	0.208	0.520	merkezi
centimeter	0.427	0.280	0.380	santimetr
centipede	0.296	0.399	0.361	sentipede
central	0.640	0.356	0.621	merkezi
centrality	0.571	0.312	0.709	merkezi
centralization	0.521	0.440	0.702	merkezleşdirmek
centralize	0.684	0.427	0.802	merkezleşdirmek
centrally	0.729	0.280	0.700	merkezi
centrifugal	0.306	0.651	0.480	merkezden gaçyryş çäresi
centrifuge	0.495	0.622	0.527	sentrifuga
centurion	0.590	0.447	0.696	ýüzbaşy
century	0.407	0.347	0.735	asyr
ceramic	0.521	0.255	0.371	keramika
ceramics	0.573	0.250	0.373	keramika
cereal	0.612	0.206	0.316	galla
cereals	0.719	0.224	0.311	galla önümleri
cerebral	0.408	0.509	0.627	beýni
ceremonial	0.771	0.540	0.691	dabaraly
ceremony	0.760	0.559	0.761	dabarasy
certain	0.760	0.358	0.673	belli
certainty	0.781	0.400	0.769	şübhesiz
certifiable	0.714	0.427	0.662	kepillendirilýär
certificate	0.786	0.377	0.746	şahadatnamasy
certified	0.781	0.422	0.806	kepillendirilen
certify	0.866	0.400	0.746	tassyklamak
cervical	0.375	0.413	0.445	ýatgynyň ýatgysy
cervix	0.429	0.360	0.340	ýatgy ýatgysy
cess	0.427	0.375	0.406	cess
cessation	0.414	0.385	0.358	bes etmek
cesspool	0.167	0.460	0.409	cesspool
cha cha	0.714	0.546	0.324	cha cha
chaff	0.333	0.327	0.188	saman
chafing	0.430	0.415	0.368	çaý
chagrin	0.104	0.704	0.472	Çagrin
chagrined	0.112	0.745	0.361	tertipli
chai	0.500	0.375	0.363	çaý
chain	0.378	0.500	0.547	zynjyr
chainsaw	0.367	0.804	0.636	zynjyr
chair	0.562	0.082	0.276	oturgyç
chairman	0.656	0.567	0.933	başlygy
chairperson	0.730	0.657	0.966	Başlygy
chairwoman	0.719	0.664	0.953	Başlyk
chaise	0.406	0.349	0.327	başagaýlyk
chalet	0.653	0.349	0.278	çalet
chalice	0.633	0.286	0.529	Çalis
chalk	0.385	0.185	0.121	hek
challenge	0.469	0.922	0.713	kynçylyk
challenger	0.417	0.755	0.652	garşydaş
chamber	0.583	0.373	0.455	kamera
chambermaid	0.594	0.375	0.336	palataçy
chambers	0.542	0.442	0.388	otaglary
chameleon	0.490	0.580	0.345	kameleon
champ	0.854	0.754	0.896	Çamp
champagne	0.760	0.600	0.454	şampan
champion	0.890	0.880	0.945	çempion
championship	0.833	0.800	0.880	çempionlyk
chance	0.833	0.551	0.525	pursat
chancellor	0.646	0.500	0.887	kansler
chandelier	0.615	0.542	0.366	çilim
chandler	0.510	0.452	0.454	çilim
change	0.625	0.575	0.606	üýtgetmek
changeable	0.490	0.480	0.528	üýtgedilip bilner
changed	0.594	0.375	0.491	üýtgedi
changer	0.583	0.519	0.567	çalşyjy
changing	0.571	0.569	0.461	üýtgeýär
channel	0.490	0.287	0.405	kanal
chant	0.771	0.698	0.650	aýdym aýdyň
chaos	0.016	0.923	0.373	bulam-bujarlyk
chaotic	0.115	0.847	0.442	bulam-bujarlyk
chap	0.550	0.410	0.345	bap
chapel	0.573	0.240	0.440	ybadathana
chaperon	0.500	0.520	0.404	Çaperon
chaplain	0.582	0.370	0.577	kapellan
chapman	0.562	0.529	0.465	Çapman
chaps	0.350	0.462	0.350	baplar
chapter	0.580	0.308	0.461	bap
char	0.554	0.361	0.404	char
character	0.667	0.373	0.686	häsiýet
characteristic	0.583	0.328	0.538	häsiýetli
characterize	0.729	0.471	0.735	häsiýetlendirmek
charade	0.458	0.550	0.346	charade
charcoal	0.302	0.186	0.342	kömür
chardonnay	0.677	0.567	0.492	Çardonnaý
charge	0.510	0.633	0.785	zarýad
chargeable	0.551	0.550	0.453	tölegli
charger	0.531	0.418	0.545	güýçlendiriji
chariot	0.684	0.550	0.491	arabasy
charisma	0.938	0.591	0.759	Karizma
charismatic	0.938	0.684	0.849	Karizmatik
charitable	0.865	0.380	0.593	haýyr-sahawat
charity	0.920	0.284	0.551	haýyr-sahawat
charlatan	0.200	0.640	0.352	charlatan
charm	0.833	0.363	0.649	jady
charmed	0.938	0.570	0.769	jadyly
charmer	0.882	0.683	0.782	jadylaýjy
charming	0.917	0.660	0.764	özüne çekiji
charred	0.208	0.676	0.373	ýanýar
chart	0.469	0.317	0.330	diagramma
charter	0.677	0.382	0.518	tertipnama
chartered	0.569	0.460	0.490	tertipnama
chase	0.396	0.878	0.623	kowalamak
chased	0.188	0.830	0.287	kowalady
chaser	0.375	0.830	0.645	kaseer
chasm	0.265	0.579	0.500	jady
chassis	0.406	0.342	0.444	şassi
chaste	0.408	0.248	0.453	arassa
chastened	0.156	0.580	0.345	jezalandyryldy
chastisement	0.156	0.852	0.462	jeza
chastity	0.469	0.392	0.509	päklik
chat	0.729	0.400	0.346	söhbetdeşlik
chateau	0.615	0.464	0.702	şat
chatter	0.560	0.450	0.347	gürleşmek
chatterbox	0.459	0.548	0.482	söhbetdeşlik gutusy
chattering	0.460	0.663	0.304	gürleşmek
chatty	0.594	0.548	0.345	söhbetdeşlik
chauffeur	0.500	0.353	0.471	şofer
chauvinist	0.310	0.539	0.527	şowinist
cheap	0.612	0.471	0.272	arzan
cheapened	0.471	0.611	0.282	arzanlady
cheapskate	0.148	0.482	0.327	chekskate
cheat	0.125	0.776	0.400	aldamak
cheater	0.104	0.920	0.333	aldawçy
check	0.523	0.552	0.602	barlaň
checkbook	0.552	0.284	0.364	barlag depderçesi
checker	0.330	0.417	0.553	barlaýjy
checkered	0.459	0.316	0.336	barlanýar
checkers	0.676	0.451	0.437	şaşka
checklist	0.561	0.521	0.552	gözegçilik sanawy
checkmate	0.667	0.708	0.750	ýoldaş
checkout	0.597	0.510	0.670	töleg
checkpoint	0.571	0.323	0.812	barlag nokady
checkup	0.500	0.435	0.491	barlag
cheek	0.670	0.314	0.421	ýaňak
cheeks	0.708	0.324	0.282	ýaňaklary
cheeky	0.434	0.679	0.410	ýaňak
cheep	0.367	0.380	0.373	ýaňak
cheer	0.938	0.784	0.845	begen!
cheered	0.875	0.648	0.790	begendiler
cheerful	0.990	0.720	0.696	şadyýan
cheerfulness	0.969	0.802	0.675	şadyýanlyk
cheering	0.815	0.824	0.642	begenýär
cheerleader	0.923	0.746	0.657	şadyýan
cheerleading	0.698	0.769	0.404	şadyýanlyk
cheerless	0.204	0.373	0.167	şadyýan
cheers	0.948	0.770	0.702	begenýär
cheery	0.949	0.657	0.486	begenç
cheese	0.740	0.280	0.281	peýnir
cheeseburger	0.802	0.529	0.336	peýnir
cheesecake	0.860	0.276	0.238	peýnir
cheesy	0.470	0.471	0.179	peýnir
cheetah	0.469	0.770	0.667	çigid
chef	0.854	0.411	0.570	aşpez
chemical	0.337	0.560	0.508	himiki
chemise	0.530	0.275	0.364	himiýa
chemist	0.408	0.575	0.610	himik
chemistry	0.625	0.520	0.694	Himiýa
chemo	0.214	0.686	0.444	Kemo
chemotherapy	0.163	0.689	0.517	himiýa bejergisi
cheque	0.698	0.529	0.660	barlaň
cherish	0.896	0.491	0.652	gadyr
cherishing	0.836	0.380	0.625	gadyrly
cherry	0.688	0.186	0.250	alça
cherub	0.663	0.340	0.455	kerup
chess	0.656	0.363	0.518	küşt
chest	0.520	0.429	0.481	döş
chestnut	0.714	0.210	0.294	kashtan
chevron	0.469	0.469	0.598	chevron
chew	0.520	0.490	0.404	çeýnemek
chewy	0.625	0.418	0.390	çeýnemek
chic	0.870	0.624	0.380	ajaýyp
chicane	0.357	0.460	0.481	Çikan
chick	0.771	0.602	0.387	jüýje
chicken	0.594	0.306	0.394	towuk
chicken pox	0.194	0.510	0.415	towuk zäheri
chickenpox	0.173	0.562	0.357	towuk
chief	0.520	0.544	0.869	başlygy
chiefly	0.600	0.587	0.764	esasan
chieftain	0.343	0.529	0.860	başlyk
chiffon	0.406	0.230	0.250	Şifon
child	0.912	0.460	0.413	Çaga
childbirth	0.604	0.861	0.673	çaga dogurmak
childhood	0.865	0.413	0.307	çagalyk
childish	0.573	0.442	0.230	çaga
childless	0.310	0.400	0.396	çagasyz
childlike	0.656	0.372	0.293	çaga ýaly
childloss	0.240	0.571	0.421	çaga ýitirmek
children	0.857	0.538	0.435	Çagalar
chili	0.592	0.566	0.433	çili
chill	0.837	0.206	0.482	sowuk
chilled	0.521	0.340	0.482	sowadyldy
chilling	0.208	0.850	0.358	sowatmak
chilly	0.329	0.459	0.408	salkyn
chime	0.573	0.541	0.464	Kime
chimera	0.292	0.582	0.372	Kimera
chimes	0.625	0.490	0.402	Çaý
chimney	0.583	0.286	0.225	baca
chimp	0.394	0.588	0.345	şimp
chimpanzee	0.500	0.633	0.387	şimpanze
chin	0.571	0.310	0.269	eňek
china	0.561	0.443	0.556	Hytaý
chinchilla	0.480	0.450	0.286	çinçil
chine	0.561	0.360	0.352	çin
chinook	0.408	0.497	0.491	çinok
chip	0.479	0.382	0.452	çip
chipmunk	0.573	0.562	0.409	çip
chipper	0.418	0.588	0.500	çip
chipping	0.354	0.452	0.353	kesmek
chiropractor	0.420	0.549	0.651	kärhanaçy
chirp	0.469	0.602	0.365	jyr
chirping	0.500	0.463	0.360	jyňňyrdamak
chisel	0.469	0.404	0.452	kesilen
chiseler	0.429	0.606	0.464	kesiji
chit	0.490	0.352	0.321	çit
chitchat	0.673	0.455	0.403	boş gürlemek
chivalry	0.857	0.380	0.848	bäsdeşlik
chloride	0.265	0.387	0.474	hlorid
chlorine	0.306	0.327	0.332	hlor
chloroform	0.281	0.370	0.393	hloroform
chocolate	0.885	0.480	0.418	şokolad
choice	0.745	0.520	0.664	saýlamak
choir	0.704	0.298	0.473	hor
choke	0.167	0.788	0.676	bogmak
cholera	0.020	0.867	0.507	holera
cholesterol	0.198	0.583	0.398	holesterin
choose	0.615	0.542	0.648	saýlaň
choosing	0.719	0.529	0.689	saýlamak
choosy	0.280	0.760	0.712	saýlama
chop	0.250	0.655	0.467	çap
chopper	0.594	0.560	0.509	çapyjy
choppers	0.469	0.745	0.691	satyjylar
chopping	0.560	0.625	0.362	çapmak
chops	0.612	0.420	0.269	çapmak
choral	0.852	0.290	0.421	hor
chord	0.729	0.394	0.539	akord
chords	0.639	0.406	0.388	akkordlar
chore	0.406	0.462	0.500	öý işi
choreographer	0.646	0.639	0.625	horeograf
choreography	0.812	0.750	0.547	horeografiýa
chorus	0.620	0.417	0.500	hor
chosen	0.865	0.449	0.833	saýlandy
chow	0.573	0.490	0.390	çow
chowder	0.510	0.324	0.241	çorba
christ	0.781	0.510	0.750	Mesih
christen	0.673	0.356	0.588	Mesih
christening	0.725	0.382	0.650	Mesihilik
christmas	0.959	0.520	0.741	natal-ya
christmasbreak	0.842	0.640	0.548	natal-ya
christmaseve	0.812	0.491	0.463	natal-ya
christmasspirit	0.867	0.602	0.575	natal-ya
christmassy	0.875	0.698	0.602	natal-ya
christmastime	0.837	0.588	0.515	natal-ya
chromatic	0.407	0.413	0.435	hromatiki
chromatography	0.480	0.537	0.535	hromatografiýa
chrome	0.582	0.373	0.421	Hrom
chromium	0.458	0.404	0.447	hrom
chromosome	0.500	0.296	0.548	hromosoma
chronic	0.255	0.615	0.464	dowamly
chronicle	0.427	0.571	0.586	Hronika
chronograph	0.500	0.392	0.529	Hronograf
chronological	0.594	0.445	0.600	hronologiki
chubby	0.531	0.427	0.304	gümürtik
chuck	0.542	0.509	0.413	Çak
chuckle	0.844	0.736	0.481	gykylyk
chug	0.401	0.413	0.358	gujak
chum	0.911	0.347	0.518	çum
chummy	0.760	0.420	0.610	chummy
chump	0.375	0.451	0.304	bökmek
chunk	0.365	0.287	0.214	bölek
chunky	0.520	0.517	0.509	çunky
church	0.708	0.198	0.610	buthana
churchyard	0.296	0.444	0.347	buthana
churn	0.316	0.491	0.407	çurn
chute	0.580	0.745	0.455	owadan
chutney	0.459	0.370	0.400	çeýn
ciao	0.542	0.426	0.409	ciao
cider	0.530	0.346	0.398	sidr
cigar	0.306	0.463	0.346	çilim
cigarette	0.219	0.528	0.304	çilim
cilantro	0.469	0.260	0.208	silantro
cinch	0.450	0.490	0.387	gysmak
cinder	0.350	0.260	0.157	silindr
cinema	0.698	0.538	0.500	kino
cinematic	0.663	0.490	0.600	kinematiki
cinematographer	0.792	0.455	0.711	kinematografçy
cinematography	0.781	0.571	0.625	kinematografiýa
cinnamon	0.600	0.250	0.292	darçyn
cipher	0.490	0.414	0.500	şifr
circle	0.480	0.290	0.343	tegelek
circling	0.510	0.654	0.336	aýlanmak
circuit	0.586	0.461	0.707	zynjyr
circuitry	0.596	0.615	0.536	zynjyr
circular	0.562	0.342	0.417	tegelek
circulate	0.612	0.388	0.320	aýlanmak
circulation	0.735	0.520	0.657	aýlanyşygy
circulatory	0.592	0.575	0.545	gan aýlanyşygy
circumcision	0.327	0.657	0.528	sünnet
circumference	0.458	0.255	0.488	aýlaw
circumferential	0.551	0.422	0.509	aýlawly
circumscribed	0.365	0.539	0.569	tegelek
circumstance	0.520	0.565	0.596	ýagdaý
circumstances	0.562	0.527	0.464	ýagdaýlar
circumstantial	0.500	0.538	0.519	şertli
circumvent	0.316	0.642	0.383	aýlaw
circumvention	0.531	0.571	0.473	aýlaw
circus	0.724	0.637	0.432	sirk
cirque	0.604	0.647	0.467	sirk
cirrhosis	0.079	0.602	0.370	sirroz
cirrus	0.470	0.451	0.348	sirus
cistern	0.541	0.413	0.432	guýy
citadel	0.585	0.464	0.602	içki gala
citation	0.570	0.549	0.508	sitata
cite	0.625	0.454	0.532	getiriň
citizen	0.631	0.250	0.586	raýaty
citizenship	0.786	0.404	0.723	raýatlygy
citrine	0.375	0.400	0.420	sitrin
citrus	0.469	0.368	0.375	sitrus
city	0.847	0.531	0.508	şäher
citywide	0.592	0.509	0.707	şäher boýunça
civic	0.653	0.240	0.573	raýat
civics	0.700	0.279	0.720	raýatlyk
civil	0.521	0.281	0.517	raýat
civilian	0.700	0.229	0.598	raýat
civilians	0.490	0.448	0.525	parahat ilat
civility	0.760	0.306	0.679	edeplilik
civilization	0.823	0.452	0.839	siwilizasiýasy
civilized	0.792	0.231	0.796	medeniyetli
clad	0.583	0.373	0.481	örtükli
claim	0.255	0.760	0.473	talap
claimant	0.271	0.690	0.779	talap ediji
clairvoyant	0.765	0.531	0.897	başlyk
clam	0.442	0.302	0.272	gysgyç
clambake	0.542	0.540	0.429	gysgyç
clammy	0.354	0.440	0.236	gysganç
clamor	0.438	0.643	0.360	gygyrmak
clamp	0.541	0.388	0.454	gysgyç
clan	0.562	0.491	0.686	urug
clandestine	0.425	0.677	0.469	gizlin
clang	0.459	0.520	0.510	ýapyşmak
clap	0.779	0.731	0.529	el çarp
clapper	0.500	0.229	0.420	clapper
clapping	0.823	0.894	0.686	el çarpmak
clarification	0.802	0.461	0.613	düşündiriş
clarify	0.652	0.535	0.625	düşündiriň
clarinet	0.592	0.453	0.411	klarnet
clarion	0.500	0.443	0.422	aýdyňlaşdyrma
clarity	0.796	0.310	0.631	aýdyňlygy
clash	0.293	0.918	0.453	çaknyşyk
clashing	0.177	0.764	0.575	çaknyşyk
clasp	0.448	0.375	0.241	gysmak
class	0.656	0.314	0.522	synp
classic	0.690	0.260	0.611	Klassiki
classic rock	0.729	0.571	0.588	nusgawy gaýa
classical	0.643	0.198	0.536	nusgawy
classics	0.750	0.333	0.510	klassikler
classification	0.583	0.423	0.613	klassifikasiýasy
classified	0.571	0.460	0.663	toparlara bölünýär
classify	0.646	0.411	0.720	klassifikasiýa
classmate	0.781	0.400	0.593	klasdaş
classroom	0.539	0.292	0.363	synp otagy
classy	0.917	0.410	0.649	ýokary derejeli
clatter	0.418	0.820	0.387	gykylyk
clause	0.480	0.409	0.528	madda
clauses	0.449	0.429	0.545	maddalary
claustrophobia	0.125	0.840	0.333	Klaustrofobiýa
claustrophobic	0.092	0.755	0.400	Klaustrofob
clavicle	0.398	0.400	0.452	clavicle
claw	0.260	0.600	0.598	dyrnak
claws	0.281	0.698	0.562	dyrnaklar
clay	0.542	0.250	0.267	palçyk
clean	0.827	0.170	0.500	arassa
cleaner	0.604	0.556	0.375	arassalaýjy
cleaning	0.595	0.396	0.427	arassalamak
cleanliness	0.816	0.363	0.609	arassaçylyk
cleanly	0.823	0.352	0.583	arassa
cleanse	0.625	0.310	0.660	arassala
cleanser	0.604	0.353	0.433	arassalaýjy
cleansing	0.729	0.298	0.472	arassalamak
cleanup	0.729	0.314	0.451	arassalamak
clear	0.857	0.327	0.573	düşnükli
clearance	0.542	0.459	0.473	arassalamak
clearing	0.680	0.333	0.509	arassalamak
clearness	0.875	0.316	0.689	aýdyňlyk
cleat	0.486	0.260	0.361	arassalamak
cleavage	0.542	0.602	0.454	ýaryş
cleave	0.296	0.545	0.389	ýapyş
cleaver	0.240	0.627	0.434	akylly
clef	0.615	0.360	0.595	açyk
cleft	0.306	0.442	0.360	ýaryldy
clemency	0.594	0.417	0.397	rehimdarlyk
clench	0.438	0.618	0.580	gysmak
clergy	0.531	0.312	0.575	ruhanylary
clergyman	0.594	0.330	0.556	ruhanysy
cleric	0.521	0.324	0.589	ruhanysy
clerical	0.520	0.396	0.491	ruhanysy
clerk	0.500	0.579	0.509	kätip
clerkship	0.582	0.380	0.596	kätip
clever	0.896	0.353	0.729	akylly
cleverness	0.878	0.509	0.921	paýhas
click	0.536	0.365	0.268	basyň
clicker	0.418	0.490	0.463	basmak
client	0.583	0.450	0.618	Müşderi
clientele	0.625	0.577	0.508	Müşderi
cliff	0.361	0.620	0.509	gaýa
climate	0.635	0.240	0.483	howa
climatology	0.531	0.367	0.541	klimatologiýa
climax	0.735	0.853	0.667	iň ýokary derejesi
climb	0.615	0.660	0.604	dyrmaşmak
climber	0.573	0.716	0.735	alpinist
clinch	0.469	0.538	0.430	gysmak
cling	0.417	0.620	0.588	ýapyş
clingy	0.224	0.460	0.370	ýapyş
clinic	0.469	0.439	0.600	klinika
clinical	0.337	0.412	0.640	kliniki
clink	0.458	0.462	0.319	gysmak
clip	0.438	0.310	0.381	klip
clipboard	0.594	0.255	0.423	paneli
clipper	0.293	0.422	0.383	gysgyç
clipping	0.460	0.500	0.405	kesmek
clique	0.427	0.430	0.391	topar
clitoris	0.625	0.844	0.464	klitoris
cloak	0.469	0.188	0.333	eşik
cloaking	0.521	0.595	0.389	eşik
cloakroom	0.690	0.254	0.397	eşik otagy
clobber	0.396	0.578	0.464	garakçy
clock	0.677	0.173	0.407	sagat
clockwork	0.490	0.373	0.528	sagat işi
clod	0.375	0.404	0.365	klod
clog	0.104	0.618	0.454	ýapyk
cloister	0.438	0.413	0.475	palçy
clone	0.406	0.471	0.524	klon
cloning	0.216	0.696	0.679	klonlaşdyrmak
close	0.292	0.260	0.263	ýakyn
closed	0.240	0.164	0.318	ýapyk
closeness	0.796	0.237	0.450	ýakynlygy
closet	0.531	0.204	0.330	şkaf
closure	0.229	0.220	0.412	ýapmak
clot	0.150	0.558	0.275	palta
cloth	0.510	0.190	0.287	mata
clothe	0.797	0.330	0.481	geýin
clothes	0.833	0.270	0.414	eşikler
clothesline	0.582	0.324	0.366	eşik
clothing	0.750	0.343	0.407	eşik
cloud	0.740	0.133	0.342	bulut
clouded	0.240	0.213	0.302	bulutly
cloudiness	0.469	0.250	0.343	bulutlylyk
clouds	0.735	0.195	0.324	bulutlar
cloudy	0.281	0.280	0.202	bulutly
clout	0.584	0.636	0.704	palta
clove	0.439	0.296	0.315	ýorunja
clover	0.605	0.340	0.364	ýorunja
cloves	0.427	0.218	0.396	ýorunja
clown	0.650	0.598	0.300	masgarabaz
clowns	0.600	0.673	0.391	masgarabazlar
club	0.646	0.618	0.393	klub
clubhouse	0.694	0.571	0.493	klub otagy
clubs	0.723	0.530	0.591	klublar
cluck	0.390	0.490	0.353	ýapyş
clue	0.653	0.380	0.412	düşündiriş
clueless	0.350	0.333	0.161	düşnüksiz
clump	0.551	0.480	0.582	üýşmek
clumsy	0.125	0.420	0.144	düşnüksiz
clunk	0.448	0.472	0.407	clunk
cluster	0.490	0.458	0.446	Klaster
clutch	0.383	0.500	0.491	gysgyç
clutches	0.542	0.373	0.528	gysgyçlar
clutter	0.135	0.598	0.400	bulaşyklyk
coach	0.633	0.823	0.735	tälimçi
coachman	0.479	0.394	0.509	tälimçi
coagulation	0.381	0.558	0.436	garynlaşma
coal	0.360	0.241	0.340	kömür
coalesce	0.479	0.434	0.529	birleşmek
coalition	0.490	0.730	0.673	koalisiýa
coarse	0.333	0.481	0.481	gödek
coast	0.719	0.396	0.458	kenar
coastal	0.604	0.370	0.510	kenarýaka
coaster	0.612	0.788	0.627	kenar
coastline	0.745	0.282	0.441	kenar ýakasy
coat	0.677	0.256	0.464	palto
coating	0.620	0.440	0.596	örtük
coax	0.367	0.400	0.447	koaks
cobalt	0.408	0.325	0.441	kobalt
cobble	0.448	0.385	0.368	daş
cobbler	0.510	0.415	0.318	garakçy
cobra	0.312	0.712	0.600	kobra
cocaine	0.156	0.840	0.373	kokain
cock	0.418	0.562	0.392	horaz
cockamamie	0.450	0.500	0.382	kokamamie
cockeyed	0.459	0.460	0.423	kokkeý
cockpit	0.520	0.424	0.343	kokpit
cockroach	0.188	0.667	0.196	tarakan
cocksucker	0.083	0.764	0.339	kokuser
cocktail	0.740	0.480	0.381	kokteýl
cocky	0.260	0.784	0.519	gödek
cocoa	0.776	0.255	0.322	kakao
coconut	0.622	0.265	0.227	kokos
cocoon	0.470	0.280	0.290	pile
cod	0.510	0.321	0.304	kod
code	0.583	0.308	0.491	kody
codeine	0.375	0.582	0.436	kodein
codex	0.531	0.488	0.524	kodeks
codfish	0.490	0.245	0.300	kodfiş
codification	0.448	0.400	0.698	kodlaşdyrmak
codify	0.448	0.410	0.679	kodlaşdyrmak
coding	0.442	0.344	0.667	kodlaşdyrmak
coed	0.469	0.531	0.481	örtük
coefficient	0.677	0.415	0.702	koeffisiýenti
coerce	0.260	0.741	0.517	mejbur etmek
coercion	0.330	0.708	0.577	mejbur etmek
coercive	0.479	0.670	0.506	mejbury
coexist	0.708	0.460	0.536	bilelikde ýaşaýarlar
coexistence	0.588	0.472	0.638	bilelikde ýaşamak
coexisting	0.551	0.349	0.648	bilelikde ýaşamak
coffee	0.823	0.418	0.309	kofe
coffee table	0.720	0.339	0.295	kofe içilýan stol
coffeehouse	0.694	0.357	0.307	kafe
coffeepot	0.760	0.333	0.312	kofe
coffin	0.073	0.432	0.343	tabyt
cog	0.427	0.343	0.363	sogan
cogent	0.765	0.479	0.836	cogent
cognac	0.615	0.510	0.430	konýak
cognate	0.615	0.350	0.398	tanamak
cognition	0.635	0.344	0.706	tanamak
cognitive	0.513	0.401	0.634	aň-bilim
