English Word	Valence	Arousal	Dominance	Thai Word
dill	0.427	0.360	0.373	ผักชีฝรั่ง
diluent	0.417	0.344	0.332	เจือจาง
dilute	0.275	0.192	0.349	เจือจาง
diluted	0.469	0.310	0.229	เจือจาง
dilution	0.445	0.337	0.352	เจือจาง
dim	0.398	0.321	0.273	สลัว
dime	0.653	0.317	0.345	ค่าเล็กน้อย
dimension	0.592	0.415	0.627	มิติ
dimensional	0.561	0.484	0.596	มิติ
diminish	0.240	0.357	0.167	ลดน้อยลง
diminished	0.156	0.269	0.196	ลดลง
diminution	0.316	0.296	0.245	ลดขนาด
diminutive	0.323	0.200	0.109	จิ๋ว
dimwit	0.255	0.459	0.175	dimwit
din	0.440	0.417	0.398	ดิน
dine	0.821	0.519	0.478	รับประทานอาหารค่ำ
diner	0.643	0.302	0.538	ร้านอาหารมื้อเย็น
dinghy	0.510	0.269	0.325	เรือบด
dingo	0.608	0.472	0.346	ดิงโก
dingy	0.156	0.483	0.343	สกปรก
dining	0.724	0.350	0.459	รับประทานอาหาร
dinky	0.357	0.451	0.358	ดิงกี้
dinner	0.823	0.392	0.379	อาหารเย็น
dinnertime	0.796	0.406	0.341	เวลาอาหารเย็น
dinosaur	0.448	0.630	0.596	ไดโนเสาร์
dint	0.378	0.480	0.492	อาศัย
diocesan	0.520	0.283	0.518	สังฆมณฑล
diocese	0.510	0.288	0.575	สังฆมณฑล
diorama	0.592	0.441	0.462	ไดโอรามา
dioxide	0.354	0.433	0.456	ไดออกไซด์
dip	0.516	0.583	0.397	จุ่ม
diploma	0.750	0.462	0.731	ประกาศนียบัตร
diplomacy	0.740	0.396	0.774	การทูต
diplomat	0.563	0.262	0.868	ทูต
diplomatic	0.653	0.363	0.918	ทางการทูต
dipper	0.548	0.361	0.348	กระบวย
dippy	0.430	0.402	0.340	dippy
dipstick	0.365	0.312	0.316	ก้านวัดน้ำมัน
dire	0.214	0.660	0.259	เลวร้าย
direct	0.793	0.403	0.650	โดยตรง
directed	0.542	0.490	0.541	กำกับ
direction	0.719	0.330	0.684	ทิศทาง
directive	0.604	0.530	0.918	คำสั่ง
directly	0.747	0.400	0.702	โดยตรง
director	0.688	0.580	0.912	ผู้อำนวยการ
directory	0.439	0.413	0.538	ไดเรกทอรี
dirt	0.112	0.500	0.236	สิ่งสกปรก
dirty	0.153	0.460	0.170	สกปรก
disability	0.073	0.482	0.173	ความพิการ
disable	0.115	0.430	0.269	ปิดการใช้งาน
disabled	0.308	0.443	0.235	พิการ
disadvantage	0.150	0.377	0.282	ข้อเสีย
disaffected	0.176	0.410	0.291	ผิดหวัง
disagree	0.133	0.590	0.345	ไม่เห็นด้วย
disagreeable	0.042	0.643	0.178	ไม่พอใจ
disagreeing	0.255	0.643	0.350	ไม่เห็นด้วย
disagreement	0.104	0.618	0.236	ความไม่เห็นด้วย
disallow	0.156	0.519	0.424	ไม่อนุญาต
disallowed	0.135	0.500	0.328	ไม่อนุญาต
disapointment	0.104	0.418	0.231	ความผิดหวัง
disappear	0.143	0.441	0.350	หายไป
disappearance	0.214	0.698	0.367	การหายตัวไป
disappearing	0.167	0.427	0.379	หายตัวไป
disappoint	0.150	0.633	0.288	ผิดหวัง
disappointed	0.071	0.472	0.241	ที่ผิดหวัง
disappointing	0.073	0.640	0.200	น่าผิดหวัง
disappointment	0.115	0.490	0.336	ความผิดหวัง
disapproval	0.085	0.551	0.367	ไม่อนุมัติ
disapprove	0.160	0.594	0.445	ไม่อนุมัติ
disapproved	0.104	0.550	0.114	ไม่อนุมัติ
disapproving	0.245	0.625	0.452	ไม่เห็นด้วย
disarm	0.292	0.528	0.613	ปลดอาวุธ
disarray	0.198	0.657	0.223	ความระส่ำระสาย
disaster	0.082	0.892	0.433	ภัยพิบัติ
disastrous	0.071	0.741	0.439	หายนะ
disband	0.302	0.491	0.417	disband
disbelief	0.188	0.409	0.373	ความไม่เชื่อ
disbelieve	0.188	0.441	0.352	ไม่เชื่อ
disburse	0.418	0.473	0.353	เบิกจ่าย
disbursement	0.240	0.443	0.435	การเบิกจ่าย
disc	0.622	0.410	0.426	แผ่นดิสก์
discard	0.240	0.343	0.337	ทิ้ง
discarded	0.229	0.460	0.308	ทิ้ง
discards	0.240	0.464	0.391	ทิ้ง
discern	0.459	0.566	0.518	แยกแยะ
discernible	0.427	0.441	0.481	มองเห็นได้
discerning	0.542	0.584	0.780	ฉลาด
discernment	0.408	0.471	0.694	การหยั่งรู้
discharge	0.427	0.538	0.578	ปล่อย
disciple	0.765	0.385	0.462	ลูกศิษย์
disciplinary	0.562	0.593	0.796	วินัย
discipline	0.615	0.471	0.806	การลงโทษ
disciplined	0.728	0.450	0.750	มีระเบียบวินัย
disclaim	0.235	0.509	0.321	ข้อจำกัดความรับผิดชอบ
disclaimer	0.367	0.571	0.542	ข้อจำกัดความรับผิดชอบ
disclose	0.490	0.570	0.545	เปิดเผย
disclosed	0.271	0.575	0.546	เปิดเผย
disclosure	0.500	0.615	0.710	การเปิดเผย
disco	0.710	0.806	0.575	ดิสโก้
discoloration	0.224	0.373	0.414	การเปลี่ยนสี
discolored	0.204	0.340	0.269	เปลี่ยนสี
discomfort	0.153	0.719	0.272	ไม่สบาย
disconcerted	0.100	0.612	0.288	อึดอัดใจ
disconcerting	0.106	0.549	0.269	น่าอึดอัดใจ
disconnect	0.438	0.292	0.191	ตัดการเชื่อมต่อ
disconnected	0.292	0.276	0.173	ขาดการเชื่อมต่อ
disconnection	0.167	0.283	0.277	ขาดการเชื่อมต่อ
disconnects	0.256	0.357	0.241	ตัดการเชื่อมต่อ
discontent	0.240	0.530	0.263	ไม่พอใจ
discontinuance	0.123	0.741	0.337	ความไม่ต่อเนื่อง
discontinue	0.354	0.396	0.349	หยุด
discontinuity	0.303	0.439	0.250	ความไม่ต่อเนื่อง
discontinuous	0.233	0.409	0.316	ไม่ต่อเนื่อง
discord	0.115	0.882	0.465	ความไม่ลงรอยกัน
discount	0.724	0.530	0.302	การลดราคา
discounted	0.677	0.471	0.430	ลดราคา
discourage	0.184	0.443	0.267	กีดกัน
discouraged	0.220	0.304	0.090	ท้อแท้
discouragement	0.112	0.319	0.206	ท้อแท้
discouraging	0.167	0.469	0.281	ท้อแท้
discourse	0.410	0.550	0.803	วาทกรรม
discover	0.771	0.793	0.673	ค้นพบ
discovery	0.823	0.627	0.814	การค้นพบ
discredit	0.075	0.529	0.355	เสียชื่อเสียง
discredited	0.112	0.491	0.182	น่าอดสู
discreet	0.552	0.216	0.532	รอบคอบ
discrepancy	0.260	0.643	0.417	ความคลาดเคลื่อน
discrete	0.585	0.231	0.429	ไม่ต่อเนื่อง
discretion	0.552	0.320	0.685	ดุลยพินิจ
discretionary	0.520	0.365	0.446	ดุลยพินิจ
discriminate	0.125	0.761	0.366	เห็นความแตกต่าง
discriminating	0.160	0.783	0.462	การเลือกปฏิบัติ
discrimination	0.051	0.724	0.379	การเลือกปฏิบัติ
discus	0.542	0.423	0.343	จาน
discuss	0.396	0.769	0.509	หารือ
discussion	0.333	0.842	0.536	อภิปรายผล
disdain	0.153	0.446	0.441	ดูถูก
disdainful	0.097	0.480	0.263	ดูถูก
disease	0.041	0.539	0.333	โรค
diseased	0.123	0.510	0.134	ป่วย
disembodied	0.167	0.620	0.412	ปลด
disengage	0.406	0.529	0.304	ปลดออก
disengagement	0.327	0.373	0.395	การปลดออก
disfigured	0.153	0.613	0.336	เสียโฉม
disgrace	0.061	0.531	0.331	ความอัปยศ
disgraced	0.071	0.661	0.250	อับอาย
disgraceful	0.082	0.702	0.240	น่าอับอาย
disgruntled	0.104	0.658	0.442	ไม่พอใจ
disguise	0.573	0.694	0.431	ปลอม
disguised	0.500	0.615	0.326	ปลอมตัว
disgust	0.052	0.775	0.317	รังเกียจ
disgusted	0.051	0.773	0.274	เบื่อหน่าย
disgusting	0.031	0.796	0.245	น่าขยะแขยง
dish	0.552	0.255	0.264	จาน
disheartened	0.153	0.343	0.238	ท้อแท้
disheartening	0.010	0.353	0.224	ท้อแท้
dishonest	0.191	0.491	0.163	ไม่ซื่อสัตย์
dishonesty	0.094	0.592	0.348	ความไม่ซื่อสัตย์
dishonor	0.104	0.620	0.185	ความอัปยศ
dishonorable	0.112	0.641	0.280	ไร้ศักดิ์ศรี
dishwasher	0.480	0.296	0.324	เครื่องล้างจาน
disillusionment	0.051	0.519	0.190	ความท้อแท้
disinclination	0.125	0.491	0.330	ความโน้มเอียง
disincline	0.458	0.454	0.278	ลาดเอียง
disinclined	0.385	0.442	0.364	ไม่เอนเอียง
disinfect	0.448	0.388	0.648	ฆ่าเชื้อ
disinfectant	0.531	0.429	0.460	น้ำยาฆ่าเชื้อ
disinfection	0.517	0.556	0.473	ฆ่าเชื้อ
disinformation	0.230	0.577	0.260	บิดเบือนข้อมูล
disingenuous	0.194	0.509	0.204	ไม่สุภาพ
disintegrate	0.143	0.660	0.364	สลายตัว
disintegration	0.094	0.551	0.381	การสลายตัว
disinterested	0.398	0.284	0.392	ไม่สนใจ
disjoint	0.351	0.385	0.322	ไม่ปะติดปะต่อ
disjointed	0.323	0.518	0.365	ไม่ปะติดปะต่อ
disjunctive	0.286	0.481	0.400	disjunctive
disk	0.573	0.423	0.412	ดิสก์
diskette	0.531	0.255	0.391	ดิสเก็ต
dislike	0.156	0.406	0.321	ไม่ชอบ
disliked	0.062	0.510	0.221	ไม่ชอบ
disliking	0.163	0.637	0.366	ไม่ชอบ
dislocated	0.125	0.625	0.200	เคล็ด
dislocation	0.229	0.565	0.373	ความคลาดเคลื่อน
dislodge	0.214	0.769	0.356	ไล่ออก
disloyal	0.062	0.582	0.245	ไม่ซื่อสัตย์
disloyalty	0.187	0.716	0.267	ความไม่ซื่อสัตย์
dismal	0.194	0.450	0.192	หดหู่
dismantle	0.347	0.644	0.462	รื้อ
dismay	0.314	0.681	0.459	ผิดหวัง
dismayed	0.165	0.735	0.389	ท้อแท้
dismemberment	0.104	0.860	0.470	สูญเสียอวัยวะ
dismiss	0.167	0.541	0.509	อนุญาตให้ออกไป
dismissal	0.153	0.723	0.271	เลิกจ้าง
dismissive	0.188	0.541	0.430	ปฏิเสธ
dismount	0.361	0.423	0.391	ลงจากหลังม้า
disobedience	0.051	0.868	0.369	ไม่เชื่อฟัง
disobedient	0.276	0.706	0.353	ไม่เชื่อฟัง
disobey	0.143	0.556	0.491	ไม่เชื่อฟัง
disorder	0.115	0.816	0.218	ความผิดปกติ
disordered	0.210	0.714	0.288	ไม่เป็นระเบียบ
disorderly	0.188	0.748	0.385	ไม่เป็นระเบียบ
disorganized	0.052	0.507	0.184	ไม่เป็นระเบียบ
disorientation	0.163	0.472	0.212	งุนงง
disoriented	0.227	0.643	0.227	สับสน
disown	0.153	0.637	0.368	ปฏิเสธ
disparage	0.092	0.663	0.336	ดูหมิ่น
disparaging	0.102	0.626	0.411	ดูหมิ่น
disparate	0.438	0.500	0.368	แตกต่าง
disparity	0.208	0.482	0.361	ความเหลื่อมล้ำ
dispassionate	0.199	0.217	0.218	หมดอารมณ์
dispatch	0.317	0.417	0.555	ส่ง
dispatcher	0.365	0.704	0.652	ผู้มอบหมายงาน
dispel	0.388	0.402	0.411	ปัดเป่า
dispensary	0.406	0.380	0.606	ร้านขายยา
dispensation	0.388	0.462	0.490	การจ่ายยา
dispense	0.561	0.520	0.518	จ่าย
dispenser	0.583	0.392	0.470	เครื่องจ่าย
dispersal	0.388	0.507	0.421	กระจาย
disperse	0.375	0.569	0.434	แยกย้ายกันไป
dispersed	0.344	0.490	0.274	กระจัดกระจาย
dispersion	0.270	0.604	0.350	การกระจายตัว
dispirited	0.204	0.280	0.142	ท้อแท้
displace	0.424	0.541	0.454	พลัดถิ่น
displaced	0.281	0.472	0.291	พลัดถิ่น
displacement	0.276	0.531	0.481	การกระจัด
displacency	0.500	0.528	0.642	ความพลัดถิ่น
display	0.677	0.325	0.400	แสดง
displease	0.021	0.702	0.286	ไม่พอใจ
displeased	0.135	0.690	0.400	ไม่พอใจ
displeasure	0.115	0.559	0.250	ความไม่พอใจ
disposable	0.271	0.439	0.250	แบบใช้แล้วทิ้ง
disposal	0.135	0.608	0.396	การกำจัด
dispose	0.548	0.538	0.559	ทิ้ง
disposed	0.688	0.441	0.625	ทิ้ง
disposition	0.663	0.542	0.734	นิสัย
dispossessed	0.354	0.577	0.331	ถูกยึดทรัพย์
disprove	0.375	0.625	0.613	หักล้าง
dispute	0.219	0.750	0.585	ข้อพิพาท
disqualification	0.066	0.677	0.330	ตัดสิทธิ์
disqualified	0.129	0.464	0.232	ตัดสิทธิ์
disqualify	0.208	0.595	0.267	ตัดสิทธิ์
disquieted	0.229	0.850	0.290	หงุดหงิด
disregard	0.177	0.647	0.308	ไม่สนใจ
disregarded	0.260	0.458	0.283	ละเลย
disrelish	0.375	0.471	0.304	ไม่พอใจ
disreputable	0.104	0.688	0.353	ไร้ชื่อเสียง
disrepute	0.208	0.630	0.292	เสียชื่อเสียง
disrespect	0.062	0.637	0.302	ดูหมิ่น
disrespectful	0.031	0.694	0.273	ไม่สุภาพ
disrupt	0.265	0.640	0.349	รบกวน
disrupting	0.186	0.557	0.339	รบกวน
disruption	0.235	0.735	0.436	การหยุดชะงัก
disruptive	0.255	0.755	0.575	ก่อกวน
dissatisfaction	0.115	0.663	0.202	ความไม่พอใจ
dissatisfied	0.042	0.561	0.291	ไม่พอใจ
dissect	0.367	0.750	0.595	ผ่า
dissection	0.276	0.632	0.462	ผ่า
disseminate	0.562	0.608	0.750	เผยแพร่
dissemination	0.476	0.551	0.583	การแพร่กระจาย
dissension	0.250	0.618	0.414	ความขัดแย้ง
dissent	0.300	0.655	0.407	คัดค้าน
dissenting	0.208	0.552	0.366	ไม่เห็นด้วย
dissertation	0.312	0.575	0.575	วิทยานิพนธ์
disservice	0.250	0.794	0.480	ก่อความไม่สงบ
dissident	0.350	0.582	0.413	ผู้คัดค้าน
dissimilar	0.276	0.461	0.472	ไม่เหมือนกัน
dissipate	0.385	0.368	0.355	กระจาย
dissipated	0.281	0.421	0.231	สำมะเลเทเมา
dissociation	0.135	0.555	0.471	ความแตกแยก
dissociative	0.281	0.615	0.397	dissociative
dissolution	0.204	0.464	0.349	การละลาย
dissolve	0.271	0.490	0.410	ละลาย
dissonance	0.173	0.471	0.336	ความไม่ลงรอยกัน
dissuade	0.482	0.500	0.350	ห้ามใจ
distal	0.410	0.401	0.438	ส่วนปลาย
distance	0.233	0.317	0.418	ระยะทาง
distant	0.229	0.324	0.269	ห่างไกล
distaste	0.184	0.625	0.370	ความไม่พอใจ
distasteful	0.264	0.676	0.222	น่ารังเกียจ
distillate	0.500	0.347	0.382	กลั่น
distillation	0.396	0.436	0.575	การกลั่น
distilled	0.427	0.573	0.500	กลั่น
distinct	0.542	0.578	0.509	แตกต่าง
distinction	0.584	0.571	0.750	ความแตกต่าง
distinctive	0.885	0.520	0.604	โดดเด่น
distinguish	0.675	0.471	0.600	แยกแยะ
distinguishable	0.635	0.530	0.727	แยกแยะได้
distinguished	0.823	0.593	0.759	เด่น
distinguishing	0.622	0.363	0.640	แยกแยะ
distort	0.100	0.740	0.366	บิดเบือน
distorted	0.250	0.521	0.280	บิดเบี้ยว
distortion	0.299	0.570	0.380	การบิดเบือน
distract	0.241	0.609	0.336	ทำให้เสียสมาธิ
distracted	0.194	0.392	0.213	ฟุ้งซ่าน
distracting	0.445	0.583	0.400	ทำให้เสียสมาธิ
distraction	0.402	0.557	0.390	ฟุ้งซ่าน
distraught	0.115	0.903	0.264	ท้อแท้
distress	0.073	0.840	0.396	ทุกข์
distressed	0.143	0.771	0.324	ทุกข์
distressing	0.075	0.750	0.375	น่าวิตก
distribute	0.643	0.596	0.709	แจกจ่าย
distribution	0.635	0.548	0.788	การกระจาย
distributor	0.702	0.447	0.718	ผู้จัดจำหน่าย
district	0.438	0.327	0.660	อำเภอ
distrust	0.060	0.670	0.276	ไม่ไว้วางใจ
disturb	0.175	0.760	0.481	รบกวน
disturbance	0.146	0.907	0.404	รบกวน
disturbed	0.125	0.870	0.305	รบกวน
disturbing	0.146	0.792	0.439	รบกวน
disuse	0.229	0.229	0.202	เลิกใช้
disused	0.250	0.302	0.186	เลิกใช้แล้ว
ditch	0.357	0.364	0.322	คู
ditto	0.449	0.418	0.411	เหมือนกัน
ditty	0.470	0.433	0.334	โง่
diurnal	0.714	0.296	0.443	รายวัน
diva	0.660	0.657	0.596	นักร้อง
divan	0.750	0.202	0.262	Divan
dive	0.583	0.531	0.500	ดำน้ำ
diver	0.594	0.520	0.564	นักประดาน้ำ
diverge	0.375	0.657	0.520	แตกต่าง
divergence	0.429	0.615	0.687	ความแตกต่าง
divergent	0.449	0.660	0.587	แตกต่าง
diverging	0.417	0.613	0.573	แตกต่าง
divers	0.583	0.580	0.602	นักดำน้ำ
diverse	0.562	0.519	0.604	หลากหลาย
diversified	0.602	0.538	0.549	หลากหลาย
diversify	0.656	0.588	0.464	กระจาย
diversion	0.740	0.821	0.714	ผัน
diversionary	0.551	0.587	0.300	นักประดาน้ำ
diversity	0.806	0.472	0.711	ความหลากหลาย
divert	0.344	0.622	0.407	โอน
diverting	0.396	0.571	0.537	การโอนสาย
divest	0.365	0.547	0.424	ปลดออก
divested	0.333	0.449	0.311	ขายออก
divestment	0.302	0.509	0.382	การถอนการลงทุน
divide	0.333	0.520	0.417	การแบ่ง
divided	0.271	0.623	0.391	แยก
dividend	0.583	0.491	0.566	เงินปันผล
divination	0.500	0.650	0.545	ดูดวง
divine	0.918	0.571	0.885	พระเจ้า
divinity	0.896	0.559	0.774	ความศักดิ์สิทธิ์
divisible	0.323	0.462	0.411	แบ่งได้
division	0.370	0.481	0.472	แผนก
divisor	0.344	0.517	0.455	ตัวหาร
divorce	0.042	0.700	0.385	หย่า
divorcee	0.153	0.610	0.481	หย่าร้าง
divulge	0.531	0.718	0.467	เปิดเผย
divvy	0.351	0.462	0.429	Divvy
dizziness	0.229	0.555	0.254	อาการวิงเวียนศีรษะ
dizzy	0.199	0.582	0.193	วิงเวียน
do	0.670	0.548	0.536	ทำ
doable	0.760	0.404	0.675	ทำได้
doc	0.458	0.317	0.392	เอกสาร
docile	0.604	0.259	0.264	เชื่อง
dock	0.490	0.409	0.481	ท่าเรือ
docked	0.281	0.754	0.398	เทียบท่า
docket	0.505	0.509	0.607	ใบปะหน้า
docking	0.354	0.596	0.587	เทียบท่า
doctor	0.700	0.531	0.861	หมอ
doctorate	0.776	0.479	0.841	ปริญญาเอก
doctrinal	0.510	0.373	0.673	หลักคำสอน
doctrine	0.500	0.394	0.769	หลักคำสอน
document	0.594	0.240	0.667	เอกสาร
documentary	0.622	0.213	0.596	สารคดี
documentation	0.719	0.290	0.667	เอกสาร
documents	0.530	0.250	0.587	เอกสาร
dodge	0.333	0.760	0.509	หลบ
dodger	0.427	0.454	0.490	ดอดเจอร์
dodging	0.396	0.654	0.382	หลบหลีก
dodgy	0.281	0.510	0.254	หลบ
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	doe
doer	0.724	0.550	0.728	คนทำ
dog	0.704	0.500	0.407	หมา
dogface	0.219	0.470	0.264	หน้าหมา
dogged	0.255	0.750	0.594	ดื้อรั้น
doggy	0.646	0.491	0.404	หมาน้อย
doghouse	0.438	0.417	0.340	บ้านหมา
dogma	0.530	0.460	0.719	ความเชื่อ
dogmatic	0.448	0.520	0.654	ดันทุรัง
dogsick	0.571	0.490	0.377	ขี้หมา
doings	0.604	0.491	0.705	การกระทำ
doit	0.500	0.519	0.392	ทำมัน
dojo	0.500	0.435	0.455	โดโจ
doldrums	0.229	0.425	0.266	ซบเซา
dole	0.448	0.402	0.348	โดล
doll	0.729	0.321	0.330	ตุ๊กตา
dollar	0.755	0.632	0.694	ดอลลาร์
dollhouse	0.643	0.245	0.363	บ้านตุ๊กตา
dolor	0.167	0.635	0.375	dolor
dolphin	0.776	0.350	0.414	ปลาโลมา
domain	0.573	0.549	0.828	โดเมน
dome	0.620	0.398	0.509	โดม
domestic	0.729	0.327	0.500	ภายในประเทศ
domesticated	0.635	0.360	0.294	ในบ้าน
domestication	0.594	0.390	0.435	การเลี้ยงลูก
domicile	0.604	0.292	0.529	ภูมิลำเนา
domiciled	0.542	0.340	0.516	มีภูมิลำเนา
dominance	0.542	0.775	0.839	การปกครอง
dominant	0.406	0.854	0.893	ที่เด่น
dominate	0.439	0.814	0.953	ครอง
dominating	0.427	0.769	0.902	ครอบงำ
domination	0.505	0.786	0.959	การปกครอง
dominatrix	0.390	0.727	0.709	dominatrix
dominion	0.542	0.704	0.890	การปกครอง
domino	0.594	0.510	0.473	โดมิโน
don	0.646	0.454	0.702	สวมใส่
donate	0.774	0.462	0.577	บริจาค
donation	0.792	0.398	0.602	บริจาค
donkey	0.406	0.367	0.245	ลา
donor	0.714	0.490	0.653	ผู้บริจาค
dontlikeyou	0.055	0.500	0.282	ไม่ชอบคุณ
dontmess	0.396	0.482	0.440	ไม่ยุ่ง
dontmesswithme	0.312	0.635	0.440	ไม่ยุ่งกับฉัน
dontpanic	0.469	0.465	0.425	อย่าตื่นตกใจ
dontunderstand	0.219	0.357	0.271	ไม่เข้าใจ
doodle	0.604	0.402	0.376	doodle
doom	0.073	0.750	0.442	doom
doomed	0.041	0.755	0.301	ถึงวาระ
doomsday	0.125	0.861	0.670	วันโลกาวินาศ
door	0.549	0.189	0.421	ประตู
doorbell	0.564	0.500	0.307	ออด
doorknob	0.406	0.553	0.462	ลูกบิดประตู
doorman	0.570	0.371	0.491	คนเฝ้าประตู
doormat	0.458	0.269	0.267	พรมเช็ดเท้า
doornail	0.459	0.370	0.423	เล็บเท้า
doorstep	0.531	0.274	0.391	หน้าประตู
doorway	0.573	0.304	0.496	ประตู
dopamine	0.548	0.469	0.426	โดปามีน
dope	0.295	0.855	0.425	ยาเสพติด
dopey	0.320	0.380	0.365	dopey
dork	0.272	0.519	0.361	dork
dorky	0.302	0.480	0.390	ดอร์กี้
dorm	0.719	0.194	0.327	หอพัก
dormant	0.385	0.245	0.245	อยู่เฉยๆ
dormitory	0.633	0.204	0.382	หอพัก
dorsal	0.449	0.360	0.445	หลัง
dosage	0.344	0.450	0.490	ปริมาณ
dose	0.458	0.490	0.427	ปริมาณ
dossier	0.357	0.380	0.544	เอกสาร
dot	0.434	0.290	0.391	จุด
doting	0.888	0.415	0.426	doting
dotted	0.480	0.347	0.426	จุด
dotty	0.375	0.402	0.393	ขี้เหนียว
double	0.677	0.378	0.569	สองเท่า
doubled	0.427	0.536	0.560	สองเท่า
doublet	0.420	0.431	0.500	doublet
doubling	0.459	0.452	0.464	ทวีคูณ
doubt	0.395	0.351	0.231	สงสัย
doubtful	0.250	0.465	0.241	สงสัย
doubting	0.224	0.560	0.189	สงสัย
doubtless	0.688	0.415	0.689	ไม่ต้องสงสัย
doubts	0.306	0.448	0.305	ข้อสงสัย
douche	0.490	0.413	0.397	douche
douchebags	0.327	0.587	0.366	douchebags
dough	0.588	0.229	0.391	แป้งโด
doughboy	0.365	0.443	0.396	โด่บอย
doughnut	0.663	0.380	0.279	โดนัท
dour	0.360	0.404	0.325	dour
douse	0.365	0.453	0.412	douse
dove	0.729	0.235	0.437	นกพิราบ
down	0.208	0.330	0.264	ลง
downcast	0.071	0.500	0.222	ตกต่ำ
downer	0.120	0.594	0.226	ดาวน์เนอร์
downfall	0.200	0.717	0.182	ความหายนะ
downfield	0.521	0.330	0.380	ดาวน์ฟิลด์
downhearted	0.119	0.461	0.255	ท้อแท้
downhill	0.292	0.573	0.279	ตกต่ำ
download	0.602	0.490	0.503	ดาวน์โหลด
downpour	0.328	0.602	0.481	ฝนตก
downright	0.625	0.454	0.679	จริงจัง
downriver	0.542	0.469	0.279	ลุ่มน้ำ
downside	0.190	0.400	0.246	ข้อเสีย
downtime	0.240	0.226	0.324	เวลาหยุดทำงาน
downward	0.188	0.347	0.255	ลง
downy	0.630	0.170	0.255	downy
dowry	0.604	0.453	0.544	สินสอดทองหมั้น
doze	0.592	0.200	0.405	เคลิ้มหลับ
dozen	0.583	0.343	0.425	โหล
drab	0.327	0.300	0.242	น่าเบื่อ
draft	0.438	0.360	0.351	ร่าง
drafty	0.458	0.500	0.518	ร่างสูง
drag	0.388	0.606	0.348	ลาก
dragon	0.541	0.821	0.712	มังกร
dragonfly	0.571	0.373	0.357	แมลงปอ
drain	0.277	0.470	0.222	ท่อระบายน้ำ
drainage	0.219	0.354	0.307	การระบายน้ำ
drained	0.310	0.441	0.352	ระบายออก
draining	0.337	0.396	0.304	การระบายน้ำ
drainpipe	0.417	0.413	0.277	ท่อระบายน้ำ
drake	0.467	0.411	0.452	เดรก
drama	0.430	0.755	0.481	ละคร
dramaqueen	0.337	0.682	0.482	ละครราชินี
dramatic	0.367	0.780	0.443	ดราม่า
drape	0.417	0.439	0.404	ผ้าม่าน
drapery	0.479	0.220	0.223	ผ้าม่าน
drastic	0.194	0.839	0.657	รุนแรง
drat	0.302	0.516	0.409	ดราต
draught	0.465	0.245	0.316	ร่าง
draw	0.704	0.449	0.481	วาด
drawback	0.302	0.422	0.148	ข้อเสีย
drawbridge	0.551	0.557	0.438	สะพานชัก
drawer	0.429	0.196	0.292	ลิ้นชัก
drawers	0.539	0.260	0.236	ลิ้นชัก
drawing	0.698	0.216	0.333	การวาดภาพ
dread	0.153	0.792	0.368	กลัว
dreaded	0.122	0.706	0.460	หวั่น
dreadful	0.092	0.786	0.348	น่ากลัว
dreadfully	0.246	0.806	0.306	อย่างน่ากลัว
dreading	0.125	0.760	0.377	น่ากลัว
dream	0.844	0.157	0.328	ฝัน
dreamboat	0.776	0.491	0.458	เรือในฝัน
dreamer	0.820	0.394	0.455	คนช่างฝัน
dreaming	0.854	0.320	0.336	ฝัน
dreamland	0.844	0.471	0.566	ดินแดนแห่งความฝัน
dreams	0.865	0.415	0.530	ความฝัน
dreamt	0.812	0.380	0.518	ฝัน
dreamy	0.837	0.350	0.500	เพ้อฝัน
dreary	0.260	0.490	0.324	น่าเบื่อ
dredge	0.427	0.445	0.444	ขุด
drenched	0.302	0.361	0.388	เปียกโชก
dress	0.760	0.300	0.345	ชุด
dresser	0.604	0.398	0.473	โต๊ะเครื่องแป้ง
dressmaker	0.698	0.460	0.483	ช่างตัดเสื้อ
dressy	0.800	0.570	0.696	โก้
dribble	0.417	0.551	0.465	เลี้ยงลูก
dried	0.427	0.260	0.385	แห้ง
drier	0.306	0.347	0.392	เครื่องอบแห้ง
drift	0.316	0.520	0.375	ล่องลอย
drifted	0.312	0.542	0.310	ล่องลอย
drifter	0.449	0.512	0.391	คนเร่ร่อน
driftwood	0.321	0.283	0.439	ไม้ระแนง
drill	0.250	0.602	0.573	เจาะ
drink	0.650	0.552	0.474	ดื่ม
drinker	0.365	0.735	0.441	นักดื่ม
drinking	0.562	0.459	0.317	ดื่มเหล้า
drinks	0.729	0.656	0.412	เครื่องดื่ม
drip	0.392	0.193	0.175	หยด
dripping	0.302	0.257	0.267	หยด
drive	0.625	0.689	0.713	ขับ
drivel	0.398	0.469	0.463	ไดรฟ์
driver	0.553	0.538	0.637	คนขับ
driveway	0.612	0.392	0.689	ถนนรถแล่น
drizzle	0.521	0.353	0.319	ฝนตกปรอยๆ
droll	0.459	0.573	0.422	droll
drone	0.429	0.686	0.596	โดรน
drones	0.398	0.577	0.588	โดรน
drool	0.385	0.398	0.204	น้ำลายไหล
drooping	0.245	0.558	0.353	หลบตา
droopy	0.438	0.350	0.297	droopy
drop	0.479	0.321	0.291	หยด
droplet	0.625	0.208	0.194	หยด
dropout	0.253	0.550	0.481	ออกกลางคัน
dropper	0.333	0.216	0.236	หยด
drought	0.133	0.353	0.267	ความแห้งแล้ง
drove	0.541	0.528	0.623	ขับรถ
