English Word	Valence	Arousal	Dominance	Lithuanian Word
brigade	0.604	0.710	0.828	brigada
bright	0.890	0.527	0.812	šviesus
brighten	0.760	0.547	0.649	pašviesinti
brightens	0.771	0.611	0.613	pašviesina
brighter	0.918	0.698	0.833	ryškesnis
brightness	0.938	0.623	0.660	ryškumą
brilliance	0.990	0.673	0.830	spindesys
brilliant	0.939	0.575	0.923	puikus
brim	0.469	0.333	0.330	kraštelis
brimming	0.656	0.690	0.758	alsuojantis
brimstone	0.357	0.520	0.440	siera
brine	0.333	0.481	0.361	sūrymu
bring	0.635	0.460	0.462	atsinešti
brink	0.375	0.413	0.356	kraštinė
brisk	0.719	0.745	0.742	žvalus
brisket	0.552	0.378	0.222	krūtinėlė
bristle	0.375	0.375	0.326	šerių
brittle	0.276	0.490	0.272	trapus
bro	0.794	0.349	0.684	bro
broach	0.438	0.439	0.675	brautis
broad	0.762	0.365	0.637	platus
broadcast	0.615	0.587	0.355	transliacija
broadcasting	0.542	0.700	0.706	transliacija
broaden	0.678	0.602	0.610	išplėsti
broadside	0.459	0.316	0.462	plačiapusis
broadsword	0.469	0.573	0.615	platus kardas
brocade	0.500	0.327	0.464	brokatas
broccoli	0.469	0.200	0.283	Brokoliai
brochure	0.552	0.226	0.391	brošiūra
broil	0.510	0.404	0.330	kepti
broke	0.245	0.590	0.370	sulūžo
broken	0.062	0.500	0.293	sulaužytas
brokenheart	0.115	0.577	0.343	sudaužyta širdis
brokenhearted	0.130	0.598	0.227	sudaužyta širdis
broker	0.582	0.462	0.600	brokeris
brokerage	0.479	0.500	0.500	tarpininkavimas
bromide	0.347	0.425	0.411	bromidas
bronco	0.500	0.510	0.473	bronco
bronze	0.622	0.333	0.526	bronzos
brooch	0.531	0.260	0.380	sagė
brood	0.633	0.519	0.434	perų
brooding	0.327	0.367	0.333	apmąstymas
brook	0.594	0.347	0.412	upelis
broom	0.385	0.154	0.302	šluota
broomstick	0.410	0.265	0.227	šluota
broth	0.500	0.245	0.168	sultinio
brothel	0.255	0.886	0.418	viešnamyje
brother	0.823	0.361	0.546	brolis
brotherhood	0.990	0.471	0.760	brolija
brotherly	0.865	0.306	0.596	broliškas
brow	0.562	0.311	0.481	antakį
brown	0.396	0.202	0.293	rudas
brownstone	0.559	0.423	0.439	rudasis akmuo
browse	0.635	0.750	0.592	naršyti
brrr	0.373	0.540	0.282	brrr
bruise	0.133	0.640	0.474	mėlynė
bruising	0.084	0.520	0.422	kraujosruvos
brunch	0.406	0.363	0.343	priešpiečiai
brunette	0.802	0.528	0.529	brunetė
brunt	0.204	0.750	0.349	sunkus
brush	0.490	0.265	0.186	teptuku
brutal	0.122	0.882	0.643	brutalus
brutality	0.122	0.832	0.571	brutalumas
brute	0.115	0.547	0.379	žiaurus
brutish	0.270	0.837	0.588	žiaurus
bubble	0.774	0.213	0.364	burbulas
bubbling	0.500	0.438	0.384	burbuliuojantis
bubbly	0.698	0.608	0.462	burbuliuojantis
bubonic	0.280	0.530	0.394	buboninis
buck	0.677	0.577	0.720	bakas
buckaroo	0.448	0.469	0.479	bukaras
bucket	0.408	0.167	0.336	kibiras
buckle	0.416	0.373	0.361	sagtis
buckled	0.427	0.358	0.439	susegtas
bucko	0.439	0.455	0.465	bucko
buckshot	0.255	0.740	0.322	buckshot
buckwheat	0.490	0.471	0.434	grikiai
bud	0.460	0.402	0.333	pumpuras
buddha	0.690	0.198	0.604	buda
buddhism	0.510	0.115	0.673	budizmas
budding	0.490	0.500	0.355	pumpuriuojantis
buddy	0.884	0.585	0.655	bičiulis
budge	0.719	0.755	0.543	pajudėti
budget	0.643	0.396	0.731	biudžeto
buff	0.561	0.425	0.361	buff
buffalo	0.469	0.528	0.527	buivolas
buffer	0.520	0.474	0.350	buferis
buffering	0.479	0.468	0.381	buferizavimas
buffet	0.656	0.546	0.519	bufetas
buffoon	0.344	0.651	0.290	bukas
bug	0.286	0.500	0.246	klaida
bugaboo	0.439	0.491	0.441	bugaboo
bugged	0.561	0.439	0.500	pakliuvo
bugger	0.312	0.627	0.474	bugeris
buggy	0.500	0.509	0.327	vežimėlis
bugle	0.479	0.588	0.391	bugle
bugler	0.542	0.540	0.393	bugler
build	0.771	0.546	0.806	statyti
builder	0.660	0.642	0.701	statybininkas
building	0.705	0.288	0.673	pastatas
buildings	0.582	0.380	0.552	pastatai
buildup	0.490	0.509	0.623	pastatyti
bulb	0.562	0.208	0.300	lemputė
bulbous	0.390	0.442	0.430	svogūninis
bulge	0.260	0.487	0.400	išsipūtimas
bulimic	0.092	0.570	0.373	bulimija
bulk	0.469	0.413	0.509	urmu
bulkhead	0.312	0.425	0.402	pertvara
bulky	0.427	0.591	0.750	didelių gabaritų
bull	0.521	0.640	0.644	bulius
bulldog	0.494	0.650	0.530	buldogas
bulldozer	0.459	0.549	0.643	buldozeris
bullet	0.408	0.794	0.634	kulka
bulletin	0.573	0.294	0.361	biuletenis
bulletproof	0.750	0.721	0.779	neperšaunamas
bullfighter	0.448	0.794	0.664	bulių kovotojas
bullfrog	0.344	0.481	0.422	bulius varlė
bullheaded	0.229	0.740	0.516	bukagalvis
bullhorn	0.510	0.653	0.736	bulių ragas
bullion	0.693	0.558	0.729	taurieji metalai
bullock	0.281	0.402	0.375	jautis
bullpen	0.480	0.549	0.500	bulgaras
bullshit	0.042	0.676	0.183	nesąmonė
bully	0.257	0.755	0.564	tyčiojasi
bulwark	0.551	0.552	0.675	tvirtovė
bum	0.281	0.451	0.155	bum
bumblebee	0.469	0.493	0.321	kamanė
bummed	0.296	0.430	0.227	nuliūdęs
bummer	0.163	0.500	0.267	bumas
bump	0.286	0.458	0.368	guzas
bumper	0.385	0.573	0.518	buferis
bumpy	0.306	0.683	0.419	nelygus
bun	0.424	0.306	0.268	bandelė
bunch	0.552	0.358	0.473	krūva
bundle	0.510	0.343	0.434	ryšulėlis
bungalow	0.562	0.352	0.406	vasarnamis
bungee	0.637	0.545	0.327	bungee
bunghole	0.286	0.426	0.396	bunghole
bunion	0.276	0.340	0.290	bunionas
bunk	0.438	0.332	0.339	dviaukštė
bunker	0.375	0.673	0.773	bunkeris
bunkhouse	0.470	0.414	0.407	dviaukštis namas
bunny	0.740	0.325	0.194	zuikis
bunt	0.417	0.422	0.349	bandelė
buoy	0.562	0.280	0.284	plūduras
buoyancy	0.625	0.373	0.538	plūdrumas
buoyant	0.625	0.441	0.497	plūduriuojantis
bur	0.385	0.353	0.314	bur
burden	0.367	0.583	0.697	našta
burdened	0.429	0.519	0.565	apkrautas
burdensome	0.229	0.696	0.419	apsunkinantis
bureau	0.562	0.373	0.618	biuras
bureaucracy	0.380	0.578	0.740	biurokratija
bureaucrat	0.208	0.519	0.598	biurokratas
bureaucratic	0.280	0.630	0.573	biurokratinis
burger	0.688	0.568	0.398	mesainis
burglar	0.050	0.769	0.404	įsilaužėlis
burglary	0.146	0.918	0.543	įsilaužimas
burial	0.203	0.577	0.333	palaidojimas
buried	0.133	0.530	0.370	palaidotas
burke	0.466	0.441	0.451	burke
burlap	0.429	0.462	0.411	audeklas
burlesque	0.327	0.615	0.343	burleska
burly	0.562	0.650	0.750	stambus
burn	0.219	0.783	0.509	deginti
burned	0.163	0.603	0.347	sudegė
burner	0.296	0.816	0.446	degiklis
burning	0.229	0.760	0.412	deginimas
burnished	0.520	0.580	0.464	apdegęs
burnout	0.219	0.445	0.240	perdegimas
burnt	0.082	0.713	0.356	apdegė
burp	0.219	0.594	0.432	burbėti
burr	0.390	0.426	0.308	burr
burrito	0.688	0.294	0.166	burrito
burro	0.400	0.356	0.318	burro
burrow	0.438	0.280	0.355	įkasti
bursary	0.729	0.462	0.571	stipendija
burst	0.156	0.894	0.845	sprogo
bury	0.077	0.571	0.346	palaidoti
bus	0.407	0.411	0.400	autobusas
busboy	0.510	0.453	0.441	autobusiukas
bush	0.413	0.220	0.315	krūmas
bushel	0.417	0.387	0.368	bušelis
bushy	0.562	0.321	0.427	krūminis
business	0.688	0.569	0.755	verslui
business man	0.530	0.598	0.933	verslininkas
businessman	0.653	0.510	0.802	verslininkas
businesswoman	0.719	0.500	0.764	verslininkė
busload	0.561	0.481	0.492	autobuso krovinys
buss	0.469	0.500	0.391	autobusas
bust	0.520	0.500	0.420	biustas
busted	0.204	0.676	0.345	sumuštas
buster	0.469	0.491	0.483	buster
bustle	0.347	0.814	0.445	šurmulio
bustling	0.490	0.850	0.528	šurmuliuojantis
busy	0.402	0.500	0.474	užsiėmes
busybody	0.255	0.634	0.472	užimtas žmogus
butane	0.442	0.483	0.380	butanas
butcher	0.500	0.575	0.608	mėsininkas
butler	0.469	0.225	0.438	liokajus
butt	0.347	0.725	0.336	užpakalis
butter	0.650	0.292	0.202	sviesto
buttercup	0.562	0.482	0.422	vėdrynas
butterfly	0.892	0.327	0.314	drugelis
buttermilk	0.633	0.311	0.304	pasukų
butterscotch	0.708	0.510	0.356	sviestas
buttery	0.625	0.318	0.303	sviestinis
buttock	0.429	0.600	0.288	sėdmenis
buttocks	0.458	0.677	0.365	sėdmenys
button	0.520	0.220	0.343	mygtuką
buttress	0.438	0.684	0.721	kontraforsas
buxom	0.562	0.719	0.547	buxom
buy	0.771	0.769	0.612	pirkti
buyer	0.613	0.519	0.649	pirkėjas
buying	0.665	0.784	0.589	perkant
buzz	0.333	0.686	0.375	zvimbimas
buzzard	0.350	0.500	0.225	snukis
buzzed	0.583	0.549	0.448	zvimbė
buzzer	0.549	0.716	0.480	garsinis signalas
buzzing	0.430	0.588	0.370	zvimbimas
bye	0.375	0.398	0.321	Ate
bygone	0.229	0.310	0.315	praėjo
bylaw	0.469	0.373	0.725	įstatus
byline	0.469	0.450	0.435	eilutė
bypass	0.429	0.418	0.353	Apeiti
bystander	0.480	0.462	0.491	stebėtojas
byte	0.490	0.380	0.407	baitas
byzantine	0.546	0.443	0.492	bizantiškas
cab	0.438	0.490	0.421	Taksi
cabal	0.500	0.406	0.573	kabalas
cabana	0.698	0.296	0.407	kabina
cabaret	0.677	0.656	0.482	kabaretas
cabbage	0.398	0.225	0.264	kopūstai
cabbie	0.521	0.417	0.429	taksi
cabernet	0.543	0.420	0.480	cabernet
cabin	0.643	0.292	0.430	kabina
cabinet	0.552	0.306	0.465	kabinetas
cable	0.583	0.245	0.434	kabelis
caboodle	0.529	0.521	0.325	kaboodle
caboose	0.440	0.453	0.438	kabuo
cabriolet	0.667	0.525	0.472	kabrioletas
cache	0.552	0.348	0.389	talpykla
cacophony	0.408	0.562	0.440	kakofonija
cactus	0.439	0.412	0.284	kaktusas
cad	0.447	0.406	0.404	cad
cadaver	0.030	0.690	0.260	lavonas
caddie	0.521	0.435	0.259	caddy
caddy	0.580	0.470	0.380	caddy
cadence	0.427	0.473	0.355	kadencija
cadet	0.504	0.393	0.664	kariūnas
cafe	0.781	0.392	0.358	kavinė
cafeteria	0.757	0.400	0.382	kavinė
caffeine	0.562	0.759	0.500	kofeino
cage	0.316	0.333	0.352	narvas
cagey	0.542	0.363	0.582	narvas
cahoots	0.312	0.696	0.474	cahoots
cairn	0.260	0.435	0.254	kernas
cake	0.810	0.375	0.287	tortas
cakewalk	0.719	0.510	0.447	tortas
calamari	0.521	0.312	0.406	kalmarai
calamitous	0.219	0.685	0.500	nelaimingas
calamity	0.122	0.795	0.343	nelaimė
calcareous	0.490	0.368	0.462	kalkingas
calcium	0.600	0.346	0.479	kalcio
calculate	0.490	0.452	0.440	apskaičiuoti
calculated	0.633	0.425	0.683	apskaičiuotas
calculating	0.458	0.430	0.625	skaičiuojant
calculation	0.646	0.453	0.606	skaičiavimas
calculator	0.513	0.283	0.588	skaičiuotuvas
calculus	0.360	0.360	0.562	skaičiavimas
calendar	0.480	0.212	0.473	kalendorius
calender	0.531	0.275	0.451	kalendorius
calf	0.531	0.366	0.336	veršelis
caliber	0.429	0.551	0.606	kalibro
calibrate	0.552	0.460	0.623	sukalibruoti
calico	0.406	0.338	0.491	kalikonas
calipers	0.480	0.510	0.481	apkabos
calisthenics	0.562	0.663	0.545	kalanetika
call	0.594	0.627	0.558	skambinti
callback	0.524	0.529	0.434	perskambink
caller	0.646	0.615	0.472	skambinantysis
calligraphy	0.620	0.216	0.500	kaligrafija
calling	0.646	0.590	0.483	skambinant
callous	0.245	0.500	0.386	bejausmis
calls	0.608	0.431	0.551	skambučių
calm	0.875	0.100	0.282	Ramus
calming	0.885	0.105	0.360	raminantis
calmness	0.934	0.105	0.394	ramybė
caloric	0.327	0.483	0.448	kaloringas
calorie	0.333	0.540	0.427	kalorijų
calorimeter	0.406	0.560	0.414	kalorimetras
cam	0.448	0.363	0.355	kumštelis
camaraderie	0.833	0.510	0.648	bičiulystė
camber	0.430	0.382	0.439	kampinis
camcorder	0.556	0.422	0.454	vaizdo kamera
camel	0.540	0.282	0.314	kupranugaris
cameo	0.573	0.457	0.509	kamėja
camera	0.640	0.288	0.379	fotoaparatas
cameraman	0.542	0.452	0.542	operatorius
camisole	0.497	0.250	0.375	kamzolis
camouflage	0.438	0.585	0.450	kamufliažas
camouflaged	0.350	0.422	0.562	užmaskuotas
camp	0.622	0.617	0.594	stovykla
campaign	0.602	0.730	0.823	kampanija
campaigner	0.592	0.698	0.821	kampanijos dalyvis
campaigning	0.531	0.663	0.741	kampaniją
camper	0.573	0.529	0.482	kemperis
campfire	0.677	0.509	0.436	laužas
camping	0.653	0.529	0.480	stovyklavimas
campsite	0.680	0.490	0.547	stovyklavietėje
campus	0.604	0.388	0.519	miesteliu
can	0.662	0.360	0.454	gali
can opener	0.444	0.491	0.308	skardinių atidarytuvas
canal	0.673	0.259	0.321	kanalas
canary	0.582	0.276	0.265	kanarėlė
cancel	0.214	0.306	0.368	atšaukti
canceling	0.229	0.470	0.349	atšaukimas
cancellation	0.224	0.431	0.389	atšaukimas
cancer	0.052	0.694	0.529	vėžys
candid	0.667	0.349	0.458	atviras
candidacy	0.490	0.657	0.696	kandidatūra
candidate	0.596	0.490	0.804	kandidatas
candied	0.713	0.330	0.360	cukruotas
candle	0.602	0.221	0.344	žvakė
candlelight	0.789	0.294	0.417	žvakių šviesa
candles	0.615	0.206	0.268	žvakės
candlestick	0.448	0.531	0.534	žvakidė
candor	0.740	0.389	0.607	nuoširdumas
candy	0.930	0.425	0.384	saldainiai
cane	0.459	0.298	0.398	cukranendrių
canine	0.573	0.569	0.425	iltinis
canister	0.553	0.271	0.403	kanistras
canker	0.262	0.469	0.427	vėžys
cannabis	0.271	0.500	0.564	kanapių
canned	0.398	0.357	0.298	konservuoti
cannibal	0.122	0.824	0.480	kanibalas
cannibalism	0.094	0.890	0.583	kanibalizmas
canning	0.490	0.392	0.259	konservavimas
cannon	0.529	0.676	0.811	patranka
cannonball	0.344	0.840	0.759	patrankos sviedinys
canoe	0.542	0.300	0.418	kanoja
canon	0.385	0.519	0.541	kanonas
canonical	0.542	0.410	0.620	kanoninis
canons	0.385	0.588	0.593	kanonai
canopy	0.615	0.264	0.398	baldakimu
cantaloupe	0.592	0.212	0.276	kantalupa
cantbreathe	0.284	0.667	0.375	negali kvėpuoti
canteen	0.688	0.600	0.514	valgykla
canterbury	0.582	0.438	0.510	Kenterberis
canthandleit	0.354	0.613	0.354	cantandleit
cantilever	0.357	0.618	0.421	konsolė
cantina	0.646	0.612	0.380	cantina
canto	0.776	0.461	0.554	canto
canton	0.542	0.472	0.536	kantonas
cantstandit	0.418	0.546	0.343	negaliu pakęsti
cantwin	0.260	0.509	0.298	cantwin
canvas	0.719	0.090	0.364	drobė
canvass	0.675	0.356	0.397	drobė
canyon	0.468	0.731	0.634	kanjonas
cap	0.612	0.240	0.375	dangtelis
capability	0.833	0.571	0.730	gebėjimas
capable	0.765	0.587	0.547	galintis
capacity	0.719	0.411	0.806	talpa
cape	0.531	0.235	0.357	pelerina
caper	0.510	0.370	0.326	kaparėlių
capillary	0.469	0.365	0.395	kapiliarinis
capital	0.520	0.500	0.798	kapitalo
capitalism	0.448	0.686	0.848	kapitalizmas
capitalist	0.352	0.577	0.821	kapitalistas
capitalize	0.771	0.601	0.885	rašyti didžiosiomis raidėmis
capitals	0.755	0.500	0.655	sostinės
capitation	0.479	0.529	0.589	kapitacija
capitol	0.535	0.375	0.705	sostinė
capitulation	0.375	0.546	0.615	kapituliacija
cappuccino	0.792	0.279	0.384	kapučino
caprice	0.333	0.640	0.430	kaprizas
capricious	0.221	0.650	0.500	kaprizingas
caps	0.510	0.221	0.368	kepurės
capslock	0.330	0.394	0.398	Didžiosios raidės
capsule	0.583	0.290	0.570	kapsulė
captain	0.552	0.653	0.966	kapitonas
caption	0.814	0.292	0.379	antraštė
captivate	0.698	0.604	0.723	sužavėti
captivating	0.895	0.594	0.816	žavintys
captive	0.235	0.558	0.411	nelaisvėje
captivity	0.225	0.493	0.387	nelaisvė
captor	0.347	0.625	0.612	pagrobėjas
capture	0.357	0.650	0.537	užfiksuoti
car	0.776	0.540	0.500	automobilis
caramel	0.901	0.363	0.400	karamelė
carat	0.823	0.604	0.676	karatų
caravan	0.635	0.559	0.455	karavanas
carbon	0.604	0.360	0.350	anglies
carburetor	0.469	0.612	0.555	karbiuratorius
carcass	0.115	0.529	0.309	skerdena
carcinoma	0.153	0.692	0.440	karcinoma
card	0.531	0.269	0.436	kortelę
cardboard	0.500	0.173	0.309	kartono
cardiac	0.344	0.765	0.615	širdies
cardigan	0.599	0.324	0.264	megztinis
cardinal	0.583	0.358	0.712	kardinolas
cardiologist	0.458	0.630	0.814	kardiologas
cardiology	0.203	0.545	0.605	kardiologija
cardiomyopathy	0.177	0.645	0.537	kardiomiopatija
cards	0.568	0.317	0.320	kortelės
care	0.729	0.370	0.500	priežiūra
career	0.740	0.712	0.606	karjerą
carefree	0.755	0.220	0.500	nerūpestingas
careful	0.625	0.538	0.530	atsargus
carefully	0.698	0.330	0.544	atsargiai
careless	0.255	0.431	0.125	neatsargus
carelessness	0.245	0.482	0.330	neatsargumas
caress	0.833	0.418	0.509	paglostyti
caret	0.656	0.402	0.527	caret
caretaker	0.714	0.531	0.759	prižiūrėtojas
cargo	0.408	0.444	0.455	krovinys
caribou	0.562	0.452	0.342	karibu
caricature	0.604	0.373	0.383	karikatūra
caries	0.115	0.569	0.283	kariesas
caring	0.635	0.469	0.500	rūpestinga
carjack	0.438	0.682	0.439	carjack
carnage	0.406	0.600	0.558	skerdynės
carnal	0.417	0.679	0.421	kūniškas
carnation	0.653	0.357	0.431	gvazdikas
carnival	0.927	0.888	0.555	karnavalas
carnivorous	0.224	0.613	0.651	mėsėdis
carol	0.673	0.412	0.436	karolis
carols	0.847	0.420	0.491	giesmės
carousel	0.704	0.500	0.412	karuselė
carp	0.531	0.324	0.375	karpių
carpal	0.449	0.327	0.420	riešo
carpenter	0.521	0.550	0.519	stalius
carpentry	0.561	0.459	0.518	staliaus darbai
carpet	0.520	0.170	0.339	kilimas
carpeting	0.542	0.312	0.444	kiliminė danga
carpool	0.625	0.509	0.500	carpool
carriage	0.650	0.538	0.491	vežimas
carried	0.490	0.382	0.534	nešė
carrier	0.533	0.588	0.638	vežėjas
carrot	0.500	0.235	0.279	morkų
carry	0.635	0.380	0.500	nešti
carrying	0.656	0.557	0.443	nešantis
carsick	0.224	0.574	0.255	sergantis automobiliu
cart	0.520	0.344	0.388	krepšelis
carte	0.592	0.320	0.274	carte
cartel	0.438	0.394	0.602	kartelį
carter	0.312	0.480	0.431	karteris
cartilage	0.438	0.370	0.407	kremzlės
cartographic	0.490	0.348	0.424	kartografinis
cartography	0.520	0.300	0.579	kartografija
carton	0.286	0.186	0.241	dėžutė
cartoon	0.867	0.471	0.387	animacinis filmas
cartouche	0.427	0.458	0.450	kartušas
cartridge	0.458	0.500	0.407	kasetė
carve	0.469	0.443	0.598	raižyti
carver	0.418	0.500	0.500	drožėjas
carving	0.541	0.444	0.368	drožyba
cascade	0.735	0.509	0.395	kaskados
case	0.427	0.275	0.441	atveju
casein	0.470	0.436	0.415	kazeino
cash	0.867	0.552	0.714	grynųjų pinigų
cashier	0.615	0.413	0.484	kasininkė
cashmere	0.653	0.452	0.439	kašmyrui
casing	0.458	0.327	0.328	korpusas
casino	0.542	0.684	0.568	kazino
cask	0.490	0.398	0.444	statinė
casket	0.125	0.490	0.346	karstas
casserole	0.570	0.360	0.328	troškinys
cassette	0.490	0.334	0.355	kasetė
cast	0.558	0.620	0.517	mesti
castaway	0.208	0.646	0.422	išmestas
caste	0.510	0.333	0.374	kasta
caster	0.604	0.670	0.647	ratukas
castle	0.680	0.396	0.718	pilis
castor	0.583	0.337	0.368	ratukas
castrate	0.177	0.485	0.519	kastruoti
castration	0.198	0.735	0.381	kastracija
casual	0.643	0.224	0.385	atsitiktinis
casually	0.658	0.290	0.333	Kasdieniškai
casualty	0.235	0.274	0.132	žuvusysis
cat	0.667	0.260	0.370	katė
catabolism	0.265	0.573	0.605	katabolizmas
catalog	0.561	0.221	0.573	katalogą
catalogue	0.647	0.327	0.533	katalogą
catalysis	0.385	0.559	0.531	katalizė
catalyst	0.604	0.509	0.585	katalizatorius
catalytic	0.562	0.519	0.563	katalizinis
catamaran	0.571	0.566	0.526	katamaranas
catapult	0.480	0.830	0.649	katapulta
cataract	0.406	0.545	0.549	katarakta
catastrophe	0.146	0.952	0.670	katastrofa
catastrophic	0.071	0.934	0.598	katastrofiškas
catatonic	0.255	0.500	0.509	katatoninis
catch	0.531	0.437	0.552	sugauti
catcher	0.653	0.413	0.540	gaudytojas
catching	0.490	0.788	0.644	gaudymas
catchphrase	0.698	0.423	0.433	frazė
catchy	0.677	0.441	0.462	patrauklus
catechism	0.656	0.236	0.613	katekizmas
categorical	0.615	0.442	0.760	kategoriškas
category	0.571	0.264	0.521	Kategorija
cater	0.802	0.500	0.509	aprūpinti
caterer	0.550	0.557	0.644	maitintojas
caterpillar	0.461	0.286	0.330	vikšras
cates	0.370	0.394	0.407	katės
catfish	0.458	0.337	0.296	šamas
cathartic	0.450	0.510	0.604	katarsis
cathedral	0.598	0.330	0.643	katedra
catheter	0.336	0.491	0.373	kateteris
cathouse	0.327	0.375	0.363	kačių namelis
catnip	0.439	0.381	0.296	katžolės
cattle	0.622	0.340	0.445	galvijai
catwalk	0.698	0.436	0.464	podiumas
caucus	0.418	0.311	0.491	pasitarimas
caudal	0.500	0.425	0.583	uodeginis
cauldron	0.510	0.486	0.418	katilas
cauliflower	0.448	0.255	0.231	žiedinių kopūstų
caulk	0.367	0.500	0.418	glaistyti
causal	0.562	0.367	0.491	priežastinis
causality	0.500	0.378	0.336	priežastingumas
causation	0.562	0.480	0.567	priežastinis ryšys
cause	0.469	0.373	0.486	priežastis
caused	0.344	0.520	0.382	sukelia
causeway	0.453	0.382	0.422	kelias
caution	0.552	0.712	0.547	atsargiai
cautionary	0.510	0.541	0.519	įspėjamasis
cautious	0.470	0.445	0.517	atsargus
cautiously	0.510	0.388	0.525	atsargiai
cavalier	0.735	0.462	0.713	kavalierius
cavalry	0.667	0.727	0.794	kavalerija
cave	0.459	0.333	0.380	urvas
caveat	0.344	0.629	0.484	įspėjimas
caveman	0.235	0.644	0.482	urvinis žmogus
cavern	0.323	0.360	0.365	urvas
cavernous	0.354	0.548	0.462	kaverninis
caviar	0.906	0.394	0.481	ikrų
caving	0.378	0.491	0.551	speles
cavity	0.466	0.385	0.379	ertmė
cayenne	0.615	0.306	0.355	kajenas
cease	0.388	0.250	0.420	liautis
ceasefire	0.542	0.594	0.567	paliaubos
ceaseless	0.378	0.704	0.658	nepaliaujamas
cedar	0.560	0.267	0.577	kedras
cede	0.275	0.327	0.402	perleisti
ceiling	0.520	0.224	0.366	lubos
celebrant	0.865	0.656	0.643	švenčiantis
celebrate	0.917	0.857	0.859	švesti
celebrated	0.875	0.690	0.763	šventė
celebrating	0.927	0.860	0.773	švenčiant
celebration	0.939	0.824	0.880	šventė
celebrations	0.958	0.794	0.714	šventės
celebratory	0.857	0.653	0.845	šventinis
celebrity	0.760	0.619	0.855	įžymybė
celery	0.396	0.147	0.223	salierų
celestial	0.817	0.360	0.731	dangiškas
celibacy	0.302	0.276	0.509	celibatas
celibate	0.419	0.387	0.391	celibatas
cell	0.541	0.375	0.465	ląstelė
cellar	0.510	0.277	0.406	rūsys
cellblock	0.186	0.570	0.500	ląstelių blokas
cellist	0.667	0.500	0.486	violončelininkas
cellmate	0.167	0.684	0.349	kameros draugas
cello	0.635	0.324	0.528	violončelė
cellophane	0.648	0.282	0.289	celofanas
cellular	0.643	0.398	0.517	ląstelinis
cellulite	0.200	0.384	0.256	celiulitas
celluloid	0.469	0.440	0.425	celiuliozė
cement	0.544	0.265	0.527	cementas
cemented	0.429	0.382	0.537	sucementuotas
cemetery	0.051	0.630	0.417	kapinės
censor	0.344	0.276	0.538	cenzorius
censorship	0.219	0.698	0.421	cenzūra
censure	0.219	0.653	0.417	nepasitikėjimą
census	0.449	0.289	0.553	surašymas
cent	0.439	0.367	0.402	cento
centenary	0.604	0.440	0.642	šimtmetis
centennial	0.583	0.394	0.700	šimtmečio
center	0.643	0.231	0.431	centras
centerfold	0.571	0.407	0.485	centrinis lankas
centerpiece	0.594	0.208	0.520	centrinė dalis
centimeter	0.427	0.280	0.380	centimetro
centipede	0.296	0.399	0.361	Šimtakojis
central	0.640	0.356	0.621	centrinis
centrality	0.571	0.312	0.709	centriškumas
centralization	0.521	0.440	0.702	centralizacija
centralize	0.684	0.427	0.802	centralizuoti
centrally	0.729	0.280	0.700	centralizuotai
centrifugal	0.306	0.651	0.480	išcentrinis
centrifuge	0.495	0.622	0.527	centrifuga
centurion	0.590	0.447	0.696	šimtininkas
century	0.407	0.347	0.735	amžiaus
ceramic	0.521	0.255	0.371	keramikos
ceramics	0.573	0.250	0.373	keramika
cereal	0.612	0.206	0.316	grūdų
cereals	0.719	0.224	0.311	javai
cerebral	0.408	0.509	0.627	smegenų
ceremonial	0.771	0.540	0.691	iškilmingas
ceremony	0.760	0.559	0.761	ceremonija
certain	0.760	0.358	0.673	tam tikras
certainty	0.781	0.400	0.769	tikrumas
certifiable	0.714	0.427	0.662	sertifikuoti
certificate	0.786	0.377	0.746	sertifikatas
certified	0.781	0.422	0.806	sertifikuota
certify	0.866	0.400	0.746	patvirtinti
cervical	0.375	0.413	0.445	gimdos kaklelio
cervix	0.429	0.360	0.340	gimdos kaklelio
cess	0.427	0.375	0.406	cess
cessation	0.414	0.385	0.358	nutraukimas
cesspool	0.167	0.460	0.409	šiukšliadėžė
cha cha	0.714	0.546	0.324	cha cha
chaff	0.333	0.327	0.188	pelai
chafing	0.430	0.415	0.368	trintis
chagrin	0.104	0.704	0.472	apmaudas
chagrined	0.112	0.745	0.361	nuliūdęs
chai	0.500	0.375	0.363	chai
chain	0.378	0.500	0.547	grandine
chainsaw	0.367	0.804	0.636	grandininis pjūklas
chair	0.562	0.082	0.276	kėdė
chairman	0.656	0.567	0.933	pirmininkas
chairperson	0.730	0.657	0.966	pirmininkė
chairwoman	0.719	0.664	0.953	pirmininkė
chaise	0.406	0.349	0.327	šezlongas
chalet	0.653	0.349	0.278	namelis
chalice	0.633	0.286	0.529	taurė
chalk	0.385	0.185	0.121	kreida
challenge	0.469	0.922	0.713	iššūkis
challenger	0.417	0.755	0.652	varžovas
chamber	0.583	0.373	0.455	kamera
chambermaid	0.594	0.375	0.336	kambarinė
chambers	0.542	0.442	0.388	kameros
chameleon	0.490	0.580	0.345	chameleonas
champ	0.854	0.754	0.896	čempionė
champagne	0.760	0.600	0.454	šampanas
champion	0.890	0.880	0.945	čempionas
championship	0.833	0.800	0.880	čempionatas
chance	0.833	0.551	0.525	galimybė
chancellor	0.646	0.500	0.887	kancleris
chandelier	0.615	0.542	0.366	sietynas
chandler	0.510	0.452	0.454	chandleris
change	0.625	0.575	0.606	pakeisti
changeable	0.490	0.480	0.528	keičiamas
