English Word	Valence	Arousal	Dominance	Esperanto Word
consolidation	0.604	0.445	0.776	firmiĝo
consonant	0.500	0.347	0.417	konsonanto
consort	0.632	0.509	0.630	partnero
conspicuous	0.479	0.520	0.596	evidenta
conspiracy	0.125	0.787	0.652	konspiro
conspirator	0.271	0.786	0.707	konspiranto
conspire	0.206	0.740	0.520	konspiru
constable	0.573	0.667	0.764	soldato
constancy	0.786	0.443	0.763	konstanteco
constant	0.740	0.296	0.686	konstanta
constantly	0.663	0.561	0.700	konstante
constellation	0.719	0.533	0.775	konstelacio
consternation	0.167	0.680	0.469	konsterno
constipation	0.079	0.612	0.231	estreñimiento
constituency	0.500	0.480	0.696	balotdistrikto
constituent	0.573	0.500	0.827	konsisto
constituents	0.573	0.414	0.833	komponantoj
constitute	0.812	0.349	0.906	konsistigi
constitution	0.590	0.380	0.889	konstitucio
constitutional	0.633	0.418	0.827	konstitucia
constitutionality	0.612	0.439	0.853	konstitucieco
constrain	0.261	0.500	0.500	limigi
constrained	0.135	0.537	0.357	limigita
constraint	0.323	0.550	0.481	limigo
construct	0.750	0.648	0.792	konstrui
construction	0.848	0.612	0.759	konstruo
constructive	0.860	0.570	0.812	konstruiva
construe	0.602	0.519	0.553	konstrui
consul	0.573	0.354	0.688	konsulo
consulate	0.561	0.453	0.694	konsulejo
consult	0.755	0.370	0.441	konsulti
consultant	0.770	0.344	0.808	konsultisto
consultation	0.660	0.463	0.625	konsulto
consume	0.427	0.620	0.509	konsumi
consumer	0.507	0.551	0.677	konsumanto
consuming	0.573	0.541	0.536	konsumanta
consummate	0.551	0.540	0.558	plenumita
consummation	0.583	0.676	0.661	plenumo
consumption	0.390	0.531	0.538	konsumo
contact	0.719	0.424	0.526	kontakto
contagion	0.208	0.630	0.535	kontaĝo
contagious	0.184	0.725	0.400	kontaĝa
contain	0.542	0.490	0.658	enhavi
container	0.551	0.396	0.561	ujo
containment	0.411	0.491	0.618	reteno
contaminate	0.140	0.611	0.426	polui
contaminated	0.040	0.500	0.368	poluita
contamination	0.125	0.610	0.375	poluado
contemplate	0.740	0.347	0.642	kontempli
contemplation	0.552	0.324	0.627	kontemplado
contemplative	0.729	0.308	0.739	kontempla
contemporaneous	0.640	0.373	0.591	samtempa
contemporary	0.720	0.365	0.569	nuntempa
contempt	0.206	0.635	0.396	malestimo
contemptible	0.146	0.657	0.471	malestiminda
contemptuous	0.204	0.500	0.375	malestima
contend	0.510	0.657	0.731	disputi
contender	0.480	0.790	0.681	defianto
contending	0.490	0.698	0.716	kverelante
content	0.764	0.296	0.559	enhavo
contented	0.857	0.612	0.746	kontenta
contention	0.375	0.510	0.738	disputo
contentious	0.422	0.573	0.637	disputema
contentment	0.875	0.610	0.782	kontenteco
contents	0.656	0.375	0.550	enhavojn
contest	0.667	0.698	0.717	konkurso
contestant	0.760	0.530	0.602	konkursanto
context	0.531	0.300	0.553	kunteksto
contiguous	0.375	0.450	0.500	apuda
continence	0.450	0.396	0.469	kontinenco
continent	0.551	0.373	0.833	kontinento
continental	0.486	0.350	0.755	kontinenta
contingency	0.396	0.500	0.670	eventualaĵo
contingent	0.470	0.531	0.659	kontingento
continual	0.500	0.423	0.685	kontinua
continually	0.646	0.438	0.698	kontinue
continuance	0.729	0.510	0.652	daŭrigo
continuation	0.615	0.470	0.566	daŭrigo
continue	0.630	0.427	0.612	daŭrigi
continued	0.635	0.440	0.500	daŭrigis
continuing	0.667	0.500	0.520	daŭrigante
continuity	0.781	0.439	0.684	kontinueco
continuous	0.625	0.509	0.580	kontinua
continuously	0.719	0.417	0.702	daŭre
continuum	0.677	0.390	0.491	kontinuumo
contour	0.589	0.265	0.414	konturo
contraband	0.177	0.875	0.670	kontrabando
contraception	0.296	0.518	0.525	kontraŭkoncipado
contract	0.594	0.412	0.636	kontrakto
contracted	0.344	0.557	0.449	kontraktita
contractile	0.480	0.586	0.569	kuntiriĝema
contracting	0.594	0.490	0.769	kontrakti
contraction	0.292	0.755	0.603	kuntiriĝo
contractor	0.592	0.479	0.727	entreprenisto
contradict	0.160	0.598	0.482	kontraŭdiri
contradiction	0.250	0.660	0.377	kontraŭdiro
contradictory	0.365	0.651	0.421	kontraŭdira
contraption	0.448	0.590	0.491	artifiko
contrary	0.327	0.449	0.338	male
contrast	0.480	0.406	0.520	kontrasto
contrasted	0.521	0.538	0.491	kontrastis
contravene	0.357	0.618	0.472	kontraŭi
contravention	0.344	0.627	0.593	malobservo
contribute	0.806	0.350	0.795	kontribui
contribution	0.854	0.452	0.760	kontribuo
contributor	0.844	0.510	0.760	kontribuanto
contrite	0.347	0.363	0.473	pento
contrition	0.347	0.583	0.463	pento
contrived	0.408	0.530	0.458	elpensita
control	0.729	0.352	0.808	kontrolo
controller	0.469	0.712	0.868	regilo
controlling	0.490	0.441	0.885	kontrolante
controversial	0.271	0.858	0.538	polemika
controversy	0.250	0.819	0.600	diskutado
contusion	0.167	0.565	0.509	kontuzo
conundrum	0.354	0.524	0.408	enigmo
convalescent	0.458	0.480	0.269	konvaleskanta
convection	0.521	0.494	0.526	konvekcio
convene	0.583	0.676	0.636	kunveni
convenience	0.781	0.448	0.613	oportuno
conveniences	0.802	0.412	0.693	komfortoj
convenient	0.846	0.491	0.574	oportuna
convent	0.480	0.217	0.594	monaĥejo
convention	0.622	0.622	0.704	kongreso
conventional	0.594	0.292	0.634	konvencia
converge	0.635	0.471	0.539	konverĝi
convergence	0.551	0.491	0.625	konverĝo
convergent	0.781	0.490	0.696	konverĝa
conversant	0.724	0.360	0.542	sperta
conversation	0.750	0.510	0.609	konversacio
conversational	0.719	0.431	0.596	konversacia
conversationalist	0.719	0.467	0.667	konversaciisto
converse	0.594	0.406	0.598	konversacii
conversing	0.755	0.409	0.442	konversaciante
conversion	0.480	0.605	0.736	konvertiĝo
convert	0.551	0.538	0.704	konverti
converted	0.663	0.418	0.686	konvertiĝis
convertible	0.542	0.529	0.717	konvertebla
convex	0.438	0.427	0.445	konveksa
convexity	0.449	0.354	0.484	konvekseco
convey	0.719	0.633	0.708	transdoni
conveyance	0.615	0.520	0.455	transporto
conveyancing	0.375	0.479	0.663	transportado
convict	0.177	0.840	0.477	kondamnito
conviction	0.615	0.704	0.826	konvinko
convince	0.708	0.539	0.763	konvinki
convinced	0.750	0.500	0.630	konvinkita
convincing	0.760	0.527	0.900	konvinka
convocation	0.538	0.611	0.663	kunvoko
convoluted	0.323	0.614	0.433	kunvolvita
convolution	0.417	0.559	0.527	konvolucio
convoy	0.500	0.671	0.639	konvojo
coo	0.490	0.439	0.500	kuu
cook	0.847	0.500	0.412	kuiri
cookbook	0.602	0.346	0.398	kuirlibro
cooker	0.592	0.373	0.407	kuirilo
cookery	0.633	0.368	0.345	kuirado
cookie	0.792	0.306	0.250	kuketo
cookies	0.823	0.451	0.316	kuketoj
cooking	0.694	0.510	0.434	kuiri
cookout	0.680	0.406	0.482	kuirado
cool	0.885	0.540	0.781	malvarmeta
coolant	0.720	0.412	0.456	fridigaĵo
cooler	0.664	0.375	0.460	pli malvarmeta
cooling	0.469	0.324	0.392	malvarmigo
coolness	0.490	0.307	0.548	malvarmeto
coon	0.490	0.460	0.400	koon
coop	0.612	0.445	0.650	coop
cooperate	0.898	0.451	0.582	kunlabori
cooperating	0.760	0.390	0.693	kunlaborante
cooperation	0.847	0.473	0.686	kunlaboro
cooperative	0.816	0.461	0.670	kooperativo
coordinate	0.698	0.429	0.694	koordinato
coordination	0.677	0.454	0.789	kunordigo
coordinator	0.750	0.510	0.850	kunordiganto
cop	0.327	0.770	0.836	policano
copacetic	0.510	0.471	0.453	kopeta
cope	0.592	0.647	0.709	elteni
copier	0.459	0.345	0.390	kopiilo
copilot	0.640	0.538	0.573	kopiloto
coping	0.562	0.630	0.613	elteni
copious	0.427	0.462	0.527	abunda
copper	0.580	0.260	0.500	kupro
copter	0.571	0.704	0.569	koptero
copy	0.460	0.240	0.263	kopio
copycat	0.449	0.580	0.443	kopianto
copying	0.448	0.315	0.404	kopiado
copyright	0.458	0.402	0.663	kopirajto
coral	0.802	0.231	0.425	koralo
coral snake	0.276	0.712	0.607	korala serpento
cord	0.388	0.378	0.358	ŝnuro
cordial	0.823	0.312	0.482	kora
cordless	0.667	0.441	0.528	sendrata
cordon	0.469	0.317	0.380	kordono
corduroy	0.570	0.324	0.357	korduro
core	0.721	0.378	0.540	kerno
cork	0.347	0.250	0.281	korko
corkscrew	0.427	0.443	0.445	korktirilo
corn	0.594	0.196	0.292	maizo
cornball	0.479	0.378	0.325	maizbulo
cornbread	0.643	0.304	0.302	maizpano
cornea	0.521	0.346	0.443	korneo
corned	0.459	0.441	0.425	kornita
corner	0.400	0.296	0.366	angulo
cornerstone	0.550	0.388	0.596	bazŝtono
cornet	0.507	0.520	0.415	korneto
cornfield	0.719	0.310	0.349	maizkampo
cornflakes	0.729	0.346	0.355	maizflokoj
cornice	0.458	0.441	0.295	kornico
cornstarch	0.643	0.299	0.337	maiza amelo
corny	0.448	0.370	0.221	kora
corollary	0.458	0.469	0.366	konsekvenco
corona	0.818	0.439	0.745	korono
coronary	0.567	0.613	0.509	koronario
coronation	0.792	0.592	0.836	kronado
coroner	0.323	0.558	0.526	krimpatologo
corporal	0.582	0.490	0.596	kaporalo
corporate	0.592	0.454	0.745	kompania
corporation	0.429	0.332	0.873	korporacio
corporeal	0.520	0.350	0.461	korpa
corps	0.551	0.453	0.483	korpuso
corpse	0.094	0.657	0.232	kadavro
corpsman	0.439	0.469	0.651	korpoman
corpus	0.543	0.340	0.490	korpuso
corral	0.606	0.662	0.422	korto
correct	0.857	0.306	0.723	ĝusta
correction	0.448	0.485	0.558	korekto
correctional	0.292	0.713	0.602	korekta
corrective	0.448	0.528	0.613	korekta
correctness	0.796	0.450	0.649	ĝusteco
correlation	0.596	0.462	0.571	korelacio
correlative	0.510	0.402	0.571	korelativo
correspond	0.710	0.452	0.545	korespondi
correspondence	0.663	0.423	0.491	korespondado
correspondent	0.573	0.565	0.712	korespondanto
corresponding	0.740	0.423	0.618	responda
corridor	0.604	0.589	0.592	koridoro
corroborate	0.671	0.471	0.616	konfirmi
corroboration	0.625	0.431	0.733	konfirmo
corrosion	0.156	0.610	0.348	korodo
corrosive	0.140	0.618	0.570	koroda
corrupt	0.020	0.806	0.500	korupta
corrupting	0.062	0.804	0.380	korupti
corruption	0.052	0.830	0.549	korupto
corsage	0.510	0.294	0.397	korsaĝo
corse	0.448	0.451	0.382	corse
corset	0.490	0.520	0.381	korseto
cortex	0.594	0.439	0.529	kortekso
cortical	0.380	0.423	0.536	kortikala
cortisone	0.427	0.395	0.456	kortizono
corvette	0.551	0.520	0.598	korveto
cosmetic	0.625	0.304	0.308	kosmetikaĵo
cosmetics	0.765	0.464	0.472	kosmetikaĵoj
cosmic	0.663	0.538	0.692	kosma
cosmology	0.651	0.438	0.637	kosmologio
cosmopolitan	0.823	0.510	0.760	kosmopolita
cosmos	0.860	0.478	0.664	kosmo
cost	0.365	0.420	0.439	kosto
costly	0.316	0.650	0.642	multekosta
costume	0.548	0.510	0.374	kostumo
cosy	0.847	0.255	0.518	komforta
cot	0.625	0.230	0.278	litujo
cote	0.439	0.344	0.324	cote
cottage	0.600	0.279	0.361	dometo
cotton	0.639	0.071	0.240	kotono
couch	0.594	0.082	0.198	kanapo
cougar	0.438	0.588	0.538	pumo
cough	0.255	0.627	0.241	tusi
council	0.875	0.279	0.635	konsilio
councilman	0.531	0.367	0.793	konsilisto
counsel	0.594	0.519	0.730	konsilo
counseling	0.667	0.480	0.704	konsilado
counsellor	0.823	0.327	0.740	konsilisto
counselor	0.873	0.365	0.706	konsilisto
count	0.594	0.389	0.492	kalkuli
countdown	0.438	0.692	0.490	retronombrado
countenance	0.635	0.440	0.690	mieno
counter	0.439	0.478	0.750	counter
counteract	0.378	0.542	0.688	kontraŭagi
counterattack	0.281	0.951	0.764	kontraŭatako
counterbalance	0.520	0.480	0.627	kontraŭpezo
counterclaim	0.398	0.760	0.651	kontraŭpostulo
counterfeit	0.094	0.694	0.451	falsita
counterpart	0.448	0.608	0.577	ekvivalento
counterpoint	0.438	0.509	0.538	kontrapunkto
countess	0.562	0.440	0.670	grafino
countless	0.520	0.566	0.534	sennombraj
country	0.698	0.394	0.693	lando
countryman	0.673	0.441	0.789	samlandano
countrymusic	0.795	0.451	0.438	landmuziko
countryside	0.732	0.288	0.327	kamparo
counts	0.343	0.373	0.500	kalkulas
county	0.479	0.368	0.545	graflando
coup	0.275	0.815	0.607	puĉo
coupe	0.479	0.460	0.482	coupe
couple	0.806	0.605	0.607	paro
coupled	0.612	0.286	0.650	kunligita
coupling	0.594	0.479	0.555	kuplado
coupon	0.704	0.300	0.421	kupono
courage	0.830	0.728	0.849	kuraĝon
courageous	0.918	0.587	0.879	kuraĝa
courier	0.551	0.383	0.441	kuriero
courses	0.735	0.412	0.534	kursoj
coursing	0.542	0.472	0.546	kursante
court	0.479	0.769	0.827	tribunalo
courteous	0.937	0.396	0.529	ĝentila
courtesy	0.927	0.287	0.431	ĝentileco
courthouse	0.571	0.503	0.818	juĝejo
courtroom	0.385	0.670	0.887	tribunalejo
courts	0.367	0.710	0.816	tribunaloj
courtship	0.667	0.490	0.654	amindumado
courtside	0.592	0.391	0.434	kortego
courtyard	0.503	0.365	0.355	korto
cousin	0.675	0.394	0.427	kuzo
cousins	0.760	0.409	0.464	kuzoj
cove	0.500	0.304	0.370	golfeto
coven	0.458	0.578	0.591	coven
covenant	0.594	0.462	0.667	interligo
cover	0.365	0.240	0.471	kovrilo
coverage	0.767	0.413	0.629	kovrado
covered	0.562	0.340	0.644	kovrita
covering	0.615	0.382	0.583	kovrante
covert	0.500	0.570	0.508	kaŝita
covet	0.302	0.779	0.524	avidi
coveted	0.661	0.730	0.625	avidita
cow	0.449	0.230	0.300	bovino
coward	0.102	0.490	0.149	malkuraĝulo
cowardice	0.133	0.621	0.167	malkuragxo
cowardly	0.102	0.385	0.127	malkuraĝa
cowboy	0.594	0.625	0.695	vakero
cowgirl	0.541	0.566	0.554	bovino
cowhand	0.438	0.480	0.596	bovino
cowhide	0.458	0.324	0.333	bovina felo
cowl	0.427	0.450	0.232	kapuĉo
coworker	0.667	0.490	0.625	kunlaboranto
coy	0.347	0.330	0.213	timema
coyote	0.459	0.471	0.387	kojoto
cozy	0.910	0.356	0.545	komforta
crab	0.421	0.396	0.330	krabo
crabby	0.198	0.812	0.370	crabby
crack	0.302	0.625	0.400	kraki
cracked	0.224	0.520	0.228	fendita
cracker	0.604	0.343	0.346	krakisto
crackerjack	0.567	0.509	0.426	crackerjack
cracking	0.327	0.557	0.286	krakante
crackle	0.327	0.643	0.481	kraki
crackpot	0.260	0.602	0.245	krakpoto
cradle	0.776	0.194	0.333	lulilo
craft	0.760	0.321	0.539	metio
crafts	0.667	0.380	0.391	metioj
craftsman	0.719	0.310	0.583	metiisto
craftsmanship	0.823	0.373	0.571	metio
crafty	0.589	0.679	0.783	ruza
craig	0.448	0.449	0.490	Craig
cram	0.354	0.730	0.598	kram
crammed	0.406	0.740	0.466	plenŝtopiĝis
cramp	0.194	0.796	0.340	krampo
cramped	0.240	0.567	0.360	malvasta
cranberry	0.793	0.330	0.363	oksiko
cranberry juice	0.622	0.321	0.281	Oksikoka suko
crane	0.396	0.417	0.589	gruo
cranial	0.354	0.510	0.583	krania
cranium	0.439	0.491	0.725	kranio
crank	0.448	0.275	0.417	kranko
cranky	0.194	0.776	0.396	freneza
cranny	0.194	0.471	0.250	kranio
crap	0.083	0.644	0.167	aĉaĵo
crappy	0.039	0.582	0.208	aĉa
craps	0.375	0.420	0.273	krapoj
crash	0.194	0.906	0.355	kraŝo
crass	0.223	0.490	0.466	kruda
crate	0.427	0.173	0.274	kesto
crater	0.450	0.647	0.529	kratero
crave	0.625	0.510	0.731	avidas
craving	0.510	0.755	0.636	avido
crawfish	0.510	0.427	0.342	kankoroj
crawl	0.479	0.519	0.467	rampi
crayon	0.604	0.260	0.185	krajono
crayons	0.684	0.366	0.405	krajonoj
craze	0.255	0.657	0.435	frenezo
crazed	0.153	0.877	0.417	freneza
craziness	0.238	0.908	0.255	frenezo
crazy	0.156	0.843	0.321	freneza
creak	0.344	0.670	0.411	knari
creaking	0.302	0.743	0.415	knari
cream	0.688	0.259	0.220	kremo
creamed	0.723	0.273	0.288	kremigita
creamer	0.594	0.192	0.269	kremigilo
creamy	0.823	0.337	0.345	krema
crease	0.440	0.286	0.300	faldigo
create	0.786	0.588	0.789	krei
creation	0.927	0.575	0.868	kreado
creative	0.917	0.518	0.788	kreema
creativity	0.938	0.684	0.815	kreemo
creator	0.865	0.592	0.856	kreinto
creature	0.669	0.625	0.620	estaĵo
credence	0.760	0.460	0.737	kredo
credential	0.735	0.337	0.597	akreditaĵo
credentials	0.708	0.373	0.675	akreditaĵojn
credibility	0.875	0.427	0.809	kredindeco
credible	0.917	0.441	0.750	kredinda
credit	0.673	0.549	0.648	krediton
credit card	0.670	0.550	0.640	kreditkarto
creditable	0.802	0.510	0.742	kredinda
credited	0.781	0.390	0.691	kreditita
crediting	0.673	0.550	0.741	kreditante
creditor	0.479	0.594	0.689	kreditoro
creed	0.573	0.245	0.544	kredo
creek	0.552	0.392	0.330	rivereto
creep	0.354	0.647	0.361	ŝteliri
creeper	0.429	0.558	0.366	creeper
creeping	0.292	0.613	0.282	rampanta
creepy	0.125	0.861	0.373	timiga
cremation	0.084	0.620	0.420	kremacio
creole	0.667	0.357	0.523	kreola
crepe	0.562	0.224	0.349	krepo
crescendo	0.760	0.575	0.594	crescendo
crescent	0.698	0.382	0.407	duonluno
crest	0.458	0.333	0.333	kresto
crestfallen	0.235	0.346	0.175	kresfalinta
cretin	0.265	0.583	0.312	kreteno
cretins	0.094	0.741	0.328	kretenoj
crevice	0.361	0.471	0.275	fendeto
crew	0.604	0.598	0.735	skipo
crewman	0.602	0.580	0.548	ŝipano
crib	0.653	0.240	0.407	kripo
cricket	0.423	0.539	0.370	kriketo
cried	0.167	0.612	0.254	kriis
crime	0.071	0.943	0.630	krimo
criminal	0.021	0.830	0.529	krimulo
criminality	0.122	0.863	0.580	krimeco
crimp	0.260	0.557	0.396	krimpi
crimson	0.667	0.385	0.370	purpura
cringe	0.245	0.840	0.377	krinti
cripple	0.094	0.392	0.161	kriplulo
crippled	0.035	0.358	0.236	kripla
crippling	0.156	0.598	0.391	kripliga
crisis	0.208	0.811	0.431	krizo
crisp	0.776	0.692	0.508	krispa
crispy	0.656	0.550	0.509	kriska
criterion	0.396	0.410	0.736	kriterio
critic	0.264	0.604	0.686	kritikisto
critical	0.312	0.802	0.545	kritikaj
criticise	0.073	0.700	0.452	kritiki
criticism	0.115	0.563	0.505	kritiko
criticize	0.143	0.708	0.473	kritiki
criticized	0.240	0.600	0.311	kritikita
critique	0.302	0.760	0.537	kritiko
critter	0.542	0.539	0.482	besto
croak	0.337	0.346	0.298	kvaki
croc	0.327	0.452	0.451	kroko
crock	0.385	0.412	0.421	kroko
crockery	0.552	0.216	0.327	vazojn
crocodile	0.344	0.708	0.610	krokodilo
croft	0.531	0.429	0.421	croft
croissant	0.745	0.330	0.430	croissant
crook	0.171	0.765	0.550	krimulo
crooked	0.146	0.594	0.305	kurba
crop	0.615	0.260	0.500	rikolto
croquet	0.551	0.519	0.407	kroketo
cross	0.448	0.321	0.569	kruco
cross country	0.531	0.441	0.529	transversa lando
crossbow	0.344	0.598	0.560	arbalesto
crossed	0.431	0.490	0.508	transiris
crossfire	0.316	0.896	0.722	interpafado
crossing	0.549	0.349	0.451	transiro
crossover	0.559	0.550	0.500	interkruciĝo
crosswalk	0.557	0.441	0.380	krucvojo
crossword	0.611	0.423	0.455	krucvorto
crotch	0.521	0.637	0.447	kroĉjo
crouch	0.281	0.606	0.312	kaŭri
crouched	0.333	0.363	0.279	kaŭris
crouching	0.261	0.429	0.345	kaŭrante
croupier	0.531	0.519	0.404	croupier
crow	0.224	0.439	0.363	korvo
crowbar	0.406	0.531	0.386	levstango
crowd	0.350	0.827	0.731	homamaso
crowded	0.694	0.286	0.585	plenplena
crowds	0.469	0.723	0.806	homamasoj
crown	0.708	0.572	0.737	krono
crowning	0.773	0.594	0.831	kronon
crucial	0.541	0.657	0.777	decida
cruciate	0.429	0.435	0.585	kruci
crucifix	0.469	0.480	0.510	krucifikso
crucifixion	0.135	0.857	0.541	krucumo
crucify	0.146	0.878	0.573	krucumi
crud	0.312	0.330	0.444	kruda
crude	0.198	0.402	0.357	kruda
cruel	0.122	0.866	0.391	kruela
cruelly	0.146	0.790	0.471	kruele
cruelty	0.092	0.836	0.536	krueleco
cruise	0.740	0.442	0.683	krozo
cruise ship	0.878	0.650	0.500	krozoŝipo
cruiser	0.737	0.490	0.608	krozŝipo
cruising	0.886	0.580	0.560	krozado
crumb	0.417	0.255	0.216	panero
crumble	0.333	0.480	0.423	diseriĝi
crumbling	0.167	0.696	0.308	diseriĝanta
crummy	0.125	0.531	0.224	mizera
crunch	0.292	0.630	0.406	kraki
crunchy	0.625	0.560	0.539	kroĉa
crusade	0.592	0.720	0.709	krucmilito
crusader	0.439	0.588	0.548	krucisto
crush	0.271	0.676	0.582	dispremi
crushed	0.167	0.647	0.300	dispremita
crusher	0.271	0.709	0.598	dispremilo
crushing	0.219	0.755	0.411	disbatanta
crust	0.542	0.337	0.456	krusto
crusty	0.625	0.531	0.473	krusteca
crutch	0.302	0.294	0.302	lambastono
crux	0.469	0.558	0.519	kerno
cry	0.133	0.627	0.255	plori
crybaby	0.375	0.702	0.311	plorubo
crying	0.153	0.704	0.208	plorante
crypt	0.156	0.431	0.386	kripto
cryptic	0.296	0.516	0.474	kripta
cryptography	0.490	0.415	0.650	kriptografio
crystal	0.618	0.270	0.508	kristalo
crystalline	0.765	0.235	0.534	kristala
crystallization	0.600	0.449	0.565	kristaliĝo
cub	0.646	0.382	0.284	ido
cubby	0.354	0.385	0.360	kubo
cube	0.469	0.226	0.274	kubo
cubic	0.458	0.306	0.407	kuba
cubicle	0.479	0.343	0.417	kabineto
cuckold	0.210	0.573	0.230	kornulo
cuckoo	0.420	0.459	0.284	kukolo
cucumber	0.490	0.235	0.237	kukumo
cuddle	0.885	0.559	0.475	karesi
cuddled	0.906	0.547	0.567	karesita
cuddles	0.847	0.382	0.500	karesojn
cuddling	0.917	0.562	0.433	karesi
cue	0.521	0.433	0.484	signalvorto
cuff	0.469	0.453	0.387	manumo
cuisine	0.714	0.365	0.390	kuirarto
culinary	0.654	0.443	0.519	kuirarta
cull	0.365	0.702	0.464	cull
culminate	0.667	0.550	0.602	kulmini
culmination	0.656	0.586	0.695	kulmino
culpability	0.112	0.745	0.368	kulpo
culpable	0.140	0.700	0.319	kulpa
culprit	0.062	0.676	0.333	kulpulo
cult	0.448	0.535	0.648	kulto
cultivate	0.708	0.410	0.598	kultivi
cultivated	0.837	0.343	0.564	kultivita
cultivation	0.625	0.324	0.462	kultivado
cultural	0.802	0.390	0.623	kultura
culture	0.753	0.304	0.675	kulturo
cultured	0.635	0.429	0.625	kulturita
culvert	0.337	0.324	0.343	kanalo
cumbersome	0.259	0.623	0.292	maloportuna
cumulus	0.570	0.433	0.432	cumulus
cunning	0.604	0.685	0.683	ruza
cunt	0.135	0.673	0.377	cunt
cup	0.615	0.167	0.231	taso
cupboard	0.553	0.200	0.304	ŝranko
cupcake	0.656	0.333	0.344	kuketo
cupping	0.490	0.610	0.402	tasado
cur	0.440	0.519	0.460	cur
curable	0.823	0.292	0.574	kuracebla
curate	0.726	0.418	0.526	vikario
curative	0.667	0.318	0.613	kuraca
curator	0.688	0.389	0.688	kuratoro
curb	0.472	0.371	0.402	bordero
curd	0.542	0.442	0.278	kazeo
cure	0.719	0.377	0.623	kuraci
curfew	0.219	0.618	0.623	elirmalpermeso
curiosity	0.750	0.755	0.463	scivolemo
curious	0.635	0.600	0.483	scivolema
curl	0.385	0.452	0.351	buklo
curling	0.583	0.592	0.400	kurbigi
currency	0.583	0.418	0.592	valuto
current	0.625	0.312	0.612	aktuala
curriculum	0.708	0.306	0.620	instruplano
curry	0.633	0.345	0.302	kareo
curse	0.033	0.720	0.375	malbeno
cursed	0.083	0.783	0.393	malbenita
cursing	0.112	0.860	0.446	malbenante
cursory	0.423	0.451	0.431	kursora
curt	0.245	0.610	0.452	kurta
curtail	0.306	0.439	0.497	limigi
curtailment	0.230	0.578	0.431	limigo
curtain	0.698	0.278	0.304	kurteno
curtains	0.615	0.123	0.342	kurtenoj
curtsy	0.635	0.412	0.598	riverenco
curvature	0.417	0.367	0.447	kurbeco
curve	0.480	0.375	0.307	kurbo
curved	0.542	0.407	0.337	kurba
curvilinear	0.480	0.575	0.411	kurbiĝema
cushion	0.653	0.221	0.292	kuseno
cushy	0.823	0.283	0.395	trankvila
cusp	0.667	0.710	0.700	rando
cuss	0.354	0.538	0.443	cuss
cussed	0.156	0.625	0.454	malbenis
custard	0.618	0.260	0.293	kustardo
custodial	0.418	0.462	0.718	gardisto
custodian	0.594	0.625	0.528	gardisto
custody	0.494	0.472	0.675	gardado
custom	0.552	0.382	0.688	kutimo
customary	0.700	0.253	0.561	kutima
customer	0.562	0.430	0.673	kliento
customized	0.625	0.504	0.590	personecigita
cut	0.490	0.490	0.393	tranĉi
cutaneous	0.365	0.370	0.328	haŭtaj
cute	0.920	0.528	0.579	bela
cuticle	0.340	0.320	0.377	kutiklo
cutie	0.638	0.528	0.464	karulino
cutlass	0.173	0.648	0.528	tranĉilo
cutlery	0.552	0.300	0.345	manĝilaro
cutoff	0.432	0.510	0.518	detranĉo
cutter	0.427	0.731	0.583	tranĉilo
cutters	0.197	0.653	0.491	tranĉiloj
cutthroat	0.110	0.823	0.663	detranĉilo
cutting	0.448	0.375	0.536	tranĉante
cutting board	0.337	0.540	0.342	tranĉtabulo
cuttings	0.479	0.392	0.433	tranĉaĵoj
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	cianido
cyberspace	0.677	0.594	0.611	ciberspaco
cycle	0.635	0.400	0.533	ciklo
cyclical	0.380	0.450	0.554	cikla
cyclist	0.684	0.582	0.576	biciklisto
cyclone	0.416	0.796	0.673	ciklono
cylinder	0.459	0.324	0.447	cilindro
cylindrical	0.458	0.294	0.414	cilindraj
cymbal	0.542	0.363	0.362	cimbalo
cynic	0.135	0.632	0.473	cinika
cynical	0.156	0.760	0.474	cinika
cynicism	0.104	0.780	0.454	cinikismo
cyst	0.173	0.578	0.312	kisto
cystic	0.314	0.481	0.400	kistika
cytomegalovirus	0.186	0.657	0.443	citomegaloviruso
cytoplasm	0.378	0.442	0.474	citoplasmo
czar	0.480	0.348	0.643	caro
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	plaĉi
dabbling	0.562	0.726	0.676	plaĉante
dad	0.857	0.412	0.786	paĉjo
daddy	0.795	0.400	0.736	paĉjo
dado	0.510	0.240	0.364	dado
daemon	0.333	0.490	0.500	demono
daft	0.255	0.436	0.157	daft
dagger	0.224	0.797	0.613	ponardo
daily	0.653	0.347	0.473	ĉiutage
dainty	0.604	0.284	0.424	delikata
daiquiri	0.670	0.519	0.400	daiquiri
dairy	0.633	0.255	0.462	lakto
daisy	0.562	0.367	0.333	lekanto
dak	0.510	0.417	0.424	dak
dale	0.622	0.270	0.365	dale
dam	0.250	0.553	0.394	digo
damage	0.059	0.726	0.403	damaĝo
damaged	0.104	0.635	0.182	difektita
damages	0.082	0.760	0.310	damaĝoj
dame	0.694	0.480	0.500	sinjorino
damn	0.073	0.784	0.431	diable
damnation	0.135	0.750	0.416	damno
damned	0.100	0.760	0.465	damnita
damp	0.360	0.279	0.210	humida
dampened	0.271	0.422	0.336	malseketigis
damper	0.459	0.378	0.473	dampilo
damsel	0.719	0.475	0.400	junulino
