English Word	Valence	Arousal	Dominance	Croatian Word
ethic	0.786	0.260	0.791	etika
ethical	0.854	0.324	0.634	etički
ethics	0.658	0.296	0.731	etika
ethnic	0.583	0.373	0.555	etnički
ethnography	0.571	0.373	0.549	etnografija
etiology	0.500	0.385	0.639	etiologija
etiquette	0.604	0.350	0.421	etiketa
etymology	0.531	0.370	0.529	etimologija
eucalyptus	0.602	0.308	0.418	eukaliptus
euchre	0.470	0.459	0.442	euchre
eugenics	0.448	0.530	0.518	eugenika
eulogistic	0.740	0.623	0.694	hvaljen
eulogium	0.542	0.482	0.655	eulogij
eulogize	0.850	0.518	0.679	hvaliti
eulogy	0.625	0.443	0.667	pohvala
euphemism	0.418	0.453	0.491	eufemizam
euphoria	0.769	0.955	0.648	euforija
euphoric	0.745	0.904	0.588	Euforično
euro	0.680	0.441	0.521	euro
euthanasia	0.229	0.716	0.325	eutanazija
evacuate	0.354	0.792	0.314	evakuiram
evacuation	0.160	0.755	0.582	evakuacija
evade	0.304	0.490	0.342	izbjeći
evaluate	0.663	0.640	0.649	procijeniti
evaluation	0.542	0.667	0.764	evaluacija
evanescence	0.527	0.519	0.458	prolaznost
evangelical	0.602	0.389	0.602	evanđeoski
evangelist	0.582	0.464	0.702	evanđelista
evangelistic	0.660	0.375	0.612	evangelizacijski
evaporate	0.357	0.469	0.402	ispariti
evaporation	0.556	0.346	0.388	isparavanje
evasion	0.229	0.510	0.418	izbjegavanje
evasive	0.117	0.596	0.425	dvosmislen
eve	0.612	0.378	0.440	predvečerje
evening	0.458	0.185	0.318	večer
evens	0.592	0.430	0.457	čaki
event	0.745	0.673	0.664	događaj
eventful	0.543	0.837	0.510	pun događaja
eventual	0.633	0.459	0.413	eventualni
eventuality	0.469	0.627	0.527	mogućnost
evergreen	0.729	0.471	0.546	zimzelen
everlasting	0.740	0.413	0.809	vječna
evermore	0.677	0.450	0.403	zauvijek
everyday	0.740	0.392	0.472	svaki dan
everyman	0.522	0.333	0.535	svaki čovjek
evict	0.042	0.632	0.377	iseliti
eviction	0.185	0.731	0.455	iseljenje
evidence	0.500	0.500	0.778	dokaz
evident	0.633	0.444	0.664	evidentan
evidentiary	0.448	0.541	0.717	dokazni
evil	0.040	0.827	0.545	zlo
evoke	0.438	0.341	0.500	dozivati
evolution	0.781	0.657	0.854	evolucija
evolutionary	0.796	0.673	0.825	evolucijski
evolve	0.655	0.692	0.896	razvijati se
ewe	0.429	0.216	0.277	ovca
ex	0.250	0.520	0.306	pr
exacerbate	0.323	0.776	0.580	pogoršati
exacerbation	0.344	0.810	0.480	pogoršanje
exact	0.719	0.354	0.685	točno
exacting	0.448	0.673	0.767	zahtjevan
exaggerate	0.193	0.760	0.529	pretjerivati
exaggerated	0.224	0.885	0.732	pretjerano
exaggeration	0.312	0.775	0.582	pretjerivanje
exalt	0.656	0.750	0.745	uzdizati
exaltation	0.594	0.892	0.673	uzvišenost
exalted	0.676	0.845	0.696	uzvišen
exam	0.479	0.663	0.577	ispit
examination	0.378	0.657	0.679	ispitivanje
examine	0.615	0.623	0.786	ispitati, pregledati
examiner	0.406	0.575	0.812	ispitivač
example	0.542	0.337	0.510	primjer
exasperated	0.229	0.816	0.377	ogorčeno
exasperation	0.214	0.833	0.483	ogorčenje
excavate	0.583	0.613	0.635	iskopati
excavation	0.540	0.644	0.527	iskopavanje
excavator	0.427	0.673	0.649	bager
exceed	0.500	0.827	0.586	premašiti
exceeding	0.500	0.802	0.668	prekoračenje
excel	0.561	0.363	0.466	excel
excellence	0.958	0.620	0.907	izvrsnost
excellent	0.970	0.587	0.870	izvrsno
excelsior	0.700	0.625	0.611	excelsior
excepting	0.408	0.413	0.526	osim
exception	0.469	0.600	0.544	izuzetak
exceptional	0.806	0.740	0.933	izniman
excerpt	0.437	0.367	0.543	izvod
excess	0.385	0.889	0.712	višak
excessive	0.417	0.731	0.601	pretjerano
excessively	0.449	0.882	0.716	pretjerano
exchange	0.740	0.569	0.491	razmjena
excise	0.448	0.561	0.577	trošarina
excision	0.260	0.480	0.519	ekscizija
excitability	0.906	0.910	0.724	nadražljivost
excitable	0.803	0.939	0.629	uzbudljiv
excitation	0.792	0.958	0.750	uzbuđenje
excite	0.823	0.950	0.668	oduševiti
excited	0.908	0.931	0.709	uzbuđen
excitement	0.896	0.684	0.731	uzbuđenje
exciting	0.950	0.792	0.789	uzbudljiv
exclaim	0.635	0.711	0.639	uzviknuti
exclamation	0.612	0.745	0.598	uzvik
exclude	0.292	0.500	0.530	isključiti
excluded	0.061	0.540	0.134	isključen
excluding	0.271	0.550	0.324	isključujući
exclusion	0.240	0.530	0.389	isključivanje
exclusive	0.792	0.630	0.653	ekskluzivan
excrement	0.041	0.558	0.221	izmet
excretion	0.285	0.650	0.457	izlučivanje
excruciating	0.083	0.837	0.345	bolan
excursion	0.625	0.714	0.627	izlet
excuse	0.240	0.696	0.318	izgovor
exec	0.640	0.352	0.769	izvrs
execute	0.327	0.708	0.769	izvršiti
execution	0.160	0.811	0.713	izvršenje
executioner	0.235	0.816	0.676	krvnik
executive	0.704	0.449	0.894	izvršni
executor	0.365	0.755	0.759	izvršitelj
exegesis	0.458	0.472	0.491	egzegeza
exemplar	0.844	0.537	0.625	primjerak
exemplary	0.833	0.343	0.729	primjeran
exemplify	0.735	0.506	0.783	primjeriti
exempt	0.588	0.455	0.664	izuzeti
exemption	0.531	0.578	0.627	izuzeće
exercise	0.750	0.789	0.625	vježbanje
exert	0.694	0.735	0.806	naprezati se
exertion	0.663	0.755	0.717	napor
exhale	0.542	0.490	0.411	izdahnuti
exhaust	0.546	0.710	0.337	ispušni
exhausted	0.123	0.423	0.202	iscrpljen
exhaustion	0.366	0.633	0.269	iscrpljenost
exhaustive	0.388	0.635	0.604	iscrpan
exhibit	0.688	0.633	0.708	izlagati
exhibition	0.698	0.590	0.531	izložba
exhilarated	0.890	0.963	0.759	razdragano
exhilarating	0.917	0.823	0.810	stimulišući
exhilaration	0.792	0.868	0.783	razdraganost
exhort	0.378	0.660	0.745	poticati
exhortation	0.531	0.624	0.580	nagovaranje
exhumation	0.177	0.586	0.473	ekshumacija
exhume	0.184	0.627	0.452	ekshumirati
exigent	0.385	0.611	0.792	zahtjevan
exile	0.184	0.630	0.483	progonstvo
exist	0.857	0.421	0.788	postojati
existence	0.760	0.513	0.771	postojanje
existent	0.635	0.490	0.635	egzistirajući
existential	0.583	0.510	0.638	egzistencijalni
existing	0.802	0.344	0.750	postojanje
exit	0.370	0.353	0.399	Izlaz
exodus	0.286	0.663	0.567	egzodus
exonerate	0.592	0.500	0.538	osloboditi krivnje
exorbitant	0.398	0.865	0.825	pretjeran
exorcism	0.163	0.980	0.557	egzorcizam
exorcist	0.219	0.906	0.716	egzorcist
exotic	0.840	0.711	0.727	Egzotično
expand	0.792	0.559	0.686	proširiti
expanded	0.760	0.406	0.689	proširena
expanse	0.594	0.529	0.689	prostranstvo
expansion	0.776	0.618	0.787	proširenje
expansive	0.708	0.650	0.778	ekspanzivan
expatriate	0.265	0.764	0.391	iseljenik
expect	0.469	0.327	0.377	očekivati
expectance	0.552	0.724	0.660	očekivanje
expectancy	0.581	0.622	0.558	očekivano trajanje
expectant	0.708	0.650	0.474	očekivan
expectation	0.771	0.690	0.707	očekivanje
expected	0.729	0.412	0.545	očekivano
expecting	0.561	0.450	0.302	očekujući
expediency	0.604	0.443	0.703	svrhovitost
expedient	0.885	0.461	0.454	sredstvo
expedite	0.571	0.858	0.798	ubrzati
expedition	0.735	0.802	0.620	ekspedicija
expeditious	0.602	0.645	0.773	ekspeditivan
expel	0.281	0.725	0.452	protjerati
expendable	0.479	0.490	0.423	potrošni materijal
expenditure	0.250	0.608	0.603	rashod
expense	0.317	0.451	0.377	trošak
expenses	0.240	0.633	0.396	troškovi
expensive	0.323	0.540	0.530	skup
experience	0.827	0.618	0.905	iskustvo
experienced	0.771	0.613	0.914	iskusan
experiences	0.793	0.647	0.795	iskustva
experiment	0.479	0.720	0.675	eksperiment
experimental	0.417	0.764	0.396	eksperimentalni
experimentation	0.637	0.769	0.767	eksperimentiranje
experimenter	0.708	0.710	0.700	eksperimentator
expert	0.776	0.646	0.911	stručnjak
expertise	0.792	0.589	0.925	stručnost
expiration	0.265	0.539	0.463	isteka roka trajanja
expire	0.573	0.745	0.702	isteći
expired	0.198	0.394	0.200	istekao
expiry	0.194	0.434	0.382	isteka roka trajanja
explain	0.719	0.517	0.736	objasniti
explanation	0.615	0.610	0.825	obrazloženje
explanatory	0.573	0.433	0.688	objašnjavajući
expletive	0.357	0.567	0.536	psovka
explication	0.510	0.445	0.602	eksplikacija
explicit	0.562	0.694	0.734	eksplicitan
explode	0.277	0.885	0.773	eksplodirati
exploit	0.312	0.878	0.660	iskorištavati
exploitation	0.156	0.920	0.718	iskorištavanje
exploration	0.594	0.650	0.773	istraživanje
exploratory	0.653	0.690	0.698	istraživački
explore	0.776	0.660	0.727	istražiti
explorer	0.729	0.663	0.714	istraživač
explosion	0.167	0.960	0.767	Eksplozija
explosions	0.123	0.860	0.594	eksplozije
explosive	0.156	0.943	0.663	Eksplozivno
expo	0.610	0.562	0.500	ekspo
exponent	0.529	0.510	0.845	eksponent
exponential	0.704	0.588	0.763	eksponencijalni
export	0.567	0.661	0.755	izvoz
exportation	0.760	0.633	0.673	izvoz
expose	0.344	0.643	0.537	izložiti
exposed	0.471	0.661	0.509	izloženi
exposition	0.521	0.627	0.655	izlaganje
expository	0.706	0.653	0.636	ekspozitorni
exposure	0.570	0.830	0.630	izlaganje
expound	0.438	0.575	0.740	izložiti
express	0.760	0.623	0.691	izraziti
expression	0.790	0.650	0.721	izraz
expressive	0.755	0.724	0.685	izražajan
expressway	0.633	0.635	0.587	autocesta
expropriation	0.188	0.735	0.788	izvlaštenje
expulsion	0.190	0.790	0.529	protjerivanje
exquisite	0.892	0.644	0.604	fin
exquisitely	0.849	0.728	0.723	izvrsno
extant	0.646	0.390	0.523	postojeći
extend	0.646	0.570	0.689	proširiti
extendable	0.660	0.592	0.722	produžljiv
extended	0.570	0.304	0.649	proširena
extension	0.490	0.510	0.529	proširenje
extensive	0.635	0.520	0.760	opsežna
extent	0.646	0.451	0.602	opseg
exterior	0.542	0.400	0.627	vanjski
exterminate	0.177	0.857	0.736	uništiti
extermination	0.190	0.860	0.616	istrebljenje
exterminator	0.344	0.804	0.887	istrebljivač
external	0.479	0.341	0.509	vanjski
externally	0.643	0.521	0.568	izvana
extinct	0.112	0.491	0.412	izumro
extinction	0.104	0.750	0.611	izumiranje
extinguish	0.240	0.576	0.482	ugasiti
extinguisher	0.707	0.379	0.543	aparat za gašenje požara
extol	0.582	0.667	0.456	veličati
extort	0.052	0.827	0.570	iznuditi
extortion	0.112	0.868	0.630	iznuđivanje
extra	0.656	0.551	0.745	ekstra
extract	0.565	0.402	0.519	ekstrakt
extracting	0.521	0.709	0.689	izvlačeći
extraction	0.418	0.740	0.526	izvlačenje
extractor	0.302	0.536	0.519	ekstraktor
extracurricular	0.457	0.471	0.743	izvanškolski
extradition	0.229	0.627	0.554	izručenje
extrajudicial	0.365	0.686	0.667	izvansudski
extramural	0.336	0.559	0.537	izvanškolski
extraneous	0.276	0.625	0.478	vanjsko
extraordinaire	0.847	0.864	0.898	izvanredan
extraordinary	0.969	0.728	0.860	izvanredno
extraterrestrial	0.510	0.833	0.792	izvanzemaljski
extravagance	0.531	0.802	0.700	rastrošnost
extravagant	0.720	0.763	0.812	ekstravagantan
extravaganza	0.646	0.786	0.906	ekstravaganca
extreme	0.318	0.800	0.721	ekstreman
extreme anticipation	0.551	0.740	0.704	ekstremno iščekivanje
extreme disgust	0.052	0.873	0.456	krajnje gađenje
extreme surprise	0.833	0.935	0.676	krajnje iznenađenje
extreme trust	0.826	0.713	0.922	ekstremno povjerenje
extremely	0.635	0.827	0.886	krajnje
extremely negative	0.030	0.786	0.311	krajnje negativno
extremely positive	0.993	0.730	0.839	izuzetno pozitivno
extremity	0.408	0.588	0.583	krajnost
extricate	0.542	0.510	0.543	izvući se
extrinsic	0.510	0.479	0.636	vanjski
extrusion	0.229	0.660	0.545	istiskivanje
exuberance	0.698	0.816	0.787	bujnost
exude	0.375	0.519	0.411	izlučivati
eye	0.531	0.265	0.425	oko
eyeball	0.526	0.422	0.420	očna jabučica
eyebrow	0.510	0.198	0.222	obrva
eyeful	0.802	0.500	0.676	okovan
eyeglass	0.531	0.236	0.286	okular
eyeglasses	0.561	0.269	0.306	naočale
eyelash	0.480	0.250	0.278	trepavica
eyelet	0.632	0.298	0.346	ušica
eyeliner	0.688	0.349	0.347	olovka za oči
eyepiece	0.418	0.347	0.480	okular
eyes	0.760	0.279	0.432	oči
eyesight	0.750	0.226	0.343	vid
eyewitness	0.541	0.686	0.698	očevidac
fab	0.490	0.380	0.406	fab
fable	0.663	0.387	0.389	basna
fabled	0.625	0.538	0.545	basnoslovan
fabric	0.635	0.190	0.345	tkanina
fabricate	0.636	0.491	0.779	izmišljati
fabricated	0.418	0.427	0.555	izmišljena
fabrication	0.573	0.587	0.705	izmišljanje
fabulous	0.979	0.660	0.797	nevjerojatan
facade	0.520	0.333	0.518	fasada
face	0.571	0.173	0.453	lice
faceless	0.230	0.406	0.173	bezličan
facet	0.667	0.324	0.382	aspekt
facial	0.594	0.429	0.433	lica
facile	0.740	0.264	0.307	lak
facilitate	0.812	0.333	0.509	olakšati
facility	0.625	0.500	0.654	objekt
facing	0.604	0.406	0.550	suočavanje
facsimile	0.490	0.500	0.543	faksimil
fact	0.683	0.333	0.618	činjenica
faction	0.469	0.430	0.448	frakcija
factor	0.635	0.365	0.678	faktor
factory	0.500	0.500	0.683	tvornica
facts	0.688	0.471	0.693	činjenice
factual	0.656	0.440	0.545	činjenični
faculties	0.643	0.431	0.760	fakulteta
faculty	0.615	0.412	0.732	fakultet
fad	0.663	0.520	0.570	hir
fade	0.354	0.333	0.245	uvenuti
faded	0.302	0.275	0.194	izblijedio
faeces	0.184	0.476	0.175	izmet
fag	0.122	0.653	0.331	peder
faggot	0.219	0.643	0.292	peder
fail	0.177	0.578	0.154	iznevjeriti
failing	0.125	0.490	0.268	neuspješno
failure	0.167	0.575	0.139	neuspjeh
fain	0.479	0.417	0.426	prinuđen
faint	0.063	0.429	0.167	onesvijestiti se
fainting	0.333	0.510	0.214	padajući u nesvijest
fair	0.812	0.557	0.643	pravedan
fairly	0.790	0.406	0.750	pošteno
fairness	0.740	0.317	0.552	poštenje
fairway	0.541	0.510	0.500	plovni put
fairy	0.776	0.408	0.413	vila
faith	0.833	0.220	0.763	vjera
faithful	0.888	0.333	0.627	vjeran
faithfulness	0.833	0.426	0.602	vjernost
faithless	0.102	0.683	0.304	nevjeran
fake	0.073	0.554	0.268	lažan
faker	0.245	0.630	0.480	lažnjak
falafel	0.560	0.402	0.351	falafel
falcon	0.557	0.580	0.678	Sokol
fall	0.177	0.657	0.221	pad
fallacious	0.271	0.587	0.390	pogrešan
fallacy	0.112	0.561	0.430	zabluda
fallback	0.458	0.358	0.508	zamjena
fallible	0.365	0.537	0.402	pogrešiv
falling	0.202	0.716	0.306	padanje
fallopian	0.297	0.390	0.464	jajovodni
fallout	0.428	0.356	0.373	ispasti
fallow	0.375	0.368	0.464	ugar
false	0.120	0.404	0.240	lažan
falsehood	0.031	0.625	0.384	laž
falsely	0.083	0.480	0.265	lažno
falsification	0.173	0.720	0.490	falsificiranje
falsified	0.042	0.630	0.306	falsificiran
falsify	0.115	0.657	0.409	krivotvoriti
falsity	0.120	0.689	0.186	lažnost
falter	0.421	0.650	0.346	posustati
fame	0.896	0.755	0.852	slava
famed	0.878	0.750	0.819	slavan
familiar	0.906	0.330	0.615	poznato
familiarity	0.854	0.346	0.616	familijarnost
familiarize	0.760	0.365	0.654	upoznati
family	0.968	0.383	0.643	obitelj
familytime	0.939	0.420	0.679	obiteljsko vrijeme
famine	0.163	0.679	0.310	glad
famished	0.177	0.654	0.282	izgladnjeli
famous	0.916	0.775	0.882	poznati
famously	0.856	0.765	0.787	slavno
fan	0.781	0.429	0.357	ventilator
fanatic	0.573	0.780	0.629	fanatik
fanatical	0.555	0.830	0.714	fanatičan
fanaticism	0.292	0.896	0.566	fanatizam
fanciful	0.677	0.592	0.342	nestvaran
fancy	0.854	0.673	0.534	fensi
fandango	0.490	0.591	0.429	fandango
fanfare	0.656	0.640	0.437	fanfare
fang	0.175	0.491	0.455	očnjak
fangs	0.286	0.598	0.434	očnjaci
fanning	0.615	0.330	0.236	lepezati
fantasia	0.898	0.694	0.436	fantazija
fantasize	0.771	0.660	0.356	maštati
fantastic	0.969	0.696	0.831	fantastičan
fantasy	0.880	0.627	0.474	fantazija
faraway	0.365	0.356	0.285	daleko
farce	0.265	0.667	0.246	farsa
farcical	0.406	0.481	0.259	lakrdijaški
fare	0.490	0.425	0.645	vozarina
farewell	0.130	0.500	0.591	doviđenja
farm	0.781	0.327	0.297	farma
farmer	0.677	0.432	0.464	seljak
farmhouse	0.690	0.330	0.444	seoska kuća
farming	0.580	0.414	0.568	uzgoj
farmland	0.729	0.363	0.509	poljoprivredno zemljište
faro	0.544	0.349	0.357	Faro
fart	0.194	0.439	0.264	prdnuti
farther	0.418	0.500	0.430	dalje
fascia	0.480	0.366	0.356	fascija
fascinate	0.854	0.683	0.802	fascinirati
fascinated	0.812	0.714	0.788	fasciniran
fascinating	0.979	0.817	0.784	fascinantan
fascination	0.885	0.773	0.835	fascinacija
fascism	0.104	0.740	0.695	fašizam
fascist	0.200	0.755	0.527	fašistički
fashion	0.827	0.616	0.589	moda
fashionable	0.750	0.510	0.605	moderan
fastball	0.688	0.679	0.575	brza lopta
fasten	0.458	0.585	0.529	pričvrstiti
fastener	0.577	0.377	0.491	zatvarač
fastening	0.594	0.473	0.554	pričvršćivanje
fasting	0.388	0.370	0.394	post
fat	0.198	0.353	0.237	mast
fatal	0.061	0.775	0.509	koban
fatalism	0.208	0.694	0.631	fatalizam
fatality	0.062	0.798	0.595	fatalnost
fate	0.571	0.479	0.712	sudbina
fated	0.582	0.472	0.692	sudbinski
fateful	0.290	0.583	0.402	sudbinski
fathead	0.296	0.527	0.463	glupan
father	0.812	0.333	0.824	otac
fatherhood	0.885	0.519	0.682	očinstvo
fatherland	0.729	0.469	0.778	domovina
fatherly	0.865	0.363	0.712	očinski
fathom	0.520	0.410	0.523	dokučiti
fatigue	0.173	0.378	0.265	umor
fatigued	0.146	0.433	0.245	umoran
fatso	0.286	0.394	0.336	debeljko
fatten	0.375	0.549	0.363	ugojiti se
fatty	0.286	0.361	0.325	masna
faucet	0.427	0.278	0.356	pipa
fault	0.188	0.558	0.184	greška
faultless	0.792	0.500	0.741	besprijekoran
faulty	0.184	0.520	0.378	neispravan
faun	0.490	0.303	0.376	faun
fauna	0.646	0.346	0.404	fauna
faux	0.291	0.490	0.204	promašaj
favor	0.812	0.308	0.519	milost
favorable	0.952	0.380	0.788	povoljan
favorite	0.885	0.590	0.691	omiljeni
favoriteholiday	0.867	0.618	0.582	omiljeni odmor
favoritism	0.582	0.559	0.658	favoriziranje
fawn	0.626	0.360	0.284	srneće
fax	0.406	0.368	0.304	faks
faze	0.417	0.515	0.382	buditi
fear	0.073	0.840	0.293	strah
feared	0.240	0.733	0.509	bojao se
fearful	0.083	0.482	0.278	bojažljiv
fearfully	0.112	0.567	0.271	bojažljivo
fearing	0.125	0.566	0.256	bojeći se
fearless	0.810	0.806	0.760	neustrašiv
fears	0.061	0.821	0.306	strahovi
fearsome	0.115	0.900	0.586	zastrašujuće
feasibility	0.653	0.490	0.741	izvedivost
feasible	0.694	0.388	0.611	izvedivo
feast	0.979	0.724	0.680	gozba
feat	0.750	0.706	0.849	podvig
feather	0.677	0.208	0.144	pero
feathered	0.438	0.288	0.214	pernati
feature	0.667	0.314	0.679	značajka
features	0.667	0.433	0.509	značajke
febrile	0.429	0.578	0.414	febrilan
fecal	0.255	0.528	0.213	fekalni
feces	0.240	0.407	0.307	izmet
fecundity	0.688	0.591	0.683	plodnost
fed	0.602	0.370	0.482	nahranjen
federal	0.530	0.459	0.859	federalni
federation	0.633	0.354	0.763	federacija
fedup	0.327	0.500	0.352	sitnica
fee	0.354	0.386	0.556	pristojba
feeble	0.157	0.280	0.109	slabašan
feed	0.812	0.429	0.739	hraniti se
feedback	0.622	0.557	0.645	Povratne informacije
feeder	0.604	0.452	0.713	hranilica
feel	0.802	0.602	0.596	osjetiti
feelgood	0.990	0.441	0.621	osjećati se dobro
feeling	0.806	0.329	0.531	osjećaj
feelingdown	0.490	0.457	0.567	osjećaj potištenosti
feelinggood	0.940	0.449	0.655	Osjećam se dobro
feet	0.510	0.240	0.292	stopala
feign	0.340	0.394	0.356	pretvarati se
feigned	0.173	0.602	0.333	hinjena
feisty	0.592	0.853	0.789	borben
felicity	0.913	0.704	0.793	sreća
feline	0.615	0.745	0.509	mačji
fell	0.255	0.462	0.250	pala
feller	0.406	0.622	0.617	sjekar
fellow	0.745	0.298	0.570	kolega
fellowship	0.900	0.429	0.778	zajedništvo
felon	0.111	0.898	0.455	zločinac
felony	0.206	0.808	0.472	kazneno djelo
felt	0.643	0.417	0.566	osjetio
feminine	0.802	0.520	0.394	ženski
femininity	0.750	0.479	0.451	ženstvenost
feminism	0.541	0.570	0.636	feminizam
femme	0.551	0.529	0.398	femme
femoral	0.417	0.324	0.566	bedreni
femur	0.408	0.289	0.413	femur
fen	0.490	0.276	0.379	fen
fence	0.500	0.198	0.398	ograda
fenced	0.323	0.430	0.429	ograđena
fencing	0.542	0.654	0.539	mačevanje
fend	0.646	0.731	0.537	braniti se
fender	0.369	0.459	0.476	bokobran
fennel	0.573	0.277	0.389	komorač
ferment	0.375	0.531	0.418	kvasac
fermentation	0.420	0.567	0.473	vrenje
fern	0.602	0.240	0.290	paprat
ferocious	0.167	0.915	0.776	divlji
ferocity	0.235	0.906	0.746	žestina
ferret	0.385	0.391	0.398	tvor
ferry	0.604	0.509	0.389	trajekt
ferryboat	0.594	0.452	0.553	trajekt
fertile	0.888	0.408	0.704	plodno
fertility	0.885	0.529	0.726	plodnost
fertilize	0.708	0.443	0.542	oploditi
fertilizer	0.438	0.463	0.565	gnojivo
fervent	0.646	0.632	0.773	gorljiv
fervor	0.573	0.769	0.651	žestina
fess	0.395	0.420	0.370	fess
fest	0.704	0.574	0.402	fest
festival	0.870	0.706	0.714	festival
festive	0.854	0.740	0.764	svečani
fetal	0.388	0.308	0.364	fetalni
fetch	0.479	0.363	0.491	dohvatiti
fete	0.580	0.551	0.465	svečanost
fetish	0.307	0.706	0.500	fetiš
fetus	0.479	0.519	0.395	fetus
feud	0.146	0.796	0.312	svađa
feudal	0.367	0.370	0.610	feudalni
feudalism	0.229	0.465	0.607	feudalizam
fever	0.194	0.674	0.364	groznica
feverish	0.385	0.696	0.436	grozničav
fiancee	0.959	0.626	0.556	zaručnica
fiasco	0.167	0.600	0.200	fijasko
fiat	0.520	0.418	0.446	fiat
fib	0.438	0.510	0.361	lagati
fiber	0.719	0.284	0.390	vlakno
fiberglass	0.451	0.451	0.443	stakloplastike
fibrosis	0.160	0.469	0.546	fibroza
fibrous	0.480	0.441	0.464	vlaknasti
fickle	0.406	0.481	0.346	nestalan
fiction	0.438	0.657	0.441	fikcija
fictional	0.430	0.490	0.340	izmišljena
fictitious	0.224	0.444	0.293	fiktivna
fiddle	0.571	0.449	0.391	violina
fiddler	0.615	0.580	0.500	violinista
fidelity	0.765	0.580	0.709	vjernost
fidgety	0.229	0.786	0.351	vrpoljava
fiduciary	0.375	0.400	0.509	fiducijarni
field	0.640	0.380	0.336	polje
field hockey	0.602	0.786	0.518	Hokej na travi
fielder	0.583	0.378	0.415	terenski igrač
fiend	0.146	0.903	0.608	zlovolja
fiendish	0.167	0.846	0.591	đavolski
fierce	0.281	0.877	0.759	žestoka
fiery	0.418	0.850	0.721	vatrena
fiesta	0.927	0.779	0.655	fešta
fiesty	0.571	0.663	0.472	vatren
fifteen	0.490	0.290	0.443	petnaest
fifty	0.571	0.368	0.439	pedeset
fig	0.573	0.390	0.339	smokva
fight	0.531	0.868	0.809	borba
fighter	0.637	0.760	0.898	borac
fighting	0.292	0.885	0.783	boreći se
fights	0.070	0.920	0.712	tuče se
figment	0.552	0.316	0.533	izmišljotina
figurative	0.479	0.450	0.634	figurativno
figure	0.688	0.328	0.509	lik
figurine	0.760	0.283	0.258	figurica
filament	0.510	0.452	0.377	žarna nit
filamentous	0.531	0.480	0.516	nitasti
file	0.480	0.316	0.463	datoteka
filet	0.615	0.392	0.291	file
filibuster	0.271	0.714	0.508	pustolov
filigree	0.576	0.408	0.514	filigran
filing	0.620	0.420	0.700	podnošenje
filings	0.323	0.412	0.340	strugotine
fill	0.729	0.449	0.637	ispuniti
filler	0.531	0.347	0.529	punilo
fillet	0.745	0.415	0.378	file
filling	0.510	0.382	0.525	punjenje
filly	0.479	0.564	0.519	ždrebica
film	0.823	0.491	0.566	film
filmmaker	0.704	0.510	0.635	filmaš
filmy	0.583	0.510	0.425	filmski
filter	0.440	0.296	0.260	filtar
filth	0.194	0.592	0.319	prljavština
filthy	0.115	0.714	0.321	prljava
filtration	0.407	0.520	0.255	filtracija
fin	0.333	0.340	0.377	peraje
final	0.276	0.575	0.508	konačni
finale	0.406	0.330	0.468	finale
finalist	0.833	0.686	0.736	finalista
finality	0.615	0.368	0.627	konačnost
finalize	0.556	0.550	0.578	finalizirati
finalized	0.245	0.210	0.608	dovršen
finally	0.583	0.433	0.465	konačno
finance	0.753	0.431	0.843	financije
financial	0.667	0.500	0.722	financijski
financier	0.602	0.500	0.778	financijer
finch	0.438	0.444	0.358	zeba
find	0.774	0.555	0.580	pronaći
finder	0.360	0.550	0.630	nalazač
finding	0.796	0.469	0.664	nalaz
fine	0.823	0.240	0.647	fino
finery	0.562	0.479	0.636	ukrasi
finesse	0.740	0.387	0.412	finesa
finger	0.321	0.264	0.291	prst
fingernail	0.418	0.415	0.153	nokat prsta
fingerprint	0.583	0.404	0.570	otisak prsta
fingerscrossed	0.573	0.540	0.356	prekriženi prsti
finish	0.471	0.429	0.545	Završi
finished	0.510	0.387	0.570	završio
finite	0.384	0.347	0.293	konačan
fink	0.410	0.514	0.439	fink
fir	0.521	0.275	0.306	jela
fire	0.380	0.804	0.635	vatra
firearm	0.086	0.943	0.864	vatreno oružje
firearms	0.220	0.943	0.821	vatreno oružje
fireball	0.302	0.777	0.664	vatrena kugla
firecracker	0.474	0.741	0.434	petarda
firefight	0.153	0.920	0.664	Pucnjava
firefighter	0.637	0.770	0.773	vatrogasac
firefly	0.622	0.410	0.363	krijesnica
firehouse	0.594	0.689	0.627	vatrogasni dom
firelight	0.677	0.504	0.639	svjetlo vatre
fireman	0.583	0.745	0.755	vatrogasac
fireplace	0.667	0.380	0.417	kamin
firepower	0.375	0.941	0.810	vatrena moć
fireproof	0.684	0.679	0.723	otporan na vatru
fireside	0.684	0.377	0.394	ognjište
firestorm	0.180	0.929	0.766	Vatrena oluja
firewall	0.485	0.602	0.629	vatrozid
firewood	0.520	0.348	0.263	drva za ogrjev
firework	0.786	0.904	0.593	vatromet
fireworks	0.735	0.863	0.579	vatromet
firing	0.188	0.931	0.803	pucajući
firm	0.635	0.380	0.728	firma
firmament	0.750	0.407	0.660	nebeski svod
firmly	0.786	0.510	0.777	čvrsto
firmness	0.823	0.479	0.939	čvrstoća
first	0.625	0.500	0.788	prvi
firstborn	0.786	0.490	0.695	prvorođenac
firstworldprobs	0.458	0.612	0.483	prvi svijetprobs
fiscal	0.500	0.582	0.845	fiskalni
fish	0.510	0.280	0.250	riba
fisherman	0.656	0.461	0.546	ribar
fishery	0.574	0.503	0.519	ribarstvo
fishing	0.677	0.283	0.405	ribarstvo
