English Word	Valence	Arousal	Dominance	Basque Word
calcareous	0.490	0.368	0.462	karetsua
calcium	0.600	0.346	0.479	kaltzioa
calculate	0.490	0.452	0.440	kalkulatu
calculated	0.633	0.425	0.683	kalkulatua
calculating	0.458	0.430	0.625	kalkulatzen
calculation	0.646	0.453	0.606	kalkulua
calculator	0.513	0.283	0.588	kalkulagailua
calculus	0.360	0.360	0.562	kalkulua
calendar	0.480	0.212	0.473	egutegia
calender	0.531	0.275	0.451	egutegia
calf	0.531	0.366	0.336	txahal
caliber	0.429	0.551	0.606	kalibrea
calibrate	0.552	0.460	0.623	kalibratu
calico	0.406	0.338	0.491	kalik
calipers	0.480	0.510	0.481	kalibreak
calisthenics	0.562	0.663	0.545	kalistena
call	0.594	0.627	0.558	deitu
callback	0.524	0.529	0.434	deia itzultzea
caller	0.646	0.615	0.472	deitzailea
calligraphy	0.620	0.216	0.500	kaligrafia
calling	0.646	0.590	0.483	deituz
callous	0.245	0.500	0.386	kaskarra
calls	0.608	0.431	0.551	deiak
calm	0.875	0.100	0.282	lasai
calming	0.885	0.105	0.360	lasaigarria
calmness	0.934	0.105	0.394	lasaitasuna
caloric	0.327	0.483	0.448	kalorikoa
calorie	0.333	0.540	0.427	kaloria
calorimeter	0.406	0.560	0.414	kalorimetroa
cam	0.448	0.363	0.355	kamara
camaraderie	0.833	0.510	0.648	laguntasuna
camber	0.430	0.382	0.439	kamber
camcorder	0.556	0.422	0.454	bideokamera
camel	0.540	0.282	0.314	gamelua
cameo	0.573	0.457	0.509	kameoa
camera	0.640	0.288	0.379	kamera
cameraman	0.542	0.452	0.542	kameralaria
camisole	0.497	0.250	0.375	kamisa
camouflage	0.438	0.585	0.450	kamuflajea
camouflaged	0.350	0.422	0.562	kamuflatuta
camp	0.622	0.617	0.594	kanpalekua
campaign	0.602	0.730	0.823	kanpaina
campaigner	0.592	0.698	0.821	kanpainagile
campaigning	0.531	0.663	0.741	kanpaina egiten
camper	0.573	0.529	0.482	autokarabana
campfire	0.677	0.509	0.436	kanpalekua
camping	0.653	0.529	0.480	kanpaldia
campsite	0.680	0.490	0.547	kanpina
campus	0.604	0.388	0.519	campusa
can	0.662	0.360	0.454	daiteke
can opener	0.444	0.491	0.308	lata irekitzailea
canal	0.673	0.259	0.321	kanala
canary	0.582	0.276	0.265	kanarioa
cancel	0.214	0.306	0.368	bertan behera utzi
canceling	0.229	0.470	0.349	bertan behera uztea
cancellation	0.224	0.431	0.389	baliogabetzea
cancer	0.052	0.694	0.529	minbizia
candid	0.667	0.349	0.458	lañoa
candidacy	0.490	0.657	0.696	hautagaitza
candidate	0.596	0.490	0.804	hautagaia
candied	0.713	0.330	0.360	konfitatuak
candle	0.602	0.221	0.344	kandela
candlelight	0.789	0.294	0.417	kandela-argia
candles	0.615	0.206	0.268	kandelak
candlestick	0.448	0.531	0.534	argizaiola
candor	0.740	0.389	0.607	zuzentasuna
candy	0.930	0.425	0.384	gozokiak
cane	0.459	0.298	0.398	kanabera
canine	0.573	0.569	0.425	txakurra
canister	0.553	0.271	0.403	ontzia
canker	0.262	0.469	0.427	txankroa
cannabis	0.271	0.500	0.564	kanabisa
canned	0.398	0.357	0.298	kontserbak
cannibal	0.122	0.824	0.480	kanibala
cannibalism	0.094	0.890	0.583	kanibalismoa
canning	0.490	0.392	0.259	kontserbak
cannon	0.529	0.676	0.811	kanoia
cannonball	0.344	0.840	0.759	kanoi-bola
canoe	0.542	0.300	0.418	piragua
canon	0.385	0.519	0.541	kanonia
canonical	0.542	0.410	0.620	kanonikoa
canons	0.385	0.588	0.593	kanonak
canopy	0.615	0.264	0.398	baldakia
cantaloupe	0.592	0.212	0.276	kantalupa
cantbreathe	0.284	0.667	0.375	ezin arnasa hartu
canteen	0.688	0.600	0.514	kantinera
canterbury	0.582	0.438	0.510	canterbury
canthandleit	0.354	0.613	0.354	canthandleit
cantilever	0.357	0.618	0.421	kantila
cantina	0.646	0.612	0.380	kantina
canto	0.776	0.461	0.554	kantua
canton	0.542	0.472	0.536	kantonamendua
cantstandit	0.418	0.546	0.343	cantstandit
cantwin	0.260	0.509	0.298	cantwin
canvas	0.719	0.090	0.364	mihisea
canvass	0.675	0.356	0.397	mihisea
canyon	0.468	0.731	0.634	arroila
cap	0.612	0.240	0.375	txapela
capability	0.833	0.571	0.730	gaitasuna
capable	0.765	0.587	0.547	gai
capacity	0.719	0.411	0.806	edukiera
cape	0.531	0.235	0.357	kapa
caper	0.510	0.370	0.326	kaparra
capillary	0.469	0.365	0.395	kapilarra
capital	0.520	0.500	0.798	kapitala
capitalism	0.448	0.686	0.848	kapitalismoa
capitalist	0.352	0.577	0.821	kapitalista
capitalize	0.771	0.601	0.885	letra larriz jarri
capitals	0.755	0.500	0.655	hiriburuak
capitation	0.479	0.529	0.589	kapitazioa
capitol	0.535	0.375	0.705	kapitolua
capitulation	0.375	0.546	0.615	kapitulazioa
cappuccino	0.792	0.279	0.384	kaputxinoa
caprice	0.333	0.640	0.430	kapritxoa
capricious	0.221	0.650	0.500	kapritxosoa
caps	0.510	0.221	0.368	txapelak
capslock	0.330	0.394	0.398	maiuskulak
capsule	0.583	0.290	0.570	kapsula
captain	0.552	0.653	0.966	kapitaina
caption	0.814	0.292	0.379	epigrafea
captivate	0.698	0.604	0.723	liluratu
captivating	0.895	0.594	0.816	liluragarria
captive	0.235	0.558	0.411	Gatibu
captivity	0.225	0.493	0.387	gatibu
captor	0.347	0.625	0.612	bahitzailea
capture	0.357	0.650	0.537	harrapatu
car	0.776	0.540	0.500	autoa
caramel	0.901	0.363	0.400	karamelua
carat	0.823	0.604	0.676	kilate
caravan	0.635	0.559	0.455	karabana
carbon	0.604	0.360	0.350	karbonoa
carburetor	0.469	0.612	0.555	karburatzailea
carcass	0.115	0.529	0.309	karkaxa
carcinoma	0.153	0.692	0.440	kartzinoma
card	0.531	0.269	0.436	txartela
cardboard	0.500	0.173	0.309	kartoia
cardiac	0.344	0.765	0.615	bihotzekoa
cardigan	0.599	0.324	0.264	cardigan
cardinal	0.583	0.358	0.712	kardinala
cardiologist	0.458	0.630	0.814	kardiologoa
cardiology	0.203	0.545	0.605	kardiologia
cardiomyopathy	0.177	0.645	0.537	kardiomiopatia
cards	0.568	0.317	0.320	txartelak
care	0.729	0.370	0.500	zaindu
career	0.740	0.712	0.606	karrera
carefree	0.755	0.220	0.500	arduragabe
careful	0.625	0.538	0.530	kontuz
carefully	0.698	0.330	0.544	arretaz
careless	0.255	0.431	0.125	arduragabe
carelessness	0.245	0.482	0.330	arduragabekeria
caress	0.833	0.418	0.509	laztan
caret	0.656	0.402	0.527	ikurra
caretaker	0.714	0.531	0.759	zaintzailea
cargo	0.408	0.444	0.455	zama
caribou	0.562	0.452	0.342	karibua
caricature	0.604	0.373	0.383	karikatura
caries	0.115	0.569	0.283	txantxarra
caring	0.635	0.469	0.500	zaintzen
carjack	0.438	0.682	0.439	kotxea
carnage	0.406	0.600	0.558	sarraskia
carnal	0.417	0.679	0.421	haragizko
carnation	0.653	0.357	0.431	krabelin
carnival	0.927	0.888	0.555	inauteriak
carnivorous	0.224	0.613	0.651	haragijale
carol	0.673	0.412	0.436	karol
carols	0.847	0.420	0.491	kantak
carousel	0.704	0.500	0.412	karrusela
carp	0.531	0.324	0.375	karpa
carpal	0.449	0.327	0.420	karpokoa
carpenter	0.521	0.550	0.519	arotza
carpentry	0.561	0.459	0.518	zurgintza
carpet	0.520	0.170	0.339	alfonbra
carpeting	0.542	0.312	0.444	alfonbra
carpool	0.625	0.509	0.500	kotxe partekatzea
carriage	0.650	0.538	0.491	karroza
carried	0.490	0.382	0.534	eraman
carrier	0.533	0.588	0.638	eramaile
carrot	0.500	0.235	0.279	azenarioa
carry	0.635	0.380	0.500	eraman
carrying	0.656	0.557	0.443	eramanez
carsick	0.224	0.574	0.255	kotxe gaixorik
cart	0.520	0.344	0.388	gurdi
carte	0.592	0.320	0.274	karta
cartel	0.438	0.394	0.602	kartela
carter	0.312	0.480	0.431	karretera
cartilage	0.438	0.370	0.407	kartilagoa
cartographic	0.490	0.348	0.424	kartografikoak
cartography	0.520	0.300	0.579	kartografia
carton	0.286	0.186	0.241	kartoia
cartoon	0.867	0.471	0.387	marrazki bizidunak
cartouche	0.427	0.458	0.450	kartutxoa
cartridge	0.458	0.500	0.407	kartutxoa
carve	0.469	0.443	0.598	zizelkatu
carver	0.418	0.500	0.500	tailatzailea
carving	0.541	0.444	0.368	taila
cascade	0.735	0.509	0.395	kaskada
case	0.427	0.275	0.441	kasua
casein	0.470	0.436	0.415	kaseina
cash	0.867	0.552	0.714	eskudirua
cashier	0.615	0.413	0.484	kutxazaina
cashmere	0.653	0.452	0.439	kaxmir
casing	0.458	0.327	0.328	karkasa
casino	0.542	0.684	0.568	kasinoa
cask	0.490	0.398	0.444	kupela
casket	0.125	0.490	0.346	kutxa
casserole	0.570	0.360	0.328	kazola
cassette	0.490	0.334	0.355	kasetea
cast	0.558	0.620	0.517	bota
castaway	0.208	0.646	0.422	náufrago
caste	0.510	0.333	0.374	kasta
caster	0.604	0.670	0.647	kaster
castle	0.680	0.396	0.718	gaztelua
castor	0.583	0.337	0.368	gurpil
castrate	0.177	0.485	0.519	kastratu
castration	0.198	0.735	0.381	kastrazioa
casual	0.643	0.224	0.385	kasualitatea
casually	0.658	0.290	0.333	kasualitatez
casualty	0.235	0.274	0.132	biktima
cat	0.667	0.260	0.370	katua
catabolism	0.265	0.573	0.605	katabolismoa
catalog	0.561	0.221	0.573	katalogoa
catalogue	0.647	0.327	0.533	katalogoa
catalysis	0.385	0.559	0.531	katalisia
catalyst	0.604	0.509	0.585	katalizatzailea
catalytic	0.562	0.519	0.563	katalitikoa
catamaran	0.571	0.566	0.526	katamarana
catapult	0.480	0.830	0.649	katapulta
cataract	0.406	0.545	0.549	kataratak
catastrophe	0.146	0.952	0.670	hondamendia
catastrophic	0.071	0.934	0.598	hondamendia
catatonic	0.255	0.500	0.509	katatonikoa
catch	0.531	0.437	0.552	harrapatu
catcher	0.653	0.413	0.540	harrapatzailea
catching	0.490	0.788	0.644	harrapatzen
catchphrase	0.698	0.423	0.433	esaldia
catchy	0.677	0.441	0.462	erakargarria
catechism	0.656	0.236	0.613	katixima
categorical	0.615	0.442	0.760	kategorikoa
category	0.571	0.264	0.521	kategoria
cater	0.802	0.500	0.509	hornitu
caterer	0.550	0.557	0.644	ostalari
caterpillar	0.461	0.286	0.330	beldarra
cates	0.370	0.394	0.407	kateak
catfish	0.458	0.337	0.296	katu-arraina
cathartic	0.450	0.510	0.604	katartikoa
cathedral	0.598	0.330	0.643	katedrala
catheter	0.336	0.491	0.373	kateterra
cathouse	0.327	0.375	0.363	katutegia
catnip	0.439	0.381	0.296	catnip
cattle	0.622	0.340	0.445	ganadua
catwalk	0.698	0.436	0.464	pasarela
caucus	0.418	0.311	0.491	caucus
caudal	0.500	0.425	0.583	kaudal
cauldron	0.510	0.486	0.418	kaldereroa
cauliflower	0.448	0.255	0.231	azalorea
caulk	0.367	0.500	0.418	kalapita
causal	0.562	0.367	0.491	kausala
causality	0.500	0.378	0.336	kausalitatea
causation	0.562	0.480	0.567	kausa
cause	0.469	0.373	0.486	kausa
caused	0.344	0.520	0.382	eraginda
causeway	0.453	0.382	0.422	galtzada
caution	0.552	0.712	0.547	kontuz
cautionary	0.510	0.541	0.519	zuhurtzia
cautious	0.470	0.445	0.517	zuhurra
cautiously	0.510	0.388	0.525	kontu handiz
cavalier	0.735	0.462	0.713	zaldun
cavalry	0.667	0.727	0.794	zalditeria
cave	0.459	0.333	0.380	kobazuloa
caveat	0.344	0.629	0.484	ohartarazpena
caveman	0.235	0.644	0.482	leize-gizona
cavern	0.323	0.360	0.365	haitzuloa
cavernous	0.354	0.548	0.462	haitzuloa
caviar	0.906	0.394	0.481	kabiarra
caving	0.378	0.491	0.551	espeleologia
cavity	0.466	0.385	0.379	barrunbea
cayenne	0.615	0.306	0.355	kaiena
cease	0.388	0.250	0.420	gelditu
ceasefire	0.542	0.594	0.567	su-etena
ceaseless	0.378	0.704	0.658	etenik gabe
cedar	0.560	0.267	0.577	zedroa
cede	0.275	0.327	0.402	laga
ceiling	0.520	0.224	0.366	sabaia
celebrant	0.865	0.656	0.643	ospakizuna
celebrate	0.917	0.857	0.859	ospatu
celebrated	0.875	0.690	0.763	ospatu
celebrating	0.927	0.860	0.773	ospatzen
celebration	0.939	0.824	0.880	ospakizuna
celebrations	0.958	0.794	0.714	ospakizunak
celebratory	0.857	0.653	0.845	ospakizuna
celebrity	0.760	0.619	0.855	ospetsu
celery	0.396	0.147	0.223	apioa
celestial	0.817	0.360	0.731	zeruko
celibacy	0.302	0.276	0.509	zelibatoa
celibate	0.419	0.387	0.391	zelibea
cell	0.541	0.375	0.465	zelula
cellar	0.510	0.277	0.406	sotoa
cellblock	0.186	0.570	0.500	zelula-blokea
cellist	0.667	0.500	0.486	biolontxelo-jotzailea
cellmate	0.167	0.684	0.349	zelulakide
cello	0.635	0.324	0.528	biolontxeloa
cellophane	0.648	0.282	0.289	zelofana
cellular	0.643	0.398	0.517	zelularra
cellulite	0.200	0.384	0.256	zelulitisa
celluloid	0.469	0.440	0.425	zeluloidea
cement	0.544	0.265	0.527	zementua
cemented	0.429	0.382	0.537	zementatua
cemetery	0.051	0.630	0.417	hilerria
censor	0.344	0.276	0.538	zentsura
censorship	0.219	0.698	0.421	zentsura
censure	0.219	0.653	0.417	zentsura
census	0.449	0.289	0.553	errolda
cent	0.439	0.367	0.402	zentimo
centenary	0.604	0.440	0.642	mendeurrena
centennial	0.583	0.394	0.700	mendeurrena
center	0.643	0.231	0.431	zentroa
centerfold	0.571	0.407	0.485	erdiko azala
centerpiece	0.594	0.208	0.520	erdigunea
centimeter	0.427	0.280	0.380	zentimetroa
centipede	0.296	0.399	0.361	ehuna
central	0.640	0.356	0.621	zentrala
centrality	0.571	0.312	0.709	zentraltasuna
centralization	0.521	0.440	0.702	zentralizazioa
centralize	0.684	0.427	0.802	zentralizatu
centrally	0.729	0.280	0.700	erdialdean
centrifugal	0.306	0.651	0.480	zentrifugoak
centrifuge	0.495	0.622	0.527	zentrifugatzailea
centurion	0.590	0.447	0.696	zenturioia
century	0.407	0.347	0.735	mendean
ceramic	0.521	0.255	0.371	zeramika
ceramics	0.573	0.250	0.373	zeramika
cereal	0.612	0.206	0.316	zerealak
cereals	0.719	0.224	0.311	zerealak
cerebral	0.408	0.509	0.627	garunekoa
ceremonial	0.771	0.540	0.691	zeremoniala
ceremony	0.760	0.559	0.761	zeremonia
certain	0.760	0.358	0.673	ziurra
certainty	0.781	0.400	0.769	ziurtasuna
certifiable	0.714	0.427	0.662	egiaztagarriak
certificate	0.786	0.377	0.746	ziurtagiria
certified	0.781	0.422	0.806	ziurtatua
certify	0.866	0.400	0.746	ziurtatu
cervical	0.375	0.413	0.445	zerbikala
cervix	0.429	0.360	0.340	lepoa
cess	0.427	0.375	0.406	cess
cessation	0.414	0.385	0.358	etenaldia
cesspool	0.167	0.460	0.409	putzua
cha cha	0.714	0.546	0.324	txa txa
chaff	0.333	0.327	0.188	lastoa
chafing	0.430	0.415	0.368	urradura
chagrin	0.104	0.704	0.472	atsekabea
chagrined	0.112	0.745	0.361	atsekabetuta
chai	0.500	0.375	0.363	chai
chain	0.378	0.500	0.547	katea
chainsaw	0.367	0.804	0.636	motozerra
chair	0.562	0.082	0.276	aulkia
chairman	0.656	0.567	0.933	lehendakaria
chairperson	0.730	0.657	0.966	lehendakaria
chairwoman	0.719	0.664	0.953	mahaiburua
chaise	0.406	0.349	0.327	kaxa
chalet	0.653	0.349	0.278	txaleta
chalice	0.633	0.286	0.529	kaliza
chalk	0.385	0.185	0.121	klariona
challenge	0.469	0.922	0.713	erronka
challenger	0.417	0.755	0.652	erronkari
chamber	0.583	0.373	0.455	ganbera
chambermaid	0.594	0.375	0.336	ganberroa
chambers	0.542	0.442	0.388	ganberak
chameleon	0.490	0.580	0.345	kamaleoia
champ	0.854	0.754	0.896	txapeldun
champagne	0.760	0.600	0.454	txanpaina
champion	0.890	0.880	0.945	txapeldun
championship	0.833	0.800	0.880	Txapelketa
chance	0.833	0.551	0.525	aukera
chancellor	0.646	0.500	0.887	kantzilerra
chandelier	0.615	0.542	0.366	kriseilu
chandler	0.510	0.452	0.454	kandela
change	0.625	0.575	0.606	aldatu
changeable	0.490	0.480	0.528	aldakorra
changed	0.594	0.375	0.491	aldatu
changer	0.583	0.519	0.567	aldatzailea
changing	0.571	0.569	0.461	aldatzen
channel	0.490	0.287	0.405	kanala
chant	0.771	0.698	0.650	kantatu
chaos	0.016	0.923	0.373	kaosa
chaotic	0.115	0.847	0.442	kaotikoa
chap	0.550	0.410	0.345	kap
chapel	0.573	0.240	0.440	kapera
chaperon	0.500	0.520	0.404	txapera
chaplain	0.582	0.370	0.577	kapilau
chapman	0.562	0.529	0.465	txapeldun
chaps	0.350	0.462	0.350	txapak
chapter	0.580	0.308	0.461	kapitulua
char	0.554	0.361	0.404	kar
character	0.667	0.373	0.686	pertsonaia
characteristic	0.583	0.328	0.538	ezaugarria
characterize	0.729	0.471	0.735	ezaugarritu
charade	0.458	0.550	0.346	xarrada
charcoal	0.302	0.186	0.342	ikatza
chardonnay	0.677	0.567	0.492	chardonnay
charge	0.510	0.633	0.785	kargatu
chargeable	0.551	0.550	0.453	kobragarria
charger	0.531	0.418	0.545	kargagailua
chariot	0.684	0.550	0.491	gurdia
charisma	0.938	0.591	0.759	karisma
charismatic	0.938	0.684	0.849	karismatikoa
charitable	0.865	0.380	0.593	karitatezko
charity	0.920	0.284	0.551	karitatea
charlatan	0.200	0.640	0.352	charlatan
charm	0.833	0.363	0.649	xarma
charmed	0.938	0.570	0.769	xarmatuta
charmer	0.882	0.683	0.782	xarmatzailea
charming	0.917	0.660	0.764	xarmagarria
charred	0.208	0.676	0.373	ikaztuta
chart	0.469	0.317	0.330	taula
charter	0.677	0.382	0.518	gutuna
chartered	0.569	0.460	0.490	pleitatua
chase	0.396	0.878	0.623	atzetik
chased	0.188	0.830	0.287	atzetik
chaser	0.375	0.830	0.645	jazarle
chasm	0.265	0.579	0.500	leizea
chassis	0.406	0.342	0.444	xasisa
chaste	0.408	0.248	0.453	kastoa
chastened	0.156	0.580	0.345	kastigatu
chastisement	0.156	0.852	0.462	zigorra
chastity	0.469	0.392	0.509	kastitatea
chat	0.729	0.400	0.346	berriketan
chateau	0.615	0.464	0.702	gaztelua
chatter	0.560	0.450	0.347	berriketa
chatterbox	0.459	0.548	0.482	berriketan
chattering	0.460	0.663	0.304	berriketan
chatty	0.594	0.548	0.345	berritsu
chauffeur	0.500	0.353	0.471	txofer
chauvinist	0.310	0.539	0.527	matxista
cheap	0.612	0.471	0.272	merke
cheapened	0.471	0.611	0.282	merketu
cheapskate	0.148	0.482	0.327	merke skate
cheat	0.125	0.776	0.400	iruzurra
cheater	0.104	0.920	0.333	iruzurra
check	0.523	0.552	0.602	egiaztatu
checkbook	0.552	0.284	0.364	txeke-liburua
checker	0.330	0.417	0.553	zuzentzailea
checkered	0.459	0.316	0.336	koadrodun
checkers	0.676	0.451	0.437	zuzentzaileak
checklist	0.561	0.521	0.552	kontrol-zerrenda
checkmate	0.667	0.708	0.750	xake matea
checkout	0.597	0.510	0.670	errebisatu
checkpoint	0.571	0.323	0.812	kontrol-puntua
checkup	0.500	0.435	0.491	ziurtatu
cheek	0.670	0.314	0.421	masaila
cheeks	0.708	0.324	0.282	masailak
cheeky	0.434	0.679	0.410	lotsagabea
cheep	0.367	0.380	0.373	cheep
cheer	0.938	0.784	0.845	animatu
cheered	0.875	0.648	0.790	animatu
cheerful	0.990	0.720	0.696	alaia
cheerfulness	0.969	0.802	0.675	alaitasuna
cheering	0.815	0.824	0.642	animatzen
cheerleader	0.923	0.746	0.657	animatzaile
cheerleading	0.698	0.769	0.404	animatzen
cheerless	0.204	0.373	0.167	alaigabea
cheers	0.948	0.770	0.702	animo
cheery	0.949	0.657	0.486	alaia
cheese	0.740	0.280	0.281	gazta
cheeseburger	0.802	0.529	0.336	gazta hanburgesa
cheesecake	0.860	0.276	0.238	gazta tarta
cheesy	0.470	0.471	0.179	gazia
cheetah	0.469	0.770	0.667	gepardoa
chef	0.854	0.411	0.570	sukaldaria
chemical	0.337	0.560	0.508	kimikoa
chemise	0.530	0.275	0.364	chemise
chemist	0.408	0.575	0.610	kimikaria
chemistry	0.625	0.520	0.694	kimika
chemo	0.214	0.686	0.444	kimioa
chemotherapy	0.163	0.689	0.517	kimioterapia
cheque	0.698	0.529	0.660	egiaztatu
cherish	0.896	0.491	0.652	estimatu
cherishing	0.836	0.380	0.625	estimatzen
cherry	0.688	0.186	0.250	gerezia
cherub	0.663	0.340	0.455	kerubin
chess	0.656	0.363	0.518	xakea
chest	0.520	0.429	0.481	bularra
chestnut	0.714	0.210	0.294	gaztaina
chevron	0.469	0.469	0.598	chevron
chew	0.520	0.490	0.404	murtxikatu
chewy	0.625	0.418	0.390	mastekatsua
chic	0.870	0.624	0.380	dotorea
chicane	0.357	0.460	0.481	chicane
chick	0.771	0.602	0.387	txita
chicken	0.594	0.306	0.394	oilaskoa
chicken pox	0.194	0.510	0.415	barizela
chickenpox	0.173	0.562	0.357	barizela
chief	0.520	0.544	0.869	buruzagia
chiefly	0.600	0.587	0.764	batez ere
chieftain	0.343	0.529	0.860	buruzagi
chiffon	0.406	0.230	0.250	chiffona
child	0.912	0.460	0.413	ume
childbirth	0.604	0.861	0.673	erditzea
childhood	0.865	0.413	0.307	haurtzaroa
childish	0.573	0.442	0.230	haurra
childless	0.310	0.400	0.396	umerik gabe
childlike	0.656	0.372	0.293	haurra
childloss	0.240	0.571	0.421	haur galera
children	0.857	0.538	0.435	haurrak
chili	0.592	0.566	0.433	pipermina
chill	0.837	0.206	0.482	hoztu
chilled	0.521	0.340	0.482	hoztuta
chilling	0.208	0.850	0.358	hozten
chilly	0.329	0.459	0.408	hotza
chime	0.573	0.541	0.464	txirrin
chimera	0.292	0.582	0.372	kimera
chimes	0.625	0.490	0.402	txirrinak
chimney	0.583	0.286	0.225	tximinia
chimp	0.394	0.588	0.345	txintxo
chimpanzee	0.500	0.633	0.387	txinpantzea
chin	0.571	0.310	0.269	kokotsa
china	0.561	0.443	0.556	Txina
chinchilla	0.480	0.450	0.286	txintxoa
chine	0.561	0.360	0.352	txina
chinook	0.408	0.497	0.491	txinotxoa
chip	0.479	0.382	0.452	txipa
chipmunk	0.573	0.562	0.409	txirrinka
chipper	0.418	0.588	0.500	txirrina
chipping	0.354	0.452	0.353	txirringa
chiropractor	0.420	0.549	0.651	kiropraktorea
chirp	0.469	0.602	0.365	txirrindu
chirping	0.500	0.463	0.360	txintxiloka
chisel	0.469	0.404	0.452	zizel
chiseler	0.429	0.606	0.464	zizelkatzailea
chit	0.490	0.352	0.321	txit
chitchat	0.673	0.455	0.403	txistuka
chivalry	0.857	0.380	0.848	zaldunkeria
chloride	0.265	0.387	0.474	kloruroa
chlorine	0.306	0.327	0.332	kloroa
chloroform	0.281	0.370	0.393	kloroformoa
chocolate	0.885	0.480	0.418	txokolatea
choice	0.745	0.520	0.664	aukera
choir	0.704	0.298	0.473	abesbatza
choke	0.167	0.788	0.676	ito
cholera	0.020	0.867	0.507	kolera
cholesterol	0.198	0.583	0.398	kolesterola
choose	0.615	0.542	0.648	aukeratu
choosing	0.719	0.529	0.689	aukeratzen
choosy	0.280	0.760	0.712	hautagarria
chop	0.250	0.655	0.467	txikitu
chopper	0.594	0.560	0.509	txupinera
choppers	0.469	0.745	0.691	txupingailuak
chopping	0.560	0.625	0.362	txikitzea
chops	0.612	0.420	0.269	txuletak
choral	0.852	0.290	0.421	korala
chord	0.729	0.394	0.539	akordea
chords	0.639	0.406	0.388	akordeak
chore	0.406	0.462	0.500	lana
choreographer	0.646	0.639	0.625	koreografoa
choreography	0.812	0.750	0.547	koreografia
chorus	0.620	0.417	0.500	korua
chosen	0.865	0.449	0.833	aukeratua
chow	0.573	0.490	0.390	chow
chowder	0.510	0.324	0.241	txorrota
christ	0.781	0.510	0.750	kristo
christen	0.673	0.356	0.588	bataiatu
christening	0.725	0.382	0.650	bataioa
christmas	0.959	0.520	0.741	gabonak
christmasbreak	0.842	0.640	0.548	gabonak
christmaseve	0.812	0.491	0.463	Gabon gaua
christmasspirit	0.867	0.602	0.575	gabon izpiritua
christmassy	0.875	0.698	0.602	gabonak
christmastime	0.837	0.588	0.515	gabonak
chromatic	0.407	0.413	0.435	kromatikoak
chromatography	0.480	0.537	0.535	kromatografia
chrome	0.582	0.373	0.421	kromoa
chromium	0.458	0.404	0.447	kromoa
chromosome	0.500	0.296	0.548	kromosoma
chronic	0.255	0.615	0.464	kronikoa
chronicle	0.427	0.571	0.586	kronika
chronograph	0.500	0.392	0.529	kronografoa
chronological	0.594	0.445	0.600	kronologikoa
chubby	0.531	0.427	0.304	potoloa
chuck	0.542	0.509	0.413	chuck
chuckle	0.844	0.736	0.481	barre egin
chug	0.401	0.413	0.358	zug
chum	0.911	0.347	0.518	lagun
chummy	0.760	0.420	0.610	laguna
chump	0.375	0.451	0.304	potoloa
chunk	0.365	0.287	0.214	puska
chunky	0.520	0.517	0.509	potoloa
church	0.708	0.198	0.610	eliza
churchyard	0.296	0.444	0.347	eliztegia
churn	0.316	0.491	0.407	borobildu
chute	0.580	0.745	0.455	txorrota
chutney	0.459	0.370	0.400	chutney
ciao	0.542	0.426	0.409	ciao
cider	0.530	0.346	0.398	sagardoa
cigar	0.306	0.463	0.346	purua
cigarette	0.219	0.528	0.304	zigarroa
cilantro	0.469	0.260	0.208	cilantroa
cinch	0.450	0.490	0.387	txintxa
cinder	0.350	0.260	0.157	errautsa
cinema	0.698	0.538	0.500	zinema
cinematic	0.663	0.490	0.600	zinematografikoa
cinematographer	0.792	0.455	0.711	argazki-zuzendaria
cinematography	0.781	0.571	0.625	zinematografia
cinnamon	0.600	0.250	0.292	kanela
cipher	0.490	0.414	0.500	zifratu
circle	0.480	0.290	0.343	zirkulu
circling	0.510	0.654	0.336	inguratuz
circuit	0.586	0.461	0.707	zirkuitua
circuitry	0.596	0.615	0.536	zirkuituak
circular	0.562	0.342	0.417	zirkularra
circulate	0.612	0.388	0.320	zirkulatu
circulation	0.735	0.520	0.657	zirkulazioa
circulatory	0.592	0.575	0.545	zirkulatorioa
circumcision	0.327	0.657	0.528	zirkunzisioa
circumference	0.458	0.255	0.488	zirkunferentzia
circumferential	0.551	0.422	0.509	zirkunferentzia
circumscribed	0.365	0.539	0.569	zirkunskribatua
circumstance	0.520	0.565	0.596	egoera
circumstances	0.562	0.527	0.464	inguruabarrak
circumstantial	0.500	0.538	0.519	zirkunstantziala
circumvent	0.316	0.642	0.383	saihestu
circumvention	0.531	0.571	0.473	saihesbidea
circus	0.724	0.637	0.432	zirkua
cirque	0.604	0.647	0.467	zirkua
cirrhosis	0.079	0.602	0.370	zirrosia
cirrus	0.470	0.451	0.348	zirroa
cistern	0.541	0.413	0.432	zisterna
citadel	0.585	0.464	0.602	ziudadela
citation	0.570	0.549	0.508	aipamena
cite	0.625	0.454	0.532	aipatu
citizen	0.631	0.250	0.586	herritarra
citizenship	0.786	0.404	0.723	herritartasuna
citrine	0.375	0.400	0.420	zitrinoa
citrus	0.469	0.368	0.375	zitrikoak
city	0.847	0.531	0.508	hiria
citywide	0.592	0.509	0.707	hiri osoan
civic	0.653	0.240	0.573	herritarra
civics	0.700	0.279	0.720	herritarrak
civil	0.521	0.281	0.517	zibila
civilian	0.700	0.229	0.598	zibila
civilians	0.490	0.448	0.525	zibilak
civility	0.760	0.306	0.679	gizalegea
civilization	0.823	0.452	0.839	zibilizazioa
civilized	0.792	0.231	0.796	zibilizatu
