English Word	Valence	Arousal	Dominance	Yoruba Word
dismay	0.314	0.681	0.459	ibanuje
dismayed	0.165	0.735	0.389	aibalẹ
dismemberment	0.104	0.860	0.470	dismemberment
dismiss	0.167	0.541	0.509	danu
dismissal	0.153	0.723	0.271	yiyọ kuro
dismissive	0.188	0.541	0.430	yiyọ kuro
dismount	0.361	0.423	0.391	didenukole
disobedience	0.051	0.868	0.369	aigboran
disobedient	0.276	0.706	0.353	alaigbọran
disobey	0.143	0.556	0.491	aigbọran
disorder	0.115	0.816	0.218	rudurudu
disordered	0.210	0.714	0.288	rudurudu
disorderly	0.188	0.748	0.385	aiṣedeede
disorganized	0.052	0.507	0.184	aiṣedeede
disorientation	0.163	0.472	0.212	disorientation
disoriented	0.227	0.643	0.227	disoriented
disown	0.153	0.637	0.368	sẹ
disparage	0.092	0.663	0.336	aibikita
disparaging	0.102	0.626	0.411	disparaging
disparate	0.438	0.500	0.368	iyatọ
disparity	0.208	0.482	0.361	iyapa
dispassionate	0.199	0.217	0.218	aibikita
dispatch	0.317	0.417	0.555	fifiranṣẹ
dispatcher	0.365	0.704	0.652	dispatcher
dispel	0.388	0.402	0.411	tu kuro
dispensary	0.406	0.380	0.606	dispensary
dispensation	0.388	0.462	0.490	igbaradi
dispense	0.561	0.520	0.518	kaakiri
dispenser	0.583	0.392	0.470	apanirun
dispersal	0.388	0.507	0.421	kaakiri
disperse	0.375	0.569	0.434	tuka
dispersed	0.344	0.490	0.274	tuka
dispersion	0.270	0.604	0.350	pipinka
dispirited	0.204	0.280	0.142	dispirited
displace	0.424	0.541	0.454	nipo
displaced	0.281	0.472	0.291	nipo
displacement	0.276	0.531	0.481	nipo
displacency	0.500	0.528	0.642	iṣipopada
display	0.677	0.325	0.400	ifihan
displease	0.021	0.702	0.286	binu
displeased	0.135	0.690	0.400	inu ko dun
displeasure	0.115	0.559	0.250	ibinu
disposable	0.271	0.439	0.250	isọnu
disposal	0.135	0.608	0.396	isọnu
dispose	0.548	0.538	0.559	sọnù
disposed	0.688	0.441	0.625	sọnu
disposition	0.663	0.542	0.734	ifarahan
dispossessed	0.354	0.577	0.331	ti sọnu
disprove	0.375	0.625	0.613	ṣe idaniloju
dispute	0.219	0.750	0.585	àríyànjiyàn
disqualification	0.066	0.677	0.330	disqualification
disqualified	0.129	0.464	0.232	disqualified
disqualify	0.208	0.595	0.267	disqualification
disquieted	0.229	0.850	0.290	aibalẹ
disregard	0.177	0.647	0.308	aifiyesi
disregarded	0.260	0.458	0.283	aibikita
disrelish	0.375	0.471	0.304	disrelish
disreputable	0.104	0.688	0.353	aibikita
disrepute	0.208	0.630	0.292	aibikita
disrespect	0.062	0.637	0.302	aibọwọ
disrespectful	0.031	0.694	0.273	alaibọwọ
disrupt	0.265	0.640	0.349	disrupt
disrupting	0.186	0.557	0.339	idalọwọduro
disruption	0.235	0.735	0.436	idalọwọduro
disruptive	0.255	0.755	0.575	idalọwọduro
dissatisfaction	0.115	0.663	0.202	ainitẹlọrun
dissatisfied	0.042	0.561	0.291	aitẹlọrun
dissect	0.367	0.750	0.595	dissect
dissection	0.276	0.632	0.462	pipinka
disseminate	0.562	0.608	0.750	tan kaakiri
dissemination	0.476	0.551	0.583	itankale
dissension	0.250	0.618	0.414	iyapa
dissent	0.300	0.655	0.407	atako
dissenting	0.208	0.552	0.366	iyapa
dissertation	0.312	0.575	0.575	iwe afọwọkọ
disservice	0.250	0.794	0.480	aibikita
dissident	0.350	0.582	0.413	dissist
dissimilar	0.276	0.461	0.472	otooto
dissipate	0.385	0.368	0.355	tuka
dissipated	0.281	0.421	0.231	tuka
dissociation	0.135	0.555	0.471	iyapa
dissociative	0.281	0.615	0.397	dissociative
dissolution	0.204	0.464	0.349	itusilẹ
dissolve	0.271	0.490	0.410	tu
dissonance	0.173	0.471	0.336	dissonance
dissuade	0.482	0.500	0.350	dissuade
distal	0.410	0.401	0.438	jina
distance	0.233	0.317	0.418	ijinna
distant	0.229	0.324	0.269	o jina
distaste	0.184	0.625	0.370	ikorira
distasteful	0.264	0.676	0.222	irira
distillate	0.500	0.347	0.382	distillate
distillation	0.396	0.436	0.575	distillation
distilled	0.427	0.573	0.500	distilled
distinct	0.542	0.578	0.509	yàtọ
distinction	0.584	0.571	0.750	iyatọ
distinctive	0.885	0.520	0.604	pato
distinguish	0.675	0.471	0.600	ṣe iyatọ
distinguishable	0.635	0.530	0.727	iyatọ
distinguished	0.823	0.593	0.759	iyatọ
distinguishing	0.622	0.363	0.640	iyatọ
distort	0.100	0.740	0.366	daru
distorted	0.250	0.521	0.280	daru
distortion	0.299	0.570	0.380	ipalọlọ
distract	0.241	0.609	0.336	distract
distracted	0.194	0.392	0.213	idamu
distracting	0.445	0.583	0.400	idamu
distraction	0.402	0.557	0.390	idamu
distraught	0.115	0.903	0.264	ibanuje
distress	0.073	0.840	0.396	wahala
distressed	0.143	0.771	0.324	ibanuje
distressing	0.075	0.750	0.375	ibanuje
distribute	0.643	0.596	0.709	kaakiri
distribution	0.635	0.548	0.788	pinpin
distributor	0.702	0.447	0.718	olupin
district	0.438	0.327	0.660	agbegbe
distrust	0.060	0.670	0.276	aifokanbale
disturb	0.175	0.760	0.481	idamu
disturbance	0.146	0.907	0.404	idamu
disturbed	0.125	0.870	0.305	idamu
disturbing	0.146	0.792	0.439	idamu
disuse	0.229	0.229	0.202	ilokulo
disused	0.250	0.302	0.186	ti ko lo
ditch	0.357	0.364	0.322	koto
ditto	0.449	0.418	0.411	ditto
ditty	0.470	0.433	0.334	ditty
diurnal	0.714	0.296	0.443	ojojumọ
diva	0.660	0.657	0.596	diva
divan	0.750	0.202	0.262	divan
dive	0.583	0.531	0.500	besomi
diver	0.594	0.520	0.564	omuwe
diverge	0.375	0.657	0.520	yiyatọ
divergence	0.429	0.615	0.687	iyatọ
divergent	0.449	0.660	0.587	oniruuru
diverging	0.417	0.613	0.573	diverging
divers	0.583	0.580	0.602	onirũru
diverse	0.562	0.519	0.604	oniruuru
diversified	0.602	0.538	0.549	orisirisi
diversify	0.656	0.588	0.464	orisirisi
diversion	0.740	0.821	0.714	diversion
diversionary	0.551	0.587	0.300	diversionary
diversity	0.806	0.472	0.711	oniruuru
divert	0.344	0.622	0.407	darí
diverting	0.396	0.571	0.537	yiyi pada
divest	0.365	0.547	0.424	ipadasẹhin
divested	0.333	0.449	0.311	divested
divestment	0.302	0.509	0.382	divestment
divide	0.333	0.520	0.417	pin
divided	0.271	0.623	0.391	pin
dividend	0.583	0.491	0.566	pinpin
divination	0.500	0.650	0.545	afọṣẹ
divine	0.918	0.571	0.885	Ibawi
divinity	0.896	0.559	0.774	oriṣa
divisible	0.323	0.462	0.411	pínpín
division	0.370	0.481	0.472	pipin
divisor	0.344	0.517	0.455	alapin
divorce	0.042	0.700	0.385	ikọsilẹ
divorcee	0.153	0.610	0.481	ikọsilẹ
divulge	0.531	0.718	0.467	itusilẹ
divvy	0.351	0.462	0.429	divvy
dizziness	0.229	0.555	0.254	dizziness
dizzy	0.199	0.582	0.193	dizzy
do	0.670	0.548	0.536	ṣe
doable	0.760	0.404	0.675	ṣee ṣe
doc	0.458	0.317	0.392	doc
docile	0.604	0.259	0.264	docile
dock	0.490	0.409	0.481	ibi iduro
docked	0.281	0.754	0.398	docked
docket	0.505	0.509	0.607	dokẹti
docking	0.354	0.596	0.587	ibi iduro
doctor	0.700	0.531	0.861	dokita
doctorate	0.776	0.479	0.841	oye dokita
doctrinal	0.510	0.373	0.673	ẹkọ
doctrine	0.500	0.394	0.769	ẹkọ
document	0.594	0.240	0.667	iwe aṣẹ
documentary	0.622	0.213	0.596	iwe itan
documentation	0.719	0.290	0.667	iwe aṣẹ
documents	0.530	0.250	0.587	awọn iwe aṣẹ
dodge	0.333	0.760	0.509	latile
dodger	0.427	0.454	0.490	doji
dodging	0.396	0.654	0.382	yiyọ kuro
dodgy	0.281	0.510	0.254	odidi
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	ṣe
doer	0.724	0.550	0.728	oluṣe
dog	0.704	0.500	0.407	aja
dogface	0.219	0.470	0.264	dogface
dogged	0.255	0.750	0.594	aja
doggy	0.646	0.491	0.404	doggy
doghouse	0.438	0.417	0.340	ile aja
dogma	0.530	0.460	0.719	ẹkọ
dogmatic	0.448	0.520	0.654	dogmatic
dogsick	0.571	0.490	0.377	aja aja
doings	0.604	0.491	0.705	awọn iṣe
doit	0.500	0.519	0.392	se o
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	doldrums
dole	0.448	0.402	0.348	dole
doll	0.729	0.321	0.330	omolankidi
dollar	0.755	0.632	0.694	dola
dollhouse	0.643	0.245	0.363	ile ọmọlangidi
dolor	0.167	0.635	0.375	dola
dolphin	0.776	0.350	0.414	ẹja nla
domain	0.573	0.549	0.828	ibugbe
dome	0.620	0.398	0.509	dome
domestic	0.729	0.327	0.500	abele
domesticated	0.635	0.360	0.294	abele
domestication	0.594	0.390	0.435	ìbílẹ̀
domicile	0.604	0.292	0.529	ibugbe
domiciled	0.542	0.340	0.516	ibugbe
dominance	0.542	0.775	0.839	gaba lori
dominant	0.406	0.854	0.893	alakoso
dominate	0.439	0.814	0.953	jọba
dominating	0.427	0.769	0.902	gaba lori
domination	0.505	0.786	0.959	gaba lori
dominatrix	0.390	0.727	0.709	dominatrix
dominion	0.542	0.704	0.890	ijọba
domino	0.594	0.510	0.473	Domino
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	ṣetọrẹ
donation	0.792	0.398	0.602	ẹbun
donkey	0.406	0.367	0.245	kẹtẹkẹtẹ
donor	0.714	0.490	0.653	olugbeowosile
dontlikeyou	0.055	0.500	0.282	maṣe fẹran rẹ
dontmess	0.396	0.482	0.440	dontmes
dontmesswithme	0.312	0.635	0.440	maṣe pẹlu mi
dontpanic	0.469	0.465	0.425	máṣe bẹ̀rù
dontunderstand	0.219	0.357	0.271	ko ye
doodle	0.604	0.402	0.376	doodle
doom	0.073	0.750	0.442	iparun
doomed	0.041	0.755	0.301	ijakule
doomsday	0.125	0.861	0.670	ojo idajo
door	0.549	0.189	0.421	ilekun
doorbell	0.564	0.500	0.307	agogo ilẹkun
doorknob	0.406	0.553	0.462	ẹnu ilẹkun
doorman	0.570	0.371	0.491	elekun
doormat	0.458	0.269	0.267	ẹnu-ọna
doornail	0.459	0.370	0.423	eekanna ile
doorstep	0.531	0.274	0.391	ẹnu-ọna
doorway	0.573	0.304	0.496	enu ona
dopamine	0.548	0.469	0.426	dopamine
dope	0.295	0.855	0.425	dope
dopey	0.320	0.380	0.365	dopey
dork	0.272	0.519	0.361	doki
dorky	0.302	0.480	0.390	dorky
dorm	0.719	0.194	0.327	ibugbe
dormant	0.385	0.245	0.245	dormant
dormitory	0.633	0.204	0.382	ibugbe
dorsal	0.449	0.360	0.445	dorsal
dosage	0.344	0.450	0.490	iwọn lilo
dose	0.458	0.490	0.427	iwọn lilo
dossier	0.357	0.380	0.544	dossier
dot	0.434	0.290	0.391	aami
doting	0.888	0.415	0.426	doting
dotted	0.480	0.347	0.426	ti sami
dotty	0.375	0.402	0.393	dotty
double	0.677	0.378	0.569	ilọpo meji
doubled	0.427	0.536	0.560	ilọpo meji
doublet	0.420	0.431	0.500	enimeji
doubling	0.459	0.452	0.464	ilọpo meji
doubt	0.395	0.351	0.231	iyemeji
doubtful	0.250	0.465	0.241	iyemeji
doubting	0.224	0.560	0.189	nseyemeji
doubtless	0.688	0.415	0.689	iyemeji
doubts	0.306	0.448	0.305	iyemeji
douche	0.490	0.413	0.397	douche
douchebags	0.327	0.587	0.366	douchebags
dough	0.588	0.229	0.391	esufulawa
doughboy	0.365	0.443	0.396	doughboy
doughnut	0.663	0.380	0.279	ẹbun
dour	0.360	0.404	0.325	egba
douse	0.365	0.453	0.412	douse
dove	0.729	0.235	0.437	àdàbà
down	0.208	0.330	0.264	isalẹ
downcast	0.071	0.500	0.222	downcast
downer	0.120	0.594	0.226	isalẹ
downfall	0.200	0.717	0.182	isubu
downfield	0.521	0.330	0.380	ibosile
downhearted	0.119	0.461	0.255	irẹwẹsi
downhill	0.292	0.573	0.279	bosile
download	0.602	0.490	0.503	download
downpour	0.328	0.602	0.481	òjò òjò
downright	0.625	0.454	0.679	taara
downriver	0.542	0.469	0.279	ibosile
downside	0.190	0.400	0.246	downside
downtime	0.240	0.226	0.324	downtime
downward	0.188	0.347	0.255	sisale
downy	0.630	0.170	0.255	isalẹ
dowry	0.604	0.453	0.544	owo ori
doze	0.592	0.200	0.405	doze
dozen	0.583	0.343	0.425	mejila
drab	0.327	0.300	0.242	gbamu
draft	0.438	0.360	0.351	osere
drafty	0.458	0.500	0.518	drafty
drag	0.388	0.606	0.348	fa
dragon	0.541	0.821	0.712	dragoni
dragonfly	0.571	0.373	0.357	dragonfly
drain	0.277	0.470	0.222	imugbẹ
drainage	0.219	0.354	0.307	idominugere
drained	0.310	0.441	0.352	drained
draining	0.337	0.396	0.304	gbigbemi
drainpipe	0.417	0.413	0.277	iṣan omi
drake	0.467	0.411	0.452	drake
drama	0.430	0.755	0.481	eré
dramaqueen	0.337	0.682	0.482	eré
dramatic	0.367	0.780	0.443	ìgbésẹ
drape	0.417	0.439	0.404	drape
drapery	0.479	0.220	0.223	drapery
drastic	0.194	0.839	0.657	buruju
drat	0.302	0.516	0.409	drat
draught	0.465	0.245	0.316	osere
draw	0.704	0.449	0.481	iyaworan
drawback	0.302	0.422	0.148	drawback
drawbridge	0.551	0.557	0.438	drawbridge
drawer	0.429	0.196	0.292	duroa
drawers	0.539	0.260	0.236	awọn ifipamọ
drawing	0.698	0.216	0.333	iyaworan
dread	0.153	0.792	0.368	ẹru
dreaded	0.122	0.706	0.460	ẹru
dreadful	0.092	0.786	0.348	ẹru
dreadfully	0.246	0.806	0.306	ẹru
dreading	0.125	0.760	0.377	ẹru
dream	0.844	0.157	0.328	ala
dreamboat	0.776	0.491	0.458	ọkọ oju omi ala
dreamer	0.820	0.394	0.455	alala
dreaming	0.854	0.320	0.336	ala
dreamland	0.844	0.471	0.566	ala-ilẹ
dreams	0.865	0.415	0.530	àlá
dreamt	0.812	0.380	0.518	ala
dreamy	0.837	0.350	0.500	ala
dreary	0.260	0.490	0.324	alaburuku
dredge	0.427	0.445	0.444	dreji
drenched	0.302	0.361	0.388	rì
dress	0.760	0.300	0.345	imura
dresser	0.604	0.398	0.473	imura
dressmaker	0.698	0.460	0.483	alaṣọ aṣọ
dressy	0.800	0.570	0.696	imura
dribble	0.417	0.551	0.465	dribble
dried	0.427	0.260	0.385	ti o gbẹ
drier	0.306	0.347	0.392	gbígbẹ
drift	0.316	0.520	0.375	fifo
drifted	0.312	0.542	0.310	fifó
drifter	0.449	0.512	0.391	ẹlẹsẹ
driftwood	0.321	0.283	0.439	driftwood
drill	0.250	0.602	0.573	lu
drink	0.650	0.552	0.474	mimu
drinker	0.365	0.735	0.441	ohun mimu
drinking	0.562	0.459	0.317	mimu
drinks	0.729	0.656	0.412	ohun mimu
drip	0.392	0.193	0.175	kán
dripping	0.302	0.257	0.267	sisọ
drive	0.625	0.689	0.713	wakọ
drivel	0.398	0.469	0.463	wakọ
driver	0.553	0.538	0.637	awako
driveway	0.612	0.392	0.689	opopona
drizzle	0.521	0.353	0.319	dimu
droll	0.459	0.573	0.422	yi lọ
drone	0.429	0.686	0.596	drone
drones	0.398	0.577	0.588	drones
drool	0.385	0.398	0.204	silẹ
drooping	0.245	0.558	0.353	sisọ silẹ
droopy	0.438	0.350	0.297	rọ
drop	0.479	0.321	0.291	silẹ
droplet	0.625	0.208	0.194	droplet
dropout	0.253	0.550	0.481	eniti o ko lati se nkan
dropper	0.333	0.216	0.236	dropper
drought	0.133	0.353	0.267	ogbele
drove	0.541	0.528	0.623	wakọ
drown	0.071	0.860	0.270	rì
drowsiness	0.260	0.194	0.303	orunkun
drowsy	0.375	0.180	0.240	tòògbé
drudgery	0.094	0.522	0.241	oogun oloro
drug	0.214	0.790	0.453	oògùn
drug dealing	0.042	0.843	0.500	oògùn awọn olugbagbọ
drugged	0.102	0.750	0.321	oloro
druggist	0.240	0.561	0.417	oloogun
drugs	0.167	0.750	0.368	oloro
drugstore	0.490	0.343	0.518	ile itaja oogun
druid	0.517	0.445	0.481	ìgbín
drum	0.615	0.679	0.339	ilu
drummer	0.646	0.700	0.564	onilu
drumming	0.594	0.750	0.426	ìlù ìlù
drunk	0.194	0.800	0.250	yó
drunk driving	0.073	0.900	0.306	mu yó awakọ
drunkard	0.240	0.873	0.250	ọmuti
drunken	0.155	0.849	0.250	ọmuti
drunkenness	0.214	0.774	0.336	ìmutípara
dry	0.363	0.169	0.311	gbẹ
dryer	0.479	0.343	0.277	togbe
dryness	0.292	0.296	0.263	gbígbẹ
dual	0.573	0.330	0.384	meji
dualism	0.490	0.406	0.536	meji-meji
duality	0.438	0.520	0.503	meji-meji
dub	0.510	0.480	0.387	dub
dubious	0.414	0.480	0.198	dubious
duchess	0.656	0.548	0.711	Duchess
duck	0.594	0.337	0.236	ewure
ducking	0.344	0.573	0.294	ewure
duckling	0.602	0.353	0.263	ewure
ducky	0.520	0.430	0.368	ewure
duct	0.449	0.435	0.430	duct
ductile	0.508	0.420	0.433	ductile
dud	0.167	0.455	0.246	dudu
dude	0.809	0.356	0.615	arakunrin
duds	0.347	0.311	0.339	eruku
due	0.562	0.340	0.467	nitori
duel	0.271	0.696	0.589	duel
dues	0.367	0.461	0.288	awọn idiyele
duet	0.694	0.693	0.527	duet
duffel	0.500	0.400	0.384	duffel
dugout	0.490	0.370	0.463	idọti
duh	0.357	0.461	0.364	duh
duke	0.667	0.440	0.669	duke
dull	0.194	0.120	0.185	ṣigọgọ
dullard	0.450	0.480	0.365	dullard
dumb	0.188	0.330	0.151	odi
dumbasses	0.316	0.590	0.363	dumbasses
dumbbell	0.302	0.469	0.364	dumbbell
dumbbitch	0.281	0.636	0.393	dumbitch
dumfound	0.271	0.551	0.295	ahoro
dumfounder	0.406	0.481	0.400	dumfounder
dummy	0.440	0.144	0.250	idinwon
dump	0.345	0.500	0.370	danu
dumpling	0.580	0.321	0.360	idalenu
dumps	0.302	0.583	0.365	idalenu
dumpster	0.229	0.418	0.101	idalẹnu
dun	0.458	0.431	0.339	dun
dunce	0.188	0.327	0.146	dunnce
dune	0.459	0.173	0.414	dune
dung	0.104	0.549	0.149	igbe
dungeon	0.276	0.608	0.440	iho
dunk	0.406	0.333	0.475	dunk
duo	0.510	0.500	0.447	duo
dupe	0.184	0.760	0.327	dupe
duplex	0.592	0.452	0.467	ile oloke meji
duplicate	0.521	0.490	0.338	pidánpidán
duplication	0.480	0.564	0.577	išẹpo
duplicity	0.406	0.500	0.578	àdáwòkọ
durability	0.750	0.398	0.813	agbara
durable	0.740	0.294	0.688	ti o tọ
duration	0.656	0.370	0.536	iye akoko
duress	0.302	0.569	0.612	ipanilaya
dusk	0.532	0.276	0.519	aṣalẹ
dusky	0.229	0.528	0.324	dusky
dust	0.344	0.246	0.241	eruku
duster	0.408	0.265	0.296	eruku
dustpan	0.609	0.466	0.371	erupẹ
dusty	0.406	0.294	0.255	eruku
dutiful	0.724	0.245	0.585	ojuse
duty	0.583	0.579	0.651	ojuse
dwarf	0.370	0.340	0.288	arara
dwarfed	0.365	0.265	0.293	dwarfed
dweeb	0.354	0.446	0.327	dweeb
dwell	0.698	0.245	0.611	gbé
dweller	0.615	0.304	0.500	olugbe
dwelling	0.765	0.330	0.481	ibugbe
dye	0.479	0.314	0.371	àwọ̀
dying	0.040	0.664	0.422	nku
dyke	0.438	0.396	0.566	dyke
dynamic	0.724	0.750	0.836	ìmúdàgba
dynamical	0.786	0.730	0.827	ìmúdàgba
dynamics	0.745	0.682	0.774	ìmúdàgba
dynamite	0.344	0.860	0.783	dynamite
dynamo	0.531	0.650	0.593	dynamo
dynasty	0.725	0.588	0.936	idile ọba
dysentery	0.260	0.528	0.345	dysentery
dysfunction	0.156	0.410	0.386	aiṣiṣẹ
dysfunctional	0.125	0.558	0.307	aiṣiṣẹ
dyspepsia	0.212	0.470	0.460	dyspepsia
eager	0.521	0.812	0.306	itara
eagerness	0.406	0.621	0.443	itara
eagle	0.604	0.594	0.679	idì
ear	0.469	0.216	0.231	eti
earful	0.533	0.462	0.443	eti
earl	0.582	0.461	0.794	eti
earlier	0.562	0.352	0.339	sẹyìn
early	0.633	0.373	0.426	kutukutu
earn	0.865	0.769	0.817	jo'gun
earnest	0.653	0.380	0.670	itara
earnestly	0.847	0.490	0.717	itara
earnestness	0.812	0.373	0.615	itara
earnings	0.938	0.650	0.875	dukia
earpiece	0.583	0.286	0.452	afikọti
earring	0.583	0.520	0.500	afikọti
earrings	0.676	0.346	0.517	afikọti
earshot	0.552	0.332	0.408	eti eti
earth	0.750	0.225	0.614	aiye
earthenware	0.552	0.210	0.320	ohun elo amọ
earthling	0.531	0.412	0.570	ará ayé
earthly	0.625	0.318	0.518	ti aiye
earthquake	0.073	0.930	0.812	ìṣẹlẹ
earthy	0.375	0.413	0.404	erupẹ ilẹ
ease	0.796	0.385	0.491	irorun
easel	0.694	0.340	0.527	irọrun
easement	0.479	0.345	0.302	irọrun
easily	0.885	0.279	0.453	awọn iṣọrọ
east	0.510	0.250	0.317	ila-oorun
eastbound	0.541	0.408	0.402	ila-oorun
eastern	0.521	0.420	0.480	ila-oorun
easy	0.865	0.194	0.373	rorun
easygoing	0.823	0.276	0.538	lo jeje
eat	0.731	0.500	0.464	jẹun
eater	0.459	0.337	0.510	onijẹun
eating	0.847	0.491	0.615	jijẹ
eatingdisorders	0.365	0.608	0.508	aisedeedee inu ounjẹ
eavesdrop	0.375	0.710	0.368	eavesd
eavesdropping	0.490	0.380	0.441	etí
ebb	0.354	0.451	0.404	ebb
ebony	0.490	0.317	0.400	ebony
ebullient	0.659	0.856	0.746	eleru
eccentric	0.531	0.806	0.721	eccentric
eccentricity	0.408	0.735	0.745	eccentricity
ecclesiastical	0.673	0.270	0.660	ti alufaa
echelon	0.490	0.404	0.425	echelon
echinacea	0.592	0.418	0.454	echinacea
echo	0.573	0.373	0.345	iwoyi
eclectic	0.646	0.542	0.508	eclectic
eclipse	0.541	0.469	0.616	oṣupa
ecliptic	0.531	0.520	0.556	ecliptic
ecological	0.885	0.290	0.607	abemi
economic	0.561	0.408	0.639	aje
economical	0.667	0.564	0.673	ti ọrọ-aje
economics	0.625	0.481	0.632	aje
economy	0.583	0.434	0.771	aje
ecosystem	0.729	0.259	0.633	ilolupo
ecstasy	0.796	0.922	0.655	igbadun
ecstatic	0.875	0.769	0.742	igbadun
ecumenical	0.561	0.450	0.547	ecumenical
eddy	0.500	0.394	0.350	eddy
edema	0.250	0.519	0.318	edema
edge	0.439	0.470	0.468	eti
edging	0.479	0.394	0.370	ege
edgy	0.281	0.895	0.306	edgy
edible	0.750	0.425	0.497	jeje
edict	0.316	0.547	0.560	aṣẹ
edification	0.625	0.481	0.697	atunse
edifice	0.551	0.403	0.610	ile
edit	0.510	0.410	0.544	satunkọ
editing	0.604	0.404	0.493	ṣiṣatunkọ
edition	0.542	0.455	0.564	àtúnse
editor	0.772	0.431	0.673	olootu
editorial	0.583	0.330	0.570	olootu
educate	0.760	0.380	0.728	kọ ẹkọ
educated	0.816	0.297	0.625	kọ ẹkọ
education	0.896	0.275	0.840	eko
educational	0.745	0.457	0.764	eko
educator	0.827	0.317	0.845	olukọni
eeeek	0.367	0.540	0.349	eeeeee
eeek	0.333	0.490	0.302	eeek
eek	0.292	0.529	0.343	eek
eel	0.292	0.564	0.487	eel
eerie	0.265	0.771	0.442	eeri
effect	0.570	0.518	0.608	ipa
effective	0.844	0.632	0.891	munadoko
effectiveness	0.640	0.654	0.812	ndin
effects	0.470	0.578	0.379	awọn ipa
effectual	0.776	0.559	0.820	wulo
effectually	0.724	0.500	0.594	daradara
effectuate	0.510	0.602	0.679	ipa
effeminate	0.337	0.619	0.291	imunibinu
efficacious	0.823	0.698	0.845	munadoko
efficacy	0.802	0.490	0.906	ipa
efficiency	0.802	0.509	0.892	ṣiṣe
efficient	0.959	0.604	0.830	daradara
effigy	0.510	0.440	0.401	effigy
effort	0.698	0.778	0.858	akitiyan
effortless	0.626	0.090	0.352	akitiyan
effusion	0.344	0.730	0.472	iṣan omi
effyou	0.354	0.529	0.490	efa o
egg	0.684	0.241	0.293	ẹyin
egghead	0.316	0.492	0.284	ori eyin
eggnog	0.635	0.360	0.259	ẹyin
eggplant	0.592	0.152	0.323	Igba
eggshell	0.408	0.269	0.212	ẹyin ẹyin
ego	0.328	0.576	0.593	owo
egomaniac	0.133	0.708	0.596	egomaniac
egotistical	0.156	0.667	0.363	egotistical
egregious	0.150	0.716	0.442	nla
egress	0.490	0.429	0.287	jijade
eight	0.540	0.199	0.315	mẹjọ
eighteen	0.523	0.340	0.404	mejidilogun
eighth	0.531	0.226	0.380	kẹjọ
eighty	0.500	0.300	0.453	ọgọrin
ejaculate	0.604	0.896	0.604	ejaculate
ejaculation	0.615	0.893	0.547	ejaculation
eject	0.434	0.656	0.559	jade
ejection	0.188	0.836	0.554	idasile
elaborate	0.561	0.367	0.680	ṣe alaye
elaboration	0.708	0.500	0.598	imudara
elan	0.562	0.367	0.500	elan
elapse	0.514	0.440	0.455	ti kọja
elapsed	0.583	0.451	0.493	ti kọja
elastic	0.656	0.518	0.385	rirọ
elasticity	0.635	0.452	0.582	rirọ
elated	0.792	0.960	0.725	inu didun
elation	0.740	0.853	0.623	elation
elbow	0.448	0.133	0.254	igbonwo
eld	0.471	0.292	0.451	agba
elder	0.448	0.153	0.462	agba
elders	0.602	0.260	0.441	àgba
eldest	0.625	0.471	0.741	àgbà
elect	0.667	0.554	0.661	yan
election	0.625	0.519	0.651	idibo
elective	0.612	0.380	0.623	yiyan
elector	0.479	0.520	0.766	oludibo
electoral	0.490	0.631	0.602	idibo
electorate	0.560	0.380	0.696	oludibo
electric	0.458	0.708	0.512	itanna
electric slide	0.542	0.660	0.536	ifaworanhan itanna
electrical	0.531	0.620	0.688	itanna
electrician	0.449	0.590	0.620	elekitiriki
electricity	0.698	0.810	0.733	itanna
electrify	0.520	0.769	0.737	itanna
electrocute	0.271	0.731	0.555	elekitiriki
electrocution	0.177	0.844	0.692	itanna
electromagnetic	0.531	0.632	0.683	itanna
electron	0.520	0.455	0.560	elekitironi
electronic	0.571	0.490	0.704	itanna
electronics	0.708	0.545	0.574	itanna
elegance	0.918	0.396	0.824	didara
elegant	0.865	0.500	0.685	yangan
element	0.531	0.259	0.481	eroja
elemental	0.627	0.306	0.711	ipilẹ
elementary	0.594	0.286	0.686	alakọbẹrẹ
elements	0.510	0.312	0.462	eroja
elephant	0.531	0.510	0.615	erin
elevate	0.812	0.500	0.804	gbega
elevated	0.704	0.594	0.620	igbega
elevation	0.760	0.759	0.711	igbega
elevator	0.562	0.604	0.676	ategun
eleven	0.449	0.250	0.430	mọkanla
eleventh	0.594	0.329	0.357	kọkanla
elf	0.460	0.457	0.315	elf
elicit	0.406	0.594	0.658	gbejade
eligible	0.750	0.400	0.518	yẹ
eliminate	0.265	0.670	0.324	imukuro
elimination	0.052	0.667	0.431	imukuro
elite	0.688	0.704	0.737	olutayo
elitist	0.500	0.606	0.656	elitist
elixir	0.708	0.587	0.604	elixir
elk	0.439	0.337	0.340	elk
ell	0.469	0.418	0.373	eyin
ellipse	0.531	0.410	0.479	ellipse
ellipsis	0.653	0.358	0.314	ellipsis
ellipsoid	0.500	0.440	0.419	ellipsoid
elliptic	0.500	0.431	0.528	elliptic
elliptical	0.338	0.385	0.490	elliptical
elm	0.510	0.345	0.321	elm
elongate	0.583	0.385	0.540	elongate
elongation	0.561	0.500	0.500	elongation
elope	0.396	0.694	0.528	elope
