English Word	Valence	Arousal	Dominance	Vietnamese Word
blank	0.531	0.229	0.250	trống
blanket	0.740	0.132	0.391	cái mền
blare	0.439	0.561	0.519	chói lọi
blase	0.420	0.310	0.412	blase
blasphemous	0.210	0.755	0.491	phạm thượng
blasphemy	0.146	0.794	0.406	phạm thượng
blast	0.167	0.929	0.777	vụ nổ
blaster	0.459	0.538	0.554	blaster
blastoff	0.357	0.865	0.736	nổ ra
blatant	0.327	0.677	0.675	trắng trợn
blather	0.344	0.481	0.382	bla bla
blaze	0.698	0.467	0.658	chói lọi
blazer	0.635	0.385	0.417	áo khoác nỉ
blazing	0.594	0.896	0.735	rực rỡ
bleach	0.336	0.282	0.337	chất tẩy trắng
bleak	0.204	0.427	0.272	ảm đạm
bleed	0.041	0.843	0.346	chảy máu
bleeder	0.260	0.852	0.356	người chảy máu
bleeding	0.135	0.817	0.408	sự chảy máu
bleep	0.479	0.667	0.345	tẩy trắng
blemish	0.219	0.558	0.272	tì vết
blemished	0.173	0.469	0.370	có tì vết
blend	0.469	0.452	0.463	trộn
blender	0.602	0.534	0.351	máy xay
blending	0.560	0.418	0.637	pha trộn
bless	0.929	0.269	0.588	ban phước
blessed	0.910	0.279	0.696	Hạnh phúc
blessing	0.929	0.264	0.800	phước lành
blessings	0.929	0.361	0.623	phúc lành
bleu	0.460	0.354	0.379	bleu
blight	0.271	0.771	0.429	bạc màu
blighted	0.146	0.615	0.296	tàn lụi
blimp	0.600	0.410	0.532	Khinh khí cầu
blinded	0.245	0.471	0.231	bị mù
blindfold	0.448	0.684	0.337	bịt mắt
blindfolded	0.208	0.564	0.209	bịt mắt
blinding	0.304	0.596	0.406	chói mắt
blindly	0.439	0.598	0.278	mù quáng
blindness	0.245	0.480	0.196	mù lòa
blink	0.552	0.316	0.324	chớp mắt
blip	0.529	0.461	0.418	đốm sáng
bliss	0.816	0.500	0.782	phúc lạc
blissful	0.885	0.639	0.676	hạnh phúc
blister	0.407	0.538	0.402	mụn rộp
blistering	0.344	0.569	0.390	phồng rộp
blitz	0.417	0.722	0.789	blitz
blizzard	0.375	0.726	0.417	bão tuyết
bloat	0.229	0.694	0.298	sưng lên
bloated	0.167	0.593	0.424	đầy hơi
blob	0.500	0.376	0.298	bãi
block	0.286	0.350	0.402	khối
blockade	0.380	0.519	0.510	sự phong tỏa
blockage	0.250	0.608	0.444	sự tắc nghẽn
blockbuster	0.730	0.676	0.883	bom tấn
blockhead	0.163	0.333	0.148	đầu chặn
blog	0.639	0.390	0.432	Blog
bloke	0.450	0.479	0.545	nở hoa
blond	0.590	0.490	0.490	tóc vàng
blonde	0.698	0.545	0.412	vàng
blood	0.219	0.684	0.585	máu
bloodbath	0.060	0.971	0.475	tắm máu
bloodhound	0.327	0.462	0.538	chó săn
bloodless	0.292	0.390	0.212	không có máu
bloodline	0.510	0.657	0.604	huyết thống
bloodshed	0.048	0.942	0.525	đổ máu
bloodshot	0.188	0.810	0.482	đỏ ngầu
bloodstream	0.552	0.530	0.528	dòng máu
bloodthirsty	0.052	0.804	0.644	khát máu
bloody	0.031	0.910	0.518	dính máu
bloom	0.816	0.453	0.587	hoa
bloomers	0.521	0.587	0.395	sự nở hoa
blooming	0.860	0.452	0.593	nở hoa
blossom	0.792	0.275	0.309	hoa
blot	0.365	0.304	0.223	thấm khô
blotched	0.133	0.562	0.264	lấm tấm
blotter	0.360	0.298	0.280	giấy thấm
blouse	0.580	0.190	0.302	áo cánh
blow	0.316	0.750	0.570	thổi
blower	0.564	0.550	0.536	người thổi
blowfish	0.344	0.420	0.389	cá thổi
blowing	0.521	0.472	0.434	thổi
blowjob	0.460	0.784	0.387	thổi kèn
blown	0.333	0.548	0.412	thổi bay
blowout	0.398	0.792	0.616	thổi tắt
blowtorch	0.520	0.730	0.510	đèn hàn
blubber	0.388	0.260	0.360	mỡ cá voi
bluddy	0.312	0.528	0.442	bluddy
blue	0.646	0.137	0.291	màu xanh da trời
blue spruce	0.559	0.335	0.364	Vân sam xanh
blueberry	0.656	0.185	0.365	việt quất
bluebird	0.573	0.350	0.450	bluebird
bluegrass	0.573	0.441	0.395	cỏ xanh
bluejay	0.635	0.520	0.310	bluejay
blueprint	0.490	0.173	0.425	bản vẽ thiết kế
blues	0.469	0.220	0.287	blues
bluff	0.418	0.286	0.377	bịp bợm
bluish	0.604	0.245	0.382	hơi xanh
blunder	0.135	0.635	0.145	phạm lỗi
blunt	0.551	0.680	0.925	cùn
blur	0.268	0.471	0.205	mơ hồ
blurred	0.320	0.367	0.231	bị mờ
blurry	0.059	0.385	0.218	mờ
blurt	0.408	0.439	0.441	buột miệng
blush	0.698	0.610	0.445	đỏ mặt
blushing	0.510	0.789	0.288	đỏ mặt
boa	0.255	0.569	0.542	boa
boa constrictor	0.198	0.784	0.609	boa thắt lưng
boar	0.406	0.500	0.351	heo rừng
board	0.592	0.255	0.385	Cái bảng
board game	0.711	0.490	0.349	trò chơi trên bàn cờ
boarder	0.604	0.440	0.475	nội trú
boarding	0.531	0.402	0.534	Nội trú
boardroom	0.555	0.566	0.661	phòng họp
boards	0.469	0.270	0.524	bảng
boardwalk	0.643	0.481	0.549	lối đi lát ván
boast	0.520	0.586	0.569	khoe khoang
boastful	0.490	0.806	0.695	khoe khoang
boasting	0.417	0.620	0.602	khoe khoang
boat	0.516	0.420	0.554	con thuyền
boathouse	0.592	0.380	0.404	nhà thuyền
boating	0.638	0.613	0.557	chèo thuyền
boatload	0.365	0.415	0.485	tải thuyền
boatman	0.592	0.573	0.562	người lái đò
bobbin	0.429	0.472	0.353	suốt chỉ
bobcat	0.562	0.490	0.529	linh miêu
bobsled	0.667	0.613	0.325	bobsled
bode	0.344	0.406	0.411	điềm báo
bodega	0.573	0.307	0.398	bodega
bodice	0.390	0.471	0.386	vạt áo
bodily	0.594	0.481	0.557	thể xác
body	0.694	0.461	0.571	thân hình
bodyguard	0.510	0.710	0.754	vệ sĩ
bog	0.302	0.361	0.365	sa lầy
bogey	0.380	0.519	0.368	bogey
bogeyman	0.388	0.708	0.517	bogeyman
bogus	0.219	0.353	0.144	không có thật
bohemian	0.622	0.500	0.407	phóng túng
boil	0.417	0.684	0.433	đun sôi
boiler	0.561	0.590	0.509	Nồi hơi
boilerplate	0.398	0.519	0.387	bản mẫu
boiling	0.302	0.690	0.526	sôi
boisterous	0.385	0.806	0.565	huyên náo
bold	0.490	0.271	0.483	in đậm
boldness	0.806	0.684	0.814	sự táo bạo
bollocks	0.448	0.471	0.327	quả bollocks
bolster	0.708	0.471	0.569	củng cố
bolt	0.354	0.363	0.426	chớp
bolus	0.426	0.491	0.352	bolus
bomb	0.167	0.912	0.750	bom
bombard	0.156	0.961	0.777	bắn phá
bombardier	0.240	0.863	0.787	người bắn phá
bombardment	0.146	0.959	0.742	bắn phá
bombed	0.051	0.851	0.627	bị đánh bom
bomber	0.125	0.837	0.810	máy bay ném bom
bombers	0.173	0.920	0.787	máy bay ném bom
bombing	0.167	0.963	0.732	ném bom
bombshell	0.327	0.868	0.693	vỏ bom
bonanza	0.875	0.410	0.683	bonanza
bonbon	0.865	0.551	0.446	bonbon
bond	0.667	0.519	0.630	liên kết
bondage	0.146	0.705	0.355	sự trói buộc
bonding	0.594	0.442	0.509	liên kết
bonds	0.740	0.472	0.583	trái phiếu
bondsman	0.469	0.497	0.675	trái phiếu
bone	0.337	0.370	0.413	xương
bonehead	0.337	0.521	0.518	đầu xương
boner	0.344	0.612	0.393	boner
bones	0.281	0.343	0.358	xương
bonfire	0.480	0.719	0.473	lửa trại
bong	0.333	0.566	0.375	bong
bonkers	0.306	0.847	0.278	điên loạn
bonne	0.448	0.395	0.362	bonne
bonnet	0.406	0.509	0.473	ca bô
bonny	0.561	0.404	0.444	bonny
bonsai	0.714	0.235	0.375	cây cảnh
bonus	0.857	0.620	0.682	thưởng
bony	0.445	0.462	0.330	xương xẩu
boo	0.153	0.676	0.309	tiếng la ó
boob	0.694	0.600	0.392	boob
booby	0.396	0.423	0.185	rượu chè
booger	0.399	0.537	0.427	booger
boogeyman	0.292	0.559	0.567	boogeyman
boogie	0.590	0.543	0.400	boogie
book	0.802	0.210	0.606	sách
bookcase	0.553	0.221	0.490	tủ sách
bookie	0.344	0.633	0.618	nhà cái
booking	0.708	0.503	0.583	Đặt trước
bookish	0.604	0.236	0.430	sách vở
bookkeeper	0.480	0.363	0.468	nhân viên kế toán
bookkeeping	0.520	0.214	0.592	sổ sách kế toán
booklet	0.510	0.270	0.351	tập sách nhỏ
bookmaker	0.583	0.804	0.633	nhà cái cá cược
bookmark	0.543	0.441	0.415	dấu trang
books	0.729	0.115	0.430	sách
bookseller	0.583	0.317	0.456	người bán sách
bookshop	0.688	0.291	0.389	hiệu sách
bookstore	0.771	0.180	0.503	hiệu sách
bookworm	0.563	0.337	0.316	mọt sách
boom	0.604	0.655	0.731	bùng nổ
boomer	0.480	0.539	0.441	người bùng nổ
boomerang	0.531	0.625	0.500	boomerang
booming	0.688	0.554	0.661	bùng nổ
boon	0.878	0.294	0.642	lợi ích
boooo	0.271	0.549	0.255	boooo
boost	0.865	0.730	0.750	tăng
booster	0.755	0.600	0.800	tăng cường
boot	0.438	0.650	0.625	khởi động
booth	0.531	0.400	0.310	gian hàng
bootleg	0.357	0.519	0.466	chiến lợi phẩm
bootlegger	0.354	0.649	0.541	kẻ lừa đảo
boots	0.602	0.255	0.350	bốt
booty	0.663	0.587	0.784	chiến lợi phẩm
booze	0.265	0.745	0.431	rượu
bop	0.429	0.490	0.426	bop
bopper	0.398	0.530	0.385	bopper
border	0.406	0.382	0.424	biên giới
bordering	0.643	0.382	0.438	giáp ranh
borderline	0.449	0.520	0.490	đường biên giới
bore	0.417	0.440	0.455	chán
boreal	0.582	0.348	0.400	boreal
bored	0.153	0.167	0.196	chán
boredom	0.167	0.139	0.255	chán nản
borer	0.302	0.549	0.578	sâu đục khoét
boring	0.194	0.217	0.125	nhàm chán
born	0.865	0.509	0.591	sinh ra
boron	0.441	0.370	0.375	boron
borough	0.429	0.343	0.380	quận
borrow	0.398	0.573	0.282	vay
borrower	0.439	0.423	0.763	người đi vay
bosom	0.612	0.588	0.404	bosom
boss	0.310	0.627	0.954	trùm
bossy	0.240	0.824	0.750	hách dịch
boston	0.643	0.380	0.580	boston
botanical	0.660	0.259	0.491	thuộc thực vật
botanist	0.651	0.240	0.456	nhà thực vật học
botany	0.604	0.201	0.500	thực vật học
bother	0.208	0.780	0.370	làm phiền
bothering	0.208	0.764	0.449	làm phiền
bottle	0.469	0.236	0.336	chai
bottleneck	0.284	0.471	0.287	nút cổ chai
bottling	0.365	0.333	0.370	đóng chai
bottom	0.417	0.370	0.291	đáy
bottomless	0.310	0.470	0.368	không đáy
botulism	0.292	0.575	0.386	ngộ độc
boulder	0.461	0.309	0.531	tảng đá
bounce	0.375	0.633	0.386	nảy
bouncer	0.490	0.653	0.655	bảo vệ quán bar
bouncy	0.562	0.565	0.429	bouncy
bound	0.417	0.667	0.310	ràng buộc
boundary	0.561	0.427	0.518	ranh giới
boundless	0.684	0.642	0.652	vô biên
bounds	0.378	0.426	0.604	giới hạn
bountiful	0.854	0.596	0.759	bountiful
bounty	0.760	0.755	0.833	tiền thưởng
bouquet	0.724	0.352	0.306	bó hoa
bourbon	0.602	0.490	0.517	rượu whisky ngô
bourgeois	0.439	0.593	0.682	tư sản
bourgeoisie	0.357	0.417	0.767	giai cấp tư sản
bourse	0.530	0.230	0.336	trả lại
bout	0.208	0.808	0.679	cơn
boutique	0.745	0.490	0.441	cửa hàng
bouttime	0.588	0.373	0.410	thời gian
bovine	0.449	0.255	0.353	Nguôn gôc tư bo
bow	0.530	0.306	0.408	cây cung
bowed	0.410	0.418	0.368	cúi đầu
bowel	0.306	0.417	0.391	ruột
bowels	0.194	0.448	0.362	ruột
bowl	0.625	0.377	0.358	bát
bowler	0.552	0.633	0.481	người chơi bowler
bowling	0.656	0.431	0.309	bowling
bowls	0.551	0.280	0.277	bát
box	0.500	0.179	0.312	hộp
boxcar	0.420	0.469	0.421	xe điện
boxer	0.490	0.810	0.802	Võ sĩ quyền Anh
boxers	0.375	0.880	0.654	võ sĩ quyền anh
boxing	0.427	0.854	0.645	quyền anh
boycott	0.112	0.690	0.505	tẩy chay
boyfriend	0.781	0.604	0.547	bạn trai
boyhood	0.729	0.745	0.500	thời niên thiếu
boyish	0.698	0.562	0.462	trai tráng
boysenberry	0.646	0.409	0.475	con trai
bozo	0.388	0.364	0.298	người tầm thường
bra	0.672	0.529	0.509	áo lót
brace	0.610	0.385	0.364	nẹp
bracelet	0.776	0.340	0.322	Vòng đeo tay
braces	0.500	0.337	0.568	niềng răng
brachial	0.388	0.363	0.464	giằng co
bracket	0.490	0.350	0.682	dấu ngoặc
brackets	0.573	0.281	0.435	dấu ngoặc
brackish	0.469	0.368	0.421	nước lợ
brad	0.490	0.385	0.402	brad
brag	0.347	0.545	0.578	khoe khoang
braid	0.427	0.222	0.216	bím tóc
brain	0.667	0.441	0.823	não
brainless	0.138	0.310	0.224	thiểu não
brains	0.663	0.557	0.722	bộ não
brainstorm	0.794	0.784	0.636	động não
brainwash	0.198	0.647	0.481	tẩy não
brainy	0.708	0.520	0.648	thông minh
brake	0.312	0.481	0.310	phanh
bran	0.688	0.433	0.483	cám
branch	0.538	0.206	0.250	chi nhánh
branching	0.520	0.422	0.472	phân nhánh
brand	0.562	0.284	0.547	nhãn hiệu
brandy	0.600	0.590	0.487	rượu mạnh
brash	0.360	0.814	0.552	sự hỗn láo
brass	0.500	0.320	0.490	thau
brass knuckle	0.406	0.449	0.518	đốt ngón tay bằng đồng
brassiere	0.510	0.469	0.336	cái yếm
brat	0.312	0.440	0.231	thằng nhãi
bratwurst	0.510	0.490	0.464	bratwurst
bravado	0.479	0.510	0.527	dũng cảm
brave	0.837	0.750	0.917	Dũng cảm
bravery	0.898	0.745	0.868	sự dũng cảm
brawl	0.104	0.938	0.603	ẩu đả
brawn	0.438	0.402	0.544	brawn
brazen	0.292	0.640	0.518	trơ trẽn
breach	0.177	0.745	0.423	vi phạm
bread	0.660	0.314	0.342	bánh mì
breadth	0.667	0.490	0.644	bề rộng
break	0.610	0.265	0.370	phá vỡ
breakable	0.194	0.667	0.408	có thể phá vỡ
breakaway	0.479	0.802	0.519	ly khai
breakdown	0.365	0.423	0.361	phá vỡ
breaker	0.323	0.527	0.520	người phá đám
breakers	0.469	0.588	0.439	người phá đám
breakfast	0.885	0.330	0.429	bữa ăn sáng
breaking and entering	0.418	0.729	0.500	đột nhập
breakingnews	0.500	0.552	0.607	tin nóng hổi
breakneck	0.254	0.833	0.604	chóng mặt
breakthrough	0.680	0.525	0.718	đột phá
breakup	0.250	0.720	0.357	chia tay
breast	0.753	0.429	0.500	nhũ hoa
breath	0.684	0.392	0.451	hơi thở
breathe	0.833	0.373	0.518	thở
breather	0.624	0.471	0.388	người xả hơi
breathless	0.323	0.490	0.222	hết hơi
breathtaking	0.936	0.792	0.921	ngoạn mục
breech	0.500	0.637	0.422	khóa nòng súng
breeches	0.365	0.457	0.333	quần chẽn
breed	0.490	0.441	0.578	giống
breeder	0.645	0.481	0.605	người chăn nuôi
breeding	0.667	0.481	0.610	chăn nuôi
breeze	0.837	0.284	0.370	gió nhẹ
breezy	0.531	0.472	0.482	gió mát
brethren	0.917	0.380	0.641	anh em
breve	0.535	0.365	0.191	lỗ thủng
brevity	0.459	0.434	0.375	sự ngắn gọn
brew	0.740	0.538	0.758	ủ
brewery	0.710	0.622	0.510	nhà máy bia
brewing	0.740	0.593	0.609	nấu bia
briar	0.493	0.375	0.407	briar
bribe	0.112	0.690	0.472	mua chuộc
bribery	0.135	0.775	0.585	hối lộ
brick	0.217	0.418	0.368	gạch
bridal	0.823	0.655	0.596	cô dâu
bride	0.840	0.708	0.579	vị hôn thê
bridegroom	0.809	0.736	0.527	chàng rể
bridesmaid	0.748	0.519	0.618	phù dâu
bridge	0.625	0.324	0.519	cầu
bridle	0.427	0.367	0.386	dây cương
brief	0.469	0.300	0.279	ngắn gọn
briefcase	0.542	0.206	0.442	Va li công tác
briefing	0.612	0.333	0.702	cuộc họp
briefly	0.686	0.314	0.330	Tóm tắt
brig	0.573	0.539	0.500	brig
brigade	0.604	0.710	0.828	Lữ đoàn
bright	0.890	0.527	0.812	sáng
brighten	0.760	0.547	0.649	làm sáng lên
brightens	0.771	0.611	0.613	làm sáng
brighter	0.918	0.698	0.833	sáng hơn
brightness	0.938	0.623	0.660	độ sáng
brilliance	0.990	0.673	0.830	sáng chói
brilliant	0.939	0.575	0.923	rực rỡ
brim	0.469	0.333	0.330	vành mũ
brimming	0.656	0.690	0.758	rưng rưng
brimstone	0.357	0.520	0.440	diêm sanh
brine	0.333	0.481	0.361	nước muối
bring	0.635	0.460	0.462	cung cấp
brink	0.375	0.413	0.356	bờ vực
brisk	0.719	0.745	0.742	nhanh chóng
brisket	0.552	0.378	0.222	ức
bristle	0.375	0.375	0.326	lông cứng
brittle	0.276	0.490	0.272	giòn
bro	0.794	0.349	0.684	người anh em
broach	0.438	0.439	0.675	broach
broad	0.762	0.365	0.637	rộng lớn
broadcast	0.615	0.587	0.355	phát tin
broadcasting	0.542	0.700	0.706	phát thanh truyền hình
broaden	0.678	0.602	0.610	nới rộng
broadside	0.459	0.316	0.462	mặt rộng
broadsword	0.469	0.573	0.615	thanh kiếm rộng
brocade	0.500	0.327	0.464	thổ cẩm
broccoli	0.469	0.200	0.283	bông cải xanh
brochure	0.552	0.226	0.391	cuốn sách nhỏ
broil	0.510	0.404	0.330	giấy bạc
broke	0.245	0.590	0.370	phá sản
broken	0.062	0.500	0.293	bị hỏng
brokenheart	0.115	0.577	0.343	trái tim tan vỡ
brokenhearted	0.130	0.598	0.227	thất tình
broker	0.582	0.462	0.600	người môi giới
brokerage	0.479	0.500	0.500	môi giới
bromide	0.347	0.425	0.411	bromua
bronco	0.500	0.510	0.473	bronco
bronze	0.622	0.333	0.526	đồng
brooch	0.531	0.260	0.380	trâm
brood	0.633	0.519	0.434	bố mẹ
brooding	0.327	0.367	0.333	ấp trứng
brook	0.594	0.347	0.412	suối
broom	0.385	0.154	0.302	chổi
broomstick	0.410	0.265	0.227	cán chổi
broth	0.500	0.245	0.168	nước dùng
brothel	0.255	0.886	0.418	nhà chứa
brother	0.823	0.361	0.546	Anh trai
brotherhood	0.990	0.471	0.760	tình anh em
brotherly	0.865	0.306	0.596	như anh em
brow	0.562	0.311	0.481	lông mày
brown	0.396	0.202	0.293	nâu
brownstone	0.559	0.423	0.439	đá nâu
browse	0.635	0.750	0.592	duyệt qua
brrr	0.373	0.540	0.282	brrr
bruise	0.133	0.640	0.474	vết bầm tím
bruising	0.084	0.520	0.422	bầm tím
brunch	0.406	0.363	0.343	bữa sáng muộn
brunette	0.802	0.528	0.529	tóc nâu
brunt	0.204	0.750	0.349	ngăm đen
brush	0.490	0.265	0.186	chải
brutal	0.122	0.882	0.643	tàn bạo
brutality	0.122	0.832	0.571	sự tàn bạo
brute	0.115	0.547	0.379	vũ phu
brutish	0.270	0.837	0.588	tàn bạo
bubble	0.774	0.213	0.364	bong bóng
bubbling	0.500	0.438	0.384	sủi bọt
bubbly	0.698	0.608	0.462	sủi bọt
bubonic	0.280	0.530	0.394	bubonic
buck	0.677	0.577	0.720	Cái xô
buckaroo	0.448	0.469	0.479	con chuột túi
bucket	0.408	0.167	0.336	Gầu múc
buckle	0.416	0.373	0.361	khóa
buckled	0.427	0.358	0.439	vênh váo
bucko	0.439	0.455	0.465	bucko
buckshot	0.255	0.740	0.322	súng ngắn
buckwheat	0.490	0.471	0.434	kiều mạch
bud	0.460	0.402	0.333	chồi non
buddha	0.690	0.198	0.604	phật
buddhism	0.510	0.115	0.673	đạo Phật
budding	0.490	0.500	0.355	chớm nở
buddy	0.884	0.585	0.655	Bạn bè
budge	0.719	0.755	0.543	nhúc nhích
budget	0.643	0.396	0.731	ngân sách
buff	0.561	0.425	0.361	Danh bong
buffalo	0.469	0.528	0.527	trâu
buffer	0.520	0.474	0.350	đệm
buffering	0.479	0.468	0.381	đệm
buffet	0.656	0.546	0.519	tiệc đứng
buffoon	0.344	0.651	0.290	tên hê
bug	0.286	0.500	0.246	sâu bọ
bugaboo	0.439	0.491	0.441	ông kẹ
bugged	0.561	0.439	0.500	nghe lén
bugger	0.312	0.627	0.474	bugger
buggy	0.500	0.509	0.327	có lỗi
bugle	0.479	0.588	0.391	tiếng kêu réo rắt
bugler	0.542	0.540	0.393	người bắt lỗi
build	0.771	0.546	0.806	xây dựng
builder	0.660	0.642	0.701	người xây dựng
building	0.705	0.288	0.673	Tòa nhà
buildings	0.582	0.380	0.552	các tòa nhà
buildup	0.490	0.509	0.623	xây dựng lên
bulb	0.562	0.208	0.300	bóng đèn tròn
bulbous	0.390	0.442	0.430	hình củ
bulge	0.260	0.487	0.400	phình ra
bulimic	0.092	0.570	0.373	vô ngôn
bulk	0.469	0.413	0.509	số lượng lớn
bulkhead	0.312	0.425	0.402	vách ngăn
bulky	0.427	0.591	0.750	cồng kềnh
bull	0.521	0.640	0.644	bò đực
bulldog	0.494	0.650	0.530	chó mặt xệ
bulldozer	0.459	0.549	0.643	chiếc xe ủi
bullet	0.408	0.794	0.634	đạn
bulletin	0.573	0.294	0.361	bản tin
bulletproof	0.750	0.721	0.779	chống đạn
bullfighter	0.448	0.794	0.664	Dũng sĩ đấu Bồ
bullfrog	0.344	0.481	0.422	ễnh ương
bullheaded	0.229	0.740	0.516	đầu bò
bullhorn	0.510	0.653	0.736	bullhorn
bullion	0.693	0.558	0.729	vàng thỏi
bullock	0.281	0.402	0.375	bò húc
bullpen	0.480	0.549	0.500	bullpen
bullshit	0.042	0.676	0.183	nhảm nhí
bully	0.257	0.755	0.564	bắt nạt
bulwark	0.551	0.552	0.675	công viên
bum	0.281	0.451	0.155	ăn mày
bumblebee	0.469	0.493	0.321	con ong
bummed	0.296	0.430	0.227	ăn mày
bummer	0.163	0.500	0.267	bummer
bump	0.286	0.458	0.368	đâm sầm vào
bumper	0.385	0.573	0.518	bội thu
bumpy	0.306	0.683	0.419	mấp mô
bun	0.424	0.306	0.268	búi tóc
bunch	0.552	0.358	0.473	bó lại
bundle	0.510	0.343	0.434	bó
bungalow	0.562	0.352	0.406	nhà gỗ
bungee	0.637	0.545	0.327	bungee
bunghole	0.286	0.426	0.396	nhà gỗ
bunion	0.276	0.340	0.290	bunion
bunk	0.438	0.332	0.339	giường tầng
bunker	0.375	0.673	0.773	hầm trú ẩn
bunkhouse	0.470	0.414	0.407	nhà tầng
bunny	0.740	0.325	0.194	con thỏ
bunt	0.417	0.422	0.349	bunt
buoy	0.562	0.280	0.284	phao
buoyancy	0.625	0.373	0.538	sự nổi
buoyant	0.625	0.441	0.497	nổi
bur	0.385	0.353	0.314	bur
burden	0.367	0.583	0.697	gánh nặng
burdened	0.429	0.519	0.565	gánh nặng
burdensome	0.229	0.696	0.419	nặng nề
bureau	0.562	0.373	0.618	văn phòng
bureaucracy	0.380	0.578	0.740	quan liêu
bureaucrat	0.208	0.519	0.598	quan chức
bureaucratic	0.280	0.630	0.573	quan liêu
burger	0.688	0.568	0.398	bánh mì kẹp thịt
burglar	0.050	0.769	0.404	ăn trộm
burglary	0.146	0.918	0.543	ăn trộm
burial	0.203	0.577	0.333	Mai táng
buried	0.133	0.530	0.370	chôn cất
burke	0.466	0.441	0.451	burke
burlap	0.429	0.462	0.411	vải bố
burlesque	0.327	0.615	0.343	vằn vện
burly	0.562	0.650	0.750	vạm vỡ
burn	0.219	0.783	0.509	đốt cháy
burned	0.163	0.603	0.347	đốt cháy
burner	0.296	0.816	0.446	đầu đốt
burning	0.229	0.760	0.412	đốt cháy
burnished	0.520	0.580	0.464	bị đánh bóng
burnout	0.219	0.445	0.240	kiệt sức
burnt	0.082	0.713	0.356	cháy
burp	0.219	0.594	0.432	ợ hơi
burr	0.390	0.426	0.308	burr
burrito	0.688	0.294	0.166	bánh burrito
burro	0.400	0.356	0.318	burro
burrow	0.438	0.280	0.355	đào hang
bursary	0.729	0.462	0.571	bursary
burst	0.156	0.894	0.845	nổ
bury	0.077	0.571	0.346	chôn
bus	0.407	0.411	0.400	xe buýt
busboy	0.510	0.453	0.441	chàng trai hát rong
bush	0.413	0.220	0.315	bụi rậm
bushel	0.417	0.387	0.368	giạ
bushy	0.562	0.321	0.427	rậm rạp
business	0.688	0.569	0.755	việc kinh doanh
business man	0.530	0.598	0.933	doanh nhân
businessman	0.653	0.510	0.802	doanh nhân
businesswoman	0.719	0.500	0.764	nữ doanh nhân
busload	0.561	0.481	0.492	xe buýt
buss	0.469	0.500	0.391	hôn
bust	0.520	0.500	0.420	Lật tẩy
busted	0.204	0.676	0.345	phá sản
buster	0.469	0.491	0.483	bom phá
bustle	0.347	0.814	0.445	nhộn nhịp
bustling	0.490	0.850	0.528	nhộn nhịp
busy	0.402	0.500	0.474	bận
busybody	0.255	0.634	0.472	người bận rộn
butane	0.442	0.483	0.380	butan
butcher	0.500	0.575	0.608	người bán thịt
butler	0.469	0.225	0.438	quản gia
butt	0.347	0.725	0.336	mông
butter	0.650	0.292	0.202	bơ
buttercup	0.562	0.482	0.422	mao lương
butterfly	0.892	0.327	0.314	Con bướm
buttermilk	0.633	0.311	0.304	Sữa bơ
butterscotch	0.708	0.510	0.356	butterscotch
buttery	0.625	0.318	0.303	bơ
buttock	0.429	0.600	0.288	mông
buttocks	0.458	0.677	0.365	mông
button	0.520	0.220	0.343	cái nút
buttress	0.438	0.684	0.721	thắt lưng
buxom	0.562	0.719	0.547	buxom
buy	0.771	0.769	0.612	mua
buyer	0.613	0.519	0.649	người mua
buying	0.665	0.784	0.589	mua
buzz	0.333	0.686	0.375	buzz
buzzard	0.350	0.500	0.225	chim ó
buzzed	0.583	0.549	0.448	vo ve
buzzer	0.549	0.716	0.480	buzzer
buzzing	0.430	0.588	0.370	vo ve
bye	0.375	0.398	0.321	từ biệt
bygone	0.229	0.310	0.315	đã qua
bylaw	0.469	0.373	0.725	bylaw
byline	0.469	0.450	0.435	đường thẳng
bypass	0.429	0.418	0.353	Đường vòng
bystander	0.480	0.462	0.491	người ngoài cuộc
byte	0.490	0.380	0.407	byte
byzantine	0.546	0.443	0.492	byzantine
cab	0.438	0.490	0.421	taxi
cabal	0.500	0.406	0.573	âm mưu
cabana	0.698	0.296	0.407	nhà gỗ
cabaret	0.677	0.656	0.482	quán rượu
cabbage	0.398	0.225	0.264	cải bắp
cabbie	0.521	0.417	0.429	người lái xe taxi
cabernet	0.543	0.420	0.480	cabernet
cabin	0.643	0.292	0.430	cabin
cabinet	0.552	0.306	0.465	buồng
cable	0.583	0.245	0.434	cáp
caboodle	0.529	0.521	0.325	caboodle
caboose	0.440	0.453	0.438	caboose
cabriolet	0.667	0.525	0.472	xe ngựa
cache	0.552	0.348	0.389	bộ nhớ đệm
cacophony	0.408	0.562	0.440	cacophony
cactus	0.439	0.412	0.284	cây xương rồng
cad	0.447	0.406	0.404	cad
cadaver	0.030	0.690	0.260	tử thi
caddie	0.521	0.435	0.259	caddie
caddy	0.580	0.470	0.380	caddie
cadence	0.427	0.473	0.355	nhịp
cadet	0.504	0.393	0.664	thiếu sinh quân
cafe	0.781	0.392	0.358	quán cà phê
cafeteria	0.757	0.400	0.382	quán cà phê
caffeine	0.562	0.759	0.500	cafein
cage	0.316	0.333	0.352	cái lồng
cagey	0.542	0.363	0.582	lồng lộn
cahoots	0.312	0.696	0.474	móc ngoặc
cairn	0.260	0.435	0.254	cairn
cake	0.810	0.375	0.287	bánh
cakewalk	0.719	0.510	0.447	cakewalk
calamari	0.521	0.312	0.406	calamari
calamitous	0.219	0.685	0.500	tai họa
calamity	0.122	0.795	0.343	thiên tai
