English Word	Valence	Arousal	Dominance	Kinyarwanda Word
cradle	0.776	0.194	0.333	ingobyi
craft	0.760	0.321	0.539	ubukorikori
crafts	0.667	0.380	0.391	ubukorikori
craftsman	0.719	0.310	0.583	umunyabukorikori
craftsmanship	0.823	0.373	0.571	ubukorikori
crafty	0.589	0.679	0.783	amayeri
craig	0.448	0.449	0.490	craig
cram	0.354	0.730	0.598	cram
crammed	0.406	0.740	0.466	yuzuye
cramp	0.194	0.796	0.340	impagarara
cramped	0.240	0.567	0.360	ngufi
cranberry	0.793	0.330	0.363	cranberry
cranberry juice	0.622	0.321	0.281	umutobe wa cranberry
crane	0.396	0.417	0.589	crane
cranial	0.354	0.510	0.583	cranial
cranium	0.439	0.491	0.725	cranium
crank	0.448	0.275	0.417	crank
cranky	0.194	0.776	0.396	cranky
cranny	0.194	0.471	0.250	cranny
crap	0.083	0.644	0.167	crap
crappy	0.039	0.582	0.208	crappy
craps	0.375	0.420	0.273	inshyi
crash	0.194	0.906	0.355	impanuka
crass	0.223	0.490	0.466	crass
crate	0.427	0.173	0.274	isanduku
crater	0.450	0.647	0.529	crater
crave	0.625	0.510	0.731	kwifuza
craving	0.510	0.755	0.636	kwifuza
crawfish	0.510	0.427	0.342	crawfish
crawl	0.479	0.519	0.467	gukurura
crayon	0.604	0.260	0.185	crayon
crayons	0.684	0.366	0.405	crayons
craze	0.255	0.657	0.435	craze
crazed	0.153	0.877	0.417	yasaze
craziness	0.238	0.908	0.255	ubusazi
crazy	0.156	0.843	0.321	umusazi
creak	0.344	0.670	0.411	creak
creaking	0.302	0.743	0.415	creaking
cream	0.688	0.259	0.220	cream
creamed	0.723	0.273	0.288	cream
creamer	0.594	0.192	0.269	cream
creamy	0.823	0.337	0.345	cream
crease	0.440	0.286	0.300	igikoma
create	0.786	0.588	0.789	kurema
creation	0.927	0.575	0.868	ibyaremwe
creative	0.917	0.518	0.788	guhanga
creativity	0.938	0.684	0.815	guhanga
creator	0.865	0.592	0.856	umuremyi
creature	0.669	0.625	0.620	ikiremwa
credence	0.760	0.460	0.737	icyizere
credential	0.735	0.337	0.597	ibyangombwa
credentials	0.708	0.373	0.675	ibyangombwa
credibility	0.875	0.427	0.809	kwizerwa
credible	0.917	0.441	0.750	kwizerwa
credit	0.673	0.549	0.648	inguzanyo
credit card	0.670	0.550	0.640	ikarita y'inguzanyo
creditable	0.802	0.510	0.742	kwizerwa
credited	0.781	0.390	0.691	inguzanyo
crediting	0.673	0.550	0.741	inguzanyo
creditor	0.479	0.594	0.689	inguzanyo
creed	0.573	0.245	0.544	imyizerere
creek	0.552	0.392	0.330	umugezi
creep	0.354	0.647	0.361	kunyerera
creeper	0.429	0.558	0.366	creeper
creeping	0.292	0.613	0.282	kunyerera
creepy	0.125	0.861	0.373	kunyerera
cremation	0.084	0.620	0.420	gutwika imirambo
creole	0.667	0.357	0.523	creole
crepe	0.562	0.224	0.349	crepe
crescendo	0.760	0.575	0.594	crescendo
crescent	0.698	0.382	0.407	ukwezi
crest	0.458	0.333	0.333	crest
crestfallen	0.235	0.346	0.175	crestfallen
cretin	0.265	0.583	0.312	cretin
cretins	0.094	0.741	0.328	cretins
crevice	0.361	0.471	0.275	crevice
crew	0.604	0.598	0.735	abakozi
crewman	0.602	0.580	0.548	abakozi
crib	0.653	0.240	0.407	crib
cricket	0.423	0.539	0.370	Cricket
cried	0.167	0.612	0.254	yararize
crime	0.071	0.943	0.630	icyaha
criminal	0.021	0.830	0.529	inkozi y'ibibi
criminality	0.122	0.863	0.580	ubugizi bwa nabi
crimp	0.260	0.557	0.396	crimp
crimson	0.667	0.385	0.370	umutuku
cringe	0.245	0.840	0.377	cringe
cripple	0.094	0.392	0.161	ikimuga
crippled	0.035	0.358	0.236	ikimuga
crippling	0.156	0.598	0.391	ikimuga
crisis	0.208	0.811	0.431	ibibazo
crisp	0.776	0.692	0.508	crisp
crispy	0.656	0.550	0.509	crispy
criterion	0.396	0.410	0.736	Ibipimo
critic	0.264	0.604	0.686	kunegura
critical	0.312	0.802	0.545	kunegura
criticise	0.073	0.700	0.452	kunegura
criticism	0.115	0.563	0.505	kunegura
criticize	0.143	0.708	0.473	kunegura
criticized	0.240	0.600	0.311	yanenzwe
critique	0.302	0.760	0.537	kunegura
critter	0.542	0.539	0.482	criter
croak	0.337	0.346	0.298	croak
croc	0.327	0.452	0.451	ingona
crock	0.385	0.412	0.421	inkoko
crockery	0.552	0.216	0.327	inkono
crocodile	0.344	0.708	0.610	ingona
croft	0.531	0.429	0.421	hejuru
croissant	0.745	0.330	0.430	croissant
crook	0.171	0.765	0.550	crook
crooked	0.146	0.594	0.305	igoramye
crop	0.615	0.260	0.500	imyaka
croquet	0.551	0.519	0.407	croquet
cross	0.448	0.321	0.569	umusaraba
cross country	0.531	0.441	0.529	kwambuka igihugu
crossbow	0.344	0.598	0.560	umusaraba
crossed	0.431	0.490	0.508	yambutse
crossfire	0.316	0.896	0.722	crossfire
crossing	0.549	0.349	0.451	kwambuka
crossover	0.559	0.550	0.500	kwambuka
crosswalk	0.557	0.441	0.380	umuhanda
crossword	0.611	0.423	0.455	ijambo ryambukiranya
crotch	0.521	0.637	0.447	igituba
crouch	0.281	0.606	0.312	yunamye
crouched	0.333	0.363	0.279	yunamye
crouching	0.261	0.429	0.345	yunamye
croupier	0.531	0.519	0.404	itsinda
crow	0.224	0.439	0.363	igikona
crowbar	0.406	0.531	0.386	imbwa
crowd	0.350	0.827	0.731	imbaga
crowded	0.694	0.286	0.585	abantu benshi
crowds	0.469	0.723	0.806	isinzi
crown	0.708	0.572	0.737	ikamba
crowning	0.773	0.594	0.831	ikamba
crucial	0.541	0.657	0.777	ingenzi
cruciate	0.429	0.435	0.585	kubambwa
crucifix	0.469	0.480	0.510	kubambwa
crucifixion	0.135	0.857	0.541	kubambwa
crucify	0.146	0.878	0.573	kubambwa
crud	0.312	0.330	0.444	crud
crude	0.198	0.402	0.357	ikinyabupfura
cruel	0.122	0.866	0.391	ubugome
cruelly	0.146	0.790	0.471	ubugome
cruelty	0.092	0.836	0.536	ubugome
cruise	0.740	0.442	0.683	ubwato
cruise ship	0.878	0.650	0.500	ubwato
cruiser	0.737	0.490	0.608	Cruiser
cruising	0.886	0.580	0.560	ingendo
crumb	0.417	0.255	0.216	kumeneka
crumble	0.333	0.480	0.423	gusenyuka
crumbling	0.167	0.696	0.308	gusenyuka
crummy	0.125	0.531	0.224	crummy
crunch	0.292	0.630	0.406	crunch
crunchy	0.625	0.560	0.539	crunchy
crusade	0.592	0.720	0.709	umusaraba
crusader	0.439	0.588	0.548	umusaraba
crush	0.271	0.676	0.582	kumenagura
crushed	0.167	0.647	0.300	yajanjaguwe
crusher	0.271	0.709	0.598	crusher
crushing	0.219	0.755	0.411	kumenagura
crust	0.542	0.337	0.456	igikonjo
crusty	0.625	0.531	0.473	igikonjo
crutch	0.302	0.294	0.302	inkoni
crux	0.469	0.558	0.519	ipfundo
cry	0.133	0.627	0.255	kurira
crybaby	0.375	0.702	0.311	crybaby
crying	0.153	0.704	0.208	kurira
crypt	0.156	0.431	0.386	kurira
cryptic	0.296	0.516	0.474	kurira
cryptography	0.490	0.415	0.650	kode
crystal	0.618	0.270	0.508	kristu
crystalline	0.765	0.235	0.534	kristaline
crystallization	0.600	0.449	0.565	korohereza
cub	0.646	0.382	0.284	cub
cubby	0.354	0.385	0.360	cubby
cube	0.469	0.226	0.274	cube
cubic	0.458	0.306	0.407	kubic
cubicle	0.479	0.343	0.417	cubicle
cuckold	0.210	0.573	0.230	cuckold
cuckoo	0.420	0.459	0.284	cuckoo
cucumber	0.490	0.235	0.237	imyumbati
cuddle	0.885	0.559	0.475	guhobera
cuddled	0.906	0.547	0.567	guhobera
cuddles	0.847	0.382	0.500	guhobera
cuddling	0.917	0.562	0.433	guhobera
cue	0.521	0.433	0.484	umurongo
cuff	0.469	0.453	0.387	cuff
cuisine	0.714	0.365	0.390	cuisine
culinary	0.654	0.443	0.519	guteka
cull	0.365	0.702	0.464	cull
culminate	0.667	0.550	0.602	kurangiza
culmination	0.656	0.586	0.695	indunduro
culpability	0.112	0.745	0.368	amakosa
culpable	0.140	0.700	0.319	nyirabayazana
culprit	0.062	0.676	0.333	nyirabayazana
cult	0.448	0.535	0.648	gusenga
cultivate	0.708	0.410	0.598	guhinga
cultivated	0.837	0.343	0.564	guhingwa
cultivation	0.625	0.324	0.462	guhinga
cultural	0.802	0.390	0.623	umuco
culture	0.753	0.304	0.675	umuco
cultured	0.635	0.429	0.625	umuco
culvert	0.337	0.324	0.343	umutego
cumbersome	0.259	0.623	0.292	biragoye
cumulus	0.570	0.433	0.432	cumulus
cunning	0.604	0.685	0.683	amayeri
cunt	0.135	0.673	0.377	cunt
cup	0.615	0.167	0.231	igikombe
cupboard	0.553	0.200	0.304	akabati
cupcake	0.656	0.333	0.344	igikombe
cupping	0.490	0.610	0.402	igikombe
cur	0.440	0.519	0.460	cur
curable	0.823	0.292	0.574	gukira
curate	0.726	0.418	0.526	Kurate
curative	0.667	0.318	0.613	gukiza
curator	0.688	0.389	0.688	umurongozi
curb	0.472	0.371	0.402	curb
curd	0.542	0.442	0.278	curd
cure	0.719	0.377	0.623	gukira
curfew	0.219	0.618	0.623	isaha yo gutahiraho
curiosity	0.750	0.755	0.463	amatsiko
curious	0.635	0.600	0.483	amatsiko
curl	0.385	0.452	0.351	gutonda
curling	0.583	0.592	0.400	kugoreka
currency	0.583	0.418	0.592	ifaranga
current	0.625	0.312	0.612	ikigezweho
curriculum	0.708	0.306	0.620	integanyanyigisho
curry	0.633	0.345	0.302	Kurry
curse	0.033	0.720	0.375	umuvumo
cursed	0.083	0.783	0.393	havumwe
cursing	0.112	0.860	0.446	gutukana
cursory	0.423	0.451	0.431	indanga
curt	0.245	0.610	0.452	curt
curtail	0.306	0.439	0.497	curtail
curtailment	0.230	0.578	0.431	kugabanya
curtain	0.698	0.278	0.304	umwenda
curtains	0.615	0.123	0.342	umwenda
curtsy	0.635	0.412	0.598	curtsy
curvature	0.417	0.367	0.447	kugabanuka
curve	0.480	0.375	0.307	umurongo
curved	0.542	0.407	0.337	kugoramye
curvilinear	0.480	0.575	0.411	curvilinear
cushion	0.653	0.221	0.292	umusego
cushy	0.823	0.283	0.395	cushy
cusp	0.667	0.710	0.700	cusp
cuss	0.354	0.538	0.443	cuss
cussed	0.156	0.625	0.454	cussed
custard	0.618	0.260	0.293	umurinzi
custodial	0.418	0.462	0.718	umucungamutungo
custodian	0.594	0.625	0.528	umurinzi
custody	0.494	0.472	0.675	kurera
custom	0.552	0.382	0.688	gakondo
customary	0.700	0.253	0.561	gakondo
customer	0.562	0.430	0.673	umukiriya
customized	0.625	0.504	0.590	Yashizweho
cut	0.490	0.490	0.393	gukata
cutaneous	0.365	0.370	0.328	gutandukana
cute	0.920	0.528	0.579	mwiza
cuticle	0.340	0.320	0.377	cuticle
cutie	0.638	0.528	0.464	cutie
cutlass	0.173	0.648	0.528	gukata
cutlery	0.552	0.300	0.345	ibikoresho
cutoff	0.432	0.510	0.518	guhagarika
cutter	0.427	0.731	0.583	gukata
cutters	0.197	0.653	0.491	abakata
cutthroat	0.110	0.823	0.663	umupaka
cutting	0.448	0.375	0.536	gukata
cutting board	0.337	0.540	0.342	ikibaho
cuttings	0.479	0.392	0.433	ibiti
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	cyanide
cyberspace	0.677	0.594	0.611	Umwanya wa interineti
cycle	0.635	0.400	0.533	ukwezi
cyclical	0.380	0.450	0.554	cyclical
cyclist	0.684	0.582	0.576	umukinnyi w'amagare
cyclone	0.416	0.796	0.673	inkubi y'umuyaga
cylinder	0.459	0.324	0.447	silinderi
cylindrical	0.458	0.294	0.414	silindrike
cymbal	0.542	0.363	0.362	cymbal
cynic	0.135	0.632	0.473	cynic
cynical	0.156	0.760	0.474	urwenya
cynicism	0.104	0.780	0.454	urwenya
cyst	0.173	0.578	0.312	cyst
cystic	0.314	0.481	0.400	cystic
cytomegalovirus	0.186	0.657	0.443	cytomegalovirus
cytoplasm	0.378	0.442	0.474	cytoplasm
czar	0.480	0.348	0.643	czar
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	dabble
dabbling	0.562	0.726	0.676	dabbling
dad	0.857	0.412	0.786	papa
daddy	0.795	0.400	0.736	papa
dado	0.510	0.240	0.364	dado
daemon	0.333	0.490	0.500	daemon
daft	0.255	0.436	0.157	daft
dagger	0.224	0.797	0.613	umuhoro
daily	0.653	0.347	0.473	buri munsi
dainty	0.604	0.284	0.424	dainty
daiquiri	0.670	0.519	0.400	daiquiri
dairy	0.633	0.255	0.462	amata
daisy	0.562	0.367	0.333	daisy
dak	0.510	0.417	0.424	dak
dale	0.622	0.270	0.365	dale
dam	0.250	0.553	0.394	urugomero
damage	0.059	0.726	0.403	ibyangiritse
damaged	0.104	0.635	0.182	byangiritse
damages	0.082	0.760	0.310	indishyi
dame	0.694	0.480	0.500	dame
damn	0.073	0.784	0.431	ndumiwe
damnation	0.135	0.750	0.416	gucirwaho iteka
damned	0.100	0.760	0.465	yamaganwe
damp	0.360	0.279	0.210	igicucu
dampened	0.271	0.422	0.336	yagabanutse
damper	0.459	0.378	0.473	damper
damsel	0.719	0.475	0.400	umukobwa
dance	0.894	0.840	0.551	kubyina
dancer	0.740	0.768	0.545	umubyinnyi
dancing	0.885	0.868	0.444	kubyina
dandruff	0.398	0.298	0.293	dandruff
dandy	0.673	0.520	0.630	dandy
danger	0.115	0.923	0.673	akaga
dangerous	0.020	0.941	0.658	biteje akaga
dangerously	0.082	0.930	0.564	biteje akaga
dangit	0.396	0.606	0.358	dangit
dangle	0.362	0.469	0.375	dangle
dank	0.390	0.381	0.383	dank
dapper	0.770	0.560	0.698	dapper
dare	0.677	0.788	0.684	gutinyuka
daredevil	0.429	0.714	0.653	gutinyuka
daresay	0.540	0.451	0.490	gutinyuka
daring	0.583	0.840	0.711	gutinyuka
dark	0.198	0.398	0.426	umwijima
darken	0.250	0.471	0.382	umwijima
darkened	0.135	0.440	0.452	umwijima
darkly	0.219	0.548	0.443	umwijima
darkness	0.102	0.602	0.418	umwijima
darkroom	0.188	0.627	0.423	umwijima
darkside	0.102	0.690	0.365	umwijima
darling	0.885	0.370	0.608	mukundwa
darn	0.115	0.765	0.418	darn
dart	0.417	0.608	0.500	dart
dash	0.574	0.312	0.324	Dash
dashboard	0.510	0.371	0.595	Ikibaho
dashed	0.276	0.393	0.338	dashed
dashing	0.612	0.627	0.799	dashing
dastardly	0.208	0.688	0.270	dastardly
data	0.500	0.250	0.426	amakuru
database	0.604	0.286	0.644	Ububikoshingiro
date	0.604	0.231	0.400	itariki
datenight	0.708	0.637	0.518	Datenight
daughter	0.908	0.415	0.455	umukobwa
dawdle	0.479	0.464	0.357	umuseke
dawn	0.827	0.235	0.519	umuseke
dawned	0.694	0.471	0.473	bwacya
day	0.719	0.269	0.389	umunsi
daybreak	0.802	0.358	0.474	umuseke
daycare	0.776	0.481	0.360	kurera abana
daydream	0.750	0.337	0.456	kurota
daydreaming	0.776	0.360	0.479	kurota
daylight	0.865	0.420	0.545	amanywa
daymade	0.646	0.450	0.417	umunsi
dayoff	0.760	0.368	0.377	umunsi wumunsi
daytime	0.750	0.324	0.454	ku manywa
daze	0.245	0.735	0.329	daze
dazed	0.300	0.697	0.277	yataye umutwe
dazzle	0.730	0.782	0.683	dazzle
dazzling	0.854	0.880	0.767	igitangaza
deacon	0.531	0.430	0.736	umudiyakoni
deactivate	0.235	0.447	0.392	guhagarika
dead	0.052	0.454	0.194	yapfuye
deadbeat	0.229	0.453	0.368	urupfu
deadline	0.214	0.615	0.460	ntarengwa
deadlines	0.406	0.769	0.411	ntarengwa
deadlock	0.170	0.418	0.323	inzitizi
deadly	0.143	0.849	0.554	byica
deafening	0.281	0.835	0.482	kutumva
deafness	0.125	0.413	0.219	kutumva
deal	0.719	0.599	0.543	amasezerano
dealer	0.799	0.615	0.683	umucuruzi
dealership	0.541	0.430	0.629	gucuruza
dealing	0.724	0.415	0.598	gucuruza
dealings	0.600	0.491	0.480	imikoranire
dean	0.612	0.469	0.723	umuyobozi
dear	0.880	0.434	0.629	nshuti
dearest	0.902	0.427	0.508	bakundwa
dearth	0.156	0.539	0.255	inzara
death	0.031	0.720	0.472	urupfu
deathbed	0.051	0.652	0.311	uburiri
deathly	0.073	0.771	0.682	urupfu
debacle	0.156	0.606	0.266	imbogamizi
debased	0.219	0.529	0.170	guteshwa agaciro
debatable	0.181	0.610	0.474	impaka
debate	0.408	0.691	0.683	impaka
debauchery	0.354	0.901	0.500	ubwiyandarike
debenture	0.417	0.500	0.466	inguzanyo
debilitating	0.125	0.490	0.308	gucika intege
debit	0.333	0.400	0.474	kubitsa
debrief	0.247	0.343	0.549	gutanga ibisobanuro
debriefing	0.427	0.580	0.456	Gutanga ibitekerezo
debris	0.135	0.396	0.327	imyanda
debt	0.204	0.598	0.336	umwenda
debtor	0.219	0.546	0.160	umwenda
debut	0.806	0.606	0.629	Yambere
debutante	0.771	0.627	0.454	debutante
decade	0.531	0.402	0.665	imyaka icumi
decadence	0.237	0.455	0.291	decadence
decadent	0.290	0.559	0.324	decadent
decaf	0.480	0.324	0.353	decaf
decanter	0.438	0.567	0.510	decanter
decathlon	0.573	0.753	0.620	decathlon
decay	0.143	0.312	0.170	kubora
decayed	0.017	0.375	0.169	kubora
decaying	0.073	0.510	0.214	kubora
deceased	0.021	0.538	0.188	wapfuye
decedent	0.423	0.481	0.415	nyakubahwa
deceit	0.020	0.696	0.343	uburiganya
deceitful	0.071	0.788	0.371	uburiganya
deceive	0.094	0.775	0.414	kubeshya
deceived	0.059	0.673	0.302	yashutswe
deceiving	0.099	0.636	0.426	kubeshya
december	0.740	0.540	0.464	Ukuboza
decency	0.750	0.235	0.634	ubupfura
decent	0.823	0.296	0.653	ikinyabupfura
deception	0.090	0.745	0.370	uburiganya
deceptive	0.027	0.605	0.294	uburiganya
decide	0.656	0.540	0.855	fata umwanzuro
decidedly	0.750	0.480	0.843	Icyemezo
deciduous	0.385	0.353	0.282	amababi
decimal	0.507	0.259	0.305	icumi
decimeter	0.520	0.292	0.377	decimeter
decipher	0.417	0.630	0.652	gusobanura
decision	0.646	0.510	0.839	icyemezo
decisive	0.740	0.509	0.935	umwanzuro
deck	0.420	0.333	0.394	igorofa
declaration	0.551	0.590	0.714	imenyekanisha
declaratory	0.635	0.582	0.673	imenyekanisha
declare	0.677	0.623	0.668	gutangaza
declination	0.250	0.549	0.311	kugabanuka
decline	0.173	0.491	0.240	kugabanuka
declining	0.328	0.400	0.264	kugabanuka
deco	0.625	0.274	0.356	deco
decode	0.551	0.510	0.640	decode
decoder	0.562	0.340	0.686	decoder
decompose	0.194	0.596	0.241	kubora
decomposed	0.073	0.442	0.231	kubora
decomposition	0.133	0.600	0.263	kubora
decompress	0.438	0.430	0.509	decompress
decompression	0.208	0.520	0.311	decompression
decontamination	0.611	0.538	0.573	kwanduza
decor	0.734	0.311	0.573	imitako
decorate	0.954	0.370	0.404	gushushanya
decorating	0.863	0.548	0.462	gushushanya
decoration	0.878	0.553	0.526	imitako
decorative	0.908	0.460	0.381	imitako
decorator	0.840	0.471	0.455	umutako
decorum	0.802	0.327	0.462	imitako
decoy	0.149	0.460	0.330	kubeshya
decrease	0.125	0.360	0.267	kugabanuka
decreased	0.224	0.271	0.170	yagabanutse
decreasing	0.320	0.346	0.224	kugabanuka
decree	0.552	0.478	0.746	iteka
decrement	0.255	0.427	0.373	kugabanuka
decrepit	0.156	0.490	0.225	kugabanuka
decry	0.400	0.814	0.548	kubeshya
decryption	0.459	0.445	0.600	kubanga
dedicate	0.823	0.431	0.588	kwitanga
dedication	0.867	0.471	0.682	kwitanga
deduce	0.490	0.510	0.466	kugabanya
deduct	0.355	0.330	0.412	gukuramo
deductible	0.375	0.286	0.455	kugabanywa
deduction	0.438	0.462	0.527	kugabanywa
deed	0.520	0.320	0.592	icyemezo
deejay	0.551	0.630	0.473	deejay
deem	0.594	0.529	0.690	deem
deep	0.490	0.473	0.657	byimbitse
deepen	0.625	0.530	0.776	byimbitse
deer	0.583	0.375	0.292	impongo
defamation	0.110	0.670	0.481	gusebanya
defamatory	0.143	0.688	0.402	gusebanya
default	0.459	0.343	0.712	Mburabuzi
defeat	0.092	0.500	0.224	gutsindwa
defeated	0.104	0.582	0.145	gutsindwa
defeatist	0.163	0.567	0.315	gutsindwa
defect	0.135	0.561	0.185	inenge
defection	0.146	0.594	0.330	gutandukana
defective	0.122	0.580	0.274	inenge
defector	0.163	0.696	0.286	gutandukana
defend	0.698	0.722	0.670	kurengera
defendant	0.250	0.710	0.491	uregwa
defended	0.663	0.451	0.582	yaburanye
defender	0.639	0.708	0.750	myugariro
defending	0.604	0.871	0.812	kurengera
defense	0.652	0.698	0.802	kwirwanaho
defenseless	0.143	0.357	0.105	kutagira kirengera
defensible	0.740	0.509	0.593	birwanaho
defensive	0.542	0.640	0.678	kwirwanaho
defer	0.245	0.459	0.317	gutinza
deference	0.510	0.396	0.447	kubaha
deferral	0.765	0.542	0.327	kwimurwa
deferring	0.343	0.500	0.413	gutinza
defiance	0.333	0.780	0.760	kutumvira
defiant	0.250	0.792	0.769	kwanga
defibrillator	0.398	0.663	0.431	defibrillator
deficiency	0.073	0.373	0.179	kubura
deficient	0.240	0.464	0.132	ibuze
deficit	0.358	0.500	0.269	defisit
define	0.688	0.415	0.632	Sobanura
defined	0.670	0.214	0.646	bisobanuwe
definite	0.708	0.292	0.741	bisobanutse
definition	0.573	0.375	0.579	ibisobanuro
definitive	0.583	0.479	0.787	byanze bikunze
deflate	0.148	0.404	0.237	deflate
deflation	0.287	0.536	0.407	guta agaciro
deflect	0.133	0.491	0.482	gutandukana
deflection	0.188	0.500	0.382	gutandukana
defloration	0.188	0.690	0.434	gutandukana
deform	0.112	0.654	0.284	guhindura
deformed	0.198	0.435	0.308	yahinduwe
deformity	0.160	0.569	0.241	ubumuga
defraud	0.175	0.635	0.314	uburiganya
defray	0.375	0.598	0.653	kuriganya
defrost	0.427	0.317	0.389	defrost
deft	0.719	0.575	0.849	deft
defunct	0.112	0.491	0.272	idahwitse
defuse	0.167	0.480	0.430	defuse
defy	0.353	0.884	0.657	gusuzugura
degeneracy	0.143	0.720	0.298	kwangirika
degenerate	0.069	0.724	0.264	kwangirika
degeneration	0.245	0.578	0.371	kwangirika
degradation	0.160	0.608	0.315	gutesha agaciro
degrade	0.083	0.500	0.184	Gutesha agaciro
degraded	0.167	0.433	0.205	yataye agaciro
degrading	0.031	0.583	0.232	gutesha agaciro
degree	0.724	0.365	0.663	impamyabumenyi
dehydrated	0.310	0.685	0.212	umwuma
dehydration	0.188	0.472	0.259	umwuma
dejected	0.104	0.654	0.347	kwiheba
delay	0.204	0.510	0.162	gutinda
delayed	0.188	0.490	0.216	yatinze
delectable	0.781	0.642	0.718	birashoboka
delegate	0.612	0.491	0.658	intumwa
delegation	0.562	0.431	0.609	intumwa
delete	0.292	0.298	0.409	gusiba
deleterious	0.297	0.725	0.440	gusiba
deletion	0.062	0.506	0.462	gusiba
deli	0.561	0.448	0.447	deli
deliberate	0.551	0.654	0.682	nkana
deliberation	0.561	0.678	0.596	kubitekerezaho
deliberative	0.392	0.552	0.573	nkana
delicacy	0.812	0.279	0.336	ibiryo
delicate	0.583	0.294	0.366	byoroshye
delicatessen	0.656	0.474	0.400	delicatessen
delicious	0.927	0.650	0.589	biryoshye
delight	0.949	0.666	0.647	umunezero
delighted	0.938	0.664	0.685	yishimye
delightful	0.918	0.735	0.644	birashimishije
delineate	0.448	0.430	0.445	gusobanura
delineation	0.521	0.402	0.314	gusobanura
delinquency	0.135	0.860	0.508	ubugizi bwa nabi
delinquent	0.051	0.904	0.500	icyaha
delirious	0.219	0.774	0.538	kubushake
delirium	0.233	0.694	0.484	delirium
deliver	0.583	0.370	0.582	gutanga
deliverance	0.750	0.520	0.658	gutabarwa
delivery	0.704	0.461	0.786	gutanga
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	delta
delude	0.143	0.627	0.353	uburiganya
deluge	0.245	0.714	0.612	umwuzure
delusion	0.344	0.647	0.400	kwibeshya
delusional	0.219	0.745	0.327	kwibeshya
deluxe	0.792	0.612	0.755	deluxe
delve	0.469	0.529	0.684	delve
demand	0.292	0.673	0.500	icyifuzo
demanding	0.396	0.750	0.828	gusaba
demeaned	0.271	0.520	0.212	guteshwa agaciro
demeaning	0.104	0.645	0.308	gutesha agaciro
demeanor	0.633	0.433	0.657	imyitwarire
demented	0.088	0.787	0.309	yataye umutwe
dementia	0.092	0.779	0.337	guta umutwe
demise	0.104	0.596	0.456	kurimbuka
demo	0.510	0.314	0.423	demo
democracy	0.680	0.500	0.840	demokarasi
democrat	0.582	0.400	0.755	demokarasi
democratic	0.802	0.519	0.798	demokarasi
demographic	0.459	0.356	0.594	demokarasi
demolish	0.125	0.632	0.700	gusenya
demolished	0.271	0.647	0.353	yashenywe
demolition	0.133	0.827	0.541	gusenya
demon	0.037	0.908	0.509	umudayimoni
demonic	0.146	0.875	0.600	abadayimoni
demonstrable	0.735	0.471	0.749	Yerekanwa
demonstrate	0.771	0.552	0.839	kwerekana
demonstrated	0.617	0.500	0.649	yerekanwe
demonstrating	0.698	0.571	0.693	kwerekana
demonstration	0.551	0.676	0.679	imyigaragambyo
demonstrative	0.656	0.528	0.736	kwerekana
demonstrator	0.520	0.598	0.733	imyiyerekano
demoralized	0.082	0.590	0.149	gucika intege
demos	0.418	0.370	0.368	demo
demure	0.690	0.315	0.417	demure
den	0.510	0.347	0.398	indiri
deniability	0.230	0.509	0.417	guhakana
denial	0.194	0.435	0.318	guhakana
denied	0.188	0.604	0.333	byanze
denim	0.520	0.382	0.327	denim
denomination	0.490	0.363	0.429	idini
denominational	0.458	0.375	0.679	amadini
denominator	0.450	0.410	0.613	icyerekezo
denote	0.448	0.471	0.534	bisobanura
denounce	0.083	0.780	0.426	kwamagana
dense	0.354	0.343	0.536	Ubucucike
density	0.602	0.471	0.561	ubucucike
dent	0.306	0.606	0.325	dent
dental	0.573	0.404	0.463	amenyo
dentist	0.479	0.620	0.642	muganga w'amenyo
dentistry	0.429	0.570	0.569	amenyo
dentists	0.364	0.600	0.582	amenyo
denunciation	0.146	0.830	0.561	kwamaganwa
deny	0.316	0.667	0.321	guhakana
denying	0.080	0.542	0.272	guhakana
deodorant	0.480	0.265	0.269	deodorant
depart	0.398	0.480	0.444	genda
departed	0.245	0.536	0.391	yagiye
department	0.708	0.358	0.642	ishami
departmental	0.612	0.422	0.446	ishami
departure	0.573	0.500	0.426	kugenda
depend	0.388	0.429	0.358	biterwa
dependable	0.880	0.357	0.741	kwiringirwa
dependant	0.357	0.404	0.451	biterwa
dependence	0.250	0.451	0.433	kwishingikiriza
dependency	0.429	0.365	0.356	kwishingikiriza
dependent	0.354	0.455	0.404	biterwa
depict	0.663	0.529	0.723	shushanya
depicting	0.490	0.566	0.602	ishusho
depletion	0.153	0.370	0.236	kugabanuka
deplorable	0.135	0.657	0.230	birababaje
deplore	0.135	0.575	0.373	kwanga
deploy	0.500	0.520	0.585	ohereza
deployment	0.510	0.520	0.612	Kohereza
deport	0.167	0.667	0.546	birukanwa
deportation	0.104	0.786	0.450	kwirukanwa
depose	0.286	0.420	0.451	kubitsa
deposit	0.540	0.379	0.483	kubitsa
depositary	0.604	0.431	0.500	kubitsa
deposition	0.394	0.510	0.471	kubitsa
depository	0.551	0.373	0.481	kubitsa
depot	0.635	0.255	0.471	ububiko
depraved	0.031	0.837	0.395	yangiritse
depravity	0.115	0.854	0.453	ububi
depreciate	0.270	0.623	0.445	guta agaciro
