English Word	Valence	Arousal	Dominance	Indonesian Word
cobalt	0.408	0.325	0.441	kobalt
cobble	0.448	0.385	0.368	batu bulat
cobbler	0.510	0.415	0.318	tukang sepatu
cobra	0.312	0.712	0.600	kobra
cocaine	0.156	0.840	0.373	kokain
cock	0.418	0.562	0.392	kokang
cockamamie	0.450	0.500	0.382	cockamamie
cockeyed	0.459	0.460	0.423	tolol
cockpit	0.520	0.424	0.343	kokpit
cockroach	0.188	0.667	0.196	kecoak
cocksucker	0.083	0.764	0.339	bajingan
cocktail	0.740	0.480	0.381	koktail
cocky	0.260	0.784	0.519	sombong
cocoa	0.776	0.255	0.322	biji cokelat
coconut	0.622	0.265	0.227	kelapa
cocoon	0.470	0.280	0.290	kepompong
cod	0.510	0.321	0.304	ikan kod
code	0.583	0.308	0.491	kode
codeine	0.375	0.582	0.436	kodein
codex	0.531	0.488	0.524	naskah kuno
codfish	0.490	0.245	0.300	ikan kod
codification	0.448	0.400	0.698	kodifikasi
codify	0.448	0.410	0.679	mengkodifikasikan
coding	0.442	0.344	0.667	pengkodean
coed	0.469	0.531	0.481	mahasiswi
coefficient	0.677	0.415	0.702	koefisien
coerce	0.260	0.741	0.517	memaksa
coercion	0.330	0.708	0.577	paksaan
coercive	0.479	0.670	0.506	paksaan
coexist	0.708	0.460	0.536	hidup bersama
coexistence	0.588	0.472	0.638	hidup berdampingan
coexisting	0.551	0.349	0.648	hidup berdampingan
coffee	0.823	0.418	0.309	kopi
coffee table	0.720	0.339	0.295	meja kopi
coffeehouse	0.694	0.357	0.307	rumah kopi
coffeepot	0.760	0.333	0.312	teko kopi
coffin	0.073	0.432	0.343	peti mati
cog	0.427	0.343	0.363	gigi
cogent	0.765	0.479	0.836	kuat
cognac	0.615	0.510	0.430	Cognac
cognate	0.615	0.350	0.398	seasal
cognition	0.635	0.344	0.706	pengartian
cognitive	0.513	0.401	0.634	kognitif
cohabitation	0.646	0.526	0.598	kohabitasi
coherence	0.720	0.406	0.788	koherensi
coherent	0.698	0.281	0.500	koheren
cohesion	0.604	0.536	0.555	kohesi
cohesive	0.531	0.470	0.603	kompak
cohort	0.459	0.551	0.566	kelompok
coil	0.448	0.343	0.298	gulungan
coiled	0.378	0.518	0.389	melingkar
coin	0.677	0.574	0.445	koin
coinage	0.500	0.400	0.545	mata uang
coincide	0.635	0.490	0.593	bertepatan
coincidence	0.612	0.450	0.518	kebetulan
coincident	0.562	0.385	0.602	kebetulan
coincidental	0.646	0.481	0.337	kebetulan
coinciding	0.673	0.373	0.623	bertepatan
coke	0.404	0.461	0.397	minuman bersoda
cola	0.469	0.325	0.240	soda
cold	0.398	0.538	0.348	dingin
coldly	0.365	0.358	0.407	dengan dingin
coldness	0.093	0.470	0.427	kedinginan
coldsweat	0.427	0.491	0.327	keringat dingin
coleslaw	0.707	0.312	0.336	selada kol
colic	0.135	0.736	0.361	sakit perut
coliseum	0.612	0.663	0.704	stadion besar
collaborate	0.816	0.449	0.559	berkolaborasi
collaboration	0.885	0.628	0.741	kolaborasi
collaborator	0.729	0.320	0.769	kolaborator
collage	0.680	0.321	0.375	Kampus
collagen	0.541	0.245	0.450	kolagen
collapse	0.208	0.689	0.342	jatuh
collar	0.656	0.442	0.446	kerah
collarbone	0.420	0.427	0.306	tulang selangka
collate	0.438	0.448	0.580	menyusun
collateral	0.531	0.422	0.717	jaminan
collation	0.520	0.333	0.508	pemeriksaan
colleague	0.740	0.413	0.600	kolega
collect	0.635	0.481	0.491	mengumpulkan
collected	0.570	0.402	0.588	dikumpulkan
collection	0.725	0.311	0.588	koleksi
collective	0.583	0.458	0.698	kolektif
collectively	0.817	0.573	0.533	secara kolektif
collector	0.552	0.481	0.648	pengumpul
college	0.700	0.467	0.746	kampus
collegiate	0.592	0.461	0.678	perguruan tinggi
collide	0.271	0.892	0.557	bertabrakan
collie	0.562	0.308	0.328	collie
collision	0.245	0.848	0.585	tabrakan
collocation	0.637	0.360	0.594	sanding kata
colloquial	0.604	0.363	0.368	bahasa sehari-hari
collusion	0.365	0.510	0.400	kolusi
cologne	0.677	0.413	0.552	cologne
colon	0.449	0.394	0.384	usus besar
colonel	0.459	0.592	0.890	kolonel
colonial	0.553	0.327	0.613	kolonial
colonic	0.333	0.420	0.430	kolon
colonoscopy	0.208	0.524	0.466	kolonoskopi
colony	0.716	0.353	0.593	koloni
colophon	0.500	0.408	0.385	tanda penerbit
color	0.786	0.280	0.402	warna
coloration	0.541	0.520	0.443	pewarnaan
colored	0.806	0.317	0.275	berwarna
colorful	0.850	0.520	0.519	warna-warni
coloring	0.781	0.469	0.353	warna
colorless	0.354	0.340	0.250	tanpa warna
colors	0.875	0.349	0.340	warna
colossal	0.698	0.692	0.900	kolosal
colt	0.561	0.587	0.543	kuda jantan muda
columbine	0.520	0.521	0.407	bersifat merpati
column	0.480	0.250	0.670	kolom
columnar	0.448	0.340	0.491	berbentuk kolom
columnist	0.646	0.365	0.648	kolumnis
com	0.396	0.382	0.382	com
coma	0.219	0.255	0.302	koma
comatose	0.143	0.438	0.433	pingsan
comb	0.490	0.123	0.268	sisir
combat	0.302	0.846	0.833	tempur
combatant	0.531	0.853	0.780	pejuang
combative	0.381	0.690	0.816	agresif
combination	0.708	0.480	0.726	kombinasi
combinatorial	0.561	0.436	0.428	kombinatorial
combine	0.663	0.442	0.533	menggabungkan
combined	0.622	0.370	0.500	gabungan
combo	0.698	0.439	0.453	kombo
combustible	0.386	0.650	0.750	mudah terbakar
combustion	0.457	0.807	0.591	pembakaran
come	0.529	0.269	0.558	datang
comeback	0.580	0.409	0.555	kembali
comedian	0.812	0.735	0.598	pelawak
comedy	0.918	0.555	0.490	komedi
comet	0.704	0.679	0.471	komet
comfort	0.863	0.231	0.670	kenyamanan
comfortable	0.927	0.163	0.473	nyaman
comforter	0.618	0.275	0.302	penghibur
comforting	0.906	0.337	0.620	menghibur
comfy	0.930	0.241	0.625	nyaman
comic	0.917	0.459	0.387	komik
comical	0.844	0.737	0.327	lucu
comics	0.690	0.556	0.384	komik
coming	0.653	0.417	0.500	yang akan datang
comma	0.344	0.269	0.242	koma
command	0.427	0.790	0.849	memerintah
commandant	0.622	0.700	0.943	komandan
commandeer	0.552	0.639	0.931	menyita
commander	0.531	0.615	0.906	komandan
commanding	0.562	0.664	0.925	berwibawa
commandment	0.656	0.490	0.876	firman
commando	0.323	0.710	0.817	komando
commemorate	0.812	0.602	0.636	memperingati
commemoration	0.719	0.615	0.754	peringatan
commemorative	0.750	0.438	0.754	peringatan
commence	0.760	0.585	0.741	memulai
commend	0.906	0.694	0.711	memuji
commendable	0.786	0.570	0.555	terpuji
commendation	0.911	0.500	0.639	pujian
commensurate	0.610	0.304	0.550	sepadan
comment	0.667	0.417	0.379	komentar
commentary	0.602	0.402	0.446	komentar
commentator	0.492	0.510	0.607	komentator
commerce	0.646	0.500	0.788	perdagangan
commercial	0.806	0.490	0.528	komersial
commie	0.385	0.519	0.454	komite
commissary	0.385	0.500	0.788	komisaris
commission	0.677	0.480	0.571	Komisi
commissioner	0.602	0.449	0.949	komisaris
commit	0.365	0.529	0.491	melakukan
commitment	0.714	0.710	0.843	komitmen
committal	0.472	0.519	0.582	berkomitmen
committed	0.710	0.542	0.712	berkomitmen
committee	0.592	0.392	0.721	komite
commodity	0.615	0.394	0.537	komoditas
commodore	0.427	0.530	0.636	komodor
common	0.600	0.127	0.318	umum
commoner	0.448	0.365	0.327	orang biasa
commonly	0.604	0.170	0.574	umumnya
commonplace	0.520	0.337	0.442	biasa
commons	0.633	0.396	0.623	milik bersama
commonwealth	0.630	0.406	0.702	persemakmuran
commotion	0.490	0.700	0.646	keributan
communal	0.592	0.321	0.556	komunal
commune	0.500	0.488	0.655	komune
communicable	0.796	0.491	0.623	menular
communicate	0.823	0.410	0.696	menyampaikan
communication	0.837	0.400	0.649	komunikasi
communicative	0.847	0.560	0.637	komunikatif
communicator	0.573	0.509	0.796	penghubung
communion	0.765	0.357	0.607	komuni
communism	0.264	0.570	0.623	komunisme
communist	0.265	0.702	0.632	Komunis
community	0.750	0.350	0.659	masyarakat
commutation	0.469	0.431	0.652	penggantian
commutative	0.667	0.442	0.569	komutatif
commute	0.622	0.582	0.565	perjalanan
commuter	0.646	0.520	0.512	komuter
comp	0.573	0.450	0.371	comp
compact	0.458	0.417	0.673	kompak
compaction	0.531	0.471	0.582	pemadatan
compactness	0.582	0.352	0.454	kekompakan
companion	0.770	0.377	0.618	pendamping
companionless	0.271	0.259	0.200	tanpa teman
companionship	0.833	0.438	0.792	persahabatan
company	0.906	0.425	0.798	perusahaan
comparable	0.562	0.443	0.458	sebanding
comparative	0.470	0.273	0.562	komparatif
comparatively	0.604	0.391	0.538	relatif
compare	0.552	0.408	0.524	membandingkan
comparison	0.583	0.456	0.492	perbandingan
compartment	0.500	0.389	0.607	kompartemen
compass	0.541	0.307	0.529	kompas
compassion	0.735	0.258	0.509	kasih sayang
compassionate	0.857	0.404	0.411	penuh kasih
compatibility	0.816	0.450	0.673	kesesuaian
compatible	0.892	0.387	0.638	kompatibel
compel	0.200	0.847	0.625	memaksa
compelled	0.333	0.654	0.347	terpaksa
compelling	0.698	0.570	0.870	menarik
compendium	0.610	0.461	0.537	ringkasan
compensate	0.612	0.429	0.762	mengimbangi
compensation	0.775	0.469	0.598	kompensasi
compensatory	0.589	0.490	0.700	Sebagai pengganti
compete	0.573	0.745	0.786	bersaing
competence	0.615	0.802	0.823	kompetensi
competency	0.768	0.775	0.764	kompetensi
competent	0.865	0.560	0.904	kompeten
competition	0.580	0.790	0.798	kompetisi
competitive	0.447	0.718	0.908	kompetitif
competitor	0.612	0.959	0.861	saingan
compilation	0.530	0.512	0.606	kompilasi
compile	0.600	0.413	0.519	menyusun
complacency	0.604	0.503	0.519	kepuasan
complacent	0.625	0.452	0.518	puas diri
complain	0.143	0.682	0.360	mengeluh
complaint	0.143	0.606	0.281	keluhan
complement	0.760	0.277	0.600	melengkapi
complementary	0.714	0.320	0.586	yang saling melengkapi
complete	0.750	0.414	0.809	menyelesaikan
completed	0.823	0.357	0.777	lengkap
completely	0.730	0.370	0.690	sama sekali
completeness	0.823	0.433	0.769	kelengkapan
completing	0.614	0.500	0.769	menyelesaikan
completion	0.656	0.470	0.525	penyelesaian
complex	0.388	0.608	0.550	kompleks
complexed	0.312	0.577	0.612	rumit
complexion	0.521	0.520	0.380	corak
complexity	0.479	0.620	0.595	kompleksitas
compliance	0.750	0.462	0.750	kepatuhan
compliant	0.677	0.310	0.519	sesuai
complicate	0.210	0.657	0.404	menyulitkan
complicated	0.211	0.660	0.455	rumit
complication	0.365	0.726	0.330	komplikasi
complicity	0.323	0.684	0.670	keterlibatan
compliment	0.820	0.490	0.651	pujian
complimentary	0.823	0.413	0.435	gratis
comply	0.806	0.370	0.638	mematuhi
complying	0.729	0.423	0.590	mematuhi
compo	0.500	0.346	0.390	compo
component	0.531	0.382	0.525	komponen
compose	0.639	0.432	0.694	menyusun
composed	0.684	0.385	0.682	tersusun
composer	0.822	0.588	0.691	komposer
composite	0.591	0.459	0.620	gabungan
composition	0.765	0.408	0.652	komposisi
compost	0.480	0.404	0.441	kompos
composure	0.802	0.354	0.717	ketenangan
compound	0.635	0.385	0.735	menggabungkan
comprehend	0.875	0.365	0.689	memahami
comprehension	0.908	0.387	0.688	pemahaman
comprehensive	0.796	0.385	0.644	luas
compress	0.406	0.412	0.460	kompres
compressed	0.323	0.396	0.388	terkompresi
compressible	0.622	0.392	0.585	kompresibel
compression	0.646	0.521	0.579	kompresi
compressor	0.418	0.481	0.630	kompresor
comprise	0.839	0.373	0.669	meliputi
compromise	0.677	0.520	0.805	kompromi
comptroller	0.402	0.481	0.866	pengawas
compulsion	0.118	0.760	0.604	paksaan
compulsive	0.347	0.871	0.573	wajib
compulsory	0.343	0.541	0.791	wajib
computable	0.570	0.402	0.545	dapat dihitung
computation	0.583	0.429	0.697	komputasi
compute	0.531	0.408	0.564	menghitung
computer	0.802	0.356	0.639	komputer
computerized	0.677	0.450	0.657	terkomputerisasi
computing	0.745	0.398	0.695	komputasi
comrade	0.781	0.412	0.804	kawan
con	0.255	0.736	0.427	menipu
concatenation	0.480	0.593	0.539	rangkaian
concave	0.441	0.349	0.349	cekung
conceal	0.312	0.436	0.306	menutupi
concealed	0.344	0.363	0.352	tersembunyi
concealment	0.302	0.570	0.390	penyembunyian
concede	0.670	0.324	0.473	Menyerah
conceit	0.354	0.625	0.309	kesombongan
conceited	0.194	0.667	0.473	sombong
conceivable	0.730	0.350	0.613	bisa dibayangkan
conceive	0.708	0.538	0.700	memahami
concentrate	0.750	0.439	0.743	konsentrat
concentration	0.735	0.500	0.722	konsentrasi
concentric	0.730	0.479	0.635	konsentris
concept	0.573	0.265	0.632	konsep
conception	0.694	0.490	0.614	pembuahan
concern	0.250	0.734	0.463	kekhawatiran
concerned	0.292	0.698	0.350	khawatir
concert	0.938	0.867	0.718	konser
concerto	0.613	0.759	0.679	konser
concession	0.588	0.423	0.615	konsesi
concessional	0.770	0.493	0.657	lunak
conch	0.583	0.306	0.339	keong
concierge	0.480	0.343	0.343	ruang serbaguna
conciliation	0.792	0.475	0.726	perdamaian
concise	0.583	0.298	0.620	ringkas
conclave	0.573	0.440	0.611	konklaf
conclude	0.530	0.267	0.679	menyimpulkan
concluding	0.531	0.382	0.603	menyimpulkan
conclusion	0.615	0.377	0.659	kesimpulan
conclusive	0.500	0.427	0.745	pasti
concoction	0.448	0.459	0.417	ramuan
concomitant	0.427	0.482	0.727	seiring
concord	0.677	0.320	0.586	kerukunan
concordance	0.625	0.358	0.608	konkordansi
concours	0.500	0.530	0.495	kesepakatan
concourse	0.740	0.657	0.528	pertemuan
concrete	0.633	0.420	0.547	konkret
concubine	0.388	0.594	0.476	selir
concur	0.459	0.394	0.429	setuju
concurrence	0.764	0.627	0.613	persetujuan
concurrent	0.573	0.547	0.741	bersamaan
concurring	0.573	0.600	0.681	setuju
concussion	0.072	0.708	0.482	gegar
condemn	0.102	0.793	0.625	memvonis
condemnation	0.133	0.725	0.449	penghukuman
condensation	0.510	0.316	0.538	kondensasi
condensed	0.598	0.415	0.623	kental
condescending	0.583	0.363	0.593	merendahkan
condescension	0.521	0.377	0.565	merendahkan
condiment	0.520	0.333	0.433	bumbu
condition	0.500	0.469	0.519	kondisi
conditional	0.521	0.343	0.556	bersyarat
conditionally	0.396	0.419	0.617	bersyarat
conditioned	0.490	0.417	0.616	dikondisikan
conditioner	0.781	0.360	0.538	kondisioner
conditioning	0.440	0.468	0.617	pengkondisian
conditions	0.551	0.441	0.593	kondisi
condo	0.439	0.288	0.607	kondominium
condolence	0.260	0.443	0.404	belasungkawa
condolences	0.198	0.480	0.288	bela sungkawa
condom	0.406	0.637	0.500	kondom
condone	0.571	0.441	0.619	memaafkan
condor	0.573	0.388	0.519	condor
conducive	0.775	0.479	0.679	kondusif
conduct	0.453	0.510	0.750	mengadakan
conduction	0.530	0.557	0.717	konduksi
conductivity	0.583	0.575	0.642	daya konduksi
conductor	0.677	0.663	0.621	konduktor
conduit	0.470	0.302	0.413	saluran
cone	0.417	0.208	0.343	kerucut
confederacy	0.590	0.541	0.736	konfederasi
confederate	0.551	0.546	0.792	sekutu
confederation	0.663	0.404	0.830	konfederasi
confer	0.573	0.482	0.583	memberi
conference	0.688	0.615	0.606	konferensi
confess	0.360	0.712	0.431	mengakui
confession	0.469	0.642	0.460	pengakuan
confessional	0.458	0.392	0.629	pengakuan
confessions	0.325	0.538	0.658	pengakuan
confetti	0.781	0.573	0.250	konfeti
confidant	0.837	0.633	0.631	orang kepercayaan
confide	0.669	0.472	0.595	mengaku
confidence	0.959	0.276	0.943	kepercayaan diri
confident	0.765	0.324	0.723	percaya diri
confidential	0.643	0.471	0.761	rahasia
confidentiality	0.667	0.431	0.718	kerahasiaan
confidentially	0.633	0.469	0.558	secara rahasia
configuration	0.540	0.443	0.591	konfigurasi
confine	0.327	0.551	0.538	membatasi
confined	0.286	0.472	0.444	terbatas
confinement	0.333	0.656	0.520	kurungan
confines	0.396	0.386	0.542	membatasi
confirm	0.802	0.439	0.806	Konfirmasi
confirmation	0.812	0.480	0.692	konfirmasi
confirmatory	0.656	0.500	0.683	konfirmasi
confirmed	0.760	0.490	0.764	dikonfirmasi
confiscate	0.250	0.625	0.482	menyita
confiscation	0.208	0.706	0.586	penyitaan
conflagration	0.344	0.721	0.594	kebakaran besar
conflict	0.335	0.906	0.471	konflik
conflicting	0.173	0.738	0.553	bertentangan
confluence	0.677	0.598	0.565	pertemuan
conform	0.479	0.380	0.375	sesuai
conformance	0.608	0.278	0.254	kesesuaian
conformation	0.622	0.435	0.711	konformasi
conformity	0.645	0.363	0.579	kesesuaian
confound	0.347	0.529	0.333	mencampuradukkan
confounded	0.333	0.528	0.264	terkutuk
confront	0.281	0.760	0.746	mengonfrontasi
confrontation	0.177	0.870	0.658	konfrontasi
confuse	0.100	0.580	0.270	bingung
confused	0.220	0.650	0.179	bingung
confusing	0.229	0.690	0.222	membingungkan
confusion	0.255	0.667	0.277	kebingungan
conga	0.469	0.529	0.440	conga
congenial	0.820	0.412	0.620	cocok
congenital	0.448	0.434	0.427	bawaan
congestion	0.271	0.654	0.491	penyumbatan
conglomerate	0.500	0.500	0.838	konglomerat
conglomeration	0.541	0.720	0.670	campuran
congrats	0.930	0.726	0.775	selamat
congratulate	0.927	0.724	0.784	mengucapkan selamat
congratulation	0.948	0.780	0.717	selamat
congratulations	0.960	0.755	0.719	Selamat
congratulatory	0.959	0.616	0.689	ucapan selamat
congregate	0.653	0.530	0.733	berkumpul
congregation	0.561	0.490	0.700	kongregasi
congress	0.449	0.444	0.857	Kongres
congressional	0.552	0.491	0.848	kongres
congressman	0.438	0.471	0.877	anggota kongres
congruence	0.656	0.472	0.577	kesesuaian
conic	0.510	0.368	0.379	berbentuk kerucut
conical	0.490	0.422	0.471	berbentuk kerucut
conjecture	0.396	0.398	0.534	dugaan
conjugal	0.698	0.510	0.688	suami istri
conjugate	0.583	0.420	0.467	mengkonjugasikan
conjugation	0.479	0.429	0.582	konjugasi
conjunction	0.520	0.472	0.509	konjungsi
conjunctive	0.487	0.444	0.639	kata penghubung
conjure	0.385	0.679	0.645	menyulap
conjuring	0.224	0.653	0.694	sulap
conk	0.340	0.469	0.404	meninggal
connect	0.724	0.299	0.536	Menghubung
connected	0.816	0.550	0.612	terhubung
connection	0.729	0.560	0.655	koneksi
connective	0.719	0.491	0.764	penghubung
connoisseur	0.760	0.461	0.769	penikmat
conquer	0.694	0.873	0.971	menaklukkan
conquering	0.760	0.873	0.936	menaklukkan
conqueror	0.604	0.809	0.930	penakluk
conquest	0.710	0.702	0.833	penaklukan
conscience	0.663	0.375	0.721	hati nurani
conscientious	0.688	0.404	0.688	teliti
conscious	0.740	0.333	0.705	sadar
consciousness	0.840	0.483	0.755	kesadaran
conscription	0.396	0.775	0.642	wajib militer
consecrated	0.663	0.500	0.800	suci
consecration	0.771	0.418	0.804	konsekrasi
consecutive	0.663	0.418	0.643	berurutan
consensual	0.663	0.417	0.655	suka sama suka
consensus	0.627	0.358	0.625	konsensus
consent	0.750	0.500	0.620	izin
consenting	0.727	0.406	0.693	menyetujui
consequence	0.240	0.721	0.593	konsekuensi
consequent	0.663	0.471	0.625	akibat
conservation	0.832	0.401	0.606	konservasi
conservatism	0.406	0.369	0.633	konservatisme
conservative	0.615	0.316	0.788	konservatif
conservatory	0.635	0.240	0.729	konservatori
conserve	0.690	0.347	0.573	melestarikan
consider	0.677	0.368	0.579	mempertimbangkan
considerable	0.653	0.314	0.683	besar
considerate	0.781	0.380	0.633	penuh perhatian
consideration	0.589	0.380	0.687	pertimbangan
consignee	0.635	0.385	0.602	penerima barang
consignment	0.490	0.440	0.500	konsinyasi
consist	0.823	0.386	0.580	terdiri atas
consistency	0.714	0.500	0.887	konsistensi
consistent	0.786	0.431	0.726	konsisten
consolation	0.408	0.250	0.304	penghiburan
console	0.625	0.398	0.415	menghibur
consoled	0.700	0.343	0.452	terhibur
consolidate	0.880	0.440	0.870	mengkonsolidasikan
consolidated	0.700	0.366	0.784	konsolidasi
consolidation	0.604	0.445	0.776	konsolidasi
consonant	0.500	0.347	0.417	konsonan
consort	0.632	0.509	0.630	istri
conspicuous	0.479	0.520	0.596	menyolok
conspiracy	0.125	0.787	0.652	konspirasi
conspirator	0.271	0.786	0.707	konspirator
conspire	0.206	0.740	0.520	bersekongkol
constable	0.573	0.667	0.764	polisi
constancy	0.786	0.443	0.763	keteguhan
constant	0.740	0.296	0.686	konstan
constantly	0.663	0.561	0.700	selalu
constellation	0.719	0.533	0.775	konstelasi
consternation	0.167	0.680	0.469	kekuatiran
constipation	0.079	0.612	0.231	sembelit
constituency	0.500	0.480	0.696	daerah pemilihan
constituent	0.573	0.500	0.827	unsur
constituents	0.573	0.414	0.833	konstituen
constitute	0.812	0.349	0.906	merupakan
constitution	0.590	0.380	0.889	konstitusi
constitutional	0.633	0.418	0.827	konstitusional
constitutionality	0.612	0.439	0.853	konstitusionalitas
constrain	0.261	0.500	0.500	memaksa
constrained	0.135	0.537	0.357	dibatasi
constraint	0.323	0.550	0.481	paksaan
construct	0.750	0.648	0.792	membangun
construction	0.848	0.612	0.759	konstruksi
constructive	0.860	0.570	0.812	konstruktif
construe	0.602	0.519	0.553	menafsirkan
consul	0.573	0.354	0.688	konsul
consulate	0.561	0.453	0.694	konsulat
consult	0.755	0.370	0.441	berkonsultasi
consultant	0.770	0.344	0.808	konsultan
consultation	0.660	0.463	0.625	konsultasi
consume	0.427	0.620	0.509	mengkonsumsi
consumer	0.507	0.551	0.677	konsumen
consuming	0.573	0.541	0.536	mengkonsumsi
consummate	0.551	0.540	0.558	sempurna
consummation	0.583	0.676	0.661	penyempurnaan
consumption	0.390	0.531	0.538	konsumsi
contact	0.719	0.424	0.526	kontak
contagion	0.208	0.630	0.535	penularan
contagious	0.184	0.725	0.400	menular
contain	0.542	0.490	0.658	berisi
container	0.551	0.396	0.561	wadah
containment	0.411	0.491	0.618	penahanan
contaminate	0.140	0.611	0.426	mencemari
contaminated	0.040	0.500	0.368	terkontaminasi
contamination	0.125	0.610	0.375	kontaminasi
contemplate	0.740	0.347	0.642	merenungkan
contemplation	0.552	0.324	0.627	kontemplasi
contemplative	0.729	0.308	0.739	melibatkan perenungan
contemporaneous	0.640	0.373	0.591	sejaman
contemporary	0.720	0.365	0.569	kontemporer
contempt	0.206	0.635	0.396	penghinaan
contemptible	0.146	0.657	0.471	hina
contemptuous	0.204	0.500	0.375	menghina
contend	0.510	0.657	0.731	bersaing
contender	0.480	0.790	0.681	lawan
contending	0.490	0.698	0.716	bersaing
content	0.764	0.296	0.559	isi
contented	0.857	0.612	0.746	puas
contention	0.375	0.510	0.738	pendapat
contentious	0.422	0.573	0.637	kontensius
contentment	0.875	0.610	0.782	kepuasan
contents	0.656	0.375	0.550	isi
contest	0.667	0.698	0.717	kontes
contestant	0.760	0.530	0.602	kontestan
context	0.531	0.300	0.553	konteks
contiguous	0.375	0.450	0.500	berdekatan
continence	0.450	0.396	0.469	pengawasan diri
continent	0.551	0.373	0.833	benua
continental	0.486	0.350	0.755	kontinental
contingency	0.396	0.500	0.670	kemungkinan
contingent	0.470	0.531	0.659	kontingen
continual	0.500	0.423	0.685	terus menerus
continually	0.646	0.438	0.698	terus menerus
continuance	0.729	0.510	0.652	kelanjutan
continuation	0.615	0.470	0.566	kelanjutan
continue	0.630	0.427	0.612	melanjutkan
continued	0.635	0.440	0.500	lanjutan
continuing	0.667	0.500	0.520	melanjutkan
continuity	0.781	0.439	0.684	kontinuitas
continuous	0.625	0.509	0.580	kontinu
continuously	0.719	0.417	0.702	terus menerus
continuum	0.677	0.390	0.491	kontinum
contour	0.589	0.265	0.414	kontur
contraband	0.177	0.875	0.670	barang selundupan
contraception	0.296	0.518	0.525	kontrasepsi
contract	0.594	0.412	0.636	kontrak
contracted	0.344	0.557	0.449	dikontrak
contractile	0.480	0.586	0.569	kontraktil
contracting	0.594	0.490	0.769	kontrak
contraction	0.292	0.755	0.603	kontraksi
contractor	0.592	0.479	0.727	kontraktor
contradict	0.160	0.598	0.482	bertentangan
contradiction	0.250	0.660	0.377	kontradiksi
contradictory	0.365	0.651	0.421	kontradiktif
contraption	0.448	0.590	0.491	alat
contrary	0.327	0.449	0.338	kebalikan
contrast	0.480	0.406	0.520	kontras
contrasted	0.521	0.538	0.491	kontras
contravene	0.357	0.618	0.472	melanggar
contravention	0.344	0.627	0.593	pelanggaran
contribute	0.806	0.350	0.795	menyumbang
contribution	0.854	0.452	0.760	kontribusi
contributor	0.844	0.510	0.760	penyumbang
contrite	0.347	0.363	0.473	penuh sesal
contrition	0.347	0.583	0.463	penyesalan
contrived	0.408	0.530	0.458	Dibuat secara perlahan
control	0.729	0.352	0.808	kontrol
controller	0.469	0.712	0.868	pengontrol
controlling	0.490	0.441	0.885	mengendalikan
controversial	0.271	0.858	0.538	kontroversial
controversy	0.250	0.819	0.600	kontroversi
contusion	0.167	0.565	0.509	luka memar
conundrum	0.354	0.524	0.408	teka-teki
convalescent	0.458	0.480	0.269	sembuh
convection	0.521	0.494	0.526	konveksi
convene	0.583	0.676	0.636	bersidang
convenience	0.781	0.448	0.613	kenyamanan
conveniences	0.802	0.412	0.693	kemudahan
convenient	0.846	0.491	0.574	nyaman
convent	0.480	0.217	0.594	biara
convention	0.622	0.622	0.704	Konvensi
conventional	0.594	0.292	0.634	konvensional
converge	0.635	0.471	0.539	bertemu
convergence	0.551	0.491	0.625	konvergensi
convergent	0.781	0.490	0.696	konvergen
conversant	0.724	0.360	0.542	mahir
conversation	0.750	0.510	0.609	percakapan
conversational	0.719	0.431	0.596	percakapan
conversationalist	0.719	0.467	0.667	pembicara
converse	0.594	0.406	0.598	berbicara
conversing	0.755	0.409	0.442	bercakap-cakap
conversion	0.480	0.605	0.736	konversi
convert	0.551	0.538	0.704	mengubah
converted	0.663	0.418	0.686	dikonversi
convertible	0.542	0.529	0.717	mobil atap terbuka
convex	0.438	0.427	0.445	cembung
convexity	0.449	0.354	0.484	sifat busung
convey	0.719	0.633	0.708	mengangkut
conveyance	0.615	0.520	0.455	kendaraan
conveyancing	0.375	0.479	0.663	pengangkutan
convict	0.177	0.840	0.477	menghukum
conviction	0.615	0.704	0.826	pengakuan
convince	0.708	0.539	0.763	meyakinkan
convinced	0.750	0.500	0.630	yakin
convincing	0.760	0.527	0.900	meyakinkan
convocation	0.538	0.611	0.663	pertemuan
convoluted	0.323	0.614	0.433	membelit
convolution	0.417	0.559	0.527	lilitan
convoy	0.500	0.671	0.639	konvoi
coo	0.490	0.439	0.500	mendekut
cook	0.847	0.500	0.412	memasak
cookbook	0.602	0.346	0.398	buku masak
cooker	0.592	0.373	0.407	kompor
cookery	0.633	0.368	0.345	masakan
cookie	0.792	0.306	0.250	Kue kering
cookies	0.823	0.451	0.316	kue
cooking	0.694	0.510	0.434	memasak
cookout	0.680	0.406	0.482	memasak
cool	0.885	0.540	0.781	dingin
coolant	0.720	0.412	0.456	pendingin
cooler	0.664	0.375	0.460	lebih keren
cooling	0.469	0.324	0.392	pendinginan
coolness	0.490	0.307	0.548	kesejukan
coon	0.490	0.460	0.400	coon
coop	0.612	0.445	0.650	mengurung
cooperate	0.898	0.451	0.582	bekerja sama
cooperating	0.760	0.390	0.693	bekerja sama
cooperation	0.847	0.473	0.686	kerja sama
cooperative	0.816	0.461	0.670	kooperatif
coordinate	0.698	0.429	0.694	koordinat
coordination	0.677	0.454	0.789	koordinasi
coordinator	0.750	0.510	0.850	koordinator
cop	0.327	0.770	0.836	polisi
copacetic	0.510	0.471	0.453	copacetic
cope	0.592	0.647	0.709	mengatasi
