English Word	Valence	Arousal	Dominance	Galician Word
binding	0.438	0.425	0.640	encadernación
bing	0.573	0.453	0.415	bing
binge	0.304	0.650	0.500	atracón
bingo	0.735	0.667	0.429	bingo
binocular	0.531	0.344	0.426	binocular
binoculars	0.490	0.309	0.411	prismáticos
binomial	0.600	0.406	0.426	binomio
bio	0.612	0.225	0.490	bio
biochemical	0.367	0.481	0.618	bioquímica
biochemist	0.471	0.449	0.717	bioquímico
biochemistry	0.552	0.531	0.596	bioquímica
biogenesis	0.594	0.442	0.697	bioxénese
biographer	0.708	0.427	0.617	biógrafo
biography	0.698	0.229	0.718	Biografía
biological	0.590	0.410	0.615	biolóxicos
biologist	0.625	0.453	0.693	biólogo
biology	0.479	0.274	0.546	bioloxía
bionic	0.571	0.570	0.788	biónico
biopsy	0.323	0.657	0.481	biopsia
biosphere	0.684	0.351	0.579	biosfera
bipartite	0.365	0.480	0.464	bipartito
bipolar	0.208	0.685	0.426	bipolar
birch	0.562	0.346	0.382	bidueiro
bird	0.729	0.357	0.364	paxaro
birdcage	0.480	0.398	0.318	gaiola de paxaros
birdie	0.594	0.394	0.407	paxariño
birdman	0.490	0.567	0.604	home paxaro
birth	0.896	0.655	0.536	nacemento
birthday	0.969	0.844	0.575	aniversario
birthing	0.796	0.877	0.519	parto
birthmark	0.630	0.461	0.500	marca de nacemento
birthplace	0.781	0.290	0.491	lugar de nacemento
birthright	0.684	0.417	0.714	dereito de nacemento
bis	0.440	0.420	0.345	bis
biscuit	0.888	0.260	0.231	biscoito
bishop	0.594	0.184	0.725	bispo
bison	0.573	0.433	0.557	bisonte
bisque	0.693	0.443	0.312	bisquito
bistro	0.594	0.472	0.396	bistro
bit	0.427	0.310	0.225	pouco
bitch	0.276	0.740	0.343	cadela
bitchy	0.188	0.700	0.373	cadela
bite	0.219	0.796	0.510	morder
biter	0.260	0.598	0.500	mordedor
bitsy	0.510	0.388	0.382	bitsy
bitter	0.218	0.627	0.411	amargo
bitterly	0.194	0.685	0.362	amargamente
bitterness	0.115	0.633	0.270	amargura
bittersweet	0.469	0.569	0.474	agridoce
bitty	0.469	0.271	0.257	anaquiño
bitumen	0.375	0.235	0.307	betún
biweekly	0.581	0.337	0.455	quincenal
biz	0.500	0.473	0.473	biz
bizarre	0.379	0.620	0.392	estraño
blab	0.438	0.425	0.353	blab
blabbermouth	0.323	0.640	0.422	palabrota
blackberry	0.667	0.413	0.453	amora
blackbird	0.520	0.340	0.405	merlo
blackboard	0.469	0.255	0.287	encerado
blacken	0.208	0.500	0.228	ennegrecer
blackface	0.302	0.490	0.441	cara negra
blackjack	0.419	0.679	0.452	blackjack
blacklist	0.133	0.750	0.396	lista negra
blackmail	0.094	0.802	0.482	chantaxe
blackmailer	0.092	0.780	0.472	chantaxista
blackness	0.260	0.480	0.406	negrura
blackout	0.126	0.530	0.349	apagón
blacksmith	0.480	0.531	0.702	ferreiro
bladder	0.406	0.412	0.330	vexiga
blade	0.378	0.602	0.594	lámina
blame	0.115	0.640	0.309	culpa
blameless	0.759	0.196	0.343	irreprensible
bland	0.300	0.226	0.157	insulso
blank	0.531	0.229	0.250	en branco
blanket	0.740	0.132	0.391	manta
blare	0.439	0.561	0.519	berrar
blase	0.420	0.310	0.412	blase
blasphemous	0.210	0.755	0.491	blasfemo
blasphemy	0.146	0.794	0.406	blasfemia
blast	0.167	0.929	0.777	explosión
blaster	0.459	0.538	0.554	blaster
blastoff	0.357	0.865	0.736	despegue
blatant	0.327	0.677	0.675	flagrante
blather	0.344	0.481	0.382	balbordo
blaze	0.698	0.467	0.658	arder
blazer	0.635	0.385	0.417	blazer
blazing	0.594	0.896	0.735	ardendo
bleach	0.336	0.282	0.337	lixivia
bleak	0.204	0.427	0.272	sombrío
bleed	0.041	0.843	0.346	sangrar
bleeder	0.260	0.852	0.356	sangrante
bleeding	0.135	0.817	0.408	sangramento
bleep	0.479	0.667	0.345	piar
blemish	0.219	0.558	0.272	mancha
blemished	0.173	0.469	0.370	manchada
blend	0.469	0.452	0.463	mesturar
blender	0.602	0.534	0.351	licuadora
blending	0.560	0.418	0.637	mesturando
bless	0.929	0.269	0.588	bendicir
blessed	0.910	0.279	0.696	bendito
blessing	0.929	0.264	0.800	bendición
blessings	0.929	0.361	0.623	bendicións
bleu	0.460	0.354	0.379	azul
blight	0.271	0.771	0.429	tizón
blighted	0.146	0.615	0.296	arruinado
blimp	0.600	0.410	0.532	dirigible
blinded	0.245	0.471	0.231	cegado
blindfold	0.448	0.684	0.337	venda dos ollos
blindfolded	0.208	0.564	0.209	cos ollos vendados
blinding	0.304	0.596	0.406	cegando
blindly	0.439	0.598	0.278	cegamente
blindness	0.245	0.480	0.196	cegueira
blink	0.552	0.316	0.324	parpadear
blip	0.529	0.461	0.418	blip
bliss	0.816	0.500	0.782	ledicia
blissful	0.885	0.639	0.676	feliz
blister	0.407	0.538	0.402	burbulla
blistering	0.344	0.569	0.390	ampollas
blitz	0.417	0.722	0.789	blitz
blizzard	0.375	0.726	0.417	tormenta de neve
bloat	0.229	0.694	0.298	inchar
bloated	0.167	0.593	0.424	inchado
blob	0.500	0.376	0.298	blob
block	0.286	0.350	0.402	bloque
blockade	0.380	0.519	0.510	bloqueo
blockage	0.250	0.608	0.444	bloqueo
blockbuster	0.730	0.676	0.883	éxito de taquilla
blockhead	0.163	0.333	0.148	cabezón
blog	0.639	0.390	0.432	blog
bloke	0.450	0.479	0.545	tipo
blond	0.590	0.490	0.490	louro
blonde	0.698	0.545	0.412	loura
blood	0.219	0.684	0.585	sangue
bloodbath	0.060	0.971	0.475	baño de sangue
bloodhound	0.327	0.462	0.538	sabuxo
bloodless	0.292	0.390	0.212	sen sangue
bloodline	0.510	0.657	0.604	liña de sangue
bloodshed	0.048	0.942	0.525	derramamento de sangue
bloodshot	0.188	0.810	0.482	inxectado de sangue
bloodstream	0.552	0.530	0.528	corrente sanguínea
bloodthirsty	0.052	0.804	0.644	sanguinario
bloody	0.031	0.910	0.518	sanguento
bloom	0.816	0.453	0.587	florecer
bloomers	0.521	0.587	0.395	bloomers
blooming	0.860	0.452	0.593	florecendo
blossom	0.792	0.275	0.309	florecer
blot	0.365	0.304	0.223	manchar
blotched	0.133	0.562	0.264	manchado
blotter	0.360	0.298	0.280	secante
blouse	0.580	0.190	0.302	blusa
blow	0.316	0.750	0.570	golpe
blower	0.564	0.550	0.536	soplador
blowfish	0.344	0.420	0.389	peixe globo
blowing	0.521	0.472	0.434	soprando
blowjob	0.460	0.784	0.387	mamada
blown	0.333	0.548	0.412	soprado
blowout	0.398	0.792	0.616	explotar
blowtorch	0.520	0.730	0.510	soplete
blubber	0.388	0.260	0.360	graxa
bluddy	0.312	0.528	0.442	bluddy
blue	0.646	0.137	0.291	azul
blue spruce	0.559	0.335	0.364	abeto azul
blueberry	0.656	0.185	0.365	arándano
bluebird	0.573	0.350	0.450	paxaro azul
bluegrass	0.573	0.441	0.395	bluegrass
bluejay	0.635	0.520	0.310	bluejay
blueprint	0.490	0.173	0.425	plano
blues	0.469	0.220	0.287	azuis
bluff	0.418	0.286	0.377	farol
bluish	0.604	0.245	0.382	azulada
blunder	0.135	0.635	0.145	chapuza
blunt	0.551	0.680	0.925	contundente
blur	0.268	0.471	0.205	desenfoque
blurred	0.320	0.367	0.231	borrosa
blurry	0.059	0.385	0.218	borrosa
blurt	0.408	0.439	0.441	escapar
blush	0.698	0.610	0.445	rubor
blushing	0.510	0.789	0.288	rubor
boa	0.255	0.569	0.542	boa
boa constrictor	0.198	0.784	0.609	boa constrictor
boar	0.406	0.500	0.351	xabaril
board	0.592	0.255	0.385	taboleiro
board game	0.711	0.490	0.349	xogo de mesa
boarder	0.604	0.440	0.475	internado
boarding	0.531	0.402	0.534	embarque
boardroom	0.555	0.566	0.661	sala de xuntas
boards	0.469	0.270	0.524	taboleiros
boardwalk	0.643	0.481	0.549	paseo marítimo
boast	0.520	0.586	0.569	presumir
boastful	0.490	0.806	0.695	jactancioso
boasting	0.417	0.620	0.602	alardeando
boat	0.516	0.420	0.554	barco
boathouse	0.592	0.380	0.404	caseta de botes
boating	0.638	0.613	0.557	navegación
boatload	0.365	0.415	0.485	carga de barco
boatman	0.592	0.573	0.562	barqueiro
bobbin	0.429	0.472	0.353	bobina
bobcat	0.562	0.490	0.529	lince
bobsled	0.667	0.613	0.325	bobsled
bode	0.344	0.406	0.411	presaxio
bodega	0.573	0.307	0.398	bodega
bodice	0.390	0.471	0.386	corpiño
bodily	0.594	0.481	0.557	corporal
body	0.694	0.461	0.571	corpo
bodyguard	0.510	0.710	0.754	gardacostas
bog	0.302	0.361	0.365	turbeira
bogey	0.380	0.519	0.368	bogey
bogeyman	0.388	0.708	0.517	coco
bogus	0.219	0.353	0.144	falso
bohemian	0.622	0.500	0.407	bohemio
boil	0.417	0.684	0.433	ferver
boiler	0.561	0.590	0.509	caldeira
boilerplate	0.398	0.519	0.387	boilerplate
boiling	0.302	0.690	0.526	fervendo
boisterous	0.385	0.806	0.565	bulliciosa
bold	0.490	0.271	0.483	negriña
boldness	0.806	0.684	0.814	ousadía
bollocks	0.448	0.471	0.327	bolos
bolster	0.708	0.471	0.569	reforzar
bolt	0.354	0.363	0.426	parafuso
bolus	0.426	0.491	0.352	bolo
bomb	0.167	0.912	0.750	bomba
bombard	0.156	0.961	0.777	bombardear
bombardier	0.240	0.863	0.787	bombardeiro
bombardment	0.146	0.959	0.742	bombardeo
bombed	0.051	0.851	0.627	bombardeado
bomber	0.125	0.837	0.810	bombardeiro
bombers	0.173	0.920	0.787	bombardeiros
bombing	0.167	0.963	0.732	bombardeo
bombshell	0.327	0.868	0.693	bomba
bonanza	0.875	0.410	0.683	bonanza
bonbon	0.865	0.551	0.446	bombona
bond	0.667	0.519	0.630	vínculo
bondage	0.146	0.705	0.355	escravitude
bonding	0.594	0.442	0.509	vinculación
bonds	0.740	0.472	0.583	vínculos
bondsman	0.469	0.497	0.675	servidor
bone	0.337	0.370	0.413	óso
bonehead	0.337	0.521	0.518	bonehead
boner	0.344	0.612	0.393	boner
bones	0.281	0.343	0.358	ósos
bonfire	0.480	0.719	0.473	fogueira
bong	0.333	0.566	0.375	bong
bonkers	0.306	0.847	0.278	tolos
bonne	0.448	0.395	0.362	boa
bonnet	0.406	0.509	0.473	bonete
bonny	0.561	0.404	0.444	bonito
bonsai	0.714	0.235	0.375	bonsai
bonus	0.857	0.620	0.682	bonificación
bony	0.445	0.462	0.330	ósea
boo	0.153	0.676	0.309	boo
boob	0.694	0.600	0.392	teta
booby	0.396	0.423	0.185	bobo
booger	0.399	0.537	0.427	moco
boogeyman	0.292	0.559	0.567	boogeyman
boogie	0.590	0.543	0.400	boogie
book	0.802	0.210	0.606	libro
bookcase	0.553	0.221	0.490	estantería
bookie	0.344	0.633	0.618	corredor de apuestas
booking	0.708	0.503	0.583	reserva
bookish	0.604	0.236	0.430	librero
bookkeeper	0.480	0.363	0.468	contable
bookkeeping	0.520	0.214	0.592	contabilidade
booklet	0.510	0.270	0.351	folleto
bookmaker	0.583	0.804	0.633	casa de apostas
bookmark	0.543	0.441	0.415	marcador
books	0.729	0.115	0.430	libros
bookseller	0.583	0.317	0.456	libreiro
bookshop	0.688	0.291	0.389	libraría
bookstore	0.771	0.180	0.503	libraría
bookworm	0.563	0.337	0.316	ratón de biblioteca
boom	0.604	0.655	0.731	estrondo
boomer	0.480	0.539	0.441	boomer
boomerang	0.531	0.625	0.500	boomerang
booming	0.688	0.554	0.661	en auxe
boon	0.878	0.294	0.642	bendición
boooo	0.271	0.549	0.255	boooo
boost	0.865	0.730	0.750	impulso
booster	0.755	0.600	0.800	reforzo
boot	0.438	0.650	0.625	arranque
booth	0.531	0.400	0.310	caseta
bootleg	0.357	0.519	0.466	contrabando
bootlegger	0.354	0.649	0.541	contrabandista
boots	0.602	0.255	0.350	botas
booty	0.663	0.587	0.784	botín
booze	0.265	0.745	0.431	alcohol
bop	0.429	0.490	0.426	bop
bopper	0.398	0.530	0.385	bopper
border	0.406	0.382	0.424	fronteira
bordering	0.643	0.382	0.438	bordeando
borderline	0.449	0.520	0.490	limítrofe
bore	0.417	0.440	0.455	aburrir
boreal	0.582	0.348	0.400	boreal
bored	0.153	0.167	0.196	aburrido
boredom	0.167	0.139	0.255	aburrimento
borer	0.302	0.549	0.578	barrenador
boring	0.194	0.217	0.125	aburrido
born	0.865	0.509	0.591	nacido
boron	0.441	0.370	0.375	boro
borough	0.429	0.343	0.380	concello
borrow	0.398	0.573	0.282	pedir prestado
borrower	0.439	0.423	0.763	prestatario
bosom	0.612	0.588	0.404	seo
boss	0.310	0.627	0.954	xefe
bossy	0.240	0.824	0.750	mandón
boston	0.643	0.380	0.580	boston
botanical	0.660	0.259	0.491	botánico
botanist	0.651	0.240	0.456	botánico
botany	0.604	0.201	0.500	botánica
bother	0.208	0.780	0.370	molestar
bothering	0.208	0.764	0.449	molestar
bottle	0.469	0.236	0.336	botella
bottleneck	0.284	0.471	0.287	pescozo de botella
bottling	0.365	0.333	0.370	embotellado
bottom	0.417	0.370	0.291	fondo
bottomless	0.310	0.470	0.368	sen fondo
botulism	0.292	0.575	0.386	botulismo
boulder	0.461	0.309	0.531	pedregal
bounce	0.375	0.633	0.386	rebotar
bouncer	0.490	0.653	0.655	gorila
bouncy	0.562	0.565	0.429	hinchable
bound	0.417	0.667	0.310	atado
boundary	0.561	0.427	0.518	límite
boundless	0.684	0.642	0.652	sen límites
bounds	0.378	0.426	0.604	límites
bountiful	0.854	0.596	0.759	abundante
bounty	0.760	0.755	0.833	recompensa
bouquet	0.724	0.352	0.306	ramo
bourbon	0.602	0.490	0.517	bourbon
bourgeois	0.439	0.593	0.682	burgueses
bourgeoisie	0.357	0.417	0.767	burguesía
bourse	0.530	0.230	0.336	bolsa
bout	0.208	0.808	0.679	combate
boutique	0.745	0.490	0.441	boutique
bouttime	0.588	0.373	0.410	tempo de combate
bovine	0.449	0.255	0.353	bovino
bow	0.530	0.306	0.408	arco
bowed	0.410	0.418	0.368	inclinado
bowel	0.306	0.417	0.391	intestino
bowels	0.194	0.448	0.362	intestinos
bowl	0.625	0.377	0.358	cunca
bowler	0.552	0.633	0.481	xogador de bolos
bowling	0.656	0.431	0.309	bolos
bowls	0.551	0.280	0.277	cuncas
box	0.500	0.179	0.312	caixa
boxcar	0.420	0.469	0.421	vagón
boxer	0.490	0.810	0.802	boxeador
boxers	0.375	0.880	0.654	boxeadores
boxing	0.427	0.854	0.645	boxeo
boycott	0.112	0.690	0.505	boicot
boyfriend	0.781	0.604	0.547	mozo
boyhood	0.729	0.745	0.500	nenez
boyish	0.698	0.562	0.462	neno
boysenberry	0.646	0.409	0.475	boysenberry
bozo	0.388	0.364	0.298	bozo
bra	0.672	0.529	0.509	suxeitador
brace	0.610	0.385	0.364	tirante
bracelet	0.776	0.340	0.322	pulseira
braces	0.500	0.337	0.568	tirantes
brachial	0.388	0.363	0.464	braquial
bracket	0.490	0.350	0.682	soporte
brackets	0.573	0.281	0.435	corchetes
brackish	0.469	0.368	0.421	salobre
brad	0.490	0.385	0.402	brad
brag	0.347	0.545	0.578	presumir
braid	0.427	0.222	0.216	trenza
brain	0.667	0.441	0.823	cerebro
brainless	0.138	0.310	0.224	sen cerebro
brains	0.663	0.557	0.722	cerebros
brainstorm	0.794	0.784	0.636	chuvia de ideas
brainwash	0.198	0.647	0.481	lavado de cerebro
brainy	0.708	0.520	0.648	cerebro
brake	0.312	0.481	0.310	freo
bran	0.688	0.433	0.483	farelo
branch	0.538	0.206	0.250	rama
branching	0.520	0.422	0.472	ramificación
brand	0.562	0.284	0.547	marca
brandy	0.600	0.590	0.487	augardente
brash	0.360	0.814	0.552	temerario
brass	0.500	0.320	0.490	latón
brass knuckle	0.406	0.449	0.518	puño de latón
brassiere	0.510	0.469	0.336	suxeitador
brat	0.312	0.440	0.231	mocoso
bratwurst	0.510	0.490	0.464	salchicha
bravado	0.479	0.510	0.527	bravata
brave	0.837	0.750	0.917	valente
bravery	0.898	0.745	0.868	valentía
brawl	0.104	0.938	0.603	pelexa
brawn	0.438	0.402	0.544	musculoso
brazen	0.292	0.640	0.518	descarado
breach	0.177	0.745	0.423	violar
bread	0.660	0.314	0.342	pan
breadth	0.667	0.490	0.644	amplitude
break	0.610	0.265	0.370	romper
breakable	0.194	0.667	0.408	rompeble
breakaway	0.479	0.802	0.519	ruptura
breakdown	0.365	0.423	0.361	avaría
breaker	0.323	0.527	0.520	rompedor
breakers	0.469	0.588	0.439	rompedores
breakfast	0.885	0.330	0.429	almorzo
breaking and entering	0.418	0.729	0.500	rompendo e entrando
breakingnews	0.500	0.552	0.607	novas de última hora
breakneck	0.254	0.833	0.604	vertixinoso
breakthrough	0.680	0.525	0.718	avance
breakup	0.250	0.720	0.357	romper
breast	0.753	0.429	0.500	peito
breath	0.684	0.392	0.451	alento
breathe	0.833	0.373	0.518	respirar
breather	0.624	0.471	0.388	respiro
breathless	0.323	0.490	0.222	sen alento
breathtaking	0.936	0.792	0.921	impresionante
breech	0.500	0.637	0.422	recámara
breeches	0.365	0.457	0.333	calzóns
breed	0.490	0.441	0.578	raza
breeder	0.645	0.481	0.605	criador
breeding	0.667	0.481	0.610	cría
breeze	0.837	0.284	0.370	brisa
breezy	0.531	0.472	0.482	ventoso
brethren	0.917	0.380	0.641	irmáns
breve	0.535	0.365	0.191	breve
brevity	0.459	0.434	0.375	brevidade
brew	0.740	0.538	0.758	cervexa
brewery	0.710	0.622	0.510	cervexaría
brewing	0.740	0.593	0.609	elaboración de cervexa
briar	0.493	0.375	0.407	breixo
bribe	0.112	0.690	0.472	suborno
bribery	0.135	0.775	0.585	suborno
brick	0.217	0.418	0.368	ladrillo
bridal	0.823	0.655	0.596	nupcial
bride	0.840	0.708	0.579	noiva
bridegroom	0.809	0.736	0.527	noivo
bridesmaid	0.748	0.519	0.618	dama de honra
bridge	0.625	0.324	0.519	ponte
bridle	0.427	0.367	0.386	brida
brief	0.469	0.300	0.279	breve
briefcase	0.542	0.206	0.442	maletín
briefing	0.612	0.333	0.702	briefing
briefly	0.686	0.314	0.330	brevemente
brig	0.573	0.539	0.500	bergantín
brigade	0.604	0.710	0.828	brigada
bright	0.890	0.527	0.812	brillante
brighten	0.760	0.547	0.649	iluminar
brightens	0.771	0.611	0.613	ilumina
brighter	0.918	0.698	0.833	máis brillante
brightness	0.938	0.623	0.660	brillo
brilliance	0.990	0.673	0.830	brillo
brilliant	0.939	0.575	0.923	brillante
brim	0.469	0.333	0.330	bordo
brimming	0.656	0.690	0.758	rebosante
brimstone	0.357	0.520	0.440	xofre
brine	0.333	0.481	0.361	salmoira
bring	0.635	0.460	0.462	traer
brink	0.375	0.413	0.356	borde
brisk	0.719	0.745	0.742	rápido
brisket	0.552	0.378	0.222	peito
bristle	0.375	0.375	0.326	cerdas
brittle	0.276	0.490	0.272	fráxil
bro	0.794	0.349	0.684	irmán
broach	0.438	0.439	0.675	brochar
broad	0.762	0.365	0.637	amplo
broadcast	0.615	0.587	0.355	emisión
broadcasting	0.542	0.700	0.706	emisión
broaden	0.678	0.602	0.610	ampliar
broadside	0.459	0.316	0.462	costado
broadsword	0.469	0.573	0.615	espada ancha
brocade	0.500	0.327	0.464	brocado
broccoli	0.469	0.200	0.283	brócolis
brochure	0.552	0.226	0.391	folleto
broil	0.510	0.404	0.330	asar
broke	0.245	0.590	0.370	rompeu
broken	0.062	0.500	0.293	roto
brokenheart	0.115	0.577	0.343	corazón partido
brokenhearted	0.130	0.598	0.227	Co corazón roto
broker	0.582	0.462	0.600	corretor
brokerage	0.479	0.500	0.500	corretaxe
bromide	0.347	0.425	0.411	bromuro
bronco	0.500	0.510	0.473	bronco
bronze	0.622	0.333	0.526	bronce
brooch	0.531	0.260	0.380	broche
brood	0.633	0.519	0.434	cría
brooding	0.327	0.367	0.333	cavilando
brook	0.594	0.347	0.412	regato
broom	0.385	0.154	0.302	vasoira
broomstick	0.410	0.265	0.227	vasoira
broth	0.500	0.245	0.168	caldo
brothel	0.255	0.886	0.418	bordel
brother	0.823	0.361	0.546	irmán
brotherhood	0.990	0.471	0.760	Irmandade
brotherly	0.865	0.306	0.596	fraternal
brow	0.562	0.311	0.481	cella
brown	0.396	0.202	0.293	marrón
brownstone	0.559	0.423	0.439	pedra marrón
browse	0.635	0.750	0.592	navegar
brrr	0.373	0.540	0.282	brrr
bruise	0.133	0.640	0.474	hematoma
bruising	0.084	0.520	0.422	hematomas
brunch	0.406	0.363	0.343	brunch
brunette	0.802	0.528	0.529	morena
brunt	0.204	0.750	0.349	peso
brush	0.490	0.265	0.186	pincel
brutal	0.122	0.882	0.643	brutal
brutality	0.122	0.832	0.571	brutalidade
brute	0.115	0.547	0.379	bruto
brutish	0.270	0.837	0.588	bruto
bubble	0.774	0.213	0.364	burbulla
bubbling	0.500	0.438	0.384	borbullando
bubbly	0.698	0.608	0.462	burbulla
bubonic	0.280	0.530	0.394	bubónica
buck	0.677	0.577	0.720	dólar
buckaroo	0.448	0.469	0.479	buccaroo
bucket	0.408	0.167	0.336	cubo
buckle	0.416	0.373	0.361	fibela
buckled	0.427	0.358	0.439	abrochado
bucko	0.439	0.455	0.465	bucco
buckshot	0.255	0.740	0.322	cachorro
buckwheat	0.490	0.471	0.434	trigo sarraceno
bud	0.460	0.402	0.333	brote
buddha	0.690	0.198	0.604	buda
buddhism	0.510	0.115	0.673	budismo
budding	0.490	0.500	0.355	brotando
buddy	0.884	0.585	0.655	compañeiro
budge	0.719	0.755	0.543	ceder
budget	0.643	0.396	0.731	orzamento
buff	0.561	0.425	0.361	buff
buffalo	0.469	0.528	0.527	búfalo
buffer	0.520	0.474	0.350	tampón
buffering	0.479	0.468	0.381	buffering
buffet	0.656	0.546	0.519	buffet
buffoon	0.344	0.651	0.290	bufón
bug	0.286	0.500	0.246	erro
bugaboo	0.439	0.491	0.441	bugaboo
bugged	0.561	0.439	0.500	enganchado
bugger	0.312	0.627	0.474	bicho
buggy	0.500	0.509	0.327	buggy
bugle	0.479	0.588	0.391	corneta
bugler	0.542	0.540	0.393	corneta
build	0.771	0.546	0.806	construír
builder	0.660	0.642	0.701	construtor
building	0.705	0.288	0.673	edificio
buildings	0.582	0.380	0.552	edificios
buildup	0.490	0.509	0.623	construír
bulb	0.562	0.208	0.300	bulbo
bulbous	0.390	0.442	0.430	bulbosa
bulge	0.260	0.487	0.400	bulto
bulimic	0.092	0.570	0.373	bulímico
bulk	0.469	0.413	0.509	a granel
bulkhead	0.312	0.425	0.402	anteparo
bulky	0.427	0.591	0.750	voluminoso
bull	0.521	0.640	0.644	touro
bulldog	0.494	0.650	0.530	bulldog
bulldozer	0.459	0.549	0.643	excavadora
bullet	0.408	0.794	0.634	bala
bulletin	0.573	0.294	0.361	boletín
bulletproof	0.750	0.721	0.779	antibalas
bullfighter	0.448	0.794	0.664	toureiro
bullfrog	0.344	0.481	0.422	sapo touro
bullheaded	0.229	0.740	0.516	toro
bullhorn	0.510	0.653	0.736	megáfono
bullion	0.693	0.558	0.729	lingotes
bullock	0.281	0.402	0.375	touro
bullpen	0.480	0.549	0.500	bullpen
bullshit	0.042	0.676	0.183	merda
bully	0.257	0.755	0.564	matón
bulwark	0.551	0.552	0.675	baluarte
bum	0.281	0.451	0.155	vago
bumblebee	0.469	0.493	0.321	abejorro
bummed	0.296	0.430	0.227	destrozado
bummer	0.163	0.500	0.267	desagradable
bump	0.286	0.458	0.368	golpe
bumper	0.385	0.573	0.518	parachoques
bumpy	0.306	0.683	0.419	accidentado
bun	0.424	0.306	0.268	bollo
bunch	0.552	0.358	0.473	cacho
bundle	0.510	0.343	0.434	paquete
bungalow	0.562	0.352	0.406	bungalow
bungee	0.637	0.545	0.327	bungee
bunghole	0.286	0.426	0.396	buraco
bunion	0.276	0.340	0.290	juanete
bunk	0.438	0.332	0.339	litera
bunker	0.375	0.673	0.773	búnker
bunkhouse	0.470	0.414	0.407	camarote
bunny	0.740	0.325	0.194	Coello
bunt	0.417	0.422	0.349	toxo
buoy	0.562	0.280	0.284	boia
buoyancy	0.625	0.373	0.538	flotabilidade
buoyant	0.625	0.441	0.497	boiante
bur	0.385	0.353	0.314	bur
burden	0.367	0.583	0.697	carga
burdened	0.429	0.519	0.565	cargado
burdensome	0.229	0.696	0.419	gravoso
bureau	0.562	0.373	0.618	oficina
bureaucracy	0.380	0.578	0.740	burocracia
bureaucrat	0.208	0.519	0.598	burócrata
bureaucratic	0.280	0.630	0.573	burocrático
burger	0.688	0.568	0.398	hamburguesa
burglar	0.050	0.769	0.404	ladrón
burglary	0.146	0.918	0.543	roubo
burial	0.203	0.577	0.333	enterro
buried	0.133	0.530	0.370	enterrado
burke	0.466	0.441	0.451	burke
burlap	0.429	0.462	0.411	arpillera
burlesque	0.327	0.615	0.343	burlesco
burly	0.562	0.650	0.750	fornido
burn	0.219	0.783	0.509	queimar
burned	0.163	0.603	0.347	queimado
burner	0.296	0.816	0.446	queimador
burning	0.229	0.760	0.412	ardendo
burnished	0.520	0.580	0.464	bruñido
burnout	0.219	0.445	0.240	queimado
burnt	0.082	0.713	0.356	queimado
burp	0.219	0.594	0.432	eructar
burr	0.390	0.426	0.308	rebaba
burrito	0.688	0.294	0.166	burrito
burro	0.400	0.356	0.318	burro
burrow	0.438	0.280	0.355	madriguera
bursary	0.729	0.462	0.571	bolsa
burst	0.156	0.894	0.845	rebentar
bury	0.077	0.571	0.346	enterrar
bus	0.407	0.411	0.400	autobús
busboy	0.510	0.453	0.441	camareiro
bush	0.413	0.220	0.315	arbusto
bushel	0.417	0.387	0.368	bushel
bushy	0.562	0.321	0.427	arbustiva
business	0.688	0.569	0.755	negocio
business man	0.530	0.598	0.933	home de negocios
businessman	0.653	0.510	0.802	empresario
businesswoman	0.719	0.500	0.764	muller de negocios
busload	0.561	0.481	0.492	carga de autobús
buss	0.469	0.500	0.391	autobús
bust	0.520	0.500	0.420	busto
busted	0.204	0.676	0.345	detido
buster	0.469	0.491	0.483	destrozador
bustle	0.347	0.814	0.445	bulicio
bustling	0.490	0.850	0.528	bulliciosa
busy	0.402	0.500	0.474	ocupado
busybody	0.255	0.634	0.472	ocupado
butane	0.442	0.483	0.380	butano
butcher	0.500	0.575	0.608	carniceiro
butler	0.469	0.225	0.438	mordomo
butt	0.347	0.725	0.336	culata
butter	0.650	0.292	0.202	manteiga
buttercup	0.562	0.482	0.422	ranúnculo
butterfly	0.892	0.327	0.314	bolboreta
buttermilk	0.633	0.311	0.304	manteiga
butterscotch	0.708	0.510	0.356	caramelo de manteiga
buttery	0.625	0.318	0.303	manteiga
buttock	0.429	0.600	0.288	nádega
buttocks	0.458	0.677	0.365	nádegas
button	0.520	0.220	0.343	botón
buttress	0.438	0.684	0.721	contraforte
buxom	0.562	0.719	0.547	buxom
buy	0.771	0.769	0.612	mercar
buyer	0.613	0.519	0.649	comprador
buying	0.665	0.784	0.589	mercando
buzz	0.333	0.686	0.375	zumbido
buzzard	0.350	0.500	0.225	ratonero
buzzed	0.583	0.549	0.448	zumbido
buzzer	0.549	0.716	0.480	zumbador
buzzing	0.430	0.588	0.370	zumbido
bye	0.375	0.398	0.321	adeus
bygone	0.229	0.310	0.315	pasado
bylaw	0.469	0.373	0.725	estatuto
byline	0.469	0.450	0.435	firma
bypass	0.429	0.418	0.353	bypass
bystander	0.480	0.462	0.491	espectador
byte	0.490	0.380	0.407	byte
byzantine	0.546	0.443	0.492	bizantino
cab	0.438	0.490	0.421	cabina
cabal	0.500	0.406	0.573	cabal
cabana	0.698	0.296	0.407	cabana
cabaret	0.677	0.656	0.482	cabaré
cabbage	0.398	0.225	0.264	repolo
cabbie	0.521	0.417	0.429	taxista
cabernet	0.543	0.420	0.480	cabernet
