English Word	Valence	Arousal	Dominance	Norwegian Word
consecutive	0.663	0.418	0.643	påfølgende
consensual	0.663	0.417	0.655	med samtykke
consensus	0.627	0.358	0.625	konsensus
consent	0.750	0.500	0.620	samtykke
consenting	0.727	0.406	0.693	samtykker
consequence	0.240	0.721	0.593	konsekvens
consequent	0.663	0.471	0.625	konsekvent
conservation	0.832	0.401	0.606	bevaring
conservatism	0.406	0.369	0.633	konservatisme
conservative	0.615	0.316	0.788	konservative
conservatory	0.635	0.240	0.729	vinterhage
conserve	0.690	0.347	0.573	spare
consider	0.677	0.368	0.579	ta i betraktning
considerable	0.653	0.314	0.683	betraktelig
considerate	0.781	0.380	0.633	hensynsfull
consideration	0.589	0.380	0.687	betraktning
consignee	0.635	0.385	0.602	mottaker
consignment	0.490	0.440	0.500	sending
consist	0.823	0.386	0.580	bestå
consistency	0.714	0.500	0.887	konsistens
consistent	0.786	0.431	0.726	konsistent
consolation	0.408	0.250	0.304	trøst
console	0.625	0.398	0.415	konsoll
consoled	0.700	0.343	0.452	trøstet
consolidate	0.880	0.440	0.870	konsolidere
consolidated	0.700	0.366	0.784	konsolidert
consolidation	0.604	0.445	0.776	konsolidering
consonant	0.500	0.347	0.417	konsonant
consort	0.632	0.509	0.630	konsort
conspicuous	0.479	0.520	0.596	iøynefallende
conspiracy	0.125	0.787	0.652	sammensvergelse
conspirator	0.271	0.786	0.707	konspirator
conspire	0.206	0.740	0.520	konspirere
constable	0.573	0.667	0.764	konstabel
constancy	0.786	0.443	0.763	bestandighet
constant	0.740	0.296	0.686	konstant
constantly	0.663	0.561	0.700	stadig
constellation	0.719	0.533	0.775	konstellasjon
consternation	0.167	0.680	0.469	bestyrtelse
constipation	0.079	0.612	0.231	forstoppelse
constituency	0.500	0.480	0.696	valgkrets
constituent	0.573	0.500	0.827	bestanddel
constituents	0.573	0.414	0.833	bestanddeler
constitute	0.812	0.349	0.906	utgjøre
constitution	0.590	0.380	0.889	grunnlov
constitutional	0.633	0.418	0.827	konstitusjonelle
constitutionality	0.612	0.439	0.853	konstitusjonalitet
constrain	0.261	0.500	0.500	begrense, forhindre
constrained	0.135	0.537	0.357	begrenset
constraint	0.323	0.550	0.481	begrensning
construct	0.750	0.648	0.792	konstruere
construction	0.848	0.612	0.759	konstruksjon
constructive	0.860	0.570	0.812	konstruktive
construe	0.602	0.519	0.553	konstruere
consul	0.573	0.354	0.688	konsul
consulate	0.561	0.453	0.694	konsulat
consult	0.755	0.370	0.441	rådføre
consultant	0.770	0.344	0.808	konsulent
consultation	0.660	0.463	0.625	konsultasjon
consume	0.427	0.620	0.509	forbruke
consumer	0.507	0.551	0.677	forbruker
consuming	0.573	0.541	0.536	forbruker
consummate	0.551	0.540	0.558	fullbyrde
consummation	0.583	0.676	0.661	fullbyrdelse
consumption	0.390	0.531	0.538	forbruk
contact	0.719	0.424	0.526	ta kontakt med
contagion	0.208	0.630	0.535	smitte
contagious	0.184	0.725	0.400	smittsom
contain	0.542	0.490	0.658	inneholde
container	0.551	0.396	0.561	container
containment	0.411	0.491	0.618	Begrensning
contaminate	0.140	0.611	0.426	forurense
contaminated	0.040	0.500	0.368	forurenset
contamination	0.125	0.610	0.375	forurensning
contemplate	0.740	0.347	0.642	betrakte
contemplation	0.552	0.324	0.627	kontemplasjon
contemplative	0.729	0.308	0.739	Tankefull
contemporaneous	0.640	0.373	0.591	samtidige
contemporary	0.720	0.365	0.569	moderne
contempt	0.206	0.635	0.396	forakt
contemptible	0.146	0.657	0.471	foraktelig
contemptuous	0.204	0.500	0.375	foraktelig
contend	0.510	0.657	0.731	kjempe
contender	0.480	0.790	0.681	utfordrer
contending	0.490	0.698	0.716	stridende
content	0.764	0.296	0.559	innhold
contented	0.857	0.612	0.746	fornøyd
contention	0.375	0.510	0.738	påstand
contentious	0.422	0.573	0.637	omstridt
contentment	0.875	0.610	0.782	tilfredshet
contents	0.656	0.375	0.550	innhold
contest	0.667	0.698	0.717	konkurranse
contestant	0.760	0.530	0.602	deltaker
context	0.531	0.300	0.553	kontekst
contiguous	0.375	0.450	0.500	sammenhengende
continence	0.450	0.396	0.469	kontinens
continent	0.551	0.373	0.833	kontinent
continental	0.486	0.350	0.755	kontinentale
contingency	0.396	0.500	0.670	beredskap
contingent	0.470	0.531	0.659	kontingenten
continual	0.500	0.423	0.685	kontinuerlig
continually	0.646	0.438	0.698	kontinuerlig
continuance	0.729	0.510	0.652	fortsettelse
continuation	0.615	0.470	0.566	fortsettelse
continue	0.630	0.427	0.612	Fortsette
continued	0.635	0.440	0.500	fortsatte
continuing	0.667	0.500	0.520	fortsetter
continuity	0.781	0.439	0.684	kontinuitet
continuous	0.625	0.509	0.580	kontinuerlige
continuously	0.719	0.417	0.702	kontinuerlig
continuum	0.677	0.390	0.491	kontinuum
contour	0.589	0.265	0.414	kontur
contraband	0.177	0.875	0.670	smuglergods
contraception	0.296	0.518	0.525	prevensjon
contract	0.594	0.412	0.636	kontrakt
contracted	0.344	0.557	0.449	inngått kontrakt
contractile	0.480	0.586	0.569	kontraktile
contracting	0.594	0.490	0.769	kontrahering
contraction	0.292	0.755	0.603	kontraksjon
contractor	0.592	0.479	0.727	entreprenør
contradict	0.160	0.598	0.482	motsi
contradiction	0.250	0.660	0.377	motsigelse
contradictory	0.365	0.651	0.421	motstridende
contraption	0.448	0.590	0.491	innretning
contrary	0.327	0.449	0.338	motsetning
contrast	0.480	0.406	0.520	kontrast
contrasted	0.521	0.538	0.491	kontrast
contravene	0.357	0.618	0.472	stride mot
contravention	0.344	0.627	0.593	overtredelse
contribute	0.806	0.350	0.795	bidra
contribution	0.854	0.452	0.760	bidrag
contributor	0.844	0.510	0.760	bidragsyter
contrite	0.347	0.363	0.473	angrende
contrition	0.347	0.583	0.463	anger
contrived	0.408	0.530	0.458	konstruert
control	0.729	0.352	0.808	styre
controller	0.469	0.712	0.868	kontrolleren
controlling	0.490	0.441	0.885	kontrollerende
controversial	0.271	0.858	0.538	kontroversielt
controversy	0.250	0.819	0.600	Kontrovers
contusion	0.167	0.565	0.509	kontusjon
conundrum	0.354	0.524	0.408	gåte
convalescent	0.458	0.480	0.269	rekonvalesent
convection	0.521	0.494	0.526	konveksjon
convene	0.583	0.676	0.636	innkalle
convenience	0.781	0.448	0.613	bekvemmelighet
conveniences	0.802	0.412	0.693	bekvemmeligheter
convenient	0.846	0.491	0.574	beleilig
convent	0.480	0.217	0.594	kloster
convention	0.622	0.622	0.704	konvensjon
conventional	0.594	0.292	0.634	konvensjonell
converge	0.635	0.471	0.539	konvergere
convergence	0.551	0.491	0.625	konvergens
convergent	0.781	0.490	0.696	konvergent
conversant	0.724	0.360	0.542	fortrolig
conversation	0.750	0.510	0.609	samtale
conversational	0.719	0.431	0.596	muntlig
conversationalist	0.719	0.467	0.667	samtalepartner
converse	0.594	0.406	0.598	samtale
conversing	0.755	0.409	0.442	samtaler
conversion	0.480	0.605	0.736	omdannelse
convert	0.551	0.538	0.704	konvertere
converted	0.663	0.418	0.686	konvertert
convertible	0.542	0.529	0.717	cabriolet
convex	0.438	0.427	0.445	konveks
convexity	0.449	0.354	0.484	konveksitet
convey	0.719	0.633	0.708	Formidle
conveyance	0.615	0.520	0.455	formidling
conveyancing	0.375	0.479	0.663	formidling
convict	0.177	0.840	0.477	dømme
conviction	0.615	0.704	0.826	dom
convince	0.708	0.539	0.763	overbevise
convinced	0.750	0.500	0.630	overbevist
convincing	0.760	0.527	0.900	overbevisende
convocation	0.538	0.611	0.663	innkalling
convoluted	0.323	0.614	0.433	kronglete
convolution	0.417	0.559	0.527	konvolusjon
convoy	0.500	0.671	0.639	konvoi
coo	0.490	0.439	0.500	coo
cook	0.847	0.500	0.412	kokk
cookbook	0.602	0.346	0.398	kokebok
cooker	0.592	0.373	0.407	komfyr
cookery	0.633	0.368	0.345	matlaging
cookie	0.792	0.306	0.250	kjeks
cookies	0.823	0.451	0.316	informasjonskapsler
cooking	0.694	0.510	0.434	matlaging
cookout	0.680	0.406	0.482	cookout
cool	0.885	0.540	0.781	kul
coolant	0.720	0.412	0.456	kjølevæske
cooler	0.664	0.375	0.460	kjøligere
cooling	0.469	0.324	0.392	kjøling
coolness	0.490	0.307	0.548	kjølighet
coon	0.490	0.460	0.400	coon
coop	0.612	0.445	0.650	coop
cooperate	0.898	0.451	0.582	samarbeide
cooperating	0.760	0.390	0.693	samarbeider
cooperation	0.847	0.473	0.686	samarbeid
cooperative	0.816	0.461	0.670	kooperativ
coordinate	0.698	0.429	0.694	koordinere
coordination	0.677	0.454	0.789	koordinasjon
coordinator	0.750	0.510	0.850	koordinator
cop	0.327	0.770	0.836	politimann
copacetic	0.510	0.471	0.453	kopasetisk
cope	0.592	0.647	0.709	håndtere
copier	0.459	0.345	0.390	kopimaskin
copilot	0.640	0.538	0.573	copilot
coping	0.562	0.630	0.613	mestring
copious	0.427	0.462	0.527	rikelig
copper	0.580	0.260	0.500	kobber
copter	0.571	0.704	0.569	copter
copy	0.460	0.240	0.263	kopiere
copycat	0.449	0.580	0.443	copycat
copying	0.448	0.315	0.404	kopiering
copyright	0.458	0.402	0.663	opphavsrett
coral	0.802	0.231	0.425	korall
coral snake	0.276	0.712	0.607	korallslange
cord	0.388	0.378	0.358	ledning
cordial	0.823	0.312	0.482	hjertelig
cordless	0.667	0.441	0.528	trådløs
cordon	0.469	0.317	0.380	sperre
corduroy	0.570	0.324	0.357	kordfløyel
core	0.721	0.378	0.540	kjerne
cork	0.347	0.250	0.281	kork
corkscrew	0.427	0.443	0.445	korketrekker
corn	0.594	0.196	0.292	korn
cornball	0.479	0.378	0.325	maisbolle
cornbread	0.643	0.304	0.302	maisbrød
cornea	0.521	0.346	0.443	hornhinnen
corned	0.459	0.441	0.425	corned
corner	0.400	0.296	0.366	hjørne
cornerstone	0.550	0.388	0.596	hjørnestein
cornet	0.507	0.520	0.415	kornett
cornfield	0.719	0.310	0.349	kornåker
cornflakes	0.729	0.346	0.355	cornflakes
cornice	0.458	0.441	0.295	gesims
cornstarch	0.643	0.299	0.337	maisstivelse
corny	0.448	0.370	0.221	rar
corollary	0.458	0.469	0.366	følge
corona	0.818	0.439	0.745	korona
coronary	0.567	0.613	0.509	koronar
coronation	0.792	0.592	0.836	kroning
coroner	0.323	0.558	0.526	rettslege
corporal	0.582	0.490	0.596	korporal
corporate	0.592	0.454	0.745	bedriftens
corporation	0.429	0.332	0.873	selskap
corporeal	0.520	0.350	0.461	kroppslig
corps	0.551	0.453	0.483	korps
corpse	0.094	0.657	0.232	lik
corpsman	0.439	0.469	0.651	korpsmann
corpus	0.543	0.340	0.490	korpus
corral	0.606	0.662	0.422	innhegning
correct	0.857	0.306	0.723	riktig
correction	0.448	0.485	0.558	korreksjon
correctional	0.292	0.713	0.602	kriminalomsorgen
corrective	0.448	0.528	0.613	korrigerende
correctness	0.796	0.450	0.649	riktighet
correlation	0.596	0.462	0.571	sammenheng
correlative	0.510	0.402	0.571	korrelativ
correspond	0.710	0.452	0.545	tilsvare
correspondence	0.663	0.423	0.491	korrespondanse
correspondent	0.573	0.565	0.712	korrespondent
corresponding	0.740	0.423	0.618	tilsvarende
corridor	0.604	0.589	0.592	korridor
corroborate	0.671	0.471	0.616	underbygge
corroboration	0.625	0.431	0.733	bekreftelse
corrosion	0.156	0.610	0.348	korrosjon
corrosive	0.140	0.618	0.570	etsende
corrupt	0.020	0.806	0.500	korrupt
corrupting	0.062	0.804	0.380	korrumperer
corruption	0.052	0.830	0.549	korrupsjon
corsage	0.510	0.294	0.397	corsage
corse	0.448	0.451	0.382	corse
corset	0.490	0.520	0.381	korsett
cortex	0.594	0.439	0.529	cortex
cortical	0.380	0.423	0.536	kortikal
cortisone	0.427	0.395	0.456	kortison
corvette	0.551	0.520	0.598	korvett
cosmetic	0.625	0.304	0.308	kosmetikk
cosmetics	0.765	0.464	0.472	kosmetikk
cosmic	0.663	0.538	0.692	kosmisk
cosmology	0.651	0.438	0.637	kosmologi
cosmopolitan	0.823	0.510	0.760	kosmopolitisk
cosmos	0.860	0.478	0.664	kosmos
cost	0.365	0.420	0.439	koste
costly	0.316	0.650	0.642	kostbar
costume	0.548	0.510	0.374	drakt
cosy	0.847	0.255	0.518	koselig
cot	0.625	0.230	0.278	barneseng
cote	0.439	0.344	0.324	cote
cottage	0.600	0.279	0.361	hytte
cotton	0.639	0.071	0.240	bomull
couch	0.594	0.082	0.198	sofa
cougar	0.438	0.588	0.538	Cougar
cough	0.255	0.627	0.241	hoste
council	0.875	0.279	0.635	råd
councilman	0.531	0.367	0.793	rådmann
counsel	0.594	0.519	0.730	råd
counseling	0.667	0.480	0.704	rådgivning
counsellor	0.823	0.327	0.740	rådgiver
counselor	0.873	0.365	0.706	rådgiver
count	0.594	0.389	0.492	telle
countdown	0.438	0.692	0.490	nedtelling
countenance	0.635	0.440	0.690	ansikt
counter	0.439	0.478	0.750	disk
counteract	0.378	0.542	0.688	motvirke
counterattack	0.281	0.951	0.764	motangrep
counterbalance	0.520	0.480	0.627	motvekt
counterclaim	0.398	0.760	0.651	motkrav
counterfeit	0.094	0.694	0.451	forfalske
counterpart	0.448	0.608	0.577	motpart
counterpoint	0.438	0.509	0.538	kontrapunkt
countess	0.562	0.440	0.670	grevinne
countless	0.520	0.566	0.534	utallige
country	0.698	0.394	0.693	land
countryman	0.673	0.441	0.789	landsmann
countrymusic	0.795	0.451	0.438	countrymusikk
countryside	0.732	0.288	0.327	landsbygda
counts	0.343	0.373	0.500	teller
county	0.479	0.368	0.545	fylke
coup	0.275	0.815	0.607	kupp
coupe	0.479	0.460	0.482	kupé
couple	0.806	0.605	0.607	par
coupled	0.612	0.286	0.650	koblet
coupling	0.594	0.479	0.555	kobling
coupon	0.704	0.300	0.421	kupong
courage	0.830	0.728	0.849	mot
courageous	0.918	0.587	0.879	modig
courier	0.551	0.383	0.441	kurer
courses	0.735	0.412	0.534	kurs
coursing	0.542	0.472	0.546	kursing
court	0.479	0.769	0.827	domstol
courteous	0.937	0.396	0.529	høflig
courtesy	0.927	0.287	0.431	høflighet
courthouse	0.571	0.503	0.818	tinghus
courtroom	0.385	0.670	0.887	rettssal
courts	0.367	0.710	0.816	domstoler
courtship	0.667	0.490	0.654	frieri
courtside	0.592	0.391	0.434	rettssiden
courtyard	0.503	0.365	0.355	gårdsplassen
cousin	0.675	0.394	0.427	fetter
cousins	0.760	0.409	0.464	søskenbarn
cove	0.500	0.304	0.370	vik
coven	0.458	0.578	0.591	coven
covenant	0.594	0.462	0.667	pakt
cover	0.365	0.240	0.471	dekke
coverage	0.767	0.413	0.629	dekning
covered	0.562	0.340	0.644	dekket
covering	0.615	0.382	0.583	dekker
covert	0.500	0.570	0.508	skjult
covet	0.302	0.779	0.524	begjære
coveted	0.661	0.730	0.625	ettertraktet
cow	0.449	0.230	0.300	ku
coward	0.102	0.490	0.149	feiging
cowardice	0.133	0.621	0.167	feighet
cowardly	0.102	0.385	0.127	feigt
cowboy	0.594	0.625	0.695	cowboy
cowgirl	0.541	0.566	0.554	cowgirl
cowhand	0.438	0.480	0.596	cowhand
cowhide	0.458	0.324	0.333	kuskinn
cowl	0.427	0.450	0.232	deksel
coworker	0.667	0.490	0.625	kollega
coy	0.347	0.330	0.213	coy
coyote	0.459	0.471	0.387	prærieulv
cozy	0.910	0.356	0.545	koselig
crab	0.421	0.396	0.330	krabbe
crabby	0.198	0.812	0.370	crabby
crack	0.302	0.625	0.400	sprekk
cracked	0.224	0.520	0.228	sprukket
cracker	0.604	0.343	0.346	kjeks
crackerjack	0.567	0.509	0.426	crackerjack
cracking	0.327	0.557	0.286	sprekker
crackle	0.327	0.643	0.481	knitre
crackpot	0.260	0.602	0.245	crackpot
cradle	0.776	0.194	0.333	vugge
craft	0.760	0.321	0.539	håndverk
crafts	0.667	0.380	0.391	håndverk
craftsman	0.719	0.310	0.583	håndverker
craftsmanship	0.823	0.373	0.571	håndverk
crafty	0.589	0.679	0.783	listig
craig	0.448	0.449	0.490	craig
cram	0.354	0.730	0.598	stappe
crammed	0.406	0.740	0.466	stappfull
cramp	0.194	0.796	0.340	krampe
cramped	0.240	0.567	0.360	trangt
cranberry	0.793	0.330	0.363	tranebær
cranberry juice	0.622	0.321	0.281	tranebærjuice
crane	0.396	0.417	0.589	kran
cranial	0.354	0.510	0.583	kranial
cranium	0.439	0.491	0.725	kranium
crank	0.448	0.275	0.417	sveiv
cranky	0.194	0.776	0.396	gretten
cranny	0.194	0.471	0.250	krok
crap	0.083	0.644	0.167	dritt
crappy	0.039	0.582	0.208	kjipt
craps	0.375	0.420	0.273	craps
crash	0.194	0.906	0.355	brak
crass	0.223	0.490	0.466	grovt
crate	0.427	0.173	0.274	kasse
crater	0.450	0.647	0.529	krater
crave	0.625	0.510	0.731	higer etter
craving	0.510	0.755	0.636	lyst
crawfish	0.510	0.427	0.342	kreps
crawl	0.479	0.519	0.467	krype
crayon	0.604	0.260	0.185	fargestift
crayons	0.684	0.366	0.405	fargestifter
craze	0.255	0.657	0.435	mani
crazed	0.153	0.877	0.417	gal
craziness	0.238	0.908	0.255	galskap
crazy	0.156	0.843	0.321	gal
creak	0.344	0.670	0.411	knirke
creaking	0.302	0.743	0.415	knirkende
cream	0.688	0.259	0.220	krem
creamed	0.723	0.273	0.288	kremet
creamer	0.594	0.192	0.269	creamer
creamy	0.823	0.337	0.345	kremete
crease	0.440	0.286	0.300	brette
create	0.786	0.588	0.789	skape
creation	0.927	0.575	0.868	opprettelse
creative	0.917	0.518	0.788	kreativ
creativity	0.938	0.684	0.815	kreativitet
creator	0.865	0.592	0.856	skaperen
creature	0.669	0.625	0.620	skapning
credence	0.760	0.460	0.737	troverdighet
credential	0.735	0.337	0.597	legitimasjon
credentials	0.708	0.373	0.675	legitimasjon
credibility	0.875	0.427	0.809	troverdighet
credible	0.917	0.441	0.750	troverdig
credit	0.673	0.549	0.648	kreditt
credit card	0.670	0.550	0.640	kredittkort
creditable	0.802	0.510	0.742	kredittverdig
credited	0.781	0.390	0.691	kreditert
crediting	0.673	0.550	0.741	kreditering
creditor	0.479	0.594	0.689	kreditor
creed	0.573	0.245	0.544	trosbekjennelse
creek	0.552	0.392	0.330	lita elv, bekk
creep	0.354	0.647	0.361	krype
creeper	0.429	0.558	0.366	slyngplante
creeping	0.292	0.613	0.282	krypende
creepy	0.125	0.861	0.373	skummel
cremation	0.084	0.620	0.420	kremasjon
creole	0.667	0.357	0.523	kreolsk
crepe	0.562	0.224	0.349	crepe
crescendo	0.760	0.575	0.594	crescendo
crescent	0.698	0.382	0.407	halvmåne
crest	0.458	0.333	0.333	kam
crestfallen	0.235	0.346	0.175	crestfallen
cretin	0.265	0.583	0.312	kretin
cretins	0.094	0.741	0.328	kretiner
crevice	0.361	0.471	0.275	sprekk
crew	0.604	0.598	0.735	mannskap
crewman	0.602	0.580	0.548	mannskap
crib	0.653	0.240	0.407	krybbe
cricket	0.423	0.539	0.370	siriss
cried	0.167	0.612	0.254	gråt
crime	0.071	0.943	0.630	forbrytelse
criminal	0.021	0.830	0.529	forbryter
criminality	0.122	0.863	0.580	kriminalitet
crimp	0.260	0.557	0.396	krympe
crimson	0.667	0.385	0.370	Høyrød
cringe	0.245	0.840	0.377	kleint
cripple	0.094	0.392	0.161	krøpling
crippled	0.035	0.358	0.236	forkrøplet
crippling	0.156	0.598	0.391	krøplende
crisis	0.208	0.811	0.431	krise
crisp	0.776	0.692	0.508	sprø
crispy	0.656	0.550	0.509	sprø
criterion	0.396	0.410	0.736	kriterium
critic	0.264	0.604	0.686	kritisk
critical	0.312	0.802	0.545	kritisk
criticise	0.073	0.700	0.452	kritisere
criticism	0.115	0.563	0.505	kritikk
criticize	0.143	0.708	0.473	kritisere
criticized	0.240	0.600	0.311	kritisert
critique	0.302	0.760	0.537	kritikk
critter	0.542	0.539	0.482	critter
croak	0.337	0.346	0.298	kvekke
croc	0.327	0.452	0.451	krok
crock	0.385	0.412	0.421	crock
crockery	0.552	0.216	0.327	servise
crocodile	0.344	0.708	0.610	krokodille
croft	0.531	0.429	0.421	torp
croissant	0.745	0.330	0.430	croissant
crook	0.171	0.765	0.550	kjeltring
crooked	0.146	0.594	0.305	krokete
crop	0.615	0.260	0.500	avling
croquet	0.551	0.519	0.407	krokket
cross	0.448	0.321	0.569	kryss
cross country	0.531	0.441	0.529	langrenn
crossbow	0.344	0.598	0.560	armbrøst
crossed	0.431	0.490	0.508	krysset
crossfire	0.316	0.896	0.722	kryssild
crossing	0.549	0.349	0.451	kryssing
crossover	0.559	0.550	0.500	crossover
crosswalk	0.557	0.441	0.380	fotgjengerovergang
crossword	0.611	0.423	0.455	kryssord
crotch	0.521	0.637	0.447	skrittet
crouch	0.281	0.606	0.312	krøke
crouched	0.333	0.363	0.279	huket
crouching	0.261	0.429	0.345	huking
croupier	0.531	0.519	0.404	croupier
crow	0.224	0.439	0.363	kråke
crowbar	0.406	0.531	0.386	brekkjern
crowd	0.350	0.827	0.731	publikum
crowded	0.694	0.286	0.585	overfylt
crowds	0.469	0.723	0.806	folkemengder
crown	0.708	0.572	0.737	krone
crowning	0.773	0.594	0.831	kroning
crucial	0.541	0.657	0.777	avgjørende
cruciate	0.429	0.435	0.585	korsfeste
crucifix	0.469	0.480	0.510	krusifiks
crucifixion	0.135	0.857	0.541	korsfestelse
crucify	0.146	0.878	0.573	korsfeste
crud	0.312	0.330	0.444	crud
crude	0.198	0.402	0.357	grov
cruel	0.122	0.866	0.391	grusom
cruelly	0.146	0.790	0.471	grusomt
cruelty	0.092	0.836	0.536	grusomhet
cruise	0.740	0.442	0.683	cruise
cruise ship	0.878	0.650	0.500	cruise skip
cruiser	0.737	0.490	0.608	cruiser
cruising	0.886	0.580	0.560	cruising
crumb	0.417	0.255	0.216	smule
crumble	0.333	0.480	0.423	smuldre
crumbling	0.167	0.696	0.308	smuldrer opp
crummy	0.125	0.531	0.224	grusomt
crunch	0.292	0.630	0.406	knase
crunchy	0.625	0.560	0.539	knasende
crusade	0.592	0.720	0.709	korstog
crusader	0.439	0.588	0.548	korsfarer
crush	0.271	0.676	0.582	knuse
crushed	0.167	0.647	0.300	knust
crusher	0.271	0.709	0.598	knuser
crushing	0.219	0.755	0.411	knusende
crust	0.542	0.337	0.456	skorpe
crusty	0.625	0.531	0.473	sprø
crutch	0.302	0.294	0.302	krykke
crux	0.469	0.558	0.519	kjerne
cry	0.133	0.627	0.255	gråte
crybaby	0.375	0.702	0.311	gråtebaby
crying	0.153	0.704	0.208	gråter
crypt	0.156	0.431	0.386	krypt
cryptic	0.296	0.516	0.474	kryptisk
cryptography	0.490	0.415	0.650	kryptografi
crystal	0.618	0.270	0.508	krystall
crystalline	0.765	0.235	0.534	krystallinsk
crystallization	0.600	0.449	0.565	krystallisering
cub	0.646	0.382	0.284	unge
cubby	0.354	0.385	0.360	cubby
cube	0.469	0.226	0.274	kube
cubic	0.458	0.306	0.407	kubikk
cubicle	0.479	0.343	0.417	avlukke
cuckold	0.210	0.573	0.230	hanekold
cuckoo	0.420	0.459	0.284	gjøk
cucumber	0.490	0.235	0.237	agurk
cuddle	0.885	0.559	0.475	kose
cuddled	0.906	0.547	0.567	koset
cuddles	0.847	0.382	0.500	koser
cuddling	0.917	0.562	0.433	kosing
cue	0.521	0.433	0.484	signal
cuff	0.469	0.453	0.387	mansjett
cuisine	0.714	0.365	0.390	mat
culinary	0.654	0.443	0.519	kulinarisk
cull	0.365	0.702	0.464	utslakting
culminate	0.667	0.550	0.602	kulminere
culmination	0.656	0.586	0.695	kulminasjon
culpability	0.112	0.745	0.368	skyld
culpable	0.140	0.700	0.319	skyldig
culprit	0.062	0.676	0.333	skyldige
cult	0.448	0.535	0.648	kult
cultivate	0.708	0.410	0.598	dyrke
cultivated	0.837	0.343	0.564	dyrket
cultivation	0.625	0.324	0.462	dyrking
cultural	0.802	0.390	0.623	kulturell
culture	0.753	0.304	0.675	kultur
cultured	0.635	0.429	0.625	kultiverte
culvert	0.337	0.324	0.343	kulvert
cumbersome	0.259	0.623	0.292	tungvint
cumulus	0.570	0.433	0.432	cumulus
cunning	0.604	0.685	0.683	lur
cunt	0.135	0.673	0.377	fitte
cup	0.615	0.167	0.231	kopp
cupboard	0.553	0.200	0.304	skap
cupcake	0.656	0.333	0.344	cupcake
cupping	0.490	0.610	0.402	kopping
cur	0.440	0.519	0.460	cur
curable	0.823	0.292	0.574	kureres
curate	0.726	0.418	0.526	kuratere
curative	0.667	0.318	0.613	helbredende
curator	0.688	0.389	0.688	kurator
curb	0.472	0.371	0.402	fortauskant
curd	0.542	0.442	0.278	ostemasse
cure	0.719	0.377	0.623	kurere
curfew	0.219	0.618	0.623	portforbud
curiosity	0.750	0.755	0.463	nysgjerrighet
curious	0.635	0.600	0.483	nysgjerrig
curl	0.385	0.452	0.351	krølle
curling	0.583	0.592	0.400	Curling
currency	0.583	0.418	0.592	valuta
current	0.625	0.312	0.612	strøm
curriculum	0.708	0.306	0.620	læreplan
curry	0.633	0.345	0.302	karri
curse	0.033	0.720	0.375	forbannelse
cursed	0.083	0.783	0.393	forbannet
cursing	0.112	0.860	0.446	banning
cursory	0.423	0.451	0.431	overfladisk
curt	0.245	0.610	0.452	kortfattet
curtail	0.306	0.439	0.497	innskrenke
curtailment	0.230	0.578	0.431	innskrenkning
curtain	0.698	0.278	0.304	gardin
curtains	0.615	0.123	0.342	gardiner
curtsy	0.635	0.412	0.598	kortsiktig
curvature	0.417	0.367	0.447	krumning
curve	0.480	0.375	0.307	kurve
curved	0.542	0.407	0.337	buet
curvilinear	0.480	0.575	0.411	krumlinjet
cushion	0.653	0.221	0.292	pute
cushy	0.823	0.283	0.395	koselig
cusp	0.667	0.710	0.700	cusp
cuss	0.354	0.538	0.443	cuss
cussed	0.156	0.625	0.454	forbannet
custard	0.618	0.260	0.293	vaniljesaus
custodial	0.418	0.462	0.718	forvaring
custodian	0.594	0.625	0.528	formynder
custody	0.494	0.472	0.675	varetekt
custom	0.552	0.382	0.688	tilpasset
customary	0.700	0.253	0.561	vanlig
customer	0.562	0.430	0.673	kunde
customized	0.625	0.504	0.590	tilpasset
cut	0.490	0.490	0.393	skjære
cutaneous	0.365	0.370	0.328	kutan
cute	0.920	0.528	0.579	søt
cuticle	0.340	0.320	0.377	kutikula
cutie	0.638	0.528	0.464	søtnos
cutlass	0.173	0.648	0.528	cutlass
cutlery	0.552	0.300	0.345	bestikk
cutoff	0.432	0.510	0.518	avskjæring
cutter	0.427	0.731	0.583	kutter
cutters	0.197	0.653	0.491	kuttere
cutthroat	0.110	0.823	0.663	skjærende
cutting	0.448	0.375	0.536	kutting
cutting board	0.337	0.540	0.342	skjærefjøl
cuttings	0.479	0.392	0.433	stiklinger
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	cyanid
cyberspace	0.677	0.594	0.611	cyberspace
cycle	0.635	0.400	0.533	syklus
cyclical	0.380	0.450	0.554	syklisk
cyclist	0.684	0.582	0.576	syklist
cyclone	0.416	0.796	0.673	syklon
cylinder	0.459	0.324	0.447	sylinder
cylindrical	0.458	0.294	0.414	sylindrisk
cymbal	0.542	0.363	0.362	cymbal
cynic	0.135	0.632	0.473	kynisk
cynical	0.156	0.760	0.474	kynisk
cynicism	0.104	0.780	0.454	kynisme
cyst	0.173	0.578	0.312	cyste
cystic	0.314	0.481	0.400	cystisk
cytomegalovirus	0.186	0.657	0.443	cytomegalovirus
cytoplasm	0.378	0.442	0.474	cytoplasma
czar	0.480	0.348	0.643	tsar
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	tulle
dabbling	0.562	0.726	0.676	dabling
dad	0.857	0.412	0.786	pappa
daddy	0.795	0.400	0.736	pappa
dado	0.510	0.240	0.364	dado
