English Word	Valence	Arousal	Dominance	Georgian Word
concave	0.441	0.349	0.349	ჩაზნექილი
conceal	0.312	0.436	0.306	დამალვა
concealed	0.344	0.363	0.352	მიმალული
concealment	0.302	0.570	0.390	დამალვა
concede	0.670	0.324	0.473	დათმობა
conceit	0.354	0.625	0.309	ამპარტავნობა
conceited	0.194	0.667	0.473	ამაყი
conceivable	0.730	0.350	0.613	საფიქრებელი
conceive	0.708	0.538	0.700	დაორსულდა
concentrate	0.750	0.439	0.743	კონცენტრირება
concentration	0.735	0.500	0.722	კონცენტრაცია
concentric	0.730	0.479	0.635	კონცენტრული
concept	0.573	0.265	0.632	შინაარსი
conception	0.694	0.490	0.614	კონცეფცია
concern	0.250	0.734	0.463	შეშფოთება
concerned	0.292	0.698	0.350	შეშფოთებული
concert	0.938	0.867	0.718	კონცერტი
concerto	0.613	0.759	0.679	კონცერტი
concession	0.588	0.423	0.615	დათმობა
concessional	0.770	0.493	0.657	შეღავათიანი
conch	0.583	0.306	0.339	კონქი
concierge	0.480	0.343	0.343	კონსიერჟი
conciliation	0.792	0.475	0.726	შერიგება
concise	0.583	0.298	0.620	ლაკონური
conclave	0.573	0.440	0.611	კონკლავი
conclude	0.530	0.267	0.679	დასკვნა
concluding	0.531	0.382	0.603	დასკვნა
conclusion	0.615	0.377	0.659	დასკვნა
conclusive	0.500	0.427	0.745	გადამწყვეტი
concoction	0.448	0.459	0.417	შერევა
concomitant	0.427	0.482	0.727	თანმხლები
concord	0.677	0.320	0.586	თანხმობა
concordance	0.625	0.358	0.608	თანხმობა
concours	0.500	0.530	0.495	კონკურსი
concourse	0.740	0.657	0.528	შეკრება
concrete	0.633	0.420	0.547	ბეტონი
concubine	0.388	0.594	0.476	ხარჭა
concur	0.459	0.394	0.429	თანხმობა
concurrence	0.764	0.627	0.613	თანხვედრა
concurrent	0.573	0.547	0.741	პარალელურად
concurring	0.573	0.600	0.681	თანმხლები
concussion	0.072	0.708	0.482	ტვინის შერყევა
condemn	0.102	0.793	0.625	დაგმო
condemnation	0.133	0.725	0.449	დაგმობა
condensation	0.510	0.316	0.538	კონდენსაცია
condensed	0.598	0.415	0.623	შედედებული
condescending	0.583	0.363	0.593	დამთმობი
condescension	0.521	0.377	0.565	დათმობა
condiment	0.520	0.333	0.433	სუნელი
condition	0.500	0.469	0.519	მდგომარეობა
conditional	0.521	0.343	0.556	პირობითი
conditionally	0.396	0.419	0.617	პირობითად
conditioned	0.490	0.417	0.616	განპირობებული
conditioner	0.781	0.360	0.538	კონდიციონერი
conditioning	0.440	0.468	0.617	კონდიცირება
conditions	0.551	0.441	0.593	პირობები
condo	0.439	0.288	0.607	ბინა
condolence	0.260	0.443	0.404	სამძიმარი
condolences	0.198	0.480	0.288	სამძიმარი
condom	0.406	0.637	0.500	პრეზერვატივი
condone	0.571	0.441	0.619	პატიება
condor	0.573	0.388	0.519	კონდორი
conducive	0.775	0.479	0.679	ხელს უწყობს
conduct	0.453	0.510	0.750	ქცევა
conduction	0.530	0.557	0.717	გამტარობა
conductivity	0.583	0.575	0.642	გამტარობა
conductor	0.677	0.663	0.621	დირიჟორი
conduit	0.470	0.302	0.413	მილსადენი
cone	0.417	0.208	0.343	კონუსი
confederacy	0.590	0.541	0.736	კონფედერაცია
confederate	0.551	0.546	0.792	კონფედერაციული
confederation	0.663	0.404	0.830	კონფედერაცია
confer	0.573	0.482	0.583	ანიჭებს
conference	0.688	0.615	0.606	კონფერენცია
confess	0.360	0.712	0.431	აღიარება
confession	0.469	0.642	0.460	აღიარება
confessional	0.458	0.392	0.629	აღიარებითი
confessions	0.325	0.538	0.658	აღიარებები
confetti	0.781	0.573	0.250	კონფეტი
confidant	0.837	0.633	0.631	კონფიდენციალური
confide	0.669	0.472	0.595	ანდობენ
confidence	0.959	0.276	0.943	ნდობა
confident	0.765	0.324	0.723	თავდაჯერებული
confidential	0.643	0.471	0.761	კონფიდენციალური
confidentiality	0.667	0.431	0.718	კონფიდენციალურობა
confidentially	0.633	0.469	0.558	კონფიდენციალურად
configuration	0.540	0.443	0.591	კონფიგურაცია
confine	0.327	0.551	0.538	შემოიფარგლება
confined	0.286	0.472	0.444	შემოფარგლული
confinement	0.333	0.656	0.520	ჩაკეტვა
confines	0.396	0.386	0.542	ზღუდავს
confirm	0.802	0.439	0.806	დაადასტურეთ
confirmation	0.812	0.480	0.692	დადასტურება
confirmatory	0.656	0.500	0.683	დამადასტურებელი
confirmed	0.760	0.490	0.764	დაადასტურა
confiscate	0.250	0.625	0.482	ჩამოართმევენ
confiscation	0.208	0.706	0.586	კონფისკაცია
conflagration	0.344	0.721	0.594	ცეცხლმოკიდება
conflict	0.335	0.906	0.471	კონფლიქტი
conflicting	0.173	0.738	0.553	კონფლიქტური
confluence	0.677	0.598	0.565	შესართავი
conform	0.479	0.380	0.375	შეესაბამება
conformance	0.608	0.278	0.254	შესაბამისობა
conformation	0.622	0.435	0.711	კონფორმაცია
conformity	0.645	0.363	0.579	შესაბამისობა
confound	0.347	0.529	0.333	დაბნეული
confounded	0.333	0.528	0.264	დაბნეული
confront	0.281	0.760	0.746	დაუპირისპირდება
confrontation	0.177	0.870	0.658	დაპირისპირება
confuse	0.100	0.580	0.270	აბნევს
confused	0.220	0.650	0.179	დაბნეული
confusing	0.229	0.690	0.222	დამაბნეველი
confusion	0.255	0.667	0.277	დაბნეულობა
conga	0.469	0.529	0.440	კონგა
congenial	0.820	0.412	0.620	თანდაყოლილი
congenital	0.448	0.434	0.427	თანდაყოლილი
congestion	0.271	0.654	0.491	შეშუპება
conglomerate	0.500	0.500	0.838	კონგლომერატი
conglomeration	0.541	0.720	0.670	კონგლომერაცია
congrats	0.930	0.726	0.775	გილოცავ
congratulate	0.927	0.724	0.784	გილოცავ
congratulation	0.948	0.780	0.717	მილოცვა
congratulations	0.960	0.755	0.719	გილოცავ
congratulatory	0.959	0.616	0.689	მილოცვა
congregate	0.653	0.530	0.733	შეკრება
congregation	0.561	0.490	0.700	კრება
congress	0.449	0.444	0.857	კონგრესი
congressional	0.552	0.491	0.848	კონგრესის
congressman	0.438	0.471	0.877	კონგრესმენი
congruence	0.656	0.472	0.577	თანხვედრა
conic	0.510	0.368	0.379	კონუსური
conical	0.490	0.422	0.471	კონუსური
conjecture	0.396	0.398	0.534	ვარაუდი
conjugal	0.698	0.510	0.688	ცოლქმრული
conjugate	0.583	0.420	0.467	კონიუგატი
conjugation	0.479	0.429	0.582	კონიუგაცია
conjunction	0.520	0.472	0.509	შეერთება
conjunctive	0.487	0.444	0.639	კავშირებითი
conjure	0.385	0.679	0.645	მოიგონოს
conjuring	0.224	0.653	0.694	ჩაფიქრება
conk	0.340	0.469	0.404	კონკ
connect	0.724	0.299	0.536	დაკავშირება
connected	0.816	0.550	0.612	დაკავშირებულია
connection	0.729	0.560	0.655	კავშირი
connective	0.719	0.491	0.764	შემაერთებელი
connoisseur	0.760	0.461	0.769	მცოდნე
conquer	0.694	0.873	0.971	დაიპყრო
conquering	0.760	0.873	0.936	დაპყრობა
conqueror	0.604	0.809	0.930	დამპყრობელი
conquest	0.710	0.702	0.833	დაპყრობა
conscience	0.663	0.375	0.721	სინდისი
conscientious	0.688	0.404	0.688	კეთილსინდისიერი
conscious	0.740	0.333	0.705	შეგნებული
consciousness	0.840	0.483	0.755	ცნობიერება
conscription	0.396	0.775	0.642	გაწვევა
consecrated	0.663	0.500	0.800	აკურთხა
consecration	0.771	0.418	0.804	კურთხევა
consecutive	0.663	0.418	0.643	თანმიმდევრული
consensual	0.663	0.417	0.655	კონსენსუალური
consensus	0.627	0.358	0.625	კონსენსუსი
consent	0.750	0.500	0.620	თანხმობა
consenting	0.727	0.406	0.693	თანხმობის
consequence	0.240	0.721	0.593	შედეგი
consequent	0.663	0.471	0.625	შესაბამისად
conservation	0.832	0.401	0.606	კონსერვაცია
conservatism	0.406	0.369	0.633	კონსერვატიზმი
conservative	0.615	0.316	0.788	კონსერვატიული
conservatory	0.635	0.240	0.729	კონსერვატორია
conserve	0.690	0.347	0.573	კონსერვაცია
consider	0.677	0.368	0.579	განიხილოს
considerable	0.653	0.314	0.683	მნიშვნელოვანი
considerate	0.781	0.380	0.633	ყურადღებიანი
consideration	0.589	0.380	0.687	განხილვა
consignee	0.635	0.385	0.602	ტვირთმიმღები
consignment	0.490	0.440	0.500	ტვირთი
consist	0.823	0.386	0.580	შედგება
consistency	0.714	0.500	0.887	თანმიმდევრულობა
consistent	0.786	0.431	0.726	თანმიმდევრული
consolation	0.408	0.250	0.304	ნუგეში
console	0.625	0.398	0.415	კონსოლი
consoled	0.700	0.343	0.452	ანუგეშა
consolidate	0.880	0.440	0.870	კონსოლიდაცია
consolidated	0.700	0.366	0.784	კონსოლიდირებული
consolidation	0.604	0.445	0.776	კონსოლიდაცია
consonant	0.500	0.347	0.417	თანხმოვანი
consort	0.632	0.509	0.630	მეუღლე
conspicuous	0.479	0.520	0.596	თვალსაჩინო
conspiracy	0.125	0.787	0.652	შეთქმულება
conspirator	0.271	0.786	0.707	შეთქმული
conspire	0.206	0.740	0.520	შეთქმულება
constable	0.573	0.667	0.764	კონსტანტი
constancy	0.786	0.443	0.763	მუდმივობა
constant	0.740	0.296	0.686	მუდმივი
constantly	0.663	0.561	0.700	მუდმივად
constellation	0.719	0.533	0.775	თანავარსკვლავედი
consternation	0.167	0.680	0.469	შეშფოთება
constipation	0.079	0.612	0.231	ყაბზობა
constituency	0.500	0.480	0.696	საარჩევნო ოლქი
constituent	0.573	0.500	0.827	შემადგენელი
constituents	0.573	0.414	0.833	შემადგენელი კომპონენტები
constitute	0.812	0.349	0.906	შეადგენენ
constitution	0.590	0.380	0.889	კონსტიტუცია
constitutional	0.633	0.418	0.827	კონსტიტუციური
constitutionality	0.612	0.439	0.853	კონსტიტუციურობა
constrain	0.261	0.500	0.500	შეზღუდვა
constrained	0.135	0.537	0.357	შეზღუდული
constraint	0.323	0.550	0.481	შეზღუდვა
construct	0.750	0.648	0.792	კონსტრუქცია
construction	0.848	0.612	0.759	მშენებლობა
constructive	0.860	0.570	0.812	კონსტრუქციული
construe	0.602	0.519	0.553	ახსნა
consul	0.573	0.354	0.688	კონსული
consulate	0.561	0.453	0.694	საკონსულო
consult	0.755	0.370	0.441	კონსულტაცია
consultant	0.770	0.344	0.808	კონსულტანტი
consultation	0.660	0.463	0.625	კონსულტაცია
consume	0.427	0.620	0.509	მოიხმარენ
consumer	0.507	0.551	0.677	მომხმარებელი
consuming	0.573	0.541	0.536	მოხმარება
consummate	0.551	0.540	0.558	სრულყოფილი
consummation	0.583	0.676	0.661	დასრულება
consumption	0.390	0.531	0.538	მოხმარება
contact	0.719	0.424	0.526	კონტაქტი
contagion	0.208	0.630	0.535	გადამდები
contagious	0.184	0.725	0.400	გადამდები
contain	0.542	0.490	0.658	შეიცავს
container	0.551	0.396	0.561	კონტეინერი
containment	0.411	0.491	0.618	შეკავება
contaminate	0.140	0.611	0.426	დაბინძურება
contaminated	0.040	0.500	0.368	დაბინძურებული
contamination	0.125	0.610	0.375	დაბინძურება
contemplate	0.740	0.347	0.642	ჩაფიქრება
contemplation	0.552	0.324	0.627	ჭვრეტა
contemplative	0.729	0.308	0.739	ჩაფიქრებული
contemporaneous	0.640	0.373	0.591	თანადროული
contemporary	0.720	0.365	0.569	თანამედროვე
contempt	0.206	0.635	0.396	ზიზღი
contemptible	0.146	0.657	0.471	საზიზღარი
contemptuous	0.204	0.500	0.375	საზიზღარი
contend	0.510	0.657	0.731	ამტკიცებენ
contender	0.480	0.790	0.681	პრეტენდენტი
contending	0.490	0.698	0.716	მოწინააღმდეგე
content	0.764	0.296	0.559	შინაარსი
contented	0.857	0.612	0.746	კმაყოფილი
contention	0.375	0.510	0.738	კამათი
contentious	0.422	0.573	0.637	სადავო
contentment	0.875	0.610	0.782	კმაყოფილება
contents	0.656	0.375	0.550	შინაარსი
contest	0.667	0.698	0.717	კონკურსი
contestant	0.760	0.530	0.602	კონკურსანტი
context	0.531	0.300	0.553	კონტექსტი
contiguous	0.375	0.450	0.500	მომიჯნავე
continence	0.450	0.396	0.469	თავშეკავება
continent	0.551	0.373	0.833	კონტინენტი
continental	0.486	0.350	0.755	კონტინენტური
contingency	0.396	0.500	0.670	გაუთვალისწინებელი
contingent	0.470	0.531	0.659	კონტიგენტი
continual	0.500	0.423	0.685	უწყვეტი
continually	0.646	0.438	0.698	განუწყვეტლივ
continuance	0.729	0.510	0.652	გაგრძელება
continuation	0.615	0.470	0.566	გაგრძელება
continue	0.630	0.427	0.612	გააგრძელე
continued	0.635	0.440	0.500	გაგრძელებული
continuing	0.667	0.500	0.520	გრძელდება
continuity	0.781	0.439	0.684	უწყვეტობა
continuous	0.625	0.509	0.580	უწყვეტი
continuously	0.719	0.417	0.702	გამუდმებით
continuum	0.677	0.390	0.491	კონტინუუმი
contour	0.589	0.265	0.414	კონტური
contraband	0.177	0.875	0.670	კონტრაბანდა
contraception	0.296	0.518	0.525	კონტრაცეფცია
contract	0.594	0.412	0.636	კონტრაქტი
contracted	0.344	0.557	0.449	კონტრაქტი
contractile	0.480	0.586	0.569	კონტრაქტული
contracting	0.594	0.490	0.769	კონტრაქტი
contraction	0.292	0.755	0.603	შეკუმშვა
contractor	0.592	0.479	0.727	კონტრაქტორი
contradict	0.160	0.598	0.482	ეწინააღმდეგება
contradiction	0.250	0.660	0.377	წინააღმდეგობა
contradictory	0.365	0.651	0.421	წინააღმდეგობრივი
contraption	0.448	0.590	0.491	კონტრაპცია
contrary	0.327	0.449	0.338	პირიქით
contrast	0.480	0.406	0.520	კონტრასტი
contrasted	0.521	0.538	0.491	კონტრასტული
contravene	0.357	0.618	0.472	ეწინააღმდეგება
contravention	0.344	0.627	0.593	დარღვევა
contribute	0.806	0.350	0.795	წვლილი შეიტანოს
contribution	0.854	0.452	0.760	წვლილი
contributor	0.844	0.510	0.760	კონტრიბუტორი
contrite	0.347	0.363	0.473	მონანიებული
contrition	0.347	0.583	0.463	სინანულის
contrived	0.408	0.530	0.458	მოგონილი
control	0.729	0.352	0.808	კონტროლი
controller	0.469	0.712	0.868	კონტროლერი
controlling	0.490	0.441	0.885	მაკონტროლებელი
controversial	0.271	0.858	0.538	საკამათო
controversy	0.250	0.819	0.600	დაპირისპირება
contusion	0.167	0.565	0.509	კონტუზია
conundrum	0.354	0.524	0.408	თავსატეხი
convalescent	0.458	0.480	0.269	გამოჯანმრთელების
convection	0.521	0.494	0.526	კონვექცია
convene	0.583	0.676	0.636	მოიწვიოს
convenience	0.781	0.448	0.613	მოხერხებულობა
conveniences	0.802	0.412	0.693	კომფორტები
convenient	0.846	0.491	0.574	მოსახერხებელი
convent	0.480	0.217	0.594	მონასტერი
convention	0.622	0.622	0.704	კონვენცია
conventional	0.594	0.292	0.634	ჩვეულებრივი
converge	0.635	0.471	0.539	თანხვედრა
convergence	0.551	0.491	0.625	კონვერგენცია
convergent	0.781	0.490	0.696	კონვერგენტული
conversant	0.724	0.360	0.542	მცოდნე
conversation	0.750	0.510	0.609	საუბარი
conversational	0.719	0.431	0.596	სასაუბრო
conversationalist	0.719	0.467	0.667	მოსაუბრე
converse	0.594	0.406	0.598	საუბარი
conversing	0.755	0.409	0.442	ესაუბრება
conversion	0.480	0.605	0.736	კონვერტაცია
convert	0.551	0.538	0.704	გარდაქმნის
converted	0.663	0.418	0.686	მოაქცია
convertible	0.542	0.529	0.717	კონვერტირებადი
convex	0.438	0.427	0.445	ამოზნექილი
convexity	0.449	0.354	0.484	ამობურცულობა
convey	0.719	0.633	0.708	გადმოსცემს
conveyance	0.615	0.520	0.455	გადაცემა
conveyancing	0.375	0.479	0.663	გადაცემა
convict	0.177	0.840	0.477	მსჯავრდებული
conviction	0.615	0.704	0.826	ნასამართლობა
convince	0.708	0.539	0.763	დაარწმუნოს
convinced	0.750	0.500	0.630	დარწმუნდა
convincing	0.760	0.527	0.900	დამაჯერებელი
convocation	0.538	0.611	0.663	მოწვევის
convoluted	0.323	0.614	0.433	ჩახვეული
convolution	0.417	0.559	0.527	კონვოლუცია
convoy	0.500	0.671	0.639	კოლონა
coo	0.490	0.439	0.500	კოო
cook	0.847	0.500	0.412	მზარეული
cookbook	0.602	0.346	0.398	კულინარიული წიგნი
cooker	0.592	0.373	0.407	გაზქურა
cookery	0.633	0.368	0.345	კულინარია
cookie	0.792	0.306	0.250	ფუნთუშა
cookies	0.823	0.451	0.316	ფუნთუშები
cooking	0.694	0.510	0.434	სამზარეულო
cookout	0.680	0.406	0.482	მზარეული
cool	0.885	0.540	0.781	მაგარი
coolant	0.720	0.412	0.456	გამაგრილებელი
cooler	0.664	0.375	0.460	უფრო მაგარი
cooling	0.469	0.324	0.392	გაგრილება
coolness	0.490	0.307	0.548	სიგრილე
coon	0.490	0.460	0.400	კუნი
coop	0.612	0.445	0.650	თანამშრომლობა
cooperate	0.898	0.451	0.582	ითანამშრომლოს
cooperating	0.760	0.390	0.693	თანამშრომლობს
cooperation	0.847	0.473	0.686	თანამშრომლობა
cooperative	0.816	0.461	0.670	კოოპერატივი
coordinate	0.698	0.429	0.694	კოორდინაცია
coordination	0.677	0.454	0.789	კოორდინაცია
coordinator	0.750	0.510	0.850	კოორდინატორი
cop	0.327	0.770	0.836	პოლიციელი
copacetic	0.510	0.471	0.453	კოპაკეტური
cope	0.592	0.647	0.709	გაუმკლავდეს
copier	0.459	0.345	0.390	ქსეროქსი
copilot	0.640	0.538	0.573	კოპილოტი
coping	0.562	0.630	0.613	დაძლევა
copious	0.427	0.462	0.527	უხვი
copper	0.580	0.260	0.500	სპილენძი
copter	0.571	0.704	0.569	ვერტმფრენი
copy	0.460	0.240	0.263	კოპირება
copycat	0.449	0.580	0.443	კოპირება
copying	0.448	0.315	0.404	კოპირება
copyright	0.458	0.402	0.663	საავტორო უფლება
coral	0.802	0.231	0.425	მარჯანი
coral snake	0.276	0.712	0.607	მარჯნის გველი
cord	0.388	0.378	0.358	კაბელი
cordial	0.823	0.312	0.482	გულითადი
cordless	0.667	0.441	0.528	უკაბელო
cordon	0.469	0.317	0.380	კორდონი
corduroy	0.570	0.324	0.357	ქურთუკი
core	0.721	0.378	0.540	ბირთვი
cork	0.347	0.250	0.281	საცობი
corkscrew	0.427	0.443	0.445	საცობი
corn	0.594	0.196	0.292	სიმინდი
cornball	0.479	0.378	0.325	სიმინდის ბურთი
cornbread	0.643	0.304	0.302	სიმინდის პური
cornea	0.521	0.346	0.443	რქოვანას
corned	0.459	0.441	0.425	სიმინდის
corner	0.400	0.296	0.366	კუთხე
cornerstone	0.550	0.388	0.596	ქვაკუთხედი
cornet	0.507	0.520	0.415	კორნეტი
cornfield	0.719	0.310	0.349	სიმინდის ველი
cornflakes	0.729	0.346	0.355	სიმინდის ფანტელები
cornice	0.458	0.441	0.295	კარნიზი
cornstarch	0.643	0.299	0.337	სიმინდის სახამებელი
corny	0.448	0.370	0.221	რქიანი
corollary	0.458	0.469	0.366	დასკვნა
corona	0.818	0.439	0.745	კორონა
coronary	0.567	0.613	0.509	კორონარული
coronation	0.792	0.592	0.836	კორონაცია
coroner	0.323	0.558	0.526	სასამართლო ექსპერტი
corporal	0.582	0.490	0.596	კაპრალი
corporate	0.592	0.454	0.745	კორპორატიული
corporation	0.429	0.332	0.873	კორპორაცია
corporeal	0.520	0.350	0.461	ხორციელი
corps	0.551	0.453	0.483	კორპუსი
corpse	0.094	0.657	0.232	გვამი
corpsman	0.439	0.469	0.651	კორპუსმენი
corpus	0.543	0.340	0.490	კორპუსი
corral	0.606	0.662	0.422	კორალი
correct	0.857	0.306	0.723	სწორი
correction	0.448	0.485	0.558	შესწორება
correctional	0.292	0.713	0.602	მაკორექტირებელი
corrective	0.448	0.528	0.613	მაკორექტირებელი
correctness	0.796	0.450	0.649	სისწორე
correlation	0.596	0.462	0.571	კორელაცია
correlative	0.510	0.402	0.571	კორელაციური
correspond	0.710	0.452	0.545	შეესაბამება
correspondence	0.663	0.423	0.491	მიმოწერა
correspondent	0.573	0.565	0.712	კორესპონდენტი
corresponding	0.740	0.423	0.618	შესაბამისი
corridor	0.604	0.589	0.592	დერეფანი
corroborate	0.671	0.471	0.616	ადასტურებენ
corroboration	0.625	0.431	0.733	დადასტურება
corrosion	0.156	0.610	0.348	კოროზიის
corrosive	0.140	0.618	0.570	კოროზიული
corrupt	0.020	0.806	0.500	კორუმპირებული
corrupting	0.062	0.804	0.380	აფუჭებს
corruption	0.052	0.830	0.549	კორუფცია
corsage	0.510	0.294	0.397	კორსაჟი
corse	0.448	0.451	0.382	კორსი
corset	0.490	0.520	0.381	კორსეტი
cortex	0.594	0.439	0.529	ქერქი
cortical	0.380	0.423	0.536	კორტიკალური
cortisone	0.427	0.395	0.456	კორტიზონი
corvette	0.551	0.520	0.598	კორვეტი
cosmetic	0.625	0.304	0.308	კოსმეტიკური
cosmetics	0.765	0.464	0.472	კოსმეტიკა
cosmic	0.663	0.538	0.692	კოსმოსური
cosmology	0.651	0.438	0.637	კოსმოლოგია
cosmopolitan	0.823	0.510	0.760	კოსმოპოლიტი
cosmos	0.860	0.478	0.664	კოსმოსი
cost	0.365	0.420	0.439	ღირებულება
costly	0.316	0.650	0.642	ძვირადღირებული
costume	0.548	0.510	0.374	კოსტუმი
cosy	0.847	0.255	0.518	მყუდრო
cot	0.625	0.230	0.278	საწოლი
cote	0.439	0.344	0.324	კოტე
cottage	0.600	0.279	0.361	კოტეჯი
cotton	0.639	0.071	0.240	ბამბა
couch	0.594	0.082	0.198	დივანი
cougar	0.438	0.588	0.538	პუმა
cough	0.255	0.627	0.241	ხველა
council	0.875	0.279	0.635	საბჭო
councilman	0.531	0.367	0.793	საკრებულოს წევრი
counsel	0.594	0.519	0.730	რჩევა
counseling	0.667	0.480	0.704	კონსულტაცია
counsellor	0.823	0.327	0.740	მრჩეველი
counselor	0.873	0.365	0.706	მრჩეველი
count	0.594	0.389	0.492	ითვლიან
countdown	0.438	0.692	0.490	უკუთვლა
countenance	0.635	0.440	0.690	სახე
counter	0.439	0.478	0.750	მრიცხველი
counteract	0.378	0.542	0.688	დაუპირისპირდეს
counterattack	0.281	0.951	0.764	კონტრშეტევა
counterbalance	0.520	0.480	0.627	საპირწონე
counterclaim	0.398	0.760	0.651	შეგებებული სარჩელი
counterfeit	0.094	0.694	0.451	ყალბი
counterpart	0.448	0.608	0.577	კოლეგა
counterpoint	0.438	0.509	0.538	კონტრაპუნქტი
countess	0.562	0.440	0.670	გრაფინია
countless	0.520	0.566	0.534	უთვალავი
country	0.698	0.394	0.693	ქვეყანა
countryman	0.673	0.441	0.789	თანამემამულე
countrymusic	0.795	0.451	0.438	ქანთრი მუსიკა
countryside	0.732	0.288	0.327	ქალაქგარე
counts	0.343	0.373	0.500	ითვლის
county	0.479	0.368	0.545	ქვეყანა
coup	0.275	0.815	0.607	გადატრიალება
coupe	0.479	0.460	0.482	კუპე
couple	0.806	0.605	0.607	წყვილი
coupled	0.612	0.286	0.650	დაწყვილებული
coupling	0.594	0.479	0.555	დაწყვილება
coupon	0.704	0.300	0.421	კუპონი
courage	0.830	0.728	0.849	გამბედაობა
courageous	0.918	0.587	0.879	მამაცი
courier	0.551	0.383	0.441	კურიერი
courses	0.735	0.412	0.534	კურსები
coursing	0.542	0.472	0.546	კურსი
court	0.479	0.769	0.827	სასამართლო
courteous	0.937	0.396	0.529	თავაზიანი
courtesy	0.927	0.287	0.431	თავაზიანობა
courthouse	0.571	0.503	0.818	სასამართლო შენობა
courtroom	0.385	0.670	0.887	სასამართლო დარბაზი
courts	0.367	0.710	0.816	სასამართლოები
courtship	0.667	0.490	0.654	შეყვარებულობა
courtside	0.592	0.391	0.434	სასამართლოს პირას
courtyard	0.503	0.365	0.355	ეზოში
cousin	0.675	0.394	0.427	ბიძაშვილი
cousins	0.760	0.409	0.464	ბიძაშვილები
cove	0.500	0.304	0.370	ყურე
coven	0.458	0.578	0.591	შეთანხმება
covenant	0.594	0.462	0.667	შეთანხმება
cover	0.365	0.240	0.471	საფარი
coverage	0.767	0.413	0.629	გაშუქება
covered	0.562	0.340	0.644	დაფარული
covering	0.615	0.382	0.583	დაფარვა
covert	0.500	0.570	0.508	ფარული
covet	0.302	0.779	0.524	სანატრელი
coveted	0.661	0.730	0.625	ნანატრი
cow	0.449	0.230	0.300	ძროხა
coward	0.102	0.490	0.149	მშიშარა
cowardice	0.133	0.621	0.167	სიმხდალე
cowardly	0.102	0.385	0.127	მშიშარა
cowboy	0.594	0.625	0.695	კოვბოი
cowgirl	0.541	0.566	0.554	ძროხა
cowhand	0.438	0.480	0.596	ძროხის ხელი
cowhide	0.458	0.324	0.333	ძროხის კანი
cowl	0.427	0.450	0.232	cowl
coworker	0.667	0.490	0.625	თანამშრომელი
coy	0.347	0.330	0.213	სიმახინჯე
coyote	0.459	0.471	0.387	კოიოტი
cozy	0.910	0.356	0.545	მყუდრო
crab	0.421	0.396	0.330	კიბორჩხალა
crabby	0.198	0.812	0.370	კრაბი
crack	0.302	0.625	0.400	ბზარი
cracked	0.224	0.520	0.228	დაბზარული
cracker	0.604	0.343	0.346	კრეკერი
crackerjack	0.567	0.509	0.426	კრეკერჯეკი
cracking	0.327	0.557	0.286	ბზარი
crackle	0.327	0.643	0.481	ხრაშუნა
crackpot	0.260	0.602	0.245	კრეკპოტი
cradle	0.776	0.194	0.333	აკვანი
craft	0.760	0.321	0.539	ხელობა
crafts	0.667	0.380	0.391	ხელოსნობა
craftsman	0.719	0.310	0.583	ხელოსანი
craftsmanship	0.823	0.373	0.571	ხელოსნობა
crafty	0.589	0.679	0.783	მზაკვრული
craig	0.448	0.449	0.490	კრეგი
cram	0.354	0.730	0.598	კრამი
crammed	0.406	0.740	0.466	ჩაჭედილი
cramp	0.194	0.796	0.340	კრუნჩხვა
cramped	0.240	0.567	0.360	შევიწროებული
cranberry	0.793	0.330	0.363	მოცვი
cranberry juice	0.622	0.321	0.281	მოცვის წვენი
crane	0.396	0.417	0.589	ამწე
cranial	0.354	0.510	0.583	კრანიალური
cranium	0.439	0.491	0.725	კრანიუმი
crank	0.448	0.275	0.417	ამწე
cranky	0.194	0.776	0.396	ცელქი
cranny	0.194	0.471	0.250	კრანი
crap	0.083	0.644	0.167	სისულელე
crappy	0.039	0.582	0.208	უაზრო
craps	0.375	0.420	0.273	კრაპები
crash	0.194	0.906	0.355	ავარია
crass	0.223	0.490	0.466	უხეში
crate	0.427	0.173	0.274	ყუთი
crater	0.450	0.647	0.529	კრატერი
crave	0.625	0.510	0.731	სწყურია
craving	0.510	0.755	0.636	ლტოლვა
crawfish	0.510	0.427	0.342	კიბო
crawl	0.479	0.519	0.467	სეირნობა
crayon	0.604	0.260	0.185	ფანქარი
crayons	0.684	0.366	0.405	ფანქრები
craze	0.255	0.657	0.435	სიგიჟე
crazed	0.153	0.877	0.417	გაგიჟებული
craziness	0.238	0.908	0.255	სიგიჟე
crazy	0.156	0.843	0.321	გიჟი
creak	0.344	0.670	0.411	ხრაშუნა
creaking	0.302	0.743	0.415	ხრაშუნა
cream	0.688	0.259	0.220	კრემი
creamed	0.723	0.273	0.288	კრემისებრი
creamer	0.594	0.192	0.269	კრემისებური
creamy	0.823	0.337	0.345	კრემისებრი
crease	0.440	0.286	0.300	ნაკეცები
create	0.786	0.588	0.789	შექმნა
creation	0.927	0.575	0.868	შექმნა
creative	0.917	0.518	0.788	შემოქმედებითი
creativity	0.938	0.684	0.815	კრეატიულობა
creator	0.865	0.592	0.856	შემოქმედი
creature	0.669	0.625	0.620	არსება
credence	0.760	0.460	0.737	სარწმუნოება
credential	0.735	0.337	0.597	რწმუნებათა სიგელები
credentials	0.708	0.373	0.675	რწმუნებათა სიგელები
credibility	0.875	0.427	0.809	სანდოობა
