English Word	Valence	Arousal	Dominance	Marathi Word
backyard	0.552	0.280	0.302	घरामागील अंगण
bacon	0.698	0.406	0.295	खारवून वाळवलेले डुकराचे मांस
bacteria	0.177	0.553	0.570	जिवाणू
bacterial	0.156	0.500	0.473	जिवाणू
bacterium	0.194	0.545	0.345	जीवाणू
bad	0.125	0.625	0.373	वाईट
badass	0.255	0.775	0.745	बदमाश
badday	0.327	0.449	0.373	वाईट दिवस
badfeeling	0.250	0.559	0.365	वाईट भावना
badge	0.567	0.488	0.691	बॅज
badger	0.344	0.429	0.357	बॅजर
badhabit	0.184	0.594	0.311	वाईट सवय
badly	0.073	0.509	0.286	वाईटरित्या
badness	0.094	0.823	0.463	वाईटपणा
baffle	0.344	0.442	0.482	गोंधळ
baffled	0.151	0.600	0.339	चकित
bag	0.500	0.250	0.314	पिशवी
bagel	0.531	0.363	0.340	बॅगेल
baggage	0.610	0.363	0.427	सामान
baggie	0.367	0.427	0.366	बॅगी
baggy	0.521	0.278	0.452	बॅगी
bagman	0.506	0.500	0.394	बॅगमॅन
bagpipes	0.541	0.556	0.412	बॅगपाइप्स
bail	0.373	0.520	0.561	जामीन
bailiff	0.347	0.519	0.759	बेलीफ
bait	0.276	0.327	0.296	आमिष
bake	0.867	0.418	0.519	बेक करावे
bakery	0.802	0.500	0.380	बेकरी
baking	0.549	0.455	0.451	बेकिंग
bal	0.490	0.412	0.432	बाल
balance	0.684	0.265	0.735	शिल्लक
balanced	0.806	0.255	0.745	संतुलित
balcony	0.562	0.392	0.380	बाल्कनी
bald	0.306	0.184	0.268	टक्कल
balding	0.302	0.363	0.368	टक्कल पडणे
baldy	0.398	0.385	0.396	टक्कल
bale	0.437	0.363	0.412	गठ्ठा
balk	0.229	0.451	0.415	बल्क
ball	0.740	0.427	0.317	चेंडू
ballad	0.792	0.284	0.424	लोकगीत
ballast	0.354	0.423	0.287	गिट्टी
ballerina	0.802	0.660	0.475	बॅलेरिना
ballet	0.656	0.480	0.358	बॅले
ballgame	0.781	0.790	0.407	चेंडूचा खेळ
ballistic	0.260	0.806	0.685	बॅलिस्टिक
ballistics	0.271	0.787	0.610	बॅलिस्टिक्स
balloon	0.729	0.245	0.315	फुगा
ballot	0.521	0.361	0.358	मतपत्रिका
ballpark	0.724	0.694	0.529	बॉलपार्क
ballplayer	0.719	0.764	0.566	बॉलपटू
ballpoint	0.596	0.337	0.318	बॉलपॉइंट
ballroom	0.847	0.635	0.448	बॉलरूम
ballsy	0.531	0.491	0.414	बॉलसी
balm	0.625	0.275	0.414	बाम
balmy	0.684	0.327	0.545	मलम
balsam	0.663	0.250	0.385	सुगंधी उटणे
balsamic	0.582	0.283	0.447	बाल्सामिक
bam	0.427	0.472	0.390	बाम
bamboo	0.646	0.222	0.356	बांबू
ban	0.146	0.689	0.587	बंदी
banana	0.612	0.230	0.241	केळी
band	0.648	0.552	0.525	बँड
bandage	0.220	0.327	0.286	पट्टी
bandanna	0.562	0.276	0.277	bandanna
bandit	0.094	0.796	0.567	डाकू
bandstand	0.735	0.536	0.520	बँडस्टँड
bandwagon	0.625	0.651	0.509	बँडवॅगन
bandwidth	0.714	0.337	0.548	बँडविड्थ
bane	0.265	0.694	0.366	बाणे
bang	0.265	0.951	0.740	मोठा आवाज
banger	0.378	0.540	0.538	बँगर
banish	0.163	0.677	0.543	हद्दपार करणे
banished	0.052	0.713	0.370	निर्वासित
banishment	0.160	0.775	0.298	निर्वासन
banister	0.418	0.410	0.332	बॅनिस्टर
banjo	0.469	0.400	0.370	बॅन्जो
bank	0.562	0.327	0.675	बँक
banker	0.586	0.588	0.792	बँकर
banking	0.510	0.327	0.500	बँकिंग
bankroll	0.469	0.570	0.509	बँकरोल
bankrupt	0.163	0.673	0.337	दिवाळखोर
bankruptcy	0.010	0.696	0.209	दिवाळखोरी
banner	0.521	0.408	0.474	बॅनर
banquet	0.765	0.571	0.600	मेजवानी
banshee	0.408	0.565	0.481	बनशी
banter	0.594	0.677	0.464	बडबड
banzai	0.550	0.510	0.443	बनझाई
baptism	0.844	0.384	0.566	बाप्तिस्मा
baptismal	0.646	0.343	0.625	बाप्तिस्म्यासंबंधी
baptize	0.739	0.426	0.594	बाप्तिस्मा घेणे
bar	0.500	0.531	0.481	बार
barb	0.448	0.365	0.417	बार्ब
barbarian	0.323	0.896	0.713	रानटी
barbaric	0.235	0.798	0.738	रानटी
barbarism	0.190	0.815	0.614	रानटीपणा
barbecue	0.792	0.643	0.456	बार्बेक्यू
barbed	0.177	0.594	0.455	काटेरी
barber	0.543	0.459	0.356	नाई
barbershop	0.597	0.441	0.382	नाईचे दुकान
barbie doll	0.729	0.370	0.330	बार्बी डॉल
bard	0.470	0.410	0.439	बार्ड
bare	0.333	0.717	0.296	उघडे
bareback	0.500	0.356	0.373	बेअरबॅक
barefoot	0.445	0.373	0.241	अनवाणी
barely	0.448	0.183	0.268	जेमतेम
barf	0.340	0.491	0.394	barf
bargain	0.653	0.533	0.670	सौदा
bargaining	0.622	0.640	0.642	सौदेबाजी
barge	0.469	0.388	0.465	बार्ज
baritone	0.592	0.529	0.500	बॅरिटोन
barium	0.406	0.353	0.377	बेरियम
bark	0.360	0.602	0.395	झाडाची साल
barkeep	0.480	0.500	0.454	बारकीप
barks	0.427	0.694	0.325	भुंकतो
barley	0.614	0.212	0.296	बार्ली
barmaid	0.521	0.472	0.440	बारमेड
barman	0.594	0.610	0.400	बारमन
barn	0.510	0.452	0.425	धान्याचे कोठार
barnacle	0.408	0.337	0.457	कोठार
barney	0.451	0.378	0.440	बार्नी
barnyard	0.510	0.353	0.336	बार्नयार्ड
barometer	0.388	0.273	0.545	बॅरोमीटर
baron	0.520	0.358	0.709	बॅरन
baroness	0.625	0.453	0.755	बॅरोनेस
baroque	0.490	0.357	0.418	बारोक
barrack	0.378	0.500	0.455	बॅरेक
barracuda	0.333	0.713	0.510	बाराकुडा
barrage	0.388	0.871	0.627	बॅरेज
barred	0.143	0.741	0.535	प्रतिबंधित
barrel	0.429	0.298	0.474	बंदुकीची नळी
barren	0.173	0.373	0.221	वांझ
barricade	0.323	0.667	0.673	बॅरिकेड
barrier	0.333	0.480	0.562	अडथळा
barring	0.292	0.670	0.420	वगळणे
barrister	0.469	0.570	0.792	बॅरिस्टर
barroom	0.686	0.619	0.470	बाररूम
barrow	0.479	0.363	0.362	बॅरो
bartender	0.573	0.698	0.585	बारटेंडर
barter	0.465	0.559	0.596	वस्तु विनिमय
base	0.635	0.298	0.553	पाया
baseball	0.660	0.760	0.563	बेसबॉल
baseball bat	0.667	0.567	0.509	बेसबॉल बॅट
baseboard	0.396	0.198	0.405	बेसबोर्ड
baseless	0.292	0.382	0.375	निराधार
baseline	0.483	0.367	0.509	बेसलाइन
baseman	0.604	0.449	0.462	बेसमन
basement	0.388	0.500	0.268	तळघर
bases	0.569	0.236	0.591	तळ
bash	0.385	0.546	0.463	बाश
bashful	0.400	0.406	0.217	लज्जास्पद
basic	0.643	0.102	0.395	मूलभूत
basics	0.688	0.311	0.491	मूलभूत
basil	0.534	0.274	0.309	तुळस
basilica	0.612	0.302	0.639	बॅसिलिका
basin	0.552	0.231	0.398	बेसिन
basis	0.602	0.260	0.426	आधार
bask	0.760	0.330	0.381	बास्क
basket	0.458	0.227	0.336	टोपली
basketball	0.814	0.764	0.435	बास्केटबॉल
bass	0.427	0.206	0.268	बास
bass guitar	0.738	0.370	0.294	बास गिटार
basso	0.417	0.420	0.439	बासो
bassoon	0.500	0.433	0.310	बासून
bastard	0.094	0.692	0.289	बास्टर्ड
bastarding	0.104	0.608	0.269	घृणास्पद
bastards	0.082	0.680	0.422	हरामी
bastion	0.531	0.500	0.596	बुरुज
bat	0.324	0.409	0.480	वटवाघूळ
batch	0.560	0.357	0.357	तुकडी
batching	0.484	0.420	0.518	बॅचिंग
bate	0.429	0.525	0.464	bat
bath	0.725	0.260	0.263	आंघोळ
bathe	0.677	0.294	0.371	आंघोळ
bathhouse	0.602	0.380	0.459	स्नानगृह
bathing	0.740	0.276	0.361	आंघोळ
bathrobe	0.531	0.442	0.394	बाथरोब
bathroom	0.561	0.283	0.345	स्नानगृह
bathtub	0.625	0.240	0.318	बाथटब
bathymetry	0.432	0.480	0.509	बाथीमेट्री
baton	0.272	0.235	0.519	दंडुका
battalion	0.333	0.818	0.795	बटालियन
batter	0.561	0.245	0.373	पिठात
battered	0.080	0.790	0.306	पिटाळून
battering	0.210	0.798	0.490	मारणे
battery	0.480	0.425	0.442	बॅटरी
battle	0.365	0.945	0.868	लढाई
battled	0.292	0.794	0.575	लढाई केली
battlefield	0.133	0.918	0.781	युद्धभूमी
battleground	0.156	0.958	0.812	रणांगण
battlements	0.276	0.441	0.530	युद्ध
battleship	0.479	0.750	0.726	युद्धनौका
batty	0.375	0.619	0.274	बॅटी
bauble	0.698	0.429	0.255	बाऊबल
bawdy	0.184	0.823	0.508	बावळट
bawl	0.385	0.880	0.561	बावळट
bay	0.719	0.365	0.569	खाडी
bayonet	0.263	0.775	0.561	संगीन
bayou	0.469	0.431	0.324	bayou
bazaar	0.604	0.340	0.500	बाजार
bazooka	0.302	0.824	0.634	bazooka
bday	0.729	0.600	0.415	वाढदिवस
be	0.670	0.240	0.554	असणे
beach	0.885	0.529	0.455	समुद्रकिनारा
beaches	0.865	0.500	0.538	किनारे
beacon	0.580	0.407	0.537	दिवा
bead	0.592	0.388	0.381	मणी
beading	0.542	0.320	0.398	मणी
beads	0.673	0.388	0.552	मणी
beady	0.448	0.417	0.443	मणी
beagle	0.649	0.470	0.395	बीगल
beak	0.375	0.363	0.411	चोच
beaker	0.420	0.410	0.391	बीकर
beam	0.584	0.349	0.382	तुळई
beaming	0.892	0.654	0.587	बीमिंग
bean	0.667	0.269	0.264	बीन
beanbag	0.450	0.380	0.340	बीन बॅग
beanie	0.500	0.230	0.263	बीनी
bear	0.448	0.570	0.475	अस्वल
bearable	0.542	0.375	0.605	सहन करण्यायोग्य
beard	0.490	0.261	0.371	दाढी
bearded	0.439	0.337	0.391	दाढी
bearer	0.571	0.547	0.676	वाहक
bearing	0.571	0.367	0.474	बेअरिंग
bearings	0.418	0.490	0.426	बेअरिंग्ज
bearish	0.521	0.549	0.324	मंदीचा
bearskin	0.333	0.398	0.464	अस्वलाची कातडी
beast	0.214	0.780	0.732	पशू
beastly	0.146	0.874	0.843	पशू
beat	0.279	0.647	0.492	मारणे
beaten	0.083	0.846	0.265	मारहाण
beater	0.438	0.545	0.482	बीटर
beating	0.153	0.833	0.481	मारहाण
beatnik	0.429	0.510	0.382	beatnik
beau	0.612	0.440	0.432	सुंदर
beautification	0.885	0.575	0.725	सुशोभीकरण
beautiful	0.875	0.614	0.648	सुंदर
beautify	0.898	0.592	0.736	सुशोभित करणे
beauty	0.842	0.600	0.644	सौंदर्य
beaver	0.490	0.344	0.393	बीव्हर
bebop	0.482	0.490	0.358	bebop
beck	0.580	0.375	0.418	बेक
beckon	0.663	0.455	0.452	इशारा करणे
become	0.641	0.583	0.643	बनणे
bed	0.604	0.173	0.327	पलंग
bedding	0.704	0.276	0.377	बेडिंग
bedpan	0.510	0.400	0.362	बेडपॅन
bedrock	0.561	0.340	0.598	बेडरोक
bedroom	0.744	0.296	0.491	बेडरूम
bedside	0.604	0.167	0.375	बेडसाइड
bedspread	0.551	0.139	0.292	बेडस्प्रेड
bedtime	0.673	0.314	0.373	झोपण्याची वेळ
bee	0.520	0.509	0.309	मधमाशी
beef	0.582	0.312	0.492	गोमांस
beefsteak	0.594	0.391	0.455	गायीच्या मासाचा भाजलेला मोठा तुकडा
beehive	0.541	0.700	0.422	मधमाश्या
beep	0.595	0.541	0.304	बीप
beeper	0.438	0.720	0.441	बीपर
beer	0.592	0.654	0.500	बिअर
bees	0.562	0.635	0.412	मधमाश्या
beeswax	0.583	0.402	0.375	मेण
beetle	0.323	0.356	0.295	बीटल
befall	0.520	0.663	0.585	पडणे
befitting	0.708	0.333	0.394	योग्य
befriend	0.930	0.624	0.471	मैत्री
befuddled	0.156	0.714	0.269	गोंधळलेले
beg	0.292	0.608	0.328	भीक मागणे
beggar	0.240	0.402	0.116	भिकारी
begging	0.292	0.461	0.202	भीक मागणे
begin	0.677	0.569	0.763	सुरू
beginner	0.490	0.480	0.387	नवशिक्या
beginning	0.816	0.528	0.558	सुरुवात
beginnings	0.837	0.527	0.600	सुरुवात
begrudge	0.177	0.731	0.377	विनवणी
begun	0.677	0.500	0.404	सुरुवात केली
behappy	0.875	0.557	0.562	आनंदी रहा
behave	0.677	0.363	0.747	वागणे
behavior	0.594	0.442	0.813	वर्तन
behavioral	0.612	0.440	0.708	वर्तणूक
behemoth	0.583	0.781	0.853	behemoth
behest	0.602	0.350	0.720	आज्ञा
behold	0.610	0.284	0.449	पाहा
beholden	0.296	0.555	0.212	पाहणे
beholder	0.714	0.491	0.520	पाहणारा
beige	0.490	0.222	0.224	बेज
belated	0.240	0.400	0.214	उशीर झालेला
belay	0.500	0.472	0.702	belay
belch	0.194	0.562	0.240	ढेकर देणे
belief	0.896	0.375	0.656	विश्वास
believable	0.866	0.390	0.676	विश्वासार्ह
believe	0.781	0.370	0.682	विश्वास
believed	0.500	0.562	0.547	विश्वास ठेवला
believer	0.725	0.445	0.564	आस्तिक
believing	0.870	0.418	0.833	विश्वास
belittle	0.122	0.417	0.250	तुच्छता
belittled	0.177	0.392	0.226	अपमानित
bell	0.552	0.510	0.505	घंटा
bellboy	0.542	0.363	0.302	बेलबॉय
bellhop	0.500	0.287	0.318	बेलहॉप
belligerent	0.344	0.680	0.594	भांडखोर
bellman	0.540	0.250	0.371	बेलमन
bellow	0.248	0.337	0.212	खाली
bellows	0.458	0.515	0.429	घुंगरू
belly	0.510	0.388	0.387	पोट
bellybutton	0.531	0.283	0.360	बेली बटण
bellyful	0.347	0.806	0.519	पोटभर
belong	0.643	0.405	0.569	संबंधित
belongings	0.592	0.380	0.750	सामान
beloved	0.969	0.613	0.708	प्रिय
belt	0.541	0.322	0.445	पट्टा
beluga	0.510	0.333	0.482	बेलुगा
bemused	0.281	0.490	0.278	विस्मित
bench	0.571	0.289	0.544	खंडपीठ
bend	0.571	0.324	0.368	वाकणे
bender	0.490	0.510	0.466	वाकणे
bending	0.448	0.565	0.455	वाकणे
beneath	0.354	0.173	0.233	खाली
benedictory	0.677	0.438	0.481	हितकारक
benefactor	0.833	0.578	0.755	उपकारक
beneficial	0.820	0.579	0.703	फायदेशीर
beneficiary	0.776	0.399	0.616	लाभार्थी
benefit	0.906	0.422	0.806	फायदा
benevolence	0.786	0.340	0.717	परोपकार
benevolent	0.786	0.407	0.651	परोपकारी
benign	0.694	0.440	0.509	सौम्य
bent	0.375	0.453	0.298	वाकलेला
benzene	0.439	0.459	0.403	बेंझिन
bequeath	0.743	0.500	0.741	मृत्युपत्र
bequest	0.661	0.398	0.882	मृत्युपत्र
bereaved	0.104	0.479	0.221	शोकग्रस्त
bereavement	0.265	0.677	0.500	शोक
bereft	0.229	0.490	0.336	वंचित
beret	0.542	0.240	0.327	बेरेट
bergamot	0.510	0.365	0.339	बर्गामोट
berlin	0.592	0.423	0.571	बर्लिन
berserk	0.398	0.556	0.480	निडर
berth	0.295	0.337	0.596	बर्थ
beryllium	0.417	0.412	0.425	बेरीलियम
beseech	0.330	0.441	0.600	विनवणी
beset	0.385	0.717	0.317	घेरणे
bestdayever	0.760	0.646	0.593	आतापर्यंतचा सर्वात उत्तम दिवस
bestfeeling	0.806	0.509	0.625	सर्वोत्तम भावना
bestfriends	0.934	0.662	0.647	सर्वोत्तम मित्र
bestial	0.260	0.761	0.674	पशुपक्षी
besties	0.888	0.509	0.614	मित्र
bestow	0.656	0.560	0.642	बहाल करणे
bestseller	0.771	0.643	0.700	बेस्टसेलर
bet	0.385	0.698	0.432	पैज
beta	0.710	0.370	0.439	बीटा
betray	0.042	0.870	0.536	विश्वासघात करणे
betrayal	0.083	0.719	0.418	विश्वासघात
betrayed	0.122	0.769	0.308	विश्वासघात केला
betrothed	0.833	0.630	0.667	लग्न केले
betterment	0.898	0.536	0.769	सुधारणा
betting	0.237	0.804	0.411	बेटिंग
betty	0.542	0.358	0.381	बेटी
bevel	0.757	0.406	0.454	बेवेल
beverage	0.635	0.490	0.389	पेय
bevy	0.429	0.460	0.541	bevy
beware	0.151	0.596	0.518	सावध रहा
bewilder	0.306	0.571	0.289	आश्चर्यचकित करणे
bewildered	0.230	0.630	0.300	आश्चर्याने
bewilderment	0.312	0.716	0.216	गोंधळ
bias	0.400	0.370	0.541	पक्षपात
biased	0.271	0.302	0.368	पक्षपाती
bib	0.385	0.396	0.339	बिब
bible	0.719	0.225	0.726	बायबल
biblical	0.635	0.304	0.712	बायबलसंबंधी
bibliography	0.622	0.204	0.528	संदर्भग्रंथ
bicarbonate	0.479	0.337	0.438	बायकार्बोनेट
bicentennial	0.541	0.423	0.507	द्विशताब्दी
biceps	0.592	0.588	0.602	बायसेप्स
bicker	0.143	0.643	0.552	भांडणे
bickering	0.122	0.800	0.536	भांडण
bicolor	0.580	0.327	0.404	द्विरंगी
bicycle	0.708	0.519	0.425	सायकल
bid	0.760	0.530	0.655	बोली
bidder	0.465	0.474	0.433	बोली लावणारा
bidding	0.586	0.644	0.509	बोली
bide	0.368	0.407	0.282	bide
biennial	0.531	0.309	0.353	द्विवार्षिक
bier	0.497	0.448	0.407	बिअर
bifurcation	0.385	0.625	0.352	दुभाजक
big	0.802	0.588	0.812	मोठा
bigamy	0.327	0.696	0.482	मोठ्या विवाह
bigday	0.796	0.689	0.596	मोठा दिवस
biggestfear	0.062	0.730	0.480	सर्वात मोठी भीती
biggie	0.531	0.481	0.500	मोठा
bighorn	0.480	0.547	0.580	मोठे शिंग
bigmouth	0.417	0.577	0.430	बढाईखोर
bigot	0.479	0.745	0.517	धर्मांध
bigoted	0.153	0.760	0.462	धर्मांध
bigotry	0.356	0.737	0.481	कट्टरता
bike	0.708	0.500	0.333	दुचाकी
biker	0.604	0.710	0.567	दुचाकीस्वार
bikini	0.730	0.639	0.353	बिकिनी
bilateral	0.633	0.343	0.491	द्विपक्षीय
bilayer	0.438	0.398	0.388	bilayer
bile	0.157	0.461	0.324	पित्त
bilge	0.316	0.392	0.412	bilge
bilingual	0.735	0.490	0.606	द्विभाषिक
bill	0.396	0.402	0.535	बिल
billboard	0.594	0.317	0.481	बिलबोर्ड
billet	0.479	0.583	0.500	बिलेट
billiard	0.719	0.616	0.543	बिलियर्ड
billiards	0.643	0.559	0.387	बिलियर्ड्स
billing	0.406	0.481	0.670	बिलिंग
billion	0.719	0.564	0.782	अब्ज
billionaire	0.806	0.667	0.923	अब्जाधीश
billy	0.490	0.397	0.375	बिली
bimbo	0.396	0.370	0.300	बिंबो
bimonthly	0.408	0.298	0.471	द्विमासिक
bin	0.422	0.304	0.327	डबा
binary	0.490	0.356	0.420	बायनरी
bind	0.398	0.462	0.448	बांधणे
binder	0.438	0.250	0.308	बाईंडर
bindery	0.548	0.388	0.482	बंधनकारक
binding	0.438	0.425	0.640	बंधनकारक
bing	0.573	0.453	0.415	बिंग
binge	0.304	0.650	0.500	binge
bingo	0.735	0.667	0.429	बिंगो
binocular	0.531	0.344	0.426	द्विनेत्री
binoculars	0.490	0.309	0.411	दुर्बीण
binomial	0.600	0.406	0.426	द्विपदी
bio	0.612	0.225	0.490	जैव
biochemical	0.367	0.481	0.618	बायोकेमिकल
biochemist	0.471	0.449	0.717	बायोकेमिस्ट
biochemistry	0.552	0.531	0.596	बायोकेमिस्ट्री
biogenesis	0.594	0.442	0.697	बायोजेनेसिस
biographer	0.708	0.427	0.617	चरित्रकार
biography	0.698	0.229	0.718	चरित्र
biological	0.590	0.410	0.615	जैविक
biologist	0.625	0.453	0.693	जीवशास्त्रज्ञ
biology	0.479	0.274	0.546	जीवशास्त्र
bionic	0.571	0.570	0.788	बायोनिक
biopsy	0.323	0.657	0.481	बायोप्सी
biosphere	0.684	0.351	0.579	बायोस्फीअर
bipartite	0.365	0.480	0.464	द्विपक्षीय
bipolar	0.208	0.685	0.426	द्विध्रुवीय
birch	0.562	0.346	0.382	बर्च झाडापासून तयार केलेले
bird	0.729	0.357	0.364	पक्षी
birdcage	0.480	0.398	0.318	पक्ष्यांचा पिंजरा
birdie	0.594	0.394	0.407	पक्षी
birdman	0.490	0.567	0.604	पक्षी
birth	0.896	0.655	0.536	जन्म
birthday	0.969	0.844	0.575	वाढदिवस
birthing	0.796	0.877	0.519	जन्म
birthmark	0.630	0.461	0.500	जन्मखूण
birthplace	0.781	0.290	0.491	जन्मस्थान
birthright	0.684	0.417	0.714	जन्मसिद्ध हक्क
bis	0.440	0.420	0.345	bis
biscuit	0.888	0.260	0.231	बिस्किट
bishop	0.594	0.184	0.725	बिशप
bison	0.573	0.433	0.557	बायसन
bisque	0.693	0.443	0.312	बिस्क
bistro	0.594	0.472	0.396	बिस्ट्रो
bit	0.427	0.310	0.225	बिट
bitch	0.276	0.740	0.343	कुत्री
bitchy	0.188	0.700	0.373	कुत्सित
bite	0.219	0.796	0.510	चावणे
biter	0.260	0.598	0.500	कडू
bitsy	0.510	0.388	0.382	बिट्सी
bitter	0.218	0.627	0.411	कडू
bitterly	0.194	0.685	0.362	कडवटपणे
bitterness	0.115	0.633	0.270	कटुता
bittersweet	0.469	0.569	0.474	कडू गोड
bitty	0.469	0.271	0.257	लहान
bitumen	0.375	0.235	0.307	बिटुमेन
biweekly	0.581	0.337	0.455	द्विसाप्ताहिक
biz	0.500	0.473	0.473	बिझ
bizarre	0.379	0.620	0.392	विचित्र
blab	0.438	0.425	0.353	बडबड
blabbermouth	0.323	0.640	0.422	ब्लॅबरमाउथ
blackberry	0.667	0.413	0.453	ब्लॅकबेरी
blackbird	0.520	0.340	0.405	ब्लॅकबर्ड
blackboard	0.469	0.255	0.287	ब्लॅकबोर्ड
blacken	0.208	0.500	0.228	काळे करणे
blackface	0.302	0.490	0.441	काळा चेहरा
blackjack	0.419	0.679	0.452	ब्लॅकजॅक
blacklist	0.133	0.750	0.396	काळी यादी
blackmail	0.094	0.802	0.482	ब्लॅकमेल
blackmailer	0.092	0.780	0.472	ब्लॅकमेलर
blackness	0.260	0.480	0.406	काळेपणा
blackout	0.126	0.530	0.349	ब्लॅकआउट
blacksmith	0.480	0.531	0.702	लोहार
bladder	0.406	0.412	0.330	मूत्राशय
blade	0.378	0.602	0.594	ब्लेड
blame	0.115	0.640	0.309	दोष
blameless	0.759	0.196	0.343	निर्दोष
bland	0.300	0.226	0.157	सौम्य
blank	0.531	0.229	0.250	रिक्त
blanket	0.740	0.132	0.391	घोंगडी
blare	0.439	0.561	0.519	धूसर
blase	0.420	0.310	0.412	दोष
blasphemous	0.210	0.755	0.491	निंदनीय
blasphemy	0.146	0.794	0.406	निंदा
blast	0.167	0.929	0.777	स्फोट
blaster	0.459	0.538	0.554	ब्लास्टर
blastoff	0.357	0.865	0.736	ब्लास्टऑफ
blatant	0.327	0.677	0.675	स्पष्ट
blather	0.344	0.481	0.382	निंदक
blaze	0.698	0.467	0.658	झगमगाट
blazer	0.635	0.385	0.417	ब्लेझर
blazing	0.594	0.896	0.735	झगमगाट
bleach	0.336	0.282	0.337	ब्लीच
bleak	0.204	0.427	0.272	उदास
bleed	0.041	0.843	0.346	रक्तस्त्राव
bleeder	0.260	0.852	0.356	रक्तस्त्राव
bleeding	0.135	0.817	0.408	रक्तस्त्राव
bleep	0.479	0.667	0.345	ब्लीप
blemish	0.219	0.558	0.272	डाग
blemished	0.173	0.469	0.370	डाग
blend	0.469	0.452	0.463	मिश्रण
blender	0.602	0.534	0.351	ब्लेंडर
blending	0.560	0.418	0.637	मिश्रण
bless	0.929	0.269	0.588	आशीर्वाद
blessed	0.910	0.279	0.696	धन्य
blessing	0.929	0.264	0.800	आशीर्वाद
blessings	0.929	0.361	0.623	आशीर्वाद
bleu	0.460	0.354	0.379	ब्ल्यू
blight	0.271	0.771	0.429	अनिष्ट
blighted	0.146	0.615	0.296	दुखापत
blimp	0.600	0.410	0.532	ब्लिंप
blinded	0.245	0.471	0.231	आंधळा
blindfold	0.448	0.684	0.337	डोळ्यावर पट्टी
blindfolded	0.208	0.564	0.209	डोळ्यावर पट्टी बांधलेली
blinding	0.304	0.596	0.406	आंधळे करणे
blindly	0.439	0.598	0.278	आंधळेपणाने
blindness	0.245	0.480	0.196	अंधत्व
blink	0.552	0.316	0.324	डोळे मिचकावणे
blip	0.529	0.461	0.418	ब्लिप
bliss	0.816	0.500	0.782	आनंद
blissful	0.885	0.639	0.676	आनंदी
blister	0.407	0.538	0.402	फोड
blistering	0.344	0.569	0.390	फोड येणे
blitz	0.417	0.722	0.789	ब्लिट्झ
blizzard	0.375	0.726	0.417	हिमवादळ
bloat	0.229	0.694	0.298	फुगणे
bloated	0.167	0.593	0.424	फुगलेला
blob	0.500	0.376	0.298	ब्लॉब
block	0.286	0.350	0.402	ब्लॉक
blockade	0.380	0.519	0.510	नाकेबंदी
blockage	0.250	0.608	0.444	अडथळा
blockbuster	0.730	0.676	0.883	ब्लॉकबस्टर
blockhead	0.163	0.333	0.148	ब्लॉकहेड
blog	0.639	0.390	0.432	ब्लॉग
bloke	0.450	0.479	0.545	ब्लोक
blond	0.590	0.490	0.490	गोरा
blonde	0.698	0.545	0.412	सोनेरी
blood	0.219	0.684	0.585	रक्त
bloodbath	0.060	0.971	0.475	रक्तस्त्राव
bloodhound	0.327	0.462	0.538	ब्लडहाउंड
bloodless	0.292	0.390	0.212	रक्तहीन
bloodline	0.510	0.657	0.604	रक्तरेषा
bloodshed	0.048	0.942	0.525	रक्तपात
bloodshot	0.188	0.810	0.482	रक्ताचा गोळी
bloodstream	0.552	0.530	0.528	रक्तप्रवाह
bloodthirsty	0.052	0.804	0.644	रक्तपिपासू
bloody	0.031	0.910	0.518	रक्तरंजित
bloom	0.816	0.453	0.587	तजेला
bloomers	0.521	0.587	0.395	bloomers
blooming	0.860	0.452	0.593	फुलणारा
blossom	0.792	0.275	0.309	बहर
blot	0.365	0.304	0.223	डाग
blotched	0.133	0.562	0.264	डाग पडलेला
blotter	0.360	0.298	0.280	blotter
blouse	0.580	0.190	0.302	ब्लाउज
blow	0.316	0.750	0.570	फुंकणे
blower	0.564	0.550	0.536	ब्लोअर
blowfish	0.344	0.420	0.389	ब्लोफिश
blowing	0.521	0.472	0.434	शिट्टी
blowjob	0.460	0.784	0.387	blowjob
blown	0.333	0.548	0.412	उडवलेला
blowout	0.398	0.792	0.616	उडवणे
blowtorch	0.520	0.730	0.510	ब्लोटॉर्च
blubber	0.388	0.260	0.360	ब्लबर
bluddy	0.312	0.528	0.442	लालसर
blue	0.646	0.137	0.291	निळा
blue spruce	0.559	0.335	0.364	निळा ऐटबाज
blueberry	0.656	0.185	0.365	ब्लूबेरी
bluebird	0.573	0.350	0.450	नीळ पक्षी
bluegrass	0.573	0.441	0.395	ब्लूग्रास
bluejay	0.635	0.520	0.310	ब्लूजे
blueprint	0.490	0.173	0.425	ब्ल्यू प्रिंट
blues	0.469	0.220	0.287	ब्लूज
bluff	0.418	0.286	0.377	ब्लफ
bluish	0.604	0.245	0.382	निळसर
blunder	0.135	0.635	0.145	चूक
blunt	0.551	0.680	0.925	बोथट
blur	0.268	0.471	0.205	अस्पष्ट
blurred	0.320	0.367	0.231	अस्पष्ट
blurry	0.059	0.385	0.218	अस्पष्ट
blurt	0.408	0.439	0.441	अस्पष्ट
blush	0.698	0.610	0.445	लाली
blushing	0.510	0.789	0.288	लाली
boa	0.255	0.569	0.542	बोआ
boa constrictor	0.198	0.784	0.609	एक मोठा साप
boar	0.406	0.500	0.351	डुक्कर
board	0.592	0.255	0.385	बोर्ड
board game	0.711	0.490	0.349	बैठे खेळ
