English Word	Valence	Arousal	Dominance	Afrikaans Word
capacity	0.719	0.411	0.806	kapasiteit
cape	0.531	0.235	0.357	kaap
caper	0.510	0.370	0.326	kappertjie
capillary	0.469	0.365	0.395	kapillêre
capital	0.520	0.500	0.798	kapitaal
capitalism	0.448	0.686	0.848	kapitalisme
capitalist	0.352	0.577	0.821	kapitalistiese
capitalize	0.771	0.601	0.885	kapitaliseer
capitals	0.755	0.500	0.655	hoofletters
capitation	0.479	0.529	0.589	kapitasie
capitol	0.535	0.375	0.705	hoofstad
capitulation	0.375	0.546	0.615	kapitulasie
cappuccino	0.792	0.279	0.384	cappuccino
caprice	0.333	0.640	0.430	caprice
capricious	0.221	0.650	0.500	wispelturig
caps	0.510	0.221	0.368	pette
capslock	0.330	0.394	0.398	kapslot
capsule	0.583	0.290	0.570	kapsule
captain	0.552	0.653	0.966	kaptein
caption	0.814	0.292	0.379	onderskrif
captivate	0.698	0.604	0.723	boei
captivating	0.895	0.594	0.816	boeiend
captive	0.235	0.558	0.411	gevange
captivity	0.225	0.493	0.387	gevangenskap
captor	0.347	0.625	0.612	ontvoerder
capture	0.357	0.650	0.537	vang
car	0.776	0.540	0.500	voertuig
caramel	0.901	0.363	0.400	karamel
carat	0.823	0.604	0.676	karaat
caravan	0.635	0.559	0.455	karavaan
carbon	0.604	0.360	0.350	koolstof
carburetor	0.469	0.612	0.555	vergasser
carcass	0.115	0.529	0.309	karkas
carcinoma	0.153	0.692	0.440	karsinoom
card	0.531	0.269	0.436	kaart
cardboard	0.500	0.173	0.309	karton
cardiac	0.344	0.765	0.615	hart
cardigan	0.599	0.324	0.264	vest
cardinal	0.583	0.358	0.712	kardinaal
cardiologist	0.458	0.630	0.814	kardioloog
cardiology	0.203	0.545	0.605	kardiologie
cardiomyopathy	0.177	0.645	0.537	kardiomiopatie
cards	0.568	0.317	0.320	kaarte
care	0.729	0.370	0.500	sorg
career	0.740	0.712	0.606	beroep
carefree	0.755	0.220	0.500	sorgeloos
careful	0.625	0.538	0.530	versigtig
carefully	0.698	0.330	0.544	versigtig
careless	0.255	0.431	0.125	sorgelose
carelessness	0.245	0.482	0.330	sorgeloosheid
caress	0.833	0.418	0.509	streel
caret	0.656	0.402	0.527	karet
caretaker	0.714	0.531	0.759	opsigter
cargo	0.408	0.444	0.455	vrag
caribou	0.562	0.452	0.342	kariboe
caricature	0.604	0.373	0.383	karikatuur
caries	0.115	0.569	0.283	karies
caring	0.635	0.469	0.500	omgee
carjack	0.438	0.682	0.439	motorkap
carnage	0.406	0.600	0.558	bloedbad
carnal	0.417	0.679	0.421	vleeslik
carnation	0.653	0.357	0.431	angelier
carnival	0.927	0.888	0.555	karnaval
carnivorous	0.224	0.613	0.651	vleisetende
carol	0.673	0.412	0.436	carol
carols	0.847	0.420	0.491	kersliedere
carousel	0.704	0.500	0.412	karrousel
carp	0.531	0.324	0.375	karp
carpal	0.449	0.327	0.420	karpale
carpenter	0.521	0.550	0.519	timmerman
carpentry	0.561	0.459	0.518	skrynwerk
carpet	0.520	0.170	0.339	mat
carpeting	0.542	0.312	0.444	matte
carpool	0.625	0.509	0.500	saamry geleentheid
carriage	0.650	0.538	0.491	koets
carried	0.490	0.382	0.534	gedra
carrier	0.533	0.588	0.638	draer
carrot	0.500	0.235	0.279	wortel
carry	0.635	0.380	0.500	dra
carrying	0.656	0.557	0.443	dra
carsick	0.224	0.574	0.255	karsiek
cart	0.520	0.344	0.388	karretjie
carte	0.592	0.320	0.274	karte
cartel	0.438	0.394	0.602	kartel
carter	0.312	0.480	0.431	karretjie
cartilage	0.438	0.370	0.407	kraakbeen
cartographic	0.490	0.348	0.424	kartografiese
cartography	0.520	0.300	0.579	kartografie
carton	0.286	0.186	0.241	karton
cartoon	0.867	0.471	0.387	spotprent
cartouche	0.427	0.458	0.450	cartouche
cartridge	0.458	0.500	0.407	patroon
carve	0.469	0.443	0.598	kerf
carver	0.418	0.500	0.500	kerwer
carving	0.541	0.444	0.368	kerfwerk
cascade	0.735	0.509	0.395	kaskade
case	0.427	0.275	0.441	geval
casein	0.470	0.436	0.415	kaseïen
cash	0.867	0.552	0.714	kontant
cashier	0.615	0.413	0.484	kassier
cashmere	0.653	0.452	0.439	kasjmier
casing	0.458	0.327	0.328	omhulsel
casino	0.542	0.684	0.568	casino
cask	0.490	0.398	0.444	vat
casket	0.125	0.490	0.346	kis
casserole	0.570	0.360	0.328	kasserol
cassette	0.490	0.334	0.355	kasset
cast	0.558	0.620	0.517	gooi
castaway	0.208	0.646	0.422	wegwerper
caste	0.510	0.333	0.374	kaste
caster	0.604	0.670	0.647	gieter
castle	0.680	0.396	0.718	kasteel
castor	0.583	0.337	0.368	wiel
castrate	0.177	0.485	0.519	kastreer
castration	0.198	0.735	0.381	kastrasie
casual	0.643	0.224	0.385	gemaklik
casually	0.658	0.290	0.333	gemaklik
casualty	0.235	0.274	0.132	ongevalle
cat	0.667	0.260	0.370	kat
catabolism	0.265	0.573	0.605	katabolisme
catalog	0.561	0.221	0.573	katalogus
catalogue	0.647	0.327	0.533	katalogus
catalysis	0.385	0.559	0.531	katalise
catalyst	0.604	0.509	0.585	katalisator
catalytic	0.562	0.519	0.563	katalitiese
catamaran	0.571	0.566	0.526	katamaran
catapult	0.480	0.830	0.649	katapult
cataract	0.406	0.545	0.549	katarak
catastrophe	0.146	0.952	0.670	katastrofe
catastrophic	0.071	0.934	0.598	katastrofies
catatonic	0.255	0.500	0.509	katatonies
catch	0.531	0.437	0.552	vang
catcher	0.653	0.413	0.540	vanger
catching	0.490	0.788	0.644	vang
catchphrase	0.698	0.423	0.433	trefwoord
catchy	0.677	0.441	0.462	pakkende
catechism	0.656	0.236	0.613	kategese
categorical	0.615	0.442	0.760	kategories
category	0.571	0.264	0.521	kategorie
cater	0.802	0.500	0.509	voorsiening maak
caterer	0.550	0.557	0.644	spysenier
caterpillar	0.461	0.286	0.330	ruspe
cates	0.370	0.394	0.407	kates
catfish	0.458	0.337	0.296	katvis
cathartic	0.450	0.510	0.604	katartiese
cathedral	0.598	0.330	0.643	katedraal
catheter	0.336	0.491	0.373	kateter
cathouse	0.327	0.375	0.363	kathuis
catnip	0.439	0.381	0.296	katnip
cattle	0.622	0.340	0.445	beeste
catwalk	0.698	0.436	0.464	loopplank
caucus	0.418	0.311	0.491	koukus
caudal	0.500	0.425	0.583	stert
cauldron	0.510	0.486	0.418	ketel
cauliflower	0.448	0.255	0.231	blomkool
caulk	0.367	0.500	0.418	caulk
causal	0.562	0.367	0.491	oorsaaklike
causality	0.500	0.378	0.336	oorsaaklikheid
causation	0.562	0.480	0.567	oorsaaklikheid
cause	0.469	0.373	0.486	oorsaak
caused	0.344	0.520	0.382	veroorsaak
causeway	0.453	0.382	0.422	hoofweg
caution	0.552	0.712	0.547	versigtigheid
cautionary	0.510	0.541	0.519	waarskuwing
cautious	0.470	0.445	0.517	versigtig
cautiously	0.510	0.388	0.525	versigtig
cavalier	0.735	0.462	0.713	kavalier
cavalry	0.667	0.727	0.794	kavallerie
cave	0.459	0.333	0.380	grot
caveat	0.344	0.629	0.484	waarskuwing
caveman	0.235	0.644	0.482	grotman
cavern	0.323	0.360	0.365	grot
cavernous	0.354	0.548	0.462	grotagtige
caviar	0.906	0.394	0.481	kaviaar
caving	0.378	0.491	0.551	spelonk
cavity	0.466	0.385	0.379	holte
cayenne	0.615	0.306	0.355	rooipeper
cease	0.388	0.250	0.420	ophou
ceasefire	0.542	0.594	0.567	wapenstilstand
ceaseless	0.378	0.704	0.658	onophoudelik
cedar	0.560	0.267	0.577	sederhout
cede	0.275	0.327	0.402	afstaan
ceiling	0.520	0.224	0.366	plafon
celebrant	0.865	0.656	0.643	celebrant
celebrate	0.917	0.857	0.859	vier
celebrated	0.875	0.690	0.763	gevier
celebrating	0.927	0.860	0.773	vier
celebration	0.939	0.824	0.880	viering
celebrations	0.958	0.794	0.714	vieringe
celebratory	0.857	0.653	0.845	feestelik
celebrity	0.760	0.619	0.855	celebrity
celery	0.396	0.147	0.223	seldery
celestial	0.817	0.360	0.731	hemelse
celibacy	0.302	0.276	0.509	selibaat
celibate	0.419	0.387	0.391	selibaat
cell	0.541	0.375	0.465	sel
cellar	0.510	0.277	0.406	kelder
cellblock	0.186	0.570	0.500	selblok
cellist	0.667	0.500	0.486	tjellis
cellmate	0.167	0.684	0.349	selmaat
cello	0.635	0.324	0.528	tjello
cellophane	0.648	0.282	0.289	sellofaan
cellular	0.643	0.398	0.517	sellulêre
cellulite	0.200	0.384	0.256	selluliet
celluloid	0.469	0.440	0.425	selluloïed
cement	0.544	0.265	0.527	sement
cemented	0.429	0.382	0.537	gesementeer
cemetery	0.051	0.630	0.417	begraafplaas
censor	0.344	0.276	0.538	sensor
censorship	0.219	0.698	0.421	sensuur
censure	0.219	0.653	0.417	sensuur
census	0.449	0.289	0.553	sensus
cent	0.439	0.367	0.402	sent
centenary	0.604	0.440	0.642	eeufees
centennial	0.583	0.394	0.700	eeufees
center	0.643	0.231	0.431	sentrum
centerfold	0.571	0.407	0.485	middelvou
centerpiece	0.594	0.208	0.520	middelpunt
centimeter	0.427	0.280	0.380	sentimeter
centipede	0.296	0.399	0.361	duisendpoot
central	0.640	0.356	0.621	sentraal
centrality	0.571	0.312	0.709	sentraliteit
centralization	0.521	0.440	0.702	sentralisasie
centralize	0.684	0.427	0.802	sentraliseer
centrally	0.729	0.280	0.700	sentraal
centrifugal	0.306	0.651	0.480	sentrifugale
centrifuge	0.495	0.622	0.527	sentrifugeer
centurion	0.590	0.447	0.696	hoofman oor honderd
century	0.407	0.347	0.735	eeu
ceramic	0.521	0.255	0.371	keramiek
ceramics	0.573	0.250	0.373	keramiek
cereal	0.612	0.206	0.316	graan
cereals	0.719	0.224	0.311	graankosse
cerebral	0.408	0.509	0.627	serebrale
ceremonial	0.771	0.540	0.691	seremonieel
ceremony	0.760	0.559	0.761	seremonie
certain	0.760	0.358	0.673	seker
certainty	0.781	0.400	0.769	sekerheid
certifiable	0.714	0.427	0.662	sertifiseerbaar
certificate	0.786	0.377	0.746	sertifikaat
certified	0.781	0.422	0.806	gesertifiseer
certify	0.866	0.400	0.746	sertifiseer
cervical	0.375	0.413	0.445	servikale
cervix	0.429	0.360	0.340	serviks
cess	0.427	0.375	0.406	cess
cessation	0.414	0.385	0.358	staking
cesspool	0.167	0.460	0.409	spoelput
cha cha	0.714	0.546	0.324	cha cha
chaff	0.333	0.327	0.188	kaf
chafing	0.430	0.415	0.368	skaaf
chagrin	0.104	0.704	0.472	hartseer
chagrined	0.112	0.745	0.361	gegrief
chai	0.500	0.375	0.363	chai
chain	0.378	0.500	0.547	ketting
chainsaw	0.367	0.804	0.636	kettingsaag
chair	0.562	0.082	0.276	stoel
chairman	0.656	0.567	0.933	voorsitter
chairperson	0.730	0.657	0.966	voorsitter
chairwoman	0.719	0.664	0.953	voorsitter
chaise	0.406	0.349	0.327	chaise
chalet	0.653	0.349	0.278	chalet
chalice	0.633	0.286	0.529	kelkie
chalk	0.385	0.185	0.121	kryt
challenge	0.469	0.922	0.713	uitdaging
challenger	0.417	0.755	0.652	uitdager
chamber	0.583	0.373	0.455	kamer
chambermaid	0.594	0.375	0.336	kamermeisie
chambers	0.542	0.442	0.388	kamers
chameleon	0.490	0.580	0.345	verkleurmannetjie
champ	0.854	0.754	0.896	kampioen
champagne	0.760	0.600	0.454	sjampanje
champion	0.890	0.880	0.945	kampioen
championship	0.833	0.800	0.880	kampioenskap
chance	0.833	0.551	0.525	kans
chancellor	0.646	0.500	0.887	kanselier
chandelier	0.615	0.542	0.366	kandelaar
chandler	0.510	0.452	0.454	chandler
change	0.625	0.575	0.606	verander
changeable	0.490	0.480	0.528	veranderlik
changed	0.594	0.375	0.491	verander
changer	0.583	0.519	0.567	wisselaar
changing	0.571	0.569	0.461	verander
channel	0.490	0.287	0.405	kanaal
chant	0.771	0.698	0.650	dreunsang
chaos	0.016	0.923	0.373	chaos
chaotic	0.115	0.847	0.442	chaotiese
chap	0.550	0.410	0.345	hfst
chapel	0.573	0.240	0.440	kapel
chaperon	0.500	0.520	0.404	chaperon
chaplain	0.582	0.370	0.577	kapelaan
chapman	0.562	0.529	0.465	chapman
chaps	0.350	0.462	0.350	kappies
chapter	0.580	0.308	0.461	hoofstuk
char	0.554	0.361	0.404	char
character	0.667	0.373	0.686	karakter
characteristic	0.583	0.328	0.538	kenmerkende
characterize	0.729	0.471	0.735	karakteriseer
charade	0.458	0.550	0.346	charade
charcoal	0.302	0.186	0.342	houtskool
chardonnay	0.677	0.567	0.492	chardonnay
charge	0.510	0.633	0.785	hef
chargeable	0.551	0.550	0.453	betaalbaar
charger	0.531	0.418	0.545	laaier
chariot	0.684	0.550	0.491	strydwa
charisma	0.938	0.591	0.759	charisma
charismatic	0.938	0.684	0.849	charismaties
charitable	0.865	0.380	0.593	liefdadigheid
charity	0.920	0.284	0.551	liefdadigheid
charlatan	0.200	0.640	0.352	charlatan
charm	0.833	0.363	0.649	sjarme
charmed	0.938	0.570	0.769	bekoor
charmer	0.882	0.683	0.782	sjarmant
charming	0.917	0.660	0.764	bekoorlik
charred	0.208	0.676	0.373	verkool
chart	0.469	0.317	0.330	grafiek
charter	0.677	0.382	0.518	handves
chartered	0.569	0.460	0.490	geoktrooieerde
chase	0.396	0.878	0.623	jaag
chased	0.188	0.830	0.287	gejaag
chaser	0.375	0.830	0.645	jaer
chasm	0.265	0.579	0.500	kloof
chassis	0.406	0.342	0.444	onderstel
chaste	0.408	0.248	0.453	kuis
chastened	0.156	0.580	0.345	getugtig
chastisement	0.156	0.852	0.462	tugtiging
chastity	0.469	0.392	0.509	kuisheid
chat	0.729	0.400	0.346	gesels
chateau	0.615	0.464	0.702	kasteel
chatter	0.560	0.450	0.347	gesels
chatterbox	0.459	0.548	0.482	chatterbox
chattering	0.460	0.663	0.304	gesels
chatty	0.594	0.548	0.345	kletserig
chauffeur	0.500	0.353	0.471	chauffeur
chauvinist	0.310	0.539	0.527	chauvinisties
cheap	0.612	0.471	0.272	goedkoop
cheapened	0.471	0.611	0.282	goedkoop gemaak
cheapskate	0.148	0.482	0.327	goedkoop skate
cheat	0.125	0.776	0.400	bedrieg
cheater	0.104	0.920	0.333	bedrieër
check	0.523	0.552	0.602	tjek
checkbook	0.552	0.284	0.364	tjekboek
checker	0.330	0.417	0.553	kontroleerder
checkered	0.459	0.316	0.336	geruit
checkers	0.676	0.451	0.437	checkers
checklist	0.561	0.521	0.552	kontrolelys
checkmate	0.667	0.708	0.750	skaakmat
checkout	0.597	0.510	0.670	uitteken
checkpoint	0.571	0.323	0.812	kontrolepunt
checkup	0.500	0.435	0.491	ondersoek
cheek	0.670	0.314	0.421	wang
cheeks	0.708	0.324	0.282	wange
cheeky	0.434	0.679	0.410	brutaal
cheep	0.367	0.380	0.373	tjoep
cheer	0.938	0.784	0.845	jubel
cheered	0.875	0.648	0.790	gejuig
cheerful	0.990	0.720	0.696	vrolik
cheerfulness	0.969	0.802	0.675	vrolikheid
cheering	0.815	0.824	0.642	gejuig
cheerleader	0.923	0.746	0.657	cheerleader
cheerleading	0.698	0.769	0.404	cheerleading
cheerless	0.204	0.373	0.167	vrolik
cheers	0.948	0.770	0.702	cheers
cheery	0.949	0.657	0.486	vrolik
cheese	0.740	0.280	0.281	kaas
cheeseburger	0.802	0.529	0.336	kaasburger
cheesecake	0.860	0.276	0.238	kaaskoek
cheesy	0.470	0.471	0.179	kaasagtig
cheetah	0.469	0.770	0.667	jagluiperd
chef	0.854	0.411	0.570	sjef
chemical	0.337	0.560	0.508	chemiese
chemise	0.530	0.275	0.364	chemise
chemist	0.408	0.575	0.610	chemikus
chemistry	0.625	0.520	0.694	chemie
chemo	0.214	0.686	0.444	chemo
chemotherapy	0.163	0.689	0.517	chemoterapie
cheque	0.698	0.529	0.660	tjek
cherish	0.896	0.491	0.652	koester
cherishing	0.836	0.380	0.625	koester
cherry	0.688	0.186	0.250	kersie
cherub	0.663	0.340	0.455	gerub
chess	0.656	0.363	0.518	skaak
chest	0.520	0.429	0.481	bors
chestnut	0.714	0.210	0.294	kastaiingbruin
chevron	0.469	0.469	0.598	chevron
chew	0.520	0.490	0.404	kou
chewy	0.625	0.418	0.390	taai
chic	0.870	0.624	0.380	sjiek
chicane	0.357	0.460	0.481	chicane
chick	0.771	0.602	0.387	kuiken
chicken	0.594	0.306	0.394	hoender
chicken pox	0.194	0.510	0.415	waterpokkies
chickenpox	0.173	0.562	0.357	waterpokkies
chief	0.520	0.544	0.869	hoof
chiefly	0.600	0.587	0.764	hoofsaaklik
chieftain	0.343	0.529	0.860	hoofman
chiffon	0.406	0.230	0.250	sjiffon
child	0.912	0.460	0.413	kind
childbirth	0.604	0.861	0.673	bevalling
childhood	0.865	0.413	0.307	kinderjare
childish	0.573	0.442	0.230	kinderagtig
childless	0.310	0.400	0.396	kinderloos
childlike	0.656	0.372	0.293	kinderlik
childloss	0.240	0.571	0.421	kinderverlies
children	0.857	0.538	0.435	kinders
chili	0.592	0.566	0.433	brandrissie
chill	0.837	0.206	0.482	verkoel
chilled	0.521	0.340	0.482	verkoel
chilling	0.208	0.850	0.358	verkoeling
chilly	0.329	0.459	0.408	koel
chime	0.573	0.541	0.464	bel
chimera	0.292	0.582	0.372	chimera
chimes	0.625	0.490	0.402	klokkespel
chimney	0.583	0.286	0.225	skoorsteen
chimp	0.394	0.588	0.345	sjimpansee
chimpanzee	0.500	0.633	0.387	sjimpansee
chin	0.571	0.310	0.269	ken
china	0.561	0.443	0.556	Sjina
chinchilla	0.480	0.450	0.286	chinchilla
chine	0.561	0.360	0.352	chine
chinook	0.408	0.497	0.491	chinook
chip	0.479	0.382	0.452	chip
chipmunk	0.573	0.562	0.409	chipmunk
chipper	0.418	0.588	0.500	versnipperaar
chipping	0.354	0.452	0.353	versplintering
chiropractor	0.420	0.549	0.651	chiropraktisyn
chirp	0.469	0.602	0.365	tjirp
chirping	0.500	0.463	0.360	tjirp
chisel	0.469	0.404	0.452	beitel
chiseler	0.429	0.606	0.464	beiteler
chit	0.490	0.352	0.321	tjot
chitchat	0.673	0.455	0.403	gesels
chivalry	0.857	0.380	0.848	ridderlikheid
chloride	0.265	0.387	0.474	chloried
chlorine	0.306	0.327	0.332	chloor
chloroform	0.281	0.370	0.393	chloroform
chocolate	0.885	0.480	0.418	sjokolade
choice	0.745	0.520	0.664	keuse
choir	0.704	0.298	0.473	koor
choke	0.167	0.788	0.676	verstik
cholera	0.020	0.867	0.507	cholera
cholesterol	0.198	0.583	0.398	cholesterol
choose	0.615	0.542	0.648	kies
choosing	0.719	0.529	0.689	kies
choosy	0.280	0.760	0.712	kieskeurig
chop	0.250	0.655	0.467	kap
chopper	0.594	0.560	0.509	helikopter
choppers	0.469	0.745	0.691	choppers
chopping	0.560	0.625	0.362	kap
chops	0.612	0.420	0.269	tjops
choral	0.852	0.290	0.421	koor
chord	0.729	0.394	0.539	akkoord
chords	0.639	0.406	0.388	akkoorde
chore	0.406	0.462	0.500	karwei
choreographer	0.646	0.639	0.625	choreograaf
choreography	0.812	0.750	0.547	choreografie
chorus	0.620	0.417	0.500	koor
chosen	0.865	0.449	0.833	gekies
chow	0.573	0.490	0.390	chow
chowder	0.510	0.324	0.241	chowder
christ	0.781	0.510	0.750	christus
christen	0.673	0.356	0.588	gedoop
christening	0.725	0.382	0.650	doop
christmas	0.959	0.520	0.741	Kersfees
christmasbreak	0.842	0.640	0.548	kersfees
christmaseve	0.812	0.491	0.463	Oukersaand
christmasspirit	0.867	0.602	0.575	kersgees
christmassy	0.875	0.698	0.602	kersfees
christmastime	0.837	0.588	0.515	Kersfeestyd
chromatic	0.407	0.413	0.435	chromaties
chromatography	0.480	0.537	0.535	chromatografie
chrome	0.582	0.373	0.421	chroom
chromium	0.458	0.404	0.447	chroom
chromosome	0.500	0.296	0.548	chromosoom
chronic	0.255	0.615	0.464	chronies
chronicle	0.427	0.571	0.586	kroniek
chronograph	0.500	0.392	0.529	chronograaf
chronological	0.594	0.445	0.600	chronologies
chubby	0.531	0.427	0.304	mollig
chuck	0.542	0.509	0.413	tjok
chuckle	0.844	0.736	0.481	giggel
chug	0.401	0.413	0.358	tjoep
chum	0.911	0.347	0.518	tjommie
chummy	0.760	0.420	0.610	snaaks
chump	0.375	0.451	0.304	tjoep
chunk	0.365	0.287	0.214	stukkie
chunky	0.520	0.517	0.509	bonkig
church	0.708	0.198	0.610	kerk
churchyard	0.296	0.444	0.347	kerkhof
churn	0.316	0.491	0.407	karring
chute	0.580	0.745	0.455	geut
chutney	0.459	0.370	0.400	blatjang
ciao	0.542	0.426	0.409	totsiens
cider	0.530	0.346	0.398	sider
cigar	0.306	0.463	0.346	sigaar
cigarette	0.219	0.528	0.304	sigaret
cilantro	0.469	0.260	0.208	koriander
cinch	0.450	0.490	0.387	cinch
cinder	0.350	0.260	0.157	sintel
cinema	0.698	0.538	0.500	bioskoop
cinematic	0.663	0.490	0.600	filmiese
cinematographer	0.792	0.455	0.711	kinematograaf
cinematography	0.781	0.571	0.625	kinematografie
cinnamon	0.600	0.250	0.292	kaneel
cipher	0.490	0.414	0.500	syfer
circle	0.480	0.290	0.343	sirkel
circling	0.510	0.654	0.336	sirkel
circuit	0.586	0.461	0.707	kring
circuitry	0.596	0.615	0.536	stroombaan
circular	0.562	0.342	0.417	omsendbrief
circulate	0.612	0.388	0.320	sirkuleer
circulation	0.735	0.520	0.657	sirkulasie
circulatory	0.592	0.575	0.545	bloedsomloop
circumcision	0.327	0.657	0.528	besnydenis
circumference	0.458	0.255	0.488	omtrek
circumferential	0.551	0.422	0.509	omtrek
circumscribed	0.365	0.539	0.569	omskryf
circumstance	0.520	0.565	0.596	omstandigheid
circumstances	0.562	0.527	0.464	omstandighede
circumstantial	0.500	0.538	0.519	omstandigheid
circumvent	0.316	0.642	0.383	omseil
circumvention	0.531	0.571	0.473	omseiling
circus	0.724	0.637	0.432	sirkus
cirque	0.604	0.647	0.467	sirkel
cirrhosis	0.079	0.602	0.370	sirrose
cirrus	0.470	0.451	0.348	sirrus
cistern	0.541	0.413	0.432	spoelbak
citadel	0.585	0.464	0.602	sitadel
citation	0.570	0.549	0.508	aanhaling
cite	0.625	0.454	0.532	aanhaal
citizen	0.631	0.250	0.586	burger
citizenship	0.786	0.404	0.723	burgerskap
citrine	0.375	0.400	0.420	sitrien
citrus	0.469	0.368	0.375	sitrus
city	0.847	0.531	0.508	Stad
citywide	0.592	0.509	0.707	stadwyd
civic	0.653	0.240	0.573	burgerlike
civics	0.700	0.279	0.720	burgerlikes
civil	0.521	0.281	0.517	siviele
civilian	0.700	0.229	0.598	burgerlike
civilians	0.490	0.448	0.525	burgerlikes
civility	0.760	0.306	0.679	beskaafdheid
civilization	0.823	0.452	0.839	beskawing
civilized	0.792	0.231	0.796	beskaafd
clad	0.583	0.373	0.481	geklee
claim	0.255	0.760	0.473	eis
claimant	0.271	0.690	0.779	eiser
clairvoyant	0.765	0.531	0.897	heldersiende
clam	0.442	0.302	0.272	mossel
clambake	0.542	0.540	0.429	clambake
clammy	0.354	0.440	0.236	klam
clamor	0.438	0.643	0.360	geroep
clamp	0.541	0.388	0.454	klamp
clan	0.562	0.491	0.686	stam
clandestine	0.425	0.677	0.469	klandestiene
clang	0.459	0.520	0.510	klink
clap	0.779	0.731	0.529	klap
clapper	0.500	0.229	0.420	klapper
clapping	0.823	0.894	0.686	hande klap
clarification	0.802	0.461	0.613	opheldering
clarify	0.652	0.535	0.625	verduidelik
clarinet	0.592	0.453	0.411	klarinet
clarion	0.500	0.443	0.422	clarion
clarity	0.796	0.310	0.631	duidelikheid
clash	0.293	0.918	0.453	botsing
clashing	0.177	0.764	0.575	botsende
clasp	0.448	0.375	0.241	sluiting
class	0.656	0.314	0.522	klas
classic	0.690	0.260	0.611	klassiek
classic rock	0.729	0.571	0.588	klassieke rock
classical	0.643	0.198	0.536	klassiek
classics	0.750	0.333	0.510	klassieke
classification	0.583	0.423	0.613	klassifikasie
classified	0.571	0.460	0.663	geklassifiseer
classify	0.646	0.411	0.720	klassifiseer
classmate	0.781	0.400	0.593	klasmaat
classroom	0.539	0.292	0.363	klaskamer
classy	0.917	0.410	0.649	deftig
clatter	0.418	0.820	0.387	gekletter
clause	0.480	0.409	0.528	klousule
clauses	0.449	0.429	0.545	klousules
claustrophobia	0.125	0.840	0.333	claustrofobie
claustrophobic	0.092	0.755	0.400	klaustrofobies
clavicle	0.398	0.400	0.452	sleutelbeen
claw	0.260	0.600	0.598	klou
claws	0.281	0.698	0.562	kloue
clay	0.542	0.250	0.267	klei
clean	0.827	0.170	0.500	skoon
cleaner	0.604	0.556	0.375	skoonmaker
cleaning	0.595	0.396	0.427	skoonmaak
cleanliness	0.816	0.363	0.609	netheid
cleanly	0.823	0.352	0.583	skoon
cleanse	0.625	0.310	0.660	reinig
cleanser	0.604	0.353	0.433	reiniger
cleansing	0.729	0.298	0.472	reiniging
cleanup	0.729	0.314	0.451	maak skoon
clear	0.857	0.327	0.573	duidelik
clearance	0.542	0.459	0.473	klaring
clearing	0.680	0.333	0.509	skoonmaak
clearness	0.875	0.316	0.689	duidelikheid
cleat	0.486	0.260	0.361	klamp
cleavage	0.542	0.602	0.454	splitsing
cleave	0.296	0.545	0.389	kloof
cleaver	0.240	0.627	0.434	skeermes
clef	0.615	0.360	0.595	sleutel
cleft	0.306	0.442	0.360	gesplete
clemency	0.594	0.417	0.397	genade
clench	0.438	0.618	0.580	knyp
clergy	0.531	0.312	0.575	geestelikes
clergyman	0.594	0.330	0.556	geestelike
cleric	0.521	0.324	0.589	geestelike
clerical	0.520	0.396	0.491	klerklik
clerk	0.500	0.579	0.509	klerk
clerkship	0.582	0.380	0.596	klerkskap
clever	0.896	0.353	0.729	slim
cleverness	0.878	0.509	0.921	slimheid
click	0.536	0.365	0.268	klik
clicker	0.418	0.490	0.463	kliker
client	0.583	0.450	0.618	kliënt
clientele	0.625	0.577	0.508	kliënte
cliff	0.361	0.620	0.509	krans
climate	0.635	0.240	0.483	klimaat
climatology	0.531	0.367	0.541	klimatologie
climax	0.735	0.853	0.667	klimaks
climb	0.615	0.660	0.604	klim
climber	0.573	0.716	0.735	klimmer
clinch	0.469	0.538	0.430	beklink
cling	0.417	0.620	0.588	klou
clingy	0.224	0.460	0.370	klewerig
clinic	0.469	0.439	0.600	kliniek
clinical	0.337	0.412	0.640	klinies
clink	0.458	0.462	0.319	klink
clip	0.438	0.310	0.381	knip
clipboard	0.594	0.255	0.423	knipbord
clipper	0.293	0.422	0.383	knipper
clipping	0.460	0.500	0.405	knip
clique	0.427	0.430	0.391	kliek
clitoris	0.625	0.844	0.464	klitoris
cloak	0.469	0.188	0.333	mantel
cloaking	0.521	0.595	0.389	cloaking
cloakroom	0.690	0.254	0.397	kleedkamer
clobber	0.396	0.578	0.464	klobber
clock	0.677	0.173	0.407	horlosie
clockwork	0.490	0.373	0.528	uurwerk
clod	0.375	0.404	0.365	kluit
clog	0.104	0.618	0.454	verstop
cloister	0.438	0.413	0.475	klooster
clone	0.406	0.471	0.524	kloon
cloning	0.216	0.696	0.679	kloning
close	0.292	0.260	0.263	naby
closed	0.240	0.164	0.318	gesluit
closeness	0.796	0.237	0.450	nabyheid
closet	0.531	0.204	0.330	kas
closure	0.229	0.220	0.412	sluiting
clot	0.150	0.558	0.275	klont
cloth	0.510	0.190	0.287	lap
clothe	0.797	0.330	0.481	aantrek
clothes	0.833	0.270	0.414	klere
clothesline	0.582	0.324	0.366	wasgoedlyn
clothing	0.750	0.343	0.407	klere
cloud	0.740	0.133	0.342	wolk
clouded	0.240	0.213	0.302	vertroebel
cloudiness	0.469	0.250	0.343	bewolking
clouds	0.735	0.195	0.324	wolke
