English Word	Valence	Arousal	Dominance	Kazakh Word
drink	0.650	0.552	0.474	ішу
drinker	0.365	0.735	0.441	ішуші
drinking	0.562	0.459	0.317	ішу
drinks	0.729	0.656	0.412	сусындар
drip	0.392	0.193	0.175	тамшылату
dripping	0.302	0.257	0.267	тамшылау
drive	0.625	0.689	0.713	жүргізу
drivel	0.398	0.469	0.463	жетек
driver	0.553	0.538	0.637	жүргізуші
driveway	0.612	0.392	0.689	автокөлік жолы
drizzle	0.521	0.353	0.319	жаңбыр жауады
droll	0.459	0.573	0.422	дролл
drone	0.429	0.686	0.596	дрон
drones	0.398	0.577	0.588	дрондар
drool	0.385	0.398	0.204	аққу
drooping	0.245	0.558	0.353	салбырап
droopy	0.438	0.350	0.297	салбырап
drop	0.479	0.321	0.291	түсіру
droplet	0.625	0.208	0.194	тамшы
dropout	0.253	0.550	0.481	түсу
dropper	0.333	0.216	0.236	тамызғыш
drought	0.133	0.353	0.267	құрғақшылық
drove	0.541	0.528	0.623	жүргізді
drown	0.071	0.860	0.270	суға бату
drowsiness	0.260	0.194	0.303	ұйқышылдық
drowsy	0.375	0.180	0.240	ұйқышыл
drudgery	0.094	0.522	0.241	еңбекқорлық
drug	0.214	0.790	0.453	есірткі
drug dealing	0.042	0.843	0.500	есірткі бизнесі
drugged	0.102	0.750	0.321	есірткіге салынған
druggist	0.240	0.561	0.417	дәріхана дәрігері
drugs	0.167	0.750	0.368	есірткілер
drugstore	0.490	0.343	0.518	дәріхана
druid	0.517	0.445	0.481	друид
drum	0.615	0.679	0.339	барабан
drummer	0.646	0.700	0.564	барабаншы
drumming	0.594	0.750	0.426	барабан соғу
drunk	0.194	0.800	0.250	мас
drunk driving	0.073	0.900	0.306	мас күйінде көлік жүргізу
drunkard	0.240	0.873	0.250	маскүнем
drunken	0.155	0.849	0.250	мас
drunkenness	0.214	0.774	0.336	мастық
dry	0.363	0.169	0.311	құрғақ
dryer	0.479	0.343	0.277	кептіргіш
dryness	0.292	0.296	0.263	құрғақтық
dual	0.573	0.330	0.384	қос
dualism	0.490	0.406	0.536	дуализм
duality	0.438	0.520	0.503	екіжақтылық
dub	0.510	0.480	0.387	дубляж
dubious	0.414	0.480	0.198	күмәнді
duchess	0.656	0.548	0.711	герцогиня
duck	0.594	0.337	0.236	үйрек
ducking	0.344	0.573	0.294	үйрек
duckling	0.602	0.353	0.263	үйрек
ducky	0.520	0.430	0.368	үйрек
duct	0.449	0.435	0.430	түтік
ductile	0.508	0.420	0.433	икемді
dud	0.167	0.455	0.246	ақымақ
dude	0.809	0.356	0.615	досым
duds	0.347	0.311	0.339	ақымақ
due	0.562	0.340	0.467	мерзімі
duel	0.271	0.696	0.589	дуэль
dues	0.367	0.461	0.288	алымдар
duet	0.694	0.693	0.527	дуэт
duffel	0.500	0.400	0.384	дуфель
dugout	0.490	0.370	0.463	блиндаж
duh	0.357	0.461	0.364	ау
duke	0.667	0.440	0.669	герцог
dull	0.194	0.120	0.185	түтіккен
dullard	0.450	0.480	0.365	сұмдық
dumb	0.188	0.330	0.151	мылқау
dumbasses	0.316	0.590	0.363	мылқаулар
dumbbell	0.302	0.469	0.364	гантель
dumbbitch	0.281	0.636	0.393	ақымақ
dumfound	0.271	0.551	0.295	аңқау
dumfounder	0.406	0.481	0.400	дамфодер
dummy	0.440	0.144	0.250	манекен
dump	0.345	0.500	0.370	қоқыс
dumpling	0.580	0.321	0.360	тұшпара
dumps	0.302	0.583	0.365	үйінділер
dumpster	0.229	0.418	0.101	қоқыс жәшігі
dun	0.458	0.431	0.339	дун
dunce	0.188	0.327	0.146	мансап
dune	0.459	0.173	0.414	құм
dung	0.104	0.549	0.149	тезек
dungeon	0.276	0.608	0.440	зындан
dunk	0.406	0.333	0.475	данк
duo	0.510	0.500	0.447	дуэт
dupe	0.184	0.760	0.327	алдау
duplex	0.592	0.452	0.467	дуплексті
duplicate	0.521	0.490	0.338	көшірме
duplication	0.480	0.564	0.577	қайталау
duplicity	0.406	0.500	0.578	екіжүзділік
durability	0.750	0.398	0.813	төзімділік
durable	0.740	0.294	0.688	берік
duration	0.656	0.370	0.536	ұзақтығы
duress	0.302	0.569	0.612	мәжбүрлеу
dusk	0.532	0.276	0.519	ымырт
dusky	0.229	0.528	0.324	күңгірт
dust	0.344	0.246	0.241	шаң
duster	0.408	0.265	0.296	шаңсорғыш
dustpan	0.609	0.466	0.371	шаң жинағыш
dusty	0.406	0.294	0.255	шаңды
dutiful	0.724	0.245	0.585	парызшыл
duty	0.583	0.579	0.651	міндет
dwarf	0.370	0.340	0.288	ергежейлі
dwarfed	0.365	0.265	0.293	ергежейлі
dweeb	0.354	0.446	0.327	двиб
dwell	0.698	0.245	0.611	тұру
dweller	0.615	0.304	0.500	тұрғын
dwelling	0.765	0.330	0.481	тұрғын үй
dye	0.479	0.314	0.371	бояу
dying	0.040	0.664	0.422	өліп жатыр
dyke	0.438	0.396	0.566	дайк
dynamic	0.724	0.750	0.836	динамикалық
dynamical	0.786	0.730	0.827	динамикалық
dynamics	0.745	0.682	0.774	динамикасы
dynamite	0.344	0.860	0.783	динамит
dynamo	0.531	0.650	0.593	динамо
dynasty	0.725	0.588	0.936	әулет
dysentery	0.260	0.528	0.345	дизентерия
dysfunction	0.156	0.410	0.386	дисфункция
dysfunctional	0.125	0.558	0.307	жұмыс істемейтін
dyspepsia	0.212	0.470	0.460	диспепсия
eager	0.521	0.812	0.306	ынталы
eagerness	0.406	0.621	0.443	ынта
eagle	0.604	0.594	0.679	қыран
ear	0.469	0.216	0.231	құлақ
earful	0.533	0.462	0.443	құлаққағыс
earl	0.582	0.461	0.794	граф
earlier	0.562	0.352	0.339	ертерек
early	0.633	0.373	0.426	ерте
earn	0.865	0.769	0.817	табу
earnest	0.653	0.380	0.670	шыншыл
earnestly	0.847	0.490	0.717	шын жүректен
earnestness	0.812	0.373	0.615	шыншылдық
earnings	0.938	0.650	0.875	табыстар
earpiece	0.583	0.286	0.452	құлаққап
earring	0.583	0.520	0.500	сырға
earrings	0.676	0.346	0.517	сырғалар
earshot	0.552	0.332	0.408	құлаққап
earth	0.750	0.225	0.614	жер
earthenware	0.552	0.210	0.320	фаянс
earthling	0.531	0.412	0.570	жерлес
earthly	0.625	0.318	0.518	жердегі
earthquake	0.073	0.930	0.812	жер сілкінісі
earthy	0.375	0.413	0.404	жерді
ease	0.796	0.385	0.491	жеңілдігі
easel	0.694	0.340	0.527	мольберт
easement	0.479	0.345	0.302	сервитут
easily	0.885	0.279	0.453	оңай
east	0.510	0.250	0.317	шығыс
eastbound	0.541	0.408	0.402	шығысқа қарай
eastern	0.521	0.420	0.480	шығыс
easy	0.865	0.194	0.373	оңай
easygoing	0.823	0.276	0.538	бейғам
eat	0.731	0.500	0.464	жеу
eater	0.459	0.337	0.510	жегіш
eating	0.847	0.491	0.615	тамақтану
eatingdisorders	0.365	0.608	0.508	тамақтану бұзылыстары
eavesdrop	0.375	0.710	0.368	тыңдау
eavesdropping	0.490	0.380	0.441	тыңдау
ebb	0.354	0.451	0.404	төмендеу
ebony	0.490	0.317	0.400	қара ағаш
ebullient	0.659	0.856	0.746	сергек
eccentric	0.531	0.806	0.721	эксцентрик
eccentricity	0.408	0.735	0.745	эксцентристік
ecclesiastical	0.673	0.270	0.660	шіркеулік
echelon	0.490	0.404	0.425	эшелон
echinacea	0.592	0.418	0.454	эхинацея
echo	0.573	0.373	0.345	жаңғырық
eclectic	0.646	0.542	0.508	эклектикалық
eclipse	0.541	0.469	0.616	тұтылу
ecliptic	0.531	0.520	0.556	эклиптика
ecological	0.885	0.290	0.607	экологиялық
economic	0.561	0.408	0.639	экономикалық
economical	0.667	0.564	0.673	үнемді
economics	0.625	0.481	0.632	экономика
economy	0.583	0.434	0.771	экономика
ecosystem	0.729	0.259	0.633	экожүйе
ecstasy	0.796	0.922	0.655	экстаз
ecstatic	0.875	0.769	0.742	экстатикалық
ecumenical	0.561	0.450	0.547	экуменикалық
eddy	0.500	0.394	0.350	құйынды
edema	0.250	0.519	0.318	ісіну
edge	0.439	0.470	0.468	жиегі
edging	0.479	0.394	0.370	жиектер
edgy	0.281	0.895	0.306	ашулы
edible	0.750	0.425	0.497	жеуге жарамды
edict	0.316	0.547	0.560	жарлық
edification	0.625	0.481	0.697	тәрбиелеу
edifice	0.551	0.403	0.610	ғимарат
edit	0.510	0.410	0.544	өңдеу
editing	0.604	0.404	0.493	өңдеу
edition	0.542	0.455	0.564	басылым
editor	0.772	0.431	0.673	редактор
editorial	0.583	0.330	0.570	редакциялық
educate	0.760	0.380	0.728	тәрбиелеу
educated	0.816	0.297	0.625	білімді
education	0.896	0.275	0.840	білім беру
educational	0.745	0.457	0.764	тәрбиелік
educator	0.827	0.317	0.845	тәрбиеші
eeeek	0.367	0.540	0.349	еееек
eeek	0.333	0.490	0.302	ееек
eek	0.292	0.529	0.343	еек
eel	0.292	0.564	0.487	жыланбалық
eerie	0.265	0.771	0.442	қорқынышты
effect	0.570	0.518	0.608	әсері
effective	0.844	0.632	0.891	тиімді
effectiveness	0.640	0.654	0.812	тиімділігі
effects	0.470	0.578	0.379	әсерлері
effectual	0.776	0.559	0.820	тиімді
effectually	0.724	0.500	0.594	тиімді
effectuate	0.510	0.602	0.679	жүзеге асыру
effeminate	0.337	0.619	0.291	әйелдік
efficacious	0.823	0.698	0.845	тиімді
efficacy	0.802	0.490	0.906	тиімділігі
efficiency	0.802	0.509	0.892	тиімділігі
efficient	0.959	0.604	0.830	нәтижелі
effigy	0.510	0.440	0.401	бейнелеу
effort	0.698	0.778	0.858	күш
effortless	0.626	0.090	0.352	қиындықсыз
effusion	0.344	0.730	0.472	эффузия
effyou	0.354	0.529	0.490	эффсен
egg	0.684	0.241	0.293	жұмыртқа
egghead	0.316	0.492	0.284	жұмыртқа басы
eggnog	0.635	0.360	0.259	жұмыртқа
eggplant	0.592	0.152	0.323	баялды
eggshell	0.408	0.269	0.212	жұмыртқа қабығы
ego	0.328	0.576	0.593	эго
egomaniac	0.133	0.708	0.596	эгомания
egotistical	0.156	0.667	0.363	эгоист
egregious	0.150	0.716	0.442	өрескел
egress	0.490	0.429	0.287	шығу
eight	0.540	0.199	0.315	сегіз
eighteen	0.523	0.340	0.404	он сегіз
eighth	0.531	0.226	0.380	сегізінші
eighty	0.500	0.300	0.453	сексен
ejaculate	0.604	0.896	0.604	эякуляция
ejaculation	0.615	0.893	0.547	эякуляция
eject	0.434	0.656	0.559	шығару
ejection	0.188	0.836	0.554	шығару
elaborate	0.561	0.367	0.680	пысықтау
elaboration	0.708	0.500	0.598	әзірлеу
elan	0.562	0.367	0.500	elan
elapse	0.514	0.440	0.455	өту
elapsed	0.583	0.451	0.493	өтті
elastic	0.656	0.518	0.385	серпімді
elasticity	0.635	0.452	0.582	серпімділік
elated	0.792	0.960	0.725	шаттанды
elation	0.740	0.853	0.623	қуаныш
elbow	0.448	0.133	0.254	шынтақ
eld	0.471	0.292	0.451	қарт
elder	0.448	0.153	0.462	ақсақал
elders	0.602	0.260	0.441	ақсақалдар
eldest	0.625	0.471	0.741	ең үлкені
elect	0.667	0.554	0.661	таңдау
election	0.625	0.519	0.651	сайлау
elective	0.612	0.380	0.623	таңдау
elector	0.479	0.520	0.766	таңдаушы
electoral	0.490	0.631	0.602	сайлау
electorate	0.560	0.380	0.696	электорат
electric	0.458	0.708	0.512	электр
electric slide	0.542	0.660	0.536	электр сырғымасы
electrical	0.531	0.620	0.688	электрлік
electrician	0.449	0.590	0.620	электрик
electricity	0.698	0.810	0.733	электр энергиясы
electrify	0.520	0.769	0.737	электрлендіру
electrocute	0.271	0.731	0.555	ток соғу
electrocution	0.177	0.844	0.692	ток соғу
electromagnetic	0.531	0.632	0.683	электромагниттік
electron	0.520	0.455	0.560	электрон
electronic	0.571	0.490	0.704	электронды
electronics	0.708	0.545	0.574	электроника
elegance	0.918	0.396	0.824	талғампаздық
elegant	0.865	0.500	0.685	талғампаз
element	0.531	0.259	0.481	элемент
elemental	0.627	0.306	0.711	элементарлық
elementary	0.594	0.286	0.686	бастауыш
elements	0.510	0.312	0.462	элементтері
elephant	0.531	0.510	0.615	піл
elevate	0.812	0.500	0.804	көтеру
elevated	0.704	0.594	0.620	көтерілген
elevation	0.760	0.759	0.711	биіктік
elevator	0.562	0.604	0.676	жеделсаты
eleven	0.449	0.250	0.430	он бір
eleventh	0.594	0.329	0.357	он бірінші
elf	0.460	0.457	0.315	эльф
elicit	0.406	0.594	0.658	анықтау
eligible	0.750	0.400	0.518	жарамды
eliminate	0.265	0.670	0.324	жою
elimination	0.052	0.667	0.431	жою
elite	0.688	0.704	0.737	элита
elitist	0.500	0.606	0.656	элиталық
elixir	0.708	0.587	0.604	эликсир
elk	0.439	0.337	0.340	бұлан
ell	0.469	0.418	0.373	ал
ellipse	0.531	0.410	0.479	эллипс
ellipsis	0.653	0.358	0.314	эллипс
ellipsoid	0.500	0.440	0.419	эллипсоид
elliptic	0.500	0.431	0.528	эллиптикалық
elliptical	0.338	0.385	0.490	эллипстік
elm	0.510	0.345	0.321	қарағаш
elongate	0.583	0.385	0.540	ұзарту
elongation	0.561	0.500	0.500	созылу
elope	0.396	0.694	0.528	қашып кету
eloquence	0.729	0.490	0.804	шешендік
eloquent	0.870	0.680	0.741	шешен
elucidate	0.583	0.509	0.518	түсіндіру
elucidation	0.650	0.574	0.586	түсіндіру
elude	0.438	0.521	0.464	құтылу
elusive	0.229	0.615	0.466	қолға түспейтін
emaciated	0.103	0.541	0.151	арық
email	0.698	0.230	0.456	электрондық пошта
emanate	0.653	0.464	0.554	шығу
emancipation	0.704	0.684	0.763	эмансипация
embankment	0.677	0.438	0.436	жағалау
embargo	0.229	0.564	0.443	эмбарго
embark	0.541	0.550	0.619	отырғызу
embarrass	0.082	0.667	0.364	ұялту
embarrassed	0.184	0.560	0.246	ұялды
embarrassing	0.226	0.809	0.225	ұят
embarrassment	0.143	0.685	0.226	ұят
embassy	0.622	0.333	0.758	елшілік
embattled	0.235	0.724	0.421	күрескен
embed	0.417	0.554	0.670	ендіру
embellish	0.842	0.500	0.769	безендіру
embellishment	0.673	0.449	0.405	әшекейлеу
embers	0.490	0.481	0.508	шоқтар
embezzlement	0.143	0.827	0.435	жымқыру
embezzler	0.146	0.823	0.491	жымқырушы
emblem	0.640	0.330	0.754	эмблема
emblematic	0.771	0.459	0.798	эмблемалық
embodiment	0.562	0.690	0.663	іске асуы
embolism	0.104	0.660	0.302	эмболия
embossed	0.531	0.481	0.500	бедерлі
embrace	0.949	0.490	0.452	қамту
embroidered	0.677	0.279	0.407	кестеленген
embroidery	0.781	0.358	0.280	кесте тігу
embroiled	0.337	0.721	0.420	араласты
embryo	0.673	0.469	0.453	эмбрион
embryonic	0.573	0.453	0.598	эмбриональды
emcee	0.694	0.577	0.691	emcee
emerald	0.740	0.363	0.726	изумруд
emerge	0.602	0.594	0.731	пайда болады
emergence	0.276	0.857	0.676	пайда болуы
emergency	0.200	0.900	0.571	төтенше жағдай
emeritus	0.633	0.402	0.735	құрметті
emery	0.469	0.583	0.472	эмери
emetophobia	0.243	0.620	0.403	эмофобия
emigrate	0.356	0.812	0.508	эмиграция
emigration	0.564	0.664	0.432	эмиграция
eminence	0.816	0.644	0.837	мәртебелі
eminent	0.740	0.620	0.830	көрнекті
eminently	0.694	0.607	0.773	ерекше
emir	0.510	0.396	0.621	әмір
emissary	0.562	0.462	0.636	эмиссар
emission	0.510	0.453	0.591	эмиссия
emit	0.638	0.445	0.510	шығару
emo	0.354	0.314	0.226	эмо
emotion	0.693	0.873	0.696	эмоция
emotional	0.779	0.714	0.526	эмоционалды
emotive	0.917	0.741	0.525	эмоционалды
empathic	0.760	0.570	0.558	эмпатикалық
empathize	0.802	0.591	0.660	эмпатия жасау
empathy	0.729	0.349	0.545	эмпатия
emperor	0.651	0.704	0.962	император
emphasis	0.653	0.745	0.816	екпін
emphasize	0.510	0.605	0.769	атап көрсету
emphatic	0.615	0.707	0.732	екпінді
emphysema	0.156	0.556	0.336	эмфизема
empire	0.688	0.730	0.944	империя
empirical	0.500	0.510	0.574	эмпирикалық
empiricism	0.583	0.460	0.547	эмпиризм
employ	0.729	0.481	0.702	жұмысқа алу
employee	0.582	0.361	0.481	қызметкер
employer	0.663	0.518	0.767	жұмыс беруші
employment	0.750	0.594	0.611	жұмыспен қамту
emporium	0.622	0.556	0.724	эмпориум
empower	0.694	0.779	0.891	күш беру
empress	0.716	0.669	0.855	императрица
emptiness	0.177	0.173	0.184	бостық
emption	0.570	0.406	0.458	босату
empty	0.188	0.183	0.081	бос
emu	0.420	0.358	0.330	эму
emulate	0.438	0.340	0.549	еліктеу
emulsion	0.562	0.431	0.453	эмульсия
enable	0.760	0.491	0.782	қосу
enablement	0.600	0.451	0.750	қосу
enact	0.680	0.564	0.598	шығару
enactment	0.667	0.612	0.769	заң шығару
enamel	0.594	0.280	0.306	эмаль
encampment	0.677	0.573	0.605	лагерь
enchant	0.873	0.650	0.643	сиқырлау
enchanted	0.917	0.633	0.687	сиқырланған
enchanting	0.917	0.681	0.708	сиқырлы
enchantment	0.816	0.775	0.647	сиқырлық
enchantress	0.398	0.663	0.479	сиқыршы
enchilada	0.542	0.553	0.371	энчилада
encircle	0.460	0.500	0.519	қоршау
encircling	0.510	0.368	0.557	қоршау
enclave	0.531	0.333	0.580	анклав
enclose	0.531	0.477	0.473	қоршау
enclosure	0.417	0.375	0.490	қоршау
encode	0.490	0.500	0.734	кодтау
encomiastic	0.541	0.500	0.670	қызық
encomium	0.541	0.451	0.519	энкомиум
encompass	0.520	0.298	0.661	қамту
encore	0.510	0.423	0.500	енгізу
encounter	0.865	0.702	0.689	кездесу
encourage	0.896	0.580	0.704	ынталандыру
encouraged	0.953	0.702	0.657	көтермеледі
encouragement	0.865	0.700	0.759	мақтау
encouraging	0.823	0.583	0.755	жігерлендірерлік
encroach	0.302	0.742	0.702	қол сұғу
encroachment	0.255	0.736	0.620	қол сұғушылық
encrypt	0.500	0.387	0.500	шифрлау
encryption	0.547	0.415	0.474	шифрлау
encumbrance	0.300	0.521	0.480	ауыртпалық
encyclopedia	0.679	0.320	0.645	энциклопедия
end	0.198	0.349	0.298	Соңы
end table	0.541	0.480	0.482	соңғы кесте
endanger	0.115	0.885	0.404	қауіп төндіреді
endangered	0.083	0.885	0.430	құрып кету қаупі төнген
endangerment	0.167	0.873	0.519	қауіп
endearing	0.663	0.434	0.604	сүйкімді
endeavor	0.677	0.755	0.765	талпыну
ended	0.302	0.500	0.500	аяқталды
endemic	0.406	0.480	0.483	эндемиялық
endgame	0.449	0.538	0.526	ойын соңы
ending	0.344	0.365	0.492	аяқталуы
endless	0.347	0.462	0.472	шексіз
endocarditis	0.235	0.587	0.412	эндокардит
endorse	0.592	0.392	0.472	мақұлдау
endorsement	0.834	0.360	0.611	мақұлдау
endow	0.684	0.398	0.609	беру
endowed	0.755	0.510	0.769	берілген
endowment	0.685	0.578	0.647	қайыр
endpapers	0.542	0.400	0.339	соңғы қағаздар
endpoint	0.311	0.410	0.448	соңғы нүкте
endurance	0.592	0.745	0.760	төзімділік
endure	0.320	0.610	0.574	шыдау
enduring	0.633	0.459	0.768	төзімді
enema	0.281	0.673	0.268	клизма
enemy	0.135	0.794	0.591	жау
energetic	0.847	0.868	0.902	жігерлі
energize	0.792	0.810	0.875	қуаттандыру
energy	0.944	0.725	0.868	энергия
enforce	0.583	0.644	0.836	орындау
enforcement	0.594	0.571	0.736	орындау
enforcer	0.398	0.612	0.639	орындаушы
engage	0.771	0.796	0.713	айналысу
engaged	0.837	0.596	0.849	айналысқан
engagement	0.906	0.587	0.807	атастыру
engaging	0.948	0.612	0.862	тартымды
engender	0.561	0.741	0.688	туғызады
engine	0.615	0.644	0.676	қозғалтқыш
engineer	0.719	0.500	0.875	инженер
engineering	0.735	0.471	0.836	инженерия
engrave	0.486	0.442	0.517	ою
engraved	0.542	0.375	0.473	нақышталған
engraver	0.552	0.417	0.500	оюшы
engraving	0.604	0.430	0.442	гравюра
engrossed	0.541	0.471	0.304	батып кеткен
engrossing	0.698	0.702	0.750	тартымды
engulf	0.398	0.573	0.500	жұту
enhance	0.802	0.578	0.814	күшейту
enhancement	0.877	0.490	0.741	жақсарту
enigma	0.513	0.700	0.500	жұмбақ
enigmatic	0.469	0.589	0.679	жұмбақ
enjoin	0.594	0.454	0.732	бұйыру
enjoy	0.959	0.725	0.750	ләззат алыңыз
enjoyable	1.000	0.481	0.605	рахат
enjoying	0.908	0.759	0.759	ләззат алу
enjoyment	0.930	0.612	0.716	ләззат
enlarge	0.735	0.606	0.688	үлкейту
enlarged	0.673	0.490	0.518	үлкейтілген
enlargement	0.677	0.577	0.616	ұлғайту
enlighten	0.729	0.549	0.667	ағарту
enlightened	0.956	0.566	0.700	ағартылған
enlightening	0.825	0.729	0.727	ағарту
enlightenment	0.837	0.549	0.619	ағарту
enlist	0.510	0.370	0.483	шақыру
enliven	0.833	0.683	0.702	жандандыру
enmity	0.094	0.706	0.382	дұшпандық
ennui	0.406	0.461	0.316	күйзеліс
enormity	0.594	0.648	0.848	зорлық
enormous	0.677	0.665	0.886	орасан зор
enormously	0.760	0.694	0.872	орасан зор
enraged	0.083	0.962	0.636	ашулы
enrich	0.896	0.731	0.705	байыту
enroll	0.696	0.530	0.611	тіркелу
enrollment	0.667	0.391	0.698	Тіркелу
ensemble	0.697	0.418	0.586	ансамбль
ensign	0.663	0.270	0.545	прапорщик
enslave	0.073	0.800	0.481	құл ету
enslaved	0.104	0.720	0.321	құлдықта
enslavement	0.086	0.635	0.302	құлдық
ensue	0.698	0.363	0.332	пайда болады
ensure	0.737	0.406	0.759	қамтамасыз ету
entail	0.484	0.630	0.645	әкеледі
entangled	0.319	0.578	0.357	шырмалған
entanglement	0.302	0.765	0.248	түйісу
enter	0.708	0.470	0.500	енгізіңіз
enterprise	0.760	0.392	0.754	кәсіпорын
enterprising	0.865	0.784	0.875	іскер
entertain	0.918	0.684	0.598	көңіл көтеру
entertained	0.902	0.644	0.712	көңіл көтерді
entertainer	0.888	0.709	0.759	көңіл көтеруші
entertaining	0.833	0.658	0.660	көңіл көтеру
entertainment	0.847	0.750	0.569	ойын-сауық
enthralled	0.745	0.602	0.615	баурап алды
enthusiasm	0.938	0.816	0.798	ынта
enthusiast	0.867	0.810	0.875	энтузиаст
enthusiastic	0.885	0.868	0.848	ынталы
entice	0.521	0.887	0.518	еліктіру
entire	0.689	0.462	0.698	тұтас
entirety	0.854	0.460	0.804	тұтас
entitle	0.729	0.333	0.827	құқық
entity	0.542	0.402	0.670	нысан
entomology	0.438	0.396	0.545	энтомология
entourage	0.491	0.567	0.467	айнала
entrails	0.365	0.538	0.387	ішектер
entrance	0.698	0.393	0.526	Кіру
entrapment	0.177	0.604	0.441	тұзақ
entreat	0.304	0.560	0.462	өтіну
entree	0.615	0.477	0.624	антри
entrepreneur	0.885	0.704	0.920	кәсіпкер
entrust	0.693	0.310	0.630	сеніп тапсыру
entry	0.552	0.353	0.602	кіру
enumerate	0.521	0.390	0.491	санау
enumeration	0.548	0.327	0.534	санау
envelope	0.604	0.275	0.377	конверт
envious	0.110	0.754	0.341	қызғаныш
environ	0.724	0.221	0.433	қоршаған орта
environment	0.646	0.194	0.528	қоршаған орта
environmental	0.633	0.313	0.664	экологиялық
environs	0.561	0.288	0.345	айнала
envision	0.625	0.449	0.483	елестету
envoy	0.531	0.375	0.586	елші
envy	0.240	0.704	0.427	қызғаныш
enzyme	0.562	0.277	0.481	фермент
ephemeral	0.500	0.312	0.377	уақытша
ephemeris	0.640	0.380	0.528	эфемерия
epic	0.857	0.713	0.830	эпикалық
epidemic	0.092	0.830	0.611	эпидемия
epidermis	0.418	0.490	0.426	эпидермис
epidural	0.347	0.452	0.525	эпидуральды
epilepsy	0.061	0.854	0.250	эпилепсия
epileptic	0.146	0.794	0.340	эпилепсия
epilogue	0.582	0.353	0.466	эпилог
epiphany	0.625	0.596	0.526	эпифания
episcopal	0.542	0.314	0.750	епископтық
episode	0.719	0.367	0.509	эпизод
episodic	0.531	0.542	0.462	эпизодтық
epistle	0.604	0.417	0.535	хат
epitaph	0.276	0.323	0.442	эпитафия
epithet	0.530	0.394	0.524	эпитет
epitome	0.510	0.500	0.667	мысал
epoch	0.553	0.343	0.797	дәуір
equal	0.781	0.178	0.407	тең
equality	0.898	0.305	0.716	теңдік
equalization	0.625	0.422	0.423	теңестіру
equalize	0.738	0.281	0.574	теңестіру
equalizer	0.604	0.451	0.586	эквалайзер
equally	0.625	0.264	0.436	тең
equate	0.724	0.382	0.624	теңестіру
equation	0.479	0.384	0.608	теңдеу
equator	0.550	0.302	0.462	экватор
equatorial	0.550	0.271	0.593	экваторлық
equestrian	0.633	0.519	0.417	ат спорты
equidistant	0.375	0.406	0.509	тең қашықтықта
equilibration	0.724	0.317	0.593	тепе-теңдік
equilibrium	0.676	0.235	0.620	тепе-теңдік
equip	0.650	0.519	0.713	жабдықтау
equipment	0.745	0.495	0.700	жабдық
equitable	0.714	0.286	0.750	әділетті
equity	0.792	0.304	0.614	меншікті капитал
equivalence	0.663	0.250	0.582	эквиваленттілік
equivalent	0.646	0.347	0.500	эквивалент
equivocal	0.327	0.482	0.257	екіұшты
era	0.615	0.407	0.449	дәуір
eradicate	0.260	0.690	0.686	жою
eradication	0.208	0.788	0.685	жою
erase	0.240	0.260	0.321	өшіру
eraser	0.458	0.209	0.311	өшіргіш
erasure	0.281	0.360	0.265	өшіру
ere	0.479	0.312	0.377	ere
erect	0.643	0.885	0.627	тұрғызу
erectile	0.542	0.796	0.625	эректильді
erection	0.640	0.856	0.695	эрекция
ergo	0.385	0.400	0.385	сондықтан
erode	0.208	0.643	0.580	эрозия
erosion	0.312	0.770	0.465	эрозия
erotic	0.625	0.946	0.683	эротикалық
erotica	0.781	0.870	0.579	эротика
err	0.146	0.660	0.236	қате
errand	0.385	0.519	0.482	тапсырма
errant	0.205	0.602	0.375	қателесу
erratic	0.271	0.503	0.217	тұрақсыз
erratum	0.327	0.528	0.436	қателік
erroneous	0.057	0.561	0.245	қате
error	0.094	0.559	0.198	қате
erst	0.277	0.422	0.357	бұрын
erudite	0.719	0.434	0.774	білімді
erupt	0.188	0.820	0.818	атқылау
eruption	0.156	0.913	0.733	атқылау
escalade	0.480	0.724	0.442	эскалад
escalate	0.653	0.714	0.728	ұлғайту
escalating	0.646	0.724	0.518	күшеюде
escalation	0.571	0.807	0.582	эскалация
escalator	0.500	0.530	0.518	эскалатор
escape	0.367	0.765	0.448	қашу
escaped	0.365	0.755	0.518	қашып кетті
escarpment	0.406	0.553	0.470	эскарп
eschew	0.184	0.438	0.370	бас тарту
escort	0.729	0.480	0.608	алып жүру
escrow	0.449	0.520	0.613	үшінші жаққа ақшаны сақтауға беру
esophagus	0.429	0.454	0.464	өңеш
esoteric	0.500	0.676	0.545	эзотерикалық
especial	0.827	0.419	0.794	ерекше
espionage	0.312	0.750	0.620	тыңшылық
espouse	0.802	0.529	0.598	жар болу
espresso	0.677	0.620	0.508	эспрессо
esprit	0.552	0.431	0.407	эсприт
esquire	0.604	0.542	0.518	эквайр
essay	0.559	0.411	0.530	эссе
essayist	0.656	0.460	0.462	эссеист
essence	0.663	0.369	0.575	мәні
essential	0.812	0.405	0.759	маңызды
essentially	0.750	0.373	0.802	негізінен
establish	0.708	0.500	0.688	орнату
established	0.796	0.394	0.694	құрылды
establishment	0.690	0.398	0.631	құру
estate	0.653	0.385	0.647	жылжымайтын мүлік
esteem	0.745	0.380	0.679	құрметтеу
esteemed	0.694	0.418	0.531	құрметті
esthetic	0.635	0.360	0.558	эстетикалық
estimable	0.796	0.408	0.630	бағаланатын
estimate	0.719	0.469	0.517	бағалау
