English Word	Valence	Arousal	Dominance	Macedonian Word
compulsion	0.118	0.760	0.604	принуда
compulsive	0.347	0.871	0.573	компулсивен
compulsory	0.343	0.541	0.791	задолжително
computable	0.570	0.402	0.545	пресметливи
computation	0.583	0.429	0.697	пресметување
compute	0.531	0.408	0.564	пресметај
computer	0.802	0.356	0.639	компјутер
computerized	0.677	0.450	0.657	компјутеризирани
computing	0.745	0.398	0.695	пресметување
comrade	0.781	0.412	0.804	другар
con	0.255	0.736	0.427	кон
concatenation	0.480	0.593	0.539	конкатенација
concave	0.441	0.349	0.349	конкавна
conceal	0.312	0.436	0.306	прикријат
concealed	0.344	0.363	0.352	сокриен
concealment	0.302	0.570	0.390	прикривање
concede	0.670	0.324	0.473	признаваат
conceit	0.354	0.625	0.309	вообразеност
conceited	0.194	0.667	0.473	вообразен
conceivable	0.730	0.350	0.613	замисливо
conceive	0.708	0.538	0.700	зачне
concentrate	0.750	0.439	0.743	концентрат
concentration	0.735	0.500	0.722	концентрација
concentric	0.730	0.479	0.635	концентрични
concept	0.573	0.265	0.632	концепт
conception	0.694	0.490	0.614	зачнувањето
concern	0.250	0.734	0.463	загриженост
concerned	0.292	0.698	0.350	засегнати
concert	0.938	0.867	0.718	концерт
concerto	0.613	0.759	0.679	концерт
concession	0.588	0.423	0.615	концесија
concessional	0.770	0.493	0.657	концесиски
conch	0.583	0.306	0.339	конха
concierge	0.480	0.343	0.343	консиерж
conciliation	0.792	0.475	0.726	помирување
concise	0.583	0.298	0.620	концизен
conclave	0.573	0.440	0.611	конклава
conclude	0.530	0.267	0.679	заклучи
concluding	0.531	0.382	0.603	склучување
conclusion	0.615	0.377	0.659	заклучок
conclusive	0.500	0.427	0.745	конечна
concoction	0.448	0.459	0.417	измислување
concomitant	0.427	0.482	0.727	истовремена
concord	0.677	0.320	0.586	согласност
concordance	0.625	0.358	0.608	усогласеност
concours	0.500	0.530	0.495	конкурси
concourse	0.740	0.657	0.528	се собираат
concrete	0.633	0.420	0.547	бетон
concubine	0.388	0.594	0.476	наложница
concur	0.459	0.394	0.429	се согласуваат
concurrence	0.764	0.627	0.613	истовременост
concurrent	0.573	0.547	0.741	истовремена
concurring	0.573	0.600	0.681	согласни
concussion	0.072	0.708	0.482	потрес на мозокот
condemn	0.102	0.793	0.625	осудуваат
condemnation	0.133	0.725	0.449	осуда
condensation	0.510	0.316	0.538	кондензација
condensed	0.598	0.415	0.623	кондензиран
condescending	0.583	0.363	0.593	снисходливо
condescension	0.521	0.377	0.565	снисходење
condiment	0.520	0.333	0.433	зачини
condition	0.500	0.469	0.519	состојба
conditional	0.521	0.343	0.556	условен
conditionally	0.396	0.419	0.617	условно
conditioned	0.490	0.417	0.616	условени
conditioner	0.781	0.360	0.538	балсам
conditioning	0.440	0.468	0.617	условување
conditions	0.551	0.441	0.593	Услови
condo	0.439	0.288	0.607	стан
condolence	0.260	0.443	0.404	сочувство
condolences	0.198	0.480	0.288	сочувство
condom	0.406	0.637	0.500	кондом
condone	0.571	0.441	0.619	оправда
condor	0.573	0.388	0.519	кондор
conducive	0.775	0.479	0.679	погодна
conduct	0.453	0.510	0.750	однесување
conduction	0.530	0.557	0.717	спроводливост
conductivity	0.583	0.575	0.642	спроводливост
conductor	0.677	0.663	0.621	проводник
conduit	0.470	0.302	0.413	канал
cone	0.417	0.208	0.343	конус
confederacy	0.590	0.541	0.736	конфедерација
confederate	0.551	0.546	0.792	конфедеративна
confederation	0.663	0.404	0.830	конфедерација
confer	0.573	0.482	0.583	договараат
conference	0.688	0.615	0.606	конференција
confess	0.360	0.712	0.431	признаат
confession	0.469	0.642	0.460	исповед
confessional	0.458	0.392	0.629	исповедни
confessions	0.325	0.538	0.658	признанија
confetti	0.781	0.573	0.250	конфети
confidant	0.837	0.633	0.631	доверлив
confide	0.669	0.472	0.595	довери
confidence	0.959	0.276	0.943	доверба
confident	0.765	0.324	0.723	самоуверен
confidential	0.643	0.471	0.761	Доверливо
confidentiality	0.667	0.431	0.718	доверливост
confidentially	0.633	0.469	0.558	доверливо
configuration	0.540	0.443	0.591	конфигурација
confine	0.327	0.551	0.538	ограничи
confined	0.286	0.472	0.444	ограничен
confinement	0.333	0.656	0.520	затворање
confines	0.396	0.386	0.542	ограничува
confirm	0.802	0.439	0.806	потврди
confirmation	0.812	0.480	0.692	потврда
confirmatory	0.656	0.500	0.683	потврдувачки
confirmed	0.760	0.490	0.764	потврдено
confiscate	0.250	0.625	0.482	конфискува
confiscation	0.208	0.706	0.586	конфискација
conflagration	0.344	0.721	0.594	пламен
conflict	0.335	0.906	0.471	конфликт
conflicting	0.173	0.738	0.553	конфликтни
confluence	0.677	0.598	0.565	сливот
conform	0.479	0.380	0.375	усогласат
conformance	0.608	0.278	0.254	усогласеност
conformation	0.622	0.435	0.711	конформација
conformity	0.645	0.363	0.579	сообразност
confound	0.347	0.529	0.333	збуни
confounded	0.333	0.528	0.264	збунет
confront	0.281	0.760	0.746	соочуваат
confrontation	0.177	0.870	0.658	конфронтација
confuse	0.100	0.580	0.270	збуни
confused	0.220	0.650	0.179	збунет
confusing	0.229	0.690	0.222	збунувачки
confusion	0.255	0.667	0.277	конфузија
conga	0.469	0.529	0.440	конга
congenial	0.820	0.412	0.620	вродена
congenital	0.448	0.434	0.427	вродени
congestion	0.271	0.654	0.491	метеж
conglomerate	0.500	0.500	0.838	конгломерат
conglomeration	0.541	0.720	0.670	конгломерација
congrats	0.930	0.726	0.775	честитки
congratulate	0.927	0.724	0.784	честитам
congratulation	0.948	0.780	0.717	честитки
congratulations	0.960	0.755	0.719	честитки
congratulatory	0.959	0.616	0.689	честитки
congregate	0.653	0.530	0.733	се собираат
congregation	0.561	0.490	0.700	собранието
congress	0.449	0.444	0.857	конгресот
congressional	0.552	0.491	0.848	конгресен
congressman	0.438	0.471	0.877	конгресмен
congruence	0.656	0.472	0.577	конгруентност
conic	0.510	0.368	0.379	конусна
conical	0.490	0.422	0.471	конусна
conjecture	0.396	0.398	0.534	претпоставка
conjugal	0.698	0.510	0.688	брачен
conjugate	0.583	0.420	0.467	конјугираат
conjugation	0.479	0.429	0.582	конјугација
conjunction	0.520	0.472	0.509	сврзник
conjunctive	0.487	0.444	0.639	конјуктивна
conjure	0.385	0.679	0.645	апелирам
conjuring	0.224	0.653	0.694	договарање
conk	0.340	0.469	0.404	конк
connect	0.724	0.299	0.536	поврзете
connected	0.816	0.550	0.612	поврзани
connection	0.729	0.560	0.655	поврзување
connective	0.719	0.491	0.764	сврзно
connoisseur	0.760	0.461	0.769	познавач
conquer	0.694	0.873	0.971	освојуваат
conquering	0.760	0.873	0.936	освојувајќи
conqueror	0.604	0.809	0.930	освојувач
conquest	0.710	0.702	0.833	освојување
conscience	0.663	0.375	0.721	совеста
conscientious	0.688	0.404	0.688	совесен
conscious	0.740	0.333	0.705	свесен
consciousness	0.840	0.483	0.755	свеста
conscription	0.396	0.775	0.642	регрутирање
consecrated	0.663	0.500	0.800	осветена
consecration	0.771	0.418	0.804	осветување
consecutive	0.663	0.418	0.643	последователни
consensual	0.663	0.417	0.655	консензуален
consensus	0.627	0.358	0.625	консензус
consent	0.750	0.500	0.620	согласност
consenting	0.727	0.406	0.693	согласни
consequence	0.240	0.721	0.593	последица
consequent	0.663	0.471	0.625	последователно
conservation	0.832	0.401	0.606	конзервација
conservatism	0.406	0.369	0.633	конзервативизам
conservative	0.615	0.316	0.788	конзервативна
conservatory	0.635	0.240	0.729	конзерваториум
conserve	0.690	0.347	0.573	зачувај
consider	0.677	0.368	0.579	да се разгледа
considerable	0.653	0.314	0.683	значителен
considerate	0.781	0.380	0.633	внимателен
consideration	0.589	0.380	0.687	разгледување
consignee	0.635	0.385	0.602	примач
consignment	0.490	0.440	0.500	пратката
consist	0.823	0.386	0.580	се состои
consistency	0.714	0.500	0.887	конзистентност
consistent	0.786	0.431	0.726	конзистентна
consolation	0.408	0.250	0.304	утеха
console	0.625	0.398	0.415	конзола
consoled	0.700	0.343	0.452	утеши
consolidate	0.880	0.440	0.870	консолидираат
consolidated	0.700	0.366	0.784	консолидирани
consolidation	0.604	0.445	0.776	консолидација
consonant	0.500	0.347	0.417	согласка
consort	0.632	0.509	0.630	сопруга
conspicuous	0.479	0.520	0.596	упадливи
conspiracy	0.125	0.787	0.652	заговор
conspirator	0.271	0.786	0.707	заговорник
conspire	0.206	0.740	0.520	заговор
constable	0.573	0.667	0.764	полицаец
constancy	0.786	0.443	0.763	постојаност
constant	0.740	0.296	0.686	постојана
constantly	0.663	0.561	0.700	постојано
constellation	0.719	0.533	0.775	соѕвездие
consternation	0.167	0.680	0.469	зачуденост
constipation	0.079	0.612	0.231	запек
constituency	0.500	0.480	0.696	изборна единица
constituent	0.573	0.500	0.827	составен
constituents	0.573	0.414	0.833	конституенти
constitute	0.812	0.349	0.906	сочинуваат
constitution	0.590	0.380	0.889	устав
constitutional	0.633	0.418	0.827	уставни
constitutionality	0.612	0.439	0.853	уставноста
constrain	0.261	0.500	0.500	ограничување
constrained	0.135	0.537	0.357	ограничени
constraint	0.323	0.550	0.481	ограничување
construct	0.750	0.648	0.792	конструкција
construction	0.848	0.612	0.759	градба
constructive	0.860	0.570	0.812	конструктивен
construe	0.602	0.519	0.553	конструира
consul	0.573	0.354	0.688	конзул
consulate	0.561	0.453	0.694	конзулат
consult	0.755	0.370	0.441	консултирајте се
consultant	0.770	0.344	0.808	консултант
consultation	0.660	0.463	0.625	консултација
consume	0.427	0.620	0.509	консумираат
consumer	0.507	0.551	0.677	потрошувачот
consuming	0.573	0.541	0.536	конзумирање
consummate	0.551	0.540	0.558	севкупно
consummation	0.583	0.676	0.661	консумација
consumption	0.390	0.531	0.538	потрошувачката
contact	0.719	0.424	0.526	контакт
contagion	0.208	0.630	0.535	зараза
contagious	0.184	0.725	0.400	заразно
contain	0.542	0.490	0.658	содржат
container	0.551	0.396	0.561	контејнер
containment	0.411	0.491	0.618	задржување
contaminate	0.140	0.611	0.426	контаминираат
contaminated	0.040	0.500	0.368	контаминирани
contamination	0.125	0.610	0.375	контаминација
contemplate	0.740	0.347	0.642	размислуваат
contemplation	0.552	0.324	0.627	контемплација
contemplative	0.729	0.308	0.739	контемплативен
contemporaneous	0.640	0.373	0.591	истовремена
contemporary	0.720	0.365	0.569	современ
contempt	0.206	0.635	0.396	презир
contemptible	0.146	0.657	0.471	презирен
contemptuous	0.204	0.500	0.375	презир
contend	0.510	0.657	0.731	се борат
contender	0.480	0.790	0.681	претендент
contending	0.490	0.698	0.716	претендирајќи
content	0.764	0.296	0.559	содржина
contented	0.857	0.612	0.746	задоволен
contention	0.375	0.510	0.738	расправија
contentious	0.422	0.573	0.637	спорни
contentment	0.875	0.610	0.782	задоволство
contents	0.656	0.375	0.550	содржината
contest	0.667	0.698	0.717	натпревар
contestant	0.760	0.530	0.602	натпреварувач
context	0.531	0.300	0.553	контекст
contiguous	0.375	0.450	0.500	соседни
continence	0.450	0.396	0.469	континенција
continent	0.551	0.373	0.833	континент
continental	0.486	0.350	0.755	континентална
contingency	0.396	0.500	0.670	непредвидени
contingent	0.470	0.531	0.659	контингент
continual	0.500	0.423	0.685	континуирано
continually	0.646	0.438	0.698	постојано
continuance	0.729	0.510	0.652	продолжување
continuation	0.615	0.470	0.566	продолжение
continue	0.630	0.427	0.612	продолжи
continued	0.635	0.440	0.500	продолжи
continuing	0.667	0.500	0.520	продолжување
continuity	0.781	0.439	0.684	континуитет
continuous	0.625	0.509	0.580	континуирано
continuously	0.719	0.417	0.702	континуирано
continuum	0.677	0.390	0.491	континуитет
contour	0.589	0.265	0.414	контура
contraband	0.177	0.875	0.670	шверцувана
contraception	0.296	0.518	0.525	контрацепција
contract	0.594	0.412	0.636	договор
contracted	0.344	0.557	0.449	договорено
contractile	0.480	0.586	0.569	контрактилен
contracting	0.594	0.490	0.769	склучување договори
contraction	0.292	0.755	0.603	контракција
contractor	0.592	0.479	0.727	изведувач
contradict	0.160	0.598	0.482	контрадикторни
contradiction	0.250	0.660	0.377	контрадикторност
contradictory	0.365	0.651	0.421	контрадикторни
contraption	0.448	0.590	0.491	контрапција
contrary	0.327	0.449	0.338	спротивно
contrast	0.480	0.406	0.520	контраст
contrasted	0.521	0.538	0.491	контрастиран
contravene	0.357	0.618	0.472	прекршуваат
contravention	0.344	0.627	0.593	прекршување
contribute	0.806	0.350	0.795	придонесе
contribution	0.854	0.452	0.760	придонес
contributor	0.844	0.510	0.760	придонесувач
contrite	0.347	0.363	0.473	покајани
contrition	0.347	0.583	0.463	скрушеност
contrived	0.408	0.530	0.458	измислена
control	0.729	0.352	0.808	контрола
controller	0.469	0.712	0.868	управувач
controlling	0.490	0.441	0.885	контролирање
controversial	0.271	0.858	0.538	контроверзен
controversy	0.250	0.819	0.600	полемика
contusion	0.167	0.565	0.509	контузија
conundrum	0.354	0.524	0.408	загатка
convalescent	0.458	0.480	0.269	реконвалесцентен
convection	0.521	0.494	0.526	конвекција
convene	0.583	0.676	0.636	свикаат
convenience	0.781	0.448	0.613	погодност
conveniences	0.802	0.412	0.693	погодности
convenient	0.846	0.491	0.574	Погодно
convent	0.480	0.217	0.594	манастир
convention	0.622	0.622	0.704	конвенција
conventional	0.594	0.292	0.634	конвенционален
converge	0.635	0.471	0.539	се спојуваат
convergence	0.551	0.491	0.625	конвергенција
convergent	0.781	0.490	0.696	конвергентен
conversant	0.724	0.360	0.542	соговорник
conversation	0.750	0.510	0.609	разговор
conversational	0.719	0.431	0.596	разговорно
conversationalist	0.719	0.467	0.667	разговорник
converse	0.594	0.406	0.598	разговараат
conversing	0.755	0.409	0.442	разговарајќи
conversion	0.480	0.605	0.736	конверзија
convert	0.551	0.538	0.704	конвертирате
converted	0.663	0.418	0.686	претворена
convertible	0.542	0.529	0.717	кабриолет
convex	0.438	0.427	0.445	конвексни
convexity	0.449	0.354	0.484	конвексност
convey	0.719	0.633	0.708	пренесе
conveyance	0.615	0.520	0.455	пренесување
conveyancing	0.375	0.479	0.663	пренесување
convict	0.177	0.840	0.477	осуденик
conviction	0.615	0.704	0.826	убедување
convince	0.708	0.539	0.763	убеди
convinced	0.750	0.500	0.630	убедени
convincing	0.760	0.527	0.900	убедливо
convocation	0.538	0.611	0.663	свикување
convoluted	0.323	0.614	0.433	згрчена
convolution	0.417	0.559	0.527	конволуција
convoy	0.500	0.671	0.639	конвој
coo	0.490	0.439	0.500	гуга
cook	0.847	0.500	0.412	готви
cookbook	0.602	0.346	0.398	готвач
cooker	0.592	0.373	0.407	шпорет
cookery	0.633	0.368	0.345	готвење
cookie	0.792	0.306	0.250	колаче
cookies	0.823	0.451	0.316	колачиња
cooking	0.694	0.510	0.434	готвење
cookout	0.680	0.406	0.482	готвење
cool	0.885	0.540	0.781	кул
coolant	0.720	0.412	0.456	течноста за ладење
cooler	0.664	0.375	0.460	поладна
cooling	0.469	0.324	0.392	ладење
coolness	0.490	0.307	0.548	свежина
coon	0.490	0.460	0.400	кун
coop	0.612	0.445	0.650	кокошарник
cooperate	0.898	0.451	0.582	соработуваат
cooperating	0.760	0.390	0.693	соработувајќи
cooperation	0.847	0.473	0.686	соработка
cooperative	0.816	0.461	0.670	задруга
coordinate	0.698	0.429	0.694	координираат
coordination	0.677	0.454	0.789	координација
coordinator	0.750	0.510	0.850	координатор
cop	0.327	0.770	0.836	полицаец
copacetic	0.510	0.471	0.453	копатичен
cope	0.592	0.647	0.709	справат
copier	0.459	0.345	0.390	копир
copilot	0.640	0.538	0.573	копилот
coping	0.562	0.630	0.613	справување
copious	0.427	0.462	0.527	обилен
copper	0.580	0.260	0.500	бакар
copter	0.571	0.704	0.569	хеликоптер
copy	0.460	0.240	0.263	копирајте
copycat	0.449	0.580	0.443	копираат
copying	0.448	0.315	0.404	копирање
copyright	0.458	0.402	0.663	авторски права
coral	0.802	0.231	0.425	корали
coral snake	0.276	0.712	0.607	корална змија
cord	0.388	0.378	0.358	кабелот
cordial	0.823	0.312	0.482	срдечна
cordless	0.667	0.441	0.528	безжичен
cordon	0.469	0.317	0.380	кордон
corduroy	0.570	0.324	0.357	сомотски
core	0.721	0.378	0.540	јадро
cork	0.347	0.250	0.281	плута
corkscrew	0.427	0.443	0.445	шрафче
corn	0.594	0.196	0.292	пченка
cornball	0.479	0.378	0.325	пченкарно топче
cornbread	0.643	0.304	0.302	пченкарен леб
cornea	0.521	0.346	0.443	рожницата
corned	0.459	0.441	0.425	пченкарен
corner	0.400	0.296	0.366	агол
cornerstone	0.550	0.388	0.596	камен-темелник
cornet	0.507	0.520	0.415	корнет
cornfield	0.719	0.310	0.349	пченкарно поле
cornflakes	0.729	0.346	0.355	корнфлекс
cornice	0.458	0.441	0.295	корниз
cornstarch	0.643	0.299	0.337	пченкарен скроб
corny	0.448	0.370	0.221	корни
corollary	0.458	0.469	0.366	заклучок
corona	0.818	0.439	0.745	корона
coronary	0.567	0.613	0.509	коронарна
coronation	0.792	0.592	0.836	крунисување
coroner	0.323	0.558	0.526	судски лекар
corporal	0.582	0.490	0.596	каплар
corporate	0.592	0.454	0.745	корпоративни
corporation	0.429	0.332	0.873	корпорација
corporeal	0.520	0.350	0.461	телесно
corps	0.551	0.453	0.483	корпус
corpse	0.094	0.657	0.232	труп
corpsman	0.439	0.469	0.651	корпусман
corpus	0.543	0.340	0.490	корпус
corral	0.606	0.662	0.422	корал
correct	0.857	0.306	0.723	точно
correction	0.448	0.485	0.558	корекција
correctional	0.292	0.713	0.602	поправен
corrective	0.448	0.528	0.613	корективни
correctness	0.796	0.450	0.649	исправност
correlation	0.596	0.462	0.571	корелација
correlative	0.510	0.402	0.571	корелативен
correspond	0.710	0.452	0.545	одговараат
correspondence	0.663	0.423	0.491	кореспонденција
correspondent	0.573	0.565	0.712	дописник
corresponding	0.740	0.423	0.618	соодветните
corridor	0.604	0.589	0.592	коридор
corroborate	0.671	0.471	0.616	потврдуваат
corroboration	0.625	0.431	0.733	потврда
corrosion	0.156	0.610	0.348	корозија
corrosive	0.140	0.618	0.570	корозивни
corrupt	0.020	0.806	0.500	корумпиран
corrupting	0.062	0.804	0.380	корумпирајќи
corruption	0.052	0.830	0.549	корупција
corsage	0.510	0.294	0.397	корсаж
corse	0.448	0.451	0.382	корса
corset	0.490	0.520	0.381	корсет
cortex	0.594	0.439	0.529	кортекс
cortical	0.380	0.423	0.536	кортикални
cortisone	0.427	0.395	0.456	кортизон
corvette	0.551	0.520	0.598	корвета
cosmetic	0.625	0.304	0.308	козметички
cosmetics	0.765	0.464	0.472	козметика
cosmic	0.663	0.538	0.692	космички
cosmology	0.651	0.438	0.637	космологијата
cosmopolitan	0.823	0.510	0.760	космополитски
cosmos	0.860	0.478	0.664	космос
cost	0.365	0.420	0.439	трошок
costly	0.316	0.650	0.642	скапи
costume	0.548	0.510	0.374	костим
cosy	0.847	0.255	0.518	пријатна
cot	0.625	0.230	0.278	креветче
cote	0.439	0.344	0.324	брег
cottage	0.600	0.279	0.361	колиба
cotton	0.639	0.071	0.240	памук
couch	0.594	0.082	0.198	каучот
cougar	0.438	0.588	0.538	пума
cough	0.255	0.627	0.241	кашлица
council	0.875	0.279	0.635	совет
councilman	0.531	0.367	0.793	советник
counsel	0.594	0.519	0.730	советник
counseling	0.667	0.480	0.704	советување
counsellor	0.823	0.327	0.740	советник
counselor	0.873	0.365	0.706	советник
count	0.594	0.389	0.492	брои
countdown	0.438	0.692	0.490	одбројување
countenance	0.635	0.440	0.690	лицето
counter	0.439	0.478	0.750	бројач
counteract	0.378	0.542	0.688	се спротивстави
counterattack	0.281	0.951	0.764	контра напад
counterbalance	0.520	0.480	0.627	противтежа
counterclaim	0.398	0.760	0.651	противтужба
counterfeit	0.094	0.694	0.451	фалсификувани
counterpart	0.448	0.608	0.577	пандан
counterpoint	0.438	0.509	0.538	контрапункт
countess	0.562	0.440	0.670	грофицата
countless	0.520	0.566	0.534	безброј
country	0.698	0.394	0.693	земја
countryman	0.673	0.441	0.789	сонародник
countrymusic	0.795	0.451	0.438	кантри музика
countryside	0.732	0.288	0.327	село
counts	0.343	0.373	0.500	брои
county	0.479	0.368	0.545	округот
coup	0.275	0.815	0.607	државен удар
coupe	0.479	0.460	0.482	купе
couple	0.806	0.605	0.607	двојка
coupled	0.612	0.286	0.650	споени
coupling	0.594	0.479	0.555	спојка
coupon	0.704	0.300	0.421	купон
courage	0.830	0.728	0.849	храброст
courageous	0.918	0.587	0.879	храбри
courier	0.551	0.383	0.441	Курир
courses	0.735	0.412	0.534	курсеви
coursing	0.542	0.472	0.546	курсеви
court	0.479	0.769	0.827	судот
courteous	0.937	0.396	0.529	љубезен
courtesy	0.927	0.287	0.431	учтивост
courthouse	0.571	0.503	0.818	судница
courtroom	0.385	0.670	0.887	судница
courts	0.367	0.710	0.816	судовите
courtship	0.667	0.490	0.654	додворување
courtside	0.592	0.391	0.434	дворот
courtyard	0.503	0.365	0.355	двор
cousin	0.675	0.394	0.427	братучед
cousins	0.760	0.409	0.464	братучеди
cove	0.500	0.304	0.370	заливот
coven	0.458	0.578	0.591	ковен
covenant	0.594	0.462	0.667	завет
cover	0.365	0.240	0.471	покритие
coverage	0.767	0.413	0.629	покриеност
covered	0.562	0.340	0.644	покриени
covering	0.615	0.382	0.583	покривање
covert	0.500	0.570	0.508	прикриен
covet	0.302	0.779	0.524	посакувам
coveted	0.661	0.730	0.625	посакувана
cow	0.449	0.230	0.300	крава
coward	0.102	0.490	0.149	кукавица
cowardice	0.133	0.621	0.167	кукавичлук
cowardly	0.102	0.385	0.127	кукавички
cowboy	0.594	0.625	0.695	каубојски
cowgirl	0.541	0.566	0.554	каубојка
cowhand	0.438	0.480	0.596	краварска рака
cowhide	0.458	0.324	0.333	говедска кожа
cowl	0.427	0.450	0.232	прекривка
coworker	0.667	0.490	0.625	колега од работа
coy	0.347	0.330	0.213	срамежлив
coyote	0.459	0.471	0.387	којот
cozy	0.910	0.356	0.545	пријатна
crab	0.421	0.396	0.330	рак
crabby	0.198	0.812	0.370	краби
crack	0.302	0.625	0.400	пукнатина
cracked	0.224	0.520	0.228	испукани
cracker	0.604	0.343	0.346	бомбичка
crackerjack	0.567	0.509	0.426	крекер џек
cracking	0.327	0.557	0.286	пукање
crackle	0.327	0.643	0.481	крцкање
crackpot	0.260	0.602	0.245	пукнатина
cradle	0.776	0.194	0.333	лулка
craft	0.760	0.321	0.539	занает
crafts	0.667	0.380	0.391	занаети
craftsman	0.719	0.310	0.583	занаетчија
craftsmanship	0.823	0.373	0.571	занаетчиството
crafty	0.589	0.679	0.783	лукав
craig	0.448	0.449	0.490	Крег
cram	0.354	0.730	0.598	гужва
crammed	0.406	0.740	0.466	набиен
cramp	0.194	0.796	0.340	грч
cramped	0.240	0.567	0.360	тесно
cranberry	0.793	0.330	0.363	брусница
cranberry juice	0.622	0.321	0.281	сок од брусница
crane	0.396	0.417	0.589	кран
cranial	0.354	0.510	0.583	кранијални
cranium	0.439	0.491	0.725	черепот
crank	0.448	0.275	0.417	чудак
cranky	0.194	0.776	0.396	откачена
cranny	0.194	0.471	0.250	пукнатина
crap	0.083	0.644	0.167	глупости
crappy	0.039	0.582	0.208	гадно
craps	0.375	0.420	0.273	глупости
crash	0.194	0.906	0.355	несреќа
crass	0.223	0.490	0.466	крос
crate	0.427	0.173	0.274	гајба
crater	0.450	0.647	0.529	кратер
crave	0.625	0.510	0.731	копнеат
craving	0.510	0.755	0.636	желба
crawfish	0.510	0.427	0.342	ракови
crawl	0.479	0.519	0.467	ползи
crayon	0.604	0.260	0.185	боичка
crayons	0.684	0.366	0.405	боички
craze	0.255	0.657	0.435	лудост
crazed	0.153	0.877	0.417	луд
craziness	0.238	0.908	0.255	лудост
crazy	0.156	0.843	0.321	луд
creak	0.344	0.670	0.411	крцкање
creaking	0.302	0.743	0.415	крцкање
cream	0.688	0.259	0.220	крем
creamed	0.723	0.273	0.288	крем
creamer	0.594	0.192	0.269	кремач
creamy	0.823	0.337	0.345	кремаста
crease	0.440	0.286	0.300	браздата
create	0.786	0.588	0.789	создаваат
creation	0.927	0.575	0.868	создавањето
creative	0.917	0.518	0.788	креативни
creativity	0.938	0.684	0.815	креативност
creator	0.865	0.592	0.856	творец
creature	0.669	0.625	0.620	суштество
credence	0.760	0.460	0.737	доверба
credential	0.735	0.337	0.597	ингеренциите
credentials	0.708	0.373	0.675	ингеренциите
credibility	0.875	0.427	0.809	кредибилитет
credible	0.917	0.441	0.750	веродостојни
credit	0.673	0.549	0.648	кредит
credit card	0.670	0.550	0.640	кредитна картичка
creditable	0.802	0.510	0.742	заслужен
credited	0.781	0.390	0.691	заслужен
crediting	0.673	0.550	0.741	кредитирање
creditor	0.479	0.594	0.689	доверителот
creed	0.573	0.245	0.544	верување
creek	0.552	0.392	0.330	потокот
creep	0.354	0.647	0.361	лази
creeper	0.429	0.558	0.366	ползавец
creeping	0.292	0.613	0.282	притаен
creepy	0.125	0.861	0.373	морничав
cremation	0.084	0.620	0.420	кремирање
creole	0.667	0.357	0.523	креолски
crepe	0.562	0.224	0.349	павлака
crescendo	0.760	0.575	0.594	крешендо
crescent	0.698	0.382	0.407	полумесечина
crest	0.458	0.333	0.333	сртот
crestfallen	0.235	0.346	0.175	паднат
cretin	0.265	0.583	0.312	кретен
cretins	0.094	0.741	0.328	кретините
crevice	0.361	0.471	0.275	пукнатина
crew	0.604	0.598	0.735	екипажот
crewman	0.602	0.580	0.548	член на екипажот
crib	0.653	0.240	0.407	креветче
cricket	0.423	0.539	0.370	штурец
cried	0.167	0.612	0.254	извика
crime	0.071	0.943	0.630	криминал
criminal	0.021	0.830	0.529	криминалец
criminality	0.122	0.863	0.580	криминалитетот
crimp	0.260	0.557	0.396	стегање
crimson	0.667	0.385	0.370	темноцрвена
cringe	0.245	0.840	0.377	згрчена
cripple	0.094	0.392	0.161	осакатува
crippled	0.035	0.358	0.236	осакатена
crippling	0.156	0.598	0.391	осакатување
crisis	0.208	0.811	0.431	криза
crisp	0.776	0.692	0.508	остри
crispy	0.656	0.550	0.509	крцкаво
criterion	0.396	0.410	0.736	критериуми
critic	0.264	0.604	0.686	критичар
critical	0.312	0.802	0.545	критички
criticise	0.073	0.700	0.452	критикуваат
criticism	0.115	0.563	0.505	критика
criticize	0.143	0.708	0.473	критикуваат
criticized	0.240	0.600	0.311	критикуван
critique	0.302	0.760	0.537	критика
critter	0.542	0.539	0.482	животни
croak	0.337	0.346	0.298	крекаат
croc	0.327	0.452	0.451	крок
crock	0.385	0.412	0.421	тавче
crockery	0.552	0.216	0.327	садови
crocodile	0.344	0.708	0.610	крокодил
croft	0.531	0.429	0.421	крофт
croissant	0.745	0.330	0.430	кроасан
crook	0.171	0.765	0.550	измамник
crooked	0.146	0.594	0.305	криво
crop	0.615	0.260	0.500	култура
croquet	0.551	0.519	0.407	крокет
cross	0.448	0.321	0.569	крстот
cross country	0.531	0.441	0.529	крос-кантри
crossbow	0.344	0.598	0.560	самострел
crossed	0.431	0.490	0.508	вкрстени
crossfire	0.316	0.896	0.722	вкрстен оган
crossing	0.549	0.349	0.451	преминување
crossover	0.559	0.550	0.500	кросовер
crosswalk	0.557	0.441	0.380	пешачки премин
crossword	0.611	0.423	0.455	крстозбор
crotch	0.521	0.637	0.447	меѓуножјето
crouch	0.281	0.606	0.312	крауч
crouched	0.333	0.363	0.279	стуткана
crouching	0.261	0.429	0.345	свиткување
croupier	0.531	0.519	0.404	крупието
crow	0.224	0.439	0.363	врана
crowbar	0.406	0.531	0.386	лост
crowd	0.350	0.827	0.731	толпата
crowded	0.694	0.286	0.585	преполн
crowds	0.469	0.723	0.806	гужви
crown	0.708	0.572	0.737	круна
crowning	0.773	0.594	0.831	крунисување
crucial	0.541	0.657	0.777	клучна
cruciate	0.429	0.435	0.585	вкрстени
