English Word	Valence	Arousal	Dominance	Hawaiian Word
cheers	0.948	0.770	0.702	Ke aloha
cheery	0.949	0.657	0.486	ʻoliʻoli
cheese	0.740	0.280	0.281	pākī
cheeseburger	0.802	0.529	0.336	ʻai ʻai ʻai
cheesecake	0.860	0.276	0.238	keke keke
cheesy	0.470	0.471	0.179	ʻokiʻoki
cheetah	0.469	0.770	0.667	cheetah
chef	0.854	0.411	0.570	mea kuke
chemical	0.337	0.560	0.508	kemika
chemise	0.530	0.275	0.364	chemise
chemist	0.408	0.575	0.610	kemika
chemistry	0.625	0.520	0.694	kemika
chemo	0.214	0.686	0.444	kemo
chemotherapy	0.163	0.689	0.517	ka lāʻau lapaʻau
cheque	0.698	0.529	0.660	nānā
cherish	0.896	0.491	0.652	mahalo
cherishing	0.836	0.380	0.625	mahalo
cherry	0.688	0.186	0.250	cherry
cherub	0.663	0.340	0.455	keruba
chess	0.656	0.363	0.518	pākuʻi
chest	0.520	0.429	0.481	umauma
chestnut	0.714	0.210	0.294	ʻākena
chevron	0.469	0.469	0.598	chevron
chew	0.520	0.490	0.404	nahu
chewy	0.625	0.418	0.390	nahu
chic	0.870	0.624	0.380	chic
chicane	0.357	0.460	0.481	chicane
chick	0.771	0.602	0.387	moa
chicken	0.594	0.306	0.394	moa
chicken pox	0.194	0.510	0.415	maʻi puʻupuʻu
chickenpox	0.173	0.562	0.357	maʻi puʻupuʻu
chief	0.520	0.544	0.869	Aliʻi
chiefly	0.600	0.587	0.764	poʻokela
chieftain	0.343	0.529	0.860	aliʻi aliʻi
chiffon	0.406	0.230	0.250	chiffon
child	0.912	0.460	0.413	keiki
childbirth	0.604	0.861	0.673	hānau hānau
childhood	0.865	0.413	0.307	wā kamaliʻi
childish	0.573	0.442	0.230	kamalii
childless	0.310	0.400	0.396	keiki ole
childlike	0.656	0.372	0.293	ʻano kamaliʻi
childloss	0.240	0.571	0.421	nele keiki
children	0.857	0.538	0.435	keiki
chili	0.592	0.566	0.433	chili
chill	0.837	0.206	0.482	ʻoluʻolu
chilled	0.521	0.340	0.482	hauʻoli
chilling	0.208	0.850	0.358	ʻoluʻolu
chilly	0.329	0.459	0.408	ʻoluʻolu
chime	0.573	0.541	0.464	kani kani
chimera	0.292	0.582	0.372	chimera
chimes	0.625	0.490	0.402	nā kani kani
chimney	0.583	0.286	0.225	luaahi
chimp	0.394	0.588	0.345	chimp
chimpanzee	0.500	0.633	0.387	chimpanzee
chin	0.571	0.310	0.269	auwae
china	0.561	0.443	0.556	Kina
chinchilla	0.480	0.450	0.286	chinchilla
chine	0.561	0.360	0.352	Kina
chinook	0.408	0.497	0.491	chinook
chip	0.479	0.382	0.452	puʻupuʻu
chipmunk	0.573	0.562	0.409	chipmunk
chipper	0.418	0.588	0.500	ʻokiʻoki
chipping	0.354	0.452	0.353	ʻokiʻoki
chiropractor	0.420	0.549	0.651	mea hoʻokalakiko
chirp	0.469	0.602	0.365	kani kani
chirping	0.500	0.463	0.360	kani ʻana
chisel	0.469	0.404	0.452	ʻokiʻoki
chiseler	0.429	0.606	0.464	mea ʻokiʻoki
chit	0.490	0.352	0.321	chit
chitchat	0.673	0.455	0.403	kamaʻilio
chivalry	0.857	0.380	0.848	ʻano koa
chloride	0.265	0.387	0.474	chloride
chlorine	0.306	0.327	0.332	chlorine
chloroform	0.281	0.370	0.393	chloroform
chocolate	0.885	0.480	0.418	kokoleka
choice	0.745	0.520	0.664	koho
choir	0.704	0.298	0.473	papa himeni
choke	0.167	0.788	0.676	ʻōʻō
cholera	0.020	0.867	0.507	Kolera
cholesterol	0.198	0.583	0.398	cholesterol
choose	0.615	0.542	0.648	koho
choosing	0.719	0.529	0.689	koho ana
choosy	0.280	0.760	0.712	koho
chop	0.250	0.655	0.467	ʻokiʻoki
chopper	0.594	0.560	0.509	ʻokiʻoki
choppers	0.469	0.745	0.691	nā mea ʻokiʻoki
chopping	0.560	0.625	0.362	ʻokiʻoki
chops	0.612	0.420	0.269	ʻokiʻoki
choral	0.852	0.290	0.421	mele mele
chord	0.729	0.394	0.539	chord
chords	0.639	0.406	0.388	nā mele
chore	0.406	0.462	0.500	hana hana
choreographer	0.646	0.639	0.625	mea haku mele
choreography	0.812	0.750	0.547	choreography
chorus	0.620	0.417	0.500	himeni
chosen	0.865	0.449	0.833	koho ʻia
chow	0.573	0.490	0.390	chow
chowder	0.510	0.324	0.241	kōpaʻa
christ	0.781	0.510	0.750	Kristo
christen	0.673	0.356	0.588	kalikiano
christening	0.725	0.382	0.650	ka bapetizo ana
christmas	0.959	0.520	0.741	Kalikimaka
christmasbreak	0.842	0.640	0.548	kalikimaka
christmaseve	0.812	0.491	0.463	Kalikimaka
christmasspirit	0.867	0.602	0.575	ʻuhane Kalikimaka
christmassy	0.875	0.698	0.602	Kalikimaka
christmastime	0.837	0.588	0.515	wā Kalikimaka
chromatic	0.407	0.413	0.435	chromatic
chromatography	0.480	0.537	0.535	chromatography
chrome	0.582	0.373	0.421	chrome
chromium	0.458	0.404	0.447	chromium
chromosome	0.500	0.296	0.548	chromosome
chronic	0.255	0.615	0.464	hoʻomau
chronicle	0.427	0.571	0.586	moolelo
chronograph	0.500	0.392	0.529	chronograph
chronological	0.594	0.445	0.600	ka manawa
chubby	0.531	0.427	0.304	chubby
chuck	0.542	0.509	0.413	chuck
chuckle	0.844	0.736	0.481	ʻakaʻaka
chug	0.401	0.413	0.358	huʻi
chum	0.911	0.347	0.518	chum
chummy	0.760	0.420	0.610	chummy
chump	0.375	0.451	0.304	chump
chunk	0.365	0.287	0.214	ʻāpana
chunky	0.520	0.517	0.509	puʻupuʻu
church	0.708	0.198	0.610	halepule
churchyard	0.296	0.444	0.347	hale pule
churn	0.316	0.491	0.407	churn
chute	0.580	0.745	0.455	ʻauʻau
chutney	0.459	0.370	0.400	chutney
ciao	0.542	0.426	0.409	ciao
cider	0.530	0.346	0.398	cider
cigar	0.306	0.463	0.346	paka
cigarette	0.219	0.528	0.304	paka paka
cilantro	0.469	0.260	0.208	cilantro
cinch	0.450	0.490	0.387	cinch
cinder	0.350	0.260	0.157	cinder
cinema	0.698	0.538	0.500	hale kiʻiʻoniʻoni
cinematic	0.663	0.490	0.600	cinematic
cinematographer	0.792	0.455	0.711	kiʻiʻoniʻoni
cinematography	0.781	0.571	0.625	kiʻiʻoniʻoni
cinnamon	0.600	0.250	0.292	kinamona
cipher	0.490	0.414	0.500	cipher
circle	0.480	0.290	0.343	pōʻai
circling	0.510	0.654	0.336	kaapuni ana
circuit	0.586	0.461	0.707	kaapuni
circuitry	0.596	0.615	0.536	kaapuni
circular	0.562	0.342	0.417	poepoe
circulate	0.612	0.388	0.320	kaapuni
circulation	0.735	0.520	0.657	kaapuni
circulatory	0.592	0.575	0.545	kaapuni
circumcision	0.327	0.657	0.528	okipoepoe
circumference	0.458	0.255	0.488	ka puni ana
circumferential	0.551	0.422	0.509	pōʻai puni
circumscribed	0.365	0.539	0.569	puni
circumstance	0.520	0.565	0.596	kūlana
circumstances	0.562	0.527	0.464	nā kūlana
circumstantial	0.500	0.538	0.519	kūʻokoʻa
circumvent	0.316	0.642	0.383	kaapuni
circumvention	0.531	0.571	0.473	kaapuni ana
circus	0.724	0.637	0.432	kaapuni
cirque	0.604	0.647	0.467	kaapuni
cirrhosis	0.079	0.602	0.370	cirrhosis
cirrus	0.470	0.451	0.348	cirus
cistern	0.541	0.413	0.432	luawai
citadel	0.585	0.464	0.602	hale pākaua
citation	0.570	0.549	0.508	ʻōlelo kuhi
cite	0.625	0.454	0.532	kuhi
citizen	0.631	0.250	0.586	kamaaina
citizenship	0.786	0.404	0.723	kamaaina
citrine	0.375	0.400	0.420	citrine
citrus	0.469	0.368	0.375	huaʻala
city	0.847	0.531	0.508	kūlanakauhale
citywide	0.592	0.509	0.707	kūlanakauhale a puni
civic	0.653	0.240	0.573	kīwila
civics	0.700	0.279	0.720	makaʻāinana
civil	0.521	0.281	0.517	kīwila
civilian	0.700	0.229	0.598	makaʻāinana
civilians	0.490	0.448	0.525	makaainana
civility	0.760	0.306	0.679	kamaaina
civilization	0.823	0.452	0.839	civilization
civilized	0.792	0.231	0.796	makaainana
clad	0.583	0.373	0.481	ʻaʻahu ʻia
claim	0.255	0.760	0.473	koi
claimant	0.271	0.690	0.779	mea koi
clairvoyant	0.765	0.531	0.897	ʻike maka
clam	0.442	0.302	0.272	pāpaʻi
clambake	0.542	0.540	0.429	clambake
clammy	0.354	0.440	0.236	paʻapū
clamor	0.438	0.643	0.360	walaau
clamp	0.541	0.388	0.454	pipili
clan	0.562	0.491	0.686	ʻohana
clandestine	0.425	0.677	0.469	malu
clang	0.459	0.520	0.510	kani
clap	0.779	0.731	0.529	paʻipaʻi
clapper	0.500	0.229	0.420	paʻipaʻi
clapping	0.823	0.894	0.686	paʻipaʻi
clarification	0.802	0.461	0.613	wehewehe ana
clarify	0.652	0.535	0.625	wehewehe
clarinet	0.592	0.453	0.411	clarinet
clarion	0.500	0.443	0.422	clarion
clarity	0.796	0.310	0.631	akaka
clash	0.293	0.918	0.453	paio
clashing	0.177	0.764	0.575	paio ana
clasp	0.448	0.375	0.241	paʻa
class	0.656	0.314	0.522	papa
classic	0.690	0.260	0.611	kahiko
classic rock	0.729	0.571	0.588	pōhaku kahiko
classical	0.643	0.198	0.536	kahiko
classics	0.750	0.333	0.510	mea kahiko
classification	0.583	0.423	0.613	hoʻokaʻawale
classified	0.571	0.460	0.663	hoʻokaʻawale ʻia
classify	0.646	0.411	0.720	hoʻokaʻawale
classmate	0.781	0.400	0.593	hoa papa
classroom	0.539	0.292	0.363	lumi papa
classy	0.917	0.410	0.649	kūlana kiʻekiʻe
clatter	0.418	0.820	0.387	paʻipaʻi
clause	0.480	0.409	0.528	pauku
clauses	0.449	0.429	0.545	pauku
claustrophobia	0.125	0.840	0.333	claustrophobia
claustrophobic	0.092	0.755	0.400	claustrophobic
clavicle	0.398	0.400	0.452	ʻāwīwī
claw	0.260	0.600	0.598	maiuu
claws	0.281	0.698	0.562	maiuu
clay	0.542	0.250	0.267	pālolo
clean	0.827	0.170	0.500	maʻemaʻe
cleaner	0.604	0.556	0.375	mea hoomaemae
cleaning	0.595	0.396	0.427	hoʻomaʻemaʻe
cleanliness	0.816	0.363	0.609	ka maʻemaʻe
cleanly	0.823	0.352	0.583	maʻemaʻe
cleanse	0.625	0.310	0.660	hoʻomaʻemaʻe
cleanser	0.604	0.353	0.433	mea hoomaemae
cleansing	0.729	0.298	0.472	ka hoomaemae ana
cleanup	0.729	0.314	0.451	hoʻomaʻemaʻe
clear	0.857	0.327	0.573	maopopo
clearance	0.542	0.459	0.473	hoʻomaʻemaʻe
clearing	0.680	0.333	0.509	hoʻomaʻemaʻe
clearness	0.875	0.316	0.689	akaka
cleat	0.486	0.260	0.361	cleat
cleavage	0.542	0.602	0.454	māwae
cleave	0.296	0.545	0.389	hoʻopaʻa
cleaver	0.240	0.627	0.434	ʻokiʻoki
clef	0.615	0.360	0.595	clef
cleft	0.306	0.442	0.360	māwae
clemency	0.594	0.417	0.397	aloha
clench	0.438	0.618	0.580	kīkoʻo
clergy	0.531	0.312	0.575	kahuna pule
clergyman	0.594	0.330	0.556	kahunapule
cleric	0.521	0.324	0.589	kahunapule
clerical	0.520	0.396	0.491	kakauolelo
clerk	0.500	0.579	0.509	kakauolelo
clerkship	0.582	0.380	0.596	oihana kakauolelo
clever	0.896	0.353	0.729	akamai
cleverness	0.878	0.509	0.921	akamai
click	0.536	0.365	0.268	kaomi
clicker	0.418	0.490	0.463	mea kaomi
client	0.583	0.450	0.618	mea kūʻai
clientele	0.625	0.577	0.508	mea kūʻai aku
cliff	0.361	0.620	0.509	pali
climate	0.635	0.240	0.483	ke ea
climatology	0.531	0.367	0.541	climatology
climax	0.735	0.853	0.667	kiʻekiʻe
climb	0.615	0.660	0.604	piʻi
climber	0.573	0.716	0.735	piʻi
clinch	0.469	0.538	0.430	clinch
cling	0.417	0.620	0.588	pili
clingy	0.224	0.460	0.370	pili
clinic	0.469	0.439	0.600	hale lapaʻau
clinical	0.337	0.412	0.640	lāʻau lapaʻau
clink	0.458	0.462	0.319	ke kani
clip	0.438	0.310	0.381	clip
clipboard	0.594	0.255	0.423	papa ʻokiʻoki
clipper	0.293	0.422	0.383	ʻokiʻoki
clipping	0.460	0.500	0.405	ʻokiʻoki
clique	0.427	0.430	0.391	clique
clitoris	0.625	0.844	0.464	pipiki
cloak	0.469	0.188	0.333	ʻahuʻula
cloaking	0.521	0.595	0.389	ʻahuʻahu
cloakroom	0.690	0.254	0.397	lumi lole
clobber	0.396	0.578	0.464	mea pāʻani
clock	0.677	0.173	0.407	uaki
clockwork	0.490	0.373	0.528	uaki
clod	0.375	0.404	0.365	ʻūlū
clog	0.104	0.618	0.454	ʻāʻī
cloister	0.438	0.413	0.475	hale pule
clone	0.406	0.471	0.524	clone
cloning	0.216	0.696	0.679	cloning
close	0.292	0.260	0.263	pili
closed	0.240	0.164	0.318	pani ʻia
closeness	0.796	0.237	0.450	pili
closet	0.531	0.204	0.330	keʻena lumi
closure	0.229	0.220	0.412	pani ana
clot	0.150	0.558	0.275	ʻāʻī
cloth	0.510	0.190	0.287	lole
clothe	0.797	0.330	0.481	lole lole
clothes	0.833	0.270	0.414	lole
clothesline	0.582	0.324	0.366	lole lole
clothing	0.750	0.343	0.407	lole lole
cloud	0.740	0.133	0.342	ʻōpua
clouded	0.240	0.213	0.302	pohu
cloudiness	0.469	0.250	0.343	ʻōpua
clouds	0.735	0.195	0.324	nā ao
cloudy	0.281	0.280	0.202	ʻōpua
clout	0.584	0.636	0.704	ʻūhā
clove	0.439	0.296	0.315	ʻākala
clover	0.605	0.340	0.364	clover
cloves	0.427	0.218	0.396	cloves
clown	0.650	0.598	0.300	clown
clowns	0.600	0.673	0.391	nā clowns
club	0.646	0.618	0.393	lāʻau lāʻau
clubhouse	0.694	0.571	0.493	hale kalapu
clubs	0.723	0.530	0.591	nā hui
cluck	0.390	0.490	0.353	ʻūlū
clue	0.653	0.380	0.412	hōʻailona
clueless	0.350	0.333	0.161	ʻike ʻole
clump	0.551	0.480	0.582	puʻupuʻu
clumsy	0.125	0.420	0.144	hemahema
clunk	0.448	0.472	0.407	puʻupuʻu
cluster	0.490	0.458	0.446	pūʻulu
clutch	0.383	0.500	0.491	paakiki
clutches	0.542	0.373	0.528	mau paa
clutter	0.135	0.598	0.400	ʻāhuehue
coach	0.633	0.823	0.735	kaʻi kaʻa
coachman	0.479	0.394	0.509	kaʻa kaʻa
coagulation	0.381	0.558	0.436	coagulation
coal	0.360	0.241	0.340	lanahu
coalesce	0.479	0.434	0.529	hui pū
coalition	0.490	0.730	0.673	hui ʻana
coarse	0.333	0.481	0.481	ʻoʻoleʻa
coast	0.719	0.396	0.458	kahakai
coastal	0.604	0.370	0.510	kahakai
coaster	0.612	0.788	0.627	kahakai
coastline	0.745	0.282	0.441	kahakai
coat	0.677	0.256	0.464	ʻaʻahu
coating	0.620	0.440	0.596	ka uhi ʻana
coax	0.367	0.400	0.447	hoʻohihi
cobalt	0.408	0.325	0.441	kobalta
cobble	0.448	0.385	0.368	cobble
cobbler	0.510	0.415	0.318	mea hana lole
cobra	0.312	0.712	0.600	cobra
cocaine	0.156	0.840	0.373	cocaine
cock	0.418	0.562	0.392	moa
cockamamie	0.450	0.500	0.382	cockamamie
cockeyed	0.459	0.460	0.423	cockeyed
cockpit	0.520	0.424	0.343	cockpit
cockroach	0.188	0.667	0.196	ʻāhuehue
cocksucker	0.083	0.764	0.339	cocksucker
cocktail	0.740	0.480	0.381	cocktail
cocky	0.260	0.784	0.519	haʻalulu
cocoa	0.776	0.255	0.322	koko
coconut	0.622	0.265	0.227	niu
cocoon	0.470	0.280	0.290	cocoon
cod	0.510	0.321	0.304	cod
code	0.583	0.308	0.491	code
codeine	0.375	0.582	0.436	codeine
codex	0.531	0.488	0.524	codex
codfish	0.490	0.245	0.300	codfish
codification	0.448	0.400	0.698	codification
codify	0.448	0.410	0.679	codify
coding	0.442	0.344	0.667	coding
coed	0.469	0.531	0.481	coed
coefficient	0.677	0.415	0.702	coefficient
coerce	0.260	0.741	0.517	hooikaika
coercion	0.330	0.708	0.577	ka hooikaika ana
coercive	0.479	0.670	0.506	hooikaika
coexist	0.708	0.460	0.536	noho pū
coexistence	0.588	0.472	0.638	noho pū
coexisting	0.551	0.349	0.648	noho pū
coffee	0.823	0.418	0.309	kope
coffee table	0.720	0.339	0.295	papaʻaina kope
coffeehouse	0.694	0.357	0.307	hale kofe
coffeepot	0.760	0.333	0.312	ipu kope
coffin	0.073	0.432	0.343	pahu kupapaʻu
cog	0.427	0.343	0.363	cog
cogent	0.765	0.479	0.836	ʻoluʻolu
cognac	0.615	0.510	0.430	cognac
cognate	0.615	0.350	0.398	pili
cognition	0.635	0.344	0.706	ʻike ʻike
cognitive	0.513	0.401	0.634	noonoo
cohabitation	0.646	0.526	0.598	noho pū ʻana
coherence	0.720	0.406	0.788	huikau
coherent	0.698	0.281	0.500	pili pono
cohesion	0.604	0.536	0.555	huikau
cohesive	0.531	0.470	0.603	huikau
cohort	0.459	0.551	0.566	pūʻulu
coil	0.448	0.343	0.298	wiliwili
coiled	0.378	0.518	0.389	wili ʻia
coin	0.677	0.574	0.445	moni
coinage	0.500	0.400	0.545	kālā kālā
coincide	0.635	0.490	0.593	kulike
coincidence	0.612	0.450	0.518	huikau
coincident	0.562	0.385	0.602	huikau
coincidental	0.646	0.481	0.337	poino
coinciding	0.673	0.373	0.623	kulike ana
coke	0.404	0.461	0.397	coke
cola	0.469	0.325	0.240	kola
cold	0.398	0.538	0.348	anuanu
coldly	0.365	0.358	0.407	anuanu
coldness	0.093	0.470	0.427	anuanu
coldsweat	0.427	0.491	0.327	ka wela anu
coleslaw	0.707	0.312	0.336	coleslaw
colic	0.135	0.736	0.361	colic
coliseum	0.612	0.663	0.704	coliseum
collaborate	0.816	0.449	0.559	hui pū
collaboration	0.885	0.628	0.741	hui pū
collaborator	0.729	0.320	0.769	hoa hana
collage	0.680	0.321	0.375	kolamu
collagen	0.541	0.245	0.450	kolagena
collapse	0.208	0.689	0.342	hāneʻe
collar	0.656	0.442	0.446	kola
collarbone	0.420	0.427	0.306	iwi kīkoʻo
collate	0.438	0.448	0.580	hōʻuluʻulu
collateral	0.531	0.422	0.717	hoʻopaʻa
collation	0.520	0.333	0.508	hōʻiliʻili
colleague	0.740	0.413	0.600	hoa hana
collect	0.635	0.481	0.491	hōʻiliʻili
collected	0.570	0.402	0.588	ʻohi ʻia
collection	0.725	0.311	0.588	hōʻiliʻili
collective	0.583	0.458	0.698	hui pū
collectively	0.817	0.573	0.533	hui pū
collector	0.552	0.481	0.648	ʻohi ʻohi
college	0.700	0.467	0.746	kulanui
collegiate	0.592	0.461	0.678	kulanui
collide	0.271	0.892	0.557	kuʻi
collie	0.562	0.308	0.328	collie
collision	0.245	0.848	0.585	huikau
collocation	0.637	0.360	0.594	hui ʻana
colloquial	0.604	0.363	0.368	kamaʻilio ʻōlelo
collusion	0.365	0.510	0.400	huikau
cologne	0.677	0.413	0.552	cologne
colon	0.449	0.394	0.384	kolonā
colonel	0.459	0.592	0.890	konela
colonial	0.553	0.327	0.613	colonial
colonic	0.333	0.420	0.430	colonic
colonoscopy	0.208	0.524	0.466	colonoscopy
colony	0.716	0.353	0.593	koloni
colophon	0.500	0.408	0.385	kolopona
color	0.786	0.280	0.402	kala kala
coloration	0.541	0.520	0.443	kala kala
colored	0.806	0.317	0.275	kala kala
colorful	0.850	0.520	0.519	waihoʻoluʻu
coloring	0.781	0.469	0.353	kala kala
colorless	0.354	0.340	0.250	kala ole
colors	0.875	0.349	0.340	kala kala
colossal	0.698	0.692	0.900	nui loa
colt	0.561	0.587	0.543	keiki keiki
columbine	0.520	0.521	0.407	columbine
column	0.480	0.250	0.670	kolamu
columnar	0.448	0.340	0.491	kolamu
columnist	0.646	0.365	0.648	mea kākau moʻolelo
com	0.396	0.382	0.382	com
coma	0.219	0.255	0.302	koma
comatose	0.143	0.438	0.433	comatose
comb	0.490	0.123	0.268	pulu
combat	0.302	0.846	0.833	kaua
combatant	0.531	0.853	0.780	mea hakakā
combative	0.381	0.690	0.816	paio
combination	0.708	0.480	0.726	hui ʻana
combinatorial	0.561	0.436	0.428	huikau
combine	0.663	0.442	0.533	hui
combined	0.622	0.370	0.500	huiia
combo	0.698	0.439	0.453	hui pū
combustible	0.386	0.650	0.750	hikiwawe
combustion	0.457	0.807	0.591	puhi ahi
come	0.529	0.269	0.558	hele mai
comeback	0.580	0.409	0.555	hoʻi mai 'oe
comedian	0.812	0.735	0.598	mea hookanikani
comedy	0.918	0.555	0.490	hoʻohenehene
comet	0.704	0.679	0.471	kometa
comfort	0.863	0.231	0.670	hōʻoluʻolu
comfortable	0.927	0.163	0.473	ʻoluʻolu
comforter	0.618	0.275	0.302	mea hooluolu
comforting	0.906	0.337	0.620	hooluolu
comfy	0.930	0.241	0.625	ʻoluʻolu
comic	0.917	0.459	0.387	mea hoʻohenehene
comical	0.844	0.737	0.327	hoʻohenehene
comics	0.690	0.556	0.384	komike
coming	0.653	0.417	0.500	e hele mai ana
comma	0.344	0.269	0.242	koma
command	0.427	0.790	0.849	kauoha
commandant	0.622	0.700	0.943	luna kauoha
commandeer	0.552	0.639	0.931	luna hoʻomalu
commander	0.531	0.615	0.906	luna alakaʻi
commanding	0.562	0.664	0.925	kauoha ana
commandment	0.656	0.490	0.876	kauoha
commando	0.323	0.710	0.817	commando
commemorate	0.812	0.602	0.636	hoʻomanaʻo
commemoration	0.719	0.615	0.754	hoʻomanaʻo
commemorative	0.750	0.438	0.754	hoʻomanaʻo
commence	0.760	0.585	0.741	hoʻomaka
commend	0.906	0.694	0.711	hoʻomaikaʻi
commendable	0.786	0.570	0.555	mahaloia
commendation	0.911	0.500	0.639	hoʻomaikaʻi
commensurate	0.610	0.304	0.550	kūlike
comment	0.667	0.417	0.379	ʻōlelo ʻōlelo
commentary	0.602	0.402	0.446	haʻi ʻōlelo
commentator	0.492	0.510	0.607	mea haiolelo
commerce	0.646	0.500	0.788	kalepa
commercial	0.806	0.490	0.528	kalepa
commie	0.385	0.519	0.454	commie
commissary	0.385	0.500	0.788	komisina
commission	0.677	0.480	0.571	komisina
commissioner	0.602	0.449	0.949	komisina
commit	0.365	0.529	0.491	hoʻopaʻa
commitment	0.714	0.710	0.843	kūpaʻa
committal	0.472	0.519	0.582	hoʻokauwā
committed	0.710	0.542	0.712	hana ʻia
committee	0.592	0.392	0.721	komite
commodity	0.615	0.394	0.537	mea kūʻai
commodore	0.427	0.530	0.636	commodore
common	0.600	0.127	0.318	maʻamau
commoner	0.448	0.365	0.327	makaʻāinana
commonly	0.604	0.170	0.574	maʻa mau
commonplace	0.520	0.337	0.442	wahi maʻamau
commons	0.633	0.396	0.623	nā makaʻāinana
commonwealth	0.630	0.406	0.702	ka lehulehu
commotion	0.490	0.700	0.646	haunaele
communal	0.592	0.321	0.556	kamaʻāina
commune	0.500	0.488	0.655	kamaʻāina
communicable	0.796	0.491	0.623	hiki ke kamaʻilio
communicate	0.823	0.410	0.696	kamaʻilio
communication	0.837	0.400	0.649	kamaʻilio
communicative	0.847	0.560	0.637	kamaʻilio
communicator	0.573	0.509	0.796	mea kamaʻilio
communion	0.765	0.357	0.607	hui pu ana
communism	0.264	0.570	0.623	komunisme
communist	0.265	0.702	0.632	komunista
community	0.750	0.350	0.659	kaiaulu
commutation	0.469	0.431	0.652	ka hoʻololi ʻana
commutative	0.667	0.442	0.569	commutative
commute	0.622	0.582	0.565	kaʻahele
commuter	0.646	0.520	0.512	kaʻahele
comp	0.573	0.450	0.371	comp
compact	0.458	0.417	0.673	paʻa
compaction	0.531	0.471	0.582	hoʻopili ʻana
compactness	0.582	0.352	0.454	paʻapū
companion	0.770	0.377	0.618	hoahele
companionless	0.271	0.259	0.200	hoa launa ole
companionship	0.833	0.438	0.792	hoapili
company	0.906	0.425	0.798	hui
comparable	0.562	0.443	0.458	mea hoohalike
comparative	0.470	0.273	0.562	hoʻohālikelike
comparatively	0.604	0.391	0.538	hoʻohālikelike
compare	0.552	0.408	0.524	hoohalike
comparison	0.583	0.456	0.492	hoohalike ana
compartment	0.500	0.389	0.607	ʻāpana
compass	0.541	0.307	0.529	panana
compassion	0.735	0.258	0.509	aloha
compassionate	0.857	0.404	0.411	aloha
compatibility	0.816	0.450	0.673	ka launa pū
compatible	0.892	0.387	0.638	kūpono
compel	0.200	0.847	0.625	koi aku
compelled	0.333	0.654	0.347	koi ʻia
compelling	0.698	0.570	0.870	koi
compendium	0.610	0.461	0.537	compendium
compensate	0.612	0.429	0.762	uku
compensation	0.775	0.469	0.598	uku uku
compensatory	0.589	0.490	0.700	uku uku
compete	0.573	0.745	0.786	hoʻokūkū
competence	0.615	0.802	0.823	mākaukau
competency	0.768	0.775	0.764	mākaukau
competent	0.865	0.560	0.904	mākaukau
competition	0.580	0.790	0.798	hoʻokūkū
competitive	0.447	0.718	0.908	hoʻokūkū
competitor	0.612	0.959	0.861	mea hoʻokūkū
compilation	0.530	0.512	0.606	ka houluulu ana
compile	0.600	0.413	0.519	hōʻuluʻulu
complacency	0.604	0.503	0.519	ʻoluʻolu
complacent	0.625	0.452	0.518	ʻoluʻolu
complain	0.143	0.682	0.360	hoʻopiʻi
complaint	0.143	0.606	0.281	hoʻopiʻi
complement	0.760	0.277	0.600	hoʻokō
complementary	0.714	0.320	0.586	hoʻohui
complete	0.750	0.414	0.809	piha
completed	0.823	0.357	0.777	hoʻopau
completely	0.730	0.370	0.690	piha loa
completeness	0.823	0.433	0.769	piha
completing	0.614	0.500	0.769	hoopau ana
completion	0.656	0.470	0.525	hoʻopau ʻana
complex	0.388	0.608	0.550	paʻakikī
complexed	0.312	0.577	0.612	paʻakikī
complexion	0.521	0.520	0.380	ʻili
complexity	0.479	0.620	0.595	paʻakikī
compliance	0.750	0.462	0.750	hoʻokō
compliant	0.677	0.310	0.519	hoʻokō
complicate	0.210	0.657	0.404	paʻakikī
complicated	0.211	0.660	0.455	paʻakikī
complication	0.365	0.726	0.330	pilikia
complicity	0.323	0.684	0.670	ka launa pū ʻana
compliment	0.820	0.490	0.651	hoʻomaikaʻi
complimentary	0.823	0.413	0.435	hoʻomaikaʻi
comply	0.806	0.370	0.638	hoʻokō
complying	0.729	0.423	0.590	hoʻokō
compo	0.500	0.346	0.390	hui
component	0.531	0.382	0.525	ʻāpana
compose	0.639	0.432	0.694	haku
composed	0.684	0.385	0.682	haku ʻia
composer	0.822	0.588	0.691	haku mele
composite	0.591	0.459	0.620	huikau
composition	0.765	0.408	0.652	haku mele
compost	0.480	0.404	0.441	compost
composure	0.802	0.354	0.717	ʻoluʻolu
compound	0.635	0.385	0.735	pūhui
comprehend	0.875	0.365	0.689	hoʻomaopopo
comprehension	0.908	0.387	0.688	ka hoomaopopo ana
comprehensive	0.796	0.385	0.644	laulā
compress	0.406	0.412	0.460	kōmi
compressed	0.323	0.396	0.388	hoʻopili ʻia
compressible	0.622	0.392	0.585	compressible
compression	0.646	0.521	0.579	kaomi ʻana
compressor	0.418	0.481	0.630	compressor
comprise	0.839	0.373	0.669	komo
compromise	0.677	0.520	0.805	kuʻikahi
comptroller	0.402	0.481	0.866	luna hooponopono
compulsion	0.118	0.760	0.604	koi ʻia
compulsive	0.347	0.871	0.573	koi
compulsory	0.343	0.541	0.791	koi ʻia
computable	0.570	0.402	0.545	hiki ke helu
computation	0.583	0.429	0.697	helu helu
compute	0.531	0.408	0.564	helu
computer	0.802	0.356	0.639	kamepiula
computerized	0.677	0.450	0.657	lolouila
computing	0.745	0.398	0.695	helu helu
comrade	0.781	0.412	0.804	hoa
con	0.255	0.736	0.427	con
