English Word	Valence	Arousal	Dominance	Amharic Word
busboy	0.510	0.453	0.441	busboy
bush	0.413	0.220	0.315	ቡሽ
bushel	0.417	0.387	0.368	ቡሽ
bushy	0.562	0.321	0.427	ቡሽ
business	0.688	0.569	0.755	ንግድ
business man	0.530	0.598	0.933	የንግድ ሰው
businessman	0.653	0.510	0.802	ነጋዴ
businesswoman	0.719	0.500	0.764	ነጋዴ ሴት
busload	0.561	0.481	0.492	የአውቶቡስ ጭነት
buss	0.469	0.500	0.391	ባስ
bust	0.520	0.500	0.420	ደረት
busted	0.204	0.676	0.345	ሰበሰበ
buster	0.469	0.491	0.483	ባስተር
bustle	0.347	0.814	0.445	ግርግር
bustling	0.490	0.850	0.528	ግርግር
busy	0.402	0.500	0.474	ስራ የሚበዛበት
busybody	0.255	0.634	0.472	ሥራ የሚበዛበት ሰው
butane	0.442	0.483	0.380	ቡቴን
butcher	0.500	0.575	0.608	ሥጋ ቆራጭ
butler	0.469	0.225	0.438	ጠጪ
butt	0.347	0.725	0.336	ቂጥ
butter	0.650	0.292	0.202	ቅቤ
buttercup	0.562	0.482	0.422	ቅቤ ጽዋ
butterfly	0.892	0.327	0.314	ቢራቢሮ
buttermilk	0.633	0.311	0.304	ቅቤ ቅቤ
butterscotch	0.708	0.510	0.356	butterscotch
buttery	0.625	0.318	0.303	ቅቤ
buttock	0.429	0.600	0.288	ቡጢ
buttocks	0.458	0.677	0.365	መቀመጫዎች
button	0.520	0.220	0.343	አዝራር
buttress	0.438	0.684	0.721	ቅቤ
buxom	0.562	0.719	0.547	buxom
buy	0.771	0.769	0.612	ግዛ
buyer	0.613	0.519	0.649	ገዢ
buying	0.665	0.784	0.589	መግዛት
buzz	0.333	0.686	0.375	buzz
buzzard	0.350	0.500	0.225	buzzard
buzzed	0.583	0.549	0.448	ጮኸ
buzzer	0.549	0.716	0.480	ጩኸት
buzzing	0.430	0.588	0.370	ጩኸት
bye	0.375	0.398	0.321	ባይ
bygone	0.229	0.310	0.315	ያለፈው
bylaw	0.469	0.373	0.725	መተዳደሪያ ደንብ
byline	0.469	0.450	0.435	በመስመር ላይ
bypass	0.429	0.418	0.353	ማለፍ
bystander	0.480	0.462	0.491	ተመልካች
byte	0.490	0.380	0.407	ባይት
byzantine	0.546	0.443	0.492	ባይዛንታይን
cab	0.438	0.490	0.421	ታክሲ
cabal	0.500	0.406	0.573	ካባል
cabana	0.698	0.296	0.407	ካባና
cabaret	0.677	0.656	0.482	ካባሬት
cabbage	0.398	0.225	0.264	ጎመን
cabbie	0.521	0.417	0.429	ካቢይ
cabernet	0.543	0.420	0.480	cabernet
cabin	0.643	0.292	0.430	ካቢኔ
cabinet	0.552	0.306	0.465	ካቢኔ
cable	0.583	0.245	0.434	ገመድ
caboodle	0.529	0.521	0.325	ካቦድል
caboose	0.440	0.453	0.438	ካቡስ
cabriolet	0.667	0.525	0.472	ካቢዮሌት
cache	0.552	0.348	0.389	መሸጎጫ
cacophony	0.408	0.562	0.440	ካኮፎኒ
cactus	0.439	0.412	0.284	ቁልቋል
cad	0.447	0.406	0.404	ካድ
cadaver	0.030	0.690	0.260	ካዳቨር
caddie	0.521	0.435	0.259	ካዲ
caddy	0.580	0.470	0.380	ካዲ
cadence	0.427	0.473	0.355	ግልጽነት
cadet	0.504	0.393	0.664	ካዴት
cafe	0.781	0.392	0.358	ካፌ
cafeteria	0.757	0.400	0.382	ካፊቴሪያ
caffeine	0.562	0.759	0.500	ካፌይን
cage	0.316	0.333	0.352	ቤት
cagey	0.542	0.363	0.582	cagey
cahoots	0.312	0.696	0.474	cahoots
cairn	0.260	0.435	0.254	ካረን
cake	0.810	0.375	0.287	ኬክ
cakewalk	0.719	0.510	0.447	ኬክ የእግር ጉዞ
calamari	0.521	0.312	0.406	ካላማሪ
calamitous	0.219	0.685	0.500	አስከፊ
calamity	0.122	0.795	0.343	ጥፋት
calcareous	0.490	0.368	0.462	ካልካሪየስ
calcium	0.600	0.346	0.479	ካልሲየም
calculate	0.490	0.452	0.440	አስላ
calculated	0.633	0.425	0.683	የተሰላ
calculating	0.458	0.430	0.625	በማስላት ላይ
calculation	0.646	0.453	0.606	ስሌት
calculator	0.513	0.283	0.588	ካልኩሌተር
calculus	0.360	0.360	0.562	ስሌት
calendar	0.480	0.212	0.473	የቀን መቁጠሪያ
calender	0.531	0.275	0.451	ካላንደር
calf	0.531	0.366	0.336	ጥጃ
caliber	0.429	0.551	0.606	ካሊበር
calibrate	0.552	0.460	0.623	መለካት
calico	0.406	0.338	0.491	ካሊኮ
calipers	0.480	0.510	0.481	calipers
calisthenics	0.562	0.663	0.545	calisthenics
call	0.594	0.627	0.558	ይደውሉ
callback	0.524	0.529	0.434	መልሶ መደወያ
caller	0.646	0.615	0.472	ደዋይ
calligraphy	0.620	0.216	0.500	ካሊግራፊ
calling	0.646	0.590	0.483	በመደወል ላይ
callous	0.245	0.500	0.386	ደፋር
calls	0.608	0.431	0.551	ጥሪዎች
calm	0.875	0.100	0.282	ተረጋጋ
calming	0.885	0.105	0.360	ማረጋጋት
calmness	0.934	0.105	0.394	መረጋጋት
caloric	0.327	0.483	0.448	ካሎሪክ
calorie	0.333	0.540	0.427	ካሎሪ
calorimeter	0.406	0.560	0.414	ካሎሪሜትር
cam	0.448	0.363	0.355	ካም
camaraderie	0.833	0.510	0.648	ወዳጅነት
camber	0.430	0.382	0.439	ካምበር
camcorder	0.556	0.422	0.454	ካምኮርደር
camel	0.540	0.282	0.314	ግመል
cameo	0.573	0.457	0.509	ካሜኦ
camera	0.640	0.288	0.379	ካሜራ
cameraman	0.542	0.452	0.542	ካሜራማን
camisole	0.497	0.250	0.375	camisole
camouflage	0.438	0.585	0.450	ካሜራ
camouflaged	0.350	0.422	0.562	የተቀረጸ
camp	0.622	0.617	0.594	ካምፕ
campaign	0.602	0.730	0.823	ዘመቻ
campaigner	0.592	0.698	0.821	ዘማች
campaigning	0.531	0.663	0.741	ዘመቻ ማድረግ
camper	0.573	0.529	0.482	ካምፕር
campfire	0.677	0.509	0.436	የእሳት ቃጠሎ
camping	0.653	0.529	0.480	ካምፕ ማድረግ
campsite	0.680	0.490	0.547	የካምፕ ጣቢያ
campus	0.604	0.388	0.519	ካምፓስ
can	0.662	0.360	0.454	ይችላል
can opener	0.444	0.491	0.308	መክፈት ይችላል።
canal	0.673	0.259	0.321	ቦይ
canary	0.582	0.276	0.265	ካናሪ
cancel	0.214	0.306	0.368	መሰረዝ
canceling	0.229	0.470	0.349	መሰረዝ
cancellation	0.224	0.431	0.389	መሰረዝ
cancer	0.052	0.694	0.529	ካንሰር
candid	0.667	0.349	0.458	ሐቀኛ
candidacy	0.490	0.657	0.696	እጩነት
candidate	0.596	0.490	0.804	እጩ
candied	0.713	0.330	0.360	የታሸገ
candle	0.602	0.221	0.344	ሻማ
candlelight	0.789	0.294	0.417	የሻማ መብራት
candles	0.615	0.206	0.268	ሻማዎች
candlestick	0.448	0.531	0.534	መቅረዝ
candor	0.740	0.389	0.607	ቅንነት
candy	0.930	0.425	0.384	ከረሜላ
cane	0.459	0.298	0.398	አገዳ
canine	0.573	0.569	0.425	የውሻ ውሻ
canister	0.553	0.271	0.403	ቆርቆሮ
canker	0.262	0.469	0.427	ካንከር
cannabis	0.271	0.500	0.564	ካናቢስ
canned	0.398	0.357	0.298	የታሸገ
cannibal	0.122	0.824	0.480	ሰው በላ
cannibalism	0.094	0.890	0.583	ሰው በላ
canning	0.490	0.392	0.259	ማሸግ
cannon	0.529	0.676	0.811	መድፍ
cannonball	0.344	0.840	0.759	የመድፍ ኳስ
canoe	0.542	0.300	0.418	ታንኳ
canon	0.385	0.519	0.541	ቀኖና
canonical	0.542	0.410	0.620	ቀኖናዊ
canons	0.385	0.588	0.593	ቀኖናዎች
canopy	0.615	0.264	0.398	መከለያ
cantaloupe	0.592	0.212	0.276	ካንታሎፕ
cantbreathe	0.284	0.667	0.375	መተንፈስ አይችልም
canteen	0.688	0.600	0.514	ካንቴን
canterbury	0.582	0.438	0.510	ካንተርበሪ
canthandleit	0.354	0.613	0.354	canthandleit
cantilever	0.357	0.618	0.421	cantilever
cantina	0.646	0.612	0.380	ካንቲና
canto	0.776	0.461	0.554	ካንቶ
canton	0.542	0.472	0.536	ካንቶን
cantstandit	0.418	0.546	0.343	የማይቆም
cantwin	0.260	0.509	0.298	ካንትዊን
canvas	0.719	0.090	0.364	ሸራ
canvass	0.675	0.356	0.397	ሸራ
canyon	0.468	0.731	0.634	ካንየን
cap	0.612	0.240	0.375	ካፕ
capability	0.833	0.571	0.730	ችሎታ
capable	0.765	0.587	0.547	የሚችል
capacity	0.719	0.411	0.806	አቅም
cape	0.531	0.235	0.357	ካፕ
caper	0.510	0.370	0.326	ካፐር
capillary	0.469	0.365	0.395	ካፊላሪ
capital	0.520	0.500	0.798	ካፒታል
capitalism	0.448	0.686	0.848	ካፒታሊዝም
capitalist	0.352	0.577	0.821	ካፒታሊስት
capitalize	0.771	0.601	0.885	ካፒታል ማድረግ
capitals	0.755	0.500	0.655	ዋና ከተማዎች
capitation	0.479	0.529	0.589	ካፒቴሽን
capitol	0.535	0.375	0.705	ካፒቶል
capitulation	0.375	0.546	0.615	ካፒቴሽን
cappuccino	0.792	0.279	0.384	ካፑቺኖ
caprice	0.333	0.640	0.430	ካፕሪስ
capricious	0.221	0.650	0.500	ቀልደኛ
caps	0.510	0.221	0.368	ካፕ
capslock	0.330	0.394	0.398	የበላይ ቁልፍ
capsule	0.583	0.290	0.570	ካፕሱል
captain	0.552	0.653	0.966	ካፒቴን
caption	0.814	0.292	0.379	መግለጫ ጽሑፍ
captivate	0.698	0.604	0.723	የሚማርክ
captivating	0.895	0.594	0.816	የሚማርክ
captive	0.235	0.558	0.411	ምርኮኛ
captivity	0.225	0.493	0.387	ምርኮኝነት
captor	0.347	0.625	0.612	አስረጂ
capture	0.357	0.650	0.537	መያዝ
car	0.776	0.540	0.500	መኪና
caramel	0.901	0.363	0.400	ካራሚል
carat	0.823	0.604	0.676	ካራት
caravan	0.635	0.559	0.455	ካራቫን
carbon	0.604	0.360	0.350	ካርቦን
carburetor	0.469	0.612	0.555	ካርቡረተር
carcass	0.115	0.529	0.309	ሬሳ
carcinoma	0.153	0.692	0.440	ካርሲኖማ
card	0.531	0.269	0.436	ካርድ
cardboard	0.500	0.173	0.309	ካርቶን
cardiac	0.344	0.765	0.615	የልብ
cardigan	0.599	0.324	0.264	ካርዲጋን
cardinal	0.583	0.358	0.712	ካርዲናል
cardiologist	0.458	0.630	0.814	የልብ ሐኪም
cardiology	0.203	0.545	0.605	የልብ ህክምና
cardiomyopathy	0.177	0.645	0.537	ካርዲዮሚዮፓቲ
cards	0.568	0.317	0.320	ካርዶች
care	0.729	0.370	0.500	እንክብካቤ
career	0.740	0.712	0.606	ሙያ
carefree	0.755	0.220	0.500	ግድየለሽ
careful	0.625	0.538	0.530	በተጠንቀቅ
carefully	0.698	0.330	0.544	በጥንቃቄ
careless	0.255	0.431	0.125	ግድየለሽ
carelessness	0.245	0.482	0.330	ግድየለሽነት
caress	0.833	0.418	0.509	መንከባከብ
caret	0.656	0.402	0.527	እንክብካቤ
caretaker	0.714	0.531	0.759	ተንከባካቢ
cargo	0.408	0.444	0.455	ጭነት
caribou	0.562	0.452	0.342	ካሪቡ
caricature	0.604	0.373	0.383	ካርካቸር
caries	0.115	0.569	0.283	ካሪስ
caring	0.635	0.469	0.500	እንክብካቤ
carjack	0.438	0.682	0.439	የመኪና ጠለፋ
carnage	0.406	0.600	0.558	እልቂት
carnal	0.417	0.679	0.421	ሥጋዊ
carnation	0.653	0.357	0.431	ሥጋ መብላት
carnival	0.927	0.888	0.555	ካርኒቫል
carnivorous	0.224	0.613	0.651	ሥጋ በል
carol	0.673	0.412	0.436	ካሮል
carols	0.847	0.420	0.491	መዝሙሮች
carousel	0.704	0.500	0.412	ካሩሰል
carp	0.531	0.324	0.375	የካርፕ
carpal	0.449	0.327	0.420	ካርፓል
carpenter	0.521	0.550	0.519	አናጢ
carpentry	0.561	0.459	0.518	አናጢነት
carpet	0.520	0.170	0.339	ምንጣፍ
carpeting	0.542	0.312	0.444	ምንጣፍ
carpool	0.625	0.509	0.500	የመኪና ገንዳ
carriage	0.650	0.538	0.491	ሰረገላ
carried	0.490	0.382	0.534	ተሸክመው
carrier	0.533	0.588	0.638	ተሸካሚ
carrot	0.500	0.235	0.279	ካሮት
carry	0.635	0.380	0.500	መሸከም
carrying	0.656	0.557	0.443	መሸከም
carsick	0.224	0.574	0.255	የታመመ
cart	0.520	0.344	0.388	ጋሪ
carte	0.592	0.320	0.274	ካርቴ
cartel	0.438	0.394	0.602	ካርቴል
carter	0.312	0.480	0.431	ካርተር
cartilage	0.438	0.370	0.407	የ cartilage
cartographic	0.490	0.348	0.424	ካርቶግራፊ
cartography	0.520	0.300	0.579	ካርቶግራፊ
carton	0.286	0.186	0.241	ካርቶን
cartoon	0.867	0.471	0.387	ካርቱን
cartouche	0.427	0.458	0.450	ካርቱጅ
cartridge	0.458	0.500	0.407	ካርትሬጅ
carve	0.469	0.443	0.598	መቅረፅ
carver	0.418	0.500	0.500	ጠራቢ
carving	0.541	0.444	0.368	መቅረጽ
cascade	0.735	0.509	0.395	ካስኬድ
case	0.427	0.275	0.441	ጉዳይ
casein	0.470	0.436	0.415	casein
cash	0.867	0.552	0.714	ጥሬ ገንዘብ
cashier	0.615	0.413	0.484	ገንዘብ ተቀባይ
cashmere	0.653	0.452	0.439	cashmere
casing	0.458	0.327	0.328	መያዣ
casino	0.542	0.684	0.568	ካዚኖ
cask	0.490	0.398	0.444	ካዝና
casket	0.125	0.490	0.346	ሣጥን
casserole	0.570	0.360	0.328	ካሴሮል
cassette	0.490	0.334	0.355	ካሴት
cast	0.558	0.620	0.517	ውሰድ
castaway	0.208	0.646	0.422	መጣል
caste	0.510	0.333	0.374	መደብ
caster	0.604	0.670	0.647	ካስተር
castle	0.680	0.396	0.718	ቤተመንግስት
castor	0.583	0.337	0.368	ካስተር
castrate	0.177	0.485	0.519	ውሰድ
castration	0.198	0.735	0.381	castration
casual	0.643	0.224	0.385	ተራ
casually	0.658	0.290	0.333	በአጋጣሚ
casualty	0.235	0.274	0.132	ተጎጂ
cat	0.667	0.260	0.370	ድመት
catabolism	0.265	0.573	0.605	ካታቦሊዝም
catalog	0.561	0.221	0.573	ካታሎግ
catalogue	0.647	0.327	0.533	ካታሎግ
catalysis	0.385	0.559	0.531	ካታሊሲስ
catalyst	0.604	0.509	0.585	ቀስቃሽ
catalytic	0.562	0.519	0.563	ካታሊቲክ
catamaran	0.571	0.566	0.526	ካታማራን
catapult	0.480	0.830	0.649	ካታፓልት
cataract	0.406	0.545	0.549	የዓይን ሞራ ግርዶሽ
catastrophe	0.146	0.952	0.670	ጥፋት
catastrophic	0.071	0.934	0.598	አስከፊ
catatonic	0.255	0.500	0.509	ካታቶኒክ
catch	0.531	0.437	0.552	መያዝ
catcher	0.653	0.413	0.540	የሚይዘው
catching	0.490	0.788	0.644	መያዝ
catchphrase	0.698	0.423	0.433	ሐረግ
catchy	0.677	0.441	0.462	የሚስብ
catechism	0.656	0.236	0.613	ካቴኪዝም
categorical	0.615	0.442	0.760	ምድብ
category	0.571	0.264	0.521	ምድብ
cater	0.802	0.500	0.509	ማስተናገድ
caterer	0.550	0.557	0.644	ምግብ ሰጭ
caterpillar	0.461	0.286	0.330	አባጨጓሬ
cates	0.370	0.394	0.407	ካቴቶች
catfish	0.458	0.337	0.296	ካትፊሽ
cathartic	0.450	0.510	0.604	ካታርቲክ
cathedral	0.598	0.330	0.643	ካቴድራል
catheter	0.336	0.491	0.373	ካቴተር
cathouse	0.327	0.375	0.363	ድመት ቤት
catnip	0.439	0.381	0.296	ድመት
cattle	0.622	0.340	0.445	ከብት
catwalk	0.698	0.436	0.464	የድመት ጉዞ
caucus	0.418	0.311	0.491	ካውከስ
caudal	0.500	0.425	0.583	ካውዳል
cauldron	0.510	0.486	0.418	ጎድጓዳ ሳህን
cauliflower	0.448	0.255	0.231	የአበባ ጎመን
caulk	0.367	0.500	0.418	ካውክ
causal	0.562	0.367	0.491	ምክንያት
causality	0.500	0.378	0.336	ምክንያታዊነት
causation	0.562	0.480	0.567	ምክንያት
cause	0.469	0.373	0.486	ምክንያት
caused	0.344	0.520	0.382	ምክንያት ሆኗል
causeway	0.453	0.382	0.422	ምክንያት መንገድ
caution	0.552	0.712	0.547	ጥንቃቄ
cautionary	0.510	0.541	0.519	ማስጠንቀቂያ
cautious	0.470	0.445	0.517	ጥንቃቄ የተሞላበት
cautiously	0.510	0.388	0.525	በጥንቃቄ
cavalier	0.735	0.462	0.713	cavalier
cavalry	0.667	0.727	0.794	ፈረሰኞች
cave	0.459	0.333	0.380	ዋሻ
caveat	0.344	0.629	0.484	ማሳሰቢያ
caveman	0.235	0.644	0.482	ዋሻ ሰው
cavern	0.323	0.360	0.365	ዋሻ
cavernous	0.354	0.548	0.462	ዋሻ
caviar	0.906	0.394	0.481	ካቪያር
caving	0.378	0.491	0.551	ዋሻ ማድረግ
cavity	0.466	0.385	0.379	አቅልጠው
cayenne	0.615	0.306	0.355	ካየን
cease	0.388	0.250	0.420	አቁም
ceasefire	0.542	0.594	0.567	የተኩስ አቁም
ceaseless	0.378	0.704	0.658	ያለማቋረጥ
cedar	0.560	0.267	0.577	ዝግባ
cede	0.275	0.327	0.402	አስገባ
ceiling	0.520	0.224	0.366	ጣሪያ
celebrant	0.865	0.656	0.643	አክባሪ
celebrate	0.917	0.857	0.859	ማክበር
celebrated	0.875	0.690	0.763	ተከበረ
celebrating	0.927	0.860	0.773	በማክበር ላይ
celebration	0.939	0.824	0.880	በዓል
celebrations	0.958	0.794	0.714	ክብረ በዓላት
celebratory	0.857	0.653	0.845	አከባበር
celebrity	0.760	0.619	0.855	ታዋቂ ሰው
celery	0.396	0.147	0.223	ሴሊሪ
celestial	0.817	0.360	0.731	የሰለስቲያል
celibacy	0.302	0.276	0.509	ያለማግባት
celibate	0.419	0.387	0.391	አላግባብ
cell	0.541	0.375	0.465	ሕዋስ
cellar	0.510	0.277	0.406	ሴላር
cellblock	0.186	0.570	0.500	የሕዋስ እገዳ
cellist	0.667	0.500	0.486	ሴሊስት
cellmate	0.167	0.684	0.349	የሕዋስ ጓደኛ
cello	0.635	0.324	0.528	ሴሎ
cellophane	0.648	0.282	0.289	ሴላፎፎን
cellular	0.643	0.398	0.517	ሴሉላር
cellulite	0.200	0.384	0.256	ሴሉቴይት
celluloid	0.469	0.440	0.425	ሴሉሎይድ
cement	0.544	0.265	0.527	ሲሚንቶ
cemented	0.429	0.382	0.537	ሲሚንቶ
cemetery	0.051	0.630	0.417	መቃብር
censor	0.344	0.276	0.538	ሳንሱር
censorship	0.219	0.698	0.421	ሳንሱር
censure	0.219	0.653	0.417	መውቀስ
census	0.449	0.289	0.553	ቆጠራ
cent	0.439	0.367	0.402	መቶ
centenary	0.604	0.440	0.642	መቶኛ
centennial	0.583	0.394	0.700	መቶ አመት
center	0.643	0.231	0.431	መሃል
centerfold	0.571	0.407	0.485	መሃከል
centerpiece	0.594	0.208	0.520	ማዕከላዊ ክፍል
centimeter	0.427	0.280	0.380	ሴንቲሜትር
centipede	0.296	0.399	0.361	መቶኛ
central	0.640	0.356	0.621	ማዕከላዊ
centrality	0.571	0.312	0.709	ማዕከላዊነት
centralization	0.521	0.440	0.702	ማዕከላዊነት
centralize	0.684	0.427	0.802	ማእከላዊ ማድረግ
centrally	0.729	0.280	0.700	በማዕከላዊነት
centrifugal	0.306	0.651	0.480	ሴንትሪፉጋል
centrifuge	0.495	0.622	0.527	ሴንትሪፉጅ
centurion	0.590	0.447	0.696	መቶ አለቃ
century	0.407	0.347	0.735	ክፍለ ዘመን
ceramic	0.521	0.255	0.371	ሴራሚክ
ceramics	0.573	0.250	0.373	ሴራሚክስ
cereal	0.612	0.206	0.316	እህል
cereals	0.719	0.224	0.311	ጥራጥሬዎች
cerebral	0.408	0.509	0.627	ሴሬብራል
ceremonial	0.771	0.540	0.691	ሥነ ሥርዓት
ceremony	0.760	0.559	0.761	ሥነ ሥርዓት
certain	0.760	0.358	0.673	የተወሰነ
certainty	0.781	0.400	0.769	እርግጠኝነት
certifiable	0.714	0.427	0.662	የተረጋገጠ
certificate	0.786	0.377	0.746	የምስክር ወረቀት
certified	0.781	0.422	0.806	የተረጋገጠ
certify	0.866	0.400	0.746	ማረጋገጥ
cervical	0.375	0.413	0.445	የማኅጸን ጫፍ
cervix	0.429	0.360	0.340	የማኅጸን ጫፍ
cess	0.427	0.375	0.406	ማቋረጥ
cessation	0.414	0.385	0.358	ማቆም
cesspool	0.167	0.460	0.409	cesspool
cha cha	0.714	0.546	0.324	ቻ ቻ
chaff	0.333	0.327	0.188	ገለባ
chafing	0.430	0.415	0.368	መበሳጨት
chagrin	0.104	0.704	0.472	ብስጭት
chagrined	0.112	0.745	0.361	ተበሳጨ
chai	0.500	0.375	0.363	chai
chain	0.378	0.500	0.547	ሰንሰለት
chainsaw	0.367	0.804	0.636	ቼይንሶው
chair	0.562	0.082	0.276	ወንበር
chairman	0.656	0.567	0.933	ሊቀመንበር
chairperson	0.730	0.657	0.966	ሊቀመንበር
chairwoman	0.719	0.664	0.953	ሊቀመንበር ሴት
chaise	0.406	0.349	0.327	chaise
chalet	0.653	0.349	0.278	chalet
chalice	0.633	0.286	0.529	ጽዋ
chalk	0.385	0.185	0.121	ኖራ
challenge	0.469	0.922	0.713	ፈታኝ
challenger	0.417	0.755	0.652	ፈታኝ
chamber	0.583	0.373	0.455	ክፍል
chambermaid	0.594	0.375	0.336	chambermaid
chambers	0.542	0.442	0.388	ክፍሎች
chameleon	0.490	0.580	0.345	ሻምበል
champ	0.854	0.754	0.896	ሻምፕ
champagne	0.760	0.600	0.454	ሻምፓኝ
champion	0.890	0.880	0.945	ሻምፒዮን
championship	0.833	0.800	0.880	ሻምፒዮና
chance	0.833	0.551	0.525	ዕድል
chancellor	0.646	0.500	0.887	ቻንስለር
chandelier	0.615	0.542	0.366	chandelier
chandler	0.510	0.452	0.454	ቻንደርለር
change	0.625	0.575	0.606	መለወጥ
changeable	0.490	0.480	0.528	ሊለወጥ የሚችል
changed	0.594	0.375	0.491	ተለውጧል
changer	0.583	0.519	0.567	ቀያሪ
changing	0.571	0.569	0.461	መለወጥ
channel	0.490	0.287	0.405	ቻናል
chant	0.771	0.698	0.650	ዘምሩ
chaos	0.016	0.923	0.373	ትርምስ
chaotic	0.115	0.847	0.442	የተመሰቃቀለ
chap	0.550	0.410	0.345	ምዕ
chapel	0.573	0.240	0.440	የጸሎት ቤት
chaperon	0.500	0.520	0.404	አለቃ
chaplain	0.582	0.370	0.577	ቄስ
chapman	0.562	0.529	0.465	ቻፕማን
chaps	0.350	0.462	0.350	ምዕ
chapter	0.580	0.308	0.461	ምዕራፍ
char	0.554	0.361	0.404	ቻር
character	0.667	0.373	0.686	ባህሪ
characteristic	0.583	0.328	0.538	ባህሪይ
characterize	0.729	0.471	0.735	ባህሪይ
charade	0.458	0.550	0.346	ቻራዴ
charcoal	0.302	0.186	0.342	ከሰል
chardonnay	0.677	0.567	0.492	ቻርዶናይ
charge	0.510	0.633	0.785	ክፍያ
chargeable	0.551	0.550	0.453	የሚከፈል
charger	0.531	0.418	0.545	ባትሪ መሙያ
chariot	0.684	0.550	0.491	ሰረገላ
charisma	0.938	0.591	0.759	ካሪዝማ
charismatic	0.938	0.684	0.849	የካሪዝማቲክ
charitable	0.865	0.380	0.593	በጎ አድራጎት
charity	0.920	0.284	0.551	በጎ አድራጎት
charlatan	0.200	0.640	0.352	ቻርላታን
charm	0.833	0.363	0.649	ማራኪ
charmed	0.938	0.570	0.769	ማራኪ
charmer	0.882	0.683	0.782	ማራኪ
charming	0.917	0.660	0.764	ማራኪ
charred	0.208	0.676	0.373	የተቃጠለ
chart	0.469	0.317	0.330	ገበታ
charter	0.677	0.382	0.518	ቻርተር
chartered	0.569	0.460	0.490	ቻርተርድ
chase	0.396	0.878	0.623	ማሳደድ
chased	0.188	0.830	0.287	አሳደዱ
chaser	0.375	0.830	0.645	አሳዳጅ
chasm	0.265	0.579	0.500	ገደል
chassis	0.406	0.342	0.444	በሻሲው
chaste	0.408	0.248	0.453	ንፁህ
chastened	0.156	0.580	0.345	ተቀጣ
chastisement	0.156	0.852	0.462	ቅጣት
chastity	0.469	0.392	0.509	ንጽህና
chat	0.729	0.400	0.346	ውይይት
chateau	0.615	0.464	0.702	ሻቶ
chatter	0.560	0.450	0.347	ወሬኛ
chatterbox	0.459	0.548	0.482	የውይይት ሳጥን
chattering	0.460	0.663	0.304	መጨዋወት
chatty	0.594	0.548	0.345	ቻቲ
chauffeur	0.500	0.353	0.471	ሹፌር
chauvinist	0.310	0.539	0.527	ቻውቪኒስት
cheap	0.612	0.471	0.272	ርካሽ
cheapened	0.471	0.611	0.282	ርካሽ
cheapskate	0.148	0.482	0.327	cheapskate
cheat	0.125	0.776	0.400	ማጭበርበር
cheater	0.104	0.920	0.333	አታላይ
check	0.523	0.552	0.602	ማረጋገጥ
checkbook	0.552	0.284	0.364	ቼክ ደብተር
checker	0.330	0.417	0.553	አረጋጋጭ
checkered	0.459	0.316	0.336	የተረጋገጠ
checkers	0.676	0.451	0.437	ቼኮች
checklist	0.561	0.521	0.552	የማረጋገጫ ዝርዝር
checkmate	0.667	0.708	0.750	አረጋጋጭ
checkout	0.597	0.510	0.670	ጨርሰህ ውጣ
checkpoint	0.571	0.323	0.812	የፍተሻ ነጥብ
checkup	0.500	0.435	0.491	መፈተሽ
cheek	0.670	0.314	0.421	ጉንጭ
cheeks	0.708	0.324	0.282	ጉንጮች
cheeky	0.434	0.679	0.410	ጉንጭ
cheep	0.367	0.380	0.373	ቼፕ
cheer	0.938	0.784	0.845	አይዞህ
cheered	0.875	0.648	0.790	ደስ ብሎኛል
cheerful	0.990	0.720	0.696	ደስተኛ
cheerfulness	0.969	0.802	0.675	ደስታ
cheering	0.815	0.824	0.642	ማበረታታት
cheerleader	0.923	0.746	0.657	አበረታች
cheerleading	0.698	0.769	0.404	ማበረታቻ
cheerless	0.204	0.373	0.167	አይዞህ
cheers	0.948	0.770	0.702	ቺርስ
cheery	0.949	0.657	0.486	ደስ የሚል
cheese	0.740	0.280	0.281	አይብ
cheeseburger	0.802	0.529	0.336	cheeseburger
cheesecake	0.860	0.276	0.238	አይብ ኬክ
cheesy	0.470	0.471	0.179	ቺዝ
cheetah	0.469	0.770	0.667	አቦሸማኔ
chef	0.854	0.411	0.570	ሼፍ
chemical	0.337	0.560	0.508	ኬሚካል
chemise	0.530	0.275	0.364	ኬሚስት
chemist	0.408	0.575	0.610	ኬሚስት
chemistry	0.625	0.520	0.694	ኬሚስትሪ
chemo	0.214	0.686	0.444	ኬሞ
chemotherapy	0.163	0.689	0.517	ኪሞቴራፒ
cheque	0.698	0.529	0.660	ማረጋገጥ
cherish	0.896	0.491	0.652	ይንከባከቡ
cherishing	0.836	0.380	0.625	ተንከባካቢ
cherry	0.688	0.186	0.250	ቼሪ
cherub	0.663	0.340	0.455	ኪሩቤል
chess	0.656	0.363	0.518	ቼዝ
chest	0.520	0.429	0.481	ደረት
chestnut	0.714	0.210	0.294	ደረትን
chevron	0.469	0.469	0.598	ቼቭሮን
chew	0.520	0.490	0.404	ማኘክ
chewy	0.625	0.418	0.390	ማኘክ
chic	0.870	0.624	0.380	ሺክ
chicane	0.357	0.460	0.481	ቺካን
chick	0.771	0.602	0.387	ጫጩት
chicken	0.594	0.306	0.394	ዶሮ
chicken pox	0.194	0.510	0.415	የዶሮ በሽታ
chickenpox	0.173	0.562	0.357	የዶሮ በሽታ
chief	0.520	0.544	0.869	አለቃ
