English Word	Valence	Arousal	Dominance	Zulu Word
desiring	0.814	0.821	0.632	ukufisa
desirous	0.719	0.824	0.562	abafisayo
desist	0.220	0.358	0.291	yeka
desk	0.510	0.135	0.422	ideski
desolate	0.104	0.320	0.228	incithakalo
desolation	0.073	0.481	0.273	incithakalo
despair	0.115	0.794	0.245	ukuphelelwa ithemba
despairing	0.073	0.735	0.286	ukuphelelwa ithemba
despatch	0.448	0.400	0.613	thumela
desperado	0.260	0.745	0.361	ukudangala
desperate	0.083	0.842	0.337	ngokuphelelwa yithemba
desperation	0.125	0.904	0.419	ukuphelelwa ithemba
despicable	0.146	0.710	0.255	edelelekile
despise	0.167	0.745	0.296	delela
despondent	0.133	0.378	0.221	odangele
despotic	0.141	0.824	0.592	odelelekile
despotism	0.255	0.696	0.620	ubudlwangudlwangu
dessert	0.755	0.491	0.404	uphudingi
destination	0.708	0.471	0.637	indawo okuyiwa kuyo
destined	0.698	0.462	0.617	okumiselwe
destiny	0.781	0.413	0.611	isiphetho
destitute	0.130	0.451	0.222	ntula
destroy	0.046	0.935	0.635	bhubhisa
destroyed	0.031	0.696	0.288	ibhujisiwe
destroyer	0.083	0.830	0.543	umbhubhisi
destroying	0.041	0.828	0.660	ukubhubhisa
destruct	0.071	0.868	0.525	cekela phansi
destruction	0.102	0.929	0.613	ukubhujiswa
destructive	0.177	0.870	0.713	elimazayo
detach	0.357	0.625	0.450	hlukanisa
detached	0.280	0.396	0.216	kuhlukanisiwe
detachment	0.243	0.700	0.443	iqembu
detail	0.514	0.406	0.528	imininingwane
detailed	0.603	0.314	0.472	okuningiliziwe
details	0.583	0.367	0.481	imininingwane
detain	0.351	0.345	0.430	bopha
detainee	0.306	0.510	0.321	oboshiwe
detect	0.531	0.520	0.565	thola
detectable	0.479	0.539	0.649	kuyabonakala
detection	0.708	0.567	0.538	ukutholwa
detective	0.500	0.764	0.901	umseshi
detector	0.459	0.630	0.724	umtshina
detention	0.265	0.698	0.562	ukuboshwa
deter	0.344	0.537	0.567	vimba
detergent	0.458	0.304	0.426	okokuhlanza
deteriorate	0.083	0.471	0.202	ukuwohloka
deteriorated	0.053	0.549	0.237	iwohloka
deteriorating	0.104	0.459	0.112	ukuwohloka
deterioration	0.130	0.512	0.283	ukuwohloka
determinable	0.625	0.565	0.723	okunganqunywa
determinate	0.630	0.314	0.772	nquma
determination	0.776	0.725	0.795	ukuzimisela
determine	0.612	0.368	0.776	nquma
determined	0.760	0.528	0.673	kunqunyiwe
deterrent	0.292	0.461	0.385	ukuvimbela
detest	0.083	0.800	0.492	inzondo
detestation	0.177	0.637	0.412	ukunengeka
detonate	0.375	0.850	0.696	qhumisa
detonation	0.167	0.931	0.741	ukuqhunyiswa
detonator	0.207	0.875	0.750	isiqhumane
detour	0.398	0.539	0.309	ukuchezuka
detract	0.344	0.438	0.368	phazamisa
detriment	0.281	0.538	0.263	ukulimaza
detrimental	0.203	0.679	0.387	elimazayo
detritus	0.276	0.353	0.363	i-detritus
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	i-deutschmark
devalued	0.321	0.462	0.212	yehliswe inani
devastate	0.021	0.796	0.509	bhubhisa
devastated	0.120	0.544	0.264	ekhungathekile
devastating	0.104	0.856	0.419	elimazayo
devastation	0.090	0.904	0.472	incithakalo
develop	0.771	0.670	0.821	thuthukisa
developer	0.844	0.653	0.864	unjiniyela
developing	0.833	0.587	0.714	ukuthuthukisa
development	0.827	0.500	0.796	ukuthuthukiswa
deviant	0.094	0.589	0.398	phambuka
deviate	0.173	0.562	0.269	phambuka
deviating	0.354	0.634	0.536	ukuchezuka
deviation	0.105	0.513	0.336	ukuchezuka
device	0.562	0.404	0.627	idivayisi
devil	0.161	0.900	0.611	usathane
deviled	0.347	0.559	0.358	sathane
devilish	0.073	0.865	0.490	enodeveli
devious	0.250	0.519	0.259	ngobuqili
devise	0.551	0.557	0.670	qamba
devoid	0.219	0.436	0.300	ngenalutho
devolution	0.345	0.434	0.425	devolution
devolve	0.367	0.427	0.596	devolve
devote	0.802	0.490	0.642	nikela
devoted	0.867	0.320	0.698	zinikele
devotee	0.816	0.461	0.577	ozinikele
devotion	0.802	0.561	0.673	ukuzinikela
devotional	0.740	0.394	0.655	ukuzinikela
devour	0.344	0.888	0.574	shwabadela
devout	0.620	0.357	0.464	ozinikele
dew	0.604	0.225	0.464	amazolo
dexter	0.458	0.473	0.444	i-dexter
dexterity	0.771	0.673	0.864	ubuhlakani
dextrose	0.333	0.402	0.323	i-dextrose
diabetes	0.051	0.472	0.279	isifo sikashukela
diabetic	0.125	0.269	0.237	isifo sikashukela
diabolical	0.102	0.912	0.456	kadeveli
diagnose	0.378	0.520	0.714	xilonga
diagnosis	0.571	0.500	0.819	ukuxilongwa
diagnostic	0.417	0.483	0.635	zokuxilonga
diagnostics	0.540	0.440	0.750	zokuxilonga
diagonal	0.500	0.343	0.410	idayagonali
diagram	0.562	0.357	0.445	umdwebo
dial	0.620	0.427	0.596	shayela
dialect	0.635	0.422	0.526	ulimi lwesigodi
dialectic	0.510	0.540	0.638	dialectic
dialogue	0.599	0.441	0.625	inkhulumomphendvulwano
dialysis	0.194	0.567	0.407	i-dialysis
diameter	0.427	0.298	0.483	ububanzi
diamond	0.910	0.606	0.769	idayimane
diamonds	0.927	0.684	0.917	amadayimane
diaper	0.409	0.274	0.155	inabukeni
diaphragm	0.459	0.337	0.517	i-diaphragm
diarrhea	0.092	0.684	0.143	isifo sohudo
diarrhoea	0.038	0.692	0.250	isifo sohudo
diary	0.698	0.292	0.464	idayari
diatribe	0.354	0.569	0.409	diatribe
dib	0.479	0.370	0.344	dib
dibs	0.510	0.410	0.391	dibs
dice	0.458	0.441	0.264	idayisi
dicey	0.290	0.833	0.727	idayisi
dichotomous	0.365	0.452	0.538	dichotomous
dichotomy	0.323	0.482	0.483	i-dichotomy
dick	0.208	0.500	0.462	ingquza
dickhead	0.115	0.608	0.284	ikhanda
dicks	0.310	0.694	0.358	ama-dicks
dictate	0.480	0.423	0.668	biza
dictation	0.255	0.378	0.627	ukubizela
dictator	0.073	0.760	0.862	umashiqela
dictatorial	0.204	0.770	0.840	ubushiqela
dictatorship	0.082	0.806	0.784	ubushiqela
diction	0.439	0.373	0.679	isisho
dictionary	0.620	0.250	0.598	isichazamazwi
dictum	0.385	0.510	0.528	i-dictum
didactic	0.645	0.480	0.673	i-didactic
diddle	0.429	0.566	0.393	diddle
die	0.031	0.765	0.259	fa
died	0.021	0.650	0.327	wafa
diesel	0.490	0.327	0.448	udizili
diet	0.429	0.235	0.398	ukudla
dietary	0.551	0.220	0.261	ukudla
differ	0.230	0.398	0.396	ahluke
difference	0.474	0.560	0.483	umehluko
differences	0.365	0.582	0.342	umehluko
different	0.612	0.394	0.473	ezahlukene
differential	0.520	0.378	0.535	umehluko
differentiation	0.367	0.561	0.535	umehluko
differently	0.480	0.431	0.506	ngokuhlukile
differing	0.418	0.410	0.455	ezahlukene
difficult	0.235	0.700	0.508	nzima
difficulties	0.082	0.784	0.357	ubunzima
difficulty	0.079	0.740	0.368	ubunzima
diffuse	0.430	0.431	0.321	sabalalisa
diffusion	0.356	0.615	0.517	ukusabalalisa
dig	0.367	0.585	0.637	dimba
digest	0.720	0.413	0.483	gaya
digestion	0.531	0.410	0.455	ukugaya
digestive	0.542	0.413	0.434	wokugaya ukudla
digit	0.447	0.286	0.333	idijithi
digital	0.740	0.382	0.529	idijithali
dignified	0.766	0.481	0.635	enesithunzi
dignify	0.854	0.588	0.735	hlonipha
dignity	0.844	0.391	0.873	isithunzi
digress	0.271	0.625	0.411	hlehla
digs	0.448	0.670	0.635	digs
dike	0.360	0.384	0.490	dike
dilapidated	0.229	0.618	0.286	edlile
dilatation	0.385	0.574	0.368	ukunwebeka
dilation	0.347	0.490	0.578	ukunweba
dildo	0.536	0.587	0.491	i-dildo
dilemma	0.153	0.590	0.430	inkinga
diligence	0.688	0.423	0.700	ukukhuthala
diligent	0.760	0.426	0.759	ekhuthele
dill	0.427	0.360	0.373	idili
diluent	0.417	0.344	0.332	i-diluent
dilute	0.275	0.192	0.349	hlambulula
diluted	0.469	0.310	0.229	buhlanjululiwe
dilution	0.445	0.337	0.352	ukuhlanjululwa
dim	0.398	0.321	0.273	dim
dime	0.653	0.317	0.345	dime
dimension	0.592	0.415	0.627	ubukhulu
dimensional	0.561	0.484	0.596	ubude
diminish	0.240	0.357	0.167	nciphisa
diminished	0.156	0.269	0.196	inciphe
diminution	0.316	0.296	0.245	ukuncipha
diminutive	0.323	0.200	0.109	incipha
dimwit	0.255	0.459	0.175	dimwit
din	0.440	0.417	0.398	din
dine	0.821	0.519	0.478	dla
diner	0.643	0.302	0.538	isidlo sakusihlwa
dinghy	0.510	0.269	0.325	dingi
dingo	0.608	0.472	0.346	dingo
dingy	0.156	0.483	0.343	dindiy
dining	0.724	0.350	0.459	yokudlela
dinky	0.357	0.451	0.358	dinky
dinner	0.823	0.392	0.379	isidlo sakusihlwa
dinnertime	0.796	0.406	0.341	isikhathi sokudla kwakusihlwa
dinosaur	0.448	0.630	0.596	i-dinosaur
dint	0.378	0.480	0.492	dint
diocesan	0.520	0.283	0.518	diocesan
diocese	0.510	0.288	0.575	diocese
diorama	0.592	0.441	0.462	i-diorama
dioxide	0.354	0.433	0.456	isikhutha
dip	0.516	0.583	0.397	cwilisa
diploma	0.750	0.462	0.731	idiploma
diplomacy	0.740	0.396	0.774	idiplomacy
diplomat	0.563	0.262	0.868	inxusa
diplomatic	0.653	0.363	0.918	inxusa
dipper	0.548	0.361	0.348	idipha
dippy	0.430	0.402	0.340	idiphu
dipstick	0.365	0.312	0.316	idiphu
dire	0.214	0.660	0.259	kakhulu
direct	0.793	0.403	0.650	ngqo
directed	0.542	0.490	0.541	iqondiswe
direction	0.719	0.330	0.684	isiqondiso
directive	0.604	0.530	0.918	isiqondiso
directly	0.747	0.400	0.702	ngqo
director	0.688	0.580	0.912	umqondisi
directory	0.439	0.413	0.538	umkhombandlela
dirt	0.112	0.500	0.236	ukungcola
dirty	0.153	0.460	0.170	engcolile
disability	0.073	0.482	0.173	ukukhubazeka
disable	0.115	0.430	0.269	khubaza
disabled	0.308	0.443	0.235	kukhutshaziwe
disadvantage	0.150	0.377	0.282	ukungabi namathuba
disaffected	0.176	0.410	0.291	engathinteki
disagree	0.133	0.590	0.345	angivumelani
disagreeable	0.042	0.643	0.178	okungavumelani
disagreeing	0.255	0.643	0.350	ukungavumelani
disagreement	0.104	0.618	0.236	ukungezwani
disallow	0.156	0.519	0.424	ukungavumeli
disallowed	0.135	0.500	0.328	akuvunyelwe
disapointment	0.104	0.418	0.231	ukudumazeka
disappear	0.143	0.441	0.350	zinyamalale
disappearance	0.214	0.698	0.367	ukunyamalala
disappearing	0.167	0.427	0.379	enyamalala
disappoint	0.150	0.633	0.288	dumaza
disappointed	0.071	0.472	0.241	edumele
disappointing	0.073	0.640	0.200	edumazayo
disappointment	0.115	0.490	0.336	ukudumala
disapproval	0.085	0.551	0.367	ukungavunyelwa
disapprove	0.160	0.594	0.445	phika
disapproved	0.104	0.550	0.114	kungavunyelwe
disapproving	0.245	0.625	0.452	ukungavumeli
disarm	0.292	0.528	0.613	khipha izikhali
disarray	0.198	0.657	0.223	ukuhlakazeka
disaster	0.082	0.892	0.433	inhlekelele
disastrous	0.071	0.741	0.439	inhlekelele
disband	0.302	0.491	0.417	hlakaza
disbelief	0.188	0.409	0.373	ukungakholwa
disbelieve	0.188	0.441	0.352	bengakholwa
disburse	0.418	0.473	0.353	khipha
disbursement	0.240	0.443	0.435	inkokhelo
disc	0.622	0.410	0.426	idiski
discard	0.240	0.343	0.337	lahla
discarded	0.229	0.460	0.308	kulahliwe
discards	0.240	0.464	0.391	uyalahla
discern	0.459	0.566	0.518	qonda
discernible	0.427	0.441	0.481	ebonakalayo
discerning	0.542	0.584	0.780	oqondayo
discernment	0.408	0.471	0.694	ukuqonda
discharge	0.427	0.538	0.578	khipha
disciple	0.765	0.385	0.462	umfundi
disciplinary	0.562	0.593	0.796	zokuqondisa izigwegwe
discipline	0.615	0.471	0.806	isiyalo
disciplined	0.728	0.450	0.750	okhuzayo
disclaim	0.235	0.509	0.321	ukuzilahla
disclaimer	0.367	0.571	0.542	ukuzihlangula
disclose	0.490	0.570	0.545	dalula
disclosed	0.271	0.575	0.546	kudaluliwe
disclosure	0.500	0.615	0.710	ukudalula
disco	0.710	0.806	0.575	disco
discoloration	0.224	0.373	0.414	ukushintsha umbala
discolored	0.204	0.340	0.269	kuguquliwe
discomfort	0.153	0.719	0.272	ukungakhululeki
disconcerted	0.100	0.612	0.288	ephazamisekile
disconcerting	0.106	0.549	0.269	okuphazamisayo
disconnect	0.438	0.292	0.191	nqamula
disconnected	0.292	0.276	0.173	inqanyuliwe
disconnection	0.167	0.283	0.277	ukunqanyulwa
disconnects	0.256	0.357	0.241	inqamula
discontent	0.240	0.530	0.263	ukunganeliseki
discontinuance	0.123	0.741	0.337	ukungaqhubeki
discontinue	0.354	0.396	0.349	yeka
discontinuity	0.303	0.439	0.250	ukungaqhubeki
discontinuous	0.233	0.409	0.316	engaqhubeki
discord	0.115	0.882	0.465	ukungezwani
discount	0.724	0.530	0.302	isaphulelo
discounted	0.677	0.471	0.430	ehlisiwe
discourage	0.184	0.443	0.267	dikibala
discouraged	0.220	0.304	0.090	edangele
discouragement	0.112	0.319	0.206	ukudangala
discouraging	0.167	0.469	0.281	edumazayo
discourse	0.410	0.550	0.803	inkulumo
discover	0.771	0.793	0.673	thola
discovery	0.823	0.627	0.814	ukutholakala
discredit	0.075	0.529	0.355	hlambalaza
discredited	0.112	0.491	0.182	exoshiwe
discreet	0.552	0.216	0.532	oqondayo
discrepancy	0.260	0.643	0.417	ukungezwani
discrete	0.585	0.231	0.429	ezehlukene
discretion	0.552	0.320	0.685	ukuqonda
discretionary	0.520	0.365	0.446	discretionary
discriminate	0.125	0.761	0.366	ukubandlulula
discriminating	0.160	0.783	0.462	ukubandlulula
discrimination	0.051	0.724	0.379	ukucwasa
discus	0.542	0.423	0.343	i-discus
discuss	0.396	0.769	0.509	xoxa
discussion	0.333	0.842	0.536	ingxoxo
disdain	0.153	0.446	0.441	ukweyisa
disdainful	0.097	0.480	0.263	ukweyisa
disease	0.041	0.539	0.333	isifo
diseased	0.123	0.510	0.134	nesifo
disembodied	0.167	0.620	0.412	ngaphandle komzimba
disengage	0.406	0.529	0.304	khulula
disengagement	0.327	0.373	0.395	ukungahlangani
disfigured	0.153	0.613	0.336	onakele
disgrace	0.061	0.531	0.331	ihlazo
disgraced	0.071	0.661	0.250	ehlazekile
disgraceful	0.082	0.702	0.240	okuyichilo
disgruntled	0.104	0.658	0.442	enokunganeliseki
disguise	0.573	0.694	0.431	zifihle
disguised	0.500	0.615	0.326	ezifihlekile
disgust	0.052	0.775	0.317	ukunengeka
disgusted	0.051	0.773	0.274	enengekile
disgusting	0.031	0.796	0.245	enengekayo
dish	0.552	0.255	0.264	isitsha
disheartened	0.153	0.343	0.238	edangele
disheartening	0.010	0.353	0.224	edumazayo
dishonest	0.191	0.491	0.163	ongathembekile
dishonesty	0.094	0.592	0.348	ukungathembeki
dishonor	0.104	0.620	0.185	ihlazo
dishonorable	0.112	0.641	0.280	engahloniphekile
dishwasher	0.480	0.296	0.324	umshini wokuwasha izitsha
disillusionment	0.051	0.519	0.190	ukudumazeka
disinclination	0.125	0.491	0.330	ukungathambekeli
disincline	0.458	0.454	0.278	disincline
disinclined	0.385	0.442	0.364	enganakile
disinfect	0.448	0.388	0.648	bulala amagciwane
disinfectant	0.531	0.429	0.460	isibulala-magciwane
disinfection	0.517	0.556	0.473	ukubulala amagciwane
disinformation	0.230	0.577	0.260	i-disinformation
disingenuous	0.194	0.509	0.204	abangenangqondo
disintegrate	0.143	0.660	0.364	hlakazeka
disintegration	0.094	0.551	0.381	ukuhlakazeka
disinterested	0.398	0.284	0.392	engenasithakazelo
disjoint	0.351	0.385	0.322	engahlangani
disjointed	0.323	0.518	0.365	engahlangani
disjunctive	0.286	0.481	0.400	okuhlukanisayo
disk	0.573	0.423	0.412	idiski
diskette	0.531	0.255	0.391	idiski
dislike	0.156	0.406	0.321	ukungathandi
disliked	0.062	0.510	0.221	engathandwa
disliking	0.163	0.637	0.366	ukungathandi
dislocated	0.125	0.625	0.200	susiwe
dislocation	0.229	0.565	0.373	ukususwa
dislodge	0.214	0.769	0.356	khipha
disloyal	0.062	0.582	0.245	abangathembekile
disloyalty	0.187	0.716	0.267	ukungathembeki
dismal	0.194	0.450	0.192	kabi
dismantle	0.347	0.644	0.462	qaqa
dismay	0.314	0.681	0.459	ukudumala
dismayed	0.165	0.735	0.389	eshaqekile
dismemberment	0.104	0.860	0.470	ukuhlakazwa
dismiss	0.167	0.541	0.509	chitha
dismissal	0.153	0.723	0.271	ukuxoshwa
dismissive	0.188	0.541	0.430	lahla
dismount	0.361	0.423	0.391	yehla
disobedience	0.051	0.868	0.369	ukungalaleli
disobedient	0.276	0.706	0.353	abangalaleli
disobey	0.143	0.556	0.491	ukungalaleli
disorder	0.115	0.816	0.218	ukuphazamiseka
disordered	0.210	0.714	0.288	ephazamisekile
disorderly	0.188	0.748	0.385	ngokungahlelekile
disorganized	0.052	0.507	0.184	engahlelekile
disorientation	0.163	0.472	0.212	ukuphazamiseka kwengqondo
disoriented	0.227	0.643	0.227	edidekile
disown	0.153	0.637	0.368	phika
disparage	0.092	0.663	0.336	ukweyisa
disparaging	0.102	0.626	0.411	ukululaza
disparate	0.438	0.500	0.368	ahlukene
disparity	0.208	0.482	0.361	ukungafani
dispassionate	0.199	0.217	0.218	ongenaluthando
dispatch	0.317	0.417	0.555	thumela
dispatcher	0.365	0.704	0.652	umthumeli
dispel	0.388	0.402	0.411	chitha
dispensary	0.406	0.380	0.606	i-dispensary
dispensation	0.388	0.462	0.490	inkathi
dispense	0.561	0.520	0.518	khipha
dispenser	0.583	0.392	0.470	i-dispenser
dispersal	0.388	0.507	0.421	ukuhlakazeka
disperse	0.375	0.569	0.434	hlakazeka
dispersed	0.344	0.490	0.274	zihlakazekile
dispersion	0.270	0.604	0.350	ukuhlakazeka
dispirited	0.204	0.280	0.142	edangele
displace	0.424	0.541	0.454	susa
displaced	0.281	0.472	0.291	susiwe
displacement	0.276	0.531	0.481	ukufuduka
displacency	0.500	0.528	0.642	ukufuduka
display	0.677	0.325	0.400	isibonisi
displease	0.021	0.702	0.286	ukungathokozi
displeased	0.135	0.690	0.400	ecasukile
displeasure	0.115	0.559	0.250	ukucasuka
disposable	0.271	0.439	0.250	alahlwayo
disposal	0.135	0.608	0.396	ukulahla
dispose	0.548	0.538	0.559	lahla
disposed	0.688	0.441	0.625	ilahliwe
disposition	0.663	0.542	0.734	isimo
dispossessed	0.354	0.577	0.331	aphucwe izwe
disprove	0.375	0.625	0.613	phika
dispute	0.219	0.750	0.585	ingxabano
disqualification	0.066	0.677	0.330	ukungafaneleki
disqualified	0.129	0.464	0.232	abangafanelekile
disqualify	0.208	0.595	0.267	vimbela
disquieted	0.229	0.850	0.290	ephazamisekile
disregard	0.177	0.647	0.308	ukunganaki
disregarded	0.260	0.458	0.283	zinganakwa
disrelish	0.375	0.471	0.304	ukudelela
disreputable	0.104	0.688	0.353	onedumela elibi
disrepute	0.208	0.630	0.292	hlambalaza
disrespect	0.062	0.637	0.302	ukungahloniphi
disrespectful	0.031	0.694	0.273	ngokungahloniphi
disrupt	0.265	0.640	0.349	phazamisa
disrupting	0.186	0.557	0.339	ukuphazamisa
disruption	0.235	0.735	0.436	ukuphazamiseka
disruptive	0.255	0.755	0.575	okuphazamisayo
dissatisfaction	0.115	0.663	0.202	ukunganeliseki
dissatisfied	0.042	0.561	0.291	enganelisekile
dissect	0.367	0.750	0.595	hlinza
dissection	0.276	0.632	0.462	ukuqaqa
disseminate	0.562	0.608	0.750	ukusabalalisa
dissemination	0.476	0.551	0.583	ukusabalalisa
dissension	0.250	0.618	0.414	ukungezwani
dissent	0.300	0.655	0.407	ukuphikisa
dissenting	0.208	0.552	0.366	ephikisayo
dissertation	0.312	0.575	0.575	dissertation
disservice	0.250	0.794	0.480	ukungahloniphi
dissident	0.350	0.582	0.413	ophikisayo
dissimilar	0.276	0.461	0.472	okungafani
dissipate	0.385	0.368	0.355	hlakaza
dissipated	0.281	0.421	0.231	hlakaziwe
dissociation	0.135	0.555	0.471	ukuhlukana
dissociative	0.281	0.615	0.397	i-dissociative
dissolution	0.204	0.464	0.349	ukuhlakazwa
dissolve	0.271	0.490	0.410	chitha
dissonance	0.173	0.471	0.336	i-dissonance
dissuade	0.482	0.500	0.350	khubaza
distal	0.410	0.401	0.438	kude
distance	0.233	0.317	0.418	ibanga
distant	0.229	0.324	0.269	kude
distaste	0.184	0.625	0.370	ukucasuka
distasteful	0.264	0.676	0.222	enengekayo
distillate	0.500	0.347	0.382	distillate
distillation	0.396	0.436	0.575	ukucwiliswa emanzini
distilled	0.427	0.573	0.500	distilled
distinct	0.542	0.578	0.509	ehlukile
distinction	0.584	0.571	0.750	umehluko
distinctive	0.885	0.520	0.604	ehlukile
distinguish	0.675	0.471	0.600	hlukanisa
distinguishable	0.635	0.530	0.727	okuhlukanisekayo
distinguished	0.823	0.593	0.759	ehlukanisiwe
distinguishing	0.622	0.363	0.640	ukwehlukanisa
distort	0.100	0.740	0.366	hlanekezela
distorted	0.250	0.521	0.280	sihlanekezelwe
distortion	0.299	0.570	0.380	ukuhlanekezela
distract	0.241	0.609	0.336	phazamisa
distracted	0.194	0.392	0.213	ukuphazamiseka
distracting	0.445	0.583	0.400	okuphazamisayo
distraction	0.402	0.557	0.390	ukuphazamiseka
distraught	0.115	0.903	0.264	ekhungathekile
distress	0.073	0.840	0.396	usizi
distressed	0.143	0.771	0.324	edabukile
distressing	0.075	0.750	0.375	ezicindezelayo
distribute	0.643	0.596	0.709	sabalalisa
distribution	0.635	0.548	0.788	ukusatshalaliswa
distributor	0.702	0.447	0.718	umsabalalisi
district	0.438	0.327	0.660	isifunda
distrust	0.060	0.670	0.276	ukungathembani
disturb	0.175	0.760	0.481	phazamisa
disturbance	0.146	0.907	0.404	ukuphazamiseka
disturbed	0.125	0.870	0.305	ephazamisekile
disturbing	0.146	0.792	0.439	ephazamisayo
disuse	0.229	0.229	0.202	ukungasebenzisi
disused	0.250	0.302	0.186	engasasetshenziswa
ditch	0.357	0.364	0.322	umsele
ditto	0.449	0.418	0.411	kanjalo
ditty	0.470	0.433	0.334	ditty
diurnal	0.714	0.296	0.443	nsuku zonke
diva	0.660	0.657	0.596	diva
divan	0.750	0.202	0.262	i-divan
dive	0.583	0.531	0.500	tshuza
diver	0.594	0.520	0.564	umtshuzi
diverge	0.375	0.657	0.520	hlukana
divergence	0.429	0.615	0.687	ukwehlukana
divergent	0.449	0.660	0.587	ehlukene
diverging	0.417	0.613	0.573	ukwehlukana
divers	0.583	0.580	0.602	abatshuzi
diverse	0.562	0.519	0.604	ezihlukahlukene
diversified	0.602	0.538	0.549	izinhlobonhlobo
diversify	0.656	0.588	0.464	hlukanisa
diversion	0.740	0.821	0.714	ukuphambukisa
diversionary	0.551	0.587	0.300	i-diversionary
diversity	0.806	0.472	0.711	ukuhlukahluka
divert	0.344	0.622	0.407	phambukisa
diverting	0.396	0.571	0.537	ukuphambukisa
divest	0.365	0.547	0.424	divest
divested	0.333	0.449	0.311	dived
divestment	0.302	0.509	0.382	ukwehlukana
divide	0.333	0.520	0.417	hlukana
divided	0.271	0.623	0.391	ihlukaniswe
dividend	0.583	0.491	0.566	inzuzo
divination	0.500	0.650	0.545	ukubhula
divine	0.918	0.571	0.885	okwaphezulu
divinity	0.896	0.559	0.774	ubuNkulunkulu
divisible	0.323	0.462	0.411	ezihlukanisekayo
division	0.370	0.481	0.472	ukuhlukana
divisor	0.344	0.517	0.455	isihlukanisi
divorce	0.042	0.700	0.385	isehlukaniso
divorcee	0.153	0.610	0.481	ohlukanisile
divulge	0.531	0.718	0.467	dalula
divvy	0.351	0.462	0.429	i-divvy
dizziness	0.229	0.555	0.254	isiyezi
dizzy	0.199	0.582	0.193	nesiyezi
do	0.670	0.548	0.536	yenza
doable	0.760	0.404	0.675	kungenzeka
doc	0.458	0.317	0.392	doc
docile	0.604	0.259	0.264	thobekile
dock	0.490	0.409	0.481	idokodo
docked	0.281	0.754	0.398	kudokhiwe
docket	0.505	0.509	0.607	idokodo
docking	0.354	0.596	0.587	idokodo
doctor	0.700	0.531	0.861	udokotela
doctorate	0.776	0.479	0.841	ubudokotela
doctrinal	0.510	0.373	0.673	izimfundiso
doctrine	0.500	0.394	0.769	imfundiso
document	0.594	0.240	0.667	idokhumenti
documentary	0.622	0.213	0.596	idokhumentari
documentation	0.719	0.290	0.667	imibhalo
documents	0.530	0.250	0.587	imibhalo
dodge	0.333	0.760	0.509	gwema
dodger	0.427	0.454	0.490	dodger
dodging	0.396	0.654	0.382	ukuvika
dodgy	0.281	0.510	0.254	dodgy
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	idlozi
doer	0.724	0.550	0.728	umenzi
dog	0.704	0.500	0.407	inja
dogface	0.219	0.470	0.264	ubuso benja
dogged	0.255	0.750	0.594	Inja
doggy	0.646	0.491	0.404	inja
doghouse	0.438	0.417	0.340	indlu yezinja
dogma	0.530	0.460	0.719	imfundiso-nkolo
dogmatic	0.448	0.520	0.654	inkolelo-mbono
dogsick	0.571	0.490	0.377	ukugula
doings	0.604	0.491	0.705	izenzo
doit	0.500	0.519	0.392	doit
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	ama-doldrums
dole	0.448	0.402	0.348	dole
doll	0.729	0.321	0.330	unodoli
dollar	0.755	0.632	0.694	idola
dollhouse	0.643	0.245	0.363	indlu kadoli
dolor	0.167	0.635	0.375	idolo
dolphin	0.776	0.350	0.414	amahlengethwa
domain	0.573	0.549	0.828	isizinda
dome	0.620	0.398	0.509	idome
domestic	0.729	0.327	0.500	okwasekhaya
domesticated	0.635	0.360	0.294	ezifuywayo
domestication	0.594	0.390	0.435	ukufuywa
domicile	0.604	0.292	0.529	indawo yokuhlala
domiciled	0.542	0.340	0.516	ukubusa
dominance	0.542	0.775	0.839	ukubusa
dominant	0.406	0.854	0.893	obusayo
dominate	0.439	0.814	0.953	busa
dominating	0.427	0.769	0.902	ukubusa
domination	0.505	0.786	0.959	ukubusa
dominatrix	0.390	0.727	0.709	i-dominatrix
dominion	0.542	0.704	0.890	ukubusa
domino	0.594	0.510	0.473	idomino
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	nikela
donation	0.792	0.398	0.602	umnikelo
donkey	0.406	0.367	0.245	imbongolo
donor	0.714	0.490	0.653	umnikezeli
dontlikeyou	0.055	0.500	0.282	angikuthandi
dontmess	0.396	0.482	0.440	dontmess
dontmesswithme	0.312	0.635	0.440	ungangihlanganisi nami
dontpanic	0.469	0.465	0.425	ungabi novalo
dontunderstand	0.219	0.357	0.271	ungaqondi
doodle	0.604	0.402	0.376	idoodle
doom	0.073	0.750	0.442	imbubhiso
doomed	0.041	0.755	0.301	balahliwe
doomsday	0.125	0.861	0.670	usuku lwembubhiso
door	0.549	0.189	0.421	umnyango
doorbell	0.564	0.500	0.307	isicabha
doorknob	0.406	0.553	0.462	iphinifa lomnyango
doorman	0.570	0.371	0.491	isicabha
doormat	0.458	0.269	0.267	umata womnyango
doornail	0.459	0.370	0.423	uzipho lomnyango
doorstep	0.531	0.274	0.391	emnyango
doorway	0.573	0.304	0.496	umnyango
dopamine	0.548	0.469	0.426	i-dopamine
dope	0.295	0.855	0.425	dope
dopey	0.320	0.380	0.365	dopey
dork	0.272	0.519	0.361	dok
dorky	0.302	0.480	0.390	dorky
