English Word	Valence	Arousal	Dominance	Greek Word
catabolism	0.265	0.573	0.605	καταβολισμός
catalog	0.561	0.221	0.573	κατάλογος
catalogue	0.647	0.327	0.533	κατάλογος
catalysis	0.385	0.559	0.531	κατάλυση
catalyst	0.604	0.509	0.585	καταλύτης
catalytic	0.562	0.519	0.563	καταλυτικός
catamaran	0.571	0.566	0.526	είδος σχεδίας
catapult	0.480	0.830	0.649	καταπέλτης
cataract	0.406	0.545	0.549	καταρράκτης
catastrophe	0.146	0.952	0.670	καταστροφή
catastrophic	0.071	0.934	0.598	καταστροφικός
catatonic	0.255	0.500	0.509	κατατονικός
catch	0.531	0.437	0.552	σύλληψη
catcher	0.653	0.413	0.540	συλλέκτης
catching	0.490	0.788	0.644	ελκυστικός
catchphrase	0.698	0.423	0.433	συνθηματική φράση
catchy	0.677	0.441	0.462	συναρπαστικός
catechism	0.656	0.236	0.613	κατήχηση
categorical	0.615	0.442	0.760	κατηγορηματικός
category	0.571	0.264	0.521	κατηγορία
cater	0.802	0.500	0.509	προμηθεύω
caterer	0.550	0.557	0.644	τροφοδότης
caterpillar	0.461	0.286	0.330	κάμπια
cates	0.370	0.394	0.407	cates
catfish	0.458	0.337	0.296	λυκόψαρο
cathartic	0.450	0.510	0.604	καθαρτικό
cathedral	0.598	0.330	0.643	καθεδρικός ναός
catheter	0.336	0.491	0.373	καθετήρας
cathouse	0.327	0.375	0.363	cathouse
catnip	0.439	0.381	0.296	είδος δυόσμου
cattle	0.622	0.340	0.445	βοοειδή
catwalk	0.698	0.436	0.464	πασαρέλα
caucus	0.418	0.311	0.491	κομματική διοίκηση
caudal	0.500	0.425	0.583	ουράς
cauldron	0.510	0.486	0.418	καζάνι
cauliflower	0.448	0.255	0.231	κουνουπίδι
caulk	0.367	0.500	0.418	βουλώνω
causal	0.562	0.367	0.491	αιτιώδης συνάφεια
causality	0.500	0.378	0.336	αιτιότητα
causation	0.562	0.480	0.567	αιτία
cause	0.469	0.373	0.486	αιτία
caused	0.344	0.520	0.382	προκαλούνται
causeway	0.453	0.382	0.422	υψωμένη οδός
caution	0.552	0.712	0.547	Προσοχή
cautionary	0.510	0.541	0.519	προειδοποιητικός
cautious	0.470	0.445	0.517	προσεκτικός
cautiously	0.510	0.388	0.525	προσεκτικά
cavalier	0.735	0.462	0.713	ιππότης
cavalry	0.667	0.727	0.794	ιππικό
cave	0.459	0.333	0.380	σπήλαιο
caveat	0.344	0.629	0.484	ανακοπή
caveman	0.235	0.644	0.482	αγριάνθρωπος
cavern	0.323	0.360	0.365	σπήλαιο
cavernous	0.354	0.548	0.462	σπηλαιώδης
caviar	0.906	0.394	0.481	χαβιάρι
caving	0.378	0.491	0.551	καθίζηση
cavity	0.466	0.385	0.379	κοιλότητα
cayenne	0.615	0.306	0.355	κόκκινο πιπέρι
cease	0.388	0.250	0.420	παύω
ceasefire	0.542	0.594	0.567	κατάπαυση του πυρός
ceaseless	0.378	0.704	0.658	ακατάπαυστος
cedar	0.560	0.267	0.577	κέδρος
cede	0.275	0.327	0.402	παραχωρώ
ceiling	0.520	0.224	0.366	οροφή
celebrant	0.865	0.656	0.643	ιεροτελεστής
celebrate	0.917	0.857	0.859	γιορτάζω
celebrated	0.875	0.690	0.763	διάσημος
celebrating	0.927	0.860	0.773	γιορτάζοντας
celebration	0.939	0.824	0.880	εορτασμός
celebrations	0.958	0.794	0.714	εορταστικές εκδηλώσεις
celebratory	0.857	0.653	0.845	εορταστική
celebrity	0.760	0.619	0.855	διασημότητα
celery	0.396	0.147	0.223	σέλινο
celestial	0.817	0.360	0.731	ουράνιος
celibacy	0.302	0.276	0.509	αγαμία
celibate	0.419	0.387	0.391	άγαμος
cell	0.541	0.375	0.465	κύτταρο
cellar	0.510	0.277	0.406	κελάρι
cellblock	0.186	0.570	0.500	μπλοκ κυττάρων
cellist	0.667	0.500	0.486	τσελίστας
cellmate	0.167	0.684	0.349	κελί
cello	0.635	0.324	0.528	τσέλο
cellophane	0.648	0.282	0.289	σελοφάν
cellular	0.643	0.398	0.517	κυτταρικός
cellulite	0.200	0.384	0.256	κυτταρίτιδα
celluloid	0.469	0.440	0.425	ζελατίνη
cement	0.544	0.265	0.527	τσιμέντο
cemented	0.429	0.382	0.537	τσιμεντωμένο
cemetery	0.051	0.630	0.417	νεκροταφείο
censor	0.344	0.276	0.538	λογοκριτής
censorship	0.219	0.698	0.421	λογοκρισία
censure	0.219	0.653	0.417	μομφή
census	0.449	0.289	0.553	απογραφή
cent	0.439	0.367	0.402	σεντ
centenary	0.604	0.440	0.642	εκατονταετηρίδα
centennial	0.583	0.394	0.700	εκατονταετηρίδα
center	0.643	0.231	0.431	κέντρο
centerfold	0.571	0.407	0.485	κεντρική πτυχή
centerpiece	0.594	0.208	0.520	κεντρικό κομμάτι
centimeter	0.427	0.280	0.380	εκατοστόμετρο
centipede	0.296	0.399	0.361	σαρανταποδαρούσα
central	0.640	0.356	0.621	κεντρικός
centrality	0.571	0.312	0.709	κεντρικότητα
centralization	0.521	0.440	0.702	συγκέντρωση
centralize	0.684	0.427	0.802	συγκεντρώνω
centrally	0.729	0.280	0.700	κεντρικά
centrifugal	0.306	0.651	0.480	φυγόκεντρος
centrifuge	0.495	0.622	0.527	φυγόκεντρος
centurion	0.590	0.447	0.696	εκατόνταρχος
century	0.407	0.347	0.735	αιώνας
ceramic	0.521	0.255	0.371	κεραμικός
ceramics	0.573	0.250	0.373	κεραμικά
cereal	0.612	0.206	0.316	δημητριακό
cereals	0.719	0.224	0.311	σιτηρά
cerebral	0.408	0.509	0.627	εγκεφαλικός
ceremonial	0.771	0.540	0.691	τελετή
ceremony	0.760	0.559	0.761	τελετή
certain	0.760	0.358	0.673	βέβαιος
certainty	0.781	0.400	0.769	βεβαιότητα
certifiable	0.714	0.427	0.662	βεβαιώσιμος
certificate	0.786	0.377	0.746	πιστοποιητικό
certified	0.781	0.422	0.806	πιστοποιημένο
certify	0.866	0.400	0.746	πιστοποιώ
cervical	0.375	0.413	0.445	αυχένιος
cervix	0.429	0.360	0.340	τράχηλος της μήτρας
cess	0.427	0.375	0.406	cess
cessation	0.414	0.385	0.358	παύση
cesspool	0.167	0.460	0.409	καταβόθρα
cha cha	0.714	0.546	0.324	cha cha
chaff	0.333	0.327	0.188	άχυρο
chafing	0.430	0.415	0.368	τριβή
chagrin	0.104	0.704	0.472	πικρία
chagrined	0.112	0.745	0.361	στεναχωρημένος
chai	0.500	0.375	0.363	chai
chain	0.378	0.500	0.547	αλυσίδα
chainsaw	0.367	0.804	0.636	πριονι
chair	0.562	0.082	0.276	καρέκλα
chairman	0.656	0.567	0.933	Πρόεδρος
chairperson	0.730	0.657	0.966	πρόεδρος
chairwoman	0.719	0.664	0.953	πρόεδρος
chaise	0.406	0.349	0.327	μόνιππη άμαξα
chalet	0.653	0.349	0.278	ξύλινο σπιτάκι
chalice	0.633	0.286	0.529	δισκοπότηρο
chalk	0.385	0.185	0.121	κιμωλία
challenge	0.469	0.922	0.713	πρόκληση
challenger	0.417	0.755	0.652	διεκδικητής
chamber	0.583	0.373	0.455	θάλαμος - Δωμάτιο
chambermaid	0.594	0.375	0.336	καμαριέρα
chambers	0.542	0.442	0.388	θαλάμους
chameleon	0.490	0.580	0.345	χαμαιλέοντας
champ	0.854	0.754	0.896	πρωταθλητής
champagne	0.760	0.600	0.454	σαμπάνια
champion	0.890	0.880	0.945	πρωταθλητής
championship	0.833	0.800	0.880	πρωτάθλημα
chance	0.833	0.551	0.525	ευκαιρία
chancellor	0.646	0.500	0.887	καγκελάριος
chandelier	0.615	0.542	0.366	πολυέλαιος
chandler	0.510	0.452	0.454	κηροποιός
change	0.625	0.575	0.606	αλλαγή
changeable	0.490	0.480	0.528	μεταβλητός
changed	0.594	0.375	0.491	άλλαξε
changer	0.583	0.519	0.567	εναλλάκτης
changing	0.571	0.569	0.461	αλλάζει
channel	0.490	0.287	0.405	Κανάλι
chant	0.771	0.698	0.650	άσμα
chaos	0.016	0.923	0.373	χάος
chaotic	0.115	0.847	0.442	χαώδης
chap	0.550	0.410	0.345	σκάσιμο
chapel	0.573	0.240	0.440	παρεκκλήσι
chaperon	0.500	0.520	0.404	συνοδός
chaplain	0.582	0.370	0.577	εφημέριος
chapman	0.562	0.529	0.465	chapman
chaps	0.350	0.462	0.350	κεφάλαια
chapter	0.580	0.308	0.461	κεφάλαιο
char	0.554	0.361	0.404	απανθρακώνω
character	0.667	0.373	0.686	χαρακτήρας
characteristic	0.583	0.328	0.538	χαρακτηριστικό γνώρισμα
characterize	0.729	0.471	0.735	χαρακτηρίζω
charade	0.458	0.550	0.346	συλλαβόγριφος
charcoal	0.302	0.186	0.342	ξυλάνθρακας
chardonnay	0.677	0.567	0.492	σαρντονέ
charge	0.510	0.633	0.785	χρέωση
chargeable	0.551	0.550	0.453	επιβαρυνόμενος
charger	0.531	0.418	0.545	Φορτιστής
chariot	0.684	0.550	0.491	άρμα
charisma	0.938	0.591	0.759	χάρισμα
charismatic	0.938	0.684	0.849	χαρισματικός
charitable	0.865	0.380	0.593	φιλάνθρωπος
charity	0.920	0.284	0.551	φιλανθρωπία
charlatan	0.200	0.640	0.352	τσαρλατάνος
charm	0.833	0.363	0.649	γοητεία
charmed	0.938	0.570	0.769	γοητευμένος
charmer	0.882	0.683	0.782	γόης
charming	0.917	0.660	0.764	γοητευτικός
charred	0.208	0.676	0.373	απανθρακωμένο
chart	0.469	0.317	0.330	διάγραμμα
charter	0.677	0.382	0.518	ναύλωση
chartered	0.569	0.460	0.490	πιστοποιημένος
chase	0.396	0.878	0.623	κυνηγητό
chased	0.188	0.830	0.287	κυνηγημένος
chaser	0.375	0.830	0.645	κυνηγός
chasm	0.265	0.579	0.500	βάραθρο
chassis	0.406	0.342	0.444	σασί
chaste	0.408	0.248	0.453	αγνός
chastened	0.156	0.580	0.345	τιμωρημένος
chastisement	0.156	0.852	0.462	τιμωρία
chastity	0.469	0.392	0.509	αγνότητα
chat	0.729	0.400	0.346	κουβέντα
chateau	0.615	0.464	0.702	πύργος
chatter	0.560	0.450	0.347	φλυαρία
chatterbox	0.459	0.548	0.482	πολυλογάς
chattering	0.460	0.663	0.304	φλυαρία
chatty	0.594	0.548	0.345	ομιλητικός
chauffeur	0.500	0.353	0.471	σωφέρ
chauvinist	0.310	0.539	0.527	σωβινιστής
cheap	0.612	0.471	0.272	φτηνός
cheapened	0.471	0.611	0.282	φθηνή
cheapskate	0.148	0.482	0.327	φτηνό πατίνι
cheat	0.125	0.776	0.400	απάτη
cheater	0.104	0.920	0.333	κλέφτης
check	0.523	0.552	0.602	έλεγχος
checkbook	0.552	0.284	0.364	καρνέ επιταγών
checker	0.330	0.417	0.553	ντάμα
checkered	0.459	0.316	0.336	περιπετειώδης
checkers	0.676	0.451	0.437	ντάμα
checklist	0.561	0.521	0.552	ΛΙΣΤΑ ΕΛΕΓΧΟΥ
checkmate	0.667	0.708	0.750	ματ
checkout	0.597	0.510	0.670	Ολοκλήρωση αγοράς
checkpoint	0.571	0.323	0.812	σημείο ελέγχου
checkup	0.500	0.435	0.491	τσεκάρω
cheek	0.670	0.314	0.421	μάγουλο
cheeks	0.708	0.324	0.282	μάγουλα
cheeky	0.434	0.679	0.410	θρασύς
cheep	0.367	0.380	0.373	τερετίζω
cheer	0.938	0.784	0.845	κέφι
cheered	0.875	0.648	0.790	επευφημούσε
cheerful	0.990	0.720	0.696	χαρούμενος
cheerfulness	0.969	0.802	0.675	φαιδρότητα
cheering	0.815	0.824	0.642	επευφημίες
cheerleader	0.923	0.746	0.657	μαζορέτα
cheerleading	0.698	0.769	0.404	μαζορέτες
cheerless	0.204	0.373	0.167	άκεφος
cheers	0.948	0.770	0.702	Στην υγειά σας
cheery	0.949	0.657	0.486	χαρωπός
cheese	0.740	0.280	0.281	τυρί
cheeseburger	0.802	0.529	0.336	τσίσμπεργκερ
cheesecake	0.860	0.276	0.238	τσεισκέικ
cheesy	0.470	0.471	0.179	τυρώδης
cheetah	0.469	0.770	0.667	γατόπαρδος
chef	0.854	0.411	0.570	σεφ
chemical	0.337	0.560	0.508	χημική ουσία
chemise	0.530	0.275	0.364	γυναικείο υποκάμισο
chemist	0.408	0.575	0.610	χημικός
chemistry	0.625	0.520	0.694	χημεία
chemo	0.214	0.686	0.444	chemo
chemotherapy	0.163	0.689	0.517	χημειοθεραπεία
cheque	0.698	0.529	0.660	έλεγχος
cherish	0.896	0.491	0.652	διατηρώ
cherishing	0.836	0.380	0.625	λατρευτικό
cherry	0.688	0.186	0.250	κεράσι
cherub	0.663	0.340	0.455	χερουβείμ
chess	0.656	0.363	0.518	σκάκι
chest	0.520	0.429	0.481	στήθος
chestnut	0.714	0.210	0.294	κάστανο
chevron	0.469	0.469	0.598	σιρίτι
chew	0.520	0.490	0.404	μασάω
chewy	0.625	0.418	0.390	λαστιχωτό
chic	0.870	0.624	0.380	σικ
chicane	0.357	0.460	0.481	σικάν
chick	0.771	0.602	0.387	νεοσσός
chicken	0.594	0.306	0.394	κοτόπουλο
chicken pox	0.194	0.510	0.415	ανεμοβλογιά
chickenpox	0.173	0.562	0.357	ανεμοβλογιά
chief	0.520	0.544	0.869	αρχηγός
chiefly	0.600	0.587	0.764	κυρίως
chieftain	0.343	0.529	0.860	οπλαρχηγός
chiffon	0.406	0.230	0.250	σιφόνι
child	0.912	0.460	0.413	παιδί
childbirth	0.604	0.861	0.673	ΓΕΝΝΗΣΗ ΠΑΙΔΙΟΥ
childhood	0.865	0.413	0.307	Παιδική ηλικία
childish	0.573	0.442	0.230	παιδαριώδης
childless	0.310	0.400	0.396	άτεκνος
childlike	0.656	0.372	0.293	παιδιάστικος
childloss	0.240	0.571	0.421	απώλεια παιδιών
children	0.857	0.538	0.435	παιδιά
chili	0.592	0.566	0.433	κοκκινοπίπερο
chill	0.837	0.206	0.482	ψύχρα
chilled	0.521	0.340	0.482	κατεψυγμένο
chilling	0.208	0.850	0.358	ανατριχιαστικό
chilly	0.329	0.459	0.408	ψυχρός
chime	0.573	0.541	0.464	αρμονική κωδωνοκρουσία
chimera	0.292	0.582	0.372	χίμαιρα
chimes	0.625	0.490	0.402	κουδουνίσματα
chimney	0.583	0.286	0.225	καμινάδα
chimp	0.394	0.588	0.345	χιμπατζής
chimpanzee	0.500	0.633	0.387	χιμπατζής
chin	0.571	0.310	0.269	πηγούνι
china	0.561	0.443	0.556	Κίνα
chinchilla	0.480	0.450	0.286	καλλίμαλο ζώο της Νότιας Αμερικής
chine	0.561	0.360	0.352	σπονδυλική στήλη ζώου
chinook	0.408	0.497	0.491	chinook
chip	0.479	0.382	0.452	πατατακι
chipmunk	0.573	0.562	0.409	είδος σκίουρου
chipper	0.418	0.588	0.500	ζωηρός
chipping	0.354	0.452	0.353	απόκομμα
chiropractor	0.420	0.549	0.651	χειροπράκτορας
chirp	0.469	0.602	0.365	τερέτισμα
chirping	0.500	0.463	0.360	τσιτσίρισμα
chisel	0.469	0.404	0.452	σμίλη
chiseler	0.429	0.606	0.464	λαξευτής
chit	0.490	0.352	0.321	παιδάκι
chitchat	0.673	0.455	0.403	κουβεντούλα
chivalry	0.857	0.380	0.848	ιπποτισμός
chloride	0.265	0.387	0.474	χλωριούχο
chlorine	0.306	0.327	0.332	χλώριο
chloroform	0.281	0.370	0.393	χλωροφόρμιο
chocolate	0.885	0.480	0.418	σοκολάτα
choice	0.745	0.520	0.664	επιλογή
choir	0.704	0.298	0.473	χορωδία
choke	0.167	0.788	0.676	πνιγομαι
cholera	0.020	0.867	0.507	χολέρα
cholesterol	0.198	0.583	0.398	χοληστερίνη
choose	0.615	0.542	0.648	επιλέγω
choosing	0.719	0.529	0.689	επιλέγοντας
choosy	0.280	0.760	0.712	επιλεκτικός
chop	0.250	0.655	0.467	μπριζόλα
chopper	0.594	0.560	0.509	ελικόπτερο
choppers	0.469	0.745	0.691	μπαλτάδες
chopping	0.560	0.625	0.362	τεμαχισμός
chops	0.612	0.420	0.269	μπριζόλες
choral	0.852	0.290	0.421	χορικός
chord	0.729	0.394	0.539	χορδή
chords	0.639	0.406	0.388	συγχορδίες
chore	0.406	0.462	0.500	αγγαρεία
choreographer	0.646	0.639	0.625	χορογράφος
choreography	0.812	0.750	0.547	χορογραφία
chorus	0.620	0.417	0.500	Χορωδία
chosen	0.865	0.449	0.833	εκλεκτός
chow	0.573	0.490	0.390	φαγητό
chowder	0.510	0.324	0.241	στρειδόσουπα
christ	0.781	0.510	0.750	Χριστός
christen	0.673	0.356	0.588	βαπτίζω
christening	0.725	0.382	0.650	βάπτισμα
christmas	0.959	0.520	0.741	Χριστούγεννα
christmasbreak	0.842	0.640	0.548	ΔΙΑΚΟΠΕΣ ΧΡΙΣΤΟΥΓΕΝΝΩΝ
christmaseve	0.812	0.491	0.463	παραμονή Χριστουγέννων
christmasspirit	0.867	0.602	0.575	πνεύμα τών ΧΡΙΣΤΟΥΓΕΝΝΩΝ
christmassy	0.875	0.698	0.602	χριστουγεννιάτικα
christmastime	0.837	0.588	0.515	Χριστούγεννα
chromatic	0.407	0.413	0.435	χρωματικός
chromatography	0.480	0.537	0.535	χρωματογραφία
chrome	0.582	0.373	0.421	χρώμιο
chromium	0.458	0.404	0.447	χρώμιο
chromosome	0.500	0.296	0.548	χρωμόσωμα
chronic	0.255	0.615	0.464	χρόνιος
chronicle	0.427	0.571	0.586	χρονικό
chronograph	0.500	0.392	0.529	χρονογράφος
chronological	0.594	0.445	0.600	χρονολογικός
chubby	0.531	0.427	0.304	παχουλός
chuck	0.542	0.509	0.413	χαϊδεύω
chuckle	0.844	0.736	0.481	συγκρατημένο γέλιο
chug	0.401	0.413	0.358	σύνοικος
chum	0.911	0.347	0.518	στενός φίλος
chummy	0.760	0.420	0.610	φιλικός
chump	0.375	0.451	0.304	κούτσουρο
chunk	0.365	0.287	0.214	μεγάλο κομμάτι
chunky	0.520	0.517	0.509	ογκώδης
church	0.708	0.198	0.610	Εκκλησία
churchyard	0.296	0.444	0.347	νεκροταφείο
churn	0.316	0.491	0.407	καρδάρα
chute	0.580	0.745	0.455	αλεξίπτωτο
chutney	0.459	0.370	0.400	τσάτνεϊ
ciao	0.542	0.426	0.409	ciao
cider	0.530	0.346	0.398	μηλίτης
cigar	0.306	0.463	0.346	πούρο
cigarette	0.219	0.528	0.304	τσιγάρο
cilantro	0.469	0.260	0.208	κόλιαντρο
cinch	0.450	0.490	0.387	κάτι βέβαιον ή εύκολον
cinder	0.350	0.260	0.157	θράκα
cinema	0.698	0.538	0.500	κινηματογράφος
cinematic	0.663	0.490	0.600	κινηματικός
cinematographer	0.792	0.455	0.711	κινηματογραφιστής
cinematography	0.781	0.571	0.625	κινηματογραφία
cinnamon	0.600	0.250	0.292	κανέλα
cipher	0.490	0.414	0.500	κρυπτογράφημα
circle	0.480	0.290	0.343	κύκλος
circling	0.510	0.654	0.336	κυκλώνοντας
circuit	0.586	0.461	0.707	κύκλωμα
circuitry	0.596	0.615	0.536	κύκλωμα
circular	0.562	0.342	0.417	εγκύκλιος
circulate	0.612	0.388	0.320	κυκλοφορώ
circulation	0.735	0.520	0.657	κυκλοφορία
circulatory	0.592	0.575	0.545	κυκλοφορικό
circumcision	0.327	0.657	0.528	περιτομή
circumference	0.458	0.255	0.488	περιφέρεια
circumferential	0.551	0.422	0.509	περιφερειακό
circumscribed	0.365	0.539	0.569	περιγεγραμμένος
circumstance	0.520	0.565	0.596	περίσταση
circumstances	0.562	0.527	0.464	περιστάσεις
circumstantial	0.500	0.538	0.519	λεπτομερής
circumvent	0.316	0.642	0.383	καταστρατηγώ
circumvention	0.531	0.571	0.473	καταστρατήγηση
circus	0.724	0.637	0.432	τσίρκο
cirque	0.604	0.647	0.467	τσίρκο
cirrhosis	0.079	0.602	0.370	κίρρωση
cirrus	0.470	0.451	0.348	ελικοειδής βλαστός
cistern	0.541	0.413	0.432	στέρνα, δεξαμενή, ντεπόζιτο
citadel	0.585	0.464	0.602	ακρόπολη
citation	0.570	0.549	0.508	παραπομπή
cite	0.625	0.454	0.532	αναφέρω
citizen	0.631	0.250	0.586	πολίτης
citizenship	0.786	0.404	0.723	ιθαγένεια
citrine	0.375	0.400	0.420	κιτρίνη
citrus	0.469	0.368	0.375	εσπεριδοειδές
city	0.847	0.531	0.508	πόλη
citywide	0.592	0.509	0.707	σε όλη την πόλη
civic	0.653	0.240	0.573	αστικός
civics	0.700	0.279	0.720	αστικό δίκαιο
civil	0.521	0.281	0.517	εμφύλιος
civilian	0.700	0.229	0.598	πολίτης
civilians	0.490	0.448	0.525	άμαχος πληθυσμός
civility	0.760	0.306	0.679	ευγένεια
civilization	0.823	0.452	0.839	πολιτισμός
civilized	0.792	0.231	0.796	πολιτισμένος
clad	0.583	0.373	0.481	ντυμένος
claim	0.255	0.760	0.473	απαίτηση
claimant	0.271	0.690	0.779	απαιτητής
clairvoyant	0.765	0.531	0.897	μάντης
clam	0.442	0.302	0.272	αχιβάδα
clambake	0.542	0.540	0.429	clambake
clammy	0.354	0.440	0.236	γλοιώδης
clamor	0.438	0.643	0.360	κραυγή
clamp	0.541	0.388	0.454	σφιγκτήρας
clan	0.562	0.491	0.686	φυλή
clandestine	0.425	0.677	0.469	λαθραίος
clang	0.459	0.520	0.510	κλαγγή
clap	0.779	0.731	0.529	χειροκρότημα
clapper	0.500	0.229	0.420	γλωσσίδι
clapping	0.823	0.894	0.686	παλαμάκια
clarification	0.802	0.461	0.613	διευκρίνιση
clarify	0.652	0.535	0.625	διευκρινίζω
clarinet	0.592	0.453	0.411	κλαρινέτο
clarion	0.500	0.443	0.422	σάλπιγγας
clarity	0.796	0.310	0.631	σαφήνεια
clash	0.293	0.918	0.453	σύγκρουση
clashing	0.177	0.764	0.575	συγκρούονται
clasp	0.448	0.375	0.241	καρφίτσα
class	0.656	0.314	0.522	τάξη
classic	0.690	0.260	0.611	κλασσικός
classic rock	0.729	0.571	0.588	κλασσική ροκ
classical	0.643	0.198	0.536	κλασσικός
classics	0.750	0.333	0.510	κλασικά
classification	0.583	0.423	0.613	ταξινόμηση
classified	0.571	0.460	0.663	ταξινομημένο
classify	0.646	0.411	0.720	ταξινόμηση
classmate	0.781	0.400	0.593	συμμαθητής
classroom	0.539	0.292	0.363	αίθουσα διδασκαλίας
classy	0.917	0.410	0.649	αριστοκρατικό
clatter	0.418	0.820	0.387	ποδοβολητό
clause	0.480	0.409	0.528	ρήτρα
clauses	0.449	0.429	0.545	ρήτρες
claustrophobia	0.125	0.840	0.333	κλειστοφοβία
claustrophobic	0.092	0.755	0.400	κλειστοφοβικός
clavicle	0.398	0.400	0.452	κλείδα
claw	0.260	0.600	0.598	δαγκάνα
claws	0.281	0.698	0.562	νύχια
clay	0.542	0.250	0.267	πηλός
clean	0.827	0.170	0.500	ΚΑΘΑΡΗ
cleaner	0.604	0.556	0.375	καθαριστής
cleaning	0.595	0.396	0.427	καθάρισμα
cleanliness	0.816	0.363	0.609	καθαριότητα
cleanly	0.823	0.352	0.583	καθαρά
cleanse	0.625	0.310	0.660	καθαρίζω
cleanser	0.604	0.353	0.433	καθαριστικό
cleansing	0.729	0.298	0.472	κάθαρση
cleanup	0.729	0.314	0.451	καθάρισε
clear	0.857	0.327	0.573	Σαφή
clearance	0.542	0.459	0.473	εκτελωνισμός
clearing	0.680	0.333	0.509	ξέφωτο
clearness	0.875	0.316	0.689	καθαρότητα
cleat	0.486	0.260	0.361	στήριγμα
cleavage	0.542	0.602	0.454	σχίσιμο
cleave	0.296	0.545	0.389	σχίζω
cleaver	0.240	0.627	0.434	μπαλτάς
clef	0.615	0.360	0.595	κλειδί
cleft	0.306	0.442	0.360	σχισμή
clemency	0.594	0.417	0.397	επιείκεια
clench	0.438	0.618	0.580	σφίγγω
clergy	0.531	0.312	0.575	κλήρος
clergyman	0.594	0.330	0.556	κληρικός
cleric	0.521	0.324	0.589	κληρικός
clerical	0.520	0.396	0.491	κληρικός
clerk	0.500	0.579	0.509	υπάλληλος
clerkship	0.582	0.380	0.596	γραμματεία
clever	0.896	0.353	0.729	έξυπνος
cleverness	0.878	0.509	0.921	εξυπνάδα
click	0.536	0.365	0.268	Κάντε κλικ
clicker	0.418	0.490	0.463	κλικ
client	0.583	0.450	0.618	πελάτης
clientele	0.625	0.577	0.508	πελατεία
cliff	0.361	0.620	0.509	γκρεμός
climate	0.635	0.240	0.483	κλίμα
climatology	0.531	0.367	0.541	κλιματολογία
climax	0.735	0.853	0.667	κορύφωση
climb	0.615	0.660	0.604	αναρρίχηση
climber	0.573	0.716	0.735	ορειβάτης
clinch	0.469	0.538	0.430	σφίγγω
cling	0.417	0.620	0.588	συνδέομαι
clingy	0.224	0.460	0.370	προσκολλητώς
clinic	0.469	0.439	0.600	κλινική
clinical	0.337	0.412	0.640	κλινικός
clink	0.458	0.462	0.319	χτυπώ
clip	0.438	0.310	0.381	συνδετήρας
clipboard	0.594	0.255	0.423	πρόχειρο
clipper	0.293	0.422	0.383	ψαλίδι
clipping	0.460	0.500	0.405	απόκομμα
clique	0.427	0.430	0.391	κλίκα
clitoris	0.625	0.844	0.464	κλειτορίς
cloak	0.469	0.188	0.333	μανδύας
cloaking	0.521	0.595	0.389	μανδύα
cloakroom	0.690	0.254	0.397	γκαρνταρόμπα
clobber	0.396	0.578	0.464	κοπανάω
clock	0.677	0.173	0.407	ρολόι
clockwork	0.490	0.373	0.528	μηχανισμός ωρολογιού
clod	0.375	0.404	0.365	μπουμπούνας
clog	0.104	0.618	0.454	βουλώνω
cloister	0.438	0.413	0.475	μοναστήρι
clone	0.406	0.471	0.524	κλώνος
cloning	0.216	0.696	0.679	κλωνοποίηση
close	0.292	0.260	0.263	Κλείσε
closed	0.240	0.164	0.318	κλειστό
closeness	0.796	0.237	0.450	εγγύτητα
closet	0.531	0.204	0.330	ΝΤΟΥΛΑΠΑ ΡΟΥΧΩΝ
closure	0.229	0.220	0.412	κλείσιμο
clot	0.150	0.558	0.275	θρόμβος
cloth	0.510	0.190	0.287	πανί
clothe	0.797	0.330	0.481	ντύνω
clothes	0.833	0.270	0.414	ρούχα
clothesline	0.582	0.324	0.366	άπλωμα
clothing	0.750	0.343	0.407	είδη ένδυσης
cloud	0.740	0.133	0.342	σύννεφο
clouded	0.240	0.213	0.302	θολός
cloudiness	0.469	0.250	0.343	συννεφιά
clouds	0.735	0.195	0.324	σύννεφα
cloudy	0.281	0.280	0.202	συννεφιασμένος
clout	0.584	0.636	0.704	καρπαζιά
clove	0.439	0.296	0.315	γαρύφαλλο μπαχαρικό
clover	0.605	0.340	0.364	τριφύλλι
cloves	0.427	0.218	0.396	γαρίφαλο
clown	0.650	0.598	0.300	κλόουν
clowns	0.600	0.673	0.391	κλόουν
club	0.646	0.618	0.393	Λέσχη
clubhouse	0.694	0.571	0.493	λέσχη
clubs	0.723	0.530	0.591	συλλόγους
cluck	0.390	0.490	0.353	κακαρίζω
clue	0.653	0.380	0.412	ένδειξη
clueless	0.350	0.333	0.161	ανίδεοι
clump	0.551	0.480	0.582	συστάδα δέντρων
clumsy	0.125	0.420	0.144	αδέξιος
clunk	0.448	0.472	0.407	τσουγκρίζω
cluster	0.490	0.458	0.446	σύμπλεγμα
clutch	0.383	0.500	0.491	συμπλέκτης
clutches	0.542	0.373	0.528	συμπλέκτες
clutter	0.135	0.598	0.400	σύγχυση
coach	0.633	0.823	0.735	προπονητής
coachman	0.479	0.394	0.509	αμαξάς
coagulation	0.381	0.558	0.436	πήξη
coal	0.360	0.241	0.340	κάρβουνο
coalesce	0.479	0.434	0.529	συναυξάνω
coalition	0.490	0.730	0.673	συνασπισμός
coarse	0.333	0.481	0.481	τραχύς
coast	0.719	0.396	0.458	ακτή
coastal	0.604	0.370	0.510	παραλιακός
