English Word	Valence	Arousal	Dominance	Frisian Word
copious	0.427	0.462	0.527	oerfloedich
copper	0.580	0.260	0.500	koper
copter	0.571	0.704	0.569	copter
copy	0.460	0.240	0.263	kopy
copycat	0.449	0.580	0.443	copycat
copying	0.448	0.315	0.404	kopiearjen
copyright	0.458	0.402	0.663	auteursrjocht
coral	0.802	0.231	0.425	koraal
coral snake	0.276	0.712	0.607	koraal slang
cord	0.388	0.378	0.358	cord
cordial	0.823	0.312	0.482	hertlik
cordless	0.667	0.441	0.528	cordless
cordon	0.469	0.317	0.380	cordon
corduroy	0.570	0.324	0.357	corduroy
core	0.721	0.378	0.540	kearn
cork	0.347	0.250	0.281	kork
corkscrew	0.427	0.443	0.445	kurketrekker
corn	0.594	0.196	0.292	nôt
cornball	0.479	0.378	0.325	cornball
cornbread	0.643	0.304	0.302	cornbread
cornea	0.521	0.346	0.443	cornea
corned	0.459	0.441	0.425	corned
corner	0.400	0.296	0.366	hoeke
cornerstone	0.550	0.388	0.596	hoekstien
cornet	0.507	0.520	0.415	kornet
cornfield	0.719	0.310	0.349	maisfjild
cornflakes	0.729	0.346	0.355	cornflakes
cornice	0.458	0.441	0.295	cornice
cornstarch	0.643	0.299	0.337	maizena
corny	0.448	0.370	0.221	corny
corollary	0.458	0.469	0.366	gefolch
corona	0.818	0.439	0.745	corona
coronary	0.567	0.613	0.509	coronary
coronation	0.792	0.592	0.836	kroaning
coroner	0.323	0.558	0.526	coroner
corporal	0.582	0.490	0.596	korporaal
corporate	0.592	0.454	0.745	corporate
corporation	0.429	0.332	0.873	ûndernimming
corporeal	0.520	0.350	0.461	lichamlik
corps	0.551	0.453	0.483	korps
corpse	0.094	0.657	0.232	lyk
corpsman	0.439	0.469	0.651	korpsman
corpus	0.543	0.340	0.490	corpus
corral	0.606	0.662	0.422	corral
correct	0.857	0.306	0.723	korrekt
correction	0.448	0.485	0.558	korreksje
correctional	0.292	0.713	0.602	korreksje
corrective	0.448	0.528	0.613	korrektyf
correctness	0.796	0.450	0.649	correctness
correlation	0.596	0.462	0.571	korrelaasje
correlative	0.510	0.402	0.571	korrelatyf
correspond	0.710	0.452	0.545	oerienkomme
correspondence	0.663	0.423	0.491	korrespondinsje
correspondent	0.573	0.565	0.712	korrespondint
corresponding	0.740	0.423	0.618	oerienkommende
corridor	0.604	0.589	0.592	korridor
corroborate	0.671	0.471	0.616	befêstigje
corroboration	0.625	0.431	0.733	befêstiging
corrosion	0.156	0.610	0.348	corrosie
corrosive	0.140	0.618	0.570	corrosive
corrupt	0.020	0.806	0.500	korrupt
corrupting	0.062	0.804	0.380	korrupsje
corruption	0.052	0.830	0.549	korrupsje
corsage	0.510	0.294	0.397	corsage
corse	0.448	0.451	0.382	corse
corset	0.490	0.520	0.381	korset
cortex	0.594	0.439	0.529	cortex
cortical	0.380	0.423	0.536	cortical
cortisone	0.427	0.395	0.456	cortisone
corvette	0.551	0.520	0.598	korvette
cosmetic	0.625	0.304	0.308	cosmetische
cosmetics	0.765	0.464	0.472	cosmetica
cosmic	0.663	0.538	0.692	kosmysk
cosmology	0.651	0.438	0.637	kosmology
cosmopolitan	0.823	0.510	0.760	kosmopolyt
cosmos	0.860	0.478	0.664	kosmos
cost	0.365	0.420	0.439	kosten
costly	0.316	0.650	0.642	kostber
costume	0.548	0.510	0.374	kostúm
cosy	0.847	0.255	0.518	gesellich
cot	0.625	0.230	0.278	cot
cote	0.439	0.344	0.324	cote
cottage	0.600	0.279	0.361	cottage
cotton	0.639	0.071	0.240	katoen
couch	0.594	0.082	0.198	couch
cougar	0.438	0.588	0.538	cougar
cough	0.255	0.627	0.241	hoest
council	0.875	0.279	0.635	ried
councilman	0.531	0.367	0.793	riedslid
counsel	0.594	0.519	0.730	riede
counseling	0.667	0.480	0.704	begelieding
counsellor	0.823	0.327	0.740	riedsman
counselor	0.873	0.365	0.706	riedsman
count	0.594	0.389	0.492	telle
countdown	0.438	0.692	0.490	countdown
countenance	0.635	0.440	0.690	antlit
counter	0.439	0.478	0.750	loket
counteract	0.378	0.542	0.688	tsjingean
counterattack	0.281	0.951	0.764	tsjinoanfal
counterbalance	0.520	0.480	0.627	tsjinwicht
counterclaim	0.398	0.760	0.651	tsjinclaim
counterfeit	0.094	0.694	0.451	falskemunterij
counterpart	0.448	0.608	0.577	tsjinhinger
counterpoint	0.438	0.509	0.538	kontrapunt
countess	0.562	0.440	0.670	grevinne
countless	0.520	0.566	0.534	ûntelbere
country	0.698	0.394	0.693	lân
countryman	0.673	0.441	0.789	lânsman
countrymusic	0.795	0.451	0.438	Country muzyk
countryside	0.732	0.288	0.327	plattelân
counts	0.343	0.373	0.500	telt
county	0.479	0.368	0.545	greefskip
coup	0.275	0.815	0.607	steatsgreep
coupe	0.479	0.460	0.482	coupe
couple	0.806	0.605	0.607	pear
coupled	0.612	0.286	0.650	keppele
coupling	0.594	0.479	0.555	koppeling
coupon	0.704	0.300	0.421	coupon
courage	0.830	0.728	0.849	moed
courageous	0.918	0.587	0.879	moedich
courier	0.551	0.383	0.441	koerier
courses	0.735	0.412	0.534	kursussen
coursing	0.542	0.472	0.546	kursussen
court	0.479	0.769	0.827	rjochtbank
courteous	0.937	0.396	0.529	hoflik
courtesy	0.927	0.287	0.431	hoflikheid
courthouse	0.571	0.503	0.818	rjochtsgebou
courtroom	0.385	0.670	0.887	rjochtseal
courts	0.367	0.710	0.816	rjochtbanken
courtship	0.667	0.490	0.654	hoflikheid
courtside	0.592	0.391	0.434	rjochtbank
courtyard	0.503	0.365	0.355	binnenhôf
cousin	0.675	0.394	0.427	omkesizze
cousins	0.760	0.409	0.464	neven
cove	0.500	0.304	0.370	cove
coven	0.458	0.578	0.591	coven
covenant	0.594	0.462	0.667	ferbûn
cover	0.365	0.240	0.471	cover
coverage	0.767	0.413	0.629	dekking
covered	0.562	0.340	0.644	bedutsen
covering	0.615	0.382	0.583	covering
covert	0.500	0.570	0.508	ferburgen
covet	0.302	0.779	0.524	begeare
coveted	0.661	0.730	0.625	begeerde
cow	0.449	0.230	0.300	ko
coward	0.102	0.490	0.149	leffert
cowardice	0.133	0.621	0.167	leffe
cowardly	0.102	0.385	0.127	lef
cowboy	0.594	0.625	0.695	cowboy
cowgirl	0.541	0.566	0.554	cowgirl
cowhand	0.438	0.480	0.596	koweras
cowhide	0.458	0.324	0.333	kowehûd
cowl	0.427	0.450	0.232	cowl
coworker	0.667	0.490	0.625	meiwurker
coy	0.347	0.330	0.213	coy
coyote	0.459	0.471	0.387	coyote
cozy	0.910	0.356	0.545	gesellich
crab	0.421	0.396	0.330	krab
crabby	0.198	0.812	0.370	kreaze
crack	0.302	0.625	0.400	crack
cracked	0.224	0.520	0.228	kreake
cracker	0.604	0.343	0.346	cracker
crackerjack	0.567	0.509	0.426	crackerjack
cracking	0.327	0.557	0.286	kreakjen
crackle	0.327	0.643	0.481	crackle
crackpot	0.260	0.602	0.245	crackpot
cradle	0.776	0.194	0.333	widze
craft	0.760	0.321	0.539	ambacht
crafts	0.667	0.380	0.391	ambachten
craftsman	0.719	0.310	0.583	ambachtsman
craftsmanship	0.823	0.373	0.571	fakmanskip
crafty	0.589	0.679	0.783	crafty
craig	0.448	0.449	0.490	craig
cram	0.354	0.730	0.598	kram
crammed	0.406	0.740	0.466	krûpt
cramp	0.194	0.796	0.340	kramp
cramped	0.240	0.567	0.360	krap
cranberry	0.793	0.330	0.363	feanbei
cranberry juice	0.622	0.321	0.281	cranberry sap
crane	0.396	0.417	0.589	kraan
cranial	0.354	0.510	0.583	cranial
cranium	0.439	0.491	0.725	cranium
crank	0.448	0.275	0.417	crank
cranky	0.194	0.776	0.396	cranky
cranny	0.194	0.471	0.250	kroan
crap	0.083	0.644	0.167	crap
crappy	0.039	0.582	0.208	crappy
craps	0.375	0.420	0.273	craps
crash	0.194	0.906	0.355	crash
crass	0.223	0.490	0.466	kras
crate	0.427	0.173	0.274	krat
crater	0.450	0.647	0.529	krater
crave	0.625	0.510	0.731	begeare
craving	0.510	0.755	0.636	krewearjen
crawfish	0.510	0.427	0.342	kreeften
crawl	0.479	0.519	0.467	krûpe
crayon	0.604	0.260	0.185	kryt
crayons	0.684	0.366	0.405	kleurpotloden
craze	0.255	0.657	0.435	gek
crazed	0.153	0.877	0.417	gek
craziness	0.238	0.908	0.255	gekheid
crazy	0.156	0.843	0.321	gek
creak	0.344	0.670	0.411	kreak
creaking	0.302	0.743	0.415	kreakjen
cream	0.688	0.259	0.220	rjemme
creamed	0.723	0.273	0.288	creamed
creamer	0.594	0.192	0.269	creamer
creamy	0.823	0.337	0.345	romige
crease	0.440	0.286	0.300	kreake
create	0.786	0.588	0.789	meitsje
creation	0.927	0.575	0.868	kreaasje
creative	0.917	0.518	0.788	kreatyf
creativity	0.938	0.684	0.815	kreativiteit
creator	0.865	0.592	0.856	skepper
creature	0.669	0.625	0.620	skepsel
credence	0.760	0.460	0.737	credence
credential	0.735	0.337	0.597	credential
credentials	0.708	0.373	0.675	bewiisbrieven
credibility	0.875	0.427	0.809	leauwensweardigens
credible	0.917	0.441	0.750	credible
credit	0.673	0.549	0.648	kredyt
credit card	0.670	0.550	0.640	Kredytkaart
creditable	0.802	0.510	0.742	creditable
credited	0.781	0.390	0.691	byskreaun
crediting	0.673	0.550	0.741	crediting
creditor	0.479	0.594	0.689	krediteur
creed	0.573	0.245	0.544	creed
creek	0.552	0.392	0.330	kreek
creep	0.354	0.647	0.361	krûp
creeper	0.429	0.558	0.366	krûper
creeping	0.292	0.613	0.282	krûpend
creepy	0.125	0.861	0.373	griezelig
cremation	0.084	0.620	0.420	kremaasje
creole	0.667	0.357	0.523	kreoalsk
crepe	0.562	0.224	0.349	crepe
crescendo	0.760	0.575	0.594	crescendo
crescent	0.698	0.382	0.407	healmoan
crest	0.458	0.333	0.333	crest
crestfallen	0.235	0.346	0.175	crestfallen
cretin	0.265	0.583	0.312	cretin
cretins	0.094	0.741	0.328	cretins
crevice	0.361	0.471	0.275	crevice
crew	0.604	0.598	0.735	bemanning
crewman	0.602	0.580	0.548	bemanningslid
crib	0.653	0.240	0.407	crib
cricket	0.423	0.539	0.370	Cricket
cried	0.167	0.612	0.254	rôp
crime	0.071	0.943	0.630	misdie
criminal	0.021	0.830	0.529	krimineel
criminality	0.122	0.863	0.580	kriminaliteit
crimp	0.260	0.557	0.396	krimp
crimson	0.667	0.385	0.370	karmozijnrode
cringe	0.245	0.840	0.377	krûpe
cripple	0.094	0.392	0.161	kreupele
crippled	0.035	0.358	0.236	kreupele
crippling	0.156	0.598	0.391	kreupele
crisis	0.208	0.811	0.431	krisis
crisp	0.776	0.692	0.508	crisp
crispy	0.656	0.550	0.509	krokante
criterion	0.396	0.410	0.736	kritearium
critic	0.264	0.604	0.686	kritikus
critical	0.312	0.802	0.545	kritysk
criticise	0.073	0.700	0.452	kritisearje
criticism	0.115	0.563	0.505	krityk
criticize	0.143	0.708	0.473	kritisearje
criticized	0.240	0.600	0.311	bekritisearre
critique	0.302	0.760	0.537	krityk
critter	0.542	0.539	0.482	critter
croak	0.337	0.346	0.298	kroek
croc	0.327	0.452	0.451	krok
crock	0.385	0.412	0.421	crock
crockery	0.552	0.216	0.327	servies
crocodile	0.344	0.708	0.610	krokodil
croft	0.531	0.429	0.421	croft
croissant	0.745	0.330	0.430	croissant
crook	0.171	0.765	0.550	krom
crooked	0.146	0.594	0.305	krom
crop	0.615	0.260	0.500	crop
croquet	0.551	0.519	0.407	kroket
cross	0.448	0.321	0.569	krús
cross country	0.531	0.441	0.529	cross country
crossbow	0.344	0.598	0.560	krúsbôge
crossed	0.431	0.490	0.508	oerstutsen
crossfire	0.316	0.896	0.722	krúsfjoer
crossing	0.549	0.349	0.451	krusing
crossover	0.559	0.550	0.500	crossover
crosswalk	0.557	0.441	0.380	crosswalk
crossword	0.611	0.423	0.455	krúswurd
crotch	0.521	0.637	0.447	crotch
crouch	0.281	0.606	0.312	krûpe
crouched	0.333	0.363	0.279	krûpt
crouching	0.261	0.429	0.345	crouching
croupier	0.531	0.519	0.404	croupier
crow	0.224	0.439	0.363	kraai
crowbar	0.406	0.531	0.386	koevoet
crowd	0.350	0.827	0.731	kliber
crowded	0.694	0.286	0.585	drok
crowds	0.469	0.723	0.806	mannichte
crown	0.708	0.572	0.737	kroan
crowning	0.773	0.594	0.831	kroane
crucial	0.541	0.657	0.777	krúsjaal
cruciate	0.429	0.435	0.585	krusje
crucifix	0.469	0.480	0.510	krúsfiks
crucifixion	0.135	0.857	0.541	krusiging
crucify	0.146	0.878	0.573	krusigje
crud	0.312	0.330	0.444	crud
crude	0.198	0.402	0.357	crude
cruel	0.122	0.866	0.391	wreed
cruelly	0.146	0.790	0.471	wreed
cruelty	0.092	0.836	0.536	wredens
cruise	0.740	0.442	0.683	cruise
cruise ship	0.878	0.650	0.500	cruise skip
cruiser	0.737	0.490	0.608	cruiser
cruising	0.886	0.580	0.560	cruising
crumb	0.417	0.255	0.216	kromme
crumble	0.333	0.480	0.423	crumble
crumbling	0.167	0.696	0.308	ôfbrokkelje
crummy	0.125	0.531	0.224	kromme
crunch	0.292	0.630	0.406	crunch
crunchy	0.625	0.560	0.539	krokantich
crusade	0.592	0.720	0.709	krústocht
crusader	0.439	0.588	0.548	krúsfarder
crush	0.271	0.676	0.582	ferpletterje
crushed	0.167	0.647	0.300	ferpletterd
crusher	0.271	0.709	0.598	crusher
crushing	0.219	0.755	0.411	ferpletterjend
crust	0.542	0.337	0.456	koarste
crusty	0.625	0.531	0.473	krustige
crutch	0.302	0.294	0.302	kruk
crux	0.469	0.558	0.519	crux
cry	0.133	0.627	0.255	gûle
crybaby	0.375	0.702	0.311	gûl poppe
crying	0.153	0.704	0.208	gûlend
crypt	0.156	0.431	0.386	krypt
cryptic	0.296	0.516	0.474	kryptysk
cryptography	0.490	0.415	0.650	kryptografy
crystal	0.618	0.270	0.508	kristal
crystalline	0.765	0.235	0.534	kristallyn
crystallization	0.600	0.449	0.565	kristallisaasje
cub	0.646	0.382	0.284	cub
cubby	0.354	0.385	0.360	cubby
cube	0.469	0.226	0.274	kubus
cubic	0.458	0.306	0.407	kubike
cubicle	0.479	0.343	0.417	cubicle
cuckold	0.210	0.573	0.230	koeke
cuckoo	0.420	0.459	0.284	koekoek
cucumber	0.490	0.235	0.237	komkommer
cuddle	0.885	0.559	0.475	knuffel
cuddled	0.906	0.547	0.567	knuffele
cuddles	0.847	0.382	0.500	knuffels
cuddling	0.917	0.562	0.433	knuffeljen
cue	0.521	0.433	0.484	cue
cuff	0.469	0.453	0.387	cuff
cuisine	0.714	0.365	0.390	cuisine
culinary	0.654	0.443	0.519	kulinêr
cull	0.365	0.702	0.464	cull
culminate	0.667	0.550	0.602	kulminearje
culmination	0.656	0.586	0.695	kulminaasje
culpability	0.112	0.745	0.368	skuldberens
culpable	0.140	0.700	0.319	skuldich
culprit	0.062	0.676	0.333	skuldige
cult	0.448	0.535	0.648	kultus
cultivate	0.708	0.410	0.598	kultivearje
cultivated	0.837	0.343	0.564	kultivearre
cultivation	0.625	0.324	0.462	teelt
cultural	0.802	0.390	0.623	kultureel
culture	0.753	0.304	0.675	kultuer
cultured	0.635	0.429	0.625	kultuer
culvert	0.337	0.324	0.343	culvert
cumbersome	0.259	0.623	0.292	omslachtich
cumulus	0.570	0.433	0.432	cumulus
cunning	0.604	0.685	0.683	slûchslimme
cunt	0.135	0.673	0.377	kut
cup	0.615	0.167	0.231	kop
cupboard	0.553	0.200	0.304	kast
cupcake	0.656	0.333	0.344	cupcake
cupping	0.490	0.610	0.402	cupping
cur	0.440	0.519	0.460	cur
curable	0.823	0.292	0.574	curable
curate	0.726	0.418	0.526	curate
curative	0.667	0.318	0.613	curative
curator	0.688	0.389	0.688	kurator
curb	0.472	0.371	0.402	curb
curd	0.542	0.442	0.278	curd
cure	0.719	0.377	0.623	kuer
curfew	0.219	0.618	0.623	útgongsferbân
curiosity	0.750	0.755	0.463	nijsgjirrigens
curious	0.635	0.600	0.483	nijsgjirrich
curl	0.385	0.452	0.351	krul
curling	0.583	0.592	0.400	curling
currency	0.583	0.418	0.592	muntsoarte
current	0.625	0.312	0.612	aktueel
curriculum	0.708	0.306	0.620	kurrikulum
curry	0.633	0.345	0.302	curry
curse	0.033	0.720	0.375	flok
cursed	0.083	0.783	0.393	ferflokt
cursing	0.112	0.860	0.446	ferflokt
cursory	0.423	0.451	0.431	flechtich
curt	0.245	0.610	0.452	koart
curtail	0.306	0.439	0.497	beheine
curtailment	0.230	0.578	0.431	besuniging
curtain	0.698	0.278	0.304	gerdyn
curtains	0.615	0.123	0.342	gerdinen
curtsy	0.635	0.412	0.598	curtsy
curvature	0.417	0.367	0.447	kromming
curve	0.480	0.375	0.307	bocht
curved	0.542	0.407	0.337	kromme
curvilinear	0.480	0.575	0.411	curvilinear
cushion	0.653	0.221	0.292	kessen
cushy	0.823	0.283	0.395	cushy
cusp	0.667	0.710	0.700	cusp
cuss	0.354	0.538	0.443	cuss
cussed	0.156	0.625	0.454	skuord
custard	0.618	0.260	0.293	custard
custodial	0.418	0.462	0.718	custodial
custodian	0.594	0.625	0.528	custodian
custody	0.494	0.472	0.675	foararrest
custom	0.552	0.382	0.688	oanpaste
customary	0.700	0.253	0.561	gebrûklik
customer	0.562	0.430	0.673	klant
customized	0.625	0.504	0.590	oanpast
cut	0.490	0.490	0.393	snije
cutaneous	0.365	0.370	0.328	cutaneous
cute	0.920	0.528	0.579	cute
cuticle	0.340	0.320	0.377	cuticle
cutie	0.638	0.528	0.464	cutie
cutlass	0.173	0.648	0.528	cutlass
cutlery	0.552	0.300	0.345	bestek
cutoff	0.432	0.510	0.518	Ôfknippe
cutter	0.427	0.731	0.583	cutter
cutters	0.197	0.653	0.491	cutters
cutthroat	0.110	0.823	0.663	moord
cutting	0.448	0.375	0.536	cutting
cutting board	0.337	0.540	0.342	snijplank
cuttings	0.479	0.392	0.433	stekken
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	cyanide
cyberspace	0.677	0.594	0.611	cyberspace
cycle	0.635	0.400	0.533	syklus
cyclical	0.380	0.450	0.554	cyclysk
cyclist	0.684	0.582	0.576	fytser
cyclone	0.416	0.796	0.673	sykloan
cylinder	0.459	0.324	0.447	silinder
cylindrical	0.458	0.294	0.414	silindrysk
cymbal	0.542	0.363	0.362	bekken
cynic	0.135	0.632	0.473	sinysk
cynical	0.156	0.760	0.474	sinysk
cynicism	0.104	0.780	0.454	sinisme
cyst	0.173	0.578	0.312	cyste
cystic	0.314	0.481	0.400	cystysk
cytomegalovirus	0.186	0.657	0.443	cytomegalovirus
cytoplasm	0.378	0.442	0.474	cytoplasma
czar	0.480	0.348	0.643	czar
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	dabble
dabbling	0.562	0.726	0.676	dabbling
dad	0.857	0.412	0.786	heit
daddy	0.795	0.400	0.736	heit
dado	0.510	0.240	0.364	dado
daemon	0.333	0.490	0.500	daemon
daft	0.255	0.436	0.157	daft
dagger	0.224	0.797	0.613	dolk
daily	0.653	0.347	0.473	deistich
dainty	0.604	0.284	0.424	lekker
daiquiri	0.670	0.519	0.400	daiquiri
dairy	0.633	0.255	0.462	molkfabryk
daisy	0.562	0.367	0.333	daisy
dak	0.510	0.417	0.424	dak
dale	0.622	0.270	0.365	dale
dam	0.250	0.553	0.394	daam
damage	0.059	0.726	0.403	skea
damaged	0.104	0.635	0.182	skansearre
damages	0.082	0.760	0.310	skeafergoeding
dame	0.694	0.480	0.500	dame
damn	0.073	0.784	0.431	ferdomme
damnation	0.135	0.750	0.416	ferdomme
damned	0.100	0.760	0.465	ferdomd
damp	0.360	0.279	0.210	damp
dampened	0.271	0.422	0.336	dampened
damper	0.459	0.378	0.473	damper
damsel	0.719	0.475	0.400	famke
dance	0.894	0.840	0.551	dûnsje
dancer	0.740	0.768	0.545	dûnser
dancing	0.885	0.868	0.444	dûnsjen
dandruff	0.398	0.298	0.293	roos
dandy	0.673	0.520	0.630	dandy
danger	0.115	0.923	0.673	gefaar
dangerous	0.020	0.941	0.658	gefaarlik
dangerously	0.082	0.930	0.564	gefaarlik
dangit	0.396	0.606	0.358	stom ta
dangle	0.362	0.469	0.375	dangle
dank	0.390	0.381	0.383	dank
dapper	0.770	0.560	0.698	dapper
dare	0.677	0.788	0.684	doarst
daredevil	0.429	0.714	0.653	daredevil
daresay	0.540	0.451	0.490	weagje
daring	0.583	0.840	0.711	drystmoedich
dark	0.198	0.398	0.426	tsjuster
darken	0.250	0.471	0.382	fertsjusterje
darkened	0.135	0.440	0.452	fertsjustere
darkly	0.219	0.548	0.443	tsjuster
darkness	0.102	0.602	0.418	tsjuster
darkroom	0.188	0.627	0.423	donkere keamer
darkside	0.102	0.690	0.365	donkere kant
darling	0.885	0.370	0.608	leave
darn	0.115	0.765	0.418	ferrekte
dart	0.417	0.608	0.500	dart
dash	0.574	0.312	0.324	dash
dashboard	0.510	0.371	0.595	dashboard
dashed	0.276	0.393	0.338	dashed
dashing	0.612	0.627	0.799	dashing
dastardly	0.208	0.688	0.270	ferfelend
data	0.500	0.250	0.426	data
database	0.604	0.286	0.644	databank
date	0.604	0.231	0.400	datum
datenight	0.708	0.637	0.518	datenight
daughter	0.908	0.415	0.455	dochter
dawdle	0.479	0.464	0.357	dwyl
dawn	0.827	0.235	0.519	dage
dawned	0.694	0.471	0.473	dawn
day	0.719	0.269	0.389	dei
daybreak	0.802	0.358	0.474	deibrek
daycare	0.776	0.481	0.360	bernedeiferbliuw
daydream	0.750	0.337	0.456	deidream
daydreaming	0.776	0.360	0.479	daydreaming
daylight	0.865	0.420	0.545	deiljocht
daymade	0.646	0.450	0.417	daymade
dayoff	0.760	0.368	0.377	frije dei
daytime	0.750	0.324	0.454	oerdei
daze	0.245	0.735	0.329	daze
dazed	0.300	0.697	0.277	dazed
dazzle	0.730	0.782	0.683	dazzle
dazzling	0.854	0.880	0.767	skitterend
deacon	0.531	0.430	0.736	diaken
deactivate	0.235	0.447	0.392	deaktivearje
dead	0.052	0.454	0.194	dea
deadbeat	0.229	0.453	0.368	deadbeat
deadline	0.214	0.615	0.460	deadline
deadlines	0.406	0.769	0.411	deadlines
deadlock	0.170	0.418	0.323	deadlock
deadly	0.143	0.849	0.554	deadlik
deafening	0.281	0.835	0.482	oerdoaijend
deafness	0.125	0.413	0.219	dôvens
deal	0.719	0.599	0.543	oerienkomst
dealer	0.799	0.615	0.683	dealer
dealership	0.541	0.430	0.629	dealership
dealing	0.724	0.415	0.598	omgean
dealings	0.600	0.491	0.480	dealings
dean	0.612	0.469	0.723	dekaan
dear	0.880	0.434	0.629	leave
dearest	0.902	0.427	0.508	leafste
dearth	0.156	0.539	0.255	dearth
death	0.031	0.720	0.472	dea
deathbed	0.051	0.652	0.311	stjerbêd
deathly	0.073	0.771	0.682	deadlik
debacle	0.156	0.606	0.266	debakel
debased	0.219	0.529	0.170	debased
debatable	0.181	0.610	0.474	diskutabel
debate	0.408	0.691	0.683	debat
debauchery	0.354	0.901	0.500	debauchery
debenture	0.417	0.500	0.466	skuldbrief
debilitating	0.125	0.490	0.308	slopende
debit	0.333	0.400	0.474	debet
debrief	0.247	0.343	0.549	debrief
debriefing	0.427	0.580	0.456	debriefing
debris	0.135	0.396	0.327	pún
debt	0.204	0.598	0.336	skuld
debtor	0.219	0.546	0.160	debiteur
debut	0.806	0.606	0.629	debút
debutante	0.771	0.627	0.454	debutante
decade	0.531	0.402	0.665	dekade
decadence	0.237	0.455	0.291	dekadinsje
decadent	0.290	0.559	0.324	dekadint
decaf	0.480	0.324	0.353	koffeinfrij
decanter	0.438	0.567	0.510	karaf
decathlon	0.573	0.753	0.620	tsienkamp
decay	0.143	0.312	0.170	ferrotsje
decayed	0.017	0.375	0.169	ferfallen
decaying	0.073	0.510	0.214	ferfallen
deceased	0.021	0.538	0.188	ferstoarn
decedent	0.423	0.481	0.415	decedent
deceit	0.020	0.696	0.343	bedrog
deceitful	0.071	0.788	0.371	ferrifeljend
deceive	0.094	0.775	0.414	ferrifelje
deceived	0.059	0.673	0.302	ferrifelje
deceiving	0.099	0.636	0.426	ferrifeljend
december	0.740	0.540	0.464	desimber
decency	0.750	0.235	0.634	fatsoen
decent	0.823	0.296	0.653	fatsoenlik
deception	0.090	0.745	0.370	bedrog
deceptive	0.027	0.605	0.294	ferrifeljend
decide	0.656	0.540	0.855	beslute
decidedly	0.750	0.480	0.843	beslist
deciduous	0.385	0.353	0.282	leafste
decimal	0.507	0.259	0.305	desimaal
decimeter	0.520	0.292	0.377	desimeter
decipher	0.417	0.630	0.652	ûntsiferje
decision	0.646	0.510	0.839	beslút
decisive	0.740	0.509	0.935	beslissend
deck	0.420	0.333	0.394	dek
declaration	0.551	0.590	0.714	ferklearring
declaratory	0.635	0.582	0.673	declaratory
declare	0.677	0.623	0.668	ferklearje
declination	0.250	0.549	0.311	deklinaasje
decline	0.173	0.491	0.240	ôfnimme
declining	0.328	0.400	0.264	ôfnimmend
deco	0.625	0.274	0.356	deco
decode	0.551	0.510	0.640	dekodearje
decoder	0.562	0.340	0.686	dekoder
decompose	0.194	0.596	0.241	ôfbrekke
decomposed	0.073	0.442	0.231	ôfbrutsen
decomposition	0.133	0.600	0.263	ôfbraak
decompress	0.438	0.430	0.509	dekomprimearje
decompression	0.208	0.520	0.311	dekompresje
decontamination	0.611	0.538	0.573	dekontaminaasje
decor	0.734	0.311	0.573	decor
decorate	0.954	0.370	0.404	decorate
decorating	0.863	0.548	0.462	decorating
decoration	0.878	0.553	0.526	dekoraasje
decorative	0.908	0.460	0.381	dekorative
decorator	0.840	0.471	0.455	decorateur
decorum	0.802	0.327	0.462	decorum
decoy	0.149	0.460	0.330	decoy
decrease	0.125	0.360	0.267	ferminderje
decreased	0.224	0.271	0.170	ôfnommen
decreasing	0.320	0.346	0.224	ôfnimmend
decree	0.552	0.478	0.746	oardiel
decrement	0.255	0.427	0.373	ôfnimme
decrepit	0.156	0.490	0.225	ferfallen
decry	0.400	0.814	0.548	decry
decryption	0.459	0.445	0.600	ûntsifering
dedicate	0.823	0.431	0.588	wijde
dedication	0.867	0.471	0.682	opdracht
deduce	0.490	0.510	0.466	ôfliede
deduct	0.355	0.330	0.412	ôfrekkenje
deductible	0.375	0.286	0.455	eigensinnich
deduction	0.438	0.462	0.527	ôftrek
deed	0.520	0.320	0.592	die
deejay	0.551	0.630	0.473	deejay
deem	0.594	0.529	0.690	tink
deep	0.490	0.473	0.657	djip
deepen	0.625	0.530	0.776	ferdjipje
deer	0.583	0.375	0.292	hart
defamation	0.110	0.670	0.481	laster
defamatory	0.143	0.688	0.402	lasterlik
default	0.459	0.343	0.712	standert
defeat	0.092	0.500	0.224	ferslaan
defeated	0.104	0.582	0.145	ferslein
defeatist	0.163	0.567	0.315	defeatist
defect	0.135	0.561	0.185	defekt
defection	0.146	0.594	0.330	defection
defective	0.122	0.580	0.274	defect
defector	0.163	0.696	0.286	defector
defend	0.698	0.722	0.670	ferdigenje
defendant	0.250	0.710	0.491	foarroppene
defended	0.663	0.451	0.582	ferdigene
defender	0.639	0.708	0.750	ferdigener
defending	0.604	0.871	0.812	ferdigenjen
defense	0.652	0.698	0.802	ferdigening
defenseless	0.143	0.357	0.105	warleas
defensible	0.740	0.509	0.593	ferdigenje
defensive	0.542	0.640	0.678	definsyf
defer	0.245	0.459	0.317	útstelle
deference	0.510	0.396	0.447	earbied
deferral	0.765	0.542	0.327	útstel
deferring	0.343	0.500	0.413	útstelle
defiance	0.333	0.780	0.760	útdaging
defiant	0.250	0.792	0.769	útdaagjend
defibrillator	0.398	0.663	0.431	defibrillator
deficiency	0.073	0.373	0.179	deficiency
deficient	0.240	0.464	0.132	tekoart
