English Word	Valence	Arousal	Dominance	Hmong Word
broomstick	0.410	0.265	0.227	broomstick
broth	0.500	0.245	0.168	kua zaub
brothel	0.255	0.886	0.418	tsev kho mob
brother	0.823	0.361	0.546	kwv tij
brotherhood	0.990	0.471	0.760	kwv tij
brotherly	0.865	0.306	0.596	kwv tij
brow	0.562	0.311	0.481	ntsej muag
brown	0.396	0.202	0.293	xim av
brownstone	0.559	0.423	0.439	brownstone
browse	0.635	0.750	0.592	xauj
brrr	0.373	0.540	0.282	ua brrr
bruise	0.133	0.640	0.474	tawv
bruising	0.084	0.520	0.422	nqaij tawv
brunch	0.406	0.363	0.343	noj tshais
brunette	0.802	0.528	0.529	brunette
brunt	0.204	0.750	0.349	brunt
brush	0.490	0.265	0.186	txhuam
brutal	0.122	0.882	0.643	siab phem
brutality	0.122	0.832	0.571	kev ua phem
brute	0.115	0.547	0.379	siab phem
brutish	0.270	0.837	0.588	siab phem
bubble	0.774	0.213	0.364	npuas
bubbling	0.500	0.438	0.384	npuas
bubbly	0.698	0.608	0.462	npuas
bubonic	0.280	0.530	0.394	bubonic
buck	0.677	0.577	0.720	nyiaj
buckaroo	0.448	0.469	0.479	buckaroo ua
bucket	0.408	0.167	0.336	thoob
buckle	0.416	0.373	0.361	buckle
buckled	0.427	0.358	0.439	ua buckled
bucko	0.439	0.455	0.465	bucko ua
buckshot	0.255	0.740	0.322	buckshot
buckwheat	0.490	0.471	0.434	buckwheat
bud	0.460	0.402	0.333	bud
buddha	0.690	0.198	0.604	buddha
buddhism	0.510	0.115	0.673	kev ntseeg
budding	0.490	0.500	0.355	tawg
buddy	0.884	0.585	0.655	phooj ywg
budge	0.719	0.755	0.543	pob
budget	0.643	0.396	0.731	pob nyiaj siv
buff	0.561	0.425	0.361	buff
buffalo	0.469	0.528	0.527	nyuj
buffer	0.520	0.474	0.350	tsis pub
buffering	0.479	0.468	0.381	tsis kam
buffet	0.656	0.546	0.519	buffet
buffoon	0.344	0.651	0.290	buffoon
bug	0.286	0.500	0.246	kab laum
bugaboo	0.439	0.491	0.441	bugaboo
bugged	0.561	0.439	0.500	ua bugged
bugger	0.312	0.627	0.474	bugger
buggy	0.500	0.509	0.327	buggy
bugle	0.479	0.588	0.391	bugle
bugler	0.542	0.540	0.393	bugler
build	0.771	0.546	0.806	tsim
builder	0.660	0.642	0.701	tus tsim
building	0.705	0.288	0.673	lub tsev
buildings	0.582	0.380	0.552	cov tsev
buildup	0.490	0.509	0.623	txhim kho
bulb	0.562	0.208	0.300	noob
bulbous	0.390	0.442	0.430	bulbous
bulge	0.260	0.487	0.400	pob
bulimic	0.092	0.570	0.373	bulimic
bulk	0.469	0.413	0.509	loj
bulkhead	0.312	0.425	0.402	bulkhead
bulky	0.427	0.591	0.750	loj
bull	0.521	0.640	0.644	nyuj
bulldog	0.494	0.650	0.530	bulldog
bulldozer	0.459	0.549	0.643	tsheb nrau av
bullet	0.408	0.794	0.634	mos txwv
bulletin	0.573	0.294	0.361	ntawv xov xwm
bulletproof	0.750	0.721	0.779	tsis muaj phom
bullfighter	0.448	0.794	0.664	bullfighter
bullfrog	0.344	0.481	0.422	bullfrog
bullheaded	0.229	0.740	0.516	bullheaded
bullhorn	0.510	0.653	0.736	bullhorn
bullion	0.693	0.558	0.729	bullion
bullock	0.281	0.402	0.375	nyuj
bullpen	0.480	0.549	0.500	bullpen ua
bullshit	0.042	0.676	0.183	bullshit
bully	0.257	0.755	0.564	thab plaub
bulwark	0.551	0.552	0.675	bulwark
bum	0.281	0.451	0.155	bum
bumblebee	0.469	0.493	0.321	bumblebee
bummed	0.296	0.430	0.227	ua tsaug
bummer	0.163	0.500	0.267	bummer
bump	0.286	0.458	0.368	pob
bumper	0.385	0.573	0.518	bumper
bumpy	0.306	0.683	0.419	pob
bun	0.424	0.306	0.268	bun
bunch	0.552	0.358	0.473	pawg
bundle	0.510	0.343	0.434	pob
bungalow	0.562	0.352	0.406	bungalow
bungee	0.637	0.545	0.327	bungee
bunghole	0.286	0.426	0.396	bunghole
bunion	0.276	0.340	0.290	bunion
bunk	0.438	0.332	0.339	bunk
bunker	0.375	0.673	0.773	bunker
bunkhouse	0.470	0.414	0.407	tsev bunkhouse
bunny	0.740	0.325	0.194	luav
bunt	0.417	0.422	0.349	pob
buoy	0.562	0.280	0.284	buoy
buoyancy	0.625	0.373	0.538	kev buoyancy
buoyant	0.625	0.441	0.497	buoyant
bur	0.385	0.353	0.314	bur
burden	0.367	0.583	0.697	lub nra
burdened	0.429	0.519	0.565	ris nra
burdensome	0.229	0.696	0.419	nra hnyav
bureau	0.562	0.373	0.618	chaw ua haujlwm
bureaucracy	0.380	0.578	0.740	bureaucracy
bureaucrat	0.208	0.519	0.598	bureaucrat
bureaucratic	0.280	0.630	0.573	bureaucratic
burger	0.688	0.568	0.398	burger
burglar	0.050	0.769	0.404	tub sab
burglary	0.146	0.918	0.543	kev tub sab
burial	0.203	0.577	0.333	faus
buried	0.133	0.530	0.370	faus
burke	0.466	0.441	0.451	ua burke
burlap	0.429	0.462	0.411	burlap
burlesque	0.327	0.615	0.343	burlesque
burly	0.562	0.650	0.750	burly
burn	0.219	0.783	0.509	hlawv
burned	0.163	0.603	0.347	hlawv
burner	0.296	0.816	0.446	lub tshuab hluav taws xob
burning	0.229	0.760	0.412	kub
burnished	0.520	0.580	0.464	hlawv
burnout	0.219	0.445	0.240	kev kub ntxhov
burnt	0.082	0.713	0.356	hlawv
burp	0.219	0.594	0.432	burp ua
burr	0.390	0.426	0.308	burr
burrito	0.688	0.294	0.166	burrito ua
burro	0.400	0.356	0.318	ua burro
burrow	0.438	0.280	0.355	qhov quav
bursary	0.729	0.462	0.571	bursary
burst	0.156	0.894	0.845	tawg
bury	0.077	0.571	0.346	faus
bus	0.407	0.411	0.400	tsheb npav
busboy	0.510	0.453	0.441	busboy
bush	0.413	0.220	0.315	hav txwv yeem
bushel	0.417	0.387	0.368	bushel
bushy	0.562	0.321	0.427	bushy
business	0.688	0.569	0.755	kev lag luam
business man	0.530	0.598	0.933	tus txiv neej ua lag luam
businessman	0.653	0.510	0.802	ua lag luam
businesswoman	0.719	0.500	0.764	poj niam ua lag luam
busload	0.561	0.481	0.492	tsheb thauj khoom
buss	0.469	0.500	0.391	tsheb npav
bust	0.520	0.500	0.420	bust
busted	0.204	0.676	0.345	tawg
buster	0.469	0.491	0.483	buster
bustle	0.347	0.814	0.445	tsheb loj
bustling	0.490	0.850	0.528	kev kub ntxhov
busy	0.402	0.500	0.474	tsis khoom
busybody	0.255	0.634	0.472	neeg tsis khoom
butane	0.442	0.483	0.380	butane
butcher	0.500	0.575	0.608	neeg tua tsiaj
butler	0.469	0.225	0.438	tus neeg saib xyuas
butt	0.347	0.725	0.336	taub qab
butter	0.650	0.292	0.202	butter
buttercup	0.562	0.482	0.422	buttercup
butterfly	0.892	0.327	0.314	npauj npaim
buttermilk	0.633	0.311	0.304	buttermilk
butterscotch	0.708	0.510	0.356	butterscotch
buttery	0.625	0.318	0.303	buttery
buttock	0.429	0.600	0.288	qab qab
buttocks	0.458	0.677	0.365	pob tw
button	0.520	0.220	0.343	khawm
buttress	0.438	0.684	0.721	taub qab
buxom	0.562	0.719	0.547	buxom
buy	0.771	0.769	0.612	yuav
buyer	0.613	0.519	0.649	tus neeg yuav khoom
buying	0.665	0.784	0.589	muas
buzz	0.333	0.686	0.375	lus
buzzard	0.350	0.500	0.225	buzzard
buzzed	0.583	0.549	0.448	ua buzz
buzzer	0.549	0.716	0.480	buzzer
buzzing	0.430	0.588	0.370	buzzing
bye	0.375	0.398	0.321	nyob zoo
bygone	0.229	0.310	0.315	ua ntej
bylaw	0.469	0.373	0.725	bylaw
byline	0.469	0.450	0.435	byline
bypass	0.429	0.418	0.353	bypass
bystander	0.480	0.462	0.491	neeg nyob ze
byte	0.490	0.380	0.407	byte
byzantine	0.546	0.443	0.492	byzantine
cab	0.438	0.490	0.421	cab
cabal	0.500	0.406	0.573	cabal
cabana	0.698	0.296	0.407	cabana
cabaret	0.677	0.656	0.482	cabaret
cabbage	0.398	0.225	0.264	zaub qhwv
cabbie	0.521	0.417	0.429	cabbie
cabernet	0.543	0.420	0.480	kabernet
cabin	0.643	0.292	0.430	cabin
cabinet	0.552	0.306	0.465	txee
cable	0.583	0.245	0.434	kab
caboodle	0.529	0.521	0.325	kab laug sab
caboose	0.440	0.453	0.438	kab
cabriolet	0.667	0.525	0.472	cabriolet
cache	0.552	0.348	0.389	cache
cacophony	0.408	0.562	0.440	cacophony
cactus	0.439	0.412	0.284	cactus
cad	0.447	0.406	0.404	cad
cadaver	0.030	0.690	0.260	cadaver
caddie	0.521	0.435	0.259	caddy
caddy	0.580	0.470	0.380	caddy
cadence	0.427	0.473	0.355	cadence
cadet	0.504	0.393	0.664	tub rog
cafe	0.781	0.392	0.358	Cafe
cafeteria	0.757	0.400	0.382	tsev noj mov
caffeine	0.562	0.759	0.500	caffeine
cage	0.316	0.333	0.352	tawb
cagey	0.542	0.363	0.582	cagey
cahoots	0.312	0.696	0.474	cahoots
cairn	0.260	0.435	0.254	cairn
cake	0.810	0.375	0.287	ncuav mog qab zib
cakewalk	0.719	0.510	0.447	ncuav mog qab zib
calamari	0.521	0.312	0.406	calamari
calamitous	0.219	0.685	0.500	kev kub ntxhov
calamity	0.122	0.795	0.343	kev puas tsuaj
calcareous	0.490	0.368	0.462	calcareous
calcium	0.600	0.346	0.479	calcium
calculate	0.490	0.452	0.440	xam
calculated	0.633	0.425	0.683	xam
calculating	0.458	0.430	0.625	xam
calculation	0.646	0.453	0.606	xam
calculator	0.513	0.283	0.588	tshuab xam zauv
calculus	0.360	0.360	0.562	suav
calendar	0.480	0.212	0.473	daim ntawv qhia hnub
calender	0.531	0.275	0.451	daim ntawv qhia hnub
calf	0.531	0.366	0.336	nyuj
caliber	0.429	0.551	0.606	caliber
calibrate	0.552	0.460	0.623	calibrate
calico	0.406	0.338	0.491	calico
calipers	0.480	0.510	0.481	calipers
calisthenics	0.562	0.663	0.545	calisthenics
call	0.594	0.627	0.558	hu
callback	0.524	0.529	0.434	hu rov qab
caller	0.646	0.615	0.472	tus hu
calligraphy	0.620	0.216	0.500	sau ntawv sau
calling	0.646	0.590	0.483	hu
callous	0.245	0.500	0.386	siab
calls	0.608	0.431	0.551	hu
calm	0.875	0.100	0.282	twj ywm
calming	0.885	0.105	0.360	calming
calmness	0.934	0.105	0.394	kev kaj siab lug
caloric	0.327	0.483	0.448	caloric
calorie	0.333	0.540	0.427	calorie ntau ntau
calorimeter	0.406	0.560	0.414	calorimeter
cam	0.448	0.363	0.355	cam
camaraderie	0.833	0.510	0.648	kev sib raug zoo
camber	0.430	0.382	0.439	camber
camcorder	0.556	0.422	0.454	koob yees duab
camel	0.540	0.282	0.314	ntxhuav
cameo	0.573	0.457	0.509	cameo
camera	0.640	0.288	0.379	koob yees duab
cameraman	0.542	0.452	0.542	tus kws yees duab
camisole	0.497	0.250	0.375	camisole
camouflage	0.438	0.585	0.450	camouflage
camouflaged	0.350	0.422	0.562	camouflaged
camp	0.622	0.617	0.594	camp
campaign	0.602	0.730	0.823	phiaj xwm
campaigner	0.592	0.698	0.821	tus neeg tawm suab
campaigning	0.531	0.663	0.741	kev tawm suab
camper	0.573	0.529	0.482	chaw pw hav zoov
campfire	0.677	0.509	0.436	foob pob hluav taws
camping	0.653	0.529	0.480	mus pw hav zoov
campsite	0.680	0.490	0.547	chaw pw hav zoov
campus	0.604	0.388	0.519	tsev kawm ntawv
can	0.662	0.360	0.454	ua tau
can opener	0.444	0.491	0.308	tuaj yeem qhib
canal	0.673	0.259	0.321	tus kwj dej
canary	0.582	0.276	0.265	canary
cancel	0.214	0.306	0.368	tso tseg
canceling	0.229	0.470	0.349	tshem tawm
cancellation	0.224	0.431	0.389	tshem tawm
cancer	0.052	0.694	0.529	mob qog noj ntshav
candid	0.667	0.349	0.458	ncaj ncees
candidacy	0.490	0.657	0.696	kev xaiv tsa
candidate	0.596	0.490	0.804	tus neeg sib tw
candied	0.713	0.330	0.360	qab zib
candle	0.602	0.221	0.344	tswm ciab
candlelight	0.789	0.294	0.417	tswm ciab
candles	0.615	0.206	0.268	tswm ciab
candlestick	0.448	0.531	0.534	tswm ciab
candor	0.740	0.389	0.607	ua siab dawb
candy	0.930	0.425	0.384	khoom qab zib
cane	0.459	0.298	0.398	pas dej
canine	0.573	0.569	0.425	Canine
canister	0.553	0.271	0.403	kaus poom
canker	0.262	0.469	0.427	Canker
cannabis	0.271	0.500	0.564	cannabis
canned	0.398	0.357	0.298	cov kaus poom
cannibal	0.122	0.824	0.480	neeg tsiaj
cannibalism	0.094	0.890	0.583	kev noj haus
canning	0.490	0.392	0.259	kaus poom
cannon	0.529	0.676	0.811	phom
cannonball	0.344	0.840	0.759	cannonball
canoe	0.542	0.300	0.418	nkoj
canon	0.385	0.519	0.541	canon
canonical	0.542	0.410	0.620	canonical
canons	0.385	0.588	0.593	canons
canopy	0.615	0.264	0.398	daim ntaub
cantaloupe	0.592	0.212	0.276	cantaloupe
cantbreathe	0.284	0.667	0.375	ua pa
canteen	0.688	0.600	0.514	tsev noj mov
canterbury	0.582	0.438	0.510	canterbury
canthandleit	0.354	0.613	0.354	canthandleit
cantilever	0.357	0.618	0.421	cantilever
cantina	0.646	0.612	0.380	cantina
canto	0.776	0.461	0.554	canto
canton	0.542	0.472	0.536	canton
cantstandit	0.418	0.546	0.343	ua tsis taus
cantwin	0.260	0.509	0.298	cantwin
canvas	0.719	0.090	0.364	daim ntaub
canvass	0.675	0.356	0.397	daim ntaub
canyon	0.468	0.731	0.634	hav dej
cap	0.612	0.240	0.375	cap
capability	0.833	0.571	0.730	muaj peev xwm
capable	0.765	0.587	0.547	muaj peev xwm
capacity	0.719	0.411	0.806	muaj peev xwm
cape	0.531	0.235	0.357	kab
caper	0.510	0.370	0.326	caper
capillary	0.469	0.365	0.395	capillary
capital	0.520	0.500	0.798	peev
capitalism	0.448	0.686	0.848	capitalism
capitalist	0.352	0.577	0.821	peev
capitalize	0.771	0.601	0.885	peev
capitals	0.755	0.500	0.655	peev
capitation	0.479	0.529	0.589	capitation
capitol	0.535	0.375	0.705	capitol
capitulation	0.375	0.546	0.615	capitulation
cappuccino	0.792	0.279	0.384	cappuccino
caprice	0.333	0.640	0.430	caprice
capricious	0.221	0.650	0.500	capricious
caps	0.510	0.221	0.368	kaus mom
capslock	0.330	0.394	0.398	capslock
capsule	0.583	0.290	0.570	tshuaj ntsiav
captain	0.552	0.653	0.966	tus thawj coj
caption	0.814	0.292	0.379	kab lus
captivate	0.698	0.604	0.723	captivate
captivating	0.895	0.594	0.816	ntxim nyiam
captive	0.235	0.558	0.411	raug ntes
captivity	0.225	0.493	0.387	kev poob cev qhev
captor	0.347	0.625	0.612	tus neeg raug ntes
capture	0.357	0.650	0.537	ntes
car	0.776	0.540	0.500	tsheb
caramel	0.901	0.363	0.400	caramel
carat	0.823	0.604	0.676	carat
caravan	0.635	0.559	0.455	caravan
carbon	0.604	0.360	0.350	carbon
carburetor	0.469	0.612	0.555	carburetor
carcass	0.115	0.529	0.309	cev nqaij daim tawv
carcinoma	0.153	0.692	0.440	mob qog noj ntshav
card	0.531	0.269	0.436	daim npav
cardboard	0.500	0.173	0.309	duab los qhia
cardiac	0.344	0.765	0.615	mob plawv
cardigan	0.599	0.324	0.264	cardigan
cardinal	0.583	0.358	0.712	cardinal
cardiologist	0.458	0.630	0.814	kws kho mob plawv
cardiology	0.203	0.545	0.605	cardiology
cardiomyopathy	0.177	0.645	0.537	cardiomyopathy
cards	0.568	0.317	0.320	daim npav
care	0.729	0.370	0.500	saib xyuas
career	0.740	0.712	0.606	hauj lwm
carefree	0.755	0.220	0.500	tsis txhawj
careful	0.625	0.538	0.530	ceev faj
carefully	0.698	0.330	0.544	ua tib zoo
careless	0.255	0.431	0.125	tsis mob siab
carelessness	0.245	0.482	0.330	kev tsis saib xyuas
caress	0.833	0.418	0.509	caress
caret	0.656	0.402	0.527	saib
caretaker	0.714	0.531	0.759	tus neeg saib xyuas
cargo	0.408	0.444	0.455	khoom thauj
caribou	0.562	0.452	0.342	caribou
caricature	0.604	0.373	0.383	caricature
caries	0.115	0.569	0.283	kab mob
caring	0.635	0.469	0.500	saib xyuas
carjack	0.438	0.682	0.439	carjack
carnage	0.406	0.600	0.558	kev tua neeg
carnal	0.417	0.679	0.421	lub cev nqaij daim tawv
carnation	0.653	0.357	0.431	carnation
carnival	0.927	0.888	0.555	kev ua koob tsheej
carnivorous	0.224	0.613	0.651	noj nqaij
carol	0.673	0.412	0.436	carol
carols	0.847	0.420	0.491	carols
carousel	0.704	0.500	0.412	kab laug sab
carp	0.531	0.324	0.375	carp
carpal	0.449	0.327	0.420	carpal
carpenter	0.521	0.550	0.519	tus kws ntoo
carpentry	0.561	0.459	0.518	kws ntoo
carpet	0.520	0.170	0.339	ntaub pua plag
carpeting	0.542	0.312	0.444	ntaub pua plag
carpool	0.625	0.509	0.500	tsheb npav
carriage	0.650	0.538	0.491	lub tsheb
carried	0.490	0.382	0.534	nqa
carrier	0.533	0.588	0.638	tus cab kuj
carrot	0.500	0.235	0.279	zaub ntug hauv paus
carry	0.635	0.380	0.500	nqa
carrying	0.656	0.557	0.443	nqa
carsick	0.224	0.574	0.255	mob mob
cart	0.520	0.344	0.388	lub tawb nqa khoom
carte	0.592	0.320	0.274	carte
cartel	0.438	0.394	0.602	kab lis kev cai
carter	0.312	0.480	0.431	carter
cartilage	0.438	0.370	0.407	pob txha mos
cartographic	0.490	0.348	0.424	daim duab kos duab
cartography	0.520	0.300	0.579	daim duab kos duab
carton	0.286	0.186	0.241	thawv
cartoon	0.867	0.471	0.387	tas luav
cartouche	0.427	0.458	0.450	cartouche
cartridge	0.458	0.500	0.407	cartridge
carve	0.469	0.443	0.598	kos duab
carver	0.418	0.500	0.500	carver
carving	0.541	0.444	0.368	carving
cascade	0.735	0.509	0.395	cascade
case	0.427	0.275	0.441	cas
casein	0.470	0.436	0.415	casein
cash	0.867	0.552	0.714	nyiaj ntsuab
cashier	0.615	0.413	0.484	tus neeg txais nyiaj
cashmere	0.653	0.452	0.439	cashmere
casing	0.458	0.327	0.328	casing
casino	0.542	0.684	0.568	twv txiaj yuam pov
cask	0.490	0.398	0.444	cask
casket	0.125	0.490	0.346	lub kaus mom
casserole	0.570	0.360	0.328	casserole
cassette	0.490	0.334	0.355	cassette
cast	0.558	0.620	0.517	pov tseg
castaway	0.208	0.646	0.422	castaway
caste	0.510	0.333	0.374	haiv neeg
caster	0.604	0.670	0.647	caster
castle	0.680	0.396	0.718	tsev fuabtais
castor	0.583	0.337	0.368	castor
castrate	0.177	0.485	0.519	castrate
castration	0.198	0.735	0.381	castration
casual	0.643	0.224	0.385	xws li
casually	0.658	0.290	0.333	tsis yooj yim
casualty	0.235	0.274	0.132	raug mob
cat	0.667	0.260	0.370	miv
catabolism	0.265	0.573	0.605	catabolism
catalog	0.561	0.221	0.573	catalog
catalogue	0.647	0.327	0.533	catalog
catalysis	0.385	0.559	0.531	catalysis
catalyst	0.604	0.509	0.585	catalyst
catalytic	0.562	0.519	0.563	catalytic
catamaran	0.571	0.566	0.526	catamaran
catapult	0.480	0.830	0.649	catapult
cataract	0.406	0.545	0.549	kab mob cataract
catastrophe	0.146	0.952	0.670	kev puas tsuaj
catastrophic	0.071	0.934	0.598	kev puas tsuaj
catatonic	0.255	0.500	0.509	catatonic
catch	0.531	0.437	0.552	ntes
catcher	0.653	0.413	0.540	tus ntes
catching	0.490	0.788	0.644	ntes
catchphrase	0.698	0.423	0.433	kab lus
catchy	0.677	0.441	0.462	ntes tau
catechism	0.656	0.236	0.613	kev qhuab qhia
categorical	0.615	0.442	0.760	categorical
category	0.571	0.264	0.521	qeb
cater	0.802	0.500	0.509	noj
caterer	0.550	0.557	0.644	tus neeg noj zaub mov
caterpillar	0.461	0.286	0.330	kab ntsig
cates	0.370	0.394	0.407	kab
catfish	0.458	0.337	0.296	ntses
cathartic	0.450	0.510	0.604	kab mob cathartic
cathedral	0.598	0.330	0.643	lub tsev teev ntuj
catheter	0.336	0.491	0.373	catheter
cathouse	0.327	0.375	0.363	cathouse
catnip	0.439	0.381	0.296	catnip
cattle	0.622	0.340	0.445	nyuj
catwalk	0.698	0.436	0.464	catwalk
caucus	0.418	0.311	0.491	caucus
caudal	0.500	0.425	0.583	caudal
cauldron	0.510	0.486	0.418	cauldron
cauliflower	0.448	0.255	0.231	zaub paj
caulk	0.367	0.500	0.418	caulk
causal	0.562	0.367	0.491	ua rau
causality	0.500	0.378	0.336	kev ua txhaum
causation	0.562	0.480	0.567	ua rau
cause	0.469	0.373	0.486	ua rau
caused	0.344	0.520	0.382	ua rau
causeway	0.453	0.382	0.422	txoj kev
caution	0.552	0.712	0.547	ceev faj
cautionary	0.510	0.541	0.519	ceeb toom
cautious	0.470	0.445	0.517	ceev faj
cautiously	0.510	0.388	0.525	ceev faj
cavalier	0.735	0.462	0.713	cavalier
cavalry	0.667	0.727	0.794	tub rog
cave	0.459	0.333	0.380	qhov tsua
caveat	0.344	0.629	0.484	caveat
caveman	0.235	0.644	0.482	caveman
cavern	0.323	0.360	0.365	qhov tsua
cavernous	0.354	0.548	0.462	caverous
caviar	0.906	0.394	0.481	caviar
caving	0.378	0.491	0.551	cav
cavity	0.466	0.385	0.379	kab noj hniav
cayenne	0.615	0.306	0.355	cayenne
cease	0.388	0.250	0.420	tso tseg
ceasefire	0.542	0.594	0.567	tsum tsum
ceaseless	0.378	0.704	0.658	tsis tu ncua
cedar	0.560	0.267	0.577	cedar
cede	0.275	0.327	0.402	cede
ceiling	0.520	0.224	0.366	qab nthab
celebrant	0.865	0.656	0.643	ua koob tsheej
celebrate	0.917	0.857	0.859	ua kev zoo siab
celebrated	0.875	0.690	0.763	ua kev zoo siab
celebrating	0.927	0.860	0.773	ua kev zoo siab
celebration	0.939	0.824	0.880	kev ua koob tsheej
celebrations	0.958	0.794	0.714	kev ua koob tsheej
celebratory	0.857	0.653	0.845	kev ua koob tsheej
celebrity	0.760	0.619	0.855	neeg nto moo
celery	0.396	0.147	0.223	zaub celery
celestial	0.817	0.360	0.731	xilethi-aus
celibacy	0.302	0.276	0.509	kev ua txij ua nkawm
celibate	0.419	0.387	0.391	ua neej nyob
cell	0.541	0.375	0.465	cell
cellar	0.510	0.277	0.406	cellar
cellblock	0.186	0.570	0.500	cellblock
cellist	0.667	0.500	0.486	cellist
cellmate	0.167	0.684	0.349	cellmate
cello	0.635	0.324	0.528	cello
cellophane	0.648	0.282	0.289	cellophane
cellular	0.643	0.398	0.517	cellular
cellulite	0.200	0.384	0.256	cellulite
celluloid	0.469	0.440	0.425	celluloid
cement	0.544	0.265	0.527	cement
cemented	0.429	0.382	0.537	cemented
cemetery	0.051	0.630	0.417	toj ntxas
censor	0.344	0.276	0.538	censor
censorship	0.219	0.698	0.421	censorship
censure	0.219	0.653	0.417	thuam
census	0.449	0.289	0.553	kev suav pej xeem
cent	0.439	0.367	0.402	ib nrab
centenary	0.604	0.440	0.642	ib puas xyoo
centennial	0.583	0.394	0.700	xyoo pua
center	0.643	0.231	0.431	chaw
centerfold	0.571	0.407	0.485	centerfold
centerpiece	0.594	0.208	0.520	qhov nruab nrab
centimeter	0.427	0.280	0.380	cm siab
centipede	0.296	0.399	0.361	xiab
central	0.640	0.356	0.621	nruab nrab
centrality	0.571	0.312	0.709	centrality
centralization	0.521	0.440	0.702	centralization
centralize	0.684	0.427	0.802	centralize
centrally	0.729	0.280	0.700	nruab nrab
centrifugal	0.306	0.651	0.480	centrifugal
centrifuge	0.495	0.622	0.527	centrifuge
centurion	0.590	0.447	0.696	tub rog
century	0.407	0.347	0.735	xyoo pua
ceramic	0.521	0.255	0.371	ceramic
ceramics	0.573	0.250	0.373	ceramics
cereal	0.612	0.206	0.316	cereal
cereals	0.719	0.224	0.311	cereals
cerebral	0.408	0.509	0.627	paj hlwb
ceremonial	0.771	0.540	0.691	kev ua koob tsheej
ceremony	0.760	0.559	0.761	kev ua koob tsheej
certain	0.760	0.358	0.673	meej
certainty	0.781	0.400	0.769	qhov tseeb
certifiable	0.714	0.427	0.662	ntawv pov thawj
certificate	0.786	0.377	0.746	daim ntawv pov thawj
certified	0.781	0.422	0.806	tau ntawv pov thawj
certify	0.866	0.400	0.746	lees paub
cervical	0.375	0.413	0.445	ncauj tsev menyuam
cervix	0.429	0.360	0.340	lub ncauj tsev menyuam
cess	0.427	0.375	0.406	ua cess
cessation	0.414	0.385	0.358	kev tso tseg
cesspool	0.167	0.460	0.409	cesspool
cha cha	0.714	0.546	0.324	chaw cha
chaff	0.333	0.327	0.188	chav
chafing	0.430	0.415	0.368	chafing
chagrin	0.104	0.704	0.472	chagrin
chagrined	0.112	0.745	0.361	chim siab
chai	0.500	0.375	0.363	chai
chain	0.378	0.500	0.547	saw hlau
chainsaw	0.367	0.804	0.636	chainsaw
chair	0.562	0.082	0.276	lub rooj zaum
chairman	0.656	0.567	0.933	tus thawj tswj hwm
chairperson	0.730	0.657	0.966	tus thawj tswj hwm
chairwoman	0.719	0.664	0.953	tus thawj coj
chaise	0.406	0.349	0.327	rooj
chalet	0.653	0.349	0.278	chalet
chalice	0.633	0.286	0.529	chalis
chalk	0.385	0.185	0.121	chalk
challenge	0.469	0.922	0.713	kev sib tw
challenger	0.417	0.755	0.652	tus neeg sib tw
chamber	0.583	0.373	0.455	chav tsev
chambermaid	0.594	0.375	0.336	chambermaid
chambers	0.542	0.442	0.388	chav tsev
chameleon	0.490	0.580	0.345	chameleon
champ	0.854	0.754	0.896	tus yeej
champagne	0.760	0.600	0.454	Champagne
champion	0.890	0.880	0.945	yeej
championship	0.833	0.800	0.880	kev sib tw
chance	0.833	0.551	0.525	caij nyoog
chancellor	0.646	0.500	0.887	tus thawj tswj hwm
chandelier	0.615	0.542	0.366	chandelier
chandler	0.510	0.452	0.454	chandler
change	0.625	0.575	0.606	hloov
changeable	0.490	0.480	0.528	hloov tau
changed	0.594	0.375	0.491	hloov
changer	0.583	0.519	0.567	tus hloov
changing	0.571	0.569	0.461	hloov
channel	0.490	0.287	0.405	channel
chant	0.771	0.698	0.650	suab nkauj
chaos	0.016	0.923	0.373	kev kub ntxhov
chaotic	0.115	0.847	0.442	chaotic
chap	0.550	0.410	0.345	chav
chapel	0.573	0.240	0.440	tsev teev ntuj
chaperon	0.500	0.520	0.404	tus thawj coj
chaplain	0.582	0.370	0.577	tub ceev xwm
chapman	0.562	0.529	0.465	tub ceev xwm
chaps	0.350	0.462	0.350	chav
chapter	0.580	0.308	0.461	tshooj
char	0.554	0.361	0.404	char
character	0.667	0.373	0.686	tus cwj pwm
characteristic	0.583	0.328	0.538	yam ntxwv
characterize	0.729	0.471	0.735	tus cwj pwm
charade	0.458	0.550	0.346	charade
charcoal	0.302	0.186	0.342	hluav taws kub
chardonnay	0.677	0.567	0.492	chardonnay
charge	0.510	0.633	0.785	nqi
chargeable	0.551	0.550	0.453	raug nqi
charger	0.531	0.418	0.545	charger
chariot	0.684	0.550	0.491	tsheb nees
charisma	0.938	0.591	0.759	charisma
charismatic	0.938	0.684	0.849	charismatic
charitable	0.865	0.380	0.593	kev siab hlub
charity	0.920	0.284	0.551	kev siab hlub
charlatan	0.200	0.640	0.352	charlatan
charm	0.833	0.363	0.649	ntxim nyiam
charmed	0.938	0.570	0.769	ntxim nyiam
charmer	0.882	0.683	0.782	ntxim nyiam
charming	0.917	0.660	0.764	ntxim nyiam
charred	0.208	0.676	0.373	ua paum
chart	0.469	0.317	0.330	daim duab
charter	0.677	0.382	0.518	txoj cai
chartered	0.569	0.460	0.490	chartered
chase	0.396	0.878	0.623	caum
chased	0.188	0.830	0.287	caum
