English Word	Valence	Arousal	Dominance	Russian Word
bite	0.219	0.796	0.510	кусать
biter	0.260	0.598	0.500	горький
bitsy	0.510	0.388	0.382	крохотный
bitter	0.218	0.627	0.411	горький
bitterly	0.194	0.685	0.362	горько
bitterness	0.115	0.633	0.270	горечь
bittersweet	0.469	0.569	0.474	горько-сладкий
bitty	0.469	0.271	0.257	крошечный
bitumen	0.375	0.235	0.307	битум
biweekly	0.581	0.337	0.455	раз в две недели
biz	0.500	0.473	0.473	бизнес
bizarre	0.379	0.620	0.392	странный
blab	0.438	0.425	0.353	болтать
blabbermouth	0.323	0.640	0.422	болтун
blackberry	0.667	0.413	0.453	ежевика
blackbird	0.520	0.340	0.405	дрозд
blackboard	0.469	0.255	0.287	доска
blacken	0.208	0.500	0.228	чернить
blackface	0.302	0.490	0.441	черное лицо
blackjack	0.419	0.679	0.452	Блэк Джек
blacklist	0.133	0.750	0.396	черный список
blackmail	0.094	0.802	0.482	шантажировать
blackmailer	0.092	0.780	0.472	шантажист
blackness	0.260	0.480	0.406	чернота
blackout	0.126	0.530	0.349	затемнение
blacksmith	0.480	0.531	0.702	кузнец
bladder	0.406	0.412	0.330	мочевой пузырь
blade	0.378	0.602	0.594	лезвие
blame	0.115	0.640	0.309	обвинять
blameless	0.759	0.196	0.343	безупречный
bland	0.300	0.226	0.157	мягкий
blank	0.531	0.229	0.250	пустой
blanket	0.740	0.132	0.391	одеяло
blare	0.439	0.561	0.519	рев
blase	0.420	0.310	0.412	пресыщенный
blasphemous	0.210	0.755	0.491	богохульный
blasphemy	0.146	0.794	0.406	богохульство
blast	0.167	0.929	0.777	взрыв
blaster	0.459	0.538	0.554	бластер
blastoff	0.357	0.865	0.736	взлетать
blatant	0.327	0.677	0.675	вопиющий
blather	0.344	0.481	0.382	болтать
blaze	0.698	0.467	0.658	пылать
blazer	0.635	0.385	0.417	блейзер
blazing	0.594	0.896	0.735	пылающий
bleach	0.336	0.282	0.337	отбеливать
bleak	0.204	0.427	0.272	мрачный
bleed	0.041	0.843	0.346	истекать кровью
bleeder	0.260	0.852	0.356	кровотечение
bleeding	0.135	0.817	0.408	кровотечение
bleep	0.479	0.667	0.345	бип
blemish	0.219	0.558	0.272	порок
blemished	0.173	0.469	0.370	испорченный
blend	0.469	0.452	0.463	смешивать
blender	0.602	0.534	0.351	блендер
blending	0.560	0.418	0.637	смешение
bless	0.929	0.269	0.588	благословить
blessed	0.910	0.279	0.696	благословенный
blessing	0.929	0.264	0.800	благословение
blessings	0.929	0.361	0.623	благословения
bleu	0.460	0.354	0.379	синий
blight	0.271	0.771	0.429	упадок
blighted	0.146	0.615	0.296	испорченный
blimp	0.600	0.410	0.532	дирижабль
blinded	0.245	0.471	0.231	ослепленный
blindfold	0.448	0.684	0.337	повязка на глаза
blindfolded	0.208	0.564	0.209	с завязанными глазами
blinding	0.304	0.596	0.406	ослепление
blindly	0.439	0.598	0.278	слепо
blindness	0.245	0.480	0.196	слепота
blink	0.552	0.316	0.324	мигать
blip	0.529	0.461	0.418	вспышка
bliss	0.816	0.500	0.782	блаженство
blissful	0.885	0.639	0.676	блаженный
blister	0.407	0.538	0.402	волдырь
blistering	0.344	0.569	0.390	вздутие живота
blitz	0.417	0.722	0.789	блиц
blizzard	0.375	0.726	0.417	Снежная буря
bloat	0.229	0.694	0.298	раздуваться
bloated	0.167	0.593	0.424	раздутый
blob	0.500	0.376	0.298	капля
block	0.286	0.350	0.402	блокировать
blockade	0.380	0.519	0.510	блокада
blockage	0.250	0.608	0.444	закупорка
blockbuster	0.730	0.676	0.883	блокбастер
blockhead	0.163	0.333	0.148	болван
blog	0.639	0.390	0.432	блог
bloke	0.450	0.479	0.545	парень
blond	0.590	0.490	0.490	блондин
blonde	0.698	0.545	0.412	блондинка
blood	0.219	0.684	0.585	кровь
bloodbath	0.060	0.971	0.475	кровавая баня
bloodhound	0.327	0.462	0.538	ищейка
bloodless	0.292	0.390	0.212	бескровный
bloodline	0.510	0.657	0.604	родословная
bloodshed	0.048	0.942	0.525	кровопролитие
bloodshot	0.188	0.810	0.482	налитый кровью
bloodstream	0.552	0.530	0.528	кровоток
bloodthirsty	0.052	0.804	0.644	кровожадный
bloody	0.031	0.910	0.518	кровавый
bloom	0.816	0.453	0.587	цвести
bloomers	0.521	0.587	0.395	шаровары
blooming	0.860	0.452	0.593	цветущий
blossom	0.792	0.275	0.309	цвести
blot	0.365	0.304	0.223	пятно
blotched	0.133	0.562	0.264	пятнистый
blotter	0.360	0.298	0.280	промокашка
blouse	0.580	0.190	0.302	блузка
blow	0.316	0.750	0.570	дуть
blower	0.564	0.550	0.536	воздуходувка
blowfish	0.344	0.420	0.389	иглобрюх
blowing	0.521	0.472	0.434	дует
blowjob	0.460	0.784	0.387	минет
blown	0.333	0.548	0.412	взорван
blowout	0.398	0.792	0.616	задуть
blowtorch	0.520	0.730	0.510	паяльная лампа
blubber	0.388	0.260	0.360	ворвань
bluddy	0.312	0.528	0.442	мутный
blue	0.646	0.137	0.291	синий
blue spruce	0.559	0.335	0.364	голубая ель
blueberry	0.656	0.185	0.365	черника
bluebird	0.573	0.350	0.450	синяя птица
bluegrass	0.573	0.441	0.395	мятлик
bluejay	0.635	0.520	0.310	голубая сойка
blueprint	0.490	0.173	0.425	план
blues	0.469	0.220	0.287	блюз
bluff	0.418	0.286	0.377	блефовать
bluish	0.604	0.245	0.382	голубоватый
blunder	0.135	0.635	0.145	ошибка
blunt	0.551	0.680	0.925	тупой
blur	0.268	0.471	0.205	размытие
blurred	0.320	0.367	0.231	размытый
blurry	0.059	0.385	0.218	размыто
blurt	0.408	0.439	0.441	выпалить
blush	0.698	0.610	0.445	краснеть
blushing	0.510	0.789	0.288	краснея
boa	0.255	0.569	0.542	удав
boa constrictor	0.198	0.784	0.609	удав
boar	0.406	0.500	0.351	кабан
board	0.592	0.255	0.385	доска
board game	0.711	0.490	0.349	настольная игра
boarder	0.604	0.440	0.475	пансионер
boarding	0.531	0.402	0.534	интернат
boardroom	0.555	0.566	0.661	зал заседаний
boards	0.469	0.270	0.524	доски
boardwalk	0.643	0.481	0.549	дощатый настил
boast	0.520	0.586	0.569	хвастаться
boastful	0.490	0.806	0.695	хвастливый
boasting	0.417	0.620	0.602	хвастовство
boat	0.516	0.420	0.554	лодка
boathouse	0.592	0.380	0.404	эллинг
boating	0.638	0.613	0.557	катание на лодках
boatload	0.365	0.415	0.485	лодка
boatman	0.592	0.573	0.562	лодочник
bobbin	0.429	0.472	0.353	шпулька
bobcat	0.562	0.490	0.529	рысь
bobsled	0.667	0.613	0.325	бобслей
bode	0.344	0.406	0.411	сулит
bodega	0.573	0.307	0.398	винный погреб
bodice	0.390	0.471	0.386	лиф
bodily	0.594	0.481	0.557	телесный
body	0.694	0.461	0.571	тело
bodyguard	0.510	0.710	0.754	телохранитель
bog	0.302	0.361	0.365	болото
bogey	0.380	0.519	0.368	пугало
bogeyman	0.388	0.708	0.517	призрак
bogus	0.219	0.353	0.144	подделка
bohemian	0.622	0.500	0.407	богемный
boil	0.417	0.684	0.433	кипятить
boiler	0.561	0.590	0.509	паровой котел
boilerplate	0.398	0.519	0.387	шаблонный
boiling	0.302	0.690	0.526	кипячение
boisterous	0.385	0.806	0.565	шумный
bold	0.490	0.271	0.483	смелый
boldness	0.806	0.684	0.814	смелость
bollocks	0.448	0.471	0.327	чушь
bolster	0.708	0.471	0.569	поддерживать
bolt	0.354	0.363	0.426	болт
bolus	0.426	0.491	0.352	болюс
bomb	0.167	0.912	0.750	бомбить
bombard	0.156	0.961	0.777	бомбардировать
bombardier	0.240	0.863	0.787	бомбардир
bombardment	0.146	0.959	0.742	бомбардировка
bombed	0.051	0.851	0.627	бомбили
bomber	0.125	0.837	0.810	бомбардировщик
bombers	0.173	0.920	0.787	бомбардировщики
bombing	0.167	0.963	0.732	бомбардировка
bombshell	0.327	0.868	0.693	эффект разорвавшейся бомбы
bonanza	0.875	0.410	0.683	золотое дно
bonbon	0.865	0.551	0.446	конфетка
bond	0.667	0.519	0.630	связь
bondage	0.146	0.705	0.355	бондаж
bonding	0.594	0.442	0.509	связь
bonds	0.740	0.472	0.583	облигации
bondsman	0.469	0.497	0.675	крепостной
bone	0.337	0.370	0.413	кость
bonehead	0.337	0.521	0.518	тупоголовый
boner	0.344	0.612	0.393	стояк
bones	0.281	0.343	0.358	кости
bonfire	0.480	0.719	0.473	костер
bong	0.333	0.566	0.375	бонг
bonkers	0.306	0.847	0.278	помешанные
bonne	0.448	0.395	0.362	Бонн
bonnet	0.406	0.509	0.473	капот
bonny	0.561	0.404	0.444	хорошенький
bonsai	0.714	0.235	0.375	бонсай
bonus	0.857	0.620	0.682	бонус
bony	0.445	0.462	0.330	костлявый
boo	0.153	0.676	0.309	бу
boob	0.694	0.600	0.392	грудь
booby	0.396	0.423	0.185	олух
booger	0.399	0.537	0.427	козявка
boogeyman	0.292	0.559	0.567	бугимен
boogie	0.590	0.543	0.400	буги-вуги
book	0.802	0.210	0.606	книга
bookcase	0.553	0.221	0.490	книжный шкаф
bookie	0.344	0.633	0.618	букмекер
booking	0.708	0.503	0.583	бронирование
bookish	0.604	0.236	0.430	книжный
bookkeeper	0.480	0.363	0.468	бухгалтер
bookkeeping	0.520	0.214	0.592	бухгалтерия
booklet	0.510	0.270	0.351	буклет
bookmaker	0.583	0.804	0.633	букмекерская контора
bookmark	0.543	0.441	0.415	закладка
books	0.729	0.115	0.430	книги
bookseller	0.583	0.317	0.456	книготорговец
bookshop	0.688	0.291	0.389	книжный магазин
bookstore	0.771	0.180	0.503	книжный магазин
bookworm	0.563	0.337	0.316	книжный червь
boom	0.604	0.655	0.731	бум
boomer	0.480	0.539	0.441	бумер
boomerang	0.531	0.625	0.500	бумеранг
booming	0.688	0.554	0.661	бум
boon	0.878	0.294	0.642	благо
boooo	0.271	0.549	0.255	буооо
boost	0.865	0.730	0.750	способствовать росту
booster	0.755	0.600	0.800	ракета-носитель
boot	0.438	0.650	0.625	ботинок
booth	0.531	0.400	0.310	стенд
bootleg	0.357	0.519	0.466	бутлег
bootlegger	0.354	0.649	0.541	бутлегер
boots	0.602	0.255	0.350	сапоги
booty	0.663	0.587	0.784	добыча
booze	0.265	0.745	0.431	выпивка
bop	0.429	0.490	0.426	боп
bopper	0.398	0.530	0.385	боппер
border	0.406	0.382	0.424	граница
bordering	0.643	0.382	0.438	граничащий
borderline	0.449	0.520	0.490	пограничный
bore	0.417	0.440	0.455	бурить
boreal	0.582	0.348	0.400	бореальный
bored	0.153	0.167	0.196	скучающий
boredom	0.167	0.139	0.255	скука
borer	0.302	0.549	0.578	бурильщик
boring	0.194	0.217	0.125	скучный
born	0.865	0.509	0.591	Родился
boron	0.441	0.370	0.375	бор
borough	0.429	0.343	0.380	район
borrow	0.398	0.573	0.282	занимать
borrower	0.439	0.423	0.763	заемщик
bosom	0.612	0.588	0.404	грудь
boss	0.310	0.627	0.954	босс
bossy	0.240	0.824	0.750	властная
boston	0.643	0.380	0.580	бостон
botanical	0.660	0.259	0.491	ботанический
botanist	0.651	0.240	0.456	ботаник
botany	0.604	0.201	0.500	ботаника
bother	0.208	0.780	0.370	беспокоить
bothering	0.208	0.764	0.449	надоедает
bottle	0.469	0.236	0.336	бутылка
bottleneck	0.284	0.471	0.287	горлышко бутылки
bottling	0.365	0.333	0.370	розлив
bottom	0.417	0.370	0.291	нижний
bottomless	0.310	0.470	0.368	бездонный
botulism	0.292	0.575	0.386	ботулизм
boulder	0.461	0.309	0.531	валун
bounce	0.375	0.633	0.386	подпрыгивать
bouncer	0.490	0.653	0.655	вышибала
bouncy	0.562	0.565	0.429	бодрый
bound	0.417	0.667	0.310	граница
boundary	0.561	0.427	0.518	граница
boundless	0.684	0.642	0.652	безграничный
bounds	0.378	0.426	0.604	границы
bountiful	0.854	0.596	0.759	обильный
bounty	0.760	0.755	0.833	награда
bouquet	0.724	0.352	0.306	букет
bourbon	0.602	0.490	0.517	бурбон
bourgeois	0.439	0.593	0.682	буржуа
bourgeoisie	0.357	0.417	0.767	буржуазия
bourse	0.530	0.230	0.336	биржа
bout	0.208	0.808	0.679	бой
boutique	0.745	0.490	0.441	бутик
bouttime	0.588	0.373	0.410	перерыв
bovine	0.449	0.255	0.353	бычий
bow	0.530	0.306	0.408	лук
bowed	0.410	0.418	0.368	поклонился
bowel	0.306	0.417	0.391	кишечник
bowels	0.194	0.448	0.362	кишки
bowl	0.625	0.377	0.358	чаша
bowler	0.552	0.633	0.481	боулер
bowling	0.656	0.431	0.309	боулинг
bowls	0.551	0.280	0.277	чаши
box	0.500	0.179	0.312	коробка
boxcar	0.420	0.469	0.421	товарный вагон
boxer	0.490	0.810	0.802	боксер
boxers	0.375	0.880	0.654	боксеры
boxing	0.427	0.854	0.645	заниматься боксом
boycott	0.112	0.690	0.505	бойкотировать
boyfriend	0.781	0.604	0.547	парень
boyhood	0.729	0.745	0.500	детство
boyish	0.698	0.562	0.462	мальчишеский
boysenberry	0.646	0.409	0.475	бойзеновая ягода
bozo	0.388	0.364	0.298	бозо
bra	0.672	0.529	0.509	бюстгальтер
brace	0.610	0.385	0.364	скобка
bracelet	0.776	0.340	0.322	браслет
braces	0.500	0.337	0.568	брекеты
brachial	0.388	0.363	0.464	плечевой
bracket	0.490	0.350	0.682	скобка
brackets	0.573	0.281	0.435	скобки
brackish	0.469	0.368	0.421	солоноватый
brad	0.490	0.385	0.402	Брэд
brag	0.347	0.545	0.578	хвастаться
braid	0.427	0.222	0.216	коса
brain	0.667	0.441	0.823	мозг
brainless	0.138	0.310	0.224	безмозглый
brains	0.663	0.557	0.722	мозги
brainstorm	0.794	0.784	0.636	мозговой штурм
brainwash	0.198	0.647	0.481	промывание мозгов
brainy	0.708	0.520	0.648	мозговитый
brake	0.312	0.481	0.310	тормоз
bran	0.688	0.433	0.483	отруби
branch	0.538	0.206	0.250	ответвляться
branching	0.520	0.422	0.472	разветвление
brand	0.562	0.284	0.547	марка
brandy	0.600	0.590	0.487	бренди
brash	0.360	0.814	0.552	дерзкий
brass	0.500	0.320	0.490	латунь
brass knuckle	0.406	0.449	0.518	медный сустав
brassiere	0.510	0.469	0.336	лифчик
brat	0.312	0.440	0.231	паршивец
bratwurst	0.510	0.490	0.464	колбаса
bravado	0.479	0.510	0.527	бравада
brave	0.837	0.750	0.917	Храбрый
bravery	0.898	0.745	0.868	храбрость
brawl	0.104	0.938	0.603	драка
brawn	0.438	0.402	0.544	мускулы
brazen	0.292	0.640	0.518	наглый
breach	0.177	0.745	0.423	нарушение
bread	0.660	0.314	0.342	хлеб
breadth	0.667	0.490	0.644	широта
break	0.610	0.265	0.370	ломать
breakable	0.194	0.667	0.408	хрупкий
breakaway	0.479	0.802	0.519	вырваться
breakdown	0.365	0.423	0.361	авария
breaker	0.323	0.527	0.520	выключатель
breakers	0.469	0.588	0.439	выключатели
breakfast	0.885	0.330	0.429	завтрак
breaking and entering	0.418	0.729	0.500	взлом с проникновением
breakingnews	0.500	0.552	0.607	последние новости
breakneck	0.254	0.833	0.604	головокружительный
breakthrough	0.680	0.525	0.718	прорвать
breakup	0.250	0.720	0.357	расставаться
breast	0.753	0.429	0.500	грудь
breath	0.684	0.392	0.451	дыхание
breathe	0.833	0.373	0.518	дышать
breather	0.624	0.471	0.388	передышка
breathless	0.323	0.490	0.222	бездыханный
breathtaking	0.936	0.792	0.921	захватывающий дух
breech	0.500	0.637	0.422	казенная часть
breeches	0.365	0.457	0.333	бриджи
breed	0.490	0.441	0.578	порода
breeder	0.645	0.481	0.605	заводчик
breeding	0.667	0.481	0.610	разведение
breeze	0.837	0.284	0.370	ветер
breezy	0.531	0.472	0.482	свежий
brethren	0.917	0.380	0.641	братья
breve	0.535	0.365	0.191	краткий
brevity	0.459	0.434	0.375	краткость
brew	0.740	0.538	0.758	заваривать
brewery	0.710	0.622	0.510	пивоварня
brewing	0.740	0.593	0.609	пивоварение
briar	0.493	0.375	0.407	шиповник
bribe	0.112	0.690	0.472	взятка
bribery	0.135	0.775	0.585	взяточничество
brick	0.217	0.418	0.368	кирпич
bridal	0.823	0.655	0.596	свадебный
bride	0.840	0.708	0.579	невеста
bridegroom	0.809	0.736	0.527	жених
bridesmaid	0.748	0.519	0.618	подружка невесты
bridge	0.625	0.324	0.519	мост
bridle	0.427	0.367	0.386	уздечка
brief	0.469	0.300	0.279	краткий
briefcase	0.542	0.206	0.442	портфель
briefing	0.612	0.333	0.702	брифинг
briefly	0.686	0.314	0.330	кратко
brig	0.573	0.539	0.500	бриг
brigade	0.604	0.710	0.828	бригада
bright	0.890	0.527	0.812	яркий
brighten	0.760	0.547	0.649	осветлить
brightens	0.771	0.611	0.613	осветляет
brighter	0.918	0.698	0.833	ярче
brightness	0.938	0.623	0.660	яркость
brilliance	0.990	0.673	0.830	блеск
brilliant	0.939	0.575	0.923	блестящий
brim	0.469	0.333	0.330	край
brimming	0.656	0.690	0.758	переполненный
brimstone	0.357	0.520	0.440	сера
brine	0.333	0.481	0.361	рассол
bring	0.635	0.460	0.462	приносить
brink	0.375	0.413	0.356	грань
brisk	0.719	0.745	0.742	бойкий
brisket	0.552	0.378	0.222	грудинка
bristle	0.375	0.375	0.326	щетина
brittle	0.276	0.490	0.272	хрупкий
bro	0.794	0.349	0.684	братан
broach	0.438	0.439	0.675	протяжка
broad	0.762	0.365	0.637	широкий
broadcast	0.615	0.587	0.355	транслировать
broadcasting	0.542	0.700	0.706	вещание
broaden	0.678	0.602	0.610	расширить
broadside	0.459	0.316	0.462	бортовой
broadsword	0.469	0.573	0.615	палаш
brocade	0.500	0.327	0.464	парча
broccoli	0.469	0.200	0.283	брокколи
brochure	0.552	0.226	0.391	брошюра
broil	0.510	0.404	0.330	жарить
broke	0.245	0.590	0.370	сломанный
broken	0.062	0.500	0.293	сломанный
brokenheart	0.115	0.577	0.343	разбитое сердце
brokenhearted	0.130	0.598	0.227	с разбитым сердцем
broker	0.582	0.462	0.600	маклер
brokerage	0.479	0.500	0.500	посредничество
bromide	0.347	0.425	0.411	бромид
bronco	0.500	0.510	0.473	бронко
bronze	0.622	0.333	0.526	бронза
brooch	0.531	0.260	0.380	брошь
brood	0.633	0.519	0.434	выводок
brooding	0.327	0.367	0.333	задумчивый
brook	0.594	0.347	0.412	ручей
broom	0.385	0.154	0.302	метла
broomstick	0.410	0.265	0.227	метла
broth	0.500	0.245	0.168	бульон
brothel	0.255	0.886	0.418	бордель
brother	0.823	0.361	0.546	брат
brotherhood	0.990	0.471	0.760	братство
brotherly	0.865	0.306	0.596	братский
brow	0.562	0.311	0.481	бровь
brown	0.396	0.202	0.293	коричневый
brownstone	0.559	0.423	0.439	коричневый камень
browse	0.635	0.750	0.592	просматривать
brrr	0.373	0.540	0.282	бррр
bruise	0.133	0.640	0.474	синяк
bruising	0.084	0.520	0.422	кровоподтеки
brunch	0.406	0.363	0.343	поздний завтрак
brunette	0.802	0.528	0.529	брюнетка
brunt	0.204	0.750	0.349	главный удар
brush	0.490	0.265	0.186	щетка
brutal	0.122	0.882	0.643	жестокий
brutality	0.122	0.832	0.571	жестокость
brute	0.115	0.547	0.379	грубый
brutish	0.270	0.837	0.588	грубый
bubble	0.774	0.213	0.364	пузырь
bubbling	0.500	0.438	0.384	бурлящий
bubbly	0.698	0.608	0.462	игристый
bubonic	0.280	0.530	0.394	бубонный
buck	0.677	0.577	0.720	доллар
buckaroo	0.448	0.469	0.479	ковш
bucket	0.408	0.167	0.336	ведро
buckle	0.416	0.373	0.361	пряжка
buckled	0.427	0.358	0.439	пристегнутый
bucko	0.439	0.455	0.465	бако
buckshot	0.255	0.740	0.322	картечь
buckwheat	0.490	0.471	0.434	гречиха
bud	0.460	0.402	0.333	бутон
buddha	0.690	0.198	0.604	Будда
buddhism	0.510	0.115	0.673	буддизм
budding	0.490	0.500	0.355	расцветающий
buddy	0.884	0.585	0.655	приятель
budge	0.719	0.755	0.543	сдвинуться с места
budget	0.643	0.396	0.731	бюджет
buff	0.561	0.425	0.361	бафф
buffalo	0.469	0.528	0.527	буйвол
buffer	0.520	0.474	0.350	буфер
buffering	0.479	0.468	0.381	буферизация
buffet	0.656	0.546	0.519	буфет
buffoon	0.344	0.651	0.290	шут
bug	0.286	0.500	0.246	ошибка
bugaboo	0.439	0.491	0.441	пугало
bugged	0.561	0.439	0.500	прослушивается
bugger	0.312	0.627	0.474	педераст
buggy	0.500	0.509	0.327	багги
bugle	0.479	0.588	0.391	рожок
bugler	0.542	0.540	0.393	горнист
build	0.771	0.546	0.806	строить
builder	0.660	0.642	0.701	строитель
building	0.705	0.288	0.673	строительство
buildings	0.582	0.380	0.552	здания
buildup	0.490	0.509	0.623	наращивать
bulb	0.562	0.208	0.300	лампочка
bulbous	0.390	0.442	0.430	выпуклый
bulge	0.260	0.487	0.400	выпуклость
bulimic	0.092	0.570	0.373	булимический
bulk	0.469	0.413	0.509	масса
bulkhead	0.312	0.425	0.402	переборка
bulky	0.427	0.591	0.750	громоздкий
bull	0.521	0.640	0.644	бык
bulldog	0.494	0.650	0.530	бульдог
bulldozer	0.459	0.549	0.643	бульдозер
bullet	0.408	0.794	0.634	пуля
bulletin	0.573	0.294	0.361	бюллетень
bulletproof	0.750	0.721	0.779	пуленепробиваемый
bullfighter	0.448	0.794	0.664	тореадор
bullfrog	0.344	0.481	0.422	лягушка-бык
bullheaded	0.229	0.740	0.516	упертый как баран
bullhorn	0.510	0.653	0.736	мегафон
bullion	0.693	0.558	0.729	слиток
bullock	0.281	0.402	0.375	бык
bullpen	0.480	0.549	0.500	КПЗ
bullshit	0.042	0.676	0.183	фигня
bully	0.257	0.755	0.564	терроризировать
bulwark	0.551	0.552	0.675	бастион
bum	0.281	0.451	0.155	бездельничать
bumblebee	0.469	0.493	0.321	шмель
bummed	0.296	0.430	0.227	бездельник
bummer	0.163	0.500	0.267	облом
bump	0.286	0.458	0.368	удар
bumper	0.385	0.573	0.518	бампер
bumpy	0.306	0.683	0.419	бугристый
bun	0.424	0.306	0.268	булочка
bunch	0.552	0.358	0.473	связка
bundle	0.510	0.343	0.434	пучок
bungalow	0.562	0.352	0.406	бунгало
bungee	0.637	0.545	0.327	тарзанка
bunghole	0.286	0.426	0.396	бочка
bunion	0.276	0.340	0.290	бурсит
bunk	0.438	0.332	0.339	койка
bunker	0.375	0.673	0.773	бункер
bunkhouse	0.470	0.414	0.407	ночлежка
bunny	0.740	0.325	0.194	кролик
bunt	0.417	0.422	0.349	головня
buoy	0.562	0.280	0.284	буй
buoyancy	0.625	0.373	0.538	плавучесть
buoyant	0.625	0.441	0.497	жизнерадостный
bur	0.385	0.353	0.314	бур
burden	0.367	0.583	0.697	груз
burdened	0.429	0.519	0.565	обремененный
burdensome	0.229	0.696	0.419	обременительный
bureau	0.562	0.373	0.618	бюро
bureaucracy	0.380	0.578	0.740	бюрократия
bureaucrat	0.208	0.519	0.598	бюрократ
bureaucratic	0.280	0.630	0.573	бюрократический
burger	0.688	0.568	0.398	бургер
burglar	0.050	0.769	0.404	грабитель
burglary	0.146	0.918	0.543	кража со взломом
burial	0.203	0.577	0.333	захоронение
buried	0.133	0.530	0.370	похороненный
burke	0.466	0.441	0.451	Берк
burlap	0.429	0.462	0.411	мешковина
burlesque	0.327	0.615	0.343	бурлеск
burly	0.562	0.650	0.750	крепкий
burn	0.219	0.783	0.509	гореть
burned	0.163	0.603	0.347	сгорел
burner	0.296	0.816	0.446	горелка
burning	0.229	0.760	0.412	сжигание
burnished	0.520	0.580	0.464	полированный
burnout	0.219	0.445	0.240	Выгореть
burnt	0.082	0.713	0.356	сожженный
burp	0.219	0.594	0.432	отрыжка
burr	0.390	0.426	0.308	картавость
burrito	0.688	0.294	0.166	буррито
burro	0.400	0.356	0.318	ослик
burrow	0.438	0.280	0.355	рыть нору
bursary	0.729	0.462	0.571	стипендия
burst	0.156	0.894	0.845	лопаться
bury	0.077	0.571	0.346	хоронить
bus	0.407	0.411	0.400	автобус
busboy	0.510	0.453	0.441	официант
bush	0.413	0.220	0.315	куст
bushel	0.417	0.387	0.368	бушель
bushy	0.562	0.321	0.427	пушистый
business	0.688	0.569	0.755	бизнес
business man	0.530	0.598	0.933	бизнесмен
businessman	0.653	0.510	0.802	бизнесмен
businesswoman	0.719	0.500	0.764	бизнес-леди
busload	0.561	0.481	0.492	загруженный автобус
buss	0.469	0.500	0.391	автобус
bust	0.520	0.500	0.420	бюст
busted	0.204	0.676	0.345	разоренный
buster	0.469	0.491	0.483	бастер
bustle	0.347	0.814	0.445	суета
bustling	0.490	0.850	0.528	шумный
busy	0.402	0.500	0.474	занятый
busybody	0.255	0.634	0.472	назойливый
butane	0.442	0.483	0.380	бутан
butcher	0.500	0.575	0.608	мясник
butler	0.469	0.225	0.438	дворецкий
butt	0.347	0.725	0.336	задница
butter	0.650	0.292	0.202	масло
buttercup	0.562	0.482	0.422	лютик
butterfly	0.892	0.327	0.314	бабочка
buttermilk	0.633	0.311	0.304	пахта
butterscotch	0.708	0.510	0.356	ириски
buttery	0.625	0.318	0.303	маслянистый
buttock	0.429	0.600	0.288	ягодица
buttocks	0.458	0.677	0.365	ягодицы
button	0.520	0.220	0.343	кнопка
buttress	0.438	0.684	0.721	контрфорс
buxom	0.562	0.719	0.547	грудастая
buy	0.771	0.769	0.612	купить
buyer	0.613	0.519	0.649	покупатель
buying	0.665	0.784	0.589	покупка
buzz	0.333	0.686	0.375	гул
buzzard	0.350	0.500	0.225	канюк
buzzed	0.583	0.549	0.448	гудел
buzzer	0.549	0.716	0.480	зуммер
buzzing	0.430	0.588	0.370	жужжание
bye	0.375	0.398	0.321	до свидания
bygone	0.229	0.310	0.315	прошлое
bylaw	0.469	0.373	0.725	в соответствии с законом
byline	0.469	0.450	0.435	подпись
bypass	0.429	0.418	0.353	обходить
bystander	0.480	0.462	0.491	сторонний наблюдатель
byte	0.490	0.380	0.407	байт
byzantine	0.546	0.443	0.492	византийский
cab	0.438	0.490	0.421	такси
cabal	0.500	0.406	0.573	клика
cabana	0.698	0.296	0.407	кабана
cabaret	0.677	0.656	0.482	кабаре
cabbage	0.398	0.225	0.264	капуста
cabbie	0.521	0.417	0.429	таксист
cabernet	0.543	0.420	0.480	каберне
cabin	0.643	0.292	0.430	кабина
cabinet	0.552	0.306	0.465	кабинет
cable	0.583	0.245	0.434	кабель
caboodle	0.529	0.521	0.325	чепуха
caboose	0.440	0.453	0.438	камбуз
cabriolet	0.667	0.525	0.472	кабриолет
cache	0.552	0.348	0.389	тайник
cacophony	0.408	0.562	0.440	какофония
cactus	0.439	0.412	0.284	кактус
cad	0.447	0.406	0.404	хам
cadaver	0.030	0.690	0.260	труп
caddie	0.521	0.435	0.259	кэдди
caddy	0.580	0.470	0.380	кэдди
cadence	0.427	0.473	0.355	ритм
cadet	0.504	0.393	0.664	курсант
cafe	0.781	0.392	0.358	кафе
cafeteria	0.757	0.400	0.382	столовая
caffeine	0.562	0.759	0.500	кофеин
cage	0.316	0.333	0.352	клетка
cagey	0.542	0.363	0.582	уклончивый
cahoots	0.312	0.696	0.474	сговор
cairn	0.260	0.435	0.254	пирамида из камней
cake	0.810	0.375	0.287	кекс
cakewalk	0.719	0.510	0.447	легкая прогулка
calamari	0.521	0.312	0.406	кальмары
calamitous	0.219	0.685	0.500	бедственный
calamity	0.122	0.795	0.343	бедствие
calcareous	0.490	0.368	0.462	известковый
calcium	0.600	0.346	0.479	кальций
calculate	0.490	0.452	0.440	рассчитать
calculated	0.633	0.425	0.683	рассчитанный
calculating	0.458	0.430	0.625	расчет
calculation	0.646	0.453	0.606	расчет
calculator	0.513	0.283	0.588	калькулятор
calculus	0.360	0.360	0.562	исчисление
calendar	0.480	0.212	0.473	календарь
calender	0.531	0.275	0.451	календарь
