English Word	Valence	Arousal	Dominance	Somali Word
derision	0.265	0.670	0.292	jeesjees
derivation	0.521	0.519	0.644	soojiidashada
derivative	0.541	0.491	0.508	asal
derive	0.396	0.324	0.360	ka soo qaadan
dermal	0.385	0.406	0.443	maqaarka maqaarka
dermatologist	0.531	0.358	0.528	dhakhtarka maqaarka
dermatology	0.422	0.500	0.556	maqaarka maqaarka
derogation	0.208	0.460	0.327	hoos u dhigid
derogatory	0.122	0.580	0.404	bahdilid
descend	0.385	0.535	0.231	soo deg
descendant	0.684	0.420	0.625	ku abtirsada
descendent	0.391	0.480	0.565	ku abtirsada
descending	0.219	0.493	0.250	soo degaya
descent	0.300	0.402	0.158	soo degid
describe	0.542	0.472	0.555	qeexid
description	0.582	0.425	0.596	sharaxaad
descriptive	0.667	0.352	0.570	qeexid
desecrate	0.255	0.806	0.509	ceebayn
desecration	0.125	0.833	0.564	ceebayn
desert	0.469	0.279	0.389	lamadegaan
deserted	0.156	0.480	0.214	cidla ah
deserter	0.122	0.710	0.366	baxsade
desertion	0.122	0.630	0.289	cararid
deserve	0.802	0.436	0.613	mudan
deserved	0.781	0.582	0.689	mudan
deserving	0.802	0.596	0.858	mudan
design	0.796	0.327	0.632	naqshadeynta
designate	0.531	0.538	0.683	magacaabid
designated	0.500	0.412	0.616	loo qoondeeyey
designation	0.612	0.571	0.675	magacaabid
designed	0.745	0.380	0.595	loogu talagalay
designer	0.875	0.519	0.670	naqshadeeye
designing	0.792	0.355	0.552	naqshadaynta
desirability	0.684	0.550	0.675	rabitaan
desirable	0.740	0.735	0.750	suurad wacan
desire	0.896	0.692	0.647	rabitaan
desiring	0.814	0.821	0.632	rabitaan
desirous	0.719	0.824	0.562	rabitaan leh
desist	0.220	0.358	0.291	joojin
desk	0.510	0.135	0.422	miiska
desolate	0.104	0.320	0.228	cidla ah
desolation	0.073	0.481	0.273	cidla
despair	0.115	0.794	0.245	quusasho
despairing	0.073	0.735	0.286	quusasho
despatch	0.448	0.400	0.613	dirqi
desperado	0.260	0.745	0.361	quustaan
desperate	0.083	0.842	0.337	quus
desperation	0.125	0.904	0.419	quusasho
despicable	0.146	0.710	0.255	la quudhsado
despise	0.167	0.745	0.296	quudhsan
despondent	0.133	0.378	0.221	niyad jabsan
despotic	0.141	0.824	0.592	niyad jab
despotism	0.255	0.696	0.620	niyad jab
dessert	0.755	0.491	0.404	macmacaan
destination	0.708	0.471	0.637	meesha loo socdo
destined	0.698	0.462	0.617	qaddaray
destiny	0.781	0.413	0.611	qaddar
destitute	0.130	0.451	0.222	caydhsan
destroy	0.046	0.935	0.635	dumin
destroyed	0.031	0.696	0.288	burburay
destroyer	0.083	0.830	0.543	dumiye
destroying	0.041	0.828	0.660	burburin
destruct	0.071	0.868	0.525	dumin
destruction	0.102	0.929	0.613	burburin
destructive	0.177	0.870	0.713	burburin
detach	0.357	0.625	0.450	ka bixid
detached	0.280	0.396	0.216	ka go'ay
detachment	0.243	0.700	0.443	goosansho
detail	0.514	0.406	0.528	tafatiran
detailed	0.603	0.314	0.472	faahfaahsan
details	0.583	0.367	0.481	faahfaahin
detain	0.351	0.345	0.430	xirid
detainee	0.306	0.510	0.321	maxbuus
detect	0.531	0.520	0.565	ogaan
detectable	0.479	0.539	0.649	la ogaan karo
detection	0.708	0.567	0.538	ogaanshaha
detective	0.500	0.764	0.901	dambi baadhe
detector	0.459	0.630	0.724	baaraha
detention	0.265	0.698	0.562	xidhidh
deter	0.344	0.537	0.567	celin
detergent	0.458	0.304	0.426	saabuunta
deteriorate	0.083	0.471	0.202	xumaan
deteriorated	0.053	0.549	0.237	xumaaday
deteriorating	0.104	0.459	0.112	sii xumaanaya
deterioration	0.130	0.512	0.283	xumaan
determinable	0.625	0.565	0.723	la go'aamin karo
determinate	0.630	0.314	0.772	go'aamin
determination	0.776	0.725	0.795	go'aan qaadasho
determine	0.612	0.368	0.776	go'aamin
determined	0.760	0.528	0.673	go'aamiyey
deterrent	0.292	0.461	0.385	celin
detest	0.083	0.800	0.492	nacayb
detestation	0.177	0.637	0.412	nacayb
detonate	0.375	0.850	0.696	qarxin
detonation	0.167	0.931	0.741	qarxin
detonator	0.207	0.875	0.750	qarxiye
detour	0.398	0.539	0.309	leexin
detract	0.344	0.438	0.368	wax u dhimid
detriment	0.281	0.538	0.263	waxyeelo
detrimental	0.203	0.679	0.387	waxyeello leh
detritus	0.276	0.353	0.363	detritus
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	deutschmark
devalued	0.321	0.462	0.212	qiimeeyay
devastate	0.021	0.796	0.509	baabba'
devastated	0.120	0.544	0.264	burburay
devastating	0.104	0.856	0.419	halaagsamo
devastation	0.090	0.904	0.472	burbur
develop	0.771	0.670	0.821	horumariyo
developer	0.844	0.653	0.864	horumariye
developing	0.833	0.587	0.714	horumarinta
development	0.827	0.500	0.796	horumarin
deviant	0.094	0.589	0.398	leexleexan
deviate	0.173	0.562	0.269	leexleexan
deviating	0.354	0.634	0.536	leexin
deviation	0.105	0.513	0.336	leexasho
device	0.562	0.404	0.627	qalab
devil	0.161	0.900	0.611	shaydaan
deviled	0.347	0.559	0.358	shaydaan
devilish	0.073	0.865	0.490	shaydaan
devious	0.250	0.519	0.259	dhagaraysan
devise	0.551	0.557	0.670	hindiso
devoid	0.219	0.436	0.300	madhan
devolution	0.345	0.434	0.425	xil wareejin
devolve	0.367	0.427	0.596	daadejin
devote	0.802	0.490	0.642	u huray
devoted	0.867	0.320	0.698	go'ay
devotee	0.816	0.461	0.577	cibaadaysi
devotion	0.802	0.561	0.673	cibaadada
devotional	0.740	0.394	0.655	cibaado
devour	0.344	0.888	0.574	cun
devout	0.620	0.357	0.464	cibaado leh
dew	0.604	0.225	0.464	dharab
dexter	0.458	0.473	0.444	dexter
dexterity	0.771	0.673	0.864	hawlkarnimo
dextrose	0.333	0.402	0.323	dextrose
diabetes	0.051	0.472	0.279	sonkorowga
diabetic	0.125	0.269	0.237	macaanka
diabolical	0.102	0.912	0.456	diabolical
diagnose	0.378	0.520	0.714	ogaanshaha
diagnosis	0.571	0.500	0.819	ogaanshaha
diagnostic	0.417	0.483	0.635	ogaanshaha
diagnostics	0.540	0.440	0.750	ogaanshaha
diagonal	0.500	0.343	0.410	geesal
diagram	0.562	0.357	0.445	jaantuska
dial	0.620	0.427	0.596	garaacid
dialect	0.635	0.422	0.526	lahjad
dialectic	0.510	0.540	0.638	lahjad
dialogue	0.599	0.441	0.625	wada hadal
dialysis	0.194	0.567	0.407	sifaynta
diameter	0.427	0.298	0.483	dhexroorka
diamond	0.910	0.606	0.769	dheeman
diamonds	0.927	0.684	0.917	dheeman
diaper	0.409	0.274	0.155	xafaayadda
diaphragm	0.459	0.337	0.517	diaphragm
diarrhea	0.092	0.684	0.143	shuban
diarrhoea	0.038	0.692	0.250	shuban
diary	0.698	0.292	0.464	xusuus qor
diatribe	0.354	0.569	0.409	ditribe
dib	0.479	0.370	0.344	dib
dibs	0.510	0.410	0.391	dibs
dice	0.458	0.441	0.264	laadhuu
dicey	0.290	0.833	0.727	dicey
dichotomous	0.365	0.452	0.538	kala duwanaansho leh
dichotomy	0.323	0.482	0.483	dichotomy
dick	0.208	0.500	0.462	diiq
dickhead	0.115	0.608	0.284	madaxa
dicks	0.310	0.694	0.358	dikisyo
dictate	0.480	0.423	0.668	tilmaamo
dictation	0.255	0.378	0.627	qaylo-dhaan
dictator	0.073	0.760	0.862	kaligii taliye
dictatorial	0.204	0.770	0.840	kalitalisnimo
dictatorship	0.082	0.806	0.784	kalitalisnimo
diction	0.439	0.373	0.679	qaamuuska
dictionary	0.620	0.250	0.598	qaamuus
dictum	0.385	0.510	0.528	dictum
didactic	0.645	0.480	0.673	hawlkarnimo
diddle	0.429	0.566	0.393	maroojin
die	0.031	0.765	0.259	dhiman
died	0.021	0.650	0.327	dhintay
diesel	0.490	0.327	0.448	naaftada
diet	0.429	0.235	0.398	cunto
dietary	0.551	0.220	0.261	cunto
differ	0.230	0.398	0.396	kala duwanaansho
difference	0.474	0.560	0.483	kala duwanaansho
differences	0.365	0.582	0.342	kala duwanaansho
different	0.612	0.394	0.473	kala duwan
differential	0.520	0.378	0.535	kala duwanaansho
differentiation	0.367	0.561	0.535	kala duwanaansho
differently	0.480	0.431	0.506	si ka duwan
differing	0.418	0.410	0.455	kala duwan
difficult	0.235	0.700	0.508	adag
difficulties	0.082	0.784	0.357	dhibaatooyin
difficulty	0.079	0.740	0.368	dhib
diffuse	0.430	0.431	0.321	faafin
diffusion	0.356	0.615	0.517	faafin
dig	0.367	0.585	0.637	qodid
digest	0.720	0.413	0.483	dheefshiido
digestion	0.531	0.410	0.455	dheefshiidka
digestive	0.542	0.413	0.434	dheefshiidka
digit	0.447	0.286	0.333	god
digital	0.740	0.382	0.529	digital
dignified	0.766	0.481	0.635	sharaf leh
dignify	0.854	0.588	0.735	sharaf leh
dignity	0.844	0.391	0.873	sharafta
digress	0.271	0.625	0.411	daadin
digs	0.448	0.670	0.635	qodaa
dike	0.360	0.384	0.490	dik
dilapidated	0.229	0.618	0.286	dilaacsan
dilatation	0.385	0.574	0.368	ballaarin
dilation	0.347	0.490	0.578	ballaarin
dildo	0.536	0.587	0.491	dildo
dilemma	0.153	0.590	0.430	laba daran mid dooro
diligence	0.688	0.423	0.700	dadaal
diligent	0.760	0.426	0.759	dadaal badan
dill	0.427	0.360	0.373	dill
diluent	0.417	0.344	0.332	qasnaansho
dilute	0.275	0.192	0.349	milo
diluted	0.469	0.310	0.229	milmay
dilution	0.445	0.337	0.352	qasid
dim	0.398	0.321	0.273	madow
dime	0.653	0.317	0.345	diime
dimension	0.592	0.415	0.627	cabbir
dimensional	0.561	0.484	0.596	cabbir ahaan
diminish	0.240	0.357	0.167	dhimin
diminished	0.156	0.269	0.196	yaraatay
diminution	0.316	0.296	0.245	dhimis
diminutive	0.323	0.200	0.109	dhimis
dimwit	0.255	0.459	0.175	dimwit
din	0.440	0.417	0.398	diin
dine	0.821	0.519	0.478	casho
diner	0.643	0.302	0.538	casho
dinghy	0.510	0.269	0.325	dinghy
dingo	0.608	0.472	0.346	dingo
dingy	0.156	0.483	0.343	digsi
dining	0.724	0.350	0.459	wax cunid
dinky	0.357	0.451	0.358	dinky
dinner	0.823	0.392	0.379	casho
dinnertime	0.796	0.406	0.341	wakhtiga cashada
dinosaur	0.448	0.630	0.596	dinosaur
dint	0.378	0.480	0.492	dhadhamin
diocesan	0.520	0.283	0.518	diocesan
diocese	0.510	0.288	0.575	kaniisadda
diorama	0.592	0.441	0.462	diorama
dioxide	0.354	0.433	0.456	dioxide
dip	0.516	0.583	0.397	quusin
diploma	0.750	0.462	0.731	dibloomada
diplomacy	0.740	0.396	0.774	dublamaasiyadda
diplomat	0.563	0.262	0.868	dublamaasi
diplomatic	0.653	0.363	0.918	dublamaasiyadeed
dipper	0.548	0.361	0.348	dharbaaxo
dippy	0.430	0.402	0.340	dabocase
dipstick	0.365	0.312	0.316	dibidhis
dire	0.214	0.660	0.259	daran
direct	0.793	0.403	0.650	toos ah
directed	0.542	0.490	0.541	la hago
direction	0.719	0.330	0.684	jihada
directive	0.604	0.530	0.918	dardaaran
directly	0.747	0.400	0.702	si toos ah
director	0.688	0.580	0.912	agaasime
directory	0.439	0.413	0.538	hagaha
dirt	0.112	0.500	0.236	wasakh
dirty	0.153	0.460	0.170	wasakh ah
disability	0.073	0.482	0.173	naafada
disable	0.115	0.430	0.269	hawl gab
disabled	0.308	0.443	0.235	naafo ah
disadvantage	0.150	0.377	0.282	khasaare
disaffected	0.176	0.410	0.291	dhibsan
disagree	0.133	0.590	0.345	khilaafsan
disagreeable	0.042	0.643	0.178	khilaafsan
disagreeing	0.255	0.643	0.350	khilaafsan
disagreement	0.104	0.618	0.236	khilaaf
disallow	0.156	0.519	0.424	diido
disallowed	0.135	0.500	0.328	la diiday
disapointment	0.104	0.418	0.231	niyad jab
disappear	0.143	0.441	0.350	baaba'a
disappearance	0.214	0.698	0.367	lumin
disappearing	0.167	0.427	0.379	lumaya
disappoint	0.150	0.633	0.288	niyad jab
disappointed	0.071	0.472	0.241	niyad jabay
disappointing	0.073	0.640	0.200	niyad jab
disappointment	0.115	0.490	0.336	Niyad Jab
disapproval	0.085	0.551	0.367	diidmo
disapprove	0.160	0.594	0.445	diidaan
disapproved	0.104	0.550	0.114	diiday
disapproving	0.245	0.625	0.452	diidmo
disarm	0.292	0.528	0.613	hub ka dhigis
disarray	0.198	0.657	0.223	jahawareer
disaster	0.082	0.892	0.433	masiibo
disastrous	0.071	0.741	0.439	masiibo
disband	0.302	0.491	0.417	kala dir
disbelief	0.188	0.409	0.373	gaalnimo
disbelieve	0.188	0.441	0.352	gaalnimo
disburse	0.418	0.473	0.353	bixin
disbursement	0.240	0.443	0.435	bixinta
disc	0.622	0.410	0.426	saxanka
discard	0.240	0.343	0.337	iska tuur
discarded	0.229	0.460	0.308	la tuuray
discards	0.240	0.464	0.391	tuuro
discern	0.459	0.566	0.518	garta
discernible	0.427	0.441	0.481	la garan karo
discerning	0.542	0.584	0.780	garasho leh
discernment	0.408	0.471	0.694	garasho
discharge	0.427	0.538	0.578	dheecaan
disciple	0.765	0.385	0.462	xer
disciplinary	0.562	0.593	0.796	edbin
discipline	0.615	0.471	0.806	edbinta
disciplined	0.728	0.450	0.750	edebsan
disclaim	0.235	0.509	0.321	diidmo
disclaimer	0.367	0.571	0.542	afeef
disclose	0.490	0.570	0.545	kashifi
disclosed	0.271	0.575	0.546	la shaaciyay
disclosure	0.500	0.615	0.710	muujin
disco	0.710	0.806	0.575	disco
discoloration	0.224	0.373	0.414	midab-doorasho
discolored	0.204	0.340	0.269	midab-doorsoomay
discomfort	0.153	0.719	0.272	raaxo la'aan
disconcerted	0.100	0.612	0.288	niyad jabay
disconcerting	0.106	0.549	0.269	niyad jab
disconnect	0.438	0.292	0.191	xidhidhsiinta
disconnected	0.292	0.276	0.173	go'ay
disconnection	0.167	0.283	0.277	goynta
disconnects	0.256	0.357	0.241	kala goysa
discontent	0.240	0.530	0.263	niyad jab
discontinuance	0.123	0.741	0.337	joojinta
discontinue	0.354	0.396	0.349	joojin
discontinuity	0.303	0.439	0.250	joojinta
discontinuous	0.233	0.409	0.316	joojinta
discord	0.115	0.882	0.465	khilaaf
discount	0.724	0.530	0.302	dhimis
discounted	0.677	0.471	0.430	la dhimay
discourage	0.184	0.443	0.267	niyad jabin
discouraged	0.220	0.304	0.090	niyad jabay
discouragement	0.112	0.319	0.206	niyad jab
discouraging	0.167	0.469	0.281	niyad jabin
discourse	0.410	0.550	0.803	hadal
discover	0.771	0.793	0.673	ogaan
discovery	0.823	0.627	0.814	daahfurid
discredit	0.075	0.529	0.355	sumcad dilid
discredited	0.112	0.491	0.182	kalsoonida lagala noqday
discreet	0.552	0.216	0.532	caqli leh
discrepancy	0.260	0.643	0.417	kala duwanaansho
discrete	0.585	0.231	0.429	gooni ah
discretion	0.552	0.320	0.685	caqli-gal
discretionary	0.520	0.365	0.446	caqli-gal
discriminate	0.125	0.761	0.366	takoorid
discriminating	0.160	0.783	0.462	takoorid
discrimination	0.051	0.724	0.379	takoorid
discus	0.542	0.423	0.343	dood
discuss	0.396	0.769	0.509	wada hadal
discussion	0.333	0.842	0.536	dood
disdain	0.153	0.446	0.441	quudhsi
disdainful	0.097	0.480	0.263	quudhsasho
disease	0.041	0.539	0.333	cudur
diseased	0.123	0.510	0.134	buka
disembodied	0.167	0.620	0.412	oo aan jidh lahayn
disengage	0.406	0.529	0.304	ka bixitaan
disengagement	0.327	0.373	0.395	kala bixid
disfigured	0.153	0.613	0.336	xumeeyey
disgrace	0.061	0.531	0.331	ceebayn
disgraced	0.071	0.661	0.250	ceebayn
disgraceful	0.082	0.702	0.240	ceeb
disgruntled	0.104	0.658	0.442	niyad jabsan
disguise	0.573	0.694	0.431	is qarin
disguised	0.500	0.615	0.326	qarsoomay
disgust	0.052	0.775	0.317	karaahiyo
disgusted	0.051	0.773	0.274	karaahiyo
disgusting	0.031	0.796	0.245	karaahiyo
dish	0.552	0.255	0.264	saxan
disheartened	0.153	0.343	0.238	niyad jabay
disheartening	0.010	0.353	0.224	niyad jab
dishonest	0.191	0.491	0.163	daacadnimo
dishonesty	0.094	0.592	0.348	daacadnimo
dishonor	0.104	0.620	0.185	sharaf dhac
dishonorable	0.112	0.641	0.280	sharaf darro
dishwasher	0.480	0.296	0.324	weel dhaqida
disillusionment	0.051	0.519	0.190	niyad jab
disinclination	0.125	0.491	0.330	niyad jabin
disincline	0.458	0.454	0.278	niyad jabin
disinclined	0.385	0.442	0.364	diidday
disinfect	0.448	0.388	0.648	jeermiska dila
disinfectant	0.531	0.429	0.460	jeermiska dila
disinfection	0.517	0.556	0.473	jeermis-dilid
disinformation	0.230	0.577	0.260	warbaxin
disingenuous	0.194	0.509	0.204	caqli-xumo
disintegrate	0.143	0.660	0.364	kala daadsanaan
disintegration	0.094	0.551	0.381	kala daadsanaan
disinterested	0.398	0.284	0.392	aan danaynayn
disjoint	0.351	0.385	0.322	kala qaybsanaansho
disjointed	0.323	0.518	0.365	kala go'ay
disjunctive	0.286	0.481	0.400	khilaafsan
disk	0.573	0.423	0.412	disk
diskette	0.531	0.255	0.391	diskette
dislike	0.156	0.406	0.321	necbahay
disliked	0.062	0.510	0.221	necbahay
disliking	0.163	0.637	0.366	neceb
dislocated	0.125	0.625	0.200	kala daadsan
dislocation	0.229	0.565	0.373	kala guurid
dislodge	0.214	0.769	0.356	daadid
disloyal	0.062	0.582	0.245	daacadnimo
disloyalty	0.187	0.716	0.267	daacadnimo
dismal	0.194	0.450	0.192	xumaan
dismantle	0.347	0.644	0.462	kala furfurid
dismay	0.314	0.681	0.459	naxdin
dismayed	0.165	0.735	0.389	naxsan
dismemberment	0.104	0.860	0.470	kala goyn
dismiss	0.167	0.541	0.509	iska eryid
dismissal	0.153	0.723	0.271	cayrin
dismissive	0.188	0.541	0.430	cayrsan
dismount	0.361	0.423	0.391	ka degid
disobedience	0.051	0.868	0.369	caasinimo
disobedient	0.276	0.706	0.353	caasiya
disobey	0.143	0.556	0.491	caasiyo
disorder	0.115	0.816	0.218	khalkhalka
disordered	0.210	0.714	0.288	khalkhalsan
disorderly	0.188	0.748	0.385	habacsanaan
disorganized	0.052	0.507	0.184	habaysan
disorientation	0.163	0.472	0.212	jahawareer
disoriented	0.227	0.643	0.227	jahawareeray
disown	0.153	0.637	0.368	la diido
disparage	0.092	0.663	0.336	ceebayn
disparaging	0.102	0.626	0.411	ceebayn
disparate	0.438	0.500	0.368	kala duwanaansho
disparity	0.208	0.482	0.361	kala duwanaansho
dispassionate	0.199	0.217	0.218	niyad jab
dispatch	0.317	0.417	0.555	dirid
dispatcher	0.365	0.704	0.652	diraya
dispel	0.388	0.402	0.411	kala dirid
dispensary	0.406	0.380	0.606	qaybiye
dispensation	0.388	0.462	0.490	qaybinta
dispense	0.561	0.520	0.518	bixin
dispenser	0.583	0.392	0.470	qaybiye
dispersal	0.388	0.507	0.421	kala firdhiyo
disperse	0.375	0.569	0.434	kala firdhiso
dispersed	0.344	0.490	0.274	kala firdhiyey
dispersion	0.270	0.604	0.350	kala firdhisanaan
dispirited	0.204	0.280	0.142	niyad jabsan
displace	0.424	0.541	0.454	barakicin
displaced	0.281	0.472	0.291	barakacay
displacement	0.276	0.531	0.481	barakac
displacency	0.500	0.528	0.642	barakac
display	0.677	0.325	0.400	bandhig
displease	0.021	0.702	0.286	cadho
displeased	0.135	0.690	0.400	xanaaqsan
displeasure	0.115	0.559	0.250	xanaaq
disposable	0.271	0.439	0.250	la tuuri karo
disposal	0.135	0.608	0.396	tuurid
dispose	0.548	0.538	0.559	tuurid
disposed	0.688	0.441	0.625	la tuuray
disposition	0.663	0.542	0.734	dabeecad
dispossessed	0.354	0.577	0.331	lagala wareegay
disprove	0.375	0.625	0.613	beenin
dispute	0.219	0.750	0.585	khilaaf
disqualification	0.066	0.677	0.330	u qalmida
disqualified	0.129	0.464	0.232	u qalmin
disqualify	0.208	0.595	0.267	u qalmin
disquieted	0.229	0.850	0.290	wareersan
disregard	0.177	0.647	0.308	iska daa
disregarded	0.260	0.458	0.283	la dafiray
disrelish	0.375	0.471	0.304	aan jeclayn
disreputable	0.104	0.688	0.353	sumcad xumo
disrepute	0.208	0.630	0.292	sumcad xumo
disrespect	0.062	0.637	0.302	ixtiraam darro
disrespectful	0.031	0.694	0.273	ixtiraam darro
disrupt	0.265	0.640	0.349	carqaladayn
disrupting	0.186	0.557	0.339	carqaladayn
disruption	0.235	0.735	0.436	carqaladayn
disruptive	0.255	0.755	0.575	carqaladayn
dissatisfaction	0.115	0.663	0.202	ku qanacsanayn
dissatisfied	0.042	0.561	0.291	ku qanacsanayn
dissect	0.367	0.750	0.595	kala furfurid
dissection	0.276	0.632	0.462	kala qaybsanaan
disseminate	0.562	0.608	0.750	faafin
dissemination	0.476	0.551	0.583	faafin
dissension	0.250	0.618	0.414	khilaaf
dissent	0.300	0.655	0.407	diidmo
dissenting	0.208	0.552	0.366	diidan
dissertation	0.312	0.575	0.575	qalinjabin
disservice	0.250	0.794	0.480	adeeg xumo
dissident	0.350	0.582	0.413	diidan
dissimilar	0.276	0.461	0.472	la mid ah
dissipate	0.385	0.368	0.355	kala firdhiso
dissipated	0.281	0.421	0.231	kala firdhiyey
dissociation	0.135	0.555	0.471	kala tag
dissociative	0.281	0.615	0.397	kala fogaansho
dissolution	0.204	0.464	0.349	kala dirid
dissolve	0.271	0.490	0.410	milmi
dissonance	0.173	0.471	0.336	khilaafid
dissuade	0.482	0.500	0.350	diidi
distal	0.410	0.401	0.438	fog
distance	0.233	0.317	0.418	fogaansho
distant	0.229	0.324	0.269	fogaan
distaste	0.184	0.625	0.370	nacayb
distasteful	0.264	0.676	0.222	karaahiyo
distillate	0.500	0.347	0.382	kala furfurid
distillation	0.396	0.436	0.575	nadiifinta
distilled	0.427	0.573	0.500	la miiray
distinct	0.542	0.578	0.509	kala duwan
distinction	0.584	0.571	0.750	kala saarid
distinctive	0.885	0.520	0.604	gaar ah
distinguish	0.675	0.471	0.600	kala saar
distinguishable	0.635	0.530	0.727	la kala saari karo
distinguished	0.823	0.593	0.759	kala soocan
distinguishing	0.622	0.363	0.640	kala saarid
distort	0.100	0.740	0.366	qalloocin
distorted	0.250	0.521	0.280	qalloocan
distortion	0.299	0.570	0.380	dhalanrog
distract	0.241	0.609	0.336	mashquulin
distracted	0.194	0.392	0.213	mashquulin
distracting	0.445	0.583	0.400	mashquuliya
distraction	0.402	0.557	0.390	mashquulin
distraught	0.115	0.903	0.264	wareersan
distress	0.073	0.840	0.396	cidhiidhi
distressed	0.143	0.771	0.324	murugaysan
distressing	0.075	0.750	0.375	murugo leh
distribute	0.643	0.596	0.709	qaybin
distribution	0.635	0.548	0.788	qaybinta
distributor	0.702	0.447	0.718	qaybiye
district	0.438	0.327	0.660	degmada
distrust	0.060	0.670	0.276	kalsooni darro
disturb	0.175	0.760	0.481	qas
disturbance	0.146	0.907	0.404	qas
disturbed	0.125	0.870	0.305	dhibsaday
disturbing	0.146	0.792	0.439	dhibsado
disuse	0.229	0.229	0.202	diidid
disused	0.250	0.302	0.186	la isticmaalo
ditch	0.357	0.364	0.322	godad
ditto	0.449	0.418	0.411	sida
ditty	0.470	0.433	0.334	ditty
diurnal	0.714	0.296	0.443	maalin walba
diva	0.660	0.657	0.596	diva
divan	0.750	0.202	0.262	divan
dive	0.583	0.531	0.500	quusin
diver	0.594	0.520	0.564	quusiye
diverge	0.375	0.657	0.520	kala duwanaansho
divergence	0.429	0.615	0.687	kala duwanaansho
divergent	0.449	0.660	0.587	kala duwan
diverging	0.417	0.613	0.573	kala duwanaansho
divers	0.583	0.580	0.602	quusayaal
diverse	0.562	0.519	0.604	kala duwan
diversified	0.602	0.538	0.549	kala duwan
diversify	0.656	0.588	0.464	kala duwanaansho
diversion	0.740	0.821	0.714	leexin
diversionary	0.551	0.587	0.300	leexin
diversity	0.806	0.472	0.711	kala duwanaansho
divert	0.344	0.622	0.407	leexin
diverting	0.396	0.571	0.537	leexin
divest	0.365	0.547	0.424	leexin
divested	0.333	0.449	0.311	leexday
divestment	0.302	0.509	0.382	leexin
divide	0.333	0.520	0.417	qaybi
divided	0.271	0.623	0.391	qaybsan
dividend	0.583	0.491	0.566	qaybsiga
divination	0.500	0.650	0.545	waxsheegid
divine	0.918	0.571	0.885	rabaani ah
divinity	0.896	0.559	0.774	ilaahnimada
divisible	0.323	0.462	0.411	la qaybsan karo
division	0.370	0.481	0.472	qaybsanaan
divisor	0.344	0.517	0.455	qaybiye
divorce	0.042	0.700	0.385	furriin
divorcee	0.153	0.610	0.481	la furay
divulge	0.531	0.718	0.467	faafin
divvy	0.351	0.462	0.429	kala qaybsanaan
dizziness	0.229	0.555	0.254	dawakhsanaan
dizzy	0.199	0.582	0.193	dawakhsan
do	0.670	0.548	0.536	samee
doable	0.760	0.404	0.675	la samayn karo
doc	0.458	0.317	0.392	doc
docile	0.604	0.259	0.264	docile
dock	0.490	0.409	0.481	deked
docked	0.281	0.754	0.398	ku xirtay
docket	0.505	0.509	0.607	warqad
docking	0.354	0.596	0.587	soo xirid
doctor	0.700	0.531	0.861	dhakhtar
doctorate	0.776	0.479	0.841	doctorate
doctrinal	0.510	0.373	0.673	caqiido
doctrine	0.500	0.394	0.769	caqiido
document	0.594	0.240	0.667	dukumeenti
documentary	0.622	0.213	0.596	documentary
documentation	0.719	0.290	0.667	dukumeenti
documents	0.530	0.250	0.587	dukumentiyada
dodge	0.333	0.760	0.509	ka leexin
dodger	0.427	0.454	0.490	dalool
dodging	0.396	0.654	0.382	gabbasho
dodgy	0.281	0.510	0.254	caajisnimo
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	samayn
doer	0.724	0.550	0.728	sameeya
dog	0.704	0.500	0.407	Eey
dogface	0.219	0.470	0.264	dogface
dogged	0.255	0.750	0.594	eey
doggy	0.646	0.491	0.404	doggy
doghouse	0.438	0.417	0.340	doghouse
dogma	0.530	0.460	0.719	dogma
dogmatic	0.448	0.520	0.654	rumayn
dogsick	0.571	0.490	0.377	doyga
doings	0.604	0.491	0.705	samayn
doit	0.500	0.519	0.392	doit
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	caajisnimo
dole	0.448	0.402	0.348	diyaar
doll	0.729	0.321	0.330	caruusada
dollar	0.755	0.632	0.694	dollar
dollhouse	0.643	0.245	0.363	guri caruusad
dolor	0.167	0.635	0.375	Doolar
dolphin	0.776	0.350	0.414	dolphin
domain	0.573	0.549	0.828	domain
dome	0.620	0.398	0.509	qubbad
domestic	0.729	0.327	0.500	gudaha
domesticated	0.635	0.360	0.294	guri-gurid
domestication	0.594	0.390	0.435	qoysnimo
domicile	0.604	0.292	0.529	guri
domiciled	0.542	0.340	0.516	degaan
dominance	0.542	0.775	0.839	xukun
dominant	0.406	0.854	0.893	awood badan
dominate	0.439	0.814	0.953	ka taliyaan
dominating	0.427	0.769	0.902	ka taliya
domination	0.505	0.786	0.959	xukun
dominatrix	0.390	0.727	0.709	Dominatrix
dominion	0.542	0.704	0.890	xukun
domino	0.594	0.510	0.473	domino
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	ku deeqo
donation	0.792	0.398	0.602	deeqid
donkey	0.406	0.367	0.245	dameer
donor	0.714	0.490	0.653	deeq bixiye
dontlikeyou	0.055	0.500	0.282	ku jeclayn
dontmess	0.396	0.482	0.440	niyad jab
dontmesswithme	0.312	0.635	0.440	ha iga helin
dontpanic	0.469	0.465	0.425	ha cabsanin
dontunderstand	0.219	0.357	0.271	ma fahmin
doodle	0.604	0.402	0.376	doodle
