English Word	Valence	Arousal	Dominance	Hindi Word
concessional	0.770	0.493	0.657	रिआयती
conch	0.583	0.306	0.339	शंख
concierge	0.480	0.343	0.343	द्वारपाल
conciliation	0.792	0.475	0.726	समझौता
concise	0.583	0.298	0.620	संक्षिप्त
conclave	0.573	0.440	0.611	निर्वाचिका सभा
conclude	0.530	0.267	0.679	निष्कर्ष निकालना
concluding	0.531	0.382	0.603	समापन
conclusion	0.615	0.377	0.659	निष्कर्ष
conclusive	0.500	0.427	0.745	निर्णयात्मक
concoction	0.448	0.459	0.417	मनगढ़ंत
concomitant	0.427	0.482	0.727	सहगामी
concord	0.677	0.320	0.586	सामंजस्य
concordance	0.625	0.358	0.608	क़बूल
concours	0.500	0.530	0.495	सहमति
concourse	0.740	0.657	0.528	भीड़
concrete	0.633	0.420	0.547	ठोस
concubine	0.388	0.594	0.476	उपस्री
concur	0.459	0.394	0.429	सहमत होना
concurrence	0.764	0.627	0.613	सन्निपतन
concurrent	0.573	0.547	0.741	समवर्ती
concurring	0.573	0.600	0.681	समवर्ती
concussion	0.072	0.708	0.482	हिलाना
condemn	0.102	0.793	0.625	निंदा करना
condemnation	0.133	0.725	0.449	निंदा
condensation	0.510	0.316	0.538	वाष्पीकरण
condensed	0.598	0.415	0.623	सघन
condescending	0.583	0.363	0.593	कृपालु
condescension	0.521	0.377	0.565	रिआयत
condiment	0.520	0.333	0.433	मसाला
condition	0.500	0.469	0.519	स्थि‍ति
conditional	0.521	0.343	0.556	सशर्त
conditionally	0.396	0.419	0.617	सशर्त
conditioned	0.490	0.417	0.616	वातानुकूलित
conditioner	0.781	0.360	0.538	कंडीशनर
conditioning	0.440	0.468	0.617	कंडीशनिंग
conditions	0.551	0.441	0.593	स्थितियाँ
condo	0.439	0.288	0.607	कोंडो
condolence	0.260	0.443	0.404	शोक
condolences	0.198	0.480	0.288	शोक
condom	0.406	0.637	0.500	कंडोम
condone	0.571	0.441	0.619	माफ करना
condor	0.573	0.388	0.519	कंडर
conducive	0.775	0.479	0.679	अनुकूल
conduct	0.453	0.510	0.750	आचरण
conduction	0.530	0.557	0.717	प्रवाहकत्त्व
conductivity	0.583	0.575	0.642	प्रवाहकत्त्व
conductor	0.677	0.663	0.621	कंडक्टर
conduit	0.470	0.302	0.413	पाइपलाइन
cone	0.417	0.208	0.343	शंकु
confederacy	0.590	0.541	0.736	कंफेडेरसी
confederate	0.551	0.546	0.792	संघि करना
confederation	0.663	0.404	0.830	कंफेडेरशन
confer	0.573	0.482	0.583	प्रदान करना
conference	0.688	0.615	0.606	सम्मेलन
confess	0.360	0.712	0.431	अपराध स्वीकार करना
confession	0.469	0.642	0.460	स्वीकारोक्ति
confessional	0.458	0.392	0.629	कंफ़ेसियनल
confessions	0.325	0.538	0.658	बयान
confetti	0.781	0.573	0.250	कंफ़ेद्दी
confidant	0.837	0.633	0.631	विश्वासपात्र
confide	0.669	0.472	0.595	विश्वास
confidence	0.959	0.276	0.943	आत्मविश्वास
confident	0.765	0.324	0.723	आत्मविश्वासी
confidential	0.643	0.471	0.761	गुप्त
confidentiality	0.667	0.431	0.718	गोपनीयता
confidentially	0.633	0.469	0.558	अत्यंत गुप्त में
configuration	0.540	0.443	0.591	विन्यास
confine	0.327	0.551	0.538	सीमित
confined	0.286	0.472	0.444	बंद
confinement	0.333	0.656	0.520	कारावास
confines	0.396	0.386	0.542	किनारा
confirm	0.802	0.439	0.806	पुष्टि करें
confirmation	0.812	0.480	0.692	पुष्टीकरण
confirmatory	0.656	0.500	0.683	सबूत
confirmed	0.760	0.490	0.764	की पुष्टि की
confiscate	0.250	0.625	0.482	ज़ब्त करना
confiscation	0.208	0.706	0.586	जब्ती
conflagration	0.344	0.721	0.594	आग
conflict	0.335	0.906	0.471	टकराव
conflicting	0.173	0.738	0.553	विरोधी
confluence	0.677	0.598	0.565	संगम हे
conform	0.479	0.380	0.375	अनुरूप
conformance	0.608	0.278	0.254	अनुरूपता
conformation	0.622	0.435	0.711	रचना
conformity	0.645	0.363	0.579	अनुपालन
confound	0.347	0.529	0.333	उलझाना
confounded	0.333	0.528	0.264	चकित
confront	0.281	0.760	0.746	सामना होना
confrontation	0.177	0.870	0.658	आमना-सामना
confuse	0.100	0.580	0.270	भ्रमित
confused	0.220	0.650	0.179	अस्पष्ट
confusing	0.229	0.690	0.222	भ्रामक
confusion	0.255	0.667	0.277	उलझन
conga	0.469	0.529	0.440	कांगा
congenial	0.820	0.412	0.620	अनुकूल
congenital	0.448	0.434	0.427	जन्मजात
congestion	0.271	0.654	0.491	भीड़
conglomerate	0.500	0.500	0.838	संगुटिका
conglomeration	0.541	0.720	0.670	समूह
congrats	0.930	0.726	0.775	बधाई
congratulate	0.927	0.724	0.784	बधाई
congratulation	0.948	0.780	0.717	बधाई
congratulations	0.960	0.755	0.719	बधाई हो
congratulatory	0.959	0.616	0.689	बधाई का
congregate	0.653	0.530	0.733	एकत्र
congregation	0.561	0.490	0.700	मंडली
congress	0.449	0.444	0.857	कांग्रेस
congressional	0.552	0.491	0.848	कांग्रेस
congressman	0.438	0.471	0.877	कांग्रेसी
congruence	0.656	0.472	0.577	अनुरूपता
conic	0.510	0.368	0.379	शंकुधर
conical	0.490	0.422	0.471	चोटीदार
conjecture	0.396	0.398	0.534	अनुमान
conjugal	0.698	0.510	0.688	वैवाहिक
conjugate	0.583	0.420	0.467	संयुग्म
conjugation	0.479	0.429	0.582	विकार
conjunction	0.520	0.472	0.509	संयोजक
conjunctive	0.487	0.444	0.639	मेल करनेवाला
conjure	0.385	0.679	0.645	जादू
conjuring	0.224	0.653	0.694	जादूई
conk	0.340	0.469	0.404	नाक
connect	0.724	0.299	0.536	जुडिये
connected	0.816	0.550	0.612	जुड़े हुए
connection	0.729	0.560	0.655	संबंध
connective	0.719	0.491	0.764	संयोजी
connoisseur	0.760	0.461	0.769	विशेषज्ञ
conquer	0.694	0.873	0.971	जीत
conquering	0.760	0.873	0.936	विजेता
conqueror	0.604	0.809	0.930	विजेता
conquest	0.710	0.702	0.833	जीत
conscience	0.663	0.375	0.721	अंतरात्मा की आवाज
conscientious	0.688	0.404	0.688	ईमानदार
conscious	0.740	0.333	0.705	सचेत
consciousness	0.840	0.483	0.755	चेतना
conscription	0.396	0.775	0.642	भरती
consecrated	0.663	0.500	0.800	पवित्रा
consecration	0.771	0.418	0.804	अभिषेक
consecutive	0.663	0.418	0.643	लगातार
consensual	0.663	0.417	0.655	सह संवेदी
consensus	0.627	0.358	0.625	आम सहमति
consent	0.750	0.500	0.620	अनुमति
consenting	0.727	0.406	0.693	सहमति दे
consequence	0.240	0.721	0.593	परिणाम
consequent	0.663	0.471	0.625	फलस्वरूप
conservation	0.832	0.401	0.606	संरक्षण
conservatism	0.406	0.369	0.633	रूढ़िवाद
conservative	0.615	0.316	0.788	अपरिवर्तनवादी
conservatory	0.635	0.240	0.729	संरक्षिका
conserve	0.690	0.347	0.573	संरक्षण
consider	0.677	0.368	0.579	विचार करना
considerable	0.653	0.314	0.683	विचारणीय
considerate	0.781	0.380	0.633	विचारशील
consideration	0.589	0.380	0.687	सोच-विचार
consignee	0.635	0.385	0.602	परेषिती
consignment	0.490	0.440	0.500	प्रेषण
consist	0.823	0.386	0.580	निहित होना
consistency	0.714	0.500	0.887	संगतता
consistent	0.786	0.431	0.726	लगातार
consolation	0.408	0.250	0.304	सांत्वना
console	0.625	0.398	0.415	सांत्वना देना
consoled	0.700	0.343	0.452	सांत्वना दी
consolidate	0.880	0.440	0.870	मजबूत
consolidated	0.700	0.366	0.784	समेकित
consolidation	0.604	0.445	0.776	समेकन
consonant	0.500	0.347	0.417	व्यंजन
consort	0.632	0.509	0.630	बातचीत करना
conspicuous	0.479	0.520	0.596	विशिष्ट
conspiracy	0.125	0.787	0.652	षड़यंत्र
conspirator	0.271	0.786	0.707	षड्यंत्रकारी
conspire	0.206	0.740	0.520	मिल जाना
constable	0.573	0.667	0.764	सिपाही
constancy	0.786	0.443	0.763	भक्ति
constant	0.740	0.296	0.686	लगातार
constantly	0.663	0.561	0.700	लगातार
constellation	0.719	0.533	0.775	तारामंडल
consternation	0.167	0.680	0.469	आतंक
constipation	0.079	0.612	0.231	कब्ज
constituency	0.500	0.480	0.696	चुनाव क्षेत्र
constituent	0.573	0.500	0.827	घटक
constituents	0.573	0.414	0.833	संघटक
constitute	0.812	0.349	0.906	गठित करना
constitution	0.590	0.380	0.889	संविधान
constitutional	0.633	0.418	0.827	संवैधानिक
constitutionality	0.612	0.439	0.853	संवैधानिकता
constrain	0.261	0.500	0.500	विवश
constrained	0.135	0.537	0.357	विवश
constraint	0.323	0.550	0.481	बाधा
construct	0.750	0.648	0.792	निर्माण
construction	0.848	0.612	0.759	निर्माण
constructive	0.860	0.570	0.812	रचनात्मक
construe	0.602	0.519	0.553	टीका करना
consul	0.573	0.354	0.688	कौंसल
consulate	0.561	0.453	0.694	वाणिज्य दूतावास
consult	0.755	0.370	0.441	परामर्श
consultant	0.770	0.344	0.808	सलाहकार
consultation	0.660	0.463	0.625	परामर्श
consume	0.427	0.620	0.509	उपभोग करना
consumer	0.507	0.551	0.677	उपभोक्ता
consuming	0.573	0.541	0.536	उपभोक्ता
consummate	0.551	0.540	0.558	समाप्त
consummation	0.583	0.676	0.661	समाप्ति
consumption	0.390	0.531	0.538	उपभोग
contact	0.719	0.424	0.526	संपर्क Ajay करें
contagion	0.208	0.630	0.535	छूत
contagious	0.184	0.725	0.400	संक्रामक
contain	0.542	0.490	0.658	शामिल होना
container	0.551	0.396	0.561	पात्र
containment	0.411	0.491	0.618	रोकथाम
contaminate	0.140	0.611	0.426	दूषित
contaminated	0.040	0.500	0.368	दूषित
contamination	0.125	0.610	0.375	दूषण
contemplate	0.740	0.347	0.642	मनन
contemplation	0.552	0.324	0.627	चिंतन
contemplative	0.729	0.308	0.739	ध्येय
contemporaneous	0.640	0.373	0.591	समसामयिक
contemporary	0.720	0.365	0.569	समकालीन
contempt	0.206	0.635	0.396	अवमानना
contemptible	0.146	0.657	0.471	घिनौना
contemptuous	0.204	0.500	0.375	तिरस्कारपूर्ण
contend	0.510	0.657	0.731	संघर्ष करना
contender	0.480	0.790	0.681	प्रतियोगी
contending	0.490	0.698	0.716	विवाद
content	0.764	0.296	0.559	विषय
contented	0.857	0.612	0.746	संतुष्ट
contention	0.375	0.510	0.738	विवाद
contentious	0.422	0.573	0.637	विवादास्पद
contentment	0.875	0.610	0.782	संतोष
contents	0.656	0.375	0.550	अंतर्वस्तु
contest	0.667	0.698	0.717	प्रतियोगिता
contestant	0.760	0.530	0.602	प्रतियोगी
context	0.531	0.300	0.553	संदर्भ
contiguous	0.375	0.450	0.500	मिला हुआ
continence	0.450	0.396	0.469	संयम
continent	0.551	0.373	0.833	महाद्वीप
continental	0.486	0.350	0.755	CONTINENTAL
contingency	0.396	0.500	0.670	आकस्मिकता
contingent	0.470	0.531	0.659	आकस्मिक
continual	0.500	0.423	0.685	निरंतर
continually	0.646	0.438	0.698	लगातार
continuance	0.729	0.510	0.652	रहना
continuation	0.615	0.470	0.566	विस्तार
continue	0.630	0.427	0.612	जारी रखें
continued	0.635	0.440	0.500	निरंतर
continuing	0.667	0.500	0.520	जारी
continuity	0.781	0.439	0.684	निरंतरता
continuous	0.625	0.509	0.580	निरंतर
continuously	0.719	0.417	0.702	लगातार
continuum	0.677	0.390	0.491	सातत्य
contour	0.589	0.265	0.414	समोच्च
contraband	0.177	0.875	0.670	वर्जित
contraception	0.296	0.518	0.525	गर्भनिरोधक
contract	0.594	0.412	0.636	अनुबंध
contracted	0.344	0.557	0.449	संकुचित
contractile	0.480	0.586	0.569	सिकुड़ा हुआ
contracting	0.594	0.490	0.769	करार
contraction	0.292	0.755	0.603	सिकुड़न
contractor	0.592	0.479	0.727	ठेकेदार
contradict	0.160	0.598	0.482	खंडन
contradiction	0.250	0.660	0.377	अंतर्विरोध
contradictory	0.365	0.651	0.421	असंगत
contraption	0.448	0.590	0.491	कोंटरापशन
contrary	0.327	0.449	0.338	विरोध
contrast	0.480	0.406	0.520	अंतर
contrasted	0.521	0.538	0.491	विषम
contravene	0.357	0.618	0.472	अवहेलना करना
contravention	0.344	0.627	0.593	उल्लंघन
contribute	0.806	0.350	0.795	योगदान देना
contribution	0.854	0.452	0.760	योगदान
contributor	0.844	0.510	0.760	योगदान देने वाला
contrite	0.347	0.363	0.473	पछताया हुआ
contrition	0.347	0.583	0.463	पछतावा
contrived	0.408	0.530	0.458	काल्पनिक
control	0.729	0.352	0.808	नियंत्रण
controller	0.469	0.712	0.868	नियंत्रक
controlling	0.490	0.441	0.885	को नियंत्रित करने
controversial	0.271	0.858	0.538	विवादित
controversy	0.250	0.819	0.600	विवाद
contusion	0.167	0.565	0.509	नील
conundrum	0.354	0.524	0.408	पहेली
convalescent	0.458	0.480	0.269	अच्छा हो जानेवाला
convection	0.521	0.494	0.526	कंवेक्शन
convene	0.583	0.676	0.636	बुलाना
convenience	0.781	0.448	0.613	सुविधा
conveniences	0.802	0.412	0.693	उपयुक्तता
convenient	0.846	0.491	0.574	सुविधाजनक
convent	0.480	0.217	0.594	मठ
convention	0.622	0.622	0.704	सम्मेलन
conventional	0.594	0.292	0.634	पारंपरिक
converge	0.635	0.471	0.539	एकाग्र
convergence	0.551	0.491	0.625	अभिसरण
convergent	0.781	0.490	0.696	संमिलित
conversant	0.724	0.360	0.542	दक्ष
conversation	0.750	0.510	0.609	बातचीत
conversational	0.719	0.431	0.596	संवादी
conversationalist	0.719	0.467	0.667	बातूनी
converse	0.594	0.406	0.598	उलटा
conversing	0.755	0.409	0.442	बातचीत
conversion	0.480	0.605	0.736	परिवर्तन
convert	0.551	0.538	0.704	बदलना
converted	0.663	0.418	0.686	परिवर्तित
convertible	0.542	0.529	0.717	परिवर्तनीय
convex	0.438	0.427	0.445	उत्तल
convexity	0.449	0.354	0.484	उत्तलता
convey	0.719	0.633	0.708	बताना
conveyance	0.615	0.520	0.455	वाहन
conveyancing	0.375	0.479	0.663	conveyancing
convict	0.177	0.840	0.477	मिद्धदोष अपराधी
conviction	0.615	0.704	0.826	दोषसिद्धि
convince	0.708	0.539	0.763	मनवाना
convinced	0.750	0.500	0.630	राज़ी
convincing	0.760	0.527	0.900	ठोस
convocation	0.538	0.611	0.663	दीक्षांत समारोह
convoluted	0.323	0.614	0.433	जटिल
convolution	0.417	0.559	0.527	घुमाव
convoy	0.500	0.671	0.639	काफिले
coo	0.490	0.439	0.500	कूजना
cook	0.847	0.500	0.412	रसोइया
cookbook	0.602	0.346	0.398	रसोई की किताब
cooker	0.592	0.373	0.407	कुकर
cookery	0.633	0.368	0.345	रसोई का काम
cookie	0.792	0.306	0.250	कुकी
cookies	0.823	0.451	0.316	कुकीज़
cooking	0.694	0.510	0.434	खाना बनाना
cookout	0.680	0.406	0.482	खाना बनाना
cool	0.885	0.540	0.781	ठंडा
coolant	0.720	0.412	0.456	शीतलक
cooler	0.664	0.375	0.460	शीतक
cooling	0.469	0.324	0.392	ठंडा
coolness	0.490	0.307	0.548	ठंडक
coon	0.490	0.460	0.400	कून
coop	0.612	0.445	0.650	सहकारी
cooperate	0.898	0.451	0.582	सहयोग
cooperating	0.760	0.390	0.693	सहयोग
cooperation	0.847	0.473	0.686	सहयोग
cooperative	0.816	0.461	0.670	सहयोगी
coordinate	0.698	0.429	0.694	समन्वय
coordination	0.677	0.454	0.789	समन्वय
coordinator	0.750	0.510	0.850	समन्वयक
cop	0.327	0.770	0.836	पुलिस
copacetic	0.510	0.471	0.453	Copacetic
cope	0.592	0.647	0.709	सामना करना
copier	0.459	0.345	0.390	कापियर
copilot	0.640	0.538	0.573	सह पायलट
coping	0.562	0.630	0.613	मुकाबला
copious	0.427	0.462	0.527	प्रचुर
copper	0.580	0.260	0.500	ताँबा
copter	0.571	0.704	0.569	हैलीकाप्टर
copy	0.460	0.240	0.263	प्रतिलिपि
copycat	0.449	0.580	0.443	नकल
copying	0.448	0.315	0.404	नकल
copyright	0.458	0.402	0.663	कॉपीराइट
coral	0.802	0.231	0.425	मूंगा
coral snake	0.276	0.712	0.607	कोरल स्नेक
cord	0.388	0.378	0.358	रस्सी
cordial	0.823	0.312	0.482	हार्दिक
cordless	0.667	0.441	0.528	ताररहित
cordon	0.469	0.317	0.380	घेरा
corduroy	0.570	0.324	0.357	कॉरडरॉय
core	0.721	0.378	0.540	सार
cork	0.347	0.250	0.281	कॉर्क
corkscrew	0.427	0.443	0.445	पेंचकश
corn	0.594	0.196	0.292	मक्का
cornball	0.479	0.378	0.325	कॉर्नबॉल
cornbread	0.643	0.304	0.302	मकई की रोटी
cornea	0.521	0.346	0.443	कॉर्निया
corned	0.459	0.441	0.425	कोर्नेड
corner	0.400	0.296	0.366	कोना
cornerstone	0.550	0.388	0.596	आधारशिला
cornet	0.507	0.520	0.415	कॉर्नेट
cornfield	0.719	0.310	0.349	कॉर्नफील्ड
cornflakes	0.729	0.346	0.355	मक्कई के भुने हुए फुले
cornice	0.458	0.441	0.295	कंगनी
cornstarch	0.643	0.299	0.337	कॉर्नस्टार्च
corny	0.448	0.370	0.221	सुनने में अजीब
corollary	0.458	0.469	0.366	परिणाम
corona	0.818	0.439	0.745	कोरोना
coronary	0.567	0.613	0.509	कोरोनरी
coronation	0.792	0.592	0.836	राज तिलक करना
coroner	0.323	0.558	0.526	कोरोनर
corporal	0.582	0.490	0.596	दैहिक
corporate	0.592	0.454	0.745	निगमित
corporation	0.429	0.332	0.873	निगम
corporeal	0.520	0.350	0.461	मूर्त
corps	0.551	0.453	0.483	कोर
corpse	0.094	0.657	0.232	लाश
corpsman	0.439	0.469	0.651	कोर्प्समैन
corpus	0.543	0.340	0.490	कोष
corral	0.606	0.662	0.422	बाड़ा
correct	0.857	0.306	0.723	सही
correction	0.448	0.485	0.558	सुधार
correctional	0.292	0.713	0.602	सुधारात्मक
corrective	0.448	0.528	0.613	सुधारात्मक
correctness	0.796	0.450	0.649	यथार्थता
correlation	0.596	0.462	0.571	सह - संबंध
correlative	0.510	0.402	0.571	correlative
correspond	0.710	0.452	0.545	अनुरूप
correspondence	0.663	0.423	0.491	पत्र-व्यवहार
correspondent	0.573	0.565	0.712	संवाददाता
corresponding	0.740	0.423	0.618	तदनुसार
corridor	0.604	0.589	0.592	गलियारे
corroborate	0.671	0.471	0.616	मंडित कतना
corroboration	0.625	0.431	0.733	मंडन
corrosion	0.156	0.610	0.348	जंग
corrosive	0.140	0.618	0.570	संक्षारक
corrupt	0.020	0.806	0.500	भ्रष्ट
corrupting	0.062	0.804	0.380	भ्रष्ट
corruption	0.052	0.830	0.549	भ्रष्टाचार
corsage	0.510	0.294	0.397	कंचुकी
corse	0.448	0.451	0.382	कोर्स
corset	0.490	0.520	0.381	चोली
cortex	0.594	0.439	0.529	प्रांतस्था
cortical	0.380	0.423	0.536	कॉर्टिकल
cortisone	0.427	0.395	0.456	कोर्टिसोन
corvette	0.551	0.520	0.598	कौर्वेट
cosmetic	0.625	0.304	0.308	अंगराग
cosmetics	0.765	0.464	0.472	प्रसाधन सामग्री
cosmic	0.663	0.538	0.692	ब्रह्मांडीय
cosmology	0.651	0.438	0.637	ब्रह्माण्ड विज्ञान
cosmopolitan	0.823	0.510	0.760	कॉस्मोपॉलिटन
cosmos	0.860	0.478	0.664	ब्रह्मांड
cost	0.365	0.420	0.439	लागत
costly	0.316	0.650	0.642	महंगा
costume	0.548	0.510	0.374	पोशाक
cosy	0.847	0.255	0.518	आरामदेह
cot	0.625	0.230	0.278	खाट
cote	0.439	0.344	0.324	कोटे
cottage	0.600	0.279	0.361	झोपड़ी
cotton	0.639	0.071	0.240	कपास
couch	0.594	0.082	0.198	सोफ़ा
cougar	0.438	0.588	0.538	कौगर
cough	0.255	0.627	0.241	खाँसी
council	0.875	0.279	0.635	परिषद
councilman	0.531	0.367	0.793	Councilman
counsel	0.594	0.519	0.730	सलाह
counseling	0.667	0.480	0.704	काउंसिलिंग
counsellor	0.823	0.327	0.740	काउंसलर
counselor	0.873	0.365	0.706	काउंसलर
count	0.594	0.389	0.492	गिनती करना
countdown	0.438	0.692	0.490	उलटी गिनती
countenance	0.635	0.440	0.690	मुखाकृति
counter	0.439	0.478	0.750	विरोध करना
counteract	0.378	0.542	0.688	प्रतिक्रिया
counterattack	0.281	0.951	0.764	जवाबी हमला
counterbalance	0.520	0.480	0.627	प्रतिभार
counterclaim	0.398	0.760	0.651	काउंटर
counterfeit	0.094	0.694	0.451	नक़ली
counterpart	0.448	0.608	0.577	समकक्ष
counterpoint	0.438	0.509	0.538	सुर
countess	0.562	0.440	0.670	काउंटेस
countless	0.520	0.566	0.534	अनगिनत
country	0.698	0.394	0.693	देश
countryman	0.673	0.441	0.789	देशवासी
countrymusic	0.795	0.451	0.438	लोक गायक
countryside	0.732	0.288	0.327	ग्रामीण क्षेत्र
counts	0.343	0.373	0.500	गिनता
county	0.479	0.368	0.545	काउंटी
coup	0.275	0.815	0.607	तख्तापलट
coupe	0.479	0.460	0.482	कूप
couple	0.806	0.605	0.607	जोड़ा
coupled	0.612	0.286	0.650	युग्मित
coupling	0.594	0.479	0.555	युग्मन
coupon	0.704	0.300	0.421	कूपन
courage	0.830	0.728	0.849	साहस
courageous	0.918	0.587	0.879	साहसिक
courier	0.551	0.383	0.441	संदेशवाहक
courses	0.735	0.412	0.534	पाठ्यक्रम
coursing	0.542	0.472	0.546	दौड़
court	0.479	0.769	0.827	कोर्ट
courteous	0.937	0.396	0.529	विनम्र
courtesy	0.927	0.287	0.431	शिष्टाचार
courthouse	0.571	0.503	0.818	अदालत
courtroom	0.385	0.670	0.887	अदालत
courts	0.367	0.710	0.816	न्यायालयों
courtship	0.667	0.490	0.654	प्रेमालाप
courtside	0.592	0.391	0.434	courtside
courtyard	0.503	0.365	0.355	आंगन
cousin	0.675	0.394	0.427	चचेरा भाई
cousins	0.760	0.409	0.464	चचेरे भाई बहिन
cove	0.500	0.304	0.370	कोव
coven	0.458	0.578	0.591	कबीला
covenant	0.594	0.462	0.667	नियम
cover	0.365	0.240	0.471	ढकना
coverage	0.767	0.413	0.629	कवरेज
covered	0.562	0.340	0.644	ढका हुआ
covering	0.615	0.382	0.583	कवर
covert	0.500	0.570	0.508	प्रच्छन्न
covet	0.302	0.779	0.524	लालच
coveted	0.661	0.730	0.625	प्रतिष्ठित
cow	0.449	0.230	0.300	गाय
coward	0.102	0.490	0.149	कायर
cowardice	0.133	0.621	0.167	कायरता
cowardly	0.102	0.385	0.127	राड़
cowboy	0.594	0.625	0.695	चरवाहे
cowgirl	0.541	0.566	0.554	काउगर्ल
cowhand	0.438	0.480	0.596	गोहंड
cowhide	0.458	0.324	0.333	चमड़े की पहली परत
cowl	0.427	0.450	0.232	काउल
coworker	0.667	0.490	0.625	साथ काम करने वाला
coy	0.347	0.330	0.213	विनीत
coyote	0.459	0.471	0.387	कोयोट
cozy	0.910	0.356	0.545	आरामदेह
crab	0.421	0.396	0.330	केकड़ा
crabby	0.198	0.812	0.370	चिड़चिड़ा
crack	0.302	0.625	0.400	दरार
cracked	0.224	0.520	0.228	फटा
cracker	0.604	0.343	0.346	पटाखा
crackerjack	0.567	0.509	0.426	पटाखा
cracking	0.327	0.557	0.286	खुर
crackle	0.327	0.643	0.481	crackle
crackpot	0.260	0.602	0.245	बेवकूफ
cradle	0.776	0.194	0.333	पालना
craft	0.760	0.321	0.539	शिल्प
crafts	0.667	0.380	0.391	शिल्प
craftsman	0.719	0.310	0.583	शिल्पी
craftsmanship	0.823	0.373	0.571	शिल्प कौशल
crafty	0.589	0.679	0.783	चालाक
craig	0.448	0.449	0.490	क्रेग
cram	0.354	0.730	0.598	रत्ता मार
crammed	0.406	0.740	0.466	तंग
cramp	0.194	0.796	0.340	ऐंठन
cramped	0.240	0.567	0.360	तंग
cranberry	0.793	0.330	0.363	क्रैनबेरी
cranberry juice	0.622	0.321	0.281	लाल रंग की खट्टी बेरी का रस
crane	0.396	0.417	0.589	क्रेन
cranial	0.354	0.510	0.583	कपाल
cranium	0.439	0.491	0.725	कपाल
crank	0.448	0.275	0.417	सनकी
cranky	0.194	0.776	0.396	सठिया
cranny	0.194	0.471	0.250	छेद
crap	0.083	0.644	0.167	बकवास
crappy	0.039	0.582	0.208	गंदे
craps	0.375	0.420	0.273	क्रेप्स
crash	0.194	0.906	0.355	टकरा जाना
crass	0.223	0.490	0.466	मूर्ख
crate	0.427	0.173	0.274	टोकरा
crater	0.450	0.647	0.529	गड्ढा
crave	0.625	0.510	0.731	तरसना
craving	0.510	0.755	0.636	तीव्र इच्छा
crawfish	0.510	0.427	0.342	रेंगफिश
crawl	0.479	0.519	0.467	घुटनों के बल चलना
crayon	0.604	0.260	0.185	चित्रांकनी
crayons	0.684	0.366	0.405	क्रेयॉन
craze	0.255	0.657	0.435	सनक
crazed	0.153	0.877	0.417	पागल
craziness	0.238	0.908	0.255	सिड़
crazy	0.156	0.843	0.321	पागल
creak	0.344	0.670	0.411	चरमराहट
creaking	0.302	0.743	0.415	चरमराती
cream	0.688	0.259	0.220	मलाई
creamed	0.723	0.273	0.288	क्रीमयुक्त
creamer	0.594	0.192	0.269	क्रीमर
creamy	0.823	0.337	0.345	मलाईदार
crease	0.440	0.286	0.300	शिकन
create	0.786	0.588	0.789	सृजन करना
creation	0.927	0.575	0.868	निर्माण
creative	0.917	0.518	0.788	रचनात्मक
creativity	0.938	0.684	0.815	रचनात्मकता
creator	0.865	0.592	0.856	रचनाकार
creature	0.669	0.625	0.620	जंतु
credence	0.760	0.460	0.737	प्रत्यय
credential	0.735	0.337	0.597	क्रेडेंशियल
credentials	0.708	0.373	0.675	साख
credibility	0.875	0.427	0.809	साख
credible	0.917	0.441	0.750	विश्वसनीय
credit	0.673	0.549	0.648	श्रेय
credit card	0.670	0.550	0.640	क्रेडिट कार्ड
creditable	0.802	0.510	0.742	श्रेयस्कर
credited	0.781	0.390	0.691	आकलित
crediting	0.673	0.550	0.741	क्रेडिट
creditor	0.479	0.594	0.689	ऋणदाता
creed	0.573	0.245	0.544	पंथ
creek	0.552	0.392	0.330	क्रीक
creep	0.354	0.647	0.361	रेंगना
creeper	0.429	0.558	0.366	लता
creeping	0.292	0.613	0.282	धीरे-धीरे
creepy	0.125	0.861	0.373	रेंगने वाले प्राणी
cremation	0.084	0.620	0.420	दाह संस्कार
creole	0.667	0.357	0.523	क्रियोल
crepe	0.562	0.224	0.349	क्रेप
crescendo	0.760	0.575	0.594	तेज
crescent	0.698	0.382	0.407	वर्धमान
crest	0.458	0.333	0.333	क्रेस्ट
crestfallen	0.235	0.346	0.175	क्रेस्टफॉलन
cretin	0.265	0.583	0.312	बेवकूफ
cretins	0.094	0.741	0.328	क्रेटिन्स
crevice	0.361	0.471	0.275	दरार
crew	0.604	0.598	0.735	कर्मी दल
crewman	0.602	0.580	0.548	क्रूमैन
crib	0.653	0.240	0.407	पालना
cricket	0.423	0.539	0.370	क्रिकेट
cried	0.167	0.612	0.254	रोया
crime	0.071	0.943	0.630	अपराध
criminal	0.021	0.830	0.529	आपराधिक
criminality	0.122	0.863	0.580	अपराधिता
crimp	0.260	0.557	0.396	क्रिम्प
crimson	0.667	0.385	0.370	गहरा लाल
cringe	0.245	0.840	0.377	झेंप जाना
cripple	0.094	0.392	0.161	अपंग
crippled	0.035	0.358	0.236	पंगु
crippling	0.156	0.598	0.391	गंभीर
crisis	0.208	0.811	0.431	संकट
crisp	0.776	0.692	0.508	कुरकुरा
crispy	0.656	0.550	0.509	खस्ता
criterion	0.396	0.410	0.736	मापदंड
critic	0.264	0.604	0.686	समीक्षक
critical	0.312	0.802	0.545	नाजुक
criticise	0.073	0.700	0.452	आलोचना करना
criticism	0.115	0.563	0.505	आलोचना
