English Word	Valence	Arousal	Dominance	Hungarian Word
clumsy	0.125	0.420	0.144	ügyetlen
clunk	0.448	0.472	0.407	csörömpölni
cluster	0.490	0.458	0.446	fürt
clutch	0.383	0.500	0.491	kuplung
clutches	0.542	0.373	0.528	kuplungok
clutter	0.135	0.598	0.400	zűrzavar
coach	0.633	0.823	0.735	távolsági busz
coachman	0.479	0.394	0.509	kocsis
coagulation	0.381	0.558	0.436	koaguláció
coal	0.360	0.241	0.340	szén
coalesce	0.479	0.434	0.529	egyesül
coalition	0.490	0.730	0.673	koalíció
coarse	0.333	0.481	0.481	durva
coast	0.719	0.396	0.458	tengerpart
coastal	0.604	0.370	0.510	parti
coaster	0.612	0.788	0.627	alátét
coastline	0.745	0.282	0.441	tengerpart
coat	0.677	0.256	0.464	kabát
coating	0.620	0.440	0.596	bevonat
coax	0.367	0.400	0.447	koax
cobalt	0.408	0.325	0.441	kobalt
cobble	0.448	0.385	0.368	macskakövez
cobbler	0.510	0.415	0.318	cipész
cobra	0.312	0.712	0.600	kobra
cocaine	0.156	0.840	0.373	kokain
cock	0.418	0.562	0.392	kakas
cockamamie	0.450	0.500	0.382	cockamamie
cockeyed	0.459	0.460	0.423	kancsal
cockpit	0.520	0.424	0.343	pilótafülke
cockroach	0.188	0.667	0.196	csótány
cocksucker	0.083	0.764	0.339	kakasszopó
cocktail	0.740	0.480	0.381	koktél
cocky	0.260	0.784	0.519	öntelt
cocoa	0.776	0.255	0.322	kakaó
coconut	0.622	0.265	0.227	kókuszdió
cocoon	0.470	0.280	0.290	selyemgubó
cod	0.510	0.321	0.304	tőkehal
code	0.583	0.308	0.491	kód
codeine	0.375	0.582	0.436	kodein
codex	0.531	0.488	0.524	kódex
codfish	0.490	0.245	0.300	tőkehal
codification	0.448	0.400	0.698	kodifikációja
codify	0.448	0.410	0.679	törvénybe iktat
coding	0.442	0.344	0.667	kódolás
coed	0.469	0.531	0.481	koedukált
coefficient	0.677	0.415	0.702	együttható
coerce	0.260	0.741	0.517	kényszeríteni
coercion	0.330	0.708	0.577	kényszerítés
coercive	0.479	0.670	0.506	kényszerítő
coexist	0.708	0.460	0.536	együtt élnek
coexistence	0.588	0.472	0.638	együttélés
coexisting	0.551	0.349	0.648	együtt létező
coffee	0.823	0.418	0.309	kávé
coffee table	0.720	0.339	0.295	kávézóasztal
coffeehouse	0.694	0.357	0.307	Kávéház
coffeepot	0.760	0.333	0.312	kávéskanna
coffin	0.073	0.432	0.343	koporsó
cog	0.427	0.343	0.363	patkószeg
cogent	0.765	0.479	0.836	meggyőző
cognac	0.615	0.510	0.430	konyak
cognate	0.615	0.350	0.398	rokon
cognition	0.635	0.344	0.706	megismerés
cognitive	0.513	0.401	0.634	kognitív
cohabitation	0.646	0.526	0.598	együttélés
coherence	0.720	0.406	0.788	koherenciát
coherent	0.698	0.281	0.500	összefüggő
cohesion	0.604	0.536	0.555	kohézió
cohesive	0.531	0.470	0.603	kohéziós
cohort	0.459	0.551	0.566	kohorsz
coil	0.448	0.343	0.298	tekercs
coiled	0.378	0.518	0.389	tekercselt
coin	0.677	0.574	0.445	érme
coinage	0.500	0.400	0.545	pénzverés
coincide	0.635	0.490	0.593	egybeesik
coincidence	0.612	0.450	0.518	véletlen egybeesés
coincident	0.562	0.385	0.602	egybeesés
coincidental	0.646	0.481	0.337	véletlen
coinciding	0.673	0.373	0.623	egybeeső
coke	0.404	0.461	0.397	koksz
cola	0.469	0.325	0.240	kóla
cold	0.398	0.538	0.348	hideg
coldly	0.365	0.358	0.407	fagyosan
coldness	0.093	0.470	0.427	hidegség
coldsweat	0.427	0.491	0.327	hideg verejték
coleslaw	0.707	0.312	0.336	káposztasaláta
colic	0.135	0.736	0.361	kólika
coliseum	0.612	0.663	0.704	amfiteátrum
collaborate	0.816	0.449	0.559	együttműködik
collaboration	0.885	0.628	0.741	együttműködés
collaborator	0.729	0.320	0.769	együttműködő
collage	0.680	0.321	0.375	kollázs
collagen	0.541	0.245	0.450	kollagén
collapse	0.208	0.689	0.342	összeomlás
collar	0.656	0.442	0.446	gallér
collarbone	0.420	0.427	0.306	kulcscsont
collate	0.438	0.448	0.580	összevetni
collateral	0.531	0.422	0.717	járulékos
collation	0.520	0.333	0.508	egybevetés
colleague	0.740	0.413	0.600	kolléga
collect	0.635	0.481	0.491	gyűjt
collected	0.570	0.402	0.588	összegyűjtött
collection	0.725	0.311	0.588	Gyűjtemény
collective	0.583	0.458	0.698	kollektív
collectively	0.817	0.573	0.533	együttesen
collector	0.552	0.481	0.648	gyűjtő
college	0.700	0.467	0.746	főiskola
collegiate	0.592	0.461	0.678	kollégiumi
collide	0.271	0.892	0.557	összeütközik
collie	0.562	0.308	0.328	collie
collision	0.245	0.848	0.585	ütközés
collocation	0.637	0.360	0.594	kollokáció
colloquial	0.604	0.363	0.368	köznyelvi
collusion	0.365	0.510	0.400	összejátszás
cologne	0.677	0.413	0.552	kölni
colon	0.449	0.394	0.384	kettőspont
colonel	0.459	0.592	0.890	ezredes
colonial	0.553	0.327	0.613	gyarmati
colonic	0.333	0.420	0.430	vastagbél
colonoscopy	0.208	0.524	0.466	kolonoszkópia
colony	0.716	0.353	0.593	kolónia
colophon	0.500	0.408	0.385	záradék
color	0.786	0.280	0.402	szín
coloration	0.541	0.520	0.443	színezés
colored	0.806	0.317	0.275	színezett
colorful	0.850	0.520	0.519	színes
coloring	0.781	0.469	0.353	színezés
colorless	0.354	0.340	0.250	színtelen
colors	0.875	0.349	0.340	színek
colossal	0.698	0.692	0.900	óriási
colt	0.561	0.587	0.543	csikó
columbine	0.520	0.521	0.407	harangláb
column	0.480	0.250	0.670	oszlop
columnar	0.448	0.340	0.491	oszlopos
columnist	0.646	0.365	0.648	rovatvezető
com	0.396	0.382	0.382	com
coma	0.219	0.255	0.302	kóma
comatose	0.143	0.438	0.433	kómában
comb	0.490	0.123	0.268	fésű
combat	0.302	0.846	0.833	harc
combatant	0.531	0.853	0.780	harcos
combative	0.381	0.690	0.816	harcias
combination	0.708	0.480	0.726	kombináció
combinatorial	0.561	0.436	0.428	kombinatorikus
combine	0.663	0.442	0.533	kombájn
combined	0.622	0.370	0.500	kombinált
combo	0.698	0.439	0.453	kombó
combustible	0.386	0.650	0.750	éghető
combustion	0.457	0.807	0.591	égés
come	0.529	0.269	0.558	jön
comeback	0.580	0.409	0.555	Gyere vissza
comedian	0.812	0.735	0.598	komikus
comedy	0.918	0.555	0.490	komédia
comet	0.704	0.679	0.471	üstökös
comfort	0.863	0.231	0.670	kényelem
comfortable	0.927	0.163	0.473	kényelmes
comforter	0.618	0.275	0.302	vigasztaló
comforting	0.906	0.337	0.620	megnyugtató
comfy	0.930	0.241	0.625	kényelmes
comic	0.917	0.459	0.387	komikus
comical	0.844	0.737	0.327	komikus
comics	0.690	0.556	0.384	képregények
coming	0.653	0.417	0.500	eljövetel
comma	0.344	0.269	0.242	vessző
command	0.427	0.790	0.849	parancs
commandant	0.622	0.700	0.943	parancsnok
commandeer	0.552	0.639	0.931	rekvirál
commander	0.531	0.615	0.906	parancsnok
commanding	0.562	0.664	0.925	parancsoló
commandment	0.656	0.490	0.876	parancsolat
commando	0.323	0.710	0.817	kommandó
commemorate	0.812	0.602	0.636	megemlékezni
commemoration	0.719	0.615	0.754	megemlékezés
commemorative	0.750	0.438	0.754	emlékeztető
commence	0.760	0.585	0.741	kezdődik
commend	0.906	0.694	0.711	dicsérni
commendable	0.786	0.570	0.555	dicséretes
commendation	0.911	0.500	0.639	dicséret
commensurate	0.610	0.304	0.550	arányos
comment	0.667	0.417	0.379	megjegyzés
commentary	0.602	0.402	0.446	kommentár
commentator	0.492	0.510	0.607	kommentátor
commerce	0.646	0.500	0.788	kereskedelem
commercial	0.806	0.490	0.528	kereskedelmi
commie	0.385	0.519	0.454	commie
commissary	0.385	0.500	0.788	népbiztos
commission	0.677	0.480	0.571	jutalék
commissioner	0.602	0.449	0.949	biztos
commit	0.365	0.529	0.491	elkövetni
commitment	0.714	0.710	0.843	elkötelezettség
committal	0.472	0.519	0.582	rábízás
committed	0.710	0.542	0.712	elkötelezett
committee	0.592	0.392	0.721	bizottság
commodity	0.615	0.394	0.537	árucikk
commodore	0.427	0.530	0.636	komondor
common	0.600	0.127	0.318	gyakori
commoner	0.448	0.365	0.327	közember
commonly	0.604	0.170	0.574	általában
commonplace	0.520	0.337	0.442	közhely
commons	0.633	0.396	0.623	közbirtokosság
commonwealth	0.630	0.406	0.702	Nemzetközösség
commotion	0.490	0.700	0.646	zűrzavar
communal	0.592	0.321	0.556	kommunális
commune	0.500	0.488	0.655	közösség
communicable	0.796	0.491	0.623	kommunikálható
communicate	0.823	0.410	0.696	kommunikálni
communication	0.837	0.400	0.649	kommunikáció
communicative	0.847	0.560	0.637	kommunikatív
communicator	0.573	0.509	0.796	kommunikátor
communion	0.765	0.357	0.607	úrvacsora
communism	0.264	0.570	0.623	kommunizmus
communist	0.265	0.702	0.632	kommunista
community	0.750	0.350	0.659	közösség
commutation	0.469	0.431	0.652	kommutáció
commutative	0.667	0.442	0.569	kommutatív
commute	0.622	0.582	0.565	ingázik
commuter	0.646	0.520	0.512	ingázó
comp	0.573	0.450	0.371	comp
compact	0.458	0.417	0.673	kompakt
compaction	0.531	0.471	0.582	tömörítés
compactness	0.582	0.352	0.454	tömörség
companion	0.770	0.377	0.618	társ
companionless	0.271	0.259	0.200	társ nélküli
companionship	0.833	0.438	0.792	társaság
company	0.906	0.425	0.798	vállalat
comparable	0.562	0.443	0.458	hasonló
comparative	0.470	0.273	0.562	összehasonlító
comparatively	0.604	0.391	0.538	viszonylag
compare	0.552	0.408	0.524	összehasonlítani
comparison	0.583	0.456	0.492	összehasonlítás
compartment	0.500	0.389	0.607	rekesz
compass	0.541	0.307	0.529	iránytű
compassion	0.735	0.258	0.509	együttérzés
compassionate	0.857	0.404	0.411	könyörületes
compatibility	0.816	0.450	0.673	kompatibilitás
compatible	0.892	0.387	0.638	összeegyeztethető
compel	0.200	0.847	0.625	kényszeríteni
compelled	0.333	0.654	0.347	kénytelen
compelling	0.698	0.570	0.870	kényszerítő
compendium	0.610	0.461	0.537	rövid összefoglalás
compensate	0.612	0.429	0.762	kompenzálni
compensation	0.775	0.469	0.598	kártérítés
compensatory	0.589	0.490	0.700	kompenzációs
compete	0.573	0.745	0.786	versenyez
competence	0.615	0.802	0.823	kompetencia
competency	0.768	0.775	0.764	kompetencia
competent	0.865	0.560	0.904	illetékes
competition	0.580	0.790	0.798	verseny
competitive	0.447	0.718	0.908	kompetitív
competitor	0.612	0.959	0.861	versenyző
compilation	0.530	0.512	0.606	összeállítás
compile	0.600	0.413	0.519	összeállítani
complacency	0.604	0.503	0.519	elégedettség
complacent	0.625	0.452	0.518	öntelt
complain	0.143	0.682	0.360	panaszkodik
complaint	0.143	0.606	0.281	panasz
complement	0.760	0.277	0.600	kiegészítés
complementary	0.714	0.320	0.586	kiegészítő
complete	0.750	0.414	0.809	teljes
completed	0.823	0.357	0.777	elkészült
completely	0.730	0.370	0.690	teljesen
completeness	0.823	0.433	0.769	teljesség
completing	0.614	0.500	0.769	befejezése
completion	0.656	0.470	0.525	befejezése
complex	0.388	0.608	0.550	összetett
complexed	0.312	0.577	0.612	komplexusban
complexion	0.521	0.520	0.380	arcszín
complexity	0.479	0.620	0.595	bonyolultság
compliance	0.750	0.462	0.750	megfelelés
compliant	0.677	0.310	0.519	megfelelő
complicate	0.210	0.657	0.404	bonyolítja
complicated	0.211	0.660	0.455	bonyolult
complication	0.365	0.726	0.330	szövődmény
complicity	0.323	0.684	0.670	bűnrészesség
compliment	0.820	0.490	0.651	bók
complimentary	0.823	0.413	0.435	ingyenes
comply	0.806	0.370	0.638	betartani
complying	0.729	0.423	0.590	megfelelve
compo	0.500	0.346	0.390	comp
component	0.531	0.382	0.525	összetevő
compose	0.639	0.432	0.694	összeállít
composed	0.684	0.385	0.682	összeállított
composer	0.822	0.588	0.691	Zeneszerző
composite	0.591	0.459	0.620	összetett
composition	0.765	0.408	0.652	fogalmazás
compost	0.480	0.404	0.441	komposzt
composure	0.802	0.354	0.717	nyugalom
compound	0.635	0.385	0.735	összetett
comprehend	0.875	0.365	0.689	megért
comprehension	0.908	0.387	0.688	megértés
comprehensive	0.796	0.385	0.644	átfogó
compress	0.406	0.412	0.460	borogatás
compressed	0.323	0.396	0.388	összenyomva
compressible	0.622	0.392	0.585	összenyomható
compression	0.646	0.521	0.579	tömörítés
compressor	0.418	0.481	0.630	kompresszor
comprise	0.839	0.373	0.669	tartalmaz
compromise	0.677	0.520	0.805	kompromisszum
comptroller	0.402	0.481	0.866	számvevő
compulsion	0.118	0.760	0.604	kényszer
compulsive	0.347	0.871	0.573	kényszeres
compulsory	0.343	0.541	0.791	kötelező
computable	0.570	0.402	0.545	kiszámítható
computation	0.583	0.429	0.697	számítás
compute	0.531	0.408	0.564	kiszámít
computer	0.802	0.356	0.639	számítógép
computerized	0.677	0.450	0.657	számítógépesített
computing	0.745	0.398	0.695	számítástechnika
comrade	0.781	0.412	0.804	elvtárs
con	0.255	0.736	0.427	con
concatenation	0.480	0.593	0.539	összefűzés
concave	0.441	0.349	0.349	homorú
conceal	0.312	0.436	0.306	rejt
concealed	0.344	0.363	0.352	elrejtve
concealment	0.302	0.570	0.390	eltitkolás
concede	0.670	0.324	0.473	elismerni
conceit	0.354	0.625	0.309	önteltség
conceited	0.194	0.667	0.473	öntelt
conceivable	0.730	0.350	0.613	elképzelhető
conceive	0.708	0.538	0.700	foganni
concentrate	0.750	0.439	0.743	sűrítmény
concentration	0.735	0.500	0.722	koncentráció
concentric	0.730	0.479	0.635	körkörös
concept	0.573	0.265	0.632	koncepció
conception	0.694	0.490	0.614	fogantatás
concern	0.250	0.734	0.463	vonatkozik
concerned	0.292	0.698	0.350	érintett
concert	0.938	0.867	0.718	koncert
concerto	0.613	0.759	0.679	koncert
concession	0.588	0.423	0.615	engedmény
concessional	0.770	0.493	0.657	engedményes
conch	0.583	0.306	0.339	kagyló
concierge	0.480	0.343	0.343	portás
conciliation	0.792	0.475	0.726	békéltetés
concise	0.583	0.298	0.620	tömör
conclave	0.573	0.440	0.611	konklávé
conclude	0.530	0.267	0.679	következtetést levonni
concluding	0.531	0.382	0.603	befejező
conclusion	0.615	0.377	0.659	következtetés
conclusive	0.500	0.427	0.745	meggyőző
concoction	0.448	0.459	0.417	főzet
concomitant	0.427	0.482	0.727	kísérő
concord	0.677	0.320	0.586	egyetértés
concordance	0.625	0.358	0.608	összhang
concours	0.500	0.530	0.495	egyetért
concourse	0.740	0.657	0.528	csoportosulás
concrete	0.633	0.420	0.547	Konkrét
concubine	0.388	0.594	0.476	ágyasa
concur	0.459	0.394	0.429	megegyezik
concurrence	0.764	0.627	0.613	egyetértés
concurrent	0.573	0.547	0.741	egyidejű
concurring	0.573	0.600	0.681	egybehangzó
concussion	0.072	0.708	0.482	agyrázkódás
condemn	0.102	0.793	0.625	elítélni
condemnation	0.133	0.725	0.449	kárhoztatás
condensation	0.510	0.316	0.538	páralecsapódás
condensed	0.598	0.415	0.623	sűrítve
condescending	0.583	0.363	0.593	leereszkedő
condescension	0.521	0.377	0.565	leereszkedés
condiment	0.520	0.333	0.433	fűszer
condition	0.500	0.469	0.519	állapot
conditional	0.521	0.343	0.556	feltételes
conditionally	0.396	0.419	0.617	feltételesen
conditioned	0.490	0.417	0.616	feltételes
conditioner	0.781	0.360	0.538	kondicionáló
conditioning	0.440	0.468	0.617	kondicionálás
conditions	0.551	0.441	0.593	körülmények
condo	0.439	0.288	0.607	lakás
condolence	0.260	0.443	0.404	részvét
condolences	0.198	0.480	0.288	részvétét
condom	0.406	0.637	0.500	óvszer
condone	0.571	0.441	0.619	megbocsát
condor	0.573	0.388	0.519	kondorkeselyű
conducive	0.775	0.479	0.679	elősegítő
conduct	0.453	0.510	0.750	magatartás
conduction	0.530	0.557	0.717	vezetés
conductivity	0.583	0.575	0.642	vezetőképesség
conductor	0.677	0.663	0.621	karmester
conduit	0.470	0.302	0.413	vezeték
cone	0.417	0.208	0.343	kúp
confederacy	0.590	0.541	0.736	szövetség
confederate	0.551	0.546	0.792	szövetséges
confederation	0.663	0.404	0.830	államszövetség
confer	0.573	0.482	0.583	tanácskozik
conference	0.688	0.615	0.606	konferencia
confess	0.360	0.712	0.431	bevallani
confession	0.469	0.642	0.460	gyónás
confessional	0.458	0.392	0.629	gyóntatószéki
confessions	0.325	0.538	0.658	vallomások
confetti	0.781	0.573	0.250	konfetti
confidant	0.837	0.633	0.631	bizalmasa
confide	0.669	0.472	0.595	bizalmasan
confidence	0.959	0.276	0.943	bizalom
confident	0.765	0.324	0.723	magabiztos
confidential	0.643	0.471	0.761	bizalmas
confidentiality	0.667	0.431	0.718	titoktartás
confidentially	0.633	0.469	0.558	bizalmasan
configuration	0.540	0.443	0.591	konfigurációt
confine	0.327	0.551	0.538	korlátozza
confined	0.286	0.472	0.444	korlátozott
confinement	0.333	0.656	0.520	bezártság
confines	0.396	0.386	0.542	korlátozza
confirm	0.802	0.439	0.806	megerősít
confirmation	0.812	0.480	0.692	megerősítés
confirmatory	0.656	0.500	0.683	megerősítő
confirmed	0.760	0.490	0.764	megerősített
confiscate	0.250	0.625	0.482	elkoboz
confiscation	0.208	0.706	0.586	elkobzás
conflagration	0.344	0.721	0.594	tűzvész
conflict	0.335	0.906	0.471	konfliktus
conflicting	0.173	0.738	0.553	ellentmondó
confluence	0.677	0.598	0.565	összefolyás
conform	0.479	0.380	0.375	alkalmazkodik
conformance	0.608	0.278	0.254	megfelelés
conformation	0.622	0.435	0.711	konformáció
conformity	0.645	0.363	0.579	megfelelőség
confound	0.347	0.529	0.333	összezavarni
confounded	0.333	0.528	0.264	összezavarodva
confront	0.281	0.760	0.746	szembesülni
confrontation	0.177	0.870	0.658	szembesítés
confuse	0.100	0.580	0.270	összezavarni
confused	0.220	0.650	0.179	zavaros
confusing	0.229	0.690	0.222	zavaró
confusion	0.255	0.667	0.277	zavar
conga	0.469	0.529	0.440	konga
congenial	0.820	0.412	0.620	kellemes
congenital	0.448	0.434	0.427	veleszületett
congestion	0.271	0.654	0.491	torlódás
conglomerate	0.500	0.500	0.838	konglomerátum
conglomeration	0.541	0.720	0.670	halmaz
congrats	0.930	0.726	0.775	gratula
congratulate	0.927	0.724	0.784	gratulál
congratulation	0.948	0.780	0.717	gratulálok
congratulations	0.960	0.755	0.719	Gratulálunk
congratulatory	0.959	0.616	0.689	gratuláló
congregate	0.653	0.530	0.733	összejön
congregation	0.561	0.490	0.700	gyülekezet
congress	0.449	0.444	0.857	Kongresszus
congressional	0.552	0.491	0.848	kongresszusi
congressman	0.438	0.471	0.877	kongresszusi képviselő
congruence	0.656	0.472	0.577	egyezést
conic	0.510	0.368	0.379	kúpos
conical	0.490	0.422	0.471	kúpos
conjecture	0.396	0.398	0.534	sejtés
conjugal	0.698	0.510	0.688	házastársi
conjugate	0.583	0.420	0.467	konjugált
conjugation	0.479	0.429	0.582	konjugáció
conjunction	0.520	0.472	0.509	kötőszó
conjunctive	0.487	0.444	0.639	kötőszó
conjure	0.385	0.679	0.645	megidéz
conjuring	0.224	0.653	0.694	varázsol
conk	0.340	0.469	0.404	orr
connect	0.724	0.299	0.536	csatlakozni
connected	0.816	0.550	0.612	csatlakoztatva
connection	0.729	0.560	0.655	kapcsolat
connective	0.719	0.491	0.764	összekötő
connoisseur	0.760	0.461	0.769	műértő
conquer	0.694	0.873	0.971	meghódítani
conquering	0.760	0.873	0.936	hódító
conqueror	0.604	0.809	0.930	hódító
conquest	0.710	0.702	0.833	hódítás
conscience	0.663	0.375	0.721	lelkiismeret
conscientious	0.688	0.404	0.688	lelkiismeretes
conscious	0.740	0.333	0.705	tudatos
consciousness	0.840	0.483	0.755	öntudat
conscription	0.396	0.775	0.642	sorozás
consecrated	0.663	0.500	0.800	felszentelték
consecration	0.771	0.418	0.804	felszentelés
consecutive	0.663	0.418	0.643	egymást követő
consensual	0.663	0.417	0.655	konszenzuális
consensus	0.627	0.358	0.625	konszenzus
consent	0.750	0.500	0.620	beleegyezés
consenting	0.727	0.406	0.693	beleegyezését
consequence	0.240	0.721	0.593	következmény
consequent	0.663	0.471	0.625	következetes
conservation	0.832	0.401	0.606	Megőrzés
conservatism	0.406	0.369	0.633	konzervativizmus
conservative	0.615	0.316	0.788	konzervatív
conservatory	0.635	0.240	0.729	melegház
conserve	0.690	0.347	0.573	konzerválni
consider	0.677	0.368	0.579	fontolgat
considerable	0.653	0.314	0.683	figyelemre méltó
considerate	0.781	0.380	0.633	előzékeny
consideration	0.589	0.380	0.687	megfontolás
consignee	0.635	0.385	0.602	címzett
consignment	0.490	0.440	0.500	küldemény
consist	0.823	0.386	0.580	áll
consistency	0.714	0.500	0.887	következetesség
consistent	0.786	0.431	0.726	következetes
consolation	0.408	0.250	0.304	vigasz
console	0.625	0.398	0.415	konzol
consoled	0.700	0.343	0.452	vigasztalta
consolidate	0.880	0.440	0.870	konszolidálni
consolidated	0.700	0.366	0.784	konszolidált
consolidation	0.604	0.445	0.776	konszolidáció
consonant	0.500	0.347	0.417	mássalhangzó
consort	0.632	0.509	0.630	hitvese
conspicuous	0.479	0.520	0.596	feltűnő
conspiracy	0.125	0.787	0.652	összeesküvés
conspirator	0.271	0.786	0.707	összeesküvő
conspire	0.206	0.740	0.520	összeesküszik
constable	0.573	0.667	0.764	rendőr
constancy	0.786	0.443	0.763	állandóság
constant	0.740	0.296	0.686	állandó
constantly	0.663	0.561	0.700	állandóan
constellation	0.719	0.533	0.775	csillagkép
consternation	0.167	0.680	0.469	megdöbbenés
constipation	0.079	0.612	0.231	székrekedés
constituency	0.500	0.480	0.696	választókerület
constituent	0.573	0.500	0.827	alkotó
constituents	0.573	0.414	0.833	alkotóelemei
constitute	0.812	0.349	0.906	alkotják
constitution	0.590	0.380	0.889	alkotmány
constitutional	0.633	0.418	0.827	alkotmányos
constitutionality	0.612	0.439	0.853	alkotmányosság
constrain	0.261	0.500	0.500	korlátozza
constrained	0.135	0.537	0.357	korlátozva
constraint	0.323	0.550	0.481	kényszer
construct	0.750	0.648	0.792	építeni
construction	0.848	0.612	0.759	Építkezés
constructive	0.860	0.570	0.812	konstruktív
construe	0.602	0.519	0.553	értelmezni
consul	0.573	0.354	0.688	konzul
consulate	0.561	0.453	0.694	konzulátus
consult	0.755	0.370	0.441	konzultáljon
consultant	0.770	0.344	0.808	szaktanácsadó
consultation	0.660	0.463	0.625	konzultációt
consume	0.427	0.620	0.509	fogyaszt
consumer	0.507	0.551	0.677	fogyasztó
consuming	0.573	0.541	0.536	fogyasztó
consummate	0.551	0.540	0.558	tökéletes
consummation	0.583	0.676	0.661	kiteljesedés
consumption	0.390	0.531	0.538	fogyasztás
contact	0.719	0.424	0.526	kapcsolatba lépni
contagion	0.208	0.630	0.535	fertőzés
contagious	0.184	0.725	0.400	fertőző
contain	0.542	0.490	0.658	tartalmaz
container	0.551	0.396	0.561	tartály
containment	0.411	0.491	0.618	visszatartás
contaminate	0.140	0.611	0.426	beszennyezni
contaminated	0.040	0.500	0.368	szennyezett
contamination	0.125	0.610	0.375	szennyeződés
contemplate	0.740	0.347	0.642	szemlélni
contemplation	0.552	0.324	0.627	elmélkedés
contemplative	0.729	0.308	0.739	elmélkedő
contemporaneous	0.640	0.373	0.591	egyidejű
contemporary	0.720	0.365	0.569	kortárs
contempt	0.206	0.635	0.396	megvetés
contemptible	0.146	0.657	0.471	megvetendő
contemptuous	0.204	0.500	0.375	megvető
contend	0.510	0.657	0.731	versengenek
contender	0.480	0.790	0.681	versenyző
contending	0.490	0.698	0.716	versengve
content	0.764	0.296	0.559	tartalom
contented	0.857	0.612	0.746	elégedett
contention	0.375	0.510	0.738	állítás
contentious	0.422	0.573	0.637	vitás
contentment	0.875	0.610	0.782	megelégedés
contents	0.656	0.375	0.550	tartalmat
contest	0.667	0.698	0.717	verseny
contestant	0.760	0.530	0.602	versenyző
context	0.531	0.300	0.553	kontextus
contiguous	0.375	0.450	0.500	összefüggő
continence	0.450	0.396	0.469	kontinens
continent	0.551	0.373	0.833	kontinens
continental	0.486	0.350	0.755	kontinentális
contingency	0.396	0.500	0.670	eshetőség
contingent	0.470	0.531	0.659	kontingens
continual	0.500	0.423	0.685	folyamatos
continually	0.646	0.438	0.698	folyamatosan
continuance	0.729	0.510	0.652	folytonosság
continuation	0.615	0.470	0.566	folytatás
continue	0.630	0.427	0.612	folytatni
continued	0.635	0.440	0.500	folytatta
continuing	0.667	0.500	0.520	folytatva
continuity	0.781	0.439	0.684	folytonosság
continuous	0.625	0.509	0.580	folyamatos
continuously	0.719	0.417	0.702	folyamatosan
continuum	0.677	0.390	0.491	folytonosság
contour	0.589	0.265	0.414	körvonal
contraband	0.177	0.875	0.670	csempészet
contraception	0.296	0.518	0.525	fogamzásgátlás
contract	0.594	0.412	0.636	szerződés
contracted	0.344	0.557	0.449	szerződéses
contractile	0.480	0.586	0.569	összehúzó
contracting	0.594	0.490	0.769	szerződéskötés
contraction	0.292	0.755	0.603	összehúzódás
contractor	0.592	0.479	0.727	vállalkozó
contradict	0.160	0.598	0.482	ellentmond
contradiction	0.250	0.660	0.377	ellentmondás
contradictory	0.365	0.651	0.421	ellentmondó
contraption	0.448	0.590	0.491	konstrukció
contrary	0.327	0.449	0.338	ellentétes
contrast	0.480	0.406	0.520	kontraszt
contrasted	0.521	0.538	0.491	szembeállítva
contravene	0.357	0.618	0.472	ellenkezik
contravention	0.344	0.627	0.593	megsértése
contribute	0.806	0.350	0.795	hozzájárul
contribution	0.854	0.452	0.760	hozzájárulás
contributor	0.844	0.510	0.760	hozzájáruló
contrite	0.347	0.363	0.473	bűnbánó
contrition	0.347	0.583	0.463	bűnbánat
contrived	0.408	0.530	0.458	mesterkélt
control	0.729	0.352	0.808	ellenőrzés
controller	0.469	0.712	0.868	vezérlő
controlling	0.490	0.441	0.885	irányító
controversial	0.271	0.858	0.538	vitatott
controversy	0.250	0.819	0.600	vita
contusion	0.167	0.565	0.509	zúzódás
conundrum	0.354	0.524	0.408	találós kérdés
convalescent	0.458	0.480	0.269	lábadozó
convection	0.521	0.494	0.526	konvekció
convene	0.583	0.676	0.636	összehívni
convenience	0.781	0.448	0.613	kényelem
conveniences	0.802	0.412	0.693	kényelmi szolgáltatások
convenient	0.846	0.491	0.574	kényelmes
convent	0.480	0.217	0.594	kolostor
convention	0.622	0.622	0.704	egyezmény
conventional	0.594	0.292	0.634	hagyományos
converge	0.635	0.471	0.539	konvergálnak
convergence	0.551	0.491	0.625	konvergencia
convergent	0.781	0.490	0.696	konvergens
conversant	0.724	0.360	0.542	hozzáértő
conversation	0.750	0.510	0.609	beszélgetés
conversational	0.719	0.431	0.596	társalgó
conversationalist	0.719	0.467	0.667	beszélgetőtárs
converse	0.594	0.406	0.598	társalog
conversing	0.755	0.409	0.442	beszélgetni
conversion	0.480	0.605	0.736	átalakítás
convert	0.551	0.538	0.704	alakítani
converted	0.663	0.418	0.686	átalakítva
convertible	0.542	0.529	0.717	átváltható
convex	0.438	0.427	0.445	konvex
convexity	0.449	0.354	0.484	domborúság
convey	0.719	0.633	0.708	közvetíteni
conveyance	0.615	0.520	0.455	szállítás
conveyancing	0.375	0.479	0.663	szállítása
convict	0.177	0.840	0.477	elítélt
conviction	0.615	0.704	0.826	meggyőződés
convince	0.708	0.539	0.763	meggyőzni
convinced	0.750	0.500	0.630	meggyőződve
convincing	0.760	0.527	0.900	meggyőző
convocation	0.538	0.611	0.663	összehívás
convoluted	0.323	0.614	0.433	csavart
convolution	0.417	0.559	0.527	konvolúció
convoy	0.500	0.671	0.639	konvoj
coo	0.490	0.439	0.500	turbékol
cook	0.847	0.500	0.412	szakács
