English Word	Valence	Arousal	Dominance	Corsican Word
compatible	0.892	0.387	0.638	cumpatibile
compel	0.200	0.847	0.625	obligà
compelled	0.333	0.654	0.347	custrettu
compelling	0.698	0.570	0.870	convincente
compendium	0.610	0.461	0.537	cumpendiu
compensate	0.612	0.429	0.762	cumpensà
compensation	0.775	0.469	0.598	cumpensu
compensatory	0.589	0.490	0.700	cumpensante
compete	0.573	0.745	0.786	compete
competence	0.615	0.802	0.823	cumpetenza
competency	0.768	0.775	0.764	cumpetenza
competent	0.865	0.560	0.904	cumpetente
competition	0.580	0.790	0.798	cumpetizione
competitive	0.447	0.718	0.908	cumpetitiva
competitor	0.612	0.959	0.861	cuncurrenti
compilation	0.530	0.512	0.606	compilation
compile	0.600	0.413	0.519	compilà
complacency	0.604	0.503	0.519	cumpiacenza
complacent	0.625	0.452	0.518	cumpiacente
complain	0.143	0.682	0.360	lagnanza
complaint	0.143	0.606	0.281	lagnanza
complement	0.760	0.277	0.600	cumplementu
complementary	0.714	0.320	0.586	cumplementarii
complete	0.750	0.414	0.809	cumpletu
completed	0.823	0.357	0.777	compie
completely	0.730	0.370	0.690	cumplettamente
completeness	0.823	0.433	0.769	completezza
completing	0.614	0.500	0.769	compie
completion	0.656	0.470	0.525	compiu
complex	0.388	0.608	0.550	cumplessu
complexed	0.312	0.577	0.612	cumplessu
complexion	0.521	0.520	0.380	complexion
complexity	0.479	0.620	0.595	cumplessità
compliance	0.750	0.462	0.750	cunfurmità
compliant	0.677	0.310	0.519	cumpletu
complicate	0.210	0.657	0.404	cumplicà
complicated	0.211	0.660	0.455	cumplicatu
complication	0.365	0.726	0.330	cumplicazione
complicity	0.323	0.684	0.670	complicità
compliment	0.820	0.490	0.651	cumplimentu
complimentary	0.823	0.413	0.435	cumplementari
comply	0.806	0.370	0.638	cunfurmà
complying	0.729	0.423	0.590	cumpiendu
compo	0.500	0.346	0.390	cumpusizioni
component	0.531	0.382	0.525	cumpunente
compose	0.639	0.432	0.694	cumpone
composed	0.684	0.385	0.682	cumpostu
composer	0.822	0.588	0.691	cumpusitore
composite	0.591	0.459	0.620	cumpostu
composition	0.765	0.408	0.652	cumpusizioni
compost	0.480	0.404	0.441	compost
composure	0.802	0.354	0.717	cumpusizioni
compound	0.635	0.385	0.735	compostu
comprehend	0.875	0.365	0.689	capisce
comprehension	0.908	0.387	0.688	capiscitura
comprehensive	0.796	0.385	0.644	cumpletu
compress	0.406	0.412	0.460	cumpressà
compressed	0.323	0.396	0.388	cumpressu
compressible	0.622	0.392	0.585	cumprimibile
compression	0.646	0.521	0.579	cumpressione
compressor	0.418	0.481	0.630	compressore
comprise	0.839	0.373	0.669	cumprendi
compromise	0.677	0.520	0.805	cumprumissu
comptroller	0.402	0.481	0.866	cuntrullatore
compulsion	0.118	0.760	0.604	compulsion
compulsive	0.347	0.871	0.573	compulsivu
compulsory	0.343	0.541	0.791	ubligatoriu
computable	0.570	0.402	0.545	computable
computation	0.583	0.429	0.697	calculu
compute	0.531	0.408	0.564	calculà
computer	0.802	0.356	0.639	urdinatore
computerized	0.677	0.450	0.657	computerizata
computing	0.745	0.398	0.695	l'informatica
comrade	0.781	0.412	0.804	camarade
con	0.255	0.736	0.427	cun
concatenation	0.480	0.593	0.539	concatenazione
concave	0.441	0.349	0.349	cuncavu
conceal	0.312	0.436	0.306	ammuccià
concealed	0.344	0.363	0.352	dissimulatu
concealment	0.302	0.570	0.390	dissimulazione
concede	0.670	0.324	0.473	cuncede
conceit	0.354	0.625	0.309	cuncepimentu
conceited	0.194	0.667	0.473	presuntu
conceivable	0.730	0.350	0.613	cuncepimentu
conceive	0.708	0.538	0.700	cuncepisce
concentrate	0.750	0.439	0.743	cuncentrazione
concentration	0.735	0.500	0.722	cuncentrazione
concentric	0.730	0.479	0.635	cuncentricu
concept	0.573	0.265	0.632	cuncettu
conception	0.694	0.490	0.614	cuncepimentu
concern	0.250	0.734	0.463	preoccupazione
concerned	0.292	0.698	0.350	cuncernatu
concert	0.938	0.867	0.718	cuncertu
concerto	0.613	0.759	0.679	cuncertu
concession	0.588	0.423	0.615	cuncessione
concessional	0.770	0.493	0.657	cuncessione
conch	0.583	0.306	0.339	cunchiglia
concierge	0.480	0.343	0.343	concierge
conciliation	0.792	0.475	0.726	cunciliazione
concise	0.583	0.298	0.620	cuncisu
conclave	0.573	0.440	0.611	cunclave
conclude	0.530	0.267	0.679	cuncludi
concluding	0.531	0.382	0.603	cuncludendu
conclusion	0.615	0.377	0.659	cunclusioni
conclusive	0.500	0.427	0.745	cunclusiva
concoction	0.448	0.459	0.417	cuncezzione
concomitant	0.427	0.482	0.727	cuncomitante
concord	0.677	0.320	0.586	cuncordia
concordance	0.625	0.358	0.608	cuncordanza
concours	0.500	0.530	0.495	cuncorsu
concourse	0.740	0.657	0.528	cuncorsu
concrete	0.633	0.420	0.547	béton
concubine	0.388	0.594	0.476	cuncubina
concur	0.459	0.394	0.429	cuncurrenza
concurrence	0.764	0.627	0.613	cuncurrenza
concurrent	0.573	0.547	0.741	cuncurrenti
concurring	0.573	0.600	0.681	cuncurrenza
concussion	0.072	0.708	0.482	cuncussione
condemn	0.102	0.793	0.625	cundannà
condemnation	0.133	0.725	0.449	cundanna
condensation	0.510	0.316	0.538	cundensazione
condensed	0.598	0.415	0.623	cundensatu
condescending	0.583	0.363	0.593	cundescendente
condescension	0.521	0.377	0.565	cundescendenza
condiment	0.520	0.333	0.433	cundimentu
condition	0.500	0.469	0.519	cundizione
conditional	0.521	0.343	0.556	cundizionale
conditionally	0.396	0.419	0.617	cundizionalmente
conditioned	0.490	0.417	0.616	cundizionatu
conditioner	0.781	0.360	0.538	condizionatore
conditioning	0.440	0.468	0.617	condizionamentu
conditions	0.551	0.441	0.593	cundizioni
condo	0.439	0.288	0.607	condominiu
condolence	0.260	0.443	0.404	cundolence
condolences	0.198	0.480	0.288	cundolenze
condom	0.406	0.637	0.500	preservativu
condone	0.571	0.441	0.619	cundone
condor	0.573	0.388	0.519	cundoru
conducive	0.775	0.479	0.679	conducente
conduct	0.453	0.510	0.750	cunducta
conduction	0.530	0.557	0.717	cunduzzione
conductivity	0.583	0.575	0.642	conduttività
conductor	0.677	0.663	0.621	cunduttore
conduit	0.470	0.302	0.413	cunduttu
cone	0.417	0.208	0.343	conu
confederacy	0.590	0.541	0.736	cunfederazione
confederate	0.551	0.546	0.792	cunfederatu
confederation	0.663	0.404	0.830	cunfederazione
confer	0.573	0.482	0.583	cunferisce
conference	0.688	0.615	0.606	cunferenza
confess	0.360	0.712	0.431	cunfessu
confession	0.469	0.642	0.460	cunfessioni
confessional	0.458	0.392	0.629	cunfessionale
confessions	0.325	0.538	0.658	cunfessioni
confetti	0.781	0.573	0.250	confetti
confidant	0.837	0.633	0.631	cunfidendu
confide	0.669	0.472	0.595	cunfidenza
confidence	0.959	0.276	0.943	cunfidenza
confident	0.765	0.324	0.723	cunfidendu
confidential	0.643	0.471	0.761	cunfidenziale
confidentiality	0.667	0.431	0.718	cunfidenziale
confidentially	0.633	0.469	0.558	cunfidenziale
configuration	0.540	0.443	0.591	cunfigurazione
confine	0.327	0.551	0.538	cunfina
confined	0.286	0.472	0.444	cunfinatu
confinement	0.333	0.656	0.520	cunfinazione
confines	0.396	0.386	0.542	cunfini
confirm	0.802	0.439	0.806	cunfirmà
confirmation	0.812	0.480	0.692	cunferma
confirmatory	0.656	0.500	0.683	cunfirmativa
confirmed	0.760	0.490	0.764	cunfirmatu
confiscate	0.250	0.625	0.482	cunfiscà
confiscation	0.208	0.706	0.586	cunfiscazione
conflagration	0.344	0.721	0.594	conflagrazione
conflict	0.335	0.906	0.471	cunflittu
conflicting	0.173	0.738	0.553	cunflittu
confluence	0.677	0.598	0.565	cunfluenza
conform	0.479	0.380	0.375	cunfurmà
conformance	0.608	0.278	0.254	cunfurmità
conformation	0.622	0.435	0.711	cunfurmazioni
conformity	0.645	0.363	0.579	cunformità
confound	0.347	0.529	0.333	cunfundite
confounded	0.333	0.528	0.264	cunfunditu
confront	0.281	0.760	0.746	affruntà
confrontation	0.177	0.870	0.658	cunfrontu
confuse	0.100	0.580	0.270	cunfundite
confused	0.220	0.650	0.179	cunfusu
confusing	0.229	0.690	0.222	cunfusu
confusion	0.255	0.667	0.277	cunfusione
conga	0.469	0.529	0.440	cunga
congenial	0.820	0.412	0.620	simpaticu
congenital	0.448	0.434	0.427	cungenitale
congestion	0.271	0.654	0.491	congestione
conglomerate	0.500	0.500	0.838	cunglomeratu
conglomeration	0.541	0.720	0.670	cunglomerazione
congrats	0.930	0.726	0.775	felicitazioni
congratulate	0.927	0.724	0.784	felicità
congratulation	0.948	0.780	0.717	felicitazione
congratulations	0.960	0.755	0.719	felicitazioni
congratulatory	0.959	0.616	0.689	felicitazione
congregate	0.653	0.530	0.733	cungregate
congregation	0.561	0.490	0.700	cungregazione
congress	0.449	0.444	0.857	cungressu
congressional	0.552	0.491	0.848	cungressuali
congressman	0.438	0.471	0.877	cungressista
congruence	0.656	0.472	0.577	cungruenza
conic	0.510	0.368	0.379	cunicu
conical	0.490	0.422	0.471	cunicu
conjecture	0.396	0.398	0.534	cungettura
conjugal	0.698	0.510	0.688	cunjugali
conjugate	0.583	0.420	0.467	cunjugà
conjugation	0.479	0.429	0.582	cunjugazione
conjunction	0.520	0.472	0.509	cunghjunzione
conjunctive	0.487	0.444	0.639	cunghjuntivu
conjure	0.385	0.679	0.645	cungiura
conjuring	0.224	0.653	0.694	conjuring
conk	0.340	0.469	0.404	cuncu
connect	0.724	0.299	0.536	cunnette
connected	0.816	0.550	0.612	cunnessu
connection	0.729	0.560	0.655	cunnessione
connective	0.719	0.491	0.764	cunghjuntivu
connoisseur	0.760	0.461	0.769	cunniscenza
conquer	0.694	0.873	0.971	cunquistà
conquering	0.760	0.873	0.936	cunquistà
conqueror	0.604	0.809	0.930	cunquistatore
conquest	0.710	0.702	0.833	cunquista
conscience	0.663	0.375	0.721	cuscenza
conscientious	0.688	0.404	0.688	cuscenza
conscious	0.740	0.333	0.705	cuscenti
consciousness	0.840	0.483	0.755	cuscenza
conscription	0.396	0.775	0.642	coscrizione
consecrated	0.663	0.500	0.800	cunsacratu
consecration	0.771	0.418	0.804	cunsacrazione
consecutive	0.663	0.418	0.643	consecutivu
consensual	0.663	0.417	0.655	cunsensuali
consensus	0.627	0.358	0.625	cunsensu
consent	0.750	0.500	0.620	accunsentu
consenting	0.727	0.406	0.693	accunsentendu
consequence	0.240	0.721	0.593	cunsiquenza
consequent	0.663	0.471	0.625	cunsiquenza
conservation	0.832	0.401	0.606	cunservazione
conservatism	0.406	0.369	0.633	cunservaturisimu
conservative	0.615	0.316	0.788	cunservatore
conservatory	0.635	0.240	0.729	conservatoriu
conserve	0.690	0.347	0.573	cunservà
consider	0.677	0.368	0.579	cunzidira
considerable	0.653	0.314	0.683	considerable
considerate	0.781	0.380	0.633	cunzidiratu
consideration	0.589	0.380	0.687	considerazione
consignee	0.635	0.385	0.602	destinatariu
consignment	0.490	0.440	0.500	cunsegna
consist	0.823	0.386	0.580	cunsiste
consistency	0.714	0.500	0.887	cuerenza
consistent	0.786	0.431	0.726	coherente
consolation	0.408	0.250	0.304	cunsulazione
console	0.625	0.398	0.415	cunsola
consoled	0.700	0.343	0.452	cunsulatu
consolidate	0.880	0.440	0.870	cunsulidà
consolidated	0.700	0.366	0.784	cunsulidatu
consolidation	0.604	0.445	0.776	cunsulidazione
consonant	0.500	0.347	0.417	cunsunanti
consort	0.632	0.509	0.630	cunsortu
conspicuous	0.479	0.520	0.596	evidenti
conspiracy	0.125	0.787	0.652	cuspirazione
conspirator	0.271	0.786	0.707	cuspiratore
conspire	0.206	0.740	0.520	conspira
constable	0.573	0.667	0.764	cuntestable
constancy	0.786	0.443	0.763	custanza
constant	0.740	0.296	0.686	custanti
constantly	0.663	0.561	0.700	constantemente
constellation	0.719	0.533	0.775	custellazione
consternation	0.167	0.680	0.469	custernazione
constipation	0.079	0.612	0.231	stitichezza
constituency	0.500	0.480	0.696	circoncisione
constituent	0.573	0.500	0.827	custituente
constituents	0.573	0.414	0.833	custituenti
constitute	0.812	0.349	0.906	custituisci
constitution	0.590	0.380	0.889	custituzione
constitutional	0.633	0.418	0.827	custituziunale
constitutionality	0.612	0.439	0.853	custituziunalità
constrain	0.261	0.500	0.500	custringhje
constrained	0.135	0.537	0.357	custrettu
constraint	0.323	0.550	0.481	custrizzione
construct	0.750	0.648	0.792	custruì
construction	0.848	0.612	0.759	custruzzione
constructive	0.860	0.570	0.812	constructive
construe	0.602	0.519	0.553	custruì
consul	0.573	0.354	0.688	cunsul
consulate	0.561	0.453	0.694	cunsulatu
consult	0.755	0.370	0.441	cunsultà
consultant	0.770	0.344	0.808	cunsultante
consultation	0.660	0.463	0.625	cunsultazione
consume	0.427	0.620	0.509	cunsumà
consumer	0.507	0.551	0.677	cunsumadore
consuming	0.573	0.541	0.536	cunsumà
consummate	0.551	0.540	0.558	cunsumu
consummation	0.583	0.676	0.661	cunsumazione
consumption	0.390	0.531	0.538	cunsumu
contact	0.719	0.424	0.526	cuntattu
contagion	0.208	0.630	0.535	contagiu
contagious	0.184	0.725	0.400	cuntagiosu
contain	0.542	0.490	0.658	cuntene
container	0.551	0.396	0.561	cuntainer
containment	0.411	0.491	0.618	cuntinimentu
contaminate	0.140	0.611	0.426	contaminà
contaminated	0.040	0.500	0.368	contaminatu
contamination	0.125	0.610	0.375	cuntaminazione
contemplate	0.740	0.347	0.642	cuntemplà
contemplation	0.552	0.324	0.627	cuntemplazione
contemplative	0.729	0.308	0.739	cuntimplativa
contemporaneous	0.640	0.373	0.591	cuntimpuraniu
contemporary	0.720	0.365	0.569	cuntimpuraniu
contempt	0.206	0.635	0.396	disprezzu
contemptible	0.146	0.657	0.471	disprezzu
contemptuous	0.204	0.500	0.375	disprezzu
contend	0.510	0.657	0.731	cuntentu
contender	0.480	0.790	0.681	contendente
contending	0.490	0.698	0.716	cuntendu
content	0.764	0.296	0.559	cuntenutu
contented	0.857	0.612	0.746	cuntenta
contention	0.375	0.510	0.738	cuntizzioni
contentious	0.422	0.573	0.637	cuntinciosa
contentment	0.875	0.610	0.782	cuntenta
contents	0.656	0.375	0.550	cuntenuti
contest	0.667	0.698	0.717	cuncorsu
contestant	0.760	0.530	0.602	cuncorsu
context	0.531	0.300	0.553	cuntestu
contiguous	0.375	0.450	0.500	contigu
continence	0.450	0.396	0.469	cuntinenza
continent	0.551	0.373	0.833	cuntinente
continental	0.486	0.350	0.755	cuntinentale
contingency	0.396	0.500	0.670	contingenza
contingent	0.470	0.531	0.659	contingente
continual	0.500	0.423	0.685	cuntinuu
continually	0.646	0.438	0.698	continuu
continuance	0.729	0.510	0.652	continuità
continuation	0.615	0.470	0.566	cuntinuazione
continue	0.630	0.427	0.612	cuntinuà
continued	0.635	0.440	0.500	cuntinuò
continuing	0.667	0.500	0.520	cuntinuà
continuity	0.781	0.439	0.684	cuntinuità
continuous	0.625	0.509	0.580	cuntinuu
continuously	0.719	0.417	0.702	continuu
continuum	0.677	0.390	0.491	cuntinuu
contour	0.589	0.265	0.414	contornu
contraband	0.177	0.875	0.670	cuntrabandu
contraception	0.296	0.518	0.525	contracepzioni
contract	0.594	0.412	0.636	cuntrattu
contracted	0.344	0.557	0.449	cuntrattu
contractile	0.480	0.586	0.569	contractile
contracting	0.594	0.490	0.769	cuntrattu
contraction	0.292	0.755	0.603	cuntrazzioni
contractor	0.592	0.479	0.727	cuntrattu
contradict	0.160	0.598	0.482	cuntrastà
contradiction	0.250	0.660	0.377	cuntradizzione
contradictory	0.365	0.651	0.421	contradictoriu
contraption	0.448	0.590	0.491	cuntrazione
contrary	0.327	0.449	0.338	cuntrariu
contrast	0.480	0.406	0.520	cuntrastu
contrasted	0.521	0.538	0.491	cuntrastu
contravene	0.357	0.618	0.472	contravene
contravention	0.344	0.627	0.593	contravenzione
contribute	0.806	0.350	0.795	cuntribuisce
contribution	0.854	0.452	0.760	cuntribuzione
contributor	0.844	0.510	0.760	cuntributore
contrite	0.347	0.363	0.473	cuntritu
contrition	0.347	0.583	0.463	cuntrizione
contrived	0.408	0.530	0.458	inventatu
control	0.729	0.352	0.808	cuntrollu
controller	0.469	0.712	0.868	controller
controlling	0.490	0.441	0.885	cuntrullà
controversial	0.271	0.858	0.538	cuntruversu
controversy	0.250	0.819	0.600	cuntruversia
contusion	0.167	0.565	0.509	contusioni
conundrum	0.354	0.524	0.408	enigma
convalescent	0.458	0.480	0.269	cunvalescente
convection	0.521	0.494	0.526	cunvezzione
convene	0.583	0.676	0.636	cunghjuntà
convenience	0.781	0.448	0.613	cunvenzione
conveniences	0.802	0.412	0.693	cunvenzioni
convenient	0.846	0.491	0.574	cunvene
convent	0.480	0.217	0.594	cunventu
convention	0.622	0.622	0.704	cunvenzione
conventional	0.594	0.292	0.634	cunvinziunali
converge	0.635	0.471	0.539	cunverge
convergence	0.551	0.491	0.625	cunvergenza
convergent	0.781	0.490	0.696	cunvergente
conversant	0.724	0.360	0.542	cunversazione
conversation	0.750	0.510	0.609	cunversazione
conversational	0.719	0.431	0.596	cunversazione
conversationalist	0.719	0.467	0.667	cunversazione
converse	0.594	0.406	0.598	cunversa
conversing	0.755	0.409	0.442	cunversazione
conversion	0.480	0.605	0.736	cunversione
convert	0.551	0.538	0.704	cunvertisce
converted	0.663	0.418	0.686	cunvertitu
convertible	0.542	0.529	0.717	convertible
convex	0.438	0.427	0.445	cunvessu
convexity	0.449	0.354	0.484	cunvessità
convey	0.719	0.633	0.708	trasmette
conveyance	0.615	0.520	0.455	trasportu
conveyancing	0.375	0.479	0.663	trasportu
convict	0.177	0.840	0.477	cundannatu
conviction	0.615	0.704	0.826	cunvinzione
convince	0.708	0.539	0.763	cunvince
convinced	0.750	0.500	0.630	cunvinta
convincing	0.760	0.527	0.900	cunvinta
convocation	0.538	0.611	0.663	cunvucazione
convoluted	0.323	0.614	0.433	cunvolutu
convolution	0.417	0.559	0.527	cunvoluzione
convoy	0.500	0.671	0.639	convoi
coo	0.490	0.439	0.500	coo
cook	0.847	0.500	0.412	coccu
cookbook	0.602	0.346	0.398	libru di cucina
cooker	0.592	0.373	0.407	cucina
cookery	0.633	0.368	0.345	cucina
cookie	0.792	0.306	0.250	biscottu
cookies	0.823	0.451	0.316	cookies
cooking	0.694	0.510	0.434	cucina
cookout	0.680	0.406	0.482	cucina
cool	0.885	0.540	0.781	cool
coolant	0.720	0.412	0.456	refrigerante
cooler	0.664	0.375	0.460	più cool
cooling	0.469	0.324	0.392	rinfrescante
coolness	0.490	0.307	0.548	freschezza
coon	0.490	0.460	0.400	coun
coop	0.612	0.445	0.650	coop
cooperate	0.898	0.451	0.582	cooperà
cooperating	0.760	0.390	0.693	cooperante
cooperation	0.847	0.473	0.686	cuuperazione
cooperative	0.816	0.461	0.670	cooperativa
coordinate	0.698	0.429	0.694	coordenada
coordination	0.677	0.454	0.789	cuurdinazione
coordinator	0.750	0.510	0.850	coordinatore
cop	0.327	0.770	0.836	cop
copacetic	0.510	0.471	0.453	copaceticu
cope	0.592	0.647	0.709	copre
copier	0.459	0.345	0.390	copiatrice
copilot	0.640	0.538	0.573	copilotu
coping	0.562	0.630	0.613	affruntà
copious	0.427	0.462	0.527	copiosa
copper	0.580	0.260	0.500	ramu
copter	0.571	0.704	0.569	copter
copy	0.460	0.240	0.263	copia
copycat	0.449	0.580	0.443	imitatore
copying	0.448	0.315	0.404	cupià
copyright	0.458	0.402	0.663	copyright
coral	0.802	0.231	0.425	corallo
coral snake	0.276	0.712	0.607	serpente di corallo
cord	0.388	0.378	0.358	cordone
cordial	0.823	0.312	0.482	cordiale
cordless	0.667	0.441	0.528	senza filu
cordon	0.469	0.317	0.380	cordone
corduroy	0.570	0.324	0.357	velluto
core	0.721	0.378	0.540	core
cork	0.347	0.250	0.281	sugheru
corkscrew	0.427	0.443	0.445	cavatappi
corn	0.594	0.196	0.292	granu
cornball	0.479	0.378	0.325	cornball
cornbread	0.643	0.304	0.302	pane di granu
cornea	0.521	0.346	0.443	cornea
corned	0.459	0.441	0.425	corned
corner	0.400	0.296	0.366	angulu
cornerstone	0.550	0.388	0.596	petra angulare
cornet	0.507	0.520	0.415	cornetta
cornfield	0.719	0.310	0.349	campu di granu
cornflakes	0.729	0.346	0.355	cornflakes
cornice	0.458	0.441	0.295	cornice
cornstarch	0.643	0.299	0.337	maizena
corny	0.448	0.370	0.221	cornu
corollary	0.458	0.469	0.366	corollariu
corona	0.818	0.439	0.745	corona
coronary	0.567	0.613	0.509	coronariu
coronation	0.792	0.592	0.836	incoronazione
coroner	0.323	0.558	0.526	coroner
corporal	0.582	0.490	0.596	caporalu
corporate	0.592	0.454	0.745	corporativu
corporation	0.429	0.332	0.873	corporazione
corporeal	0.520	0.350	0.461	corporale
corps	0.551	0.453	0.483	corpu
corpse	0.094	0.657	0.232	cadaveru
corpsman	0.439	0.469	0.651	corpusman
corpus	0.543	0.340	0.490	corpus
corral	0.606	0.662	0.422	corrale
correct	0.857	0.306	0.723	currettu
correction	0.448	0.485	0.558	currezzione
correctional	0.292	0.713	0.602	currezzione
corrective	0.448	0.528	0.613	currettivu
correctness	0.796	0.450	0.649	currettu
correlation	0.596	0.462	0.571	correlazione
correlative	0.510	0.402	0.571	correlativu
correspond	0.710	0.452	0.545	currisponde
correspondence	0.663	0.423	0.491	currispundenza
correspondent	0.573	0.565	0.712	currispundente
corresponding	0.740	0.423	0.618	currispundente
corridor	0.604	0.589	0.592	corridor
corroborate	0.671	0.471	0.616	corroborate
corroboration	0.625	0.431	0.733	cunfirmazione
corrosion	0.156	0.610	0.348	currusioni
corrosive	0.140	0.618	0.570	corrosive
corrupt	0.020	0.806	0.500	currutti
corrupting	0.062	0.804	0.380	corrupting
corruption	0.052	0.830	0.549	corruzzione
corsage	0.510	0.294	0.397	corsage
corse	0.448	0.451	0.382	corse
corset	0.490	0.520	0.381	corset
cortex	0.594	0.439	0.529	corteccia
cortical	0.380	0.423	0.536	corticale
cortisone	0.427	0.395	0.456	cortisone
corvette	0.551	0.520	0.598	corvette
cosmetic	0.625	0.304	0.308	cusmetichi
cosmetics	0.765	0.464	0.472	cusmetichi
cosmic	0.663	0.538	0.692	cosmicu
cosmology	0.651	0.438	0.637	cosmologia
cosmopolitan	0.823	0.510	0.760	cosmopolita
cosmos	0.860	0.478	0.664	cosmu
cost	0.365	0.420	0.439	costu
costly	0.316	0.650	0.642	costu
costume	0.548	0.510	0.374	costume
cosy	0.847	0.255	0.518	accogliente
cot	0.625	0.230	0.278	lettinu
cote	0.439	0.344	0.324	cote
cottage	0.600	0.279	0.361	cottage
cotton	0.639	0.071	0.240	cuttuni
couch	0.594	0.082	0.198	divano
cougar	0.438	0.588	0.538	puma
cough	0.255	0.627	0.241	tosse
council	0.875	0.279	0.635	cunsigliu
councilman	0.531	0.367	0.793	cunsigliu
counsel	0.594	0.519	0.730	cunsigliu
counseling	0.667	0.480	0.704	cunsigliu
counsellor	0.823	0.327	0.740	cunsiglieru
counselor	0.873	0.365	0.706	cunsiglieru
count	0.594	0.389	0.492	cuntà
countdown	0.438	0.692	0.490	countdown
countenance	0.635	0.440	0.690	aspettu
counter	0.439	0.478	0.750	contatore
counteract	0.378	0.542	0.688	contru
counterattack	0.281	0.951	0.764	contraattaccu
counterbalance	0.520	0.480	0.627	cuntrastu
counterclaim	0.398	0.760	0.651	cunvenzione
counterfeit	0.094	0.694	0.451	falsificatu
counterpart	0.448	0.608	0.577	contrapartita
counterpoint	0.438	0.509	0.538	contrapuntu
countess	0.562	0.440	0.670	contessa
countless	0.520	0.566	0.534	innumerevoli
country	0.698	0.394	0.693	paese
countryman	0.673	0.441	0.789	paisanu
countrymusic	0.795	0.451	0.438	musica country
countryside	0.732	0.288	0.327	campagna
counts	0.343	0.373	0.500	conta
county	0.479	0.368	0.545	conte
coup	0.275	0.815	0.607	colpu
coupe	0.479	0.460	0.482	coupe
couple	0.806	0.605	0.607	coppia
coupled	0.612	0.286	0.650	accoppiatu
coupling	0.594	0.479	0.555	accoppiamentu
coupon	0.704	0.300	0.421	cuponu
courage	0.830	0.728	0.849	curaggiu
courageous	0.918	0.587	0.879	curaggiu
courier	0.551	0.383	0.441	corriere
courses	0.735	0.412	0.534	corsi
coursing	0.542	0.472	0.546	cursing
court	0.479	0.769	0.827	tribunale
courteous	0.937	0.396	0.529	cortese
courtesy	0.927	0.287	0.431	cortesia
courthouse	0.571	0.503	0.818	tribunale
courtroom	0.385	0.670	0.887	aula di tribunale
courts	0.367	0.710	0.816	tribunali
courtship	0.667	0.490	0.654	corteggiamento
courtside	0.592	0.391	0.434	cortile
courtyard	0.503	0.365	0.355	cortile
cousin	0.675	0.394	0.427	cuginu
cousins	0.760	0.409	0.464	cugini
cove	0.500	0.304	0.370	cala
coven	0.458	0.578	0.591	coven
covenant	0.594	0.462	0.667	allianza
cover	0.365	0.240	0.471	coperta
coverage	0.767	0.413	0.629	copertura
covered	0.562	0.340	0.644	coperto
covering	0.615	0.382	0.583	copre
covert	0.500	0.570	0.508	segretu
covet	0.302	0.779	0.524	brama
coveted	0.661	0.730	0.625	bramatu
cow	0.449	0.230	0.300	vacca
coward	0.102	0.490	0.149	codardo
cowardice	0.133	0.621	0.167	codardia
cowardly	0.102	0.385	0.127	codardo
cowboy	0.594	0.625	0.695	cowboy
cowgirl	0.541	0.566	0.554	cowgirl
cowhand	0.438	0.480	0.596	vacca
cowhide	0.458	0.324	0.333	pelle di vacca
cowl	0.427	0.450	0.232	cappucciu
coworker	0.667	0.490	0.625	cumpagnu di travagliu
coy	0.347	0.330	0.213	coghju
coyote	0.459	0.471	0.387	coyote
cozy	0.910	0.356	0.545	accogliente
crab	0.421	0.396	0.330	grancu
crabby	0.198	0.812	0.370	crabby
crack	0.302	0.625	0.400	crack
cracked	0.224	0.520	0.228	craccatu
cracker	0.604	0.343	0.346	cracker
crackerjack	0.567	0.509	0.426	crackerjack
cracking	0.327	0.557	0.286	cracking
crackle	0.327	0.643	0.481	crepitare
crackpot	0.260	0.602	0.245	crackpot
cradle	0.776	0.194	0.333	culla
craft	0.760	0.321	0.539	artighjanu
crafts	0.667	0.380	0.391	artighjanali
craftsman	0.719	0.310	0.583	artighjanu
craftsmanship	0.823	0.373	0.571	artighjanu
crafty	0.589	0.679	0.783	astutu
craig	0.448	0.449	0.490	craig
cram	0.354	0.730	0.598	cram
crammed	0.406	0.740	0.466	accattatu
cramp	0.194	0.796	0.340	crampu
cramped	0.240	0.567	0.360	strettu
cranberry	0.793	0.330	0.363	cranberry
cranberry juice	0.622	0.321	0.281	sucu di cranberry
crane	0.396	0.417	0.589	gru
cranial	0.354	0.510	0.583	craniale
cranium	0.439	0.491	0.725	craniu
crank	0.448	0.275	0.417	manivela
cranky	0.194	0.776	0.396	cranky
cranny	0.194	0.471	0.250	cranny
crap	0.083	0.644	0.167	merda
crappy	0.039	0.582	0.208	merda
craps	0.375	0.420	0.273	craps
crash	0.194	0.906	0.355	crash
crass	0.223	0.490	0.466	crass
crate	0.427	0.173	0.274	cassa
crater	0.450	0.647	0.529	cratere
crave	0.625	0.510	0.731	brama
craving	0.510	0.755	0.636	brama
crawfish	0.510	0.427	0.342	aragosta
crawl	0.479	0.519	0.467	arrampicà
crayon	0.604	0.260	0.185	crayon
crayons	0.684	0.366	0.405	pastelli
craze	0.255	0.657	0.435	mania
crazed	0.153	0.877	0.417	pazza
craziness	0.238	0.908	0.255	follia
crazy	0.156	0.843	0.321	pazza
creak	0.344	0.670	0.411	scricchiola
creaking	0.302	0.743	0.415	scricchiola
cream	0.688	0.259	0.220	crema
creamed	0.723	0.273	0.288	crema
creamer	0.594	0.192	0.269	crema
