English Word	Valence	Arousal	Dominance	Chinese-Traditional Word
douche	0.490	0.413	0.397	沖洗
douchebags	0.327	0.587	0.366	混蛋
dough	0.588	0.229	0.391	麵團
doughboy	0.365	0.443	0.396	團子
doughnut	0.663	0.380	0.279	甜甜圈
dour	0.360	0.404	0.325	陰沉的
douse	0.365	0.453	0.412	澆滅
dove	0.729	0.235	0.437	鴿子
down	0.208	0.330	0.264	下
downcast	0.071	0.500	0.222	沮喪
downer	0.120	0.594	0.226	唐納
downfall	0.200	0.717	0.182	倒台
downfield	0.521	0.330	0.380	低場
downhearted	0.119	0.461	0.255	消沉
downhill	0.292	0.573	0.279	下坡
download	0.602	0.490	0.503	下載
downpour	0.328	0.602	0.481	傾盆大雨
downright	0.625	0.454	0.679	徹頭徹尾
downriver	0.542	0.469	0.279	下游
downside	0.190	0.400	0.246	缺點
downtime	0.240	0.226	0.324	停機時間
downward	0.188	0.347	0.255	向下
downy	0.630	0.170	0.255	毛茸茸的
dowry	0.604	0.453	0.544	嫁妝
doze	0.592	0.200	0.405	瞌睡
dozen	0.583	0.343	0.425	打
drab	0.327	0.300	0.242	單調
draft	0.438	0.360	0.351	草稿
drafty	0.458	0.500	0.518	通風的
drag	0.388	0.606	0.348	拖
dragon	0.541	0.821	0.712	龍
dragonfly	0.571	0.373	0.357	蜻蜓
drain	0.277	0.470	0.222	流走
drainage	0.219	0.354	0.307	引流
drained	0.310	0.441	0.352	排幹
draining	0.337	0.396	0.304	排水
drainpipe	0.417	0.413	0.277	排水管
drake	0.467	0.411	0.452	德雷克
drama	0.430	0.755	0.481	戲劇
dramaqueen	0.337	0.682	0.482	戲劇女王
dramatic	0.367	0.780	0.443	戲劇性
drape	0.417	0.439	0.404	懸垂
drapery	0.479	0.220	0.223	布料
drastic	0.194	0.839	0.657	劇烈的
drat	0.302	0.516	0.409	德拉特
draught	0.465	0.245	0.316	草稿
draw	0.704	0.449	0.481	畫
drawback	0.302	0.422	0.148	退稅
drawbridge	0.551	0.557	0.438	吊橋
drawer	0.429	0.196	0.292	抽屜
drawers	0.539	0.260	0.236	抽屜
drawing	0.698	0.216	0.333	繪畫
dread	0.153	0.792	0.368	恐懼
dreaded	0.122	0.706	0.460	害怕
dreadful	0.092	0.786	0.348	可怕
dreadfully	0.246	0.806	0.306	可怕地
dreading	0.125	0.760	0.377	害怕
dream	0.844	0.157	0.328	夢
dreamboat	0.776	0.491	0.458	夢舟
dreamer	0.820	0.394	0.455	夢想家
dreaming	0.854	0.320	0.336	做夢
dreamland	0.844	0.471	0.566	夢境
dreams	0.865	0.415	0.530	夢想
dreamt	0.812	0.380	0.518	夢見
dreamy	0.837	0.350	0.500	夢幻般的
dreary	0.260	0.490	0.324	淒涼
dredge	0.427	0.445	0.444	疏通
drenched	0.302	0.361	0.388	濕透的
dress	0.760	0.300	0.345	裙子
dresser	0.604	0.398	0.473	梳妝台
dressmaker	0.698	0.460	0.483	裁縫
dressy	0.800	0.570	0.696	考究的
dribble	0.417	0.551	0.465	運球
dried	0.427	0.260	0.385	曬乾
drier	0.306	0.347	0.392	乾燥劑
drift	0.316	0.520	0.375	漂移
drifted	0.312	0.542	0.310	飄過
drifter	0.449	0.512	0.391	漂泊者
driftwood	0.321	0.283	0.439	浮木
drill	0.250	0.602	0.573	鑽頭
drink	0.650	0.552	0.474	喝
drinker	0.365	0.735	0.441	飲酒者
drinking	0.562	0.459	0.317	喝
drinks	0.729	0.656	0.412	飲料
drip	0.392	0.193	0.175	滴
dripping	0.302	0.257	0.267	滴水
drive	0.625	0.689	0.713	駕駛
drivel	0.398	0.469	0.463	胡言亂語
driver	0.553	0.538	0.637	司機
driveway	0.612	0.392	0.689	車道
drizzle	0.521	0.353	0.319	細雨
droll	0.459	0.573	0.422	滑稽
drone	0.429	0.686	0.596	無人機
drones	0.398	0.577	0.588	無人機
drool	0.385	0.398	0.204	流口水
drooping	0.245	0.558	0.353	下垂
droopy	0.438	0.350	0.297	下垂
drop	0.479	0.321	0.291	降低
droplet	0.625	0.208	0.194	水滴
dropout	0.253	0.550	0.481	退出
dropper	0.333	0.216	0.236	滴管
drought	0.133	0.353	0.267	乾旱
drove	0.541	0.528	0.623	開車
drown	0.071	0.860	0.270	淹
drowsiness	0.260	0.194	0.303	睡意
drowsy	0.375	0.180	0.240	昏昏欲睡
drudgery	0.094	0.522	0.241	苦差事
drug	0.214	0.790	0.453	藥品
drug dealing	0.042	0.843	0.500	毒品交易
drugged	0.102	0.750	0.321	下藥
druggist	0.240	0.561	0.417	藥劑師
drugs	0.167	0.750	0.368	藥物
drugstore	0.490	0.343	0.518	藥店
druid	0.517	0.445	0.481	德魯伊
drum	0.615	0.679	0.339	鼓
drummer	0.646	0.700	0.564	鼓手
drumming	0.594	0.750	0.426	打鼓
drunk	0.194	0.800	0.250	醉
drunk driving	0.073	0.900	0.306	酒後駕車
drunkard	0.240	0.873	0.250	酒鬼
drunken	0.155	0.849	0.250	醉
drunkenness	0.214	0.774	0.336	酒醉
dry	0.363	0.169	0.311	乾燥
dryer	0.479	0.343	0.277	烘乾機
dryness	0.292	0.296	0.263	乾燥
dual	0.573	0.330	0.384	雙重的
dualism	0.490	0.406	0.536	二元論
duality	0.438	0.520	0.503	二元性
dub	0.510	0.480	0.387	配音
dubious	0.414	0.480	0.198	可疑
duchess	0.656	0.548	0.711	公爵夫人
duck	0.594	0.337	0.236	鴨
ducking	0.344	0.573	0.294	閃避
duckling	0.602	0.353	0.263	小鴨
ducky	0.520	0.430	0.368	鴨子
duct	0.449	0.435	0.430	管
ductile	0.508	0.420	0.433	延展性
dud	0.167	0.455	0.246	啞彈
dude	0.809	0.356	0.615	老兄
duds	0.347	0.311	0.339	啞彈
due	0.562	0.340	0.467	到期的
duel	0.271	0.696	0.589	決鬥
dues	0.367	0.461	0.288	會費
duet	0.694	0.693	0.527	二重唱
duffel	0.500	0.400	0.384	粗呢
dugout	0.490	0.370	0.463	獨木舟
duh	0.357	0.461	0.364	呵呵
duke	0.667	0.440	0.669	公爵
dull	0.194	0.120	0.185	乏味的
dullard	0.450	0.480	0.365	笨蛋
dumb	0.188	0.330	0.151	啞的
dumbasses	0.316	0.590	0.363	笨蛋
dumbbell	0.302	0.469	0.364	啞鈴
dumbbitch	0.281	0.636	0.393	笨蛋
dumfound	0.271	0.551	0.295	鄧福德
dumfounder	0.406	0.481	0.400	創始人
dummy	0.440	0.144	0.250	假
dump	0.345	0.500	0.370	傾倒
dumpling	0.580	0.321	0.360	餃子
dumps	0.302	0.583	0.365	轉儲
dumpster	0.229	0.418	0.101	垃圾箱
dun	0.458	0.431	0.339	逼債
dunce	0.188	0.327	0.146	笨蛋
dune	0.459	0.173	0.414	沙丘
dung	0.104	0.549	0.149	糞
dungeon	0.276	0.608	0.440	地牢
dunk	0.406	0.333	0.475	扣籃
duo	0.510	0.500	0.447	雙人組
dupe	0.184	0.760	0.327	欺騙
duplex	0.592	0.452	0.467	雙工
duplicate	0.521	0.490	0.338	複製
duplication	0.480	0.564	0.577	複製
duplicity	0.406	0.500	0.578	表裡不一
durability	0.750	0.398	0.813	耐用性
durable	0.740	0.294	0.688	耐用的
duration	0.656	0.370	0.536	期間
duress	0.302	0.569	0.612	脅迫
dusk	0.532	0.276	0.519	黃昏
dusky	0.229	0.528	0.324	昏暗
dust	0.344	0.246	0.241	灰塵
duster	0.408	0.265	0.296	除塵器
dustpan	0.609	0.466	0.371	簸箕
dusty	0.406	0.294	0.255	塵土飛揚
dutiful	0.724	0.245	0.585	盡職盡責
duty	0.583	0.579	0.651	責任
dwarf	0.370	0.340	0.288	矮人
dwarfed	0.365	0.265	0.293	相形見絀
dweeb	0.354	0.446	0.327	笨蛋
dwell	0.698	0.245	0.611	住
dweller	0.615	0.304	0.500	居住者
dwelling	0.765	0.330	0.481	住宅
dye	0.479	0.314	0.371	染料
dying	0.040	0.664	0.422	垂死
dyke	0.438	0.396	0.566	堤防
dynamic	0.724	0.750	0.836	動態的
dynamical	0.786	0.730	0.827	動態的
dynamics	0.745	0.682	0.774	動力學
dynamite	0.344	0.860	0.783	炸藥
dynamo	0.531	0.650	0.593	發電機
dynasty	0.725	0.588	0.936	王朝
dysentery	0.260	0.528	0.345	痢
dysfunction	0.156	0.410	0.386	功能障礙
dysfunctional	0.125	0.558	0.307	功能失調
dyspepsia	0.212	0.470	0.460	消化不良
eager	0.521	0.812	0.306	渴望的
eagerness	0.406	0.621	0.443	熱切
eagle	0.604	0.594	0.679	鷹
ear	0.469	0.216	0.231	耳朵
earful	0.533	0.462	0.443	耳熟能詳的
earl	0.582	0.461	0.794	伯爵
earlier	0.562	0.352	0.339	早些時候
early	0.633	0.373	0.426	早期的
earn	0.865	0.769	0.817	賺
earnest	0.653	0.380	0.670	認真
earnestly	0.847	0.490	0.717	切實
earnestness	0.812	0.373	0.615	認真
earnings	0.938	0.650	0.875	收益
earpiece	0.583	0.286	0.452	聽筒
earring	0.583	0.520	0.500	耳環
earrings	0.676	0.346	0.517	耳環
earshot	0.552	0.332	0.408	耳聽
earth	0.750	0.225	0.614	地球
earthenware	0.552	0.210	0.320	陶器
earthling	0.531	0.412	0.570	世人
earthly	0.625	0.318	0.518	世俗的
earthquake	0.073	0.930	0.812	地震
earthy	0.375	0.413	0.404	樸實的
ease	0.796	0.385	0.491	舒適
easel	0.694	0.340	0.527	畫架
easement	0.479	0.345	0.302	緩和
easily	0.885	0.279	0.453	容易地
east	0.510	0.250	0.317	東
eastbound	0.541	0.408	0.402	東行
eastern	0.521	0.420	0.480	東
easy	0.865	0.194	0.373	簡單的
easygoing	0.823	0.276	0.538	隨和
eat	0.731	0.500	0.464	吃
eater	0.459	0.337	0.510	食者
eating	0.847	0.491	0.615	吃
eatingdisorders	0.365	0.608	0.508	飲食失調
eavesdrop	0.375	0.710	0.368	竊聽
eavesdropping	0.490	0.380	0.441	竊聽
ebb	0.354	0.451	0.404	落潮
ebony	0.490	0.317	0.400	烏木
ebullient	0.659	0.856	0.746	熱情洋溢的
eccentric	0.531	0.806	0.721	偏心
eccentricity	0.408	0.735	0.745	偏心
ecclesiastical	0.673	0.270	0.660	教會的
echelon	0.490	0.404	0.425	梯隊
echinacea	0.592	0.418	0.454	紫錐菊
echo	0.573	0.373	0.345	迴聲
eclectic	0.646	0.542	0.508	不拘一格的
eclipse	0.541	0.469	0.616	蝕
ecliptic	0.531	0.520	0.556	黃道
ecological	0.885	0.290	0.607	生態的
economic	0.561	0.408	0.639	經濟的
economical	0.667	0.564	0.673	經濟
economics	0.625	0.481	0.632	經濟學
economy	0.583	0.434	0.771	經濟
ecosystem	0.729	0.259	0.633	生態系統
ecstasy	0.796	0.922	0.655	狂喜
ecstatic	0.875	0.769	0.742	欣喜若狂
ecumenical	0.561	0.450	0.547	普世的
eddy	0.500	0.394	0.350	渦流
edema	0.250	0.519	0.318	浮腫
edge	0.439	0.470	0.468	邊緣
edging	0.479	0.394	0.370	磨邊
edgy	0.281	0.895	0.306	前衛
edible	0.750	0.425	0.497	食用
edict	0.316	0.547	0.560	法令
edification	0.625	0.481	0.697	熏陶
edifice	0.551	0.403	0.610	大廈
edit	0.510	0.410	0.544	編輯
editing	0.604	0.404	0.493	編輯
edition	0.542	0.455	0.564	版
editor	0.772	0.431	0.673	編輯
editorial	0.583	0.330	0.570	社論
educate	0.760	0.380	0.728	教育
educated	0.816	0.297	0.625	受過教育
education	0.896	0.275	0.840	教育
educational	0.745	0.457	0.764	教育
educator	0.827	0.317	0.845	教育家
eeeek	0.367	0.540	0.349	關注
eeek	0.333	0.490	0.302	關注
eek	0.292	0.529	0.343	eek
eel	0.292	0.564	0.487	鰻魚
eerie	0.265	0.771	0.442	怪異
effect	0.570	0.518	0.608	影響
effective	0.844	0.632	0.891	有效的
effectiveness	0.640	0.654	0.812	效力
effects	0.470	0.578	0.379	效果
effectual	0.776	0.559	0.820	有效的
effectually	0.724	0.500	0.594	有效地
effectuate	0.510	0.602	0.679	實現
effeminate	0.337	0.619	0.291	柔弱的
efficacious	0.823	0.698	0.845	有效的
efficacy	0.802	0.490	0.906	功效
efficiency	0.802	0.509	0.892	效率
efficient	0.959	0.604	0.830	高效的
effigy	0.510	0.440	0.401	肖像
effort	0.698	0.778	0.858	努力
effortless	0.626	0.090	0.352	毫不費力
effusion	0.344	0.730	0.472	積液
effyou	0.354	0.529	0.490	你
egg	0.684	0.241	0.293	蛋
egghead	0.316	0.492	0.284	蛋頭
eggnog	0.635	0.360	0.259	蛋酒
eggplant	0.592	0.152	0.323	茄子
eggshell	0.408	0.269	0.212	蛋殼
ego	0.328	0.576	0.593	自我
egomaniac	0.133	0.708	0.596	自大狂
egotistical	0.156	0.667	0.363	自負的
egregious	0.150	0.716	0.442	令人震驚的
egress	0.490	0.429	0.287	出口
eight	0.540	0.199	0.315	八
eighteen	0.523	0.340	0.404	十八
eighth	0.531	0.226	0.380	第八
eighty	0.500	0.300	0.453	八十
ejaculate	0.604	0.896	0.604	射精
ejaculation	0.615	0.893	0.547	射精
eject	0.434	0.656	0.559	噴射
ejection	0.188	0.836	0.554	彈射
elaborate	0.561	0.367	0.680	精心製作的
elaboration	0.708	0.500	0.598	細化
elan	0.562	0.367	0.500	伊蘭
elapse	0.514	0.440	0.455	過去
elapsed	0.583	0.451	0.493	過去
elastic	0.656	0.518	0.385	鬆緊帶
elasticity	0.635	0.452	0.582	彈性
elated	0.792	0.960	0.725	興高采烈
elation	0.740	0.853	0.623	興高采烈
elbow	0.448	0.133	0.254	彎頭
eld	0.471	0.292	0.451	場
elder	0.448	0.153	0.462	長老
elders	0.602	0.260	0.441	長者
eldest	0.625	0.471	0.741	最年長的
elect	0.667	0.554	0.661	選
election	0.625	0.519	0.651	選舉
elective	0.612	0.380	0.623	選修課
elector	0.479	0.520	0.766	選民
electoral	0.490	0.631	0.602	選舉
electorate	0.560	0.380	0.696	選民
electric	0.458	0.708	0.512	電的
electric slide	0.542	0.660	0.536	電動滑梯
electrical	0.531	0.620	0.688	電氣
electrician	0.449	0.590	0.620	電工
electricity	0.698	0.810	0.733	電
electrify	0.520	0.769	0.737	通電
electrocute	0.271	0.731	0.555	觸電
electrocution	0.177	0.844	0.692	電刑
electromagnetic	0.531	0.632	0.683	電磁
electron	0.520	0.455	0.560	電子
electronic	0.571	0.490	0.704	電子的
electronics	0.708	0.545	0.574	電子產品
elegance	0.918	0.396	0.824	優雅
elegant	0.865	0.500	0.685	優雅的
element	0.531	0.259	0.481	元素
elemental	0.627	0.306	0.711	元素
elementary	0.594	0.286	0.686	初級
elements	0.510	0.312	0.462	元素
elephant	0.531	0.510	0.615	大象
elevate	0.812	0.500	0.804	提升
elevated	0.704	0.594	0.620	高架
elevation	0.760	0.759	0.711	海拔
elevator	0.562	0.604	0.676	電梯
eleven	0.449	0.250	0.430	十一
eleventh	0.594	0.329	0.357	第十一
elf	0.460	0.457	0.315	精靈
elicit	0.406	0.594	0.658	引出
eligible	0.750	0.400	0.518	有資格的
eliminate	0.265	0.670	0.324	排除
elimination	0.052	0.667	0.431	消除
elite	0.688	0.704	0.737	精英
elitist	0.500	0.606	0.656	精英
elixir	0.708	0.587	0.604	靈丹妙藥
elk	0.439	0.337	0.340	麋鹿
ell	0.469	0.418	0.373	埃爾
ellipse	0.531	0.410	0.479	橢圓
ellipsis	0.653	0.358	0.314	省略
ellipsoid	0.500	0.440	0.419	橢球體
elliptic	0.500	0.431	0.528	橢圓
elliptical	0.338	0.385	0.490	橢圓
elm	0.510	0.345	0.321	榆樹
elongate	0.583	0.385	0.540	拉長
elongation	0.561	0.500	0.500	伸長
elope	0.396	0.694	0.528	私奔
eloquence	0.729	0.490	0.804	口才
eloquent	0.870	0.680	0.741	雄辯
elucidate	0.583	0.509	0.518	闡發
elucidation	0.650	0.574	0.586	闡明
elude	0.438	0.521	0.464	躲避
elusive	0.229	0.615	0.466	難以捉摸
emaciated	0.103	0.541	0.151	瘦弱
email	0.698	0.230	0.456	電子郵件
emanate	0.653	0.464	0.554	發出
emancipation	0.704	0.684	0.763	解放
embankment	0.677	0.438	0.436	堤
embargo	0.229	0.564	0.443	禁運
embark	0.541	0.550	0.619	登船
embarrass	0.082	0.667	0.364	尷尬
embarrassed	0.184	0.560	0.246	尷尬的
embarrassing	0.226	0.809	0.225	尷尬
embarrassment	0.143	0.685	0.226	尷尬
embassy	0.622	0.333	0.758	大使館
embattled	0.235	0.724	0.421	四面楚歌
embed	0.417	0.554	0.670	嵌入
embellish	0.842	0.500	0.769	潤
embellishment	0.673	0.449	0.405	點綴
embers	0.490	0.481	0.508	餘燼
embezzlement	0.143	0.827	0.435	挪用公款
embezzler	0.146	0.823	0.491	挪用公款
emblem	0.640	0.330	0.754	徽
emblematic	0.771	0.459	0.798	象徵性的
embodiment	0.562	0.690	0.663	體現
embolism	0.104	0.660	0.302	栓塞
embossed	0.531	0.481	0.500	浮雕
embrace	0.949	0.490	0.452	擁抱
embroidered	0.677	0.279	0.407	繡花
embroidery	0.781	0.358	0.280	刺繡
embroiled	0.337	0.721	0.420	捲入
embryo	0.673	0.469	0.453	胚胎
embryonic	0.573	0.453	0.598	胚胎
emcee	0.694	0.577	0.691	司儀
emerald	0.740	0.363	0.726	翠
emerge	0.602	0.594	0.731	出現
emergence	0.276	0.857	0.676	緊急情況
emergency	0.200	0.900	0.571	緊急情況
emeritus	0.633	0.402	0.735	退休
emery	0.469	0.583	0.472	金剛砂
emetophobia	0.243	0.620	0.403	恐外症
emigrate	0.356	0.812	0.508	移民
emigration	0.564	0.664	0.432	移民
eminence	0.816	0.644	0.837	顯赫
eminent	0.740	0.620	0.830	傑出
eminently	0.694	0.607	0.773	顯著地
emir	0.510	0.396	0.621	埃米爾
emissary	0.562	0.462	0.636	使者
emission	0.510	0.453	0.591	排放
emit	0.638	0.445	0.510	發射
emo	0.354	0.314	0.226	情緒
emotion	0.693	0.873	0.696	感情
emotional	0.779	0.714	0.526	情緒化的
emotive	0.917	0.741	0.525	情緒化的
empathic	0.760	0.570	0.558	移情
empathize	0.802	0.591	0.660	移情
empathy	0.729	0.349	0.545	同情
emperor	0.651	0.704	0.962	皇帝
emphasis	0.653	0.745	0.816	強調
emphasize	0.510	0.605	0.769	強調
emphatic	0.615	0.707	0.732	強調
emphysema	0.156	0.556	0.336	氣腫
empire	0.688	0.730	0.944	帝國
empirical	0.500	0.510	0.574	經驗
empiricism	0.583	0.460	0.547	經驗主義
employ	0.729	0.481	0.702	採用
employee	0.582	0.361	0.481	員工
employer	0.663	0.518	0.767	雇主
employment	0.750	0.594	0.611	就業
emporium	0.622	0.556	0.724	商場
empower	0.694	0.779	0.891	賦權
empress	0.716	0.669	0.855	皇后
emptiness	0.177	0.173	0.184	空虛
emption	0.570	0.406	0.458	空置
empty	0.188	0.183	0.081	空的
emu	0.420	0.358	0.330	鴯
emulate	0.438	0.340	0.549	仿真
emulsion	0.562	0.431	0.453	乳液
enable	0.760	0.491	0.782	使能夠
enablement	0.600	0.451	0.750	啟用
enact	0.680	0.564	0.598	制定
enactment	0.667	0.612	0.769	頒布
enamel	0.594	0.280	0.306	搪瓷
encampment	0.677	0.573	0.605	營地
enchant	0.873	0.650	0.643	附魔
enchanted	0.917	0.633	0.687	著迷的
enchanting	0.917	0.681	0.708	妖嬈
enchantment	0.816	0.775	0.647	魅力
enchantress	0.398	0.663	0.479	女巫
enchilada	0.542	0.553	0.371	辣醬玉米餅餡
encircle	0.460	0.500	0.519	包圍
encircling	0.510	0.368	0.557	環繞
enclave	0.531	0.333	0.580	飛地
enclose	0.531	0.477	0.473	括
enclosure	0.417	0.375	0.490	外殼
encode	0.490	0.500	0.734	編碼
encomiastic	0.541	0.500	0.670	歌頌的
encomium	0.541	0.451	0.519	讚美
encompass	0.520	0.298	0.661	包含
encore	0.510	0.423	0.500	安可
encounter	0.865	0.702	0.689	遇到
encourage	0.896	0.580	0.704	鼓勵
encouraged	0.953	0.702	0.657	鼓勵
encouragement	0.865	0.700	0.759	鼓勵
encouraging	0.823	0.583	0.755	鼓勵
encroach	0.302	0.742	0.702	侵犯
encroachment	0.255	0.736	0.620	侵犯
encrypt	0.500	0.387	0.500	加密
encryption	0.547	0.415	0.474	加密
encumbrance	0.300	0.521	0.480	累贅
encyclopedia	0.679	0.320	0.645	百科全書
end	0.198	0.349	0.298	結尾
end table	0.541	0.480	0.482	茶几
endanger	0.115	0.885	0.404	危害
endangered	0.083	0.885	0.430	瀕危
endangerment	0.167	0.873	0.519	危害
endearing	0.663	0.434	0.604	可愛的
endeavor	0.677	0.755	0.765	努力
ended	0.302	0.500	0.500	結束了
endemic	0.406	0.480	0.483	地方病
endgame	0.449	0.538	0.526	結束遊戲
ending	0.344	0.365	0.492	結尾
endless	0.347	0.462	0.472	無盡的
endocarditis	0.235	0.587	0.412	心內膜炎
endorse	0.592	0.392	0.472	背書
endorsement	0.834	0.360	0.611	代言
endow	0.684	0.398	0.609	賦予
endowed	0.755	0.510	0.769	賦予
endowment	0.685	0.578	0.647	禀賦
endpapers	0.542	0.400	0.339	尾頁
endpoint	0.311	0.410	0.448	端點
endurance	0.592	0.745	0.760	耐力
endure	0.320	0.610	0.574	忍受
enduring	0.633	0.459	0.768	持久
enema	0.281	0.673	0.268	灌腸
enemy	0.135	0.794	0.591	敵人
energetic	0.847	0.868	0.902	精力充沛
energize	0.792	0.810	0.875	通電
energy	0.944	0.725	0.868	活力
enforce	0.583	0.644	0.836	執行
enforcement	0.594	0.571	0.736	執法
enforcer	0.398	0.612	0.639	執行者
engage	0.771	0.796	0.713	從事
engaged	0.837	0.596	0.849	已訂婚的
engagement	0.906	0.587	0.807	訂婚
engaging	0.948	0.612	0.862	引人入勝
engender	0.561	0.741	0.688	產生
engine	0.615	0.644	0.676	引擎
engineer	0.719	0.500	0.875	工程師
engineering	0.735	0.471	0.836	工程
engrave	0.486	0.442	0.517	雕刻
engraved	0.542	0.375	0.473	刻
engraver	0.552	0.417	0.500	雕刻師
engraving	0.604	0.430	0.442	雕刻
engrossed	0.541	0.471	0.304	全神貫注
engrossing	0.698	0.702	0.750	引人入勝
engulf	0.398	0.573	0.500	吞噬
enhance	0.802	0.578	0.814	提高
enhancement	0.877	0.490	0.741	增強
enigma	0.513	0.700	0.500	謎
enigmatic	0.469	0.589	0.679	神秘的
enjoin	0.594	0.454	0.732	責成
enjoy	0.959	0.725	0.750	請享用
enjoyable	1.000	0.481	0.605	愉快的
enjoying	0.908	0.759	0.759	享受
enjoyment	0.930	0.612	0.716	享受
enlarge	0.735	0.606	0.688	放大
enlarged	0.673	0.490	0.518	放大
enlargement	0.677	0.577	0.616	放大
enlighten	0.729	0.549	0.667	開導
enlightened	0.956	0.566	0.700	開明
enlightening	0.825	0.729	0.727	啟發性
enlightenment	0.837	0.549	0.619	啟示
enlist	0.510	0.370	0.483	入伍
enliven	0.833	0.683	0.702	活躍
enmity	0.094	0.706	0.382	敵意
ennui	0.406	0.461	0.316	厭倦
enormity	0.594	0.648	0.848	巨大的
enormous	0.677	0.665	0.886	巨大的
enormously	0.760	0.694	0.872	極大地
enraged	0.083	0.962	0.636	激怒了
enrich	0.896	0.731	0.705	豐富
enroll	0.696	0.530	0.611	註冊
enrollment	0.667	0.391	0.698	註冊
ensemble	0.697	0.418	0.586	合奏
ensign	0.663	0.270	0.545	軍旗
enslave	0.073	0.800	0.481	奴役
enslaved	0.104	0.720	0.321	被奴役
enslavement	0.086	0.635	0.302	奴役
ensue	0.698	0.363	0.332	隨之而來
ensure	0.737	0.406	0.759	確保
entail	0.484	0.630	0.645	蘊涵
entangled	0.319	0.578	0.357	糾纏不清
entanglement	0.302	0.765	0.248	糾纏
enter	0.708	0.470	0.500	進入
enterprise	0.760	0.392	0.754	企業
enterprising	0.865	0.784	0.875	進取
entertain	0.918	0.684	0.598	招待
entertained	0.902	0.644	0.712	娛樂的
entertainer	0.888	0.709	0.759	藝人
entertaining	0.833	0.658	0.660	有趣的
entertainment	0.847	0.750	0.569	娛樂
enthralled	0.745	0.602	0.615	著迷
enthusiasm	0.938	0.816	0.798	熱情
enthusiast	0.867	0.810	0.875	愛好者
enthusiastic	0.885	0.868	0.848	熱情的
entice	0.521	0.887	0.518	誘惑
entire	0.689	0.462	0.698	全部的
entirety	0.854	0.460	0.804	整體
entitle	0.729	0.333	0.827	授權
entity	0.542	0.402	0.670	實體
entomology	0.438	0.396	0.545	昆蟲學
entourage	0.491	0.567	0.467	隨行人員
entrails	0.365	0.538	0.387	內臟
entrance	0.698	0.393	0.526	入口
entrapment	0.177	0.604	0.441	誘捕
entreat	0.304	0.560	0.462	懇求
entree	0.615	0.477	0.624	主菜
entrepreneur	0.885	0.704	0.920	企業家
entrust	0.693	0.310	0.630	委託
entry	0.552	0.353	0.602	入口
enumerate	0.521	0.390	0.491	枚舉
enumeration	0.548	0.327	0.534	枚舉
envelope	0.604	0.275	0.377	信封
envious	0.110	0.754	0.341	羨慕
environ	0.724	0.221	0.433	環境
environment	0.646	0.194	0.528	環境
environmental	0.633	0.313	0.664	環境的
environs	0.561	0.288	0.345	環境
envision	0.625	0.449	0.483	預見
envoy	0.531	0.375	0.586	使者
envy	0.240	0.704	0.427	嫉妒
enzyme	0.562	0.277	0.481	酶
ephemeral	0.500	0.312	0.377	短暫的
ephemeris	0.640	0.380	0.528	星曆
epic	0.857	0.713	0.830	史詩
epidemic	0.092	0.830	0.611	流行性
epidermis	0.418	0.490	0.426	表皮
epidural	0.347	0.452	0.525	硬膜外
epilepsy	0.061	0.854	0.250	癲癇
epileptic	0.146	0.794	0.340	癲癇
epilogue	0.582	0.353	0.466	結語
epiphany	0.625	0.596	0.526	頓悟
episcopal	0.542	0.314	0.750	主教
episode	0.719	0.367	0.509	插曲
episodic	0.531	0.542	0.462	情節的
epistle	0.604	0.417	0.535	書信
epitaph	0.276	0.323	0.442	墓誌銘
epithet	0.530	0.394	0.524	綽號
epitome	0.510	0.500	0.667	縮影
epoch	0.553	0.343	0.797	時代
equal	0.781	0.178	0.407	平等的
equality	0.898	0.305	0.716	平等
equalization	0.625	0.422	0.423	均衡
equalize	0.738	0.281	0.574	均衡
equalizer	0.604	0.451	0.586	均衡器
equally	0.625	0.264	0.436	一樣
equate	0.724	0.382	0.624	等同
equation	0.479	0.384	0.608	方程
equator	0.550	0.302	0.462	赤道
equatorial	0.550	0.271	0.593	赤道
equestrian	0.633	0.519	0.417	馬術
equidistant	0.375	0.406	0.509	等距離
equilibration	0.724	0.317	0.593	平衡
equilibrium	0.676	0.235	0.620	平衡
equip	0.650	0.519	0.713	裝備
equipment	0.745	0.495	0.700	設備
equitable	0.714	0.286	0.750	公平
equity	0.792	0.304	0.614	公平
equivalence	0.663	0.250	0.582	等價
equivalent	0.646	0.347	0.500	相等的
equivocal	0.327	0.482	0.257	模棱兩可
era	0.615	0.407	0.449	時代
eradicate	0.260	0.690	0.686	根除
eradication	0.208	0.788	0.685	根除
erase	0.240	0.260	0.321	擦除
eraser	0.458	0.209	0.311	橡皮
erasure	0.281	0.360	0.265	擦除
ere	0.479	0.312	0.377	以前
erect	0.643	0.885	0.627	直立
erectile	0.542	0.796	0.625	勃起
erection	0.640	0.856	0.695	勃起
ergo	0.385	0.400	0.385	爾格
erode	0.208	0.643	0.580	侵蝕
erosion	0.312	0.770	0.465	侵蝕
erotic	0.625	0.946	0.683	色情
erotica	0.781	0.870	0.579	黃色書刊
err	0.146	0.660	0.236	呃
errand	0.385	0.519	0.482	差事
errant	0.205	0.602	0.375	錯誤的
erratic	0.271	0.503	0.217	不穩定的
erratum	0.327	0.528	0.436	勘誤表
erroneous	0.057	0.561	0.245	錯誤
error	0.094	0.559	0.198	錯誤
erst	0.277	0.422	0.357	第一
erudite	0.719	0.434	0.774	博學
