English Word	Valence	Arousal	Dominance	Bulgarian Word
erosion	0.312	0.770	0.465	ерозия
erotic	0.625	0.946	0.683	еротичен
erotica	0.781	0.870	0.579	еротика
err	0.146	0.660	0.236	грешка
errand	0.385	0.519	0.482	поръчка
errant	0.205	0.602	0.375	заблуден
erratic	0.271	0.503	0.217	непостоянен
erratum	0.327	0.528	0.436	erratum
erroneous	0.057	0.561	0.245	погрешно
error	0.094	0.559	0.198	грешка
erst	0.277	0.422	0.357	първо
erudite	0.719	0.434	0.774	ерудиран
erupt	0.188	0.820	0.818	избухвам
eruption	0.156	0.913	0.733	изригване
escalade	0.480	0.724	0.442	escalade
escalate	0.653	0.714	0.728	ескалирам
escalating	0.646	0.724	0.518	ескалиращ
escalation	0.571	0.807	0.582	ескалация
escalator	0.500	0.530	0.518	ескалатор
escape	0.367	0.765	0.448	бягство
escaped	0.365	0.755	0.518	избягал
escarpment	0.406	0.553	0.470	ескарп
eschew	0.184	0.438	0.370	избягвам
escort	0.729	0.480	0.608	ескорт
escrow	0.449	0.520	0.613	ескроу
esophagus	0.429	0.454	0.464	хранопровод
esoteric	0.500	0.676	0.545	езотеричен
especial	0.827	0.419	0.794	особено
espionage	0.312	0.750	0.620	шпионаж
espouse	0.802	0.529	0.598	съпруг
espresso	0.677	0.620	0.508	еспресо
esprit	0.552	0.431	0.407	esprit
esquire	0.604	0.542	0.518	ескуайър
essay	0.559	0.411	0.530	есе
essayist	0.656	0.460	0.462	есеист
essence	0.663	0.369	0.575	същност
essential	0.812	0.405	0.759	съществено значение
essentially	0.750	0.373	0.802	по същество
establish	0.708	0.500	0.688	установявам
established	0.796	0.394	0.694	установени
establishment	0.690	0.398	0.631	заведение
estate	0.653	0.385	0.647	имоти
esteem	0.745	0.380	0.679	уважение
esteemed	0.694	0.418	0.531	уважаван
esthetic	0.635	0.360	0.558	естетически
estimable	0.796	0.408	0.630	оценимо
estimate	0.719	0.469	0.517	оценка
estimation	0.740	0.480	0.589	оценка
estoppel	0.354	0.459	0.482	estoppel
estranged	0.156	0.382	0.377	отчужден
estrogen	0.580	0.500	0.425	естроген
estuary	0.469	0.278	0.482	устие
etch	0.510	0.367	0.598	ецване
etching	0.567	0.491	0.575	офорт
eternal	0.854	0.409	0.843	вечен
eternity	0.765	0.520	0.911	вечност
ethanol	0.333	0.410	0.534	етанол
ether	0.490	0.306	0.412	етер
ethereal	0.520	0.419	0.518	ефирен
ethic	0.786	0.260	0.791	етика
ethical	0.854	0.324	0.634	етичен
ethics	0.658	0.296	0.731	етика
ethnic	0.583	0.373	0.555	етнически
ethnography	0.571	0.373	0.549	етнография
etiology	0.500	0.385	0.639	етиология
etiquette	0.604	0.350	0.421	етикет
etymology	0.531	0.370	0.529	етимология
eucalyptus	0.602	0.308	0.418	евкалипт
euchre	0.470	0.459	0.442	euchre
eugenics	0.448	0.530	0.518	евгеника
eulogistic	0.740	0.623	0.694	хвалебствен
eulogium	0.542	0.482	0.655	възхваляване
eulogize	0.850	0.518	0.679	възхвалявам
eulogy	0.625	0.443	0.667	хвалебствено слово
euphemism	0.418	0.453	0.491	евфемизъм
euphoria	0.769	0.955	0.648	еуфория
euphoric	0.745	0.904	0.588	еуфоричен
euro	0.680	0.441	0.521	евро
euthanasia	0.229	0.716	0.325	евтаназия
evacuate	0.354	0.792	0.314	евакуирам
evacuation	0.160	0.755	0.582	евакуация
evade	0.304	0.490	0.342	избягвам
evaluate	0.663	0.640	0.649	оценявам
evaluation	0.542	0.667	0.764	оценка
evanescence	0.527	0.519	0.458	изчезване
evangelical	0.602	0.389	0.602	евангелски
evangelist	0.582	0.464	0.702	евангелист
evangelistic	0.660	0.375	0.612	евангелизаторски
evaporate	0.357	0.469	0.402	изпаряват се
evaporation	0.556	0.346	0.388	изпарение
evasion	0.229	0.510	0.418	укриване
evasive	0.117	0.596	0.425	уклончив
eve	0.612	0.378	0.440	навечерието
evening	0.458	0.185	0.318	вечер
evens	0.592	0.430	0.457	дори
event	0.745	0.673	0.664	събитие
eventful	0.543	0.837	0.510	изпълнен със събития
eventual	0.633	0.459	0.413	евентуален
eventuality	0.469	0.627	0.527	евентуалност
evergreen	0.729	0.471	0.546	вечнозелено
everlasting	0.740	0.413	0.809	вечен
evermore	0.677	0.450	0.403	завинаги
everyday	0.740	0.392	0.472	всеки ден
everyman	0.522	0.333	0.535	всеки мъж
evict	0.042	0.632	0.377	изгонвам
eviction	0.185	0.731	0.455	изселване
evidence	0.500	0.500	0.778	доказателства
evident	0.633	0.444	0.664	очевидно
evidentiary	0.448	0.541	0.717	доказателство
evil	0.040	0.827	0.545	зло
evoke	0.438	0.341	0.500	предизвиквам
evolution	0.781	0.657	0.854	еволюция
evolutionary	0.796	0.673	0.825	еволюционен
evolve	0.655	0.692	0.896	развивам се
ewe	0.429	0.216	0.277	овца
ex	0.250	0.520	0.306	пр
exacerbate	0.323	0.776	0.580	изострят
exacerbation	0.344	0.810	0.480	екзацербация
exact	0.719	0.354	0.685	точно
exacting	0.448	0.673	0.767	взискателен
exaggerate	0.193	0.760	0.529	преувеличавам
exaggerated	0.224	0.885	0.732	преувеличено
exaggeration	0.312	0.775	0.582	преувеличение
exalt	0.656	0.750	0.745	превъзнасям
exaltation	0.594	0.892	0.673	екзалтация
exalted	0.676	0.845	0.696	възвишен
exam	0.479	0.663	0.577	изпит
examination	0.378	0.657	0.679	Преглед
examine	0.615	0.623	0.786	изследвам
examiner	0.406	0.575	0.812	изпитващ
example	0.542	0.337	0.510	пример
exasperated	0.229	0.816	0.377	раздразнен
exasperation	0.214	0.833	0.483	раздразнение
excavate	0.583	0.613	0.635	разкопавам
excavation	0.540	0.644	0.527	разкопки
excavator	0.427	0.673	0.649	багер
exceed	0.500	0.827	0.586	надхвърлям
exceeding	0.500	0.802	0.668	превишаване
excel	0.561	0.363	0.466	превъзходен
excellence	0.958	0.620	0.907	съвършенство
excellent	0.970	0.587	0.870	отлично
excelsior	0.700	0.625	0.611	екселсиор
excepting	0.408	0.413	0.526	с изключение
exception	0.469	0.600	0.544	изключение
exceptional	0.806	0.740	0.933	изключителен
excerpt	0.437	0.367	0.543	откъс
excess	0.385	0.889	0.712	излишък
excessive	0.417	0.731	0.601	прекомерно
excessively	0.449	0.882	0.716	прекомерно
exchange	0.740	0.569	0.491	обмен
excise	0.448	0.561	0.577	акциз
excision	0.260	0.480	0.519	изрязване
excitability	0.906	0.910	0.724	възбудимост
excitable	0.803	0.939	0.629	възбудим
excitation	0.792	0.958	0.750	възбуда
excite	0.823	0.950	0.668	вълнувам
excited	0.908	0.931	0.709	развълнуван
excitement	0.896	0.684	0.731	вълнение
exciting	0.950	0.792	0.789	вълнуващо
exclaim	0.635	0.711	0.639	възкликвам
exclamation	0.612	0.745	0.598	възклицание
exclude	0.292	0.500	0.530	изключвам
excluded	0.061	0.540	0.134	изключени
excluding	0.271	0.550	0.324	като изключим
exclusion	0.240	0.530	0.389	изключване
exclusive	0.792	0.630	0.653	изключителен
excrement	0.041	0.558	0.221	екскременти
excretion	0.285	0.650	0.457	екскреция
excruciating	0.083	0.837	0.345	мъчително
excursion	0.625	0.714	0.627	екскурзия
excuse	0.240	0.696	0.318	извинение
exec	0.640	0.352	0.769	изп
execute	0.327	0.708	0.769	изпълни
execution	0.160	0.811	0.713	екзекуция
executioner	0.235	0.816	0.676	палач
executive	0.704	0.449	0.894	изпълнителен
executor	0.365	0.755	0.759	изпълнител
exegesis	0.458	0.472	0.491	екзегетика
exemplar	0.844	0.537	0.625	екземпляр
exemplary	0.833	0.343	0.729	примерен
exemplify	0.735	0.506	0.783	давам пример
exempt	0.588	0.455	0.664	освободени
exemption	0.531	0.578	0.627	освобождаване
exercise	0.750	0.789	0.625	упражнение
exert	0.694	0.735	0.806	упражнявам
exertion	0.663	0.755	0.717	усилие
exhale	0.542	0.490	0.411	издишайте
exhaust	0.546	0.710	0.337	ауспух
exhausted	0.123	0.423	0.202	изтощен
exhaustion	0.366	0.633	0.269	изтощение
exhaustive	0.388	0.635	0.604	изчерпателен
exhibit	0.688	0.633	0.708	експонат
exhibition	0.698	0.590	0.531	изложба
exhilarated	0.890	0.963	0.759	въодушевен
exhilarating	0.917	0.823	0.810	въодушевяващ
exhilaration	0.792	0.868	0.783	въодушевление
exhort	0.378	0.660	0.745	увещавам
exhortation	0.531	0.624	0.580	увещание
exhumation	0.177	0.586	0.473	ексхумация
exhume	0.184	0.627	0.452	ексхумирам
exigent	0.385	0.611	0.792	взискателен
exile	0.184	0.630	0.483	изгнание
exist	0.857	0.421	0.788	съществуват
existence	0.760	0.513	0.771	съществуване
existent	0.635	0.490	0.635	съществуващ
existential	0.583	0.510	0.638	екзистенциален
existing	0.802	0.344	0.750	съществуващ
exit	0.370	0.353	0.399	изход
exodus	0.286	0.663	0.567	изселване
exonerate	0.592	0.500	0.538	оневинявам
exorbitant	0.398	0.865	0.825	прекомерно
exorcism	0.163	0.980	0.557	екзорсизъм
exorcist	0.219	0.906	0.716	екзорсист
exotic	0.840	0.711	0.727	екзотично
expand	0.792	0.559	0.686	разширяване
expanded	0.760	0.406	0.689	разширена
expanse	0.594	0.529	0.689	простор
expansion	0.776	0.618	0.787	разширение
expansive	0.708	0.650	0.778	експанзивен
expatriate	0.265	0.764	0.391	емигрант
expect	0.469	0.327	0.377	очаквам
expectance	0.552	0.724	0.660	очакване
expectancy	0.581	0.622	0.558	очакване
expectant	0.708	0.650	0.474	очакване
expectation	0.771	0.690	0.707	очакване
expected	0.729	0.412	0.545	очакван
expecting	0.561	0.450	0.302	очаквайки
expediency	0.604	0.443	0.703	целесъобразност
expedient	0.885	0.461	0.454	целесъобразно
expedite	0.571	0.858	0.798	ускорявам
expedition	0.735	0.802	0.620	експедиция
expeditious	0.602	0.645	0.773	експедитивно
expel	0.281	0.725	0.452	изгонвам
expendable	0.479	0.490	0.423	разходни
expenditure	0.250	0.608	0.603	разход
expense	0.317	0.451	0.377	разход
expenses	0.240	0.633	0.396	разходи
expensive	0.323	0.540	0.530	скъпо
experience	0.827	0.618	0.905	опит
experienced	0.771	0.613	0.914	опитен
experiences	0.793	0.647	0.795	преживявания
experiment	0.479	0.720	0.675	експеримент
experimental	0.417	0.764	0.396	експериментален
experimentation	0.637	0.769	0.767	експериментиране
experimenter	0.708	0.710	0.700	експериментатор
expert	0.776	0.646	0.911	експерт
expertise	0.792	0.589	0.925	експертиза
expiration	0.265	0.539	0.463	изтичане
expire	0.573	0.745	0.702	изтича
expired	0.198	0.394	0.200	просрочен
expiry	0.194	0.434	0.382	изтичане
explain	0.719	0.517	0.736	обясни
explanation	0.615	0.610	0.825	обяснение
explanatory	0.573	0.433	0.688	обяснителен
expletive	0.357	0.567	0.536	ругатня
explication	0.510	0.445	0.602	експликация
explicit	0.562	0.694	0.734	изрично
explode	0.277	0.885	0.773	експлодирам
exploit	0.312	0.878	0.660	експлоатация
exploitation	0.156	0.920	0.718	експлоатация
exploration	0.594	0.650	0.773	проучване
exploratory	0.653	0.690	0.698	изследователски
explore	0.776	0.660	0.727	изследвайте
explorer	0.729	0.663	0.714	изследовател
explosion	0.167	0.960	0.767	експлозия
explosions	0.123	0.860	0.594	експлозии
explosive	0.156	0.943	0.663	експлозивен
expo	0.610	0.562	0.500	изложение
exponent	0.529	0.510	0.845	експонент
exponential	0.704	0.588	0.763	експоненциален
export	0.567	0.661	0.755	износ
exportation	0.760	0.633	0.673	износ
expose	0.344	0.643	0.537	излагам
exposed	0.471	0.661	0.509	изложени
exposition	0.521	0.627	0.655	експозиция
expository	0.706	0.653	0.636	експозиционен
exposure	0.570	0.830	0.630	излагане
expound	0.438	0.575	0.740	излагам
express	0.760	0.623	0.691	експресен
expression	0.790	0.650	0.721	изразяване
expressive	0.755	0.724	0.685	изразителен
expressway	0.633	0.635	0.587	скоростен път
expropriation	0.188	0.735	0.788	експроприация
expulsion	0.190	0.790	0.529	експулсиране
exquisite	0.892	0.644	0.604	изискан
exquisitely	0.849	0.728	0.723	изящно
extant	0.646	0.390	0.523	съществуващи
extend	0.646	0.570	0.689	разшири
extendable	0.660	0.592	0.722	разтегателен
extended	0.570	0.304	0.649	удължен
extension	0.490	0.510	0.529	разширение
extensive	0.635	0.520	0.760	обширен
extent	0.646	0.451	0.602	степен
exterior	0.542	0.400	0.627	екстериор
exterminate	0.177	0.857	0.736	унищожавам
extermination	0.190	0.860	0.616	изтребление
exterminator	0.344	0.804	0.887	унищожител
external	0.479	0.341	0.509	външен
externally	0.643	0.521	0.568	външно
extinct	0.112	0.491	0.412	изчезнал
extinction	0.104	0.750	0.611	изчезване
extinguish	0.240	0.576	0.482	гасят
extinguisher	0.707	0.379	0.543	пожарогасител
extol	0.582	0.667	0.456	превъзнасям
extort	0.052	0.827	0.570	изнудвам
extortion	0.112	0.868	0.630	изнудване
extra	0.656	0.551	0.745	екстра
extract	0.565	0.402	0.519	екстракт
extracting	0.521	0.709	0.689	извличане
extraction	0.418	0.740	0.526	екстракция
extractor	0.302	0.536	0.519	екстрактор
extracurricular	0.457	0.471	0.743	извънкласни
extradition	0.229	0.627	0.554	екстрадиция
extrajudicial	0.365	0.686	0.667	извънсъдебно
extramural	0.336	0.559	0.537	задочно
extraneous	0.276	0.625	0.478	страничен
extraordinaire	0.847	0.864	0.898	необикновен
extraordinary	0.969	0.728	0.860	извънредно
extraterrestrial	0.510	0.833	0.792	извънземен
extravagance	0.531	0.802	0.700	екстравагантност
extravagant	0.720	0.763	0.812	екстравагантен
extravaganza	0.646	0.786	0.906	феерия
extreme	0.318	0.800	0.721	екстремни
extreme anticipation	0.551	0.740	0.704	изключително очакване
extreme disgust	0.052	0.873	0.456	изключително отвращение
extreme surprise	0.833	0.935	0.676	изключителна изненада
extreme trust	0.826	0.713	0.922	изключително доверие
extremely	0.635	0.827	0.886	изключително
extremely negative	0.030	0.786	0.311	изключително негативно
extremely positive	0.993	0.730	0.839	изключително положителен
extremity	0.408	0.588	0.583	крайник
extricate	0.542	0.510	0.543	измъквам се
extrinsic	0.510	0.479	0.636	външен
extrusion	0.229	0.660	0.545	екструзия
exuberance	0.698	0.816	0.787	изобилие
exude	0.375	0.519	0.411	излъчвам
eye	0.531	0.265	0.425	око
eyeball	0.526	0.422	0.420	очна ябълка
eyebrow	0.510	0.198	0.222	вежда
eyeful	0.802	0.500	0.676	очен
eyeglass	0.531	0.236	0.286	очила
eyeglasses	0.561	0.269	0.306	очила
eyelash	0.480	0.250	0.278	мигли
eyelet	0.632	0.298	0.346	отвор
eyeliner	0.688	0.349	0.347	очна линия
eyepiece	0.418	0.347	0.480	окуляр
eyes	0.760	0.279	0.432	очи
eyesight	0.750	0.226	0.343	зрение
eyewitness	0.541	0.686	0.698	очевидец
fab	0.490	0.380	0.406	добър
fable	0.663	0.387	0.389	басня
fabled	0.625	0.538	0.545	легендарен
fabric	0.635	0.190	0.345	плат
fabricate	0.636	0.491	0.779	изфабрикувам
fabricated	0.418	0.427	0.555	измислени
fabrication	0.573	0.587	0.705	измислица
fabulous	0.979	0.660	0.797	страхотно
facade	0.520	0.333	0.518	фасада
face	0.571	0.173	0.453	лице
faceless	0.230	0.406	0.173	безличен
facet	0.667	0.324	0.382	фасет
facial	0.594	0.429	0.433	лицеви
facile	0.740	0.264	0.307	лесен
facilitate	0.812	0.333	0.509	улеснявам
facility	0.625	0.500	0.654	съоръжение
facing	0.604	0.406	0.550	изправени пред
facsimile	0.490	0.500	0.543	факсимиле
fact	0.683	0.333	0.618	факт
faction	0.469	0.430	0.448	фракция
factor	0.635	0.365	0.678	фактор
factory	0.500	0.500	0.683	фабрика
facts	0.688	0.471	0.693	факти
factual	0.656	0.440	0.545	фактически
faculties	0.643	0.431	0.760	факултети
faculty	0.615	0.412	0.732	факултет
fad	0.663	0.520	0.570	прищявка
fade	0.354	0.333	0.245	избледняват
faded	0.302	0.275	0.194	избледнял
faeces	0.184	0.476	0.175	фекалии
fag	0.122	0.653	0.331	педал
faggot	0.219	0.643	0.292	педик
fail	0.177	0.578	0.154	провалят се
failing	0.125	0.490	0.268	неуспех
failure	0.167	0.575	0.139	провал
fain	0.479	0.417	0.426	приятен
faint	0.063	0.429	0.167	губя съзнание
fainting	0.333	0.510	0.214	припадък
fair	0.812	0.557	0.643	справедлив
fairly	0.790	0.406	0.750	справедливо
fairness	0.740	0.317	0.552	справедливост
fairway	0.541	0.510	0.500	фарватер
fairy	0.776	0.408	0.413	фея
faith	0.833	0.220	0.763	вяра
faithful	0.888	0.333	0.627	верен
faithfulness	0.833	0.426	0.602	вярност
faithless	0.102	0.683	0.304	невярващ
fake	0.073	0.554	0.268	фалшив
faker	0.245	0.630	0.480	фалшификат
falafel	0.560	0.402	0.351	фалафел
falcon	0.557	0.580	0.678	сокол
fall	0.177	0.657	0.221	падане
fallacious	0.271	0.587	0.390	погрешно
fallacy	0.112	0.561	0.430	заблуда
fallback	0.458	0.358	0.508	резервен вариант
fallible	0.365	0.537	0.402	погрешно
falling	0.202	0.716	0.306	падане
fallopian	0.297	0.390	0.464	фалопиев
fallout	0.428	0.356	0.373	изпадам
fallow	0.375	0.368	0.464	угар
false	0.120	0.404	0.240	фалшив
falsehood	0.031	0.625	0.384	лъжа
falsely	0.083	0.480	0.265	фалшиво
falsification	0.173	0.720	0.490	фалшификация
falsified	0.042	0.630	0.306	фалшифицирани
falsify	0.115	0.657	0.409	фалшифицирам
falsity	0.120	0.689	0.186	фалшивост
falter	0.421	0.650	0.346	залитам
fame	0.896	0.755	0.852	слава
famed	0.878	0.750	0.819	известен
familiar	0.906	0.330	0.615	познат
familiarity	0.854	0.346	0.616	фамилиарност
familiarize	0.760	0.365	0.654	запознавам се
family	0.968	0.383	0.643	семейство
familytime	0.939	0.420	0.679	време за семейството
famine	0.163	0.679	0.310	глад
famished	0.177	0.654	0.282	гладен
famous	0.916	0.775	0.882	известен
famously	0.856	0.765	0.787	знаменито
fan	0.781	0.429	0.357	вентилатор
fanatic	0.573	0.780	0.629	фанатик
fanatical	0.555	0.830	0.714	фанатичен
fanaticism	0.292	0.896	0.566	фанатизъм
fanciful	0.677	0.592	0.342	фантастичен
fancy	0.854	0.673	0.534	фантазия
fandango	0.490	0.591	0.429	фанданго
fanfare	0.656	0.640	0.437	фанфари
fang	0.175	0.491	0.455	зъб
fangs	0.286	0.598	0.434	зъби
fanning	0.615	0.330	0.236	раздухване
fantasia	0.898	0.694	0.436	фантазия
fantasize	0.771	0.660	0.356	фантазирайте
fantastic	0.969	0.696	0.831	фантастично
fantasy	0.880	0.627	0.474	фантазия
faraway	0.365	0.356	0.285	далеч
farce	0.265	0.667	0.246	фарс
farcical	0.406	0.481	0.259	фарсов
fare	0.490	0.425	0.645	тарифа
farewell	0.130	0.500	0.591	сбогом
farm	0.781	0.327	0.297	ферма
farmer	0.677	0.432	0.464	земеделски производител
farmhouse	0.690	0.330	0.444	селска къща
farming	0.580	0.414	0.568	Земеделие
farmland	0.729	0.363	0.509	земеделска земя
faro	0.544	0.349	0.357	фаро
fart	0.194	0.439	0.264	пръдя
farther	0.418	0.500	0.430	по-далеч
fascia	0.480	0.366	0.356	фасция
fascinate	0.854	0.683	0.802	очаровам
fascinated	0.812	0.714	0.788	очарован
fascinating	0.979	0.817	0.784	очарователно
fascination	0.885	0.773	0.835	очарование
fascism	0.104	0.740	0.695	фашизъм
fascist	0.200	0.755	0.527	фашист
fashion	0.827	0.616	0.589	мода
fashionable	0.750	0.510	0.605	модерен
fastball	0.688	0.679	0.575	бърза топка
fasten	0.458	0.585	0.529	закрепете
fastener	0.577	0.377	0.491	закопчалка
fastening	0.594	0.473	0.554	закопчаване
fasting	0.388	0.370	0.394	гладуване
fat	0.198	0.353	0.237	дебел
fatal	0.061	0.775	0.509	фатален
fatalism	0.208	0.694	0.631	фатализъм
fatality	0.062	0.798	0.595	смъртност
fate	0.571	0.479	0.712	съдба
fated	0.582	0.472	0.692	обречен
fateful	0.290	0.583	0.402	съдбовен
fathead	0.296	0.527	0.463	дебела глава
father	0.812	0.333	0.824	баща
fatherhood	0.885	0.519	0.682	бащинство
fatherland	0.729	0.469	0.778	отечество
fatherly	0.865	0.363	0.712	бащински
fathom	0.520	0.410	0.523	дълбочина
fatigue	0.173	0.378	0.265	умора
fatigued	0.146	0.433	0.245	уморен
fatso	0.286	0.394	0.336	дебелак
fatten	0.375	0.549	0.363	угоявам
fatty	0.286	0.361	0.325	мазни
faucet	0.427	0.278	0.356	кран
fault	0.188	0.558	0.184	грешка
faultless	0.792	0.500	0.741	безупречен
faulty	0.184	0.520	0.378	дефектен
faun	0.490	0.303	0.376	фавн
fauna	0.646	0.346	0.404	фауна
faux	0.291	0.490	0.204	изкуствен
favor	0.812	0.308	0.519	услуга
favorable	0.952	0.380	0.788	благоприятен
favorite	0.885	0.590	0.691	любими
favoriteholiday	0.867	0.618	0.582	любим празник
favoritism	0.582	0.559	0.658	фаворизиране
fawn	0.626	0.360	0.284	сърновола
fax	0.406	0.368	0.304	факс
faze	0.417	0.515	0.382	вълнение
fear	0.073	0.840	0.293	страх
feared	0.240	0.733	0.509	страхуваха се
fearful	0.083	0.482	0.278	страхлив
fearfully	0.112	0.567	0.271	страхливо
fearing	0.125	0.566	0.256	страхувайки се
fearless	0.810	0.806	0.760	безстрашен
fears	0.061	0.821	0.306	страхове
fearsome	0.115	0.900	0.586	страховит
feasibility	0.653	0.490	0.741	изпълнимост
feasible	0.694	0.388	0.611	осъществимо
feast	0.979	0.724	0.680	празник
feat	0.750	0.706	0.849	подвиг
feather	0.677	0.208	0.144	перо
feathered	0.438	0.288	0.214	пернат
feature	0.667	0.314	0.679	особеност
features	0.667	0.433	0.509	Характеристика
febrile	0.429	0.578	0.414	фебрилен
fecal	0.255	0.528	0.213	фекален
feces	0.240	0.407	0.307	изпражнения
fecundity	0.688	0.591	0.683	плодовитост
fed	0.602	0.370	0.482	нахранени
federal	0.530	0.459	0.859	федерален
federation	0.633	0.354	0.763	федерация
fedup	0.327	0.500	0.352	писнало
fee	0.354	0.386	0.556	такса
feeble	0.157	0.280	0.109	слаб
feed	0.812	0.429	0.739	фураж
feedback	0.622	0.557	0.645	обратна връзка
feeder	0.604	0.452	0.713	хранилка
feel	0.802	0.602	0.596	Усещам
feelgood	0.990	0.441	0.621	чувствам се добре
feeling	0.806	0.329	0.531	чувство
feelingdown	0.490	0.457	0.567	чувствам се потиснат
feelinggood	0.940	0.449	0.655	чувствам се добре
feet	0.510	0.240	0.292	крака
feign	0.340	0.394	0.356	преструвам се
feigned	0.173	0.602	0.333	престорен
feisty	0.592	0.853	0.789	буен
felicity	0.913	0.704	0.793	щастие
feline	0.615	0.745	0.509	котешки
fell	0.255	0.462	0.250	падна
feller	0.406	0.622	0.617	секач
fellow	0.745	0.298	0.570	Колега
fellowship	0.900	0.429	0.778	съдружие
felon	0.111	0.898	0.455	престъпник
felony	0.206	0.808	0.472	престъпление
felt	0.643	0.417	0.566	чувствах
feminine	0.802	0.520	0.394	женски
femininity	0.750	0.479	0.451	женственост
feminism	0.541	0.570	0.636	феминизъм
femme	0.551	0.529	0.398	жена
femoral	0.417	0.324	0.566	бедрена
femur	0.408	0.289	0.413	бедрена кост
fen	0.490	0.276	0.379	fen
fence	0.500	0.198	0.398	ограда
fenced	0.323	0.430	0.429	оградена
fencing	0.542	0.654	0.539	фехтовка
fend	0.646	0.731	0.537	защитавам
fender	0.369	0.459	0.476	калник
fennel	0.573	0.277	0.389	копър
ferment	0.375	0.531	0.418	ферментирам
fermentation	0.420	0.567	0.473	ферментация
fern	0.602	0.240	0.290	папрат
ferocious	0.167	0.915	0.776	свиреп
ferocity	0.235	0.906	0.746	свирепост
ferret	0.385	0.391	0.398	пор
ferry	0.604	0.509	0.389	ферибот
ferryboat	0.594	0.452	0.553	ферибот
fertile	0.888	0.408	0.704	плодороден
fertility	0.885	0.529	0.726	плодовитост
fertilize	0.708	0.443	0.542	торя
fertilizer	0.438	0.463	0.565	тор
fervent	0.646	0.632	0.773	пламенен
fervor	0.573	0.769	0.651	жар
fess	0.395	0.420	0.370	фес
fest	0.704	0.574	0.402	фест
festival	0.870	0.706	0.714	фестивал
festive	0.854	0.740	0.764	празничен
fetal	0.388	0.308	0.364	фетален
fetch	0.479	0.363	0.491	извличам
fete	0.580	0.551	0.465	празник
fetish	0.307	0.706	0.500	фетиш
fetus	0.479	0.519	0.395	плода
feud	0.146	0.796	0.312	вражда
feudal	0.367	0.370	0.610	феодален
feudalism	0.229	0.465	0.607	феодализъм
fever	0.194	0.674	0.364	висока температура
feverish	0.385	0.696	0.436	трескав
fiancee	0.959	0.626	0.556	годеница
fiasco	0.167	0.600	0.200	фиаско
fiat	0.520	0.418	0.446	фиат
fib	0.438	0.510	0.361	фиб
fiber	0.719	0.284	0.390	фибри
fiberglass	0.451	0.451	0.443	фибростъкло
fibrosis	0.160	0.469	0.546	фиброза
fibrous	0.480	0.441	0.464	влакнеста
fickle	0.406	0.481	0.346	непостоянен
fiction	0.438	0.657	0.441	измислица
fictional	0.430	0.490	0.340	измислен
fictitious	0.224	0.444	0.293	фиктивен
fiddle	0.571	0.449	0.391	цигулка
fiddler	0.615	0.580	0.500	цигулар
fidelity	0.765	0.580	0.709	вярност
fidgety	0.229	0.786	0.351	нервен
fiduciary	0.375	0.400	0.509	фидуциар
field	0.640	0.380	0.336	поле
field hockey	0.602	0.786	0.518	Хокей на трева
fielder	0.583	0.378	0.415	полеви играч
fiend	0.146	0.903	0.608	злодей
fiendish	0.167	0.846	0.591	дяволски
fierce	0.281	0.877	0.759	свиреп
fiery	0.418	0.850	0.721	огнена
fiesta	0.927	0.779	0.655	фиеста
fiesty	0.571	0.663	0.472	пикантен
fifteen	0.490	0.290	0.443	петнадесет
fifty	0.571	0.368	0.439	петдесет
fig	0.573	0.390	0.339	фиг
fight	0.531	0.868	0.809	битка
fighter	0.637	0.760	0.898	боец
fighting	0.292	0.885	0.783	борба
fights	0.070	0.920	0.712	битки
figment	0.552	0.316	0.533	измислица
figurative	0.479	0.450	0.634	преносен
figure	0.688	0.328	0.509	фигура
figurine	0.760	0.283	0.258	статуетка
filament	0.510	0.452	0.377	нишка
filamentous	0.531	0.480	0.516	нишковидни
file	0.480	0.316	0.463	файл
filet	0.615	0.392	0.291	филе
filibuster	0.271	0.714	0.508	филибустър
filigree	0.576	0.408	0.514	филигран
filing	0.620	0.420	0.700	картотекиране
filings	0.323	0.412	0.340	стружки
fill	0.729	0.449	0.637	запълвам
filler	0.531	0.347	0.529	пълнител
fillet	0.745	0.415	0.378	филе
filling	0.510	0.382	0.525	пълнеж
filly	0.479	0.564	0.519	кобиличка
film	0.823	0.491	0.566	филм
filmmaker	0.704	0.510	0.635	режисьор
filmy	0.583	0.510	0.425	филмиран
filter	0.440	0.296	0.260	филтър
filth	0.194	0.592	0.319	мръсотия
filthy	0.115	0.714	0.321	мръсен
filtration	0.407	0.520	0.255	филтриране
fin	0.333	0.340	0.377	перка
final	0.276	0.575	0.508	финал
finale	0.406	0.330	0.468	финал
finalist	0.833	0.686	0.736	финалист
finality	0.615	0.368	0.627	окончателност
finalize	0.556	0.550	0.578	финализирам
finalized	0.245	0.210	0.608	финализиран
finally	0.583	0.433	0.465	накрая
finance	0.753	0.431	0.843	финанси
financial	0.667	0.500	0.722	финансови
financier	0.602	0.500	0.778	финансист
finch	0.438	0.444	0.358	чинка
find	0.774	0.555	0.580	намирам
finder	0.360	0.550	0.630	търсач
finding	0.796	0.469	0.664	находка
fine	0.823	0.240	0.647	глоба
finery	0.562	0.479	0.636	накити
finesse	0.740	0.387	0.412	финост
finger	0.321	0.264	0.291	пръст на ръката
fingernail	0.418	0.415	0.153	нокът
fingerprint	0.583	0.404	0.570	пръстов отпечатък
