English Word	Valence	Arousal	Dominance	Estonian Word
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	delta
delude	0.143	0.627	0.353	petta
deluge	0.245	0.714	0.612	veeuputus
delusion	0.344	0.647	0.400	pettekujutelm
delusional	0.219	0.745	0.327	luululine
deluxe	0.792	0.612	0.755	luksuslik
delve	0.469	0.529	0.684	süvenema
demand	0.292	0.673	0.500	nõuda
demanding	0.396	0.750	0.828	nõudlik
demeaned	0.271	0.520	0.212	alandatud
demeaning	0.104	0.645	0.308	alandav
demeanor	0.633	0.433	0.657	käitumine
demented	0.088	0.787	0.309	dementne
dementia	0.092	0.779	0.337	dementsus
demise	0.104	0.596	0.456	hääbumine
demo	0.510	0.314	0.423	demo
democracy	0.680	0.500	0.840	demokraatia
democrat	0.582	0.400	0.755	demokraat
democratic	0.802	0.519	0.798	demokraatlik
demographic	0.459	0.356	0.594	demograafiline
demolish	0.125	0.632	0.700	lammutada
demolished	0.271	0.647	0.353	lammutati
demolition	0.133	0.827	0.541	lammutamine
demon	0.037	0.908	0.509	deemon
demonic	0.146	0.875	0.600	deemonlik
demonstrable	0.735	0.471	0.749	demonstreeritav
demonstrate	0.771	0.552	0.839	demonstreerida
demonstrated	0.617	0.500	0.649	demonstreeriti
demonstrating	0.698	0.571	0.693	demonstreerides
demonstration	0.551	0.676	0.679	demonstratsioon
demonstrative	0.656	0.528	0.736	demonstratiivne
demonstrator	0.520	0.598	0.733	demonstrant
demoralized	0.082	0.590	0.149	demoraliseeritud
demos	0.418	0.370	0.368	demod
demure	0.690	0.315	0.417	tagasihoidlik
den	0.510	0.347	0.398	den
deniability	0.230	0.509	0.417	eitamine
denial	0.194	0.435	0.318	eitamine
denied	0.188	0.604	0.333	eitatud
denim	0.520	0.382	0.327	denim
denomination	0.490	0.363	0.429	nimiväärtus
denominational	0.458	0.375	0.679	konfessionaalsed
denominator	0.450	0.410	0.613	nimetaja
denote	0.448	0.471	0.534	tähistama
denounce	0.083	0.780	0.426	hukka mõista
dense	0.354	0.343	0.536	tihe
density	0.602	0.471	0.561	tihedus
dent	0.306	0.606	0.325	mõlk
dental	0.573	0.404	0.463	hambaravi
dentist	0.479	0.620	0.642	hambaarst
dentistry	0.429	0.570	0.569	hambaravi
dentists	0.364	0.600	0.582	hambaarstid
denunciation	0.146	0.830	0.561	denonsseerimine
deny	0.316	0.667	0.321	eitama
denying	0.080	0.542	0.272	eitades
deodorant	0.480	0.265	0.269	deodorant
depart	0.398	0.480	0.444	lahkuma
departed	0.245	0.536	0.391	lahkunud
department	0.708	0.358	0.642	osakond
departmental	0.612	0.422	0.446	osakondlik
departure	0.573	0.500	0.426	lahkumine
depend	0.388	0.429	0.358	sõltuvad
dependable	0.880	0.357	0.741	töökindel
dependant	0.357	0.404	0.451	sõltuv
dependence	0.250	0.451	0.433	sõltuvus
dependency	0.429	0.365	0.356	sõltuvus
dependent	0.354	0.455	0.404	sõltuv
depict	0.663	0.529	0.723	kujutama
depicting	0.490	0.566	0.602	kujutades
depletion	0.153	0.370	0.236	ammendumine
deplorable	0.135	0.657	0.230	kahetsusväärne
deplore	0.135	0.575	0.373	taunima
deploy	0.500	0.520	0.585	kasutusele võtta
deployment	0.510	0.520	0.612	kasutuselevõtt
deport	0.167	0.667	0.546	väljasaatmine
deportation	0.104	0.786	0.450	küüditamine
depose	0.286	0.420	0.451	maha panna
deposit	0.540	0.379	0.483	tagatisraha
depositary	0.604	0.431	0.500	depositoorium
deposition	0.394	0.510	0.471	ladestumine
depository	0.551	0.373	0.481	hoidla
depot	0.635	0.255	0.471	depoo
depraved	0.031	0.837	0.395	rikutud
depravity	0.115	0.854	0.453	rikutus
depreciate	0.270	0.623	0.445	amortiseerida
depreciated	0.135	0.672	0.250	amortiseerunud
depreciation	0.143	0.571	0.386	amortisatsioon
depress	0.219	0.635	0.528	masendama
depressed	0.024	0.445	0.136	masendunud
depressing	0.146	0.559	0.216	masendav
depression	0.031	0.520	0.232	depressioon
depressive	0.143	0.434	0.202	depressiivne
depresson	0.135	0.400	0.308	depressioon
deprivation	0.194	0.610	0.413	ilmajätmine
deprive	0.271	0.591	0.340	ära võtma
deprived	0.354	0.506	0.536	ilma jäänud
depth	0.708	0.561	0.759	sügavus
deputy	0.429	0.530	0.787	asetäitja
derail	0.108	0.802	0.375	rööbastelt maha sõita
deranged	0.376	0.868	0.357	segaduses
derelict	0.208	0.470	0.237	mahajäetud
derision	0.265	0.670	0.292	pilkamine
derivation	0.521	0.519	0.644	tuletus
derivative	0.541	0.491	0.508	tuletis
derive	0.396	0.324	0.360	tuletada
dermal	0.385	0.406	0.443	dermaalne
dermatologist	0.531	0.358	0.528	dermatoloog
dermatology	0.422	0.500	0.556	dermatoloogia
derogation	0.208	0.460	0.327	erand
derogatory	0.122	0.580	0.404	halvustav
descend	0.385	0.535	0.231	laskuda
descendant	0.684	0.420	0.625	järeltulija
descendent	0.391	0.480	0.565	järeltulija
descending	0.219	0.493	0.250	laskuv
descent	0.300	0.402	0.158	laskumine
describe	0.542	0.472	0.555	kirjeldada
description	0.582	0.425	0.596	kirjeldus
descriptive	0.667	0.352	0.570	kirjeldav
desecrate	0.255	0.806	0.509	rüvetama
desecration	0.125	0.833	0.564	rüvetamine
desert	0.469	0.279	0.389	kõrb
deserted	0.156	0.480	0.214	mahajäetud
deserter	0.122	0.710	0.366	desertöör
desertion	0.122	0.630	0.289	mahajätmine
deserve	0.802	0.436	0.613	väärima
deserved	0.781	0.582	0.689	ära teeninud
deserving	0.802	0.596	0.858	väärivad
design	0.796	0.327	0.632	disain
designate	0.531	0.538	0.683	määrama
designated	0.500	0.412	0.616	määratud
designation	0.612	0.571	0.675	määramine
designed	0.745	0.380	0.595	disainitud
designer	0.875	0.519	0.670	kujundaja
designing	0.792	0.355	0.552	projekteerimine
desirability	0.684	0.550	0.675	soovitavus
desirable	0.740	0.735	0.750	soovitav
desire	0.896	0.692	0.647	soov
desiring	0.814	0.821	0.632	soovides
desirous	0.719	0.824	0.562	sooviv
desist	0.220	0.358	0.291	loobuma
desk	0.510	0.135	0.422	laud
desolate	0.104	0.320	0.228	mahajäetud
desolation	0.073	0.481	0.273	mahajäetus
despair	0.115	0.794	0.245	meeleheide
despairing	0.073	0.735	0.286	meeleheitel
despatch	0.448	0.400	0.613	saatmine
desperado	0.260	0.745	0.361	meeleheitel
desperate	0.083	0.842	0.337	meeleheitel
desperation	0.125	0.904	0.419	meeleheide
despicable	0.146	0.710	0.255	põlastusväärne
despise	0.167	0.745	0.296	põlata
despondent	0.133	0.378	0.221	meeleheitel
despotic	0.141	0.824	0.592	despootlik
despotism	0.255	0.696	0.620	despotism
dessert	0.755	0.491	0.404	magustoit
destination	0.708	0.471	0.637	sihtkoht
destined	0.698	0.462	0.617	määratud
destiny	0.781	0.413	0.611	saatus
destitute	0.130	0.451	0.222	vaesed
destroy	0.046	0.935	0.635	hävitada
destroyed	0.031	0.696	0.288	hävitatud
destroyer	0.083	0.830	0.543	hävitaja
destroying	0.041	0.828	0.660	hävitades
destruct	0.071	0.868	0.525	hävitada
destruction	0.102	0.929	0.613	hävitamine
destructive	0.177	0.870	0.713	hävitav
detach	0.357	0.625	0.450	eralduma
detached	0.280	0.396	0.216	eraldatud
detachment	0.243	0.700	0.443	irdumine
detail	0.514	0.406	0.528	detail
detailed	0.603	0.314	0.472	üksikasjalik
details	0.583	0.367	0.481	üksikasjad
detain	0.351	0.345	0.430	kinni pidama
detainee	0.306	0.510	0.321	kinnipeetav
detect	0.531	0.520	0.565	tuvastada
detectable	0.479	0.539	0.649	tuvastatav
detection	0.708	0.567	0.538	märkamine
detective	0.500	0.764	0.901	detektiiv
detector	0.459	0.630	0.724	detektor
detention	0.265	0.698	0.562	kinnipidamine
deter	0.344	0.537	0.567	heidutada
detergent	0.458	0.304	0.426	pesuaine
deteriorate	0.083	0.471	0.202	halvenema
deteriorated	0.053	0.549	0.237	halvenenud
deteriorating	0.104	0.459	0.112	halvenev
deterioration	0.130	0.512	0.283	halvenemine
determinable	0.625	0.565	0.723	määratav
determinate	0.630	0.314	0.772	määrav
determination	0.776	0.725	0.795	sihikindlus
determine	0.612	0.368	0.776	määrata
determined	0.760	0.528	0.673	kindlaks määratud
deterrent	0.292	0.461	0.385	heidutus
detest	0.083	0.800	0.492	vihkama
detestation	0.177	0.637	0.412	taunimine
detonate	0.375	0.850	0.696	plahvatada
detonation	0.167	0.931	0.741	detonatsioon
detonator	0.207	0.875	0.750	detonaator
detour	0.398	0.539	0.309	ümbersõit
detract	0.344	0.438	0.368	kahandama
detriment	0.281	0.538	0.263	kahju
detrimental	0.203	0.679	0.387	kahjulik
detritus	0.276	0.353	0.363	detritus
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	saksa mark
devalued	0.321	0.462	0.212	devalveeritud
devastate	0.021	0.796	0.509	laastavad
devastated	0.120	0.544	0.264	laastatud
devastating	0.104	0.856	0.419	laastav
devastation	0.090	0.904	0.472	laastamine
develop	0.771	0.670	0.821	areneda
developer	0.844	0.653	0.864	arendaja
developing	0.833	0.587	0.714	arenev
development	0.827	0.500	0.796	arengut
deviant	0.094	0.589	0.398	hälbiv
deviate	0.173	0.562	0.269	kõrvale kalduma
deviating	0.354	0.634	0.536	kõrvale kalduv
deviation	0.105	0.513	0.336	hälve
device	0.562	0.404	0.627	seade
devil	0.161	0.900	0.611	kurat
deviled	0.347	0.559	0.358	kuratlik
devilish	0.073	0.865	0.490	kuratlik
devious	0.250	0.519	0.259	kaval
devise	0.551	0.557	0.670	välja mõelda
devoid	0.219	0.436	0.300	puudulik
devolution	0.345	0.434	0.425	üleandmine
devolve	0.367	0.427	0.596	üle andma
devote	0.802	0.490	0.642	pühenduma
devoted	0.867	0.320	0.698	pühendunud
devotee	0.816	0.461	0.577	pühendunu
devotion	0.802	0.561	0.673	pühendumus
devotional	0.740	0.394	0.655	pühendunud
devour	0.344	0.888	0.574	õgima
devout	0.620	0.357	0.464	usklik
dew	0.604	0.225	0.464	kaste
dexter	0.458	0.473	0.444	dexter
dexterity	0.771	0.673	0.864	osavus
dextrose	0.333	0.402	0.323	dekstroos
diabetes	0.051	0.472	0.279	diabeet
diabetic	0.125	0.269	0.237	diabeetik
diabolical	0.102	0.912	0.456	kuratlik
diagnose	0.378	0.520	0.714	diagnoosida
diagnosis	0.571	0.500	0.819	diagnoos
diagnostic	0.417	0.483	0.635	diagnostika
diagnostics	0.540	0.440	0.750	diagnostika
diagonal	0.500	0.343	0.410	diagonaal
diagram	0.562	0.357	0.445	diagramm
dial	0.620	0.427	0.596	dial
dialect	0.635	0.422	0.526	dialekt
dialectic	0.510	0.540	0.638	dialektiline
dialogue	0.599	0.441	0.625	dialoogi
dialysis	0.194	0.567	0.407	dialüüs
diameter	0.427	0.298	0.483	läbimõõt
diamond	0.910	0.606	0.769	teemant
diamonds	0.927	0.684	0.917	teemandid
diaper	0.409	0.274	0.155	mähe
diaphragm	0.459	0.337	0.517	diafragma
diarrhea	0.092	0.684	0.143	kõhulahtisus
diarrhoea	0.038	0.692	0.250	kõhulahtisus
diary	0.698	0.292	0.464	päevik
diatribe	0.354	0.569	0.409	diatriib
dib	0.479	0.370	0.344	dib
dibs	0.510	0.410	0.391	dibs
dice	0.458	0.441	0.264	täringut
dicey	0.290	0.833	0.727	täringuline
dichotomous	0.365	0.452	0.538	dihhotoomne
dichotomy	0.323	0.482	0.483	dihhotoomia
dick	0.208	0.500	0.462	munn
dickhead	0.115	0.608	0.284	riistapea
dicks	0.310	0.694	0.358	riistad
dictate	0.480	0.423	0.668	dikteerida
dictation	0.255	0.378	0.627	dikteerimine
dictator	0.073	0.760	0.862	diktaator
dictatorial	0.204	0.770	0.840	diktaatorlik
dictatorship	0.082	0.806	0.784	diktatuur
diction	0.439	0.373	0.679	diktsioon
dictionary	0.620	0.250	0.598	sõnastik
dictum	0.385	0.510	0.528	diktum
didactic	0.645	0.480	0.673	didaktiline
diddle	0.429	0.566	0.393	pistma
die	0.031	0.765	0.259	surema
died	0.021	0.650	0.327	suri
diesel	0.490	0.327	0.448	diisel
diet	0.429	0.235	0.398	dieeti
dietary	0.551	0.220	0.261	dieedilised
differ	0.230	0.398	0.396	erinevad
difference	0.474	0.560	0.483	erinevus
differences	0.365	0.582	0.342	erinevusi
different	0.612	0.394	0.473	erinev
differential	0.520	0.378	0.535	diferentsiaal
differentiation	0.367	0.561	0.535	eristamist
differently	0.480	0.431	0.506	erinevalt
differing	0.418	0.410	0.455	erinevad
difficult	0.235	0.700	0.508	raske
difficulties	0.082	0.784	0.357	raskusi
difficulty	0.079	0.740	0.368	raskus
diffuse	0.430	0.431	0.321	hajus
diffusion	0.356	0.615	0.517	difusioon
dig	0.367	0.585	0.637	kaevama
digest	0.720	0.413	0.483	seedida
digestion	0.531	0.410	0.455	seedimist
digestive	0.542	0.413	0.434	seedimist soodustav
digit	0.447	0.286	0.333	numbriline
digital	0.740	0.382	0.529	digitaalne
dignified	0.766	0.481	0.635	väärikas
dignify	0.854	0.588	0.735	väärikaks
dignity	0.844	0.391	0.873	väärikust
digress	0.271	0.625	0.411	kõrvale kalduda
digs	0.448	0.670	0.635	kaevab
dike	0.360	0.384	0.490	tamm
dilapidated	0.229	0.618	0.286	lagunenud
dilatation	0.385	0.574	0.368	laienemine
dilation	0.347	0.490	0.578	laienemine
dildo	0.536	0.587	0.491	dildo
dilemma	0.153	0.590	0.430	dilemma
diligence	0.688	0.423	0.700	hoolsus
diligent	0.760	0.426	0.759	töökas
dill	0.427	0.360	0.373	tilli
diluent	0.417	0.344	0.332	lahjendit
dilute	0.275	0.192	0.349	lahjendada
diluted	0.469	0.310	0.229	lahjendatud
dilution	0.445	0.337	0.352	lahjendamine
dim	0.398	0.321	0.273	hämar
dime	0.653	0.317	0.345	peenraha
dimension	0.592	0.415	0.627	dimensioon
dimensional	0.561	0.484	0.596	mõõtmetega
diminish	0.240	0.357	0.167	kahanema
diminished	0.156	0.269	0.196	vähenenud
diminution	0.316	0.296	0.245	vähenemine
diminutive	0.323	0.200	0.109	deminutiiv
dimwit	0.255	0.459	0.175	ähmane
din	0.440	0.417	0.398	din
dine	0.821	0.519	0.478	einestada
diner	0.643	0.302	0.538	söögikoht
dinghy	0.510	0.269	0.325	kummipaat
dingo	0.608	0.472	0.346	dingo
dingy	0.156	0.483	0.343	räämas
dining	0.724	0.350	0.459	einestamine
dinky	0.357	0.451	0.358	räpane
dinner	0.823	0.392	0.379	õhtusöök
dinnertime	0.796	0.406	0.341	õhtusöögi aeg
dinosaur	0.448	0.630	0.596	dinosaurus
dint	0.378	0.480	0.492	dint
diocesan	0.520	0.283	0.518	piiskopkond
diocese	0.510	0.288	0.575	piiskopkond
diorama	0.592	0.441	0.462	dioraama
dioxide	0.354	0.433	0.456	dioksiidi
dip	0.516	0.583	0.397	dip
diploma	0.750	0.462	0.731	diplom
diplomacy	0.740	0.396	0.774	diplomaatia
diplomat	0.563	0.262	0.868	diplomaat
diplomatic	0.653	0.363	0.918	diplomaatiline
dipper	0.548	0.361	0.348	vanker
dippy	0.430	0.402	0.340	dippy
dipstick	0.365	0.312	0.316	õlimõõtevarras
dire	0.214	0.660	0.259	kohutav
direct	0.793	0.403	0.650	otsene
directed	0.542	0.490	0.541	suunatud
direction	0.719	0.330	0.684	suunas
directive	0.604	0.530	0.918	direktiiv
directly	0.747	0.400	0.702	otse
director	0.688	0.580	0.912	direktor
directory	0.439	0.413	0.538	kataloog
dirt	0.112	0.500	0.236	mustus
dirty	0.153	0.460	0.170	määrdunud
disability	0.073	0.482	0.173	puue
disable	0.115	0.430	0.269	keelata
disabled	0.308	0.443	0.235	puudega
disadvantage	0.150	0.377	0.282	puuduseks
disaffected	0.176	0.410	0.291	rahulolematu
disagree	0.133	0.590	0.345	ei nõustu
disagreeable	0.042	0.643	0.178	ebameeldiv
disagreeing	0.255	0.643	0.350	ei nõustu
disagreement	0.104	0.618	0.236	lahkarvamus
disallow	0.156	0.519	0.424	keelama
disallowed	0.135	0.500	0.328	keelatud
disapointment	0.104	0.418	0.231	pettumus
disappear	0.143	0.441	0.350	kaduma
disappearance	0.214	0.698	0.367	kadumine
disappearing	0.167	0.427	0.379	kaduma
disappoint	0.150	0.633	0.288	pettumust valmistama
disappointed	0.071	0.472	0.241	pettunud
disappointing	0.073	0.640	0.200	pettumust valmistav
disappointment	0.115	0.490	0.336	pettumus
disapproval	0.085	0.551	0.367	taunimist
disapprove	0.160	0.594	0.445	pahaks panna
disapproved	0.104	0.550	0.114	tagasi lükatud
disapproving	0.245	0.625	0.452	tauniv
disarm	0.292	0.528	0.613	desarmeerida
disarray	0.198	0.657	0.223	korralagedus
disaster	0.082	0.892	0.433	katastroofi
disastrous	0.071	0.741	0.439	hukatuslik
disband	0.302	0.491	0.417	laiali saata
disbelief	0.188	0.409	0.373	umbusklikkus
disbelieve	0.188	0.441	0.352	ei usu
disburse	0.418	0.473	0.353	välja maksma
disbursement	0.240	0.443	0.435	väljamakse
disc	0.622	0.410	0.426	plaat
discard	0.240	0.343	0.337	ära visata
discarded	0.229	0.460	0.308	ära visatud
discards	0.240	0.464	0.391	ära viskab
discern	0.459	0.566	0.518	eristama
discernible	0.427	0.441	0.481	märgatav
discerning	0.542	0.584	0.780	tähelepanelik
discernment	0.408	0.471	0.694	eristamisvõime
discharge	0.427	0.538	0.578	tühjenemine
disciple	0.765	0.385	0.462	jünger
disciplinary	0.562	0.593	0.796	distsiplinaar
discipline	0.615	0.471	0.806	distsipliini
disciplined	0.728	0.450	0.750	distsiplineeritud
disclaim	0.235	0.509	0.321	loobuma
disclaimer	0.367	0.571	0.542	lahtiütlemine
disclose	0.490	0.570	0.545	avalikustada
disclosed	0.271	0.575	0.546	avalikustatud
disclosure	0.500	0.615	0.710	avalikustamine
disco	0.710	0.806	0.575	disko
discoloration	0.224	0.373	0.414	värvimuutus
discolored	0.204	0.340	0.269	värvunud
discomfort	0.153	0.719	0.272	ebamugavustunne
disconcerted	0.100	0.612	0.288	hämmeldunud
disconcerting	0.106	0.549	0.269	häiriv
disconnect	0.438	0.292	0.191	lahti ühendada
disconnected	0.292	0.276	0.173	lahti ühendatud
disconnection	0.167	0.283	0.277	lahtiühendamine
disconnects	0.256	0.357	0.241	katkestab ühenduse
discontent	0.240	0.530	0.263	rahulolematust
discontinuance	0.123	0.741	0.337	katkestamine
discontinue	0.354	0.396	0.349	katkestama
discontinuity	0.303	0.439	0.250	katkestus
discontinuous	0.233	0.409	0.316	katkendlik
discord	0.115	0.882	0.465	ebakõla
discount	0.724	0.530	0.302	allahindlust
discounted	0.677	0.471	0.430	allahinnatud
discourage	0.184	0.443	0.267	heidutada
discouraged	0.220	0.304	0.090	heitunud
discouragement	0.112	0.319	0.206	heidutusest
discouraging	0.167	0.469	0.281	heidutav
discourse	0.410	0.550	0.803	diskursus
discover	0.771	0.793	0.673	avastada
discovery	0.823	0.627	0.814	avastus
discredit	0.075	0.529	0.355	diskrediteerida
discredited	0.112	0.491	0.182	diskrediteeritud
discreet	0.552	0.216	0.532	diskreetne
discrepancy	0.260	0.643	0.417	lahknevus
discrete	0.585	0.231	0.429	diskreetne
discretion	0.552	0.320	0.685	diskreetsus
discretionary	0.520	0.365	0.446	suvaline
discriminate	0.125	0.761	0.366	diskrimineerima
discriminating	0.160	0.783	0.462	diskrimineeriv
discrimination	0.051	0.724	0.379	diskrimineerimine
discus	0.542	0.423	0.343	ketas
discuss	0.396	0.769	0.509	arutada
discussion	0.333	0.842	0.536	arutelu
disdain	0.153	0.446	0.441	põlgus
disdainful	0.097	0.480	0.263	põlglik
disease	0.041	0.539	0.333	haigus
diseased	0.123	0.510	0.134	haigestunud
disembodied	0.167	0.620	0.412	kehatu
disengage	0.406	0.529	0.304	lahti ühendada
disengagement	0.327	0.373	0.395	lahtiühendamine
disfigured	0.153	0.613	0.336	moonutatud
disgrace	0.061	0.531	0.331	häbi
disgraced	0.071	0.661	0.250	häbisse sattunud
disgraceful	0.082	0.702	0.240	häbiväärne
disgruntled	0.104	0.658	0.442	rahulolematu
disguise	0.573	0.694	0.431	varjata
disguised	0.500	0.615	0.326	maskeeritud
disgust	0.052	0.775	0.317	vastikust
disgusted	0.051	0.773	0.274	vastikus
disgusting	0.031	0.796	0.245	vastik
dish	0.552	0.255	0.264	nõu
disheartened	0.153	0.343	0.238	masendunud
disheartening	0.010	0.353	0.224	masendav
dishonest	0.191	0.491	0.163	ebaaus
dishonesty	0.094	0.592	0.348	ebaausust
dishonor	0.104	0.620	0.185	ebaaus
dishonorable	0.112	0.641	0.280	autu
dishwasher	0.480	0.296	0.324	nõudepesumasin
disillusionment	0.051	0.519	0.190	pettumus
disinclination	0.125	0.491	0.330	vastumeelsus
disincline	0.458	0.454	0.278	tõrjuma
disinclined	0.385	0.442	0.364	vastumeelt
disinfect	0.448	0.388	0.648	desinfitseerida
disinfectant	0.531	0.429	0.460	desinfektsioonivahend
disinfection	0.517	0.556	0.473	desinfitseerimine
disinformation	0.230	0.577	0.260	desinformatsioon
disingenuous	0.194	0.509	0.204	ebaviisakas
disintegrate	0.143	0.660	0.364	lagunema
disintegration	0.094	0.551	0.381	lagunemine
disinterested	0.398	0.284	0.392	huvitu
disjoint	0.351	0.385	0.322	lahknevad
disjointed	0.323	0.518	0.365	lahutatud
disjunctive	0.286	0.481	0.400	disjunktiivne
disk	0.573	0.423	0.412	kettale
diskette	0.531	0.255	0.391	diskett
dislike	0.156	0.406	0.321	ei meeldi
disliked	0.062	0.510	0.221	ei meeldinud
disliking	0.163	0.637	0.366	ei meeldi
dislocated	0.125	0.625	0.200	nihestatud
dislocation	0.229	0.565	0.373	nihestus
dislodge	0.214	0.769	0.356	tõrjuma
disloyal	0.062	0.582	0.245	ebalojaalne
disloyalty	0.187	0.716	0.267	ebalojaalsus
dismal	0.194	0.450	0.192	masendav
dismantle	0.347	0.644	0.462	lammutama
dismay	0.314	0.681	0.459	nördimus
dismayed	0.165	0.735	0.389	kohkunud
dismemberment	0.104	0.860	0.470	tükeldamine
dismiss	0.167	0.541	0.509	vabaks laskma
dismissal	0.153	0.723	0.271	vallandamine
dismissive	0.188	0.541	0.430	tõrjuv
dismount	0.361	0.423	0.391	maha
disobedience	0.051	0.868	0.369	sõnakuulmatus
disobedient	0.276	0.706	0.353	sõnakuulmatu
disobey	0.143	0.556	0.491	ei kuuletu
disorder	0.115	0.816	0.218	häire
disordered	0.210	0.714	0.288	korratu
disorderly	0.188	0.748	0.385	korratu
disorganized	0.052	0.507	0.184	organiseerimata
disorientation	0.163	0.472	0.212	desorientatsioon
disoriented	0.227	0.643	0.227	desorienteeritud
disown	0.153	0.637	0.368	lahti ütlema
disparage	0.092	0.663	0.336	halvustada
disparaging	0.102	0.626	0.411	halvustav
disparate	0.438	0.500	0.368	erinevad
disparity	0.208	0.482	0.361	ebavõrdsus
dispassionate	0.199	0.217	0.218	kiretu
dispatch	0.317	0.417	0.555	lähetamine
dispatcher	0.365	0.704	0.652	dispetšer
dispel	0.388	0.402	0.411	hajutada
dispensary	0.406	0.380	0.606	dispanser
dispensation	0.388	0.462	0.490	dispensatsioon
dispense	0.561	0.520	0.518	väljastada
dispenser	0.583	0.392	0.470	dosaator
dispersal	0.388	0.507	0.421	hajutamine
disperse	0.375	0.569	0.434	hajutama
dispersed	0.344	0.490	0.274	hajutatud
dispersion	0.270	0.604	0.350	dispersioon
dispirited	0.204	0.280	0.142	masendunud
displace	0.424	0.541	0.454	tõrjuda
displaced	0.281	0.472	0.291	ümberasustatud
displacement	0.276	0.531	0.481	nihe
displacency	0.500	0.528	0.642	nihkumine
display	0.677	0.325	0.400	kuva
displease	0.021	0.702	0.286	pahaks
displeased	0.135	0.690	0.400	rahulolematu
displeasure	0.115	0.559	0.250	meelepaha
disposable	0.271	0.439	0.250	ühekordselt kasutatavad
disposal	0.135	0.608	0.396	kõrvaldamine
dispose	0.548	0.538	0.559	käsutada
disposed	0.688	0.441	0.625	kõrvaldatud
disposition	0.663	0.542	0.734	dispositsioon
dispossessed	0.354	0.577	0.331	võõrandatud
disprove	0.375	0.625	0.613	ümber lükata
dispute	0.219	0.750	0.585	vaidlus
disqualification	0.066	0.677	0.330	diskvalifitseerimine
disqualified	0.129	0.464	0.232	diskvalifitseeritud
disqualify	0.208	0.595	0.267	diskvalifitseerida
disquieted	0.229	0.850	0.290	rahutu
disregard	0.177	0.647	0.308	eiramine
disregarded	0.260	0.458	0.283	tähelepanuta jäetud
disrelish	0.375	0.471	0.304	ebameeldivus
disreputable	0.104	0.688	0.353	halva mainega
disrepute	0.208	0.630	0.292	halva maine
disrespect	0.062	0.637	0.302	lugupidamatus
disrespectful	0.031	0.694	0.273	lugupidamatu
disrupt	0.265	0.640	0.349	häirida
disrupting	0.186	0.557	0.339	häiriv
disruption	0.235	0.735	0.436	katkestus
disruptive	0.255	0.755	0.575	häiriv
dissatisfaction	0.115	0.663	0.202	rahulolematust
dissatisfied	0.042	0.561	0.291	rahulolematu
dissect	0.367	0.750	0.595	lahkama
dissection	0.276	0.632	0.462	lahkamine
disseminate	0.562	0.608	0.750	levitada
dissemination	0.476	0.551	0.583	levitamine
dissension	0.250	0.618	0.414	lahkarvamus
dissent	0.300	0.655	0.407	eriarvamus
dissenting	0.208	0.552	0.366	eriarvamusel
dissertation	0.312	0.575	0.575	väitekirja
disservice	0.250	0.794	0.480	karuteene
dissident	0.350	0.582	0.413	dissident
dissimilar	0.276	0.461	0.472	erinevad
dissipate	0.385	0.368	0.355	hajutada
dissipated	0.281	0.421	0.231	hajunud
dissociation	0.135	0.555	0.471	dissotsiatsioon
dissociative	0.281	0.615	0.397	dissotsiatiivne
dissolution	0.204	0.464	0.349	lahustumine
dissolve	0.271	0.490	0.410	lahustada
dissonance	0.173	0.471	0.336	dissonants
dissuade	0.482	0.500	0.350	heidutada
distal	0.410	0.401	0.438	distaalne
distance	0.233	0.317	0.418	vahemaa
distant	0.229	0.324	0.269	kauge
distaste	0.184	0.625	0.370	vastumeelsus
distasteful	0.264	0.676	0.222	ebameeldiv
distillate	0.500	0.347	0.382	destillaat
distillation	0.396	0.436	0.575	destilleerimine
distilled	0.427	0.573	0.500	destilleeritud
distinct	0.542	0.578	0.509	eristatav
distinction	0.584	0.571	0.750	vahe
distinctive	0.885	0.520	0.604	eristav
distinguish	0.675	0.471	0.600	eristama
distinguishable	0.635	0.530	0.727	eristatav
distinguished	0.823	0.593	0.759	eristuvad
distinguishing	0.622	0.363	0.640	eristav
distort	0.100	0.740	0.366	moonutama
distorted	0.250	0.521	0.280	moonutatud
distortion	0.299	0.570	0.380	moonutus
distract	0.241	0.609	0.336	häirima
distracted	0.194	0.392	0.213	hajameelne
distracting	0.445	0.583	0.400	häiriv
distraction	0.402	0.557	0.390	tähelepanu kõrvalejuhtimine
distraught	0.115	0.903	0.264	häiritud
distress	0.073	0.840	0.396	ahastus
distressed	0.143	0.771	0.324	ahastuses
distressing	0.075	0.750	0.375	ängistav
distribute	0.643	0.596	0.709	levitada
distribution	0.635	0.548	0.788	levitamine
distributor	0.702	0.447	0.718	turustaja
district	0.438	0.327	0.660	ringkond
distrust	0.060	0.670	0.276	usaldamatus
disturb	0.175	0.760	0.481	häirida
disturbance	0.146	0.907	0.404	häirimine
disturbed	0.125	0.870	0.305	häiritud
disturbing	0.146	0.792	0.439	häiriv
disuse	0.229	0.229	0.202	kasutamata
disused	0.250	0.302	0.186	kasutuseta
ditch	0.357	0.364	0.322	kraav
ditto	0.449	0.418	0.411	sama
ditty	0.470	0.433	0.334	räpane
diurnal	0.714	0.296	0.443	päevane
diva	0.660	0.657	0.596	diiva
divan	0.750	0.202	0.262	diivan
dive	0.583	0.531	0.500	sukelduma
