English Word	Valence	Arousal	Dominance	Xhosa Word
culpability	0.112	0.745	0.368	ubutyala
culpable	0.140	0.700	0.319	unetyala
culprit	0.062	0.676	0.333	umenzi wobubi
cult	0.448	0.535	0.648	unqulo
cultivate	0.708	0.410	0.598	hlakulela
cultivated	0.837	0.343	0.564	ilinywe
cultivation	0.625	0.324	0.462	ukulima
cultural	0.802	0.390	0.623	ezenkcubeko
culture	0.753	0.304	0.675	inkcubeko
cultured	0.635	0.429	0.625	ikhuliswe
culvert	0.337	0.324	0.343	ikholveti
cumbersome	0.259	0.623	0.292	inzima
cumulus	0.570	0.433	0.432	cumulus
cunning	0.604	0.685	0.683	namaqhinga
cunt	0.135	0.673	0.377	cunt
cup	0.615	0.167	0.231	indebe
cupboard	0.553	0.200	0.304	ekhabhathini
cupcake	0.656	0.333	0.344	ikeyiki
cupping	0.490	0.610	0.402	ikomityi
cur	0.440	0.519	0.460	cur
curable	0.823	0.292	0.574	iyanyangeka
curate	0.726	0.418	0.526	curate
curative	0.667	0.318	0.613	enyango
curator	0.688	0.389	0.688	umlondolozi
curb	0.472	0.371	0.402	umngcelele
curd	0.542	0.442	0.278	iqanda
cure	0.719	0.377	0.623	unyango
curfew	0.219	0.618	0.623	ixesha lokubuya ekhaya
curiosity	0.750	0.755	0.463	umdla
curious	0.635	0.600	0.483	nomdla wokwazi
curl	0.385	0.452	0.351	curl
curling	0.583	0.592	0.400	ukugoba
currency	0.583	0.418	0.592	imali
current	0.625	0.312	0.612	yangoku
curriculum	0.708	0.306	0.620	ikharityhulamu
curry	0.633	0.345	0.302	ikheri
curse	0.033	0.720	0.375	isiqalekiso
cursed	0.083	0.783	0.393	uqalekisiwe
cursing	0.112	0.860	0.446	isiqalekiso
cursory	0.423	0.451	0.431	ngekhesa
curt	0.245	0.610	0.452	ukunqanda
curtail	0.306	0.439	0.497	ukunciphisa
curtailment	0.230	0.578	0.431	ukunciphisa
curtain	0.698	0.278	0.304	umkhusane
curtains	0.615	0.123	0.342	iikhethini
curtsy	0.635	0.412	0.598	curtsy
curvature	0.417	0.367	0.447	igophe
curve	0.480	0.375	0.307	igophe
curved	0.542	0.407	0.337	igophe
curvilinear	0.480	0.575	0.411	i-curvilinear
cushion	0.653	0.221	0.292	umqamelo
cushy	0.823	0.283	0.395	cushy
cusp	0.667	0.710	0.700	cusp
cuss	0.354	0.538	0.443	thetha
cussed	0.156	0.625	0.454	wathuka
custard	0.618	0.260	0.293	ikhastadi
custodial	0.418	0.462	0.718	ukugcinwa
custodian	0.594	0.625	0.528	umgcini
custody	0.494	0.472	0.675	ugcino
custom	0.552	0.382	0.688	isiko
customary	0.700	0.253	0.561	ngokwesintu
customer	0.562	0.430	0.673	umthengi
customized	0.625	0.504	0.590	eyenzelwe wena
cut	0.490	0.490	0.393	ukusika
cutaneous	0.365	0.370	0.328	ulusu
cute	0.920	0.528	0.579	intle
cuticle	0.340	0.320	0.377	cuticle
cutie	0.638	0.528	0.464	umhlekazi
cutlass	0.173	0.648	0.528	iglasi
cutlery	0.552	0.300	0.345	ukucheba
cutoff	0.432	0.510	0.518	Yisuse ecaleni
cutter	0.427	0.731	0.583	umsiki
cutters	0.197	0.653	0.491	abasiki
cutthroat	0.110	0.823	0.663	umqala
cutting	0.448	0.375	0.536	ukusika
cutting board	0.337	0.540	0.342	Ibhodi yokusika
cuttings	0.479	0.392	0.433	ukusikwa
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	icyanide
cyberspace	0.677	0.594	0.611	indawo yothungelwano
cycle	0.635	0.400	0.533	umjikelo
cyclical	0.380	0.450	0.554	umjikelo
cyclist	0.684	0.582	0.576	umkhweli webhayisikile
cyclone	0.416	0.796	0.673	inkanyamba
cylinder	0.459	0.324	0.447	isilinda
cylindrical	0.458	0.294	0.414	cylindrical
cymbal	0.542	0.363	0.362	icangci
cynic	0.135	0.632	0.473	umgxeki
cynical	0.156	0.760	0.474	egxekayo
cynicism	0.104	0.780	0.454	ukugxeka
cyst	0.173	0.578	0.312	icyst
cystic	0.314	0.481	0.400	icystic
cytomegalovirus	0.186	0.657	0.443	i-cytomegalovirus
cytoplasm	0.378	0.442	0.474	icytoplasm
czar	0.480	0.348	0.643	czar
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	qhwaba
dabbling	0.562	0.726	0.676	Ukudlala
dad	0.857	0.412	0.786	utata
daddy	0.795	0.400	0.736	utata
dado	0.510	0.240	0.364	utata
daemon	0.333	0.490	0.500	idaemon
daft	0.255	0.436	0.157	daft
dagger	0.224	0.797	0.613	ikrele
daily	0.653	0.347	0.473	yonke imihla
dainty	0.604	0.284	0.424	mnandi
daiquiri	0.670	0.519	0.400	daiquiri
dairy	0.633	0.255	0.462	imveliso yobisi
daisy	0.562	0.367	0.333	daisy
dak	0.510	0.417	0.424	dak
dale	0.622	0.270	0.365	idale
dam	0.250	0.553	0.394	idami
damage	0.059	0.726	0.403	umonakalo
damaged	0.104	0.635	0.182	yonakele
damages	0.082	0.760	0.310	umonakalo
dame	0.694	0.480	0.500	utata
damn	0.073	0.784	0.431	Demethi
damnation	0.135	0.750	0.416	umgwebo
damned	0.100	0.760	0.465	igwetyiwe
damp	0.360	0.279	0.210	ifumile
dampened	0.271	0.422	0.336	imanzi
damper	0.459	0.378	0.473	damper
damsel	0.719	0.475	0.400	intombi
dance	0.894	0.840	0.551	umdaniso
dancer	0.740	0.768	0.545	umdanisi
dancing	0.885	0.868	0.444	ukudanisa
dandruff	0.398	0.298	0.293	inkwethu
dandy	0.673	0.520	0.630	dandy
danger	0.115	0.923	0.673	Ingozi
dangerous	0.020	0.941	0.658	yingozi
dangerously	0.082	0.930	0.564	ngokuyingozi
dangit	0.396	0.606	0.358	demethi
dangle	0.362	0.469	0.375	jingisa
dank	0.390	0.381	0.383	dank
dapper	0.770	0.560	0.698	dapper
dare	0.677	0.788	0.684	nesibindi
daredevil	0.429	0.714	0.653	daredevil
daresay	0.540	0.451	0.490	daresay
daring	0.583	0.840	0.711	nesibindi
dark	0.198	0.398	0.426	mnyama
darken	0.250	0.471	0.382	yenza mnyama
darkened	0.135	0.440	0.452	mnyama
darkly	0.219	0.548	0.443	ngokumnyama
darkness	0.102	0.602	0.418	ubumnyama
darkroom	0.188	0.627	0.423	igumbi elimnyama
darkside	0.102	0.690	0.365	icala elimnyama
darling	0.885	0.370	0.608	sithandwa
darn	0.115	0.765	0.418	darn
dart	0.417	0.608	0.500	umkhonto
dash	0.574	0.312	0.324	isikhewu
dashboard	0.510	0.371	0.595	kwideshibhodi
dashed	0.276	0.393	0.338	isikhewu
dashing	0.612	0.627	0.799	ukugqatsa
dastardly	0.208	0.688	0.270	ngokukrakra
data	0.500	0.250	0.426	idatha
database	0.604	0.286	0.644	database
date	0.604	0.231	0.400	umhla
datenight	0.708	0.637	0.518	ebusuku
daughter	0.908	0.415	0.455	intomba
dawdle	0.479	0.464	0.357	dawdle
dawn	0.827	0.235	0.519	isifingo
dawned	0.694	0.471	0.473	kwasa
day	0.719	0.269	0.389	usuku
daybreak	0.802	0.358	0.474	kwakusasa
daycare	0.776	0.481	0.360	inkulisa
daydream	0.750	0.337	0.456	iphupha emini
daydreaming	0.776	0.360	0.479	ukuphupha emini
daylight	0.865	0.420	0.545	emini
daymade	0.646	0.450	0.417	yenziwe emini
dayoff	0.760	0.368	0.377	usuku uphumle
daytime	0.750	0.324	0.454	emini
daze	0.245	0.735	0.329	daze
dazed	0.300	0.697	0.277	othukile
dazzle	0.730	0.782	0.683	dazzle
dazzling	0.854	0.880	0.767	ekhazimlayo
deacon	0.531	0.430	0.736	umdikoni
deactivate	0.235	0.447	0.392	vala
dead	0.052	0.454	0.194	ufile
deadbeat	0.229	0.453	0.368	ukubetha
deadline	0.214	0.615	0.460	umhla wokugqibela
deadlines	0.406	0.769	0.411	imihla emisiweyo
deadlock	0.170	0.418	0.323	locklock
deadly	0.143	0.849	0.554	ebulalayo
deafening	0.281	0.835	0.482	ukuvala iindlebe
deafness	0.125	0.413	0.219	ubuthulu
deal	0.719	0.599	0.543	isivumelwano
dealer	0.799	0.615	0.683	umthengisi
dealership	0.541	0.430	0.629	umthengisi
dealing	0.724	0.415	0.598	ukusebenzelana
dealings	0.600	0.491	0.480	ukusebenzelana
dean	0.612	0.469	0.723	umfundisi
dear	0.880	0.434	0.629	sithandwa
dearest	0.902	0.427	0.508	othandekayo
dearth	0.156	0.539	0.255	indlala
death	0.031	0.720	0.472	ukufa
deathbed	0.051	0.652	0.311	ukhuko lokufa
deathly	0.073	0.771	0.682	ngokufa
debacle	0.156	0.606	0.266	isiphithiphithi
debased	0.219	0.529	0.170	ithotyiwe
debatable	0.181	0.610	0.474	kuyaxoxwa
debate	0.408	0.691	0.683	ingxoxo
debauchery	0.354	0.901	0.500	uburheletya
debenture	0.417	0.500	0.466	isivumelwano
debilitating	0.125	0.490	0.308	buthathaka
debit	0.333	0.400	0.474	debit
debrief	0.247	0.343	0.549	inkcazelo
debriefing	0.427	0.580	0.456	ukuxoxa
debris	0.135	0.396	0.327	inkunkuma
debt	0.204	0.598	0.336	ityala
debtor	0.219	0.546	0.160	onetyala
debut	0.806	0.606	0.629	ekuqaleni
debutante	0.771	0.627	0.454	debutante
decade	0.531	0.402	0.665	ishumi leminyaka
decadence	0.237	0.455	0.291	ukuwohloka
decadent	0.290	0.559	0.324	decadent
decaf	0.480	0.324	0.353	decaf
decanter	0.438	0.567	0.510	i-decanter
decathlon	0.573	0.753	0.620	idecathlon
decay	0.143	0.312	0.170	ukubola
decayed	0.017	0.375	0.169	ibolile
decaying	0.073	0.510	0.214	ukubola
deceased	0.021	0.538	0.188	uswelekile
decedent	0.423	0.481	0.415	decedent
deceit	0.020	0.696	0.343	inkohliso
deceitful	0.071	0.788	0.371	ngobuqhophololo
deceive	0.094	0.775	0.414	khohlisa
deceived	0.059	0.673	0.302	ukhohlisiwe
deceiving	0.099	0.636	0.426	ekhohlisayo
december	0.740	0.540	0.464	EtiMnga
decency	0.750	0.235	0.634	isidima
decent	0.823	0.296	0.653	endilisekileyo
deception	0.090	0.745	0.370	inkohliso
deceptive	0.027	0.605	0.294	ekhohlisayo
decide	0.656	0.540	0.855	isigqibo
decidedly	0.750	0.480	0.843	ngokugqibeleleyo
deciduous	0.385	0.353	0.282	ezinqunqa
decimal	0.507	0.259	0.305	idesimali
decimeter	0.520	0.292	0.377	idecimeter
decipher	0.417	0.630	0.652	isicazululi
decision	0.646	0.510	0.839	isigqibo
decisive	0.740	0.509	0.935	isigqibo
deck	0.420	0.333	0.394	umgangatho
declaration	0.551	0.590	0.714	isibhengezo
declaratory	0.635	0.582	0.673	isibhengezo
declare	0.677	0.623	0.668	bhengeza
declination	0.250	0.549	0.311	ukuhla
decline	0.173	0.491	0.240	ukuhla
declining	0.328	0.400	0.264	ukuhla
deco	0.625	0.274	0.356	ideco
decode	0.551	0.510	0.640	ikhowudi
decoder	0.562	0.340	0.686	idikhowuda
decompose	0.194	0.596	0.241	ukubola
decomposed	0.073	0.442	0.231	ibolile
decomposition	0.133	0.600	0.263	ukubola
decompress	0.438	0.430	0.509	decompress
decompression	0.208	0.520	0.311	ukudakumba
decontamination	0.611	0.538	0.573	ukucoca
decor	0.734	0.311	0.573	umhombiso
decorate	0.954	0.370	0.404	hombisa
decorating	0.863	0.548	0.462	ukuhombisa
decoration	0.878	0.553	0.526	umhombiso
decorative	0.908	0.460	0.381	zokuhombisa
decorator	0.840	0.471	0.455	umhombi
decorum	0.802	0.327	0.462	uhombiso
decoy	0.149	0.460	0.330	khohlisa
decrease	0.125	0.360	0.267	nciphisa
decreased	0.224	0.271	0.170	yehla
decreasing	0.320	0.346	0.224	iyancipha
decree	0.552	0.478	0.746	ummiselo
decrement	0.255	0.427	0.373	ukuncipha
decrepit	0.156	0.490	0.225	enciphile
decry	0.400	0.814	0.548	ukukhala
decryption	0.459	0.445	0.600	ukucima
dedicate	0.823	0.431	0.588	anikezele
dedication	0.867	0.471	0.682	ukuzinikela
deduce	0.490	0.510	0.466	deduce
deduct	0.355	0.330	0.412	ukutsala
deductible	0.375	0.286	0.455	iyatsalwa
deduction	0.438	0.462	0.527	ukutsalwa
deed	0.520	0.320	0.592	isenzo
deejay	0.551	0.630	0.473	deejay
deem	0.594	0.529	0.690	cinga
deep	0.490	0.473	0.657	nzulu
deepen	0.625	0.530	0.776	nzulu
deer	0.583	0.375	0.292	inyamakazi
defamation	0.110	0.670	0.481	ukunyeliswa
defamatory	0.143	0.688	0.402	enyelisa
default	0.459	0.343	0.712	ukungagqibeki
defeat	0.092	0.500	0.224	ukoyiswa
defeated	0.104	0.582	0.145	boyisiwe
defeatist	0.163	0.567	0.315	ukoyiswa
defect	0.135	0.561	0.185	isiphene
defection	0.146	0.594	0.330	ukukreqa
defective	0.122	0.580	0.274	isiphene
defector	0.163	0.696	0.286	isiphako
defend	0.698	0.722	0.670	khusela
defendant	0.250	0.710	0.491	ummangalelwa
defended	0.663	0.451	0.582	wakhusela
defender	0.639	0.708	0.750	umkhuseli
defending	0.604	0.871	0.812	ukukhusela
defense	0.652	0.698	0.802	ukhuselo
defenseless	0.143	0.357	0.105	engenakuzikhusela
defensible	0.740	0.509	0.593	enokukhuseleka
defensive	0.542	0.640	0.678	okhuselayo
defer	0.245	0.459	0.317	libazisa
deference	0.510	0.396	0.447	imbeko
deferral	0.765	0.542	0.327	ukurhoxiswa
deferring	0.343	0.500	0.413	ukulibazisa
defiance	0.333	0.780	0.760	inkcaso
defiant	0.250	0.792	0.769	ngendelelo
defibrillator	0.398	0.663	0.431	i-defibrillator
deficiency	0.073	0.373	0.179	ukusilela
deficient	0.240	0.464	0.132	intsilelo
deficit	0.358	0.500	0.269	intsilelo
define	0.688	0.415	0.632	chaza
defined	0.670	0.214	0.646	kuchaziwe
definite	0.708	0.292	0.741	eqinisekileyo
definition	0.573	0.375	0.579	inkcazelo
definitive	0.583	0.479	0.787	eqinisekileyo
deflate	0.148	0.404	0.237	deflate
deflation	0.287	0.536	0.407	deflation
deflect	0.133	0.491	0.482	phambuka
deflection	0.188	0.500	0.382	ukuphambuka
defloration	0.188	0.690	0.434	ukuthotywa
deform	0.112	0.654	0.284	deform
deformed	0.198	0.435	0.308	isiphene
deformity	0.160	0.569	0.241	ukukhubazeka
defraud	0.175	0.635	0.314	ubuqhophololo
defray	0.375	0.598	0.653	defray
defrost	0.427	0.317	0.389	qhaqha iqhwa
deft	0.719	0.575	0.849	deft
defunct	0.112	0.491	0.272	engasebenziyo
defuse	0.167	0.480	0.430	defute
defy	0.353	0.884	0.657	defy
degeneracy	0.143	0.720	0.298	ukuwohloka
degenerate	0.069	0.724	0.264	yehla
degeneration	0.245	0.578	0.371	ukuwohloka
degradation	0.160	0.608	0.315	ukuthotywa
degrade	0.083	0.500	0.184	thoba isidima
degraded	0.167	0.433	0.205	ithotyiwe
degrading	0.031	0.583	0.232	ukuthoba isidima
degree	0.724	0.365	0.663	isidanga
dehydrated	0.310	0.685	0.212	dehydrated
dehydration	0.188	0.472	0.259	ukuphelelwa ngamanzi emzimbeni
dejected	0.104	0.654	0.347	edakumbile
delay	0.204	0.510	0.162	ukulibazisa
delayed	0.188	0.490	0.216	ilibazisekile
delectable	0.781	0.642	0.718	enqwenelekayo
delegate	0.612	0.491	0.658	umthunywa
delegation	0.562	0.431	0.609	abathunywa
delete	0.292	0.298	0.409	cima
deleterious	0.297	0.725	0.440	derious
deletion	0.062	0.506	0.462	ukucima
deli	0.561	0.448	0.447	i-Deli
deliberate	0.551	0.654	0.682	ngabom
deliberation	0.561	0.678	0.596	ingxoxo
deliberative	0.392	0.552	0.573	ngokuxoxa
delicacy	0.812	0.279	0.336	ubumnandi
delicate	0.583	0.294	0.366	ethe-ethe
delicatessen	0.656	0.474	0.400	idelicatessen
delicious	0.927	0.650	0.589	emnandi
delight	0.949	0.666	0.647	uyolo
delighted	0.938	0.664	0.685	Ndonywatyisiwe
delightful	0.918	0.735	0.644	imnandi
delineate	0.448	0.430	0.445	chaza
delineation	0.521	0.402	0.314	inkcazo
delinquency	0.135	0.860	0.508	ubunjubaqa
delinquent	0.051	0.904	0.500	ubunjubaqa
delirious	0.219	0.774	0.538	ehlekisayo
delirium	0.233	0.694	0.484	I-delirium
deliver	0.583	0.370	0.582	hambisa
deliverance	0.750	0.520	0.658	ukukhululwa
delivery	0.704	0.461	0.786	ukuhanjiswa
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	idelta
delude	0.143	0.627	0.353	ukukhohlisa
deluge	0.245	0.714	0.612	unogumbe
delusion	0.344	0.647	0.400	inkohliso
delusional	0.219	0.745	0.327	inkohliso
deluxe	0.792	0.612	0.755	ideluxe
delve	0.469	0.529	0.684	gqobhoza
demand	0.292	0.673	0.500	imfuno
demanding	0.396	0.750	0.828	ngenkani
demeaned	0.271	0.520	0.212	uthotywe isidima
demeaning	0.104	0.645	0.308	ukuthoba isidima
demeanor	0.633	0.433	0.657	isimilo
demented	0.088	0.787	0.309	ndishiywe ziingqondo
dementia	0.092	0.779	0.337	isifo sengqondo esiyingozi
demise	0.104	0.596	0.456	ukufa
demo	0.510	0.314	0.423	idemo
democracy	0.680	0.500	0.840	idemokhrasi
democrat	0.582	0.400	0.755	ngokwedemokhrasi
democratic	0.802	0.519	0.798	yedemokhrasi
demographic	0.459	0.356	0.594	izibalo zabantu
demolish	0.125	0.632	0.700	diliza
demolished	0.271	0.647	0.353	idiliziwe
demolition	0.133	0.827	0.541	ukudilizwa
demon	0.037	0.908	0.509	idemon
demonic	0.146	0.875	0.600	yobudemon
demonstrable	0.735	0.471	0.749	enokubonakaliswa
demonstrate	0.771	0.552	0.839	bonisa
demonstrated	0.617	0.500	0.649	bonisiwe
demonstrating	0.698	0.571	0.693	ebonisa
demonstration	0.551	0.676	0.679	umboniso
demonstrative	0.656	0.528	0.736	bonisa
demonstrator	0.520	0.598	0.733	umbonisi
demoralized	0.082	0.590	0.149	idimazekile
demos	0.418	0.370	0.368	iidemos
demure	0.690	0.315	0.417	demure
den	0.510	0.347	0.398	umqolomba
deniability	0.230	0.509	0.417	ukukhanyela
denial	0.194	0.435	0.318	ukukhanyela
denied	0.188	0.604	0.333	wakhanyela
denim	0.520	0.382	0.327	idenim
denomination	0.490	0.363	0.429	ihlelo
denominational	0.458	0.375	0.679	yehlelo
denominator	0.450	0.410	0.613	idinomineyitha
denote	0.448	0.471	0.534	chaza
denounce	0.083	0.780	0.426	gxeka
dense	0.354	0.343	0.536	ngqindilili
density	0.602	0.471	0.561	ukuxinana
dent	0.306	0.606	0.325	isibofo
dental	0.573	0.404	0.463	wamazinyo
dentist	0.479	0.620	0.642	ugqirha wamazinyo
dentistry	0.429	0.570	0.569	wamazinyo
dentists	0.364	0.600	0.582	oogqirha bamazinyo
denunciation	0.146	0.830	0.561	isiqalekiso
deny	0.316	0.667	0.321	khanyela
denying	0.080	0.542	0.272	ukukhanyela
deodorant	0.480	0.265	0.269	ideodorant
depart	0.398	0.480	0.444	mka
departed	0.245	0.536	0.391	wemka
department	0.708	0.358	0.642	isebe
departmental	0.612	0.422	0.446	kwisebe
departure	0.573	0.500	0.426	ukumka
depend	0.388	0.429	0.358	zixhomekeke
dependable	0.880	0.357	0.741	thembekile
dependant	0.357	0.404	0.451	oxhomekeke
dependence	0.250	0.451	0.433	ukuxhomekeka
dependency	0.429	0.365	0.356	ukuxhomekeka
dependent	0.354	0.455	0.404	oxhomekeke
depict	0.663	0.529	0.723	bonisa
depicting	0.490	0.566	0.602	ebonisa
depletion	0.153	0.370	0.236	ukuncipha
deplorable	0.135	0.657	0.230	lusizi
deplore	0.135	0.575	0.373	deplore
deploy	0.500	0.520	0.585	deploy
deployment	0.510	0.520	0.612	ukusasazwa
deport	0.167	0.667	0.546	ukugxotha
deportation	0.104	0.786	0.450	ukugxothwa
depose	0.286	0.420	0.451	lahla
deposit	0.540	0.379	0.483	idiphozithi
depositary	0.604	0.431	0.500	idipozithi
deposition	0.394	0.510	0.471	ukubekwa
depository	0.551	0.373	0.481	indawo yokugcina imali
depot	0.635	0.255	0.471	indawo yokugcina
depraved	0.031	0.837	0.395	wonakele
depravity	0.115	0.854	0.453	ukonakala
depreciate	0.270	0.623	0.445	yehla
depreciated	0.135	0.672	0.250	yehla
depreciation	0.143	0.571	0.386	ukuhla kwexabiso
depress	0.219	0.635	0.528	ukudakumba
depressed	0.024	0.445	0.136	edandathekile
depressing	0.146	0.559	0.216	ukudakumba
depression	0.031	0.520	0.232	ukudakumba
depressive	0.143	0.434	0.202	ukudakumba
depresson	0.135	0.400	0.308	ukudakumba
deprivation	0.194	0.610	0.413	ukuswela
deprive	0.271	0.591	0.340	hlutha
deprived	0.354	0.506	0.536	ukubanjwa
depth	0.708	0.561	0.759	ubunzulu
deputy	0.429	0.530	0.787	usekela
derail	0.108	0.802	0.375	umzila
deranged	0.376	0.868	0.357	udidekile
derelict	0.208	0.470	0.237	ukutyeshela
derision	0.265	0.670	0.292	isigculelo
derivation	0.521	0.519	0.644	ukuvela
derivative	0.541	0.491	0.508	iphuma
derive	0.396	0.324	0.360	fumana
dermal	0.385	0.406	0.443	dermal
dermatologist	0.531	0.358	0.528	ugqirha wesikhumba
dermatology	0.422	0.500	0.556	idermatology
derogation	0.208	0.460	0.327	ukujongelwa phantsi
derogatory	0.122	0.580	0.404	ethobayo
descend	0.385	0.535	0.231	yehla
descendant	0.684	0.420	0.625	inzala
descendent	0.391	0.480	0.565	inzala
descending	0.219	0.493	0.250	isihla
descent	0.300	0.402	0.158	ukwehla
describe	0.542	0.472	0.555	chaza
description	0.582	0.425	0.596	inkcazelo
descriptive	0.667	0.352	0.570	esichazayo
desecrate	0.255	0.806	0.509	ngcolisa
desecration	0.125	0.833	0.564	ukungcoliswa
desert	0.469	0.279	0.389	entlango
deserted	0.156	0.480	0.214	ishiywe
deserter	0.122	0.710	0.366	umphambukeli
desertion	0.122	0.630	0.289	ukulahlwa
deserve	0.802	0.436	0.613	kufanelekile
deserved	0.781	0.582	0.689	kufanelekile
deserving	0.802	0.596	0.858	ufanelekile
design	0.796	0.327	0.632	uyilo
designate	0.531	0.538	0.683	misela
designated	0.500	0.412	0.616	ekhethiweyo
designation	0.612	0.571	0.675	ukutyunjwa
designed	0.745	0.380	0.595	yenzelwe
designer	0.875	0.519	0.670	umyili
designing	0.792	0.355	0.552	ukuyila
desirability	0.684	0.550	0.675	ukunqweneleka
desirable	0.740	0.735	0.750	enqwenelekayo
desire	0.896	0.692	0.647	umnqweno
desiring	0.814	0.821	0.632	umnqweno
desirous	0.719	0.824	0.562	nqwenela
desist	0.220	0.358	0.291	yeka
desk	0.510	0.135	0.422	idesika
desolate	0.104	0.320	0.228	yinkangala
desolation	0.073	0.481	0.273	inkangala
despair	0.115	0.794	0.245	ukuphelelwa lithemba
despairing	0.073	0.735	0.286	ukuphelelwa lithemba
despatch	0.448	0.400	0.613	ukuhambisa
desperado	0.260	0.745	0.361	ukuphelelwa lithemba
desperate	0.083	0.842	0.337	ephelelwe lithemba
desperation	0.125	0.904	0.419	ukuphelelwa lithemba
despicable	0.146	0.710	0.255	edelekileyo
despise	0.167	0.745	0.296	dela
despondent	0.133	0.378	0.221	odangele
despotic	0.141	0.824	0.592	odelekileyo
despotism	0.255	0.696	0.620	ubungendawo
dessert	0.755	0.491	0.404	izimuncumuncu
destination	0.708	0.471	0.637	indawo ekuyiwa kuyo
destined	0.698	0.462	0.617	imiselwe
destiny	0.781	0.413	0.611	isiphelo
destitute	0.130	0.451	0.222	hlwempuzekile
destroy	0.046	0.935	0.635	tshabalalisa
destroyed	0.031	0.696	0.288	itshatyalalisiwe
destroyer	0.083	0.830	0.543	umtshabalalisi
destroying	0.041	0.828	0.660	ukutshabalalisa
destruct	0.071	0.868	0.525	tshabalalisa
destruction	0.102	0.929	0.613	intshabalalo
destructive	0.177	0.870	0.713	etshabalalisayo
detach	0.357	0.625	0.450	qhawula
detached	0.280	0.396	0.216	bahlukanisiwe
detachment	0.243	0.700	0.443	iqela
detail	0.514	0.406	0.528	iinkcukacha
detailed	0.603	0.314	0.472	eneenkcukacha
details	0.583	0.367	0.481	iinkcukacha
detain	0.351	0.345	0.430	bamba
detainee	0.306	0.510	0.321	ibanjwa
detect	0.531	0.520	0.565	bhaqa
detectable	0.479	0.539	0.649	iyabhaqwa
detection	0.708	0.567	0.538	ukubhaqwa
detective	0.500	0.764	0.901	umcuphi
detector	0.459	0.630	0.724	umtshini
detention	0.265	0.698	0.562	ukubanjwa
deter	0.344	0.537	0.567	nqanda
detergent	0.458	0.304	0.426	isicoci
deteriorate	0.083	0.471	0.202	ukuwohloka
deteriorated	0.053	0.549	0.237	iye yaba mandundu
deteriorating	0.104	0.459	0.112	ukuwohloka
deterioration	0.130	0.512	0.283	ukuwohloka
determinable	0.625	0.565	0.723	inokumiselwa
determinate	0.630	0.314	0.772	zimisele
determination	0.776	0.725	0.795	ukuzimisela
determine	0.612	0.368	0.776	misela
determined	0.760	0.528	0.673	uzimisele
deterrent	0.292	0.461	0.385	isithintelo
detest	0.083	0.800	0.492	ukucekisa
detestation	0.177	0.637	0.412	ukucekisa
detonate	0.375	0.850	0.696	ukuqhushumba
detonation	0.167	0.931	0.741	ukuqhushumba
detonator	0.207	0.875	0.750	isiqhushumbisi
detour	0.398	0.539	0.309	ukujika
detract	0.344	0.438	0.368	phazamisa
detriment	0.281	0.538	0.263	umonakalo
detrimental	0.203	0.679	0.387	yingozi
detritus	0.276	0.353	0.363	detritus
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	deutschmark
devalued	0.321	0.462	0.212	ukuthotywa
devastate	0.021	0.796	0.509	yonakalisa
devastated	0.120	0.544	0.264	etshatyalalisiwe
devastating	0.104	0.856	0.419	etshabalalisayo
devastation	0.090	0.904	0.472	intshabalalo
develop	0.771	0.670	0.821	phuhlisa
developer	0.844	0.653	0.864	umphuhlisi
developing	0.833	0.587	0.714	ukuphuhlisa
development	0.827	0.500	0.796	uphuhliso
deviant	0.094	0.589	0.398	etenxayo
deviate	0.173	0.562	0.269	phambuka
deviating	0.354	0.634	0.536	ukutenxa
deviation	0.105	0.513	0.336	ukutenxa
device	0.562	0.404	0.627	isixhobo
devil	0.161	0.900	0.611	usathana
deviled	0.347	0.559	0.358	utyholwa
devilish	0.073	0.865	0.490	umtyholi
devious	0.250	0.519	0.259	ekhohlisayo
devise	0.551	0.557	0.670	yila
devoid	0.219	0.436	0.300	engenanto
devolution	0.345	0.434	0.425	unikezelo
devolve	0.367	0.427	0.596	nikezela
devote	0.802	0.490	0.642	zinikele
devoted	0.867	0.320	0.698	uzinikele
devotee	0.816	0.461	0.577	ozinikeleyo
devotion	0.802	0.561	0.673	ukuzinikela
devotional	0.740	0.394	0.655	ngokuzinikela
devour	0.344	0.888	0.574	qwenga
devout	0.620	0.357	0.464	ozinikeleyo
dew	0.604	0.225	0.464	umbethe
dexter	0.458	0.473	0.444	i-dexter
dexterity	0.771	0.673	0.864	ubugcisa
dextrose	0.333	0.402	0.323	idextrose
diabetes	0.051	0.472	0.279	isifo seswekile
diabetic	0.125	0.269	0.237	isifo seswekile
diabolical	0.102	0.912	0.456	kaSathana
diagnose	0.378	0.520	0.714	xilonga
diagnosis	0.571	0.500	0.819	ukuxilongwa
diagnostic	0.417	0.483	0.635	Ukuxilonga
diagnostics	0.540	0.440	0.750	Uxilongo
diagonal	0.500	0.343	0.410	idiagonal
diagram	0.562	0.357	0.445	umzobo
dial	0.620	0.427	0.596	ukucofa
dialect	0.635	0.422	0.526	ulwimi lwengingqi
dialectic	0.510	0.540	0.638	dialectic
dialogue	0.599	0.441	0.625	ingxoxo
