English Word	Valence	Arousal	Dominance	Mongolian Word
computing	0.745	0.398	0.695	тооцоолох
comrade	0.781	0.412	0.804	нөхөр
con	0.255	0.736	0.427	con
concatenation	0.480	0.593	0.539	холболт
concave	0.441	0.349	0.349	хотгор
conceal	0.312	0.436	0.306	нуун дарагдуулах
concealed	0.344	0.363	0.352	далдлагдсан
concealment	0.302	0.570	0.390	далдлах
concede	0.670	0.324	0.473	хүлээн зөвшөөрөх
conceit	0.354	0.625	0.309	бардам зан
conceited	0.194	0.667	0.473	ихэмсэг
conceivable	0.730	0.350	0.613	төсөөлөх боломжтой
conceive	0.708	0.538	0.700	жирэмслэх
concentrate	0.750	0.439	0.743	төвлөрөх
concentration	0.735	0.500	0.722	төвлөрөл
concentric	0.730	0.479	0.635	төвлөрсөн
concept	0.573	0.265	0.632	үзэл баримтлал
conception	0.694	0.490	0.614	үзэл баримтлал
concern	0.250	0.734	0.463	санаа зовох
concerned	0.292	0.698	0.350	санаа зовж байна
concert	0.938	0.867	0.718	концерт
concerto	0.613	0.759	0.679	концерт
concession	0.588	0.423	0.615	концесс
concessional	0.770	0.493	0.657	хөнгөлөлттэй
conch	0.583	0.306	0.339	дун
concierge	0.480	0.343	0.343	консьерж
conciliation	0.792	0.475	0.726	эвлэрэл
concise	0.583	0.298	0.620	товч
conclave	0.573	0.440	0.611	хурал
conclude	0.530	0.267	0.679	дүгнэх
concluding	0.531	0.382	0.603	дүгнэж байна
conclusion	0.615	0.377	0.659	дүгнэлт
conclusive	0.500	0.427	0.745	эцсийн
concoction	0.448	0.459	0.417	зохиомол
concomitant	0.427	0.482	0.727	хавсарсан
concord	0.677	0.320	0.586	эв нэгдэл
concordance	0.625	0.358	0.608	нийцтэй байдал
concours	0.500	0.530	0.495	concours
concourse	0.740	0.657	0.528	танхим
concrete	0.633	0.420	0.547	бетон
concubine	0.388	0.594	0.476	татвар эм
concur	0.459	0.394	0.429	санал нэг байна
concurrence	0.764	0.627	0.613	тохирол
concurrent	0.573	0.547	0.741	зэрэгцээ
concurring	0.573	0.600	0.681	санал нэгдэж байна
concussion	0.072	0.708	0.482	тархины доргилт
condemn	0.102	0.793	0.625	буруушаах
condemnation	0.133	0.725	0.449	зэмлэл
condensation	0.510	0.316	0.538	конденсац
condensed	0.598	0.415	0.623	хураангуйлсан
condescending	0.583	0.363	0.593	доромжлох
condescension	0.521	0.377	0.565	доромжлол
condiment	0.520	0.333	0.433	амтлагч
condition	0.500	0.469	0.519	нөхцөл
conditional	0.521	0.343	0.556	нөхцөлт
conditionally	0.396	0.419	0.617	нөхцөлтэйгээр
conditioned	0.490	0.417	0.616	нөхцөлтэй
conditioner	0.781	0.360	0.538	ангижруулагч
conditioning	0.440	0.468	0.617	агааржуулагч
conditions	0.551	0.441	0.593	нөхцөл
condo	0.439	0.288	0.607	байр
condolence	0.260	0.443	0.404	эмгэнэл илэрхийлье
condolences	0.198	0.480	0.288	эмгэнэл илэрхийлье
condom	0.406	0.637	0.500	бэлгэвч
condone	0.571	0.441	0.619	өршөөх
condor	0.573	0.388	0.519	кондор
conducive	0.775	0.479	0.679	тустай
conduct	0.453	0.510	0.750	явуулах
conduction	0.530	0.557	0.717	дамжуулалт
conductivity	0.583	0.575	0.642	дамжуулах чанар
conductor	0.677	0.663	0.621	дамжуулагч
conduit	0.470	0.302	0.413	дамжуулах хоолой
cone	0.417	0.208	0.343	конус
confederacy	0.590	0.541	0.736	эвсэл
confederate	0.551	0.546	0.792	холбоотон
confederation	0.663	0.404	0.830	холбоо
confer	0.573	0.482	0.583	зөвлөлдөх
conference	0.688	0.615	0.606	бага хурал
confess	0.360	0.712	0.431	хүлээн зөвшөөрөх
confession	0.469	0.642	0.460	гэм буруугаа хүлээх
confessional	0.458	0.392	0.629	гэм буруугаа хүлээсэн
confessions	0.325	0.538	0.658	наминчлалууд
confetti	0.781	0.573	0.250	конфетти
confidant	0.837	0.633	0.631	итгэлт хүн
confide	0.669	0.472	0.595	итгэх
confidence	0.959	0.276	0.943	итгэл
confident	0.765	0.324	0.723	итгэлтэй
confidential	0.643	0.471	0.761	нууц
confidentiality	0.667	0.431	0.718	нууцлал
confidentially	0.633	0.469	0.558	нууцаар
configuration	0.540	0.443	0.591	тохиргоо
confine	0.327	0.551	0.538	хязгаарлах
confined	0.286	0.472	0.444	хязгаарлагдсан
confinement	0.333	0.656	0.520	хорих
confines	0.396	0.386	0.542	хязгаарладаг
confirm	0.802	0.439	0.806	батлах
confirmation	0.812	0.480	0.692	баталгаажуулалт
confirmatory	0.656	0.500	0.683	баталгаажуулах
confirmed	0.760	0.490	0.764	батлагдсан
confiscate	0.250	0.625	0.482	хураах
confiscation	0.208	0.706	0.586	хураах
conflagration	0.344	0.721	0.594	гал түймэр
conflict	0.335	0.906	0.471	зөрчилдөөн
conflicting	0.173	0.738	0.553	зөрчилтэй
confluence	0.677	0.598	0.565	уулзвар
conform	0.479	0.380	0.375	нийцүүлэх
conformance	0.608	0.278	0.254	нийцтэй байдал
conformation	0.622	0.435	0.711	зохицол
conformity	0.645	0.363	0.579	нийцтэй байдал
confound	0.347	0.529	0.333	төөрөгдүүлэх
confounded	0.333	0.528	0.264	андуурсан
confront	0.281	0.760	0.746	тулгарах
confrontation	0.177	0.870	0.658	сөргөлдөөн
confuse	0.100	0.580	0.270	төөрөгдүүлэх
confused	0.220	0.650	0.179	андуурсан
confusing	0.229	0.690	0.222	төөрөгдүүлсэн
confusion	0.255	0.667	0.277	төөрөгдөл
conga	0.469	0.529	0.440	конга
congenial	0.820	0.412	0.620	эелдэг
congenital	0.448	0.434	0.427	төрөлхийн
congestion	0.271	0.654	0.491	түгжрэл
conglomerate	0.500	0.500	0.838	конгломерат
conglomeration	0.541	0.720	0.670	конгломерация
congrats	0.930	0.726	0.775	баяр хүргэе
congratulate	0.927	0.724	0.784	баяр хүргэе
congratulation	0.948	0.780	0.717	баяр хүргэе
congratulations	0.960	0.755	0.719	баяр хүргэе
congratulatory	0.959	0.616	0.689	баяр хүргэе
congregate	0.653	0.530	0.733	цугларах
congregation	0.561	0.490	0.700	хурал
congress	0.449	0.444	0.857	их хурал
congressional	0.552	0.491	0.848	конгрессын
congressman	0.438	0.471	0.877	Конгрессын гишүүн
congruence	0.656	0.472	0.577	нийцэл
conic	0.510	0.368	0.379	конус хэлбэртэй
conical	0.490	0.422	0.471	конус хэлбэртэй
conjecture	0.396	0.398	0.534	таамаг
conjugal	0.698	0.510	0.688	гэр бүл
conjugate	0.583	0.420	0.467	коньюгат
conjugation	0.479	0.429	0.582	залгалт
conjunction	0.520	0.472	0.509	холболт
conjunctive	0.487	0.444	0.639	холболт
conjure	0.385	0.679	0.645	ид шидлэх
conjuring	0.224	0.653	0.694	ид шид
conk	0.340	0.469	0.404	конк
connect	0.724	0.299	0.536	холбох
connected	0.816	0.550	0.612	холбогдсон
connection	0.729	0.560	0.655	холболт
connective	0.719	0.491	0.764	холбогч
connoisseur	0.760	0.461	0.769	мэдэгч
conquer	0.694	0.873	0.971	байлдан дагуулах
conquering	0.760	0.873	0.936	байлдан дагуулах
conqueror	0.604	0.809	0.930	байлдан дагуулагч
conquest	0.710	0.702	0.833	байлдан дагуулалт
conscience	0.663	0.375	0.721	ухамсар
conscientious	0.688	0.404	0.688	ухамсартай
conscious	0.740	0.333	0.705	ухамсартай
consciousness	0.840	0.483	0.755	ухамсар
conscription	0.396	0.775	0.642	цэрэг татлага
consecrated	0.663	0.500	0.800	ариусгасан
consecration	0.771	0.418	0.804	ариусгал
consecutive	0.663	0.418	0.643	дараалсан
consensual	0.663	0.417	0.655	зөвшилцсөн
consensus	0.627	0.358	0.625	зөвшилцөл
consent	0.750	0.500	0.620	зөвшөөрөл
consenting	0.727	0.406	0.693	зөвшөөрч байна
consequence	0.240	0.721	0.593	үр дагавар
consequent	0.663	0.471	0.625	үр дагавар
conservation	0.832	0.401	0.606	хамгаалал
conservatism	0.406	0.369	0.633	консерватизм
conservative	0.615	0.316	0.788	консерватив
conservatory	0.635	0.240	0.729	консерватори
conserve	0.690	0.347	0.573	хадгалах
consider	0.677	0.368	0.579	авч үзэх
considerable	0.653	0.314	0.683	ихээхэн
considerate	0.781	0.380	0.633	халамжтай
consideration	0.589	0.380	0.687	авч үзэх
consignee	0.635	0.385	0.602	хүлээн авагч
consignment	0.490	0.440	0.500	илгээмж
consist	0.823	0.386	0.580	бүрдэнэ
consistency	0.714	0.500	0.887	тууштай байдал
consistent	0.786	0.431	0.726	тууштай
consolation	0.408	0.250	0.304	тайтгарал
console	0.625	0.398	0.415	консол
consoled	0.700	0.343	0.452	тайтгаруулсан
consolidate	0.880	0.440	0.870	нэгтгэх
consolidated	0.700	0.366	0.784	нэгтгэсэн
consolidation	0.604	0.445	0.776	нэгтгэх
consonant	0.500	0.347	0.417	гийгүүлэгч
consort	0.632	0.509	0.630	хань ижил
conspicuous	0.479	0.520	0.596	анхаарал татахуйц
conspiracy	0.125	0.787	0.652	хуйвалдаан
conspirator	0.271	0.786	0.707	хуйвалдаан
conspire	0.206	0.740	0.520	хуйвалдаан
constable	0.573	0.667	0.764	цагдаа
constancy	0.786	0.443	0.763	тогтвортой байдал
constant	0.740	0.296	0.686	тогтмол
constantly	0.663	0.561	0.700	байнга
constellation	0.719	0.533	0.775	одны орд
consternation	0.167	0.680	0.469	гайхшрал
constipation	0.079	0.612	0.231	өтгөн хатах
constituency	0.500	0.480	0.696	тойрог
constituent	0.573	0.500	0.827	бүрдүүлэгч
constituents	0.573	0.414	0.833	бүрэлдэхүүн хэсгүүд
constitute	0.812	0.349	0.906	бүрдүүлнэ
constitution	0.590	0.380	0.889	үндсэн хууль
constitutional	0.633	0.418	0.827	үндсэн хуультай
constitutionality	0.612	0.439	0.853	Үндсэн хуульд нийцсэн байдал
constrain	0.261	0.500	0.500	хязгаарлах
constrained	0.135	0.537	0.357	хязгаарлагдмал
constraint	0.323	0.550	0.481	хязгаарлалт
construct	0.750	0.648	0.792	барих
construction	0.848	0.612	0.759	барилга
constructive	0.860	0.570	0.812	бүтээлч
construe	0.602	0.519	0.553	тайлбарлах
consul	0.573	0.354	0.688	консул
consulate	0.561	0.453	0.694	консулын газар
consult	0.755	0.370	0.441	зөвлөлдөх
consultant	0.770	0.344	0.808	зөвлөх
consultation	0.660	0.463	0.625	зөвлөлдөх
consume	0.427	0.620	0.509	хэрэглэх
consumer	0.507	0.551	0.677	хэрэглэгч
consuming	0.573	0.541	0.536	хэрэглэж байна
consummate	0.551	0.540	0.558	төгс
consummation	0.583	0.676	0.661	төгсөлт
consumption	0.390	0.531	0.538	хэрэглээ
contact	0.719	0.424	0.526	холбоо барих
contagion	0.208	0.630	0.535	халдвар
contagious	0.184	0.725	0.400	халдварладаг
contain	0.542	0.490	0.658	агуулсан
container	0.551	0.396	0.561	сав
containment	0.411	0.491	0.618	саатуулах
contaminate	0.140	0.611	0.426	бохирдуулах
contaminated	0.040	0.500	0.368	бохирдсон
contamination	0.125	0.610	0.375	бохирдол
contemplate	0.740	0.347	0.642	эргэцүүлэн бодох
contemplation	0.552	0.324	0.627	эргэцүүлэл
contemplative	0.729	0.308	0.739	эргэцүүлэн бодох
contemporaneous	0.640	0.373	0.591	үе үеийн
contemporary	0.720	0.365	0.569	орчин үеийн
contempt	0.206	0.635	0.396	жигшил
contemptible	0.146	0.657	0.471	жигшил
contemptuous	0.204	0.500	0.375	жигшил
contend	0.510	0.657	0.731	маргах
contender	0.480	0.790	0.681	өрсөлдөгч
contending	0.490	0.698	0.716	маргаж байна
content	0.764	0.296	0.559	агуулга
contented	0.857	0.612	0.746	сэтгэл хангалуун
contention	0.375	0.510	0.738	маргаан
contentious	0.422	0.573	0.637	маргаантай
contentment	0.875	0.610	0.782	сэтгэл ханамж
contents	0.656	0.375	0.550	агуулга
contest	0.667	0.698	0.717	тэмцээн
contestant	0.760	0.530	0.602	оролцогч
context	0.531	0.300	0.553	контекст
contiguous	0.375	0.450	0.500	залгаа
continence	0.450	0.396	0.469	тогтворгүй байдал
continent	0.551	0.373	0.833	тив
continental	0.486	0.350	0.755	эх газрын
contingency	0.396	0.500	0.670	гэнэтийн байдал
contingent	0.470	0.531	0.659	болзошгүй
continual	0.500	0.423	0.685	тасралтгүй
continually	0.646	0.438	0.698	тасралтгүй
continuance	0.729	0.510	0.652	үргэлжлэл
continuation	0.615	0.470	0.566	үргэлжлэл
continue	0.630	0.427	0.612	үргэлжлүүл
continued	0.635	0.440	0.500	үргэлжлүүлэв
continuing	0.667	0.500	0.520	үргэлжилж байна
continuity	0.781	0.439	0.684	тасралтгүй байдал
continuous	0.625	0.509	0.580	Үргэлжилсэн
continuously	0.719	0.417	0.702	тасралтгүй
continuum	0.677	0.390	0.491	тасралтгүй
contour	0.589	0.265	0.414	контур
contraband	0.177	0.875	0.670	хууль бус бараа
contraception	0.296	0.518	0.525	жирэмслэлтээс хамгаалах хэрэгсэл
contract	0.594	0.412	0.636	гэрээ
contracted	0.344	0.557	0.449	гэрээ байгуулсан
contractile	0.480	0.586	0.569	агшилттай
contracting	0.594	0.490	0.769	гэрээ байгуулах
contraction	0.292	0.755	0.603	агшилт
contractor	0.592	0.479	0.727	гүйцэтгэгч
contradict	0.160	0.598	0.482	зөрчилдөх
contradiction	0.250	0.660	0.377	зөрчилдөөн
contradictory	0.365	0.651	0.421	зөрчилтэй
contraption	0.448	0.590	0.491	зэвсэг
contrary	0.327	0.449	0.338	эсрэгээрээ
contrast	0.480	0.406	0.520	ялгаатай
contrasted	0.521	0.538	0.491	ялгаатай
contravene	0.357	0.618	0.472	зөрчилдөх
contravention	0.344	0.627	0.593	зөрчил
contribute	0.806	0.350	0.795	хувь нэмэр оруулах
contribution	0.854	0.452	0.760	оруулсан хувь нэмэр
contributor	0.844	0.510	0.760	хувь нэмэр оруулагч
contrite	0.347	0.363	0.473	гэмшсэн
contrition	0.347	0.583	0.463	гэмшил
contrived	0.408	0.530	0.458	зохиомол
control	0.729	0.352	0.808	хяналт
controller	0.469	0.712	0.868	хянагч
controlling	0.490	0.441	0.885	хяналт тавих
controversial	0.271	0.858	0.538	маргаантай
controversy	0.250	0.819	0.600	маргаан
contusion	0.167	0.565	0.509	няцралт
conundrum	0.354	0.524	0.408	оньсого
convalescent	0.458	0.480	0.269	эдгэрэх
convection	0.521	0.494	0.526	конвекц
convene	0.583	0.676	0.636	хуралдах
convenience	0.781	0.448	0.613	тав тухтай байдал
conveniences	0.802	0.412	0.693	тав тухтай байдал
convenient	0.846	0.491	0.574	тохиромжтой
convent	0.480	0.217	0.594	хийд
convention	0.622	0.622	0.704	конвенц
conventional	0.594	0.292	0.634	уламжлалт
converge	0.635	0.471	0.539	нийлэх
convergence	0.551	0.491	0.625	нэгдэл
convergent	0.781	0.490	0.696	нэгдэх
conversant	0.724	0.360	0.542	яригч
conversation	0.750	0.510	0.609	яриа
conversational	0.719	0.431	0.596	харилцан яриа
conversationalist	0.719	0.467	0.667	ярилцагч
converse	0.594	0.406	0.598	ярилцах
conversing	0.755	0.409	0.442	ярилцаж байна
conversion	0.480	0.605	0.736	хувиргах
convert	0.551	0.538	0.704	хөрвүүлэх
converted	0.663	0.418	0.686	хөрвүүлсэн
convertible	0.542	0.529	0.717	хөрвөх боломжтой
convex	0.438	0.427	0.445	гүдгэр
convexity	0.449	0.354	0.484	гүдгэр
convey	0.719	0.633	0.708	дамжуулах
conveyance	0.615	0.520	0.455	дамжуулалт
conveyancing	0.375	0.479	0.663	тээвэрлэх
convict	0.177	0.840	0.477	ялтан
conviction	0.615	0.704	0.826	итгэл үнэмшил
convince	0.708	0.539	0.763	итгүүлэх
convinced	0.750	0.500	0.630	итгэлтэй
convincing	0.760	0.527	0.900	үнэмшилтэй
convocation	0.538	0.611	0.663	хурал
convoluted	0.323	0.614	0.433	мушгирсан
convolution	0.417	0.559	0.527	эргэлт
convoy	0.500	0.671	0.639	цуваа
coo	0.490	0.439	0.500	coo
cook	0.847	0.500	0.412	тогооч
cookbook	0.602	0.346	0.398	хоолны ном
cooker	0.592	0.373	0.407	агшаагч
cookery	0.633	0.368	0.345	хоол хийх
cookie	0.792	0.306	0.250	жигнэмэг
cookies	0.823	0.451	0.316	жигнэмэг
cooking	0.694	0.510	0.434	хоол хийх
cookout	0.680	0.406	0.482	тогооч
cool	0.885	0.540	0.781	сэрүүн
coolant	0.720	0.412	0.456	хөргөлтийн шингэн
cooler	0.664	0.375	0.460	сэрүүн
cooling	0.469	0.324	0.392	хөргөх
coolness	0.490	0.307	0.548	сэрүүн байдал
coon	0.490	0.460	0.400	коон
coop	0.612	0.445	0.650	хоршоо
cooperate	0.898	0.451	0.582	хамтран ажиллах
cooperating	0.760	0.390	0.693	хамтран ажиллаж байна
cooperation	0.847	0.473	0.686	хамтын ажиллагаа
cooperative	0.816	0.461	0.670	хамтын ажиллагаа
coordinate	0.698	0.429	0.694	зохицуулах
coordination	0.677	0.454	0.789	зохицуулалт
coordinator	0.750	0.510	0.850	зохицуулагч
cop	0.327	0.770	0.836	цагдаа
copacetic	0.510	0.471	0.453	копатик
cope	0.592	0.647	0.709	даван туулах
copier	0.459	0.345	0.390	хувилагч
copilot	0.640	0.538	0.573	туслах нисгэгч
coping	0.562	0.630	0.613	даван туулах
copious	0.427	0.462	0.527	элбэг дэлбэг
copper	0.580	0.260	0.500	зэс
copter	0.571	0.704	0.569	нисдэг тэрэг
copy	0.460	0.240	0.263	хуулбарлах
copycat	0.449	0.580	0.443	хуулбарлагч
copying	0.448	0.315	0.404	хуулбарлах
copyright	0.458	0.402	0.663	зохиогчийн эрх
coral	0.802	0.231	0.425	шүрэн
coral snake	0.276	0.712	0.607	шүрэн могой
cord	0.388	0.378	0.358	утас
cordial	0.823	0.312	0.482	найрсаг
cordless	0.667	0.441	0.528	утасгүй
cordon	0.469	0.317	0.380	кордон
corduroy	0.570	0.324	0.357	кордо
core	0.721	0.378	0.540	гол
cork	0.347	0.250	0.281	үйсэн
corkscrew	0.427	0.443	0.445	штопор
corn	0.594	0.196	0.292	эрдэнэ шиш
cornball	0.479	0.378	0.325	эрдэнэ шишийн бөмбөг
cornbread	0.643	0.304	0.302	эрдэнэ шишийн талх
cornea	0.521	0.346	0.443	эвэрлэг
corned	0.459	0.441	0.425	эрдэнэ шиш
corner	0.400	0.296	0.366	булан
cornerstone	0.550	0.388	0.596	тулгын чулуу
cornet	0.507	0.520	0.415	cornet
cornfield	0.719	0.310	0.349	эрдэнэ шишийн талбай
cornflakes	0.729	0.346	0.355	эрдэнэ шишийн ширхгүүд
cornice	0.458	0.441	0.295	cornice
cornstarch	0.643	0.299	0.337	эрдэнэ шишийн цардуул
corny	0.448	0.370	0.221	corny
corollary	0.458	0.469	0.366	үр дүн
corona	0.818	0.439	0.745	титэм
coronary	0.567	0.613	0.509	титэм судас
coronation	0.792	0.592	0.836	титэм өргөх
coroner	0.323	0.558	0.526	шүүх эмч
corporal	0.582	0.490	0.596	корпус
corporate	0.592	0.454	0.745	корпораци
corporation	0.429	0.332	0.873	корпораци
corporeal	0.520	0.350	0.461	бие махбодь
corps	0.551	0.453	0.483	корпус
corpse	0.094	0.657	0.232	цогцос
corpsman	0.439	0.469	0.651	корпусын цэрэг
corpus	0.543	0.340	0.490	корпус
corral	0.606	0.662	0.422	хонгил
correct	0.857	0.306	0.723	зөв
correction	0.448	0.485	0.558	залруулга
correctional	0.292	0.713	0.602	засч залруулах
corrective	0.448	0.528	0.613	засч залруулах
correctness	0.796	0.450	0.649	зөв байдал
correlation	0.596	0.462	0.571	хамаарал
correlative	0.510	0.402	0.571	хамааралтай
correspond	0.710	0.452	0.545	харгалзах
correspondence	0.663	0.423	0.491	захидал харилцаа
correspondent	0.573	0.565	0.712	сурвалжлагч
corresponding	0.740	0.423	0.618	харгалзах
corridor	0.604	0.589	0.592	коридор
corroborate	0.671	0.471	0.616	батлах
corroboration	0.625	0.431	0.733	баталгаа
corrosion	0.156	0.610	0.348	зэврэлт
corrosive	0.140	0.618	0.570	идэмхий
corrupt	0.020	0.806	0.500	авлигад автсан
corrupting	0.062	0.804	0.380	авилга
corruption	0.052	0.830	0.549	авлига
corsage	0.510	0.294	0.397	хярс
corse	0.448	0.451	0.382	үхэр
corset	0.490	0.520	0.381	корсет
cortex	0.594	0.439	0.529	кортекс
cortical	0.380	0.423	0.536	кортикал
cortisone	0.427	0.395	0.456	кортизон
corvette	0.551	0.520	0.598	корвет
cosmetic	0.625	0.304	0.308	гоо сайхны бүтээгдэхүүн
cosmetics	0.765	0.464	0.472	гоо сайхны бүтээгдэхүүн
cosmic	0.663	0.538	0.692	сансрын
cosmology	0.651	0.438	0.637	сансар судлал
cosmopolitan	0.823	0.510	0.760	космополит
cosmos	0.860	0.478	0.664	сансар огторгуй
cost	0.365	0.420	0.439	зардал
costly	0.316	0.650	0.642	зардал ихтэй
costume	0.548	0.510	0.374	хувцас
cosy	0.847	0.255	0.518	тухтай
cot	0.625	0.230	0.278	ор
cote	0.439	0.344	0.324	кот
cottage	0.600	0.279	0.361	зуслангийн байшин
cotton	0.639	0.071	0.240	хөвөн
couch	0.594	0.082	0.198	буйдан
cougar	0.438	0.588	0.538	cougar
cough	0.255	0.627	0.241	ханиалгах
council	0.875	0.279	0.635	зөвлөл
councilman	0.531	0.367	0.793	зөвлөлийн гишүүн
counsel	0.594	0.519	0.730	зөвлөх
counseling	0.667	0.480	0.704	зөвлөгөө өгөх
counsellor	0.823	0.327	0.740	зөвлөх
counselor	0.873	0.365	0.706	зөвлөх
count	0.594	0.389	0.492	тоолох
countdown	0.438	0.692	0.490	цаг тоолох
countenance	0.635	0.440	0.690	царай төрх
counter	0.439	0.478	0.750	тоолуур
counteract	0.378	0.542	0.688	эсэргүүцэх
counterattack	0.281	0.951	0.764	сөрөг довтолгоо
counterbalance	0.520	0.480	0.627	тэнцвэржүүлэх
counterclaim	0.398	0.760	0.651	сөрөг нэхэмжлэл
counterfeit	0.094	0.694	0.451	хуурамч
counterpart	0.448	0.608	0.577	түнш
counterpoint	0.438	0.509	0.538	эсрэг цэг
countess	0.562	0.440	0.670	гүнж
countless	0.520	0.566	0.534	тоо томшгүй олон
country	0.698	0.394	0.693	улс
countryman	0.673	0.441	0.789	хөдөөний хүн
countrymusic	0.795	0.451	0.438	Улс орны дуу хөгжим
countryside	0.732	0.288	0.327	хөдөө
counts	0.343	0.373	0.500	тооцдог
county	0.479	0.368	0.545	муж
coup	0.275	0.815	0.607	төрийн эргэлт
coupe	0.479	0.460	0.482	купе
couple	0.806	0.605	0.607	хос
coupled	0.612	0.286	0.650	хосолсон
coupling	0.594	0.479	0.555	холбох
coupon	0.704	0.300	0.421	купон
courage	0.830	0.728	0.849	зориг
courageous	0.918	0.587	0.879	зоригтой
courier	0.551	0.383	0.441	шуудан зөөгч
courses	0.735	0.412	0.534	курсууд
coursing	0.542	0.472	0.546	курс
court	0.479	0.769	0.827	шүүх
courteous	0.937	0.396	0.529	эелдэг
courtesy	0.927	0.287	0.431	эелдэг байдал
courthouse	0.571	0.503	0.818	шүүхийн байр
courtroom	0.385	0.670	0.887	шүүхийн танхим
courts	0.367	0.710	0.816	шүүхүүд
courtship	0.667	0.490	0.654	үерхэх
courtside	0.592	0.391	0.434	шүүхийн дэргэд
courtyard	0.503	0.365	0.355	хашаа
cousin	0.675	0.394	0.427	үеэл
cousins	0.760	0.409	0.464	үеэл
cove	0.500	0.304	0.370	булан
coven	0.458	0.578	0.591	ковен
covenant	0.594	0.462	0.667	гэрээ
cover	0.365	0.240	0.471	бүрхэвч
coverage	0.767	0.413	0.629	хамрах хүрээ
covered	0.562	0.340	0.644	хамрагдсан
covering	0.615	0.382	0.583	бүрэх
covert	0.500	0.570	0.508	далд
covet	0.302	0.779	0.524	шунал
coveted	0.661	0.730	0.625	шуналтай
cow	0.449	0.230	0.300	үхэр
coward	0.102	0.490	0.149	хулчгар
cowardice	0.133	0.621	0.167	хулчгар зан
cowardly	0.102	0.385	0.127	хулчгар
cowboy	0.594	0.625	0.695	ковбой
cowgirl	0.541	0.566	0.554	үхэр охин
cowhand	0.438	0.480	0.596	үхрийн гар
cowhide	0.458	0.324	0.333	үхрийн арьс
cowl	0.427	0.450	0.232	бүрээс
coworker	0.667	0.490	0.625	хамтран ажиллагч
coy	0.347	0.330	0.213	уйтгартай
coyote	0.459	0.471	0.387	чоно чоно
cozy	0.910	0.356	0.545	тухтай
crab	0.421	0.396	0.330	хавч
crabby	0.198	0.812	0.370	crabby
crack	0.302	0.625	0.400	хагарал
cracked	0.224	0.520	0.228	хагарсан
cracker	0.604	0.343	0.346	жигнэмэг
crackerjack	0.567	0.509	0.426	жигнэмэг
cracking	0.327	0.557	0.286	хагарал
crackle	0.327	0.643	0.481	шажигнана
crackpot	0.260	0.602	0.245	crackpot
cradle	0.776	0.194	0.333	өлгий
craft	0.760	0.321	0.539	гар урлал
crafts	0.667	0.380	0.391	гар урлал
craftsman	0.719	0.310	0.583	дархан
craftsmanship	0.823	0.373	0.571	гар урлал
crafty	0.589	0.679	0.783	зальтай
craig	0.448	0.449	0.490	Крейг
cram	0.354	0.730	0.598	шахах
crammed	0.406	0.740	0.466	гацсан
cramp	0.194	0.796	0.340	базлалт
cramped	0.240	0.567	0.360	давчуу
cranberry	0.793	0.330	0.363	цангис
cranberry juice	0.622	0.321	0.281	Цангис жимсний шүүс
crane	0.396	0.417	0.589	кран
cranial	0.354	0.510	0.583	гавлын яс
cranium	0.439	0.491	0.725	гавлын яс
crank	0.448	0.275	0.417	бүлүүр
cranky	0.194	0.776	0.396	галзуу
cranny	0.194	0.471	0.250	cranny
crap	0.083	0.644	0.167	новш
crappy	0.039	0.582	0.208	муухай
craps	0.375	0.420	0.273	хов жив
crash	0.194	0.906	0.355	сүйрэл
crass	0.223	0.490	0.466	бүдүүлэг
crate	0.427	0.173	0.274	хайрцаг
crater	0.450	0.647	0.529	тогоо
crave	0.625	0.510	0.731	хүсэх
craving	0.510	0.755	0.636	шунал
crawfish	0.510	0.427	0.342	хавч
crawl	0.479	0.519	0.467	мөлхөх
crayon	0.604	0.260	0.185	өнгийн харандаа
crayons	0.684	0.366	0.405	өнгийн харандаа
craze	0.255	0.657	0.435	галзуу
crazed	0.153	0.877	0.417	галзуурсан
craziness	0.238	0.908	0.255	галзуурал
crazy	0.156	0.843	0.321	галзуу
creak	0.344	0.670	0.411	шаржигнах
creaking	0.302	0.743	0.415	шаржигнах
cream	0.688	0.259	0.220	цөцгий
creamed	0.723	0.273	0.288	цөцгийтэй
creamer	0.594	0.192	0.269	цөцгий
creamy	0.823	0.337	0.345	өтгөн
crease	0.440	0.286	0.300	атираа
create	0.786	0.588	0.789	үүсгэх
creation	0.927	0.575	0.868	бүтээл
creative	0.917	0.518	0.788	бүтээлч
creativity	0.938	0.684	0.815	бүтээлч байдал
creator	0.865	0.592	0.856	бүтээгч
creature	0.669	0.625	0.620	амьтан
credence	0.760	0.460	0.737	итгэл үнэмшил
credential	0.735	0.337	0.597	итгэмжлэл
credentials	0.708	0.373	0.675	итгэмжлэл
credibility	0.875	0.427	0.809	найдвартай байдал
credible	0.917	0.441	0.750	найдвартай
credit	0.673	0.549	0.648	зээл
credit card	0.670	0.550	0.640	зээлийн карт
creditable	0.802	0.510	0.742	зээлжих боломжтой
credited	0.781	0.390	0.691	зээлсэн
crediting	0.673	0.550	0.741	зээл олгох
creditor	0.479	0.594	0.689	зээлдүүлэгч
creed	0.573	0.245	0.544	итгэл үнэмшил
creek	0.552	0.392	0.330	горхи
creep	0.354	0.647	0.361	мөлхөх
creeper	0.429	0.558	0.366	мөлхөгч
creeping	0.292	0.613	0.282	мөлхөж байна
creepy	0.125	0.861	0.373	аймаар
cremation	0.084	0.620	0.420	чандарлах
