English Word	Valence	Arousal	Dominance	Bosnian Word
coincidence	0.612	0.450	0.518	slučajnost
coincident	0.562	0.385	0.602	slučajnost
coincidental	0.646	0.481	0.337	slučajno
coinciding	0.673	0.373	0.623	podudaranje
coke	0.404	0.461	0.397	koksa
cola	0.469	0.325	0.240	cola
cold	0.398	0.538	0.348	hladno
coldly	0.365	0.358	0.407	hladno
coldness	0.093	0.470	0.427	hladnoća
coldsweat	0.427	0.491	0.327	hladan znoj
coleslaw	0.707	0.312	0.336	salata od kupusa
colic	0.135	0.736	0.361	colic
coliseum	0.612	0.663	0.704	coliseum
collaborate	0.816	0.449	0.559	sarađivati
collaboration	0.885	0.628	0.741	saradnja
collaborator	0.729	0.320	0.769	saradnik
collage	0.680	0.321	0.375	kolaž
collagen	0.541	0.245	0.450	kolagen
collapse	0.208	0.689	0.342	kolaps
collar	0.656	0.442	0.446	ovratnik
collarbone	0.420	0.427	0.306	ključna kost
collate	0.438	0.448	0.580	collate
collateral	0.531	0.422	0.717	kolateral
collation	0.520	0.333	0.508	upoređivanje
colleague	0.740	0.413	0.600	kolega
collect	0.635	0.481	0.491	skupiti
collected	0.570	0.402	0.588	prikupljeno
collection	0.725	0.311	0.588	zbirka
collective	0.583	0.458	0.698	kolektivno
collectively	0.817	0.573	0.533	kolektivno
collector	0.552	0.481	0.648	kolekcionar
college	0.700	0.467	0.746	koledž
collegiate	0.592	0.461	0.678	kolegijalni
collide	0.271	0.892	0.557	sudaraju
collie	0.562	0.308	0.328	koli
collision	0.245	0.848	0.585	sudara
collocation	0.637	0.360	0.594	kolokacija
colloquial	0.604	0.363	0.368	kolokvijalni
collusion	0.365	0.510	0.400	dosluh
cologne	0.677	0.413	0.552	kolonjska voda
colon	0.449	0.394	0.384	debelo crijevo
colonel	0.459	0.592	0.890	pukovnik
colonial	0.553	0.327	0.613	kolonijalni
colonic	0.333	0.420	0.430	debelog crijeva
colonoscopy	0.208	0.524	0.466	kolonoskopija
colony	0.716	0.353	0.593	kolonija
colophon	0.500	0.408	0.385	kolofon
color	0.786	0.280	0.402	boja
coloration	0.541	0.520	0.443	obojenost
colored	0.806	0.317	0.275	u boji
colorful	0.850	0.520	0.519	raznobojan
coloring	0.781	0.469	0.353	bojanje
colorless	0.354	0.340	0.250	bezbojan
colors	0.875	0.349	0.340	boje
colossal	0.698	0.692	0.900	kolosalno
colt	0.561	0.587	0.543	colt
columbine	0.520	0.521	0.407	columbine
column	0.480	0.250	0.670	kolona
columnar	0.448	0.340	0.491	columnar
columnist	0.646	0.365	0.648	kolumnista
com	0.396	0.382	0.382	com
coma	0.219	0.255	0.302	koma
comatose	0.143	0.438	0.433	koma
comb	0.490	0.123	0.268	comb
combat	0.302	0.846	0.833	combat
combatant	0.531	0.853	0.780	borac
combative	0.381	0.690	0.816	borbeni
combination	0.708	0.480	0.726	kombinacija
combinatorial	0.561	0.436	0.428	kombinatorski
combine	0.663	0.442	0.533	kombinovati
combined	0.622	0.370	0.500	kombinovano
combo	0.698	0.439	0.453	combo
combustible	0.386	0.650	0.750	zapaljiv
combustion	0.457	0.807	0.591	sagorijevanje
come	0.529	0.269	0.558	dođi
comeback	0.580	0.409	0.555	vrati se
comedian	0.812	0.735	0.598	komičar
comedy	0.918	0.555	0.490	komedija
comet	0.704	0.679	0.471	kometa
comfort	0.863	0.231	0.670	udobnost
comfortable	0.927	0.163	0.473	udobno
comforter	0.618	0.275	0.302	tješitelj
comforting	0.906	0.337	0.620	utješno
comfy	0.930	0.241	0.625	udobno
comic	0.917	0.459	0.387	comic
comical	0.844	0.737	0.327	komično
comics	0.690	0.556	0.384	stripovi
coming	0.653	0.417	0.500	dolazi
comma	0.344	0.269	0.242	zarez
command	0.427	0.790	0.849	komanda
commandant	0.622	0.700	0.943	komandant
commandeer	0.552	0.639	0.931	komandant
commander	0.531	0.615	0.906	komandant
commanding	0.562	0.664	0.925	komandujući
commandment	0.656	0.490	0.876	zapovest
commando	0.323	0.710	0.817	komandos
commemorate	0.812	0.602	0.636	komemorirati
commemoration	0.719	0.615	0.754	komemoracija
commemorative	0.750	0.438	0.754	komemorativno
commence	0.760	0.585	0.741	započeti
commend	0.906	0.694	0.711	pohvaliti
commendable	0.786	0.570	0.555	pohvalno
commendation	0.911	0.500	0.639	pohvala
commensurate	0.610	0.304	0.550	srazmjerno
comment	0.667	0.417	0.379	komentar
commentary	0.602	0.402	0.446	komentar
commentator	0.492	0.510	0.607	komentator
commerce	0.646	0.500	0.788	commerce
commercial	0.806	0.490	0.528	komercijalno
commie	0.385	0.519	0.454	commie
commissary	0.385	0.500	0.788	komesar
commission	0.677	0.480	0.571	provizija
commissioner	0.602	0.449	0.949	komesar
commit	0.365	0.529	0.491	počiniti
commitment	0.714	0.710	0.843	posvećenost
committal	0.472	0.519	0.582	posvećenost
committed	0.710	0.542	0.712	počinio
committee	0.592	0.392	0.721	komitet
commodity	0.615	0.394	0.537	roba
commodore	0.427	0.530	0.636	commodore
common	0.600	0.127	0.318	često
commoner	0.448	0.365	0.327	običan
commonly	0.604	0.170	0.574	uobičajeno
commonplace	0.520	0.337	0.442	uobičajeno
commons	0.633	0.396	0.623	commons
commonwealth	0.630	0.406	0.702	Commonwealth
commotion	0.490	0.700	0.646	komešanje
communal	0.592	0.321	0.556	komunalni
commune	0.500	0.488	0.655	komuna
communicable	0.796	0.491	0.623	komunikabilan
communicate	0.823	0.410	0.696	komunicirati
communication	0.837	0.400	0.649	komunikacija
communicative	0.847	0.560	0.637	komunikativna
communicator	0.573	0.509	0.796	komunikator
communion	0.765	0.357	0.607	pričest
communism	0.264	0.570	0.623	komunizam
communist	0.265	0.702	0.632	komunistički
community	0.750	0.350	0.659	zajednica
commutation	0.469	0.431	0.652	komutacija
commutative	0.667	0.442	0.569	komutativno
commute	0.622	0.582	0.565	commute
commuter	0.646	0.520	0.512	commuter
comp	0.573	0.450	0.371	comp
compact	0.458	0.417	0.673	kompaktan
compaction	0.531	0.471	0.582	zbijanje
compactness	0.582	0.352	0.454	kompaktnost
companion	0.770	0.377	0.618	pratilac
companionless	0.271	0.259	0.200	bez pratnje
companionship	0.833	0.438	0.792	drustvo
company	0.906	0.425	0.798	kompanija
comparable	0.562	0.443	0.458	uporedivi
comparative	0.470	0.273	0.562	komparativni
comparatively	0.604	0.391	0.538	komparativno
compare	0.552	0.408	0.524	uporedi
comparison	0.583	0.456	0.492	poređenje
compartment	0.500	0.389	0.607	kupe
compass	0.541	0.307	0.529	kompas
compassion	0.735	0.258	0.509	saosećanje
compassionate	0.857	0.404	0.411	saosećajan
compatibility	0.816	0.450	0.673	kompatibilnost
compatible	0.892	0.387	0.638	kompatibilan
compel	0.200	0.847	0.625	prisiliti
compelled	0.333	0.654	0.347	prinuđen
compelling	0.698	0.570	0.870	uvjerljiv
compendium	0.610	0.461	0.537	compendium
compensate	0.612	0.429	0.762	nadoknaditi
compensation	0.775	0.469	0.598	kompenzacija
compensatory	0.589	0.490	0.700	kompenzacijski
compete	0.573	0.745	0.786	takmičiti se
competence	0.615	0.802	0.823	kompetencije
competency	0.768	0.775	0.764	kompetencije
competent	0.865	0.560	0.904	kompetentan
competition	0.580	0.790	0.798	konkurencija
competitive	0.447	0.718	0.908	konkurentan
competitor	0.612	0.959	0.861	takmičar
compilation	0.530	0.512	0.606	kompilacija
compile	0.600	0.413	0.519	kompajlirati
complacency	0.604	0.503	0.519	samozadovoljstvo
complacent	0.625	0.452	0.518	samozadovoljan
complain	0.143	0.682	0.360	žaliti se
complaint	0.143	0.606	0.281	pritužba
complement	0.760	0.277	0.600	dopuna
complementary	0.714	0.320	0.586	komplementarni
complete	0.750	0.414	0.809	kompletan
completed	0.823	0.357	0.777	završeno
completely	0.730	0.370	0.690	potpuno
completeness	0.823	0.433	0.769	potpunost
completing	0.614	0.500	0.769	dovršavanje
completion	0.656	0.470	0.525	završetak
complex	0.388	0.608	0.550	kompleks
complexed	0.312	0.577	0.612	iskompleksirano
complexion	0.521	0.520	0.380	ten
complexity	0.479	0.620	0.595	složenost
compliance	0.750	0.462	0.750	usklađenost
compliant	0.677	0.310	0.519	usklađen
complicate	0.210	0.657	0.404	komplikovati
complicated	0.211	0.660	0.455	komplikovano
complication	0.365	0.726	0.330	komplikacija
complicity	0.323	0.684	0.670	saučesništvo
compliment	0.820	0.490	0.651	kompliment
complimentary	0.823	0.413	0.435	complimentary
comply	0.806	0.370	0.638	pridržavati se
complying	0.729	0.423	0.590	u skladu
compo	0.500	0.346	0.390	compo
component	0.531	0.382	0.525	komponenta
compose	0.639	0.432	0.694	komponovati
composed	0.684	0.385	0.682	sastavljeno
composer	0.822	0.588	0.691	kompozitor
composite	0.591	0.459	0.620	kompozitni
composition	0.765	0.408	0.652	kompozicija
compost	0.480	0.404	0.441	kompost
composure	0.802	0.354	0.717	pribranost
compound	0.635	0.385	0.735	spoj
comprehend	0.875	0.365	0.689	shvatiti
comprehension	0.908	0.387	0.688	razumijevanje
comprehensive	0.796	0.385	0.644	sveobuhvatan
compress	0.406	0.412	0.460	komprimirati
compressed	0.323	0.396	0.388	komprimiran
compressible	0.622	0.392	0.585	kompresibilno
compression	0.646	0.521	0.579	kompresija
compressor	0.418	0.481	0.630	kompresor
comprise	0.839	0.373	0.669	obuhvataju
compromise	0.677	0.520	0.805	kompromis
comptroller	0.402	0.481	0.866	kontrolor
compulsion	0.118	0.760	0.604	prisila
compulsive	0.347	0.871	0.573	kompulzivno
compulsory	0.343	0.541	0.791	obavezna
computable	0.570	0.402	0.545	izračunljiv
computation	0.583	0.429	0.697	računanje
compute	0.531	0.408	0.564	compute
computer	0.802	0.356	0.639	kompjuter
computerized	0.677	0.450	0.657	kompjuterizovano
computing	0.745	0.398	0.695	računarstvo
comrade	0.781	0.412	0.804	druže
con	0.255	0.736	0.427	con
concatenation	0.480	0.593	0.539	konkatenacija
concave	0.441	0.349	0.349	konkavna
conceal	0.312	0.436	0.306	sakriti
concealed	0.344	0.363	0.352	skriveno
concealment	0.302	0.570	0.390	prikrivanje
concede	0.670	0.324	0.473	popustiti
conceit	0.354	0.625	0.309	uobraženost
conceited	0.194	0.667	0.473	uobraženi
conceivable	0.730	0.350	0.613	zamislivo
conceive	0.708	0.538	0.700	začeti
concentrate	0.750	0.439	0.743	koncentrat
concentration	0.735	0.500	0.722	koncentracija
concentric	0.730	0.479	0.635	koncentrična
concept	0.573	0.265	0.632	koncept
conception	0.694	0.490	0.614	koncepcija
concern	0.250	0.734	0.463	zabrinutost
concerned	0.292	0.698	0.350	zabrinuti
concert	0.938	0.867	0.718	koncert
concerto	0.613	0.759	0.679	concerto
concession	0.588	0.423	0.615	koncesija
concessional	0.770	0.493	0.657	koncesijski
conch	0.583	0.306	0.339	conch
concierge	0.480	0.343	0.343	concierge
conciliation	0.792	0.475	0.726	pomirenje
concise	0.583	0.298	0.620	koncizan
conclave	0.573	0.440	0.611	konklava
conclude	0.530	0.267	0.679	zaključiti
concluding	0.531	0.382	0.603	zaključivanje
conclusion	0.615	0.377	0.659	zaključak
conclusive	0.500	0.427	0.745	konačan
concoction	0.448	0.459	0.417	izmišljotina
concomitant	0.427	0.482	0.727	istovremeni
concord	0.677	0.320	0.586	concord
concordance	0.625	0.358	0.608	podudarnost
concours	0.500	0.530	0.495	concours
concourse	0.740	0.657	0.528	concourse
concrete	0.633	0.420	0.547	beton
concubine	0.388	0.594	0.476	konkubina
concur	0.459	0.394	0.429	concur
concurrence	0.764	0.627	0.613	podudarnost
concurrent	0.573	0.547	0.741	istovremeno
concurring	0.573	0.600	0.681	concurring
concussion	0.072	0.708	0.482	potres mozga
condemn	0.102	0.793	0.625	osuditi
condemnation	0.133	0.725	0.449	osuda
condensation	0.510	0.316	0.538	kondenzacije
condensed	0.598	0.415	0.623	kondenzovano
condescending	0.583	0.363	0.593	snishodljiv
condescension	0.521	0.377	0.565	snishodljivost
condiment	0.520	0.333	0.433	začin
condition	0.500	0.469	0.519	stanje
conditional	0.521	0.343	0.556	uslovno
conditionally	0.396	0.419	0.617	uslovno
conditioned	0.490	0.417	0.616	uslovljeno
conditioner	0.781	0.360	0.538	regenerator
conditioning	0.440	0.468	0.617	kondicioniranje
conditions	0.551	0.441	0.593	uslovima
condo	0.439	0.288	0.607	condo
condolence	0.260	0.443	0.404	saučešće
condolences	0.198	0.480	0.288	saučešće
condom	0.406	0.637	0.500	kondom
condone	0.571	0.441	0.619	condone
condor	0.573	0.388	0.519	condor
conducive	0.775	0.479	0.679	pogodan
conduct	0.453	0.510	0.750	ponašanje
conduction	0.530	0.557	0.717	provodljivost
conductivity	0.583	0.575	0.642	provodljivost
conductor	0.677	0.663	0.621	kondukter
conduit	0.470	0.302	0.413	cijev
cone	0.417	0.208	0.343	kornet
confederacy	0.590	0.541	0.736	konfederacija
confederate	0.551	0.546	0.792	konfederativan
confederation	0.663	0.404	0.830	konfederacija
confer	0.573	0.482	0.583	confer
conference	0.688	0.615	0.606	konferencija
confess	0.360	0.712	0.431	priznaj
confession	0.469	0.642	0.460	priznanje
confessional	0.458	0.392	0.629	ispovjedaonica
confessions	0.325	0.538	0.658	priznanja
confetti	0.781	0.573	0.250	konfeti
confidant	0.837	0.633	0.631	pouzdanik
confide	0.669	0.472	0.595	confide
confidence	0.959	0.276	0.943	samopouzdanje
confident	0.765	0.324	0.723	samouveren
confidential	0.643	0.471	0.761	povjerljivo
confidentiality	0.667	0.431	0.718	povjerljivost
confidentially	0.633	0.469	0.558	povjerljivo
configuration	0.540	0.443	0.591	konfiguraciju
confine	0.327	0.551	0.538	ograničiti
confined	0.286	0.472	0.444	zatvoren
confinement	0.333	0.656	0.520	zatvaranje
confines	0.396	0.386	0.542	ograničava
confirm	0.802	0.439	0.806	potvrditi
confirmation	0.812	0.480	0.692	potvrdu
confirmatory	0.656	0.500	0.683	potvrdni
confirmed	0.760	0.490	0.764	potvrđeno
confiscate	0.250	0.625	0.482	konfiskati
confiscation	0.208	0.706	0.586	konfiskacija
conflagration	0.344	0.721	0.594	požar
conflict	0.335	0.906	0.471	sukoba
conflicting	0.173	0.738	0.553	konfliktno
confluence	0.677	0.598	0.565	konfluence
conform	0.479	0.380	0.375	konform
conformance	0.608	0.278	0.254	usklađenost
conformation	0.622	0.435	0.711	konformacija
conformity	0.645	0.363	0.579	udobnost
confound	0.347	0.529	0.333	zbuniti
confounded	0.333	0.528	0.264	zbunjen
confront	0.281	0.760	0.746	suočiti se
confrontation	0.177	0.870	0.658	konfrontacija
confuse	0.100	0.580	0.270	zbuniti
confused	0.220	0.650	0.179	zbunjen
confusing	0.229	0.690	0.222	zbunjujuće
confusion	0.255	0.667	0.277	konfuzija
conga	0.469	0.529	0.440	conga
congenial	0.820	0.412	0.620	srodan
congenital	0.448	0.434	0.427	kongenitalno
congestion	0.271	0.654	0.491	zagušenja
conglomerate	0.500	0.500	0.838	konglomerat
conglomeration	0.541	0.720	0.670	konglomerat
congrats	0.930	0.726	0.775	čestitam
congratulate	0.927	0.724	0.784	čestitam
congratulation	0.948	0.780	0.717	čestitam
congratulations	0.960	0.755	0.719	čestitam
congratulatory	0.959	0.616	0.689	čestitam
congregate	0.653	0.530	0.733	okupljati
congregation	0.561	0.490	0.700	kongregacija
congress	0.449	0.444	0.857	kongres
congressional	0.552	0.491	0.848	kongresni
congressman	0.438	0.471	0.877	kongresmen
congruence	0.656	0.472	0.577	kongruencija
conic	0.510	0.368	0.379	conic
conical	0.490	0.422	0.471	konusni
conjecture	0.396	0.398	0.534	pretpostavka
conjugal	0.698	0.510	0.688	bračni
conjugate	0.583	0.420	0.467	konjugirati
conjugation	0.479	0.429	0.582	konjugacija
conjunction	0.520	0.472	0.509	konjunkcija
conjunctive	0.487	0.444	0.639	konjunktiv
conjure	0.385	0.679	0.645	dočarati
conjuring	0.224	0.653	0.694	conjuring
conk	0.340	0.469	0.404	conk
connect	0.724	0.299	0.536	povezati
connected	0.816	0.550	0.612	povezan
connection	0.729	0.560	0.655	veza
connective	0.719	0.491	0.764	vezivni
connoisseur	0.760	0.461	0.769	poznavalac
conquer	0.694	0.873	0.971	osvojiti
conquering	0.760	0.873	0.936	osvajanje
conqueror	0.604	0.809	0.930	osvajač
conquest	0.710	0.702	0.833	osvajanje
conscience	0.663	0.375	0.721	savjest
conscientious	0.688	0.404	0.688	savjestan
conscious	0.740	0.333	0.705	svjesni
consciousness	0.840	0.483	0.755	svijest
conscription	0.396	0.775	0.642	regrutacija
consecrated	0.663	0.500	0.800	posvećeni
consecration	0.771	0.418	0.804	posvećenje
consecutive	0.663	0.418	0.643	uzastopno
consensual	0.663	0.417	0.655	konsenzualno
consensus	0.627	0.358	0.625	konsenzus
consent	0.750	0.500	0.620	saglasnost
consenting	0.727	0.406	0.693	pristanak
consequence	0.240	0.721	0.593	posljedica
consequent	0.663	0.471	0.625	konsekventno
conservation	0.832	0.401	0.606	konzervacija
conservatism	0.406	0.369	0.633	konzervativizam
conservative	0.615	0.316	0.788	konzervativan
conservatory	0.635	0.240	0.729	konzervatorijum
conserve	0.690	0.347	0.573	konzervirati
consider	0.677	0.368	0.579	razmotriti
considerable	0.653	0.314	0.683	značajan
considerate	0.781	0.380	0.633	obziran
consideration	0.589	0.380	0.687	razmatranje
consignee	0.635	0.385	0.602	primaoca
consignment	0.490	0.440	0.500	pošiljka
consist	0.823	0.386	0.580	sastoji se
consistency	0.714	0.500	0.887	konzistentnost
consistent	0.786	0.431	0.726	dosljedan
consolation	0.408	0.250	0.304	utjeha
console	0.625	0.398	0.415	konzola
consoled	0.700	0.343	0.452	utješen
consolidate	0.880	0.440	0.870	konsolidovati
consolidated	0.700	0.366	0.784	konsolidovani
consolidation	0.604	0.445	0.776	konsolidacija
consonant	0.500	0.347	0.417	konsonant
consort	0.632	0.509	0.630	supruga
conspicuous	0.479	0.520	0.596	upadljivo
conspiracy	0.125	0.787	0.652	zavjera
conspirator	0.271	0.786	0.707	konspirator
conspire	0.206	0.740	0.520	zavjeru
constable	0.573	0.667	0.764	policajac
constancy	0.786	0.443	0.763	postojanost
constant	0.740	0.296	0.686	konstantan
constantly	0.663	0.561	0.700	stalno
constellation	0.719	0.533	0.775	sazviježđe
consternation	0.167	0.680	0.469	konsternacija
constipation	0.079	0.612	0.231	zatvor
constituency	0.500	0.480	0.696	izborna jedinica
constituent	0.573	0.500	0.827	sastavni
constituents	0.573	0.414	0.833	sastojci
constitute	0.812	0.349	0.906	konstituisati
constitution	0.590	0.380	0.889	ustav
constitutional	0.633	0.418	0.827	ustavne
constitutionality	0.612	0.439	0.853	ustavnost
constrain	0.261	0.500	0.500	ograničiti
constrained	0.135	0.537	0.357	sputan
constraint	0.323	0.550	0.481	ograničenje
construct	0.750	0.648	0.792	konstruisati
construction	0.848	0.612	0.759	izgradnja
constructive	0.860	0.570	0.812	konstruktivno
construe	0.602	0.519	0.553	construe
consul	0.573	0.354	0.688	konzul
consulate	0.561	0.453	0.694	konzulat
consult	0.755	0.370	0.441	konsultovati se
consultant	0.770	0.344	0.808	konsultant
consultation	0.660	0.463	0.625	konsultacije
consume	0.427	0.620	0.509	konzumirati
consumer	0.507	0.551	0.677	potrošača
consuming	0.573	0.541	0.536	konzumiranje
consummate	0.551	0.540	0.558	savršen
consummation	0.583	0.676	0.661	konzumacija
consumption	0.390	0.531	0.538	potrošnja
contact	0.719	0.424	0.526	kontakt
contagion	0.208	0.630	0.535	zaraza
contagious	0.184	0.725	0.400	zarazni
contain	0.542	0.490	0.658	sadrže
container	0.551	0.396	0.561	kontejner
containment	0.411	0.491	0.618	zadržavanje
contaminate	0.140	0.611	0.426	kontaminirati
contaminated	0.040	0.500	0.368	kontaminiran
contamination	0.125	0.610	0.375	kontaminacije
contemplate	0.740	0.347	0.642	razmatrati
contemplation	0.552	0.324	0.627	kontemplacija
contemplative	0.729	0.308	0.739	kontemplativan
contemporaneous	0.640	0.373	0.591	istovremeni
contemporary	0.720	0.365	0.569	savremeno
contempt	0.206	0.635	0.396	prezir
contemptible	0.146	0.657	0.471	prezira
contemptuous	0.204	0.500	0.375	prezrivo
contend	0.510	0.657	0.731	boriti se
contender	0.480	0.790	0.681	contender
contending	0.490	0.698	0.716	nadmetanje
content	0.764	0.296	0.559	sadržaj
contented	0.857	0.612	0.746	zadovoljan
contention	0.375	0.510	0.738	spor
contentious	0.422	0.573	0.637	sporan
contentment	0.875	0.610	0.782	zadovoljstvo
contents	0.656	0.375	0.550	sadržaja
contest	0.667	0.698	0.717	takmičenje
contestant	0.760	0.530	0.602	takmičar
context	0.531	0.300	0.553	kontekstu
contiguous	0.375	0.450	0.500	susjedni
continence	0.450	0.396	0.469	kontinencija
continent	0.551	0.373	0.833	kontinent
continental	0.486	0.350	0.755	kontinentalni
contingency	0.396	0.500	0.670	nepredviđeno stanje
contingent	0.470	0.531	0.659	kontingent
continual	0.500	0.423	0.685	kontinuirano
continually	0.646	0.438	0.698	kontinuirano
continuance	0.729	0.510	0.652	nastavak
continuation	0.615	0.470	0.566	nastavak
continue	0.630	0.427	0.612	nastaviti
continued	0.635	0.440	0.500	nastavio
continuing	0.667	0.500	0.520	nastavlja
continuity	0.781	0.439	0.684	kontinuitet
continuous	0.625	0.509	0.580	kontinuirano
continuously	0.719	0.417	0.702	kontinuirano
continuum	0.677	0.390	0.491	kontinuum
contour	0.589	0.265	0.414	kontura
contraband	0.177	0.875	0.670	krijumčarenje
contraception	0.296	0.518	0.525	kontracepcija
contract	0.594	0.412	0.636	ugovor
contracted	0.344	0.557	0.449	ugovoreno
contractile	0.480	0.586	0.569	kontraktilno
contracting	0.594	0.490	0.769	ugovaranje
contraction	0.292	0.755	0.603	kontrakcija
contractor	0.592	0.479	0.727	izvođač
contradict	0.160	0.598	0.482	protivrečiti
contradiction	0.250	0.660	0.377	kontradikcija
contradictory	0.365	0.651	0.421	kontradiktorno
contraption	0.448	0.590	0.491	izum
contrary	0.327	0.449	0.338	suprotno
contrast	0.480	0.406	0.520	kontrast
contrasted	0.521	0.538	0.491	kontrastno
contravene	0.357	0.618	0.472	u suprotnosti
contravention	0.344	0.627	0.593	kršenje
contribute	0.806	0.350	0.795	doprinijeti
contribution	0.854	0.452	0.760	doprinos
contributor	0.844	0.510	0.760	saradnik
contrite	0.347	0.363	0.473	skrušen
contrition	0.347	0.583	0.463	skrušenosti
contrived	0.408	0.530	0.458	izmišljeno
control	0.729	0.352	0.808	kontrolu
controller	0.469	0.712	0.868	kontroler
controlling	0.490	0.441	0.885	kontrolisanje
controversial	0.271	0.858	0.538	kontroverzno
controversy	0.250	0.819	0.600	kontroverza
contusion	0.167	0.565	0.509	kontuzija
conundrum	0.354	0.524	0.408	zagonetka
convalescent	0.458	0.480	0.269	rekonvalescent
convection	0.521	0.494	0.526	konvekcija
convene	0.583	0.676	0.636	sazvati
convenience	0.781	0.448	0.613	pogodnost
conveniences	0.802	0.412	0.693	pogodnosti
convenient	0.846	0.491	0.574	zgodno
convent	0.480	0.217	0.594	samostan
convention	0.622	0.622	0.704	konvencija
conventional	0.594	0.292	0.634	konvencionalno
converge	0.635	0.471	0.539	konvergirati
convergence	0.551	0.491	0.625	konvergencija
convergent	0.781	0.490	0.696	konvergentan
conversant	0.724	0.360	0.542	poznavalac
conversation	0.750	0.510	0.609	razgovor
conversational	0.719	0.431	0.596	konverzacijski
conversationalist	0.719	0.467	0.667	konverzator
converse	0.594	0.406	0.598	razgovarati
conversing	0.755	0.409	0.442	conversing
conversion	0.480	0.605	0.736	konverzija
convert	0.551	0.538	0.704	pretvoriti
converted	0.663	0.418	0.686	konvertovan
convertible	0.542	0.529	0.717	kabriolet
convex	0.438	0.427	0.445	konveksan
convexity	0.449	0.354	0.484	konveksnost
convey	0.719	0.633	0.708	prenijeti
conveyance	0.615	0.520	0.455	transport
conveyancing	0.375	0.479	0.663	prenošenje
convict	0.177	0.840	0.477	osuđenik
conviction	0.615	0.704	0.826	uvjerenje
convince	0.708	0.539	0.763	uvjeriti
convinced	0.750	0.500	0.630	uvjereni
convincing	0.760	0.527	0.900	uvjerljivo
convocation	0.538	0.611	0.663	saziv
convoluted	0.323	0.614	0.433	zamršeno
convolution	0.417	0.559	0.527	konvolucija
convoy	0.500	0.671	0.639	konvoj
coo	0.490	0.439	0.500	coo
cook	0.847	0.500	0.412	kuvati
cookbook	0.602	0.346	0.398	kuvarica
cooker	0.592	0.373	0.407	štednjak
cookery	0.633	0.368	0.345	kuhanje
cookie	0.792	0.306	0.250	kolačić
cookies	0.823	0.451	0.316	kolačići
cooking	0.694	0.510	0.434	kuvanje
cookout	0.680	0.406	0.482	kuhanje
cool	0.885	0.540	0.781	cool
coolant	0.720	0.412	0.456	rashladna tečnost
cooler	0.664	0.375	0.460	hladnjak
cooling	0.469	0.324	0.392	hlađenje
coolness	0.490	0.307	0.548	hladnoća
coon	0.490	0.460	0.400	coon
coop	0.612	0.445	0.650	coop
cooperate	0.898	0.451	0.582	surađivati
cooperating	0.760	0.390	0.693	sarađujući
cooperation	0.847	0.473	0.686	saradnju
cooperative	0.816	0.461	0.670	zadruga
coordinate	0.698	0.429	0.694	koordinata
coordination	0.677	0.454	0.789	koordinacija
coordinator	0.750	0.510	0.850	koordinator
cop	0.327	0.770	0.836	policajac
copacetic	0.510	0.471	0.453	copacetic
cope	0.592	0.647	0.709	snaći se
copier	0.459	0.345	0.390	fotokopir aparat
copilot	0.640	0.538	0.573	kopilot
coping	0.562	0.630	0.613	kopiranje
copious	0.427	0.462	0.527	obilno
copper	0.580	0.260	0.500	bakar
copter	0.571	0.704	0.569	copter
copy	0.460	0.240	0.263	kopija
copycat	0.449	0.580	0.443	copycat
copying	0.448	0.315	0.404	kopiranje
copyright	0.458	0.402	0.663	autorsko pravo
coral	0.802	0.231	0.425	koral
coral snake	0.276	0.712	0.607	koraljna zmija
cord	0.388	0.378	0.358	kabel
cordial	0.823	0.312	0.482	srdačan
cordless	0.667	0.441	0.528	bežični
cordon	0.469	0.317	0.380	kordon
corduroy	0.570	0.324	0.357	somot
core	0.721	0.378	0.540	jezgro
cork	0.347	0.250	0.281	pluta
corkscrew	0.427	0.443	0.445	vadičep
corn	0.594	0.196	0.292	kukuruz
cornball	0.479	0.378	0.325	kukuruzna kugla
cornbread	0.643	0.304	0.302	kukuruzni hleb
cornea	0.521	0.346	0.443	rožnjače
corned	0.459	0.441	0.425	corned
corner	0.400	0.296	0.366	ugao
cornerstone	0.550	0.388	0.596	kamen temeljac
cornet	0.507	0.520	0.415	kornet
cornfield	0.719	0.310	0.349	kukuruzno polje
cornflakes	0.729	0.346	0.355	kukuruzne pahuljice
cornice	0.458	0.441	0.295	vijenac
cornstarch	0.643	0.299	0.337	kukuruzni škrob
corny	0.448	0.370	0.221	otrcano
corollary	0.458	0.469	0.366	posledica
corona	0.818	0.439	0.745	corona
coronary	0.567	0.613	0.509	koronarne
coronation	0.792	0.592	0.836	krunisanje
coroner	0.323	0.558	0.526	mrtvozornik
corporal	0.582	0.490	0.596	kaplar
corporate	0.592	0.454	0.745	korporativni
corporation	0.429	0.332	0.873	korporacija
corporeal	0.520	0.350	0.461	tjelesni
corps	0.551	0.453	0.483	korpusa
corpse	0.094	0.657	0.232	leš
corpsman	0.439	0.469	0.651	corpsman
corpus	0.543	0.340	0.490	korpus
corral	0.606	0.662	0.422	corral
correct	0.857	0.306	0.723	ispravan
correction	0.448	0.485	0.558	korekcija
correctional	0.292	0.713	0.602	popravni
corrective	0.448	0.528	0.613	korektivno
correctness	0.796	0.450	0.649	ispravnost
correlation	0.596	0.462	0.571	korelacija
correlative	0.510	0.402	0.571	korelativno
correspond	0.710	0.452	0.545	dopisivati se
correspondence	0.663	0.423	0.491	dopisivanje
correspondent	0.573	0.565	0.712	dopisnik
corresponding	0.740	0.423	0.618	odgovarajući
