English Word	Valence	Arousal	Dominance	Portuguese Word
embarrass	0.082	0.667	0.364	embaraçar
embarrassed	0.184	0.560	0.246	envergonhado
embarrassing	0.226	0.809	0.225	embaraçoso
embarrassment	0.143	0.685	0.226	embaraço
embassy	0.622	0.333	0.758	embaixada
embattled	0.235	0.724	0.421	em apuros
embed	0.417	0.554	0.670	Embutir
embellish	0.842	0.500	0.769	embelezar
embellishment	0.673	0.449	0.405	embelezamento
embers	0.490	0.481	0.508	brasas
embezzlement	0.143	0.827	0.435	peculato
embezzler	0.146	0.823	0.491	fraudador
emblem	0.640	0.330	0.754	emblema
emblematic	0.771	0.459	0.798	emblemático
embodiment	0.562	0.690	0.663	encarnação
embolism	0.104	0.660	0.302	embolia
embossed	0.531	0.481	0.500	em relevo
embrace	0.949	0.490	0.452	abraçar
embroidered	0.677	0.279	0.407	bordado
embroidery	0.781	0.358	0.280	bordado
embroiled	0.337	0.721	0.420	enredado
embryo	0.673	0.469	0.453	embrião
embryonic	0.573	0.453	0.598	embrionário
emcee	0.694	0.577	0.691	mestre de cerimônia
emerald	0.740	0.363	0.726	esmeralda
emerge	0.602	0.594	0.731	emergir
emergence	0.276	0.857	0.676	emergência
emergency	0.200	0.900	0.571	emergência
emeritus	0.633	0.402	0.735	emérito
emery	0.469	0.583	0.472	esmeril
emetophobia	0.243	0.620	0.403	emetofobia
emigrate	0.356	0.812	0.508	emigrar
emigration	0.564	0.664	0.432	emigração
eminence	0.816	0.644	0.837	eminência
eminent	0.740	0.620	0.830	eminente
eminently	0.694	0.607	0.773	eminentemente
emir	0.510	0.396	0.621	emir
emissary	0.562	0.462	0.636	emissário
emission	0.510	0.453	0.591	emissão
emit	0.638	0.445	0.510	emitir
emo	0.354	0.314	0.226	emo
emotion	0.693	0.873	0.696	emoção
emotional	0.779	0.714	0.526	emocional
emotive	0.917	0.741	0.525	emotivo
empathic	0.760	0.570	0.558	empático
empathize	0.802	0.591	0.660	Simpatize
empathy	0.729	0.349	0.545	empatia
emperor	0.651	0.704	0.962	imperador
emphasis	0.653	0.745	0.816	ênfase
emphasize	0.510	0.605	0.769	enfatizar
emphatic	0.615	0.707	0.732	enfático
emphysema	0.156	0.556	0.336	enfisema
empire	0.688	0.730	0.944	Império
empirical	0.500	0.510	0.574	empírico
empiricism	0.583	0.460	0.547	empirismo
employ	0.729	0.481	0.702	empregar
employee	0.582	0.361	0.481	empregado
employer	0.663	0.518	0.767	Empregador
employment	0.750	0.594	0.611	emprego
emporium	0.622	0.556	0.724	empório
empower	0.694	0.779	0.891	empoderamento
empress	0.716	0.669	0.855	imperatriz
emptiness	0.177	0.173	0.184	vazio
emption	0.570	0.406	0.458	esvaziamento
empty	0.188	0.183	0.081	vazio
emu	0.420	0.358	0.330	ema
emulate	0.438	0.340	0.549	emular, imitar
emulsion	0.562	0.431	0.453	emulsão
enable	0.760	0.491	0.782	permitir
enablement	0.600	0.451	0.750	habilitação
enact	0.680	0.564	0.598	promulgar
enactment	0.667	0.612	0.769	promulgação
enamel	0.594	0.280	0.306	esmalte
encampment	0.677	0.573	0.605	acampamento
enchant	0.873	0.650	0.643	encantar
enchanted	0.917	0.633	0.687	encantado
enchanting	0.917	0.681	0.708	encantador
enchantment	0.816	0.775	0.647	encantamento
enchantress	0.398	0.663	0.479	feiticeira
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	cercar
encircling	0.510	0.368	0.557	cercando
enclave	0.531	0.333	0.580	enclave
enclose	0.531	0.477	0.473	incluir
enclosure	0.417	0.375	0.490	recinto
encode	0.490	0.500	0.734	codificar
encomiastic	0.541	0.500	0.670	encomiástico
encomium	0.541	0.451	0.519	elogio
encompass	0.520	0.298	0.661	abranger
encore	0.510	0.423	0.500	bis
encounter	0.865	0.702	0.689	encontro
encourage	0.896	0.580	0.704	encorajar
encouraged	0.953	0.702	0.657	encorajado
encouragement	0.865	0.700	0.759	encorajamento
encouraging	0.823	0.583	0.755	encorajando
encroach	0.302	0.742	0.702	invadir
encroachment	0.255	0.736	0.620	invasão
encrypt	0.500	0.387	0.500	criptografar
encryption	0.547	0.415	0.474	criptografia
encumbrance	0.300	0.521	0.480	estorvo
encyclopedia	0.679	0.320	0.645	enciclopédia
end	0.198	0.349	0.298	fim
end table	0.541	0.480	0.482	mesa final
endanger	0.115	0.885	0.404	pôr em perigo
endangered	0.083	0.885	0.430	ameaçadas de extinção
endangerment	0.167	0.873	0.519	perigo
endearing	0.663	0.434	0.604	cativante
endeavor	0.677	0.755	0.765	empreendimento
ended	0.302	0.500	0.500	terminou
endemic	0.406	0.480	0.483	endêmico
endgame	0.449	0.538	0.526	final de jogo
ending	0.344	0.365	0.492	final
endless	0.347	0.462	0.472	sem fim
endocarditis	0.235	0.587	0.412	endocardite
endorse	0.592	0.392	0.472	endossar
endorsement	0.834	0.360	0.611	endosso
endow	0.684	0.398	0.609	dotar
endowed	0.755	0.510	0.769	dotado
endowment	0.685	0.578	0.647	doação
endpapers	0.542	0.400	0.339	guardas
endpoint	0.311	0.410	0.448	ponto final
endurance	0.592	0.745	0.760	resistência
endure	0.320	0.610	0.574	aguentar
enduring	0.633	0.459	0.768	duradouro
enema	0.281	0.673	0.268	enema
enemy	0.135	0.794	0.591	inimigo
energetic	0.847	0.868	0.902	enérgico
energize	0.792	0.810	0.875	energizar
energy	0.944	0.725	0.868	energia
enforce	0.583	0.644	0.836	impor
enforcement	0.594	0.571	0.736	execução
enforcer	0.398	0.612	0.639	Executor
engage	0.771	0.796	0.713	se empenhar
engaged	0.837	0.596	0.849	noivo
engagement	0.906	0.587	0.807	noivado
engaging	0.948	0.612	0.862	noivando
engender	0.561	0.741	0.688	gerar
engine	0.615	0.644	0.676	motor
engineer	0.719	0.500	0.875	engenheiro
engineering	0.735	0.471	0.836	Engenharia
engrave	0.486	0.442	0.517	gravar
engraved	0.542	0.375	0.473	gravado
engraver	0.552	0.417	0.500	gravador
engraving	0.604	0.430	0.442	gravação
engrossed	0.541	0.471	0.304	absorto
engrossing	0.698	0.702	0.750	cativante
engulf	0.398	0.573	0.500	engolir
enhance	0.802	0.578	0.814	realçar
enhancement	0.877	0.490	0.741	Aprimoramento
enigma	0.513	0.700	0.500	enigma
enigmatic	0.469	0.589	0.679	enigmático
enjoin	0.594	0.454	0.732	ordenar
enjoy	0.959	0.725	0.750	desfrutar
enjoyable	1.000	0.481	0.605	agradável
enjoying	0.908	0.759	0.759	desfrutando
enjoyment	0.930	0.612	0.716	prazer
enlarge	0.735	0.606	0.688	prolongar
enlarged	0.673	0.490	0.518	ampliado
enlargement	0.677	0.577	0.616	alargamento
enlighten	0.729	0.549	0.667	iluminar
enlightened	0.956	0.566	0.700	iluminado
enlightening	0.825	0.729	0.727	esclarecedor
enlightenment	0.837	0.549	0.619	iluminação
enlist	0.510	0.370	0.483	alistar
enliven	0.833	0.683	0.702	animar
enmity	0.094	0.706	0.382	inimizade
ennui	0.406	0.461	0.316	tédio
enormity	0.594	0.648	0.848	enormidade
enormous	0.677	0.665	0.886	enorme
enormously	0.760	0.694	0.872	enormemente
enraged	0.083	0.962	0.636	enfurecido
enrich	0.896	0.731	0.705	enriquecer
enroll	0.696	0.530	0.611	matricular
enrollment	0.667	0.391	0.698	inscrição
ensemble	0.697	0.418	0.586	conjunto
ensign	0.663	0.270	0.545	bandeira
enslave	0.073	0.800	0.481	escravizar
enslaved	0.104	0.720	0.321	escravizado
enslavement	0.086	0.635	0.302	escravização
ensue	0.698	0.363	0.332	seguir
ensure	0.737	0.406	0.759	garantir
entail	0.484	0.630	0.645	implicar
entangled	0.319	0.578	0.357	emaranhado
entanglement	0.302	0.765	0.248	emaranhamento
enter	0.708	0.470	0.500	digitar
enterprise	0.760	0.392	0.754	empreendimento
enterprising	0.865	0.784	0.875	empreendedor
entertain	0.918	0.684	0.598	entreter
entertained	0.902	0.644	0.712	entretido
entertainer	0.888	0.709	0.759	animador
entertaining	0.833	0.658	0.660	divertido
entertainment	0.847	0.750	0.569	entretenimento
enthralled	0.745	0.602	0.615	encantado
enthusiasm	0.938	0.816	0.798	entusiasmo
enthusiast	0.867	0.810	0.875	entusiasta
enthusiastic	0.885	0.868	0.848	entusiasmado
entice	0.521	0.887	0.518	atrair
entire	0.689	0.462	0.698	inteira
entirety	0.854	0.460	0.804	totalidade
entitle	0.729	0.333	0.827	dar direito
entity	0.542	0.402	0.670	entidade
entomology	0.438	0.396	0.545	entomologia
entourage	0.491	0.567	0.467	comitiva
entrails	0.365	0.538	0.387	entranhas
entrance	0.698	0.393	0.526	Entrada
entrapment	0.177	0.604	0.441	armadilha
entreat	0.304	0.560	0.462	suplicar
entree	0.615	0.477	0.624	entrada
entrepreneur	0.885	0.704	0.920	empreendedor
entrust	0.693	0.310	0.630	confiar
entry	0.552	0.353	0.602	entrada
enumerate	0.521	0.390	0.491	enumerar
enumeration	0.548	0.327	0.534	enumeração
envelope	0.604	0.275	0.377	envelope
envious	0.110	0.754	0.341	invejoso
environ	0.724	0.221	0.433	ambiente
environment	0.646	0.194	0.528	meio Ambiente
environmental	0.633	0.313	0.664	de Meio Ambiente
environs	0.561	0.288	0.345	arredores
envision	0.625	0.449	0.483	imaginar
envoy	0.531	0.375	0.586	enviado
envy	0.240	0.704	0.427	inveja
enzyme	0.562	0.277	0.481	enzima
ephemeral	0.500	0.312	0.377	efêmero
ephemeris	0.640	0.380	0.528	efemérides
epic	0.857	0.713	0.830	épico
epidemic	0.092	0.830	0.611	epidemia
epidermis	0.418	0.490	0.426	epiderme
epidural	0.347	0.452	0.525	epidural
epilepsy	0.061	0.854	0.250	epilepsia
epileptic	0.146	0.794	0.340	epiléptico
epilogue	0.582	0.353	0.466	epílogo
epiphany	0.625	0.596	0.526	Epifania
episcopal	0.542	0.314	0.750	episcopal
episode	0.719	0.367	0.509	episódio
episodic	0.531	0.542	0.462	episódico
epistle	0.604	0.417	0.535	epístola
epitaph	0.276	0.323	0.442	epitáfio
epithet	0.530	0.394	0.524	epíteto
epitome	0.510	0.500	0.667	resumo
epoch	0.553	0.343	0.797	época
equal	0.781	0.178	0.407	igual
equality	0.898	0.305	0.716	igualdade
equalization	0.625	0.422	0.423	equalização
equalize	0.738	0.281	0.574	igualar
equalizer	0.604	0.451	0.586	equalizador
equally	0.625	0.264	0.436	igualmente
equate	0.724	0.382	0.624	igualar
equation	0.479	0.384	0.608	equação
equator	0.550	0.302	0.462	equador
equatorial	0.550	0.271	0.593	equatorial
equestrian	0.633	0.519	0.417	equestre
equidistant	0.375	0.406	0.509	equidistante
equilibration	0.724	0.317	0.593	equilíbrio
equilibrium	0.676	0.235	0.620	equilíbrio
equip	0.650	0.519	0.713	equipar
equipment	0.745	0.495	0.700	equipamento
equitable	0.714	0.286	0.750	equitativo
equity	0.792	0.304	0.614	equidade
equivalence	0.663	0.250	0.582	equivalência
equivalent	0.646	0.347	0.500	equivalente
equivocal	0.327	0.482	0.257	equívoco
era	0.615	0.407	0.449	era
eradicate	0.260	0.690	0.686	erradicar
eradication	0.208	0.788	0.685	erradicação
erase	0.240	0.260	0.321	apagar
eraser	0.458	0.209	0.311	apagador
erasure	0.281	0.360	0.265	apagamento
ere	0.479	0.312	0.377	antes
erect	0.643	0.885	0.627	ereto
erectile	0.542	0.796	0.625	erétil
erection	0.640	0.856	0.695	ereção
ergo	0.385	0.400	0.385	logo
erode	0.208	0.643	0.580	corroer
erosion	0.312	0.770	0.465	erosão
erotic	0.625	0.946	0.683	erótico
erotica	0.781	0.870	0.579	erótico
err	0.146	0.660	0.236	errar
errand	0.385	0.519	0.482	incumbência
errant	0.205	0.602	0.375	errante
erratic	0.271	0.503	0.217	errático
erratum	0.327	0.528	0.436	errata
erroneous	0.057	0.561	0.245	errôneo
error	0.094	0.559	0.198	erro
erst	0.277	0.422	0.357	antigo
erudite	0.719	0.434	0.774	erudito
erupt	0.188	0.820	0.818	entrar em erupção
eruption	0.156	0.913	0.733	erupção
escalade	0.480	0.724	0.442	escalada
escalate	0.653	0.714	0.728	escalar
escalating	0.646	0.724	0.518	escalada
escalation	0.571	0.807	0.582	escalação
escalator	0.500	0.530	0.518	escada rolante
escape	0.367	0.765	0.448	escapar
escaped	0.365	0.755	0.518	escapou
escarpment	0.406	0.553	0.470	escarpa
eschew	0.184	0.438	0.370	evitar
escort	0.729	0.480	0.608	escolta
escrow	0.449	0.520	0.613	Garantia
esophagus	0.429	0.454	0.464	esôfago
esoteric	0.500	0.676	0.545	esotérico
especial	0.827	0.419	0.794	especial
espionage	0.312	0.750	0.620	espionagem
espouse	0.802	0.529	0.598	esposar
espresso	0.677	0.620	0.508	expresso
esprit	0.552	0.431	0.407	espírito
esquire	0.604	0.542	0.518	escudeiro
essay	0.559	0.411	0.530	ensaio
essayist	0.656	0.460	0.462	ensaísta
essence	0.663	0.369	0.575	essência
essential	0.812	0.405	0.759	essencial
essentially	0.750	0.373	0.802	essencialmente
establish	0.708	0.500	0.688	estabelecer
established	0.796	0.394	0.694	estabelecido
establishment	0.690	0.398	0.631	estabelecimento
estate	0.653	0.385	0.647	Estado
esteem	0.745	0.380	0.679	estima
esteemed	0.694	0.418	0.531	estimado
esthetic	0.635	0.360	0.558	estético
estimable	0.796	0.408	0.630	estimável
estimate	0.719	0.469	0.517	estimativa
estimation	0.740	0.480	0.589	estimativa
estoppel	0.354	0.459	0.482	preclusão
estranged	0.156	0.382	0.377	alienado
estrogen	0.580	0.500	0.425	estrogênio
estuary	0.469	0.278	0.482	estuário
etch	0.510	0.367	0.598	gravar
etching	0.567	0.491	0.575	gravura
eternal	0.854	0.409	0.843	eterno
eternity	0.765	0.520	0.911	eternidade
ethanol	0.333	0.410	0.534	etanol
ether	0.490	0.306	0.412	éter
ethereal	0.520	0.419	0.518	etéreo
ethic	0.786	0.260	0.791	ética
ethical	0.854	0.324	0.634	ético
ethics	0.658	0.296	0.731	ética
ethnic	0.583	0.373	0.555	étnico
ethnography	0.571	0.373	0.549	etnografia
etiology	0.500	0.385	0.639	etiologia
etiquette	0.604	0.350	0.421	etiqueta
etymology	0.531	0.370	0.529	etimologia
eucalyptus	0.602	0.308	0.418	eucalipto
euchre	0.470	0.459	0.442	eucre
eugenics	0.448	0.530	0.518	eugenia
eulogistic	0.740	0.623	0.694	elogioso
eulogium	0.542	0.482	0.655	elogio
eulogize	0.850	0.518	0.679	elogiar
eulogy	0.625	0.443	0.667	elogio
euphemism	0.418	0.453	0.491	eufemismo
euphoria	0.769	0.955	0.648	euforia
euphoric	0.745	0.904	0.588	eufórico
euro	0.680	0.441	0.521	euro
euthanasia	0.229	0.716	0.325	eutanásia
evacuate	0.354	0.792	0.314	evacuar
evacuation	0.160	0.755	0.582	evacuação
evade	0.304	0.490	0.342	fugir
evaluate	0.663	0.640	0.649	Avalie
evaluation	0.542	0.667	0.764	avaliação
evanescence	0.527	0.519	0.458	evanescência
evangelical	0.602	0.389	0.602	evangélico
evangelist	0.582	0.464	0.702	evangelista
evangelistic	0.660	0.375	0.612	evangelístico
evaporate	0.357	0.469	0.402	evaporar
evaporation	0.556	0.346	0.388	evaporação
evasion	0.229	0.510	0.418	evasão
evasive	0.117	0.596	0.425	evasivo
eve	0.612	0.378	0.440	véspera
evening	0.458	0.185	0.318	tarde
evens	0.592	0.430	0.457	pares
event	0.745	0.673	0.664	evento
eventful	0.543	0.837	0.510	agitado
eventual	0.633	0.459	0.413	eventual
eventuality	0.469	0.627	0.527	eventualidade
evergreen	0.729	0.471	0.546	perene
everlasting	0.740	0.413	0.809	eterno
evermore	0.677	0.450	0.403	sempre
everyday	0.740	0.392	0.472	todo dia
everyman	0.522	0.333	0.535	homem comum
evict	0.042	0.632	0.377	despejar
eviction	0.185	0.731	0.455	despejo
evidence	0.500	0.500	0.778	evidência
evident	0.633	0.444	0.664	evidente
evidentiary	0.448	0.541	0.717	probatório
evil	0.040	0.827	0.545	mal
evoke	0.438	0.341	0.500	evocar
evolution	0.781	0.657	0.854	evolução
evolutionary	0.796	0.673	0.825	evolucionário
evolve	0.655	0.692	0.896	evoluir
ewe	0.429	0.216	0.277	ovelha
ex	0.250	0.520	0.306	ex
exacerbate	0.323	0.776	0.580	exacerbar
exacerbation	0.344	0.810	0.480	exacerbação
exact	0.719	0.354	0.685	exato
exacting	0.448	0.673	0.767	exigente
exaggerate	0.193	0.760	0.529	exagerar
exaggerated	0.224	0.885	0.732	exagerado
exaggeration	0.312	0.775	0.582	exagero
exalt	0.656	0.750	0.745	exaltar
exaltation	0.594	0.892	0.673	exaltação
exalted	0.676	0.845	0.696	exaltado
exam	0.479	0.663	0.577	exame
examination	0.378	0.657	0.679	exame
examine	0.615	0.623	0.786	examinar
examiner	0.406	0.575	0.812	examinador
example	0.542	0.337	0.510	exemplo
exasperated	0.229	0.816	0.377	exasperado
exasperation	0.214	0.833	0.483	exasperação
excavate	0.583	0.613	0.635	escavar
excavation	0.540	0.644	0.527	escavação
excavator	0.427	0.673	0.649	escavadora
exceed	0.500	0.827	0.586	ultrapassarem
exceeding	0.500	0.802	0.668	excedendo
excel	0.561	0.363	0.466	sobressair
excellence	0.958	0.620	0.907	excelência
excellent	0.970	0.587	0.870	excelente
excelsior	0.700	0.625	0.611	excelente
excepting	0.408	0.413	0.526	exceto
exception	0.469	0.600	0.544	exceção
exceptional	0.806	0.740	0.933	excepcional
excerpt	0.437	0.367	0.543	excerto
excess	0.385	0.889	0.712	excesso
excessive	0.417	0.731	0.601	excessivo
excessively	0.449	0.882	0.716	excessivamente
exchange	0.740	0.569	0.491	intercâmbio
excise	0.448	0.561	0.577	imposto especial de consumo
excision	0.260	0.480	0.519	excisão
excitability	0.906	0.910	0.724	excitabilidade
excitable	0.803	0.939	0.629	excitável
excitation	0.792	0.958	0.750	excitação
excite	0.823	0.950	0.668	excitar
excited	0.908	0.931	0.709	animado
excitement	0.896	0.684	0.731	excitação
exciting	0.950	0.792	0.789	excitante
exclaim	0.635	0.711	0.639	exclamar
exclamation	0.612	0.745	0.598	exclamação
exclude	0.292	0.500	0.530	excluir
excluded	0.061	0.540	0.134	excluído
excluding	0.271	0.550	0.324	excluindo
exclusion	0.240	0.530	0.389	exclusão
exclusive	0.792	0.630	0.653	exclusivo
excrement	0.041	0.558	0.221	excremento
excretion	0.285	0.650	0.457	excreção
excruciating	0.083	0.837	0.345	excruciante
excursion	0.625	0.714	0.627	excursão
excuse	0.240	0.696	0.318	com licença
exec	0.640	0.352	0.769	executivo
execute	0.327	0.708	0.769	executar
execution	0.160	0.811	0.713	execução
executioner	0.235	0.816	0.676	carrasco
executive	0.704	0.449	0.894	executivo
executor	0.365	0.755	0.759	executor
exegesis	0.458	0.472	0.491	exegese
exemplar	0.844	0.537	0.625	exemplar
exemplary	0.833	0.343	0.729	exemplar
exemplify	0.735	0.506	0.783	exemplificar
exempt	0.588	0.455	0.664	isentar
exemption	0.531	0.578	0.627	isenção
exercise	0.750	0.789	0.625	exercício
exert	0.694	0.735	0.806	exercer
exertion	0.663	0.755	0.717	esforço
exhale	0.542	0.490	0.411	expirar
exhaust	0.546	0.710	0.337	escape
exhausted	0.123	0.423	0.202	Exausta
exhaustion	0.366	0.633	0.269	exaustão
exhaustive	0.388	0.635	0.604	exaustivo
exhibit	0.688	0.633	0.708	Exibir
exhibition	0.698	0.590	0.531	exibição
exhilarated	0.890	0.963	0.759	animado
exhilarating	0.917	0.823	0.810	emocionante
exhilaration	0.792	0.868	0.783	alegria
exhort	0.378	0.660	0.745	exortar
exhortation	0.531	0.624	0.580	exortação
exhumation	0.177	0.586	0.473	exumação
exhume	0.184	0.627	0.452	exumar
exigent	0.385	0.611	0.792	exigente
exile	0.184	0.630	0.483	exílio
exist	0.857	0.421	0.788	existir
existence	0.760	0.513	0.771	existência
existent	0.635	0.490	0.635	existente
existential	0.583	0.510	0.638	existencial
existing	0.802	0.344	0.750	existir
exit	0.370	0.353	0.399	saída
exodus	0.286	0.663	0.567	êxodo
exonerate	0.592	0.500	0.538	exonerar
exorbitant	0.398	0.865	0.825	exorbitante
exorcism	0.163	0.980	0.557	exorcismo
exorcist	0.219	0.906	0.716	exorcista
exotic	0.840	0.711	0.727	exótico
expand	0.792	0.559	0.686	expandir
expanded	0.760	0.406	0.689	expandido
expanse	0.594	0.529	0.689	extensão
expansion	0.776	0.618	0.787	expansão
expansive	0.708	0.650	0.778	expansivo
expatriate	0.265	0.764	0.391	expatriado
expect	0.469	0.327	0.377	Espero
expectance	0.552	0.724	0.660	expectativa
expectancy	0.581	0.622	0.558	expectativa
expectant	0.708	0.650	0.474	expectante
expectation	0.771	0.690	0.707	expectativa
expected	0.729	0.412	0.545	esperado
expecting	0.561	0.450	0.302	esperando
expediency	0.604	0.443	0.703	conveniência
expedient	0.885	0.461	0.454	expediente
expedite	0.571	0.858	0.798	acelerar
expedition	0.735	0.802	0.620	expedição
expeditious	0.602	0.645	0.773	rápido
expel	0.281	0.725	0.452	expulsar
expendable	0.479	0.490	0.423	descartável
expenditure	0.250	0.608	0.603	despesa
expense	0.317	0.451	0.377	despesa
expenses	0.240	0.633	0.396	despesas
expensive	0.323	0.540	0.530	caro
experience	0.827	0.618	0.905	experiência
experienced	0.771	0.613	0.914	com experiência
experiences	0.793	0.647	0.795	experiências
experiment	0.479	0.720	0.675	experimentar
experimental	0.417	0.764	0.396	experimental
experimentation	0.637	0.769	0.767	experimentação
experimenter	0.708	0.710	0.700	experimentador
expert	0.776	0.646	0.911	especialista
expertise	0.792	0.589	0.925	perícia
expiration	0.265	0.539	0.463	expiração
expire	0.573	0.745	0.702	expirar
expired	0.198	0.394	0.200	expirado
expiry	0.194	0.434	0.382	termo
explain	0.719	0.517	0.736	explique
explanation	0.615	0.610	0.825	explicação
explanatory	0.573	0.433	0.688	explicativo
expletive	0.357	0.567	0.536	palavrão
explication	0.510	0.445	0.602	explicação
explicit	0.562	0.694	0.734	explícito
explode	0.277	0.885	0.773	explodir
exploit	0.312	0.878	0.660	explorar
exploitation	0.156	0.920	0.718	exploração
exploration	0.594	0.650	0.773	exploração
exploratory	0.653	0.690	0.698	exploratório
explore	0.776	0.660	0.727	explorar
explorer	0.729	0.663	0.714	explorador
explosion	0.167	0.960	0.767	explosão
explosions	0.123	0.860	0.594	explosões
explosive	0.156	0.943	0.663	explosivo
expo	0.610	0.562	0.500	exposição
exponent	0.529	0.510	0.845	expoente
exponential	0.704	0.588	0.763	exponencial
export	0.567	0.661	0.755	exportar
exportation	0.760	0.633	0.673	exportação
expose	0.344	0.643	0.537	expor
exposed	0.471	0.661	0.509	expor
exposition	0.521	0.627	0.655	exposição
expository	0.706	0.653	0.636	expositivo
exposure	0.570	0.830	0.630	exposição
expound	0.438	0.575	0.740	expor
express	0.760	0.623	0.691	expressar
expression	0.790	0.650	0.721	expressão
expressive	0.755	0.724	0.685	expressivo
expressway	0.633	0.635	0.587	via Expressa
expropriation	0.188	0.735	0.788	expropriação
expulsion	0.190	0.790	0.529	expulsão
exquisite	0.892	0.644	0.604	exótico
exquisitely	0.849	0.728	0.723	primorosamente
extant	0.646	0.390	0.523	existente
extend	0.646	0.570	0.689	ampliar
extendable	0.660	0.592	0.722	extensível
extended	0.570	0.304	0.649	estendido
extension	0.490	0.510	0.529	extensão
extensive	0.635	0.520	0.760	extenso
extent	0.646	0.451	0.602	extensão
exterior	0.542	0.400	0.627	exterior
exterminate	0.177	0.857	0.736	exterminar
extermination	0.190	0.860	0.616	extermínio
exterminator	0.344	0.804	0.887	exterminador
external	0.479	0.341	0.509	externo
externally	0.643	0.521	0.568	externamente
extinct	0.112	0.491	0.412	extinto
extinction	0.104	0.750	0.611	extinção
extinguish	0.240	0.576	0.482	extinguir
extinguisher	0.707	0.379	0.543	extintor
extol	0.582	0.667	0.456	exaltar
extort	0.052	0.827	0.570	extorquir
extortion	0.112	0.868	0.630	extorsão
extra	0.656	0.551	0.745	extra
extract	0.565	0.402	0.519	extrair
extracting	0.521	0.709	0.689	extrair
extraction	0.418	0.740	0.526	Extração
extractor	0.302	0.536	0.519	extrator
extracurricular	0.457	0.471	0.743	extracurricular
extradition	0.229	0.627	0.554	extradição
extrajudicial	0.365	0.686	0.667	extrajudicial
extramural	0.336	0.559	0.537	extramural
extraneous	0.276	0.625	0.478	estranho
extraordinaire	0.847	0.864	0.898	extraordinário
extraordinary	0.969	0.728	0.860	extraordinário
extraterrestrial	0.510	0.833	0.792	extraterrestre
extravagance	0.531	0.802	0.700	extravagância
extravagant	0.720	0.763	0.812	extravagante
extravaganza	0.646	0.786	0.906	extravagância
extreme	0.318	0.800	0.721	extremo
extreme anticipation	0.551	0.740	0.704	extrema antecipação
extreme disgust	0.052	0.873	0.456	desgosto extremo
extreme surprise	0.833	0.935	0.676	surpresa extrema
extreme trust	0.826	0.713	0.922	confiança extrema
extremely	0.635	0.827	0.886	extremamente
extremely negative	0.030	0.786	0.311	extremamente negativo
extremely positive	0.993	0.730	0.839	extremamente positivo
extremity	0.408	0.588	0.583	extremidade
extricate	0.542	0.510	0.543	libertar
extrinsic	0.510	0.479	0.636	extrínseco
extrusion	0.229	0.660	0.545	extrusão
exuberance	0.698	0.816	0.787	exuberância
exude	0.375	0.519	0.411	exalar
eye	0.531	0.265	0.425	olho
eyeball	0.526	0.422	0.420	globo ocular
eyebrow	0.510	0.198	0.222	sobrancelha
eyeful	0.802	0.500	0.676	atento
eyeglass	0.531	0.236	0.286	óculos
eyeglasses	0.561	0.269	0.306	Óculos
eyelash	0.480	0.250	0.278	Cílio
eyelet	0.632	0.298	0.346	ilhó
eyeliner	0.688	0.349	0.347	delineador
eyepiece	0.418	0.347	0.480	ocular
eyes	0.760	0.279	0.432	olhos
eyesight	0.750	0.226	0.343	visão
eyewitness	0.541	0.686	0.698	testemunha ocular
fab	0.490	0.380	0.406	fabuloso
fable	0.663	0.387	0.389	fábula
fabled	0.625	0.538	0.545	lendário
fabric	0.635	0.190	0.345	tecido
fabricate	0.636	0.491	0.779	fabricar
fabricated	0.418	0.427	0.555	fabricado
fabrication	0.573	0.587	0.705	fabricação
fabulous	0.979	0.660	0.797	fabuloso
facade	0.520	0.333	0.518	fachada
face	0.571	0.173	0.453	enfrentar
faceless	0.230	0.406	0.173	sem rosto
facet	0.667	0.324	0.382	faceta
facial	0.594	0.429	0.433	facial
facile	0.740	0.264	0.307	fácil
facilitate	0.812	0.333	0.509	facilitar
facility	0.625	0.500	0.654	instalação
facing	0.604	0.406	0.550	voltado para
facsimile	0.490	0.500	0.543	fax
fact	0.683	0.333	0.618	facto
faction	0.469	0.430	0.448	facção
factor	0.635	0.365	0.678	fator
factory	0.500	0.500	0.683	fábrica
facts	0.688	0.471	0.693	fatos
factual	0.656	0.440	0.545	factual
faculties	0.643	0.431	0.760	faculdades
faculty	0.615	0.412	0.732	Faculdade
fad	0.663	0.520	0.570	mania
fade	0.354	0.333	0.245	desvaneça
faded	0.302	0.275	0.194	desaparecido
faeces	0.184	0.476	0.175	fezes
fag	0.122	0.653	0.331	bicha
faggot	0.219	0.643	0.292	bicha
fail	0.177	0.578	0.154	falhou
failing	0.125	0.490	0.268	falhando
failure	0.167	0.575	0.139	falha
fain	0.479	0.417	0.426	faminto
faint	0.063	0.429	0.167	desmaiar
fainting	0.333	0.510	0.214	desmaio
fair	0.812	0.557	0.643	feira
fairly	0.790	0.406	0.750	com justiça
fairness	0.740	0.317	0.552	justiça
fairway	0.541	0.510	0.500	fairway
fairy	0.776	0.408	0.413	fadas
faith	0.833	0.220	0.763	fé
faithful	0.888	0.333	0.627	fiel
faithfulness	0.833	0.426	0.602	fidelidade
faithless	0.102	0.683	0.304	Sem fé
fake	0.073	0.554	0.268	falso
faker	0.245	0.630	0.480	falsário
falafel	0.560	0.402	0.351	falafel
falcon	0.557	0.580	0.678	falcão
