English Word	Valence	Arousal	Dominance	Tajik Word
emancipation	0.704	0.684	0.763	озодшавй
embankment	0.677	0.438	0.436	обанбор
embargo	0.229	0.564	0.443	эмбарго
embark	0.541	0.550	0.619	савор шудан
embarrass	0.082	0.667	0.364	шарманда кардан
embarrassed	0.184	0.560	0.246	хичолат кашидан
embarrassing	0.226	0.809	0.225	хиҷолатовар
embarrassment	0.143	0.685	0.226	хиҷолат
embassy	0.622	0.333	0.758	сафоратхона
embattled	0.235	0.724	0.421	мубориза бурданд
embed	0.417	0.554	0.670	ҷойгир кунед
embellish	0.842	0.500	0.769	зинат додан
embellishment	0.673	0.449	0.405	ороиш
embers	0.490	0.481	0.508	шур
embezzlement	0.143	0.827	0.435	азхудкунй
embezzler	0.146	0.823	0.491	горатгар
emblem	0.640	0.330	0.754	нишон
emblematic	0.771	0.459	0.798	рамзи
embodiment	0.562	0.690	0.663	таҷассум
embolism	0.104	0.660	0.302	эмболия
embossed	0.531	0.481	0.500	кандакорӣ
embrace	0.949	0.490	0.452	ба оғӯш гирифтан
embroidered	0.677	0.279	0.407	гулдӯзӣ
embroidery	0.781	0.358	0.280	гулдӯзӣ
embroiled	0.337	0.721	0.420	печида
embryo	0.673	0.469	0.453	ҷанин
embryonic	0.573	0.453	0.598	ҷанинӣ
emcee	0.694	0.577	0.691	эмей
emerald	0.740	0.363	0.726	зумуррад
emerge	0.602	0.594	0.731	пайдо мешаванд
emergence	0.276	0.857	0.676	пайдоиш
emergency	0.200	0.900	0.571	фавқулодда
emeritus	0.633	0.402	0.735	фахрй
emery	0.469	0.583	0.472	эмери
emetophobia	0.243	0.620	0.403	эмофобия
emigrate	0.356	0.812	0.508	муҳоҷират кардан
emigration	0.564	0.664	0.432	муҳоҷират
eminence	0.816	0.644	0.837	барҷаста
eminent	0.740	0.620	0.830	барҷаста
eminently	0.694	0.607	0.773	барҷаста
emir	0.510	0.396	0.621	амир
emissary	0.562	0.462	0.636	эмиссэр
emission	0.510	0.453	0.591	партоб
emit	0.638	0.445	0.510	мебарорад
emo	0.354	0.314	0.226	эмо
emotion	0.693	0.873	0.696	эҳсосот
emotional	0.779	0.714	0.526	эҳсосӣ
emotive	0.917	0.741	0.525	эҳсосӣ
empathic	0.760	0.570	0.558	ҳамдардӣ
empathize	0.802	0.591	0.660	ҳамдардӣ кардан
empathy	0.729	0.349	0.545	ҳамдардӣ
emperor	0.651	0.704	0.962	император
emphasis	0.653	0.745	0.816	таъкид
emphasize	0.510	0.605	0.769	таъкид кардан
emphatic	0.615	0.707	0.732	таъкидкунанда
emphysema	0.156	0.556	0.336	эмфизема
empire	0.688	0.730	0.944	империя
empirical	0.500	0.510	0.574	эмпирикй
empiricism	0.583	0.460	0.547	эмпиризм
employ	0.729	0.481	0.702	кор кардан
employee	0.582	0.361	0.481	коргар
employer	0.663	0.518	0.767	корфармо
employment	0.750	0.594	0.611	шуғл
emporium	0.622	0.556	0.724	фурӯшгоҳ
empower	0.694	0.779	0.891	тавоно
empress	0.716	0.669	0.855	император
emptiness	0.177	0.173	0.184	холӣ
emption	0.570	0.406	0.458	холӣ кардан
empty	0.188	0.183	0.081	холӣ
emu	0.420	0.358	0.330	эму
emulate	0.438	0.340	0.549	тақлид кунед
emulsion	0.562	0.431	0.453	эмульсия
enable	0.760	0.491	0.782	имкон додан
enablement	0.600	0.451	0.750	имкон додан
enact	0.680	0.564	0.598	ба амал бароранд
enactment	0.667	0.612	0.769	қонунгузорӣ
enamel	0.594	0.280	0.306	сирдор
encampment	0.677	0.573	0.605	лагерь
enchant	0.873	0.650	0.643	ҷоду кардан
enchanted	0.917	0.633	0.687	сехр карда
enchanting	0.917	0.681	0.708	мафтункунанда
enchantment	0.816	0.775	0.647	ҷодугарӣ
enchantress	0.398	0.663	0.479	ҷодугар
enchilada	0.542	0.553	0.371	энчилада
encircle	0.460	0.500	0.519	ихота кардан
encircling	0.510	0.368	0.557	гирд овардан
enclave	0.531	0.333	0.580	анклав
enclose	0.531	0.477	0.473	иҳота кардан
enclosure	0.417	0.375	0.490	иҳота
encode	0.490	0.500	0.734	рамзгузорӣ
encomiastic	0.541	0.500	0.670	дилчасп
encomium	0.541	0.451	0.519	энкомиум
encompass	0.520	0.298	0.661	фаро гирифтан
encore	0.510	0.423	0.500	дохил кардан
encounter	0.865	0.702	0.689	вохӯрӣ
encourage	0.896	0.580	0.704	ташвиқ намояд
encouraged	0.953	0.702	0.657	ташвиқ кард
encouragement	0.865	0.700	0.759	ҳавасмандгардонӣ
encouraging	0.823	0.583	0.755	рӯҳбаландкунанда
encroach	0.302	0.742	0.702	таҷовуз кардан
encroachment	0.255	0.736	0.620	таҷовуз
encrypt	0.500	0.387	0.500	рамзгузорӣ кардан
encryption	0.547	0.415	0.474	рамзгузорӣ
encumbrance	0.300	0.521	0.480	гаранг
encyclopedia	0.679	0.320	0.645	энсиклопедия
end	0.198	0.349	0.298	Поён
end table	0.541	0.480	0.482	ҷадвали ниҳоӣ
endanger	0.115	0.885	0.404	хатар
endangered	0.083	0.885	0.430	зери хатар мондааст
endangerment	0.167	0.873	0.519	хатар
endearing	0.663	0.434	0.604	дилпазир
endeavor	0.677	0.755	0.765	кушиш кардан
ended	0.302	0.500	0.500	ба охир расид
endemic	0.406	0.480	0.483	эндемикӣ
endgame	0.449	0.538	0.526	охири бозӣ
ending	0.344	0.365	0.492	ба охир мерасад
endless	0.347	0.462	0.472	беохир
endocarditis	0.235	0.587	0.412	эндокардит
endorse	0.592	0.392	0.472	тасдик кардан
endorsement	0.834	0.360	0.611	тасдиқ
endow	0.684	0.398	0.609	ҳадя
endowed	0.755	0.510	0.769	дода шудааст
endowment	0.685	0.578	0.647	вақф
endpapers	0.542	0.400	0.339	варақаҳои ниҳоӣ
endpoint	0.311	0.410	0.448	нуқтаи ниҳоӣ
endurance	0.592	0.745	0.760	тобоварй
endure	0.320	0.610	0.574	тоб овардан
enduring	0.633	0.459	0.768	тобовар
enema	0.281	0.673	0.268	клизма
enemy	0.135	0.794	0.591	душман
energetic	0.847	0.868	0.902	энергетикӣ
energize	0.792	0.810	0.875	энергия бахшанд
energy	0.944	0.725	0.868	энергия
enforce	0.583	0.644	0.836	ба амал баровардан
enforcement	0.594	0.571	0.736	иҷрои
enforcer	0.398	0.612	0.639	иҷрокунанда
engage	0.771	0.796	0.713	машғул шаванд
engaged	0.837	0.596	0.849	машғуланд
engagement	0.906	0.587	0.807	машғулият
engaging	0.948	0.612	0.862	ҷалбкунанда
engender	0.561	0.741	0.688	ба вуҷуд меорад
engine	0.615	0.644	0.676	муҳаррик
engineer	0.719	0.500	0.875	инженер
engineering	0.735	0.471	0.836	муҳандисӣ
engrave	0.486	0.442	0.517	кандакорӣ кардан
engraved	0.542	0.375	0.473	кандакорӣ карда шудааст
engraver	0.552	0.417	0.500	кандакор
engraving	0.604	0.430	0.442	кандакорӣ
engrossed	0.541	0.471	0.304	ғарқ шудааст
engrossing	0.698	0.702	0.750	дилгиркунанда
engulf	0.398	0.573	0.500	фурӯ бурдан
enhance	0.802	0.578	0.814	баланд бардоштан
enhancement	0.877	0.490	0.741	такмил додан
enigma	0.513	0.700	0.500	муаммо
enigmatic	0.469	0.589	0.679	пурасрор
enjoin	0.594	0.454	0.732	амр кардан
enjoy	0.959	0.725	0.750	лаззат баред
enjoyable	1.000	0.481	0.605	лаззатбахш
enjoying	0.908	0.759	0.759	лаззат бурдан
enjoyment	0.930	0.612	0.716	лаззат
enlarge	0.735	0.606	0.688	калон кардан
enlarged	0.673	0.490	0.518	васеъ карда шудааст
enlargement	0.677	0.577	0.616	васеъшавӣ
enlighten	0.729	0.549	0.667	равшан кардан
enlightened	0.956	0.566	0.700	мунаввар
enlightening	0.825	0.729	0.727	равшанкунанда
enlightenment	0.837	0.549	0.619	маърифат
enlist	0.510	0.370	0.483	номнавис кардан
enliven	0.833	0.683	0.702	зинда кардан
enmity	0.094	0.706	0.382	душманӣ
ennui	0.406	0.461	0.316	ноумедӣ
enormity	0.594	0.648	0.848	бузургӣ
enormous	0.677	0.665	0.886	азим
enormously	0.760	0.694	0.872	бениҳоят
enraged	0.083	0.962	0.636	хашмгин шуд
enrich	0.896	0.731	0.705	бой гардонад
enroll	0.696	0.530	0.611	номнавис кунед
enrollment	0.667	0.391	0.698	бақайдгирӣ
ensemble	0.697	0.418	0.586	ансамбль
ensign	0.663	0.270	0.545	прапорщик
enslave	0.073	0.800	0.481	гулом кардан
enslaved	0.104	0.720	0.321	ғулом карда шудааст
enslavement	0.086	0.635	0.302	ғуломӣ
ensue	0.698	0.363	0.332	ба амал меояд
ensure	0.737	0.406	0.759	таъмин намояд
entail	0.484	0.630	0.645	дарбар мегирад
entangled	0.319	0.578	0.357	печида
entanglement	0.302	0.765	0.248	печидан
enter	0.708	0.470	0.500	ворид кунед
enterprise	0.760	0.392	0.754	корхона
enterprising	0.865	0.784	0.875	ташаббускор
entertain	0.918	0.684	0.598	фароғат кардан
entertained	0.902	0.644	0.712	фароғат кард
entertainer	0.888	0.709	0.759	сароянда
entertaining	0.833	0.658	0.660	фароғатӣ
entertainment	0.847	0.750	0.569	вақтхушӣ
enthralled	0.745	0.602	0.615	мафтуни
enthusiasm	0.938	0.816	0.798	шавку хавас
enthusiast	0.867	0.810	0.875	хаваскор
enthusiastic	0.885	0.868	0.848	рухбаланд
entice	0.521	0.887	0.518	фирефтан
entire	0.689	0.462	0.698	пурра
entirety	0.854	0.460	0.804	пурра
entitle	0.729	0.333	0.827	ҳуқуқ
entity	0.542	0.402	0.670	субъект
entomology	0.438	0.396	0.545	энтомология
entourage	0.491	0.567	0.467	хамрох
entrails	0.365	0.538	0.387	рӯдаҳо
entrance	0.698	0.393	0.526	Даромадгоҳ
entrapment	0.177	0.604	0.441	гирифтор шудан
entreat	0.304	0.560	0.462	илтимос
entree	0.615	0.477	0.624	антри
entrepreneur	0.885	0.704	0.920	соҳибкор
entrust	0.693	0.310	0.630	бовар кардан
entry	0.552	0.353	0.602	вуруд
enumerate	0.521	0.390	0.491	номбар кардан
enumeration	0.548	0.327	0.534	номбар кардан
envelope	0.604	0.275	0.377	лифофа
envious	0.110	0.754	0.341	ҳасад
environ	0.724	0.221	0.433	мухит
environment	0.646	0.194	0.528	муҳити зист
environmental	0.633	0.313	0.664	муҳити зист
environs	0.561	0.288	0.345	атроф
envision	0.625	0.449	0.483	тасаввур кардан
envoy	0.531	0.375	0.586	фиристода
envy	0.240	0.704	0.427	ҳасад
enzyme	0.562	0.277	0.481	фермент
ephemeral	0.500	0.312	0.377	муваққатӣ
ephemeris	0.640	0.380	0.528	эфемерия
epic	0.857	0.713	0.830	эпикӣ
epidemic	0.092	0.830	0.611	эпидемия
epidermis	0.418	0.490	0.426	эпидермис
epidural	0.347	0.452	0.525	эпидуралӣ
epilepsy	0.061	0.854	0.250	эпилепсия
epileptic	0.146	0.794	0.340	эпилепсия
epilogue	0.582	0.353	0.466	эпилог
epiphany	0.625	0.596	0.526	эпифания
episcopal	0.542	0.314	0.750	епископӣ
episode	0.719	0.367	0.509	эпизод
episodic	0.531	0.542	0.462	эпизодӣ
epistle	0.604	0.417	0.535	мактуб
epitaph	0.276	0.323	0.442	эпитафия
epithet	0.530	0.394	0.524	эпитет
epitome	0.510	0.500	0.667	мисол
epoch	0.553	0.343	0.797	даврон
equal	0.781	0.178	0.407	баробар
equality	0.898	0.305	0.716	баробарй
equalization	0.625	0.422	0.423	баробаркунӣ
equalize	0.738	0.281	0.574	баробар кардан
equalizer	0.604	0.451	0.586	эквалайзер
equally	0.625	0.264	0.436	баробар
equate	0.724	0.382	0.624	баробар кардан
equation	0.479	0.384	0.608	муодила
equator	0.550	0.302	0.462	экватор
equatorial	0.550	0.271	0.593	экватори
equestrian	0.633	0.519	0.417	аспсавор
equidistant	0.375	0.406	0.509	баробар
equilibration	0.724	0.317	0.593	мувозинат
equilibrium	0.676	0.235	0.620	мувозинат
equip	0.650	0.519	0.713	муҷаҳҳаз кардан
equipment	0.745	0.495	0.700	тачхизот
equitable	0.714	0.286	0.750	одилона
equity	0.792	0.304	0.614	сармоя
equivalence	0.663	0.250	0.582	баробарӣ
equivalent	0.646	0.347	0.500	баробар
equivocal	0.327	0.482	0.257	муътадил
era	0.615	0.407	0.449	даврон
eradicate	0.260	0.690	0.686	нест кардан
eradication	0.208	0.788	0.685	нест кардан
erase	0.240	0.260	0.321	тоза кардан
eraser	0.458	0.209	0.311	хаткӯркунак
erasure	0.281	0.360	0.265	нест кардан
ere	0.479	0.312	0.377	ere
erect	0.643	0.885	0.627	рост кардан
erectile	0.542	0.796	0.625	эректилӣ
erection	0.640	0.856	0.695	монтаж
ergo	0.385	0.400	0.385	бинобар ин
erode	0.208	0.643	0.580	вайрон кардан
erosion	0.312	0.770	0.465	эрозия
erotic	0.625	0.946	0.683	эротикӣ
erotica	0.781	0.870	0.579	эротика
err	0.146	0.660	0.236	хато
errand	0.385	0.519	0.482	супориш
errant	0.205	0.602	0.375	хато
erratic	0.271	0.503	0.217	номураттаб
erratum	0.327	0.528	0.436	хато
erroneous	0.057	0.561	0.245	хато
error	0.094	0.559	0.198	хатогӣ
erst	0.277	0.422	0.357	пештар
erudite	0.719	0.434	0.774	донишманд
erupt	0.188	0.820	0.818	таркиш
eruption	0.156	0.913	0.733	таркиш
escalade	0.480	0.724	0.442	эскалад
escalate	0.653	0.714	0.728	вусъат додан
escalating	0.646	0.724	0.518	шиддат ёфта истодааст
escalation	0.571	0.807	0.582	шиддатёбии
escalator	0.500	0.530	0.518	эскалатор
escape	0.367	0.765	0.448	гурехтан
escaped	0.365	0.755	0.518	гурехт
escarpment	0.406	0.553	0.470	ғарқшавӣ
eschew	0.184	0.438	0.370	саркашӣ кардан
escort	0.729	0.480	0.608	мушоият
escrow	0.449	0.520	0.613	Гарав
esophagus	0.429	0.454	0.464	сурхчатоб
esoteric	0.500	0.676	0.545	эзотерикй
especial	0.827	0.419	0.794	махсус
espionage	0.312	0.750	0.620	ҷосусӣ
espouse	0.802	0.529	0.598	тарафдорй кардан
espresso	0.677	0.620	0.508	эспрессо
esprit	0.552	0.431	0.407	эсприт
esquire	0.604	0.542	0.518	сарзаниш кардан
essay	0.559	0.411	0.530	иншо
essayist	0.656	0.460	0.462	очеркнавис
essence	0.663	0.369	0.575	моҳият
essential	0.812	0.405	0.759	муҳим
essentially	0.750	0.373	0.802	аслан
establish	0.708	0.500	0.688	барпо намояд
established	0.796	0.394	0.694	таъсис дода шудааст
establishment	0.690	0.398	0.631	таъсис
estate	0.653	0.385	0.647	амлок
esteem	0.745	0.380	0.679	эҳтиром
esteemed	0.694	0.418	0.531	мухтарам
esthetic	0.635	0.360	0.558	эстетикй
estimable	0.796	0.408	0.630	баҳонашаванда
estimate	0.719	0.469	0.517	тахмин кардан
estimation	0.740	0.480	0.589	баҳодиҳӣ
estoppel	0.354	0.459	0.482	боздоштан
estranged	0.156	0.382	0.377	бегона
estrogen	0.580	0.500	0.425	эстроген
estuary	0.469	0.278	0.482	халичи
etch	0.510	0.367	0.598	ахбор
etching	0.567	0.491	0.575	нақш
eternal	0.854	0.409	0.843	абадӣ
eternity	0.765	0.520	0.911	абадият
ethanol	0.333	0.410	0.534	этанол
ether	0.490	0.306	0.412	эфир
ethereal	0.520	0.419	0.518	эфирӣ
ethic	0.786	0.260	0.791	ахлок
ethical	0.854	0.324	0.634	ахлоқӣ
ethics	0.658	0.296	0.731	ахлок
ethnic	0.583	0.373	0.555	этникй
ethnography	0.571	0.373	0.549	этнография
etiology	0.500	0.385	0.639	этиология
etiquette	0.604	0.350	0.421	одоб
etymology	0.531	0.370	0.529	этимология
eucalyptus	0.602	0.308	0.418	эвкалипт
euchre	0.470	0.459	0.442	еврей
eugenics	0.448	0.530	0.518	евгеника
eulogistic	0.740	0.623	0.694	таърифӣ
eulogium	0.542	0.482	0.655	эулогия
eulogize	0.850	0.518	0.679	таъриф кунед
eulogy	0.625	0.443	0.667	таъриф
euphemism	0.418	0.453	0.491	эвфемизм
euphoria	0.769	0.955	0.648	эйфория
euphoric	0.745	0.904	0.588	эйфория
euro	0.680	0.441	0.521	евро
euthanasia	0.229	0.716	0.325	эвтаназия
evacuate	0.354	0.792	0.314	эвакуатсия кардан
evacuation	0.160	0.755	0.582	эвакуация
evade	0.304	0.490	0.342	гурехт
evaluate	0.663	0.640	0.649	баҳо диҳед
evaluation	0.542	0.667	0.764	арзёбӣ
evanescence	0.527	0.519	0.458	бепарвоӣ
evangelical	0.602	0.389	0.602	инҷилӣ
evangelist	0.582	0.464	0.702	евангелист
evangelistic	0.660	0.375	0.612	инҷилист
evaporate	0.357	0.469	0.402	бухор шудан
evaporation	0.556	0.346	0.388	бухоршавӣ
evasion	0.229	0.510	0.418	гурехтан
evasive	0.117	0.596	0.425	саркашӣ
eve	0.612	0.378	0.440	шаб
evening	0.458	0.185	0.318	шом
evens	0.592	0.430	0.457	баробар мекунад
event	0.745	0.673	0.664	ҳодиса
eventful	0.543	0.837	0.510	воцеабахш
eventual	0.633	0.459	0.413	нихоят
eventuality	0.469	0.627	0.527	эҳтимолият
evergreen	0.729	0.471	0.546	ҳамешасабз
everlasting	0.740	0.413	0.809	абадӣ
evermore	0.677	0.450	0.403	ҳамеша
everyday	0.740	0.392	0.472	ҳар рӯз
everyman	0.522	0.333	0.535	ҳар кас
evict	0.042	0.632	0.377	берун кардан
eviction	0.185	0.731	0.455	рондан
evidence	0.500	0.500	0.778	далел
evident	0.633	0.444	0.664	аён
evidentiary	0.448	0.541	0.717	далел
evil	0.040	0.827	0.545	бад
evoke	0.438	0.341	0.500	бедор кардан
evolution	0.781	0.657	0.854	эволютсия
evolutionary	0.796	0.673	0.825	эволюционй
evolve	0.655	0.692	0.896	инкишоф ёбад
ewe	0.429	0.216	0.277	меш
ex	0.250	0.520	0.306	масалан
exacerbate	0.323	0.776	0.580	тезу тунд кардан
exacerbation	0.344	0.810	0.480	шиддатнокӣ
exact	0.719	0.354	0.685	дақиқ
exacting	0.448	0.673	0.767	серталаб
exaggerate	0.193	0.760	0.529	муболига кардан
exaggerated	0.224	0.885	0.732	муболига карда
exaggeration	0.312	0.775	0.582	муболига
exalt	0.656	0.750	0.745	баланд кардан
exaltation	0.594	0.892	0.673	сарбаландӣ
exalted	0.676	0.845	0.696	сарбаланд
exam	0.479	0.663	0.577	имтихон
examination	0.378	0.657	0.679	имтихон
examine	0.615	0.623	0.786	тафтиш кардан
examiner	0.406	0.575	0.812	имтихонкунанда
example	0.542	0.337	0.510	мисол
exasperated	0.229	0.816	0.377	хашмгин
exasperation	0.214	0.833	0.483	хашмгин шудан
excavate	0.583	0.613	0.635	кофта
excavation	0.540	0.644	0.527	кофтуков
excavator	0.427	0.673	0.649	экскаватор
exceed	0.500	0.827	0.586	зиёд
exceeding	0.500	0.802	0.668	зиёд
excel	0.561	0.363	0.466	аъло
excellence	0.958	0.620	0.907	аъло
excellent	0.970	0.587	0.870	аъло
excelsior	0.700	0.625	0.611	excelsior
excepting	0.408	0.413	0.526	ба истиснои
exception	0.469	0.600	0.544	истисно
exceptional	0.806	0.740	0.933	истисноӣ
excerpt	0.437	0.367	0.543	иқтибос
excess	0.385	0.889	0.712	зиёдатӣ
excessive	0.417	0.731	0.601	аз ҳад зиёд
excessively	0.449	0.882	0.716	аз ҳад зиёд
exchange	0.740	0.569	0.491	мубодила
excise	0.448	0.561	0.577	аксиз
excision	0.260	0.480	0.519	буридан
excitability	0.906	0.910	0.724	ҳаяҷонбахшӣ
excitable	0.803	0.939	0.629	ҳаяҷоновар
excitation	0.792	0.958	0.750	ҳаяҷон
excite	0.823	0.950	0.668	ба ҳаяҷон овардан
excited	0.908	0.931	0.709	ҳаяҷон
excitement	0.896	0.684	0.731	ҳаяҷон
exciting	0.950	0.792	0.789	ҳаяҷоновар
exclaim	0.635	0.711	0.639	хитоб кунед
exclamation	0.612	0.745	0.598	нидо
exclude	0.292	0.500	0.530	истисно кардан
excluded	0.061	0.540	0.134	истисно карда шудааст
excluding	0.271	0.550	0.324	ба истиснои
exclusion	0.240	0.530	0.389	истисно
exclusive	0.792	0.630	0.653	истисноӣ
excrement	0.041	0.558	0.221	наҷосат
excretion	0.285	0.650	0.457	ихроҷ
excruciating	0.083	0.837	0.345	тоқатфарсо
excursion	0.625	0.714	0.627	экскурсия
excuse	0.240	0.696	0.318	узр
exec	0.640	0.352	0.769	иҷро
execute	0.327	0.708	0.769	иҷро кардан
execution	0.160	0.811	0.713	иҷро
executioner	0.235	0.816	0.676	чаллод
executive	0.704	0.449	0.894	ичроия
executor	0.365	0.755	0.759	ичрокунанда
exegesis	0.458	0.472	0.491	тафсир
exemplar	0.844	0.537	0.625	намунавӣ
exemplary	0.833	0.343	0.729	ибратбахш
exemplify	0.735	0.506	0.783	мисол оваред
exempt	0.588	0.455	0.664	озод
exemption	0.531	0.578	0.627	озод кардан
exercise	0.750	0.789	0.625	машқ кардан
exert	0.694	0.735	0.806	саъй кардан
exertion	0.663	0.755	0.717	саъю кушиш
exhale	0.542	0.490	0.411	нафас кашидан
exhaust	0.546	0.710	0.337	ихроҷ
exhausted	0.123	0.423	0.202	хаста
exhaustion	0.366	0.633	0.269	хастагӣ
exhaustive	0.388	0.635	0.604	мукаммал
exhibit	0.688	0.633	0.708	намоиш додан
exhibition	0.698	0.590	0.531	выставка
exhilarated	0.890	0.963	0.759	рухбаланд гардид
exhilarating	0.917	0.823	0.810	рӯҳбаландкунанда
exhilaration	0.792	0.868	0.783	шодмонӣ
exhort	0.378	0.660	0.745	насиҳат
exhortation	0.531	0.624	0.580	насиҳат
exhumation	0.177	0.586	0.473	эксгумация
exhume	0.184	0.627	0.452	эксгумация
exigent	0.385	0.611	0.792	талабкунанда
exile	0.184	0.630	0.483	бадарга
exist	0.857	0.421	0.788	вуҷуд дорад
existence	0.760	0.513	0.771	мавҷудият
existent	0.635	0.490	0.635	мавҷуд аст
existential	0.583	0.510	0.638	мавҷудият
existing	0.802	0.344	0.750	мавҷуд аст
exit	0.370	0.353	0.399	Баромадгоҳ
exodus	0.286	0.663	0.567	хуруҷ
exonerate	0.592	0.500	0.538	сафед кардан
exorbitant	0.398	0.865	0.825	аз ҳад зиёд
exorcism	0.163	0.980	0.557	эксзорсизм
exorcist	0.219	0.906	0.716	экзоркист
exotic	0.840	0.711	0.727	экзотикӣ
expand	0.792	0.559	0.686	васеъ кардан
expanded	0.760	0.406	0.689	васеъ карда шуд
expanse	0.594	0.529	0.689	васеъ
expansion	0.776	0.618	0.787	васеъшавӣ
expansive	0.708	0.650	0.778	васеъ
expatriate	0.265	0.764	0.391	муҳоҷир
expect	0.469	0.327	0.377	интизор
expectance	0.552	0.724	0.660	интизорӣ
expectancy	0.581	0.622	0.558	интизорӣ
expectant	0.708	0.650	0.474	интизорӣ
expectation	0.771	0.690	0.707	интизорӣ
expected	0.729	0.412	0.545	интизор меравад
expecting	0.561	0.450	0.302	интизорй
expediency	0.604	0.443	0.703	ба максад мувофик
expedient	0.885	0.461	0.454	ба максад мувофик
expedite	0.571	0.858	0.798	тезондан
expedition	0.735	0.802	0.620	экспедиция
expeditious	0.602	0.645	0.773	босуръат
expel	0.281	0.725	0.452	рондан
expendable	0.479	0.490	0.423	сарфшаванда
expenditure	0.250	0.608	0.603	харочот
expense	0.317	0.451	0.377	харочот
expenses	0.240	0.633	0.396	харочот
expensive	0.323	0.540	0.530	қимат
experience	0.827	0.618	0.905	тачриба
experienced	0.771	0.613	0.914	тачрибадор
experiences	0.793	0.647	0.795	таҷрибаҳо
experiment	0.479	0.720	0.675	озмоиш
experimental	0.417	0.764	0.396	таҷрибавӣ
experimentation	0.637	0.769	0.767	озмоиш
experimenter	0.708	0.710	0.700	озмоишгар
expert	0.776	0.646	0.911	мутахассис
expertise	0.792	0.589	0.925	тахассус
expiration	0.265	0.539	0.463	мухлат
expire	0.573	0.745	0.702	ба охир мерасад
expired	0.198	0.394	0.200	мухлаташ гузаштааст
expiry	0.194	0.434	0.382	гузаштан
explain	0.719	0.517	0.736	шарҳ диҳед
explanation	0.615	0.610	0.825	шарҳ
explanatory	0.573	0.433	0.688	фаҳмондадиҳӣ
expletive	0.357	0.567	0.536	таҳқиромез
explication	0.510	0.445	0.602	шарҳ
explicit	0.562	0.694	0.734	ошкоро
explode	0.277	0.885	0.773	таркидан
exploit	0.312	0.878	0.660	истисмор кардан
exploitation	0.156	0.920	0.718	истисмор
exploration	0.594	0.650	0.773	тадкикот
exploratory	0.653	0.690	0.698	иктишофй
explore	0.776	0.660	0.727	омӯхтан
explorer	0.729	0.663	0.714	муҳаққиқ
explosion	0.167	0.960	0.767	таркиш
explosions	0.123	0.860	0.594	таркишхо
explosive	0.156	0.943	0.663	тарканда
expo	0.610	0.562	0.500	экспо
exponent	0.529	0.510	0.845	экспонент
exponential	0.704	0.588	0.763	экспоненсиалӣ
export	0.567	0.661	0.755	содирот
exportation	0.760	0.633	0.673	содирот
expose	0.344	0.643	0.537	фош кардан
exposed	0.471	0.661	0.509	фош карда шудааст
exposition	0.521	0.627	0.655	экспозиция
expository	0.706	0.653	0.636	баёнкунанда
exposure	0.570	0.830	0.630	фош шудан, фош кардан
expound	0.438	0.575	0.740	баён
express	0.760	0.623	0.691	баён
expression	0.790	0.650	0.721	ифода
expressive	0.755	0.724	0.685	ифодакунанда
expressway	0.633	0.635	0.587	Роҳи экспресс
expropriation	0.188	0.735	0.788	экспроприация
expulsion	0.190	0.790	0.529	рондан
exquisite	0.892	0.644	0.604	олиҷаноб
exquisitely	0.849	0.728	0.723	олиҷаноб
extant	0.646	0.390	0.523	боқӣ мондааст
extend	0.646	0.570	0.689	дароз кардан
extendable	0.660	0.592	0.722	васеъшаванда
extended	0.570	0.304	0.649	дароз карда шуд
extension	0.490	0.510	0.529	тамдид
extensive	0.635	0.520	0.760	васеъ
extent	0.646	0.451	0.602	андоза
exterior	0.542	0.400	0.627	берунй
exterminate	0.177	0.857	0.736	нест кардан
extermination	0.190	0.860	0.616	нест кардан
exterminator	0.344	0.804	0.887	нобудкунанда
external	0.479	0.341	0.509	беруна
externally	0.643	0.521	0.568	берунӣ
extinct	0.112	0.491	0.412	нобудшуда
extinction	0.104	0.750	0.611	нобудшавӣ
extinguish	0.240	0.576	0.482	хомуш кардан
extinguisher	0.707	0.379	0.543	хомушкунак
extol	0.582	0.667	0.456	таҳсин
extort	0.052	0.827	0.570	тамаъ кардан
extortion	0.112	0.868	0.630	тамаъҷӯӣ
extra	0.656	0.551	0.745	иловагӣ
extract	0.565	0.402	0.519	иқтибос
extracting	0.521	0.709	0.689	истихроҷ
extraction	0.418	0.740	0.526	истихроҷ
extractor	0.302	0.536	0.519	истихроҷкунанда
extracurricular	0.457	0.471	0.743	беруназсинфй
extradition	0.229	0.627	0.554	истирдоди
extrajudicial	0.365	0.686	0.667	ғайрисудӣ
extramural	0.336	0.559	0.537	гоибона
extraneous	0.276	0.625	0.478	бегона
extraordinaire	0.847	0.864	0.898	ғайриоддӣ
extraordinary	0.969	0.728	0.860	фавқулодда
extraterrestrial	0.510	0.833	0.792	бегона
extravagance	0.531	0.802	0.700	исрофкорй
extravagant	0.720	0.763	0.812	исрофкорӣ
extravaganza	0.646	0.786	0.906	исрофкорӣ
extreme	0.318	0.800	0.721	шадид
extreme anticipation	0.551	0.740	0.704	интизории шадид
extreme disgust	0.052	0.873	0.456	нафрати шадид
extreme surprise	0.833	0.935	0.676	ҳайратангези шадид
extreme trust	0.826	0.713	0.922	эътимоди шадид
extremely	0.635	0.827	0.886	бениҳоят
extremely negative	0.030	0.786	0.311	бениҳоят манфӣ
extremely positive	0.993	0.730	0.839	бениҳоят мусбат
extremity	0.408	0.588	0.583	экстремизм
