English Word	Valence	Arousal	Dominance	Catalan Word
enchant	0.873	0.650	0.643	encantar
enchanted	0.917	0.633	0.687	encantat
enchanting	0.917	0.681	0.708	encantador
enchantment	0.816	0.775	0.647	encantament
enchantress	0.398	0.663	0.479	encantadora
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	encercla
encircling	0.510	0.368	0.557	envoltant
enclave	0.531	0.333	0.580	enclavament
enclose	0.531	0.477	0.473	tancar
enclosure	0.417	0.375	0.490	tancament
encode	0.490	0.500	0.734	codificar
encomiastic	0.541	0.500	0.670	encomiàstic
encomium	0.541	0.451	0.519	encomia
encompass	0.520	0.298	0.661	abastar
encore	0.510	0.423	0.500	bis
encounter	0.865	0.702	0.689	trobada
encourage	0.896	0.580	0.704	animar
encouraged	0.953	0.702	0.657	animat
encouragement	0.865	0.700	0.759	estímul
encouraging	0.823	0.583	0.755	encoratjador
encroach	0.302	0.742	0.702	envair
encroachment	0.255	0.736	0.620	invasió
encrypt	0.500	0.387	0.500	xifrar
encryption	0.547	0.415	0.474	xifratge
encumbrance	0.300	0.521	0.480	gravamen
encyclopedia	0.679	0.320	0.645	enciclopèdia
end	0.198	0.349	0.298	final
end table	0.541	0.480	0.482	taula final
endanger	0.115	0.885	0.404	posar en perill
endangered	0.083	0.885	0.430	en perill d'extinció
endangerment	0.167	0.873	0.519	posada en perill
endearing	0.663	0.434	0.604	entranyable
endeavor	0.677	0.755	0.765	esforç
ended	0.302	0.500	0.500	acabat
endemic	0.406	0.480	0.483	endèmic
endgame	0.449	0.538	0.526	final del joc
ending	0.344	0.365	0.492	final
endless	0.347	0.462	0.472	sense fi
endocarditis	0.235	0.587	0.412	endocarditis
endorse	0.592	0.392	0.472	avalar
endorsement	0.834	0.360	0.611	aval
endow	0.684	0.398	0.609	dotar
endowed	0.755	0.510	0.769	dotat
endowment	0.685	0.578	0.647	dotació
endpapers	0.542	0.400	0.339	papers finals
endpoint	0.311	0.410	0.448	punt final
endurance	0.592	0.745	0.760	resistència
endure	0.320	0.610	0.574	resistir
enduring	0.633	0.459	0.768	perdurable
enema	0.281	0.673	0.268	ènema
enemy	0.135	0.794	0.591	enemic
energetic	0.847	0.868	0.902	enèrgic
energize	0.792	0.810	0.875	energitzar
energy	0.944	0.725	0.868	energia
enforce	0.583	0.644	0.836	fer complir
enforcement	0.594	0.571	0.736	execució
enforcer	0.398	0.612	0.639	executor
engage	0.771	0.796	0.713	comprometre's
engaged	0.837	0.596	0.849	compromesa
engagement	0.906	0.587	0.807	compromís
engaging	0.948	0.612	0.862	atractiu
engender	0.561	0.741	0.688	engendrar
engine	0.615	0.644	0.676	motor
engineer	0.719	0.500	0.875	enginyer
engineering	0.735	0.471	0.836	enginyeria
engrave	0.486	0.442	0.517	gravar
engraved	0.542	0.375	0.473	gravat
engraver	0.552	0.417	0.500	gravador
engraving	0.604	0.430	0.442	gravat
engrossed	0.541	0.471	0.304	absorta
engrossing	0.698	0.702	0.750	absorbent
engulf	0.398	0.573	0.500	engolir
enhance	0.802	0.578	0.814	millorar
enhancement	0.877	0.490	0.741	millora
enigma	0.513	0.700	0.500	enigma
enigmatic	0.469	0.589	0.679	enigmàtic
enjoin	0.594	0.454	0.732	ordenar
enjoy	0.959	0.725	0.750	gaudir
enjoyable	1.000	0.481	0.605	agradable
enjoying	0.908	0.759	0.759	gaudint
enjoyment	0.930	0.612	0.716	gaudi
enlarge	0.735	0.606	0.688	engrandir
enlarged	0.673	0.490	0.518	ampliat
enlargement	0.677	0.577	0.616	ampliació
enlighten	0.729	0.549	0.667	il·luminar
enlightened	0.956	0.566	0.700	il·luminat
enlightening	0.825	0.729	0.727	aclaridor
enlightenment	0.837	0.549	0.619	la il·luminació
enlist	0.510	0.370	0.483	allistar-se
enliven	0.833	0.683	0.702	animar
enmity	0.094	0.706	0.382	enemistat
ennui	0.406	0.461	0.316	avorriment
enormity	0.594	0.648	0.848	enormitat
enormous	0.677	0.665	0.886	enorme
enormously	0.760	0.694	0.872	enormement
enraged	0.083	0.962	0.636	enfurismat
enrich	0.896	0.731	0.705	enriquir
enroll	0.696	0.530	0.611	inscriure's
enrollment	0.667	0.391	0.698	matrícula
ensemble	0.697	0.418	0.586	conjunt
ensign	0.663	0.270	0.545	ensenya
enslave	0.073	0.800	0.481	esclavitzar
enslaved	0.104	0.720	0.321	esclavitzat
enslavement	0.086	0.635	0.302	esclavitud
ensue	0.698	0.363	0.332	es produeixen
ensure	0.737	0.406	0.759	assegurar
entail	0.484	0.630	0.645	comportar
entangled	0.319	0.578	0.357	enredat
entanglement	0.302	0.765	0.248	enredament
enter	0.708	0.470	0.500	entrar
enterprise	0.760	0.392	0.754	empresa
enterprising	0.865	0.784	0.875	emprenedor
entertain	0.918	0.684	0.598	entretenir
entertained	0.902	0.644	0.712	entretingut
entertainer	0.888	0.709	0.759	animador
entertaining	0.833	0.658	0.660	entretingut
entertainment	0.847	0.750	0.569	entreteniment
enthralled	0.745	0.602	0.615	captivada
enthusiasm	0.938	0.816	0.798	entusiasme
enthusiast	0.867	0.810	0.875	entusiasta
enthusiastic	0.885	0.868	0.848	entusiasta
entice	0.521	0.887	0.518	atreure
entire	0.689	0.462	0.698	sencer
entirety	0.854	0.460	0.804	la totalitat
entitle	0.729	0.333	0.827	autoritzar
entity	0.542	0.402	0.670	entitat
entomology	0.438	0.396	0.545	entomologia
entourage	0.491	0.567	0.467	seguici
entrails	0.365	0.538	0.387	entranyes
entrance	0.698	0.393	0.526	entrada
entrapment	0.177	0.604	0.441	atrapament
entreat	0.304	0.560	0.462	suplicar
entree	0.615	0.477	0.624	entrant
entrepreneur	0.885	0.704	0.920	empresari
entrust	0.693	0.310	0.630	confiar
entry	0.552	0.353	0.602	entrada
enumerate	0.521	0.390	0.491	enumerar
enumeration	0.548	0.327	0.534	enumeració
envelope	0.604	0.275	0.377	sobre
envious	0.110	0.754	0.341	envejós
environ	0.724	0.221	0.433	entorn
environment	0.646	0.194	0.528	medi ambient
environmental	0.633	0.313	0.664	ambiental
environs	0.561	0.288	0.345	voltants
envision	0.625	0.449	0.483	imaginar
envoy	0.531	0.375	0.586	enviat
envy	0.240	0.704	0.427	enveja
enzyme	0.562	0.277	0.481	enzim
ephemeral	0.500	0.312	0.377	efímer
ephemeris	0.640	0.380	0.528	efemèride
epic	0.857	0.713	0.830	èpica
epidemic	0.092	0.830	0.611	epidèmia
epidermis	0.418	0.490	0.426	epidermis
epidural	0.347	0.452	0.525	epidural
epilepsy	0.061	0.854	0.250	epilèpsia
epileptic	0.146	0.794	0.340	epilèptic
epilogue	0.582	0.353	0.466	epíleg
epiphany	0.625	0.596	0.526	epifania
episcopal	0.542	0.314	0.750	episcopal
episode	0.719	0.367	0.509	episodi
episodic	0.531	0.542	0.462	episòdic
epistle	0.604	0.417	0.535	epístola
epitaph	0.276	0.323	0.442	epitafi
epithet	0.530	0.394	0.524	epítet
epitome	0.510	0.500	0.667	epítom
epoch	0.553	0.343	0.797	època
equal	0.781	0.178	0.407	igual
equality	0.898	0.305	0.716	igualtat
equalization	0.625	0.422	0.423	igualació
equalize	0.738	0.281	0.574	igualar
equalizer	0.604	0.451	0.586	equalitzador
equally	0.625	0.264	0.436	igualment
equate	0.724	0.382	0.624	equiparar
equation	0.479	0.384	0.608	equació
equator	0.550	0.302	0.462	equador
equatorial	0.550	0.271	0.593	equatorial
equestrian	0.633	0.519	0.417	eqüestre
equidistant	0.375	0.406	0.509	equidistant
equilibration	0.724	0.317	0.593	equilibri
equilibrium	0.676	0.235	0.620	equilibri
equip	0.650	0.519	0.713	equipar
equipment	0.745	0.495	0.700	equipament
equitable	0.714	0.286	0.750	equitatiu
equity	0.792	0.304	0.614	equitat
equivalence	0.663	0.250	0.582	equivalència
equivalent	0.646	0.347	0.500	equivalent
equivocal	0.327	0.482	0.257	equívoc
era	0.615	0.407	0.449	era
eradicate	0.260	0.690	0.686	eradicar
eradication	0.208	0.788	0.685	eradicació
erase	0.240	0.260	0.321	esborrar
eraser	0.458	0.209	0.311	goma d'esborrar
erasure	0.281	0.360	0.265	esborrat
ere	0.479	0.312	0.377	ere
erect	0.643	0.885	0.627	erecte
erectile	0.542	0.796	0.625	erectil
erection	0.640	0.856	0.695	erecció
ergo	0.385	0.400	0.385	per això
erode	0.208	0.643	0.580	erosionar
erosion	0.312	0.770	0.465	erosió
erotic	0.625	0.946	0.683	eròtic
erotica	0.781	0.870	0.579	eròtica
err	0.146	0.660	0.236	errar
errand	0.385	0.519	0.482	encàrrec
errant	0.205	0.602	0.375	errant
erratic	0.271	0.503	0.217	erràtica
erratum	0.327	0.528	0.436	errata
erroneous	0.057	0.561	0.245	errònia
error	0.094	0.559	0.198	error
erst	0.277	0.422	0.357	erst
erudite	0.719	0.434	0.774	erudit
erupt	0.188	0.820	0.818	esclatar
eruption	0.156	0.913	0.733	erupció
escalade	0.480	0.724	0.442	escalar
escalate	0.653	0.714	0.728	escalar
escalating	0.646	0.724	0.518	escalant
escalation	0.571	0.807	0.582	escalada
escalator	0.500	0.530	0.518	escala mecànica
escape	0.367	0.765	0.448	escapar
escaped	0.365	0.755	0.518	escapat
escarpment	0.406	0.553	0.470	escarpa
eschew	0.184	0.438	0.370	defugir
escort	0.729	0.480	0.608	escorta
escrow	0.449	0.520	0.613	dipòsit
esophagus	0.429	0.454	0.464	esòfag
esoteric	0.500	0.676	0.545	esotèric
especial	0.827	0.419	0.794	especial
espionage	0.312	0.750	0.620	espionatge
espouse	0.802	0.529	0.598	esposar
espresso	0.677	0.620	0.508	espresso
esprit	0.552	0.431	0.407	esperit
esquire	0.604	0.542	0.518	escuder
essay	0.559	0.411	0.530	assaig
essayist	0.656	0.460	0.462	assagista
essence	0.663	0.369	0.575	essència
essential	0.812	0.405	0.759	essencial
essentially	0.750	0.373	0.802	essencialment
establish	0.708	0.500	0.688	establir
established	0.796	0.394	0.694	establert
establishment	0.690	0.398	0.631	establiment
estate	0.653	0.385	0.647	finca
esteem	0.745	0.380	0.679	estima
esteemed	0.694	0.418	0.531	estimat
esthetic	0.635	0.360	0.558	estètica
estimable	0.796	0.408	0.630	estimable
estimate	0.719	0.469	0.517	estimació
estimation	0.740	0.480	0.589	estimació
estoppel	0.354	0.459	0.482	estoppel
estranged	0.156	0.382	0.377	estranyat
estrogen	0.580	0.500	0.425	estrògens
estuary	0.469	0.278	0.482	estuari
etch	0.510	0.367	0.598	gravar
etching	0.567	0.491	0.575	gravat
eternal	0.854	0.409	0.843	etern
eternity	0.765	0.520	0.911	eternitat
ethanol	0.333	0.410	0.534	etanol
ether	0.490	0.306	0.412	èter
ethereal	0.520	0.419	0.518	eteri
ethic	0.786	0.260	0.791	ètica
ethical	0.854	0.324	0.634	ètic
ethics	0.658	0.296	0.731	ètica
ethnic	0.583	0.373	0.555	ètnics
ethnography	0.571	0.373	0.549	etnografia
etiology	0.500	0.385	0.639	etiologia
etiquette	0.604	0.350	0.421	etiqueta
etymology	0.531	0.370	0.529	etimologia
eucalyptus	0.602	0.308	0.418	eucaliptus
euchre	0.470	0.459	0.442	euchre
eugenics	0.448	0.530	0.518	eugenèsia
eulogistic	0.740	0.623	0.694	elogiós
eulogium	0.542	0.482	0.655	elogi
eulogize	0.850	0.518	0.679	elogiar
eulogy	0.625	0.443	0.667	elogi
euphemism	0.418	0.453	0.491	eufemisme
euphoria	0.769	0.955	0.648	eufòria
euphoric	0.745	0.904	0.588	eufòric
euro	0.680	0.441	0.521	euro
euthanasia	0.229	0.716	0.325	eutanàsia
evacuate	0.354	0.792	0.314	evacuo
evacuation	0.160	0.755	0.582	evacuació
evade	0.304	0.490	0.342	evadir
evaluate	0.663	0.640	0.649	avaluar
evaluation	0.542	0.667	0.764	avaluació
evanescence	0.527	0.519	0.458	evanescència
evangelical	0.602	0.389	0.602	evangèlic
evangelist	0.582	0.464	0.702	evangelista
evangelistic	0.660	0.375	0.612	evangelitzador
evaporate	0.357	0.469	0.402	evaporar
evaporation	0.556	0.346	0.388	evaporació
evasion	0.229	0.510	0.418	evasió
evasive	0.117	0.596	0.425	evasiva
eve	0.612	0.378	0.440	Vigília
evening	0.458	0.185	0.318	vespre
evens	0.592	0.430	0.457	parells
event	0.745	0.673	0.664	esdeveniment
eventful	0.543	0.837	0.510	ple d'esdeveniments
eventual	0.633	0.459	0.413	eventual
eventuality	0.469	0.627	0.527	eventualitat
evergreen	0.729	0.471	0.546	de fulla perenne
everlasting	0.740	0.413	0.809	etern
evermore	0.677	0.450	0.403	sempre més
everyday	0.740	0.392	0.472	cada dia
everyman	0.522	0.333	0.535	cada home
evict	0.042	0.632	0.377	desallotjar
eviction	0.185	0.731	0.455	desallotjament
evidence	0.500	0.500	0.778	proves
evident	0.633	0.444	0.664	evident
evidentiary	0.448	0.541	0.717	prova
evil	0.040	0.827	0.545	dolent
evoke	0.438	0.341	0.500	evocar
evolution	0.781	0.657	0.854	evolució
evolutionary	0.796	0.673	0.825	evolutiu
evolve	0.655	0.692	0.896	evolucionar
ewe	0.429	0.216	0.277	ovella
ex	0.250	0.520	0.306	ex
exacerbate	0.323	0.776	0.580	empitjorar
exacerbation	0.344	0.810	0.480	exacerbació
exact	0.719	0.354	0.685	exacte
exacting	0.448	0.673	0.767	exigent
exaggerate	0.193	0.760	0.529	exagerar
exaggerated	0.224	0.885	0.732	exagerat
exaggeration	0.312	0.775	0.582	exageració
exalt	0.656	0.750	0.745	exaltar
exaltation	0.594	0.892	0.673	exaltació
exalted	0.676	0.845	0.696	exaltat
exam	0.479	0.663	0.577	examen
examination	0.378	0.657	0.679	examen
examine	0.615	0.623	0.786	examinar
examiner	0.406	0.575	0.812	examinador
example	0.542	0.337	0.510	exemple
exasperated	0.229	0.816	0.377	exasperat
exasperation	0.214	0.833	0.483	exasperació
excavate	0.583	0.613	0.635	excavar
excavation	0.540	0.644	0.527	excavació
excavator	0.427	0.673	0.649	excavadora
exceed	0.500	0.827	0.586	superar
exceeding	0.500	0.802	0.668	superant
excel	0.561	0.363	0.466	sobresortir
excellence	0.958	0.620	0.907	excel·lència
excellent	0.970	0.587	0.870	excel · lent
excelsior	0.700	0.625	0.611	excelsior
excepting	0.408	0.413	0.526	excepte
exception	0.469	0.600	0.544	excepció
exceptional	0.806	0.740	0.933	excepcional
excerpt	0.437	0.367	0.543	extracte
excess	0.385	0.889	0.712	excés
excessive	0.417	0.731	0.601	excessiu
excessively	0.449	0.882	0.716	excessivament
exchange	0.740	0.569	0.491	intercanvi
excise	0.448	0.561	0.577	impostos especials
excision	0.260	0.480	0.519	escisió
excitability	0.906	0.910	0.724	excitabilitat
excitable	0.803	0.939	0.629	excitable
excitation	0.792	0.958	0.750	excitació
excite	0.823	0.950	0.668	emocionar
excited	0.908	0.931	0.709	emocionat
excitement	0.896	0.684	0.731	emoció
exciting	0.950	0.792	0.789	emocionant
exclaim	0.635	0.711	0.639	exclamar
exclamation	0.612	0.745	0.598	exclamació
exclude	0.292	0.500	0.530	excloure
excluded	0.061	0.540	0.134	exclosos
excluding	0.271	0.550	0.324	Excloent
exclusion	0.240	0.530	0.389	exclusió
exclusive	0.792	0.630	0.653	exclusiu
excrement	0.041	0.558	0.221	excrements
excretion	0.285	0.650	0.457	excreció
excruciating	0.083	0.837	0.345	insoportable
excursion	0.625	0.714	0.627	excursió
excuse	0.240	0.696	0.318	excusa
exec	0.640	0.352	0.769	executiu
execute	0.327	0.708	0.769	executar
execution	0.160	0.811	0.713	execució
executioner	0.235	0.816	0.676	botxí
executive	0.704	0.449	0.894	executiu
executor	0.365	0.755	0.759	executor
exegesis	0.458	0.472	0.491	exegesi
exemplar	0.844	0.537	0.625	exemplar
exemplary	0.833	0.343	0.729	exemplar
exemplify	0.735	0.506	0.783	exemplificar
exempt	0.588	0.455	0.664	exempt
exemption	0.531	0.578	0.627	exempció
exercise	0.750	0.789	0.625	exercici
exert	0.694	0.735	0.806	exercir
exertion	0.663	0.755	0.717	esforç
exhale	0.542	0.490	0.411	exhalar
exhaust	0.546	0.710	0.337	escapament
exhausted	0.123	0.423	0.202	esgotat
exhaustion	0.366	0.633	0.269	esgotament
exhaustive	0.388	0.635	0.604	exhaustiu
exhibit	0.688	0.633	0.708	exposició
exhibition	0.698	0.590	0.531	exposició
exhilarated	0.890	0.963	0.759	il·lusionat
exhilarating	0.917	0.823	0.810	engrescadora
exhilaration	0.792	0.868	0.783	il·lusió
exhort	0.378	0.660	0.745	exhortar
exhortation	0.531	0.624	0.580	exhortació
exhumation	0.177	0.586	0.473	exhumació
exhume	0.184	0.627	0.452	exhumar
exigent	0.385	0.611	0.792	exigent
exile	0.184	0.630	0.483	exili
exist	0.857	0.421	0.788	existir
existence	0.760	0.513	0.771	existència
existent	0.635	0.490	0.635	existent
existential	0.583	0.510	0.638	existencial
existing	0.802	0.344	0.750	existents
exit	0.370	0.353	0.399	sortida
exodus	0.286	0.663	0.567	èxode
exonerate	0.592	0.500	0.538	exonerar
exorbitant	0.398	0.865	0.825	exorbitant
exorcism	0.163	0.980	0.557	exorcisme
exorcist	0.219	0.906	0.716	exorcista
exotic	0.840	0.711	0.727	exòtic
expand	0.792	0.559	0.686	expandir
expanded	0.760	0.406	0.689	expandit
expanse	0.594	0.529	0.689	extensió
expansion	0.776	0.618	0.787	expansió
expansive	0.708	0.650	0.778	expansiu
expatriate	0.265	0.764	0.391	expatriat
expect	0.469	0.327	0.377	esperar
expectance	0.552	0.724	0.660	expectació
expectancy	0.581	0.622	0.558	expectació
expectant	0.708	0.650	0.474	expectant
expectation	0.771	0.690	0.707	expectativa
expected	0.729	0.412	0.545	esperat
expecting	0.561	0.450	0.302	esperant
expediency	0.604	0.443	0.703	conveniència
expedient	0.885	0.461	0.454	convenient
expedite	0.571	0.858	0.798	accelerar
expedition	0.735	0.802	0.620	expedició
expeditious	0.602	0.645	0.773	expeditiu
expel	0.281	0.725	0.452	expulsar
expendable	0.479	0.490	0.423	prescindible
expenditure	0.250	0.608	0.603	despesa
expense	0.317	0.451	0.377	despesa
expenses	0.240	0.633	0.396	despeses
expensive	0.323	0.540	0.530	car
experience	0.827	0.618	0.905	experiència
experienced	0.771	0.613	0.914	experimentat
experiences	0.793	0.647	0.795	experiències
experiment	0.479	0.720	0.675	experiment
experimental	0.417	0.764	0.396	experimental
experimentation	0.637	0.769	0.767	experimentació
experimenter	0.708	0.710	0.700	experimentador
expert	0.776	0.646	0.911	expert
expertise	0.792	0.589	0.925	experiència
expiration	0.265	0.539	0.463	caducitat
expire	0.573	0.745	0.702	caducar
expired	0.198	0.394	0.200	caducat
expiry	0.194	0.434	0.382	caducitat
explain	0.719	0.517	0.736	explicar
explanation	0.615	0.610	0.825	explicació
explanatory	0.573	0.433	0.688	explicatiu
expletive	0.357	0.567	0.536	improperi
explication	0.510	0.445	0.602	explicació
explicit	0.562	0.694	0.734	explícit
explode	0.277	0.885	0.773	explotar
exploit	0.312	0.878	0.660	explotar
exploitation	0.156	0.920	0.718	explotació
exploration	0.594	0.650	0.773	exploració
exploratory	0.653	0.690	0.698	exploratori
explore	0.776	0.660	0.727	explorar
explorer	0.729	0.663	0.714	explorador
explosion	0.167	0.960	0.767	explosió
explosions	0.123	0.860	0.594	explosions
explosive	0.156	0.943	0.663	explosiu
expo	0.610	0.562	0.500	expo
exponent	0.529	0.510	0.845	exponent
exponential	0.704	0.588	0.763	exponencial
export	0.567	0.661	0.755	exportar
exportation	0.760	0.633	0.673	exportació
expose	0.344	0.643	0.537	exposar
exposed	0.471	0.661	0.509	exposat
exposition	0.521	0.627	0.655	exposició
expository	0.706	0.653	0.636	expositiu
exposure	0.570	0.830	0.630	exposició
expound	0.438	0.575	0.740	exposar
express	0.760	0.623	0.691	expressar
expression	0.790	0.650	0.721	expressió
expressive	0.755	0.724	0.685	expressiu
expressway	0.633	0.635	0.587	via ràpida
expropriation	0.188	0.735	0.788	expropiació
expulsion	0.190	0.790	0.529	expulsió
exquisite	0.892	0.644	0.604	exquisit
exquisitely	0.849	0.728	0.723	exquisidament
extant	0.646	0.390	0.523	existents
extend	0.646	0.570	0.689	estendre
extendable	0.660	0.592	0.722	extensible
extended	0.570	0.304	0.649	estesa
extension	0.490	0.510	0.529	extensió
extensive	0.635	0.520	0.760	extensa
extent	0.646	0.451	0.602	extensió
exterior	0.542	0.400	0.627	exterior
exterminate	0.177	0.857	0.736	exterminar
extermination	0.190	0.860	0.616	extermini
exterminator	0.344	0.804	0.887	exterminador
external	0.479	0.341	0.509	extern
externally	0.643	0.521	0.568	externament
extinct	0.112	0.491	0.412	extingit
extinction	0.104	0.750	0.611	extinció
extinguish	0.240	0.576	0.482	extingir
extinguisher	0.707	0.379	0.543	extintor
extol	0.582	0.667	0.456	exaltar
extort	0.052	0.827	0.570	extorsionar
extortion	0.112	0.868	0.630	extorsió
extra	0.656	0.551	0.745	extra
extract	0.565	0.402	0.519	extracte
extracting	0.521	0.709	0.689	extreure
extraction	0.418	0.740	0.526	extracció
extractor	0.302	0.536	0.519	extractor
extracurricular	0.457	0.471	0.743	extraescolars
extradition	0.229	0.627	0.554	extradició
extrajudicial	0.365	0.686	0.667	extrajudicials
extramural	0.336	0.559	0.537	extramurals
extraneous	0.276	0.625	0.478	estrany
extraordinaire	0.847	0.864	0.898	extraordinari
extraordinary	0.969	0.728	0.860	extraordinari
extraterrestrial	0.510	0.833	0.792	extraterrestre
extravagance	0.531	0.802	0.700	extravagància
extravagant	0.720	0.763	0.812	extravagant
extravaganza	0.646	0.786	0.906	extravagància
extreme	0.318	0.800	0.721	extrem
extreme anticipation	0.551	0.740	0.704	expectació extrema
extreme disgust	0.052	0.873	0.456	fàstic extrem
extreme surprise	0.833	0.935	0.676	sorpresa extrema
extreme trust	0.826	0.713	0.922	confiança extrema
extremely	0.635	0.827	0.886	extremadament
extremely negative	0.030	0.786	0.311	extremadament negatiu
extremely positive	0.993	0.730	0.839	extremadament positiva
extremity	0.408	0.588	0.583	extremitat
extricate	0.542	0.510	0.543	extreure
extrinsic	0.510	0.479	0.636	extrínseca
extrusion	0.229	0.660	0.545	extrusió
exuberance	0.698	0.816	0.787	exuberància
exude	0.375	0.519	0.411	traspua
eye	0.531	0.265	0.425	ull
eyeball	0.526	0.422	0.420	globus ocular
eyebrow	0.510	0.198	0.222	cella
eyeful	0.802	0.500	0.676	ull
eyeglass	0.531	0.236	0.286	ulleres
eyeglasses	0.561	0.269	0.306	ulleres
eyelash	0.480	0.250	0.278	pestanya
eyelet	0.632	0.298	0.346	traulet
eyeliner	0.688	0.349	0.347	delineador d'ulls
eyepiece	0.418	0.347	0.480	ocular
eyes	0.760	0.279	0.432	ulls
eyesight	0.750	0.226	0.343	vista
eyewitness	0.541	0.686	0.698	testimoni ocular
fab	0.490	0.380	0.406	fabulós
fable	0.663	0.387	0.389	faula
fabled	0.625	0.538	0.545	fabulós
fabric	0.635	0.190	0.345	teixit
fabricate	0.636	0.491	0.779	fabricar
fabricated	0.418	0.427	0.555	fabricat
fabrication	0.573	0.587	0.705	fabricació
fabulous	0.979	0.660	0.797	fabulós
facade	0.520	0.333	0.518	façana
face	0.571	0.173	0.453	cara
faceless	0.230	0.406	0.173	sense rostre
facet	0.667	0.324	0.382	faceta
facial	0.594	0.429	0.433	facial
facile	0.740	0.264	0.307	fàcil
facilitate	0.812	0.333	0.509	facilitar
facility	0.625	0.500	0.654	instal·lació
facing	0.604	0.406	0.550	de cara
facsimile	0.490	0.500	0.543	facsímil
fact	0.683	0.333	0.618	fet
faction	0.469	0.430	0.448	facció
factor	0.635	0.365	0.678	factor
factory	0.500	0.500	0.683	fàbrica
facts	0.688	0.471	0.693	fets
factual	0.656	0.440	0.545	de fet
faculties	0.643	0.431	0.760	facultats
faculty	0.615	0.412	0.732	professorat
fad	0.663	0.520	0.570	moda
fade	0.354	0.333	0.245	esvair
faded	0.302	0.275	0.194	esvaït
faeces	0.184	0.476	0.175	femtes
fag	0.122	0.653	0.331	maricó
faggot	0.219	0.643	0.292	fagot
fail	0.177	0.578	0.154	fracassar
failing	0.125	0.490	0.268	fracassar
failure	0.167	0.575	0.139	fracàs
fain	0.479	0.417	0.426	faig
faint	0.063	0.429	0.167	desmaiar
fainting	0.333	0.510	0.214	desmais
fair	0.812	0.557	0.643	Fira
fairly	0.790	0.406	0.750	justament
fairness	0.740	0.317	0.552	Justícia
fairway	0.541	0.510	0.500	fairway
fairy	0.776	0.408	0.413	fada
faith	0.833	0.220	0.763	fe
faithful	0.888	0.333	0.627	fidel
faithfulness	0.833	0.426	0.602	fidelitat
faithless	0.102	0.683	0.304	infidel
fake	0.073	0.554	0.268	fals
faker	0.245	0.630	0.480	farsador
falafel	0.560	0.402	0.351	falafel
falcon	0.557	0.580	0.678	falcó
fall	0.177	0.657	0.221	caure
fallacious	0.271	0.587	0.390	fal·làcia
fallacy	0.112	0.561	0.430	fal·làcia
fallback	0.458	0.358	0.508	retrocedir
fallible	0.365	0.537	0.402	fal·lible
falling	0.202	0.716	0.306	caient
fallopian	0.297	0.390	0.464	fal·lopi
fallout	0.428	0.356	0.373	conseqüència negativa
fallow	0.375	0.368	0.464	guaret
false	0.120	0.404	0.240	fals
falsehood	0.031	0.625	0.384	falsedat
falsely	0.083	0.480	0.265	falsament
falsification	0.173	0.720	0.490	falsificació
falsified	0.042	0.630	0.306	falsificat
falsify	0.115	0.657	0.409	falsificar
falsity	0.120	0.689	0.186	falsedat
falter	0.421	0.650	0.346	trontollar
fame	0.896	0.755	0.852	fama
famed	0.878	0.750	0.819	famós
familiar	0.906	0.330	0.615	familiar
familiarity	0.854	0.346	0.616	familiaritat
familiarize	0.760	0.365	0.654	familiaritzar-se
family	0.968	0.383	0.643	família
familytime	0.939	0.420	0.679	temps en familia
famine	0.163	0.679	0.310	fam
famished	0.177	0.654	0.282	famolenc
famous	0.916	0.775	0.882	famós
famously	0.856	0.765	0.787	famós
fan	0.781	0.429	0.357	ventilador
fanatic	0.573	0.780	0.629	fanàtic
fanatical	0.555	0.830	0.714	fanàtic
fanaticism	0.292	0.896	0.566	fanatisme
fanciful	0.677	0.592	0.342	fantasiosa
fancy	0.854	0.673	0.534	luxós
fandango	0.490	0.591	0.429	fandango
fanfare	0.656	0.640	0.437	fanfàrria
fang	0.175	0.491	0.455	ullal
fangs	0.286	0.598	0.434	ullals
fanning	0.615	0.330	0.236	ventilant
fantasia	0.898	0.694	0.436	fantasia
fantasize	0.771	0.660	0.356	fantasiejar
fantastic	0.969	0.696	0.831	fantàstic
fantasy	0.880	0.627	0.474	fantasia
faraway	0.365	0.356	0.285	lluny
farce	0.265	0.667	0.246	farsa
farcical	0.406	0.481	0.259	farsa
fare	0.490	0.425	0.645	tarifa
farewell	0.130	0.500	0.591	adéu
farm	0.781	0.327	0.297	granja
farmer	0.677	0.432	0.464	pagès
farmhouse	0.690	0.330	0.444	masia
farming	0.580	0.414	0.568	Agricultura
farmland	0.729	0.363	0.509	terres de conreu
faro	0.544	0.349	0.357	faro
fart	0.194	0.439	0.264	pet
farther	0.418	0.500	0.430	més lluny
fascia	0.480	0.366	0.356	fàscia
fascinate	0.854	0.683	0.802	fascinar
fascinated	0.812	0.714	0.788	fascinat
fascinating	0.979	0.817	0.784	fascinant
fascination	0.885	0.773	0.835	fascinació
fascism	0.104	0.740	0.695	feixisme
fascist	0.200	0.755	0.527	feixista
fashion	0.827	0.616	0.589	moda
fashionable	0.750	0.510	0.605	de moda
fastball	0.688	0.679	0.575	pilota ràpida
fasten	0.458	0.585	0.529	subjectar
fastener	0.577	0.377	0.491	fixador
fastening	0.594	0.473	0.554	subjecció
fasting	0.388	0.370	0.394	dejuni
fat	0.198	0.353	0.237	greix
fatal	0.061	0.775	0.509	fatal
fatalism	0.208	0.694	0.631	fatalisme
