English Word	Valence	Arousal	Dominance	Yiddish Word
electronics	0.708	0.545	0.574	עלעקטראָניק
elegance	0.918	0.396	0.824	עלאַגאַנס
elegant	0.865	0.500	0.685	עלעגאַנט
element	0.531	0.259	0.481	עלעמענט
elemental	0.627	0.306	0.711	עלעמענטאַל
elementary	0.594	0.286	0.686	עלעמענטאַר
elements	0.510	0.312	0.462	עלעמענטן
elephant	0.531	0.510	0.615	העלפאַנד
elevate	0.812	0.500	0.804	הייבן
elevated	0.704	0.594	0.620	עלעוואַטעד
elevation	0.760	0.759	0.711	הייך
elevator	0.562	0.604	0.676	ליפט
eleven	0.449	0.250	0.430	עלף
eleventh	0.594	0.329	0.357	עלפט
elf	0.460	0.457	0.315	שרעטל
elicit	0.406	0.594	0.658	אַרויסלאָזן
eligible	0.750	0.400	0.518	פּאַסיק
eliminate	0.265	0.670	0.324	עלימינירן
elimination	0.052	0.667	0.431	ילימאַניישאַן
elite	0.688	0.704	0.737	עליט
elitist	0.500	0.606	0.656	עליטיסטיש
elixir	0.708	0.587	0.604	עליקסיר
elk	0.439	0.337	0.340	elk
ell	0.469	0.418	0.373	ell
ellipse	0.531	0.410	0.479	יליפּס
ellipsis	0.653	0.358	0.314	עליפּסיס
ellipsoid	0.500	0.440	0.419	עלליפּסאָיד
elliptic	0.500	0.431	0.528	יליפּטיש
elliptical	0.338	0.385	0.490	יליפּטיקאַל
elm	0.510	0.345	0.321	עלם
elongate	0.583	0.385	0.540	פאַרלענגערן
elongation	0.561	0.500	0.500	ילאָנגגיישאַן
elope	0.396	0.694	0.528	אַנטלויפן
eloquence	0.729	0.490	0.804	עלאַקוואַנס
eloquent	0.870	0.680	0.741	עלאַקוואַנט
elucidate	0.583	0.509	0.518	דערקלערן
elucidation	0.650	0.574	0.586	דערקלערונג
elude	0.438	0.521	0.464	אַנטלויפן
elusive	0.229	0.615	0.466	ילוסיוו
emaciated	0.103	0.541	0.151	אויסגעמאטערט
email	0.698	0.230	0.456	בליצפּאָסט
emanate	0.653	0.464	0.554	אַרויסקומען
emancipation	0.704	0.684	0.763	עמאנציפאציע
embankment	0.677	0.438	0.436	עמבאַנגקמאַנט
embargo	0.229	0.564	0.443	עמבאַרגאָ
embark	0.541	0.550	0.619	עמבאַרק
embarrass	0.082	0.667	0.364	שעמען
embarrassed	0.184	0.560	0.246	שעמענדיג
embarrassing	0.226	0.809	0.225	שעמעוודיק
embarrassment	0.143	0.685	0.226	פאַרלעגנהייט
embassy	0.622	0.333	0.758	אַמבאַסאַדע
embattled	0.235	0.724	0.421	עמבאַטאַלד
embed	0.417	0.554	0.670	embed
embellish	0.842	0.500	0.769	באַפּוצן
embellishment	0.673	0.449	0.405	עמבעללישמאַנט
embers	0.490	0.481	0.508	embers
embezzlement	0.143	0.827	0.435	פארשווינדונג
embezzler	0.146	0.823	0.491	עמבעזלער
emblem	0.640	0.330	0.754	עמבלעם
emblematic	0.771	0.459	0.798	עמבלעמאַטיק
embodiment	0.562	0.690	0.663	עמבאַדימאַנט
embolism	0.104	0.660	0.302	עמבאָוליזאַם
embossed	0.531	0.481	0.500	ימבאָסט
embrace	0.949	0.490	0.452	אַרומנעמען
embroidered	0.677	0.279	0.407	עמברוידערד
embroidery	0.781	0.358	0.280	האַפט
embroiled	0.337	0.721	0.420	עמברוילד
embryo	0.673	0.469	0.453	עמבריאָ
embryonic	0.573	0.453	0.598	עמבריאָניק
emcee	0.694	0.577	0.691	emcee
emerald	0.740	0.363	0.726	שמאַראַגד
emerge	0.602	0.594	0.731	אַרויסקומען
emergence	0.276	0.857	0.676	ימערדזשאַנס
emergency	0.200	0.900	0.571	נויטפאַל
emeritus	0.633	0.402	0.735	עמעריטוס
emery	0.469	0.583	0.472	עמערי
emetophobia	0.243	0.620	0.403	עמעטאָפאָביאַ
emigrate	0.356	0.812	0.508	עמיגרירן
emigration	0.564	0.664	0.432	עמיגראַציע
eminence	0.816	0.644	0.837	עמינענסע
eminent	0.740	0.620	0.830	באַוווסט
eminently	0.694	0.607	0.773	בפֿרט
emir	0.510	0.396	0.621	עמיר
emissary	0.562	0.462	0.636	שליח
emission	0.510	0.453	0.591	ימישאַן
emit	0.638	0.445	0.510	אַרויסלאָזן
emo	0.354	0.314	0.226	עמאָ
emotion	0.693	0.873	0.696	עמאָציע
emotional	0.779	0.714	0.526	עמאָציאָנעל
emotive	0.917	0.741	0.525	עמאָציאָנעל
empathic	0.760	0.570	0.558	עמפּאַטיש
empathize	0.802	0.591	0.660	עמפּאַטייז
empathy	0.729	0.349	0.545	עמפּאַטי
emperor	0.651	0.704	0.962	קייסער
emphasis	0.653	0.745	0.816	טראָפּ
emphasize	0.510	0.605	0.769	ונטערשטרייַכן
emphatic	0.615	0.707	0.732	עמפאַטיק
emphysema	0.156	0.556	0.336	עמפיסעמאַ
empire	0.688	0.730	0.944	אימפעריע
empirical	0.500	0.510	0.574	עמפּיריקאַל
empiricism	0.583	0.460	0.547	עמפּיריזם
employ	0.729	0.481	0.702	אָנשטעלן
employee	0.582	0.361	0.481	אָנגעשטעלטער
employer	0.663	0.518	0.767	באַלעבאָס
employment	0.750	0.594	0.611	באַשעפטיקונג
emporium	0.622	0.556	0.724	עמפּאָריום
empower	0.694	0.779	0.891	ימפּאַוער
empress	0.716	0.669	0.855	עמפּרעסס
emptiness	0.177	0.173	0.184	פּוסטקייט
emption	0.570	0.406	0.458	עמפּטיאָן
empty	0.188	0.183	0.081	ליידיק
emu	0.420	0.358	0.330	emu
emulate	0.438	0.340	0.549	עמיאַלייט
emulsion	0.562	0.431	0.453	ימאַלשאַן
enable	0.760	0.491	0.782	געבן
enablement	0.600	0.451	0.750	ענייבאַלינג
enact	0.680	0.564	0.598	איינפירן
enactment	0.667	0.612	0.769	ענאַקטמאַנט
enamel	0.594	0.280	0.306	ינאַמאַל
encampment	0.677	0.573	0.605	לאגער
enchant	0.873	0.650	0.643	באַציִען
enchanted	0.917	0.633	0.687	ענטשאַניד
enchanting	0.917	0.681	0.708	ענטשאַנטינג
enchantment	0.816	0.775	0.647	כישוף
enchantress	0.398	0.663	0.479	ענטשאַנטרעסס
enchilada	0.542	0.553	0.371	ענטשילאַדאַ
encircle	0.460	0.500	0.519	אַרומרינגלען
encircling	0.510	0.368	0.557	אַרומרינגלען
enclave	0.531	0.333	0.580	ענקלאַווע
enclose	0.531	0.477	0.473	אַרומנעמען
enclosure	0.417	0.375	0.490	אָפּצוימונג
encode	0.490	0.500	0.734	ענקאָוד
encomiastic	0.541	0.500	0.670	ענקאָמיאַסטיק
encomium	0.541	0.451	0.519	encomium
encompass	0.520	0.298	0.661	אַרומנעמען
encore	0.510	0.423	0.500	ענקאָרע
encounter	0.865	0.702	0.689	טרעפן
encourage	0.896	0.580	0.704	מוטיקן
encouraged	0.953	0.702	0.657	דערמוטיקט
encouragement	0.865	0.700	0.759	דערמוטיקונג
encouraging	0.823	0.583	0.755	ענקערידזשינג
encroach	0.302	0.742	0.702	אַרײַנברענגען
encroachment	0.255	0.736	0.620	איבערקערעניש
encrypt	0.500	0.387	0.500	ענקריפּט
encryption	0.547	0.415	0.474	ענקריפּשאַן
encumbrance	0.300	0.521	0.480	ענגשאַפט
encyclopedia	0.679	0.320	0.645	ענציקלאָפּעדיע
end	0.198	0.349	0.298	סוף
end table	0.541	0.480	0.482	ענדע טיש
endanger	0.115	0.885	0.404	סכנה
endangered	0.083	0.885	0.430	ענדיינדזשד
endangerment	0.167	0.873	0.519	סכנה
endearing	0.663	0.434	0.604	ליבלינג
endeavor	0.677	0.755	0.765	שטרעבונג
ended	0.302	0.500	0.500	געענדיקט
endemic	0.406	0.480	0.483	ענדעמיק
endgame	0.449	0.538	0.526	סוף שפּיל
ending	0.344	0.365	0.492	סאָף
endless	0.347	0.462	0.472	אָנ אַ סאָף
endocarditis	0.235	0.587	0.412	ענדאָקאַרדיטיס
endorse	0.592	0.392	0.472	שטיצן
endorsement	0.834	0.360	0.611	ענדאָרסמאַנט
endow	0.684	0.398	0.609	ענדאָוו
endowed	0.755	0.510	0.769	ענדאָוועד
endowment	0.685	0.578	0.647	ענדאָוומענט
endpapers	0.542	0.400	0.339	ענדפּייפּערז
endpoint	0.311	0.410	0.448	ענדפּוינט
endurance	0.592	0.745	0.760	ענדעראַנס
endure	0.320	0.610	0.574	פאַרטראָגן
enduring	0.633	0.459	0.768	פאַרהאַלטן
enema	0.281	0.673	0.268	ענעמאַ
enemy	0.135	0.794	0.591	שונא
energetic	0.847	0.868	0.902	ענערגעטיק
energize	0.792	0.810	0.875	ענערדזשייז
energy	0.944	0.725	0.868	ענערגיע
enforce	0.583	0.644	0.836	דורכפירן
enforcement	0.594	0.571	0.736	ענפאָרסמאַנט
enforcer	0.398	0.612	0.639	ענפאָרסער
engage	0.771	0.796	0.713	דינגען זיך
engaged	0.837	0.596	0.849	פאַרקנאַסט
engagement	0.906	0.587	0.807	באַשטעלונג
engaging	0.948	0.612	0.862	ענגיידזשינג
engender	0.561	0.741	0.688	אַרויסרופן
engine	0.615	0.644	0.676	מאָטאָר
engineer	0.719	0.500	0.875	ינזשעניר
engineering	0.735	0.471	0.836	אינזשעניריע
engrave	0.486	0.442	0.517	ינגרייבן
engraved	0.542	0.375	0.473	ינגרייווד
engraver	0.552	0.417	0.500	ינגרייווער
engraving	0.604	0.430	0.442	ינגרייווינג
engrossed	0.541	0.471	0.304	פֿאַרכאַפּט
engrossing	0.698	0.702	0.750	ענגראָסינג
engulf	0.398	0.573	0.500	פאַרניכטן
enhance	0.802	0.578	0.814	פאַרבעסערן
enhancement	0.877	0.490	0.741	בעסער מאכען
enigma	0.513	0.700	0.500	עניגמאַ
enigmatic	0.469	0.589	0.679	עניגמאַטיק
enjoin	0.594	0.454	0.732	באַפעלן
enjoy	0.959	0.725	0.750	הנאה
enjoyable	1.000	0.481	0.605	ענדזשויאַבאַל
enjoying	0.908	0.759	0.759	הנאה
enjoyment	0.930	0.612	0.716	הנאה
enlarge	0.735	0.606	0.688	פאַרגרעסערן
enlarged	0.673	0.490	0.518	פארגרעסערט
enlargement	0.677	0.577	0.616	פארגרעסערונג
enlighten	0.729	0.549	0.667	אויפקלערן
enlightened	0.956	0.566	0.700	אויפגעקלערטע
enlightening	0.825	0.729	0.727	ענלייטנינג
enlightenment	0.837	0.549	0.619	השכלה
enlist	0.510	0.370	0.483	ענליסט
enliven	0.833	0.683	0.702	אויפלעבן
enmity	0.094	0.706	0.382	פיינטשאַפט
ennui	0.406	0.461	0.316	ennui
enormity	0.594	0.648	0.848	גרויסקייט
enormous	0.677	0.665	0.886	ריזיק
enormously	0.760	0.694	0.872	ריזיק
enraged	0.083	0.962	0.636	אויפגערעגט
enrich	0.896	0.731	0.705	באַרייַכערן
enroll	0.696	0.530	0.611	פאַרשרייַבן
enrollment	0.667	0.391	0.698	ענראָולמאַנט
ensemble	0.697	0.418	0.586	אַנסאַמבאַל
ensign	0.663	0.270	0.545	ענsign
enslave	0.073	0.800	0.481	ענסלייוו
enslaved	0.104	0.720	0.321	ענסליווד
enslavement	0.086	0.635	0.302	קנעכטשאפט
ensue	0.698	0.363	0.332	ינסו
ensure	0.737	0.406	0.759	מאך זיכער
entail	0.484	0.630	0.645	אַרייַנציען
entangled	0.319	0.578	0.357	פארכאפט
entanglement	0.302	0.765	0.248	פאַרפליכטונג
enter	0.708	0.470	0.500	אַרייַן
enterprise	0.760	0.392	0.754	פאַרנעמונג
enterprising	0.865	0.784	0.875	אונטערנעמונג
entertain	0.918	0.684	0.598	פאַרווייַלן
entertained	0.902	0.644	0.712	פֿאַרוויילט
entertainer	0.888	0.709	0.759	פֿאַרוויילערישע
entertaining	0.833	0.658	0.660	פֿאַרוויילערישע
entertainment	0.847	0.750	0.569	פאַרווייַלונג
enthralled	0.745	0.602	0.615	פאַרכאַפּט
enthusiasm	0.938	0.816	0.798	ענטוזיאַזם
enthusiast	0.867	0.810	0.875	ענטוזיאַסט
enthusiastic	0.885	0.868	0.848	ינטוזיאַסטיק
entice	0.521	0.887	0.518	צוציען
entire	0.689	0.462	0.698	גאַנץ
entirety	0.854	0.460	0.804	גאַנץ
entitle	0.729	0.333	0.827	באַרעכטיקן
entity	0.542	0.402	0.670	ענטיטי
entomology	0.438	0.396	0.545	ענטאָמאָלאָגי
entourage	0.491	0.567	0.467	אַנטעראַזש
entrails	0.365	0.538	0.387	ינטריילז
entrance	0.698	0.393	0.526	אַרייַנגאַנג
entrapment	0.177	0.604	0.441	פאַרכאַפּונג
entreat	0.304	0.560	0.462	בעטן
entree	0.615	0.477	0.624	ענטרעע
entrepreneur	0.885	0.704	0.920	אַנטראַפּראַנער
entrust	0.693	0.310	0.630	ענטראַסט
entry	0.552	0.353	0.602	פּאָזיציע
enumerate	0.521	0.390	0.491	אויסרעכענען
enumeration	0.548	0.327	0.534	אויפצייכענונג
envelope	0.604	0.275	0.377	קאָנווערט
envious	0.110	0.754	0.341	מעקאַנע
environ	0.724	0.221	0.433	סביבה
environment	0.646	0.194	0.528	סביבה
environmental	0.633	0.313	0.664	ינווייראַנמענאַל
environs	0.561	0.288	0.345	סוויווע
envision	0.625	0.449	0.483	ענוויסיאָן
envoy	0.531	0.375	0.586	שליח
envy	0.240	0.704	0.427	מעקאַנע
enzyme	0.562	0.277	0.481	ענזיים
ephemeral	0.500	0.312	0.377	עפעמעראַל
ephemeris	0.640	0.380	0.528	עפעמעריס
epic	0.857	0.713	0.830	עפּאָס
epidemic	0.092	0.830	0.611	עפידעמיע
epidermis	0.418	0.490	0.426	עפּאַדערמיס
epidural	0.347	0.452	0.525	עפּידוראַל
epilepsy	0.061	0.854	0.250	עפּילעפּסי
epileptic	0.146	0.794	0.340	עפּילעפּטיק
epilogue	0.582	0.353	0.466	עפּילאָג
epiphany	0.625	0.596	0.526	עפּיפאַני
episcopal	0.542	0.314	0.750	עפּיסקאָפּאַל
episode	0.719	0.367	0.509	עפּיזאָד
episodic	0.531	0.542	0.462	עפּיזאָד
epistle	0.604	0.417	0.535	עפּיסטעל
epitaph	0.276	0.323	0.442	עפּיטאַף
epithet	0.530	0.394	0.524	עפּיטהעט
epitome	0.510	0.500	0.667	עפּיטאָמע
epoch	0.553	0.343	0.797	עפאכע
equal	0.781	0.178	0.407	גלייַך
equality	0.898	0.305	0.716	גלייכקייט
equalization	0.625	0.422	0.423	יקוואַליזיישאַן
equalize	0.738	0.281	0.574	ויסגלייַכן
equalizer	0.604	0.451	0.586	יקוואַלייזער
equally	0.625	0.264	0.436	גלייך
equate	0.724	0.382	0.624	יקווייט
equation	0.479	0.384	0.608	יקווייזשאַן
equator	0.550	0.302	0.462	עקוואַטאָר
equatorial	0.550	0.271	0.593	עקוואַטאָריאַל
equestrian	0.633	0.519	0.417	רידער
equidistant	0.375	0.406	0.509	עקווידיסטאַנט
equilibration	0.724	0.317	0.593	יקוואַליבריישאַן
equilibrium	0.676	0.235	0.620	יקוואַליבריאַם
equip	0.650	0.519	0.713	יקוויפּ
equipment	0.745	0.495	0.700	ויסריכט
equitable	0.714	0.286	0.750	גלייך
equity	0.792	0.304	0.614	יוישער
equivalence	0.663	0.250	0.582	עקוויוואַלענט
equivalent	0.646	0.347	0.500	עקוויוואַלענט
equivocal	0.327	0.482	0.257	עקוויוואַקאַל
era	0.615	0.407	0.449	עפאכע
eradicate	0.260	0.690	0.686	ויסמעקן
eradication	0.208	0.788	0.685	יראַדאַקיישאַן
erase	0.240	0.260	0.321	מעקן
eraser	0.458	0.209	0.311	מעקער
erasure	0.281	0.360	0.265	מעקן
ere	0.479	0.312	0.377	ער
erect	0.643	0.885	0.627	אויפשטיין
erectile	0.542	0.796	0.625	ערעקטילע
erection	0.640	0.856	0.695	ירעקשאַן
ergo	0.385	0.400	0.385	ergo
erode	0.208	0.643	0.580	ויסמעקן
erosion	0.312	0.770	0.465	יראָוזשאַן
erotic	0.625	0.946	0.683	עראָטיש
erotica	0.781	0.870	0.579	עראָטישע
err	0.146	0.660	0.236	טעות
errand	0.385	0.519	0.482	אַרבעט
errant	0.205	0.602	0.375	ערראַנט
erratic	0.271	0.503	0.217	אומגליקלעך
erratum	0.327	0.528	0.436	ערראַטום
erroneous	0.057	0.561	0.245	טעות
error	0.094	0.559	0.198	טעות
erst	0.277	0.422	0.357	erst
erudite	0.719	0.434	0.774	ערדיטע
erupt	0.188	0.820	0.818	ויסברעכן
eruption	0.156	0.913	0.733	ויסבראָך
escalade	0.480	0.724	0.442	עסקאַלאַדע
escalate	0.653	0.714	0.728	עסקאַלייט
escalating	0.646	0.724	0.518	עסקאַלייטינג
escalation	0.571	0.807	0.582	עסקאַלירונג
escalator	0.500	0.530	0.518	עסקאַלאַטאָר
escape	0.367	0.765	0.448	אַנטלויפן
escaped	0.365	0.755	0.518	אנטרונען
escarpment	0.406	0.553	0.470	עסקאַרפּמענט
eschew	0.184	0.438	0.370	eschew
escort	0.729	0.480	0.608	באַגלייטן
escrow	0.449	0.520	0.613	escrow
esophagus	0.429	0.454	0.464	עסאָפאַגוס
esoteric	0.500	0.676	0.545	עסאָטעריק
especial	0.827	0.419	0.794	ספּעציעל
espionage	0.312	0.750	0.620	שפיאנאזש
espouse	0.802	0.529	0.598	ספּאָוסאַס
espresso	0.677	0.620	0.508	עספּרעסאָ
esprit	0.552	0.431	0.407	esprit
esquire	0.604	0.542	0.518	עסקווייר
essay	0.559	0.411	0.530	עסיי
essayist	0.656	0.460	0.462	עסיייסט
essence	0.663	0.369	0.575	עסאַנס
essential	0.812	0.405	0.759	יקערדיק
essentially	0.750	0.373	0.802	יסענשאַלי
establish	0.708	0.500	0.688	פאַרלייגן
established	0.796	0.394	0.694	געגרינדעט
establishment	0.690	0.398	0.631	פאַרלייגן
estate	0.653	0.385	0.647	נחלה
esteem	0.745	0.380	0.679	שאַצן
esteemed	0.694	0.418	0.531	געשאַצט
esthetic	0.635	0.360	0.558	עסטעטיש
estimable	0.796	0.408	0.630	עסטימאַבלע
estimate	0.719	0.469	0.517	אָפּשאַצונג
estimation	0.740	0.480	0.589	אָפּשאַצונג
estoppel	0.354	0.459	0.482	estopel
estranged	0.156	0.382	0.377	פֿרעמדע
estrogen	0.580	0.500	0.425	עסטראָגען
estuary	0.469	0.278	0.482	עסטשוערי
etch	0.510	0.367	0.598	עטש
etching	0.567	0.491	0.575	עטינג
eternal	0.854	0.409	0.843	אייביק
eternity	0.765	0.520	0.911	אייביקייט
ethanol	0.333	0.410	0.534	עטאַנאָל
ether	0.490	0.306	0.412	יטער
ethereal	0.520	0.419	0.518	יטרעאַל
ethic	0.786	0.260	0.791	עטיק
ethical	0.854	0.324	0.634	עטישע
ethics	0.658	0.296	0.731	עטיקס
ethnic	0.583	0.373	0.555	עטנישע
ethnography	0.571	0.373	0.549	עטנאגראפיע
etiology	0.500	0.385	0.639	עטיאָלאָגי
etiquette	0.604	0.350	0.421	עטיקעט
etymology	0.531	0.370	0.529	עטימאָלאָגי
eucalyptus	0.602	0.308	0.418	יוקאַליפּטאַס
euchre	0.470	0.459	0.442	euchre
eugenics	0.448	0.530	0.518	יודזשעניקס
eulogistic	0.740	0.623	0.694	יולאָגיסטיק
eulogium	0.542	0.482	0.655	elogium
eulogize	0.850	0.518	0.679	אָפּזאָגן
eulogy	0.625	0.443	0.667	הספדים
euphemism	0.418	0.453	0.491	יופעמיסם
euphoria	0.769	0.955	0.648	יופאָריאַ
euphoric	0.745	0.904	0.588	יופאָריש
euro	0.680	0.441	0.521	ייראָ
euthanasia	0.229	0.716	0.325	יוטאַניישאַן
evacuate	0.354	0.792	0.314	עוואקואירן
evacuation	0.160	0.755	0.582	עוואַקואַציע
evade	0.304	0.490	0.342	ויסמיידן
evaluate	0.663	0.640	0.649	אָפּשאַצן
evaluation	0.542	0.667	0.764	עוועלוציע
evanescence	0.527	0.519	0.458	עוואַנעסאַנס
evangelical	0.602	0.389	0.602	עוואַנגעליקאַל
evangelist	0.582	0.464	0.702	עוואַנגעליסט
evangelistic	0.660	0.375	0.612	עוואַנגעליסטיק
evaporate	0.357	0.469	0.402	יוואַפּערייט
evaporation	0.556	0.346	0.388	יוואַפּעריישאַן
evasion	0.229	0.510	0.418	אַרויסדרייען
evasive	0.117	0.596	0.425	ויסמיידן
eve	0.612	0.378	0.440	יוו
evening	0.458	0.185	0.318	אָוונט
evens	0.592	0.430	0.457	אפילו
event	0.745	0.673	0.664	געשעעניש
eventful	0.543	0.837	0.510	געשעעניש
eventual	0.633	0.459	0.413	עווענטועל
eventuality	0.469	0.627	0.527	עווענטואַליטעט
evergreen	0.729	0.471	0.546	עווערגרין
everlasting	0.740	0.413	0.809	אייביק
evermore	0.677	0.450	0.403	שטענדיק
everyday	0.740	0.392	0.472	יעדן טאג
everyman	0.522	0.333	0.535	יעדער מענטש
evict	0.042	0.632	0.377	אַרויסטרייַבן
eviction	0.185	0.731	0.455	יוויקשאַן
evidence	0.500	0.500	0.778	זאָגן
evident	0.633	0.444	0.664	קענטיק
evidentiary	0.448	0.541	0.717	עווידענטיאַל
evil	0.040	0.827	0.545	בייז
evoke	0.438	0.341	0.500	אַרויסרופן
evolution	0.781	0.657	0.854	עוואָלוציע
evolutionary	0.796	0.673	0.825	עוואָלוטיאָנאַרי
evolve	0.655	0.692	0.896	יוואַלוו
ewe	0.429	0.216	0.277	איו
ex	0.250	0.520	0.306	עקס
exacerbate	0.323	0.776	0.580	פאַרערגערן
exacerbation	0.344	0.810	0.480	פאַרערגערונג
exact	0.719	0.354	0.685	פּינטלעך
exacting	0.448	0.673	0.767	פּינטלעך
exaggerate	0.193	0.760	0.529	איבערטריבן
exaggerated	0.224	0.885	0.732	איבערגעטריבען
exaggeration	0.312	0.775	0.582	גוזמע
exalt	0.656	0.750	0.745	דערהויבן
exaltation	0.594	0.892	0.673	דערהויבן
exalted	0.676	0.845	0.696	דערהויבן
exam	0.479	0.663	0.577	יגזאַם
examination	0.378	0.657	0.679	דורכקוק
examine	0.615	0.623	0.786	ונטערזוכן
examiner	0.406	0.575	0.812	יגזאַמאַנער
example	0.542	0.337	0.510	בייַשפּיל
exasperated	0.229	0.816	0.377	יקסייטאַד
exasperation	0.214	0.833	0.483	עקסאַספּעריישאַן
excavate	0.583	0.613	0.635	אויסגראבן
excavation	0.540	0.644	0.527	עקסקאַוויישאַן
excavator	0.427	0.673	0.649	עקסקאַווייטער
exceed	0.500	0.827	0.586	יקסיד
exceeding	0.500	0.802	0.668	יקסידינג
excel	0.561	0.363	0.466	יקסעל
excellence	0.958	0.620	0.907	עקסאַלאַנס
excellent	0.970	0.587	0.870	ויסגעצייכנט
excelsior	0.700	0.625	0.611	עקססעלסיאָר
excepting	0.408	0.413	0.526	אַחוץ
exception	0.469	0.600	0.544	ויסנעם
exceptional	0.806	0.740	0.933	יקסעפּשאַנאַל
excerpt	0.437	0.367	0.543	אויסצוג
excess	0.385	0.889	0.712	וידעפדיק
excessive	0.417	0.731	0.601	יבעריק
excessively	0.449	0.882	0.716	יבעריק
exchange	0.740	0.569	0.491	וועקסל
excise	0.448	0.561	0.577	עקסייז
excision	0.260	0.480	0.519	עקססיסיאָן
excitability	0.906	0.910	0.724	עקסייטאַביליטי
excitable	0.803	0.939	0.629	יקסייטאַבאַל
excitation	0.792	0.958	0.750	יקסייטיישאַן
excite	0.823	0.950	0.668	אָנצינדן
excited	0.908	0.931	0.709	יקסייטאַד
excitement	0.896	0.684	0.731	יקסייטמאַנט
exciting	0.950	0.792	0.789	יקסייטינג
exclaim	0.635	0.711	0.639	אויסרופן
exclamation	0.612	0.745	0.598	אויסרופן
exclude	0.292	0.500	0.530	ויסשליסן
excluded	0.061	0.540	0.134	ויסשליסן
excluding	0.271	0.550	0.324	עקסקלודינג
exclusion	0.240	0.530	0.389	יקסקלוזשאַן
exclusive	0.792	0.630	0.653	ויסשליסיק
excrement	0.041	0.558	0.221	עקסקרעמענט
excretion	0.285	0.650	0.457	יקסקרישאַן
excruciating	0.083	0.837	0.345	ומגליקלעך
excursion	0.625	0.714	0.627	שפּאַציר
excuse	0.240	0.696	0.318	אַנטשולדיקן
exec	0.640	0.352	0.769	עקסעק
execute	0.327	0.708	0.769	ויספירן
execution	0.160	0.811	0.713	דורכפירונג
executioner	0.235	0.816	0.676	עקסעקוטיאָנער
executive	0.704	0.449	0.894	יגזעקיאַטיוו
executor	0.365	0.755	0.759	עקסאַקיוטער
exegesis	0.458	0.472	0.491	עקסעגעסיס
exemplar	0.844	0.537	0.625	מוסטער
exemplary	0.833	0.343	0.729	יגזעמפּלערי
exemplify	0.735	0.506	0.783	ביישפילן
exempt	0.588	0.455	0.664	פטור
exemption	0.531	0.578	0.627	באַפרייַונג
exercise	0.750	0.789	0.625	געניטונג
exert	0.694	0.735	0.806	יגזערט
exertion	0.663	0.755	0.717	אָנשטרענגונג
exhale	0.542	0.490	0.411	ויסאָטעמען
exhaust	0.546	0.710	0.337	ויסמאַטערן
exhausted	0.123	0.423	0.202	ויסגעמאַטערט
exhaustion	0.366	0.633	0.269	ויסמאַטערן
exhaustive	0.388	0.635	0.604	יגזאָסטיוו
exhibit	0.688	0.633	0.708	ויסשטעלונג
exhibition	0.698	0.590	0.531	ויסשטעלונג
exhilarated	0.890	0.963	0.759	אויפגעהויבן
exhilarating	0.917	0.823	0.810	יגזילערייטינג
exhilaration	0.792	0.868	0.783	יקסייטמאַנט
exhort	0.378	0.660	0.745	דערמוטיקן
exhortation	0.531	0.624	0.580	דרשה
exhumation	0.177	0.586	0.473	עקסהומאַטיאָן
exhume	0.184	0.627	0.452	עקסהומען
exigent	0.385	0.611	0.792	נויטיק
exile	0.184	0.630	0.483	גלות
exist	0.857	0.421	0.788	עקסיסטירן
existence	0.760	0.513	0.771	עקזיסטענץ
existent	0.635	0.490	0.635	עקזיסטענט
existential	0.583	0.510	0.638	עקסיסטענטשאַל
existing	0.802	0.344	0.750	יגזיסטינג
exit	0.370	0.353	0.399	אַרויסגאַנג
exodus	0.286	0.663	0.567	עקסאָדוס
exonerate	0.592	0.500	0.538	באַפרייען
exorbitant	0.398	0.865	0.825	יגזאָרביטאַנט
exorcism	0.163	0.980	0.557	עקסאָרסיסם
exorcist	0.219	0.906	0.716	עקסאָרסיסט
exotic	0.840	0.711	0.727	עקזאָטיש
expand	0.792	0.559	0.686	יקספּאַנד
expanded	0.760	0.406	0.689	יקספּאַנדיד
expanse	0.594	0.529	0.689	יקספּאַנס
expansion	0.776	0.618	0.787	יקספּאַנשאַן
expansive	0.708	0.650	0.778	יקספּאַנסיוו
expatriate	0.265	0.764	0.391	עקספּאַטרייטער
expect	0.469	0.327	0.377	דערוואַרטן
expectance	0.552	0.724	0.660	דערוואַרטונג
expectancy	0.581	0.622	0.558	יקספּעקטאַנסי
expectant	0.708	0.650	0.474	דערוואַרטן
expectation	0.771	0.690	0.707	דערוואַרטונג
expected	0.729	0.412	0.545	דערוואַרט
expecting	0.561	0.450	0.302	דערוואַרטן
expediency	0.604	0.443	0.703	עקספּעדיענסע
expedient	0.885	0.461	0.454	נוציק
expedite	0.571	0.858	0.798	פאַרגיכערן
expedition	0.735	0.802	0.620	עקספּעדיטיאָן
expeditious	0.602	0.645	0.773	שנעל
expel	0.281	0.725	0.452	אַרויסטרייַבן
expendable	0.479	0.490	0.423	יקספּענדאַבאַל
expenditure	0.250	0.608	0.603	הוצאות
expense	0.317	0.451	0.377	קאָסט
expenses	0.240	0.633	0.396	הוצאות
expensive	0.323	0.540	0.530	טייַער
experience	0.827	0.618	0.905	דערפאַרונג
experienced	0.771	0.613	0.914	איבערגעלעבט
experiences	0.793	0.647	0.795	יקספּיריאַנסיז
experiment	0.479	0.720	0.675	עקספּערימענט
experimental	0.417	0.764	0.396	יקספּערמענאַל
experimentation	0.637	0.769	0.767	עקספּערימענטאַטיאָן
