English Word	Valence	Arousal	Dominance	Malagasy Word
dessert	0.755	0.491	0.404	tsindrin-tsakafo
destination	0.708	0.471	0.637	toerana halehany
destined	0.698	0.462	0.617	voalahatra
destiny	0.781	0.413	0.611	anjara
destitute	0.130	0.451	0.222	mahantra
destroy	0.046	0.935	0.635	handringana
destroyed	0.031	0.696	0.288	rava
destroyer	0.083	0.830	0.543	mpandringana
destroying	0.041	0.828	0.660	mandringana
destruct	0.071	0.868	0.525	manimba
destruction	0.102	0.929	0.613	RAVA
destructive	0.177	0.870	0.713	Handringanana
detach	0.357	0.625	0.450	hanesorana ihany
detached	0.280	0.396	0.216	avelany
detachment	0.243	0.700	0.443	miaramila iray toko
detail	0.514	0.406	0.528	antsipirihany
detailed	0.603	0.314	0.472	antsipiriany
details	0.583	0.367	0.481	tsipiriany
detain	0.351	0.345	0.430	hotananay
detainee	0.306	0.510	0.321	gadra
detect	0.531	0.520	0.565	mahita
detectable	0.479	0.539	0.649	azo fantarina
detection	0.708	0.567	0.538	mamantatra
detective	0.500	0.764	0.901	mpitsongodia
detector	0.459	0.630	0.724	mpitsikilo
detention	0.265	0.698	0.562	am-ponja
deter	0.344	0.537	0.567	hahakivy
detergent	0.458	0.304	0.426	detergent
deteriorate	0.083	0.471	0.202	simba
deteriorated	0.053	0.549	0.237	niharatsy
deteriorating	0.104	0.459	0.112	miharatsy
deterioration	0.130	0.512	0.283	fahasimban'ny
determinable	0.625	0.565	0.723	azo faritana
determinate	0.630	0.314	0.772	voafaritra ao
determination	0.776	0.725	0.795	tapa-kevitra
determine	0.612	0.368	0.776	Fantaro
determined	0.760	0.528	0.673	Tapa-kevitra
deterrent	0.292	0.461	0.385	fanakanana
detest	0.083	0.800	0.492	mankahala
detestation	0.177	0.637	0.412	fankahalana
detonate	0.375	0.850	0.696	mipoaka
detonation	0.167	0.931	0.741	fipoahana
detonator	0.207	0.875	0.750	detonator
detour	0.398	0.539	0.309	lalana miolankolan'ny
detract	0.344	0.438	0.368	hanimba
detriment	0.281	0.538	0.263	fatiantoka
detrimental	0.203	0.679	0.387	manimba
detritus	0.276	0.353	0.363	detritus
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	deutschmark
devalued	0.321	0.462	0.212	devalued
devastate	0.021	0.796	0.509	handrava
devastated	0.120	0.544	0.264	rava
devastating	0.104	0.856	0.419	nampivaloharika
devastation	0.090	0.904	0.472	fandravana
develop	0.771	0.670	0.821	hampivelarana
developer	0.844	0.653	0.864	developer
developing	0.833	0.587	0.714	fampandrosoana
development	0.827	0.500	0.796	fivoarana
deviant	0.094	0.589	0.398	mivily
deviate	0.173	0.562	0.269	tanan-droa
deviating	0.354	0.634	0.536	mivadika na
deviation	0.105	0.513	0.336	fiviliana
device	0.562	0.404	0.627	fitaovana
devil	0.161	0.900	0.611	DEVOLY
deviled	0.347	0.559	0.358	devoly
devilish	0.073	0.865	0.490	araka ny an'ny demonia
devious	0.250	0.519	0.259	maniasia
devise	0.551	0.557	0.670	manao asa
devoid	0.219	0.436	0.300	Mila asehontsika
devolution	0.345	0.434	0.425	devolution
devolve	0.367	0.427	0.596	devolve
devote	0.802	0.490	0.642	manokana
devoted	0.867	0.320	0.698	feno fanoloran-tena
devotee	0.816	0.461	0.577	mpivavaka
devotion	0.802	0.561	0.673	fanoloran-tena
devotional	0.740	0.394	0.655	fivoriana fampaherezam-panahy
devour	0.344	0.888	0.574	Handany
devout	0.620	0.357	0.464	mpivavaka
dew	0.604	0.225	0.464	ando
dexter	0.458	0.473	0.444	dexter
dexterity	0.771	0.673	0.864	fahaiza-manao
dextrose	0.333	0.402	0.323	dextrose
diabetes	0.051	0.472	0.279	diabeta
diabetic	0.125	0.269	0.237	voan'ny diabeta
diabolical	0.102	0.912	0.456	devoly
diagnose	0.378	0.520	0.714	hamantarana
diagnosis	0.571	0.500	0.819	aretina
diagnostic	0.417	0.483	0.635	fizahana aretina
diagnostics	0.540	0.440	0.750	diagnostics
diagonal	0.500	0.343	0.410	diagonal
diagram	0.562	0.357	0.445	Kisary
dial	0.620	0.427	0.596	miantso
dialect	0.635	0.422	0.526	fitenim-paritra
dialectic	0.510	0.540	0.638	dialektika
dialogue	0.599	0.441	0.625	fifanakalozan-kevitra
dialysis	0.194	0.567	0.407	dialyse
diameter	0.427	0.298	0.483	savaivony
diamond	0.910	0.606	0.769	Diamond
diamonds	0.927	0.684	0.917	diamondra
diaper	0.409	0.274	0.155	diaper
diaphragm	0.459	0.337	0.517	diafragma
diarrhea	0.092	0.684	0.143	aretim-pivalanana
diarrhoea	0.038	0.692	0.250	aretim-pivalanana
diary	0.698	0.292	0.464	diary
diatribe	0.354	0.569	0.409	diatribe
dib	0.479	0.370	0.344	dib
dibs	0.510	0.410	0.391	dibs
dice	0.458	0.441	0.264	dice
dicey	0.290	0.833	0.727	dicey
dichotomous	0.365	0.452	0.538	dichotomous
dichotomy	0.323	0.482	0.483	Fisampan-droa
dick	0.208	0.500	0.462	dick
dickhead	0.115	0.608	0.284	dickhead
dicks	0.310	0.694	0.358	dicks
dictate	0.480	0.423	0.668	hibaiko azy
dictation	0.255	0.378	0.627	vavan'i
dictator	0.073	0.760	0.862	Mpanao Didy jadona
dictatorial	0.204	0.770	0.840	tsy refesi-mandidy
dictatorship	0.082	0.806	0.784	didy jadona
diction	0.439	0.373	0.679	diction
dictionary	0.620	0.250	0.598	malagasy
dictum	0.385	0.510	0.528	dictum
didactic	0.645	0.480	0.673	didactic
diddle	0.429	0.566	0.393	diddle
die	0.031	0.765	0.259	maty
died	0.021	0.650	0.327	MATY
diesel	0.490	0.327	0.448	gazoala
diet	0.429	0.235	0.398	levitra
dietary	0.551	0.220	0.261	sakafo
differ	0.230	0.398	0.396	samy hafa
difference	0.474	0.560	0.483	fahasamihafana
differences	0.365	0.582	0.342	fahasamihafana
different	0.612	0.394	0.473	samy hafa
differential	0.520	0.378	0.535	differential
differentiation	0.367	0.561	0.535	fanavahana
differently	0.480	0.431	0.506	amin'ny fomba hafa
differing	0.418	0.410	0.455	samy hafa
difficult	0.235	0.700	0.508	sarotra
difficulties	0.082	0.784	0.357	fahasarotana
difficulty	0.079	0.740	0.368	fahasarotana
diffuse	0.430	0.431	0.321	maneso
diffusion	0.356	0.615	0.517	diffusion
dig	0.367	0.585	0.637	mihady
digest	0.720	0.413	0.483	mandevona
digestion	0.531	0.410	0.455	fandevonan-kanina
digestive	0.542	0.413	0.434	tsy fahalevonan-kanina
digit	0.447	0.286	0.333	tarehimarika
digital	0.740	0.382	0.529	Hafanàm-po
dignified	0.766	0.481	0.635	mendrika
dignify	0.854	0.588	0.735	Hajao ny fahamendrehan '
dignity	0.844	0.391	0.873	fahamendrehana
digress	0.271	0.625	0.411	manalavitra
digs	0.448	0.670	0.635	mihady
dike	0.360	0.384	0.490	dike
dilapidated	0.229	0.618	0.286	efa ratsy be
dilatation	0.385	0.574	0.368	dilatation
dilation	0.347	0.490	0.578	dilation
dildo	0.536	0.587	0.491	dildo
dilemma	0.153	0.590	0.430	olana
diligence	0.688	0.423	0.700	fahazotoana
diligent	0.760	0.426	0.759	NAZOTO
dill	0.427	0.360	0.373	aneta
diluent	0.417	0.344	0.332	diluent
dilute	0.275	0.192	0.349	hiova
diluted	0.469	0.310	0.229	voatsatso
dilution	0.445	0.337	0.352	dilution
dim	0.398	0.321	0.273	pahina
dime	0.653	0.317	0.345	ariary
dimension	0.592	0.415	0.627	lafiny
dimensional	0.561	0.484	0.596	amin'ny lafiny
diminish	0.240	0.357	0.167	hampihena
diminished	0.156	0.269	0.196	nihena
diminution	0.316	0.296	0.245	fihenam-bidy
diminutive	0.323	0.200	0.109	nl
dimwit	0.255	0.459	0.175	dimwit
din	0.440	0.417	0.398	din
dine	0.821	0.519	0.478	misakafo
diner	0.643	0.302	0.538	Fisakafoanana hariva
dinghy	0.510	0.269	0.325	sambokely
dingo	0.608	0.472	0.346	Dingô
dingy	0.156	0.483	0.343	maloto
dining	0.724	0.350	0.459	fisakafoana
dinky	0.357	0.451	0.358	dinky
dinner	0.823	0.392	0.379	sakafo hariva
dinnertime	0.796	0.406	0.341	sakafo hariva
dinosaur	0.448	0.630	0.596	dinôzôro
dint	0.378	0.480	0.492	batana
diocesan	0.520	0.283	0.518	mitondra diôsezy
diocese	0.510	0.288	0.575	diosezin'i
diorama	0.592	0.441	0.462	diorama
dioxide	0.354	0.433	0.456	karbonika
dip	0.516	0.583	0.397	mandroboka
diploma	0.750	0.462	0.731	diplaoma
diplomacy	0.740	0.396	0.774	diplaomasia
diplomat	0.563	0.262	0.868	diplaomaty
diplomatic	0.653	0.363	0.918	diplaomatika
dipper	0.548	0.361	0.348	dipper
dippy	0.430	0.402	0.340	dippy
dipstick	0.365	0.312	0.316	dipstick
dire	0.214	0.660	0.259	tsarotra
direct	0.793	0.403	0.650	mivantana
directed	0.542	0.490	0.541	torolalana
direction	0.719	0.330	0.684	tari-dalana
directive	0.604	0.530	0.918	toromarika
directly	0.747	0.400	0.702	mivantana
director	0.688	0.580	0.912	tale
directory	0.439	0.413	0.538	lahatahiry
dirt	0.112	0.500	0.236	vovoka
dirty	0.153	0.460	0.170	maloto
disability	0.073	0.482	0.173	fahasembanana
disable	0.115	0.430	0.269	disable
disabled	0.308	0.443	0.235	sembana
disadvantage	0.150	0.377	0.282	tombon-dahiny
disaffected	0.176	0.410	0.291	lolompo
disagree	0.133	0.590	0.345	tsy miombon-kevitra
disagreeable	0.042	0.643	0.178	mahasosotra
disagreeing	0.255	0.643	0.350	tsy manaiky
disagreement	0.104	0.618	0.236	tsy fitovian-kevitra
disallow	0.156	0.519	0.424	nandrara
disallowed	0.135	0.500	0.328	nandrara
disapointment	0.104	0.418	0.231	disapointment
disappear	0.143	0.441	0.350	manjavona
disappearance	0.214	0.698	0.367	fanjavonana
disappearing	0.167	0.427	0.379	levona
disappoint	0.150	0.633	0.288	handiso fanantenana
disappointed	0.071	0.472	0.241	diso fanantenana
disappointing	0.073	0.640	0.200	mandiso fanantenana
disappointment	0.115	0.490	0.336	Fahadisoam-panantenana
disapproval	0.085	0.551	0.367	tsy fankasitrahany
disapprove	0.160	0.594	0.445	halan'Andriamanitra
disapproved	0.104	0.550	0.114	hankasitrahana
disapproving	0.245	0.625	0.452	tsy mankasitraka
disarm	0.292	0.528	0.613	manala fitaovam-piadiana
disarray	0.198	0.657	0.223	korontana tanteraka
disaster	0.082	0.892	0.433	Voina
disastrous	0.071	0.741	0.439	loza
disband	0.302	0.491	0.417	ravao
disbelief	0.188	0.409	0.373	tsy finoana
disbelieve	0.188	0.441	0.352	tsy mino
disburse	0.418	0.473	0.353	mitsinjara
disbursement	0.240	0.443	0.435	mivoaka
disc	0.622	0.410	0.426	kapila
discard	0.240	0.343	0.337	hanary
discarded	0.229	0.460	0.308	ariana
discards	0.240	0.464	0.391	ariany
discern	0.459	0.566	0.518	hamantatra
discernible	0.427	0.441	0.481	inoana
discerning	0.542	0.584	0.780	-tsaina
discernment	0.408	0.471	0.694	fahaiza-manavaka
discharge	0.427	0.538	0.578	marary mitsika
disciple	0.765	0.385	0.462	mpianatra
disciplinary	0.562	0.593	0.796	pifehezana
discipline	0.615	0.471	0.806	fananarana
disciplined	0.728	0.450	0.750	famaizana
disclaim	0.235	0.509	0.321	fandavana
disclaimer	0.367	0.571	0.542	Disclaimer
disclose	0.490	0.570	0.545	hamoaka
disclosed	0.271	0.575	0.546	nampahafantatra
disclosure	0.500	0.615	0.710	famborahana
disco	0.710	0.806	0.575	disco
discoloration	0.224	0.373	0.414	fanovana loko
discolored	0.204	0.340	0.269	miloko
discomfort	0.153	0.719	0.272	mahazo aina
disconcerted	0.100	0.612	0.288	Sahiran-tsaina
disconcerting	0.106	0.549	0.269	mampisalasala
disconnect	0.438	0.292	0.191	elektrônika
disconnected	0.292	0.276	0.173	tapaka
disconnection	0.167	0.283	0.277	fanapahana
disconnects	0.256	0.357	0.241	tapaka
discontent	0.240	0.530	0.263	tsy fahafaliana
discontinuance	0.123	0.741	0.337	ny fiatoana
discontinue	0.354	0.396	0.349	hijanonako
discontinuity	0.303	0.439	0.250	fijanonana
discontinuous	0.233	0.409	0.316	tsy miato
discord	0.115	0.882	0.465	ady
discount	0.724	0.530	0.302	Discount
discounted	0.677	0.471	0.430	fihenam-bidy
discourage	0.184	0.443	0.267	hahakivy
discouraged	0.220	0.304	0.090	kivy
discouragement	0.112	0.319	0.206	ny fahakiviana
discouraging	0.167	0.469	0.281	nanakivy
discourse	0.410	0.550	0.803	kabary
discover	0.771	0.793	0.673	mahita
discovery	0.823	0.627	0.814	NAHITANA
discredit	0.075	0.529	0.355	baraka
discredited	0.112	0.491	0.182	baraka
discreet	0.552	0.216	0.532	manan-tsaina
discrepancy	0.260	0.643	0.417	tsy fitoviana
discrete	0.585	0.231	0.429	discrete
discretion	0.552	0.320	0.685	ny fisainana mazava,
discretionary	0.520	0.365	0.446	mandinika
discriminate	0.125	0.761	0.366	Manambany
discriminating	0.160	0.783	0.462	hizaha tavan'olona na
discrimination	0.051	0.724	0.379	FANAVAKAVAHANA
discus	0.542	0.423	0.343	discus
discuss	0.396	0.769	0.509	midinika
discussion	0.333	0.842	0.536	fifanakalozan-kevitra
disdain	0.153	0.446	0.441	tsinontsinona
disdainful	0.097	0.480	0.263	manambany
disease	0.041	0.539	0.333	aretina
diseased	0.123	0.510	0.134	marary
disembodied	0.167	0.620	0.412	tsy misy vatana
disengage	0.406	0.529	0.304	nitsahatra ny handray anjara
disengagement	0.327	0.373	0.395	fisarahana
disfigured	0.153	0.613	0.336	Simba Tarehy
disgrace	0.061	0.531	0.331	afa-baraka
disgraced	0.071	0.661	0.250	afa-baraka
disgraceful	0.082	0.702	0.240	-baraka
disgruntled	0.104	0.658	0.442	sosotra
disguise	0.573	0.694	0.431	miafina
disguised	0.500	0.615	0.326	niova endrika
disgust	0.052	0.775	0.317	rikoriko
disgusted	0.051	0.773	0.274	Naharikoriko
disgusting	0.031	0.796	0.245	mahatsiravina
dish	0.552	0.255	0.264	sakafo
disheartened	0.153	0.343	0.238	kivy
disheartening	0.010	0.353	0.224	hahakivy
dishonest	0.191	0.491	0.163	tsy marina
dishonesty	0.094	0.592	0.348	tsy fahamarinan-toetra
dishonor	0.104	0.620	0.185	ny fahafaham-boninahitra
dishonorable	0.112	0.641	0.280	tsy mendrika
dishwasher	0.480	0.296	0.324	fanasana vilia
disillusionment	0.051	0.519	0.190	fahadisoam-panantenana
disinclination	0.125	0.491	0.330	tsy firaiketam-po
disincline	0.458	0.454	0.278	tsy miraharaha
disinclined	0.385	0.442	0.364	lasa kamo
disinfect	0.448	0.388	0.648	nanisy fanafody
disinfectant	0.531	0.429	0.460	famonoana bibikely
disinfection	0.517	0.556	0.473	famonoana mikraoba
disinformation	0.230	0.577	0.260	ny fandisoana vaovao
disingenuous	0.194	0.509	0.204	tsy mivadika
disintegrate	0.143	0.660	0.364	mikorosy fahana
disintegration	0.094	0.551	0.381	faharavan'ny
disinterested	0.398	0.284	0.392	miraharaha izay manjo
disjoint	0.351	0.385	0.322	misaraka
disjointed	0.323	0.518	0.365	misaraka
disjunctive	0.286	0.481	0.400	disjunctive
disk	0.573	0.423	0.412	kapila
diskette	0.531	0.255	0.391	diskette
dislike	0.156	0.406	0.321	tsy tia
disliked	0.062	0.510	0.221	Tsy nankafy
disliking	0.163	0.637	0.366	tsy tia
dislocated	0.125	0.625	0.200	mikisaka
dislocation	0.229	0.565	0.373	dislocation
dislodge	0.214	0.769	0.356	mandroaka
disloyal	0.062	0.582	0.245	tsy mena-mivadika
disloyalty	0.187	0.716	0.267	mivadika
dismal	0.194	0.450	0.192	Mampahonena
dismantle	0.347	0.644	0.462	handrodanana
dismay	0.314	0.681	0.459	raiki-tahotra
dismayed	0.165	0.735	0.389	raiki-tahotra
dismemberment	0.104	0.860	0.470	fanapahana
dismiss	0.167	0.541	0.509	handroaka
dismissal	0.153	0.723	0.271	fandroahana
dismissive	0.188	0.541	0.430	dia manilikilika
dismount	0.361	0.423	0.391	midina
disobedience	0.051	0.868	0.369	ny tsy fankatoavana
disobedient	0.276	0.706	0.353	tsy mankatò
disobey	0.143	0.556	0.491	nankatò
disorder	0.115	0.816	0.218	fikorontanana
disordered	0.210	0.714	0.288	mikorontana
disorderly	0.188	0.748	0.385	mitoetra tsara
disorganized	0.052	0.507	0.184	rava
disorientation	0.163	0.472	0.212	very hevitra avy
disoriented	0.227	0.643	0.227	mandinika ireo
disown	0.153	0.637	0.368	Mandà
disparage	0.092	0.663	0.336	hitsikera
disparaging	0.102	0.626	0.411	fanambaniana
disparate	0.438	0.500	0.368	mahaleotena
disparity	0.208	0.482	0.361	fitoviana
dispassionate	0.199	0.217	0.218	tsy miraharaha
dispatch	0.317	0.417	0.555	mandefa
dispatcher	0.365	0.704	0.652	mpitatitra
dispel	0.388	0.402	0.411	manaisotra
dispensary	0.406	0.380	0.606	tobim-pahasalamana
dispensation	0.388	0.462	0.490	fotoampitantanana
dispense	0.561	0.520	0.518	hizara
dispenser	0.583	0.392	0.470	mpizara
dispersal	0.388	0.507	0.421	fanaparitahana
disperse	0.375	0.569	0.434	mampiely
dispersed	0.344	0.490	0.274	voaely
dispersion	0.270	0.604	0.350	pielezana
dispirited	0.204	0.280	0.142	kivy
displace	0.424	0.541	0.454	mifindra toerana
displaced	0.281	0.472	0.291	nafindra
displacement	0.276	0.531	0.481	famindran-toerana
displacency	0.500	0.528	0.642	fifindran-toerana
display	0.677	0.325	0.400	miseho
displease	0.021	0.702	0.286	Mampifaly
displeased	0.135	0.690	0.400	tezitra
displeasure	0.115	0.559	0.250	tsy faly
disposable	0.271	0.439	0.250	fanary
disposal	0.135	0.608	0.396	fanariana
dispose	0.548	0.538	0.559	Ario
disposed	0.688	0.441	0.625	vonona
disposition	0.663	0.542	0.734	toetra
dispossessed	0.354	0.577	0.331	nandroaka
disprove	0.375	0.625	0.613	diso
dispute	0.219	0.750	0.585	fifandirana
disqualification	0.066	0.677	0.330	fanomezana alalana
disqualified	0.129	0.464	0.232	nahafeno fepetra
disqualify	0.208	0.595	0.267	nahafeno fepetra
disquieted	0.229	0.850	0.290	mampandry
disregard	0.177	0.647	0.308	tsy miraharaha
disregarded	0.260	0.458	0.283	tsy niraharaha
disrelish	0.375	0.471	0.304	tsy tia
disreputable	0.104	0.688	0.353	tsy mendri-pitokisana
disrepute	0.208	0.630	0.292	ratsy laza
disrespect	0.062	0.637	0.302	tsy fanajana
disrespectful	0.031	0.694	0.273	fanajana
disrupt	0.265	0.640	0.349	hanakorontana
disrupting	0.186	0.557	0.339	fanakorontanana
disruption	0.235	0.735	0.436	fikorontanana
disruptive	0.255	0.755	0.575	manakorontana
dissatisfaction	0.115	0.663	0.202	tsy fahafaham-po
dissatisfied	0.042	0.561	0.291	tsy afa-po
dissect	0.367	0.750	0.595	fongotra noho
dissection	0.276	0.632	0.462	fandidiana faty
disseminate	0.562	0.608	0.750	hampiely
dissemination	0.476	0.551	0.583	fampielezana
dissension	0.250	0.618	0.414	fifandirana
dissent	0.300	0.655	0.407	mpanohitra
dissenting	0.208	0.552	0.366	mpanohitra
dissertation	0.312	0.575	0.575	dissertation
disservice	0.250	0.794	0.480	hanimba
dissident	0.350	0.582	0.413	mpanohitra
dissimilar	0.276	0.461	0.472	tsy mitovy
dissipate	0.385	0.368	0.355	nisinda
dissipated	0.281	0.421	0.231	miparitaka
dissociation	0.135	0.555	0.471	fisarahana
dissociative	0.281	0.615	0.397	disociative
dissolution	0.204	0.464	0.349	faharavan'ny
dissolve	0.271	0.490	0.410	manafoana
dissonance	0.173	0.471	0.336	dissonance
dissuade	0.482	0.500	0.350	hampiova hevitra
distal	0.410	0.401	0.438	distal
distance	0.233	0.317	0.418	elanelana
distant	0.229	0.324	0.269	lavitra
distaste	0.184	0.625	0.370	fankahalana
distasteful	0.264	0.676	0.222	naharikoriko
distillate	0.500	0.347	0.382	distillate
distillation	0.396	0.436	0.575	distillation
distilled	0.427	0.573	0.500	distilled
distinct	0.542	0.578	0.509	miavaka
distinction	0.584	0.571	0.750	fanavahana
distinctive	0.885	0.520	0.604	miavaka
distinguish	0.675	0.471	0.600	manavaka
distinguishable	0.635	0.530	0.727	azo avahana
distinguished	0.823	0.593	0.759	miavaka
distinguishing	0.622	0.363	0.640	manavaka
distort	0.100	0.740	0.366	hanova
distorted	0.250	0.521	0.280	diso
distortion	0.299	0.570	0.380	fifandroritana
distract	0.241	0.609	0.336	hahavariana
distracted	0.194	0.392	0.213	variana
distracting	0.445	0.583	0.400	mahavarimbariana
distraction	0.402	0.557	0.390	fieritreretana zavatra hafa
distraught	0.115	0.903	0.264	very hevitra
distress	0.073	0.840	0.396	fahoriana
distressed	0.143	0.771	0.324	ory
distressing	0.075	0.750	0.375	mampahory
distribute	0.643	0.596	0.709	mizara
distribution	0.635	0.548	0.788	fizarana
distributor	0.702	0.447	0.718	mpizara
district	0.438	0.327	0.660	DISTRIKA
distrust	0.060	0.670	0.276	fitokisana
disturb	0.175	0.760	0.481	hanelingelina
disturbance	0.146	0.907	0.404	korontana
disturbed	0.125	0.870	0.305	sahiran-tsaina
disturbing	0.146	0.792	0.439	manelingelina
disuse	0.229	0.229	0.202	tsy hampiasaina intsony
disused	0.250	0.302	0.186	tsy ampiasaina
ditch	0.357	0.364	0.322	kady
ditto	0.449	0.418	0.411	toy izany koa
ditty	0.470	0.433	0.334	ditty
diurnal	0.714	0.296	0.443	isan'andro
diva	0.660	0.657	0.596	diva
divan	0.750	0.202	0.262	fandriako
dive	0.583	0.531	0.500	manao antsitrika
diver	0.594	0.520	0.564	mpisitrika
diverge	0.375	0.657	0.520	manalavitra
divergence	0.429	0.615	0.687	divergence
divergent	0.449	0.660	0.587	divergent
diverging	0.417	0.613	0.573	diverging
divers	0.583	0.580	0.602	samihafa
diverse	0.562	0.519	0.604	samihafa
diversified	0.602	0.538	0.549	isan-karazany
diversify	0.656	0.588	0.464	isan-karazany
diversion	0.740	0.821	0.714	fialamboly
diversionary	0.551	0.587	0.300	diversionary
diversity	0.806	0.472	0.711	samihafa
divert	0.344	0.622	0.407	hamily
diverting	0.396	0.571	0.537	hampiviliana lalana
divest	0.365	0.547	0.424	miala
divested	0.333	0.449	0.311	fanariana
divestment	0.302	0.509	0.382	fivarotam-
divide	0.333	0.520	0.417	fisarahana
divided	0.271	0.623	0.391	nizara roa toko
dividend	0.583	0.491	0.566	hitoriana
divination	0.500	0.650	0.545	sikidy
divine	0.918	0.571	0.885	avy amin'Andriamanitra
divinity	0.896	0.559	0.774	maha-Andriamanitra
divisible	0.323	0.462	0.411	zaraina
division	0.370	0.481	0.472	Division
divisor	0.344	0.517	0.455	mpizara
divorce	0.042	0.700	0.385	FISARAHAM-PANAMBADIANA
divorcee	0.153	0.610	0.481	nisara-panambadiana
divulge	0.531	0.718	0.467	hamoaka
divvy	0.351	0.462	0.429	divvy
dizziness	0.229	0.555	0.254	fanina
dizzy	0.199	0.582	0.193	Fanina
do	0.670	0.548	0.536	Aza
doable	0.760	0.404	0.675	azo atao
doc	0.458	0.317	0.392	fanononana
docile	0.604	0.259	0.264	malemy paika
dock	0.490	0.409	0.481	dock
docked	0.281	0.754	0.398	niantsona
docket	0.505	0.509	0.607	docket
docking	0.354	0.596	0.587	docking
doctor	0.700	0.531	0.861	Doctor
doctorate	0.776	0.479	0.841	doctorat
doctrinal	0.510	0.373	0.673	ny foto-pinoana
doctrine	0.500	0.394	0.769	fotopampianarana
document	0.594	0.240	0.667	tahirin-kevitra
documentary	0.622	0.213	0.596	fanadihadiana
documentation	0.719	0.290	0.667	tahirin-kevitra
documents	0.530	0.250	0.587	antontan-taratasy
dodge	0.333	0.760	0.509	dodge
dodger	0.427	0.454	0.490	dodger
dodging	0.396	0.654	0.382	misoroka
dodgy	0.281	0.510	0.254	zavamisy
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	doe
doer	0.724	0.550	0.728	fanahy
dog	0.704	0.500	0.407	amboa
dogface	0.219	0.470	0.264	dogface
dogged	0.255	0.750	0.594	amboarina
doggy	0.646	0.491	0.404	alika
doghouse	0.438	0.417	0.340	trano alika
dogma	0.530	0.460	0.719	foto-pinoana
dogmatic	0.448	0.520	0.654	mitompo teny fantatra
dogsick	0.571	0.490	0.377	marary alika
doings	0.604	0.491	0.705	asany
doit	0.500	0.519	0.392	doit
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	doldrums
dole	0.448	0.402	0.348	dole
doll	0.729	0.321	0.330	saribakoly
dollar	0.755	0.632	0.694	dolara
dollhouse	0.643	0.245	0.363	trano saribakoly
dolor	0.167	0.635	0.375	dolor
dolphin	0.776	0.350	0.414	feso
domain	0.573	0.549	0.828	domain
dome	0.620	0.398	0.509	dome
domestic	0.729	0.327	0.500	ao an-tokantrano
domesticated	0.635	0.360	0.294	fiompy
domestication	0.594	0.390	0.435	fanokanana
domicile	0.604	0.292	0.529	domicile
domiciled	0.542	0.340	0.516	monina
dominance	0.542	0.775	0.839	fahefana
dominant	0.406	0.854	0.893	manjaka
dominate	0.439	0.814	0.953	hanjaka
dominating	0.427	0.769	0.902	nanjakazaka
domination	0.505	0.786	0.959	hifehy
dominatrix	0.390	0.727	0.709	dominatrix
dominion	0.542	0.704	0.890	fanapahana
domino	0.594	0.510	0.473	daomy
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	Manomeza
donation	0.792	0.398	0.602	fanomezana
donkey	0.406	0.367	0.245	boriky
donor	0.714	0.490	0.653	mpanome
dontlikeyou	0.055	0.500	0.282	tsy tia anao
dontmess	0.396	0.482	0.440	dontmess
dontmesswithme	0.312	0.635	0.440	dontmesswithme
dontpanic	0.469	0.465	0.425	aza mikoropaka
dontunderstand	0.219	0.357	0.271	tsy takatra
doodle	0.604	0.402	0.376	sarin'ny
doom	0.073	0.750	0.442	loza
doomed	0.041	0.755	0.301	rava
doomsday	0.125	0.861	0.670	Olona ny Fara Andro
door	0.549	0.189	0.421	VARAVARANA
doorbell	0.564	0.500	0.307	lakolosim-baravarana
doorknob	0.406	0.553	0.462	kibon'ny varavarana
doorman	0.570	0.371	0.491	mpiandry varavarana
doormat	0.458	0.269	0.267	am-baravarana
doornail	0.459	0.370	0.423	fantsika
doorstep	0.531	0.274	0.391	am-baravarana
doorway	0.573	0.304	0.496	varavarana
dopamine	0.548	0.469	0.426	dopamine
dope	0.295	0.855	0.425	dope
dopey	0.320	0.380	0.365	dopey
dork	0.272	0.519	0.361	dork
dorky	0.302	0.480	0.390	dorky
dorm	0.719	0.194	0.327	hahazahoany
dormant	0.385	0.245	0.245	matory
dormitory	0.633	0.204	0.382	efitrano fatoriana iombonana
dorsal	0.449	0.360	0.445	vombony
dosage	0.344	0.450	0.490	levitra
dose	0.458	0.490	0.427	levitra
dossier	0.357	0.380	0.544	dosie
dot	0.434	0.290	0.391	teboka
doting	0.888	0.415	0.426	mitia
dotted	0.480	0.347	0.426	mitsipitsipika
dotty	0.375	0.402	0.393	dotty
double	0.677	0.378	0.569	avo roa heny
doubled	0.427	0.536	0.560	avo roa heny
doublet	0.420	0.431	0.500	doublet
doubling	0.459	0.452	0.464	famerenana indroa
doubt	0.395	0.351	0.231	Azo antoka
doubtful	0.250	0.465	0.241	mampisalasala
doubting	0.224	0.560	0.189	misalasala
doubtless	0.688	0.415	0.689	Azo antoka fa
doubts	0.306	0.448	0.305	ahiahy
douche	0.490	0.413	0.397	douche
douchebags	0.327	0.587	0.366	douchebags
dough	0.588	0.229	0.391	koba
doughboy	0.365	0.443	0.396	doughboy
doughnut	0.663	0.380	0.279	donut
dour	0.360	0.404	0.325	dour
douse	0.365	0.453	0.412	douse
