English Word	Valence	Arousal	Dominance	Albanian Word
cooker	0.592	0.373	0.407	tenxhere
cookery	0.633	0.368	0.345	gatimi
cookie	0.792	0.306	0.250	biskotë
cookies	0.823	0.451	0.316	biskota
cooking	0.694	0.510	0.434	gatim
cookout	0.680	0.406	0.482	gatim
cool	0.885	0.540	0.781	i ftohtë
coolant	0.720	0.412	0.456	ftohës
cooler	0.664	0.375	0.460	më të freskët
cooling	0.469	0.324	0.392	ftohje
coolness	0.490	0.307	0.548	freski
coon	0.490	0.460	0.400	kon
coop	0.612	0.445	0.650	kafaz
cooperate	0.898	0.451	0.582	bashkëpunojnë
cooperating	0.760	0.390	0.693	duke bashkëpunuar
cooperation	0.847	0.473	0.686	bashkëpunimi
cooperative	0.816	0.461	0.670	kooperativë
coordinate	0.698	0.429	0.694	koordinoj
coordination	0.677	0.454	0.789	koordinimi
coordinator	0.750	0.510	0.850	koordinator
cop	0.327	0.770	0.836	polic
copacetic	0.510	0.471	0.453	kopacetik
cope	0.592	0.647	0.709	përballoj
copier	0.459	0.345	0.390	fotokopjues
copilot	0.640	0.538	0.573	kopilot
coping	0.562	0.630	0.613	përballimin
copious	0.427	0.462	0.527	i bollshëm
copper	0.580	0.260	0.500	bakri
copter	0.571	0.704	0.569	helikopter
copy	0.460	0.240	0.263	kopje
copycat	0.449	0.580	0.443	kopjues
copying	0.448	0.315	0.404	kopjimi
copyright	0.458	0.402	0.663	e drejta e autorit
coral	0.802	0.231	0.425	koral
coral snake	0.276	0.712	0.607	gjarpër koral
cord	0.388	0.378	0.358	kordonin
cordial	0.823	0.312	0.482	i përzemërt
cordless	0.667	0.441	0.528	pa tela
cordon	0.469	0.317	0.380	kordon
corduroy	0.570	0.324	0.357	kadifeje
core	0.721	0.378	0.540	bërthamë
cork	0.347	0.250	0.281	tape
corkscrew	0.427	0.443	0.445	tapashkë
corn	0.594	0.196	0.292	misri
cornball	0.479	0.378	0.325	top misri
cornbread	0.643	0.304	0.302	bukë misri
cornea	0.521	0.346	0.443	kornea
corned	0.459	0.441	0.425	me misër
corner	0.400	0.296	0.366	qoshe
cornerstone	0.550	0.388	0.596	gur themeli
cornet	0.507	0.520	0.415	kornetë
cornfield	0.719	0.310	0.349	fushë misri
cornflakes	0.729	0.346	0.355	kornfleks
cornice	0.458	0.441	0.295	kornizë
cornstarch	0.643	0.299	0.337	niseshte misri
corny	0.448	0.370	0.221	i brirë
corollary	0.458	0.469	0.366	përfundim
corona	0.818	0.439	0.745	korona
coronary	0.567	0.613	0.509	koronare
coronation	0.792	0.592	0.836	kurorëzimi
coroner	0.323	0.558	0.526	mjek ligjor
corporal	0.582	0.490	0.596	trupor
corporate	0.592	0.454	0.745	korporative
corporation	0.429	0.332	0.873	korporata
corporeal	0.520	0.350	0.461	trupore
corps	0.551	0.453	0.483	trupa
corpse	0.094	0.657	0.232	kufomë
corpsman	0.439	0.469	0.651	korpustar
corpus	0.543	0.340	0.490	korpus
corral	0.606	0.662	0.422	koral
correct	0.857	0.306	0.723	korrekte
correction	0.448	0.485	0.558	korrigjim
correctional	0.292	0.713	0.602	korrektues
corrective	0.448	0.528	0.613	korrigjuese
correctness	0.796	0.450	0.649	korrektësi
correlation	0.596	0.462	0.571	korrelacioni
correlative	0.510	0.402	0.571	korrelative
correspond	0.710	0.452	0.545	korrespondojnë
correspondence	0.663	0.423	0.491	korrespondencë
correspondent	0.573	0.565	0.712	korrespondent
corresponding	0.740	0.423	0.618	përkatëse
corridor	0.604	0.589	0.592	korridor
corroborate	0.671	0.471	0.616	vërtetojnë
corroboration	0.625	0.431	0.733	vërtetim
corrosion	0.156	0.610	0.348	korrozioni
corrosive	0.140	0.618	0.570	gërryes
corrupt	0.020	0.806	0.500	e korruptuar
corrupting	0.062	0.804	0.380	korruptuese
corruption	0.052	0.830	0.549	korrupsionit
corsage	0.510	0.294	0.397	korsage
corse	0.448	0.451	0.382	korse
corset	0.490	0.520	0.381	korse
cortex	0.594	0.439	0.529	korteksi
cortical	0.380	0.423	0.536	kortikale
cortisone	0.427	0.395	0.456	kortizon
corvette	0.551	0.520	0.598	korvetë
cosmetic	0.625	0.304	0.308	kozmetike
cosmetics	0.765	0.464	0.472	kozmetike
cosmic	0.663	0.538	0.692	kozmike
cosmology	0.651	0.438	0.637	kozmologji
cosmopolitan	0.823	0.510	0.760	kozmopolit
cosmos	0.860	0.478	0.664	kozmosi
cost	0.365	0.420	0.439	kosto
costly	0.316	0.650	0.642	e kushtueshme
costume	0.548	0.510	0.374	kostum
cosy	0.847	0.255	0.518	komode
cot	0.625	0.230	0.278	krevat fëmijësh
cote	0.439	0.344	0.324	cote
cottage	0.600	0.279	0.361	vilë
cotton	0.639	0.071	0.240	pambuku
couch	0.594	0.082	0.198	divan
cougar	0.438	0.588	0.538	pumë
cough	0.255	0.627	0.241	kollë
council	0.875	0.279	0.635	këshilli
councilman	0.531	0.367	0.793	këshilltar
counsel	0.594	0.519	0.730	këshillë
counseling	0.667	0.480	0.704	këshillim
counsellor	0.823	0.327	0.740	këshilltar
counselor	0.873	0.365	0.706	këshilltar
count	0.594	0.389	0.492	numëroj
countdown	0.438	0.692	0.490	numërimin mbrapsht
countenance	0.635	0.440	0.690	fytyra
counter	0.439	0.478	0.750	kundër
counteract	0.378	0.542	0.688	kundërveproj
counterattack	0.281	0.951	0.764	kundërsulm
counterbalance	0.520	0.480	0.627	kundërpeshë
counterclaim	0.398	0.760	0.651	kundërpadi
counterfeit	0.094	0.694	0.451	të falsifikuara
counterpart	0.448	0.608	0.577	homologu
counterpoint	0.438	0.509	0.538	kundërpikë
countess	0.562	0.440	0.670	konteshë
countless	0.520	0.566	0.534	të panumërta
country	0.698	0.394	0.693	vendi
countryman	0.673	0.441	0.789	bashkatdhetar
countrymusic	0.795	0.451	0.438	muzikë vendase
countryside	0.732	0.288	0.327	fshat
counts	0.343	0.373	0.500	numëron
county	0.479	0.368	0.545	qarkut
coup	0.275	0.815	0.607	grusht shteti
coupe	0.479	0.460	0.482	kupe
couple	0.806	0.605	0.607	çift
coupled	0.612	0.286	0.650	të shoqëruara
coupling	0.594	0.479	0.555	bashkim
coupon	0.704	0.300	0.421	kupon
courage	0.830	0.728	0.849	guxim
courageous	0.918	0.587	0.879	të guximshëm
courier	0.551	0.383	0.441	korrier
courses	0.735	0.412	0.534	kurset
coursing	0.542	0.472	0.546	kurse
court	0.479	0.769	0.827	gjykata
courteous	0.937	0.396	0.529	i sjellshëm
courtesy	0.927	0.287	0.431	mirësjellje
courthouse	0.571	0.503	0.818	gjykata
courtroom	0.385	0.670	0.887	sallë gjyqi
courts	0.367	0.710	0.816	gjykatat
courtship	0.667	0.490	0.654	miqësi
courtside	0.592	0.391	0.434	oborri
courtyard	0.503	0.365	0.355	oborr
cousin	0.675	0.394	0.427	kushëriri
cousins	0.760	0.409	0.464	kushërinjtë
cove	0.500	0.304	0.370	liman
coven	0.458	0.578	0.591	besëlidhje
covenant	0.594	0.462	0.667	besëlidhje
cover	0.365	0.240	0.471	mbulesë
coverage	0.767	0.413	0.629	mbulim
covered	0.562	0.340	0.644	mbuluar
covering	0.615	0.382	0.583	duke mbuluar
covert	0.500	0.570	0.508	të fshehta
covet	0.302	0.779	0.524	lakmoj
coveted	0.661	0.730	0.625	e lakmuar
cow	0.449	0.230	0.300	lopë
coward	0.102	0.490	0.149	frikacak
cowardice	0.133	0.621	0.167	frikacakë
cowardly	0.102	0.385	0.127	frikacake
cowboy	0.594	0.625	0.695	kauboj
cowgirl	0.541	0.566	0.554	kaubajzë
cowhand	0.438	0.480	0.596	dorë lope
cowhide	0.458	0.324	0.333	lëkurë lope
cowl	0.427	0.450	0.232	mbulesë
coworker	0.667	0.490	0.625	bashkëpunëtor
coy	0.347	0.330	0.213	i çuditshëm
coyote	0.459	0.471	0.387	kojotë
cozy	0.910	0.356	0.545	komode
crab	0.421	0.396	0.330	gaforre
crabby	0.198	0.812	0.370	gaforre
crack	0.302	0.625	0.400	plasaritje
cracked	0.224	0.520	0.228	i plasaritur
cracker	0.604	0.343	0.346	krisur
crackerjack	0.567	0.509	0.426	krisur
cracking	0.327	0.557	0.286	plasaritje
crackle	0.327	0.643	0.481	kërcitje
crackpot	0.260	0.602	0.245	krisur
cradle	0.776	0.194	0.333	djep
craft	0.760	0.321	0.539	zeje
crafts	0.667	0.380	0.391	vepra artizanale
craftsman	0.719	0.310	0.583	zejtar
craftsmanship	0.823	0.373	0.571	mjeshtëri
crafty	0.589	0.679	0.783	dinak
craig	0.448	0.449	0.490	krig
cram	0.354	0.730	0.598	mbushje
crammed	0.406	0.740	0.466	të ngjeshur
cramp	0.194	0.796	0.340	ngërç
cramped	0.240	0.567	0.360	i ngushtë
cranberry	0.793	0.330	0.363	boronicë e kuqe
cranberry juice	0.622	0.321	0.281	lëng boronicë
crane	0.396	0.417	0.589	vinç
cranial	0.354	0.510	0.583	kranial
cranium	0.439	0.491	0.725	kafkë
crank	0.448	0.275	0.417	manivelë
cranky	0.194	0.776	0.396	i çuditshëm
cranny	0.194	0.471	0.250	plaçkë
crap	0.083	0.644	0.167	katrahurë
crappy	0.039	0.582	0.208	i ndyrë
craps	0.375	0.420	0.273	mut
crash	0.194	0.906	0.355	përplasje
crass	0.223	0.490	0.466	i trashë
crate	0.427	0.173	0.274	arkë
crater	0.450	0.647	0.529	krater
crave	0.625	0.510	0.731	lakmoj
craving	0.510	0.755	0.636	mall
crawfish	0.510	0.427	0.342	karavidhe
crawl	0.479	0.519	0.467	zvarritje
crayon	0.604	0.260	0.185	shkumës me ngjyra
crayons	0.684	0.366	0.405	shkumësa me ngjyra
craze	0.255	0.657	0.435	mani
crazed	0.153	0.877	0.417	i çmendur
craziness	0.238	0.908	0.255	çmenduri
crazy	0.156	0.843	0.321	i çmendur
creak	0.344	0.670	0.411	kërcasin
creaking	0.302	0.743	0.415	kërcitëse
cream	0.688	0.259	0.220	krem
creamed	0.723	0.273	0.288	kremoze
creamer	0.594	0.192	0.269	krem krem
creamy	0.823	0.337	0.345	kremoze
crease	0.440	0.286	0.300	rrudhë
create	0.786	0.588	0.789	krijojnë
creation	0.927	0.575	0.868	krijim
creative	0.917	0.518	0.788	krijues
creativity	0.938	0.684	0.815	Krijimtaria
creator	0.865	0.592	0.856	krijues
creature	0.669	0.625	0.620	krijesë
credence	0.760	0.460	0.737	besimin
credential	0.735	0.337	0.597	kredenciale
credentials	0.708	0.373	0.675	kredencialet
credibility	0.875	0.427	0.809	besueshmërinë
credible	0.917	0.441	0.750	besueshme
credit	0.673	0.549	0.648	krediti
credit card	0.670	0.550	0.640	kartë Krediti
creditable	0.802	0.510	0.742	i kreditueshëm
credited	0.781	0.390	0.691	kredituar
crediting	0.673	0.550	0.741	kreditimi
creditor	0.479	0.594	0.689	kreditorit
creed	0.573	0.245	0.544	besimi
creek	0.552	0.392	0.330	përrua
creep	0.354	0.647	0.361	zvarriten
creeper	0.429	0.558	0.366	kacavjerrës
creeping	0.292	0.613	0.282	zvarritës
creepy	0.125	0.861	0.373	rrënqethëse
cremation	0.084	0.620	0.420	djegie
creole	0.667	0.357	0.523	kreol
crepe	0.562	0.224	0.349	krep
crescendo	0.760	0.575	0.594	kreshendo
crescent	0.698	0.382	0.407	gjysmëhënës
crest	0.458	0.333	0.333	kreshtë
crestfallen	0.235	0.346	0.175	i rrëzuar
cretin	0.265	0.583	0.312	kretin
cretins	0.094	0.741	0.328	kretinet
crevice	0.361	0.471	0.275	çarje
crew	0.604	0.598	0.735	ekuipazhi
crewman	0.602	0.580	0.548	anëtar i ekuipazhit
crib	0.653	0.240	0.407	krevat fëmijësh
cricket	0.423	0.539	0.370	kriket
cried	0.167	0.612	0.254	qau
crime	0.071	0.943	0.630	krimi
criminal	0.021	0.830	0.529	kriminale
criminality	0.122	0.863	0.580	kriminaliteti
crimp	0.260	0.557	0.396	shtrëngoj
crimson	0.667	0.385	0.370	i kuq
cringe	0.245	0.840	0.377	dridhje
cripple	0.094	0.392	0.161	sakatoj
crippled	0.035	0.358	0.236	i gjymtuar
crippling	0.156	0.598	0.391	gjymtuar
crisis	0.208	0.811	0.431	krizës
crisp	0.776	0.692	0.508	i freskët
crispy	0.656	0.550	0.509	krokante
criterion	0.396	0.410	0.736	kriter
critic	0.264	0.604	0.686	kritik
critical	0.312	0.802	0.545	kritike
criticise	0.073	0.700	0.452	kritikojnë
criticism	0.115	0.563	0.505	kritika
criticize	0.143	0.708	0.473	kritikojnë
criticized	0.240	0.600	0.311	kritikuar
critique	0.302	0.760	0.537	kritika
critter	0.542	0.539	0.482	krijesa
croak	0.337	0.346	0.298	kroat
croc	0.327	0.452	0.451	croc
crock	0.385	0.412	0.421	kaba
crockery	0.552	0.216	0.327	enët
crocodile	0.344	0.708	0.610	krokodil
croft	0.531	0.429	0.421	croft
croissant	0.745	0.330	0.430	briosh
crook	0.171	0.765	0.550	mashtrues
crooked	0.146	0.594	0.305	i shtrembër
crop	0.615	0.260	0.500	kulture
croquet	0.551	0.519	0.407	kroket
cross	0.448	0.321	0.569	kryq
cross country	0.531	0.441	0.529	ndër-vend
crossbow	0.344	0.598	0.560	hark
crossed	0.431	0.490	0.508	të kryqëzuara
crossfire	0.316	0.896	0.722	kryqëzim zjarri
crossing	0.549	0.349	0.451	kalimi
crossover	0.559	0.550	0.500	kryqëzim
crosswalk	0.557	0.441	0.380	vendkalim këmbësorësh
crossword	0.611	0.423	0.455	fjalëkryq
crotch	0.521	0.637	0.447	bigëzim
crouch	0.281	0.606	0.312	përkulem
crouched	0.333	0.363	0.279	i strukur
crouching	0.261	0.429	0.345	duke u përkulur
croupier	0.531	0.519	0.404	krupier
crow	0.224	0.439	0.363	sorrë
crowbar	0.406	0.531	0.386	levë
crowd	0.350	0.827	0.731	turma
crowded	0.694	0.286	0.585	i mbushur me njerëz
crowds	0.469	0.723	0.806	turmat
crown	0.708	0.572	0.737	kurorë
crowning	0.773	0.594	0.831	kurorëzim
crucial	0.541	0.657	0.777	vendimtare
cruciate	0.429	0.435	0.585	kryqëzoj
crucifix	0.469	0.480	0.510	kryqëzim
crucifixion	0.135	0.857	0.541	kryqëzimi
crucify	0.146	0.878	0.573	kryqëzoj
crud	0.312	0.330	0.444	bruto
crude	0.198	0.402	0.357	e papërpunuar
cruel	0.122	0.866	0.391	mizore
cruelly	0.146	0.790	0.471	mizorisht
cruelty	0.092	0.836	0.536	mizori
cruise	0.740	0.442	0.683	lundrim
cruise ship	0.878	0.650	0.500	anije lundrimi
cruiser	0.737	0.490	0.608	kryqëzor
cruising	0.886	0.580	0.560	lundrimi
crumb	0.417	0.255	0.216	thërrime
crumble	0.333	0.480	0.423	shkërmoqet
crumbling	0.167	0.696	0.308	duke u shembur
crummy	0.125	0.531	0.224	i njomë
crunch	0.292	0.630	0.406	kërcitje
crunchy	0.625	0.560	0.539	krokante
crusade	0.592	0.720	0.709	kryqëzatë
crusader	0.439	0.588	0.548	kryqtar
crush	0.271	0.676	0.582	shtypje
crushed	0.167	0.647	0.300	i grimcuar
crusher	0.271	0.709	0.598	dërrmues
crushing	0.219	0.755	0.411	dërrmuese
crust	0.542	0.337	0.456	kore
crusty	0.625	0.531	0.473	kore
crutch	0.302	0.294	0.302	paterica
crux	0.469	0.558	0.519	thelbi
cry	0.133	0.627	0.255	qaj
crybaby	0.375	0.702	0.311	qaj zemer
crying	0.153	0.704	0.208	duke qarë
crypt	0.156	0.431	0.386	kriptë
cryptic	0.296	0.516	0.474	të fshehtë
cryptography	0.490	0.415	0.650	kriptografia
crystal	0.618	0.270	0.508	Kristal
crystalline	0.765	0.235	0.534	kristalore
crystallization	0.600	0.449	0.565	kristalizimi
cub	0.646	0.382	0.284	këlysh
cubby	0.354	0.385	0.360	cuba
cube	0.469	0.226	0.274	kubik
cubic	0.458	0.306	0.407	kub
cubicle	0.479	0.343	0.417	kabina
cuckold	0.210	0.573	0.230	qyqar
cuckoo	0.420	0.459	0.284	qyqe
cucumber	0.490	0.235	0.237	kastravec
cuddle	0.885	0.559	0.475	përqafim
cuddled	0.906	0.547	0.567	i përqafuar
cuddles	0.847	0.382	0.500	përqafimet
cuddling	0.917	0.562	0.433	përqafim
cue	0.521	0.433	0.484	sugjerim
cuff	0.469	0.453	0.387	pranga
cuisine	0.714	0.365	0.390	kuzhinë
culinary	0.654	0.443	0.519	kuzhinës
cull	0.365	0.702	0.464	tërheq
culminate	0.667	0.550	0.602	kulmojnë
culmination	0.656	0.586	0.695	kulminacioni
culpability	0.112	0.745	0.368	fajësia
culpable	0.140	0.700	0.319	fajtor
culprit	0.062	0.676	0.333	fajtor
cult	0.448	0.535	0.648	kult
cultivate	0.708	0.410	0.598	kultivojnë
cultivated	0.837	0.343	0.564	të kultivuara
cultivation	0.625	0.324	0.462	kultivimi
cultural	0.802	0.390	0.623	kulturore
culture	0.753	0.304	0.675	kulturës
cultured	0.635	0.429	0.625	i kulturuar
culvert	0.337	0.324	0.343	ulluk
cumbersome	0.259	0.623	0.292	i rëndë
cumulus	0.570	0.433	0.432	kumulus
cunning	0.604	0.685	0.683	dinake
cunt	0.135	0.673	0.377	pidhi
cup	0.615	0.167	0.231	filxhan
cupboard	0.553	0.200	0.304	dollap
cupcake	0.656	0.333	0.344	kek i vockël
cupping	0.490	0.610	0.402	kupa
cur	0.440	0.519	0.460	kur
curable	0.823	0.292	0.574	të shërueshme
curate	0.726	0.418	0.526	kurator
curative	0.667	0.318	0.613	kurative
curator	0.688	0.389	0.688	kurator
curb	0.472	0.371	0.402	frenuar
curd	0.542	0.442	0.278	gjizë
cure	0.719	0.377	0.623	shërim
curfew	0.219	0.618	0.623	shtetrrethimi
curiosity	0.750	0.755	0.463	kuriozitet
curious	0.635	0.600	0.483	kurioz
curl	0.385	0.452	0.351	kaçurrela
curling	0.583	0.592	0.400	kaçurrela
currency	0.583	0.418	0.592	valutë
current	0.625	0.312	0.612	aktuale
curriculum	0.708	0.306	0.620	kurrikula
curry	0.633	0.345	0.302	kerri
curse	0.033	0.720	0.375	mallkim
cursed	0.083	0.783	0.393	mallkuar
cursing	0.112	0.860	0.446	duke sharë
cursory	0.423	0.451	0.431	i përciptë
curt	0.245	0.610	0.452	prerje
curtail	0.306	0.439	0.497	kufizoj
curtailment	0.230	0.578	0.431	shkurtim
curtain	0.698	0.278	0.304	perde
curtains	0.615	0.123	0.342	perde
curtsy	0.635	0.412	0.598	i prerë
curvature	0.417	0.367	0.447	lakim
curve	0.480	0.375	0.307	kurbë
curved	0.542	0.407	0.337	lakuar
curvilinear	0.480	0.575	0.411	lakuar
cushion	0.653	0.221	0.292	jastëk
cushy	0.823	0.283	0.395	i qetë
cusp	0.667	0.710	0.700	majë
cuss	0.354	0.538	0.443	sharje
cussed	0.156	0.625	0.454	i mallkuar
custard	0.618	0.260	0.293	krem krem
custodial	0.418	0.462	0.718	kujdestarie
custodian	0.594	0.625	0.528	kujdestar
custody	0.494	0.472	0.675	kujdestarinë
custom	0.552	0.382	0.688	zakon
customary	0.700	0.253	0.561	zakonore
customer	0.562	0.430	0.673	klient
customized	0.625	0.504	0.590	të personalizuara
cut	0.490	0.490	0.393	prerje
cutaneous	0.365	0.370	0.328	lëkurore
cute	0.920	0.528	0.579	e lezetshme
cuticle	0.340	0.320	0.377	kutikula
cutie	0.638	0.528	0.464	bukuroshe
cutlass	0.173	0.648	0.528	prerje
cutlery	0.552	0.300	0.345	takëm
cutoff	0.432	0.510	0.518	ndërprerje
cutter	0.427	0.731	0.583	prerës
cutters	0.197	0.653	0.491	prerëse
cutthroat	0.110	0.823	0.663	fyti i prerë
cutting	0.448	0.375	0.536	prerje
cutting board	0.337	0.540	0.342	dërrasë prerëse
cuttings	0.479	0.392	0.433	prerje
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	cianidi
cyberspace	0.677	0.594	0.611	hapësirën kibernetike
cycle	0.635	0.400	0.533	ciklit
cyclical	0.380	0.450	0.554	ciklike
cyclist	0.684	0.582	0.576	çiklist
cyclone	0.416	0.796	0.673	ciklon
cylinder	0.459	0.324	0.447	cilindër
cylindrical	0.458	0.294	0.414	cilindrike
cymbal	0.542	0.363	0.362	cembal
cynic	0.135	0.632	0.473	cinik
cynical	0.156	0.760	0.474	cinik
cynicism	0.104	0.780	0.454	cinizmi
cyst	0.173	0.578	0.312	kist
cystic	0.314	0.481	0.400	cistike
cytomegalovirus	0.186	0.657	0.443	citomegalovirus
cytoplasm	0.378	0.442	0.474	citoplazmë
czar	0.480	0.348	0.643	car
dab	0.510	0.337	0.340	rrafshoj
dabble	0.550	0.530	0.491	lakmoj
dabbling	0.562	0.726	0.676	përkëdhelje
dad	0.857	0.412	0.786	babi
daddy	0.795	0.400	0.736	babi
dado	0.510	0.240	0.364	dado
daemon	0.333	0.490	0.500	demon
daft	0.255	0.436	0.157	i shkretë
dagger	0.224	0.797	0.613	kamë
daily	0.653	0.347	0.473	çdo ditë
dainty	0.604	0.284	0.424	elegante
daiquiri	0.670	0.519	0.400	daiquiri
dairy	0.633	0.255	0.462	qumështore
daisy	0.562	0.367	0.333	margarita
dak	0.510	0.417	0.424	e errët
dale	0.622	0.270	0.365	dale
dam	0.250	0.553	0.394	digës
damage	0.059	0.726	0.403	dëmtimi
damaged	0.104	0.635	0.182	të dëmtuara
damages	0.082	0.760	0.310	dëmet
dame	0.694	0.480	0.500	dame
damn	0.073	0.784	0.431	dreqin
damnation	0.135	0.750	0.416	mallkim
damned	0.100	0.760	0.465	i mallkuar
damp	0.360	0.279	0.210	i lagësht
dampened	0.271	0.422	0.336	i lagur
damper	0.459	0.378	0.473	amortizues
damsel	0.719	0.475	0.400	vajzë
dance	0.894	0.840	0.551	valle
dancer	0.740	0.768	0.545	balerin
dancing	0.885	0.868	0.444	duke kërcyer
dandruff	0.398	0.298	0.293	zbokth
dandy	0.673	0.520	0.630	i shkëlqyer
danger	0.115	0.923	0.673	rreziku
dangerous	0.020	0.941	0.658	e rrezikshme
dangerously	0.082	0.930	0.564	në mënyrë të rrezikshme
dangit	0.396	0.606	0.358	dangit
dangle	0.362	0.469	0.375	përkulem
dank	0.390	0.381	0.383	i lagësht
dapper	0.770	0.560	0.698	daper
dare	0.677	0.788	0.684	guxoj
daredevil	0.429	0.714	0.653	guximtar
daresay	0.540	0.451	0.490	guxoj
daring	0.583	0.840	0.711	e guximshme
dark	0.198	0.398	0.426	errët
darken	0.250	0.471	0.382	errësohen
darkened	0.135	0.440	0.452	errësuar
darkly	0.219	0.548	0.443	errësirë
darkness	0.102	0.602	0.418	errësirë
darkroom	0.188	0.627	0.423	dhomë e errët
darkside	0.102	0.690	0.365	ana e erret
darling	0.885	0.370	0.608	e dashur
darn	0.115	0.765	0.418	mallkim
dart	0.417	0.608	0.500	shigjetë
dash	0.574	0.312	0.324	vizë
dashboard	0.510	0.371	0.595	pult
dashed	0.276	0.393	0.338	i thyer
dashing	0.612	0.627	0.799	i vrullshëm
dastardly	0.208	0.688	0.270	i poshtër
data	0.500	0.250	0.426	të dhëna
database	0.604	0.286	0.644	bazën e të dhënave
date	0.604	0.231	0.400	datë
datenight	0.708	0.637	0.518	natën e datës
daughter	0.908	0.415	0.455	vajza
dawdle	0.479	0.464	0.357	zvarritem
dawn	0.827	0.235	0.519	agimi
dawned	0.694	0.471	0.473	u gdhi
day	0.719	0.269	0.389	ditë
daybreak	0.802	0.358	0.474	agimi
daycare	0.776	0.481	0.360	çerdhe
daydream	0.750	0.337	0.456	ëndërr syhapur
daydreaming	0.776	0.360	0.479	ëndërrim syresh
daylight	0.865	0.420	0.545	drita e ditës
daymade	0.646	0.450	0.417	i bërë me ditë
dayoff	0.760	0.368	0.377	ditë pushimi
daytime	0.750	0.324	0.454	gjatë ditës
daze	0.245	0.735	0.329	trullos
dazed	0.300	0.697	0.277	i trullosur
dazzle	0.730	0.782	0.683	verboj
dazzling	0.854	0.880	0.767	verbuese
deacon	0.531	0.430	0.736	dhjak
deactivate	0.235	0.447	0.392	çaktivizoni
dead	0.052	0.454	0.194	i vdekur
deadbeat	0.229	0.453	0.368	i vdekur
deadline	0.214	0.615	0.460	Afati i fundit
deadlines	0.406	0.769	0.411	afatet
deadlock	0.170	0.418	0.323	bllokim
deadly	0.143	0.849	0.554	vdekjeprurëse
deafening	0.281	0.835	0.482	shurdhuese
deafness	0.125	0.413	0.219	shurdhim
deal	0.719	0.599	0.543	marreveshje
dealer	0.799	0.615	0.683	tregtari
dealership	0.541	0.430	0.629	tregtar
dealing	0.724	0.415	0.598	që kanë të bëjnë
dealings	0.600	0.491	0.480	marrëdhëniet
dean	0.612	0.469	0.723	dekani
dear	0.880	0.434	0.629	i dashur
dearest	0.902	0.427	0.508	më i dashur
dearth	0.156	0.539	0.255	mungesë
death	0.031	0.720	0.472	vdekjen
deathbed	0.051	0.652	0.311	shtrati i vdekjes
deathly	0.073	0.771	0.682	vdekjeprurëse
debacle	0.156	0.606	0.266	debakli
debased	0.219	0.529	0.170	i poshtëruar
debatable	0.181	0.610	0.474	e diskutueshme
debate	0.408	0.691	0.683	debat
debauchery	0.354	0.901	0.500	shthurja
debenture	0.417	0.500	0.466	borxhi
debilitating	0.125	0.490	0.308	dobësuese
debit	0.333	0.400	0.474	debiti
debrief	0.247	0.343	0.549	përmbledhje
debriefing	0.427	0.580	0.456	debriefing
debris	0.135	0.396	0.327	mbeturinat
debt	0.204	0.598	0.336	borxh
debtor	0.219	0.546	0.160	debitori
debut	0.806	0.606	0.629	debutimin
debutante	0.771	0.627	0.454	debutues
decade	0.531	0.402	0.665	dekadë
decadence	0.237	0.455	0.291	dekadencë
decadent	0.290	0.559	0.324	dekadente
decaf	0.480	0.324	0.353	kafe pa kafene
decanter	0.438	0.567	0.510	dekantues
decathlon	0.573	0.753	0.620	dekathlon
decay	0.143	0.312	0.170	prishje
decayed	0.017	0.375	0.169	i kalbur
decaying	0.073	0.510	0.214	në kalbje
deceased	0.021	0.538	0.188	i vdekur
decedent	0.423	0.481	0.415	trashëgimtar
deceit	0.020	0.696	0.343	mashtrim
deceitful	0.071	0.788	0.371	mashtruese
deceive	0.094	0.775	0.414	mashtrojnë
deceived	0.059	0.673	0.302	i mashtruar
deceiving	0.099	0.636	0.426	duke mashtruar
december	0.740	0.540	0.464	dhjetor
decency	0.750	0.235	0.634	mirësjellje
decent	0.823	0.296	0.653	të denjë
deception	0.090	0.745	0.370	mashtrimi
deceptive	0.027	0.605	0.294	mashtruese
decide	0.656	0.540	0.855	vendosin
decidedly	0.750	0.480	0.843	në mënyrë të vendosur
deciduous	0.385	0.353	0.282	gjetherënës
decimal	0.507	0.259	0.305	dhjetore
decimeter	0.520	0.292	0.377	decimetër
decipher	0.417	0.630	0.652	deshifroj
decision	0.646	0.510	0.839	vendim
decisive	0.740	0.509	0.935	vendimtare
deck	0.420	0.333	0.394	kuvertë
declaration	0.551	0.590	0.714	deklaratë
declaratory	0.635	0.582	0.673	deklarative
declare	0.677	0.623	0.668	deklaroj
declination	0.250	0.549	0.311	deklinimi
decline	0.173	0.491	0.240	rënie
declining	0.328	0.400	0.264	në rënie
deco	0.625	0.274	0.356	deko
decode	0.551	0.510	0.640	dekodoj
decoder	0.562	0.340	0.686	dekoder
decompose	0.194	0.596	0.241	dekompozohen
decomposed	0.073	0.442	0.231	të zbërthyera
decomposition	0.133	0.600	0.263	dekompozimi
decompress	0.438	0.430	0.509	dekompresoj
decompression	0.208	0.520	0.311	dekompresimi
decontamination	0.611	0.538	0.573	dekontaminimi
decor	0.734	0.311	0.573	dekor
decorate	0.954	0.370	0.404	dekoroj
decorating	0.863	0.548	0.462	duke dekoruar
decoration	0.878	0.553	0.526	dekorim
decorative	0.908	0.460	0.381	dekorative
decorator	0.840	0.471	0.455	dekorues
