English Word	Valence	Arousal	Dominance	Cebuano Word
disclaimer	0.367	0.571	0.542	disclaimer
disclose	0.490	0.570	0.545	ibutyag
disclosed	0.271	0.575	0.546	gibutyag
disclosure	0.500	0.615	0.710	pagbutyag
disco	0.710	0.806	0.575	disco
discoloration	0.224	0.373	0.414	pagkausab sa kolor
discolored	0.204	0.340	0.269	nadiskolor
discomfort	0.153	0.719	0.272	kahasol
disconcerted	0.100	0.612	0.288	nalibog
disconcerting	0.106	0.549	0.269	makalibog
disconnect	0.438	0.292	0.191	idiskonekta
disconnected	0.292	0.276	0.173	naputol
disconnection	0.167	0.283	0.277	pagkaputol
disconnects	0.256	0.357	0.241	nagdiskonekta
discontent	0.240	0.530	0.263	pagkadiskontento
discontinuance	0.123	0.741	0.337	paghunong
discontinue	0.354	0.396	0.349	hunong na
discontinuity	0.303	0.439	0.250	paghunong
discontinuous	0.233	0.409	0.316	walay hunong
discord	0.115	0.882	0.465	panagsumpaki
discount	0.724	0.530	0.302	diskwento
discounted	0.677	0.471	0.430	diskwento
discourage	0.184	0.443	0.267	makapaluya
discouraged	0.220	0.304	0.090	nawad-an sa kadasig
discouragement	0.112	0.319	0.206	pagkawalay kadasig
discouraging	0.167	0.469	0.281	makapaluya
discourse	0.410	0.550	0.803	diskurso
discover	0.771	0.793	0.673	makadiskobre
discovery	0.823	0.627	0.814	pagkadiskobre
discredit	0.075	0.529	0.355	pagdaot
discredited	0.112	0.491	0.182	gidaot
discreet	0.552	0.216	0.532	maalamon
discrepancy	0.260	0.643	0.417	kalainan
discrete	0.585	0.231	0.429	magkalahi
discretion	0.552	0.320	0.685	pagkabuotan
discretionary	0.520	0.365	0.446	discretionary
discriminate	0.125	0.761	0.366	pagpihigpihig
discriminating	0.160	0.783	0.462	pagpihigpihig
discrimination	0.051	0.724	0.379	diskriminasyon
discus	0.542	0.423	0.343	discus
discuss	0.396	0.769	0.509	hisgutan
discussion	0.333	0.842	0.536	panaghisgot
disdain	0.153	0.446	0.441	pagtamay
disdainful	0.097	0.480	0.263	matamayon
disease	0.041	0.539	0.333	sakit
diseased	0.123	0.510	0.134	masakiton
disembodied	0.167	0.620	0.412	walay lawas
disengage	0.406	0.529	0.304	pagbulag
disengagement	0.327	0.373	0.395	pagbulag
disfigured	0.153	0.613	0.336	nadaot ang dagway
disgrace	0.061	0.531	0.331	kaulawan
disgraced	0.071	0.661	0.250	gipakaulawan
disgraceful	0.082	0.702	0.240	makauulaw
disgruntled	0.104	0.658	0.442	nasuko
disguise	0.573	0.694	0.431	magtakoban
disguised	0.500	0.615	0.326	nagtakuban
disgust	0.052	0.775	0.317	kasuko
disgusted	0.051	0.773	0.274	nasuya
disgusting	0.031	0.796	0.245	makaluod
dish	0.552	0.255	0.264	pinggan
disheartened	0.153	0.343	0.238	nawad-an og kadasig
disheartening	0.010	0.353	0.224	makapaluya
dishonest	0.191	0.491	0.163	dili matinud-anon
dishonesty	0.094	0.592	0.348	pagkadili matinuoron
dishonor	0.104	0.620	0.185	pagpakaulaw
dishonorable	0.112	0.641	0.280	walay dungog
dishwasher	0.480	0.296	0.324	tighugas
disillusionment	0.051	0.519	0.190	pagkadismaya
disinclination	0.125	0.491	0.330	pagkadisgusto
disincline	0.458	0.454	0.278	dili hilig
disinclined	0.385	0.442	0.364	walay hilig
disinfect	0.448	0.388	0.648	disinfect
disinfectant	0.531	0.429	0.460	disinfectant
disinfection	0.517	0.556	0.473	disinfection
disinformation	0.230	0.577	0.260	disinformation
disingenuous	0.194	0.509	0.204	dili matinud-anon
disintegrate	0.143	0.660	0.364	mabungkag
disintegration	0.094	0.551	0.381	pagkabungkag
disinterested	0.398	0.284	0.392	walay interes
disjoint	0.351	0.385	0.322	pagkabulag
disjointed	0.323	0.518	0.365	nabungkag
disjunctive	0.286	0.481	0.400	disjunctive
disk	0.573	0.423	0.412	disk
diskette	0.531	0.255	0.391	diskette
dislike	0.156	0.406	0.321	dili ganahan
disliked	0.062	0.510	0.221	dili ganahan
disliking	0.163	0.637	0.366	dili ganahan
dislocated	0.125	0.625	0.200	nadislocate
dislocation	0.229	0.565	0.373	dislokasyon
dislodge	0.214	0.769	0.356	pagpahawa
disloyal	0.062	0.582	0.245	dili maunongon
disloyalty	0.187	0.716	0.267	pagkadili-maunongon
dismal	0.194	0.450	0.192	makaluluoy
dismantle	0.347	0.644	0.462	bungkagon
dismay	0.314	0.681	0.459	kalibog
dismayed	0.165	0.735	0.389	nadismaya
dismemberment	0.104	0.860	0.470	pagkaputol
dismiss	0.167	0.541	0.509	isalikway
dismissal	0.153	0.723	0.271	pagpalagpot
dismissive	0.188	0.541	0.430	dismissive
dismount	0.361	0.423	0.391	pagkanaog
disobedience	0.051	0.868	0.369	pagkadili-masinugtanon
disobedient	0.276	0.706	0.353	masinupakon
disobey	0.143	0.556	0.491	mosupak
disorder	0.115	0.816	0.218	kaguliyang
disordered	0.210	0.714	0.288	gubot
disorderly	0.188	0.748	0.385	gubot
disorganized	0.052	0.507	0.184	dili organisado
disorientation	0.163	0.472	0.212	disorientasyon
disoriented	0.227	0.643	0.227	nalibog
disown	0.153	0.637	0.368	isalikway
disparage	0.092	0.663	0.336	pagtamay
disparaging	0.102	0.626	0.411	pagpakaulaw
disparate	0.438	0.500	0.368	magkalahi
disparity	0.208	0.482	0.361	kalainan
dispassionate	0.199	0.217	0.218	walay pagbati
dispatch	0.317	0.417	0.555	pagpadala
dispatcher	0.365	0.704	0.652	dispatser
dispel	0.388	0.402	0.411	isalikway
dispensary	0.406	0.380	0.606	dispensaryo
dispensation	0.388	0.462	0.490	dispensasyon
dispense	0.561	0.520	0.518	ipanghatag
dispenser	0.583	0.392	0.470	dispenser
dispersal	0.388	0.507	0.421	pagsabwag
disperse	0.375	0.569	0.434	pagsabwag
dispersed	0.344	0.490	0.274	nagkatibulaag
dispersion	0.270	0.604	0.350	pagkatibulaag
dispirited	0.204	0.280	0.142	nawad-an og paglaum
displace	0.424	0.541	0.454	pagbalhin
displaced	0.281	0.472	0.291	namalhin
displacement	0.276	0.531	0.481	pagbakwit
displacency	0.500	0.528	0.642	pagbakwit
display	0.677	0.325	0.400	display
displease	0.021	0.702	0.286	kasuko
displeased	0.135	0.690	0.400	nasuko
displeasure	0.115	0.559	0.250	pagkadismaya
disposable	0.271	0.439	0.250	disposable
disposal	0.135	0.608	0.396	paglabay
dispose	0.548	0.538	0.559	ilabay
disposed	0.688	0.441	0.625	gilabay
disposition	0.663	0.542	0.734	disposisyon
dispossessed	0.354	0.577	0.331	gipalagpot
disprove	0.375	0.625	0.613	panghimakak
dispute	0.219	0.750	0.585	panaglalis
disqualification	0.066	0.677	0.330	diskwalipikasyon
disqualified	0.129	0.464	0.232	gi-disqualify
disqualify	0.208	0.595	0.267	disqualify
disquieted	0.229	0.850	0.290	nabalaka
disregard	0.177	0.647	0.308	walay pagtagad
disregarded	0.260	0.458	0.283	gibalewala
disrelish	0.375	0.471	0.304	walay lingaw
disreputable	0.104	0.688	0.353	walay dungog
disrepute	0.208	0.630	0.292	pagkadaotan
disrespect	0.062	0.637	0.302	walay pagtahud
disrespectful	0.031	0.694	0.273	walay pagtahod
disrupt	0.265	0.640	0.349	makabalda
disrupting	0.186	0.557	0.339	makabalda
disruption	0.235	0.735	0.436	kasamok
disruptive	0.255	0.755	0.575	makabalda
dissatisfaction	0.115	0.663	0.202	pagkadiskontento
dissatisfied	0.042	0.561	0.291	wala matagbaw
dissect	0.367	0.750	0.595	dissect
dissection	0.276	0.632	0.462	dissection
disseminate	0.562	0.608	0.750	ipakaylap
dissemination	0.476	0.551	0.583	pagsabwag
dissension	0.250	0.618	0.414	panagsumpaki
dissent	0.300	0.655	0.407	pagsupak
dissenting	0.208	0.552	0.366	pagsupak
dissertation	0.312	0.575	0.575	disertasyon
disservice	0.250	0.794	0.480	pagkadaotan
dissident	0.350	0.582	0.413	dissident
dissimilar	0.276	0.461	0.472	dili managsama
dissipate	0.385	0.368	0.355	mawala
dissipated	0.281	0.421	0.231	nawagtang
dissociation	0.135	0.555	0.471	panagbulag
dissociative	0.281	0.615	0.397	dissociative
dissolution	0.204	0.464	0.349	pagkabungkag
dissolve	0.271	0.490	0.410	matunaw
dissonance	0.173	0.471	0.336	disonance
dissuade	0.482	0.500	0.350	makapugong
distal	0.410	0.401	0.438	distal
distance	0.233	0.317	0.418	gilay-on
distant	0.229	0.324	0.269	layo
distaste	0.184	0.625	0.370	kasuko
distasteful	0.264	0.676	0.222	makaluod
distillate	0.500	0.347	0.382	distillate
distillation	0.396	0.436	0.575	distillation
distilled	0.427	0.573	0.500	distilled
distinct	0.542	0.578	0.509	lahi
distinction	0.584	0.571	0.750	kalainan
distinctive	0.885	0.520	0.604	talagsaon
distinguish	0.675	0.471	0.600	makaila
distinguishable	0.635	0.530	0.727	mailhan
distinguished	0.823	0.593	0.759	inila
distinguishing	0.622	0.363	0.640	nagpalahi
distort	0.100	0.740	0.366	pagtuis
distorted	0.250	0.521	0.280	gituis
distortion	0.299	0.570	0.380	pagtuis
distract	0.241	0.609	0.336	makabalda
distracted	0.194	0.392	0.213	nalinga
distracting	0.445	0.583	0.400	makabalda
distraction	0.402	0.557	0.390	pagkalinga
distraught	0.115	0.903	0.264	nalibog
distress	0.073	0.840	0.396	kagul-anan
distressed	0.143	0.771	0.324	naguol
distressing	0.075	0.750	0.375	makapaguol
distribute	0.643	0.596	0.709	apod-apod
distribution	0.635	0.548	0.788	pag-apod-apod
distributor	0.702	0.447	0.718	distributor
district	0.438	0.327	0.660	distrito
distrust	0.060	0.670	0.276	walay pagsalig
disturb	0.175	0.760	0.481	disturbo
disturbance	0.146	0.907	0.404	kasamok
disturbed	0.125	0.870	0.305	nasamok
disturbing	0.146	0.792	0.439	makatugaw
disuse	0.229	0.229	0.202	dili gamita
disused	0.250	0.302	0.186	wala magamit
ditch	0.357	0.364	0.322	kanal
ditto	0.449	0.418	0.411	ingon man
ditty	0.470	0.433	0.334	ditty
diurnal	0.714	0.296	0.443	adlaw-adlaw
diva	0.660	0.657	0.596	diva
divan	0.750	0.202	0.262	divan
dive	0.583	0.531	0.500	dive
diver	0.594	0.520	0.564	diver
diverge	0.375	0.657	0.520	magkalahi
divergence	0.429	0.615	0.687	pagkalainlain
divergent	0.449	0.660	0.587	managlahi
diverging	0.417	0.613	0.573	paglainlain
divers	0.583	0.580	0.602	mga mananalom
diverse	0.562	0.519	0.604	lainlain
diversified	0.602	0.538	0.549	nagkadaiya
diversify	0.656	0.588	0.464	pag-diversify
diversion	0.740	0.821	0.714	diversion
diversionary	0.551	0.587	0.300	diversionary
diversity	0.806	0.472	0.711	pagkadaiya
divert	0.344	0.622	0.407	divert
diverting	0.396	0.571	0.537	pagtipas
divest	0.365	0.547	0.424	divest
divested	0.333	0.449	0.311	gi-divest
divestment	0.302	0.509	0.382	divestment
divide	0.333	0.520	0.417	bahinon
divided	0.271	0.623	0.391	gibahin
dividend	0.583	0.491	0.566	dividend
divination	0.500	0.650	0.545	pagpanag-an
divine	0.918	0.571	0.885	balaanon
divinity	0.896	0.559	0.774	pagkadiosnon
divisible	0.323	0.462	0.411	mabahin
division	0.370	0.481	0.472	dibisyon
divisor	0.344	0.517	0.455	divisor
divorce	0.042	0.700	0.385	diborsyo
divorcee	0.153	0.610	0.481	diborsyo
divulge	0.531	0.718	0.467	ibutyag
divvy	0.351	0.462	0.429	pagbahinbahin
dizziness	0.229	0.555	0.254	pagkalipong
dizzy	0.199	0.582	0.193	makalipong
do	0.670	0.548	0.536	buhata
doable	0.760	0.404	0.675	mahimo
doc	0.458	0.317	0.392	doc
docile	0.604	0.259	0.264	mabuot
dock	0.490	0.409	0.481	pantalan
docked	0.281	0.754	0.398	midunggo
docket	0.505	0.509	0.607	docket
docking	0.354	0.596	0.587	pagdunggo
doctor	0.700	0.531	0.861	doktor
doctorate	0.776	0.479	0.841	doctorate
doctrinal	0.510	0.373	0.673	doktrinal
doctrine	0.500	0.394	0.769	doktrina
document	0.594	0.240	0.667	dokumento
documentary	0.622	0.213	0.596	dokumentaryo
documentation	0.719	0.290	0.667	dokumentasyon
documents	0.530	0.250	0.587	mga dokumento
dodge	0.333	0.760	0.509	paglikay
dodger	0.427	0.454	0.490	dodger
dodging	0.396	0.654	0.382	paglikay
dodgy	0.281	0.510	0.254	maliputon
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	lagsaw
doer	0.724	0.550	0.728	magbubuhat
dog	0.704	0.500	0.407	iro
dogface	0.219	0.470	0.264	dogface
dogged	0.255	0.750	0.594	gipugos
doggy	0.646	0.491	0.404	iro
doghouse	0.438	0.417	0.340	balay sa iro
dogma	0.530	0.460	0.719	dogma
dogmatic	0.448	0.520	0.654	dogmatiko
dogsick	0.571	0.490	0.377	sakit sa iro
doings	0.604	0.491	0.705	mga binuhatan
doit	0.500	0.519	0.392	buhata
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	mga kaguol
dole	0.448	0.402	0.348	dole
doll	0.729	0.321	0.330	monyeka
dollar	0.755	0.632	0.694	dolyar
dollhouse	0.643	0.245	0.363	balay nga manika
dolor	0.167	0.635	0.375	dolor
dolphin	0.776	0.350	0.414	dolphin
domain	0.573	0.549	0.828	domain
dome	0.620	0.398	0.509	simboryo
domestic	0.729	0.327	0.500	panimalay
domesticated	0.635	0.360	0.294	gipamuhi
domestication	0.594	0.390	0.435	pagpamuhi
domicile	0.604	0.292	0.529	pinuy-anan
domiciled	0.542	0.340	0.516	nagpuyo
dominance	0.542	0.775	0.839	pagdominar
dominant	0.406	0.854	0.893	dominante
dominate	0.439	0.814	0.953	modominar
dominating	0.427	0.769	0.902	nagdominar
domination	0.505	0.786	0.959	pagmando
dominatrix	0.390	0.727	0.709	dominatrix
dominion	0.542	0.704	0.890	kamandoan
domino	0.594	0.510	0.473	domino
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	donate
donation	0.792	0.398	0.602	donasyon
donkey	0.406	0.367	0.245	asno
donor	0.714	0.490	0.653	donor
dontlikeyou	0.055	0.500	0.282	dili ganahan nimo
dontmess	0.396	0.482	0.440	ayaw samok
dontmesswithme	0.312	0.635	0.440	ayaw kog panguyab
dontpanic	0.469	0.465	0.425	ayaw pagkaratol
dontunderstand	0.219	0.357	0.271	wala kasabot
doodle	0.604	0.402	0.376	doodle
doom	0.073	0.750	0.442	kalaglagan
doomed	0.041	0.755	0.301	nalaglag
doomsday	0.125	0.861	0.670	adlaw sa kalaglagan
door	0.549	0.189	0.421	pultahan
doorbell	0.564	0.500	0.307	doorbell
doorknob	0.406	0.553	0.462	doorknob
doorman	0.570	0.371	0.491	magbalantay sa pultahan
doormat	0.458	0.269	0.267	doormat
doornail	0.459	0.370	0.423	kuko sa pultahan
doorstep	0.531	0.274	0.391	pultahan
doorway	0.573	0.304	0.496	pultahan
dopamine	0.548	0.469	0.426	dopamine
dope	0.295	0.855	0.425	dope
dopey	0.320	0.380	0.365	dopey
dork	0.272	0.519	0.361	dork
dorky	0.302	0.480	0.390	dorky
dorm	0.719	0.194	0.327	dorm
dormant	0.385	0.245	0.245	natulog
dormitory	0.633	0.204	0.382	dormitoryo
dorsal	0.449	0.360	0.445	dorsal
dosage	0.344	0.450	0.490	dosis
dose	0.458	0.490	0.427	dosis
dossier	0.357	0.380	0.544	dossier
dot	0.434	0.290	0.391	tuldok
doting	0.888	0.415	0.426	pagdumot
dotted	0.480	0.347	0.426	tulbok
dotty	0.375	0.402	0.393	tuldok
double	0.677	0.378	0.569	doble
doubled	0.427	0.536	0.560	nadoble
doublet	0.420	0.431	0.500	doublet
doubling	0.459	0.452	0.464	pagdoble
doubt	0.395	0.351	0.231	pagduhaduha
doubtful	0.250	0.465	0.241	kaduhaduhaan
doubting	0.224	0.560	0.189	nagduhaduha
doubtless	0.688	0.415	0.689	walay duhaduha
doubts	0.306	0.448	0.305	pagduhaduha
douche	0.490	0.413	0.397	douche
douchebags	0.327	0.587	0.366	mga douchebags
dough	0.588	0.229	0.391	minasa
doughboy	0.365	0.443	0.396	doughboy
doughnut	0.663	0.380	0.279	donut
dour	0.360	0.404	0.325	kasubo
douse	0.365	0.453	0.412	pagduka
dove	0.729	0.235	0.437	salampati
down	0.208	0.330	0.264	ubos
downcast	0.071	0.500	0.222	nagpaubos
downer	0.120	0.594	0.226	ubos
downfall	0.200	0.717	0.182	pagkapukan
downfield	0.521	0.330	0.380	downfield
downhearted	0.119	0.461	0.255	naguol
downhill	0.292	0.573	0.279	paubos
download	0.602	0.490	0.503	download
downpour	0.328	0.602	0.481	pagbunok sa ulan
downright	0.625	0.454	0.679	sa tinuod
downriver	0.542	0.469	0.279	ubos sa suba
downside	0.190	0.400	0.246	downside
downtime	0.240	0.226	0.324	downtime
downward	0.188	0.347	0.255	paubos
downy	0.630	0.170	0.255	downy
dowry	0.604	0.453	0.544	bugay
doze	0.592	0.200	0.405	pagduka
dozen	0.583	0.343	0.425	dosena
drab	0.327	0.300	0.242	hugaw
draft	0.438	0.360	0.351	draft
drafty	0.458	0.500	0.518	drafty
drag	0.388	0.606	0.348	pagbitad
dragon	0.541	0.821	0.712	dragon
dragonfly	0.571	0.373	0.357	alibangbang
drain	0.277	0.470	0.222	habwaon
drainage	0.219	0.354	0.307	drainage
drained	0.310	0.441	0.352	nahutdan
draining	0.337	0.396	0.304	paghubas
drainpipe	0.417	0.413	0.277	drainpipe
drake	0.467	0.411	0.452	drake
drama	0.430	0.755	0.481	drama
dramaqueen	0.337	0.682	0.482	dramaqueen
dramatic	0.367	0.780	0.443	dramatiko
drape	0.417	0.439	0.404	drape
drapery	0.479	0.220	0.223	drapery
drastic	0.194	0.839	0.657	drastic
drat	0.302	0.516	0.409	drat
draught	0.465	0.245	0.316	draft
draw	0.704	0.449	0.481	pagdrowing
drawback	0.302	0.422	0.148	kakulian
drawbridge	0.551	0.557	0.438	drawbridge
drawer	0.429	0.196	0.292	drawer
drawers	0.539	0.260	0.236	mga hunos
drawing	0.698	0.216	0.333	drowing
dread	0.153	0.792	0.368	kahadlok
dreaded	0.122	0.706	0.460	gikahadlokan
dreadful	0.092	0.786	0.348	makalilisang
dreadfully	0.246	0.806	0.306	makalilisang
dreading	0.125	0.760	0.377	makahadlok
dream	0.844	0.157	0.328	damgo
dreamboat	0.776	0.491	0.458	dreamboat
dreamer	0.820	0.394	0.455	tigdamgo
dreaming	0.854	0.320	0.336	nagdamgo
dreamland	0.844	0.471	0.566	yuta sa damgo
dreams	0.865	0.415	0.530	mga damgo
dreamt	0.812	0.380	0.518	nagdamgo
dreamy	0.837	0.350	0.500	nagdamgo
dreary	0.260	0.490	0.324	makaluluoy
dredge	0.427	0.445	0.444	dredge
drenched	0.302	0.361	0.388	nahumod
dress	0.760	0.300	0.345	sinina
dresser	0.604	0.398	0.473	aparador
dressmaker	0.698	0.460	0.483	tigbuhat ug sinina
dressy	0.800	0.570	0.696	sininaan
dribble	0.417	0.551	0.465	dribble
dried	0.427	0.260	0.385	uga
drier	0.306	0.347	0.392	mas uga
drift	0.316	0.520	0.375	maanod
drifted	0.312	0.542	0.310	naanod
drifter	0.449	0.512	0.391	drifter
driftwood	0.321	0.283	0.439	naanod nga kahoy
drill	0.250	0.602	0.573	drill
drink	0.650	0.552	0.474	inom
drinker	0.365	0.735	0.441	tig-inom
drinking	0.562	0.459	0.317	pag-inom
drinks	0.729	0.656	0.412	mga ilimnon
drip	0.392	0.193	0.175	pagtulo
dripping	0.302	0.257	0.267	nagtulo
drive	0.625	0.689	0.713	magmaneho
drivel	0.398	0.469	0.463	drivel
driver	0.553	0.538	0.637	drayber
driveway	0.612	0.392	0.689	agianan sa agianan
drizzle	0.521	0.353	0.319	ulan
droll	0.459	0.573	0.422	magdula
drone	0.429	0.686	0.596	drone
drones	0.398	0.577	0.588	mga drone
drool	0.385	0.398	0.204	drool
drooping	0.245	0.558	0.353	nagduka
droopy	0.438	0.350	0.297	luya
drop	0.479	0.321	0.291	ihulog
droplet	0.625	0.208	0.194	tinulo
dropout	0.253	0.550	0.481	dropout
dropper	0.333	0.216	0.236	tigtulo
drought	0.133	0.353	0.267	hulaw
drove	0.541	0.528	0.623	nagmaneho
drown	0.071	0.860	0.270	malumos
drowsiness	0.260	0.194	0.303	pagduka
drowsy	0.375	0.180	0.240	hinanok
drudgery	0.094	0.522	0.241	kakapoy
drug	0.214	0.790	0.453	droga
drug dealing	0.042	0.843	0.500	pagpamaligyag droga
drugged	0.102	0.750	0.321	gidroga
druggist	0.240	0.561	0.417	durugista
drugs	0.167	0.750	0.368	droga
drugstore	0.490	0.343	0.518	botika
druid	0.517	0.445	0.481	druid
drum	0.615	0.679	0.339	tambol
drummer	0.646	0.700	0.564	drummer
drumming	0.594	0.750	0.426	tambol
drunk	0.194	0.800	0.250	hubog
drunk driving	0.073	0.900	0.306	hubog nga nagmaneho
drunkard	0.240	0.873	0.250	palahubog
drunken	0.155	0.849	0.250	hubog
drunkenness	0.214	0.774	0.336	pagkahubog
dry	0.363	0.169	0.311	uga
dryer	0.479	0.343	0.277	dryer
dryness	0.292	0.296	0.263	pagkauga
dual	0.573	0.330	0.384	duha
dualism	0.490	0.406	0.536	dualismo
duality	0.438	0.520	0.503	duality
dub	0.510	0.480	0.387	dub
dubious	0.414	0.480	0.198	kadudahan
duchess	0.656	0.548	0.711	duchess
duck	0.594	0.337	0.236	itik
ducking	0.344	0.573	0.294	pagduko
duckling	0.602	0.353	0.263	itik
ducky	0.520	0.430	0.368	itik
duct	0.449	0.435	0.430	duct
ductile	0.508	0.420	0.433	ductile
dud	0.167	0.455	0.246	dud
dude	0.809	0.356	0.615	igsoon
duds	0.347	0.311	0.339	mga duds
due	0.562	0.340	0.467	tungod
duel	0.271	0.696	0.589	duwa
dues	0.367	0.461	0.288	bayranan
duet	0.694	0.693	0.527	duet
duffel	0.500	0.400	0.384	duffel
dugout	0.490	0.370	0.463	dugout
duh	0.357	0.461	0.364	duh
duke	0.667	0.440	0.669	duke
dull	0.194	0.120	0.185	kapoy
dullard	0.450	0.480	0.365	dullard
dumb	0.188	0.330	0.151	amang
dumbasses	0.316	0.590	0.363	mga tanga
dumbbell	0.302	0.469	0.364	dumbbell
dumbbitch	0.281	0.636	0.393	amang
dumfound	0.271	0.551	0.295	nabuang
dumfounder	0.406	0.481	0.400	dumfounder
dummy	0.440	0.144	0.250	dummy
dump	0.345	0.500	0.370	ilabay
dumpling	0.580	0.321	0.360	dumpling
dumps	0.302	0.583	0.365	mga basurahan
dumpster	0.229	0.418	0.101	basurahan
dun	0.458	0.431	0.339	dun
dunce	0.188	0.327	0.146	dunce
dune	0.459	0.173	0.414	dune
dung	0.104	0.549	0.149	tae
dungeon	0.276	0.608	0.440	bilanggoan
dunk	0.406	0.333	0.475	dunk
duo	0.510	0.500	0.447	duo
dupe	0.184	0.760	0.327	dupe
duplex	0.592	0.452	0.467	duplex
duplicate	0.521	0.490	0.338	duplicate
duplication	0.480	0.564	0.577	pagdoble
duplicity	0.406	0.500	0.578	pagkadoble
durability	0.750	0.398	0.813	kalig-on
durable	0.740	0.294	0.688	lig-on
duration	0.656	0.370	0.536	gidugayon
duress	0.302	0.569	0.612	pagpugos
dusk	0.532	0.276	0.519	kilumkilom
dusky	0.229	0.528	0.324	kilumkilom
dust	0.344	0.246	0.241	abog
duster	0.408	0.265	0.296	duster
dustpan	0.609	0.466	0.371	dustpan
dusty	0.406	0.294	0.255	abogon
dutiful	0.724	0.245	0.585	matinabangon
duty	0.583	0.579	0.651	katungdanan
dwarf	0.370	0.340	0.288	dwarf
dwarfed	0.365	0.265	0.293	dwarf
dweeb	0.354	0.446	0.327	dweeb
dwell	0.698	0.245	0.611	mupuyo
dweller	0.615	0.304	0.500	nagpuyo
dwelling	0.765	0.330	0.481	pinuy-anan
dye	0.479	0.314	0.371	tina
dying	0.040	0.664	0.422	himalatyon
dyke	0.438	0.396	0.566	dyke
dynamic	0.724	0.750	0.836	dinamiko
dynamical	0.786	0.730	0.827	dinamiko
dynamics	0.745	0.682	0.774	dynamics
dynamite	0.344	0.860	0.783	dinamita
dynamo	0.531	0.650	0.593	dinamo
dynasty	0.725	0.588	0.936	dinastiya
dysentery	0.260	0.528	0.345	dysentery
dysfunction	0.156	0.410	0.386	dysfunction
dysfunctional	0.125	0.558	0.307	dysfunctional
dyspepsia	0.212	0.470	0.460	dyspepsia
eager	0.521	0.812	0.306	naghinamhinam
eagerness	0.406	0.621	0.443	kahinam
eagle	0.604	0.594	0.679	agila
ear	0.469	0.216	0.231	dalunggan
earful	0.533	0.462	0.443	makadungog
earl	0.582	0.461	0.794	earl
earlier	0.562	0.352	0.339	sayo pa
early	0.633	0.373	0.426	sa sayo
earn	0.865	0.769	0.817	mokita
earnest	0.653	0.380	0.670	sinsero
earnestly	0.847	0.490	0.717	kinasingkasing
earnestness	0.812	0.373	0.615	pagkamatinud-anon
earnings	0.938	0.650	0.875	kinitaan
earpiece	0.583	0.286	0.452	earpiece
earring	0.583	0.520	0.500	ariyos
earrings	0.676	0.346	0.517	mga ariyos
earshot	0.552	0.332	0.408	paminaw
earth	0.750	0.225	0.614	yuta
earthenware	0.552	0.210	0.320	yutang kulonon
earthling	0.531	0.412	0.570	yutan-on
earthly	0.625	0.318	0.518	yutan-on
earthquake	0.073	0.930	0.812	linog
earthy	0.375	0.413	0.404	yutan-on
ease	0.796	0.385	0.491	kasayon
easel	0.694	0.340	0.527	easel
easement	0.479	0.345	0.302	kasayon
easily	0.885	0.279	0.453	dali ra
east	0.510	0.250	0.317	silangan
eastbound	0.541	0.408	0.402	paingon sa sidlakan
eastern	0.521	0.420	0.480	silangan nga bahin sa
easy	0.865	0.194	0.373	sayon
easygoing	0.823	0.276	0.538	hayahay
eat	0.731	0.500	0.464	kaon
eater	0.459	0.337	0.510	tigkaon
eating	0.847	0.491	0.615	nagkaon
eatingdisorders	0.365	0.608	0.508	abnormalidad sa pagkaon
eavesdrop	0.375	0.710	0.368	eavesdrop
eavesdropping	0.490	0.380	0.441	pagpamati
ebb	0.354	0.451	0.404	ebb
ebony	0.490	0.317	0.400	ebony
ebullient	0.659	0.856	0.746	madasigon
eccentric	0.531	0.806	0.721	eccentric
eccentricity	0.408	0.735	0.745	eccentricity
ecclesiastical	0.673	0.270	0.660	simbahanon
echelon	0.490	0.404	0.425	echelon
echinacea	0.592	0.418	0.454	echinacea
echo	0.573	0.373	0.345	lanog
eclectic	0.646	0.542	0.508	eclectic
eclipse	0.541	0.469	0.616	eclipse
ecliptic	0.531	0.520	0.556	ecliptic
ecological	0.885	0.290	0.607	ekolohikal
economic	0.561	0.408	0.639	ekonomikanhon
economical	0.667	0.564	0.673	ekonomikanhon
economics	0.625	0.481	0.632	ekonomiya
economy	0.583	0.434	0.771	ekonomiya
ecosystem	0.729	0.259	0.633	ekosistema
ecstasy	0.796	0.922	0.655	ecstasy
ecstatic	0.875	0.769	0.742	nalipay
ecumenical	0.561	0.450	0.547	ekumenikal
eddy	0.500	0.394	0.350	eddy
edema	0.250	0.519	0.318	edema
edge	0.439	0.470	0.468	ngilit
edging	0.479	0.394	0.370	ngilit
edgy	0.281	0.895	0.306	kulbaan
edible	0.750	0.425	0.497	makaon
edict	0.316	0.547	0.560	mando
edification	0.625	0.481	0.697	pagpalig-on
edifice	0.551	0.403	0.610	edipisyo
edit	0.510	0.410	0.544	usba
editing	0.604	0.404	0.493	pag-edit
edition	0.542	0.455	0.564	edisyon
editor	0.772	0.431	0.673	editor
editorial	0.583	0.330	0.570	editoryal
educate	0.760	0.380	0.728	edukar
educated	0.816	0.297	0.625	edukado
education	0.896	0.275	0.840	edukasyon
educational	0.745	0.457	0.764	edukasyonal
educator	0.827	0.317	0.845	magtutudlo
